   bhogapuṇyarakṣā saptamaḥ paricchedaḥ	Boga-puNya-rakzA saptamaH paricCedaH
   tena ca dānena nônnato bhavatîti ||	tena ca dAnena nônnataH Bavatîti ||
   punar atrâivâha |	punar atrâivâha |
   yadi punar asya taddhetos tatpratyayaṃ tannidānaṃ kīrtiśabdaśloko bhavati	yadi punar asya tad-hetoH tad-pratyayam tat-nidAnam kIrti-Sabda-SlokaH Bavati
   tatra nônnāmajāto bhavati na mānajāto na madajātaḥ |	tatra nônnAma-jAtaH Bavati na mAna-jAtaH na mada-jAtaH |
   evaṃ câsya bhavati |	evam ca-asya Bavati |
   na cireṇa kālena yasya câyaṃ kīrtiślokaśabdaḥ samutthito yaiś ca	na cireNa kAlena yasya câyam kIrti-Sloka-SabdaH samutTitaH yEH ca
   samutthāpito yaś ca kīrtiśabdaślokas trayam apy etat sarveṇa sarvaṃ na	samutTApitaH yaH ca kIrti-Sabda-SlokaH trayam api etat sarveNa sarvam na
   bhaviṣyati |	Bavizyati |
   tatra kaḥ paṇḍitajātīyo 'nityeṣu na ca sthiteṣu dharmeṣv adhruveṣv	tatra kaH paNxita-jAtIyaH anityezu na ca sTitezu Darmezu aDruvezu-
   anāśvāsikeṣv anunayacittam utpādayed unnato bhaven mānadarpito vā |	anASvAsikezu anunaya-cittam utpAdayet unnataH Bavet mAna-darpitaH vA |
   evaṃ hi bodhisatvo lābhasatkārakīrtiśabdaślokeṣu sûpasthitasmṛtir	evam hi boDisatvaH lABa-satkAra-kIrti-Sabda-Slokezu sûpasTita-smRtiH-
   viharatîti ||	viharatîti ||
   punar āha |	punar Aha |
   caṇḍālakumārôpamāś ca loke viharanti nīcanīcena manasā |	caNxAla-kumArô-pamAH ca loke viharanti nIca-nIcena manasA |
   mānamadadarpâdhigatāś ca bhavanti paiśunyasaṃjñāyāḥ satatasamitaṃ	mAna-mada-darpâDi-gatAH ca Bavanti pESunya-saMjQAyAH satata-samitam
   pratyupasthitatvād iti ||	pratyupasTita-tvAt iti ||
   punar apy uktaṃ |	punar api uktam |
   iha kulaputrâbhiniṣkrāntagṛhavāsaḥ pravrajito bodhisatvo mṛtakasadṛśo 'haṃ	iha kula-putrâ-BinizkrAnta-gRha-vAsaH pravrajitaH boDisatvaH mRtaka-sadRSaH aham
   mitrâmātya-	mitrâmAtya-
   [ Cambridge MS f74b ---> ]	[ Cambridge M f74B ---> ]
   jñātisālohitānām iti nihatamāno bhavati |	jQAti-sa-AlohitAnAm iti nihatamAnaH Bavati |
   vairūpyaṃ me 'bhyudgataṃ vivarṇāni ca me vāsāṃsi prāvṛtāny anyaś ca me	vErUpyam me aByudgatam vivarNAni ca me vAsAMsi prAvRtAni anyaH ca me
   ākalpaḥ saṃvṛttêti nihatamāno bhavati |	AkalpaH saMvRttêti nihatamAnaH Bavati |
   muṇḍaḥ pātrapāṇiḥ kulāt kulam upasaṃkramāmi bhikṣāhetor bhikṣānidānam iti	muNxaH pAtra-pANiH kulAt kulam upasaMkramAmi BikzA-hetoH BikzA-nidAnam iti
   nihatamāno bhavati |	nihatamAnaH Bavati |
   nīcanīcena cittena caṇḍālakumārasadṛśena piṇḍāya carāmîti nihatamāno	nIca-nIcena cittena caNxAla-kumAra-sadRSena piNxAya cara-amîti nihata-mAnaH-
   bhavati |	Bavati |
   paiṇḍiliko 'smi saṃvṛtaḥ |	pENxilikaH asmi saMvRtaH |
   parapratibaddhā ca me jīvikêti nihatamāno bhavati |	para-pratibadDA ca me jIvikêti nihatamAnaH Bavati |
   avadhūtam avajñātaṃ pratigṛhṇāmîti nihatamāno bhavati |	avaDUtam avajQAtam pratigRhNAmîti nihatamAnaH Bavati |
   ārādhanīyā me ācāryagurudakṣiṇīyêti nihatamāno bhavati |	ArADanIyA me AcArya-guru-dakziNIyêti nihata-mAnaH Bavati |
   saṃtoṣaṇīyā me sabrahmacāriṇo |	saMtozaNIyAH me sa-brahmacAriNaH |
   yad uta tena tenâcāragocarasamudācāreṇêti ni-	yat uta tena tenâcAra-gocara-samudAcAreNêti ni-
   [ Bendall ed p151 ---> ]	[ Bet-dalt ed p151 ---> ]
   hatamāno bhavati |	hata-mAnaH Bavati |
   apratilabdhânubaddhadharmān pratipatsyae iti nihatamāno bhavati |	apratilabDânubadDa-DarmAn pratipatsyae iti nihatamAnaH Bavati |
   kruddhānāṃ vyāpannacittānāṃ satvānāṃ madhye kṣāntibahulo vihariṣyāmîti	krudDAnAm vyApanna-cittAnAm satvAnAm maDye kzAnti-bahulaH viharizyAmîti
   nihatamāno bhavatîti ||	nihatamAnaH Bavatîti ||
   āryasāgaramatisūtre 'py uktaṃ |	Arya-sAgaram-atisUtre api uktam |
   satkāyapariśuddhaś ca bhavati |	satkAya-pariSudDaH ca Bavati |
   lakṣaṇasamalaṃkṛtagātramṛdutaruṇahastapādaḥ svavibhaktapuṇyaniṣyandagātro	lakzaNa-samalaMkRta-gAtra-mRdu-taruNa-hasta-pAdaH sva-viBakta-puNya-nizyanda-gAtraH-
   'hīnêndriyaḥ sarvâṅgapratyaṅgaparipūrṇaḥ |	ahInêndriyaH sarvâFga-pratyaFga-paripUrNaH |
   na ca rūpamadamatto bhavati |	na ca rUpa-mada-mattaH Bavati |
   na kāyamaṇḍanayogânuyuktaḥ |	na kAya-maNxana-yogânuyuktaH |
   sa kiyad dhīnānām api satvānāṃ rūpavikalānām apy avanamati praṇamati	sa kiyat DInAnAm api satvAnAm rUpa-vikalAnAm api avanamati praNamati
   dharmagrāhyatām upādāyêti ||	Darma-grAhyatAm upAdAyêti ||
   punar atrâivôktaṃ |	punar atrâivôktam |
   syād yathâpi nāma bhagavan yadā mahāsāgaraḥ pratisaṃtiṣṭhate tadā nimne	syAt yaTâpi nAma Bagavan yadA mahA-sAgaraH pratisaMtizWate tadA nimne
   pṛthivīpradeśe saṃtiṣṭhate |	pRTivI-pradeSe saMtizWate |
   tasya nimnatvād alpakṛcchreṇa sarvanadyaś ca sarvapraśravaṇāni ca	tasya nimna-tvAt alpa-kRcCreNa sarvanadyaH ca sarva-praSravaNAni ca
   prapatanti |	prapatanti |
   evam eva bhagavan nirmānasya gurudakṣiṇīyagauravasya	evam eva Bagavat nirmAnasya guru-dakziNIya-gOravasya
   bodhisatvasyâlpakṛcchreṇa tāni gambhīrāṇi dharmasukhāni śro-	boDisatvasi-âlpa-kRcCreNa tAni gamBIrANi Darma-suKAni Sro-
   [ Cambridge MS f75a ---> ]	[ Cambridge M f75aH ---> ]
   têndriyasyâbhāsam āgacchanti |	têndriyasyâBAsam AgacCanti |
   smṛtau câvatiṣṭhante |	smRtO câvatizWante |
   tasmāt tarhi bhagavan yo bodhisatvo mānônnato bhavati mānastabdhaḥ na ca	tasmAt tarhi Bagavan yaH boDisatvaH mAnônnataH Bavati mAna-stabDaH na ca
   gurudakṣiṇīyebhyo 'vanamati na praṇamati veditavyaṃ bhagavan	guru-dakziNIyeByaH avanamati na praNamati veditavyam Bagavan
   mārâṅkuśâviddho vatâyaṃ bodhisatvêti ||	mArâFkuSâvidDaH vatâyam boDisatvêti ||
   āryalokôttaraparivarte côktaṃ |	Arya-lokôttara-parivarte côktam |
   daśêmāni bho jinaputra bodhisatvānāṃ mārakarmāṇi |	daSêmAni Bo jinaputra boDisatvAnAm mAra-karmANi |
   katamāni daśa |	katamAni daSa |
   yad idaṃ	yat idam
   gurudakṣiṇīyâcāryamātāpitṛśramaṇabrāhmaṇasamyaggatasamyakpratipanneṣv	guru-dakziNIyâ-cArya-mAtA-pitR-SramaNa-brAhmaNa-samyak-gata-samyak-pratipannezu-
   agauravatā mārakarma |	agOrava-tA mAra-karma |
   dharmabhāṇakānāṃ viśiṣṭadharmâdhigatānām udāradharmadeśakānāṃ	Darma-BANakAnAm viSizwa-DarmâDi-gatAnAm udAra-Darma-deSakAnAm
   mahāyānasamārūḍhānāṃ nirvāṇapathavidhijñānāṃ	mahAyAna-samArUXAnAm nirvANa-paTa-viDi-jQAnAm
   dhāraṇīsūtrântarājapratilabdhānāṃ nâvanamati |	DAraNI-sUtrânta-rAja-pratilabDAnAm nâvanamati |
   garvitastabdhaś ca bhavati |	garvita-stabDaH ca Bavati |
   dharmabhāṇake na gauravam utpādayati |	Darma-BANake na gOravam utpAdayati |
   na śuśrūṣāṃ na citrīkāraṃ karoti |	na SuSrUzAm na citrIkAram karoti |
   mārakarma dharmaśravaṇasāṃkathye ca niṣaṇṇae udāradharmavege samutpanne	mAra-karma Darma-SravaNa-sAMkaTye ca nizaNNae udAra-Darma-vege samutpanne
   dharmabhāṇakasya sādhukāraṃ na	Darma-BANakasya sADu-kAram na
   [ Bendall ed p152 ---> ]	[ Bet-dalt ed p152 ---> ]
   prayacchati mā kaścid asmin praśaṃsatîti mārakarma ||	prayacCati mA kaScid asmin praSaMsatîti mAra-karma ||
   abhimānaṃ côtpādyâtmānaṃ pratigṛhṇāti |	aBimAnam côt-pAdyâtmAnam pratigRhNAti |
   parāṃś ca na gṛhṇāti |	parAn ca na gRhNAti |
   ātmajñatāṃ ca nâvatarati |	Atma-jQa-tAm ca nâvatarati |
   cittanidhyaptiṃ nôtpādayati |	citta-niDi-aptim nôt-pAdayati |
   mārakarma ||	mAra-karma ||
   adhimānaṃ côtpādyâjānann abudhyamāno varṇârhāṇāṃ pudgalānāṃ varṇaṃ	aDimAnam côtpAdyâ-jAnan abuDyamAnaH varNârhANAm pudgalAnAm varNam
   praticchādayati |	praticCAdayati |
   avarṇaṃ bhāṣate |	avarNam BAzate |
   na ca parasya guṇavarṇenâttamanā bhavati |	na ca parasya guNa-varNenâttamanAH Bavati |
   mārakarma ||jānāti ca |	mAra-karma ||jAnAti ca |
   ayaṃ dharmo 'yaṃ vinayo bhūtam idaṃ buddhavacanam iti |	ayam DarmaH ayam vinayaH BUtam idam budDa-vacanam iti |
   pudgalavidveṣeṇa dharmavidveṣaṃ karoti |	pudgala-vidvezeNa Darma-vidvezam karoti |
   saddharmaṃ pratikṣipati |	sadDarmam pratikzipati |
   anyāṃś ca vigrāhayati |	anyAn ca vigrAhayati |
   mārakarma ||	mAra-karma ||
   uccamānasaṃ prārthayate parihāradharmaṃ na mārgayati |	ucca-mAnasam prArTayate parihAra-Darmam na mArgayati |
   parôpasthānaṃ so 'bhiyāti |	parôpa-sTAnam saH aBiyAti |
   abhinandati |	aBinandati |
   vṛddhasthavirāṇāṃ ciracaritabrahmacaryāṇāṃ na pratyupatiṣṭhate na ca	vRdDa-sTavirANAm cira-carita-brahmacaryANAm na pratyupatizWate na ca
   pratyudgacchati |	pratyudgacCati |
   mārakarma ||	mAra-karma ||
   bhṛkuṭīmukhaḥ khalu punar bhavati |	BRkuwI-muKaH Kalu punar Bavati |
   na smitamukhaḥ |	na smita-muKaH |
   na khila madhuravacanaḥ |	na Kila maDura-vacanaH |
   sadā kaṭhinacittaś chidrânveṣī ||	sadA kaWina-cittaH CidrânvezI ||
   avatāraprekṣī |	avatAra-prekzI |
   mā-	mA-
   [ Cambridge MS f75b ---> ]	[ Cambridge M f75B ---> ]
   rakarma ||	rakarma ||
   abhimānaṃ ca patitvā paṇḍitān nôpasaṃkrāmati |	aBimAnam ca patitvA paNxitAn nôpasaMkrAmati |
   na sevate |	na sevate |
   na bhajate |	na Bajate |
   na paryupāste |	na paryupAste |
   na paripraśnayati |	na paripraSnayati |
   na paripṛcchati |	na paripRcCati |
   kiṃ kuśalaṃ kim akuśalaṃ kiṃ karaṇīyaṃ kiṃ kṛtaṃ dīrgharātram arthāya	kim kuSalam kim akuSalam kim karaNIyam kim kRtam dIrGarAtram arTAya
   hitāya sukhāya bhavati |	hitAya suKAya Bavati |
   kiṃ vâkṛtaṃ dīrgharātram anarthāyâhitāyâsukhāya bhavatîti |	kim vâkRtam dIrGarAtram anarTAyâhitAyâsuKAya Bavatîti |
   sajaḍaḥ sajaḍataro bhavati |	sa-jaxaH sa-jaxataraH Bavati |
   mohavyūho mānagrāhī |	moha-vyUhaH mAna-grAhI |
   aniḥsaraṇadarśī |	aniHsaraNa-darSI |
   mārakarma ||	mAra-karma ||
   saa mānâbhibhūto buddhôtpādaṃ virāgayati |	saa mAnâBiBUtaH budDôt-pAdam virAgayati |
   pūrvakuśalamūlaṃ kṣapayati |	pUrva-kuSala-mUlam kzapayati |
   navaṃ nôtthāpayati |	navam nôtTApayati |
   anirdeśaṃ nirdiśati |	anirdeSam nirdiSati |
   vigraham ārabhate vivādabahulaś ca bhavati |	vigraham AraBate vivAda-bahulaH ca Bavati |
   sâivaṃ dharmavihārī sthānam etad vidyate yasmin mithyā mahāprapātaṃ patet	sâivam Darma-vihArI sTAnam etat vidyate yasmin miTyA mahA-prapAtam patet-
   atha ca punar bodhicittabalâdhīnād aiśvaryaṃ pratilabhate |	aTa ca punar boDi-citta-balâ-DInAt ESvaryam pratilaBate |
   sa kalpaśatasahasreṣu buddhôtpādaṃ nâsādayati |	sa kalpa-Sata-sahasrezu budDôt-pAdam nâsAdayati |
   kutaḥ punar dharmaśravaṇam |	kutas punar Darma-SravaNam |
   idaṃ daśamaṃ mārakarma ||	idam daSamam mAra-karma ||
   imāni bho jinaputra daśa mārakarmāṇi |	imAni Bo jinaputra daSa mAra-karmANi |
   yāni parivarjya bodhisatvā daśa jñānakarmāṇi pratilabhante |	yAni parivarjya boDisatvAH daSa jQAna-karmANi pratilaBante |
   atrâiva ca jñānakarmasu pacyate |	atrâiva ca jQAna-karmasu pacyate |
   nirmānatā sarvasatveṣv iti ||	nirmAna-tA sarva-satvezu iti ||
   [ Bendall ed p153 ---> ]	[ Bet-dalt ed p153 ---> ]
   āryarāṣṭrapālasūtre 'py uktaṃ |	Arya-rAzwrapAlasUtre api uktam |
   apāyabhūmiṃ |	apAya-BUmim |
   gatim akṣaṇeṣu |	gatim akzaNezu |
   daridratāṃ |	daridra-tAm |
   nīcakulôpapattim |	nIca-kulôpapattim |
   jātyandhyadaurbalyam athâlpasthāmatāṃ |	jAti-anDya-dOrbalyam aTâlpa-sTAma-tAm |
   gṛhṇanti te mānavaśena mūḍhāḥ ||	gRhNanti te mAna-vaSena mUXAH ||
   iti ||	iti ||
   dharmasaṃgītisūtre 'py uktaṃ |	Darma-saMgIti-sUtre api uktam |
   satvakṣetraṃ bodhisatvasya buddhakṣetraṃ yataś ca buddhakṣetrād	satva-kzetram boDisatvasya budDa-kzetram yatas ca budDa-kzetrAd
   buddhadharmāṇāṃ lābhâgamo bhavati |	budDa-DarmANAm lABâ-gamaH Bavati |
   nârhāmi tasmin vipratipattum |	nârhAmi tasmin vipratipattum |
   evaṃ câsya bhavati |	evam ca-asya Bavati |
   sarvaṃ sucaritaṃ duścaritaṃ ca satvān niśritya pravartate |	sarvam su-caritam duScaritam ca satvAt niSritya pravartate |
   duścaritâśramāc câpāyāḥ pravartante |	duScaritâ-SramAt câpAyAH pravartante |
   sucaritâśrayād devamanuṣyêti ||	su-caritâ-SrayAt deva-manuzyêti ||
   atâiva ratnôlkādhāraṇyām apy uktaṃ |	atâiva ratnôlkA-DAraNyAm api uktam |
   iha bho jinaputrāḥ prathamacittôtpādiko bodhisatvaḥ āditâiva sarvasatvānām	iha Bo jinaputrAH praTama-cittôtpAdikaH boDisatvaH Aditâiva sarva-satvAnAm
   antike daśaprakāraṃ cittam utpādayati |	antike daSa-prakAram cittam utpAdayati |
   katamad daśaprakāraṃ |	katamat daSa-prakAram |
   tad yathā |	tat yaTA |
   hitacittatāṃ sukhacittatāṃ dāyācittatāṃ snigdhacittatāṃ-	hita-citta-tAm suKa-citta-tAm dAyAcitta-tAm snigDa-citta-tAM-
   [ Cambridge MS f76a ---> ]	[ Cambridge M f76aH ---> ]
   priyacittatāṃ anugrahacittatāṃ ārakṣācittatāṃ samacittatāṃ ācāryacittatāṃ	priya-citta-tAm anugraha-citta-tAm ArakzA-citta-tAm sama-citta-tAm AcArya-citta-tAm
   śāstṛcittatāṃ |	SAstR-citta-tAm |
   idaṃ daśaprakāraṃ cittam utpādayatîti ||	idam daSa-prakAram cittam utpAdayatîti ||
   śraddhābalâdhānâvatāramudrāsūtre 'py uktaṃ |	SradDA-balâDAnâvatAramudrA-sUtre api uktam |
   sarvasatvānāṃ śiṣyatvâbhyupagame sthito 'smi |	sarva-satvAnAm Sizya-tvâByupagame sTitaH asmi |
   parāṃś ca sarvasatvaśiṣyatvâbhyupagame pratiṣṭhāpayiṣyāmîty āśvāsaṃ	parAn ca sarva-satva-Sizya-tvâByupagame pratizWApayizyAm-îti ASvAsam
   pratilabhate ||	pratilaBate ||
   peyālaṃ ||	peyAlam ||
   sarvasatveṣv avanamapraṇamanatāyāṃ pratiṣṭhito 'smîti pūrvavat ||	sarva-satvezu avanam-apraNama-natAyAm pratizWitaH asmîti pUrvavat ||
   tatrâvanamanapraṇamanatāyāṃ sarvasatveṣu nirmānatā ||	tatrâvanamana-praNama-natAyAm sarva-satvezu nirmAna-tA ||
   tathâryavimalakīrtinirdeśe |	taTârya-vimala-kIrti-nirdeSe |
   pariśuddhabuddhakṣetrôpapattaye sarvasatveṣu śāstṛpremôktaṃ |	pariSudDa-budDa-kzetrôpapattaye sarva-satvezu SAstR-premôktam |
   lokaprasādânurakṣârthaṃ tv āsanapādaprakhyālanakarma kurvatâpi cetasā	loka-prasAdânurakzârTam tu Asana-pAda-praKyAlana-karma kurvatâpi cetasA
   strīṣu vâkṣaṇaprāpteṣu vā vinipatiteṣu bodhisatvena premagauravâbhyāsaḥ	strIzu vâkzaNa-prAptezu vA vinipatitezu boDisatvena prema-gOravâByAsaH
   kāryaḥ ||	kAryaH ||
   [ Bendall ed p154 ---> ]	[ Bet-dalt ed p154 ---> ]
   uktaṃ hi gaṇḍavyūhe tasya samanantaraniṣaṇṇasya tasmin mahāsiṃhâsane	uktam hi gaNxa-vyUhe tasya samanantara-nizaNNasya tasmin mahA-siMhâsane
   sarvaḥ sa janakāyo 'bhimukhaḥ prāñjalisthito 'bhūt |	sarvaH sa jana-kAyaH aBimuKaH prAQjali-sTitaH aBUt |
   tam eva rājānaṃ namasyamānaḥ ||	tam eva rAjAnam namasyamAnaH ||
   pe ||	pe ||
   sa khalu sarvadharmanirnādacchatramaṇḍala nirghoṣo rājā teṣāṃ yācanakānāṃ	sa Kalu sarva-Darma-nirnAda=-Catra-maNxala nirGozaH rAjA tezAm yAcana-kAnAm
   saha darśanenâttamanaskataro rājñânena ca	saha darSanenâtta-manaskataraH rAjQânena ca
   trisāhasracakravartirājyapratilābhenâsīmâprāptakalpaparyavasānena |	tri-sAhasra-cakravarti-rAjya-pratilABenâ-sImâ-prApta-kalpa-paryavasAnena |
   yāvat śuddhâvāsadevaśāntivimokṣamukhavihāreṇâparyantakalpâvasānena |	yAvat SudDâvAsa-deva-SAnti-vimokza-muKa-vihAreNâ-paryanta-kalpâvasA-anena |
   tad yathā kulaputra puruṣasyâikântatṛṣṇācaritasya	tat yaTA kula-putra puruzasyâikânta-tRzNA-Acaritasya
   mātāpitṛbhrātṛbhaginīmitrâmātyajñātisālohitaputraduhitṛbhāryācirakālaviyuktasyâṭavīkāntāravipraṇaṣṭasya	mAtA-pitR-BrAtR-BaginI-mitrâmAtya-jQAti-sa-Alohita-putra-duhitR-BAryA-cira-kAla-viyuktasyâwavI-kAntAra-vipraNazwasya
   taddarśanakāmasya |	tad-darSana-kAmasya |
   teṣāṃ samavadhānena mahatī prītir adhyavasānam utpatet	tezAm samavaDAnena mahatI prItiH aDyavasAnam utpatet-
   taddarśanâvitṛptatayā |	tad-darSanâ-vitRpta-tayA |
   evam eva kulaputra rājñaḥ sarvadharmanirnādacchatra maṇḍalanirghoṣasya	evam eva kula-putra rAjQaH sarva-Darma-nirnAda=-Catra maNxala-nirGozasya
   teṣāṃ yācanakānāṃ saha darśanena mahāprītivegāḥ saṃjātāḥ |	tezAm yAcanakAnAm saha darSanena mahA-prIti-vegAH saMjAtAH |
   cittatuṣṭisukham avakrāntaṃ mahāṃś cittôdagratāvegaḥ prādurbhū-	citta-tuzwi-suKam avakrAntam mahAn cittôda-gra-tA-vegaH prAdurBU-
   [ Cambridge MS f76b ---> ]	[ Cambridge M f76B ---> ]
   to yāvat teṣu sarvayācanakeṣu ekaputrakasaṃjñā mātāpitṛsaṃjñā	taH yAvat tezu sarva-yAcanakezu eka-putraka-saMjQA mAtA-pitR-saMjQA
   dakṣiṇīyasaṃjñā kalyāṇamitrasaṃjñā varṇasaṃjñā durlabhasaṃjñā	dakziNIya-saMjQA kalyANa-mitra-saMjQA varNa-saMjQA durlaBa-saMjQA
   duṣkarakārakasaṃjñā bahukarasaṃjñā paramôpakārisaṃjñā	duzkara-kAraka-saMjQA bahu-kara-saMjQA paramôpakAri-saMjQA
   bodhimārgôpastambhasaṃjñâcāryaśāstṛsaṃjñôtpadyetêti ||	boDi-mArgôpastamBa-saMjQâ-cArya-SAstR-saMjQôt-padyetêti ||
   evam anyagatabhāve satvānām agratogamanôpasthānâdiprasaṅge sarvôtsargaṃ	evam anya-gata-BAve satvAnAm agratas-gamanôpasTAnâdiprasaFge sarvôtsargam
   smaret |	smaret |
   eṣām evâyam ātmīyaḥ kāyaḥ |	ezAm evâyam AtmIyaH kAyaH |
   yathêṣṭam atra vartantām |	yaTêzwam atra vartantAm |
   pṛthivīśodhanôpalepanâdiṣv iva svasukhârtham iti |	pRTivI-SoDanôpalepanâdizu iva sva-suKârTam iti |
   athavā svāmy-aprasādabhītenêva tatprasādârthinêva tadājñāsaṃpādanā manasi	aTavA svAmy-a-prasAda-BItenêva tad-prasAdârTinêva tad-AjQA-saMpAdanAH manasi
   kartavyā |	kartavyA |
   bhagavato 'py upasthānaṃ kurvato 'nyagatyabhāvāt |	BagavataH api upasTAnam kurvataH anya-gati-aBAvAt |
   bhikṣuṇā glānenâṅgīkṛtaṃ ||	BikzuNA glAnenâFgIkRtam ||
   yathôktaṃ bhikṣuprakīrṇake |	yaTôktam Bikzu-prakIrNake |
   bhagavān āha |	BagavAn Aha |
   mā bhāya bhikṣu mā bhāya bhikṣu |	mA BAya Bikzu mA BAya Bikzu |
   ahaṃ te bhikṣûpasthāsyaṃ |	aham te BikzûpasTAsyam |
   āhara bhikṣu cīvarāṇi yāvat te dhopāmi |	Ahara Bikzu cIvarANi yAvat te DopAmi |
   evam ukte āyuṣmān ānando bhagavantam etad avocat |	evam ukte AyuzmAn AnandaH Bagavantam etat avocat |
   mā bhagavān etasya glānasyâśucimraks.itāni cīvarāṇi dhovatu |	mA BagavAn etasya glAnasyâSucimraks.itAni cIvarANi Dovatu |
   ahaṃ bhagavan dhoviṣyaṃ |	aham Bagavan Dovizyam |
   bhagavān āha |	BagavAn Aha |
   tena hy ānanda tvam etasya bhikṣusya cīvarāṇi dhova |	tena hi Ananda tvam etasya Bikzusya cIvarANi Dova |
   tathāgato udakam ā-	taTAgataH udakam A-
   [ Bendall ed p155 ---> ]	[ Bet-dalt ed p155 ---> ]
   siñciṣyati |	siQcizyati |
   atha khalv āyuṣmān ānando tasya glānasya bhikṣusya cīvarāṇi dhovati |	aTa Kalu AyuzmAn AnandaH tasya glAnasya Bikzusya cIvarANi Dovati |
   bhagavān udakam āsiñcati ||	BagavAn udakam AsiQcati ||
   pe ||	pe ||
   atha khalv āyuṣmān ānandas taṃ glānaṃ bhikṣuṃ sādhu ca suṣṭhu	aTa Kalu AyuzmAn AnandaH tam glAnam Bikzum sADu ca suzWu
   cânuparigṛhya bahirdhā haritvā snāpayet |	cânuparigRhya bahirDA haritvA snApayet |
   bhagavān udakam āsiñcatîti |	BagavAn udakam AsiQcatîti |
   āha ca|	Aha ca|
   yān ārādhya mahat tvaṃ virādhya kaṣṭāṃ vipattim āpnoti |	yAn ArADya mahat tvam virADya kazwAm vipattim Apnoti |
   prāṇaparityāgair api teṣāṃ nanu toṣaṇaṃ nyāyyaṃ ||	prANa-parityAgEH api tezAm nanu tozaNam nyAyyam ||
   ete te vai satvāḥ prasādya yān siddham āgatā bahavaḥ |	ete te vE satvAH prasAdya yAn sidDam AgatAH bahavaH |
   siddhikṣetraṃ nânyat satvebhyo vidyate jagati ||	sidDi-kzetram nânyat satveByaH vidyate jagati ||
   ete cintāmaṇayo bhadraghaṭā dhenavaś ca kāmadughāḥ |	ete cintAmaNayaH Badra-GawAH DenavaH ca kAmaduGAH |
   guruvac ca devatêva ca tasmād ārādhanīyās te ||	guru-vat ca devatêva ca tasmAt ArADanIyAH te ||
   kiṃ ca niśchadmabandhūnām aprameyôpakāriṇām |	kim ca niSCadma-banDUnAm aprameyôpakAriNAm |
   satvârādhanam utsṛjya niṣkṛtiḥ kā parā bhavet ||	satvârADanam utsRjya nizkRtiH kA parA Bavet ||
   śirasā dhārayām āsa purā nātho yathêpsitam |	SirasA DArayAm Asa purA nATaH yaTêpsitam |
   jaṭāsvadhyuṣitān satvān bhūtvā yatnena niścalaḥ ||	jawAsu-aDyuzitAn satvAn BUtvA yatnena niScalaH ||
   bhindanti dehaṃ praviśanty avīcīm yeṣāṃ kṛte tatra kṛte kṛtaṃ syāt ||	Bindanti deham praviSanti avIcIm yezAm kRte tatra kRte kRtam syAt ||
   mahâpakāriṣv api tena sarvaṃ kalyāṇam e-	mahâpakArizu api tena sarvam kalyANam e-
   [ Cambridge MS f77a ---> ]	[ Cambridge M f77aH ---> ]
   vâcaraṇīyam eṣu ||	vâcaraNIyam ezu ||
   svayaṃ mama svāminâiva tāvad yad artham ātmany api nirvyapekṣāḥ |	svayam mama svAminâ-iva tAvat yat arTam Atmani api nirvyapekzAH |
   ahaṃ kathaṃ svāmiṣu teṣu teṣu karomi mānaṃ na tu dāsabhāvam ||	aham kaTam svAmizu tezu tezu karomi mAnam na tu dAsa-BAvam ||
   [ Bendall ed p156 ---> ]	[ Bet-dalt ed p156 ---> ]
   yeṣāṃ sukhe yānti mudaṃ munîndrāḥ yeṣāṃ vyathāyāṃ praviśanti manyum |	yezAm suKe yAnti mudam munîndrAH yezAm vyaTAyAm praviSanti manyum |
   tattoṣaṇāt sarvamunîndratuṣṭis tatrâpakāre 'pakṛtaṃ munīnāṃ ||	tad-tozaNAt sarva-munîndra-tuzwiH tatrâpakAre apakRtam munInAm ||
   ādīptakāyasya yathā samantān |	AdIpta-kAyasya yaTA samantAn |
   na sarvakāmair api saumanasyam |	na sarva-kAmEH api sOmanasyam |
   satvavyathāyām api tadvad eva na prītyupāyo 'sti mahākṛpāṇām ||	satva-vyaTAyAm api tadvat eva na prIti-upAyaH asti mahA-kRpANAm ||
   tasmān mayā yajjanaduṣkhanena |	tasmAt mayA yat-jana-duzKanena |
   duṣkhaṃ kṛtaṃ sarvamahādayānāṃ |	duzKam kRtam sarva-mahA-dayAnAm |
   tad adya pāpaṃ pratideśayāmi yatkheditās te munayaḥ kṣamantām ||	tat adya pApam pratideSayAmi yat-KeditAH te munayaH kzamantAm ||
   ārādhanāyâdya tathāgatānāṃ sarvâtmanā dāsyam upaimi loke |	ArADanAyâdya taTAgatAnAm sarvâtmanA dAsyam upEmi loke |
   kurvantu me mūrdhni padaṃ janâughāḥ nighnantu vā tuṣyatu lokanāthāḥ ||	kurvantu me mUrDni padam janâuGAH niGnantu vA tuzyatu loka-nATAH ||
   ātmīkṛtaṃ sarvam idaṃ jagat taiḥ kṛpâtmabhir nâiva hi saṃśayo 'tra |	AtmIkRtam sarvam idam jagat tEH kRpâtmaBiH nâiva hi saMSayaH atra |
   dṛśyantae ete nanu satvarūpās |	dRSyantae ete nanu satva-rUpAH |
   tae eva nāthāḥ kim anādaro 'tra ||	tae eva nATAH kim anAdaraH atra ||
   tathāgatârādhanam etad eva svârthasya saṃsādhanam etad eva |	taTAgatârADanam etat eva svârTasya saMsADanam etat eva |
