   Udīcya Śyāmilaka: Pāḍatāḍitaka	UdIcya ŚyAmilaka: PAxa-tAxitaka
   22 (a) saṃgītair vanitāvibhūṣaṇaravaiḥ krīḍāśakuntasvanaiḥ	22 (a) saMgItEH vanitA-viBUzaNa-ravEH krIxA-Sakunta-svanEH
   (b) svādhyāyadhvanibhir dhanuḥsvanayutaiḥ sūnāsiśabdair api	(b) svADyAya-DvaniBiH DanuH-svana-yutEH sUnA-asi-SabdEH api
   (c) pātrīṇāṃ gṛhasārasapratirutaiḥ kakṣyāntareṣu svanaiḥ	(c) pAtrINAm gRha-sA-rasa-pratirutEH kakzyA-antarezu svanEH
   [p.77] (d) saṃjalpān iva kurvate vyatikarāt prāsādamālāḥ sitāḥ	[p.77] (d) saMjalpAn iva kurvate vyatikarAt prAsAda-mAlAH sitAH
   api ca	api ca
   23 (a) giribhyo 'raṇyebhyaḥ salilanidhikacchād api maror	23 (a) giriByaH araNyeByaH salila-niDi-kacCAt api maroH-
   (b) narendrair āyātair diśi disi niviṣṭais ca śatasaḥ	(b) narendrEH AyAtEH diSi disi nivizwEH ca SatasaH
   (c) vicitrām ekasthām anavagatapūrvām avikalām	(c) vicitrAm ekasTAm anavagata-pUrvAm avikalAm
   (d) iha sraṣṭuḥ sṛṣṭer bahuviṣayatāṃ pasyati janaḥ	(d) iha srazwuH sRzweH bahu-vizaya-tAm pasyati janaH
   24 (a) śakayavanatukhārapārasīkair	24 (a) Saka-yavana-tuKAra-pArasIkEH-
   (b) magadhakirātakaliṅgavaṅgakāśaiḥ	(b) magaDa-kirAta-ka-liFga-vaFga-kASEH
   (c) nagaram atimudāyutaṃ samantān	(c) nagaram ati-mudAyutam samantAn
   (d) mahiṣakacolakapāṇḍyakeralaiś ca	(d) mahiza-kacolaka-pANxyakeralEH ca
   (vilokya) aye ko nu khalv eṣo 'vamuktakañcukayā	(vilokya) aye kaH nu Kalu ezaH avamukta-kaQcukayA
   dhavalaśibikayebhyavidhavālīlāṃ viḍambayann ita evābhivartate (vimṛśya)	Davala-SibikayeBya-viDa-va-AlIlAm vixambayan itas eva-aBivartate (vimRSya)
   bhavatu vijñātam eṣa hi sa vetradaṇḍakuṇḍikābhāṇḍasūcito vṛṣalacaukṣo	Bavatu vijQAtam eza hi sa vetra-daNxa-kuNxikA-BANxa-sUcitaH vRzala-cOkzaH-
   'mātyo viṣṇudāsaḥ anena hy evaṃ mahaty api prāḍvivākakarmaṇi niyuktena	amAtyaH vizNu-dAsaH anena hi evam mahati api prAxvivAka-karmaNi niyuktena
   dhyānābhyāsaparavattayopekṣāvihāriṇeva bhikṣuṇā nātyarthaṃ rājakāryāṇi	DyAna-aByAsa-para-vat-tayA-upekzA-vihAriNA-iva BikzuNA na-atyarTam rAja-kAryANi
   kriyante tathā hi	kriyante taTA hi
   [p.78] 25 (a) karavicalitajānuḥ kaiścid ardhāsanasthaiḥ	[p.78] 25 (a) karavicalita-jAnuH kEScid arDa-Asana-sTEH
   (b) samavanataśirobhiḥ kaiścid ākṛṣṭapādaḥ	(b) samavanata-SiroBiH kEScid AkRzwa-pAdaH
   (c) adhikaraṇagato 'pi krośatāṃ kāryakāṇāṃ	(c) aDikaraNa-gataH api kroSatAm kArya-kANAm
   (d) vipaṇivṛṣa ivaiṣa dhyāti nidrāṃ ca yāti tat kāmaṃ	(d) vipaNi-vRzaH iva-eza DyAti nidrAm ca yAti tat kAmam
   viṭajanapratyanīkabhūtam asya darśanam tathāpi dharmam upadiśann abhigamya	viwa-jana-pratyanIka-BUtam asya darSanam taTA-api Darmam upadiSan aBigamya
   eva kā gatir? upasarpāmy enam eṣa khalu dūrād eva mām avalokya śibikām	eva kA gatiH-? upasarpAmi enam eza Kalu dUrAt eva mAm avalokya SibikAm
   avatāryāvatarati aye bhoḥ, marṣayatu bhavān nārhasy asmān	avatArya-avatarati aye BoH, marzayatu BavAn na-arhasi asmAn
   upacārayantraṇayā vijanikartum kiṃ bravīṣi - kaś ca bhavantam upacarati	upacAra-yantraNayA vijanikartum kim bravIzi  kaH ca Bavantam upacarati
   ācāro 'yam asmābhir anuvartyata iti mā tāvad bhoḥ - evam upacaratā yuktaṃ	AcAraH ayam asmABiH anuvartyate iti mA tAvat BoH  evam upacaratA yuktam
   nāma bhavatā tatrabhavatīm anaṅgasenām anaṅgasenām iva praṇayābhimukhīṃ	nAma BavatA tatraBavatIm anaFga-senAm anaFga-senAm iva praNaya-aBimuKIm
   tathā vimukhayitum kiṃ bravīṣi - kiṃ mayā na tasyāḥ praṇayānurūpaḥ	taTA vimuKayitum kim bravIzi  kim mayA na tasyAH praNaya-anurUpaH
   saṃparigrahaḥ kṛtaḥ paśyatu bhavān sā hi mayā	saMparigrahaH kRtaH paSyatu BavAn sA hi mayA
   26 (a) svastīty uktvā vandanāyāṃ kṛtāyām	26 (a) svasti-iti uktvA vandanAyAm kRtAyAm
   (b) āsīnāyāṃ vācitaṃ yogaśāstram	(b) AsInAyAm vAcitam yoga-SAstram
   (c) netre cāsyā vāyuneveryamāṇe	(c) netre ca-asyAH vAyunA-iva-IryamANe
   [p.79] (d) saṃprekṣyoktā putri sarpiḥ pibeti	[p.79] (d) saMprekzya-uktA putri sarpiH pibA-iti
   tat kathaṃ na saṃpratigṛhītā mayeti aho kāminyā lalitasaṃparigrahaḥ kṛtaḥ	tat kaTam na saMpratigRhItA mayA-iti aho kAminyA lalita-saMparigrahaH kRtaH
   eṣa māṃ prahasya caukṣopāyanena bījapūrakeṇa prasādayati aye bho,	eza mAm prahasya cOkza-upAyanena bIjapUrakeNa prasAdayati aye Bo,
   yuṣmadantevāsina eva vayam īdṛśeṣu prayojaneṣu notkoṭanābhir vañcayituṃ	yuzmad-antevAsinaH eva vayam IdRSezu prayojanezu na-utkowanABiH vaQcayitum
   sakyāḥ sarvathā \dots - īdṛsa evāstu bhavān sādhayāmas tāvat (parikramya)	sakyAH sarvaTA \dotH  IdRse eva-astu BavAn sADayAmaH tAvat (parikramya)
   eṣa bho anekadesasthalajajalajasāraphalgupaṇyakrayavi kra yo pasthitastri	eza Bo aneka-desa-sTala-ja-jalaja-sAra-Palgu-paNya-krayavi kra yaH pasTitaH-tri
   puruṣasaṃ bādhāntarā paṇāṃ sārvabhaumasya vipaṇim anuprāptaḥ aho batāsyāḥ	puruzasam bADa-antarA paNAm sArvaBOmasya vipaNim anuprAptaH aho bata-asyAH
   27 (a) sakunīnām ivāvāse pracāreṣu gavām iva	27 (a) sakunInAm iva-AvAse pracArezu gavAm iva
   (b) janānāṃ vyavahāreṣu saṃnipāto mahādhvaniḥ	(b) janAnAm vyavahArezu saMnipAtaH mahA-DvaniH
   tathā hi	taTA hi
   28 (a) svaraḥ sānusvāraḥ paripatati karmāravipaṇau	28 (a) svaraH sa-anusvAraH paripatati karma-Ara-vipaNO
   (b) bhramārūḍhaṃ kāṃsyaṃ kuraravirutānīva kurute	(b) Brama-ArUXam kAMsyam kurara-vi-rutAni-iva kurute
   (c) dhṛtaṃ śaṅkhe śastraṃ rasati turagasvāsapiśunaṃ	(c) DRtam SaFKe Sastram rasati turaga-svAsa-piSunam
   (d) samantāc cāpnoti krayam api jano vikrayam api	(d) samantAt ca-Apnoti krayam api janaH vikrayam api
   api cedānīm	api ca-idAnIm
   29 (a) sumanasa imā vikrīyante hasantya iva sriyā	29 (a) sumanasaH imAH vikrIyante hasantyaH iva sriyA
   [p.80] (b) carati caṣakaḥ pānāgāreṣv ataḥ paripīyate	[p.80] (b) carati cazakaH pAna-AgArezu atas paripIyate
   (c) karadhṛtatṛṇair māṃsakrāyair apāṅganirīkṣitā	(c) kara-DRta-tRNEH mAMsa-krAyEH apAFga-nirIkzitA
   (d) nagaravihagāḥ sūnām ete patanty asimālinīm	(d) nagara-vihagAH sUnAm ete patanti asi-mAlinIm
   api ca	api ca
   30 (a) aṃsenāṃsam abhighnatāṃ vivadatāṃ tat tac ca saṃkrīṇatāṃ	30 (a) aMsena-aMsam aBiGnatAm vivadatAm tat tat ca saMkrINatAm
   (b) sasyānām iva paṅktayaḥ pracalitā nṭṇām amī rāśayaḥ	(b) sasyAnAm iva paFktayaH pracalitA nwNAm amI rASayaH
   (c) dyūtād āhṛtamāṣakāś ca kitavā veśāya gacchanty amī	(c) dyUtAt AhRta-mAzakAH ca kitavAH veSAya gacCanti amI
   (d) saṃprāptāḥ paricārakaiḥ sakusumaiḥ sāpūpamāṃsāsavaiḥ	(d) saMprAptAH paricArakEH sa-kusumEH sa-apUpa-mAMsa-AsavEH
   tad yāvad aham apīdānīṃ mahājanasaṃmardadurgamaṃ vipaṇimārgam utsṛjyemāṃ	tat yAvat aham api-idAnIm mahAjana-saMmarda-durgamam vipaNi-mArgam utsRjya-imAm
   puṣpavīthikām antareṇa pānāgārāṇy apasavyam upāvartamānaḥ	puzpa-vITikAm antareNa pAna-AgArANi apasavyam upAvartamAnaH
   pūrṇabhadraśṛṅgāṭakam avatīrya makararathyayā veśamārgam avagāhiṣye tat	pUrNaBadra-SRFgAwakam avatIrya makara-raTyayA veSa-mArgam avagAhizye tat-
   kāmam asaṃgṛhītamāṣakasya veśapraveśo nirāyudhasya saṃgrāmāvataraṇam ity	kAmam asaMgRhIta-mAzakasya veSa-praveSaH nirAyuDasya saMgrAma-avataraNam iti-
   ubhayam apārthakaṃ kevalam ayaśase cānarthāya ca kiṃ tu suhṛnnideśo 'yam	uBayam apArTakam kevalam ayaSase ca-anarTAya ca kim tu suhRd-nideSaH ayam
   asmābhir avaśyaṃ nirvartayitavyaḥ viśeṣeṇa hi bhūyād veśe viṭasaṃnipātaḥ	asmABiH avaSyam nirvartayitavyaH viSezeNa hi BUyAt veSe viwa-saMnipAtaH
   (parikramya) aye ko nu khalv eṣa rohitakīyair mārdaṅgikaiḥ	(parikramya) aye kaH nu Kalu eza rohitakIyEH mArdaFgikEH
   kaṃsapātraveṇumiśrair yodheyaka-	kaMsa-pAtra-veNu-miSrEH yoDeyaka-
   [p.81] varṇair upagīyamāna ekaśravaṇāvalambitakuraṇṭakaśekharo viralam	[p.81] varNEH upagIyamAnaH eka-SravaNa-avalambita-kuraNwaka-SeKaraH viralam
   apasavyam ākuladaśam uttarīyam apavartikayā saṃkṣipan muhur muhuḥ	apasavyam Akula-daSam uttarIyam apavartikayA saMkzipat muhur muhur-
   prakaṭaikasphik savyena pāṇinā madyabhājanam utkṣipya nṛtyann	prakawa-eka-sPic savyena pANinA madya-BAjanam utkzipya nRtyan=-
   āpānamaṇḍapaṃ hāsayati (nirvarṇya) āḥ jñātam eṣa hi sa bālhikaputraḥ	ApAna-maNxapam hAsayati (nirvarNya) AH jQAtam eza hi sa bAlhika-putraH
   sarvadhūrtaparihāsaikabhājanabhūto veśakukkuṭo bāṣpo dhāntraḥ bhoḥ yat	sarva-DUrta-parihAsa-eka-BAjana-BUtaH veSa-kukkuwaH bAzpaH DAntraH BoH yat-
   satyaṃ na kadācid apy enam amattam apītaṃ vā paśyāmi samaṃ cāyam	satyam na kadAcid api enam amattam apItam vA paSyAmi samam ca-ayam
   amṛkṣitahasto māṣakārdhenāpi tat kuto 'syaitad upapadyate (vitarkya) hanta	amRkzita-hastaH mAzaka-arDena-api tat kutas asya-etat upapadyate (vitarkya) hanta
   vijñātam. eṣa hi purobhāgī lajjāviyuktaḥ sarvaṃkaṣaḥ sārvajanīnatvāt	vijQAtam. eza hi puroBAgI lajjA-viyuktaH sarvaMkazaH sArvajanIna-tvAt
   31 (a) ābaddhamaṇḍalānāṃ	31 (a) AbadDa-maNxalAnAm
   (b) pibatām upadaṃśamuṣṭim ādāya	(b) pibatAm upadaMSa-muzwim AdAya
   (c) pravisati bāṣpo madhyaṃ	(c) pravisati bAzpaH maDyam
   [p.82] ( d) naṭanaṭiceṭāśvabandhānām	[p.82] ( d) nawa-nawi-cewa-aSvabanDAnAm
   aho nu khalv asya pānopārjane vijñānam tad alam anenābhibhāṣitena ito	aho nu Kalu asya pAna-upArjane vijQAnam tat alam anena-aBiBAzitena itas-
   vayam (parikramya) idam aparaṃ jaṅgamaṃ jīrṇodyānaṃ viṭajanasya eṣā hi	vayam (parikramya) idam aparam jaFgamam jIrNa-udyAnam viwa-janasya ezA hi
   purāṇapuṃścalī dharaṇiguptā nāma kāmadevāyatanād devatāyā upayācitaṃ	purANa-puMScalI DaraNi-guptA nAma kAmadeva-AyatanAt devatAyAH upayAcitam
   nirvartya sphuṭitakāśavallarīśvetam āgalitam aṃsadeśād upari keśahastaṃ	nirvartya sPuwita-kASa-vallarI-Svetam Agalitam aMsa-deSAt upari keSa-hastam
   vinyasyantī sadyodhautanivasanā vigalitam uttarīyam ekāṃse	vinyasyantI sadyoDOta-nivasanA vigalitam uttarIyam eka-aMse
   pratisamādadhānā balivikṣepopanipatitair balibhṛtaiḥ parivṛtaṃ mayūraṃ	pratisamAdaDAnA bali-vikzepa-upanipatitEH bali-BRtEH parivRtam mayUram
   nṛtyantam apāṅgenāvalokayantī makarayaṣṭiṃ pradakṣiṇīkaroti bhoḥ yat	nRtyantam apAFgena-avalokayantI makara-yazwim pradakziNIkaroti BoH yat-
   satyam adyāpy asyāś cirātikrāntaṃ yauvanavibhramaṃ vilāsaśeṣaṃ kathayati	satyam adya-api asyAH cira-atikrAntam yOvana-viBramam vilAsa-Sezam kaTayati
   tathā hi	taTA hi
   32 (a) śvetābhir nakharājibhiḥ parivṛtau vyāvṛttamūlau stanau	32 (a) SvetABiH naKa-rAjiBiH parivRtO vyAvRtta-mUlO stanO
   (b) sṛkvaṇyoḥ śithilaś ca madhyagaḍulo niṣpītapūrvo 'dharaḥ	(b) sRkvaNyoH SiTilaH ca maDya-gaxulaH nizpIta-pUrvaH aDaraH
   [p.83] (c) sabhrūkṣepam udāhṛtaṃ paricayād adyāpi yuktottaraṃ	[p.83] (c) sa-BrU-kzepam udAhRtam paricayAt adya-api yukta-uttaram
   (d) rūpaṃ hi prahṛtaṃ prasahya jarayā nāsyā vilāsā hṛtāḥ	(d) rUpam hi prahRtam prasahya jarayA na-asyAH vilAsAH hRtAH
   tan na śakyam enām anabhibhāṣyātikramitum eṣā hy asmākaṃ priyavayasyaṃ	tat na Sakyam enAm anaBiBAzya-atikramitum ezA hi asmAkam priya-vayasyam
   mārdaṅgikaṃ sthāṇumitraṃ mitraṃ vyapadiśantī krauñcarasāyanopayogam	mArdaFgikam sTANu-mitram mitram vyapadiSantI krOQca-rasAyana-upayogam
   ātmanaḥ prakāśayati tat katham enām upasarpāmi (vicintya) ājñātam asyā hi	AtmanaH prakASayati tat kaTam enAm upasarpAmi (vicintya) AjQAtam asyAH hi
   \dots --itas tṛtīye 'hani tapasvī sthāṇumitraś cumbanātiprasaṅgāt tathā	\dotH --itaH tRtIye ahani tapasvI sTANumitraH cumbana-ati-prasaFgAt taTA
   bībhatsam anubhūtavān aho dhig akaruṇo rāgaḥ	bIBatsam anuBUtavAn aho Dik akaruNaH rAgaH
   33 (a) cumbanaraktaḥ so 'syā	33 (a) cumbana-raktaH saH asyAH-
   daśanaṃ cyutamūlam ātmano vadane	daSanam cyuta-mUlam AtmanaH vadane
   (b) jihvāmūlaspṛṣṭaṃ	(b) jihvA-mUla-spRzwam
   khāḍ iti kṛtvā niraṣṭhīvat	KAj iti kRtvA nirazWIvat-
   [p.84] tat kamaṃ veśam avatitīrṣus tīrtham idam atikrāman vañcitaḥ syām	[p.84] tat kamam veSam avatitIrzuH tIrTam idam atikrAman vaQcitaH syAm
   tathāpi tv āviṣkṛtam asyāḥ sthāṇumitravadane dantanipatanam tan	taTA-api tu AvizkRtam asyAH sTANu-mitra-vadane danta-nipatanam tan
   nābhigamanena vrīḍāṃ punaruktīkaromi sarvathā namo 'syai sādhayāmy aham	nABigamanena vrIxAm punar-uktI-karomi sarvaTA namaH asyE sADayAmi aham
   (parikramya) eso 'smi veśam avatīrṇaḥ aho nu khalu veśasya parā śrīḥ iha	(parikramya) esaH asmi veSam avatIrNaH aho nu Kalu veSasya parA SrIH iha
   hi - etāni pṛthakpṛthaṅniviṣṭāni	hi  etAni pRTak-pRTak-nivizwAni
   ruciravapranemisālaharmyaśikharakapotapālīsiṃhakarṇagopānasīvalabhīpuṭāṭṭālakāvalokanapratolīviṭaṅkaprāsādasaṃbādhāny	rucira-vapra-nemi-sAla-harmya-SiKara-kapotapAlI-siMha-karNa-gopAnasi-ivalaBI-puwa-awwAlaka-avalokana-pratolI-viwaFka-prAsAda-saMbADAni-
   asaṃbādhakakṣyāvibhāgāni bhāge nimitāni	asaMbADa-kakzyA-viBAgAni BAge nimitAni
   sunirmitarucirakhātapūritasiktasuṣiraphūtkṛtotkoṭitaliptalikhitasūkṣmasthūlaviviktarū	su-nirmita-rucira-KAta-pUrita-sikta-suzira-PUtkRta-utkowita-lipta-liKita-sUkzma-sTUla-vivikta-rU
   paśatani baddhāni	paSatani badDAni
   baddhasaṃdhidvāragavākṣavitardisaṃjavanavīthīnirvyūhakāny	badDa-saMDi-dvAra-gavAkza-vitardi-saMjavana-vITI-nirvyUhakAni-
   [p.85] ekadvitripādapālaṃkṛtamadhyakoddeśāny	[p.85] eka-dvi-tri-pAdapa-alaMkRta-maDyaka-uddeSAni-
   uddeśyavṛkṣakaharitakaphalamālyaṣaṇḍamaṇḍitāni	uddeSya-vRkzaka-haritaka-Pala-mAlya-zaNxa-maNxitAni
   puṇḍarīkaśabalitavimalavāpītoyāni	puNxarIka-Sabalita-vimala-vApI-toyAni
   toyāntaravihitadāruparvatabhūmilatāgṛhacitraśālālaṃkṛtāni	toya-antara-vihita-dAru-parvata-BUmi-latA-gRha-citra-SAla-alaMkRtAni
   parārdhyamuktāpravālakiṅkiṇījālāviṣkṛtapariṣkarāṇy	parArDya-muktA-pravAla-kiFkiNI-jAlA-vizkRta-parizkarANi-
   ucchritasaubhāgyavaijayantīpatākāny utpatantīva gaganatalam avanitalād	ucCrita-sOBAgya-vEjayantI-patAkAni utpatantI-iva gagana-talam avani-talAd
   bhavanavarāvataṃsakāni vāramukhyānām yatraite	Bavana-vara-avataMsakAni vAramuKyAnAm yatra-ete
   34 (a) āsīnair avalīḍhacakravalayair mīladbhir āvantikair	34 (a) AsInEH avalIXa-cakra-valayEH mIladBiH AvantikEH-
   (b) dhāryārūḍhakirātasaṃgatadhurās tiṣṭhanti karṇīrathāḥ	(b) DArya-ArUXa-kirAta-saMgata-DurAH tizWanti karNIraTAH
   (c) ete ca dviguṇīkṛtottarakuthā nidrālasādhoraṇāḥ	(c) ete ca dvi-guNIkRta-uttara-kuTAH nidrA-Alasa-aDoraNAH
   (d) kāmbojāś ca kareṇavaś ca kathayanty antargatān svāminaḥ	(d) kAmbojAH ca kareNavaH ca kaTayanti antargatAn svAminaH
   api cāsmin veśe	api ca-asmin veSe
   35 (a) nayanasalilair yair evaiko vrajann abhivāhyate	35 (a) nayana-salilEH yEH eva-ekaH vrajan aBivAhyate
   (b) pratatavisṛtais tair evānyo gṛhān atinīyate	(b) pratata-visRtEH tEH eva-anyaH gRhAn atinIyate
   (c) akṛśavibhaveṣv āsām āsthā tathāpi kṛtavyayāḥ	(c) akRSa-viBavezu AsAm AsTA taTA-api kRta-vyayAH
   ( d) samanupatitā nirbhartsyante balāt kila mātṛbhiḥ	( d) samanupatitAH nirBartsyante balAt kila mAtRBiH
   (parikramya)	(parikramya)
   [p.86] 36-39 iyam anunayati priyaṃ kruddham eṣā priyeṇānunītā prasīdaty	[p.86] 36-39 iyam anunayati priyam krudDam ezA priyeNa-anunItA prasIdati-
   asau saptatantrīr nakhair ghaṭṭayantī kalaṃ kākalīpañcamaprāyam utkaṇṭhitā	asO sapta-tantrIH naKEH GawwayantI kalam kAkalI-paQcamaprAyam utkaNWitA
   valgugītāpadeśena vikrośati	valgu-gIta-apadeSena vikroSati
   iyam upahitadarpaṇā kāminā maṇḍyate kāminī kāmino maulim	iyam upahita-darpaNA kAminA maNxyate kAminI kAminaH mOlim
   eṣā nibadhnāty asau śārikāṃ spaṣṭam ālāpayaty eṣa matto	ezA nibaDnAti asO SArikAm spazwam AlApayati eza mattaH-
   mayūro 'nayā cūtapuṣpeṇa saṃtarjito nṛtyati	mayUraH anayA cUta-puzpeNa saMtarjitaH nRtyati
   katham iyam atikandukakrīḍayā madhyam āyāsayaty alpam eṣā	kaTam iyam ati-kanduka-krIxayA maDyam AyAsayati alpam ezA
   priyeṇopaviṣṭā sahākṣaiḥ parikrīḍati prauḍhayā cānayaitat svayaṃ likhyate	priyeNa-upavizwA saha-akzEH parikrIxati prOXayA ca-AnayA-etat svayam liKyate
   citram ākhyāyikāsau punar vācyate	citram AKyAyikA-asO punar vAcyate
   alam alam atisaṃbhrameṇāsyatāṃ vāsu bhadre cirād dṛśyase	alam alam ati-saMBrameNa-AsyatAm vAsu Badre cirAt dRSyase
   kiṃ bravīṣy adya taṃ praṣṭum arhasy ahaṃ yena mugdhā tathā	kim bravIzi adya tam prazwum arhasi aham yena mugDA taTA
   vañciteti prasādyāsi naḥ svasti te sarvathā sādhayāmo vayam	vaQcitA-iti prasAdya-asi naH svasti te sarvaTA sADayAmaH vayam
   [p.87] (parikramya) idam aparaṃ suhṛtpattanam upasthitam eṣa hi sa	[p.87] (parikramya) idam aparam suhRd-pattanam upasTitam eza hi sa
   bālhikaḥ kāṅkāyano bhiṣag aiśānacandriḥ hariścandraś candra iva	bAlhikaH kAFkAyanaH Bizaj ESAna-candriH hariScandraH candraH iva
   kumudavāpīṃ veśavīthīm avabhāsayann ita evābhivartate tat kim asyeha	kumuda-vApIm veSavITIm avaBAsayan itas eva-aBivartate tat kim asya-iha
   prayojanam (vicintya) ā jñātam eṣa hi tasyāḥ pūrvapraṇayinyā yaśomatyā	prayojanam (vicintya) A jQAtam eza hi tasyAH pUrva-praNayinyA yaSomatyA
   bhaginīṃ priyaṅguyaṣṭikāṃ kāmayate asmān api rahasyenātisaṃdhatte tan na	BaginIm priyaFgu-yazwikAm kAmayate asmAn api rahasyena-atisaMDatte tat na
   śakyam enam apratipadya gantum yāvad upasarpāmi (upagamya) aṃgho	Sakyam enam apratipadya gantum yAvat upasarpAmi (upagamya) aMGaH-
   veśabisavanaikacakravāka, kuto bhavān kiṃ bravīṣi - eṣa hi tasyāḥ	veSa-bisa-vana-eka-cakravAka, kutas BavAn kim bravIzi  eza hi tasyAH
   priyasakhyās te kanīyasīṃ priyaṅguyaṣṭikām auṣadhena saṃbhāvyāgacchāmīti	priya-saKyAH te kanIyasIm priyaFgu-yazwikAm OzaDena saMBAvya-AgacCAmi-iti
   na khalu tasyāḥ suratasubhikṣāyā āmayāvasanno madanāgnis tasya dīpanīyakam	na Kalu tasyAH suratasu-BikzAyAH Amaya-avasannaH madana-agniH tasya dIpanIyakam
   uddiṣṭavān asi kiṃ bravīṣi - muktaḥ parihāsaḥ. kaṣṭā khalu tasyāḥ	uddizwavAn asi kim bravIzi  muktaH parihAsaH. kazwA Kalu tasyAH
   śirovedaneti vayasya yat sat yam kiṃ bravīṣi - kaḥ saṃdehaḥ?	SiraH-vedanA-iti vayasya yat sat yam kim bravIzi  kaH saMdehaH?
   kṛcchrasādhyeti evam etat śirovedanā nāma gaṇikājanasya	kRcCra-sADya-iti evam etat SirovedanA nAma gaNikA-janasya
   lakṣyavyādhiyautakam paśyatu bhavān	lakzya-vyADi-yOtakam paSyatu BavAn
   40 (a) lalāṭe vinyasya kṣatajasadṛśaṃ candanarasaṃ	40 (a) lalAwe vinyasya kzataja-sadRSam candana-rasam
   (b) mṛṇālaiḥ krīḍantī kuvalayapalāśaiḥ sakamalaiḥ	(b) mRNAlEH krIxantI kuvalaya-palASEH sa-kamalEH
   [p.88] (c) salīlaṃ bhrūkṣepair anugatasukhaprāśnikakathā	[p.88] (c) sa-lIlam BrU-kzepEH anugata-suKa-prASnika-kaTA
   ( d) viraktā raktā vā śirasi rujam ākhyāti gaṇikā	( d) viraktA raktA vA Sirasi rujam AKyAti gaNikA
   kiṃ bravīṣi - sadāpi nāma tvaṃ karkaśaparihāsaḥ eṣa khalu tām auṣadhaṃ	kim bravIzi  sadA-api nAma tvam karkaSa-parihAsaH eza Kalu tAm OzaDam
   prāpāyyāgacchāmīti yuktam etat asaṃśayaṃ hi	prApAyya-AgacCAmi-iti yuktam etat asaMSayam hi
   41 (a) dhūnvantyāḥ karapallavaṃ valayinaṃ ghnantyāḥ padā kuṭṭimaṃ	41 (a) DUnvantyAH karapallavam valayinam GnantyAH padA kuwwimam
   (b) bibhrantyāś cyutam aṃśukaṃ saraśanaṃ nābher adhaḥ pāṇinā	(b) biBrantyAH cyutam aMSukam sa-raSanam nABeH aDas pANinA
   (c) tasyā dīrghatarīkṛtākṣam apibaḥ keśagrahair ānanaṃ	(c) tasyAH dIrGatarIkRta-akzam apibaH keSa-grahEH Ananam
   (d) sā vā tvaddaśanacchadauṣadhamalaṃ bālā tvayā pāyitā	(d) sA vA tvad-daSana=-CadOzaDa-malam bAlA tvayA pAyitA
   kiṃ bravīṣi - vayasya eva tathā vidhāsyatīti cora yadi na punar asmān	kim bravIzi  vayasyaH eva taTA viDAsyati-iti cora yadi na punar asmAn
   rahasyenāvakṣepsyasi kiṃ tv adya sarvaviṭaiḥ sarvaviṭamahattarasya	rahasyena-avakzepsyasi kim tu adya sarva-viwEH sarva-viwa-mahattarasya
   bhaṭṭijīmūtasya gṛhe kenacit prayojanena saṃnipatitavyam tad vayasyo 'py	Bawwi-jImUtasya gRhe kenacid prayojanena saMnipatitavyam tat vayasyaH api-
   ahīnakālam āgacchet kiṃ bravīṣi - viditam evaitad viṭajanasya yathā	ahIna-kAlam AgacCet kim bravIzi  viditam eva-etat viwa-janasya yaTA
   viṣṇunāgaprāyaścittadānāyāparāhṇe samāgantavyam iti tad gacchatu bhavān	vizNu-nAga-prAyaScitta-dAnAya-aparAhNe samAgantavyam iti tat gacCatu BavAn
   aham apy āgacchāmīti tathā nāma svasti bhavate sādhayāmas tāvat	aham api AgacCAmi-iti taTA nAma svasti Bavate sADayAmaH tAvat-
   (parikramya) katham idaṃ sarvaviṭair viditam tena hy alpapariśramo 'smi	(parikramya) kaTam idam sarva-viwEH viditam tena hi alpa-pariSramaH asmi
   saṃjātaḥ kevalaṃ veśyāsuhṛtsamāgamaiḥ	saMjAtaH kevalam veSyA-suhRd-samAgamEH
   [p.89] kālo 'nupālayitavyaḥ aye kasya khalv ayam ahūṇo hūṇamaṇḍanamaṇḍita	[p.89] kAlaH anupAlayitavyaH aye kasya Kalu ayam ahUNaH hUNa-maNxana-maNxita
   āryaghoṭakaḥ pāṭaliputrikāyāḥ puṣpadāsyā bhavanadvāram āviṣkaroti	Arya-GowakaH pAwaliputrikAyAH puzpa-dAsyAH Bavana-dvAram Avizkaroti
   (nirvarṇya) ā jñātam. ebhir	(nirvarNya) A jQAtam. eBiH-
   ihābaddhaśvetakāṣṭhakaṛnikāprahasitakapoladeśair bad dhakarair asajjam apy	iha-AbadDa-Sveta-kAzWa-kaRnikA-prahasita-kapola-deSEH bat DakarEH asajjam api-
   asakṛt sajjam iti sāñjaliprativādibhir lāṭaḍiṇḍibhiḥ sūcitaḥ senāpateḥ	asakRt sajjam iti sa-aQjali-prativAdiBiH lAwa-xiNxiBiH sUcitaH senApateH
   senakasyāpatyaratnaṃ bhaṭṭimakhavarmā bhaviṣyati tan na śakyam enam	senakasya-apatya-ratnam BawwimaKa-varmA Bavizyati tat na Sakyam enam
   anabhibhāṣātikramitum atikrāman hi snehamādhyasthaṃ darśayeyam yāvad enam	anaBiBAzA-atikramitum atikrAman hi sneha-mADya-sTam darSayeyam yAvat enam
   upasarpāmi (upetya) bhoḥ kaḥ suhṛdgṛhe (karṇaṃ dattvā) eṣa khalu	upasarpAmi (upetya) BoH kaH suhRd-gRhe (karNam dattvA) eza Kalu
