   (Tvbh_38)	(TvB_38)
   tasya kāryakāraṇabhāvena samavasthānaṃ trikasaṃnipātaḥ | tasmin sati	tasya kArya kAraNa BAvena samavasTAnam trika saMnipAtaH | tasmin sati
   tatsamakālam evendriyasya sukhādivedanānukūlo yo vikāras tena (Tvbh_56)	tad sama kAlam eva indriyasya suKa Adi vedana anukUlaH yaH vikAraH tena (TvB_56)
   sadṛśo viṣayasya sukhādivedanīyākāraparicchedo yaḥ sa sparśaḥ | indriyaṃ	sadRSaH vizayasya suKa Adi vedanIya AkAra paricCedaH yaH sa sparSaH | indriyam
   punar yena viśeṣeṇa sukhaduḥkhādihetutvaṃ pratipadyate sa tasya vikāraḥ |	punar yena viSezeNa suKa duHKa Adi hetu tvam pratipadyate sa tasya vikAraH |
   sparśaḥ punar indriyavikārasādṛśyenendriyaṃ spṛśatīndriyeṇa vā spṛśyata	sparSaH punar indriya vikAra sAdRSyena indriyam spRSati indriyeNa vA spRSyata
   iti sparśa ucyate | ata eva viṣayavikāraparicchedātmako	iti sparSaH ucyate | atas eva vizaya vikAra paricCeda AtmakaH 
   'pīndriyavikārapariccheda uktaḥ | vedanāsaṃniśrayatvam asya karma | evaṃ	api indriya vikAra paricCedaH uktaH | vedanA saMniSraya tvam asya karma | evam
   hy uktaṃ sūtre sukhavedanīyaṃ sparśaṃ pratītyotpadyate sukhaṃ veditam iti	hi uktam sUtre suKa vedanIyam sparSam pratItya utpadyate suKam veditam iti
   vistaraḥ |	vistaraH |
   manaskāraś cetasa ābhogaḥ | ābhujanam ābhogaḥ | ālambane yena cittam	manaskAraH cetasaH ABogaH | ABujanam ABogaH | Alambane yena cittam
   abhimukhīkriyate | sa punar ālambane cittadhāraṇakarmakaḥ | cittadhāraṇaṃ	aBimuKIkriyate | sa punar Alambane citta DAraNa karmakaH | citta DAraNam
   punas tatraivālambane punaḥ punaś cittasyāvarjanam | etac ca karma	punar tatra eva Alambane punar punar cittasya Avarjanam | etat ca karma
   cittasantater ālambananiyamena viśiṣṭaṃ manaskāram adhikṛtyoktaṃ na tu yaḥ	citta santateH Alambana niyamena viSizwam manaskAram aDikRtya uktam na tu yaH
   praticittakṣaṇaṃ tasya hi pratikṣaṇam eva vyāpāro na kṣaṇāntare |	praticitta kzaNam tasya hi pratikzaNam eva vyApAraH na kzaNa antare |
   vedanā anubhavasvabhāvā | sā punar	vedanA anuBava svaBAvA | sA punar 
   viṣayasyāhlādakaparitāpakatadubhayākāraviviktasvarūpasākṣātkaraṇabhedāt	vizayasya AhlAdaka paritApaka tad uBaya AkAra vivikta svarUpa sAkzAt karaNa BedAt 
   tridhā bhavati | sukhā | duḥkhā | aduḥkhāsukhā ca |	triDA Bavati | suKA | duHKA | aduHKa asuKA ca |
   evaṃ tv anye manyante | śubhāśubhānāṃ karmaṇāṃ phalavipākaṃ	evam tu anye manyante | SuBa aSuBAnAm karmaNAm Pala vipAkam
   pratyanubhavanty anenety anubhavaḥ | tatra śubhānāṃ karmaṇāṃ sukho	pratyanuBavanti anena iti anuBavaH | tatra SuBAnAm karmaNAm suKaH 
   'nubhavaḥ phalavipākaḥ | aśubhānāṃ duḥkhaḥ | ubhayeṣām aduḥkhāsukhaḥ |	anuBavaH Pala vipAkaH | aSuBAnAm duHKaH | uBayezAm aduHKa asuKaH |
   atra cālayavijñānam eva śubhāśubhakarmavipākaḥ | tatsaṃprayuktaivopekṣā	atra ca Alaya vijQAnam eva SuBa aSuBa karma vipAkaH | tad saMprayuktA eva upekzA
   paramārthataḥ śubhāśubhānāṃ karmaṇāṃ phalavipākaḥ | sukhaduḥkhayos tu	paramArTataH SuBa aSuBAnAm karmaNAm Pala vipAkaH | suKa duHKayoH tu
   kuśalākuśalakarmavipākajatvād vipākopacāraḥ |	kuSala akuSala karma vipAka ja tvAt vipAka upacAraH |
   tatra sukho 'nubhavo yasminn utpanne viyogecchā niruddhe ca punaḥ	tatra suKaH anuBavaH yasmin utpanne viyoga icCA nirudDe ca punar 
   saṃyogecchā jāyate | duḥkho 'nubhavo yasminn utpanne viyogecchā niruddhe	saMyoga icCA jAyate | duHKaH anuBavaH yasmin utpanne viyoga icCA nirudDe
   ca punar asaṃyogecchā | aduḥkhāsukho yasminn utpanne niruddhe cobhyaṃ na	ca punar asaMyoga icCA | aduHKa asuKaH yasmin utpanne nirudDe coByam na
   jāyate |	jAyate |
   saṃjñā viṣayanimittodgrahaṇam | viṣaya ālambanam | nimittaṃ tadviśeṣo	saMjQA vizaya nimitta udgrahaNam | vizayaH Alambanam | nimittam tad viSezaH 
   nīlapītādyālambanavyavasthākāraṇam | tasyodgrahaṇaṃ nirūpaṇaṃ nīlam etan	nIla pIta Adi Alambana vyavasTA kAraNam | tasya udgrahaNam nirUpaNam nIlam etat 
   na pītam iti |	na pItam iti |
   (Tvbh_58)	(TvB_58)
   cetanā cittābhisaṃskāro manasaś ceṣṭā yasyāṃ satyām ālambanaṃ prati	cetanA citta aBisaMskAraH manasaH cezwA yasyAm satyAm Alambanam prati
   cetasaḥ praspanda iva bhavaty ayaskāntavaśād ayaḥpraspandavat |	cetasaH praspandaH iva Bavati ayaskAnta vaSAt ayaH praspanda vat |
   vedanā trividhā sukhā duḥkhā aduḥkhāsukhā ca | dharmāś catuḥ prakārāḥ	vedanA triviDA suKAH duHKAH aduHKa asuKA ca | DarmAH catuH prakArAH
   kuśalā akuśalā anivṛtāvyākṛtā nivṛtāvyākṛtāś ca | tatrālayavijñāne vid iti	kuSalAH akuSalAH anivRta avyAkRtAH nivRta avyAkRtAH ca | tatra Alaya vijQAne vid iti
   sāmānyopadeśena na vijñāyate tisṝṇāṃ vedanānāṃ katamā vedanā | tathā tad	sAmAnya upadeSena na vijQAyate tisLNAm vedanAnAm katamA vedanA | taTA tat 
   api kiṃ kuśalam akuśalam anivṛtāvyākṛtaṃ nivṛtāvyākṛtam iti na vijñāyata	api kim kuSalam akuSalam anivRta avyAkRtam nivRta avyAkRtam iti na vijQAyata
   ity ata āha |	iti atas Aha |
   upekṣā vedanā tatrānivṛtāvyākṛtañ ca tat | 4ab	upekzA vedanA tatra anivRta avyAkRtan ca tat | 4ab
   tatrety ālayavijñānam eva prakṛtatvāt saṃbadhyate | upekṣaivālayavijñāne	tatra iti Alaya vijQAnam eva prakRta tvAt saMbaDyate | upekzA eva Alaya vijQAne
   vedanā na sukhā na duḥkhā tayoḥ paricchinnālambanākāratvād	vedanA na suKA na duHKA tayoH paricCinna Alambana AkAra tvAt 
   rāgadveṣānuśayitatvāc ca |	rAga dveza anuSayita tvAt ca |
   anivṛtāvyākṛtañ ca tat | (4b)	anivRta avyAkRtan ca tat | (4b)
   ālayavijñānam iti prakṛtam | tatrānivṛtagrahaṇaṃ nivṛtavyavacchedārtham |	AlayavijQAnam iti prakRtam | tatra anivRta grahaNam nivRta vyavacCeda arTam |
   avyākṛtagrahaṇaṃ kuśalākuśalavyavacchedārtham |	avyAkRta grahaNam kuSala akuSala vyavacCeda arTam |
   manobhūmikair āgantukair upakleśair anāvṛtatvād anivṛtam | vipākatvād	manaH BUmikEH AgantukEH upakleSEH anAvRta tvAt anivRtam | vipAka tvAt 
   vipākaṃ prati kuśalākuśalatvenāvyākaraṇād avyākṛtam |	vipAkam prati kuSala akuSala tvena avyAkaraNAt avyAkRtam |
   (Tvbh_60)	(TvB_60)
   tathā sparśādayaḥ | 4c	taTA sparSa AdayaH | 4c
   yathālayavijñānam ekāntena vipāko 'paricchinnālambanākāraṃ sadā	yaTA Alaya vijQAnam ekAntena vipAkaH aparicCinna Alambana AkAram sadA
   sparśādibhir anvitaṃ tatra copekṣaiva vedanānivṛtāvyākṛtañ ca tathā	sparSa AdiBiH anvitam tatra ca upekzA eva vedanA nivRta avyAkRtan ca taTA
   sparśādayo 'py ekāntena vipākā evāparicchinnālambanākārāś ca | ātmānaṃ	sparSa AdayaH api ekAntena vipAkAH eva aparicCinna Alambana AkArAH ca | AtmAnam
   hitvetaraiś caturbhir ālayavijñānena ca nityam anugatās teṣu copekṣaiva	hitvA itarEH caturBiH Alaya vijQAnena ca nityam anugatAH tezu ca upekzA eva
   vedanānivṛtāvyākṛtāś cālayavijñānavat | na hi vipākena saṃprayuktānām	vedanA nivRta avyAkRtAH ca Alaya vijQAna vat | na hi vipAkena saMprayuktAnAm
   avipākatvam aparicchinnālambanākāreṇa ca paricchinnālambanākāratvaṃ	avipAka tvam aparicCinna Alambana AkAreNa ca paricCinna Alambana AkAra tvam
   saṃbhavati | evam anyatrāpi vācyam ||	saMBavati | evam anyatra api vAcyam ||
   kiṃ punas tad ālayavijñānam ekam abhinnam āsaṃsāram anuvartate | uta	kim punar tat AlayavijQAnam ekam aBinnam AsaMsAram anuvartate | uta
   saṃtānena | na hi tad ekam abhinnam anuvartate kṣaṇikatvāt |	saMtAnena | na hi tat ekam aBinnam anuvartate kzaNika tvAt |
   kiṃ tarhi |	kim tarhi |
   tac ca vartate srotasaughavat || 4d	tat ca vartate srotasA oGa vat || 4d
   tac cety ālayavijñānam eva saṃbadhyate | tatra sroto hetuphalayor	tat ca iti Alaya vijQAnam eva saMbaDyate | tatra srotaH hetu PalayoH 
   nairantaryaprabandhena pravṛttiḥ | udakasamūhasya pūrvāparabhāgāvicchedena	nErantarya prabanDena pravRttiH | udaka samUhasya pUrva apara BAga avicCedena
   pravāha ogha ity ucyate | yathā hy oghas tṛṇakāṣṭhagomayādīn ākarṣayaṅ	pravAhaH oGaH iti ucyate | yaTA hi oGaH tRNa kAzWa gomaya AdIn AkarzayaF
   gacchaty evam ālayavijñānam api puṇyāpuṇyāneñjyakarmavāsanānugataṃ	gacCati evam Alaya vijQAnam api puNya apuNyAneQjya karma vAsanA anugatam
   sparśamanaskārādīn ākarṣan srotasāsaṃsāram avyuparataṃ pravartata iti |	sparSa manaskAra AdIn Akarzan srotasA saMsAram avyuparatam pravartate iti |
   tasyaivaṃ śrotasā pravṛttasya kasyām avasthāyāṃ vyāvṛttir ity āha |	tasya evam SrotasA pravRttasya kasyAm avasTAyAm vyAvRttiH iti Aha |
   tasya vyāvṛttir arhattve | 5a	tasya vyAvRttiH arhat tve | 5a
   kiṃ punar arhattvam | yadyogād arhann ity ucyate | kasya punar yogād	kim punar arhat tvam | yat yogAt arhan iti ucyate | kasya punar yogAt 
   arhann ity ucyate | kṣayajñānānutpādajñānalābhāt | tasyāṃ hy avasthāyām	arhan iti ucyate | kzaya jQAna anutpAda jQAna lABAt | tasyAm hi avasTAyAm
   ālayavijñānāśritadauṣṭhulyaniravaśeṣaprahāṇād ālayavijñānaṃ vyāvṛttaṃ	Alaya vijQAna ASrita dOzWulya niravaSeza prahANAt AlayavijQAnam vyAvRttam
   bhavati | saiva cārhadavasthā | uktaḥ savibhaṅgo vipākapariṇāmaḥ |	Bavati | sA eva ca arhat avasTA | uktaH sa viBaFgaH vipAka pariNAmaH |
   (Tvbh_62)	(TvB_62)
   idānīṃ mananākhyāṃ dvitīyaṃ pariṇāmam āha | tad āśritya pravartata iti	idAnIm mananA AKyAm dvitIyam pariNAmam Aha | tat ASritya pravartate iti
   vistaraḥ | tatra yathā cakṣurādivijñānānāṃ cakṣurādaya āśrayatvena	vistaraH | tatra yaTA cakzuH Adi vijQAnAnAm cakzuH AdayaH ASraya tvena
   rūpādayaś cālambanatvena prasiddhā naiva kliṣṭasya manasa āśraya ālambanaṃ	rUpa AdayaH ca Alambana tvena prasidDA na eva klizwasya manasaH ASraya Alambanam
   vā prasiddham |	vA prasidDam |
   na ca vijñānam āśrayālambananirapekṣaṃ yujyata ity ataḥ kliṣṭasya manasa	na ca vijQAnam ASraya Alambana nirapekzam yujyate iti atas klizwasya manasa
   āśrayālambanapratipādanārthaṃ niruktipratipādanārthañ cāha |	ASraya Alambana pratipAdana arTam nirukti pratipAdana arTan ca Aha |
   tad āśritya pravartate |	tat ASritya pravartate |
   tadālambaṃ manonāma vijñānaṃ mananātmakam || 5bcd	tad Alambam manaH nAma vijQAnam mananA Atmakam || 5bcd
   tad āśritya pravartata iti tacchabdenālayavijñānam abhisaṃbadhyate |	tat ASritya pravartate iti tad Sabdena Alaya vijQAnam aBisaMbaDyate |
   tadvāsanāśrayo hy ālayavijñānam atas tad āśritya pravartate	tad vAsanA ASrayaH hi Alaya vijQAnam atas tat ASritya pravartate
   santānenotpadyata ity arthaḥ | atha vā yasmin dhātau bhūmau vālayavijñānaṃ	santAnena utpadyate iti arTaH | aTa vA yasmin DAtO BUmO vAlaya vijQAnam
   vipākas tad api kliṣṭaṃ manas taddhātukaṃ tadbhūmikaṃ ceti	vipAkaH tat api klizwam manaH tad hAtukam tat BUmikam ca iti
   tatpratibaddhavṛttitvāt tad āśritya pravartate |	tad pratibadDa vRtti tvAt tat ASritya pravartate |
   tadālambam ity ālayavijñānālambanam eva satkāyadṛṣṭyādibhiḥ saṃprayogād	tad Alambam iti Alaya vijQAna Alambanam eva sat kAya dRzwi AdiBiH saMprayogAt 
   ahaṃ mamety ālayavijñānālambanatvāt | kathaṃ punar yata eva cittād	aham mama iti Alaya vijQAna Alambana tvAt | kaTam punar yatas eva cittAt 
   utpadyate tad eva tadālambanaṃ bhavati | yathā tad anicchatāṃ keṣāṃcit	utpadyate tat eva tad Alambanam Bavati | yaTA tat anicCatAm kezAMcid 
   kasyāñcid avasthāyāṃ yata eva cittān manovijñānam utpadyate tadālambanam	kasyAQcid avasTAyAm yatas eva cittAn manaH vijQAnam utpadyate tad Alambanam
   eva tad utpadyate |	eva tat utpadyate |
   manonāma vijñānam iti mana iti nāma ākhyā yasya vijñānasya tad	manaH nAma vijQAnam iti manaH iti nAma AKyA yasya vijQAnasya tat 
   ālayavijñānam āśritya pravarte tadālambanaṃ ca manonāmety	Alaya vijQAnam ASritya pravarte tad Alambanam ca manaH nAma iti 
   anenālayavijñānāt pravṛttivijñānāc ca vyavacchinatti | tat punaḥ kiṃ	anena Alaya vijQAnAt pravRtti vijQAnAt ca vyavacCinatti | tat punar kim
   svabhāvam ity āha | mananātmakam iti | evaṃ mananātmakatvān mana ity	svaBAvam iti Aha | mananA Atmakam iti | evam mananA Atmaka tvAt manaH iti 
   ucyate nairūktena vidhinā |	ucyate nErUktena viDinA |
   (Tvbh_64)	(TvB_64)
   vijñānasvarūpatvād avaśyaṃ tac caittaiḥ saṃprayujyate | idaṃ tu na jñāyate	vijQAna svarUpa tvAt avaSyam tat cEttEH saMprayujyate | idam tu na jQAyate
   katamais tac caittaiḥ kiyadbhiḥ kiyantaṃ kālaṃ vā saṃprayujyata ity ata	katamEH tat cEttEH kiyadBiH kiyantam kAlam vA saMprayujyate iti ata
   āha |	Aha |
   kleśaiś caturbhiḥ sahitaṃ nivṛtāvyākṛtaiḥ sadā | 6ab	kleSEH caturBiH sahitam nivRta avyAkRtEH sadA | 6ab
   caittā hi dviprakārāḥ kleśās tad anye ca | tadanyebhyo vyavacchedārtham	cEttAH hi dvi prakArAH kleSAH tat anye ca | tad anyeByaH vyavacCeda arTam
   āha kleśair iti | kleśā api ṣaṭ | na ca taiḥ saṃprayujyate 'taś caturbhir	Aha kleSEH iti | kleSAH api zaw | na ca tEH saMprayujyate atas caturBiH 
   ity āha | sahitam iti saṃprayuktam |	iti Aha | sahitam iti saMprayuktam |
   kleśā api dvividhāḥ | akuśalā nivṛtāvyākṛtāś ca | akuśalebhyo viśeṣārtham	kleSAH api dviviDAH | akuSalAH nivRta avyAkRtAH ca | akuSaleByaH viSeza arTam
   āha nivṛtāvyākṛtair iti | na hi nivṛtena vijñānenākuśalānāṃ saṃprayogaḥ	Aha nivRta avyAkRtEH iti | na hi nivRtena vijQAnena akuSalAnAm saMprayogaH
   saṃbhavati | nivṛtāḥ kliṣṭatvāt | avyākṛtāḥ kuśalākuśalatvenāvyākaraṇāt |	saMBavati | nivRtAH klizwa tvAt | avyAkRtAH kuSala akuSala tvena avyAkaraNAt |
   sadeti sarvakālam | yāvat tad asti tāvat taiḥ saṃprayuktam |	sadA iti sarvakAlam | yAvat tat asti tAvat tEH saMprayuktam |
   sāmānyanirdeśād viśeṣato na jñāyanta iti viśeṣato nirdiśati |	sAmAnya nirdeSAt viSezataH na jQAyante iti viSezataH nirdiSati |
   ātmadṛṣṭyātmamohātmamānātmasnehasaṃjñitaiḥ || 6cd	Atma dRzwi Atma moha Atma mAna Atma sneha saMjQitEH || 6cd
   upādānaskandheṣv ātmeti darśanam ātmadṛṣṭiḥ satkāyadṛṣṭir ity arthaḥ |	upAdAna skanDezu AtmA iti darSanam Atma dRzwiH sat kAya dRzwiH iti arTaH |
   moho 'jñānam | ātmany ajñānam ātmamohaḥ | ātmaviṣaye māna ātmamāno	mohaH ajQAnam | Atmani ajQAnam Atma mohaH | Atma vizaye mAnaH Atma mAnaH 
   'smimāna ity arthaḥ | ātmani sneha ātmasneha ātmapremety arthaḥ |	asmimAnaH iti arTaH | Atmani snehaH Atma snehaH Atma prema iti arTaH |
   tatrālayavijñānasvarūpe saṃmūḍhaḥ sann ālayavijñāne ātmadṛṣṭim utpādayati	tatra Alaya vijQAna svarUpe saMmUXaH san AlayavijQAne Atma dRzwim utpAdayati
   | ātmadarśanād yā cittasyonnatiḥ so 'smimānaḥ | etasmiṃs traye saty	| Atma darSanAt yA cittasya unnatiH saH asmimAnaH | etasmin traye saty
   ātmābhimate vastuni yo 'bhiṣvaṅgaḥ sa ātmasnehaḥ |	Atma aBimate vastuni yaH aBizvaFgaH saH Atma snehaH |
   (Tvbh_66)	(TvB_66)
   āha ca |	Aha ca |
   avidyayā cātmadṛṣṭyā cāsmimānena tṛṣṇayā |	avidyayA ca Atma dRzwyA ca asmi mAnena tRzNayA |
   ebhiś caturbhiḥ saṃkliṣṭaṃ mananālakṣaṇaṃ manaḥ ||	eBiH caturBiH saMklizwam mananA lakzaNam manaH ||
   viparyāsanimittaṃ tu manaḥ kliṣṭaṃ sadaiva tat |	viparyAsa nimittam tu manaH klizwam sadA eva tat |
   kuśalāvyākṛte citte sadāhaṅkārakāraṇam ||	kuSala avya AkRte citte sadA ahaFkAra kAraNam ||
   ete hy ātmamohādayaḥ kleśā manovan navabhūmikāḥ |	ete hi Atma moha AdayaH kleSAH manaH vat nava BUmikAH |
   iha ca sāmānyenābhidhānān na jñāyate kiṃ svabhūmikair eva saṃprayujyate |	iha ca sAmAnyena aBiDAnAt na jQAyate kim sva BUmikEH eva saMprayujyate |
   utānyabhūmikair apīty ata āha |	uta anya BUmikEH api iti atas Aha |
   yatrajas tanmayair 7a	yatrajaH tad mayEH 7a
   iti | yatra jāto yatrajaḥ | tanmayair iti yatra dhātau bhūmau vā jātas	iti | yatra jAtaH yatrajaH | tad mayEH iti yatra DAtO BUmO vA jAta s
   taddhātukais tadbhūmikair eva ca saṃprayujyate | nānyadhātukair	tad DAtukEH tad BUmikEH eva ca saMprayujyate | na anya DAtukEH 
   anyabhūmikair vā |	anya BUmikEH vA |
   kiṃ punaś caturbhir eva kleśaiḥ saṃprayujyate | nety āha |	kim punar caturBiH eva kleSEH saMprayujyate | na iti Aha |
   anyaiḥ sparśādyaiś ca | 7b	anyEH sparSa AdyEH ca | 7b
   saṃprayujyata iti saṃbadhyate | caśabdaḥ samuccayārthaḥ | sparśādyair iti	saMprayujyate iti saMbaDyate | caSabdaH samuccaya arTaH | sparSa AdyEH iti
   sparśamanaskāravedanāsaṃjñācetanābhiḥ | ete hi pañca dharmāḥ	sparSa manaskAra vedanA saMjQA cetanABiH | ete hi paQca DarmAH
   sarvatragatvāt sarvavijñānaiḥ saṃprayujyante | etair api yatra jātas	sarvatraga tvAt sarva vijQAnEH saMprayujyante | etEH api yatra jAta s
   tanmayair eva saṃprayujyate nānyadhātubhūmikaiḥ |	tad mayEH eva saMprayujyate na anya DAtu BUmikEH |
   (Tvbh_68)	(TvB_68)
   atha vānyair iti mūlavijñānasaṃprayuktebhyo vyavacchedārtham	aTa vA anyEH iti mUla vijQAna saMprayukteByaH vyavacCeda arTam
   | mūlavijñāne hy anivṛtāvyākṛtāḥ sparśādayaḥ | kliṣṭe tu manasi manovan	| mUla vijQAne hi anivRta avyAkRtAH sparSa AdayaH | klizwe tu manasi manovan
   nivṛtāvyākṛtāḥ |	nivRta avyAkRtAH |
   yadi tat kliṣṭaṃ manaḥ kuśalakliṣṭāvyākṛtāvasthāsv aviśeṣeṇa pravartate na	yadi tat klizwam manaH kuSala klizwa avyAkRta avasTAsu aviSezeNa pravartate na
   tasya tarhi nivṛttir asti | anivṛtte ca tasmin kuto mokṣa iti kathaṃ na	tasya tarhi nivRttiH asti | anivRtte ca tasmin kutas mokzaH iti kaTam na
   mokṣābhāvaḥ prasajyate | na prasajyate yasmād	mokza aBAvaH prasajyate | na prasajyate yasmAt 
   arhato na tat |	arhataH na tat |
   na nirodhasamāpattau mārge lokottare na ca || 7bcd	na niroDa samApattO mArge lokottare na ca || 7bcd
   arhatas tāvad aśeṣakleśaprahāṇāt kliṣṭaṃ mano naivāsti | tad dhi	arhataH tAvat aSeza kleSa prahANAt klizwam manaH na eva asti | tat Di
   bhāvāgrikabhāvanāprahātavyakleśavad arhattvaprāptyānantaryamārgeṇaiva	BAva agrika BAvanA prahAta vya kleSa vat arhat tva prApti Anantarya mArgeNa eva
   prahīyate | tad anyakleśavad arhattvāvasthāyān naiva vidyate |	prahIyate | tat anya kleSa vat arhat tva avasTAyAt na eva vidyate |
   ākiñcanyāyatanavītarāgasyāpy anāgāmino nirodhasamāpattilābhino mārgabalena	AkiQcani Ayatana vIta rAgasya api anAgAminaH niroDa samApatti lABinaH mArga balena
   nirodhasamāpatter labhyatvāṃ mārgavan nirodhasamāpattyavasthāyām api	niroDa samApatteH laBya tvAm mArga vat niroDa samApatti avasTAyAm api
   nirudhyate | nirodhāc ca vyutthitasya punar ālayavijñānād eva pravartate |	niruDyate | niroDAt ca vyutTitasya punar Alaya vijQAnAt eva pravartate |
   mārge lokottare na ceti (7d)	mArge lokottare na ca iti (7d)
   lokottaragrahaṇaṃ laukikavyavacchedārtham | laukike tu mārge kliṣṭaṃ manaḥ	loka uttara grahaNam lOkika vyavacCeda arTam | lOkike tu mArge klizwam manaH
   pravartata eva | nairātmyadarśanasyātmadarśanapratipakṣatvān na	pravartate eva | nErAtmya darSanasya Atma darSana pratipakza tvAt na
   lokottaramārge pravartitum utsaheta | vipakṣapratipakṣayor ayaugapadyāl	loka uttara mArge pravartitum utsaheta | vipakza pratipakzayoH ayOgapadyAl
   lokottaramārge tan nirudhyate | tasmād api vyutthitasya punar	loka uttara mArge tat niruDyate | tasmAt api vyutTitasya punar 
   ālayavijñānād evotpadyate |	Alaya vijQAnAt eva utpadyate |
   (Tvbh_70)	(TvB_70)
   dvitīyaḥ pariṇāmo 'yam 8a	dvitIyaH pariNAmaH ayam 8a
   uddiṣṭo nidiṣṭaś ceti nigamayati |	uddizwaH nidizwaH ca iti nigamayati |
   dvitīyapariṇāmāntaraṃ tṛtīyaḥ pariṇāmo vaktavya ity ata āha |	dvitIya pariNAma antaram tRtIyaH pariNAmaH vaktavyaH iti atas Aha |
   tṛtīyaḥ ṣaḍvidhasya yā |	tRtIyaH zaxviDasya yA |
   viṣayasyopalabdhiḥ sā 8bc	vizayasya upalabDiH sA 8bc
   tṛtīyo vijñānapariṇāma iti vākyaśeṣaḥ | ṣaḍvidhasyeti ṣaṭprakārasya	tRtIyaH vijQAna pariNAmaH iti vAkya SezaH | zaxviDasya iti zaz prakArasya
   rūpaśabdagandharasaspraṣṭavya dharmātmakasya viṣayasya yā upalabdhir	rUpa Sabda ganDa rasa sprazwavya Darma Atmakasya vizayasya yA upalabDiH 
   grahaṇaṃ pratipattir ity arthaḥ |	grahaNam pratipattiH iti arTaH |
   sā punaḥ kiṃ kuśalākuśalāvyākṛtety ata āha |	sA punar kim kuSala akuSala avyAkRtA iti atas Aha |
   kuśalākuśalādvayā || 8d	kuSala akuSala advayAH || 8d
   kuśalākuśalādvayety avyākṛtāpi | alobhādveṣāmohaiḥ saṃprayuktā kuśalā |	kuSala akuSalA dvaya iti avyAkRtA api | aloBAt vezA mohEH saMprayuktA kuSalAH |
   lobhadveṣamohaiḥ saṃprayuktākuśalā | kuśalākuśalair asaṃprayuktādvayā na	loBa dveza mohEH saMprayuktA kuSalAH | kuSala akuSalEH asaMprayuktA dvayAH na
   kuśalā nākuśalety arthaḥ |	kuSalA na akuSala iti arTaH |
   sā punaḥ kīdṛśaiś caitasikaiḥ saṃprayujyate | kiyanto vā tatsaṃprayogiṇaś	sA punar kIdRSEH cEtasikEH saMprayujyate | kiyantaH vA tad saMprayogiNaH 
   caitasikā ity ata āha |	cEtasikA iti atas Aha |
   sarvatragair viniyataiḥ kuśalaiś caitasair asau |	sarvatragEH viniyatEH kuSalEH ca etasEH asO |
   saṃprayuktā tathā kleśair upakleśais trivedanā || 9	saMprayuktA taTA kleSEH upakleSEH tri vedanA || 9
   (Tvbh_72)	(TvB_72)
   ya ete sarvatragādaya uddiṣṭās te na vijñāyanta ity atas	ye ete sarvatraga AdayaH uddizwAH te na vijQAyante iti atas
   tatpradarśanārtham āha |	tad pradarSana arTam Aha |
   adyāḥ sparśādayaḥ | 10a	adyAH sparSa AdayaH | 10a
   ādau nirdiṣṭatvād ādyāḥ sarvatragā ity arthaḥ | tathā hi |	AdO nirdizwa tvAt AdyAH sarvatragAH iti arTaH | taTA hi |
   sadāsparśamanaskāravitsaṃjñācetanānvitam (3cd)	sadA sparSa manaskAra vid saMjQA cetana anvitam (3cd)
   iti prathamato nirdiṣṭāḥ | sparśa eṣām ādir iti sparśādayaḥ | te punaḥ	iti praTamatas nirdizwAH | sparSaH ezAm AdiH iti sparSa AdayaH | te punar 
   sparśamanaskārādayaḥ pañca dharmāḥ sarvacittam anugacchantīti sarvatragāḥ	sparSa manaskAra AdayaH paQca DarmAH sarva cittam anugacCanti iti sarvatragAH
   | tathā hy eta ālayavijñāne kliṣṭe manasi pravṛttivijñāneṣu cāviśeṣeṇa	| taTA hi ete AlayavijQAne klizwe manasi pravRtti vijQAnezu ca aviSezeNa
   pravartante |	pravartante |
   viniyatān adhikṛtyāha |	viniyatAn aDikRtya Aha |
   chandādhimokṣasmṛtayaḥ saha |	Canda aDimokza smRtayaH saha |
   samādhidhībhyāṃ niyatāḥ | 10bc	samADi DIByAm niyatAH | 10bc
   viśeṣe niyatatvād viniyatāḥ | eṣāṃ hi viśeṣa eva viṣayo na sarvaḥ |	viSeze niyata tvAt viniyatAH | ezAm hi viSezaH eva vizayaH na sarvaH |
   tatra chando 'bhiprete vastuny abhilāṣaḥ | abhiprete vastuny abhilāṣa iti	tatra CandaH aBiprete vastuni aBilAzaH | aBiprete vastuni aBilAzaH iti
   pratiniyataviṣayatvaṃ jñāpitaṃ bhavaty anabhiprete chandābhāvāt |	pratiniyata vizaya tvam jQApitam Bavati anaBiprete Canda aBAvAt |
   darśanaśravaṇādikriyāviṣayatvena yad abhimataṃ vastu tad abhipretam |	darSana SravaNa Adi kriyA vizaya tvena yat aBimatam vastu tat aBipretam |
   tatra darśanaśravaṇādiprārthanā chandaḥ | sa ca	tatra darSana SravaNa Adi prArTanA CandaH | sa ca
   vīryārambhasaṃniśrayadānakarmakaḥ |	vIrya AramBa saMniSraya dAna karmakaH |
   adhimokṣo niścite vastuni tathaivāvadhāraṇam | niścitagrahaṇam	aDimokzaH niScite vastuni taTA eva avaDAraNam | niScita grahaNam
   aniścitapratiṣedhārtham | yuktita āptopadeśato vā yad vastu asaṃdigdhaṃ	aniScita pratizeDa arTam | yuktitaH Apta upadeSataH vA yat vastu asaMdigDam
   tan niścitam | yenaivākāreṇa tan niścitam anityaduḥkhādyākāreṇa	tat niScitam | yena eva AkAreNa tat niScitam anitya duHKa Adi AkAreNa
