   sāṃkhyaparibhāṣā /	sAMKya-pariBAzA /
   jalpanti vividhā vāco kimarthaṃ sukhaduḥkhayoḥ // 25 //	jalpanti viviDAH vAcaH kimarTam suKa-duHKayoH // 25 //
   asti bhāti priyaṃ sthiramasthiraṃ nāma rūpakam /	asti BAti priyam sTiram-asTiram nAma rUpakam /
   catvāra īṣaṇā tyājyāḥ sohameko nirañjanaḥ // 26 //	catvAraH IzaNA tyAjyAH soham-ekaH niraQjanaH // 26 //
   mātṛkādhvanirūpā ca vartate viśvamāyayā /	mAtRkA-aDvanirUpA ca vartate viSva-mAyayA /
   jānīhi tatra tannādaṃ vyartho 'rthaḥ pratipadyate // 27 //	jAnIhi tatra tad-nAdam vyarTaH arTaH pratipadyate // 27 //
   amanastu sadā deho yathā grāmo vinā janāt /	amanaH-tu sadA dehaH yaTA grAmaH vinA janAt /
   brahmādyopi na karttavyaḥ sa paśuścātmaghātakaḥ // 28 //	brahma-Adya-upi na karttavyaH sa paSuH-ca-Atma-GAtakaH // 28 //
   uttamā ca laye līnā dhyānadhāraṇamadhyamāḥ /	uttamA ca laye lInAH DyAna-DAraNa-maDyamAH /
   adhamā pratimāpūjā gītanṛtyaṃ dhamodhamaḥ // 29 //	aDamA pratimA-pUjA gIta-nRtyam DamoDamaH // 29 //
   snānaṃ mano malatyāgaḥ śaucamindriyanigrahaḥ /	snAnam manaH mala-tyAgaH SOcam-indriya-nigrahaH /
   abhedadarśanaṃ jñānaṃ dhyānaṃ nirviṣayaṃ manaḥ // 30 //	aBeda-darSanam jQAnam DyAnam nirvizayam manaH // 30 //
   sthūlapeśivat pratyakṣaṃ liṅgaṃ vandhyaṃ yathā striyaḥ /	sTUla-peSi-vat pratyakzam liFgam vanDyam yaTA striyaH /
   manasātmaikarūpeṇa svayaṃ brahma sanātanam // 31 //	manasA-Atma-eka-rUpeNa svayam brahma sanAtanam // 31 //
   śrutismṛtyarthapūrṇaṃ ca samādheścittasaurabham /	Sruti-smRti-arTa-pUrNam ca samADeH-citta-sOraBam /
   yāvaddehābhimānaṃ ca tāvatyo niṣphalā kriyāḥ // 32 //	yAvat-deha-aBimAnam ca tAvatyaH nizPalA kriyAH // 32 //
   saṃsārakarma āsakto brahmāhamiti manyate /	saMsAra-karma AsaktaH brahma-aham-iti manyate /
   karmabrahmobhayabhraṣṭastaṃ tyajedantyajaṃ yathā // 33 //	karma-brahma-uBaya-BrazwaH-tam tyajet-antyajam yaTA // 33 //
   samādhervikṣepo yasya nānāyuktiprakārakaḥ /	samADeH-vikzepaH yasya nAnA-yukti-prakArakaH /
   yāvaddehalayaṃ naitāvanto mohakārakāḥ // 34 //	yAvat-deha-layam na-etAvantaH moha-kArakAH // 34 //
   ekosau yogavāsī ca dvayaṃ grāmastathaiva ca /	ekosO yoga-vAsI ca dvayam grAmaH-taTA-eva ca /
   tṛtīyaṃ nagaraṃ caiva manye yadvanavāsinām // 35 //	tRtIyam nagaram ca-eva manye yat-vanavAsinAm // 35 //
   vedaśāstrapurāṇāni nānāyuktiṃ ca valgunā /	veda-SAstra-purANAni nAnA-yuktim ca valgunA /
   vyavasayātmikā buddhirna tu sādhanarūpakā // 36 //	vyavasaya-AtmikA budDiH-na tu sADana-rUpakAH // 36 //
   āloḍya caturo vedān sarvaśāstrāṇi sarvadā /	Aloxya caturaH vedAn sarva-SAstrANi sarvadA /
   yo vai tattvaṃ na jānāti darvīpākarasaṃ yathā // 37 //	yaH vE tattvam na jAnAti darvI-pAka-rasam yaTA // 37 //
   śabdabrahmaṇi niṣṇāto snāyātsa parame yadi /	SabdabrahmaNi nizNAtaH snAyAt-sa parame yadi /
   śramastasya śramaphalaṃ hyadhenuriva rakṣakaḥ // 38 //	SramaH-tasya Srama-Palam hi-aDenuH-iva rakzakaH // 38 //
   ākāśadarpaṇe yasminyajjagadbhāsate 'khilam /	AkASa-darpaNe yasmin-yat-jagat-BAsate aKilam /
   tatsarvaṃ brahmarūpaṃ ca māyāmayaviceṣṭitam // 39 //	tat-sarvam brahma-rUpam ca mAyA-maya-vicezwitam // 39 //
   yā niśā sarvabhūtānāṃ tasyāṃ jāgarti saṃyamī /	yA niSA sarva-BUtAnAm tasyAm jAgarti saMyamI /
   yasyāṃ jāgarti bhūtāni sā niśā paśyato muneḥ // 40 //	yasyAm jAgarti BUtAni sA niSA paSyataH muneH // 40 //
   nāhaṃ deho na ca prāṇo nendriyāṇi tathaiva ca /	na-aham dehaH na ca prANaH na-indriyANi taTA-eva ca /
   na mano hanta buddhiśca naiva cittamahaṅkṛtiḥ // 41 //	na manaH hanta budDiH-ca na-eva cittam-ahaFkRtiH // 41 //
   nāhaṃ manuṣyo na ca deva yakṣo na brāhmaṇaḥ kṣatriyavaiśyaśūdraḥ /	na-aham manuzyaH na ca deva yakzaH na brAhmaNaH kzatriya-vESya-SUdraH /
   na brahmacārī na gṛhī vanastho bhikṣurna cāhaṃ nijabodharūpaḥ // 42 //	na brahmacArI na gRhI vana-sTaH BikzuH-na ca-aham nija-boDa-rUpaH // 42 //
   kāryakāraṇaceṣṭā ca trividhaṃ kalpanākṛtam /	kArya-kAraNa-cezwA ca triviDam kalpanA-kRtam /
   manohaṅkārasaṃyuktaṃ vyarthaṃ ca śabdamālikā // 43 //	manohaFkAra-saMyuktam vyarTam ca SabdamAlikA // 43 //
   śabde śabdasya jñānārthaṃ yogī vadati nispṛhaḥ /	Sabde Sabdasya jQAna-arTam yogI vadati nispRhaH /
   yathā vādyeṣu nādaśca pāratantryeṇa vartate // 44 //	yaTA vAdyezu nAdaH-ca pAratantryeNa vartate // 44 //
   yogī ca sarvakāryāṇi vartate dehakarmaṇi /	yogI ca sarva-kAryANi vartate deha-karmaNi /
   kaumāraṃ krīḍanaṃ caiva sarvaṃ mithyaiva kāraṇam // 45 //	kOmAram krIxanam ca-eva sarvam miTyA-eva kAraNam // 45 //
   yadyāvatkriyate jantuḥ svagṛhe rājate pumān /	yat-yAvat-kriyate jantuH sva-gRhe rAjate pumAn /
   yo yo yasya yathā bhāvastattateṣāṃ ca saukhyatā // 46 //	yaH yaH yasya yaTA BAvaH-tat-tatezAm ca sOKya-tA // 46 //
   tatkāmopaceṣṭitam sarvaṃ vṛthā bhavati āyatau /	tad-kAma-upacezwitam sarvam vRTA Bavati AyatO /
   na cāsya kriyā kācinneha nānāsti karhicit // 47 //	na ca-asya kriyA kAcid-na-iha nAnA-asti karhicit // 47 //
   ahaṃ ceṣṭa ito dehe sarvakarmasu ceṣṭate /	aham cezwaH itas dehe sarva-karmasu cezwate /
   iti jñānaṃ vijānīyādyajjñānaṃ smaraṇena hi // 48 //	iti jQAnam vijAnIyAt-yat-jQAnam smaraNena hi // 48 //
   taḍāgaḥ pūrṇato yena yaddātuṃ balaṃ rājate /	taxAgaH pUrNataH yena yat-dAtum balam rAjate /
   kiṃcicchidreṇa ādyaṃ ca manasātmodakakriyāḥ // 49 //	kiMcid-CidreNa Adyam ca manasA-Atma-udaka-kriyAH // 49 //
   bandhaṃ vihāya pūrṇāni kurvantu svasthamānasam /	banDam vihAya pUrNAni kurvantu svasTa-mAnasam /
   ye hi yuktiṃ sadābhyāsātsa vai jñānottamottamaḥ // 50 //	ye hi yuktim sadA-aByAsAt-sa vE jQAna-uttama-uttamaH // 50 //
   dehādisarvakarmāṇi jñānājñāneṣu jñāyase /	deha-Adi-sarva-karmANi jQAna-ajQAnezu jQAyase /
   so 'haṃ cinmātrarūpeṇa jānīhi brahmalakṣaṇam // 51 //	saH aham cit-mAtra-rUpeNa jAnIhi brahma-lakzaNam // 51 //
   ahaṃ mūrkhamahaṃ jñātā yo dharmaḥ pratipādyate /	aham mUrKam-aham jQAtAH yaH DarmaH pratipAdyate /
   so 'haṃ cinmātrarūpeṇa jānīhi brahmalakṣaṇam // 52 //	saH aham cit-mAtra-rUpeNa jAnIhi brahma-lakzaNam // 52 //
   bhidyate hṛdayagranthiśchidyante sarvasaṃśayāḥ /	Bidyate hRdaya-granTiH-Cidyante sarva-saMSayAH /
   kṣīyante cāsya karmāṇi yasmin dṛṣṭe parāvare // 53 //	kzIyante ca-asya karmANi yasmin dRzwe parAvare // 53 //
   jagadvilakṣaṇaṃ brahma brahmaṇo 'nyanna kiñcana /	jagat-vilakzaNam brahma brahmaNaH anyat-na kiQcana /
   brahmaṇyābhāti cinmithyā yathā marumarīcikā // 54 //	brahmaNi-ABAti cit-miTyA yaTA maru-marIcikA // 54 //
   jñānāmṛtena tṛptasya kṛtakṛtyasya yoginaḥ /	jQAna-amRtena tRptasya kRtakRtyasya yoginaH /
   na cāsti kiñcitkartavyamasti cenna sa sattvavit // 55 //	na ca-asti kiQcitkartavyam-asti ced-na sa sattva-vid // 55 //
   na tvaṃ viprādiko varṇo nāśramī nākṣagocaraḥ /	na tvam vipra-AdikaH varNaH na-ASramI na-akza-gocaraH /
   asaṅgo 'si nirākāro viśvasākṣī sukhī bhava // 56 //	asaFgaH asi nirAkAraH viSva-sAkzI suKI Bava // 56 //
   dehābhimānagalite vidite ca cidātmani /	deha-aBimAna-galite vidite ca cit-Atmani /
   yatra yatra mano yāti tatra tatra samādhayaḥ // 57 //	yatra yatra manaH yAti tatra tatra samADayaH // 57 //
   ātmaikabhāvaniṣṭhasya yā yā ceṣṭāstadarcanam /	AtmA-eka-BAva-nizWasya yA yA cezwAH-tad-arcanam /
   yo yo jalpaḥ sa saṃmantrastaddhyānaṃ ca nirīkṣaṇam // 58 //	yaH yaH jalpaH sa saMmantraH-tad-DyAnam ca nirIkzaNam // 58 //
   na saṃkalpavikalpasya na līnopādhivāsanāḥ /	na saMkalpa-vikalpasya na lIna-upADi-vAsanAH /
   nijasvarūpe nirmagnaḥ sa yogī paratattvavit // 59 //	nija-svarUpe nirmagnaH sa yogI para-tattva-vid // 59 //
   dehādisarvendriyāṇi sattāmātreṇa ceṣṭate /	deha-Adi-sarva-indriyANi sattA-mAtreNa cezwate /
   yathā dīpe prapaṃcasya cuṃbakaṃ lohameva ca // 60 //	yaTA dIpe prapaMcasya cuMbakam loham-eva ca // 60 //
   dehadvayaṃ tathā nāma varṇāśramā ca vyarthatā /	deha-dvayam taTA nAma varNa-ASramA ca vyarTa-tA /
   mahīākāśabrahmāhamalametatsamādhinā // 61 //	mahIAkASa-brahma-aham-alam-etat-samADinA // 61 //
   avyaktasya kathaṃ dhyānaṃ vyāpakasya visarjanam /	avyaktasya kaTam DyAnam vyApakasya visarjanam /
   amūrtasya kathaṃ pūjā svayaṃ brahma sanātanam // 62 //	amUrtasya kaTam pUjA svayam brahma sanAtanam // 62 //
   phalasya kāraṇaṃ puṣpaṃ phale puṣpaṃ vinaśyati /	Palasya kAraNam puzpam Pale puzpam vinaSyati /
   jñānasya kāraṇaṃ karma jñāne karma vinaśyati // 63 //	jQAnasya kAraNam karma jQAne karma vinaSyati // 63 //
   kiṃ karomi kva gacchāmi kiṃ gṛhṇāmi tyajāmi kim /	kim karomi kva gacCAmi kim gRhNAmi tyajAmi kim /
   ātmanā pūritaṃ sarva mahākalpāṃbunā yathā // 64 //	AtmanA pUritam sarva mahA-kalpa-aMbunA yaTA // 64 //
   bhūtādivyaktirūpaṃ ca acaraṃ carameva ca /	BUta-Adi-vyakti-rUpam ca acaram caram-eva ca /
   tadindrajālavatpaśyedyathāmbuvīcivajjagat // 65 //	tad-indrajAla-vat-paSyet-yaTA-ambu-vIci-vat-jagat // 65 //
   śabdabhāgadvayaṃ kṛtvā vyartho jñānārthayoginam /	Sabda-BAga-dvayam kRtvA vyarTaH jQAna-arTa-yoginam /
   kadācidvaktuṃ jñānārthaṃ vyartho vaktuṃ na śakyate // 66 //	kadAcid-vaktum jQAna-arTam vyarTaH vaktum na Sakyate // 66 //
   garvaṃ no vahate na nindanti parānno bhāṣate niṣṭhuraṃ	garvam naH vahate na nindanti parAn-naH BAzate nizWuram
   proktaṃ kenacidapriyaṃ ca hasate krodhaṃ ca nālambate /	proktam kenacid-apriyam ca hasate kroDam ca na-Alambate /
   śrutvā kāvyamalakṣaṇaṃ parakṛtaṃ santiṣṭhate mūkava-	SrutvA kAvyam-alakzaNam para-kRtam santizWate mUkava-
   ddoṣānnādadate svayaṃ na kurute caitatsatāṃ lakṣaṇam // 67 //	ddozAn-na-Adadate svayam na kurute ca-etat-satAm lakzaNam // 67 //
   bījamadhye yathā vṛkṣaṃ vṛkṣamadhye ca bījatā /	bIja-maDye yaTA vRkzam vRkza-maDye ca bIja-tA /
   vyāpyavyāpakasarvātmā sa pṛthak naiva dṛśyate // 68 //	vyApya-vyApaka-sarva-AtmA sa pRTak na-eva dRSyate // 68 //
   ekātmā sarvabhūteṣu bandhamokṣaḥ kathaṃ dvidhā /	eka-AtmA sarva-BUtezu banDa-mokzaH kaTam dviDA /
   janmasaṃskārayogena bhinnatvaṃ varttate sadā // 69 //	janma-saMskAra-yogena Binna-tvam varttate sadA // 69 //
   pratibimbayathopādhiṃ dīrghantiryak ca varttulam /	pratibimba-yaTa-upADim dIrGantiryak ca varttulam /
   tasmādvilakṣaṇo jīvaḥ kathamekaṃ bhaviṣyati // 70 //	tasmAt-vilakzaNaH jIvaH kaTam-ekam Bavizyati // 70 //
   yathā yonistathācārapūrvakarmmānusārataḥ /	yaTA yoniH-taTA-AcAra-pUrva-karmma-anusArataH /
   tattajjñānādhikāreṇa dvividhā bandhamokṣayoḥ // 71 //	tad-tad-jQAna-aDikAreNa dviviDAH banDa-mokzayoH // 71 //
   yathāyamalamutpattiṃ prārabdhaṃ vividhākṛtam /	yaTA-ayam-alam-utpattim prArabDam viviDa-akRtam /
   tathaiva sukhaduḥkhāni kathaṃ bhavati ekatā // 72 //	taTA-eva suKa-duHKAni kaTam Bavati ekatA // 72 //
   dravyaṃ na bhakṣayetprājñaḥ svadravyaṃ naiva poṣayet /	dravyam na Bakzayet-prAjQaH sva-dravyam na-eva pozayet /
   santuṣṭaḥ sarvadā nityaṃ sa naro jñānavānbhavet // 73 //	santuzwaH sarvadA nityam sa naraH jQAnavAn-Bavet // 73 //
   śarīraṃ naśvaraṃ sarvaṃ sambandhaḥ kintu śāśvataḥ /	SarIram naSvaram sarvam sambanDaH kintu SASvataH /
   vayasā sūtramārgeṇa yathā sthāneṣu gacchati // 74 //	vayasA sUtra-mArgeNa yaTA sTAnezu gacCati // 74 //
   yathā paragṛhe vāso mārgasthaṃ kurute sadā /	yaTA para-gRhe vAsaH mArga-sTam kurute sadA /
   tathaiva sukhaduḥkhena na spṛśet jñānino naraḥ // 75 //	taTA-eva suKa-duHKena na spRSet jQAninaH naraH // 75 //
   naṭī ca naṭanāṭyaṃ ca nānākrīḍā ca rañjanam /	nawI ca nawa-nAwyam ca nAnA-krIxA ca raQjanam /
   ahaṃ pratyayajānāti tathaiva jño sadā naraḥ // 76 //	aham pratyaya-jAnAti taTA-eva jQaH sadA naraH // 76 //
        iti jñānanirṇayaḥ /	iti jQAna-nirNayaH /
        atha śrotā uvāca /	aTa SrotA uvAca /
   idaṃ kiṃ dṛśyate kena kathaṃ jātam ?	idam kim dRSyate kena kaTam jAtam ?
   taṃ hovāca-	tam ha-uvAca-
   prathama anādivastu caitanya ātmā / tasya sphuraṇaṃ jātaṃ sa imamevātmānaṃ	praTamaH anAdi-vastu cEtanye AtmA / tasya sPuraNam jAtam saH imam-eva-AtmAnam
   dvidhā pātayettataḥ /	dviDA pAtayet-tatas /
   patiśca patnī cābhavatāmiti bṛhadāraṇye /	patiH-ca patnI ca-aBavatAm-iti bRhada-araNye /
   tattvamasīti yasmin tripadāni bhavanti / tat tvaṃ asi / brahmāhamasmīti	tat-tvam-asi-iti yasmin tri-padAni Bavanti / tat tvam asi / brahmA-aham-asmi-iti
   sakalabrahmāntaṃ niśvasitam / atha tatsarvaṃ tvameva / idamāścaryam /	sakala-brahma-antam niSvasitam / aTa tat-sarvam tvam-eva / idam-AScaryam /
   tarhi citta ekāgram atisūkṣmataraṃ kuru / paramarthamityuktam / ātmā 'yaṃ	tarhi cittaH ekAgram ati-sUkzmataram kuru / param-arTam-iti-uktam / AtmA ayam
   gururacaladharmavyāpakatvāditi / atha-	guruH-acala-Darma-vyApaka-tvAt-iti / aTa-
   andhaḥ paṅgurasaṅge ca saṅgātkarma pratiṣṭhitam /	anDaH paFgura-saFge ca saFgAt-karma pratizWitam /
   yatra paṅgusvatantratvaṃ tatrāndho niḥphalo bhavet // 1 //	yatra paFgu-svatantra-tvam tatra-anDaH niHPalaH Bavet // 1 //
   andhātītaṃ bhavetpaṅguracalaṃ ca sanātanam /	anDa-atItam Bavet-paFguH-acalam ca sanAtanam /
   sabāhyābhyantaraṃ bhūtaṃ yathākāśaṃ ca dṛśyate // 2 //	sa-bAhya-aByantaram BUtam yaTA-AkASam ca dRSyate // 2 //
   kintu māyā andhā avivekitvāt / ubhayorekībhūtvā mithyā jīveśvarau	kintu mAyA anDAH aviveki-tvAt / uBayoH-ekIBUtvA miTyA jIva-ISvarO
   vyājenāpi brahmāṇḍayoḥ / sṛṣṭinirmitāḥ /	vyAjena-api brahmANxayoH / sRzwi-nirmitAH /
   tasmānmāyāparityāgena svayameva cidākāśe ca vartate /	tasmAt-mAyA-parityAgena svayam-eva cit-AkASe ca vartate /
   tatra pramāṇaṃ śrutiḥ / ākāśa ātmā khaṃ brahma /	tatra pramANam SrutiH / AkASaH AtmA Kam brahma /
        atha jīveśvarayorlakṣaṇam / tatra pramāṇaṃ śrutiḥ / dvā suparṇā	aTa jIveSvarayoH-lakzaNam / tatra pramANam SrutiH / dvA suparNA
   sayujā sakhāyā samānaṃ vṛkṣaṃ pariṣasvajāte / tayoranyaḥ pippalaṃ	sayujA saKAyA samAnam vRkzam parizasvajAte / tayoH-anyaH pippalam
   svādvattyanaśnannanyo abhicākaśīti / atha vedeti / kāryopādicaitanyaṃ	svAdvatti-anaSnan=-anyaH aBicAkaSIti / aTa veda-iti / kArya-upAdi-cEtanyam
   jīvaśabdavācyam / kāraṇopādhicaitanyam īśvaraśabdavācyam /	jIva-Sabda-vAcyam / kAraNa-upADi-cEtanyam ISvara-Sabda-vAcyam /
   kāryopādhirayaṃ jīvaḥ kāraṇopādhirīśvaraḥ /	kArya-upADiH-ayam jIvaH kAraNa-upADiH-ISvaraH /
   kāryakāraṇatāṃ hitvā pūrṇabobho vidhīyate // 3 //	kArya-kAraNa-tAm hitvA pUrNa-boBaH viDIyate // 3 //
   tatra kāryaṃ nāma ahaṅkārādisṛṣṭivyāpāraḥ kāraṇaṃ nāma sākṣī	tatra kAryam nAma ahaFkAra-Adi-sRzwi-vyApAraH kAraNam nAma sAkzI
   hyantaḥsphuraṇam / iti vedānte /	hi-antar-sPuraNam / iti vedAnte /
   upadraṣṭānumantā ca bharttā bhoktā maheśvaraḥ /	upadrazwA-anumantA ca BarttA BoktA maheSvaraH /
   paramātmeti cāpyukto dehe 'sminpuruṣaḥ paraḥ // 4 //	paramAtmA-iti ca-api-uktaH dehe asmin-puruzaH paraH // 4 //
        iti īśvaraḥ /	iti ISvaraH /
   puruṣaḥ prakṛtistho hi bhuṅkte prakṛtijān guṇān /	puruzaH prakRti-sTaH hi BuFkte prakRti-jAn guNAn /
   kāraṇaṃ guṇasaṃyogo 'sya sadasadyonijanmasu // 1 //	kAraNam guNa-saMyogaH asya sat-asat-yoni-janmasu // 1 //
        iti jīvaḥ /	iti jIvaH /
   mukhābhāsako darpaṇe dṛśyamāno	muKa-ABAsakaH darpaNe dRSyamAnaH-
   mukhatvāpṛthak te na hi vā 'sti vastu //	muKa-tva-apRTak te na hi vA asti vastu //
   cidābhāsako 'dhīśajīvo 'pi tadvat	cit-ABAsakaH aDISa-jIvaH api tadvat-
   sa nityopalabdhisvarūpo 'hamātmā // 1 //	sa nitya-upalabDi-svarUpaH aham-AtmA // 1 //
   iti hastāmale / salila eko iṣṭādvaito bhavati / iti bṛhadāraṇye / tathā	iti hasta-amale / salile ekaH izwa-advEtaH Bavati / iti bRhadAraNye / taTA
   bimbapratibimbanyāyena jīveśvarau kalpitau / tajjīvasya mokṣasādhanamāha	bimba-pratibimba-nyAyena jIveSvarO kalpitO / tad-jIvasya mokza-sADanam-Aha
   karmaparaṃ aharahaḥ sandhyāmupāsitā yāvajjīvamagnihotraṃ juhuyāt /	karma-param aharahar sanDyAm-upAsitAH yAvat-jIvam-agnihotram juhuyAt /
   jyotiṣṭomau svargakāmo yajet / oṃmiti brahma / omitīdaoṃ sarvam /	jyotizwomO svarga-kAmaH yajet / oMm-iti brahma / om-iti-idaom sarvam /
   omityagnihotramanujānāti /	om-iti-agnihotram-anujAnAti /
        iti karma /	iti karma /
   atha jñānaparam / na karmaṇā na prajayā dhanena tyāgenaike amṛtatvamānaśuḥ	aTa jQAna-param / na karmaNA na prajayA Danena tyAgena-eke amRta-tva-mAnaSuH
   prathamamāyāśabalasṛṣṭyādiputrakalatradravyādvilakṣaṇaḥ / dvitīyaṃ	praTama-mAyA-Sa-bala-sRzwi-Adi-putra-kalatra-dravyAt-vilakzaNaH / dvitIyam
   sthūlasūkṣmādiśarīrasya vilakṣaṇam / tṛtīyaṃ kevalamokṣasaṅkalpaḥ / yathā	sTUla-sUkzma-Adi-SarIrasya vilakzaNam / tRtIyam kevala-mokza-saFkalpaH / yaTA
   śukanālakānyāyena mithyārajjusarppe bhramamāṇe sati tasya mokṣasādhanamāha	SukanAlaka-anyAyena miTyA-rajju-sarppe BramamANe sati tasya mokza-sADanam-Aha
   / tatra jīvasvarūpaṃ lakṣaṇaṃ dṛṣṭisambandhena sūryaprabhayā pratibhāti	/ tatra jIva-svarUpam lakzaNam dRzwi-sambanDena sUrya-praBayA pratiBAti
   tadvāsanā mahad hṛdi granthiḥ /	tad-vAsanA mahat hRdi granTiH /
        iti jīvalakṣaṇam /	iti jIva-lakzaNam /
   jīvasya mokṣakāmāya trivargaṃ ca purā kṛtam /	jIvasya mokza-kAmAya trivargam ca purA kRtam /
   karma pātañjaliṃ sāṅkhyaṃ tatsamāsena kathyate // 1 //	karma pAtaQjalim sAFKyam tat-samAsena kaTyate // 1 //
   pañcabhūtātmikā pūjā vidhireṣa samāśṛṇu /	paQcaBUta-AtmikA pUjA viDiH-eza samASRNu /
   trayaṃ karma pūjāyogyaṃ vā yo pātañjale smṛtaḥ // 2 //	trayam karma pUjA-yogyam vA yaH pAtaQjale smRtaH // 2 //
   dvayaṃ dehābhimānena ekaṃ nāhaṃ ca sāṃkhyatā /	dvayam deha-aBimAnena ekam na-aham ca sAMKya-tA /
   ahaṃ nāhaṃ dvayaṃ śabdabandhamokṣaṃ ca kārakam // 3 //	aham na-aham dvayam Sabda-banDa-mokzam ca kArakam // 3 //
   tathā ca śrutiḥ / athāto dharmajijñāsā / athāto brahmajijñāsā /	taTA ca SrutiH / aTa-atas Darma-jijQAsA / aTa-atas brahma-jijQAsA /
   pūrvapūrvaśrutiyuktyānubhavābhāsānāmuttarottaraśrutiyuktānubhavābhāsabodhadarśanāt	pUrva-pUrva-Sruti-yuktyA-anuBava-ABAsAnAm-uttarottara-Sruti-yukta-anuBava-ABAsa-boDa-darSanAt
   sāmānyaśāstraṃ syānnyūnaṃ viśeṣo balavānbhavet /	sAmAnya-SAstram syAt-nyUnam viSezaH balavAn-Bavet /
   pareṇa pūrvabādho vā prāyaśo dṛśyatāmiha // 4 //	pareNa pUrva-bADaH vA prAyaSas dRSyatAm-iha // 4 //
   iti vedānte karmaparam / jñānādeva tu kaivalyamityādiśruteḥ /	iti vedAnte karma-param / jQAnAt-eva tu kEvalyam-ityAdi-SruteH /
   na hi jñānena sadṛśaṃ pavitramiha vidyate /	na hi jQAnena sadRSam pavitram-iha vidyate /
   jñānāgnidagdhakarmāṇi /	jQAna-agni-dagDa-karmANi /
   udarāḥ sarva evaite jñānī tvātmaiva me matam /	udarAH sarve eva-ete jQAnI tu-AtmA-eva me matam /
        iti jñānaparam /	iti jQAna-param /
        atha vedoktakarmayogaḥ /	aTa veda-ukta-karma-yogaH /
   varṇāśramaṃ ca dharmaṃ ha vedādividhipūrvakam /	varNa-ASramam ca Darmam ha veda-Adi-viDi-pUrvakam /
   tacca sādhyamasādhyaṃ vā janmakarmaphalapradam // 1 //	tat-ca sADyam-asADyam vA janma-karma-Pala-pradam // 1 //
   jyotiṣṭome bhavetsargaḥ śrotā syāditi karmaṇi /	jyotizwome Bavet-sargaH SrotA syAt-iti karmaNi /
   niṣedhavidhinighnāni na bhavanmokṣasiddhidam // 2 //	nizeDa-viDi-niGnAni na Bavat-mokza-sidDi-dam // 2 //
   japānuṣṭhānayordvārā devatānugraho bhavet /	japa-anuzWAnayoH-dvArAH devatA-anugrahaH Bavet /
   tatsakāśādbhavet siddhiścaitanyopādhivarjitā // 3 //	tad-sakASAt-Bavet sidDiH-cEtanya-upADi-varjitAH // 3 //
   tatra bhūtapūjā / pārthivasthāvarāditīrthayātrā agnihotrajvālāmukhīyāgādi	tatra BUta-pUjA / pArTiva-sTAvara-Adi-tIrTa-yAtrA agnihotra-jvAlA-muKI-yAga-Adi
   / āpaḥ gaṅgāyāḥ naimiṣāraṇyādijalapūjā / tathā ca-	/ ApaH gaFgAyAH nEmiza-araNya-Adi-jala-pUjA / taTA ca-
   saṃhitā brāhmaṇāraṇyaṃ dvandvadīkṣā nighaṇṭakam /	saMhitA brAhmaNa-araNyam dvandva-dIkzA niGaNwakam /
   jyotiṣaṃ ca niruktaṃ ca daśagranthāni sūtrakam // 4 //	jyotizam ca niruktam ca daSa-granTAni sUtrakam // 4 //
   ekayā liṅgagranthyā ca baddhyate sakalaṃ jagat /	ekayA liFga-granTyA ca badDyate sakalam jagat /
   daśagranthyā yadā baddho tasya muktiḥ kathaṃ bhavet // 5 //	daSagranTyA yadA badDaH tasya muktiH kaTam Bavet // 5 //
   evaṃ paṭhati vedānāṃ haṃkāraṃ piṇḍapoṣaṇam(?) /	evam paWati vedAnAm haMkAram piNxa-pozaNam(?) /
   etejjñānaparaṃ jñātvā sa mukto nātra saṃśayaḥ // 6 //	etet-jQAna-param jQAtvA sa muktaH na-atra saMSayaH // 6 //
   kintu-	kintu-
   saṃhitā kāryacchandaṃ ca dṛśyabrahmeti brāhmaṇam /	saMhitA kAryacCandam ca dRSya-brahma-iti brAhmaNam /
   nabhamāraṇyamāśritya chandambrahmāsmi vākyatā(?) // 7 //	naBamAraNyam-ASritya CandambrahmA-asmi vAkyatA(?) // 7 //
   mana ādirodhanaṃ śikṣā nighaṇṭaṃ vṛtidhāraṇam /	manaH AdiroDanam SikzA niGaNwam vRti-DAraNam /
   vivekaṃ jyotiṣaṃ caiva mamedaṃ sūryamucyate // 8 //	vivekam jyotizam ca-eva mama-idam sUryam-ucyate // 8 //
   niruktaṃ saṃśayacchedyaṃ sūtrapāṭhaṃ ca jñānadhīḥ /	niruktam saMSaya=-Cedyam sUtra-pAWam ca jQAna-DIH /
   annopādhiśca vedādyā yastaṃ veda sa vedavit // 9 //	anna-upADiH-ca veda-AdyAH yaH-tam veda sa veda-vid // 9 //
   asyārthaḥ / saṃhitā nāma svahitam / kāryakāraṇātītaṃ na tu karmacodanā /	asya-arTaH / saMhitA nAma sva-hitam / kArya-kAraNa-atItam na tu karma-codanA /
   brāhmaṇaṃ nāma sarvasvaṃ brahmaiva na tu yāgādi / āraṇyaṃ nāma	brAhmaNam nAma sarva-svam brahmA-eva na tu yAga-Adi / AraNyam nAma
   nabhalakṣyaṃ na tu āraṇyarodanam / chando nāma brahmāsmīti smaraṇaṃ na tu	naBa-lakzyam na tu AraNya-rodanam / CandaH nAma brahma-asmi-iti smaraNam na tu
   piśācavacchalanam / śikṣā nāma śāsanaṃ mana ādidhāraṇā na tu pāṭhaḥ	piSAca-vat-Calanam / SikzA nAma SAsanam manaH Adi-DAraNAH na tu pAWaH
