   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
   tadbhāvalakṣaṇas tasya darśanaṃ darśyate    pratyāyyate 'neneti darśanam	tad BAva lakzaNaH tasya darSanam darSyate   pratyAyyate anena iti darSanam
   upadarśakaṃ pramāṇaṃ tadātmako 'nupalabdhau vyatirekaniścayaḥ |	upadarSakam pramANam tad AtmakaH anupalabDO vyatireka niScayaH |
   taddhetutvāc ca tat pramāṇaṃ tathocyate[245]| yadi hi	tad hetu tvAt ca tat pramANam taTA ucyate[245]| yadi hi
   sannihitānyopalambhapratyayo dṛśyasvabhāvo bhāvo vidyamāno 'pi	sannihita anya upalamBa pratyayaH dRSya svaBAvaH BAvaH vidyamAnaH api
   nopalabhyeta katham asau {p. 54.1} [T. 242b.] dṛśyasvabhāvaḥ syāt? | yo hi	na upalaByeta kaTam asO {p. 54.1} [T. 242b.] dRSya svaBAvaH syAt? | yaH hi
   satsv anyeṣūpalambhapratyayeṣu san pratyakṣa eva bhavati sa eva	satsu anyezu upalamBa pratyayezu san pratyakzaH eva Bavati saH eva
   dṛśyasvabhāva ākhyāyate | tasmāt tathāvidhe sannihite ^4'vaśyaṃ	dRSya svaBAvaH AKyAyate | tasmAt taTAviDe sannihite ^4 avaSyam
   pratyakṣavṛttyā[246]bhavitavyam, anyathā 'sya na kadācid api pratyakṣatā	pratyakza vRttyA a[246]Bavitavyam, anyaTA asya na kadAcid api pratyakzatA
   syāt, viśeṣābhāvād iti | prayogaḥ    yad yanmātranimittaṃ tat [S. 58b.]	syAt, viSeza aBAvAt iti | prayogaH   yat yat mAtra nimittam tat [S. 58b.]
   tasmin sati niyamena bhavati | tad yathā bījādisāmagrīmātranimitto 'ṅkuraḥ	tasmin sati niyamena Bavati | tat yaTA bIja Adi sAmagrI mAtra nimittaH aFkuraH
   | yathoktopalabdhilakṣaṇaprāptatāmātranimittaṃ ca sati vastuni tathāvidhe	| yaTA ukta upalabDi lakzaNa prApta tA mAtra nimittam ca sati vastuni taTAviDe
   pratyakṣam iti svabhāvahetuḥ | [ete]na pramāṇena svabhāvānupalabdhau	pratyakzam iti svaBAva hetuH | [ete]na pramANena svaBAva anupalabDO
   sādhyābhāve 'bhāvalakṣaṇo vyatireko niścīyate | etac ca pramāṇam	sADya aBAve aBAva lakzaNaH vyatirekaH niScIyate | etat ca pramANam
   anvayaniścayasyāpi nimittam | anenaiva nimittāntare 'nupalabdher	anvaya niScayasya api nimittam | anena eva nimitta antare anupalabDeH 
   abhāvopadarśanāt | kāraṇavyāpakānupalabdhyos tu vakṣyamāṇayoḥ	aBAva upadarSanAt | kAraNa vyApaka an upalabDyoH tu vakzyamANayoH
   pratibandhadvayasiddhyupāya evānvayavyatirekaniścayanibandhanam | sa ca	pratibanDa dvaya sidDi upAyaH eva anvaya vyatireka niScaya nibanDanam | sa ca
   kāryasvabhāvahetvor upadarśita eveti pṛthag noktaḥ | tathā hi   	kArya svaBAva hetvoH upadarSitaH eva iti pRTak na uktaH | taTA hi   
   kāraṇavyāpakayor abhāvaḥ kāryavyāpyābhāvābhyām avaśyam anvitaḥ	kAraNa vyApakayoH aBAvaH kArya vyApya aBAvAByAm avaSyam anvitaH
   kāryavyāpyābhāvavyatireke ca tadbhāvalakṣaṇe	kArya vyApya aBAva vyatireke ca tad BAva lakzaNe
   'vaśyaṃ[247]vyatiricyate[248]kāraṇavyāpakayor bhāvāt | anyathā	avaSyaM[247] vyatiricyate[248]kAraNa vyApakayoH BAvAt | anyaTA
   kāryavyāpyayor ahetukatvaniḥsvabhāvatāprasaṅgād iti [S. 59a.] na kiñcit	kArya vyApyayoH ahetuka tva niHsvaBAvatA prasaFgAt iti [S. 59a.] na kiQcid 
   pṛthagabhidhāneneti |	pRTak aBiDAnena iti |
   __________NOTES__________	__________NOTEH __________
   [243] upalabdhilakṣaṇaprāptiḥ	[243] upalabDi lakzaNa prAptiH
   upalambhapratyayāntarasākalyaṃsvabhāvaviśeṣaśca    [NB Pari  2]	upalamBa pratyaya antara sAkalyaMsvaBAva viSezaH ca   [NB Pari 2]
   [244] anupalabdho (?) sādhyam asattvam	[244] anupalabDaH (?) sADyam asattvam
   [245] ananyopāyasādhyatāṃ darśayitum	[245] ananya upAya sADya tAm darSayitum
   [246]  vaśyaṃ tathāvidhapra     T.	[246]  vaSyam taTAviDa pra   T.
   [247] sati	[247] sati
   [248] kāraṇavyāpakābhāvo nivartate	[248] kAraNa vyApaka aBAvaH nivartate
   [ § 36. hetoḥ prakāratrayasya nāmanirdeśaḥ |]	[ § 36. hetoH prakAra trayasya nAma nirdeSaH |]
   tadetāv atā granthena pakṣadharmas tadaṃśena vyāpto hetuḥ iti vyākhyātam |	tat etO atA granTena pakza DarmaH tad aMSena vyAptaH hetuH iti vyAKyAtam |
   [T. 243a.] adhunā tridhaiva saḥ ity etad vyākhyātum āha    etallakṣaṇaḥ	[T. 243a.] aDunA triDA eva saH iti etat vyAKyAtum Aha   etad lakzaNaH
   `pakṣadharmaḥ san yas tadaṃśena vyāpto hetuḥ' ity etallakṣaṇaṃ yasya sa	`pakza DarmaH san yaH tad aMSena vyAptaH hetuHa iti etad lakzaNam yasya sa
   etallakṣaṇaḥ | tridhaiva saḥ | `saḥ' ity etasya vyākhyānaṃ hetur iti, |	etad lakzaNaH | triDA eva saH | `saHa iti etasya vyAKyAnam hetuH iti, |
   `tridhaiva' ity asya vivaraṇaṃ triprakāra eveti | tān hetūn svena svena	`triDA eva a iti asya vivaraNam tri prakAraH eva iti | tAn hetUn svena svena
   nāmnā kīrttayati    svabhāvaḥkāryam anupalabdhiśceti | cakāro	nAmnA kIrttayati   svaBAvaH kAryam anupalabDiH ca iti | cakAraH 
   hetutvasamuccayārthaḥ | ityśabdaḥ samāptiṃ sūcayann avadhāraṇārtham eva	hetu tva samuccaya arTaH | iti SabdaH samAptim sUcayan avaDAraNa arTam eva
   sphuṭayati | yathā   anitye kasmiṃścit śabdādau sādhye satva(ttva)m iti	sPuwayati | yaTA  anitye kasmiMScid Sabda AdO sADye satva(ttva)m iti
   svabhāvahetūpadarśanam, {p. 55.1} agnimati pradeśe sādhye dhūma iti	svaBAva hetu upadarSanam, {p. 55.1} agnimati pradeSe sADye DUmaH iti
   kāryahetoḥ pradarśanam, abhāve ca abhāvasya vyavahāre ca	kArya hetoH pradarSanam, aBAve ca aBAvasya vyavahAre ca
   upalabdhilakṣaṇaprāptasyānupalabdhir iti anupalabdher upanyāsaḥ |	upalabDi lakzaNa prAptasya anupalabDiH iti anupalabDeH upanyAsaH |
   [ § 37. trividhahetubāhyānāṃ hetvābhāsatve pramāṇopadarśanam |]	[ § 37. triviDa hetu bAhyAnAm hetvABAsa tve pramANa upadarSanam |]
   kasmāt punaḥ trividha eva hetuḥ? ity āśaṅkya [S. 59b.]	kasmAt punar triviDaH eva hetuH? iti ASaFkya [S. 59b.]
   trividhahetuvyatiriktānām arthānāṃ hetvābhāsatayā hetuviruddhayā vyāptes	triviDa hetu vyatiriktAnAm arTAnAm hetvABAsa tayA hetu virudDayA vyApteH 
   triṣv eva hetutvaṃ niyataṃ bhavatīti hetvābhāsatāṃ pramāṇavatīṃ	trizu eva hetu tvam niyatam Bavati iti hetvABAsa tAm pramANavatIm
   tadvyatirekiṇāṃ darśayann āha    atraiva svabhāvakāryā 'nupalabdhyākhye	tad vyatirekiNAm darSayan Aha   atra eva svaBAva kAryA anupalabDi AKye
   trividhahetau avinābhāvasya niyamād iti trividhahetuvyatirikteśv artheṣv	triviDa hetO avinA aBAvasya niyamAt iti triviDa hetu vyatirikteSu arTezu 
   avinābhāvā 'bhāvād ity arthaḥ | tataś cāvinābhāvavikalatvāt	avinA aBAvAH aBAvAt iti arTaH | tatas ca avinA aBAva vikala tvAt 
   svabhāvakāryānupalabdhivyatirekiṇo 'rthā hetvābhāsāḥ prameyatvādivat ity	svaBAva kAryAnupalabDi vyatirekiNaH arTAH hetvABAsAH prameya tva Adi vat iti 
   uktaṃ bhavati | avinābhāvābhāvaś ca trividhahetuvyatiriktatvād eva	uktam Bavati | avinA aBAva aBAvaH ca triviDa hetu vyatirikta tvAt eva
   tādātmyatadutpattyor avinābhāvavyāpikayor abhāvād vyāpakānupalabdhito	tAdAtmya tad utpattyoH avinA aBAva vyApikayoH aBAvAt vyApaka anupalabDitaH 
   'vagataḥ |	avagataH |
   [ § 38. avinābhāvanirūpaṇam |]	[ § 38. avinA aBAva nirUpaNam |]
   atha ko 'yam avinābhāvaḥ? kasya cāsau? kathaṃ vā 'traiva niyata ucyate?	aTa kaH ayam avinA aBAvaH? kasya ca asO? kaTam vA atra eva niyataH ucyate?
   ity ata āha    yathoktāvyāptiḥvyāpakasya    tatkāraṇatayā tadbhāvatayā ca	iti atas Aha   yaTA ukta avyAptiH vyApakasya   tad kAraNa tayA tad BAva tayA ca
   | yatra tadvyāpyaṃ kāryaṃ svabhāvo vā sannihitas tatra bhāva eva |	| yatra tat vyApyam kAryam svaBAvaH vA sannihitaH tatra BAvaH eva |
   vyāpyasya vā    kāryasya svabhāvasya vā | yatra tatkāraṇasvabhāvākhyaṃ	vyApyasya vA   kAryasya svaBAvasya vA | yatra tad kAraNa svaBAva AKyam
   vyāpakaṃ sannihitaṃ tatraiva dharmiṇi na tadabhāve 'pi bhāva iti yā	vyApakam sannihitam tatra eva DarmiNi na tad aBAve api BAvaH iti yA
   vyāpakavyāpyadharmatayā vyāptir uktā sā yathoktāvyāptir avinābhāvaḥ |	vyApaka vyApya Darma tayA vyAptiH uktA sA yaTA ukta avyAptiH avinABAvaH |
   kasya? | pakṣadharmasya sādhyadharmidharmasya | sa evaṃ rūpo 'vinābhāvaḥ	kasya? | pakza Darmasya sADya Darmi Darmasya | saH evam rUpaH avinABAvaH
   [S. 60a.] tṛ(tri)vidhād yathoktād hetoḥ anyatra tadvyatirekiṇy arthe nāsti	[S. 60a.] tR(tri)viDAt yaTA uktAt hetoH anyatra tad vyatirekiNI arTe na asti
   | yato 'tra ca tṛ(tri)vidhe 'sti, tādātmyatadutpattyor avinābhāvena	| yatas atra ca tR(tri)viDe asti, tAdAtmya tad utpattyoH avinA aBAvena
   vyāptayor bhāvāt, kṛtakatvānityatvavadanayor vyāpyavyāpakabhāvād iti,	vyAptayoH BAvAt, kRtaka tva anitya tva vadanayoH vyApya vyApaka BAvAt iti,
   tasmād atraiva trividhe hetau tadanyatrābhāvamukhena niyataḥ ucyate | tad	tasmAt atra eva triviDe hetO tad anyatra aBAva muKena niyataH ucyate | tat 
   anena hetvābhāsās tato 'para ity asya avinābhāvaniyamāt ity	anena hetvABAsAH tatas aparaH iti asya avinA aBAva niyamAt iti 
   upapattisahitasyārthāḥ pradarśitaḥ | yathā ca trividhād hetor	upapatti sahitasya arTAH pradarSitaH | yaTA ca triviDAt hetoH 
   anyatrāvinābhāvo nāsti tathā prāg evoktam |	anyatra avinABAvaH na asti taTA prAk eva uktam |
       {p. 56.1} yadi v[h12]ā svabhāvād anyo 'rtho 'rthāntaram, ^1tac	{p. 56.1} yadi v[h12]A svaBAvAt anyaH arTaH arTa antaram, ^1tat 
   ca[249]kāryād apy anyat    kāraṇam anubhayaṃ [T. 244a.] vā | anupalabdher	ca[249]kAryAt api anyat   kAraNam anuBayam [T. 244a.] vA | anupalabDeH 
   apy anyad yathoktāyāḥ    anupalabdhimātram upalabdhir vā pratiṣedhyasya	api anyat yaTA uktAyAH   anupalabDi mAtram upalabDiH vA pratizeDyasya
   tadanyasyāpi viruddhasyāviruddhasya vā | tatrārthāntaram yady	tad anyasya api virudDasya avirudDasya vA | tatra arTa antaram yadi 
   anantarakāryaṃ[250]tasyārvādgarśibhiḥ itaravivekena lakṣayitum aśakyatvāt	anantara kAryaM[250]tasya arvAt garSiBiH itara vivekena lakzayitum aSakya tvAt 
   aliṅgatvam | kāryadarśanāt [S. 60b.] vivekāvasāye 'pi	aliFga tvam | kArya darSanAt [S. 60b.] viveka avasAye api
   sādhyasiddhyuttarakālabhāvī pakṣadharmatāvasāyo 'nvayānugamanaṃ ca	sADya sidDi uttara kAla BAvI pakza DarmatAvasAyaH anvaya anugamanam ca
   vyarthaṃ | vyavahitakāryam api kāraṇaṃ na kāryasya liṅgam,	vyarTam | vyavahita kAryam api kAraNam na kAryasya liFgam,
   antarālapratibandhavaikalyasambhavena vyabhicārāt | taduktam |	antarAla pratibanDa vEkalya samBavena vyaBicArAt | tat uktam |
             sāmagrīphalaśaktīnāṃ[251] pariṇāmānubandhini |	sAmagrI Pala SaktInAM[251] pariNAma anubanDini |
                anaikāntikatākārye pratibandhasya sambhavāt || [PV 3.7]	anEkAntika tA kArye pratibanDasya samBavAt || [PV 3.7]
   iti | yogyatānumāne tu nārthāntaraṃ liṅgam |	iti | yogyatA anumAne tu na arTa antaram liFgam |
       nāpy anubhayam, apratibandhena gamakatvāyogāt | kathaṃ	na api anuBayam, apratibanDena gamakatva ayogAt | kaTam
   kṛttikodayavijñānād rohiṇyāsattiklṛptiḥ? iti cet | nanu' sā 'pi naivāsati	kRttikA udaya vijQAnAt rohiNI A sat tiklRptiH? iti ced | nanu a sA api na eva asati
   pratibandhe yuktā viśeṣābhāvena sarvataḥ sarvapratītiprasaṅgāt ity	pratibanDe yuktAH viSeza aBAvena sarvatas sarva pratIti prasaFgAt iti 
   uktatvāt | tasmān nakṣatracakrasya saṅkrāntihetur eva kālavyavadhānena	ukta tvAt | tasmAt nakzatra cakrasya saFkrAnti hetuH eva kAla vyavaDAnena
   kaścit kalpayitavyaḥ, yathā bhūtasaṃakṣobhaḥ paścātkālabhāvino varṣasyeti	kaScid kalpayitavyaH, yaTA BUta saMakzoBaH paScAt kAla BAvinaH varzasya iti
   hetudharmānumānena kāryaliṅgajaiva kalpayitavyā |	hetu Darma anumAnena kArya liFga jA eva kalpayitavyA |
   anupalabdhimātram api sāmśayahetuḥ, [S. 61a.] [T. 244b.] pramāṇanivṛttāv	anupalabDi mAtram api sAmSaya hetuH, [S. 61a.] [T. 244b.] pramANa nivRttO= 
   apy arthābhāvāsiddheḥ | upalabdhir api pratiṣedhyasya katham abhāvaṃ	api arTa aBAva asidDeH | upalabDiH api pratizeDyasya kaTam aBAvam
   sādhayet?, abhrāntopalambhasyābhāvāyogāt | viruddhopalabdhis tu	sADayet?, aBrAnta upalamBasya aBAva ayogAt | virudDa upalabDiH tu
   pratiyogyabhāvaṃ sādhayati | kintu sa virodhas tadbhāve saty	pratiyogi aBAvam sADayati | kintu sa viroDaH tad BAve sati 
   anyānupalambhād eva siddha iti taddvāreṇānupalabdhir eva prayuktā bhavati	anya anupalamBAt eva sidDaH iti tad dvAreNa anupalabDiH eva prayuktA Bavati
   | anyathā 'niṣiddhopalabdher abhāvāsiddheḥ | aviruddhopalabdhiḥ punaḥ	| anyaTA anizidDa upalabDeH aBAva asidDeH | avirudDa upalabDiH punar 
   pratiṣedhe 'naikāntikī, sahabhāvasambhavād aviruddhānām | na cāparaḥ	pratizeDe anEkAntikI, sahaBAva samBavAt avirudDAnAm | na ca aparaH
   prakāraḥ sambhavatīti nāvinābhāvo 'nyatra vidyata iti |	prakAraH samBavati iti nAvinA aBAvaH anyatra vidyate iti |
   {p. 57.1} [ 2. svabhāvahetunirūpaṇam |]	{p. 57.1} [ 2. svaBAva hetu nirUpaNam |]
   [ § 1. svabhāvahetor lakṣaṇābhidhānam |]	[ § 1. svaBAva hetoH lakzaNa aBiDAnam |]
   __________NOTES__________	__________NOTEH __________
   [249] kāryahetor api yad anyad abhyupagamyate tad api tac ca	[249] kArya hetoH api yat anyat aByupagamyate tat api tat ca
   ...........'rthāntaram evety arthaḥ	........... arTa antaram eva iti arTaH
   [250] anantaraṃ kāryaṃ yasmāt kāraṇāt	[250] anantaram kAryam yasmAt kAraNAt 
   [251] sāmagryāḥ phalaṃ ca tāḥ śaktayaś ca	[251] sAmagryAH Palam ca tAH SaktayaH ca
       idānīṃ svabhāvahetos tāval lakṣaṇam āha    tatra hetutraye	idAnIm svaBAva hetoH tAvat lakzaNam Aha   tatra hetu traye
   svabhāvahetos tāval lakṣaṇam ucyate | sādhyate yena tat sādhanam | tac	svaBAva hetoH tAvat lakzaNam ucyate | sADyate yena tat sADanam | tat 
   cāsau dharmaś ca tasya bhāvas tadbhāvaḥ | sa eva sādhanadharmabhāvamātram	ca asO DarmaH ca tasya BAvaH tad BAvaH | saH eva sADana Darma BAva mAtram
   | tasya anvayaḥ | sa yasyāsti sādhyadharmasyāvayave samudāyopacārāt,	| tasya anvayaH | sa yasya asti sADya Darmasya avayave samudAya upacArAt,
   tasmin | svabhāvo hetuḥ | sādhyadharmasya śrutatvāt tasyaiva svabhāva iti	tasmin | svaBAvaH hetuH | sADya Darmasya Sruta tvAt tasya eva svaBAvaH iti
   gamyate | kathaṃ punar asau sādhyadharmasvabhāvo? yāvatā bhedena pratīyata	gamyate | kaTam punar asO sADya Darma svaBAvo? yAvatA Bedena pratIyata
   ity ata ^1āha    aparasmād[252] aparasmād ca asato 'kṣaṇikāc ca yā	iti atas ^1Aha   aparasmAt [252] aparasmAt ca asataH akzaNikAt ca yA
   vyāvṛttis tasyā yo [S. 61b.] bhedaḥ avadhibhedopakalpitas tena hetubhūtena	vyAvRttiH tasyAH yaH [S. 61b.] BedaH avaDi Beda upakalpitaH tena hetu BUtena
   sādhyadharmāt sādhanadharmasya yo bhedas tasmin _{1}saty api _{2}vastutaḥ	sADya DarmAt sADana Darmasya yaH BedaH tasmin _{1}sati api _{2}vastutas 
   paramārthato liṅgasvabhāva eva sādhyadharmasvabhāva [T. 245a.] eva | tathā	paramArTataH liFga svaBAvaH eva sADya Darma svaBAvaH [T. 245a.] eva | taTA
   hi    ya evāsato vyāvṛttaḥ sa evākṣaṇikād api | tata ekasmād dharmiṇo	hi   yaH eva asataH vyAvRttaH saH eva akzaNikAt api | tatas ekasmAt DarmiNaH 
   bhedābhāvāt sādhyasādhanadharmāv api paramārthato naiva bhidyeta iti |	Beda aBAvAt sADya sADana DarmO api paramArTataH na eva Bidyeta iti |
   __________NOTES__________	__________NOTEH __________
   [252] āha paraspareti apa     T.	[252] Aha paraspara iti apa   T.
   [ § 2. paramatanirāsārthaṃ sādhyadharme	[ § 2. para mata nirAsa arTam sADya Darme
   sādhanadharmabhāvamātretyādiviśeṣaṇam |]	sADana Darma BAva mAtrA ityAdi viSezaNam |]
       yadi vastuto liṅgisvabhāva eva sādhanadharmaḥ, tat kasmāt	yadi vastutas liFgi svaBAvaH eva sADana DarmaH, tat kasmAt 
   sādhanadharmabhāvamātrānvayini iti sādhyadharmo viśeṣyate? | yo hi yasya	sADana Darma BAva mAtra anvayini iti sADya DarmaH viSezyate? | yaH hi yasya
   svabhāvaḥ sa kathaṃ tanmātrānvayī na syāt?, nīrūpatvaprasaṅgād	svaBAvaH sa kaTam tanmAtra anvayI na syAt?, nIrUpa tva prasaFgAt 
   atatsvabhāvatā vā ity ata āha    hetuḥ svabhāvo yasya sādhyadharmasya	atatsvaBAva tA vA iti atas Aha   hetuH svaBAvaH yasya sADya Darmasya
   tasmin _{1}hetusvabhāve _{2}sādhyadharme sati anvayavyabhicārābhāvāt	tasmin _{1}hetu svaBAve _{2}sADya Darme sati anvaya vyaBicAra aBAvAt 
   sādhanadharmabhāvamātrasya yo 'nvayas tasya vyabhicārābhāvāt | [S. 62a.]	sADana Darma BAva mAtrasya yaH anvayaH tasya vyaBicAra aBAvAt | [S. 62a.]
   sambhave vyabhicāre ca viśeṣaṇaṃ yuktam | atra tu sambhava eva na	samBave vyaBicAre ca viSezaNam yuktam | atra tu samBavaH eva na
   vyabhicāra iti viśeṣaṇam ayuktam eva | tathāpi svabhāvahetulakṣaṇe	vyaBicAraH iti viSezaNam ayuktam eva | taTA api svaBAva hetu lakzaNe
   kriyamāṇe yad etat _{1}sādhyadharmasya _{2}tanmātrānvayena	kriyamANe yat etat _{1}sADya Darmasya _{2}tanmAtra anvayena
   sādhanadharmabhāvamātrānugamanena viśeṣaṇaṃ tat	sADana Darma BAva mAtra anugamanena viSezaNam tat 
   paramatāpekṣaṃnaiyāyikādīnāṃ vipratipattes tanmatāpekṣaṃ na tu	parama tApekzaMnEyAyika AdInAm vipratipatteH tad mata apekzam na tu
   svamatāpekṣam |	sva mata apekzam |
       {p. 58.1} tām eva paravipratipattiṃ darśayann āha    pare	{p. 58.1} tAm eva para vipratipattim darSayan Aha   pare
   hinaiyāyikādayaḥ arthāntaranimittaṃ janakād arthād anyo yo 'rtho	hi nEyAyika AdayaH arTa antara nimittam janakAt arTAt anyaH yaH arTaH 
   vegavaddravyayogādiḥ tannimittam | te hy evam āhuḥ    vegavaddravyayogād	vegavat dravya yoga AdiH tad nimittam | te hi evam AhuH   vegavat dravya yogAt 
   avayaveṣu karmāṇy utpadyante | tebhyo 'vayavavibhāgaḥ | tatas	avayavezu karmANi utpadyante | teByaH avayava viBAgaH | tatas 
   tatsaṃyogavināśas tadārabdhaṃ kāryadravye 'pi(kāryadravyam api) naśyatīti	tad saMyoga vinASaH tadA ArabDam kArya dravye api(kArya dravyam api) naSyati iti
   | [T. 245b.] evam arthāntaraṃ nimittaṃ | tata eva arthāntaranimittam	| [T. 245b.] evam arTa antaram nimittam | tatas eva arTa antara nimittam
   apekṣamāṇaṃ kṛtakatvādibhāve 'py abhāvād atadbhāvamātrānvayinaṃ tasya	apekzamANam kRtaka tva Adi BAve api aBAvAt atadBAva mAtra anvayinam tasya
   kṛtakatvādeḥ bhāvaḥ sattā saiva tanmātraṃ tasyānvayaḥ sa yasyāsti [S.	kRtaka tva AdeH BAvaH sattA sA eva tanmAtram tasya anvayaH sa yasya asti [S.
   62b.] sādhyadharmasya anityatvalakṣaṇasya tadviparītam api kṛtakatvādeḥ	62b.] sADya Darmasya anitya tva lakzaNasya tad viparItam api kRtaka tva AdeH
   svabhāvam icchanti yataḥ tato viśeṣaṇaṃ kṛtam | tena ca viśeṣaṇena	svaBAvam icCanti yatas tatas viSezaNam kRtam | tena ca viSezaNena
   tathāvidhasyārthāntaranimittasya vināśasyātatsvabhāvatām āha lakṣaṇe	taTAviDasya arTa antara nimittasya vinASasya Atad svaBAva tAm Aha lakzaNe
   viśeṣaṇakāraḥ | svasattāmātrabhāviny eva svabhāvatvaṃ nānyatreti	viSezaNa kAraH | sva sattA mAtra BAvini eva svaBAva tvam na anyatra iti
   viśeṣaṇena sūcanāt |	viSezaNena sUcanAt |
   [ § 3. hetumati vināśe sādhye kṛtakatvasya vyabhicāritvam |]	[ § 3. hetumati vinASe sADye kRtaka tvasya vyaBicAri tvam |]
   tathā, tasmin arthāntaranimitte sādhye hetoḥ kṛtakatvādeḥ vyabhicāram	taTA, tasmin arTa antara nimitte sADye hetoH kRtaka tva AdeH vyaBicAram
   anaikāntikatāṃ cāha | atrodāharaṇaṃ yathā   hetumati vināśe sādhye	anEkAntika tAm ca Aha | atra udAharaNam yaTA  hetumati vinASe sADye
   kṛtakatvāsya hetoḥ atatsvabhāvatāvyabhicāraśceti |	kRtakatva asya hetoH atad svaBAva tA vyaBicAraH ca iti |
       nanu ca kṛtakatvasvabhāvatā anityatāyā bhedopagamāt neṣṭaiva parais	nanu ca kRtaka tva svaBAva tA anitya tAyAH Beda upagamAt na izwA eva parEH 
   tat kim ucyate    atadbhāvamātrānvayinam api svabhāvam icchanti iti? |	tat kim ucyate   atadBAva mAtra anvayinam api svaBAvam icCanti iti? |
   evaṃ manyate    vyatiriktāv api kṛtakatvānityatvākhyau dharmāv	evam manyate   vyatiriktO api kRtaka tva anitya tva AKyO DarmAv
   abhyupagacchadbhir avaśyam `abhūtvā bhavanaṃ bhūtvā cābhavanam	aByupagacCadBiH avaSyam `aBUtvA Bavanam BUtvA ca aBavanam
   anavasthāyisvabhāvatvam' abhyupagantavyam, [S. 63a.] anyathā ''tmādiṣv api	anavasTAyi svaBAva tvam a aByupagantavyam, [S. 63a.] anyaTA aatma Adizu api
   kṛtakatvānityatve viśeṣābhāvād bhavetām | tato yad eva `abhūtvā bhavanaṃ	kRtaka tva anitya tve viSeza aBAvAt BavetAm | tatas yat eva `aBUtvA Bavanam
   bhūtvā[ 'bhavanaṃ] cānavasthāyitvam' upādīyate bhāvasya tayor eva	BUtvA[ aBavanaM] ca anavasTAyi tvam a upAdIyate BAvasya tayoH eva
   taddarśanabalotpannakṛtakatvānityatvabhedāvabhāsikalpanādvāreṇa	tad darSana bala utpanna kRtaka tva anitya tva Beda avaBAsi kalpanA dvAreNa
   sādhyasādhanabhāvo 'stu, kiṃ vyatiriktadharmakalpanayā? | [T. 246a.]	sADya sADana BAvaH astu, kim vyatirikta Darma kalpanayA? | [T. 246a.]
   kalpayitvā 'pi vastv ātmana evārthakriyānibandhanatayā tadarthibhiḥ	kalpayitvA api vastu AtmanaH eva arTa kriyA nibanDana tayA tad arTiBiH
   cintyatvāt | taduktam   	cintya tvAt | tat uktam   
   {p. 59.1} sadasatpakṣabhedenaśabdārthānapavādibhiḥ|	{p. 59.1} sat asat pakza Bedena Sabda arTAnapavAdiBiH|
           vastv eva cintyate hy atra[253] pratibaddhaḥphalodayaḥ||	vastu eva cintyate hi atra[253] pratibadDaH Pala udayaH||
                    arthakriyā'samarthasya vikā(cā)raiḥkiṃtadarthinām? |	arTa kriyA asamarTasya vikA( cA)rEH kiMtad arTi nAm? |
                    ṣaṇḍhasya rūpavairūype kāminyāḥkiṃparīkṣayā? ||	zaNXasya rUpa vErUype kAminyAH kiMparIkzayA? ||
                                                                                                   [PV	[PV
   iti | tasmād dṛṣṭā api bhāvāḥ kenacid[254]ātmanā tadanyavyāvṛttena	iti | tasmAt dRzwAH api BAvAH kenacid [254]a AtmanA tad anya vyAvRttena
   kathañcin niścitāḥ	kaTaQcid niScitAH
   tadanyenāpy[255]atadrūpavyāvṛttenātmanā[256]bhrāntikāraṇasadbhāvād[257]aniścīyamānāḥ,[258]niścitāniścitayo[259]rūpayoḥ	tad anyena api [255]a tad rUpa vyAvRttena AtmanA a[256] BrAnti kAraNa sadBAvAt [257]a niScIyamAnAH,[258] niScitA niScitayA u[259] rUpayoH
   pramāṇāntarataḥ pratibandhāvasāyapurovarttino[260]'numānato niścīya(yaṃ)ta	pramANa antarataH pratibanDa avasAya puras varttinaH [260] anumAnataH niScIya(i aM)ta
   iti anityatāsvabhāvabhūtasyaiva kṛtakatvasya vināśaṃ prati liṅgatā yuktā |	iti anitya tA svaBAva BUtasya eva kRtaka tvasya vinASam prati liFgatA yuktAH |
   tathā ca vināśasvabhāva eva kṛtakatvākhyo hetuḥ tair athoktanyāyādiṣṭo	taTA ca vinASa svaBAvaH eva kRtaka tva AKyaH hetuH tEH aTa ukta nyAyAt izwaH 
   bhavati | tasyā[261]'tanmātrānvayitve 'rthāntaranimittatayā	Bavati | tasya a[261] atanmAtra anvayitve arTa antara nimitta tayA
   viśeṣaṇenātatsvabhāvatā [S. 63a.] kathyate |	viSezaNena atad svaBAva tA [S. 63a.] kaTyate |
       syānmatam    kṛtakatvena sākṣād hetumān vināśo 'numīyate tataḥ prāk	syAt matam   kRtaka tvena sAkzAt hetumAn vinASaH anumIyate tatas prAk 
   pradhvaṃsābhāvaviśeṣaṇā sattā tatsamavāyo vā 'nityatā vyavasthāpyate | ata	praDvaMsa aBAva viSezaNA sattA tad samavAyaH vA anitya tA vyavasTApyate | ata
   evātmādiṣv anityatāprasaṅgābhāvaḥ | vināśa iti ca bhāvābhāvaṃ	eva Atma Adizu anitya tA prasaFga aBAvaH | vinASaH iti ca BAva aBAvam
   pradhvaṃsalakṣaṇaṃ manyāmahe | kṛtakatvaṃ tu svakāraṇasattāsamavāyam |	praDvaMsa lakzaNam manyAmahe | kRtaka tvam tu sva kAraNa sattA samavAyam |
