   Vārāhagṛhyasūtra, 1	VArAha-gRhya-sUtra, 1
   ata ūrdhvaṃ patitasāvitrikā bhavanti /	atas UrDvam patita-sAvitrikAH Bavanti /
   nainān yājayeyur nādhyāpayeyur na vivaheyur na vivāhayeyuḥ // VGrs_5.3	na-enAn yAjayeyuH na-aDyApayeyuH na vivaheyuH na vivAhayeyuH // VGrH-_5.3
   abhyantaraṃ jaṭākaraṇaṃ bahir upanayanam // VGrs_5.4	aByantaram jawA-karaNam bahis upanayanam // VGrH-_5.4
   ukto 'gnisaṃskāro brahmaṇaśca // VGrs_5.5	uktaH agni-saMskAraH brahmaNaH-ca // VGrH-_5.5
   kumāraṃ paryuptinaṃ snātam abhyaktaśirasam upasparśanakalpe nopaspṛṣṭam	kumAram paryuptinam snAtam aByakta-Sirasam upasparSana-kalpe na-upaspRzwam
   agnerdakṣiṇato 'vasthāpya dadhikrāvṇo akāriṣam iti dadhnaḥ kumāraṃ triḥ	agneH-dakziNatas avasTApya daDikrAvNaH akArizam iti daDnaH kumAram tris-
   prāśayet // VGrs_5.6	prASayet // VGrH-_5.6
   iyaṃ duruktāt paribādhamānā varṇaṃ pavitraṃ punatī na āgāt /	iyam duruktAt paribADamAnA varNam pavitram punatI naH AgAt /
   prāṇāpānābhyāṃ balam ābhajantī śivā devī subhagā mekhaleyam /	prANa-apAnAByAm balam ABajantI SivA devI suBagA meKalA-iyam /
   ṛtasya goptrī tapasas tarutrī ghnatī rakṣaḥ sahamānā arātīḥ /	Rtasya goptrI tapasaH tarutrI GnatI rakzaH sahamAnAH arAtIH /
   sā mā samantam anuparyehi bhadre dhartāras te subhage mekhale mā riṣāma /	sA mA samantam anuparyehi Badre DartAraH te suBage meKale mA rizAma /
   iti mauñjīṃ triguṇāṃ triḥ parivītāṃ mekhalām ābadhnīte /	iti mOQjIm triguNAm tris parivItAm meKalAm AbaDnIte /
   maurvīṃ dhanurjyāṃ kṣatriyasya śāṇīṃ vaiśyasya // VGrs_5.7	mOrvIm DanuH-jyAm kzatriyasya SANIm vESyasya // VGrH-_5.7
   upavītam asi yajñasya tvopavītenopavyayāmīti yajñopavītam // VGrs_5.8	upavItam asi yajQasya tvA-upavItena-upavyayAmi-iti yajQopavItam // VGrH-_5.8
   yā akṛtan yā atanvan yā avāyan yā avāharan /	yAH akRtan yA atanvan yA avAyan yAH avAharan /
   yāś cāgnā devīr antān abhito 'tanvata tāstvā devīr jarase saṃvyayantām /	yAH ca-agnAH devIH antAn aBitas atanvata tAH-tvA devIH jarase saMvyayantAm /
   āyuṣmān ayaṃ paridhatta vāsaḥ paridhatta varcaḥ /	AyuzmAn ayam pariDatta vAsaH pariDatta varcaH /
   śatāyuṣaṃ kṛṇuhi dīrghamāyuḥ /	Sata-Ayuzam kRNuhi dIrGam-AyuH /
   śataṃ ca jīva śaradaḥ purūcīr vasūni cāyyo vibhajāya jīyān /	Satam ca jIva SaradaH purUcIH vasUni cAyyaH viBajAya jIyAn /
   ity ahataṃ vāsa ācchādya mitrasya cakṣurdharaṇaṃ balīyastejo yaśasvi	iti ahatam vAsaH AcCAdya mitrasya cakzuH-DaraNam balIyaH-tejaH yaSasvi
   sthaviraṃ ca dhṛṣṇu /	sTaviram ca DRzNu /
   anāhanasyaṃ vasanaṃ cariṣṇu parīdaṃ vājyaṃ vājinaṃ dadhe 'ham /	anAhanasyam vasanam carizNu pari-idam vA-Ajyam vAjinam daDe aham /
   iti kṛṣṇājinaṃ ca // VGrs_5.9	iti kRzNAjinam ca // VGrH-_5.9
   ājyaṃ saṃskṛtya brahmāṇam āmantrya samidham ādhāyāghārāv āghāryājyabhāgau	Ajyam saMskRtya brahmANam Amantrya samiDam ADAya-AGArO AGArya-Ajya-BAgO
   hutvāṣṭau jaṭākaraṇīyān juhuyāt // VGrs_5.10	hutvA-azwO jawA-karaNIyAn juhuyAt // VGrH-_5.10
   vyāhṛtibhiśca // VGrs_5.11	vyAhRtiBiH-ca // VGrH-_5.11
   uktaḥ karmāntaḥ pūrveṇa // VGrs_5.12	uktaH karmAntaH pUrveNa // VGrH-_5.12
   kālāya vāṃ gotrāya vāṃ jaitrāya vām audbhetrāya vām annādyāya vām	kAlAya vAm gotrAya vAm jEtrAya vAm OdBetrAya vAm annAdyAya vAm
   avanenijed ity udakenāñjaliṃ pūrayitvā sukṛtāya vāmiti pāṇī prakṣālya	avanenijet iti udakena-aQjalim pUrayitvA sukRtAya vAm-iti pANI prakzAlya
   idamahaṃ duryamanyā niṣplāvayāmīty ācamya niṣṭhīvati // VGrs_5.13	idam-aham duryamanyA nizplAvayAmi-iti Acamya nizWIvati // VGrH-_5.13
   bhrātṛvyāṇāṃ sapatnānām ahaṃ bhūyāsam uttama iti dvitīyam // VGrs_5.14	BrAtRvyANAm sapatnAnAm aham BUyAsam uttamaH iti dvitIyam // VGrH-_5.14
   prātar jitaṃ bhagamugraṃ huvema vayaṃ putram aditeryo vidhartā /	prAtar jitam Bagam-ugram huvema vayam putram aditeH-yaH viDartA /
   ādhraś cidyaṃ mantamānasturaś cidrājā cidyaṃ bhagaṃ bhakṣīmahīty āha /	ADraH cidyam mantamAnaH-turaH cit-rAjA cidyam Bagam BakzImahi-iti Aha /
   ity ādityam upatiṣṭheta // VGrs_5.15	iti Adityam upatizWeta // VGrH-_5.15
   brahmacaryam upāgāmupa mā hvayasveti brūyāt // VGrs_5.16	brahmacaryam upAgAm-upa mA hvayasva-iti brUyAt // VGrH-_5.16
   ehi brahmopehi brahma brahma tvā sa brahmasantam upanayāmy aham asāv iti	ehi brahma-upehi brahma brahma tvA sa brahmasantam upanayAmi aham asO iti
   // VGrs_5.17	// VGrH-_5.17
   athāsyābhivādanīyaṃ nāma gṛhṇāti // VGrs_5.18	aTa-asya-aBivAdanIyam nAma gRhNAti // VGrH-_5.18
   devasya te savituḥ prasave 'śvinorbāhubhyāṃ pūṣṇo hastābhyāṃ hastaṃ	devasya te savituH prasave aSvinoH-bAhuByAm pUzNaH hastAByAm hastam
   gṛhṇāmy aham asāv ity asya hastaṃ dakṣiṇena dakṣiṇam uttānam	gRhNAmi aham asO iti asya hastam dakziNena dakziNam uttAnam
   abhīvāṅguṣṭham abhīva lomāni gṛhṇīyāt // VGrs_5.19	aBi-iva-aFguzWam aBi-iva lomAni gRhNIyAt // VGrH-_5.19
   mām evānvetu te mano māmevāpi tvam anvihi /	mAm eva-anvetu te manaH mAm-eva-api tvam anvihi /
   agnau dhṛtamiva dīpyatāṃ hṛdayaṃ tava yan mayi /	agnO DRtam-iva dIpyatAm hRdayam tava yat mayi /
   ityenaṃ prekṣamāṇaṃ samīkṣate // VGrs_5.20	iti-enam prekzamANam samIkzate // VGrH-_5.20
   pṛṣṭhato 'sya pāṇim anvavahṛtya hṛdayadeśam anvārabhya japet prāṇānāṃ	pRzWatas asya pANim anvavahRtya hRdaya-deSam anvAraBya japet prANAnAm
   granthir asi sa mā visrasad iti /	granTiH asi sa mA visrasat iti /
   brahmaṇo granthirasīti nābhideśam // VGrs_5.21	brahmaNaH granTiH-asi-iti nABi-deSam // VGrH-_5.21
   gaṇānāṃ tvā gaṇapatiṃ havāmahe kaviṃ kavīnām upamaśravastamam /	gaNAnAm tvA gaNapatim havAmahe kavim kavInAm upamaSravastamam /
   jyeṣṭharājaṃ brahmāṇaṃ brahmaṇaspata ā naḥ kṛṇvann ūtibhiḥ sīda sādanam /	jyezWa-rAjam brahmANam brahmaNaspate A naH kRNvan UtiBiH sIda sAdanam /
   iti pradakṣiṇamagniṃ pariṇayet // VGrs_5.22	iti pradakziNam-agnim pariNayet // VGrH-_5.22
   paścādagner darbheṣūpaviśati dakṣiṇataśca brahmacārī // VGrs_5.23	paScAt-agneH darBezu-upaviSati dakziNatas-ca brahmacArI // VGrH-_5.23
   adhīhi bho ity upaviśya japati // VGrs_5.24	aDIhi Bo iti upaviSya japati // VGrH-_5.24
   prabhujya dakṣiṇaṃ jānuṃ pāṇī saṃdhāya darbhahastāv oṃ ity uktvā vyāhṛtīḥ	praBujya dakziNam jAnum pANI saMDAya darBa-hastO om iti uktvA vyAhRtIH
   sāvitrīṃ cānubrūyāt /	sAvitrIm ca-anubrUyAt /
   evaṃ kāṇḍānuvacaneṣu // VGrs_5.25	evam kANxa-anuvacanezu // VGrH-_5.25
   tatsaviturvareṇyam iti gāyatrīṃ brāhmaṇāya /	tat-savituH-vareNyam iti gAyatrIm brAhmaNAya /
   ā devo yātu savitā suratna iti triṣṭubhaṃ kṣatriyāya /	A devaH yAtu savitA suratnaH iti trizwuBam kzatriyAya /
   yuñjate mana iti jagatīṃ vaiśyāya /	yuQjate manaH iti jagatIm vESyAya /
   paccho 'rdharcaśaḥ sarvām antataḥ // VGrs_5.26	pacCas arDarcaSaH sarvAm antatas // VGrH-_5.26
   pālāśaṃ daṇḍaṃ brāhmaṇāya prayacchati naiyagrodhaṃ kṣatriyāyāśvatthaṃ	pAlASam daNxam brAhmaNAya prayacCati nEyagroDam kzatriyAya-aSvatTam
   vaiśyāya /	vESyAya /
   suśravaḥ suśravasaṃ māṃ kuru /	suSravaH suSravasam mAm kuru /
   yathā tvaṃ suśravaḥ suśravā asy evam ahaṃ suśravaḥ suśravā bhūyāsam /	yaTA tvam suSravaH suSravAH asi evam aham suSravaH suSravAH BUyAsam /
   yathā tvaṃ devānāṃ vedasya nidhigopo 'syevamahaṃ manuṣyāṇāṃ brahmaṇo	yaTA tvam devAnAm vedasya niDi-gopaH asi-evam-aham manuzyANAm brahmaNaH-
   nidhigopo bhūyāsamiti pratigṛhṇāti // VGrs_5.27	niDi-gopaH BUyAsam-iti pratigRhNAti // VGrH-_5.27
   ūrdhvakapālo brāhmaṇasya kamaṇḍaluḥ parimaṇḍalaḥ kṣatriyasya nicalkalo	UrDva-kapAlaH brAhmaNasya kamaNxaluH parimaNxalaH kzatriyasya nicalkalo
   vaiśyasya /	vESyasya /
   imā āpaḥ prabharāmy ayakṣmā yakṣmacātanīḥ /	imAH ApaH praBarAmi ayakzmA yakzma-cAtanIH /
   ṛtenāpaḥ prabharāmy amṛtena sahāyuṣā /	Rtena-apaH praBarAmi amRtena saha-AyuzA /
   iti pratigṛhṇāmīti pratigṛhya bhaikṣyacaryaṃ caret bhavati bhikṣāṃ dehīti	iti pratigRhNAmi-iti pratigRhya BEkzya-caryam caret Bavati BikzAm dehi-iti
   brāhmaṇaḥ bhavati madhyāṃ kṣatriyaḥ bhavaty antyāṃ vaiśyaḥ /	brAhmaNaH Bavati maDyAm kzatriyaH Bavati antyAm vESyaH /
   catasraḥ ṣaḍaṣṭau vāvidhavā apratyākhyāyinyaḥ /	catasraH zaz-azwO vA-aviDavAH apratyAKyAyinyaH /
   mātaraṃ prathamameke // VGrs_5.28	mAtaram praTamam-eke // VGrH-_5.28
   gurave nivedya // VGrs_5.29	gurave nivedya // VGrH-_5.29
   vāgyataḥ prāg grāmāt saṃdhyām āset /	vAgyataH prAk grAmAt saMDyAm Aset /
   tiṣṭhanpūrvām /	tizWan-pUrvAm /
   sāvitrīṃ trir adhītya adhvanām adhvapate svastyasyādhvanaḥ pāramaśīya /	sAvitrIm tris aDItya aDvanAm aDvapate svasti-asya-aDvanaH pAramaSIya /
   yā medhā apsaraḥsu gandharveṣu ca yanmanaḥ /	yAH meDAH apsaraHsu ganDarvezu ca yat-manaH /
   yā medhā daivī mānuṣī sā mām āviśatām iha /	yA meDA dEvI mAnuzI sA mAm AviSatAm iha /
   iti // VGrs_5.30	iti // VGrH-_5.30
   pratyetyāgniṃ paricaret /	pratyetya-agnim paricaret /
   imaṃ stomamarhata iti parisamūhet /	imam stomam-arhataH iti parisamUhet /
   edho 'sy edhiṣīmahīti samidham ādadhāti /	eDaH asi eDizImahi-iti samiDam AdaDAti /
   samid asi samedhiṣīmahīti dvitīyām // VGrs_5.31	samiD asi sameDizImahi-iti dvitIyAm // VGrH-_5.31
   apo 'dyānvacāriṣam ityupatiṣṭhate // VGrs_5.32	apaH adya-anvacArizam iti-upatizWate // VGrH-_5.32
   taṃ mā saṃsṛja varcaseti mukhaṃ parimṛjīta // VGrs_5.33	tam mA saMsRja varcasA-iti muKam parimRjIta // VGrH-_5.33
   yadagne tapasā tapo brahmacaryam upemasi /	yat-agne tapasA tapaH brahmacaryam upemasi /
   priyāḥ śrutasya bhūyasmāyuṣmantaḥ sumedhasaḥ /	priyAH Srutasya BUyasma-AyuzmantaH sumeDasaH /
   agne samidham ahāriṣaṃ bṛhate jātavedase /	agne samiDam ahArizam bRhate jAtavedase /
   sa me śraddhāṃ ca medhāṃ ca jātavedāḥ prayacchatu /	sa me SradDAm ca meDAm ca jAtavedAH prayacCatu /
   svāhā /	svAhA /
   iti samidham ādadhāti // VGrs_5.34	iti samiDam AdaDAti // VGrH-_5.34
   tejasā mā samaṅgdhi varcasā mā samaṅgdhi brahmavarcasena mā samaṅgdhīti	tejasA mA samaFgDi varcasA mA samaFgDi brahmavarcasena mA samaFgDI-iti
   mukhaṃ parimṛjīta // VGrs_5.35	muKam parimRjIta // VGrH-_5.35
   āyurdhā agne 'sīti yathārūpaṃ gātrāṇi saṃmṛśati // VGrs_5.36	AyurDA agne asi-iti yaTArUpam gAtrANi saMmRSati // VGrH-_5.36
   iha dhṛtiriti paryāyair aṃsaṃ grīvāścārcirālabhya rucaṃ no dhehīti lalāṭam	iha DRtiH-iti paryAyEH aMsam grIvAH-ca-arciH-AlaBya rucam naH Dehi-iti lalAwam
   abhimṛśet // VGrs_5.37	aBimRSet // VGrH-_5.37
   ādyantayoḥ paryukṣaṇam // VGrs_5.38	Adi-antayoH paryukzaNam // VGrH-_5.38
   gurave brahmaṇe ca varam uttarāsaṅgaṃ ca dadāti // VGrs_5.39	gurave brahmaNe ca varam uttarAsaFgam ca dadAti // VGrH-_5.39
   dvādaśarātram akṣāralavaṇam āśet // VGrs_5.40	dvAdaSa-rAtram akzAra-lavaNam ASet // VGrH-_5.40
   akṣārameke // VGrs_5.41	akzAram-eke // VGrH-_5.41
   vyuṣṭe dvādaśarātre ṣaḍrātre vā grāmāt prācīṃ vodīcīṃ vā diśam	vyuzwe dvAdaSa-rAtre zaz-rAtre vA grAmAt prAcIm vA-udIcIm vA diSam
   upaniṣkramya paścāt palāśasya yajñīyasya vā vṛkṣasya sāvitreṇa	upanizkramya paScAt palASasya yajQIyasya vA vRkzasya sAvitreNa
   sthālīpākeneṣṭvā jayaprabhṛtibhiścājyasya purastāt sviṣṭakṛto mekhalāṃ	sTAlIpAkena-izwvA jaya-praBRtiBiH-ca-Ajyasya purastAt svizwakRtaH meKalAm
   daṇḍaṃ cāpsu prāsyet // VGrs_5.42	daNxam ca-apsu prAsyet // VGrH-_5.42
   tatraiva haviḥśeṣaṃ bhuñjīteti śrutiḥ // VGrs_5.43	tatra-eva haviH-Sezam BuQjIta-iti SrutiH // VGrH-_5.43
   Vārāhagṛhyasūtra, 6	VArAha-gRhya-sUtra, 6
   upanayanaprabhṛti vratacārī syāt // VGrs_6.1	upanayana-praBRti vrata-cArI syAt // VGrH-_6.1
   upanayanena vratādeśā vyākhyātāḥ // VGrs_6.2	upanayanena vrata-AdeSAH vyAKyAtAH // VGrH-_6.2
   mārgavāsāḥ saṃhatakeśaḥ bhaikṣācaryavṛttiḥ saśalkadaṇḍaḥ saptamauñjīṃ	mArga-vAsAH saMhata-keSaH BEkza-Acarya-vRttiH sa-Salka-daNxaH sapta-mOQjIm
   mekhalāṃ dhārayed ācāryasyāpratikūlaḥ sarvakārī // VGrs_6.3	meKalAm DArayet AcAryasya-apratikUlaH sarva-kArI // VGrH-_6.3
   yadenam upeyāt tad asmai dadyāt /	yat-enam upeyAt tat asmE dadyAt /
   bahūnāṃ yena saṃyuktaḥ // VGrs_6.4	bahUnAm yena saMyuktaH // VGrH-_6.4
   nāsya śayyāmāviśet // VGrs_6.5	na-asya SayyAm-AviSet // VGrH-_6.5
   na rathamārohet // VGrs_6.6	na raTam-Arohet // VGrH-_6.6
   na saṃvaset // VGrs_6.7	na saMvaset // VGrH-_6.7
   na vihārārtho jalpet // VGrs_6.8	na vihAra-arTaH jalpet // VGrH-_6.8
   na rucyarthaḥ kaṃcanaṃ dhārayet // VGrs_6.9	na ruci-arTaH kaMcanam DArayet // VGrH-_6.9
   sarvāṇi sāṃsparśakāni strībhyo varjayet // VGrs_6.10	sarvANi sAMsparSakAni strIByaH varjayet // VGrH-_6.10
   na snāyād daṇḍavat // VGrs_6.11	na snAyAt daNxa-vat // VGrH-_6.11
   nodakamabhyupeyāt // VGrs_6.12	na-udakam-aByupeyAt // VGrH-_6.12
   na divā svapet // VGrs_6.13	na divA svapet // VGrH-_6.13
   traividyakaṃ brahmacaryaṃ caret // VGrs_6.14	trEvidyakam brahmacaryam caret // VGrH-_6.14
   indriyasaṃyataḥ sāyaṃ prātar bhaikṣyavṛttiḥ // VGrs_6.15	indriya-saMyataH sAyam prAtar BEkzya-vRttiH // VGrH-_6.15
   sāyaṃ prātar agniṃ paricaret // VGrs_6.16	sAyam prAtar agnim paricaret // VGrH-_6.16
   adhaḥśāyī ācāryādhīnavṛttiḥ tannisargād aśanam ayācitaṃ lavaṇam //	aDas-SAyI AcArya-aDIna-vRttiH tad-nisargAt aSanam ayAcitam lavaNam //
   VGrs_6.17	VGrH-_6.17
   vāgyato 'śnīyāt // VGrs_6.18	vAgyataH aSnIyAt // VGrH-_6.18
   madhumāṃse varjayet // VGrs_6.19	maDu-mAMse varjayet // VGrH-_6.19
   acchannavastrāṃ vivṛtāṃ striyaṃ na paśyet // VGrs_6.20	acCanna-vastrAm vivRtAm striyam na paSyet // VGrH-_6.20
   yaupyasya vṛkṣasya daṇḍī syāt // VGrs_6.21	yOpyasya vRkzasya daNxI syAt // VGrH-_6.21
   nānena praharedgave na brāhmaṇāya // VGrs_6.22	na-anena praharet-gave na brAhmaNAya // VGrH-_6.22
   na nṛtyagīte gacchet // VGrs_6.23	na nRtya-gIte gacCet // VGrH-_6.23
   na caine kuryāt // VGrs_6.24	na ca-ene kuryAt // VGrH-_6.24
   nāvalikhet // VGrs_6.25	na-avaliKet // VGrH-_6.25
   śikhājaṭaḥ sarvajaṭo vā syāt // VGrs_6.26	SiKAjawaH sarva-jawaH vA syAt // VGrH-_6.26
   śāṇīkṣaumājinavāsāḥ // VGrs_6.27	SANI-kzOma-ajina-vAsAH // VGrH-_6.27
   raktaṃ vasanakambalam aiṇeyaṃ brāhmaṇasya rauravaṃ kṣatriyasya ājaṃ	raktam vasana-kambalam ENeyam brAhmaNasya rOravam kzatriyasya Ajam
   vaiśyasya // VGrs_6.28	vESyasya // VGrH-_6.28
   etena dharmeṇa dvādaśavarṣāṇy ekavede brahmacaryaṃ caret /	etena DarmeNa dvAdaSa-varzANi eka-vede brahmacaryam caret /
   caturviṃśati dvayoḥ ṣaṭtriṃśati trayāṇām aṣṭācatvāriṃśati sarveṣām /	caturviMSati dvayoH zawtriMSati trayANAm azwAcatvAriMSati sarvezAm /
   yāvad grahaṇaṃ vā // VGrs_6.29	yAvat grahaNam vA // VGrH-_6.29
   malajñurabalaḥ kṛśaḥ snātvā sa sarvaṃ labhate yat kiṃcin manasepsitamiti	malajQurabalaH kRSaH snAtvA sa sarvam laBate yat kiMcid manasA-Ipsitam-iti
   // VGrs_6.30	// VGrH-_6.30
   etena dharmeṇa sādhv adhīte // VGrs_6.31	etena DarmeNa sADu aDIte // VGrH-_6.31
   mantrabrāhmaṇānyadhītya kalpaṃ mīmāṃsāṃ ca yājñiko 'dhītya vaktraṃ padaṃ	mantra-brAhmaNAni-aDItya kalpam mImAMsAm ca yAjQikaH aDItya vaktram padam
   smṛtiṃ caicchikaḥ // VGrs_6.32	smRtim ca-EcCikaH // VGrH-_6.32
   tau snātakau // VGrs_6.33	tO snAtakO // VGrH-_6.33
   śrotriyo 'nyo vedapāṭhī /	SrotriyaH anyaH veda-pAWI /
   na tasya snānam // VGrs_6.34	na tasya snAnam // VGrH-_6.34
   upaviśyācamanaṃ vidhīyate /	upaviSya-Acamanam viDIyate /
   antarjānu bāhū kṛtvā trir ācāmet // VGrs_6.35	antar-jAnu bAhU kRtvA tris AcAmet // VGrH-_6.35
   dviḥ parimṛjet /	dvis parimRjet /
   khāni copaspṛśecchīrṣaṇyāni // VGrs_6.36	KAni ca-upaspRSet-SIrzaNyAni // VGrH-_6.36
   Vārāhagṛhyasūtra, 7	VArAha-gRhya-sUtra, 7
   atha cāturhotṛkī dīkṣā saṃvatsaram // VGrs_7.1	aTa cAturhotRkI dIkzA saMvatsaram // VGrH-_7.1
   āghārāv āghāryājyabhāgau hutvā caturhot n svakarmaṇo juhuyāt /	AGArO AGArya-Ajya-BAgO hutvA catur-hot n sva-karmaNaH juhuyAt /
   saha pañcahotrā ṣaḍḍhotrā ca saptahotāram antataḥ // VGrs_7.2	saha paQcahotrA zaz-XotrA ca sapta-hotAram antatas // VGrH-_7.2
   hutvā vrataṃ pradāyādito dvāv anuvākāv anuvācayet // VGrs_7.3	hutvA vratam pradAya-Aditas dvO anuvAkO anuvAcayet // VGrH-_7.3
   athāgnivratāśvamedhikī dīkṣā saṃvatsaraṃ dvādaśarātraṃ vā // VGrs_7.4	aTa-agnivratA-aSvameDikI dIkzA saMvatsaram dvAdaSa-rAtram vA // VGrH-_7.4
   ākūtamagnimiti ṣaḍḍhutvā vrataṃ pradāyādito 'ṣṭāv anuvākān anuvācayet //	AkUtam-agnim-iti zaz-hutvA vratam pradAya-Aditas azwO anuvAkAn anuvAcayet //
   VGrs_7.5	VGrH-_7.5
   triṣavaṇam udakam āharet trīṃs trīn kumbhān // VGrs_7.6	trizavaNam udakam Aharet trIn trIn kumBAn // VGrH-_7.6
   trīṃśca samitpulān // VGrs_7.7	trIn=-ca samiD-pulAn // VGrH-_7.7
   bhasmani śayīta karīṣe sikatāsu bhūmau vā // VGrs_7.8	Basmani SayIta karIze sikatAsu BUmO vA // VGrH-_7.8
   nodakam abhyupeyāt // VGrs_7.9	na-udakam aByupeyAt // VGrH-_7.9
   saṃvatsare samāpte ghṛtavatāpūpenāgnim iṣṭvā vātsapraṃ vācayet //	saMvatsare samApte GRtavatA-pUpena-agnim izwvA vAtsapram vAcayet //
   VGrs_7.10	VGrH-_7.10
   smārtena yāvad adhyayanaṃ kāṇḍavrataviśeṣā homārthaś cādyantayor juhuyāt	smArtena yAvat aDyayanam kANxa-vrata-viSezAH homa-arTaH ca-Adi-antayoH juhuyAt-
   // VGrs_7.11	// VGrH-_7.11
   athainaṃ paridadīta agnaye tvā paridadāni /	aTa-enam paridadIta agnaye tvA paridadAni /
   vāyave tvā paridadāni /	vAyave tvA paridadAni /
   sūryāya tvā paridadāni /	sUryAya tvA paridadAni /
   prajāpataye tvā paridadānīti // VGrs_7.12	prajApataye tvA paridadAni-iti // VGrH-_7.12
   etenaivāśvamedho vyākhyātaḥ // VGrs_7.13	etena-eva-aSvameDaH vyAKyAtaH // VGrH-_7.13
   navamenānuvākena hutvā daśamenopatiṣṭheta // VGrs_7.14	navamena-anuvAkena hutvA daSamena-upatizWeta // VGrH-_7.14
   aśvāya ghāsamudakasthānam udakaṃ cābhyupeyāt // VGrs_7.15	aSvAya GAsam-udaka-sTAnam udakam ca-aByupeyAt // VGrH-_7.15
   etābhyām evamantrābhyāṃ traividyakaṃ vratamupeyāt // VGrs_7.16	etAByAm eva-mantrAByAm trEvidyakam vratam-upeyAt // VGrH-_7.16
   rahasyamadhyeṣyatā pravargyaḥ // VGrs_7.17	rahasyam-aDyezyatA pravargyaH // VGrH-_7.17
   tasya rahasye vratopāyanaṃ saminmantraśca // VGrs_7.18	tasya rahasye vrata-upAyanam samiD-mantraH-ca // VGrH-_7.18
   tiṣṭhed ahani rātrāv āsīta vāgyataḥ // VGrs_7.19	tizWet ahani rAtrO AsIta vAgyataH // VGrH-_7.19
   parvasu caivaṃ syāt // VGrs_7.20	parvasu ca-evam syAt // VGrH-_7.20
   sarvajaṭaśca syāt // VGrs_7.21	sarva-jawaH-ca syAt // VGrH-_7.21
   saṃvatsarāvaraḥ pravargyo bhavati // VGrs_7.22	saMvatsara-avaraH pravargyaH Bavati // VGrH-_7.22
   Vārāhagṛhyasūtra, 8	VArAha-gRhya-sUtra, 8
   varṣāsu śravaṇenādhyāyān upākaroti /	varzAsu SravaNena-aDyAyAn upAkaroti /
   hastena vā /	hastena vA /
   prauṣṭhapadīm ityeke // VGrs_8.1	prOzWapadIm iti-eke // VGrH-_8.1
   atha juhoti /	aTa juhoti /
   apvā nāmāsi tasyāste joṣṭrīṃ gameyam /	apvA nAma-asi tasyAH-te jozwrIm gameyam /
   aham iddhi pituḥ pari medhā amṛtasya jagrabha /	aham id-hi pituH pari meDAH amRtasya jagraBaH /
   ahaṃ sūrya ivājani /	aham sUryaH iva-ajani /
   svāhā /	svAhA /
   apvo nāmāsi tasya te joṣṭraṃ gameyam /	apvaH nAma-asi tasya te jozwram gameyam /
   aham iddhi pituḥ pari medhā amṛtasya jagrabha /	aham id-hi pituH pari meDAH amRtasya jagraBaH /
   ahaṃ sūrya ivājani /	aham sUryaH iva-ajani /
   svāhā /	svAhA /
   iti // VGrs_8.2	iti // VGrH-_8.2
   yuktirnāmāsi /	yuktiH-nAma-asi /
   yogo nāmāsi /	yogaH nAma-asi /
   matir nāmāsi /	matiH nAma-asi /
   sumatirnāmāsi /	sumatiH-nAma-asi /
   sarasvatī nāmāsi /	sarasvatI nAma-asi /
   sarasvān nāmāsi /	sarasvAn nAma-asi /
   tasyāste tasya te ity anuṣajet // VGrs_8.3	tasyAH-te tasya te iti anuzajet // VGrH-_8.3
   yuje svāhā /	yuje svAhA /
   prayuje svāhā /	prayuje svAhA /
   saṃyuje svāhā /	saMyuje svAhA /
   udyuje svāhā /	udyuje svAhA /
   udyujyamānāya svāheti jayaprabhṛtibhiś cājyasya purastāt sviṣṭakṛto	udyujyamAnAya svAhA-iti jaya-praBRtiBiH ca-Ajyasya purastAt svizwakRtaH-
   'ntevāsināṃ yogam icchann atha japati ṛtaṃ vadiṣyāmi satyaṃ vadiṣyāmi	antevAsinAm yogam icCan aTa japati Rtam vadizyAmi satyam vadizyAmi
   brahma vadiṣyāmi tan mām avatu tadvaktāram avatv avatu māmavatu vaktāram /	brahma vadizyAmi tat mAm avatu tad-vaktAram avatu avatu mAm-avatu vaktAram /
   vāṅ me manasi pratiṣṭhitā mano me vāci pratiṣṭhitam āvir āyur mayi dhehi /	vAc me manasi pratizWitAH manaH me vAci pratizWitam Avis AyuH mayi Dehi /
   vedasya vāṇī stha /	vedasya vANI sTa /
   upatiṣṭhantu chandāṃsy upākurmahe 'dhyāyān // VGrs_8.4	upatizWantu CandAMsi upAkurmahe aDyAyAn // VGrH-_8.4
   oṃ bhūr bhuvaḥ svariti darbhapāṇis triḥ sāvitrīm adhītyāditaś ca trīn	om BUH BuvaH svar-iti darBa-pANiH tris sAvitrIm aDItya-Aditas ca trIn
   anuvākāṃs tathāṅgānām ekaikam /	anuvAkAn taTA-aFgAnAm ekEkam /
   ko vo yunaktīti ca // VGrs_8.5	kaH vaH yunakti-iti ca // VGrH-_8.5
   tasyānadhyāyāḥ /	tasya-anaDyAyAH /
   sataḥ valīkakṣāraprabhṛti varṣaṃ na vidyotamāne na stanayatīti śrutiḥ	sataH valIka-kzAra-praBRti varzam na vidyotamAne na stanayati-iti SrutiH
   ākālikaṃ devatu mūlaṃ vidyuddhanvolkātyakṣarāḥ śabdāḥ ācāreṇānye //	AkAlikam devatu mUlam vidyut-Danva-ulkA-atyakzarAH SabdAH AcAreNa-anye //
   VGrs_8.6	VGrH-_8.6
