   akartṛtvam abhoktṛtvaṃ Avg_18.51a	akartR-tvam aBoktR-tvam Avc-_18.51a
   kriyamāṇe 'pi karmaṇi Avg_18.64d	kriyamANe api karmaNi Avc-_18.64d
   kva kartā kva ca vā bhoktā Avg_20.5a	kva kartA kva ca vA BoktA Avk-_20.5a
   kva kiṃcit kva na kiṃcid vā Avg_20.8c	kva kiMcid kva na kiMcid vA Avk-_20.8c
   kva ca jāgaraṇaṃ tathā Avg_19.5b	kva ca jAgaraNam taTA Avc-_19.5b
   kva ca sā paramārthatā Avg_20.10b	kva ca sA paramArTa-tA Avc-_20.10b
   kva cātmā kva ca vānātmā Avg_19.4a	kva ca-AtmA kva ca vAnAtmA Avc-_19.4a
   kva cārthaḥ kva vivekitā Avg_18.12b	kva ca-arTaH kva viveki-tA Avc-_18.12b
   kva cārthaḥ kva vivekitā Avg_19.2b	kva ca-arTaH kva viveki-tA Avc-_19.2b
   kva cāsti kva ca vā nāsti Avg_20.14a	kva ca-asti kva ca vA na-asti Avc-_20.14a
   kva cāsti puruṣārtho vā Avg_20.13c	kva ca-asti puruza-arTaH vA Avk-_20.13c
   kva cintā kva ca vācintā Avg_19.4c	kva cintA kva ca vAcintAH Avc-_19.4c
   kvacin na gantā nāgantā Avg_2.12c	kvacid na gantA na-AgantA Avc-_2.12c
   kva caiṣa vyavahāro vā Avg_20.10a	kva ca-eza vyavahAraH vA Avk-_20.10a
   kva jīvaḥ kva ca tad-brahma Avg_20.11c	kva jIvaH kva ca tat--brahma Avk-_20.11c
   kva tad dhyānaṃ kva muktatā Avg_18.14b	kva tat DyAnam kva mukta-tA Avc-_18.14b
   kva tad videha-kaivalyaṃ Avg_20.4c	kva tat videha--kEvalyam Avc-_20.4c
   kva tamaḥ kva prakāśo vā Avg_18.78a	kva tamaH kva prakASaH vA Avk-_18.78a
   kva turiyaṃ bhayaṃ vāpi Avg_19.5c	kva tuH-iyam Bayam vA-api Avk-_19.5c
   kva tṛptiḥ kva vitṛṣṇatvaṃ Avg_20.2c	kva tRptiH kva vitRzNa-tvam Avc-_20.2c
   kva tyāgaḥ kva śamo 'pi vā Avg_18.71d	kva tyAgaH kva SamaH api vA Avc-_18.71d
   kva dūraṃ kva samīpaṃ vā Avg_19.6a	kva dUram kva samIpam vA Avk-_19.6a
   kva deśaḥ kva ca vā nityaṃ Avg_19.3c	kva deSaH kva ca vA nityam Avc-_19.3c
   kva deho 'haṃ mameti vā Avg_18.74d	kva dehaH aham mama-iti vA Avc-_18.74d
   kva dvaitaṃ kva ca vādvaitaṃ Avg_19.2c	kva dvEtam kva ca vA-advEtam Avc-_19.2c
   kva dhanāni kva mitrāṇi Avg_14.2a	kva DanAni kva mitrANi Avc-_14.2a
   kva dharmaḥ kva ca vā kāmaḥ Avg_18.12a	kva DarmaH kva ca vA kAmaH Avk-_18.12a
   kva dharmaḥ kva ca vā kāmaḥ Avg_19.2a	kva DarmaH kva ca vA kAmaH Avk-_19.2a
   kva dhairyaṃ kva vivekitvaṃ Avg_18.79a	kva DEryam kva viveki-tvam Avc-_18.79a
   kva nirātaṅkatāpi vā Avg_18.79b	kva nirAtaFka-tA-api vA Avc-_18.79b
   kva nirodho vimūḍhasya Avg_18.41a	kva niroDaH vimUXasya Avc-_18.41a
   kva nirbodhaḥ kva mūḍhatā Avg_20.9b	kva nirboDaH kva mUXa-tA Avc-_20.9b
   kva pramātā pramāṇaṃ vā Avg_20.8a	kva pramAtA pramANam vA Avk-_20.8a
   kva prameyaṃ kva ca pramā Avg_20.8b	kva prameyam kva ca pramA Avc-_20.8b
   kva pravṛttir nirvṛttir vā Avg_20.12a	kva pravRttiH nirvRttiH vE Avk-_20.12a
   kva prārabdhāni karmāṇi Avg_20.4a	kva prArabDAni karmANi Avc-_20.4a
   kva prītir viratiḥ kva vā Avg_20.11b	kva prItiH viratiH kva vA Avc-_20.11b
   kva baddhaḥ kva ca vā muktaḥ Avg_20.6c	kva badDaH kva ca vA muktaH Avk-_20.6c
   kva bandhaḥ kva ca vā mokṣaḥ Avg_18.72c	kva banDaH kva ca vA mokzaH Avk-_18.72c
   kva bandhaḥ kva ca vā mokṣaḥ Avg_20.3c	kva banDaH kva ca vA mokzaH Avk-_20.3c
   kva bhūtaṃ kva bhaviṣyad vā Avg_19.3a	kva BUtam kva Bavizyat vA Avk-_19.3a
   kva bhūtāni kva deho vā Avg_20.1a	kva BUtAni kva dehaH vA Avk-_20.1a
   kva māyā kva ca saṃsāraḥ Avg_20.11a	kva mAyA kva ca saMsAraH Avk-_20.11a
   kva muktiḥ kva ca bandhanam Avg_20.12b	kva muktiH kva ca banDanam Avc-_20.12b
   kva mṛtyur-jīvitaṃ vā kva Avg_19.7a	kva mRtyuH--jIvitam vA kva Avc-_19.7a
   kva me viṣaya-dasyavaḥ Avg_14.2b	kva me vizaya-dasyavaH Avc-_14.2b
   kva mohaḥ kva ca vā viśvaṃ Avg_18.14a	kva mohaH kva ca vA viSvam Avc-_18.14a
   kva yogī jñānavān kva vā Avg_20.6b	kva yogI jQAnavAn kva vA Avc-_20.6b
   kva ratiṃ karavāṇy aham Avg_2.21d	kva ratim karavANi aham Avc-_2.21d
   kva rāgaḥ kva virāgatā Avg_18.62d	kva rAgaH kva virAga-tA Avc-_18.62d
   kva layaḥ kva samādhir vā Avg_19.7c	kva layaH kva samADiH vA Avk-_19.7c
   kva lokaḥ kva mumukṣur vā Avg_20.6a	kva lokaH kva mumukzuH vA Avk-_20.6a
   kva vā tattva-viniścayaḥ Avg_18.92b	kva vA tattva--viniScayaH Avc-_18.92b
   kva vā nirviṣayaṃ manaḥ Avg_20.2b	kva vA nirvizayam manaH Avc-_20.2b
   kva vikṣepaḥ kva caikagryaṃ Avg_20.9a	kva vikzepaH kva ca-eka-gryam Avc-_20.9a
   kva vidyā kva ca vāvidyā Avg_20.3a	kva vidyA kva ca vA-avidyA Avc-_20.3a
   kva vidyā ca kva vā viśvaṃ Avg_18.74c	kva vidyA ca kva vA viSvam Avk-_18.74c
   kva vidhiḥ kva ca vairāgyaṃ Avg_18.71c	kva viDiH kva ca vErAgyam Avk-_18.71c
   kva vṛddhiḥ kva ca vā hānis Avg_15.10c	kva vRdDiH kva ca vA hAniH Avc-_15.10c
   kva śāstraṃ kva ca vijñānaṃ Avg_14.2c	kva SAstram kva ca vijQAnam Avk-_14.2c
   kva śāstraṃ kvātma-vijñānaṃ Avg_20.2a	kva SAstram kva-Atma--vijQAnam Avc-_20.2a
   kva śiṣyaḥ kva ca vā guruḥ Avg_20.13b	kva SizyaH kva ca vA guruH Avc-_20.13b
   kva śubhaṃ kvāsubhaṃ yathā Avg_19.4b	kva SuBam kva-asuBam yaTA Avc-_19.4b
   kva śūnyaṃ kva ca nairāśyaṃ Avg_20.1c	kva SUnyam kva ca nErASyam Avk-_20.1c
   kva saṃsāraḥ kva cābhāsaḥ Avg_18.66a	kva saMsAraH kva ca-ABAsaH Avc-_18.66a
   kva sādhakaḥ kva siddhir vā Avg_20.7c	kva sADakaH kva sidDiH vE Avk-_20.7c
   kva sādhyaṃ kva ca sādhanam Avg_18.66b	kva sADyam kva ca sADanam Avc-_18.66b
   kva sādhyaṃ kva ca sādhanam Avg_20.7b	kva sADyam kva ca sADanam Avc-_20.7b
   kva sukhaṃ kva ca vā dukhaṃ Avg_20.10c	kva suKam kva ca vA duKam Avk-_20.10c
   kva sṛṣṭiḥ kva ca saṃhāraḥ Avg_20.7a	kva sRzwiH kva ca saMhAraH Avc-_20.7a
   kva sthūlaṃ kva ca vā sūkṣmaṃ Avg_19.6c	kva sTUlam kva ca vA sUkzmam Avk-_19.6c
   kva svapnaḥ kva suṣuptir vā Avg_19.5a	kva svapnaH kva suzuptiH vE Avk-_19.5a
   kva svācchandyaṃ kva saṅkocaḥ Avg_18.92a	kva svAcCandyam kva saFkocaH Avk-_18.92a
   kva harṣaḥ kva viṣāditā Avg_18.72d	kva harzaH kva vizAditAH Avc-_18.72d
   kva harṣaḥ kva viṣādo vā Avg_20.9c	kva harzaH kva vizAdaH vA Avk-_20.9c
   kvātmano darśanaṃ tasya Avg_18.40a	kva-AtmanaH darSanam tasya Avc-_18.40a
   kvāparokṣaṃ phalaṃ vā kva Avg_20.5c	kva-aparokzam Palam vA kva Avc-_20.5c
   kvāsti caikaṃ kva ca dvayam Avg_20.14b	kva-asti ca-ekam kva ca dvayam Avc-_20.14b
   kvāhaṃ kvedaṃ mama kva vā Avg_20.3b	kva-aham kva-idam mama kva vA Avc-_20.3b
   kvendriyāṇi kva vā manaḥ Avg_20.1b	kva-indriyANi kva vA manaH Avc-_20.1b
   kvopadeśaḥ kva vā śāstraṃ Avg_20.13a	kva-upadeSaH kva vA SAstram Avk-_20.13a
   kṣamārjavadayātoṣa- Avg_1.2c	kzamA-Arjava-dayA-toza Avc-_1.2c
   kṣiptaḥ saṃskāra-vātena Avg_18.21c	kziptaH saMskAra--vAtena Avc-_18.21c
   kṣīṇa-saṃsaraṇe nare Avg_17.16d	kzINa--saMsaraNe nare Avc-_17.16d
   kṣīṇa-saṃsāra-sāgare Avg_17.9d	kzINa--saMsAra--sAgare Avc-_17.9d
   kṣīṇa-saṃsmaraṇo hi saḥ Avg_14.1d	kzINa-saMsmaraNaH hi saH Avc-_14.1d
   khinno 'pi na ca khidyate Avg_18.56b	KinnaH api na ca Kidyate Avc-_18.56b
   khelato bhoga-līlayā Avg_4.1b	KelataH Boga--lIlayA Avc-_4.1b
   gacchatv adyaiva vā punaḥ Avg_15.10b	gacCatu adya-eva vA punar Avc-_15.10b
   gata-kleśaḥ suśobhate Avg_18.60d	gata--kleSaH su-SoBate Avc-_18.60d
   gata-dvandvasya me sadā Avg_20.2d	gata--dvandvasya me sadA Avc-_20.2d
   gatyā na śayanena vā Avg_13.5b	gatyA na Sayanena vA Avc-_13.5b
   guṇaiḥ saṃveṣṭito dehas Avg_15.9a	guNEH saMvezwitaH dehaH Avc-_15.9a
   graha-mokṣa-vihīnas tu Avg_16.6c	graha-mokza--vihInaH tu Avc-_16.6c
   ghaṭavat prakṛtaṃ jagat Avg_6.1b	Gawa-vat prakRtam jagat Avc-_6.1b
   cakitāḥ śaraṇārthinaḥ Avg_18.45b	cakitAH SaraNa-arTinaH Avc-_18.45b
   caritārthasya yoginaḥ Avg_18.92d	caritArTasya yoginaH Avk-_18.92d
   citi viśrāmya tiṣṭhasi Avg_1.4b	citi viSrAmya tizWasi Avc-_1.4b
   citta-vāte praśāmyati Avg_2.24b	citta-vAte praSAmyati Avc-_2.24b
   citta-vāte samudyate Avg_2.23d	citta-vAte samudyate Avc-_2.23d
   cittas-vīkṛta-varjanam Avg_12.5b	citta-s-vIkRta--varjanam Avc-_12.5b
   cittaṃ kṣobhaya cin-maya Avg_15.19b	cittam kzoBaya cin-mayaH Avc-_15.19b
   cittaṃ nirasta-sarvāśam Avg_16.2c	cittam nirasta--sarva-ASam Avc-_16.2c
   cittaṃ muktasya rājate Avg_18.30d	cittam muktasya rAjate Avc-_18.30d
   cid-ākāśe 'male tvayi Avg_15.13b	cit--a-AkASe amale tvayi Avc-_15.13b
   cid-rūpaṃ viddhi muktaye Avg_1.3d	cit--rUpam vidDi muktaye Avc-_1.3d
   cid-rūpo 'si sadā sākṣī Avg_15.4c	cit---rUpaH asi sadA sAkzI Avk-_15.4c
   cintayā jāyate duḥkhaṃ Avg_11.5a	cintayA jAyate duHKam Avc-_11.5a
   cintārūpaṃ bhajaty asau Avg_12.7b	cintA-rUpam Bajati asO Avk-_12.7b
   cin-mūrte vijvaro bhava Avg_15.7d	cin-mUrte vijvaraH BavaH Avc-_15.7d
   ciraṃ baddho 'si putraka Avg_1.14b	ciram badDaH asi putrakaH Avk-_1.14b
   ceṣṭate śuṣka-parṇavat Avg_18.21d	cezwate Suzka-parNa-vat Avc-_18.21d
   ceṣṭamānaṃ śarīraṃ svaṃ Avg_3.10a	cezwamAnam SarIram svam Avk-_3.10a
   caitanyasya na kiṃ guruḥ Avg_9.6b	cEtanyasya na kim guruH Avk-_9.6b
   jagat poto vinaśvaraḥ Avg_2.24d	jagat potaH vinaSvaraH Avk-_2.24d
   jagad-vīciḥ svabhāvataḥ Avg_7.2b	jagad-vIciH svaBAvataH Avc-_7.2b
   jagannāśe 'pi tiṣṭhataḥ Avg_2.11d	jagat-nASe api tizWataH Avc-_2.11d
   jaḍaṃ viśvam asat tathā Avg_10.5b	jaxam viSvam asat taTA Avc-_10.5b
   janaṃ mūka-jaḍālasam Avg_15.3b	janam mUka--jaxa-alasam Avc-_15.3b
   jahāti jaḍadhīr yadi Avg_18.75b	jahAti jaxa-DIH yadi Avc-_18.75b
   jāgare 'pi na jāgarti Avg_18.94c	jAgare api na jAgarti Avc-_18.94c
   jāḍye 'pi na jaḍo dhanyaḥ Avg_18.97c	jAxye api na jaxaH DanyaH Avk-_18.97c
   jānann api na jānāti Avg_18.90a	jAnan api na jAnAti Avc-_18.90a
   jānāti jagad īśvaraṃ Avg_4.6b	jAnAti jagat ISvaram Avk-_4.6b
   jihvā kutrāpi khidyate Avg_13.2b	jihvA kutra-api Kidyate Avc-_13.2b
   jīvane nābhinandati Avg_18.99d	jIvane na-aBinandati Avc-_18.99d
   jīvan-muktasya yoginaḥ Avg_18.13d	jIvan-muktasya yoginaH Avk-_18.13d
   jīvan-muktaḥ sukhī śrīmān Avg_18.26c	jIvan-muktaH suKI SrImAn Avk-_18.26c
   jīvan-muktir api kva vā Avg_20.4b	jIvan-muktiH api kva vA Avc-_20.4b
   jīvan-muktir na caiva hi Avg_18.80b	jIvan-muktiH na ca-eva hi Avc-_18.80b
   jīvitecchā bubhukṣā ca Avg_9.2c	jIvita-icCA buBukzA ca Avc-_9.2c
   jīvite maraṇe tathā Avg_17.6b	jIvite maraNe taTA Avc-_17.6b
   jīvo nāham, ahaṃ hi cit Avg_2.22b	jIvaH na-aham, aham hi cit Avc-_2.22b
   jñaḥ sacinto 'pi niścintaḥ Avg_18.95a	jQaH sa-cintaH api niScintaH Avk-_18.95a
   jñāta-tattvo mahāśayaḥ Avg_18.68b	jQAta--tattvaH mahA-ASayaH Avc-_18.68b
   jñātaṃ yena mahātmanā Avg_4.4b	jQAtam yena mahAtmanA Avc-_4.4b
   jñāna-svarūpo bhagavān Avg_15.8c	jQAna--svarUpaH BagavAn Avk-_15.8c
   jñānaṃ jñeyaṃ tathā jñātā Avg_2.15a	jQAnam jQeyam taTA jQAtAH Avc-_2.15a
   jñānād galita-karmā yo Avg_18.77a	jQAnAt galita-karmA yaH Avk-_18.77a
   jvālād agdhāntarātmanaḥ Avg_18.3b	jvAlAt agDa-antarAtmanaH Avc-_18.3b
   taj-jñasya puṇya-pāpābhyāṃ Avg_4.3a	taj-jQasya puNya--pApAByAm Avc-_4.3a
   taj-jñānād bhāsate na hi Avg_2.7d	taj--jQAnAt BAsate na hi Avc-_2.7d
   tato vāg-vistarāsahaḥ Avg_12.1b	tatas vAc--vistara-asahaH Avc-_12.1b
   tat kathaṃ kasya kathyate Avg_18.93d	tat kaTam kasya kaTyate Avc-_18.93d
   tat kasmin kalpanādhunā Avg_2.19d	tat kasmin kalpanA-aDunA Avc-_2.19d
   tatkṛtvā tiṣṭhataḥ sukham Avg_18.20d	tat-kRtvA tizWataH suKam Avc-_18.20d
   tat kṛtvāse yathā-sukham Avg_13.3d	tat kRtvA-Ase yaTA--suKam Avc-_13.3d
   tat-kṣaṇād bandha-nirmuktaḥ Avg_9.7c	tat-kzaNAt banDa--nirmuktaH Avc-_9.7c
   tat-tyāgo vāsanā-tyāgāt Avg_9.8c	tat-tyAgaH vAsanA-tyAgAt Avc-_9.8c
   tattva-jño hanta khidyati Avg_17.2b	tattva--jQaH hanta Kidyati Avc-_17.2b
   tattva-niścaya-mātreṇa Avg_18.34c	tattva--niScaya--mAtreNa Avc-_18.34c
   tat tvam eva na sandehaś Avg_15.7c	tat tvam eva na sandehaH Avc-_15.7c
   tattva-vijñāna-sandaṃśam Avg_19.1a	tattva--vijQAna--sandaMSam Avc-_19.1a
   tattvaṃ yathārtham ākarṇya Avg_18.32a	tattvam yaTArTam AkarNya Avc-_18.32a
   tatrānante niranjane Avg_7.4b	tatra-anante niranjane Avc-_7.4b
   tatrābhyāsa-parā janāḥ Avg_18.35d	tatra-aByAsa-parAH janAH Avc-_18.35d
   tathāpi na tava svāsthyaṃ Avg_16.1c	taTA-api na tava svAsTyam Avc-_16.1c
   tathāpi na tava svāsthyaṃ Avg_16.11c	taTA-api na tava svAsTyam Avc-_16.11c
   tathā viśvaṃ mayi kḷptaṃ Avg_2.6c	taTA viSvam mayi k?ptam Avc-_2.6c
   tathaivāsmin śarīre 'ntaḥ Avg_1.19c	taTA-eva-asmin SarIre antar Avk-_1.19c
   tad adyāpy uparamyatām Avg_10.8d	tat adya-api uparamyatAm Avc-_10.8d
   tadā kṣīṇā bhavanty eva Avg_18.51c	tadA kzINAH Bavanti eva Avc-_18.51c
   tadā tat-kurute ṛjuḥ Avg_18.49b	tadA tat-kurute RjuH Avc-_18.49b
   tadā bandho yadā cittaṃ Avg_8.1a	tadA banDaH yadA cittam Avc-_8.1a
   tadā bandho yadā cittaṃ Avg_8.3a	tadA banDaH yadA cittam Avc-_8.3a
   tadā muktir yadā cittaṃ Avg_8.2a	tadA muktiH yadA cittam Avc-_8.2a
   tadā mokṣo yadā cittam Avg_8.3c	tadA mokzaH yadA cittam Avc-_8.3c
   tadāham bhāsa eva hi Avg_2.8d	tadA-aham BAsaH eva hi Avc-_2.8d
   tadvad viśvaṃ vicāritam Avg_2.5d	tadvat viSvam vicAritam Avc-_2.5d
   tantu-mātro bhaved eva Avg_2.5a	tantu--mAtraH Bavet eva Avc-_2.5a
   tan-nāśo mokṣa ucyate Avg_10.4b	tan-nASaH mokzaH ucyate Avc-_10.4b
   tan niṣkṛtya sukhī bhava Avg_1.14d	tat nizkRtya suKI BavaH Avc-_1.14d
   tayā hīnaḥ sukhī śāntaḥ Avg_11.5c	tayA hInaH suKI SAntaH Avk-_11.5c
   taraṅgā iva sāgare Avg_3.3b	taraFgAH iva sAgare Avc-_3.3b
   taraṅgā iva sāgare Avg_15.7b	taraFgAH iva sAgare Avc-_15.7b
   taraṅgāḥ phena-budbudāḥ Avg_2.4b	taraFgAH Pena-budbudAH Avk-_2.4b
   tava cin-mātra-rūpiṇaḥ Avg_15.10d	tava cin--mAtra--rUpiNaH Avc-_15.10d
   tava janmani janmani Avg_10.6d	tava janmani janmani Avc-_10.6d
   tavātma-jñasya dhīrasya Avg_3.1c	tava-Atma-jQasya DIrasya Avc-_3.1c
   tavaivājñānato viśvaṃ Avg_15.16a	tava-eva-ajQAnataH viSvam Avk-_15.16a
   tasminn api na khidyati Avg_16.9d	tasmin api na Kidyati Avc-_16.9d
   tasmai sukhaika-rūpāya Avg_18.1c	tasmE suKa-eka--rUpAya Avc-_18.1c
   tasya ceṣṭā hi bālavat Avg_18.49d	tasya cezwA hi bAla-vat Avk-_18.49d
   tasyātma-jñāna-tṛptasya Avg_3.12c	tasya-Atma--jQAna-tRptasya Avc-_3.12c
   tasyālasyadhurīṇasya Avg_16.4c	tasya-Alasya-DurINasya Avc-_16.4c
   tasyāścarya-daśāṃ tāṃ tāṃ Avg_18.56c	tasya-AScarya--daSAm tAm tAm Avc-_18.56c
   taṃ niṣeddhuṃ kṣameta kaḥ Avg_4.4d	tam nizedDum kzameta kaH Avk-_4.4d
   tāta cin-mātra-rūpo 'si Avg_15.12a	tAta cin--mAtra--rUpaH asi Avk-_15.12a
   tādṛśā eva jānate Avg_14.4d	tAdRSAH eva jAnate Avc-_14.4d
   tādṛśā eva jānate Avg_18.56d	tAdRSAH eva jAnate Avc-_18.56d
   tādṛśo bhava-durlabhaḥ Avg_17.4d	tAdRSaH Bava--durlaBaH Avk-_17.4d
   tāny upekṣya yathā-prāpta- Avg_9.4c	tAni upekzya yaTA--prApta Avc-_9.4c
   tāpa-tritaya-dūṣitam Avg_9.3b	tApa--tritaya--dUzitam Avc-_9.3b
   tiṣṭhaty āyāti yāti ca Avg_15.9b	tizWati AyAti yAti ca Avc-_15.9b
   tiṣṭhan gacchan svapan tasmād Avg_13.5c	tizWan gacCan svapan tasmAt Avc-_13.5c
   tulanā kena jāyate Avg_3.12d	tulanA kena jAyate Avc-_3.12d
   tulanā kena jāyate Avg_18.89d	tulanA kena jAyate Avc-_18.89d
   tuṣṭiḥ sarvatra dhīrasya Avg_18.85a	tuzwiH sarvatra DIrasya Avc-_18.85a
   tūṣṇī-bhūtasya yoginaḥ Avg_18.9d	tUzNI-BUtasya yoginaH Avk-_18.9d
   tūṣṇīṃ viṣaya-dantinaḥ Avg_18.46b	tUzNIm vizaya--dantinaH Avc-_18.46b
   tṛptaḥ svacchendriyo nityam Avg_17.1c	tRptaH su-acCa-indriyaH nityam Avk-_17.1c
   tṛptaḥ svasthendriyo nityaṃ Avg_11.3c	tRptaH svasTa-indriyaH nityam Avc-_11.3c
   tṛpto nirvāsano budhaḥ Avg_18.19b	tRptaH nirvAsanaH buDaH Avc-_18.19b
   tṛṣṇā-mātrātmako bandhas, Avg_10.4a	tRzNA--mAtrA-AtmakaH banDas, Avk-_10.4a
   tena jñāna-phalaṃ prāptaṃ Avg_17.1a	tena jQAna-Palam prAptam Avc-_17.1a
   tena vyāptaiva śarkarā Avg_2.6b	tena vyAptA-eva SarkarA Avc-_2.6b
   tyaktvā tad-bhāvanaṃ tasmād Avg_12.7c	tyaktvA tad--BAvanam tasmAt Avc-_12.7c
   tyajaiva dhyānaṃ sarvatra Avg_15.20a	tyaja-eva DyAnam sarvatra Avc-_15.20a
   tyāgādāne vihāyāsmād Avg_13.1c	tyAga-AdAne vihAya-asmAt Avc-_13.1c
   tritayaṃ nāsti vāstavam Avg_2.15b	tritayam na-asti vAstavam Avc-_2.15b
   tvatto 'nyo nāsti saṃsārī Avg_15.16c	tvattaH anyaH na-asti saMsArI Avk-_15.16c
   tvam ekaś cetanaḥ śuddho Avg_10.5a	tvam ekaH cetanaH SudDaH Avk-_10.5a
   tvam ekaḥ param-ārthataḥ Avg_15.16b	tvam ekaH param-ArTataH Avc-_15.16b
   tvam eva pratibhāsase Avg_15.14b	tvam eva pratiBAsase Avc-_15.14b
   tvayā vyāptam idaṃ viśvaṃ Avg_1.16a	tvayA vyAptam idam viSvam Avc-_1.16a
   tvayi protaṃ yathārthataḥ Avg_1.16b	tvayi protam yaTArTataH Avc-_1.16b
   tvayy ananta-mahāmbhodhau Avg_15.11a	tvayi ananta--mahA-amBoDO Avc-_15.11a
   dakṣo nāstīha mat-samaḥ Avg_2.13b	dakzaH na-asti-iha mat--samaH Avc-_2.13b
   daśāṃ kām api saṃprāpto Avg_17.20c	daSAm kAm api saMprAptaH Avk-_17.20c
   dāra-dāyādi-sampadaḥ Avg_10.2d	dAra-dAya-Adi-sampadaH Avc-_10.2d
   dināni trīṇi pañca vā Avg_10.2b	dinAni trINi paQca vA Avc-_10.2b
   duḥkham āyāsadaṃ karma Avg_10.8c	duHKam AyAsa-dam karma Avk-_10.8c
   dṛśya-bhāvam apaśyataḥ Avg_18.71b	dRSya-BAvam apaSyataH Avc-_18.71b
   dṛśyamānāpi saṅgati Avg_4.3d	dRSyamAnA-api saFgati Avc-_4.3d
   dṛśyam etan na kiṃcana Avg_3.13b	dRSyam etat na kiMcana Avc-_3.13b
   dṛśyam etan mṛṣā sarvaṃ Avg_2.16c	dRSyam etat mRzA sarvam Avk-_2.16c
   dṛṣṭir mūḍhasya sarvadā Avg_18.63b	dRzwiH mUXasya sarvadA Avc-_18.63b
   dṛṣṭo yenātma-vikṣepo Avg_18.17a	dRzwaH yena-Atma--vikzepaH Avc-_18.17a
   dṛṣṭvā nirvedam āpannaḥ Avg_9.5c	dRzwvA nirvedam ApannaH Avc-_9.5c
   dṛṣṭvā sampūjya dhīrasya Avg_18.54c	dRzwvA sampUjya DIrasya Avc-_18.54c
   deham enaṃ tathā jagat Avg_2.2b	deham enam taTA jagat Avc-_2.2b
   dehas tiṣṭhatu kalpāntaṃ Avg_15.10a	dehaH tizWatu kalpa-antam Avc-_15.10a
   dehābhimāna-pāśena Avg_1.14a	deha-aBimAna--pASena Avc-_1.14a
   dehe 'pi mamatā tathā Avg_16.10b	dehe api mamatA taTA Avc-_16.10b
   dehe vigalitāśasya Avg_18.62c	dehe vigalita-ASasyaH Avc-_18.62c
   daivād eveti niścayī Avg_11.3b	dEvAt eva-iti niScayI Avc-_11.3b
   daivād eveti niścayī Avg_11.4b	dEvAt eva-iti niScayI Avc-_11.4b
   dauhitraiś cāpi gotrajaiḥ Avg_18.55b	dOhitrEH ca-api gotra-jEH Avc-_18.55b
   draṣṭāraṃ paśyasītaram Avg_1.7d	drazwAram paSyasi-itaram Avc-_1.7d
   dvandvair muktasya yoginaḥ Avg_18.12d	dvandvEH muktasya yoginaH Avk-_18.12d
   dvandvair muktaṃ yadā manaḥ Avg_16.5b	dvandvEH muktam yadA manaH Avc-_16.5b
   dvitīyaṃ yo na paśyati Avg_18.16d	dvitIyam yaH na paSyati Avc-_18.16d
   dvaita-mūlam aho duḥkhaṃ Avg_2.16a	dvEta-mUlam aho duHKam Avc-_2.16a
   dhanya āste yathā sukhaṃ Avg_17.7d	DanyaH Aste yaTA suKam Avc-_17.7d
   dhanyaḥ prāpnoti nirvṛtim Avg_16.3d	DanyaH prApnoti nirvRtim Avc-_16.3d
   dhanyo vijñāna-mātreṇa Avg_18.36c	DanyaH vijQAna--mAtreNa Avc-_18.36c
   dharmam apy etayor hetuṃ Avg_10.1c	Darmam api etayoH hetum Avc-_10.1c
   dharmādharmau sukhaṃ duḥkhaṃ Avg_1.6a	Darma-aDarmO suKam duHKam Avc-_1.6a
   dharmārtha-kāma-mokṣeṣu Avg_16.5c	Darma-arTa-kAma--mokzezu Avc-_16.5c
   dharmārtha-kāma-mokṣeṣu Avg_17.6a	Darma-arTa-kAma--mokzezu Avc-_17.6a
   dhārāsāram ṛte sukham Avg_18.3d	DArA-sAram Rte suKam Avc-_18.3d
   dhīras tattvaṃ viniścitya Avg_18.39c	DIraH tattvam viniScitya Avc-_18.39c
   dhīras tu bhojyamāno 'pi Avg_3.9a	DIraH tu BojyamAnaH api Avk-_3.9a
   dhīras tṛptaḥ pade pade Avg_18.94d	DIraH tRptaH pade pade Avc-_18.94d
   dhīrasya śītalaṃ cittam Avg_18.81c	DIrasya SItalam cittam Avk-_18.81c
   dhīrās taṃ taṃ na paśyanti Avg_18.40c	DIrAH tam tam na paSyanti Avc-_18.40c
   dhīrāḥ kṛtyaṃ na paśyanti Avg_18.33c	DIrAH kRtyam na paSyanti Avc-_18.33c
   dhīro na dveṣṭi saṃsāram Avg_18.83a	DIraH na dvezwi saMsAram Avk-_18.83a
   dhīro loka-viparyasto Avg_18.18a	DIraH loka--viparyastaH Avc-_18.18a
   dhīro viśrāntim āgataḥ Avg_18.27b	DIraH viSrAntim AgataH Avc-_18.27b
   na kadācij jagaty asmiṃs Avg_17.2a	na kadAcid jagati asmin Avc-_17.2a
   na karoti karoti saḥ Avg_18.29b	na karoti karoti saH Avc-_18.29b
   na kartāsi na bhoktāsi Avg_1.6c	na kartAsi na BoktAsi Avc-_1.6c
   na kalpate na jānāti Avg_18.27c	na kalpate na jAnAti Avc-_18.27c
   na kāpi hṛdi rañjanā Avg_18.13b	na kA-api hRdi raQjanA Avc-_18.13b
   na kāpi hṛdi vāsanā Avg_18.54d	na kA-api hRdi vAsanAH Avc-_18.54d
   na kiṃcit param-arthataḥ Avg_18.4b	na kiMcid param-arTataH Avc-_18.4b
   na kiṃcid akṛtaṃ kṛtam Avg_18.29d	na kiMcid akRtam kRtam Avc-_18.29d
