   akramānantacidrūpaḥ Ipk_1,7.1c	akrama-ananta-cit-rUpaH IpS-_1,7.1c
   tatra sṛṣṭau kriyānandau Ipk_4.3c	tatra sRzwO kriyA-AnandO IpS-_4.3c
   tatra svasṛṣṭedaṃbhāge Ipk_4.2a	tatra sva-sRzwedaMBAge Ipk-_4.2a
   tatrāpi kārmam evaikam Ipk_3,2.10c	tatra-api kArmam eva-ekam IpS-_3,2.10c
   tatrāviśiṣṭe vahnyādau Ipk_2,3.8a	tatra-aviSizwe vahni-AdO IpS-_2,3.8a
   tatrāsti sādhayet tasya Ipk_1,7.10c	tatra-asti sADayet tasya IpS-_1,7.10c
   tatraikam āntaraṃ tattvaṃ Ipk_2,2.2a	tatra-ekam Antaram tattvam Ipk-_2,2.2a
   tatraitan mātṛtāmātra- Ipk_3,2.1a	tatra-etat mAtR-tA-mAtra Ipk-_3,2.1a
   tatsamāveśalakṣaṇam Ipk_3,2.12d	tad-samAveSa-lakzaNam IpS-_3,2.12d
   tatsvarūpāviśeṣatah Ipk_1,2.6b	tad-svarUpa-aviSeza-tah IpS-_1,2.6b
   tathā citrāvabhāsinaḥ Ipk_4.7d	taTA citra-avaBAsinaH IpS-_4.7d
   tathā cecchuktikājñānaṃ Ipk_1,7.7c	taTA ced-SuktikA-jQAnam IpS-_1,7.7c
   tathāpariṇamat tayā Ipk_2,4.18d	taTA-apariNamat tayA Ipk-_2,4.18d
   tathā vijñātṛvijñeya- Ipk_2,1.8c	taTA vijQAtR-vijQeya IpS-_2,1.8c
   tathā sthitis tathaiva syāt Ipk_1,8.4c	taTA sTitiH taTA-eva syAt IpS-_1,8.4c
   tathā syāt kartṛtaivaivaṃ Ipk_2,4.18c	taTA syAt kartR-tA-eva-evam IpS-_2,4.18c
   tathā hi kumbhakāro 'sāv Ipk_2,4.9a	taTA hi kumBakAraH asO IpS-_2,4.9a
   tathā hi jaḍabhūtānāṃ Ipk_1,1.4a	taTA hi jaxa-BUtAnAm IpS-_1,1.4a
   tatheśvarecchābhedena Ipk_3,2.7c	taTA-ISvara-icCA-Bedena IpS-_3,2.7c
   tathaiva sadghaṭadravya- Ipk_2,3.5a	taTA-eva sat-Gawa-dravya Ipk-_2,3.5a
   tadatatpratibhābhājā Ipk_1,6.3a	tad-atad-pratiBA-BAjAH Ipk-_1,6.3a
   tad atra nidadhat padaṃ bhuvanakartṛtām ātmano Ipk_4.16c	tat atra nidaDat padam Buvana-kartR-tAm AtmanaH IpS-_4.16c
   tad anityaṃ kim ātmavat Ipk_1,2.7b	tat anityam kim Atma-vat IpS-_1,2.7b
   tad anyasyāpi bījāder Ipk_2,4.8c	tat anyasya-api bIja-AdeH Ipk-_2,4.8c
   tadabhāvo 'pi sā paśoh Ipk_4.6b	tad-aBAvaH api sA paSoh IpS-_4.6b
   tadābhāsas tadābhāsād Ipk_2,4.13c	tad-ABAsaH tad-ABAsAt IpS-_2,4.13c
   tad ekasya kriyoditā Ipk_2,4.7d	tat ekasya kriyA-uditAH Ipk-_2,4.7d
   tad ekasya samarthanāt Ipk_2,1.1d	tat ekasya samarTanAt IpS-_2,1.1d
   tad etad asamañjasam Ipk_1,3.3d	tat etat asamaQjasam IpS-_1,3.3d
   tad evaṃ vyavahāre 'pi Ipk_1,6.7a	tat evam vyavahAre api Ipk-_1,6.7a
   tad evendriyavedyatām Ipk_2,2.2b	tat eva-indriya-vedya-tAm IpS-_2,2.2b
   tadaikyena vinā na syāt Ipk_1,8.10a	tad-Ekyena vinA na syAt Ipk-_1,8.10a
   tad aiśvaryaṃ paramātmanaḥ Ipk_1,5.13d	tat ESvaryam paramAtmanaH IpS-_1,5.13d
   taddvayālambanā etā Ipk_2,2.3a	tad-dvaya-AlambanAH etAH IpS-_2,2.3a
   taddvārā dṛṣṭavastuṣu Ipk_1,2.4b	tad-dvArA dRzwa-vastuzu IpS-_1,2.4b
   taddhānopacayaprāya- Ipk_3,2.18c	tad-hAna-upacaya-prAya Ipk-_3,2.18c
   tad vyākaraṇam evāsyā Ipk_1,4.6c	tat vyAkaraNam eva-asyAH Ipk-_1,4.6c
   tanniścayanamukto hi Ipk_1,6.3c	tad-niScayana-muktaH hi IpS-_1,6.3c
   tan mayā dṛśyate dṛṣṭo Ipk_1,4.8a	tat mayA dRSyate dRzwaH Ipk-_1,4.8a
   tayānyajñānam ūhyate Ipk_1,1.5d	tayA-anya-jQAnam Uhyate IpS-_1,1.5d
   tasya kasyāpi śaktitaḥ Ipk_2,4.4d	tasya kasya-api SaktitaH IpS-_2,4.4d
   tasyātrānavabhāsataḥ Ipk_1,2.2b	tasya-atra-anavaBAsataH IpS-_1,2.2b
   tasyāpi tatprabodhasya Ipk_1,5.5c	tasya-api tad-praboDasya IpS-_1,5.5c
   tasyāvibhāgarūpy ekaṃ Ipk_3,1.10c	tasya-aviBAga-rUpI ekam IpS-_3,1.10c
   tasyāsādhāraṇī sṛṣṭir Ipk_4.9a	tasya-asADAraNI sRzwiH IpS-_4.9a
   tasyaiśvaryasvabhāvasya Ipk_3,1.7a	tasya-ESvarya-svaBAvasya Ipk-_3,1.7a
   tātkālikākṣasāmakṣya- Ipk_1,8.1a	tAtkAlikA-akzasAmakzya Ipk-_1,8.1a
   tātkālikī pravṛttiḥ syād Ipk_2,3.9c	tAtkAlikI pravRttiH syAt IpS-_2,3.9c
   tātparyeṇoditas tena Ipk_1,5.12c	tAtparyeNa-uditaH tena IpS-_1,5.12c
   tāvan mātrasthitau proktaṃ Ipk_3,2.15a	tAvat mAtra-sTitO proktam IpS-_3,2.15a
   tiṣṭhāsor evam icchaiva Ipk_2,4.21c	tizWAsoH evam icCA-eva IpS-_2,4.21c
   turyago hutabhuṅmayaḥ Ipk_3,2.20b	turya-gaH hutaBuj-mayaH IpS-_3,2.20b
   te ca vijñānakevalāḥ Ipk_3,2.7d	te ca vijQAna-kevalAH IpS-_3,2.7d
   te tu bhinnāvabhāsārthāḥ Ipk_4.8a	te tu Binna-avaBAsa-arTAH Ipk-_4.8a
   tena kartāpi kalpitaḥ Ipk_1,2.11d	tena kartA-api kalpitaH IpS-_1,2.11d
   tena na bhrāntir īdṛśī Ipk_2,2.7d	tena na BrAntiH IdRSI IpS-_2,2.7d
   tenaikyaṃ bhinnakālānāṃ Ipk_1,4.3c	tena-Ekyam Binna-kAlAnAm IpS-_1,4.3c
   te vimiśrā vibhinnāś ca Ipk_4.7c	te vimiSrAH viBinnAH ca IpS-_4.7c
   teṣām anyonyabhinnatā Ipk_3,2.7b	tezAm anyonya-Binna-tA IpS-_3,2.7b
   teṣāṃ kārmo malo 'py asti Ipk_3,2.8c	tezAm kArmaH malaH api asti IpS-_3,2.8c
   teṣv evāvasite sati Ipk_1,5.6b	tezu eva-avasite sati IpS-_1,5.6b
   tais tair apy upayācitair upanatas tanvyāḥ sthito 'py antike Ipk_4.17a	tEH tEH api upayAcitEH upanataH tanvyAH sTitaH api antike IpS-_4.17a
   trayodaśavidhā cātra Ipk_3,1.11a	trayodaSaviDA ca-atra Ipk-_3,1.11a
   trayoviṃśatidhā meyaṃ Ipk_3,1.10a	trayoviMSatiDA meyam IpS-_3,1.10a
   dāsyaṃ janasyāpy upakāram icchan Ipk_1,1.1b	dAsyam janasya-api upakAram icCan IpS-_1,1.1b
   dīrghavṛttordhvapuruṣa- Ipk_2,3.4a	dIrGa-vRtta-UrDva-puruza Ipk-_2,3.4a
   dūrāntikatayārthānāṃ Ipk_2,3.10a	dUra-antika-tayA-arTAnAm Ipk-_2,3.10a
   dṛksvābhāsaiva nānyena Ipk_1,3.2a	dRS-svABAsa-eva na-anyena Ipk-_1,3.2a
   dṛṣṭālambanatā bhrāntyā Ipk_1,3.3c	dRzwa-Alamba-natAH BrAntyA IpS-_1,3.3c
   dṛṣṭe 'py anupalakṣite Ipk_1,1.3b	dRzwe api anupalakzite IpS-_1,1.3b
   devādīnāṃ ca sarveṣāṃ Ipk_3,2.10a	deva-AdInAm ca sarvezAm IpS-_3,2.10a
   deśakālakramajuṣām Ipk_1,7.3a	deSa-kAla-krama-juzAm IpS-_1,7.3a
   deśakālasvabhāvataḥ Ipk_2,2.2d	deSa-kAla-svaBAvataH Ipk-_2,2.2d
   deśakālādyabhedini Ipk_2,3.2b	deSa-kAla-Adi-aBedini IpS-_2,3.2b
   deśakālānurodhataḥ Ipk_1,5.21b	deSa-kAla-anuroDataH IpS-_1,5.21b
   deśakālāvibhedinaḥ Ipk_2,3.4d	deSa-kAla-aviBedinaH IpS-_2,3.4d
   deśakālāviśeṣinī Ipk_1,5.14b	deSa-kAla-AviSezinI IpS-_1,5.14b
   deśakramo 'pi bhāveṣu Ipk_2,1.7a	deSa-kramaH api BAvezu Ipk-_2,1.7a
   dehe buddhāv atha prāṇe Ipk_1,6.4c	dehe budDO aTa prANe IpS-_1,6.4c
   dravyadikkālabuddhayaḥ Ipk_2,2.1b	dravya-diS-kAla-budDayaH IpS-_2,2.1b
   dvayākṣepī viniścayaḥ Ipk_1,6.1d	dvayAkzepI viniScayaH IpS-_1,6.1d
   dvayātmā tad rajo duḥkhaṃ Ipk_4.6c	dvaya-AtmA tat rajaH duHKam IpS-_4.6c
   dvayī bāhyāntarasthitiḥ Ipk_2,4.6d	dvayI bAhya-antara-sTitiH IpS-_2,4.6d
   dvicandre 'pi nabho 'nyathā Ipk_2,3.13d	dvi-candre api naBaH anyaTA IpS-_2,3.13d
   dvidhāṇavaṃ malam idaṃ Ipk_3,2.4c	dviDA-ANavam malam idam IpS-_3,2.4c
   dviṣṭhasyānekarūpatvāt Ipk_1,2.11a	dvizWasya-aneka-rUpa-tvAt Ipk-_1,2.11a
   dhatte buddhis tathātmanaḥ Ipk_1,2.8b	Datte budDiH taTA-AtmanaH IpS-_1,2.8b
   dharmyasiddher api bhaved Ipk_1,7.13a	Darmya-sidDeH api Bavet Ipk-_1,7.13a
   dhāvanādy upapadyeta Ipk_1,5.19c	DAvana-Adi upapadyeta IpS-_1,5.19c
   dhūmacāndanatādibhiḥ Ipk_2,3.4b	DUma-cAndana-tA-AdiBiH IpS-_2,3.4b
   dhūmābhāsādi nūtanam Ipk_2,4.12d	DUma-ABAsa-Adi nUtanam IpS-_2,4.12d
   na ca prakāśo bhinnaḥ syād Ipk_1,5.2c	na ca prakASaH BinnaH syAt Ipk-_1,5.2c
   na ca yuktaṃ jaḍasyaivaṃ Ipk_2,4.19a	na ca yuktam jaxasya-evam IpS-_2,4.19a
   na ca yuktaṃ smṛter bhede Ipk_1,4.3a	na ca yuktam smRteH Bede IpS-_1,4.3a
   na ced antaḥkṛtānanta- Ipk_1,3.7a	na ced antar-kRta-ananta Ipk-_1,3.7a
   na jaḍād viṣayasthitiḥ Ipk_1,3.5b	na jaxAt vizaya-sTitiH IpS-_1,3.5b
   na tūpalabdhiyogyasyāpy Ipk_1,7.8c	na tu-upalabDi-yogyasya-api Ipk-_1,7.8c
   na tv ādyarajatajñapteḥ Ipk_1,7.12c	na tu Adya-rajata-jQapteH IpS-_1,7.12c
   na dṛśo darśanāntare Ipk_1,4.5b	na dRSaH darSana-antare IpS-_1,4.5b
   na niṣedhyaḥ sa sarvathā Ipk_1,7.11d	na nizeDyaH sa sarvaTA IpS-_1,7.11d
   nanu svalakṣaṇābhāsaṃ Ipk_1,2.1a	nanu sva-lakzaNa-ABAsam Ipk-_1,2.1a
   na vāsanāprabodho 'tra Ipk_1,5.5a	na vAsanA-praboDaH atra Ipk-_1,5.5a
   na syād ābhāsabhinnayoḥ Ipk_2,4.20b	na syAt ABAsa-BinnayoH IpS-_2,4.20b
   na hi svātmaikaniṣṭhānām Ipk_2,4.15a	na hi sva-Atma-eka-nizWAnAm Ipk-_2,4.15a
   na hy abhinnasya bodhasya Ipk_1,5.4c	na hi aBinnasya boDasya IpS-_1,5.4c
   nākriyāto 'nyatā bhavet Ipk_2,3.12d	na-akriyAtaH anya-tA Bavet IpS-_2,3.12d
   nātmā sattā tatas teṣām Ipk_1,8.5c	na-AtmA sattA tatas tezAm IpS-_1,8.5c
   nādyānubhavavedakam Ipk_1,3.1d	na-adya-anuBava-vedakam IpS-_1,3.1d
   nānyan nānyo 'sti saṃbandhaḥ Ipk_1,2.10c	na-anyat na-anyaH asti saMbanDaH IpS-_1,2.10c
   nānyādṛṣṭer na sāpy ekā Ipk_1,2.9c	na-anya-adRzweH na sA-api ekA IpS-_1,2.9c
   nāprakāśaś ca siddhyati Ipk_1,5.3d	na-aprakASaH ca sidDi-ati IpS-_1,5.3d
   nāmarūpātirekiṇī Ipk_1,5.20b	nAma-rUpa-ati-rekiNI IpS-_1,5.20b
   nārthānām īśvarecchayā Ipk_2,3.12b	na-arTAnAm ISvara-icCayA IpS-_2,3.12b
   nāsataḥ satsvarūpatā Ipk_2,4.3b	na-asataH sat-svarUpa-tA IpS-_2,4.3b
   nāsau vikalpaḥ sa hy ukto Ipk_1,6.1c	na-asO vikalpaH sa hi uktaH Ipk-_1,6.1c
   nāhantādiparāmarśa- Ipk_1,5.17a	na-Ahanta-Adi-parAmarSa Ipk-_1,5.17a
   nityasya kasya cid draṣṭus Ipk_1,2.2a	nityasya kasya cit drazwuH IpS-_1,2.2a
   nimittaṃ parameśvaraḥ Ipk_2,4.8b	nimittam parameSvaraH IpS-_2,4.8b
   nimeṣo 'ntaḥ sadāśivaḥ Ipk_3,1.3b	nimezaH antar sadASivaH IpS-_3,1.3b
   niyatārthakriyā punaḥ Ipk_2,3.6b	niyata-arTa-kriyA punar IpS-_2,3.6b
   niyatā sā hi tenāsyā Ipk_2,3.12c	niyatA sA hi tena-asyAH Ipk-_2,3.12c
   niyatena maheśvaraḥ Ipk_1,8.11b	niyatena maheSvaraH IpS-_1,8.11b
   nirmāya vyavahārayet Ipk_1,5.16d	nirmAya vyavahArayet IpS-_1,5.16d
   nirmitāḥ svātmano bhinnā Ipk_3,2.6c	nirmitAH sva-AtmanaH BinnAH IpS-_3,2.6c
   niṣṭhān nārthasthitis tataḥ Ipk_1,3.5d	nizWAt na-arTa-sTitiH tatas IpS-_1,3.5d
   naiva hy anubhavo bhāti Ipk_1,4.4a	na-eva hi anuBavaH BAti Ipk-_1,4.4a
   naivaṃ śuddhasthalajñānāt Ipk_1,7.8a	na-evam SudDa-sTala-jQAnAt Ipk-_1,7.8a
   naivānyonyasvarūpatā Ipk_2,4.17d	na-eva-anyonya-svarUpa-tA IpS-_2,4.17d
   naivālaṃ nijavaibhavāya tad iyaṃ tatpratyabhijñoditā Ipk_4.17d	na-eva-alam nija-vEBavAya tat iyam tad-pratyaBijQA-uditAH Ipk-_4.17d
   naiṣāṃ bhedanibandhanā Ipk_1,8.6b	na-ezAm Beda-nibanDanAH IpS-_1,8.6b
   patyur jñānaṃ kriyā ca yā Ipk_4.4b	patyuH jQAnam kriyA ca yA IpS-_4.4b
   padam nītam anena tat Ipk_4.2d	padam nItam anena tat Ipk-_4.2d
   padārthakramarūṣitā Ipk_1,7.1b	padArTa-krama-rUzitAH IpS-_1,7.1b
   parataḥ pārameśvaram Ipk_3,1.2d	paratas pArameSvaram IpS-_3,1.2d
   paratāhantayācchādāt Ipk_3,1.5c	para-tA-hantayA-AcCAdAt Ipk-_3,1.5c
   paramākṣaravigrahaḥ Ipk_4.14d	parama-akzara-vigrahaH IpS-_4.14d
   paramārthasatīśvare Ipk_2,3.15d	parama-arTa-sati-ISvare IpS-_2,3.15d
   parasparasvabhāvatve Ipk_2,4.17a	paraspara-svaBAva-tve IpS-_2,4.17a
   parāparadaśā hi sā Ipk_3,1.5d	parApara-daSA hi sA IpS-_3,1.5d
   parāmarśaṃ vinā kriyā Ipk_2,4.20d	parAmarSam vinA kriyA IpS-_2,4.20d
   parā vāk svarasoditā Ipk_1,5.13b	parA vAc svarasa-uditA IpS-_1,5.13b
   pareśaśaktir ātmeva Ipk_1,5.20c	pareSa-SaktiH AtmA-iva IpS-_1,5.20c
   parair apy upalakṣyeta Ipk_1,1.5c	parEH api upalakzyeta Ipk-_1,1.5c
   parokṣād apy adhipater Ipk_2,4.12c	parokzAt api aDipateH IpS-_2,4.12c
   parokṣādhyakṣatātmanā Ipk_2,3.10b	parokza-aDyakzata-AtmanA IpS-_2,3.10b
   paśubhāve prakāśikā Ipk_3,1.7b	paSu-BAve prakASikAH IpS-_3,1.7b
   paśoḥ sattvaṃ rajas tamaḥ Ipk_4.4d	paSoH sattvam rajaH tamaH IpS-_4.4d
   pāratantryādyayogāc ca Ipk_1,2.11c	pAratantrI-a-AdyayogAt ca IpS-_1,2.11c
   piśācaḥ syād anāloko 'py Ipk_1,7.11a	piSAcaH syAt anAlokaH api IpS-_1,7.11a
   puna atyantabhedavat Ipk_4.13d	puna atyanta-Beda-vat IpS-_4.13d
   pūrvānubhavarūpas tu Ipk_1,6.9c	pUrva-anuBava-rUpaH tu IpS-_1,6.9c
   pūrvānubhavasadbhāve Ipk_1,7.5c	pUrva-anuBava-sadBAve Ipk-_1,7.5c
   pūrvānubhavasaṃkārā- Ipk_1,3.4c	pUrva-anuBava-saMkArA Ipk-_1,3.4c
   pūrvānubhavasaṃskṛteḥ Ipk_1,3.1b	pUrva-anuBava-saMskRteH IpS-_1,3.1b
   pūrvābhāsādiyojanā Ipk_1,6.6b	pUrva-ABAsa-Adi-yojanAH IpS-_1,6.6b
   pūrvābhāsitam āmṛśan Ipk_1,4.2b	pUrva-ABAsitam AmRSan IpS-_1,4.2b
   pūrve naiveṣṭam indriyam Ipk_1,5.8b	pUrve na-eva-izwam indriyam IpS-_1,5.8b
   pṛthagdīpaprakāśānāṃ Ipk_2,3.7a	pRTak-dIpa-prakASAnAm Ipk-_2,3.7a
   prakalpyāḥ pratyagātmanaḥ Ipk_4.8b	prakalpyAH pratyak-AtmanaH IpS-_4.8b
   prakāśasyeva nānyasya Ipk_1,6.2c	prakASasya-iva na-anyasya IpS-_1,6.2c
   prakāśātmatayā vinā Ipk_1,5.2b	prakASa-Atma-tayA vinA IpS-_1,5.2b
   prakāśātmāpi vāgvapuḥ Ipk_1,6.1b	prakASa-AtmA-api vAc-vapuH IpS-_1,6.1b
   prakāśātmā prakāśyo 'rtho Ipk_1,5.3c	prakASa-AtmA prakASyaH arTaH IpS-_1,5.3c
   prakāśaikyāt tad ekatvaṃ Ipk_1,8.10c	prakASa-EkyAt tat eka-tvam IpS-_1,8.10c
   prakāśo bahir ātmanā Ipk_1,8.9b	prakASaH bahis AtmanA IpS-_1,8.9b
   prakāśo 'rthoparakto 'pi Ipk_1,5.11c	prakASaH arTa-uparaktaH api IpS-_1,5.11c
   pratitiṣṭhatsu bhāveṣu Ipk_1,7.2c	pratitizWatsu BAvezu IpS-_1,7.2c
   pratibhāsād abhedinām Ipk_2,3.6d	pratiBAsAt aBedinAm IpS-_2,3.6d
   pratiyogy avabhāsajaḥ Ipk_1,6.5d	pratiyogi avaBAsa-jaH IpS-_1,6.5d
   pratiṣṭhā jīvadāśrayā Ipk_1,1.4b	pratizWA jIvat-ASrayA IpS-_1,1.4b
   pratisaṃdhānavarjitam Ipk_1,5.19d	pratisaMDAna-varjitam IpS-_1,5.19d
   pratyakṣānupalambhānāṃ Ipk_1,7.4a	pratyakza-anupalamBAnAm IpS-_1,7.4a
   pratyabhijñopadarśyate Ipk_1,1.3d	pratyaBijQA-upadarSyate IpS-_1,1.3d
   pratyekaṃ suptajāgratoḥ Ipk_3,2.19b	pratyekam supta-jAgratoH IpS-_3,2.19b
   pradhānaṃ mūlakāraṇam Ipk_3,1.10d	praDAnam mUla-kAraNam IpS-_3,1.10d
   prabhur īśādisaṃkalpair Ipk_1,5.16c	praBuH ISa-Adi-saMkalpEH IpS-_1,5.16c
   prabhur dehādim āviśan Ipk_1,6.7b	praBuH deha-Adim AviSan IpS-_1,6.7b
   pramāṇaṃ svātmasaṃbhave Ipk_1,7.5b	pramANam sva-Atma-saMBave IpS-_1,7.5b
   pramāṇād ekato mataḥ Ipk_2,3.8d	pramANAt ekatas mataH IpS-_2,3.8d
   pramāṇāntaraniścite Ipk_2,4.11b	pramANa-antara-niScite IpS-_2,4.11b
   pramātari purāṇe tu Ipk_2,3.16a	pramAtari purANe tu Ipk-_2,3.16a
   pramātary upapadyate Ipk_2,3.14d	pramAtari upapadyate IpS-_2,3.14d
   pramātā kathyate patiḥ Ipk_3,2.3b	pramAtA kaTyate patiH IpS-_3,2.3b
   pramātā sa maheśvaraḥ Ipk_1,7.1d	pramAtA sa maheSvaraH IpS-_1,7.1d
   pramātṛtvenāham iti Ipk_1,6.5a	pramAtR-tvena-aham iti IpS-_1,6.5a
   pramātṛpariniṣṭhiteḥ Ipk_1,7.6d	pramAtR-parinizWiteH IpS-_1,7.6d
   pramātṝṇāṃ sa jāgaraḥ Ipk_3,2.17d	pramAtLNAm sa jAgaraH IpS-_3,2.17d
   pramātrapekṣayā coktā Ipk_2,4.6c	pramAtR-apekzayA ca-uktA IpS-_2,4.6c
   pramātrekasamāśrayaḥ Ipk_2,4.16b	pramAtR-eka-samASrayaH IpS-_2,4.16b
   pramātraikātmyam āntaryaṃ Ipk_1,8.8c	pramAtR-a-EkAtmyam Antaryam IpS-_1,8.8c
   prameye vyatirekiṇi Ipk_3,1.9b	prameye vyatirekiNi IpS-_3,1.9b
   prasare 'pi maheśatā Ipk_4.12d	prasare api maheSatA IpS-_4.12d
   prāg anvabhūvam aham ity Ipk_1,4.4c	prAk anvaBUvam aham iti IpS-_1,4.4c
   prāgivārtho 'prakāśaḥ syāt Ipk_1,5.2a	prAk-iva-arTaH aprakASaH syAt Ipk-_1,5.2a
   prāṇādiprerikā matā Ipk_3,2.14b	prANa-Adi-prerikA matAH IpS-_3,2.14b
   prāṇāpānamayaḥ prāṇaḥ Ipk_3,2.19a	prANa-apAna-mayaH prANaH Ipk-_3,2.19a
   prādhānyāt kartṛtāguṇe Ipk_3,2.18b	prADAnyAt kartR-tA-guNe IpS-_3,2.18b
   prābhavyāḥ syāt prabhor iva Ipk_2,1.2d	prABavyAH syAt praBoH iva IpS-_2,1.2d
   bahir apy ekarūpatām Ipk_2,2.5b	bahis api eka-rUpa-tAm IpS-_2,2.5b
   bahirābhāsanātmani Ipk_1,6.9b	bahis-ABAsana-Atmani IpS-_1,6.9b
   bahirbhāvaparatve tu Ipk_3,1.2c	bahirBAva-paratve tu Ipk-_3,1.2c
   bahis tasyaiva tatkāryaṃ Ipk_2,4.6a	bahis tasya-eva tat-kAryam Ipk-_2,4.6a
   bahudhā nāpi tad dvayam Ipk_1,2.1d	bahuDA na-api tat dvayam IpS-_1,2.1d
   bādhā naivānumānataḥ Ipk_1,7.13b	bADA na-eva-anumAnataH IpS-_1,7.13b
   bādhyabādhakabhāvo 'pi Ipk_1,7.6a	bADya-bADaka-BAvaH api Ipk-_1,7.6a
   bāhyatopādhir iṣyate Ipk_1,8.5b	bAhya-ta-upADiH izyate IpS-_1,8.5b
   bāhyatvād bahir apy asau Ipk_1,8.7d	bAhya-tvAt bahis api asO IpS-_1,8.7d
   bāhyasyāsīt kathaṃ cana Ipk_1,5.9b	bAhyasya-AsIt kaTam canaH IpS-_1,5.9b
   bāhyaṃ ced anumāpayet Ipk_1,5.4b	bAhyam ced anumApayet IpS-_1,5.4b
   bāhyāntaratayā doṣair Ipk_2,3.10c	bAhya-antara-tayA dozEH IpS-_2,3.10c
   bāhyāntaḥkaraṇāvalī Ipk_3,1.11b	bAhya-antaHkaraNa-AvalI IpS-_3,1.11b
   bāhyenānupapattinā Ipk_1,5.6d	bAhyena-anupapattinA IpS-_1,5.6d
   buddhyādigrāhakātmanā Ipk_4.2b	budDi-Adi-grAhaka-AtmanA IpS-_4.2b
   bodhasya ca cidātmanaḥ Ipk_3,2.12b	boDasya ca cit-AtmanaH IpS-_3,2.12b
   bodhānām api kartṛtva- Ipk_3,2.9a	boDAnAm api kartR-tva Ipk-_3,2.9a
   bodhaikalakṣaṇaikye 'pi Ipk_3,2.7a	boDa-eka-lakzaNa-Ekye api Ipk-_3,2.7a
   brahmaviṣṇū vyavasthitau Ipk_3,2.1d	brahma-vizNU vyavasTitO IpS-_3,2.1d
   bhartrā te kartṛtātyayāt Ipk_3,2.6d	BartrA te kartR-tA-atyayAt Ipk-_3,2.6d
   bhavatīty eva dṛśyate Ipk_1,2.10b	Bavati-iti eva dRSyate IpS-_1,2.10b
   bhavadbhūtārthagāmiṣu Ipk_1,8.2d	Bavat-BUta-arTa-gAmizu Ipk-_1,8.2d
   bhavināṃ trividhaṃ malam Ipk_3,2.10b	BavinAm triviDam malam IpS-_3,2.10b
   bhavet kālakramākaraḥ Ipk_2,1.6b	Bavet kAla-krama-AkaraH IpS-_2,1.6b
   bhāti mātur mitātmanaḥ Ipk_2,1.7b	BAti mAtuH mita-AtmanaH IpS-_2,1.7b
   bhāntam evānta arthaugham Ipk_1,6.7c	BAntam eva-anta arTa-oGam IpS-_1,6.7c
   bhānti meyapade 'pi vā Ipk_1,4.5d	BAnti meya-pade api vE IpS-_1,4.5d
   bhāvajātasya bhāsanam Ipk_1,5.10b	BAva-jAtasya BAsanam IpS-_1,5.10b
   bhāvā ekapramātari Ipk_2,2.4b	BAvAH eka-pramAtari IpS-_2,2.4b
   bhāvānām avabhāsanam Ipk_1,5.1b	BAvAnAm avaBAsanam IpS-_1,5.1b
   bhāvānām ittham ekatra Ipk_2,3.14c	BAvAnAm itTam ekatra IpS-_2,3.14c
   bhāvānāṃ bodhasāratvād Ipk_3,1.4c	BAvAnAm boDasAra-tvAt Ipk-_3,1.4c
   bhāvānāṃ svātmaniṣṭhiteḥ Ipk_1,7.9b	BAvAnAm sva-Atma-nizWiteH IpS-_1,7.9b
   bhāvān icchāvaśād eṣā Ipk_2,4.1c	BAvAn icCA-vaSAt ezA IpS-_2,4.1c
   bhāvā bhānty amitasya tu Ipk_2,1.7d	BAvAH BAnti amitasya tu Ipk-_2,1.7d
   bhāvābhāvāvabhāsānāṃ Ipk_1,8.5a	BAva-aBAva-avaBAsAnAm Ipk-_1,8.5a
   bhāsate na tv idantayā Ipk_1,5.20d	BAsate na tu idantayA Ipk-_1,5.20d
   bhāsayec ca svakāle 'rthāt Ipk_1,4.2a	BAsayet ca sva-kAle arTAt Ipk-_1,4.2a
   bhinna evāvabhāti yaḥ Ipk_1,6.4b	BinnaH eva-avaBAti yaH IpS-_1,6.4b
   bhinnaprameyaprasare Ipk_3,2.1c	Binna-prameya-prasare IpS-_3,2.1c
   bhinnayor avabhāso hi Ipk_1,6.2a	BinnayoH avaBAsaH hi Ipk-_1,6.2a
   bhinnavedyajuṣāṃ māyā- Ipk_3,2.9c	Binna-vedya-juzAm mAyA IpS-_3,2.9c
   bhinnavedyaprathātraiva Ipk_3,2.5a	Binna-vedya-praTA-atra-eva Ipk-_3,2.5a
   bhinnasaṃvedyagocarā Ipk_1,5.18b	Binna-saMvedya-gocarAH IpS-_1,5.18b
   bhinnasyābhāvasādhanam Ipk_1,7.9d	Binnasya-aBAva-sADanam IpS-_1,7.9d
   bhinnāvabhāsacchāyānām Ipk_2,3.11a	Binna-avaBAsa=-CAyAnAm Ipk-_2,3.11a
   bhinne prakāśe cābhinne Ipk_1,5.3a	Binne prakASe ca-aBinne Ipk-_1,5.3a
   bhūyas tattatpramātreka- Ipk_2,4.12a	BUyas tad-tad-pramAtR-eka IpS-_2,4.12a
   bhedadhīr eva bhāveṣu Ipk_3,1.6a	Beda-DIH eva BAvezu Ipk-_3,1.6a
   bhedasthitaḥ śāktimataḥ Ipk_4.5a	Beda-sTitaH SAktimataH Ipk-_4.5a
   bhedād asyānayatātmanaḥ Ipk_1,5.17b	BedAt asya-Anayata-AtmanaH IpS-_1,5.17b
   bhedābhedavatārthena Ipk_2,2.7c	Beda-aBedavata-arTena IpS-_2,2.7c
