   Bhartrhari: Vakyapadiya	BhartH-hari: Vakya-pad-iya
   gandharvanagareṣv api Vp_2.292d	ganDarvanagarezu api Vp_2.292d
   gandhādīnāṃ prakāśakam Vp_1.101b	ganDa-AdInAm prakASakam Vp_1.101b
   gandhena sahacāriṇām Vp_2.157b	ganDena sahacAriNAm Vp_2.157b
   gamanādi na gamyate Vp_2.189b	gamana-Adi na gamyate Vp_2.189b
   gamir eva bhramir yathā Vp_3,7.137b	gamiH eva BramiH yaTA Vp_3,7.137b
   gamyeta sādhanaṃ hy atra Vp_3,7.120c	gamyeta sADanam hi atra Vp_3,7.120c
   gargā ity eka evāyaṃ Vp_2.221a	gargAH iti ekaH eva-ayam Vp_2.221a
   garbhādhānam anarthakam Vp_3,1.64b	garBADAnam anarTakam Vp_3,1.64b
   gavater gadater vāpi Vp_2.174c	gavateH gadateH vA-api Vp_2.174c
   gavaye narasiṃhe cāpy Vp_2.90a	gavaye narasiMhe ca-api Vp_2.90a
   girater garjater gameḥ Vp_2.174b	girateH garjateH gameH Vp_2.174b
   gītibhedāt tu gṛhyante Vp_2.107c	gIti-BedAt tu gRhyante Vp_2.107c
   guṇakriyāṇāṃ kartāraḥ Vp_3,7.20a	guNa-kriyANAm kartAraH Vp_3,7.20a
   guṇakriyāyāṃ svātantryāt Vp_3,7.127a	guNa-kriyAyAm svAtantryAt Vp_3,7.127a
   guṇatvaṃ paratantratvāt Vp_3,5.1c	guNa-tvam paratantra-tvAt Vp_3,5.1c
   guṇapradhānabhāvasya Vp_2.306c	guNa-praDAna-BAvasya Vp_2.306c
   guṇabhāvena sākāṅkṣaṃ Vp_2.48a	guNa-BAvena sa-AkAFkzam Vp_2.48a
   guṇas tasmād vikalpate Vp_3,1.79d	guNaH tasmAt vikalpate Vp_3,1.79d
   guṇas tenārthitā tasya Vp_3,1.72c	guNaH tena-arTitA tasya Vp_3,1.72c
   guṇasyāviśyate tathā Vp_3,5.9d	guNasya-AviSyate taTA Vp_3,5.9d
   guṇaḥ kāryair na yujyate Vp_1.63b	guNaH kAryEH na yujyate Vp_1.63b
   guṇaḥ prakarṣahetur yaḥ Vp_1.65a	guNaH prakarza-hetuH yaH Vp_1.65a
   guṇā dvitvādayaś ca ye Vp_3,3.14d	guNAH dvi-tva-AdayaH ca ye Vp_3,3.14d
   guṇānām apy asau guṇaḥ Vp_3,3.5d	guNAnAm api asO guNaH Vp_3,3.5d
   guṇānām avadhāraṇam Vp_2.157d	guNAnAm avaDAraNam Vp_2.157d
   guṇānāṃ paratantrāṇāṃ Vp_3,1.87c	guNAnAm paratantrANAm Vp_3,1.87c
   guṇāḥ pratinidhīyante Vp_3,1.78c	guNAH pratiniDIyante Vp_3,1.78c
   guṇāḥ svādhāra eva ye Vp_3,3.13d	guNAH sva-ADAraH eva ye Vp_3,3.13d
   guṇe 'pi nāṅgīkriyate Vp_3,1.88a	guNe api na-aFgIkriyate Vp_3,1.88a
   guṇeṣu vyatiricyate Vp_3,7.157b	guNezu vyatiricyate Vp_3,7.157b
   guṇair na vyavakīryate Vp_1.170d	guNEH na vyavakIryate Vp_1.170d
   guṇaiḥ padānāṃ saṃbandhaḥ Vp_2.196c	guNEH padAnAm saMbanDaH Vp_2.196c
   guruṇā tīrthadarśinā Vp_2.482b	guruNA tIrTa-darSinA Vp_2.482b
   gṛhītaṃ gṛhaśabdena Vp_3,2.3c	gRhItam gRha-Sabdena Vp_3,2.3c
   gotrāṇy eva tu tāny āhuḥ Vp_2.365a	gotrANi eva tu tAni AhuH Vp_2.365a
   gotvānuṣaṅgo vāhīke Vp_2.255a	go-tva-anuzaFgaH vAhIke Vp_2.255a
   goyuṣmanmahatāṃ cvyarthe Vp_2.279a	go-yuzmat-mahatAm cvyarTe Vp_2.279a
   gośabdenābhidhīyate Vp_2.252b	go-Sabdena-aBiDIyate Vp_2.252b
   gośabdo goṣu vartate Vp_2.175b	go-SabdaH gozu vartate Vp_2.175b
   gośabdo na tathā jāter Vp_2.162c	go-SabdaH na taTA jAteH Vp_2.162c
   gośabdo na tv asau teṣāṃ Vp_2.153c	go-SabdaH na tu asO tezAm Vp_2.153c
   gauṇa ity ucyate kva cit Vp_2.274d	gONaH iti ucyate kva cit Vp_2.274d
   gauṇatvasya prasādhikā Vp_2.280d	gONa-tvasya prasADikAH Vp_2.280d
   gauṇatvaṃ parikalpyate Vp_3,1.18b	gONa-tvam parikalpyate Vp_3,1.18b
   gauṇatvaṃ pratipadyate Vp_2.282d	gONa-tvam pratipadyate Vp_2.282d
   gauṇamukhyaprakalpanā Vp_2.263d	gONa-muKya-prakalpanA Vp_2.263d
   gauṇaṃ yatnopapāditam Vp_2.278d	gONam yatna-upapAditam Vp_2.278d
   gauṇārthābhiniveśinam Vp_2.266d	gONa-arTa-aBiniveSinam Vp_2.266d
   gaur aśva iti cocyate Vp_2.271b	gOH aSvaH iti ca-ucyate Vp_2.271b
   gaur iti prayuyukṣyate Vp_1.175b	gOH iti prayuyukzyate Vp_1.175b
   gaur ity atrānudarśitam Vp_2.174d	gOH iti atra-anudarSitam Vp_2.174d
   gaur ity eva svarūpād vā Vp_2.175a	gOH iti eva svarUpAt vA Vp_2.175a
   gaur iva prakṣaraty ekā Vp_1.160a	gOH iva prakzarati ekA Vp_1.160a
   granthamātro vyavasthitaḥ Vp_2.485d	granTa-mAtraH vyavasTitaH Vp_2.485d
   grahaṇagrāhyayoḥ siddhā Vp_1.100a	grahaNa-grAhyayoH sidDAH Vp_1.100a
   grahaṇagrāhyayoḥ sthitaḥ Vp_2.98d	grahaNa-grAhyayoH sTitaH Vp_2.98d
   grahaṇasyāsti saṃbhavaḥ Vp_2.100d	grahaNasya-asti saMBavaH Vp_2.100d
   grahaṇaṃ vinivartate Vp_3,1.17d	grahaNam vinivartate Vp_3,1.17d
   grahaṇaṃ sa kramaḥ śrutau Vp_2.105d	grahaNam sa kramaH SrutO Vp_2.105d
   grahaṇānuguṇais tathā Vp_1.85b	grahaNa-anuguNEH taTA Vp_1.85b
   grahaṇopādhibhedena Vp_1.76c	grahaNa-upADi-Bedena Vp_1.76c
   grahaṇopāya eva saḥ Vp_1.87d	grahaNa-upAyaH eva saH Vp_1.87d
   grahās tv anyatra vihitā Vp_3,1.58a	grahAH tu anyatra vihitAH Vp_3,1.58a
   grahe yatra kriyāśrutiḥ Vp_3,1.85b	grahe yatra kriyA-SrutiH Vp_3,1.85b
   grāme yo lo vidhīyate Vp_3,7.84b	grAme yaH laH viDIyate Vp_3,7.84b
   grāhyatvaṃ grāhakatvaṃ ca Vp_1.56a	grAhya-tvam grAhaka-tvam ca Vp_1.56a
   grāhyābhyāṃ saha kalpitaḥ Vp_2.99d	grAhyAByAm saha kalpitaH Vp_2.99d
   ghaṭa ity api yaj jñānaṃ Vp_3,1.109c	GawaH iti api yat jQAnam Vp_3,1.109c
   ghaṭajñānam iti jñānaṃ Vp_3,1.109a	Gawa-jQAnam iti jQAnam Vp_3,1.109a
   ghaṭajñānavilakṣaṇam Vp_3,1.109b	Gawa-jQAna-vilakzaNam Vp_3,1.109b
   ghaṭasya dṛśikarmatve Vp_3,7.10a	Gawasya dRSi-karma-tve Vp_3,7.10a
   ghaṭādidarśanāllokaḥ Vp_2.237a	Gawa-Adi-darSanAt-lokaH Vp_2.237a
   ghaṭādiṣu yathā dīpo Vp_2.298a	Gawa-Adizu yaTA dIpaH Vp_2.298a
   ghaṭādīnāṃ na cākārān Vp_2.123a	Gawa-AdInAm na ca-AkArAn Vp_2.123a
   ghaṭīnāṃ maṇḍalaṃ mahat Vp_1.154b	GawInAm maNxalam mahat Vp_1.154b
   ghaṇṭādīnāṃ ca śabdeṣu Vp_1.107c	GaNwA-AdInAm ca Sabdezu Vp_1.107c
   ghoṣiṇī jātanirghoṣā Vp_1.164a	GoziNI jAta-nirGozAH Vp_1.164a
   cakṣuṣaḥ prāpyakāritve Vp_1.82a	cakzuzaH prApya-kAri-tve Vp_1.82a
   caṅkramyamāṇo 'dhīṣvātra Vp_2.452a	caFkramyamANaH aDIzva-atra Vp_2.452a
   catasro hi yathāvasthā Vp_3,3.66a	catasraH hi yaTA-avasTA Vp_3,3.66a
   caturthī sā vikārataḥ Vp_3,7.115b	caturTI sA vikArataH Vp_3,7.115b
   caturdhānyat tu kalpitam Vp_3,7.45d	catur-DAnyat tu kalpitam Vp_3,7.45d
   caturdhā pañcadhāpi vā Vp_3,1.1b	caturDA paQcaDA-api vA Vp_3,1.1b
   catvāri padajātāni Vp_2.343c	catvAri pada-jAtAni Vp_2.343c
   caritārthān parārthatvān Vp_1.55c	caritArTAn para-arTa-tvAn Vp_1.55c
   caritāstikriyaṃ kva cit Vp_2.270b	caritAH-ti-kriyam kva cit Vp_2.270b
   cādayo na prayujyante Vp_2.194a	ca-AdayaH na prayujyante Vp_2.194a
   cāndrācāryādibhiḥ punaḥ Vp_2.486d	cAndra-AcArya-AdiBiH punar Vp_2.486d
   cikitsālakṣaṇādhyātma- Vp_1.174c	cikitsA-lakzaNa-aDyAtma Vp_1.174c
   citrasyaikasya rūpasya Vp_2.8a	citrasya-ekasya rUpasya Vp_2.8a
   citraṃ hi pratipādanam Vp_2.178d	citram hi pratipAdanam Vp_2.178d
   citrādiṣv apy abhivyaktir Vp_3,1.45a	citra-Adizu api aBivyaktiH Vp_3,1.45a
   ciraṃ kṣipram iti jñāne Vp_2.23a	ciram kzipram iti jQAne Vp_2.23a
   cihnānīvākṣarasmṛteḥ Vp_1.20b	cihnAni-iva-akzara-smRteH Vp_1.20b
   caitanyam iva yaś cāyam Vp_1.41a	cEtanyam iva yaH ca-ayam Vp_1.41a
   caitanyavat sthitā loke Vp_3,6.18a	cEtanya-vat sTitAH loke Vp_3,6.18a
   caitanyaṃ sarvajātiṣu Vp_1.134d	cEtanyam sarva-jAtizu Vp_1.134d
   cchinnagranthiparigrahaḥ Vp_1.147b	cCinna-granTi-parigrahaH VB-_1.147b
   chandasyaś chandasāṃ yonim Vp_1.17c	CandasyaH CandasAm yonim Vp_1.17c
   chandobhya eva prathamam Vp_1.124c	CandoByaH eva praTamam Vp_1.124c
   chandomayībhir mātrābhir Vp_1.125c	CandaH-mayIBiH mAtrABiH Vp_1.125c
   chabda eva nibandhanam Vp_2.437d	CabdaH eva nibanDanam Vp_2.437d
   chabdayor gauṇamukhyayoḥ Vp_2.257b	CabdayoH gONa-muKyayoH Vp_2.257b
   chabdāt tac ca na bhidyate Vp_3,2.11d	CabdAt tat ca na Bidyate Vp_3,2.11d
   chabdārthān iti manyate Vp_2.121d	Cabda-arTAn iti manyate Vp_2.121d
   chabde jātir avasthitā Vp_3,1.8b	Cabde jAtiH avasTitA Vp_3,1.8b
   chabdeṣv avikṛteṣv api Vp_2.106b	Cabdezu avikRtezu api Vp_2.106b
   chabdo 'rthasyābhidhāyakaḥ Vp_2.360d	CabdaH arTasya-aBiDAyakaH Vp_2.360d
   chāgādīnāṃ na jātayaḥ Vp_3,1.78d	CAga-AdInAm na jAtayaH Vp_3,1.78d
   chāyātapatamaḥśabda- Vp_1.113c	CAyA-AtapatamaH-Sabda Vp_1.113c
   chāyābhābhyāṃ nagādīnāṃ Vp_3,6.12a	CAyA-ABAByAm naga-AdInAm Vp_3,6.12a
   chāyāyāś calanaṃ yathā Vp_3,7.111b	CAyAyAH calanam yaTA Vp_3,7.111b
   chāstre liṅgasya darśanāt Vp_2.381b	CAstre liFgasya darSanAt Vp_2.381b
   chittvā granthīn pravartate Vp_1.147d	CittvA granTIn pravartate Vp_1.147d
   chinnagrathitakalpatvāt Vp_2.249c	Cinna-graTita-kalpa-tvAt Vp_2.249c
   chedyaṃ prati vyāpriyate Vp_3,7.31c	Cedyam prati vyApriyate Vp_3,7.31c
   cheṣabhāvaḥ pratīyate Vp_3,1.69d	Ceza-BAvaH pratIyate Vp_3,1.69d
   janayaty ekasādhanam Vp_2.300d	janayati eka-sADanam Vp_2.300d
   janayitvā kriyā kā cit Vp_2.197a	janayitvA kriyA kA cit Vp_2.197a
   jantvādayaḥ kulāyādi- Vp_2.149c	jantu-AdayaH kulAya-Adi Vp_2.149c
   janmanā tu virodhitvān Vp_3,3.46c	janmanA tu viroDi-tvAn Vp_3,3.46c
   janmanā yat prakāśyate Vp_3,7.49b	janmanA yat prakASyate Vp_3,7.49b
   janmanāśāv abhede 'pi Vp_3,7.111c	janma-nASO aBede api Vp_3,7.111c
   janmādayo vikārāḥ ṣaḍ Vp_1.3c	janma-AdayaH vikArAH zaw Vp_1.3c
   janyamānasya karmaṇaḥ Vp_3,7.7b	janyamAnasya karmaNaH Vp_3,7.7b
   japaṃś caṅkramaṇaṃ kuru Vp_2.452b	japan caFkramaNam kuru Vp_2.452b
   jahatsvārthavikalpe ca Vp_2.228a	jahatsva-arTa-vikalpe ca Vp_2.228a
   jātayo na tathā guṇāḥ Vp_3,1.79b	jAtayaH na taTA guNAH Vp_3,1.79b
   jātāv ekena cet kriyā Vp_3,1.62b	jAtO ekena ced kriyA Vp_3,1.62b
   jātikāryāya kalpate Vp_3,1.8d	jAti-kAryAya kalpate Vp_3,1.8d
   jātiparyāyavācitvam Vp_3,1.92c	jAti-paryAya-vAci-tvam Vp_3,1.92c
   jātipratyāyitā vyaktiḥ Vp_1.70c	jAti-pratyAyitA vyaktiH Vp_1.70c
   jātir ity ucyate tasyāṃ Vp_3,1.33c	jAtiH iti ucyate tasyAm Vp_3,1.33c
   jātir evābhidhīyate Vp_3,1.29d	jAtiH eva-aBiDIyate Vp_3,1.29d
   jātir vā dravyam eva vā Vp_3,1.2b	jAtiH vA dravyam eva vA Vp_3,1.2b
   jātivat tena gamyate Vp_3,1.66d	jAti-vat tena gamyate Vp_3,1.66d
   jātivat samavasthitāḥ Vp_3,7.35d	jAti-vat samavasTitAH Vp_3,7.35d
   jātivat samudāye 'pi Vp_2.43c	jAti-vat samudAye api Vp_2.43c
   jātiśabdo 'ntareṇāpi Vp_2.273a	jAti-SabdaH antareNa-api Vp_2.273a
   jātiśabdo 'valambate Vp_2.122d	jAti-SabdaH avalambate Vp_2.122d
   jātis tatrāpi sādhanam Vp_3,1.27b	jAtiH tatra-api sADanam Vp_3,1.27b
   jātis tu pratipadyate Vp_1.69d	jAtiH tu pratipadyate Vp_1.69d
   jātiṃ yatra prayujyate Vp_2.273b	jAtim yatra prayujyate Vp_2.273b
   jātiḥ śaktyupalakṣaṇam Vp_3,1.3b	jAtiH Sakti-upalakzaNam Vp_3,1.3b
   jātiḥ saṃghātavartinī Vp_2.1b	jAtiH saMGAta-vartinI Vp_2.1b
   jātiḥ sā śabdajātitvam Vp_3,1.10c	jAtiH sA Sabda-jAti-tvam Vp_3,1.10c
   jātiḥ sphoṭa iti smṛtā Vp_1.96b	jAtiH sPowaH iti smRtA Vp_1.96b
   jātiḥ syāt sarvajātiṣu Vp_3,1.14b	jAtiH syAt sarva-jAtizu Vp_3,1.14b
   jātīnāṃ kaiś cid iṣyate Vp_3,1.45b	jAtInAm kEH cit izyate Vp_3,1.45b
   jātīnāṃ ca guṇānāṃ ca Vp_3,1.78a	jAtInAm ca guNAnAm ca Vp_3,1.78a
   jātīnāṃ jātir iṣyate Vp_3,1.9b	jAtInAm jAtiH izyate Vp_3,1.9b
   jātīnāṃ vyaktir iṣyate Vp_1.98d	jAtInAm vyaktiH izyate Vp_1.98d
   jāte tad api dṛśyate Vp_3,3.33d	jAte tat api dRSyate Vp_3,3.33d
   jāter āśritasaṃkhyāyāḥ Vp_3,1.81a	jAteH ASrita-saMKyAyAH Vp_3,1.81a
   jāter vā parikalpane Vp_2.56b	jAteH vA parikalpane VB-_2.56b
   jāter vā lakṣaṇāya syāt Vp_2.309c	jAteH vA lakzaNAya syAt Vp_2.309c
   jāteḥ kāryāṇi saṃsṛṣṭā Vp_1.69c	jAteH kAryANi saMsRzwAH Vp_1.69c
   jāteḥ pratyāyake śabde Vp_2.122a	jAteH pratyAyake Sabde Vp_2.122a
   jātau padārthe jātir vā Vp_3,1.12a	jAtO padArTe jAtiH vA Vp_3,1.12a
   jātjśabdaikaśeṣe sā Vp_3,1.9a	jAtjSabda-eka-Seze sA Vp_3,1.9a
   jātyantaravad anyasya Vp_2.176c	jAti-antara-vat anyasya Vp_2.176c
   jātyanvayaprasiddhāsu Vp_2.150c	jAti-anvaya-prasidDAsu Vp_2.150c
   jātyavasthāparicchede Vp_3,1.49a	jAti-avasTA-paricCede Vp_3,1.49a
   jātyutpalādigandhādau Vp_3,1.47a	jAti-utpala-Adi-ganDa-AdO Vp_3,1.47a
   jāyate pratyayo 'rthebhyas Vp_3,3.53c	jAyate pratyayaH arTeByaH Vp_3,3.53c
   jāyate 'rthasya vācakaḥ Vp_1.45b	jAyate arTasya vAcakaH VB-_1.45b
   jāyate hi tataḥ prāṇo Vp_1.162c	jAyate hi tatas prANaH Vp_1.162c
   jāyamāno 'bhidhīyate Vp_3,7.118d	jAyamAnaH aBiDIyate Vp_3,7.118d
   jitvarīvad upācaret Vp_2.179b	jitvarI-vat upAcaret Vp_2.179b
   jīvitasyāvadhāraṇe Vp_3,6.11d	jIvitasya-avaDAraNe Vp_3,6.11d
   jñātasyānyasya vastunaḥ Vp_3,1.107d	jQAtasya-anyasya vastunaH Vp_3,1.107d
   jñānabhedāya kalpate Vp_3,1.30d	jQAna-BedAya kalpate Vp_3,1.30d
   jñānarūpaṃ na gṛhyate Vp_3,1.110b	jQAna-rUpam na gRhyate Vp_3,1.110b
   jñānaśaktiḥ samarthā syāj Vp_3,1.107c	jQAnaSaktiH samarTA syAt Vp_3,1.107c
   jñānaśabdārthaviṣayā Vp_3,1.103a	jQAna-Sabda-arTa-vizayAH Vp_3,1.103a
   jñānasaṃskārahetavaḥ Vp_1.10d	jQAna-saMskAra-hetavaH Vp_1.10d
   jñānasya ca viparyaye Vp_3,3.59b	jQAnasya ca viparyaye Vp_3,3.59b
   jñānasya nirupaśrayā Vp_3,3.56b	jQAnasya nirupaSrayA Vp_3,3.56b
   jñānaṃ jñeyavyapāśrayam Vp_1.88d	jQAnam jQeya-vyapASrayam Vp_1.88d
   jñānaṃ tv asmadviśiṣṭānāṃ Vp_3,1.46a	jQAnam tu asmad-viSizwAnAm Vp_3,1.46a
   jñānaṃ praty abhilāpaṃ ca Vp_3,3.55c	jQAnam prati aBilApam ca Vp_3,3.55c
   jñānaṃ prayoktur bāhyo 'rthaḥ Vp_3,3.1a	jQAnam prayoktuH bAhyaH arTaH Vp_3,3.1a
   jñānākāras tathānyena Vp_3,1.106c	jQAna-AkAraH taTA-anyena Vp_3,1.106c
   jñānādyekatvadarśanam Vp_3,1.103d	jQAna-Adi-ekatva-darSanam Vp_3,1.103d
   jñānānām upakārakam Vp_3,1.105b	jQAnAnAm upakArakam Vp_3,1.105b
   jñāne 'tyantam asaṃbhavaḥ Vp_3,2.9b	jQAne atyantam asaMBavaH Vp_3,2.9b
   jñāne vā saṃśayaḥ kva cit Vp_3,3.2b	jQAne vA saMSayaH kva cit Vp_3,3.2b
   jñāneṣv api yathārtheṣu Vp_3,1.104a	jQAnezu api yaTArTezu Vp_3,1.104a
   jñāne svābhāvike nārthaḥ Vp_1.150a	jQAne svABAvike na-arTaH Vp_1.150a
   jñāyatāṃ kāla ity etat Vp_2.310c	jQAyatAm kAlaH iti etat Vp_2.310c
   jñeyarūpaṃ ca dṛśyate Vp_1.51b	jQeya-rUpam ca dRSyate Vp_1.51b
   jñeyastham eva sāmānyaṃ Vp_3,1.105a	jQeya-sTam eva sAmAnyam Vp_3,1.105a
   [jñeyena na vinā jñānaṃ Vp_1.89a	[jQeyena na vinA jQAnam Vp_1.89a
   jye-drā-ghā ity asādhavaḥ Vp_2.363b	jye-drA-GAH iti asADavaH Vp_2.363b
   jyotir āntaram āsādya Vp_1.147a	jyotiH Antaram AsAdya Vp_1.147a
   jyotiḥ śuddhaṃ vivartate Vp_1.18d	jyotiH SudDam vivartate Vp_1.18d
   jvālā jvālāntarād iva Vp_1.109d	jvAlA jvAlA-antarAt iva Vp_1.109d
   ḍitthādiṣu gavādivat Vp_2.366d	xitTa-Adizu gavA-Adi-vat Vp_2.366d
   ṇatvaṃ na pratiṣidhyate Vp_2.387d	Na-tvam na pratiziDyate Vp_2.387d
   ṇijantaniyamas tathā Vp_3,7.73d	Nijanta-niyamaH taTA Vp_3,7.73d
   ṇijante ca yathā kartā Vp_3,7.76a	Nijante ca yaTA kartA Vp_3,7.76a
   ṇyante tāṃ karmakartari Vp_3,7.60b	NI-ante tAm karma-kartari Vp_3,7.60b
   ṇyante 'pi pratipadyate Vp_3,7.59d	NI-ante api pratipadyate Vp_3,7.59d
   ṇyante lenābhidhīyate Vp_3,7.63d	NI-ante lena-aBiDIyate Vp_3,7.63d
   tac ca nityam iti smṛtam Vp_3,2.1d	tat ca nityam iti smRtam Vp_3,2.1d
   tacchabdasya sakṛc chrutau Vp_2.464d	tad-Sabdasya sakRt SrutO Vp_2.464d
   tacchabdena vyapekṣaṇam Vp_2.223b	tad-Sabdena vyapekzaNam Vp_2.223b
   taccheṣam alukaṃ viduḥ Vp_2.351d	tad-Sezam alukam viduH Vp_2.351d
   tajjātiḥ śabdajātiṣu Vp_3,1.9d	tad-jAtiH Sabda-jAtizu Vp_3,1.9d
   tata eva prakalpete Vp_3,6.4c	tatas eva prakalpete Vp_3,6.4c
   tataś ca tadabhāve 'pi Vp_3,3.76c	tatas ca tad-aBAve api Vp_3,3.76c
   tataḥ satyaṃ samīhate Vp_2.238d	tatas satyam samIhate Vp_2.238d
   tato 'nyasyāpi sāṃnidhyāt Vp_2.298c	tatas anyasya-api sAMniDyAt Vp_2.298c
   tato 'py asya parāṃ śuddhim Vp_3,3.56c	tatas api asya parAm SudDim Vp_3,3.56c
   tato 'rthajātirūpeṣu Vp_3,1.6c	tatas arTa-jAti-rUpezu Vp_3,1.6c
   tat karma na punar bhavet Vp_3,7.167b	tat karma na punar Bavet Vp_3,7.167b
   tat kasmiṃś cit pratīyate Vp_2.305b	tat kasmin cit pratIyate Vp_2.305b
   tat kriyāyā viśeṣakam Vp_2.5b	tat kriyAyAH viSezakam VB-_2.5b
   tat tadā tatra sādhanam Vp_3,7.12d	tat tadA tatra sADanam Vp_3,7.12d
   tat tad utprekṣamāṇānāṃ Vp_2.490a	tat tat utprekzamANAnAm Vp_2.490a
   tat taddharma prakāśate Vp_3,7.83d	tat tad-Darma prakASate Vp_3,7.83d
   tat tasyāsaṃnidhāv api Vp_2.308b	tat tasya-asaMniDO api Vp_2.308b
   tattvanānātvayos tasya Vp_2.26c	tattva-nAnA-tvayoH tasya Vp_2.26c
   tattvam eva prakāśate Vp_3,7.39d	tattvam eva prakASate Vp_3,7.39d
   tattvam evāvikalpitam Vp_3,2.8b	tattvam eva-avikalpitam Vp_3,2.8b
   tattvam evāvicāritam Vp_3,2.7d	tattvam eva-avicAritam Vp_3,2.7d
   tattvaṃ nādhyavasīyate Vp_3,3.9d	tattvam na-aDyavasIyate Vp_3,3.9d
   tattvātmakatvāt tenāpi Vp_3,2.6c	tattva-Atmaka-tvAt tena-api Vp_3,2.6c
   tattvānyatvaparltyāge Vp_3,3.71c	tattva-anya-tva-parltyAge Vp_3,3.71c
   tattvānvākhyānamātre tu Vp_2.451a	tattva-anvAKyAna-mAtre tu Vp_2.451a
   tattvāvabodhaḥ śabdānāṃ Vp_1.13c	tattva-avaboDaH SabdAnAm Vp_1.13c
   tattve kiṃ cid avasthitam Vp_2.139b	tattve kim cit avasTitam Vp_2.139b
   tattve janmādirūpatvaṃ Vp_3,2.18c	tattve janma-Adi-rUpa-tvam Vp_3,2.18c
   tat tv etasmād vivakṣitam Vp_3,1.57d	tat tu etasmAt vivakzitam Vp_3,1.57d
   tattve 'tyantam asaṃbhavaḥ Vp_3,2.10b	tattve atyantam asaMBavaH Vp_3,2.10b
   tattve vā vyatireke vā Vp_3,7.38a	tattve vA vyatireke vA Vp_3,7.38a
   tattve virodho nānātva Vp_3,3.71a	tattve viroDaH nAnAtva Vp_3,3.71a
   tatpātrair iva saṃvṛtam Vp_1.127b	tad-pAtrEH iva saMvRtam Vp_1.127b
   tat purastād viparyaye Vp_3,6.8d	tat purastAt viparyaye Vp_3,6.8d
   tat pṛthaktvān na bhidyate Vp_3,7.40d	tat pRTaktvAt na Bidyate Vp_3,7.40d
   tatprakarṣo 'bhidhīyate Vp_3,5.2d	tad-prakarzaH aBiDIyate Vp_3,5.2d
   tat prakṛtyantaraṃ viduḥ Vp_2.177b	tat prakRti-antaram viduH Vp_2.177b
   tat prajño na vikalpayet Vp_2.142d	tat prajQaH na vikalpayet Vp_2.142d
   tatpratyāyanasaṃbhavaḥ Vp_2.358d	tad-pratyAyana-saMBavaH Vp_2.358d
   tatpradeśavibhāgāś ca Vp_3,3.14c	tad-pradeSa-viBAgAH ca Vp_3,3.14c
   tatpravṛttim ivānveti Vp_1.50c	tad-pravRttim iva-anveti Vp_1.50c
   tatpravṛtter nibandhanam Vp_3,7.37d	tad-pravRtteH nibanDanam Vp_3,7.37d
   tat prāpyam iti kathyate Vp_3,7.51d	tat prApyam iti kaTyate Vp_3,7.51d
   tatra kriyāpadāny eva Vp_2.114a	tatra kriyA-padAni eva Vp_2.114a
   tatra tatra niyamyate Vp_2.199d	tatra tatra niyamyate Vp_2.199d
   tatra tantreṇa saṃbandhaḥ Vp_2.383c	tatra tantreNa saMbanDaH Vp_2.383c
   tatra dṛṣṭo viparyayaḥ Vp_2.306d	tatra dRzwaH viparyayaH Vp_2.306d
   tatra dravyaguṇābhāve Vp_3,1.76a	tatra dravya-guNa-aBAve Vp_3,1.76a
   tatra dravyaguṇau tadā Vp_3,1.77d	tatra dravya-guNO tadA Vp_3,1.77d
   tatra nāma pravartate Vp_2.48b	tatra nAma pravartate Vp_2.48b
   tatra mukhyaḥ prayujyate Vp_2.285d	tatra muKyaH prayujyate Vp_2.285d
   tatra mukhyo 'pi dṛśyate Vp_2.279d	tatra muKyaH api dRSyate Vp_2.279d
   tatra yan mukhyam ekeṣāṃ Vp_1.75c	tatra yat muKyam ekezAm Vp_1.75c
   tatra vastugato bhedo Vp_3,3.77c	tatra vastu-gataH BedaH Vp_3,3.77c
   tatra ṣaṣthī pratipadaṃ Vp_2.198a	tatra zazTI pratipadam Vp_2.198a
   tatra sādhanavṛttir yaḥ Vp_2.336a	tatra sADana-vRttiH yaH Vp_2.336a
   tatra syāt parikalpanā Vp_3,7.121b	tatra syAt parikalpanA Vp_3,7.121b
   tatra svārthopasarjanaḥ Vp_2.282b	tatra sva-arTa-upasarjanaH VB-_2.282b
   tatrācaṣṭe yathārthatām Vp_2.349d	tatra-Acazwe yaTArTa-tAm Vp_2.349d
   tatrānumānād dvividhāt Vp_2.189c	tatra-anumAnAt dviviDAt Vp_2.189c
   tatrāntaraṅgasaṃskāro Vp_2.284c	tatra-antaraFga-saMskAraH Vp_2.284c
   tatrānyeṣam adarsanam Vp_2.67d	tatra-anyezam adarsanam Vp_2.67d
   tatrānyeṣāṃ viparyayaḥ Vp_1.75d	tatra-anyezAm viparyayaH Vp_1.75d
   tatrāpi ca pravṛttiś ca Vp_2.324c	tatra-api ca pravRttiH ca Vp_2.324c
   tatrāpi naiva sāvasthā Vp_3,3.22c	tatra-api na-eva sA-avasTA Vp_3,3.22c
   tatrāpi lakṣaṇārthatvād Vp_2.392c	tatra-api lakzaNa-arTa-tvAt Vp_2.392c
   tatrābhidhīyamānaḥ san Vp_3,7.157c	tatra-aBiDIyamAnaH san Vp_3,7.157c
   tatrāmnātā maharṣibhiḥ Vp_1.23b	tatra-AmnAtA mahA-RziBiH Vp_1.23b
   tatrepsitatamaṃ karma Vp_3,7.45c	tatra-Ipsitatamam karma Vp_3,7.45c
