   Śatagāthā	Śata gATA
   saṃjāyate labdhadhanaḥ sumartyaḥ supakvadhānyena samaṃ vinamraḥ // 94 //	saMjAyate labDa DanaH sumartyaH su pakva DAnyena samam vinamraH // 94 //
   nāsti prajñāsamaṃ cakṣurnāsti mohasamaṃ tamaḥ /	na asti prajQA samam cakzuH na asti moha samam tamaH /
   nāsti rogasamaḥ śatrurnāsti mṛtyusamaṃ bhayam // 95 //	na asti roga samaH SatruH na asti mRtyu samam Bayam // 95 //
   ata eva kaṭhorātimṛtyuḥ sambhāvyate dhruvam /	atas eva kaWora ati mRtyuH samBAvyate Druvam /
   kāmāccittamapāvṛtya saddharme 'pekṣyate spṛhā // 96 //	kAmAt cittam apAvRtya sadDarme apekzyate spRhA // 96 //
   guṇā guṇajñeṣu guṇā bhavanti te nirguṇaṃ prāpya bhavanti doṣāḥ /	guNAH guNa jQezu guNAH Bavanti te nirguNam prApya Bavanti dozAH /
   susvādu toyāḥ prabhavanti nadyaḥ samudramāsādya bhavantyapeyāḥ // 97 //	su svAdu toyAH praBavanti nadyaH samudram AsAdya Bavanti apeyAH // 97 //
   kāryamālocitāpāyaṃ matimadbhirviceṣṭitam /	kAryam AlA ucita apAyam matimadBiH vicezwitam /
   nāpattirbhavitā tatra jātā parihṛtāpi sā // 98 //	na ApattiH BavitA tatra jAtA parihRtA api sA // 98 //
   alpā dṛḍhā ye mṛdubhāṣiṇaśca tebhyo 'vadhānaṃ karaṇīyameva /	alpAH dRXAH ye mRdu BAziNaH ca teByaH avaDAnam karaNIyam eva /
   niryāti sūryaḥ saghanāddhi meghāt syāt tatprakāśastu tadātitīkṣṇaḥ // 99	niryAti sUryaH sa GanAt hi meGAt syAt tad prakASaH tu tadA atitIkzNaH // 99
   śāntipriyāḥ syuḥ khalu yauvane 'pi vaiduṣya evaṃ vinatā bhaveyuḥ /	SAnti priyAH syuH Kalu yOvane api vEduzyaH evam vinatA BaveyuH /
   sahiṣṇavastejasi cātinamrāḥ sudurlabhā evamarindamāḥ syuḥ // 100 //	sahizNavaH tejasi ca ati namrAH su durlaBAH evam arindamAH syuH // 100 //
   mleccheṣvapi samṛddhāḥ syurvīrā evaṃ paśuṣvapi /	mlecCezu api samRdDAH syuH vIrAH evam paSuzu api /
   vaktāraḥ sārthakoktīnāṃ sajjanāḥ syuḥ sudurlabhāḥ // 101 //	vaktAraH sArTa koktInAm sat janAH syuH su durlaBAH // 101 //
   sampaccalaṃ naśvarayauvanaṃ ca prāṇā bhaveyuryamadantamadhye /	sampad calam naSvara yOvanam ca prANAH BaveyuH yama danta maDye /
   upekṣate tatra sukhaṃ na ceha janaḥ prapātastha ivāsti cāndhaḥ // 102 //	upekzate tatra suKam na ca iha janaH prapAta sTaH iva asti ca anDaH // 102 //
   ye kleśarogiṇo bhuktvā na ca saddharmabheṣajam /	ye kleSa rogiNaH BuktvA na ca sat Darma Bezajam /
   pramattā viṣayāsaktā bhavābdhiṃ na taranti te // 103 //	pramattAH vizaya AsaktAH Bava abDim na taranti te // 103 //
   jagatā gatiśīlena śiraḥstho dṛśyate 'ntakaḥ /	jagatA gati SIlena SiraH sTaH dRSyate antakaH /
   tadāpriyaṃ bhavedannaṃ kriyāntarasya kā kathā // 104 //	tadA apriyam Bavet annam kriyA antarasya kA kaTA // 104 //
   pratīkṣate kriyāṇāṃ na pūrti cāpūrtimantakaḥ /	pratIkzate kriyANAm na pUrti ca apUrtim antakaH /
   śvastanaṃ cādya kuryācca pūrva madhyāhnikaṃ varam // 105 //	Svastanam ca adya kuryAt ca pUrva maDyAhnikam varam // 105 //
   asthiraṃ jīvanaṃ loke yauvanaṃ dhanamasthiraṃ /	asTiram jIvanam loke yOvanam Danam asTiram /
   asthiere putrapatnyau ca dharmasatyahitāḥ sthirāḥ // 106 //	asTiere putra patnyO ca Darma satyahitAH sTirAH // 106 //
   rājño 'tijīvitaṃ yuktaṃ drutamṛtyurvaraṃ ṛṣeḥ /	rAjQaH ati jIvitam yuktam druta mRtyuH varam RzeH /
   sato jīvanamanto vā varaṃ tvākheṭakasya na // 107 //	sataH jIvanamantaH vA varam tu AKewakasya na // 107 //
   ācāryavararucikṛtā śatagāthā samāptā /	AcArya vara ruci kRtA SatagATA samAptAH /
   gātheyaṃ bhāratīyopādhyāyavinayacandreṇa bhoṭadeśīya lokacakṣu bhikṣuṇā	gATA iyam BAratIya upADyAya vinaya candreNa Bowa deSIya loka cakzu BikzuNA
   dharmaprajñenānūditā nirṇītāceti /	Darma prajQena anUditA nirNIta Aca iti /
