   Kādambarīsvīkaraṇasūtramañjarī	KAt-ambarI-svIkaraNa-sUtramaQjarI
   avasthāyāṃ kaśyasvīkaraṇasyātyāvaśyakatvam sati pūrvarūpasaṃyoge	avasTAyAm kaSya-svIkaraNasya-ati-AvaSyaka-tvam sati pUrvarUpa-saMyoge
   tādṛgavasthāvatyāḥ yoṣāyāḥ saṃnidhāne satīti jñeyam || 17.2	tAdRS-avasTAvatyAH yozAyAH saMniDAne sati-iti jQeyam || 17.2
   * nanu dṛṣṭaprayojanam uddiśya svīkaraṇaṃ vidhīyate vā adṛṣṭaphalam	* nanu dRzwa-prayojanam uddiSya svIkaraNam viDIyate vE adRzwa-Palam
   uddiśya vā dṛṣṭaprayojanasyaivātrākāṅkṣitatvān nādṛṣṭaprayojanam uddiśyeti	uddiSya vA dRzwa-prayojanasya-eva-atra-AkAFkzita-tvAt na-adRzwa-prayojanam uddiSya-iti
   dṛṣṭaprayojanaṃ tu udañjidārḍhyapūrvarūpasya dṛṣṭaprayojanaṃ tu	dRzwa-prayojanam tu udaQji-dArXya-pUrvarUpasya dRzwa-prayojanam tu
   āsyorojādyavayaveṣu usrādhikyasyātyādhikyatvena saṃdarśanam etasya	Asyoroja-Adi-avayavezu usrADikyasya-ati-ADikya-tvena saMdarSanam etasya
   phalatritayasyānubhavārthaṃ dvitīyāvasthāvatā puruṣeṇa yoṣayā saha	Pala-tritayasya-anuBava-arTam dvitIya-avasTAvatA puruzeNa yozayA saha
   atyāvaśyakatvena sīdhugrahaṇaṃ rativilāsakāle sarvathaiva kartavyam ity	ati-AvaSyaka-tvena sIDu-grahaNam rati-vilAsa-kAle sarvaTA-eva kartavyam iti-
   arthaḥ || 17.3	arTaH || 17.3
   * saṃprasāraṇaviśiṣṭatīyapratyayasya prakṛtibhūtāyām avasthāyāṃ tu	* saMprasAraNa-viSizwatIya-pratyayasya prakRti-BUtAyAm avasTAyAm tu
   nātyāvaśyakam ity āha || 17.4]	na-ati-AvaSyakam iti Aha || 17.4]
   taditarāvasthāyāṃ tu nādhikārakatvam // 18	tad-itara-avasTAyAm tu na-aDikAraka-tvam // 18
   * taditarāvasthāyām iti || 18.1	* tad-itara-avasTAyAm iti || 18.1
   * diṣṭakanyayā vyāptāyām avasthāyām urojandhayāyām avasthāyāṃ ca tasya	* dizwa-kanyayA vyAptAyAm avasTAyAm urojanDayAyAm avasTAyAm ca tasya
   prāśane nādhikārikatvam iti || 18.2	prASane na-ADikArika-tvam iti || 18.2
   * ubhayatra hetutvena sūtradvayaṃ pradarśayati || 18.3]	* uBayatra hetu-tvena sUtra-dvayam pradarSayati || 18.3]
   ekatra parijñānābhāvāt // 19	ekatra parijQAna-aBAvAt // 19
   * ekatra parijñānābhāvād iti || 19.1	* ekatra parijQAna-aBAvAt iti || 19.1
   * ekatra paugaṇḍavayasaḥ puruṣakalpasya uttarasmin kāle upaśyāmayā	* ekatra pOgaNxa-vayasaH puruza-kalpasya uttarasmin kAle upaSyAmayA
   samīkṛte anehasi andhasaḥ rasasya retasaḥ paripakvatāyāḥ abhāvāt	samIkRte anehasi anDasaH rasasya retasaH paripakva-tAyAH aBAvAt-
   tādṛkkarmādhikāre nādhikāritā || 19.2]	tAdRS-karma-aDikAre na-aDikAri-tA || 19.2]
   itaratra pāñcabhautikāvayavānāṃ kṣīṇataratvāc ca // 20	itaratra pAQcaBOtika-avayavAnAm kzINatara-tvAt ca // 20
   * itaratreti || 20.1	* itaratra-iti || 20.1
   * jīrṇāvasthāyām api tadānīṃ diṣṭakanyayā saha atinarmavyavasāyena	* jIrNa-avasTAyAm api tadAnIm dizwa-kanyayA saha ati-narma-vyavasAyena
   sarvāsām indriyavṛttānāṃ svakīyapravṛttau kṣīṇataratvasya dṛśyamānatvān	sarvAsAm indriya-vRttAnAm svakIya-pravRttO kzINatara-tvasya dRSyamAna-tvAn
   nādhikārakatvam || 20.2	na-aDikAraka-tvam || 20.2
   * bālasya tathā jarāvataḥ puruṣasya ubhayoḥ narmakarmādhikāre	* bAlasya taTA jarAvataH puruzasya uBayoH narma-karma-aDikAre
   nādhikāriteti sūtradvayasya tātparyārthaḥ || 20.3	na-aDikAri-tA-iti sUtra-dvayasya tAtparya-arTaH || 20.3
   * kāraṇarūpopādhau satyāṃ kāryarūpasyopādheḥ anudarśanam iti nyāyena	* kAraNa-rUpa-upADO satyAm kArya-rUpasya-upADeH anudarSanam iti nyAyena
   padmāyāḥ anugraheṇa paripūritānāṃ sārvabhaumādīnām eva anayā puṣpadhanuṣaḥ	padmAyAH anugraheNa paripUritAnAm sArvaBOma-AdInAm eva anayA puzpa-DanuzaH
   saraṇyā anuvartanaṃ sārvakālikaṃ nityakarmādhikāravat yuktataraṃ nānyeṣām	saraNyAH anuvartanam sArvakAlikam nityakarma-aDikAra-vat yuktataram na-anyezAm
   iti prakaraṇopasaṃhāram anudarśayati || 20.4]	iti prakaraNa-upasaMhAram anudarSayati || 20.4]
   haripriyāvatāṃ janānām etac chākheṇānuvartanam atyāvaśyakam // 21	haripriyAvatAm janAnAm etat SAKeNa-anuvartanam ati-AvaSyakam // 21
   * haripriyāvatāṃ janānām iti || 21.1	* haripriyAvatAm janAnAm iti || 21.1
   * nanu ekatra vidhāne niṣedhavākyaṃ kutra vidhīyate ity uktaṃ cet	* nanu ekatra viDAne nizeDa-vAkyam kutra viDIyate iti uktam ced-
   pūrvoktajanapratiyogikeṣu pravartate ity āśayenāha || 21.2]	pUrva-ukta-jana-pratiyogikezu pravartate iti ASayena-Aha || 21.2]
   taditareṣām etacchākhe pravṛttir na vidhīyate // 22	tad-itarezAm etad-SAKe pravRttiH na viDIyate // 22
   * taditareṣām iti || 22.1	* tad-itarezAm iti || 22.1
   * kṣīrodajāyāḥ vibhavena rahitānām ity arthaḥ || 22.2	* kzIroda-jAyAH viBavena rahitAnAm iti arTaH || 22.2
   * nanu atyāvaśyakatvena īdṛkkarmavidhānaṃ kutrābhivyāptam iti cet tat	* nanu ati-AvaSyaka-tvena IdRkkarma-viDAnam kutra-aBivyAptam iti ced tat-
   sthānaṃ saṃpradarśayati || 22.3]	sTAnam saMpradarSayati || 22.3]
   pāriśeṣyāj jaladhisambhavayā yukteṣv etac chāstrasya pravṛttiḥ // 23	pAriSezyAt jalaDi-samBavayA yuktezu etat SAstrasya pravRttiH // 23
   * pāriśeṣyād iti || 23.1	* pAriSezyAt iti || 23.1
   * pariśeṣasya bhāvaḥ pāriśeṣyaṃ tasmāt niṣedhavyāptyā rahitāt	* pariSezasya BAvaH pAriSezyam tasmAt nizeDa-vyAptyA rahitAt-
   pārāvāratanūjayā saṃyukteṣv eva kāpi śāyanasvīkaraṇaśāstrasya pravṛttiḥ	pArAvAra-tanUjayA saMyuktezu eva kA-api SAyana-svIkaraNa-SAstrasya pravRttiH
   anirvacanīyānandabodhāya pravartata ity arthaḥ || 23.2	anirvacanIya-Ananda-boDAya pravartate iti arTaH || 23.2
   * matāntaram anudiśati || 23.3]	* mata-antaram anudiSati || 23.3]
   gotrāpatyaghasre anutarṣasvīkaraṇasyātyāvaśyakatvam iti mārkaṇḍeyādiḥ //	gotra-apatya-Gasre anutarza-svIkaraNasya-ati-AvaSyaka-tvam iti mArkaNxeya-AdiH //
   * gotrāpatyaghasreṣv iti || 24.1	* gotra-apatya-Gasrezu iti || 24.1
   * gotrāyāḥ apatyaṃ tasya ghasraṃ dinaṃ tasmin dine anutarṣasvīkaraṇam iti	* gotrAyAH apatyam tasya Gasram dinam tasmin dine anutarza-svIkaraNam iti
   mṛkaṇḍatanūjasya matam || 24.2	mRkaNxa-tanUjasya matam || 24.2
   * taditareṣāṃ matam uttarasūtreṇānudarśayati || 24.3]	* tad-itarezAm matam uttara-sUtreNa-anudarSayati || 24.3]
   kāvyaghasreṣv atyāvaśyakatamam iti surathavaiśyau // 25	kAvya-Gasrezu atyAvaSya-katamam iti suraTa-vESyO // 25
   * kāvyaghasreṣv iti || 25.1	* kAvya-Gasrezu iti || 25.1
   * śukro daityaguruḥ kāvya iti kośābhidhānāt ghasro dināhanī vā tv ity	* SukraH dEtya-guruH kAvyaH iti koSa-aBiDAnAt GasraH dina-ahanI vA tu iti-
   amaraḥ || 25.2	amaraH || 25.2
   * surathādaya iti ādiśabdena vaiśyasya saṃgrahaḥ || 25.3	* suraTa-AdayaH iti Adi-Sabdena vESyasya saMgrahaH || 25.3
   * niyamavidheḥ tātparyārthaṃ saṃpradarśayati || 25.4]	* niyama-viDeH tAtparya-arTam saMpradarSayati || 25.4]
   vākyadvayasya śaktyupāsanāvatāṃ viniyogāt // 26	vAkya-dvayasya Sakti-upAsanAvatAm viniyogAt // 26
   taditareṣāṃ yathākālopadeśaḥ // 27	tad-itarezAm yaTAkAla-upadeSaH // 27
   * vākyadvayasyeti || 27.1	* vAkya-dvayasya-iti || 27.1
   * śaktyupāsanāvatām evāyaṃ niyamaḥ yat ghasradvaye 'py anuvartanaṃ	* Sakti-upAsanAvatAm eva-ayam niyamaH yat Gasra-dvaye api anuvartanam
   taditareṣāṃ janānāṃ pralambaghnamatānuyāyināṃ tu yathākālopadeśa iti na	tad-itarezAm janAnAm pralamba-Gna-mata-anuyAyinAm tu yaTAkAla-upadeSaH iti na
   ghasradvaye parisaṃkhyānam ity arthaḥ || 27.2	Gasra-dvaye parisaMKyAnam iti arTaH || 27.2
   * kiṃca || 27.3]	* kiMca || 27.3]
   dvitīyavarṇe sārvakālikam abhyanujñānam // 28	dvitIya-varNe sArvakAlikam aByanujQAnam // 28
   * dvitīyavarṇe iti || 28.1	* dvitIya-varNe iti || 28.1
   * kṣatrajātau dvitīyavarṇe kāpiśāyanasvīkaraṇavidhānaṃ sārvakālikaṃ	* kzatra-jAtO dvitIya-varNe kApiSAyana-svIkaraNa-viDAnam sArvakAlikam
   tāmasīprakṛteḥ upāsanādhikāravatāṃ nirantaraṃ kādambarasvīkaraṇaṃ	tAmasI-prakRteH upAsana-aDikAravatAm nirantaram kAdambara-svIkaraNam
   kartavyatvenābhimatam || 28.2	kartavya-tvena-aBimatam || 28.2
   * aparokṣānubhavena tatsvarūpānudarśane upādānakāraṇatvāt ātmabhuvaḥ tanoḥ	* aparokza-anuBavena tad-svarUpa-anudarSane upAdAnakAraNa-tvAt Atma-BuvaH tanoH
   upāsanādhikāravat na ghasrayoḥ anuvartanam || 28.3	upAsana-aDikAra-vat na GasrayoH anuvartanam || 28.3
   * aupadeśikavarṇasya niyamavidhānaṃ vidadhāti || 28.4]	* OpadeSika-varNasya niyama-viDAnam vidaDAti || 28.4]
   yāgahetunā prathamavarṇasya yathāvācanikābhyanujñānam // 29	yAga-hetunA praTama-varNasya yaTA-vAcanika-aByanujQAnam // 29
   * yāgahetuneti || 29.1	* yAga-hetunA-iti || 29.1
   * vājapeye surāgrahān gṛhṇāti sautrāmaṇyāṃ surāgrahān gṛhṇātīti	* vAjapeye surA-grahAn gRhNAti sOtrAmaNyAm surA-grahAn gRhNAti-iti
   vākyadvayena prathamavarṇikasya yathāvācanikam eva grahaṇaprāśaneṣu	vAkya-dvayena praTama-varNikasya yaTA-vAcanikam eva grahaNaprASanezu
   ādhikāriko vidhiḥ || 29.2	ADikArikaH viDiH || 29.2
   * tathā cāyam arthaḥ vājapeye tu grahaṇamātrasyaivābhyanujñānaṃ	* taTA ca-ayam arTaH vAjapeye tu grahaNa-mAtrasya-eva-aByanujQAnam
   prāśanābhyanujñānaṃ tu tṛtīyavarṇasyaiva tathā cānuśravikavākyaṃ vimāthaṃ	prASana-aByanujQAnam tu tRtIya-varNasya-eva taTA ca-AnuSravika-vAkyam vimATam
   kurvate vājasṛta iti || 29.3	kurvate vAjasRtaH iti || 29.3
   * sautrāmaṇyāṃ tu yāgakartur eva prāśanaṃ nigamavākyenābhidhīyate	* sOtrAmaNyAm tu yAga-kartuH eva prASanam nigama-vAkyena-aBiDIyate
   netareṣām ṛtvijām tatrāpy āghrāṇenaiva prāśanapratipattir iti matāntaram	na-itarezAm RtvijAm tatra-api AGrANena-eva prASana-pratipattiH iti mata-antaram
   iti ṛṣyantarāṇāṃ vacanam iti || 29.4	iti Rzi-antarANAm vacanam iti || 29.4
   * sārvakālikābhyanujñānaṃ tu rasādhipatīnām eva nānyeṣāṃ janānām iti	* sArvakAlika-aByanujQAnam tu rasa-aDipatInAm eva na-anyezAm janAnAm iti
   prakaraṇārtham upasaṃharati || 29.5]	prakaraNa-arTam upasaMharati || 29.5]
   khaṇḍamaṇḍalādhipatyādīnām indirāvatāṃ janānām api sīdhugrahaṇasya vilāsaḥ	KaNxa-maNxala-aDipati-AdInAm indirAvatAm janAnAm api sIDu-grahaNasya vilAsaH
   sārvakālikaḥ // 30	sArvakAlikaH // 30
   * khaṇḍamaṇḍalādhipatyādīnām iti || 30.1	* KaNxa-maNxala-aDipati-AdInAm iti || 30.1
   * alpaviṣayasya śāsanakartṇāṃ rājñāṃ lokamātur anugraheṇa paripūritānāṃ	* alpa-vizayasya SAsana-kartNAm rAjQAm lokamAtuH anugraheNa paripUritAnAm
   sīdhugrahaṇena vilāsānubhavaḥ vilāsānām anubhavanaṃ sārvakālikam na	sIDu-grahaNena vilAsa-anuBavaH vilAsAnAm anuBavanam sArvakAlikam na
   surathavaiśyādīnāṃ matam anusṛtya pravartanam ity arthaḥ || 30.2	suraTa-vESya-AdInAm matam anusRtya pravartanam iti arTaH || 30.2
   * yuvatīnāṃ prāśane niyamavidhiṃ saṃpradarśayati || 30.3]	* yuvatInAm prASane niyama-viDim saMpradarSayati || 30.3]
   svakīyapriyasāhacaryeṇa yuvatīnām abhyanujñānam // 31	svakIya-priya-sAhacaryeNa yuvatInAm aByanujQAnam // 31
   * svakīyapriyasāhacaryeṇeti || 31.1	* svakIya-priya-sAhacaryeNa-iti || 31.1
   * nidhuvanakāle eva svapatibhiḥ sārdhaṃ kādambarasvīkaraṇasyābhyanujñānaṃ	* niDuvana-kAle eva sva-patiBiH sArDam kAdambara-svIkaraNasya-aByanujQAnam
   netarāvasthāyāṃ kutaḥ upayogābhāvāt niṣphalaprayāse svīkaraṇasya	na-itara-avasTAyAm kutas upayoga-aBAvAt nizPala-prayAse svIkaraNasya
   vaiyarthyāpatteḥ || 31.2	vEyarTya-ApatteH || 31.2
   * niyamavidhāv api kiṃcid viśeṣāntaram anubadhnāti || 31.3]	* niyama-viDO api kiMcid viSeza-antaram anubaDnAti || 31.3]
   tatrāpy ananyajamakheṣv eva netaratra vidhānam // 32	tatra-api ananyaja-maKezu eva na-itaratra viDAnam // 32
   * tatrāpi ananyajamakheṣv eveti || 32.1	* tatra-api ananyaja-maKezu eva-iti || 32.1
   * ananyajena kriyamāṇeṣu makheṣv eva atyāvaśyakatvena	* ananyajena kriyamANezu maKezu eva ati-AvaSyaka-tvena
   anutarṣasvīkaraṇavidhānaṃ netaratra tadatiriktakāleṣv iti || 32.2	anutarza-svIkaraNa-viDAnam na-itaratra tad-atirikta-kAlezu iti || 32.2
   * yoṣāyāḥ atra yoṣāsaṃgraheṇa upaśyāmādīnām eva saṃgrahaḥ na	* yozAyAH atra yozA-saMgraheNa upaSyAma-AdInAm eva saMgrahaH na
   vibhraṃśitadvitīyāvasthānām āsyapadmena prāśanaṃ tu	viBraMSita-dvitIya-avasTAnAm Asya-padmena prASanam tu
   atyutkṛṣṭaphalaviśeṣāntaraṃ niścitya atyāvaśyakatvena prāśanam	ati-utkRzwa-Pala-viSeza-antaram niScitya ati-AvaSyaka-tvena prASanam
   anudarśayati || 32.3]	anudarSayati || 32.3]
   yoṣāyāḥ āsyapadmena prāśanaṃ bhāṣāyāḥ prabodhe avyabhicaritakāraṇam // 33	yozAyAH Asya-padmena prASanam BAzAyAH praboDe avyaBicarita-kAraNam // 33
   * yoṣāyāḥ āsyapadmeneti || 33.1	* yozAyAH Asya-padmena-iti || 33.1
   * yoṣāyāḥ āsyapadmena prāśane kriyamāṇe yathecchikī bhāṣāyāḥ anusphurtir	* yozAyAH Asya-padmena prASane kriyamANe yaTecCikI BAzAyAH anusPurtiH-
   bhavatīty arthaḥ || 33.2	Bavati-iti arTaH || 33.2
   * anena vākyena śravaṇādivyavasāyarahite 'pi jane niṣprayāsenaiva	* anena vAkyena SravaNa-Adi-vyavasAya-rahite api jane nizprayAsena-eva
   tridaśānāṃ gīḥ svamukhāt prādurbhūyata ity arthaḥ || 33.3	tridaSAnAm gIH sva-muKAt prAdurBUyate iti arTaH || 33.3
   * anyad apy utkṛṣṭataraṃ phalaviśeṣāntaraṃ svīkāramātreṇa saṃpradarśayati	* anyat api utkRzwataram Pala-viSeza-antaram svIkAra-mAtreNa saMpradarSayati
   śyāmāyā āsyasahasrapattrād anuprāśanam aparokṣānubhavena mūlaprakṛteḥ	SyAmAyAH Asya-sahasra-pattrAt anuprASanam aparokza-anuBavena mUlaprakRteH
   svarūpasyānudarśanam // 34	svarUpasya-anudarSanam // 34
   * śyāmāyā āsyasahasrapattrād iti || 34.1	* SyAmAyAH Asya-sahasra-pattrAt iti || 34.1
   * śyāmāyāḥ kamalaprasūnāt anuprāśanaṃ pratyakṣānubhavena sākṣāt	* SyAmAyAH kamala-prasUnAt anuprASanam pratyakza-anuBavena sAkzAt-
   mūlaprakṛteḥ svarūpānudarśane hetuḥ kāraṇam iti tayā saha saṃprāśane	mUlaprakRteH svarUpa-anudarSane hetuH kAraNam iti tayA saha saMprASane
   kriyamāṇe kṛtsnasya prapañcasya kāraṇabhūtāyāḥ mūlaprakṛteḥ sākaṃ saṃgato	kriyamANe kRtsnasya prapaQcasya kAraNa-BUtAyAH mUlaprakRteH sAkam saMgataH-
   bhavati || 34.2	Bavati || 34.2
   * yad vā tatsvarūpaṃ sākṣād avyavadhānena paśyatīty arthaḥ || 34.3	* yat vA tad-svarUpam sAkzAt avyavaDAnena paSyati-iti arTaH || 34.3
   * anena vākyena sāyujyādikaṃ phalam api nirāyāsena prāpnotīty arthaḥ ||	* anena vAkyena sAyujya-Adikam Palam api nirAyAsena prApnoti-iti arTaH ||
   * ratikāle sīdhupānaṃ kartavyaṃ vidhibodhitam || 34.5	* rati-kAle sIDu-pAnam kartavyam viDi-boDitam || 34.5
   * tat purastāt kāmaśāstre proktaṃ krīḍānuvarṇanam || 34.6	* tat purastAt kAmaSAstre proktam krIxA-anuvarNanam || 34.6
   * tat sarvaṃ tu prakartavyaṃ yoṣāyāḥ sukhalabdhaye || 34.7	* tat sarvam tu prakartavyam yozAyAH suKa-labDaye || 34.7
   * svasyāpi sukhabodhāya apatyotpattihetave || 34.8	* svasya-api suKa-boDAya apatya-utpatti-hetave || 34.8
   * phaladvayaṃ sa prāpnoti prajāṃ kāmasukhaṃ tathā || 34.9	* Pala-dvayam sa prApnoti prajAm kAma-suKam taTA || 34.9
   * urvaśīlokam āpnoti antakāle tu saḥ pumān || 34.10	* urvaSI-lokam Apnoti antakAle tu saH pumAn || 34.10
   * iti śrīmahārājarṣivaryeṇa purūravasā viracitaṃ kāmijanānāṃ vinodāya	* iti SrI-mahArAja-Rzi-varyeNa purUravasA viracitam kAmi-janAnAm vinodAya
   rativilāsāṅgabhūtaṃ kādambarasvīkaraṇasūtraṃ savyākhyānaṃ samāptim agamat	rati-vilAsa-aFga-BUtam kAdambara-svIkaraNa-sUtram savya-AKyAnam samAptim agamat-
