   pāpaśodhanaṃ aṣṭamaḥ paricchedaḥ |	pApa-SoDanam azwamaH paricCedaH |
   paśyator mātāpitror na svasaukhyasaṃgo dṛṣṭaḥ svânurūpakṛpāvaśāt |	paSyatoH mAtA-pitroH na sva-sOKya-saMgaH dRzwaH svânurUpa-kRpA-vaSAt |
   pracchannas tarhi sasvāmikāsu nisvāmikāsu bāhuladharmadhvajarakṣitāsu	pracCannaH tarhi sa-svAmikAsu nisvAmikAsu bAhula-Darma-Dvaja-rakzitAsu
   kāmamithyâcāro na syāt |	kAmamiTyâcAraH na syAt |
   sati satvârthe satvânupaghāte cânubandhaṃ nirūpyâdoṣaḥ	sati satu-ârTe satvânupaGAte cânubanDam nirUpyâ-dozaH
   [ Cambridge MS f80b ---> ]	[ Cambridge M f80B ---> ]
   samyagbrahmacāriṇīṣu kṛtârthatvād dūrāt parihāraḥ |	samyak-brahmacAriNIzu kRtârTa-tvAt dUrAt parihAraH |
   pūjyā ca mātṛbhaginy-ādivat |	pUjyA ca mAtR-Bagini--Adi-vat |
   evaṃ tarhi bhikṣor apy evam āpannaṃ |	evam tarhi BikzoH api evam Apannam |
   na tasyâpareṇa brahmacaryaprakāreṇa satvârthasādhanāt ||	na tasyâpareNa brahmacarya-prakAreNa satu-ârTa-sADanAt ||
   [ Bendall ed p167 ---> ]	[ Bet-dalt ed p167 ---> ]
   tathā hy uktam āryâkṣayamatisūtre |	taTA hi uktam Aryâ-kzayam-ati-sUtre |
   kālâkāle punar anenôpekṣā karaṇīyêti ||	kAlâ-kAle punar anenôpekzA karaNIyêti ||
   atha tato 'py adhikaṃ satvârthaṃ paśyet |	aTa tatas api aDikam satvârTam paSyet |
   śikṣāṃ nikṣipet ||	SikzAm nikzipet ||
   upāyakauśalyasūtre jyotirmāṇavakaṃ dvācatvāriṃśadvarṣasahasrabrahmacāriṇam	upAya-kOSalya-sUtre jyotiH-mANavakam dvAcatvAriMSat-varza-sahasra-brahmacAriNam
   adhikṛtya saptame pade sthitasya kāruṇyam utpadyeta |	aDikRtya saptame pade sTitasya kAruNyam utpadyeta |
   kiṃ câpy aham idaṃ vrataṃ khaṇḍayitvā nirayaparāyaṇaḥ syāṃ |	kim ca-ipi aham idam vratam KaNxayitvA niraya-parAyaNaH syAm |
   tathâpy utsahe 'haṃ nairayikaṃ duṣkhaṃ prativedayitum atha cêyaṃ strī	taTâpi utsahe aham nErayikam duzKam prativedayitum aTa cêyam strI
   sukhitā bhavatu |	suKitA Bavatu |
   mā kālaṃ karotu |	mA kAlam karotu |
   iti hi kulaputra jyotirmāṇavakaḥ paścānmukho nivartya tāṃ striyaṃ	iti hi kula-putra jyotiH-mANavakaH paScAt-muKaH nivartya tAm striyam
   dakṣiṇena pāṇinā gṛhītvâivam āha |	dakziNena pANinA gRhItvâivam Aha |
   uttiṣṭha bhagini yathākāmakaraṇīyas te bhavāmîti ||	uttizWa Bagini yaTAkAma-karaNIyaH te BavAmîti ||
   pe ||	pe ||
   so 'haṃ kulaputra mahākāruṇyacittôtpādenêtvareṇa kāmôpasaṃhitena	saH aham kula-putra mahA-kAruNya-cittôt-pAdenêtvareNa kAmôpa-saMhitena
   daśakalpasahasrāṇi paścānmukham akārṣam |	daSa-kalpa-sahasrANi paScAt-muKam akArzam |
   paśya kulaputra yad anyeṣāṃ nirayasaṃvartanīyaṃ karma |	paSya kula-putra yat anyezAm niraya-saMvartanIyam karma |
   tad upāyakuśalasya bodhisatvasya brahmalokôpapattisaṃvartanīyam iti ||	tat upAya-kuSalasya boDisatvasya brahma-lokôpapatti-saMvartanIyam iti ||
   punar atrâivâha |	punar atrâivâha |
   yadi bodhisatvâikasya satvasya kuśalamūlaṃ saṃjanayet tathārūpāṃ câpattim	yadi boDisatvâikasya satvasya kuSala-mUlam saMjanayet taTArUpAm câpattim
   āpadyeta yathārūpayâpattyâpannayā kalpaśatasahasraṃ niraye pacyeta |	Apadyeta yaTArUpayâpatti-âpannayA kalpa-Sata-sahasram niraye pacyeta |
   utsoḍhavyam eva bhagavan bodhisatvenâpattim āpattuṃ tac ca nairayikaṃ	utsoXavyam eva Bagavan boDisatvenâpattim Apattum tat ca nErayikam
   duṣkhaṃ |	duzKam |
   na tv eva tasyâikasay satvasya kuśalaṃ parityaktum iti ||	na tu eva tasyâika-say satvasya kuSalam parityaktum iti ||
   punar atrâivâha |	punar atrâivâha |
   iha kulaputrôpāyakuśalo bodhisatvo yadā kadācit kasmiṃścit	iha kula-putrô-pAya-kuSalaH boDisatvaH yadA kadAcid kasmiMScid-
   pāpamitravaśenâpattim āpadyeta |	pApa-mitra-vaSenâpattim Apadyeta |
   sêtaḥ pratisaṃśikṣate |	sêtaH pratisaMSikzate |
   na mayâibhiḥ skandhaiḥ parinirvāpayitavyaṃ |	na mayâiBiH skanDEH parinirvApayitavyam |
   mayā punar evaṃ saṃnāhaḥ saṃnaddhavyaḥ |	mayA punar evam saMnAhaH saMnadDavyaH |
   aparântakoṭiḥ saṃsaritavyā satvānāṃ paripācanahetor iti |	aparânta-kowiH saMsaritavyA satvAnAm paripAcana-hetoH iti |
   na mayā cittadāhaḥ karaṇīyo |	na mayA citta-dAhaH karaNIyaH |
   yathā yathā saṃsariṣyāmi tathā tathā satvān paripācayiṣyāmi |	yaTA yaTA saMsarizyAmi taTA taTA satvAn paripAcayizyAmi |
   api tv etāṃ câpattiṃ yathādharmaṃ pratikariṣyāmi |	api tu etAm câpattim yaTADarmam pratikarizyAmi |
   āyatyāṃ saṃvaram āpatsye |	AyatyAm saMvaram Apatsye |
   sacet kulaputra pravrajito bodhisatvaḥ parikalpam ādā-	saced kula-putra pravrajitaH boDisatvaH parikalpam AdA-
   [ Cambridge MS f81a ---> ]	[ Cambridge M f81aH ---> ]
   ya sarvāś catasro mūlâpattīr atikramed anena côpāyakauśalyena vinodayed |	ye sarvAH catasraH mUlâpattIH atikramet anena cô-pAya-kOSalyena vinodayet |
   anāpattiṃ bodhisatvasya vadāmîti ||	anApattim boDisatvasya vadAmîti ||
   [ Bendall ed p168 ---> ]	[ Bet-dalt ed p168 ---> ]
   sphuṭaṃ câryaratnameghe ānantaryacikīrṣupuruṣamāraṇânujñānāt ||	sPuwam cârya-ratna-meGe Anantarya-cikIrzu-puruza-mAraNâ-nu-jQAnAt ||
   śrāvakavinaye 'pi mūlâpattisthānae eva kāruṇyān mṛgâdimokṣaṇe 'nāpattir	SrAvaka-vinaye api mUlâpatti-sTAnae eva kAruNyAt mRgâdimokzaNe anApattiH-
   uktâiva ||	uktâiva ||
   ayaṃ ca rāge guṇo yad bodhisatve rāgam utpādya sugatir labhyate |	ayam ca rAge guNaH yat boDisatve rAgam utpAdya sugatiH laByate |
   na tu krodhena ||	na tu kroDena ||
   yathôktam upāyakauśalyasūtre |	yaTôktam upAya-kOSalya-sUtre |
   priyaṃkare bodhisatve raktā ... dhavyottarāṃ dārikām adhikṛtya |	priyaMkare boDisatve raktAH ... Davya-uttarAm dArikAm aDikRtya |
   priyaṃkarasya praṇidheḥ punaḥ punar yêstri prekṣeta sarāgacittā |	priyaMkarasya praNiDeH punar punar yêstri prekzeta sa-rAga-cittAH |
   sêstribhāvaṃ parivarjayitvā puruṣo bhavet yādṛg udārasatvaḥ ||	sêH-tri-BAvam parivarjayitvA puruzaH Bavet yAdRS udAra-satvaH ||
   paśyasvânanda guṇâsyêdṛśāḥ |	paSyasvâ-nanda guNâsyêdRSAH |
   yenânyasatvā nirayam vrajanti |	yenânyasatvAH nirayam vrajanti |
   tenâiva śūreṣu janitva rāgaṃ gacchanti svargaṃ puruṣatvam eva ca ||	tenâiva SUrezu janitva rAgam gacCanti svargam puruza-tvam eva ca ||
   pe ||	pe ||
   bhaiṣajyarājeṣu mahāyaśeṣu |	BEzajya-rAjezu mahA-yaSezu |
   ko bodhisatveṣu janayeta dveṣam |	kaH boDisatvezu janayeta dvezam |
   yesāṃ kileśo 'pi sukhasya dāyakaḥ |	yesAm kila-ISaH api suKasya dAyakaH |
   kiṃ vā punar yaḥ tān satkareyā |	kim vA punar yaH tAn satkareyAH |
   iti ||	iti ||
   evam anyasmin satvârthôpāye sati rāgajâpattir anāpattir uktā ||	evam anyasmin satvârTô-pAye sati rAgajâpattiH anApattiH uktAH ||
   upāyakauśalyasūtre ca gaṇikāvat kṛtârtho bodhisatvo nirapekṣas taṃ satvaṃ	upAya-kOSalya-sUtre ca gaNikA-vat kRtârTaH boDisatvaH nirapekzaH tam satvam
   tyajatîti vistareṇôktam ||	tyajatîti vistareNôktam ||
   alabdhabhūmeś ca ṣaṭpāramitāsu caritavatêyaṃ cintā |	alabDa-BUmeH ca zaz-pAramitAsu caritavatêyam cintA |
   nêtarasyêty āstāṃ prāsaṅgikam ||	nêtarasi-êti AstAm prAsaFgikam ||
   tasmād dveṣasyâvakāśo na deya |	tasmAt dvezasi-âvakASaH na deyaH |
   uktaṃ hy upāliparipṛcchāyāṃ |	uktam hi upAli-paripRcCAyAm |
   bodhisatvānāṃ śāriputra dve mahāsâvadye āpattī |	boDisatvAnAm SAriputra dve mahA-sâvadye ApattI |
   katame dve |	katame dve |
   dveṣasahagatā mohasahagatā cêti |	dveza-sahagatA moha-sahagatA cêti |
   tatra śāriputra prathamā	tatra SAriputra praTamA
   [ Bendall ed p169 ---> ]	[ Bet-dalt ed p169 ---> ]
   āpattir daśavarge ṛjukena deśayitavyā |	ApattiH daSa-varge Rjukena deSayitavyA |
   hastâpattiḥ pañca varge gurvī deśayitavyā |	hastâpattiH paQca varge gurvI deSayitavyA |
   striyā hastagrahaṇaṃ cakṣurdarśanaṃ |	striyAH hasta-grahaNam cakzuH-darSanam |
   duṣṭacittâpattir ekapudgalasya dvayor vā śāriputra tāṃ gurvīṃ daśayet |	duzwa-cittâpattiH eka-pudgalasya dvayoH vA SAriputra tAm gurvIm daSayet |
   pañcânantaryasamanvāgatâpattir bodhisatvena stry-āpattir dārikâpattir	paQcânantarya-samanvAgatâpattiH boDisatvena strI--ApattiH dArikâpattiH-
   hastâpattiḥ stūpâpattiḥ saṃghâpattis tathânyāś câpattayo bodhisatvena na	hastâpattiH stu-upâpattiH saMGâpattiH taTânyAH câpattayaH boDisatvena na
   pañcatriṃśatāṃ buddhānāṃ bhagavatām antike rātriṃdivaṃ ekākinā gurvyo	paQcatriMSatAm budDAnAm BagavatAm antike rAtriMdivam ekAkinA gurvyaH-
   deśayitavyāḥ ||	deSayitavyAH ||
   tatrêyaṃ deśanā |	tatrêyam deSanA |
   aham evaṃnāmā buddhaṃ śaraṇaṃ gacchāmi |	aham evaMnAmA budDam SaraNam gacCAmi |
   dharmaṃ śaraṇaṃ gacchāmi |	Darmam SaraNam gacCAmi |
   saṃghaṃ śaraṇaṃ gacchāmi ||	saMGam SaraNam gacCAmi ||
   namaḥ śākyamunaye tathāgatāyârhate samyaksaṃbuddhāya |	namaH SAkya-munaye taTAgatAyârhate samyaksaMbudDAya |
   namo vajrapramardine |	namaH vajra-pramardine |
   namo ratnârciṣe |	namaH ratnârcize |
   namo nāgêśvararājāya |	namaH nAgêSvara-rAjAya |
   namo vīrasenāya |	namaH vIrasenAya |
   namo vīranandine |	namaH vIra-nandine |
   namo ratnaśriye |	namaH ratna-Sriye |
   namo ratnacandraprabhāya |	namaH ratna-candra-praBAya |
   namo 'moghadarśine |	namaH amoGa-darSine |
   namo ratnacandrāya |	namaH ratnacandrAya |
   namo nirmalāya |	namaH nirmalAya |
   namo vimalāya |	namaH vimalAya |
   namaḥ śūradattāya |	namaH SUra-dattAya |
   namo brahmaṇe |	namaH brahmaNe |
   namo brahmadattāya |	namaH brahmadattAya |
   namo varuṇāya |	namaH varuNAya |
   namo varuṇadevāya |	namaH varuNa-devAya |
   namo bhadraśriye |	namaH BadraSriye |
   namaś chandanaśriye |	namaH Candana-Sriye |
   namo 'nantâujase |	namaH anantâujase |
   namaḥ prabhāsaśriye	namaH praBAsa-Sriye
   [ Cambridge MS f81b ---> ]	[ Cambridge M f81B ---> ]
   namo 'śokaśriye |	namaH aSoka-Sriye |
   namo nārāyaṇāya |	namaH nArAyaNAya |
   namaḥ kusumaśriye |	namaH kusuma-Sriye |
   namo brahmajyotirvikrīḍitâbhijñāya tathāgatāya |	namaH brahmajyotiH-vikrIxitâBijQAya taTAgatAya |
   namo dhanaśriye |	namaH Dana-Sriye |
   namaḥ smṛtiśriye |	namaH smRti-Sriye |
   namaḥ suparikīrtitanāmadheyaśriye |	namaH su-parikIrtita-nAmaDeya-Sriye |
   namêndraketudhvajarājāya |	namêndra-ketu-Dvaja-rAjAya |
   namaḥ suvikrāntaśriye |	namaH su-vikrAnta-Sriye |
   namo vicitrasaṃkramāya |	namaH vicitra-saMkramAya |
   namo vikrāntagāmine |	namaH vikrAnta-gAmine |
   namaḥ samantâvabhāsavyūhaśriye |	namaH samantâva-BAsa-vyUha-Sriye |
   namo ratnapadmavikrāmiṇe |	namaH ratna-padma-vikrAmiNe |
   namo ratnapadmasupratiṣṭhitaśailêndrarājāya tathāgatāyârhate	namaH ratna-padma-su-pratizWita-SElêndra-rAjAya taTAgatAyârhate
   samyaksaṃbuddhāya ||	samyaksaMbudDAya ||
   evaṃpramukhā yāvantaḥ sarvalokadhātuṣu tathāgatârha-	evaMpramuKAH yAvantaH sarva-loka-DAtuzu taTAgatârha-
   [ Bendall ed p170 ---> ]	[ Bet-dalt ed p170 ---> ]
   ntaḥ samyaksaṃbuddhās tiṣṭhanti dhriyante yāpayanti |	ntaH samyaksaMbudDAH tizWanti Driyante yApayanti |
   te māṃ samanvāharantu buddhā bhagavanto yan mayâsyāṃ jātau anyāsu vā	te mAm samanvAharantu budDAH BagavantaH yat mayâsyAm jAtO anyAsu vA
   jātiṣv anavarâgre jātisaṃsāre saṃsaratā [[DOUBT]] pāpakaṃ karma kṛtaṃ syāt	jAtizu anavarâgre jAti-saMsAre saMsaratA [[DOUBT]] pApakam karma kRtam syAt-
   kāritaṃ vā kriyamāṇaṃ vânumoditaṃ bhavet |	kAritam vA kriyamANam vânumoditam Bavet |
   staupikaṃ vā sāṅghikaṃ vā dravyam apahṛtaṃ syāt hāritaṃ vā hriyamāṇaṃ	stOpikam vA sa-aFGikam vA dravyam apahRtam syAt hAritam vA hriyamANam
   vânumoditaṃ bhavet |	vânumoditam Bavet |
   pañcânantaryāṇi kṛtāni syuḥ kāritāni vā kriyamāṇāni vânumoditāni bhaveyuḥ	paQcânantaryANi kRtAni syuH kAritAni vA kriyamANAni vânumoditAni BaveyuH
   daśâkuśalān karmapathān samādāya vartitaṃ syāt pare vā samādāpitāḥ syur	daSâ-kuSalAn karma-paTAn samAdAya vartitam syAt pare vA samAdApitAH syuH-
   vartamānā vânumoditā bhaveyur yena karmâvaraṇenâvṛto 'haṃ nirayaṃ vā	vartamAnAH vânumoditAH BaveyuH yena karmâ-varaNenâvRtaH aham nirayam vA
   gaccheyaṃ tiryagyoniṃ vā yamaviṣayaṃ vā gaccheyaṃ pratyantajanapadeṣu	gacCeyam tiryagyonim vA yama-vizayam vA gacCeyam pratyanta-janapadezu
   mleccheṣu vā pratyājāyeyaṃ dīrghâyuṣkeṣu deveṣûpapadyeyam indriyavikalatāṃ	mlecCezu vA pratyAjAyeyam dIrGâ-yuzkezu devezûpapadyeyam indriya-vikalatAm
   vâdhigaccheyaṃ mithyādṛṣṭiṃ vôpagṛhṇīyāṃ buddhôtpādaṃ vā virāgayeyaṃ |	vâDi-gacCeyam miTyA-dRzwim vôpagRhNIyAm budDôt-pAdam vA virAgayeyam |
   tat sarvaṃ karmâvaraṇaṃ teṣāṃ buddhānāṃ bhagavatāṃ jñānabhūtānāṃ	tat sarvam karmâ-varaNam tezAm budDAnAm BagavatAm jQAna-BUtAnAm
   cakṣurbhūtānāṃ sâkṣibhūtānāṃ pramāṇabhūtānāṃ jānatāṃ paśyatām agrataḥ	cakzuH-BUtAnAm sâkzi-BUtAnAm pramANa-BUtAnAm jAnatAm paSyatAm agratas-
   pratideśayāmi āviṣkaromi na praticchādayāmy āyatyāṃ saṃvaram āpadye |	pratideSayAmi Avizkaromi na praticCAdayAmi AyatyAm saMvaram Apadye |
   samanvāharantu māṃ te buddhā bhagavanto yan mayâsyāṃ jātāv anyāsu vā	samanvAharantu mAm te budDAH BagavantaH yat mayâsyAm jAtO anyAsu vA
   jātiṣv anavarâgre vā jātisaṃsāre saṃsaratā dānaṃ dattaṃ bhaved antaśas	jAtizu anavarâgre vA jAti-saMsAre saMsaratA dAnam dattam Bavet antaSas-
   tiryagyonigatā-	tiryagyoni-gatA-
   [ Cambridge MS f82a ---> ]	[ Cambridge M f82aH ---> ]
   yâpy ālopaḥ śīlaṃ vā rakṣitaṃ bhaved yac ca me brahmacaryavāsakuśalamūlaṃ	yâpi AlopaH SIlam vA rakzitam Bavet yat ca me brahmacarya-vAsa-kuSala-mUlam
   yac ca me satvaparipākakuśalamūlaṃ yac ca me bodhicittakuśalamūlaṃ yac ca	yat ca me satva-paripAka-kuSala-mUlam yat ca me boDi-citta-kuSala-mUlam yat ca
   me 'nuttarajñānakuśalamūlaṃ tat sarvam aikadhyaṃ piṇḍayitvā	me anuttara-jQAna-kuSala-mUlam tat sarvam EkaDyam piNxayitvA
   tulayitvâbhisaṃkṣipyânutt	tulayitvâBisaMkzipyânutt
   arāyāṃ samyaksaṃbodhaûttarôttarayā pariṇāmanayā yathā pariṇāmitam atītair	arAyAm samyaksaMboDaûttarôttarayA pariNAmanayA yaTA pariNAmitam atItEH-
   buddhair bhagavadbhir yathā pariṇāmayiṣyanty anāgatā buddhā bhagavanto	budDEH BagavadBiH yaTA pariNAmayizyanti anAgatAH budDAH BagavantaH-
   yathā pariṇamanty etarhi daśasu dikṣu pratyutpannā buddhā bhagavantaḥ |	yaTA pariNamanti etarhi daSasu dikzu pratyutpannAH budDAH BagavantaH |
   tathâham api pariṇāmayāmi |	taTâham api pariNAmayAmi |
   sarvaṃ puṇyam anumodayāmi |	sarvam puNyam anumodayAmi |
   sarvān buddhān adhyeṣayāmi |	sarvAn budDAn aDyezayAmi |
   bhavatu me jñānam anuttaram |	Bavatu me jQAnam anuttaram |
   ye câbhyatītās tathâpi ca ye 'nāgatā ye câpi tiṣṭhanti narôttamā jināḥ |	ye câByatItAH taTâpi ca ye anAgatAH ye câpi tizWanti narôttamAH jinAH |
   anantavarṇān guṇasāgarôpamān upaimi sarvān śaraṇaṃ kṛtâñjaliḥ |	ananta-varNAn guNa-sAgarô-pamAn upEmi sarvAn SaraNam kRtâQjaliH |
   ye bodhisatvāḥ karuṇabalair upetā vicarati loke satvahitāya śūrāḥ trāyantu	ye boDisatvAH karuNa-balEH upetAH vicarati loke satva-hitAya SUrAH trAyantu
   te māṃ sadapāpakāriṇaṃ [[DOUBT]] |	te mAm sat-apApa-kAriNam [[DOUBT]] |
   śaraṇaṃ yāmi tān buddhabodhisatvān ||	SaraNam yAmi tAn budDa-boDisatvAn ||
   [ Bendall ed p171 ---> ]	[ Bet-dalt ed p171 ---> ]
   iti hi śāriputra bodhisatvenêmān pañcatriṃśato buddhān pramukhān kṛtvā	iti hi SAriputra boDisatvenêmAn paQcatriMSataH budDAn pramuKAn kRtvA
   sarvatathāgatânugatair manasikāraiḥ pāpaśuddhiḥ kāryā |	sarva-taTA-gatânugatEH manasikArEH pApa-SudDiH kAryA |
   tasyâivaṃ sarvapāpaviśuddhasya tatra ca buddhā bhagavanto mukhāny	tasyâivam sarva-pApa-viSudDasya tatra ca budDAH BagavantaH muKAni-
   upadarśayanti satvavimokṣârtham eva |	upadarSayanti satva-vimokzârTam eva |
   nānāvyañjanâkāram upadarśayanti vibhrāntabālapṛthagjanānāṃ paripācanāhetoḥ	nAnA-vyaQjanâkAram upadarSayanti viBrAnta-bAla-pRTagjanAnAm paripAcanA-hetoH
   pe ||	pe ||
   na śakyaṃ sarvaśrāvakapratyekabuddhanikāyair āpattikaukṛtyasthānaṃ	na Sakyam sarva-SrAvaka-pratyekabudDa-nikAyEH Apatti-kOkRtya-sTAnam
   viśodhayituṃ yad bodhisatvas teṣāṃ buddhānāṃ bhagavatāṃ	viSoDayitum yat boDisatvaH tezAm budDAnAm BagavatAm
   nāmadheyadhāraṇaparikīrtanena rātriṃdivaṃ	nAmaDeya-DAraNa-parikIrtanena rAtriMdivam
   triskandhakadharmaparyāyapravartanenâpattikaukṛtyān niḥsarati samādhiṃ ca	tri-skanDaka-Darma-paryAya-pravartanenâpatti-kOkRtyAt niHsarati samADim ca
   pratilabhate ||	pratilaBate ||
   ukto vidūṣaṇâsamudācāraḥ |	uktaH vidUzaNâ-samudAcAraH |
   pratipakṣasamudācārôcyate |	pratipakza-samudAcArôcyate |
   tatra gambhīrasūtrântaparicayāt pāpakṣayo bhavati ||	tatra gamBIra-sUtrânta-paricayAt pApa-kzayaH Bavati ||
   yathā vajracchedikāyām uktaṃ |	yaTA vajracCedikAyAm uktam |
   ye te subhūte kulaputrā vā kuladuhitaro vā imān evaṃrūpān sūtrântān	ye te suBUte kula-putrAH vA kula-duhitaraH vE imAn evaMrUpAn sUtrântAn
   udgrahīṣyanti yāvat paryavāpsyanti |	udgrahIzyanti yAvat paryavApsyanti |
   te paribhūtā bhaviṣyanti suparibhūtāḥ |	te pariBUtAH Bavizyanti su-pariBUtAH |
   tat kasya hetoḥ |	tat kasya hetoH |
   yāni teṣāṃ satvānāṃ paurvajanmikāni karmāṇi kṛtāny apāyasaṃvartanīyāni |	yAni tezAm satvAnAm pOrvajanmikAni karmANi kRtAni apAya-saMvartanIyAni |
   tāni tayā paribhūtatayā dṛṣṭae eva dharme kṣapayiṣyanti buddhabodhiṃ ca	tAni tayA pariBUta-tayA dRzwae eva Darme kzapayizyanti budDa-boDim ca
   prāpsyantîti ||	prApsyantîti ||
   śūnyatā-	SUnyatA-
   [ Cambridge MS f82b ---> ]	[ Cambridge M f82B ---> ]
   adhimuktyâpi pāpaśuddhir bhavati tathāgatakoṣasūtre vacanāt |	aDimukti-âpi pApa-SudDiH Bavati taTAgata-koza-sUtre vacanAt |
   yaḥ kāśyapa pitā ca syāt pratyekabuddhaś ca taṃ jīvitād vyaparopayed idam	yaH kASyapa pitA ca syAt pratyekabudDaH ca tam jIvitAt vyaparopayet idam
   agraṃ prāṇâtipātānāṃ |	agram prANâtipAtAnAm |
   idam agram adattâdānānāṃ yad uta triratnadravyâpaharaṇatā |	idam agram adattâ-dAnAnAm yat uta tri-ratna-dravyâpaharaNa-tA |
   idam agraṃ kāmamithyâcārāṇāṃ yad uta mātā syād arhantī ca |	idam agram kAma-miTyâcArANAm yat uta mAtA syAt arhantI ca |
   idam agraṃ mṛṣāvādānāṃ yad uta tathāgatasyâbhyākhyānaṃ |	idam agram mRzAvAdAnAm yat uta taTAgatasyâBya-AKyAnam |
   idam agraṃ paiśunyānāṃ yad utârya-	idam agram pESunyAnAm yat utârya-
   [ Bendall ed p172 ---> ]	[ Bet-dalt ed p172 ---> ]
   saṃghasyâvarṇaḥ |	saMGasyâvarNaH |
   idam agraṃ pāruṣyāṇāṃ yad utâryāṇām avasphaṇḍanaṃ |	idam agram pAruzyANAm yat utâryANAm avasPaNxanam |
   idam agraṃ saṃbhinnapralāpānāṃ yad uta dharmakāmānāṃ vikṣepaḥ |	idam agram saMBinna-pralApAnAm yat uta Darma-kAmAnAm vikzepaH |
   idam agraṃ vyāpādānāṃ yad utânantaryaparikarṣaṇam |	idam agram vyApAdAnAm yat utânantaryaparikarzaNam |
   idam agram abhidhyānāṃ yad uta samyaggatānāṃ lābhaharaṇacittatā |	idam agram aBiDyAnAm yat uta samyak-gatAnAm lABa-haraNa-citta-tA |
   idam agraṃ mithyādṛṣṭīnāṃ yad uta gahanatādṛṣṭiḥ |	idam agram miTyA-dRzwInAm yat uta gahana-tA-dRzwiH |
   ime kāśyapa daśâkuśalāḥ karmapathā mahāsâvadyāḥ |	ime kASyapa daSâ-kuSalAH karma-paTAH mahA-sâvadyAH |
   sacet kāśyapâikasatvâibhir evaṃ mahāsâvadyair daśabhir akuśalaiḥ	saced kASyapâika-satvâiBiH evam mahA-sâvadyEH daSaBiH akuSalEH
   karmapathaiḥ samanvāgato bhavet |	karma-paTEH samanvAgataH Bavet |
   sa ca tathāgatasya hetupratyayasaṃyuktāṃ dharmadeśanām avataren |	sa ca taTAgatasya hetu-pratyaya-saMyuktAm Darma-deSanAm avataret |
   nâtra kaścid ātmā vā satvo vā jīvo vā pudgalo vā yaḥ karoti	nâtra kaScid AtmA vA satvaH vA jIvaH vA pudgalaH vA yaH karoti
   pratisaṃvedayate iti hy akṛtām anabhisaṃskārāṃ māyādharmatām	pratisaMvedayate iti hi akRtAm anaBisaMskArAm mAyA-Darma-tAm
   asaṃkleśadharmatāṃ prakṛtiprabhāsvaratāṃ sarvadharmāṇām avataraty	asaMkleSa-Darma-tAm prakRti-praBAsvaratAm sarva-DarmANAm avatarati-
   ādiśuddhān sarvadharmān abhiśraddadhāty adhimucyate |	Adi-SudDAn sarva-DarmAn aBiSraddaDAti aDimucyate |
   nâhaṃ tasya satvasyâpāyagamanaṃ vadāmîti ||	nâham tasya satvasi-âpAya-gamanam vadAmîti ||
   karmâvaraṇaviśuddhisūtre 'py uktaṃ |	karmâ-varaNa-viSudDi-sUtre api uktam |
   punar aparaṃ mañjuśrīr yo bodhisatvâpattim anāpattiṃ paśyati |	punar aparam maQjuSrIH yaH boDisatvâpattim anApattim paSyati |
   avinayaṃ vinayaṃ paśyati |	avinayam vinayam paSyati |
   saṃkleśaṃ vyavadānaṃ paśyati |	saMkleSam vyavadAnam paSyati |
   saṃsāradhātuṃ nirvāṇadhātuṃ paśyati |	saMsAra-DAtum nirvANa-DAtum paSyati |
   sa karmâvaraṇaviśuddhiṃ pratilabhatae iti ||	sa karmâ-varaNa-viSudDim pratilaBatae iti ||
   trisamayarāje 'pi pāpapratipakṣasamudācārôktaḥ ||	tri-samaya-rAje api pApa-pratipakza-samudAcArôktaH ||
   akṣiṇī nimīlya buddhabodhisatvâ-	akziNI nimIlya budDa-boDisatvâ-
   [ Bendall ed p173 ---> ]	[ Bet-dalt ed p173 ---> ]
   lambanacittaḥ śatâkṣaram aṣṭasahasraṃ japet |	lambana-cittaH Satâkzaram azwa-sahasram japet |
   nimīlitâkṣâiva buddhabodhisatvān paśyati vigatapāpo-	nimIlitâkzâiva budDa-boDisatvAn paSyati vigata-pApaH--
   [ Cambridge MS f83a ---> ]	[ Cambridge M f83aH ---> ]
   bhavati |	Bavati |
   athavā caityaṃ pradakṣiṇīkurvann aṣṭasahasraṃ japec caityapratimāyāḥ	aTavA cEtyam pradakziNIkurvan azwa-sahasram japet cEtya-pratimAyAH
   saddharmapustakānāṃ câikatamaṃ puraskṛtyâyam eva vidhir iti ||	sat-Darma-pustakAnAm câikatamam puraskRti-âyam eva viDiH iti ||
   cundādhāraṇīṃ vā tāvaj japed yāvat pāpakṣayanimittāni paśyati svapne |	cundA-DAraNIm vA tAvat japet yAvat pApa-kzaya-nimittAni paSyati svapne |
   tad yathā krandanâdichardanadadhikṣīrâdibhojanāt tu vigatapāpo bhavati |	tat yaTA kranda-nâdi-Cardana-daDi-kzIrâdiBojanAt tu vigata-pApaH Bavati |
   vamanād vā candrasūryadarśanād ākāśagamanāj	vamanAt vA candra-sUrya-darSanAt AkASa-gamana-at-
   jvalitânalamahiṣakṛṣṇapuruṣaparājayād bhikṣubhikṣuṇīsaṃghadarśanāt	jvalitâ-nala-mahiza-kRzNa-puruza-parAjayAt BikzuBikzuNI-saMGa-darSanAt
   kṣīravṛkṣagaja vṛṣagirisiṃhâsanaprāsādanâvarohaṇād dharmaśravaṇāc ca	kzIravRkza-gaja vRza-giri-siMhâsana-prAsAt-anâvarohaNAt Darma-SravaNAt ca
