   caturtha ucchvāsaḥ	caturTaH ucCvAsaH
   avatīrṇe ca daśame māsi sarvorvībhṛtpakṣapātāya vajraparamāṇubiriva	avatIrNe ca daSame mAsi sarva-UrvIBRt-pakza-pAtAya vajra-paramANubiH-iva
   nirmitam, tribhuvanabhāradhāraṇasamarthaṃ śeṣaphaṇāmaṇḍalopakaraṇairiva	nirmitam, triBuvana-BAra-DAraNa-samarTam Seza-PaNA-maNxala-upakaraNEH-iva
   kalpitam, sakalabhūbhṛtkampakāriṇaṃ diggajāvayavairiva vihitamasūta devaṃ	kalpitam, sakala-BUBRt-kampa-kAriNam diggaja-avayavEH-iva vihitam-asUta devam
   rajiyavardhanam /	rajiya-varDanam /
   yasmiṃśca jāte jātapramodā nṛtyamayya ivājāyanta prajāḥ /	yasmin=-ca jAte jAta-pramodAH nRtya-mayyaH iva-ajAyanta prajAH /
   pūritāsaṃkhyaśaṅkhaśabdamukharaṃ prahatapaṭahaśatapaṭuravaṃ	pUrita-asaMKya-SaFKa-Sabda-muKaram prahata-pawaha-Sata-pawu-ravam
   gambhīraberīninādanirbharabharitabhuvanaṃ pramodonmattamartyalokamanoharaṃ	gamBIra-berI-ninAda-nirBara-Barita-Buvanam pramoda-unmatta-martya-loka-manoharam
   māsamekaṃ divasamiva mahotsavamakaronnarapatiḥ /	mAsam-ekam divasam-iva mahA-utsava-m-akarot-narapatiH /
   athānyasminnatikrānte kasmiṃścitkāle kandalini kuḍmalitakadambatarau	aTa-anyasmin=-atikrAnte kasmiMScid-kAle kandalini kuxmalita-kadambatarO
   rūḍhatokmatṛṇastambe stambitatāmarase vikasitacātakacetasi mūkamānasaukasi	rUXa-tA-ukma-tRNa-stambe stambita-tAmarase vikasita-cAtaka-cetasi mUka-mAna-sOkasi
   nabhasi māsi devyā devakyā iva cakrapāṇiryaśomatyā hṛdaye garbhe ca	naBasi mAsi devyAH devakyAH iva cakrapANiH-yaSomatyAH hRdaye garBe ca
   samameva saṃbabhūva harṣaḥ /	samam-eva saMbaBUva harzaH /
   śanaiḥ śanaiścāsyāḥ sarvaprajāpuṇyairiva parigṛhītā bhūyo	SanEs SanEs-ca-asyAH sarva-prajA-puNyEH-iva parigRhItAH BUyo
   'pyāpāṇḍutāmaṅgayaṣṭirjagāma /	api-ApANxu-tAm-aFga-yazwiH-jagAma /
   garbhārambheṇa śyāmāyamānacārucūcukacūliko cakravartinaḥ pātuṃ mudritāviva	garBa-AramBeNa SyAmAyamAna-cAru-cUcukacUlikaH cakravartinaH pAtum mudritO=-iva
   payodharakalaśau babhāroraḥsthaleva /	payoDara-kalaSO baBAra-uraH-sTalA-iva /
   stanyārthamānananihitā dugdhanadīva dīrghasnigdhadhavalā mādhuryamadhatta	stanya-arTa-m-Anana-nihitA dugDa-nadI-iva dIrGa-snigDa-DavalA mADuryam-aDatta
   dṛṣṭiḥ /	dRzwiH /
   sakalamaṅgalagaṇādhiṣṭhitagātragarimṇaiva gatiramandāyata /	sakala-maFgala-gaNa-aDizWita-gAtra-garimNA-eva gatiH-amandAyata /
   marndaṃ-mandaṃ saṃcarantyā nirmalamaṇikuṭṭimanimagnapratibimbanibhena	marndaM-mandam saMcarantyA nirmala-maNi-kuwwima-nimagna-pratibimba-niBena
   gṛhīta pādapallavā pūrvasevāmivārebhe pṛtivyasyāḥ /	gRhIta pAda-pallavA pUrva-sevAm-iva-AreBe pRti-vyasyAH /
   divasamadhiśayānāyāḥ śayanīyamapāśrayapatrabhaṅgaputrikāpratimā	divasam-aDiSayAnAyAH SayanIyam-apASraya-patra-BaFga-putrikA-pratimA
   vimalakapolodaragatā prasavasamayaṃ pratipālyantī lakṣmīrivālakṣyata /	vimala-kapola-udara-gatA prasava-samayam pratipAlyantI lakzmIH-iva-alakzyata /
   kṣapāsu saudhaśikharāgragatāyā garbhonmāthamaktāṃśuke stanamaṇḍale	kzapAsu sODa-SiKara-agra-gatAyAH garBa-unmATam-akta-aMSuke stana-maNxale
   saṃkrāntamuḍupatimaṇḍalamupari garbhasya śvetātapatramiva kenāpi	saMkrAnta-muxupati-maNxalam-upari garBasya Sveta-Atapatram-iva kena-api
   dhāryamāṇamadṛśyata /	DAryamANam-adRSyata /
   suptāyā vāsabhavane citrabhitticāmaragrāhiṇyo 'pi cāmarāṇi cālayāñcakruḥ /	suptAyAH vAsa-Bavane citra-Bitti-cAmara-grAhiNyaH api ca-amarANi cAlayAQcakruH /
   svapneṣu karavidhṛtakamalinīpalāśapuṭasalilaiścaturbhirapi	svapnezu kara-viDRta-kamalinI-palASa-puwa-salilEH-caturBiH-api
   dikkaribhirakriyatābhiṣekaḥ pratibudhyamānāyāśca	dikkariBiH-akriyata-aBizekaH pratibuDyamAnAyAH-ca
   candraśālikāsālabhañjikāparijano 'pi jayaśabdamasakṛdajanayat /	candraSAli-kAsAla-BaQjikA-parijanaH api jaya-Sabdam-asakRt-ajanayat /
   parijanāhvāneṣvādiśetyaśarīrā vāco niśceruḥ /	parijana-AhvAnezu-AdiSetya-SarIrAH vAcaH niSceruH /
   krīḍāyāmapi nāsahatājñābhaṅgam /	krIxAyAm-api na-asahata-AjQA-BaFgam /
   api ca caturṇāmapi mahārṇavānāmekīkṛtenāmbhasā snātuṃ vāñchā babhūva /	api ca caturNAm-api mahA-arNavAnAm-ekIkRtena-amBasA snAtum vAQCA baBUva /
   velāvanalatāgṛhodarapulinaparisareṣu paryaṭituṃ hṛdayamabhilalāṣa /	velA-vana-latA-gRhodara-pulina-parisarezu paryawitum hRdayam-aBilalAza /
   ātyayikeṣvapi kāryeṣu savibramaṃ bhrūlatā cacāla /	Atyayikezu-api kAryezu sa-vibramam BrU-latA cacAla /
   saṃnihiteṣvapi maṇidarpaṇeṣu mukhamutkhāte khaḍāgapaṭṭe vīkṣituṃ	saMnihitezu-api maNi-darpaNezu muKam-utKAte KaxAga-pawwe vIkzitum
   vyasanamāsīt /	vyasanam-AsIt /
   utsāritavīṇāḥ strījanaviruddhā dhanurdhvanayaḥ śrutāvasukhāyanta /	utsArita-vINAH strI-jana-virudDAH DanuH-Du-anayaH SrutO=-asuKAyanta /
   pañjakesariṣu cakṣuraramata /	paQjakesarizu cakzuH-aramata /
   gurupraṇāmeṣvapi stambitamiva śiraḥ kathamapi nanāma /	guru-praNAmezu-api stambitam-iva SiraH kaTam-api nanAma /
   sakhyaścāsyāḥ pramodavisphāritairlocanapuṭairāsannaprasavamahotsavadhiyeva	saKyaH-ca-asyAH pramoda-visPAritEH-locana-puwEH-Asanna-prasava-mahA-utsava-DiyA-iva
   dhavalayantyo bhavanaṃ vikacakumudakamalakuvalayapalāśavṛṣṭimayaṃ	DavalayantyaH Bavanam vikaca-kumuda-kamala-kuvalaya-palASa-vRzwi-mayam
   rakṣābalinidhimivānavarataṃ vidadhānā dikṣu kṣaṇamapi na mumucuḥ pārśvam /	rakzA-bali-niDim-iva-anavaratam vidaDAnA dikzu kzaNam-api na mumucuH pArSvam /
   ātmocitasthānaniṣaṇṇāśca mahānto vividhauṣadhidharā bhiṣajo bhūdharā iva	Atma-ucita-sTAna-nizaNNAH-ca mahAntaH viviDa-ozaDi-DarAH BizajaH BUDarAH iva
   bhuvo dhṛtiṃ cakruḥ /	BuvaH DRtim cakruH /
   payonidhīnāṃ hṛdayānīva lakṣmyā sahāgatāni grīvāsūtragranthiṣu	payoniDInAm hRdayAni-iva lakzmyA saha-AgatAni grIvA-sUtra-granTizu
   praśastaratnānyabadhyatta /	praSasta-ratnAni-abaDyatta /
   tataśca prāpte jyeṣṭhāmūlīye māsi bahulāsu bahulapakṣadvādasyāṃ vyatīte	tatas-ca prApte jyezWAmUlIye mAsi bahulAsu bahula-pakza-dvAdasyAm vyatIte
   pradoṣasamaye samārurukṣati kṣapāyauvane sahasaivāntaḥpure samudapādi	pradoza-samaye samArurukzati kzapA-yOvane sahasA-eva-antaHpure samudapAdi
   kolāhalaḥ strījanasya /	kolAhalaH strI-janasya /
   nirgatya ca saṃbhramaṃ yaśovatyāḥ svayameva hṛdayanirviśeṣā dhātryāḥ sutā	nirgatya ca saMBramam yaSovatyAH svayam-eva hRdaya-nirviSezAH DAtryAH sutA
   supātreti nāmnā rājñaḥ pādayornipatya "deva /	supAtra-iti nAmnA rAjQaH pAdayoH-nipatya "deva /
   diṣṭyā vardhase dvitīyasutajanmanā' iti vyāharantī pūrṇapātraṃ jahāra /	dizwyA varDase dvitIya-suta-janmanAa iti vyAharantI pUrNa-pAtram jahAra /
   asminneva ca kāle rājñaḥ paramasaṃmataḥ śataśaḥ saṃvāditātīndriyādeśaḥ,	asmin=-eva ca kAle rAjQaH parama-saMmataH SataSas saMvAdita-atIndriyA-deSaH,
   darśitaprabhāvaḥ saṃkalitī, jyotiṣi sarvāsāṃ grahasaṃhitānāṃ pāradṛśvā,	darSita-praBAvaH saMkalitI, jyotizi sarvAsAm graha-saMhitAnAm pAradRSvA,
   sakalagaṇakamadhye mahito hitaśca trikālajñānabhāgbhojakastārako nāma	sakala-gaNaka-maDye mahitaH hitaH-ca tri-kAla-jQAna-BAj-BojakaH-tArakaH nAma
   gaṇakaḥ samupasṛtya vijñāpitavān--"deva! śrūyate māndhātā kilaivaṃvidhe	gaNakaH samupasRtya vijQApitavAn---"deva! SrUyate mAnDAtA kila-evaMviDe
   vyatīpātādisarvadoṣābhiṣaṅgharahite 'hani sarveṣūccasthānasthiteṣvevaṃ	vyatIpAta-Adi-sarva-doza-aBizaFGa-rahite ahani sarvezu-ucca-sTAna-sTitezu-evam
   graheṣvīdṛśi lagne bheje janma /	grahezu-IdRSi lagne Beje janma /
   arvāktato 'sminnantarāle punarevaṃvidhe yoge cakravarttijanane nājani	arvAk-tataH asmin=-antarAle punar-evaMviDe yoge cakravartti-janane na-ajani
   jagati kaścidaparaḥ /	jagati kaScid-aparaH /
   saptānāṃ cakravartināmagraṇariścakravarticihnānāṃ mahāratnānāṃ ca bhājanaṃ	saptAnAm cakravartinAm-agraNariH-cakravarti-cihnAnAm mahA-ratnAnAm ca BAjanam
   saptānāṃ sāgarāṇāṃ pālayitā saptatantūnāṃ sarveṣāṃ pravartayitā	saptAnAm sAgarANAm pAlayitA sapta-tantUnAm sarvezAm pravartayitA
   saptasaptisamaḥ suto 'yaṃ devasya jātaḥ' iti /	sapta-sapti-samaH sutaH ayam devasya jAtaHa iti /
   atrāntare svayamevānādmātā api tāramadhuraṃ śahkhā viresuḥ /	atra-antare svayam-eva-AnAt-mAtAH api tAra-maDuram SahKAH viresuH /
   atāḍito 'pi kṣubhitajalanidhijaladhvanidhīraṃ juguñjābhiṣekadundubhiḥ /	atAxitaH api kzuBita-jalaniDi-jala-Dvani-DIram juguQjA-aBizeka-dunduBiH /
   anāhatānyapi mahgalatūryāṇi reṇuḥ /	anAhatAni-api mahgala-tUryANi reNuH /
   sarvabhuvanābhayaghoṣaṇāpaṭaha iva digantareṣu babhrāma tūryapratiśabdaḥ /	sarva-Buvana-aBaya-GozaNa-apawahaH iva diS-antarezu baBrAma tUrya-pratiSabdaH /
   vidhutakesarasaṭāśca	viDuta-kesara-sawAH-ca
   sāṭopagṛhītaharitadūrvāpallavakavalapraśastairmukhapuṭaiḥ samaheṣanta	sa-Awopa-gRhIta-harita-dUrvA-pallava-kavala-praSastEH-muKa-puwEH samahezanta
   hṛṣṭā vājinaḥ /	hRzwAH vAjinaH /
   salīlamutkṣiptairhastapallavairnṛtyanta iva śravaṇasubhagaṃ jagarjurgajāḥ	sa-lIlam-utkziptEH-hasta-pallavEH-nRtyantaH iva SravaNa-suBagam jagarjuH-gajAH
   vavau cācirāccakrāyudhamutsṛjantyā lakṣmyā niśvāsa iva	vavO ca-acirAt-cakra-AyuDam-utsRjantyA lakzmyA niSvAsaH iva
   surāmodasurabhirdivyānilaḥ /	surA-Amoda-suraBiH-divya-anilaH /
   yajvanāṃ mandireṣu pradakṣiṇaśikhākalāpakathitakalyāṇāgamāḥ /	yajvanAm mandirezu pradakziNa-SiKA-kalApa-kaTita-kalyANa-AgamAH /
   prajajvaluranindhanā vaitānavahnayaḥ /	prajajvaluH-aninDanAH vEtAna-vahnayaH /
   bhuvastalāttapanīyaśṛhkhalābandhabandhurakalaśīkośāḥ samudagurmahānidhayaḥ	BuvaH-talAt-tapanIya-SRhKalA-banDa-banDura-kalaSI-koSAH samudaguH-mahAniDayaH
   prahatamaṅgalatūryapratiśabdanibhena dikṣu dikpālairapi pramoda	prahata-maFgala-tUrya-pratiSabda-niBena dikzu dikpAlEH-api pramoda
   dakriyatena diṣṭavṛddhikalakalaḥ /	dakriyatena dizwa-vRdDi-kalakalaH /
   tatkṣaṇa eva ca śuklavāsaso brahnamukhāḥ kṛtayugaprajāpatayaiva	tad-kzaNaH eva ca Sukla-vAsasaH brahna-muKAH kRta-yuga-prajApatayA-eva
   prajāvṛddheye samupatasthire dvijātayaḥ /	prajA-vRdDeye samupatasTire dvijAtayaH /
   sākṣāddharma iva śāntyudakaphalahastastasthau puraḥ purodhāḥ /	sAkzAt-DarmaH iva SAntyudaka-Pala-hastaH-tasTO puras puroDAH /
   purātanyaḥ sthitaya ivādṛśyantāgatā bāndhavavṛddhāḥ /	purA-AtanyaH sTitayaH iva-adRSyanta-AgatAH bAnDava-vRdDAH /
   pralambaśmaśrujālajaṭilānanāni bahalamalapaṅkakalaṅkakālakāyāni naśyataḥ	pralamba-SmaSru-jAla-jawila-AnanAni bahala-mala-paFka-kalaFka-kAla-kAyAni naSyataH
   kalikālasya bāndhavakulānīvākulānyadhāvanta muktāni bandhanavṛndāni /	kali-kAlasya bAnDava-kulAni-iva-AkulAni-aDAvanta muktAni banDana-vRndAni /
   tatkālāpakrāntasyādharmasya śibiraśreṇaya ivālakṣyanta lokaviluṇṭhitā	tad-kAla-apakrAntasya-aDarmasya Sibira-SreNayaH iva-alakzyanta loka-viluNWitA
   vipaṇivīthyaḥ /	vipaNi-vITyaH /
   vilasadunmukhavāmanakabadhiravṛndaveṣṭitāḥ sākṣājjātamātṛdevatā iva	vilasat-unmuKa-vAmanaka-baDira-vRnda-vezwitAH sAkzAt-jAta-mAtR-devatAH iva
   bahubālakavyākulā nanṛturvṛddhadhātryaḥ /	bahu-bAlaka-vyAkulAH nanRtuH-vRdDa-DAtryaH /
   prāvatata ca vigatarājakulasthitiradhaḥkṛtapratīhārākṛtirapanītavetrivetro	prAvatata ca vigata-rAja-kula-sTitiH-aDas-kRta-pratIhAra-AkRtiH-apanIta-vetri-vetro
   nirdeṣāntaḥpurapraveśaḥ samasvāmiparijano nirviśeṣabālavṛddhaḥ	nirdeza-antaHpura-praveSaH sama-svAmi-parijanaH nirviSeza-bAla-vRdDaH
   samānaśiṣṭāśiṣṭajano	samAna-Sizwa-ASizwa-janaH-
   durjñeyamattāmattapravibhāgastulyakulayuvativeśyālāpavilāsaḥ	durjQeya-matta-amatta-praviBAgaH-tulya-kula-yuvati-veSya-AlApa-vilAsaH
   pranṛttasakalakaṭakalokaḥ putrajanmotsavo mahān /	pranRtta-sakala-kawaka-lokaH putra-janma-utsavaH mahAn /
   aparedyurārabhya sarvābhyo digbhyaḥ strīrājyānīvāvarjitāni,	aparedyus-AraBya sarvAByaH digByaH strI-rAjyAni-iva-AvarjitAni,
   asuravivarāṇovāpāvṛtāni, nārāyaṇāvarodhānīva praskhalitāni, apsarasāmiva	asura-vivarANa-uvApAvRtAni, nArAyaNa-avaroDAni-iva prasKalitAni, apsarasAm-iva
   mahīmavatīrṇāni kulāni, parijanena pṛthukaraṇḍaparigṛhītāḥ	mahIm-avatIrNAni kulAni, parijanena pRTukaraNxa-parigRhItAH
   snānīyacūrṇāvakīrṇakusumāḥ sumanaḥsrajaḥ,	snAnIya-cUrNa-avakIrNa-kusumAH sumanaH-srajaH,
   sphaṭikaśilāśakalaśulkakarpūrakhaṇḍapūritāḥ pātrīḥ, kuṅkumādhivāsabhāñji	sPawika-SilA-Sakala-Sulka-karpUra-KaNxa-pUritAH pAtrIH, kuFkuma-aDivAsa-BAn-ji
   bhājanāni ca maṇimayāni, sahakāratailatimyattanukhadirakesarajālajaṭilāni	BAjanAni ca maNi-mayAni, sahakAra-tElatimyat-tanu-Kadira-kesara-jAla-jawilAni
   candanadhavalapūgaphalaphālīdanturadantaśapharukāṇi,	candana-Davala-pUga-Pala-PAlI-dantura-danta-SaParukANi,
   guñjanmadhukarakulapīyamānaparijātapārimalāni pāṭalāni pāṭalakāni ca,	guQjat-maDukara-kulapIyamAna-parijAta-pAri-malAni pAwalAni pAwalakAni ca,
   sindūrapātrāṇi ca piṣṭātakapātrāṇi ca bālalatālambamānaviṭakavīṭakāṃśca	sindUra-pAtrANi ca pizwAtaka-pAtrANi ca bAla-latA-Alamba-mAna-viwaka-vIwakAn=-ca
   tāmbūlavṛkṣakān bibhrāṇenānugamyamānāni	tAmbUla-vRkzakAn biBrANena-anugamyamAnAni
   caraṇanikuṭṭanaraṇitamaṇinūpuramukharitadiṅmukhāni nṛtyanti	caraNa-nikuwwa-na-raNita-maNi-nUpura-muKarita-diFmuKAni nRtyanti
   rājakulamāgacchanti samantāt sāmantāntaḥpurasahasrāṇyadṛsyanta /	rAja-kulam-AgacCanti samantAt sAmanta-antaHpura-sahasrANi-adRsyanta /
   śanaiḥ śanairvyajṛmbhata ca	SanEs SanEs-vyajRmBata ca
   vkacinnṛttānucitacirantanaśālīnakulaputrakalokalāsyaprathitapārthivānurāgaḥ,	vkacit-nRtta-anucita-cirantana-SAlI-nakula-putraka-loka-lAsya-praTita-pArTiva-anurAgaH,
   vkacidantaḥsmitakṣitipālāpekṣitakṣībakṣudradāsīsamākṛṣyamāṇarājavallabhaḥ,	vkacid-antar-smita-kzitipAla-apekzita-kzIba-kzudra-dAsI-samAkRzyamANa-rAja-vallaBaH,
   vkacinmatakaṭakakuṭṭanīkaṇṭhalagnavṛddhāryasāmantanṛttanirbharahas	vkacid-mata-kawaka-kuwwanI-kaNWa-lagna-vRdDa-Arya-sAmanta-nRtta-nirBarahaH-
   itanarapatiḥ,	ita-narapatiH,
   vkacitkṣitipākṣisaṃjñādiṣṭaduṣṭadāserakagītasūcyamānasacivacauryarataprapañcaḥ,	vkacid-kziti-pAkzi-saMjQA-dizwa-duzwa-dA-seraka-gIta-sUcyamAna-saciva-cOrya-rata-prapaQcaH,
   vkacinmadotkaṭakuṭahārikāpariṣvajyamānajaratpravrajitajanitajanahāsaḥ,	vkacid-mada-utkawa-kuwahArikA-parizvajyamAna-jarat-pravrajita-janita-jana-hAsaH,
   vkacidanyonyanirbharaspardhoddhuravikaṭaceṭakārabdhāvācyavacanayuddhaḥ,	vkacit-anyonya-nirBara-sparDA-udDura-vikawa-cewakA-ArabDa-avAcya-vacana-yudDaH,
   vkacinnṛpābalābalātkārakṛṣṭanartyamānanṛttānabijñāntaḥpurapālabhāvitabhujiṣyaḥ,	vkacid-nRpa-abalA-balAtkAra-kRzwa-nartyamAna-nRttAn-abijQa-antaHpurapAla-BAvita-BujizyaH,
   saparvata iva kusumarāśibhiḥ, sādhāragṛha iva sīdhuprapābhiḥ,	sa-parvataH iva kusuma-rASiBiH, sa-ADAra-gRhaH iva sIDu-prapABiH,
   sanandanavana iva pārijātakāmodaiḥ sanīhāra iva karpūrareṇubhiḥ, sāṭṭahāsa	sanandana-vanaH iva pArijAtaka-AmodEH sa-nIhAraH iva karpUra-reNuBiH, sa-awwahAsa
   iva paṭaharavaiḥ, sāmṛtamathana iva mahākalakalaiḥ, sāṃvarta iva	iva pawaha-ravEH, sa-amRta-maTanaH iva mahA-kalakalEH, sAMvarte iva
   rāsakamaṇḍaleḥ, saromāñca iva bhūṣaṇamaṇikiraṇaiḥ, sapaṭṭabandha iva	rAsaka-maNxaleH, sa-romAQcaH iva BUzaNa-maNi-kiraNEH, sa-pawwabanDaH iva
   candanalalāṭikābhiḥ, saprasava iva pratiśabdakaiḥ, sapraroha iva	candana-lalAwikABiH, sa-prasavaH iva prati-SabdakEH, sa-prarohaH iva
   prasādadānairutsavāmodaḥ /	prasAda-dAnEH-utsava-AmodaH /
   skandhāvalambamānakesaramālāḥ kāmbojavājina ivāskandantaḥ, taralatārakā	skanDa-avalambamAna-kesara-mAlAH kAmboja-vAjinaH iva-askandantaH, tarala-tArakA
   hariṇā ivoḍḍīyamānāḥ, sagarasutā iva	hariNAH iva-uxxIyamAnAH, sagara-sutAH iva
   khanitrairnirdayaiścaraṇābhighātairdārayanto bhuvam,	KanitrEH-nirdayEH-caraNa-aBiGAtEH-dArayantaH Buvam,
   anekasahasrasaṃkhyāścikrīḍuryuvānaḥ /	aneka-sahasra-saMKyAH-cikrIxuH-yuvAnaH /
   kathamapi tālāvacaracāraṇacaraṇakṣobhaṃ cakṣame kṣamā /	kaTam-api tAla-avacara-cAraNa-caraNa-kzoBam cakzame kzamA /
   kṣitipālakumārakāṇāṃ ca khelatāmanyonyāsphālairābharaṇeṣu muktāphalāni	kzitipAla-kumArakANAm ca Kela-tAm-anyonya-AsPAlEH-ABaraNezu muktAPalAni
   pheluḥ /	PeluH /
   sindūrareṇunā punarutpannahiraṇyagarbhagarbhaśoṇitaśoṇāśamiva	sindUra-reNunA punar-utpanna-hiraNyagarBa-garBa-SoNita-SoNASam-iva
   brahnāṇḍakapālamabhavat /	brahna-aNxa-kapAlam-aBavat /
   paṭavāsapāṃsupaṭalena prakaṭitamandākinīsaikatasahasramiva śuśubhe	pawavAsa-pAMsu-pawalena prakawita-mandAkinI-sEkata-sahasram-iva SuSuBe
   nabhastalam /	naBastalam /
   viprakīryamāṇapiṣṭātakaparāgapiñjaritātapā	viprakIryamANa-pizwa-Ataka-parAga-piQjarita-AtapA
   bhuvanakṣobhaviśīrṇapitāmahakaḥmalakiñjalkarajorājirañjita iva	Buvana-kzoBa-viSIrNa-pitAmaha-kaHmala-kiQjalka-rajaH-rAji-raQjitaH iva
   rejurdivasāḥ /	rejuH-divasAH /
   saṃghaṭṭavighaṭitahārapatitamuktāphalapaṭaleṣu caskhāla lokaḥ /	saMGawwa-viGawita-hAra-patita-muktAPala-pawalezu casKAla lokaH /
   sthānasthāneṣu ca mandamandamāsphālyamānāliṅgyakena śiñjānamañjuveṇunā	sTAna-sTAnezu ca manda-mandam-AsPAlyamAna-AliFgyakena SiQjAna-maQju-veNunA
   jhaṇajhaṇāyamānajhallarīkeṇa tāḍyamānatantrīpaṭahikena	JaNa-JaNAyamAna-JallarIkeNa tAxyamAna-tantrI-pawahikena
   vādyamānānuttālālābuvīṇena kalakāṃsyakośīvkaṇitakāhalena	vAdyamAna-anuttAla-alAbu-vINena kalakAMsi-akoSIvkaNitakAhalena
   samakāladīyamānānuttālatālikenātodyavādyenānugamyamānāḥ, pade pade	sama-kAla-dIyamAna-anuttAla-tAlikena-atodya-vAdyena-anugamyamAnAH, pade pade
   jhaṇajhaṇitabhūṣaṇaravairapi sahṛdayairivānuvartamānatālalayāḥ, kokilā iva	JaNa-JaNita-BUzaNa-ravEH-api sahRdayEH-iva-anuvartamAna-tAla-layAH, kokilAH iva
   madakalakākalīkomalālāpinyaḥ, viṭānāṃ karṇāmṛtānyaślīlarāsakapadāni	mada-kalakA-kalI-komala-AlApinyaH, viwAnAm karNa-amRtAni-aSlIla-rAsaka-padAni
   gāyantyaḥ, samuṇḍamālikāḥ, sakarṇapallavāḥ, sacandanatilakāḥ,	gAyanti-aH, sa-muNxamAlikAH, sa-karNa-pallavAH, sa-candana-tilakAH,
   samucchritābhirvalayāvalīvācālābhirbāhulatikābhiḥ	samucCritABiH-valaya-AvalIva-acAlABiH-bAhu-latikABiH
   savitāramivāliṅgayantyaḥ, kuhkumapramṛṣṭirucirakāyāḥ kāśmīrakiśorya iva	savitAram-iva-AliFgayantyaH, kuhkuma-pramRzwi-rucira-kAyAH kASmIraki-SoryaH iva
   valgantayaḥ, nitambabimbalambivikaṭakuraṇaṭakaśekharāḥ pradīptā iva	valgantayaH, nitamba-bimba-lambi-vikawa-kuraNawaka-SeKarAH pradIptAH iva
   rāgāgninā, sindūracchaṭācchuritamukhamudrāḥ, śāsanapaṭṭapaṅktaya	rAga-agninA, sindUra=-CawA-AcCurita-muKa-mudrAH, SAsana-pawwa-paFktaya
   ivāpratihataśāsanasya kandarpasya, muṣṭiprakīryamāṇakarpūrapaṭavāsapāṃsulā	iva-apratihata-SAsanasya kandarpasya, muzwi-prakIryamANa-karpUra-pawa-vAsa-pAMsulA
   manorathasaṃcaraṇarathyā iva yauvanasya, uddāmakusumadāmatāḍitataruṇajanāḥ	manoraTa-saMcaraNa-raTyAH iva yOvanasya, uddAma-kusuma-dAma-tAxita-taruNa-janAH
   pratīhārya iva taruṇamahotsavasya, prajalatpatrakuṇḍalā lasantyo latā iva	pratIhArya iva taruNa-mahA-utsavasya, prajalat-patra-kuNxalAH lasantyaH latAH iva
   madanacandanadrumasya, lalitapadahaṃsakaravamukharāḥ samullasantyo vīcaya	madana-candana-drumasya, lalita-pada-haMsa-karava-muKarAH samullasantyaH vIcaya
   iva śṛṅgārarasasāgarasya, vācyāvācyavivekaśūnyā bālakrīḍā iva	iva SRFgAra-rasa-sAgarasya, vAcya-avAcya-viveka-SUnyAH bAla-krIxAH iva
   saubhāgyasya, ghanapaṭaharavotkaṇṭakitagātrayaṣṭayaḥ ketakya iva	sOBAgyasya, Gana-pawa-ha-rava-utkaNwakita-gAtra-yazwayaH ketakyaH iva
   kusumadhūlimudgirantyaḥ, āviṣṭā iva narendravṛndaparivṛtāḥ, prītaya iva	kusuma-DUlim-udgirantyaH, AvizwAH iva narendra-vRnda-parivRtAH, prItayaH iva
   hṛdayamapaharantyaḥ, gītaya iva rāgamuddīpayantyaḥ, puṣṭaya	hRdayam-apaharantyaH, gItayaH iva rAgam-uddIpayantyaH, puzwaya
   ivānandamutpādayantyaḥ, madamapi madayantya iva, rāgamapi rañjayantya iva,	iva-Anandam-utpAdayantyaH, madam-api madayantyaH iva, rAgam-api raQjayantyaH iva,
   ānandamapi ānandayantya iva, nṛtyamapi nartayamānā iva,	Anandam-api AnandayantyaH iva, nRtyam-api nartayamAnAH iva,
   utsavamapyutsavayantya iva, kaṭākṣekṣiteṣu pibantya ivāpāṅgaśuktibhiḥ,	utsavam-api-utsavayantyaH iva, kawAkza-Ikzitezu pibantyaH iva-apAFga-SuktiBiH,
   tarjaneṣu saṃyamayantya iva nakhamayūkhapāśaiḥ, kopābhinayeṣu tāḍayantaya	tarjanezu saMyamayantyaH iva naKa-mayUKa-pASEH, kopa-aBinayezu tAxayantaya
   iva bhrūlatāvibhāgaiḥ, praṇayasaṃbhāṣaṇeṣu varṣantya iva sarvarasān,	iva BrU-latA-viBAgEH, praNaya-saMBAzaNezu varzantyaH iva sarva-rasAn-,
   caturacaṅkramaṇeṣu vikirantya iva vikārān, paṇyavilāsinyaḥ prānṛtyan /	catura-caFkramaNezu vikirantyaH iva vikArAn, paNya-vilAsinyaH prAnRtyan /
   anyatra vetrivetravitrāsitajanadattāntarālāḥ dhriyamāṇadhavalātapatravanā	anyatra vetri-vetra-vitrAsita-janadattA-antarAlAH DriyamANa-Dava-la-Ata-patra-vanA
   vanadevatā iva kalpatarutalavicāriṇyaḥ	vana-devatAH iva kalpa-taru-tala-vicAriNyaH
   kāścitskandhobhayapālīlambamānalambottarīyalagnahastā līlādolādhirūḍhā iva	kAScid-skanDa-uBaya-pAlI-lambamAna-lamba-uttarIya-lagna-hastAH lIlA-dola-aDirUXAH iva
   preṅkhantyaḥ,	preFKantyaH,
   kāścitkanakakeyūrakoṭivipāṭyamānapaṭṭāṃśukottaraṅgāstaraṅgiṇya iva	kAScid-kanaka-keyUra-kowi-vipAwyamAna-pawwa-aMSuka-uttaraFgAH-taraFgiNyaH iva
