   Gorakṣa-śatakam	Gora-kza-Satakam
   nāsāgre dṛṣṭim ādāya dhyātvā brahma-mayo bhavet // GorS(1)_82 //	nAsA-agre dRzwim AdAya DyAtvA brahma-mayaH Bavet // GorS(1)_82 //
   santataṃ ghaṇṭikā-madhye viśuddhaṃ cāmṛtodbhavam /	santatam GaNwikA--maDye viSudDam ca-amRta-udBavam /
   nāsāgre dṛṣṭim ādāya dhyātvā brahma-mayo bhavet // GorS(1)_83 //	nAsA-agre dRzwim AdAya DyAtvA brahma-mayaH Bavet // GorS(1)_83 //
   bhruvor madhye sthitaṃ devaṃ snigdha-mauktika-sannibham /	BruvoH maDye sTitam devam snigDa--mOktika--sanniBam /
   nāsāgre dṛṣṭim ādāya dhyātvā'nandamayo bhavet // GorS(1)_84 //	nAsA-agre dRzwim AdAya DyAtvA-ananda-mayaH Bavet // GorS(1)_84 //
   nirguṇaṃ ca śivaṃ śāntaṃ gagane viśvatomukham /	nirguNam ca Sivam SAntam gagane viSvatomuKam /
   nāsāgre dṛṣṭim ādāya dhyātvā duḥkhād vimucyate // GorS(1)_85 //	nAsA-agre dRzwim AdAya DyAtvA duHKAt vimucyate // GorS(1)_85 //
   gudaṃ meḍhraṃ ca nābhiṃ ca hṛt-padme ca tad-ūrdhvataḥ /	gudam meXram ca nABim ca hRt--padme ca tad--UrDvatas /
   ghaṇṭikāṃ lampikā-sthānaṃ bhrū-madhye parameśvaram // GorS(1)_86 //	GaNwikAm lampikA--sTAnam BrU--maDye parameSvaram // GorS(1)_86 //
   nirmalaṃ gaganākāraṃ marīci-jala-sannibham /	nirmalam gagana-AkAram marIci--jala--sanniBam /
   ātmānaṃ sarvagaṃ dhyātvā yogī yogam avāpnuyāt // GorS(1)_87 //	AtmAnam sarvagam DyAtvA yogI yogam avApnuyAt // GorS(1)_87 //
   kathitāni yathaitāni dhyāna-sthānāni yoginām /	kaTitAni yaTA-etAni DyAna--sTAnAni yoginAm /
   upādhi-tattva-yuktāni kurvanty aṣṭa-guṇodayam // GorS(1)_88 //	upADi--tattva--yuktAni kurvanti azwa--guNa-udayam // GorS(1)_88 //
   upādhiś ca tathā tattvaṃ dvayam evam udāhṛtam /	upADiH ca taTA tattvam dvayam evam udAhRtam /
   upādhiḥ procyate varṇas tattvam ātmābhidhīyate // GorS(1)_89 //	upADiH procyate varNaH tattvam AtmA-aBiDIyate // GorS(1)_89 //
   upādhir anyathā-jñānaṃ tattvaṃ saṃsthitam anyathā /	upADiH anyaTA-jQAnam tattvam saMsTitam anyaTA /
   samastopādhi-vidhvaṃsi sadābhyāsena yoginām // GorS(1)_90 //	samasta-upADi--viDvaMsi sadA-aByAsena yoginAm // GorS(1)_90 //
   ātma-varṇena bhedena dṛśyate sphāṭiko maṇiḥ /	Atma--varNena Bedena dRSyate sPAwikaH maNiH /
   mukto yaḥ śakti-bhedena so'yam ātmā praśasyate // GorS(1)_91 //	muktaH yaH Sakti-Bedena saH-ayam AtmA praSasyate // GorS(1)_91 //
   nirātaṅkaṃ nirālambaṃ niṣprapañcaṃ nirāśrayam /	nirAtaFkam nirAlambam nizprapaQcam nirASrayam /
   nirāmayaṃ nirākāraṃ tattvaṃ tattvavido viduḥ // GorS(1)_92 //	nirAmayam nirAkAram tattvam tattva-vidaH viduH // GorS(1)_92 //
   śabdādyāḥ pañca yā mātrā yāvat karṇādiṣu smṛtāḥ /	Sabda-AdyAH paQca yAH mAtrA yAvat karNa-Adizu smRtAH /
   tāvad eva smṛtaṃ dhyānaṃ tat-samādhir ataḥ param // GorS(1)_93 //	tAvat eva smRtam DyAnam tat-samADiH atas param // GorS(1)_93 //
   yadā saṃkṣīyate prāṇo mānasaṃ ca vilīyate /	yadA saMkzIyate prANaH mAnasam ca vilIyate /
   tadā sama-rasaikatvaṃ samādhir abhidhīyate // GorS(1)_94 //	tadA sama-rasa-eka-tvam samADiH aBiDIyate // GorS(1)_94 //
   [verse missing]	[verse missing]
   dhāraṇāḥ pañca-nāḍyas tu dhyānaṃ ca ṣaṣṭhi-nāḍikāḥ /	DAraNAH paQca-nAxyaH tu DyAnam ca zazWi-nAxikAH /
   dina-dvādaśakenaiva samādhiḥ prāṇa-saṃyamaḥ // GorS(1)_96 //	dina--dvAdaSakena-eva samADiH prANa--saMyamaH // GorS(1)_96 //
   na gandhaṃ na rasaṃ rūpaṃ na sparśaṃ na ca niḥsvanam /	na ganDam na rasam rUpam na sparSam na ca niHsvanam /
   ātmānaṃ na paraṃ vetti yogī yuktaḥ samādhinā // GorS(1)_97 //	AtmAnam na param vetti yogI yuktaH samADinA // GorS(1)_97 //
   khādyate na ca kālena bādhyate na ca karmaṇā /	KAdyate na ca kAlena bADyate na ca karmaNA /
   sādhyate na ca kenāpi yogī yuktaḥ samādhinā // GorS(1)_98 //	sADyate na ca kena-api yogI yuktaH samADinA // GorS(1)_98 //
   nirmalaṃ niścalaṃ nityaṃ niṣkriyaṃ nirguṇaṃ mahat /	nirmalam niScalam nityam nizkriyam nirguNam mahat /
   vyoma-vijñānam ānandaṃ brahma brahma-vido viduḥ // GorS(1)_99 //	vyoma-vijQAnam Anandam brahma brahma--vidaH viduH // GorS(1)_99 //
   dugdhe kṣīraṃ dhṛte sarpir agnau vahnir ivārpitaḥ /	dugDe kzIram DRte sarpiH agnO vahniH iva-arpitaH /
   advayatvaṃ vrajen nityaṃ yogavit parame pade // GorS(1)_100 //	advaya-tvam vrajet nityam yoga-vid parame pade // GorS(1)_100 //
   bhava-bhaya-vane vahnir mukti-sopāna-mārgataḥ /	Bava--Baya-vane vahniH mukti--sopAna--mArgataH /
   advayatvaṃ vrajen nityaṃ yogavit parame pade // GorS(1)_101 //	advaya-tvam vrajet nityam yoga-vid parame pade // GorS(1)_101 //
   gorakṣa-śatakaṃ samāptam	gorakza-Satakam samAptam
