   sāṃkhyasūtravivaraṇam |	sAMKya-sUtra-vivaraNam |
   [caturdaśavidho bhūtasargaḥ || Tats_20 ||]	[caturdaSaviDaH BUta-sargaH || Tats_20 ||]
   caturdaśavidho bhūtasargaḥ |	caturdaSaviDaH BUta-sargaH |
   tatrāṣṭāvikalpo daivastairyagyonaḥ pañcadhā mānuṣya ekavidhaḥ brāhmaḥ	tatra-azwa-avikalpaH dEvaH-tEryagyonaH paQcaDA mAnuzyaH ekaviDaH brAhmaH
   prājāpatyaḥ paitre gāndharvo yākṣo rākṣasaḥ paiśācāśca daivasargaḥ	prAjApatyaH pEtre gAnDarvaH yAkzaH rAkzasaH pESAcAH-ca dEva-sargaH
   paśumṛgasarīsṛpasthāvarāḥ tiraścāṃ sargaḥ |	paSu-mRga-sarIsRpa-sTAvarAH tiraScAm sargaH |
   brāhmaṇādijātibhede 'pi saṃsthāne viśeṣābhāvāt ekavidho mānuṣya iti	brAhmaNa-Adi-jAti-Bede api saMsTAne viSeza-aBAvAt ekaviDaH mAnuzyaH iti
   caturdaśavidhāḥ sthūladehāḥ |	caturdaSaviDAH sTUla-dehAH |
   [trividho bandhaḥ || Tats_21 ||]	[triviDaH banDaH || Tats_21 ||]
   kaḥ punarbandhaḥ katidhā ca |	kaH punar-banDaH katiDA ca |
   trividho bandhaḥ |	triviDaH banDaH |
   kāḥ punastā vidhā ucyante |	kAH punar-tAH viDAH ucyante |
   prākṛtiko vaikṛtiko dākṣaṇikaśca bandhaḥ |	prAkRtikaH vEkRtikaH dAkzaNikaH-ca banDaH |
   prakṛtimātmānaṃ jñātvā taccintanāt prākṛtikaḥ atrocyate pūrṇavarṣasahasraṃ	prakRtim-AtmAnam jQAtvA tad-cintanAt prAkRtikaH atra-ucyate pUrNa-varza-sahasram
   tu tiṣṭhantyavyaktacintakā iti |	tu tizWanti-avyakta-cintakAH iti |
   mahadādīnātmatvena jñātvā taccintanādvaikārikaḥ |	mahat-AdIn-Atma-tvena jQAtvA tad-cintanAt-vEkArikaH |
   atrocyate |	atra-ucyate |
   daśamanvantarāṇīha tiṣṭhantīndriyacintakāḥ /	daSaman-vantarANi-iha tizWanti-indriya-cintakAH /
   bhautikāstu śataṃ pūrṇaṃ sahasraṃ cābhimānikāḥ //	BOtikAH-tu Satam pUrNam sahasram ca-aBimAnikAH //
   bauddhā daśasahasrāṇi tiṣṭhanti vigatajvarāḥ /	bOdDAH daSa-sahasrANi tizWanti vigata-jvarAH /
   amī videhāḥ |	amI videhAH |
   iṣṭāpūrttī dakṣiṇā tannimitto dākṣaṇikaḥ atrocyate /	izwApUrttI dakziNA tad-nimittaH dAkzaNikaH atra-ucyate /
   svargasthā narakaṃ yānti nārakāśca triviṣṭapamiti /	svarga-sTAH narakam yAnti nArakAH-ca trivizwapam-iti /
   gatāgataṃ kāmakāmā labhanta iti ca |	gatAgatam kAma-kAmAH laBantaH iti ca |
   ata eva hi triṣvapi bandheṣu ekaikāpāye tatastato mokṣa iti |	atas eva hi trizu-api banDezu ekEka-apAye tatas-tatas mokzaH iti |
   [trividho mokṣaḥ || Tats_22 ||]	[triviDaH mokzaH || Tats_22 ||]
   trividho mokṣaḥ |	triviDaH mokzaH |
   karmaṇo vikārāt prākṛtaśca mokṣaḥ |	karmaNaH vikArAt prAkRtaH-ca mokzaH |
   yaduktam |	yat-uktam |
   prākṛtena ca bandhena tathā vaikārikeṇa ca /	prAkRtena ca banDena taTA vEkArikeNa ca /
   dakṣiṇābhistṛtīyena vṛddho nānyena mucyate //	dakziNABiH-tRtIyena vRdDaH na-anyena mucyate //
   iti |	iti |
   atha kutastyānāṃ tattvānāṃ siddhiḥ |	aTa kutastyAnAm tattvAnAm sidDiH |
   pramāṇāditi brūmaḥ |	pramANAt-iti brUmaH |
   [trividhaṃ pramāṇam || Tats_23 ||]	[triviDam pramANam || Tats_23 ||]
   tatra pramāṇaṃ kiṃ katividhama vā ucyate trividhaṃ pramāṇam |	tatra pramANam kim kativiDama vA ucyate triviDam pramANam |
   tisro vidhā yasyeti trividham |	tisraH viDA yasya-iti triviDam |
   kāstā vidhāḥ |	kAstAH viDAH |
   ucyate |	ucyate |
   dṛṣṭamanumānamāptavacanaṃ ca |	dRzwam-anumAnam-Apta-vacanam ca |
   arthasannikṛṣṭendriyajo niścayo dṛṣṭam |	arTa-sannikRzwa-indriya-jaH niScayaH dRzwam |
   indriyāṇi pañca cakṣurādīni manaśca |	indriyANi paQca cakzuH-AdIni manaH-ca |
   vyāptipakṣadharmatājñānapūrvakamanumānam |	vyApti-pakza-Darma-tA-jQAna-pUrvakam-anumAnam |
   tacca trividham |	tat-ca triviDam |
   pūrvavat śeṣavat sāmānyato dṛṣṭaṃ ca |	pUrvavat Sezavat sAmAnyatas dRzwam ca |
   pūrvavadyathā kardamena pūrvavṛttavṛṣṭyanumānam |	pUrvavat-yaTA kardamena pUrva-vRtta-vRzwi-anumAnam |
   śeṣavadyathā |	Sezavat-yaTA |
   samudrātapalamudakaṃ(?) kṣāramupalabhya śeṣasyāpi kṣāratvānumānam |	samudrAta-palam-udakaM(?) kzAram-upalaBya Sezasya-api kzAra-tva-anumAnam |
   sāmānyato dṛṣṭāṃ ca yathā |	sAmAnyatas dRzwAm ca yaTA |
   rūpādyupalabhya tadupalabdheḥ kāraṇasyānumānam |	rUpa-Adi-upalaBya tad-upalabDeH kAraNasya-anumAnam |
   rūpādyupalabdhayaḥ karaṇasādhyāḥ kriyatvāt chidikriyāvat |	rUpa-Adi-upalabDayaH karaNa-sADyAH kriya-tvAt Cidi-kriyA-vat |
   āptaśrutirāptavacanaṃ ca |	Apta-SrutiH-Apta-vacanam ca |
   yathārthavākyajārthaviṣayodhyavasāya iti yāvat |	yaTA-arTa-vAkya-ja-arTa-viza-yoDyavasAyaH iti yAvat |
   prāvādukodbhāvitānāṃ tu	prAvAduka-udBAvitAnAm tu
   upamānārthāpattisambhavābhāvaitihyapratibhānāmityukteṣvevāntarbhāvaḥ |	upamAna-arTApatti-samBava-ABA-vEtihya-pratiBAnAm-iti-uktezu-eva-antarBAvaH |
   yat tadyathā gaurgavayastatheti vākyam |	yat tat-yaTA gOH-gavayaH-taTA-iti vAkyam |
   tadjñānanidhīrāgama eva |	tad-jQAna-niDIH-a-AgamaH eva |
   gavayepi gosadṛśasya gavayaśabdo vācaka iti pratyayaḥ	gavaya-ipi go-sadRSasya gavaya-SabdaH vAcakaH iti pratyayaH
   soyamanumānametatsaṅketagraharūpatvāt |	soyam-anumAnam-etat-saFketa-graha-rUpa-tvAt |
   yad gavayasya cakṣuḥsannikṛṣṭagosādṛśyajñānaṃ tatpratyakṣameva |	yat gavayasya cakzuH-sannikRzwa-go-sAdRSya-jQAnam tat-pratyakzam-eva |
   ata eva smaryamāṇāyāṃ gavi sādṛśyajñānaṃ pratyakṣam |	atas eva smaryamANAyAm gavi sAdRSya-jQAnam pratyakzam |
   gogavayayoḥ sādṛśyasya gavayāntaravarttibhūyovayavasāmānyarūpasya	go-gavayayoH sAdRSyasya gavaya-antara-vartti-BUyovayava-sAmAnya-rUpasya
   yogarūpasyaikatvādityupamānaṃ na mānāntaram |	yoga-rUpasya-eka-tvAt-iti-upamAnam na mAna-antaram |
   jīvato gṛhābhāvadarśanena bahirbhāvakalpanādityarthāpattiranumānameva |	jIvataH gRha-aBAva-darSanena bahis-BAva-kalpanAt-iti-arTApattiH-anumAnam-eva |
   sambhavopi khāryādau droṇāḍhakaprasthādyavagamarūpo 'numānameva |	samBavopi KArI-AdO droNa-AXaka-prasTa-Adi-avagama-rUpaH anumAnam-eva |
   iha bhūtale ghaṭo nāstītyādirabhāvāvagamo 'pi pratyakṣameveti nābhāvaḥ	iha BU-tale GawaH na-asti-ityAdiH-aBAva-avagamaH api pratyakzam-eva-iti na-aBAvaH
   pṛthak pramāṇam |	pRTak pramANam |
   anirdiṣṭapravaktṛkaṃ pravādamātramaitihyamapīha vaṭe yakṣaḥ	anirdizwa-pravaktRkam pravAda-mAtram-Etihyam-api-iha vawe yakzaH
   prativasatītyapramāṇameva |	prativasati-iti-apramANam-eva |
   āptamūlatve tvāgama eva |	Apta-mUla-tve tu-AgamaH eva |
   dvāravatī puṇyabhūmiriti śruteḥ tatra vasataḥ śreyāṃsastatra gamane puṇyaṃ	dvAravatI puNya-BUmiH-iti SruteH tatra vasataH SreyAMsaH-tatra gamane puNyam
   bhavatītyādibuddhirjāyamānā pratibhā |	Bavati-ityAdi-budDiH-jAyamAnA pratiBA |
   yatrocyate |	yatra-ucyate |
   anuktamapyūhati paṇḍito jana iti |	anuktam-api-Uhati paNxitaH janaH iti |
   sā tu prāyeṇa pramāṇameva |	sA tu prAyeNa pramANam-eva |
   ārṣaṃ tu darśanaṃ pratyakṣameva |	Arzam tu darSanam pratyakzam-eva |
   yā pratibhā sāpyanumānameva ||	yA pratiBA sA-api-anumAnam-eva ||
   trayoviṃśatisūtrairhi sarvaśāstrārthasaṃgrahaḥ /	trayoviMSati-sUtrEH-hi sarva-SAstra-arTa-saMgrahaH /
   kṛto munivareṇātra yathāmati sacīvṛtaḥ(?) //	kRtaH muni-vareNa-atra yaTAmati sacIvRtaH(?) //
   iti sāṃkhyasūtravivaraṇākhyā kāpilasūtravṛttiḥ samāptā ||	iti sAMKyasUtra-vivaraNa-AKyA kApila-sUtra-vRttiH samAptAH ||
