   ADHYAYA 1	ADHYAYAH 1
   nirdeśaḥ, ayaṃ pārthivo 'gnirarkaḥ sādhanabhūtaḥ /	nirdeSaH, ayam pArTivaH agniH arkaH sADana BUtaH /
   tasya cārkasya kratau cityasyeme lokāstrayo 'yopyātmānaḥ śarīrāvayavāḥ /	tasya ca arkasya kratO cityasya ime lokAH trayaH ayopya AtmAnaH SarIra avayavAH /
   tathā ca vyākhyātaṃ'tasya prācī dik'ityādinā /	taTA ca vyAKyAtaM atasya prAcI diaH aityAdinA /
   tāvagnyādityāvetau yathāviśeṣitāvarkāśvamedhau kratuphale /	tO= agni AdityO= etO yaTA viSezitO= arka aSvameDO kratu Pale /
   arko yaḥ pārthivo 'gniḥ sa sākṣātkraturūpaḥ kriyātmakaḥ /	arkaH yaH pArTivaH agniH sa sAkzAt kratu rUpaH kriyA AtmakaH /
   kratoragnisādhyatvāttadrūpeṇaiva nirdeśaḥ /	kratoH agni sADya tvAt tad rUpeNa eva nirdeSaH /
   kratusādhyatvācca phalasya kraturūpeṇaiva nirdeśa ādityo 'śvamedha iti /	kratu sADya tvAt ca Palasya kratu rUpeNa eva nirdeSaH AdityaH aSvameDaH iti /
   tau sādhyaisādhanau kratuphalabhūtāvagnyādityau, sā u punarbhūya ekaiva	tO sADya esADanO kratu Pala BUtO= agni AdityO, sA u punar BUyas ekA eva
   devatā bhavati /	devatA Bavati /
   kā sā? mṛtyureva /	kA sA? mRtyuH eva /
   pūrvamapyekaivāsītkriyāsādhanaphalabhedāya vibhaktā /	pUrvam api ekA eva AsIt kriyA sADana Pala BedAya viBaktA /
   tathā coktam"sa tredhātmānaṃ vyakuruta" (bṛ.u.1 / 2 / 3) iti /	taTA ca uktam"sa treDA AtmAnam vyakuruta" (bR.u.1 / 2 / 3) iti /
   sā punarapi kriyānirvṛttyuttarakālamekaiva devatā bhavati mṛtyureva	sA punar api kriyA nirvRtti uttara kAlam ekA eva devatA Bavati mRtyuH eva
   phalarūpa /	Pala rUpaH /
   yaḥ punarevamenamaśvamedhaṃ mṛtyumekāṃ devatāṃ veda /	yaH punar evam enam aSvameDam mRtyum ekAm devatAm veda /
   ahameva mṛtyurasmyaśvamedha ekā devatā madrūpā aśvāgnisādhanasādhyeti so	aham eva mRtyuH asmi aSvameDaH ekA devatA mad rUpA aSva agni sADana sADya iti saH 
   'pajayati punarmṛtyuṃ punarmaraṇaṃ sakṛnmṛtvā punarmaraṇāya na jāyata	apajayati punar mRtyum punar maraNam sakRt mRtvA punar maraNAya na jAyata
   ityarthaḥ /	iti arTaH /
   apajito 'pi mṛtyurenaṃ punarāpnuyādityāśaṅkyāha  nainaṃ mṛtyurāpnoti /	apajitaH api mRtyuH enam punar ApnuyAt iti ASaFkya aha na enam mRtyuH Apnoti /
   kasmāt? mṛtyurasya evaṃvida ātmā bhavati /	kasmAt? mRtyuH asya evaMvidaH AtmA Bavati /
   kiñca mṛtyureva phalarūpaḥ sanne tāsāṃ devatānāmeko bhavati /	kiQca mRtyuH eva Pala rUpaH sanne tAsAm devatAnAm ekaH Bavati /
   tasyaitat phalam //7//	tasya etat Palam //7//
   iti prathamādhyāye dvitīyamagnibrāhmaṇam //2//	iti praTama aDyAye dvitIyam agni brAhmaNam //2//
   dvayā hetyādyasya kaḥ sambandhaḥ? karmaṇāṃ jñānasahitānāṃ parā gatiruktā	dvayA hA iti Adyasya kaH sambanDaH? karmaNAm jQAna sahitAnAm parA gatiH uktA
   mṛtyvātmabhāvo 'śvamedhagatyuktyā /	mRtyvAtma BAvaH aSvameDa gati uktyA /
   athedānīṃ mṛtyvātmabhāvasādhanabhūtayoḥ karmajñānayoryata	aTa idAnIm mRtyvAtma BAva sADana BUtayoH karma jQAn ayoH yata
   udbhavastatprakāśanārthamudgīthabrāhmaṇamārabhyate /	udBavaH tad prakASana arTa mudgITa brAhmaNam AraByate /
   nanu mṛtyvātmabhāvaḥ pūrvatra jñānakarmaṇoḥ phalamuktam /	nanu mRtyvAtma BAvaH pUrvatra jQAna karmaNoH Palam uktam /
   udgīthajñānakarmaṇostumṛtyvātmabhāvātikramaṇaṃ phalaṃ vakṣyati ato	udgITa jQAna karmaNA uH tumRtyvA Atma BAva atikramaNam Palam vakzyati atas 
   bhinnaviṣayatvātphalasya na pūrvakarmajñānodbhavaprakāśanārthamiti cet /	Binna vizaya tvAt Palasya na pUrva karma jQAna udBava prakASana arTam iti ced /
   nāyaṃ doṣaḥ;agnyādityātmabhāvatvādudgīthaphalasya /	na ayam dozaH;agnyAt iti Atma BAva tvAt udgITa Palasya /
   pūrvatrāpyetadeva phalamuktam'etāsāṃ devatānāmeko bhavati'iti /	pUrvatra api etat eva Palam uktam aetAsAm devatAnAm ekaH Bavati aiti /
   nanu'mṛtyumatikrāntaḥ'ityādi viruddham;na	nanu amRtyum atikrAntaH aityAdi virudDam;na
   svābhāvikapapmāsaṅgaviṣayatvādatikramaṇasya /	svABAvika papma AsaFga vizaya tvAt atikramaNasya /
   ko 'sau svābhāvikaḥ papmāsaṅgo mṛtyuḥ? kuto vā tasyodbhavaḥ? kena vā	kaH asO svABAvikaH papmAsaFgaH mRtyuH? kutas vA tasya udBavaH? kena vA
   tasyātikramaṇam? kathaṃ vā? ityetasyārthasya prakāśanāyākhyāyikārabhate /	tasya atikramaNam? kaTam vA? iti etasya arTasya prakASanAya AKyAyikA AraBate /
   katham 	kaTam 
   START BrhUp 1,3.1	START BrhUp 1,3.1
   dvayā ha prājāpatyā devāś cāsurāś ca tataḥ kānīyasā eva devā jyāyasā	dvayAH ha prAjApatyAH devAH ca asurAH ca tatas kAnIyasA eva devAH jyAyasA
   asurāḥ |	asurAH |
   ta eṣu lokeṣv aspardhanta |	te ezu lokezu asparDanta |
   te ha devā ūcur hantāsurān yajña udgīthenātyayāmeti || BrhUp_1,3.1 ||	te ha devAH UcuH hanta asurAn yajQaH udgITena atyayAma iti || BrhUp_1,3.1 ||
   BrhUpBh_1,3.1 dvayā dviprakārāḥ /	Brhu upBu _1,3.1 dvayAH dvi prakArAH /
   heti pūrvavṛttāvadyodako nipātaḥ /	hA iti pUrva vRttAvadya udakaH nipAtaH /
   vartamāna pradāpateḥ pūrvajanmani yad vṛttaṃ tadavadyodayati haśabdena /	vartamAna pradApateH pUrva janmani yat vRttam tat avadyodayati ha Sabdena /
   prājāpatyāḥ prajāpatervṛttajanmāvasthasyāpatyāni prājāpatyāḥ /	prAjApatyAH prajApateH vRtta janma avasTasya apatyAni prAjApatyAH /
   ke te? devāścāsurāśca /	ke te? devAH ca asurAH ca /
   tasyaiva prajāpateḥ prāṇā vāgādayaḥ /	tasya eva prajApateH prANAH vAc AdayaH /
   kathaṃ punasteṣāṃ devāsuratvam? ucyate   śāstrajanitajñānakarmabhāvitā	kaTam punar tezAm deva asura tvam? ucyate  SAstra janita jQAna karma BAvitA
   dyodanāddevā bhavanti /	dyodanAt devAH Bavanti /
   ta eva svābhāvikapratyakṣānumānajanitadṛṣṭaprayojanakarmajñānabhāvitā	te eva svABAvika pratyakza anumAna janita dRzwa prayojana karma jQAna BAvitA
   asurāḥ /	asurAH /
   sveṣvevāsuṣu ramaṇāt surebhyo vā devobhyo 'nyatvāt /	svezu eva asuzu ramaNAt sureByaH vA devoByaH anya tvAt /
   yasmācca dṛṣṭaprayojanajñānakarmabhāvitā asurāḥ, tatastasmātkānīyasāḥ,	yasmAt ca dRzwa prayojana jQAna karma BAvitAH asurAH, tatas tasmAt kAnIyasAH,
   kānīyāṃsa eva kānīyasāḥ, svārthe 'ṇi vṛddhiḥ /	kAnIyAMsaH eva kAnIyasAH, sva arTe aNi vRdDiH /
   kanīyāṃso 'lpā eva devāḥ /	kanIyAMsaH alpAH eva devAH /
   jyāyasā asurājyāyānaso 'surāḥ /	jyAyasA asura Ajya AyAnasaH asurAH /
   svābhāvikī hi karmajñānapravṛttirmahattarā prāṇānāṃ śāstrajanitāyāḥ	svABAvikI hi karma jQAna pravRttiH mahattarA prANAnAm SAstra janitAyAH
   karmajñānapravṛtterdṛṣṭaprayojanatvāt /	karma jQAna pravRtteH dRzwa prayojana tvAt /
   ata eva kanīyastvaṃ devānāṃ śāstrajanitapravṛtteralpatvāt /	atas eva kanIyaH tvam devAnAm SAstra janita pravRtteH alpa tvAt /
   atyantayatnasādhyā hi sā /	atyanta yatnasADyAH hi sA /
   te devāścāsurāśca prajāpatiśarīrasthā eṣu lokeṣu nimittabhūteṣu	te devAH ca asurAH ca prajApati SarIra sTAH ezu lokezu nimitta BUtezu
   svābhāviketarakarmajñānasādhyeṣu aspardhanta spardhā. kṛtavantaḥ /	svABAvika itara karma jQAna sADyezu asparDanta sparDA. kRtavantaH /
   devānāṃ cāsurāṇāṃ ca vṛttyudbhavābhibhavau spardhā /	devAnAm ca asurANAm ca vRtti udBava aBiBavO sparDA /
   kadācicchāstrajanitakarmajñānabhāvanārūpā vattiḥ prāṇānāmudbhavati /	kadAcid SAstra janita karma jQAna BAvanA rUpA vattiH prANAnAm udBavati /
   yadā codbhavati tadā dṛṣṭaprayojanā pratyakṣānumāna	yadA ca udBavati tadA dRzwa prayojanA pratyakza anumAna
   janitakarmajñānabhāvanārūpā teṣāmeva prāṇānāṃ vṛttirāsuryabhibhūyate /	janita karma jQAna BAvanA rUpA tezAm eva prANAnAm vRttiH AsurI aBiBUyate /
   sa devānāṃ jayo 'surāṇāṃ parājayaḥ /	sa devAnAm jayaH asurANAm parAjayaH /
   kadācittadviparyayeṇa devānāṃ vṛttirabhibhūyata āsuryā udbhavaḥ /	kadAcid tad viparyayeNa devAnAm vRttiH aBiBUyataH AsuryAH udBavaH /
   so 'surāṇāṃ jayo devānāṃ parājayaḥ /	saH asurANAm jayaH devAnAm parAjayaH /
   evaṃ devānāṃ jaye dharmabhūyastvādutkarṣa ā prajāpatitvaprāpteḥ /	evam devAnAm jaye Darma BUyaH tvAt utkarzaH A prajApati tva prApteH /
   asurajaye 'dharmabhūyastvādapakarṣa ā sthāvaratvaprāpteḥ /	asura jaye aDarma BUyaH tvAt apakarzaH A sTAvara tva prApteH /
   ubhayasāmye manuṣyatvaprāptiḥ /	uBaya sAmye manuzya tva prAptiH /
   ta evaṃ kanīyastvādabhibhūyamānā asurairdevā bāhulyādasurāṇāṃ kiṃ	te evam kanIyaH tvAt aBiBUyamAnAH asurEH devAH bAhulyAt asurANAm kim
   kṛtavantaḥ? ityucyate  te devā asurairabhibhūyamānā ha kilocuruktavantaḥ /	kRtavantaH? iti ucyate te devAH asurEH aBiBUyamAnAH ha kila UcuH uktavantaH /
   katham? hantedānīm asminyajñe jyotiṣṭome, udgīthena	kaTam? hanta idAnIm asmin yajQe jyotizwome, udgITena
   udgīthakarmapadārthakartṛsvarūpāśrayaṇena ātyayāmātigacchāmaḥ /	udgITa karma padArTa kartR svarUpa ASrayaNena AtyayAmA atigacCAmaH /
   asurānabhibhūya svaṃ devabhāvaṃ śāstraprakāśitaṃ pratipatyāmaha	asurAn aBiBUya svam deva BAvam SAstra prakASitam pratipatyAmaha
   ityuktavanto 'nyonyam /	iti uktavantaH anyonyam /
   udgīthakarmapadārthakartṛsvarūpāśrayaṇaṃ ca jñānakarmabhyām /	udgITa karma padArTa kartR svarUpa ASrayaNam ca jQAna karmaByAm /
   karma vakṣyamāṇaṃ mantrajapalakṣaṇaṃ vidhitsyamānaṃ"tadetāni japet"iti /	karma vakzyamANam mantra japa lakzaNam viDitsyamAnan"tad etAni japet"iti /
   jñānaṃ tvidameva nirūpyamāṇam /	jQAnam tu idam eva nirUpyamANam /
   nanvidamabhyārohajapaviśeṣor'thavādau na jñānanirūpaṇaparam /	nanu idam aByAroha japa viSezoH aTavA AdO na jQAna nirUpaNa param /
   na; 'ya evaṃ veda'iti vacanāt /	na; ayaH evam vedaH aiti vacanAt /
   udgīthaprastāve purākalpaśravaṇādudgīthavidhiparamiti cenna, aprakaraṇāt /	udgITa prastAve purAkalpa SravaNAt udgITa viDi param iti ca id na, aprakaraNAt /
   udgīthasya cānyatra vihitatvāt /	udgITasya ca anyatra vihita tvAt /
   vidyāprakaratvāccāsya /	vidyA prakara tvAt ca asya /
   abhyārohajapasya cānityatvāt, evaṃ viprayojyatvāt;vijñānasya ca	aByAroha japasya ca anitya tva at, evam viprayojya tva at;vijQAnasya ca
   nityavacchravaṇāt /	nitya vat SravaNAt /
   "taddhaitallokajideva"(bṛ. u.1 / 3 / 28) iti ca śruteḥ;prāṇasya vāgādīnāṃ	"tat ha etat loka jit eva "(bR. u.1 / 3 / 28) iti ca SruteH; prANasya vAc AdInAm
   śuddhyaśuddhivacanāt /	SudDi aSudDi vacanAt /
   na hyanyupāsyate prāṇasya śuddhivacanaṃ vāgādīnāṃ ca	na hi anyupAsyate prANasya SudDi vacanam vAc AdInAm ca
   sahopānyastānāmaśuddhivacanam /	saha upAnyastAnAm aSudDi vacanam /
   vāgādinindayā mukhyaprāṇastutiścābhipretā upapadyate /	vAc Adi nindayA muKya prANa stutiH ca aBipretAH upapadyate /
   'mṛtyumatikrānto dīpyate'ityādi phalavacanaṃ ca /	amRtyum atikrAntaH dIpyate aityAdi Pala vacanam ca /
   prāṇasvarūpāpatterhi phalaṃ tadyadvāgādyagnyādibhāvaḥ /	prANa svarUpa ApatteH hi Palam tat yat vAc Adi agni Adi BAvaH /
   bhavatu nāma prāṇasyopāsanam, na tu viśuddhyādiguṇavatteti /	Bavatu nAma prANasya upAsanam, na tu viSudDi Adi guNavat tA iti /
   nanu syācchrutatvāt;na syāt;upāsyatve stutyarthatvopapatteḥ /	nanu syAt Sruta tva at;na syAt ;upAsya tve stuti arTa tva upapatteH /
   na;aviparītārthapratipatteḥ śreyaḥprāptyupapatterlokavat /	na;a viparIta arTa pratipatteH SreyaH prApti upapatteH loka vat /
   yo hyaviparītamarthaṃ pratipadyate loke sa iṣṭaṃ prāpnotyaniṣṭādvā	yaH hi aviparItam arTam pratipadyate loke saH izwam prApnoti anizwAt vA
   nivartate, na viparītārthapratipattyā /	nivartate, na viparIta arTa pratipattyA /
   tathehāpi śrautaśabdajanitārthapratipattau śreyaḥprāptirupapannā na	taTA iha api SrOta Sabda janita arTa pratipattO SreyaH prAptiH upapannA na
   viparyaye /	viparyaye /
   na copāsanārthaśrutaśabdotthavijñānaviṣayasya ayathārthatve pramāṇamasti /	na ca upAsana arTa Sruta Sabda utTa vijQAna vizayasya ayaTArTa tve pramANam asti /
   na ca tadvijñānasyāpavādaḥ śrūyate /	na ca tad vijQAnasya apavAdaH SrUyate /
   tataḥ śreyaḥprāptidarśanādyathārthatāṃ pratipadyāmahe;viparyaye	tatas SreyaH prApti darSanAt yaTArTa tAm pratipadyAm ahe; viparyaye
   cānarthaprāptidarśanāt /	ca anarTa prApti darSanAt /
   yo hi viparyayeṇārthaṃ pratipadyate loke, puruṣaṃ sthāṇurityamitraṃ	yaH hi viparyayeNa arTam pratipadyate loke, puruzam sTANuH iti amitram
   mitramiti vā, so 'narthaṃ prāpnuvandṛśyate /	mitram iti vA, saH anarTam prApnuvan dRSyate /
   ātmeśvaradevatādīnāmapi ayathārthānāmeva ced grahaṇaṃ śrutitaḥ,	Atma ISvara devatA AdInAm api ayaTArTAnAm eva ced grahaNam SrutitaH,
   anarthaprāptyarthaṃ śāstramiti dhruvaṃ prāpnuyāllokavadeva, na	anarTa prApti arTam SAstram iti Druvam prApnuyAt loka vat eva, na
   caitadiṣṭam;tasmādyathābhūtāneva ātmeśvaradevatādīn grāhayatyupāsanārthaṃ	ca etat izwam ;tasmAt yaTABUtAn eva Atma ISvara devatA AdIn grAhayati upAsana arTam
   śāstram /	SAstram /
   nāmādau brahmadṛṣṭidarśanādayuktamiti cetsphuṭaṃ nāmāderabrahmatvam, tatra	nAma AdO brahma dRzwi darSanAt ayuktam iti ced sPuwam nAma AdeH abrahma tvam, tatra
   brahmadṛṣṭiṃ sthāṇbādāviva puruṣadṛṣṭiṃ viparītāṃ grāhayacchāstraṃ dṛśyate	brahma dRzwim sTANbAdO= iva puruza dRzwim viparItAm grAhayat SAstram dRSyate
   tasmādyathārthameva śāstrataḥ pratipatteḥ śreyaḥ ityuktamiti cet? na,	tasmAt yaTArTam eva SAstrataH pratipatteH SreyaH iti uktam iti cet? na,
   pratimāvadbhedapratipatteḥ /	pratimA avat Beda pratipatteH /
   nāmādavabrahmaṇi brahmadṛṣṭiṃ viparītāṃ grāhayati śāstraṃ sthāṇbādāviva	nAmAdavabrahmaNi brahma dRzwim viparItAm grAhayati SAstram sTANba AdO= iva
   puruṣadṛṣṭiṃ, iti naitatsādhvavocaḥ /	puruza dRzwiM, iti na etat sADu avocaH /
   kasmtāt? bhedena hi brahmaṇo nāmādivastupratipannasya nāmādau vidhīyate	kasmtAt? Bedena hi brahmaNaH nAma Adi vastu pratipannasya nAma AdO viDIyate
   brahmadṛṣṭiḥ pratimādāviva viṣṇudṛṣṭiḥ /	brahma dRzwiH pratimAdO= iva vizNu dRzwiH /
   ālambanatvena hi nāmādipratipattiḥ pratimādivadeva, na tu nāmādyeva	Alambana tvena hi nAma Adi pratipattiH pratimA Adi vat eva, na tu nAma Adi eva
   brahmeti /	brahma iti /
   yathā sthāṇāvanirjñāte na sthāṇuriti, puruṣa evāyamiti pratipadyate	yaTA sTANO= anirjQAte na sTANuH iti, puruzaH eva ayam iti pratipadyate
   viparītam, na tu tathā nāmādau brahmadṛṣṭirviparītā /	viparItam, na tu taTA nAma AdO brahma dRzwiH viparItAH /
   brahmadṛṣṭireva kevalā nāsti brameti cet /	brahma dRzwiH eva kevalA na asti brama iti ced /
   etena pratimābrāhmaṇādiṣu viṣṇvādidevapitrādidṛṣṭīnāṃ tulyatā /	etena pratimA brAhmaNa Adizu vizNu Adi deva pitR Adi dRzwInAm tulya tA /
   na;ṛgādiṣu pṛthivyādidṛṣṭidarśanāt /	na;RS Adizu pRTivI Adi dRzwi darSanAt /
   vidyamānapṛthivyādivastudṛṣṭīnāmeva ṛgādiviṣaye kṣepadarśanāt /	vidyamAna pRTivI Adi vastu dRzwInAm eva Rc Adi vizaye kzepa darSanAt /
   tasmāttatsāmānyānnāmādiṣu brahmādidṛṣṭīnāṃ	tasmAt tad sAmAnyAn nAma Adizu brahma Adi dRzwInAm
   vidyamānabrahmādiviṣayatvasiddhiḥ /	vidyamAna brahma Adi vizaya tva sidDiH /
   etena pratimābrāhmaṇādiṣu viṣṇvādidevapitrādibuddhīnāṃ ca	etena pratimA brAhmaNa Adizu vizNu Adideva pitR Adi budDInAm ca
   satyavastuviṣayatvasiddhiḥ /	satya vastu vizaya tva sidDiH /
   mukhyāpekṣatvācca gauṇatvasya /	muKya apekza tvAt ca gONa tvasya /
   pañcāgnyādiṣu cāgnitvādergauṇatvād mukhyāgnyādisadbhāvavannāmādiṣu	paQca agni Adizu ca agni tva AdeH gONa tvAt muKya agni Adi sadBAvavat nAma Adizu
   bahmatvasya gauṇatvānmukhyabrahmasadbhāvopapattiḥ /	bahma tvasya gONa tvAt muKya brahma sadBAva upapattiH /
   kriyārthaiścāviśeṣādvidyārthānām yathā ca darśapaurṇamāsādikriyedamphalā	kriyA arTEH ca aviSezAt vidyA arTAnAm yaTA ca darSa pOrNamAsa Adi kriyet amPalA
   viśiṣṭaitikartavyatākā evaṅkramaprayuktāṅgā ca ityetadalaukikaṃ vastu	viSizwa eti kartavya tAkA evaFkrama prayukta aFgA ca iti etat alOkikam vastu
   pratyakṣādyaviṣayaṃ tathābhūtaṃ ca vedavākyaireva jñāpyate /	pratyakza Adyavizayam taTABUtam ca veda vAkyEH eva jQApyate /
   tathā, paramātmeśvaradevatādivastu asthūlādidharmakamaśanāyādyatītaṃ	taTA, paramAtma ISvara devatA Adi vastu asTUla Adi Darmakam aSanAya Adi atItam
   cetyevamādiviśiṣṭamiti vedavākyaireva jñāpyate,	ca iti evamAdi viSizwam iti veda vAkyEH eva jQApyate,
   ityalaukikatvāttathābhūtameva bhavitumarhatīti /	iti alOkika tvAt taTABUtam eva Bavitum arhati iti /
   na ca kriyārthairvākyairjñānavākyānāṃ buddhyutpātakatve viśeṣo 'sti /	na ca kriyA arTEH vAkyEH jQAna vAkyAnAm budDi utpAtaka tve viSezaH asti /
   na cāniścitā viparyastā vā paramātmādivastuviṣayā buddhirutpadyate /	na ca aniScitAH viparyastA vA paramAtma Adi vastu vizayA budDiH utpadyate /
   anuṣṭheyābhāvādayuktamiti cet kriyārthairvākyaistryaṃśābhāvanānuṣṭheyā	anuzWeya aBAvAt ayuktam iti ced kriyA arTEH vAkyEH trI aMSa aBAvanA anuzWeyA
   jñāpyate 'laukikyapi /	jQApyate alOkikI api /
   na tathā paramātmeśvarādivijñāne 'nuṣṭheyaṃ kiñcitasti /	na taTA paramAtma ISvara Adi vijQAne anuzWeyam kiQcitasti /
   ataḥ kriyārthaiḥ sādharmyamityayuktamiti cet? na, jñānasya	atas kriyA arTEH sADarmyam iti ayuktam iti cet? na, jQAnasya
   tathābhūtārthaviṣayatvāt na hyanuṣṭheyatvāttathātvam, kiṃ tarhi?	taTABUta arTa vizaya tvAt na hi anuzWeya tvAt taTA tvam, kim tarhi?
   pramāṇasamadhigatatvāt /	pramANa samaDigata tvAt /
   na ca tadviṣayāyā buddheranuṣṭheyaviṣayatvāttathārthatvam, kiṃ tarhi?	na ca tad vizayAyAH budDeH anuzWeya vizaya tvAt taTA arTa tvam, kim tarhi?
   vedavākyajanitatvādeva /	veda vAkya janita tvAt eva /
   vedavākyādhigatasya vastunastathātve satyanuṣṭheyatvaviśiṣṭhaṃ	veda vAkya aDigatasya vastunaH taTA tve sati anuzWeya tva viSizWam
   cedanutiṣṭhati /	ced anutizWati /
   no cedanuṣṭheyatvaviśiṣṭhaṃ nānu tiṣṭhati /	no ced anuzWeya tva viSizWam na anu tizWati /
   ananuṣṭheyatve vākyapramāṇatvānupapattiriti cet /	ananuzWeya tve vAkya pramANa tva anupapattiH iti ced /
   na hyanuṣṭheye 'sati padānāṃ sahatirupapadyate /	na hi anuzWeye asati padAnAm sahatiH upapadyate /
   anuṣṭheyatve tu sati tādarthyena padāni saṃhanyante /	anuzWeya tve tu sati tAdarTyena padAni saMhanyante /
   tatrānuṣṭheyaniṣṭhaṃ vākyaṃ pramāṇaṃ bhavati idamanenaivaṃ kartavyamiti /	tatra anuzWeya nizWam vAkyam pramANam Bavati idam anena evam kartavyam iti /
   na tvidamanenaivamityevaṃ prakārāṇāṃ padaśatānāmapi	na tu idam anena evam iti evam prakArANAm pada SatAnAm api
   vākyatvamasti'kuryātkriyeta kartavyaṃ bhavetsyāditi	vAkya tvam asti akuryAt kriyeta kartavyam Bavet syAt iti
   pañcamam'ityevamādīnāmanyatame 'sati /	paQcamam aiti evamAdInAm anyatame asati /
   ataḥ paramātmeśvarādīnāmavākyapramāṇatvam, padārthatve ca	atas paramAtma ISvara AdInAm avAkya pramANa tvam, padArTa tve ca
   pramāṇāntaraviṣayatvam /	pramANa antara vizaya tvam /
   ato 'sadetaditi cet? na,'asti	atas asat etat iti cet? na, aasti
   merurvarṇacatuṣṭayopetaḥ'ityevamādyananuṣṭheye 'pi vākyadarśanāt /	meruH varNa catuzwaya upetaH aiti evamAdi ananuzWeye api vAkya darSanAt /
   na ca'merurvarṇacatuṣṭayopetaḥ'ityevamādivākyaśravaṇe	na ca ameruH varNa catuzwaya upetaH aiti evam Adi vAkya SravaNe
   mervādāvanuṣṭheyatvabuddhirutpadyate /	meru AdO= anuzWeya tva budDiH utpadyate /
   tathā astipadasahitānāṃ paramātmeśvarādipratipādakavākyapadānāṃ viśeṣaṇa	taTA asti pada sahitAnAm paramAtma ISvara Adi pratipAdaka vAkya padAnAm viSezaNa
   viśeṣyabhāvena saṃhatiḥ kena vāryate /	viSezya BAvena saMhatiH kena vAryate /
   mervādijñānavatparamātmajñāne prayojanābhāvādayuktamiti cet?	meru Adi jQAna vat param Atma jQAne prayojana aBAvAt ayuktam iti ced ?
   na,"brahmavidāpnoti param"(tai.u.2 / 1 / 1) "brahmavidāpnoti param	na," brahma vid Apnoti param"(tE.u.2 / 1 / 1) "brahma vid Apnoti param
   bhidyate hṛdayagranthiḥ"(mu.u.2 / 2 / 8) iti phalaśravaṇāt,	Bidyate hRdaya granTiH"(mu.u.2 / 2 / 8) iti Pala SravaNAt,
   saṃsārabījāvidyādidoṣanivṛttidarśanācca /	saMsAra bIja avidyA Adi doza nivRtti darSanAt ca /
   ananyaśeṣatvācca tajjñānasya, juhvāmiva phalaśruterarthavādatvānupapatti /	ananya Seza tvAt ca tat jQAnasya, juhvAm iva Pala SruteH arTa vAda tva anupapatti /
   pratiṣiddhāniṣṭaphalasambandhaśca vedādeva vijñāyate /	pratizidDa anizwa Pala sambanDaH ca vedAt eva vijQAyate /
   na cānuṣṭheyaḥ saḥ /	na ca anuzWeyaH saH /
   na ca pratiṣiddhaviṣaye pravṛttakriyasya akaraṇādanyadanuṣṭheyamasti /	na ca pratizidDa vizaye pravRtta kriyasya akaraNAt anyat anuzWeyam asti /
   akartavyatājñānaniṣṭhataiva hi paramārthataḥ pratiṣedhavidhīnāṃ syāt /	akartavya tA jQAna nizWatA eva hi paramArTataH pratizeDa viDInAm syAt /
   kṣudhārtasya pratiṣedhajñānasaṃskṛtasya abhakṣye 'bhojye vā pratyupasthite	kzuDA Artasya pratizeDa jQAna saMskRtasya aBakzye aBojye vA pratyupasTite
   kalajjābhiśastānnādau'idaṃ bhakṣyamado bhojyam'iti vā jñānamutpannam,	kalajjA aBiSasta at nAdO aidam Bakzya madaH Bojyam aiti vA jQAnam utpannam,
   tadviṣayayā pratiṣedhajñānasmṛtyā bādhyate /	tad vizayayA pratizeDa jQAna smRtyA bADyate /
   mṛgatṛṣṇikāyāmiva peyajñānaṃ tadviṣayayāthātmyavijñānena /	mRgatRzNikAyAm iva peya jQAnam tad vizaya yATAtmya vijQAnena /
   tasminbādhite snābhāvikanarthakarītadbhakṣaṇabhojanapravṛttirna bhavati /	tasmin bADite snABa Avika narTa karI tad BakzaNa Bojana pravRttiH na Bavati /
   viparītajñānanimittāyāḥ pravṛtternivṛttireva, na punaryatnaḥ	viparIta jQAna nimittAyAH pravRtteH nivRttiH eva, na punar yatnaH
   kāryastadabhāve /	kAryaH tad aBAve /
   tasmāt pratiṣedhavidhīnāṃ vastuyāthātmyajñānaniṣṭhataiva, na	tasmAt pratizeDa viDInAm vastu yATAtmya jQAna nizWatA eva, na
   puruṣavyāpāraniṣṭhatāgandho 'pyasti /	puruza vyApAra nizWata aganDaH api asti /
   tathehāpi paramātmādiyāthātmyajñānavidhīnāṃ tāvanmātraparyavāsanataiva	taTA iha api paramAtma Adi yATAtmya jQAna viDInAm tAvat mAtra paryavAsana tA eva
   syāt /	syAt /
   tathā tadvijñānasaṃskṛtasya tadviparītārthajñānanimittānāṃ	taTA tad vijQAna saMskRtasya tad viparIta arTa jQAna nimittAnAm
   pravṛttīnāmanarthārthatvena jñāyamānatvāt paramātmādiyāthātmyajñānasmṛtyā	pravRttInAm anarTa arTa tvena jQAyamAna tvAt paramAtma Adi yATAtmya jQAna smRtyA
   svābhāvike tannimittavijñāne bādhite 'bhāvaḥ syāt /	svABAvike tad nimitta vijQAne bADite aBAvaH syAt /
   nanu kalañjādibhakṣaṇāderanarthārthatvavastuyāthātmyajñānasmṛtyā	nanu kalaQja Adi BakzaNa AdeH anarTa arTa tva vastu yATAtmya jQAna smRtyA
   svābhāvike tadbhakṣyatvādiviṣayaviparītajñāne nivartite	svABAvike tad Bakzya tva Adi vizaya viparIta jQAne nivartite
   tadbhakṣaṇādyanarthapravṛttyabhāvavadapratiṣedhaviṣayatvācchāstravihitapravṛttyabhāvo	tad BakzaNa Adi anarTa pravRtti aBAvavat apratizeDa vizaya tvAt SAstra vihita pravRtti aBAvaH 
