   // bhūmikā //	// BUmikA //
   // śrīmate bhagavadrāmānujāya namaḥ //	// SrImate Bagavat-rAma-anujAya namaH //
   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   kiñca svācāryairvādihaṃsāmbuvāhāryaiḥ praṇīte vidyamāna eva hi	kiQca su-AcAryEH-vAdi-haMsa-ambu-vAha-AryEH praNIte vidyamAnaH eva hi
   nyāyakuliśākhye nyāyanibandharatne nyāyapariśuddhimācāryaḥ svayaṃ	nyAya-kuliSa-AKye nyAya-nibanDa-ratne nyAya-pariSudDim-AcAryaH svayam
   nibabandha /	nibabanDa /
   avaśyavaktavyeṣu cārtheṣu joṣaṃbhāvaḥ kathañcidapi śāsrācāryatāyāḥ sadṛśo	avaSya-vaktavyezu ca-arTezu jozaMBAvaH kaTaQcid-api SAsra-AcArya-tAyAH sadRSaH-
   na bhavati /	na Bavati /
   na ca navanavārthāviṣkaraṇamarvācāṃ prācīnācāryaparibhavāya /	na ca nava-nava-arTa-AvizkaraNam-arvAcAm prAcInAcArya-pariBavAya /
   api ca, "nikhilanigamaśreṇīcūḍāpariṣkṛtirūpiṇī	api ca, "niKila-nigama-SreNI-cUxA-parizkRti-rUpiNI
   nipuṇamanasāmāśāsaudhasthalīṣu nibadhyate" //	nipuNa-manasAm-ASA-sODa-sTalIzu nibaDyate" //
   iti prabandhopakramapratijñānameva pradarśayati	iti prabanDa-upakrama-pratijQAnam-eva pradarSayati
   granthāntarairacaritārthasya sarvavedāntārthasaṃskārasya mahāmatibhirapi	granTa-antarEH-acarita-arTasya sarva-vedAnta-arTa-saMskArasya mahAmatiBiH-api
   sarvajñasakāśāt śuśrūṣitasya pratipādanārthamapūrvāyāḥ kṛteḥ samārambha	sarvajQa-sakASAt SuSrUzitasya pratipAdana-arTam-apUrvAyAH kRteH samAramBa
   iti /	iti /
   sa kathaṃ na paripūryeta ? /	sa kaTam na paripUryeta ? /
   kiñca nijanibandhasya śrutaprakāśikārakṣaṇāṅgīkārasamaya eva	kiQca nija-nibanDasya Sruta-prakASikA-rakzaNa-aFgIkAra-samayaH eva
   labdhaprasaratāmanusmṛtya parakīyagranthapravacanamaṅgīkṛtamācāryairiti	labDa-prasaratAm-anusmRtya parakIya-granTa-pravacanam-aFgIkRtam-AcAryEH-iti
   śakyamabhyūhitum /	Sakyam-aByUhitum /
   tathāca sati tattvaṭīkāgranthalopanidānamarvācāmācāryāṇāṃ	taTA-ca sati tattvawI-kA-granTa-lopanidAna-m-arvAcAm-AcAryANAm
   tatrāpariśīlanameva, na tu granthāparisamāptiḥ /	tatra-apariSIlanam-eva, na tu granTa-apari-samAptiH /
   yathāhi nyāyasiddhāñjanamapi jaḍadravyaparicche denaiva paryavasitaṃ	yaTA-hi nyAya-sidDa-aQjanam-api jaxa-dravya-paricCe dena-eva paryavasitam
   sāṃprataṃ paridṛśyate, adravyaparicchedastu patita eva /	sAMpratam paridRSyate, adravya-paricCedaH-tu patitaH eva /
   aśakyaṃ ca tatpūraṇamanyaiḥ /	aSakyam ca tad-pUraNam-anyEH /
   itthamamumarthaṃ śrīraṅgarāmānujagurureva nyāyasiddhāñjanavyākhyāne "na	itTam-amum-arTam SrIraFga-rAma-anujaguruH-eva nyAya-sidDa-aQjana-vyAKyAne "na
   kvāpyataḥ paramadṛsyata kośaśeṣa- staccheṣapūraṇakṛtiḥ parihāsahetuḥ /	kvApi-atas parama-dRsyata koSa-Seza stad-Seza-pUraNa-kRtiH parihAsa-hetuH /
   jñātavyamanyadapi tairniraṇāyi samya- ggranthāntareṣviti na kiñcidihāsti	jQAtavyam-anyat-api tEH-niraNAyi samya ggranTa-antarezu-iti na kiQcid-iha-asti
   cintyam" //	cintyam" //
   iti nigamayannivedayati /	iti nigamayat-nivedayati /
   śatadūṣaṇyapi hi na samagrā dṛśyate /	Sata-dUzaNI-api hi na samagrA dRSyate /
   ṣaṭṣaṣṭireva vādā loke pracaranti /	zawzazwiH-eva vAdAH loke pracaranti /
   śeṣe tu mithyaiva kimapyaitihyaṃ kalpayitvā katipaye prajalpanti /	Seze tu miTyA-eva kim-api-Etihyam kalpayitvA katipaye prajalpanti /
   yattāvat dvaitamatakhaṇḍanaparaḥ śeṣo granthaḥ madhvamatasthena	yat-tAvat dvEta-mata-KaNxana-paraH SezaH granTaH maDvamatasTena
   kenacidyatinā bhikṣāmaṭatā savinayamupasṛtya prārthitoyamācāryaḥ taṃ tasya	kenacid-yatinA BikzAm-awa-tA sa-vinayam-upasRtya prArTitoyam-AcAryaH tam tasya
   bhikṣārthe prāyacchiditi, tadapi na vicārakṣamam /	BikzA-arTe prAyacCiditi, tat-api na vicAra-kzamam /
   na hyācāryagrantheṣu kvacidapi madhvamataṃ nirasyate /	na hi-AcArya-granTezu kvacid-api maDva-matam nirasyate /
   tattvaviplavābhāvāt, avāntareṣu cārtheṣu	tattva-viplava-aBAva-at, avAntarezu ca-arTezu
   naiyāyikavaiśeṣikādipratipāditasyaiva dvaitasyānuvādāt, anatipracuratayā	nEyAyika-vESezika-Adi-pratipAditasya-eva dvEtasya-anuvAda-at, anatipracura-tayA
   tasya matasya lokaviplavaprasaṃgābhāvāccānāsthaivācāryāṇāṃ tatra syāt /	tasya matasya loka-viplava-prasaMga-aBAvAt-cAnA-sTA-eva-AcAryANAm tatra syAt /
   ataścatustriṃśadvādā madhvamatakhaṇḍanaparā iti kiṃvadantīmātrametat /	atas-catustriMSadvAdAH maDva-mata-KaNxana-parAH iti kiMvad-antI-mAtram-etat /
   śatadūṣaṇī ca śaṅkādikṛtasūtravyākhyānādinirāsārthameva pravṛtteti ca	SatadUzaNI ca SaFkA-Adi-kRta-sUtra-vyAKyAna-Adi-nirAsa-arTam-eva pravRttA-iti ca
   tadgranthamukha eva sphuṭībhavati /	tad-granTa-muKaH eva sPuwIBavati /
   tatra hi ---- "prācīmupetya padavīṃ yatirājadṛṣṭāṃ tatsaṃnikṛṣṭamapi vā	tatra hi --- "prAcIm-upetya padavIm yati-rAja-dRzwAm tad-saMnikRzwam-api vA
   matamāśrayantaḥ /	matam-ASrayantaH /
   prājñā yathoditamidaṃ śukavat paṭhantaḥ pracchannabauddhavijaye parito	prAjQAH yaTA-uditam-idam Suka-vat paWantaH pracCanna-bOdDa-vijaye paritas-
   yatadhvam" //	yataDvam" //
   iti pratiśrutam /	iti pratiSrutam /
   atra 'tatsaṃnikṛṣṭamapi vā matamāśrayantaḥ' ityanena dvaitinaḥ	atra atat-saMnikRzwam-api vA matam-ASrayantaH-a iti-anena dvEtinaH
   svapakṣīkriyante /	sva-pakzIkriyante /
   advaitakhaṇḍanameva ca granthapravṛttiprayojanamiti ca darśitam /	advEta-KaNxanam-eva ca granTa-pravRtti-prayojanam-iti ca darSitam /
   tathā ca---vidyāraṇyākṣobhyamunivivāde nirṇayaṃ bruvadbhirācāryeḥ "asinā	taTA ca---vidyA-araNya-akzoBya-muni-vivAde nirNayam bruvadBiH-AcAryeH "asinA
   tattvamasinā parajīvaprabhedinā /	tattvam-asinA para-jIva-praBedinA /
   vidyāraṇyamahāraṇyamakṣobhyamuniracchinat" //	vidyA-araNya-mahA-araNyam-akzoBya-muniH-acCinat" //
   ityuktam /	iti-uktam /
   'śātitaḥ śatadūṣaṇyāṃ śaṅkarādimudhāgrahaḥ /	aSAtitaH Sata-dUzaNyAm SaFkara-Adi-muDA-grahaH /
   ' ityatra tu śaṅkarādītyādipadaṃ yādavabhāskarayoḥ saṃgrahāyeti sthitam /	a iti-atra tu SaFkara-Adi-ityAdi-padam yAdava-BAskarayoH saMgrahAya-iti sTitam /
   tasmāt samagragranthādarśanamarvācāmācāryāṇāṃ pravacanavicchedanibandhanaṃ	tasmAt samagra-granTa-adarSanamarvAcAm-AcAryANAm pravacana-vicCeda-nibanDanam
   prabandhalopaheturiti spaṣṭametat //	prabanDa-lopahetuH-iti spazwam-etat //
   atra prasaktānuprasaktamācāryasya kṛṣṇamiśrasamāgamacaritaṃ	atra prasakta-anuprasaktam-AcAryasya kRzNa-miSra-samAgama-caritam
   kiñcidupanyasyate---kṛṣṇamiśro hi gauḍadeśīyaḥ paṇḍitacūḍāmaṇiḥ sarvāsu	kiQcid-upanyasyate---kRzNa-miSraH hi gOxa-deSIyaH paNxita-cUxAmaNiH sarvAsu
   vidyāsu kalāsu ca saviśeṣakṛtaśramaḥ kaviśca brahmādvaitaṃ	vidyAsu kalAsu ca sa-viSeza-kRta-SramaH kaviH-ca brahmAdvEtam
   siddhantamātiṣṭhamāno vādakutūhalitayā sarvā diśaḥ paryaṭan jitakāśī	sidDantam-AtizWamAnaH vAda-kutUhalitayA sarvAH diSaH paryawan jita-kASI
   krameṇa dakṣiṇāndiśamācakrāma /	krameNa dakziNAn-diSamAcakrAma /
   tatra śrīraṅgaṃ divyakṣetraṃ viduṣāmāvāsamākarṇya devasevāpadeśena	tatra SrIraFgam divya-kzetram viduzAm-AvAsam-AkarNya deva-sevA-apadeSena
   vādasamaramarthayamānaḥ śrīraṅgarājasya bhavagataḥ prāsādamāsadāda /	vAda-samaram-arTayamAnaH SrIraFga-rAjasya Bava-gataH prAsAda-mAsadAda /
   tadānīṃ tatra bhāṣāmayīrgāthāḥ sarāgatālaṃ gīyamānā niśamya tatkartṝṇāṃ ca	tadAnIm tatra BAzA-mayIH-gATAH sa-rAga-tAlam gIyamAnAH niSamya tad-kartLNAm ca
   kavīnāṃ varṇāvarāṇāmapi pratimāstasmin devālaye devopacārairārādhyamānā	kavInAm varNa-avarANAm-api pratimAH-tasmin devAlaye deva-upacArEH-ArADyamAnA
   viditvā tatra sevāsamavetān jñānavṛddhān śrīvaiṣṇavānāmantrya 'bhoḥ	viditvA tatra sevA-samavetAn jQAna-vRdDAn SrI-vEzNavAn-Amantrya aBoH
   prājñāḥ, bhavatāmanenāpabhraṃśapāṭhena varṇāvarapūjanena ca dūrāpoḍhaṃ	prAjQAH, BavatAm-anena-apaBraMSa-pAWena varNa-avara-pUjanena ca dUra-apoXam
   veṣṇavaṃ tejaḥ /	vezNavam tejaH /
   kimanenārādhanena ? /	kim-anena-ArADanena ? /
   anthathākṛtamakṛtaṃ hi bhavati' iti sākṣepaṃ papraccha /	anTaTa-akRtam-akRtam hi Bavati-a iti sa-Akzepam papracCa /
   yadā tairmilitairapi na kiñcidākṣepasadṛśamuttaraṃ pratipannaṃ, tadā	yadA tEH-militEH-api na kiQcid-Akzepa-sadRSam-uttaram pratipannan, tadA
   tadātanāya taddeśādhipataye tamarthamāvedya, pratiṣṭhāprabhṛti sarva	tad-AtanAya tad-deSa-aDipataye tam-arTam-Avedya, pratizWA-praBRti sarva
   evālayasaṃskāraḥ kāryaḥ pratyagra eva iti ca niyamya taṃ divyālayaṃ	eva-Alaya-saMskAraH kAryaH pratyagraH eva iti ca niyamya tam divya-Alayam
   gāḍhaghaṭitārgaladvāraṃ parityaktāśeṣapūjotsavaṃ ca kārayāmāsa /	gAXa-Gawita-argala-dvAram parityakta-aSeza-pUjA-utsavam ca kArayAmAsa /
   lokācāryaprabhṛtayaśca bahavastatra darśanaguravastādṛśaṃ	loka-AcArya-praBRtayaH-ca bahavaH-tatra darSana-guravaH-tAdRSam
   vaiśasamacintitopanatamanusmṛtya durante duḥkhasāgare nimagnāstaṃ ca	vESasam-acintita-upanatam-anusmRtya durante duHKa-sAgare nimagnAH-tam ca
   prativādinaṃ sarvavidyāviśāradaṃ vādāhavanavaśūramaprakampyamākalayantaḥ	prativAdinam sarva-vidyA-viSAradam vAdAhava-navaSUram-aprakampyam-AkalayantaH
   sabhāmabhinavāṃ kāmapi saṃgamayya tasyānarthasya kiñcidapi pratividhānaṃ	saBAm-aBinavAm kAm-api saMgamayya tasya-anarTasya kiQcid-api prativiDAnam
   cintayāmāsuḥ /	cintayAmAsuH /
   tasmin mahati sadasi viduṣāṃ saṃpradāyācāryaḥ śrīmān lokācāryaḥ sarveṣāṃ	tasmin mahati sadasi viduzAm saMpradAya-AcAryaH SrImAn loka-AcAryaH sarvezAm
   sabhāsadāmavadheyavacanaḥ samarthāmabhyarhitāṃ vācamādade--- "bhoḥ	saBA-sadAm-avaDeya-vacanaH samarTAm-aByarhitAm vAcam-Adade-- "BoH
   bhāgavatapradhānāḥ, balavantaṃ paripanthinaṃ parāṅmukhīkartumupāyaḥ	BAgavata-praDAnAH, balavantam paripanTinam parAFmuKIkartum-upAyaH
   kaścidatra me pratibhāti /	kaScid-atra me pratiBAti /
   sa tāvaducyamāno bhavadbhiranumanyatām /	sa tAvat-ucyamAnaH BavadBiH-anumanyatAm /
   asti kila kāñcyāṃ nagaryāṃ veṅkaṭanāthāryo nāma viduṣāṃ prathamaḥ /	asti kila kAQcyAm nagaryAm veFkawanATa-AryaH nAma viduzAm praTamaH /
   sa hi vṛṣaśailanāthasya ghaṇṭāṃśa evāvatīrṇaḥ iti tattvavidāṃ grahaṇam /	sa hi vRza-SEla-nATasya GaNwA-aMSaH eva-avatIrNaH iti tattva-vidAm grahaNam /
   soyaṃ pañcavarṣadeśīyaḥ śiśureva san nijamātulena	soyam paQca-varza-deSIyaH SiSuH-eva san nija-mAtulena
   vādihaṃsāmbuvāhenātreyarāmānujācāryeṇa śārīrakabhāṣyagrahaṇāya	vAdi-haMsa-ambu-vAhena-Atreya-rAma-anuja-AcAryeNa SArIraka-BAzya-grahaNAya
   varadagurusakāśaṃ gacchatā priyabhāgineyena nītastatra bhāṣyaviṣaye	varada-guru-sakASam gacCatA priya-BAgineyena nItaH-tatra BAzya-vizaye
   prasaktān bahūn saṃdehaśṛṅkhalāgranthīn visraṃsayaṃstayā tatrasamavetayā	prasaktAn bahUn saMdeha-SRFKalA-granTIn visraMsayan=-tayA tatra-samavetayA
   prajñāvṛddhapariṣadā apūrvaprasādavismayacitritacittayā	prajQA-vRdDa-parizadA apUrva-prasAda-vismaya-citrita-cittayA
   sabahumānamavalokitaḥ śrīmatā ca varadaguruṇā	sa-bahu-mAnam-avalokitaH SrImatA ca vara-da-guruNA
   śrībhagavadrāmānujasiddhāntasya daivāt saṃprati saṃjātamavalambanamiti	SrI-Bagavat-rAma-anuja-sidDAntasya dEvAt saMprati saMjAtam-avalambanam-iti
   baddhāśvāsena, 'pratiṣṭhāpitavedāntaḥ pratikṣaptabahirmataḥ /	badDa-ASvAsena, apratizWApita-veda-antaH pratikzapta-bahis-mataH /
   bhūyāstraividyamānyastvaṃ bhūrikalyāṇabhājanam //	BUyAH-trEvidyamAnyaH-tvam BUri-kalyANa-BAjanam //
   ' ityāśiṣaṃ prayuñjānena 'asya kumārasya svataḥ	a iti-ASizam prayuQjAnena aasya kumArasya svatas-
   pratibhātasamastaśāstrārthasārasya vidyāsaṃskāramātraphalo gurūpadeśo	pratiBAta-samasta-SAstra-arTa-sArasya vidyA-saMskAra-mAtra-PalaH guru-upadeSaH-
   bhaviṣyati /	Bavizyati /
   na tu jñāne kaścidapi śaktileśa ādheyo bhavati /	na tu jQAne kaScid-api Sakti-leSaH ADeyaH Bavati /
   bhagavānapi hi devakīnandanaḥ vidyāgrahaṇāya sāṃdīpinerācāryasya sakāśe	BagavAn-api hi devakI-nandanaH vidyA-grahaNAya sAMdI-pineH-AcAryasya sakASe
   gurukulavāsamagrahīt /	guru-kula-vAsam-agrahIt /
   kiṃ cāsya śaiśava evāyaṃ prajñāprakarṣo dāśaratheriva vikramatiśayo	kim ca-asya SESavaH eva-ayam prajQA-prakarzaH dASaraTeH-iva vikramatiSayaH-
   janmasiddhaḥ /	janma-sidDaH /
   nāsau puruṣāntaradṛṣṭiviṣayaṃ prāpayituṃ yuktam /	na-asO puruza-antara-dRzwi-vizayam prApayitum yuktam /
   sābhyasūyāḥ savismāyā vā dṛśo nāsmin bālavayasi patitumarhanti /	sa-aByasUyAH sa-vismAyAH vA dRSaH na-asmin bAla-vayasi patitum-arhanti /
   dṛṣṭidoṣairhi viṣānalairiva prasaradbhistarava ivāvalāḍhāḥ kati nāma	dRzwi-dozEH-hi viza-analEH-iva prasaradBiH-taravaH iva-avalAXAH kati nAma
   mahāguṇāḥ puruṣāḥ svaguṇairlokamanupakṛtyaivāstaṃ gatāḥ /	mahA-guNAH puruzAH sva-guNEH-lokam-anupakRtya-eva-astam gatAH /
   bhavānevāmuṃ sarvaśāstreṣu kṛtaprajñaṃ kartumarhati /	BavAn-eva-amum sarva-SAstrezu kRta-prajQam kartum-arhati /
   śrībhagavadrāmānujasiddhāntasyaiṣa jayadhvajaḥ samucchrīyatām' iyādiśya	SrI-Bagavat-rAma-anuja-sidDAntasya-eza jayaDvajaH samucCrIyatAm-a iyA-AdiSya
   śiśurasau nijamātule vādihaṃsāmbudācārye nyāsīkṛtaḥ //	SiSuH-asO nija-mAtule vAdi-haMsa-ambuda-AcArye nyAsIkRtaH //
   athāsau vayasā viṃśativarṣadeśīya eva san sarvatomukhaprasṛtaprabodhatayā	aTa-asO vayasA viMSati-varza-deSIyaH eva san sarvatomuKa-prasRta-praboDa-tayA
   pareṣāmanabhibhavanīyaḥ saṃvṛttaḥ /	parezAm-anaBiBavanIyaH saMvRttaH /
   evamakṣayyapratibhādraviṇena sarveṣvapi ca tantreṣu nirāmayaṃ	evam-akzayya-pratiBA-draviNena sarvezu-api ca tantrezu nirAmayam
   panthānamavagantuṃ prasādayituṃ cālaṅkarmīṇena cācāryeṇā sārdhaṃ kadācit	panTAnam-avagantum prasAdayitum ca-alaFkarmINena ca-AcAryeNA sArDam kadAcid-
   kāñcīnagare devadevasya bhagavataḥ śrīdevarājasya vaiśākhamāsike	kAQcI-nagare devadevasya BagavataH SrI-devarAjasya vESAKa-mAsike
   yātrāmahotsave vidvatsaṃvādakutūhalitayā samāgataḥ	yAtrA-mahA-utsave vidvat-saMvAda-kutUhalitayA samAgataH
   sarvapathīnavaiduṣīvibhavaḥ prabandharatnapraṇetā cākhilaśāstreṣu	sarva-paTIna-vEduzI-viBavaH prabanDa-ratna-praNetA ca-aKila-SAstrezu
   vidyāraṇya iti kṛtapraśastināmadheyo mādhavācāryo nāma vedabhāṣyakṛt	vidyA-araNyaH iti kRta-praSasti-nAmaDeyaH mADava-AcAryaH nAma veda-BAzya-kRt-
   vādāhave lagno niraṅkuśaniśitatarkaśarāsāravarṣiṇaḥ ācāryasyāgrataḥ	vAda-Ahave lagnaH niraFkuSa-niSita-tarka-Sara-AsAra-varziNaH AcAryasya-agratas-
   pratyavasthātumakṣamo vismayabahumānabharitamanā vijayanagaraṃ prayātaḥ	pratyavasTAtum-akzamaH vismaya-bahu-mAna-Barita-manAH vijaya-nagaram prayAtaH
   svaśiṣyasya rājñastamarthaṃ yathāvṛttamāvedya	sva-Sizyasya rAjQaH-tam-arTam yaTAvRttam-Avedya
   tathāvidhavidvadratnadarśanotkaṇṭhātvaritasya prabhoḥ prārthanayā	taTAviDa-vidvat-ratna-darSana-utkaNWA-tvaritasya praBoH prArTanayA
   chatracāmaraprabhṛtisamastarājaparibarhaparibṛṃhitaṃ	Catra-cAmara-praBRti-samasta-rAja-paribarha-paribRMhitam
   rājaupavāhyapuraḥsaraṃ pradhānasacivahastārpitasabahumānasamāhvānalekhaṃ	rAja-OpavAhya-puraHsaram praDAna-saciva-hasta-arpita-sa-bahu-mAnasamAhvAna-leKam
   ca caturaṅgabalaṃ praṇīyaḥ prārthito vairāgyapañcakaṃ tasya	ca caturaFga-balam praNIyaH prArTitaH vErAgya-paQcakam tasya
   pratyuttarayāñcakāra /	pratyuttarayAQcakAra /
   tena ca mādhavācāryeṇa svīye sarvadarśanasaṃgrahe	tena ca mADava-AcAryeNa svIye sarva-darSana-saMgrahe
   rāmānujadarśanamupakṣipatā--- 'taduktaṃ veṅkaṭanāthena	rAma-anuja-darSanam-upakzipata-a-- atat-uktam veFkawa-nATena
   tattvamuktākakalāpe' ityupakramya, // śrīḥ //	tattvam-uktAka-kalApe-a iti-upakramya, // SrIH //
   // śrīmate hayavadanaparabrahmaṇe namaḥ //	// SrImate haya-vadana-para-brahmaNe namaH //
   // śrīmate rāmānujāya namaḥ //	// SrImate rAma-anujAya namaH //
   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   śrīmāna veṅkaṭanāthārthaḥ kavitārkikakesarī /	SrImAna veFkawa-nATa-arTaH kavi-tArkika-kesarI /
   vedāntācāryavaryo me saṃnidhattāṃ sadā hṛdi	vedAnta-AcArya-varyaH me saMniDattAm sadA hRdi
