   bhīṣmaparva	BIzma-parva
   saktā api na sajjanti paṅke ravikarā iva // Bhmj_6.87 //	saktAH api na sajjanti paFke ravi-karAH iva // Bhmd-_6.87 //
   tadeva vihitaṃ kiṃcitpuṃsāṃ sukṛtaduṣkṛtam /	tat-eva vihitam kiMcid-puMsAm sukRta-duzkRtam /
   ajñānapihite jñāne kiṃ tveṣā karmavāsanā // Bhmj_6.88 //	ajQAna-pihite jQAne kim tu-ezA karma-vAsanA // Bhmd-_6.88 //
   jñānenotsāritā jñānāḥ parāṃ niṣṭhāmupāgatāḥ /	jQAnena-utsAritAH jQAnAH parAm nizWAm-upAgatAH /
   brāhmaṇe vā śvapāke vā vibudhāḥ samadṛṣṭayaḥ // Bhmj_6.89 //	brAhmaNe vA SvapAke vA vibuDAH sama-dRzwayaH // Bhmd-_6.89 //
   bāhye sukhe viraktānāṃ duḥkhajanmani naśvare /	bAhye suKe viraktAnAm duHKa-janmani naSvare /
   antaḥsukhārāmatayā paraṃ jyotiḥ prasīdati // Bhmj_6.90 //	antar-suKa-ArAma-tayA param jyotiH prasIdati // Bhmd-_6.90 //
   bahiḥ sparśānsamutsṛjya bhrūmadhyanihitekṣaṇaḥ /	bahis sparSAn-samutsRjya BrU-maDya-nihita-IkzaNaH /
   nāsāntare samau dhṛtvā prāṇāpānau vimuktaye // Bhmj_6.91 //	nAsA-antare samO DRtvA prANa-apAnO vimuktaye // Bhmd-_6.91 //
   kāmarāgamadadveṣabhayakrodhavivarjitaḥ /	kAma-rAga-mada-dveza-Baya-kroDa-vivarjitaH /
   ahantā jñānatamasāṃ śāntiṃ vindatyamatsaraḥ // Bhmj_6.92 //	ahantA jQAna-tamasAm SAntim vindati-amatsaraH // Bhmd-_6.92 //
   ***** śrīgītāsu pañcamo 'dhyāyaḥ || 6 || *****	***** SrIgItAsu paQcamaH aDyAyaH || 6 || *****
   kriyāvānaphalākāṅkṣī nijaṃ karma karoti yaḥ /	kriyAvAnaPala-AkAFkzI nijam karma karoti yaH /
   ārurukṣudaśātīto yogārūḍho vimatsaraḥ // Bhmj_6.93 //	Arurukzu-daSA-atItaH yoga-ArUXaH vimatsaraH // Bhmd-_6.93 //
   kūṭastho jñānatṛptaśca paśyatyātmānamātmanā /	kUwasTaH jQAna-tRptaH-ca paSyati-AtmAnam-AtmanA /
   samāsanaḥ samākāro nistaraṅga ivodadhiḥ // Bhmj_6.94 //	samAsanaH samAkAraH nistaraFgaH iva-udaDiH // Bhmd-_6.94 //
   ghrāṇāgradarśī śāntātmā māmupaiti samādhinā /	GrANa-agra-darSI SAnta-AtmA mAm-upEti samADinA /
   yuktāhārādiceṣṭasya nityaṃ niṣkampacetasaḥ // Bhmj_6.95 //	yukta-AhAra-Adi-cezwasya nityam nizkampa-cetasaH // Bhmd-_6.95 //
   ātmalābho bhavatyeva tyaktakāmasya yoginaḥ /	Atma-lABaH Bavati-eva tyakta-kAmasya yoginaH /
   manaḥ saṃyamya paśyanti sravatyetadyato yataḥ // Bhmj_6.96 //	manaH saMyamya paSyanti sravati-etat-yatas yatas // Bhmd-_6.96 //
   ātmānaṃ māṃ ca sarvatra mamātmani tathākhilam /	AtmAnam mAm ca sarvatra mama-Atmani taTA-aKilam /
   manasaścañcalasyāsya vairāgyeṇaiva saṃyamaḥ // Bhmj_6.97 //	manasaH-caQcalasya-asya vErAgyeNa-eva saMyamaH // Bhmd-_6.97 //
   tathābhyāsena balinā vātasyeva pramāthinaḥ /	taTA-aByAsena balinA vAtasya-iva pramATinaH /
   etadākarṇya kaunteyaḥ punaḥ papraccha keśavam // Bhmj_6.98 //	etat-AkarNya kOnteyaH punar papracCa keSavam // Bhmd-_6.98 //
   lolatvānmanaso deva yogādbhraṣṭasya kā gatiḥ /	lola-tvAt-manasaH deva yogAt-Brazwasya kA gatiH /
   arjuneneti bhagavānpunaḥ pṛṣṭo 'bhyabhāṣata // Bhmj_6.99 //	arjunena-iti BagavAn-punar pRzwaH aByaBAzata // Bhmd-_6.99 //
   yogabhraṣṭo 'pi puruṣaḥ śubhakṛttu bhaviṣyati /	yoga-BrazwaH api puruzaH SuBa-kRt-tu Bavizyati /
   ciraṃ bhuktvā sukhaṃ divyaṃ sa kalyāṇapuraḥ saraḥ // Bhmj_6.100 //	ciram BuktvA suKam divyam sa kalyANa-puras saraH // Bhmd-_6.100 //
   bhogināṃ yogināṃ vāpi saṃbhūto mahatāṃ kule /	BoginAm yoginAm vA-api saMBUtaH mahatAm kule /
   pūrvābhyastaṃ punardhīmāñjanmabhiḥ pratipadyate /	pUrva-aByastam punar-DImAn-janmaBiH pratipadyate /
   tapo jñānādhikaṃ yogaṃ tasmādyogī bhavārjuna // Bhmj_6.101 //	tapaH jQAna-aDikam yogam tasmAt-yogI Bava-arjunaH // Bhmd-_6.101 //
   ***** śrīgītāsu ṣaṣṭho 'dhyāyaḥ || 7 || *****	***** SrIgItAsu zazWaH aDyAyaH || 7 || *****
   mayi nyastamanā nityaṃ bhaktyā māṃ vetti mānava /	mayi nyasta-manAH nityam BaktyA mAm vetti mAnavaH /
   aṣṭamūrtirahaṃ sarvaṃ jīvabhūtaścarācare // Bhmj_6.102 //	azwamUrtiH-aham sarvam jIva-BUtaH-carAcare // Bhmd-_6.102 //
   utpattisthitisaṃhārakāraṇaṃ māṃ vidurbudhāḥ /	utpatti-sTiti-saMhAra-kAraNam mAm viduH-buDAH /
   sarve matprāṇitā bhāvā mayi sarvaṃ pratiṣṭhitam // Bhmj_6.103 //	sarve mad-prANitAH BAvAH mayi sarvam pratizWitam // Bhmd-_6.103 //
   devīṃ māyāṃ dadhānaṃ māṃ na jānāti vimohitaḥ /	devIm mAyAm daDAnam mAm na jAnAti vimohitaH /
   ye tu jānanti māṃ māyāṃ bhavanti kṛtinaḥ sadā // Bhmj_6.104 //	ye tu jAnanti mAm mAyAm Bavanti kRtinaH sadA // Bhmd-_6.104 //
   arthī jijñāsurārto vā jñānī vā māṃ prapadyate /	arTI jijQAsuH-ArtaH vA jQAnI vA mAm prapadyate /
   priyaḥ priyasya satataṃ jñāninastvasmi gocare // Bhmj_6.105 //	priyaH priyasya satatam jQAninaH-tu-asmi gocare // Bhmd-_6.105 //
   ananyadevatābhaktāḥ śraddhāvanto visaṃśayāḥ /	ananya-devatA-BaktAH SradDAvantaH visaMSayAH /
   vāsudevaḥ sarvamiti yajante māṃ mumukṣavaḥ // Bhmj_6.106 //	vAsudevaH sarvam-iti yajante mAm mumukzavaH // Bhmd-_6.106 //
   te brahmādhyātmakarmākhyaṃ sādhibhūtaṃ vidanti mām /	te brahma-aDyAtma-karma-AKyam sa-aDiBUtam vidanti mAm /
   sādhidaivādhiyajñaṃ ca dehavyuparameṣvapi // Bhmj_6.107 //	sa-aDidEva-aDiyajQam ca deha-vyuparamezu-api // Bhmd-_6.107 //
   ***** śrīgītāsu saptame 'dhyāyaḥ || 8 || *****	***** SrIgItAsu saptame aDyAyaH || 8 || *****
   acyutenetyabhihite śakrasūnurabhāṣata /	acyutena-iti-aBihite Sakra-sUnuH-aBAzata /
   kimetadbrahma bhagavannadhiyajñaḥ kimucyate // Bhmj_6.108 //	kim-etat-brahma Bagavan=-aDiyajQaH kim-ucyate // Bhmd-_6.108 //
   iti pṛṣṭo hṛṣīkeśo babhāṣe śvetavāhanam /	iti pRzwaH hRzIkeSaH baBAze SvetavAhanam /
   anaśvaraṃ parabrahma bhāvo 'dhyātmā tathātmanaḥ // Bhmj_6.109 //	anaSvaram para-brahma BAvaH aDyAtmA taTA-AtmanaH // Bhmd-_6.109 //
   niḥsaṅgo bhavakṛtkarma naśvareṣvadhibhūtatā /	niHsaFgaH Bava-kRt-karma naSvarezu-aDiBUta-tA /
   adhidaivo 'hamevātra hyadhiyajño 'pyahaṃ vibhuḥ // Bhmj_6.110 //	aDidEvaH aham-eva-atra hi-aDiyajQaH api-aham viBuH // Bhmd-_6.110 //
   antakāle smaranto māṃ praviśantyeva bhāvitāḥ /	antakAle smarantaH mAm praviSanti-eva BAvitAH /
   paryante bhāvatulyā hi nṛṇāṃ janmāntarasthitiḥ // Bhmj_6.111 //	paryante BAva-tulyA hi nRNAm janma-antara-sTitiH // Bhmd-_6.111 //
   kaviṃ purāṇaṃ śāstāramaṇīyāṃsamaṇorapi /	kavim purANam SAstA-ram-aNIyAMsa-m-aNoH-api /
   parastāttamaso nityaṃ ye smaranti raviprabham // Bhmj_6.112 //	parastAt-tamasaH nityam ye smaranti ravi-praBam // Bhmd-_6.112 //
   bhrūmadhye vihitaprāṇā brahmarandhravibhedinaḥ /	BrU-maDye vihita-prANAH brahmaranDra-viBedinaH /
   omityekākṣaraṃ brahma japanto yānti te param // Bhmj_6.113 //	om-iti-eka-akzaram brahma japantaH yAnti te param // Bhmd-_6.113 //
   brahmādibhirbhūtasargaścakravatparivartate /	brahma-AdiBiH-BUta-sargaH-cakra-vat-parivartate /
   paraṃ māṃ pratipannāste na bhavanti bhave punaḥ // Bhmj_6.114 //	param mAm pratipannAH-te na Bavanti Bave punar // Bhmd-_6.114 //
   vairañce 'sminnahorātre bhavanti na bhavanti ca /	vEraQce asmin=-ahorAtre Bavanti na Bavanti ca /
   bhūtānyekastu bhagavānavyakto na vinaśyati /	BUtAni-ekaH-tu BagavAn-avyaktaH na vinaSyati /
   tejomayamahaḥ śuklo mokṣāyaivottarāyaṇam // Bhmj_6.115 //	tejaH-mayam-ahar SuklaH mokzAya-eva-uttarAyaNam // Bhmd-_6.115 //
   ***** śrīgītāsvaṣṭamo 'dhyāyaḥ || 9 || *****	***** SrI-gItAsu-azwamaH aDyAyaH || 9 || *****
   rājaguhyamidaṃ cānyatpavitraṃ śṛṇu phalguṇa /	rAja-guhyam-idam ca-anyat-pavitram SRNu PalguNa /
   aśraddadhāno nāpnoti māṃ saṃsāravaśīkṛtaḥ // Bhmj_6.116 //	aSraddaDAnaH na-Apnoti mAm saMsAra-vaSIkRtaH // Bhmd-_6.116 //
   sarvakartari bhūtāni mayi santi na teṣvaham /	sarva-kartari BUtAni mayi santi na tezu-aham /
   lokāḥ sthitā na sthitāśca mayi vyomnīva vāyavaḥ // Bhmj_6.117 //	lokAH sTitAH na sTitAH-ca mayi vyomni-iva vAyavaH // Bhmd-_6.117 //
   adhiṣṭhitaiṣā prakṛtirmayā sūte carācaram /	aDizWitA-ezA prakRtiH-mayA sUte carAcaram /
   asaktaṃ māṃ na jānanti malināmoghadarśinaḥ // Bhmj_6.118 //	asaktam mAm na jAnanti malina-amoGa-darSinaH // Bhmd-_6.118 //
   sarvaṃ sarvagataṃ yajñaṃ vedyaṃ bījaṃ bhavābhavam /	sarvam sarva-gatam yajQam vedyam bIjam Bava-aBavam /
   vidanti māṃ sukutinaḥ sarvakāraṇakāraṇam // Bhmj_6.119 //	vidanti mAm sukutinaH sarva-kAraNa-kAraNam // Bhmd-_6.119 //
   trayīdharmajuṣaḥ svargabhogalābhakṣayākulāḥ /	trayI-Darma-juzaH svarga-Boga-lABa-kzaya-AkulAH /
   na prāpnuvanti māṃ śuṣkakriyāpāśavaśīkṛtāḥ // Bhmj_6.120 //	na prApnuvanti mAm Suzka-kriyA-pASa-vaSIkRtAH // Bhmd-_6.120 //
   madekaśaraṇā nityaṃ kṛtino 'nanyayājinaḥ /	mad-eka-SaraNAH nityam kRtinaH ananya-yAjinaH /
   apyanyayonisaṃbhūtāḥ svayamāyānti yatpadam // Bhmj_6.121 //	api-anya-yoni-saMBUtAH svayam-AyAnti yat-padam // Bhmd-_6.121 //
   ***** śrīgītāsu navamo 'dhyāyaḥ || 10 || *****	***** SrIgItAsu navamaH aDyAyaH || 10 || *****
   bhūyo 'pi me śṛṇu sakhe prītyā yatpratibodhyase /	BUyas api me SRNu saKe prItyA yat-pratiboDyase /
   na tattvenāmaragaṇā munayo vā vidanti mām // Bhmj_6.122 //	na tattvena-amara-gaNAH munayaH vA vidanti mAm // Bhmd-_6.122 //
   carācare 'sminpravaraṃ yadyatpaśyasi bhūtimat /	carAcare asmin-pravaram yat-yat-paSyasi BUtimat /
   tadahaṃ sarvabhūtātmā na hi kiṃcinmayā vinā // Bhmj_6.123 //	tat-aham sarva-BUta-AtmA na hi kiMcid-mayA vinA // Bhmd-_6.123 //
   ahaṃ viṣṇurahaṃ sūryaścandro 'haṃ maghavānaham /	aham vizNuH-aham sUryaH-candraH aham maGavAn-aham /
   śaṃkaro 'haṃ dhaneśaśca vahniḥ suragurustathā /	SaMkaraH aham DaneSaH-ca vahniH suraguruH-taTA /
   akṣaro 'hamahaṃ kālo jayo 'haṃ bhūtirapyaham // Bhmj_6.124 //	akzaraH aham-aham kAlaH jayaH aham BUtiH-api-aham // Bhmd-_6.124 //
   ***** śrīgītāsu daśamo 'dhyāyaḥ || 11 || *****	***** SrIgItAsu daSamaH aDyAyaH || 11 || *****
   śrutvaitadavadatpārtho jāne tvāṃ sarvamacyuta /	SrutvA-etat-avadat-pArTaH jAne tvAm sarvam-acyuta /
   kiṃtu viśvamayaṃ rūpaṃ draṣṭumicchami te vibho // Bhmj_6.125 //	kiMtu viSva-mayam rUpam drazwum-icCami te viBo // Bhmd-_6.125 //
   ityuktaḥ pāṇḍuputreṇa bhagavānkaiṭabhāntakaḥ /	iti-uktaH pANxu-putreNa BagavAn-kEwaBa-antakaH /
   viśvāviṣkārakalayā viśvarūpamadarśayat // Bhmj_6.126 //	viSva-AvizkAra-kalayA viSva-rUpam-adarSayat // Bhmd-_6.126 //
   tasyānantaśironetrasahasrabhujaśālinaḥ /	tasya-ananta-SiraH-netra-sahasra-Buja-SAlinaH /
   dehe jagannivāsasya līnaṃ viśvamadṛśyata // Bhmj_6.127 //	dehe jagannivAsasya lInam viSvam-adRSyate // Bhmd-_6.127 //
   atisūryāgnimahasā tejasā pūritāmbaram /	ati-sUrya-agni-mahasA tejasA pUrita-ambaram /
   dṛṣṭvā pulakitaḥ pārthastamuvāca kṛtāñjaliḥ // Bhmj_6.128 //	dRzwvA pulakitaH pArTaH-tam-uvAca kRtAQjaliH // Bhmd-_6.128 //
   paśyāmyudagragīrvāṇagrāmavyāptoruvigraham /	paSyAmi-udagra-gIrvANa-grAma-vyApta-uru-vigraham /
   tvāṃ yena pūritaṃ sarvamanavacchinnavarṣmaṇā // Bhmj_6.129 //	tvAm yena pUritam sarvam-anavacCinna-varzmaNA // Bhmd-_6.129 //
   brahmarudramarudvahnimunīndrabhujagākulam /	brahma-rudra-marut-vahni-muni-indra-Bujaga-Akulam /
   draṣṭuṃ tadeva paryantarahitaṃ notsahe vapuḥ // Bhmj_6.130 //	drazwum tat-eva paryanta-rahitam na-utsahe vapuH // Bhmd-_6.130 //
   bhīṣmadroṇamukhānvīrānpraviṣṭānvadanāni te /	BIzma-droNa-muKAn-vIrAn-pravizwAn-vadanAni te /
   daṃṣṭrotkaṭāni paśyāmi kālasyeva yugakṣaye // Bhmj_6.131 //	daMzwra-utkawAni paSyAmi kAlasya-iva yuga-kzaye // Bhmd-_6.131 //
   ko bhavānsarvasaṃhārāraudreṇa vapuṣāsūdanaḥ /	kaH BavAn-sarva-saMhArA-rOdreNa vapuzA-sUdanaH /
   akāṇḍe dagdhumakhilānsvayaṃ lokānsamudyataḥ // Bhmj_6.132 //	akANxe dagDum-aKilAn-svayam lokAn-samudyataH // Bhmd-_6.132 //
   ityuktavati kaunteye jagāda madhusūdanaḥ /	iti-uktavati kOnteye jagAda maDusUdanaH /
   ahaṃ jagatkṣayotkṣopadīkṣitaḥ kṣitipāntakaḥ // Bhmj_6.133 //	aham jagat-kzaya-utkzopa-dIkzitaH kzitipAntakaH // Bhmd-_6.133 //
   kurusenāgragānvīrānpūrvaṃ vinihatānmayā /	kuru-senA-agragAn-vIrAn-pUrvam vinihatAn-mayA /
   hatvā yaśaḥśriyā jṛṣṭamavāpnuhi kulocitam // Bhmj_6.134 //	hatvA yaSaH-SriyA jRzwam-avApnuhi kula-ucitam // Bhmd-_6.134 //
   tacchrutvā kāliyārātervacaḥ pārthaḥ kṛtāñjaliḥ /	tat-SrutvA kAliya-arAteH-vacaH pArTaH kRtAQjaliH /
   uvāca kampitamanāḥ praṇato gadgadasvanaḥ // Bhmj_6.135 //	uvAca kampita-manAH praNataH gadgada-svanaH // Bhmd-_6.135 //
   kīrtyā jaganti hṛṣyanti stutayā siddhacāraṇaiḥ /	kIrtyA jaganti hRzyanti stutayA sidDa-cAraNEH /
   dīptyā dravanti rakṣāṃsi sthāne tava janārdana // Bhmj_6.136 //	dIptyA dravanti rakzAMsi sTAne tava janArdanaH // Bhmd-_6.136 //
   naumi tvāṃ jagadāvāsaṃ viśvarūpamadhokṣajam /	nOmi tvAm jagat-AvAsam viSva-rUpam-aDokzajam /
   anantaṃ śāśvataṃ dhāma sarvātmānaṃ punaḥ punaḥ // Bhmj_6.137 //	anantam SASvatam DAma sarva-AtmAnam punar punar // Bhmd-_6.137 //
   kṣamyatāṃ tatsuhṛditi svayaṃ yatpraṇatapriyaḥ /	kzamyatAm tad-suhRd-iti svayam yat-praNata-priyaH /
   ukto 'si kṛṣṇa govinda yādaveti purā mayā // Bhmj_6.138 //	uktaH asi kRzNa govinda yAdava-iti purA mayA // Bhmd-_6.138 //
   ugraṃ tadevaṃ bhagavandṛṣṭvā rūpamahaṃ mahat /	ugram tat-evam Bagavan-dRzwvA rUpam-aham mahat /
   cakrārūḍhamivāśeṣaṃ paśyāmi nikhilaṃ jagat // Bhmj_6.139 //	cakra-ArUXam-iva-aSezam paSyAmi niKilam jagat // Bhmd-_6.139 //
   prasīda darśaya vibho vapuḥ saumyaṃ tadeva me /	prasIda darSaya viBo vapuH sOmyam tat-eva me /
   śāntiṃ me yāti sahasā nānyatā vyathitaṃ manaḥ // Bhmj_6.140 //	SAntim me yAti sahasA na-anyatA vyaTitam manaH // Bhmd-_6.140 //
   iti prasāditaḥ kṛṣṇaḥ praṇatena kirīṭinā /	iti prasAditaH kRzNaH praNatena kirIwinA /
   adarśayannijaṃ rūpaṃ tadevātha caturbhujam // Bhmj_6.141 //	adarSayat-nijam rUpam tat-eva-aTa catur-Bujam // Bhmd-_6.141 //
   devā api na paśyanti mamedaṃ sarvagaṃ vapuḥ /	devAH api na paSyanti mama-idam sarvagam vapuH /
   ityuktvāśvāsayāmāsa kaunteyaṃ kamalādhavaḥ // Bhmj_6.142 //	iti-uktvA-ASvAsayAmAsa kOnteyam kamalADavaH // Bhmd-_6.142 //
   ***** śrīgītāsvekādaso 'dhyāyaḥ || 12 || *****	***** SrI-gItAsu-ekAdasaH aDyAyaH || 12 || *****
   athārjuno 'vadatkṛṣṇaṃ ye bhaktāstvāmupāsate /	aTa-arjunaH avadat-kRzNam ye BaktAH-tvAm-upAsate /
   avyaktamakṣaraṃ ye ca teṣāṃ ke 'dhikayoginaḥ // Bhmj_6.143 //	avyaktam-akzaram ye ca tezAm ke aDika-yoginaH // Bhmd-_6.143 //
   pārtheneti hariḥ pṛṣṭo vihitānugraho 'vadat /	pArTena-iti hariH pRzwaH vihita-anugrahaH avadat /
   madbhaktāḥ śraddhayopetāḥ sarvathā yogino 'dhikāḥ // Bhmj_6.144 //	mad-BaktAH SradDayA-upetAH sarvaTA yoginaH aDikAH // Bhmd-_6.144 //
   kleśenaiva tu matprāptiravyaktākṣarasevanāt /	kleSena-eva tu mad-prAptiH-avyakta-akzara-sevanAt /
   sūkṣmasthūlagatirduḥkhaṃ tattvajñairapyavāpyate // Bhmj_6.145 //	sUkzma-sTUla-gatiH-duHKam tattva-jQEH-api-avApyate // Bhmd-_6.145 //
   madbhaktāstvacirādeva prāpnuvanti paraṃ padam /	mad-BaktAH-tu-acirAt-eva prApnuvanti param padam /
   atastvaṃ manmanā nityamananyanirato bhava // Bhmj_6.146 //	atas-tvam mad-manAH nityam-ananya-nirataH Bava // Bhmd-_6.146 //
   vaśe yadi na te cittamabhyāsena gṛhāṇa tat /	vaSe yadi na te cittam-aByAsena gRhANa tat /
   tatrāpyaśakto matkarmā satataṃ śreyase bhava // Bhmj_6.147 //	tatra-api-aSaktaH mad-karmA satatam Sreyase Bava // Bhmd-_6.147 //
   athavā phalasaṃnyāsaṃ karmaṇāṃ kuru matparaḥ /	aTavA Pala-saMnyAsam karmaNAm kuru mad-paraH /
   jñānaṃ hi paramābhyāsājjñānāddhyānamihottamam // Bhmj_6.148 //	jQAnam hi parama-aByAsAt-jQAnAt-DyAnam-iha-uttamam // Bhmd-_6.148 //
   dhyānācca phalasaṃnyāsastataḥ śāntirviśiṣyate /	DyAnAt-ca Pala-saMnyAsaH-tatas SAntiH-viSizyate /
   adveṣṭā karuṇāsindhuḥ sukhaduḥkhasamaḥ śamī // Bhmj_6.149 //	advezwA karuNA-sinDuH suKa-duHKa-samaH SamI // Bhmd-_6.149 //
   udāsīnaḥ śucirdakṣaḥ kṣamī bhaktaḥ priyo mama /	udAsInaH SuciH-dakzaH kzamI BaktaH priyaH mama /
   ***** śrīgītāsu dvādaśo 'dhyāyaḥ || 13 || *****	***** SrIgItAsu dvAdaSaH aDyAyaH || 13 || *****
   śarīraṃ kṣetramityāhuḥ kṣetrajñaṃ māṃ vidurbudhāḥ /	SarIram kzetram-iti-AhuH kzetrajQam mAm viduH-buDAH /
   kṣetraṃ tatsavikāraṃ tu māyā bhūtādi ca sthitam // Bhmj_6.150 //	kzetram tat-sa-vikAram tu mAyA BUta-Adi ca sTitam // Bhmd-_6.150 //
   śāntānāṃ dṛṣṭadoṣāṇāṃ jñānināṃ na vimohanam /	SAntAnAm dRzwa-dozANAm jQAninAm na vimohanam /
   mānadambhamadakrodhatyāgo guruniṣevaṇam // Bhmj_6.151 //	mAna-damBa-mada-kroDa-tyAgaH guru-nizevaNam // Bhmd-_6.151 //
   asaktirnaśvare nityaṃ jñānamajñānamanyathā /	asaktiH-naSvare nityam jQAnam-ajQAnam-anyaTA /
   jñeyaṃ tu manmayaṃ brahma śuddhaṃ sadasatoḥ param // Bhmj_6.152 //	jQeyam tu mad-mayam brahma SudDam sat-asatoH param // Bhmd-_6.152 //
   sarvataḥ pāṇivadanaṃ sarvākāramanāmayam /	sarvatas pANi-vadanam sarva-AkAram-anAmayam /
   prakṛtiḥ puruṣaśceti kṣetrakṣetrajñasaṃgamaḥ // Bhmj_6.153 //	prakRtiH puruzaH-ca-iti kzetra-kzetrajQa-saMgamaH // Bhmd-_6.153 //
   prakṛtiḥ karaṇe heturbhoktā tu puruṣaḥ smṛtaḥ /	prakRtiH karaNe hetuH-BoktA tu puruzaH smRtaH /
   ekasthānaṃ pṛthagbhāvaṃ bhūtānāṃ yo 'nupaśyati // Bhmj_6.154 //	eka-sTAnam pRTak-BAvam BUtAnAm yaH anupaSyati // Bhmd-_6.154 //
   tatsaṃgamācca vistāraṃ sa yāti brahma śāśvatam /	tad-saMgamAt-ca vistAram sa yAti brahma SASvatam /
   paramātmā guṇātīto nityatvādayamavyayaḥ /	paramAtmA guNa-atItaH nitya-tvAt-ayam-avyayaH /
   bhautike 'pi sthitaḥ kāye sarvavyāpī na lipyate // Bhmj_6.155 //	BOtike api sTitaH kAye sarva-vyApI na lipyate // Bhmd-_6.155 //
   ***** śrīgītāsu trayodaśo 'dhyāyaḥ || 14 || *****	***** SrIgItAsu trayodaSaH aDyAyaH || 14 || *****
   sarvajñānamidaṃ bhūyaḥ śrūyatāṃ surasevitam /	sarva-jQAnam-idam BUyas SrUyatAm sura-sevitam /
   yadyogo brahmagarbhe 'sminsaṃbhavanmūrtisaṃbhavaḥ // Bhmj_6.156 //	yad-yogaH brahma-garBe asmin-saMBavat-mUrti-saMBavaH // Bhmd-_6.156 //
   sattvādayastadudbhūtā vibhāntyete guṇāstrayaḥ /	sattva-AdayaH-tad-udBUtAH viBAnti-ete guNAH-trayaH /
   vaicitryādaniśaṃ yeṣāṃ saṃsaranti śarīriṇaḥ // Bhmj_6.157 //	vEcitryAt-aniSam yezAm saMsaranti SarIriNaH // Bhmd-_6.157 //
   sattvaṃ prakāśakaṃ jñeyaṃ yadutthaiḥ stambhakaṃ rajaḥ /	sattvam prakASakam jQeyam yat-utTEH stamBakam rajaH /
   tamo hyāvaraṇaṃ mohapramādādyasya saṃbhavaḥ // Bhmj_6.158 //	tamaH hi-AvaraNam moha-pramAda-At-yasya saMBavaH // Bhmd-_6.158 //
   satataṃ saṃkareṇaiṣāṃ nyūnādhikyavibhedataḥ /	satatam saMkareNa-ezAm nyUna-ADikya-viBedataH /
   guṇadoṣāśca dṛśyante te te kila śarīriṇām // Bhmj_6.159 //	guNa-dozAH-ca dRSyante te te kila SarIriNAm // Bhmd-_6.159 //
   madbhaktāḥ śāntamanaso jīvanmuktidaśāṃ śritāḥ /	mad-BaktAH SAnta-manasaH jIvanmukti-daSAm SritAH /
   guṇairetaiḥ parityaktā bhajante sukhamakṣayam // Bhmj_6.160 //	guNEH-etEH parityaktAH Bajante suKam-akzayam // Bhmd-_6.160 //
   ***** śrīkītāsu caturdaśo 'dhyāyaḥ || 15 || *****	***** SrIkItAsu caturdaSaH aDyAyaH || 15 || *****
   ūrdhvamūlaṃ bhavāśvatthamābrahmasadanoditam /	UrDva-mUlam Bava-aSvatTam-Abrahma-sadana-uditam /
   lokāntarānekaśākhaṃ vicitraviṣayāṅkuram // Bhmj_6.161 //	loka-antara-aneka-SAKam vicitra-vizaya-aFkuram // Bhmd-_6.161 //
   guṇakarmaprabuddhānāṃ śubhāśubhaphalodayam /	guNa-karma-prabudDAnAm SuBa-aSuBa-Pala-udayam /
   svabhāvabhūmāvavṛtaṃ jānīte yaḥ sa vedavit // Bhmj_6.162 //	svaBAva-BUmO=-avRtam jAnIte yaH sa veda-vid // Bhmd-_6.162 //
   tamasaṅgakuṭhāreṇa cchittvā yānti padaṃ mama /	tamasaFga-kuWAreNa cCittvA yAnti padam mama /
   nirastamohaṃ vaimalyādatisūryendupāvakam // Bhmj_6.163 //	nirasta-moham vEmalyAt-ati-sUrya-indu-pAvakam // Bhmd-_6.163 //
   yadaṃśo jīvaloke 'smiñjīvaścarati sarvagaḥ /	yat-aMSaH jIva-loke asmin-jIvaH-carati sarva-gaH /
   vāyurgandhamivādāya yo yātīndriyavāsanāḥ // Bhmj_6.164 //	vAyuH-ganDam-iva-AdAya yaH yAti-indriya-vAsanAH // Bhmd-_6.164 //
   tadvidhaṃ guṇayuktānāṃ sarvāvasthāsu nirguṇam /	tadviDam guNa-yuktAnAm sarva-avasTAsu nirguNam /
   paśyanti jñāninaḥ sarvajagatāṃ jīvanaṃ param // Bhmj_6.165 //	paSyanti jQAninaH sarva-jagatAm jIvanam param // Bhmd-_6.165 //
   bhūtasargāmivāgatya akṣaro 'haṃ sanātanaḥ /	BUta-sargAm-iva-Agatya akzaraH aham sanAtanaH /
   manmayā dhṛtimanto māṃ bhajante puruṣottamam // Bhmj_6.166 //	mad-mayAH DRtimantaH mAm Bajante puruzottamam // Bhmd-_6.166 //
   ***** śrīgītāsu pañcadaśo 'dhyāyaḥ || 16 || *****	***** SrIgItAsu paQcadaSaH aDyAyaH || 16 || *****
   abhīḥ sattvaṃ śucirjñānaṃ damo dānaṃ tapaḥ kratuḥ /	aBIH sattvam SuciH-jQAnam damaH dAnam tapaH kratuH /
   ahiṃsāyā guṇāścānye jāyante divyasaṃpadām // Bhmj_6.167 //	ahiMsAyAH guNAH-ca-anye jAyante divya-saMpadAm // Bhmd-_6.167 //
   dambhamānamadakrodhapāruṣyājñānacāpalaiḥ /	damBa-mAna-mada-kroDa-pAruzya-ajQAna-cApalEH /
   āsurī sūcyate saṃpanmohasokavivardhinī // Bhmj_6.168 //	AsurI sUcyate saMpad-moha-soka-vivarDinI // Bhmd-_6.168 //
   yukto 'pi satataṃ divyasaṃpadā mā śucaḥ sakhe /	yuktaH api satatam divya-saMpadA mA SucaH saKe /
