   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   prasiddhavibhavo nāmnā gaṇe me 'bhavat /	prasidDa viBavaH nAmnA gaNe me aBavat /
   etatte sakalaṃ mayā nigāditaṃ yaścaitadutkīrtayedyaścedaṃ śṛṇuyānna so 'pi	etat te sakalam mayA nigAditam yaH ca etat utkIrtayet yaH ca idam SRNuyAt na saH api
   puruṣaḥ pretatvamāpnoti hi // GarP_2,7.102 //	puruzaH preta tvam Apnoti hi // GarP_2,7.102 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśe dharmakāṇḍe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSe Darma kANxe
   śrīkṛṣṇagaruḍasaṃvāde pretakalpe pañcapretopākhyānaṃ nāma saptamo 'dyāyaḥ	SrI kRzNa garuxa saMvAde preta kalpe paQcapretA upAKyAnam nAma saptamaH adya ayaH
   śrīgaruḍamahāpurāṇam  8	SrI garuxa mahApurANam 8
   garuḍa uvāca /	garuxaH uvAca /
   svāminkasyādhikāro 'tra sarva evaurdhvadehike /	svAmin kasya aDikAraH atra sarve eva OrDvadehike /
   kriyāḥ katividhāḥ proktā vadaitatsarvameva me // GarP_2,8.1 //	kriyAH kativiDAH proktAH vada etat sarvam eva me // GarP_2,8.1 //
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   putraḥ pautraḥ prapautro vā tadbhrātā bhrātṛsantatiḥ /	putraH pOtraH prapOtraH vA tad BrAtA BrAtR santatiH /
   sapiṇḍasantatirvāpi kriyārhāḥ khaga jñātayaḥ // GarP_2,8.2 //	sapiNxa santatiH vA api kriyArhAH Kaga jQAtayaH // GarP_2,8.2 //
   teṣāmabhāve sarveṣāṃ samānodakasantatiḥ /	tezAm aBAve sarvezAm samAna udaka santatiH /
   kuladvaye 'pi cocchinne strībhiḥ kāryāḥ kriyāḥ khaga // GarP_2,8.3 //	kula dvaye api ca ucCinne strIBiH kAryAH kriyAH Kaga // GarP_2,8.3 //
   icchayocchinnabandhaśca kārayedavanīpatiḥ /	icCayA ucCinna banDaH ca kArayet avanIpatiH /
   pūrvāḥ kriyā madhyamāśca tathā caivottarāḥ kriyāḥ // GarP_2,8.4 //	pUrvAH kriyAH maDyamAH ca taTA ca eva uttarAH kriyAH // GarP_2,8.4 //
   pratisaṃvatsaraṃ pakṣinnekoddiṣṭavidhānataḥ /	pratisaMvatsaram pakzin= eka uddizwa viDAnataH /
   śrāddhaṃ tatra prakartavyaṃ phalaṃ tasya śṛṇuṣva me // GarP_2,8.5 //	SrAdDam tatra prakartavyam Palam tasya SRNuzva me // GarP_2,8.5 //
   brahmendrarudranāsatyasūryāgnivasumārutān /	brahma indra rudra nAsatya sUrya agni vasu mArutAn /
   viśvedevānpitṛ gaṇānvayāṃsi manujānpaśūn // GarP_2,8.6 //	viSvedevAn pitR gaNa anvayAMsi manujAn paSUn // GarP_2,8.6 //
   sarīsṛpānmātṛgaṇānyaccānyadbhūtasaṃjñitam /	sarIsRpAn mAtR gaNAn yat ca anyat BUta saMjQitam /
   śrāddhaṃ śraddhānvitaḥ kurvanprīṇayatyakhilaṃ jagat // GarP_2,8.7 //	SrAdDam SradDA anvitaH kurvan prINayati aKilam jagat // GarP_2,8.7 //
   te tṛptāstarpayantyenaṃ putradāradhanaistathā /	te tRptAH tarpayanti enam putra dAra DanEH taTA /
   adhikāraḥ kriyābhedaḥ samāsātte nirūpitaḥ // GarP_2,8.8 //	aDikAraH kriyA BedaH samAsAtte nirUpitaH // GarP_2,8.8 //
   garuḍa uvāca /	garuxaH uvAca /
   ukteṣveko 'pi cenna syādadhikārī surottama /	uktezu ekaH api ced na syAt aDikArI sura uttamaH /
   kartavyaṃ kiṃ tadā viṣṇo puruṣeṇa vijānatā // GarP_2,8.9 //	kartavyam kim tadA vizNo puruzeNa vijAnatAH // GarP_2,8.9 //
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   adhikāro yadā nāsti yadi nāsti ca niścayaḥ /	aDikAraH yadA na asti yadi na asti ca niScayaH /
   jīvite sati jīvāya dadyācchrāddhaṃsvayaṃ naraḥ // GarP_2,8.10 //	jIvite sati jIvAya dadyAt SrAdDaMsvayam naraH // GarP_2,8.10 //
   kṛtopavāsaḥ susnātaḥ kṛṣṇāsaṅgaḥ samāhitaḥ /	kRta upavAsaH su snAtaH kRzNA saFgaH samAhitaH /
   kartāramatha bhoktāraṃ viṣṇuṃ sarveśvaraṃ yajet // GarP_2,8.11 //	kartAram aTa BoktAram vizNum sarveSvaram yajet // GarP_2,8.11 //
   sadakṣiṇāśca satilāstistraśca jaladhenavaḥ /	sa dakziNAH ca satilAH tistraH ca jalaDenavaH /
   nivedayetpitṛbhyaśca svadheti susamāhitaḥ // GarP_2,8.12 //	nivedayet pitRByaH ca svaDA iti su samAhitaH // GarP_2,8.12 //
   agnaye kavyavāhanāya svadhā nama iti smaran /	agnaye kavyavAhanAya svaDA namaH iti smaran /
   somāyatvā pitṛmate svadhā nama iti smaran // GarP_2,8.13 //	somAyatvA pitRmate svaDA namaH iti smaran // GarP_2,8.13 //
   dakṣiṇena tu dadyācca tṛtīyāṃ dakṣiṇāyutām /	dakziNena tu dadyAt ca tRtIyAm dakziNa AyutAm /
   yamāyāṅgirase cātha svadhā nama iti smaran // GarP_2,8.14 //	yamAya aFgirase ca aTa svaDA namaH iti smaran // GarP_2,8.14 //
   tayormadhye tu niḥ kṣipya viprānsaṃmantrya bho jayet /	tayoH maDye tu niH kzipya viprAn saMmantrya Bo jayet /
   prathamāmuttare nyasya dvitīyāṃ dakṣiṇe nyaset // GarP_2,8.15 //	praTamAm uttare nyasya dvitIyAm dakziNe nyaset // GarP_2,8.15 //
   madhye tṛtīyāṃ vinyasya paścādāvāhanādikam /	maDye tRtIyAm vinyasya paScAt AvAhana Adikam /
   āvāhanādinā pūrvaṃ viśvedevānprapūjyaca // GarP_2,8.16 //	AvAhana AdinA pUrvam viSvedevAn prapUjya ca // GarP_2,8.16 //
   vasubhyastvāmahaṃ vipra rudrebhyastvāmahaṃ tataḥ /	vasuByaH tvAm aham vipra rudreByaH tvAm aham tatas /
   sūryebhyastvāmahaṃ vipra bhojayāmīti tānvadet // GarP_2,8.17 //	sUryeByaH tvAm aham vipra BojayAmi iti tAn vadet // GarP_2,8.17 //
   āvāhanādikaṃ śeṣaṃ kuryācca pitṛśeṣavat /	AvAhana Adikam Sezam kuryAt ca pitR Seza vat /
   sāmyāṃ dhenuṃ tato dadyādvasūddeśaṃ dvijāya tu // GarP_2,8.18 //	sAmyAm Denum tatas dadyAt vasu uddeSam dvijAya tu // GarP_2,8.18 //
   āgneyyāṃ cātha raudrāya yāmyāṃ sūryadvijāya tu /	AgneyyAm ca aTa rOdrAya yAmyAm sUrya dvijAya tu /
   viśvebhyaścātha devebhyastilapātraṃ nivedayet // GarP_2,8.19 //	viSveByaH ca aTa deveByaH tila pAtram nivedayet // GarP_2,8.19 //
   svastītyeva tathākṣayyaṃ jalaṃ dattvātha tāndvijān /	svasti iti eva taTA akzayyam jalam dattvA aTa tAn dvijAn /
   visarjayetsmaranviṣṇuṃ devamaṣṭākṣaraṃ vibhum // GarP_2,8.20 //	visarjayet smaran vizNum devam azwa akzaram viBum // GarP_2,8.20 //
   tataḥ kāmaṃ kuleśānīṃ śivaṃ nārāyaṇaṃ smaret /	tatas kAmam kuleSAnIm Sivam nArAyaNam smaret /
   caturdaśyāṃ tato gacchedyathāprāptāṃ saridvarām // GarP_2,8.21 //	caturdaSyAm tatas gacCet yaTAprAptAm sarit varAm // GarP_2,8.21 //
   vastrāṇi lohakhaṇḍāni jitaṃ ta iti saṃjapan /	vastrANi loha KaNxAni jitam te iti saMjapan /
   dakṣiṇābhimukho vahniṃ jvālayettatra ca svayam // GarP_2,8.22 //	dakziNa aBimuKaH vahnim jvAlayet tatra ca svayam // GarP_2,8.22 //
   pañcāśatā kuśairbrāhmīṃ kṛtvā pratikṛtiṃ dahet /	paQcASatA kuSEH brAhmIm kRtvA pratikRtim dahet /
   hutvā śmāśānikaṃ homaṃ pūrṇāhutyantameva hi // GarP_2,8.23 //	hutvA SmASAnikam homam pUrNAhuti antam eva hi // GarP_2,8.23 //
   niragrimatha vā bhūmiṃ yamaṃ rudrañca saṃsmaret /	niragrim aTa vA BUmim yamam rudraQca saMsmaret /
   hutvā prādhānike sthāne paścādāvāhayecca tam // GarP_2,8.24 //	hutvA prADAnike sTAne paScAt AvAhayet ca tam // GarP_2,8.24 //
   śrapayeccāparaṃ vahnau mudgamiśraṃ caruṃ tataḥ /	Srapayet ca aparam vahnO mudga miSram carum tatas /
   tilataṇḍulamiśrañca dvitīyaṃ sapavitrakam // GarP_2,8.25 //	tilataNxula miSraQca dvitIyam sa pavitrakam // GarP_2,8.25 //
   oṃ pṛthivyai namastubhyamiti caikaṃ nivedayet /	om pRTivyE namaH tuByam iti ca ekam nivedayet /
   oṃ yamāya namaśceti dvitīyaṃ tadanantaram // GarP_2,8.26 //	om yamAya namaH ca iti dvitIyam tad anantaram // GarP_2,8.26 //
   oṃ namaścātha rudrāya śmāśānapataye namaḥ /	om namaH ca aTa rudrAya SmASAna pataye namaH /
   tato dīpte samiddhe 'gnau bhūmau prakṛtidāruṇe // GarP_2,8.27 //	tatas dIpte samidDe agnO BUmO prakRti dAruNe // GarP_2,8.27 //
   saptabhyo yamasaṃjñebhyo dadyātsapta jalāñjalīn /	saptaByaH yama saMjQeByaH dadyAt sapta jala aQjalIn /
   yamāya dharmarājāya mṛtyave cāntakāya ca // GarP_2,8.28 //	yamAya DarmarAjAya mRtyave ca antakAya ca // GarP_2,8.28 //
   vaivasvatāya kālāya sarvaprāṇaharāya ca /	vEvasvatAya kAlAya sarva prANa harAya ca /
   svadhākāranamaskārapraṇavaiḥ saha saptadhā // GarP_2,8.29 //	svaDA AkAra namaskAra praNavEH saha saptaDA // GarP_2,8.29 //
   amukāmukagautraitattubhyamastu tilodakam /	amu kAmuka gOtra etat tuByam astu tila udakam /
   pradadyāddaśa piṇḍāṃstu arghapuṣpasamanvitān // GarP_2,8.30 //	pradadyAt daSa piNxAn= tu arGapuzpa samanvitAn // GarP_2,8.30 //
   dhūpo dīpo balirgandhaḥ sarveṣāmastu cākṣayaḥ /	DUpaH dIpaH baliH ganDaH sarvezAm astu ca akzayaH /
   daśa piṇḍāṃstu dāndattvā viṣṇoḥ saumyaṃ mukhaṃ smaret // GarP_2,8.31 //	daSa piNxAn= tu dAndattvA vizNoH sOmyam muKam smaret // GarP_2,8.31 //
   kuryācca māsikaṃ māsi sapiṇḍīkaraṇaṃ tataḥ /	kuryAt ca mAsikam mAsi sapiNxIkaraNam tatas /
   āśaucānte tataḥ kuryādātmano vā marasya tu // GarP_2,8.32 //	ASOca ante tatas kuryAt AtmanaH vA marasya tu // GarP_2,8.32 //
   kuryādasthiratāṃ jñātvā śaktyārogyadhanāyuṣam /	kuryAt asTira tAm jQAtvA Sakti Arogya Dana Ayuzam /
   etatte sarvamākhyātaṃ jīvacchrāddhaṃ mayā khaga // GarP_2,8.33 //	etat te sarvam AKyAtam jIvat SrAdDam mayA Kaga // GarP_2,8.33 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśe dharmakāṇḍe pretakalpe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSe Darma kANxe preta kalpe
   śrīkṛṣṇa garuḍasaṃvāde śrāddhakartrātmaśrāddhayornirūpaṇaṃ nāmāṣṭamo	SrI kRzNa garuxasaMvAde SrAdDakartrAtmaSrAdDayornirUpaNam nAma azwamaH 
   'dhyāyaḥ	aDyAyaH
   śrīgaruḍamahāpurāṇam  9	SrI garuxa mahApurANam 9
   garuḍa uvāca /	garuxaH uvAca /
   uktamādyāṃ kriyāṃ yāvannṛpo 'pītitvayānagha /	uktam AdyAm kriyAm yAvat nRpaH api iti tvayA anaGa /
   kasyacitkenacidrājñā kimādyā sā kṛtā purā // GarP_2,9.1 //	kasyacid kenacid rAjQA kim AdyA sA kRtA purA // GarP_2,9.1 //
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   suparṇa śṛṇu vakṣyāmi yathā rājñā kriyā kṛtā /	suparNa SRNu vakzyAmi yaTA rAjQA kriyA kRtA /
   āsīt kṛtayuge rājā vāṅgo vai babhruvāhanaḥ // GarP_2,9.2 //	AsIt kRta yuge rAjA vA aFgaH vE baBruvAhanaH // GarP_2,9.2 //
   pṛthivyāścaturantāyā goptā pakṣīndra dharmataḥ /	pRTivyAH catur antAyAH goptA pakzi indra DarmataH /
   caturbhāgāṃ bhuvaṃ kṛtsnāṃ sa bhuṅke vasudhādhipaḥ // GarP_2,9.3 //	catur BAgAm Buvam kRtsnAm sa BuFke vasuDADipaH // GarP_2,9.3 //
   na pāpakṛtkaścidāsīttasminrājyaṃ praśāsati /	na pApa kRt kaScid AsIt tasmin rAjyam praSAsati /
   nāsīccaurabhayaṃ tārkṣya na kṣudrabhayameva hi // GarP_2,9.4 //	na AsIt cOra Bayam tArkzya na kzudra Bayam eva hi // GarP_2,9.4 //
   nāsīdvyādhibhayañcāpi tasmiñjanapadeśvare /	na AsIt vyADi BayaQcA api tasmin janapada ISvare /
   svadharme remire cāsīttejasā bhāskaropamaḥ // GarP_2,9.5 //	svaDarme remire ca AsIt tejasA BAskara upamaH // GarP_2,9.5 //
   akṣubdhatver'calasamaḥ sahiṣṇutve dharāsamaḥ /	akzubDa tver acala samaH sahizNu tve DarA samaH /
   sa kadācinmahābāhuḥ prabhūtabalavāhanaḥ // GarP_2,9.6 //	sa kadAcid mahA bAhuH praBUta bala vAhanaH // GarP_2,9.6 //
   vanaṃ jagāma gahanaṃ hayānāñca śatairvṛtaḥ /	vanam jagAma gahanam haya anAQca SatEH vRtaH /
   siṃhanādaiśca yodhānāṃ śaṅkhadundubhiniḥ svanaiḥ // GarP_2,9.7 //	siMhanAdEH ca yoDAnAm SaFKa dunduBiniH svanEH // GarP_2,9.7 //
   āsītkilakilāśabdastasmin gacchatī pārthive /	AsIt kilakilA SabdaH tasmin gacCatI pArTive /
   tatratatra ca viprendraiḥ stūyamānaḥ samantataḥ // GarP_2,9.8 //	tatra tatra ca vipra indrEH stUyamAnaH samantataH // GarP_2,9.8 //
   niryayau parayā prītyā vanaṃ mṛgajighāṃsayā /	niryayO parayA prItyA vanam mRga jiGAMsayA /
   sa gacchandadṛśe dhīmānnandanapratimaṃ vanam // GarP_2,9.9 //	sa gacCan dadRSe DImAn nandana pratimam vanam // GarP_2,9.9 //
   bilvārkakhadirākīrṇaṃ kapitthadhvajasaṃyutam /	bilva arka Kadira AkIrNam kapitTa Dvaja saMyutam /
   viṣamaiḥ parvataiścaiva sarvataśca samanvitam // GarP_2,9.10 //	vizamEH parvatEH ca eva sarvatas ca samanvitam // GarP_2,9.10 //
   nirjalaṃ nirmanuṣyañca bahuyojanamāyatam /	nirjalam nirmanuzyaQca bahu yojanam Ayatam /
   mṛgasiṃhairmahāghorainyaiścāpi vanecaraiḥ // GarP_2,9.11 //	mRga siMhEH mahA GorEnyEH ca api vanecarEH // GarP_2,9.11 //
   tadvanaṃ manuja vyāghraḥ sabhṛtyabalavāhanaḥ /	tat vanam manuja vyAGraH sa BRtya bala vAhanaH /
   līlayā loḍayāmāsa sūdayanvividhānmṛgān // GarP_2,9.12 //	lIlayA loxayAmAsa sUdayan viviDAn mRgAn // GarP_2,9.12 //
   mṛgasya kasyacitkukṣiṃ tato vivyādha bhūmipaḥ /	mRgasya kasyacid kukzim tatas vivyADa BUmipaH /
   rājā mṛgaprasaṅgena tamanu prāviśadvanam // GarP_2,9.13 //	rAjA mRga prasaFgena tam anu prAviSat vanam // GarP_2,9.13 //
   ekākī vai hṛtabalaḥ kṣutpripāsāsamanvitaḥ /	ekAkI vE hRta balaH kzuD pripAsA samanvitaH /
   sa vanasyāntamāsādya mahaccāraṇyamāsadat // GarP_2,9.14 //	sa vanasya antam AsAdya mahat ca araNyam Asadat // GarP_2,9.14 //
   tṛṣayā parayāviṣṭo 'nviṣyajjalamitastataḥ /	tRzayA parayA AvizwaH anvizyat jalam itas tatas /
   sa dūrātpūracakrāhvaṃ haṃsasārasanāditaiḥ // GarP_2,9.15 //	sa dUrAt pUra cakra Ahvam haMsa sArasa nAditEH // GarP_2,9.15 //
   sūcitaṃ sara āgatya sāśva eva vyagāhata /	sUcitam saraH Agatya sa aSvaH eva vyagAhata /
   padmānāñca parāgeṇa utpalānāṃ rajena ca // GarP_2,9.16 //	padmAnAQca parAgeNa utpalAnAm rajena ca // GarP_2,9.16 //
   sugandhamamalaṃ śītaṃ pītvāmbho nirjagāma ha /	suganDam amalam SItam pItvA amBaH nirjagAma ha /
   mārgaśramapariśrāntastaḍāgataṭamaṇḍapam // GarP_2,9.17 //	mArga Srama pariSrAntaH taxAga tawa maNxapam // GarP_2,9.17 //
   nyagrodhaṃ vīkṣya tasyāśu jaṭāsvaśvaṃ babandha ha /	nyagroDam vIkzya tasya ASu jawAsu aSvam babanDa ha /
   sa tatrāstaramāstīrya kheṭakānupadhāya ca // GarP_2,9.18 //	sa tatra Astaram AstIrya KewakA anupaDAya ca // GarP_2,9.18 //
   sūṣvāpa vāyunā tatra sevyāmātastadā kṣaṇam /	sUzvApa vAyunA tatra sevyAmAtaH tadA kzaNam /
   kṣaṇaṃ supte nṛpe tatra preto vai pretavāhanaḥ // GarP_2,9.19 //	kzaNam supte nRpe tatra pretaH vE pretavAhanaH // GarP_2,9.19 //
   kaścidatrājagāmātha yuktaḥ pretaśatena ca /	kaScid atra AjagAma aTa yuktaH preta Satena ca /
   asthicarmaśirāśeṣaśarīraḥ parivibhraman // GarP_2,9.20 //	asTi carma Sira aSeza SarIraH pariviBraman // GarP_2,9.20 //
   bhakṣyaṃpeyaṃ mārgamāṇo na badhnāti dhṛtiṃ kvacit /	BakzyaMpeyam mArgamANaH na baDnAti DRtim kvacid /
   tamapūrvaṃ nṛpo dṛṣṭvākarodastraṃ śarāsane // GarP_2,9.21 //	tam apUrvam nRpaH dRzwvA akarot astram SarAsane // GarP_2,9.21 //
   dṛṣṭvā so 'pi ciraṃ bhūpaṃ tasthau sthāṇupivāgrataḥ /	dRzwvA saH api ciram BUpam tasTO sTANupiva agratas /
   tamavasthitamālokya rājā prāptakutūhalaḥ // GarP_2,9.22 //	tam avasTitam Alokya rAjA prApta kutUhalaH // GarP_2,9.22 //
   papraccha tañca ko 'sīti kuto vā vikṛtiṃ gataḥ /	papracCa taQca kaH asi iti kutas vA vikRtim gataH /
   preta uvāca /	pretaH uvAca /
   pretabhāvo mayā tyakto gatiṃ prāpto 'ramyahaṃ parām // GarP_2,9.23 //	preta BAvaH mayA tyaktaH gatim prAptaH arami aham parAm // GarP_2,9.23 //
   tvatsaṃyogānmahābāho nāsti dhanyataro mayā /	tvad saMyogAt mahA bAho na asti DanyataraH mayA /
   babhruvāhana uvāca /	baBruvAhanaH uvAca /
   kimetatdipine ghore sarvatrātibhayānake // GarP_2,9.24 //	kim etat di pine Gore sarvatra ati BayAnake // GarP_2,9.24 //
   dodhūyamāne vātena vātyārūpeṇa koṇapa /	doDUyamAne vAtena vA atyA rUpeNa koNapa /
   pataṅgā maśakāḥ kṣudrāḥ kavandhāśca śirāṃsi ca // GarP_2,9.25 //	pataFgAH maSakAH kzudrAH kavanDAH ca SirAMsi ca // GarP_2,9.25 //
   matsyāḥ kūrmāḥ kṛkalāsā vṛścikā bhramarāhayaḥ /	matsyAH kUrmAH kRkalAsAH vRScikAH Bramara ahayaH /
   adhomukhordhvapādāste krandamānāḥ sudāruṇam // GarP_2,9.26 //	aDomuKa UrDva pAdAH te krandamAnAH su dAruNam // GarP_2,9.26 //
   pravānti vāyavo rūkṣā jvalanto vidyudagnayaḥ /	pravAnti vAyavaH rUkzAH jvalantaH vidyut agnayaH /
   itastato bhramantīva vāyunā tṛṇasantatiḥ // GarP_2,9.27 //	itas tatas Bramanti iva vAyunA tRNa santatiH // GarP_2,9.27 //
   dṛśyante vividhā jīvā nāgāśca śalabhavrajāḥ /	dRSyante viviDAH jIvAH nAgAH ca SalaBavrajAH /
   śrūyante bahudhā rāvā na dṛśyante kvacitkvacit // GarP_2,9.28 //	SrUyante bahuDA rAvAH na dRSyante kvacid kvacid // GarP_2,9.28 //
   dṛṣṭvedaṃ vikṛtaṃ sarvaṃ vepate hṛdayaṃmama /	dRzwvA idam vikRtam sarvam vepate hRdayaMmamaH /
   prate uvāca /	prate uvAca /
   yeṣāṃ naivāgnisaṃskāro na śrāddhaṃ nodakakriyāḥ // GarP_2,9.29 //	yezAm na eva agni saMskAraH na SrAdDam na udaka kriyAH // GarP_2,9.29 //
   ṣaṭ piṇḍā daśa gātrāṇi sapiṇḍīkaraṇaṃ na hi /	zaw piNxAH daSa gAtrANi sapiNxIkaraNam na hi /
   viśvāsaghātino ye ca surāpāḥ svarṇahāriṇaḥ // GarP_2,9.30 //	viSvAsa GAtinaH ye ca surApAH svarNa hAriNaH // GarP_2,9.30 //
   mṛtā durmaraṇādye ca ye cāsūyāparā janāḥ /	mRtAH durmaraNa Adye ca ye ca asUyA parAH janAH /
   prāyaścittavihīnā ye agamyāgamane ratāḥ // GarP_2,9.31 //	prAyaScitta vihInAH ye agamyA gamane ratAH // GarP_2,9.31 //
   karmabhirbhrāmyamāṇāste prāṇinaḥ svakṛtairiha /	karmaBiH BrAmyamANAH te prANinaH sva kRtEH iha /
   durlabhāhārapānīyā dṛśyante pīḍitā bhṛśam // GarP_2,9.32 //	durlaBa AhAra pAnIyAH dRSyante pIxitAH BRSam // GarP_2,9.32 //
   eteṣāṃ kṛpayā rājaṃstvaṃ kuruṣvaurdhvadehikam /	etezAm kRpayA rAjan= tvam kuruzva OrDvadehikam /
   yeṣāṃ na mātā na pitā na putro na ca bāndhavāḥ // GarP_2,9.33 //	yezAm na mAtA na pitA na putraH na ca bAnDavAH // GarP_2,9.33 //
   teṣā rājā svayaṃ kuryātkarmāṇi tu yato nṛpaḥ /	tezA rAjA svayam kuryAt karmANi tu yatas nRpaH /
   ātmanaśca śubhaṃ karma kartavyaṃ pāralaukikam // GarP_2,9.34 //	AtmanaH ca SuBam karma kartavyam pAralOkikam // GarP_2,9.34 //
   vimuktaḥ sarvaduḥ khebhyo yenāñjo durgātiṃ taret /	vimuktaH sarvaduH KeByaH yena aQjaH durgAtim taret /
   bhrātaraḥ kasya ke putrāstriyo 'pi svārthakovidāḥ // GarP_2,9.35 //	BrAtaraH kasya ke putra astriyaH api sva arTa kovidAH // GarP_2,9.35 //
   na kāryasteṣu viśrambha svakṛtaṃ bhujyateyataḥ /	na kAryaH tezu viSramBa sva kRtam BujyateyataH /
   gṛheṣvarthā nivarnttante śmaśāne caiva bāndhavāḥ // GarP_2,9.36 //	gRhezu arTAH nivarnttante SmaSAne ca eva bAnDavAH // GarP_2,9.36 //
   śarīraṃ kāṣṭhāmādatte pāpaṃ puṇyaṃ saha vrajet /	SarIram kAzWAm Adatte pApam puNyam saha vrajet /
   tasmādāśu tvayā samyagātmanaḥ śreya icchatā // GarP_2,9.37 //	tasmAt ASu tvayA samyak AtmanaH SreyaH icCatA // GarP_2,9.37 //
   asthireṇa śarīreṇa kartavyañcaurdhvadohikam /	asTireNa SarIreNa kartavyaQca OrDvadohikam /
   rājovāca /	rAjA uvAca /
   kṛśarūpaḥ karālākṣastvaṃ preta iva lakṣyase // GarP_2,9.38 //	kRSa rUpaH karAla akzaH tvam pretaH iva lakzyase // GarP_2,9.38 //
   kathayasvaḥ mama prītyā pretarāja yathātatham /	kaTayasvaH mama prItyA preta rAja yaTAtaTam /
   tathā pṛṣṭaḥ sa vai rājñā uvāca sakalaṃ svakam // GarP_2,9.39 //	taTA pRzwaH sa vE rAjQA uvAca sakalam svakam // GarP_2,9.39 //
   preta uvāca /	pretaH uvAca /
   kathayāmi nṛpaśreṣṭha sarvamevāditastava /	kaTayAmi nRpa SrezWa sarvam eva Aditas tava /
   pretatve kāraṇaṃ śrutvā dayāṃ kartumihārhasi // GarP_2,9.40 //	preta tve kAraNam SrutvA dayAm kartum iha arhasi // GarP_2,9.40 //
   vaidiśaṃ nāma nagaraṃ sarvasampatsukhāvaham /	vEdiSam nAma nagaram sarva sampad suKa Avaham /
   nānājanapadākīrṇaṃ nānāratnasamākulam // GarP_2,9.41 //	nAnA janapada AkIrNam nAnA ratna samAkulam // GarP_2,9.41 //
   nānāpuṣpavanākīrṇaṃ nānāpuṇyajanāvṛtam /	nAnA puzpa vana AkIrNam nAnA puNya jana AvRtam /
   tatrāhaṃ nyavasaṃ bhūpa devārcanarataḥ sadā // GarP_2,9.42 //	tatra aham nyavasam BUpa deva arcana rataH sadA // GarP_2,9.42 //
   vaiśyajātiḥ sudevo 'haṃ nāmnā viditamastu te /	vESya jAtiH sudevaH aham nAmnA viditam astu te /
   havyena tarpitā devāḥ kavyena pitaro mayā // GarP_2,9.43 //	havyena tarpitAH devAH kavyena pitaraH mayA // GarP_2,9.43 //
   vividhairdānayogaiśca viprāḥ santarpitā mayā /	viviDEH dAna yogEH ca viprAH santarpitA mayA /
   āhāraśca vihāraśca mayā vai suniveśitaḥ // GarP_2,9.44 //	AhAraH ca vihAraH ca mayA vE su niveSitaH // GarP_2,9.44 //
   dīnānāthaviśiṣṭebhyo mayā dattamanekadhā /	dIna anATa viSizweByaH mayA dattam anekaDA /
   tatsarvaṃ niṣphalaṃ jātaṃ mama daivādupāgatam // GarP_2,9.45 //	tat sarvam nizPalam jAtam mama dEvAt upAgatam // GarP_2,9.45 //
   na me 'sti santatistāta na suhṛnna ca bāndhavāḥ /	na me asti santatiH tAta na suhRd na ca bAnDavAH /
   na ca mitraṃ hitastādṛgyaḥ kuryādaurdhvadaihikam // GarP_2,9.46 //	na ca mitram hitaH tAdRS yaH kuryAt OrDvadEhikam // GarP_2,9.46 //
   pretatvaṃ susthiraṃ tena mama jātaṃ nṛpottama /	preta tvam su sTiram tena mama jAtam nRpa uttamaH /
   ekādaśaṃ tripakṣañca ṣāṇmāsikamathābdikam // GarP_2,9.47 //	ekAdaSam tri pakzaQca zANmAsikam aTa Abdikam // GarP_2,9.47 //
   pratimāsyāni cānyā ni hyevaṃ śrāddhāni ṣoḍaśa /	pratimAsyAni ca anyA ni hi evam SrAdDAni zoxaSa /
   yasyaitāni na dīyante pretaśrāddhāni bhūpate // GarP_2,9.48 //	yasya etAni na dIyante preta SrAdDAni BUpate // GarP_2,9.48 //
   pretatvaṃ susthiraṃ tasyaḥ dattaiḥ śrāddhaśatairapi /	preta tvam su sTiram tasyaH dattEH SrAdDa SatEH api /
   evaṃ jñātvā mahārāja pretatvāduddharasva mām // GarP_2,9.49 //	evam jQAtvA mahA rAja preta tvAt udDarasva mAm // GarP_2,9.49 //
   varṇānāñcaiva sarveṣāṃ rājā bandhurihocyate /	varNAnAQcA eva sarvezAm rAjA banDuH iha ucyate /
   tanmāṃ tāraya rājendra maṇiratnaṃ dadāmi te // GarP_2,9.50 //	tat mAm tAraya rAja indra maNi ratnam dadAmi te // GarP_2,9.50 //
   yathā mama śubhāvāptirbhavennṛpavarottama /	yaTA mama SuBa avAptiH Bavet nRpa vara uttamaH /
   tathā kāryaṃ mahīpāla dayāṃ kṛtvā mayi prabho // GarP_2,9.51 //	taTA kAryam mahIpAla dayAm kRtvA mayi praBo // GarP_2,9.51 //
   sapiṇḍairvā sagotrairvā niṣṭurairna kṛto hime /	sapiNxEH vA sagotrEH vA nizwurEH na kRtaH hime /
   vṛṣotsargastato duṣṭaṃ pretatvaṃ prāptavānaham // GarP_2,9.52 //	vRzotsargaH tatas duzwam preta tvam prAptavAn aham // GarP_2,9.52 //
