   Sandhi markers:	SanDi markeH-s:
   dur-vikalpo bhūt |	dur-vikalpaH BUt |
   yatas tvam asi mad-amśaḥ |	yatas tvam asi mad--amSaH |
   śaṅkara-jaṭā-bhāra-lālano1citā sura-sarid asau	SaFkara--jawA-a-BAra--lAlana-u1-citA sura--sarit asO
   vara-varṇinī |	vara-varNinI |
   sā ca kadā=cin mad-viloḍanā1=sahiṣṇur mām aśapat -	sA ca kadA=cid mad--viloxa-nA1=-sahizNuH mAm aSapat -
   - ' ehi martyatvam ' iti |	 a ehi martya-tvam a iti |
   aśapyata mayā ca - ' yathe9ha bahu-bhogyā tathā	aSapyata mayA ca  a yaTe9ha bahu-BogyA taTA
   prāpya api mānuṣyakam an=eka-sādhāraṇī bhava ' iti |	prApya api mAnuzyakam an=eka-sADAraNI Bava a iti |
   abhyarthitaś ca anayā ' eka-pūrvāṃ punas tvām	aByarTitaH ca anayA a eka--pUrvAm punar tvAm
   evo7pacarya yāvaj-jīvaṃ rameyam ' iti |	eva-u7pacarya yAvaj-jIvam rameyam a iti |
   tad ayam artho bhavya eva bhavatā nir=āśaṅkyaḥ ' iti |	tat ayam arTaH BavyaH eva BavatA nir=ASaFkyaH a iti |
   pratibudhya ca prīti-yuktas tad-ahar api	pratibuDya ca prIti--yuktaH tad--ahar api
   priyā-saṅketa-vyatikarā3di-smaraṇena aham anaiṣam |	priyA--saFketa--vyatikarA3di-smaraNena aham anEzam |
   anye-dyur an-anyathā-vṛttir an-aṅgo mayy	anye-dyus an-anyaTA-vRttiH an-aFgaH mayi-
   eve7ṣu-varṣam avarṣat |	eva-i7zu-varzam avarzat |
   aśuṣyac ca jyotiṣmataḥ prabhā-mayaṃ saraḥ |	aSuzyat ca jyotizmataH praBA-mayam saraH |
   prāsarac ca timira-mayaḥ kardamaḥ |	prAsarat ca timira-mayaH kardamaH |
   kārdamika-nivasanaś ca dṛḍhatara-parikaraḥ	kArdamika-nivasanaH ca dRXatara--parikaraH
   khaḍga-pāṇir upahṛto1paskaraḥ smaran mātṛ-dattāny	Kaxga-pANiH upahRta-u1paskaraH smaran mAtR--dattAni-
   abhijñānāni rāja-mandira-parikhām ud-ambhasam	aBijQAnAni rAja--mandira--pariKAm ud-amBasam
   upātiṣṭham |	upAtizWam |
   atho7pa khātaṃ mātṛ-gṛha-dvāre puṣkarikayā	aTa-u7pa KAtam mAtR-gRha--dvAre puzkarikayA
   prathama-samnidhāpitāṃ veṇu-yaṣṭim ādāya tayā	praTama--samniDApitAm veNu-yazwim AdAya tayA
   śāyitayā ca parikhāṃ sthāpitayā ca prākāra-bhittim	SAyitayA ca pariKAm sTApitayA ca prAkAra-Bittim
   alaṅghayam |	alaFGayam |
   adhiruhya pakve1ṣṭaka-citena	aDiruhya pakve1zwaka-citena
   gopuro1pari-talā1dhirohiṇā sopāna-pathena bhuvam	gopura-u1pari-tala-a1Di-rohiNA sopAna--paTena Buvam
   avātaram |	avAtaram |
   avatīrṇaś ca vakula-vīthīm atikramya	avatIrNaH ca vakula-vITIm atikramya
   campakā3vali-vartmanā manāg ivo7pasṛtyo7ttarāhi	campakA3vali-vartmanA manAk iva-u7pasRtyaH-7ttarAhi
   karuṇaṃ cakra-vāka-mithuna-ravam aśṛṇavam |	karuNam cakra-vAka-miTuna--ravam aSRNavam |
   punar udīcā pāṭali-pathena	punar udIcA pAwali-paTena
   sparśa-labhya-viśāla-saudha-kuḍyo1dareṇa śara-kṣepam	sparSa--laBya--viSAla--sODa--kuxya-u1dareNa Sara-kzepam
   iva gatvā punaḥ prācā	iva gatvA punar prAcA
   piṇḍī-bhāṇḍīra-khaṇḍa-maṇḍito1bhaya-pārśvena	piNxI--BANxIra--KaNxa--maNxita-u1Baya--pArSvena
   saikata-pathena kiñ=cid uttaram atikramya punar	sEkata-paTena kiQ=cid uttaram atikramya punar-
   avācīṃ cūta-vīthīm agāhiṣi |	avAcIm cUta-vITIm agAhizi |
   tataś ca gahanataram udaro1paracita-ratna-vedikaṃ	tatas ca gahanataram udara-u1para-cita-ratna--vedikam
   mādhavī-latā-maṇḍapam	mADavI--latA-maNxapam
   īṣad-vivṛta-samudgako1nmiṣita-bhāsā dīpa-vartyā	Izat--vivRta--samudga-ko1t-mizita-BAsA dIpa-vartyA
   nyarūpayam |	nyarUpayam |
   praviśya cai7ka-pā rśve	praviSya cE7ka-pAH rSve
   phulla-puṣpa-nirantara-kuraṇṭa-pota-paṅkti-bhitti-parigataṃ garbha-gṛham	Pulla--puzpa--nirantara--kuraNwa-pota--paFkti--Bitti-parigatam garBa-gRham
   avani-patitā1ruṇā1śoka-latā-mayam	avani-patitA1ruNA1-Soka--latA-mayam
   abhinava-kusuma-koraka-pulaka-lāñchitaṃ	aBinava--kusuma--koraka-pulaka--lAQCitam
   pratyagra-pravāla-paṭala-pāṭalaṃ kapāṭam udghāṭya	pratyagra--pravAla--pawala--pAwalam kapAwam udGAwya
   prāvikṣam |	prAvikzam |
   tatra cā8sīt sv-āstīrṇaṃ kusuma-śayanam	tatra ca-a8sIt sv-AstIrNam kusuma--Sayanam
   surato1pakaraṇa-vastu-garbhāś ca	surata-u1pakaraNa-vastu--garBAH ca
   kamalinī-palāśa-sampuṭāḥ danta-mayas tāla-vṛntaḥ	kamalinI--palASa--sampuwAH danta-mayaH tAla-vRntaH
   surabhi-salila-bharitaś ca bhṛṅgārakaḥ |	suraBi--salila--BaritaH ca BRFgArakaH |
   samupaviśya muhūrtaṃ viśrāntaḥ parimalam	samupaviSya muhUrtam viSrAntaH parimalam
   atiśayavantam āghrāsiṣam |	atiSayavantam AGrAsizam |
   aśrauṣaṃ ca manda-mandaṃ pada-śabdam |	aSrOzam ca manda-mandam pada--Sabdam |
   śrutvai9va saṅketa-gṛhān nirgatya	SrutvA-e9va saFketa-gRhAt nirgatya
   raktā1śoka-skandha-pārśva-vyavahitā1ṅga-yaṣṭiḥ	raktA1-Soka-skanDa--pArSva--vyavahita-a1Fga-yazwiH
   sthito 'smi |	sTitaH asmi |
   sā ca su-bhrūr a=suṣīma-kāmā śanair upetya tatra	sA ca su-BrUH a=suzIma--kAmA SanEs upetya tatra
   mām a-dṛṣṭvā balavad avyathiṣṭa |	mAm a-dRzwvA balavat avyaTizwaH |
   vyasṛjac ca matta-rāja-hamsī9va	vyasRjat ca matta-rAja--hamsI9va
   kaṇṭha-rāga-valgu-gadgadāṃ giram -- ' vyaktam asmi	kaNWa--rAga-valgu---gadgadAm giram -- a vyaktam asmi
   vipralabdhā |	vipralabDAH |
   na asty upāyaḥ prāṇitum |	na asti upAyaH prANitum |
   ayi hṛdaya kim idam a=kāryaṃ kāryavad adhyasya	ayi hRdaya kim idam a=kAryam kArya-vat aDyasya
   tad-a=sambhavena kim evam uttāmyasi |	tad--a=-samBavena kim evam uttAmyasi |
   bhagavan pañca-bāṇakas tava aparādhaḥ kṛto mayā	Bagavan paQca-bANakaH tava aparADaH kRtaH mayA
   yad evaṃ dahasi na ca bhasmīkaroṣi ' iti |	yat evam dahasi na ca BasmIkarozi a iti |
   atha aham āvirbhūya vivṛta-dīpa-bhājanaḥ ' bhāmini	aTa aham AvirBUya vivRta--dIpa-BAjanaH a BAmini
   nanu bahv aparāddhaṃ bhavatyā citta-janmano yad	nanu bahu aparAdDam BavatyA citta--janmanaH yat-
   amuṣya jīvita-bhūtā ratir ākṛtyā kadarthitā	amuzya jIvita--BUtA ratiH AkRtyA kadarTitA
   dhanur-yaṣṭir bhrū-latābhyām bhramara-mālā-mayī	DanuH--yazwiH BrU-latAByAm Bramara--mAlA--mayI
   jyā nīlā1laka-dyutibhiḥ astrāṇy	jyAH nIla-a1laka-dyutiBiH astrANi-
   apāṅga-vīkṣita-vṛṣṭibhiḥ	apAFga-vIkzita--vRzwiBiH
   mahā-rajana-dhvaja-paṭā1mśukaṃ	mahA-rajana--Dvaja--pawa-a1mSukam
   danta-cchada-mayūkha-jālaiḥ prathama-suhṛn	danta--cCada--mayUKa--jAlEH praTama--suhRd-
   malaya-mārutaḥ parimala-paṭīyasā niḥśvāsa-pavanena	malaya--mArutaH parimala--pawIyasA niHSvAsa--pavanena
   parabhṛta-rutam ati-mañjulaiḥ pralāpaiḥ puṣpa-mayī	paraBRta--rutam ati-maQjulEH pralApEH puzpa-mayI
   patākā bhuja-yaṣṭibhyām	patAkAH Buja--yazwiByAm
   dig-vijayā3rambha-pūrṇa-kumbha-mithunam	diS--vijayA3ramBa--pUrNa-kumBa--miTunam
   uroja-kumbha-yugalena krīḍā-saro nābhi-maṇḍalena	uraH-ja--kumBa--yugalena krIxA-a-saraH nABi-maNxalena
   samnāhya-rathaḥ śroṇi-maṇḍalena	samnAhya--raTaH SroNi--maNxalena
   bhava-ratna-toraṇa-sta mbha-yugalam ūru-yugalena	Bava--ratna-toraNa-H-ta mBa--yugalam Uru--yugalena
   līlā-karṇa-kisalayaṃ caraṇa-tala-prabhābhiḥ |	lIlA-karNa--kisalayam caraNa--tala--praBABiH |
   ataḥ sthānae eva tvāṃ dunoti mīna-ketuḥ |	atas sTAnae eva tvAm dunoti mIna-ketuH |
   māṃ punar an=aparādham adhikam āyāsayatī7ty eṣa	mAm punar an=a-parADam aDikam AyAsayatI7ti eza
   eva tasya doṣaḥ |	eva tasya dozaH |
   tat prasīda sundari jīvaya māṃ jīvanau3ṣadhibhir	tat prasIda sundari jIvaya mAm jIvana-o3zaDiBiH-
   iva apāṅgair an=aṅga-bhujaṅga-daṣṭam |	iva apAFgEH an=aFga---BujaFga-dazwam |
   ' ity āśliṣṭavān |	a iti ASlizwavAn |
   arīramaṃ ca an=aṅga-rāga-peśala-viśāla-locanām |	arIramam ca an=aFga-rAga-peSala--viSAla---locanAm |
   avasitā1rthāṃ cā8rakta-valite3kṣaṇām	avasita-a1rTAm ca-a8rakta-valite3-kzaNAm
   īṣat-sveda-rekho2dbheda-jarjarita-kapola-mūlām	Izat-sveda-reKA-u2dBeda--jarjarita--kapola--mUlAm
   an=argala-kala-pralāpinīm	an=argala-kala--pralApinIm
   aruṇa-daśana-kara-ruhā1rpaṇa-vyatikarām	aruNa--daSana--kara-ruhA1rpaNa--vyatikarAm
   atyartha-pariślathā1ṅgīm ārtām iva lakṣayitvā	atyarTa--pariSlaTa-a1FgIm ArtAm iva lakzayitvA
   mānasīṃ śārīrīṃ ca dhāraṇāṃ śithilayann	mAnasIm SArIrIm ca DAraNAm SiTilayan=-
   ātmānam api tayā samānā1rtham āpādayam |	AtmAnam api tayA samAna-a1rTam ApAdayam |
   tat-kṣaṇa-vimukta-saṅgatau ratā1vasānikaṃ vidhim	tat-kzaNa--vimukta--saFgatO rata-a1vasAnikam viDim
   anubhavantau cira-paricitāv iva atigūḍha-viśrambhau	anuBavantO cira--paricitO iva ati-gUXa--viSramBO
   kṣaṇam avātiṣṭhāvahi |	kzaNam avAtizWAvahi |
   punar aham uṣṇam āyataṃ ca niḥśvasya	punar aham uzNam Ayatam ca niHSvasya
   kiñ=cid-dīna-dṛṣṭiḥ sa-cakita-prasāritābhyāṃ	kiQ=cid--dIna-dRzwiH sa-cakita--prasAritAByAm
   bhujābhyām enām an=atipīḍaṃ pariṣvajya na	BujAByAm enAm an=ati-pIxam parizvajya na
   ativiśadam acumbiṣam |	ati-viSadam acumbizam |
   aśru-mukhī tu sā ' yadi prayāsi nātha prayātam eṣa	aSru--muKI tu sA a yadi prayAsi nATa prayAtam eza
   me jīvitaṃ gaṇaya |	me jIvitam gaNaya |
   naya mām api |	naya mAm api |
   na ced asau dāsa-jano niṣ-prayojanaḥ | ' ity añjalim	na ced asO dAsa-janaH niz--prayojanaH | a iti aQjalim
   avatamsatām anaiṣīt |	avatamsatAm anEzIt |
   avādiṣaṃ ca tām -- ' ayi mugdhe kaḥ sa-cetanaḥ	avAdizam ca tAm -- a ayi mugDe kaH sa-cetanaH
   striyam abhikāmayamānāṃ na abhinandati |	striyam aBikAmayamAnAm na aBinandati |
   yadi mad-anugraha-niścalas tava abhisandhir ācara	yadi mad--anugraha--niScalaH tava aBisanDiH Acara
   a=vicāraṃ mad-upadiṣṭam |	a=vicAram mad-upadizwam |
   ādarśaya rahasi rājñe mat-sādṛśya-garbhaṃ	AdarSaya rahasi rAjQe mat--sAdRSya--garBam
   citra-paṭam |	citra-pawam |
   ācakṣva ca - ' kim iyam ākṛ tiḥ puruṣa-saundaryasya	Acakzva ca  a kim iyam AkR tiH puruza--sOndaryasya
   pāram ārūḍhā na vā ' iti |	pAram ArUXA na vA a iti |
   ' bāḍham ārūḍhā ' iti nūnam asau vakṣyati |	a bAXam ArUXA a iti nUnam asO vakzyati |
   brūhi bhūyaḥ -- ' yady evam asti kā api tāpasī	brUhi BUyas -- a yadi evam asti kA api tApasI
   deśā1ntara-bhramaṇa-labdha-prāgalbhyā mama ca	deSa-a1ntara--BramaNa-labDa--prAgalByAH mama ca
   mātṛ-bhūtā |	mAtR-BUtA |
   taye9dam ālekhya-rūpaṃ puraskṛtya aham uktā -- '	taye9dam AleKya-rUpam puraskRtya aham uktA -- a
   so 'sti tādṛśo mantro yena tvam upoṣitā parvaṇi	saH asti tAdRSaH mantraH yena tvam upozitA parvaNi
   viviktāyāṃ bhūmau puro-hitair huta-mukte saptā1rciṣi	viviktAyAm BUmO puro-hitEH huta-mukte sapta-a1rcizi
   naktam ekākinī śataṃ candana-samidhaḥ	naktam ekAkinI Satam candana--samiDaH
   karpūra-muṣṭīḥ paṭṭa-vastrāṇi ca prabhūtāni	karpUra-muzwIH pawwa-vastrANi ca praBUtAni
   hutvā bhaviṣyasy evam-ākṛtiḥ |	hutvA Bavizyasi evam-a-AkRtiH |
   atha cālayiṣyasi ghaṇṭām |	aTa cAlayizyasi GaNwAm |
   ghaṇṭā-puṭa-kvaṇitā3hūtaś ca bhartā bhavatyai	GaNwA--puwa---kvaNitA3hUtaH ca BartA BavatyE
   sarva-rahasyam ākhyāya nimīlitā1kṣo yadi tvām	sarva-rahasyam AKyAya nimIlita-a1kzaH yadi tvAm
   āliṅget iyam ākṛ tir amum upasaṅkrāmet |	AliFget iyam AkR tiH amum upasaFkrAmet |
   tvaṃ tu bhaviṣyasi yathā purā4kārai9va |	tvam tu Bavizyasi yaTA purA4kArE9va |
   yadi bhavatyai bhavat-priyāya cai7vaṃ roceta na ca	yadi BavatyE Bavat--priyAya ca-e7vam roceta na ca
   asmin vidhau visamvādaḥ kāryaḥ ' iti |	asmin viDO visamvAdaH kAryaH a iti |
   vapuś ced idaṃ tava abhimataṃ saha	vapuH ced idam tava aBimatam saha
   suhṛn-mantribhir anujaiḥ paura-jānapadaiś ca	suhRn-mantriBiH anujEH pOra-jAnapadEH ca
   saṃpradhārya teṣām apy anumate karmaṇy abhimukhena	saMpraDArya tezAm api anumate karmaNi aBimuKena
   stheyam ' iti |	sTeyam a iti |
   sa niyatam abhyupaiṣyati |	sa niyatam aByupEzyati |
   punar asyām eva pramada-vana-vāṭī-śṛṅgāṭikāyām	punar asyAm eva pramada-vana-vAwI--SRFgAwikAyAm
   ātharvaṇikena vidhinā sañjñapita-paśunā abhihutya	ATarvaNikena viDinA saQjQa-pita--paSunA aBihutya
   mukte hiraṇya-retasi tad-dhūma-śamalena sampraviṣṭena	mukte hiraNya-retasi tad--DUma--Samalena sampravizwena
   mayā asminn eva latā-maṇḍape sthātavyam |	mayA asmin eva latA--maNxape sTAtavyam |
   tvaṃ punaḥ pragāḍhāyāṃ pradoṣa-velāyām	tvam punar pragAXAyAm pradoza--velAyAm
   ālapiṣyasi karṇe kṛta-narma-smitā vikaṭa-varmāṇam --	Alapizyasi karNe kRta--narma--smitA vikawa-varmANam --
   ' dhūrto 'si tvam a=kṛta-jñaś ca |	a DUrtaH asi tvam a=kRta--jQaH ca |
   mad-anugraha-labdhena api rūpeṇa	mad--anugraha-labDena api rUpeNa
   loka-locano1tsavāyamānena mat-sapatnīr abhiramayiṣyasi |	loka-locana-u1tsa-vAyamAnena mat--sapatnIH aBiramayizyasi |
   na aham ātma-vināśāya vetālo1tthāpanam ācareyam '	na aham Atma--vinASAya vetAlaH-1tTApanam Acareyam a
   iti |	iti |
   śrutve9daṃ tvad-vacaḥ sa yad vadiṣyati tan mahyam	SrutvA-i9dam tvad--vacaH sa yat vadizyati tat mahyam
   ekākiny upāgatya nivedayiṣyasi |	ekAkinI upAgatya nivedayizyasi |
   tataḥ param aham eva jñāsyāmi |	tatas param aham eva jQAsyAmi |
   mat-pada-cihnāni co7pavane puṣkarikayā pramārjaya ' iti |	mat--pada--cihnAni ca-u7pavane puzkarikayA pramArjaya a iti |
   sā ' tathā ' iti śāstro1padeśam iva mad-uktam ādṛtya	sA a taTA a iti SAstra-u1padeSam iva mad--uktam AdRtya
   a=tṛpta-surata-rāgai9va kathaṃ=katham apy agād	a=tRpta--surata-rAga-e9va kaTaM=kaTam api agAt-
   antaḥ-puram |	antaH-puram |
   aham api yathā-praveśaṃ nirgatya svam evā8vāsam	aham api yaTA-praveSam nirgatya svam eva-a8vAsam
   ayāsiṣam |	ayAsizam |
   atha sā matta-kāśinī tathā tam artham anvatiṣṭhat |	aTa sA matta--kASinI taTA tam arTam anvatizWat |
   atiṣṭhac ca tan-mate sa dur-matiḥ |	atizWat ca tan-mate sa dur-matiH |
   abhramac ca paura-jānapadeṣv iyam adbhutāyamānā	aBramat ca pOra-jAnapadezu iyam adButAyamAnA
   vārtā -- ' rājā kila vikaṭa-varmā devī-mantra-balena	vArtA -- a rAjA kila vikawa-varmA devI--mantra-balena
   deva-yogyaṃ vapur āsādayiṣyati |	deva--yogyam vapuH AsAdayizyati |
   nūnam eṣa vipralambho na ati-kalyāṇaḥ |	nUnam eza vipralamBaH na ati-kalyANaH |
   kai9va kathā pramādasya |	kE9va kaTA pramAdasya |
   svasminn eva antaḥ-puro1pavane svā1gra-mahiṣyai9va	svasmin eva antaH--puro1pavane svA1gra--mahizyE9va
   sampādyaḥ kila ayam arthaḥ |	sampAdyaH kila ayam arTaH |
   tathā hi bṛhaspati-pratima-buddhibhir mantribhir apy	taTA hi bRhaspati--pratima-budDiBiH mantriBiH api-
   abhyūhya anumataḥ |	aByUhya anumataH |
   yady evaṃ bhāvi na anyad ataḥ param asti kiñ=cid	yadi evam BAvi na anyat atas param asti kiQ=cid-
   adbhutam |	adButam |
   a=cintyo hi maṇi-mantrau3ṣadhīnāṃ prabhāvaḥ |	a=cintyaH hi maNi-mantra-o3zaDInAm praBAvaH |
   ' iti prasṛteṣu loka-pravādeṣu prāpte parva-divase	a iti prasRtezu loka--pravAdezu prApte parva--divase
   pragāḍhāyāṃ prauḍha-tamasi pradoṣa-velāyām	pragAXAyAm prOXa-tamasi pradoza--velAyAm
   antaḥ-puro1dyānād udairayad	antaH--puro1dyAnAt udEraya-t-
   dhūrjaṭi-kaṇṭha-dhūmro dhūmo1dgamaḥ |	DUrjawi--kaNWa-DUmraH DUmo1dgamaH |
   kṣīrā3jya-dadhi-tila-gaura-sarṣapa-vasā-māmsa-rudhira	kzIrA3jya-daDi-tila--gOra-sarzapa-vasA-mAmsa-ruDira
   -āhutīnāṃ ca parimalaḥ pavanā1nusārī diśi diśi	-a-AhutInAm ca parimalaH pavanA1nusArI diSi diSi
   prāvātsīt |	prAvAtsIt |
   praśānte ca sahasā dhūmo1dgame tasminn aham aviśam |	praSAnte ca sahasA DUmo1dgame tasmin aham aviSam |
   niśānto1dyānam āgamac ca gaja-gāminī |	niSAnta-u1dyAnam Agamat ca gaja--gAminI |
   āliṅgya ca māṃ sa-smitaṃ samabhyadhatta -- ' dhūrta	AliFgya ca mAm sa--smitam samaByaDatta -- a DUrta
   siddhaṃ te samīhitam |	sidDam te samIhitam |
   avasitaś ca paśur asau |	avasitaH ca paSuH asO |
   amuṣya pralobhanāya tvad-ādiṣṭayā diśā mayo9ktam	amuzya praloBanAya tvad--AdizwayA diSA mayA-u9ktam
   -- ' kitava na sādhayāmi te saundaryam |	-- a kitava na sADayAmi te sOndaryam |
   evaṃ sundaro hi tvam apsarasām api spṛhaṇīyo	evam sundaraH hi tvam apsarasAm api spRhaNIyaH-
   bhaviṣyasi kim uta mānuṣīṇām |	Bavizyasi kim uta mAnuzINAm |
   madhu-kara iva nisarga-capalo yatra kva=cid āsajjati	maDu-karaH iva nisarga--capalaH yatra kva=cid Asajjati
   bhavādṛśo nṛ-śamsaḥ ' iti |	BavAdRSaH nR-SamsaH a iti |
   tena tu me pādayor nipatya abhihitam -- ' rambho4ru	tena tu me pAdayoH nipatya aBihitam -- a ramBo4ru
   sahasva mat-kṛtāni duś-caritāni |	sahasva mat--kRtAni duS-caritAni |
   manasā api na cintayeyam itaḥ param itara-nārīm |	manasA api na cintayeyam itas param itara--nArIm |
   tvarasva prastute karmaṇi ' iti |	tvarasva prastute karmaNi a iti |
   tad aham īdṛśena vaivāhikena nepathyena tvām	tat aham IdRSena vEvAhikena nepaTyena tvAm
   abhisṛtavatī |	aBisRtavatI |
   prāg api rāgā1gni-sākṣikam an-aṅgena guruṇā	prAk api rAga-a1gni-sAkzikam an-aFgena guruNA
   dattai9va tubhyam eṣā jāyā |	dattE9va tuByam ezA jAyA |
   punar apī7maṃ jāta-vedasaṃ sākṣīkṛtya	punar api-i7mam jAta--vedasam sAkzIkRtya
   sva-hṛdayena dattā ' iti prapadena caraṇa-pṛṣṭhe	sva--hRdayena dattA a iti prapadena caraNa--pRzWe
   niṣpīḍyo7tkṣipta-pāda-pārṣṇir	nizpIxya-u7tkzipta--pAda--pArzNiH-
   itare1tara-vyatiṣakta-komalā1ṅguli-dalena	itare1tara--vyatizakta--komalA-1Fguli-dalena
   bhuja-latā-dvayena kandharāṃ mamā8veṣṭya sa-līlam	Buja-latA--dvayena kanDarAm mama-a8vezwya sa-lIlam
   ānanam ānamayya svayam	Ananam Anamayya svayam
   unnamita-mukha-kamalā1-vibhrānta-viśāla-dṛṣṭir	unnamita-muKa--kamala-a1-viBrAnta--viSAla-dRzwiH-
   a-sakṛd abhyacumbat |	a-sakRt aByacumbat |
   athai7nām ' ihai7va kuraṇṭaka-gulma-garbhe tiṣṭha	aTa-e7nAm a iha-e7va kuraNwaka-gulma--garBe tizWa
   yāvad ahaṃ nirgatya sādhayeyaṃ sādhyaṃ samyak iti	yAvat aham nirgatya sADayeyam sADyam samyak iti
   visṛjya tām upasṛtya homā1nala-pradeśam	visRjya tAm upasRtya homA1-nala--pradeSam
   aśoka-śākhā2valambinīṃ ghaṇṭām acālayam |	aSoka-SAKA-a2valambinIm GaNwAm acAlayam |
   akūjac ca sā taṃ janaṃ	akUjat ca sA tam janam
   kṛtānta-dūtī9vā8hvayantī |	kRtAnta-dUtI9vA8hvayantI |
   prāvartiṣi ca aham a-guru-candana-pramukhāni hotum |	prAvartizi ca aham a-guru--candana--pramuKAni hotum |
   āyāsīc ca rājā yatho2ktam deśam |	AyAsIt ca rAjA yaTo2ktam deSam |
   śaṅkā4pannam iva kiñ-cit sa-vismayaṃ vicārya	SaFkA-A4pannam iva kiQ-cid sa-vismayam vicArya
   tiṣṭhantam abravam - ' brūhi satyaṃ bhūyo 'pi me	tizWantam abravam  a brUhi satyam BUyas api me
   bhagavantaṃ citra-bhānum eva sākṣīkṛtya |	Bagavantam citra-BAnum eva sAkzIkRtya |
   na ced anena rūpeṇa mat-sapatnīr abhiramayiṣyasi	na ced anena rUpeNa mat--sapatnIH aBiramayizyasi
   tatas tvayī7daṃ rūpaṃ saṅkrāmayeyam ' iti |	tatas tvayi-i7dam rUpam saFkrAmayeyam a iti |
   sa tadai9va devy eve7yam no7padhiḥ iti	sa tadA-e9va devI eva-i7yam na-u7paDiH iti
   sphuṭo1pajāta-sampratyayaḥ prāvartata śapathāya |	sPuwa-u1pajAta--sampratyayaH prAvartata SapaTAya |
   smitvā punar mayo9ktam - ' kiṃ vā śapathena |	smitvA punar mayA-u9ktam  a kim vA SapaTena |
   kai9va hi mānuṣī māṃ paribhaviṣyati |	kE9va hi mAnuzI mAm pariBavizyati |
   yady apsarobhiḥ saṅgacchase saṅgacchasva kāmam |	yadi apsaroBiH saFgacCase saFgacCasva kAmam |
   kathaya kāni te rahasyāni |	kaTaya kAni te rahasyAni |
   tat-kathanā1nte hi tvat-sva-rūpa-bhraṃśaḥ ' iti |	tat-kaTana-a1nte hi tu-at--sva-rUpa--BraMSaH a iti |
   so 'bravīt - ' asti baddho mat-pituḥ kanīyān bhrātā	saH abravIt  a asti badDaH mat-pituH kanIyAn BrAtA
   prahāra-varmā |	prahAra-varmA |
   taṃ viṣā1nnena vyāpādya a-jīrṇa-doṣaṃ	tam vizA1nnena vyApAdya a-jIrNa--dozam
   khyāpayeyam iti mantribhiḥ saha adhyavasitam |	KyApayeyam iti mantriBiH saha aDyavasitam |
   anujāya viśāla-varmaṇe daṇḍa-cakraṃ	anujAya viSAla-varmaNe daNxa--cakram
   puṇḍra-deśā1bhikramaṇāya ditsitam |	puNxra-deSa-a1BikramaNAya ditsitam |
   paura-vṛddhaś ca pāñcālikaḥ paritrātaś ca	pOra-vRdDaH ca pAQcAlikaH paritrAtaH ca
   sārtha-vāhaḥ khanati-nāmno yavanād vajram ekaṃ	sArTa-vAhaH Kanati-nAmnaH yavanAt vajram ekam
   vasundharā-mūlyaṃ laghīyasā argheṇa labhyam iti	vasunDarA--mUlyam laGIyasA arGeNa laByam iti
   mamai7kānte amantrayetām |	mamE7kAnte amantrayetAm |
   gṛha-patiś ca mama antaraṅga-bhūto	gRha-patiH ca mama antaraFga-BUtaH-
   janapada-mahattaraḥ śata-halir alīka-vāda-śīlam	janapada--mahattaraH Sata-haliH alIka--vAda--SIlam
   avalepavantaṃ duṣṭa-grāmaṇyam ananta-sīraṃ	avalepavantam duzwa--grAmaNyam ananta-sIram
   janapada-kopena ghātayeyam iti daṇḍa-dharān	janapada--kopena GAtayeyam iti daNxa--DarAn
   uddhāra-karmaṇi mat-prayogān niyoktum abhyupāgamat |	udDAra--karmaNi mat--prayogAt niyoktum aByupAgamat |
   ittham idam a-cira-prastutaṃ rahasyam ity ākarṇya tam '	itTam idam a-cira--prastutam rahasyam iti AkarNya tam a
   iyat tavā8yuḥ |	iyat tava-A8yuH |
   upapadyasva sva-karmo1citāṃ gatim ' iti cchurikayā	upapadyasva sva--karmo1-citAm gatim a iti cCurikayA
   dvidhā kṛtya kṛtta-mātraṃ tasminn eva	dviDA kRtya kRtta--mAtram tasmin eva
   pravṛtta-sphīta-sarpiṣi hiraṇya-retasy ajuhavam |	pravRtta--sPIta--sarpizi hiraNya-retasi ajuhavam |
   abhūc ca asau bhasmasāt |	aBUt ca asO BasmasAt |
   atha strī-svabhāvād īṣad-vihvalāṃ	aTa strI--svaBAvAt Izat--vihvalAm
   hṛdaya-vallabhāṃ samāśvāsya hasta-kisalaye	hRdaya--vallaBAm samASvAsya hasta-kisalaye
   avalambya gatvā tad-gṛham anujñayā asyāḥ sarvāṇy	avalambya gatvA tad--gRham anujQayA asyAH sarvANi-
   antaḥ-purāṇy āhūya sadya eva sevāṃ dattavān |	antaH-purANi AhUya sadyas eva sevAm dattavAn |
   sa-vismita-vilāsinī-sārtha-madhye kañ-cid vihṛtya	sa-vismita-vilAsinI--sArTa--maDye kaQ-cid vihRtya
   kālaṃ visṛṣṭā1varodha-maṇḍalas tām eva	kAlam visRzwa-a1varoDa--maNxalaH tAm eva
   samhato3rūm ūrū1papīḍaṃ bhujo1papīḍaṃ	samhataH-3rUm UrU1papIxam Buja-u1papIxam
   co7pagūhya talpe 'bhiramayann alpām iva tāṃ niśām	ca-u7pagUhya talpe aBiramayan alpAm iva tAm niSAm
   atyanaiṣam |	ati-anEzam |
   alabhe ca tan-mukhāt tad-rāja-kulasya śīlam |	alaBe ca tan--muKAt tad--rAja--kulasya SIlam |
