   darpadalanam	darpa-dalanam
   yatkaṃdharābaddhamapi prayāti naikaṃ padaṃ kālagatasya paścāt // KDarp_2.1	yat-kaMDara-AbadDam-api prayAti na-ekam padam kAlagatasya paScAt // KDarp_2.1
   surakṣitaṃ tiṣṭhati nirnimittam arakṣitaṃ tiṣṭhati daivayogāt /	su-rakzitam tizWati nirnimittam arakzitam tizWati dEva-yogAt /
   sthitaṃ kadaryasya ca copayuktam unmattanṛttopamameva vittam // KDarp_2.2	sTitam kadaryasya ca ca-upayuktam unmatta-nRtta-upamam-eva vittam // KDarp_2.2
   karmoktinarmanirmāṇaiḥ prātaḥ prātaḥ pradhāvatām /	karma-ukti-narma-nirmANEH prAtar prAtar praDAvatAm /
   dhanaṃ dhanaṃ pralapatāṃ nidhanaṃ vismṛtaṃ nṛṇām // KDarp_2.3 //	Danam Danam pralapatAm niDanam vismRtam nRNAm // KDarp_2.3 //
   vicchāyayornirvyayayoḥ kaṣṭakliṣṭakalatrayoḥ /	vicCAyayoH-nirvyayayoH kazwa-klizwa-kalatrayoH /
   viśeṣaḥ kleśadoṣasya kaḥ kadaryadaridrayoḥ // KDarp_2.4 //	viSezaH kleSa-dozasya kaH kadarya-daridrayoH // KDarp_2.4 //
   ye dhanādānasaṃnaddhā nekṣante nidhanāvadhim /	ye Dana-AdAna-saMnadDAH na-Ikzante niDana-avaDim /
   nindanto lubdhatāṃ teṣām ante 'nye bhuñjate dhanam // KDarp_2.5 //	nindantaH lubDa-tAm tezAm ante anye BuQjate Danam // KDarp_2.5 //
   uktaṃ parasyāmiṣatām anuktaṃ yātyadṛśyatām /	uktam parasya-AmizatAm anuktam yAti-adRSyatAm /
   hṛdaye śalyatāṃ dhatte nidhane dhanināṃ dhanam // KDarp_2.6 //	hRdaye Salya-tAm Datte niDane DaninAm Danam // KDarp_2.6 //
   dhanena jīviteneva kaṇṭhasthena nirīkṣate /	Danena jIvitena-iva kaNWa-sTena nirIkzate /
   paryante 'pyaprakāśena bandhūnāṃ mukhamāturaḥ // KDarp_2.7 //	paryante api-aprakASena banDUnAm muKam-AturaH // KDarp_2.7 //
   yadarjitaṃ parikleśair arjitaṃ yanna bhujyate /	yat-arjitam parikleSEH arjitam yat-na Bujyate /
   vibhajyate yadante 'nyaḥ kasyacinmāstu taddhanam // KDarp_2.8 //	viBajyate yat-ante anyaH kasyacid-mAstu tad-Danam // KDarp_2.8 //
   vidyā vivādāya dhanaṃ madāya prajñāprakarṣaḥ paravañcanāya /	vidyA vivAdAya Danam madAya prajQA-prakarzaH para-vaQcanAya /
   atyunnatirlokaparābhavāya yeṣāṃ prakāśastimiraṃ hi teṣām // KDarp_2.9 //	ati-unnatiH-loka-parABavAya yezAm prakASaH-timiram hi tezAm // KDarp_2.9 //
   aśāntāntastṛṣṇā dhanalavaṇavārivyatikarair gatacchāyaḥ	aSAnta-antaH-tRzNA Dana-lavaNa-vAri-vyatikarEH gata=-CAyaH
   kāyaściravirasarūkṣāśanatayā /	kAyaH-ciravirasa-rUkza-aSana-tayA /
   anidrā mando 'gnirnṛpasalilacaurānalabhayāt kadaryāṇāṃ kaṣṭaṃ	anidrA mandaH agniH-nRpa-salila-cOra-anala-BayAt kadaryANAm kazwam
   sphuṭamadhanakaṣṭādapi param // KDarp_2.10 //	sPuwam-aDana-kazwAt-api param // KDarp_2.10 //
   śrāvastyāṃ sārthavāho 'bhūd arthanātha ivāparaḥ /	SrAvastyAm sArTavAhaH aBUt arTa-nATaH iva-aparaH /
   nando nāma nirānandaḥ kīrtanenārthināmapi // KDarp_2.11 //	nandaH nAma nirAnandaH kIrtanena-arTinAm-api // KDarp_2.11 //
   sa kadaryaḥ sadā sarva- janasyodvegaduḥsahaḥ /	sa kadaryaH sadA sarva janasya-udvega-duHsahaH /
   mūrdhaśāyī nidhānānāṃ kālavyāla ivābhavat // KDarp_2.12 //	mUrDa-SAyI niDAnAnAm kAla-vyAlaH iva-aBavat // KDarp_2.12 //
   kṛtvā samastaṃ divasaṃ dhanānāṃ nidhānakumbhīgaṇanāvidhānam /	kRtvA samastam divasam DanAnAm niDAna-kumBI-gaNanA-viDAnam /
   sa lājapeyāpalamānaśīlam aśnāti rātrāvudaraṃ saśūlam (?) // KDarp_2.13 //	sa lAja-peyA-pala-mAna-SIlam aSnAti rAtrO=-udaram sa-SUlam (?) // KDarp_2.13 //
   nirvyañjanaṃ nirlavaṇaṃ vinaṣṭam amṛṣṭapākaṃ viniviṣṭakaṣṭam /	nirvyaQjanam nirlavaNam vinazwam amRzwa-pAkam vinivizwa-kazwam /
   adṛṣṭahāsaṃ vyayasaṃnirodhāt tasyābhavadveśma saśokamūkam // KDarp_2.14 //	adRzwa-hAsam vyaya-saMniroDAt tasya-aBavat-veSma sa-Soka-mUkam // KDarp_2.14 //
   vicchāyaṃ niḥsukhānandaṃ nirdīpaṃ jalavarjitam /	vicCAyam niHsuKa-Anandam nirdIpam jala-varjitam /
   tasya kaṣṭaṃ kadaryasya paralokamabhūdgṛham // KDarp_2.15 //	tasya kazwam kadaryasya para-lokam-aBUt-gRham // KDarp_2.15 //
   sa bhaktasaṃcaye nityam abhaktaḥ saṃtatāmayaiḥ /	sa Bakta-saMcaye nityam aBaktaH saMtata-AmayEH /
   suvarṇavānvivarṇo 'bhūt saṃpūrṇaścintayā kṛśaḥ // KDarp_2.16 //	suvarNavAn-vivarNaH aBUt saMpUrNaH-cintayA kRSaH // KDarp_2.16 //
   puṇyaprāpyā matirnāma dhanarddhiriva rūpiṇī /	puNya-prApyA matiH-nAma Dana-RdDiH-iva rUpiNI /
   bhāryābhūttadayogyasya tasya daivaviparyayāt // KDarp_2.17 //	BAryA-aBUt-tad-ayogyasya tasya dEva-viparyayAt // KDarp_2.17 //
   sadā pracchādya sā bhartuś cakārātithisatkriyām /	sadA pracCAdya sA BartuH cakAra-atiTi-satkriyAm /
   tena vyayavivādeṣu śoṣitā kalahāgninā // KDarp_2.18 //	tena vyaya-vivAdezu SozitA kalaha-agninA // KDarp_2.18 //
   tasyāṃ tasyābhavatsūnuḥ saguṇaścandanābhidhaḥ /	tasyAm tasya-aBavat-sUnuH sa-guNaH-candana-aBiDaH /
   pitrā lobhāndhakāreṇa nītaḥ padma ivānyatām // KDarp_2.19 //	pitrA loBa-anDakAreNa nItaH padmaH iva-anya-tAm // KDarp_2.19 //
   kadācitsvagṛhadvāri dṛṣṭvā labdhānnamarthinam /	kadAcid-sva-gRha-dvAri dRzwvA labDa-annam-arTinam /
   cakāra kalahaṃ nandaḥ patnyā śoṇitapātanam // KDarp_2.20 //	cakAra kalaham nandaH patnyA SoNita-pAtanam // KDarp_2.20 //
   so 'vadatkopadaṣṭauṣṭhaḥ śvasanbhāryāmadhomukhīm /	saH avadat-kopa-dazwa-ozWaH Svasan-BAryAm-aDomuKIm /
   tatsparsapāpaṃ stanayoḥ kṣālayantīmivāśrubhiḥ // KDarp_2.21 //	tad-sparsa-pApam stanayoH kzAlayantIm-iva-aSruBiH // KDarp_2.21 //
   mama dāsyati ko bhikṣāṃ tvatpāṇikṣīṇasaṃpadaḥ /	mama dAsyati kaH BikzAm tvad-pANi-kzINa-saMpadaH /
   dāridryajananī yasya sthitā tvaṃ durbhagā gṛhe // KDarp_2.22 //	dAridrya-jananI yasya sTitA tvam durBagA gRhe // KDarp_2.22 //
   striyo yatra pragalbhante bharturācchādya kartṛtām /	striyaH yatra pragalBante BartuH-AcCAdya kartR-tAm /
   gṛhaṃ bhavatyavaśyaṃ tad- āspadaṃ paramāpadām // KDarp_2.23 //	gRham Bavati-avaSyam tad Aspadam parama-ApadAm // KDarp_2.23 //
   gṛhamekaṃ gṛhasthasya gṛhāṇāṃ śatamarthinaḥ /	gRham-ekam gRhasTasya gRhANAm Satam-arTinaH /
   bhāryābharjitavittasya naṣṭā gṛhapatergatiḥ // KDarp_2.24 //	BAryA-Barjita-vittasya nazwA gRhapateH-gatiH // KDarp_2.24 //
   tṛptidaṃ darśanenāpi jantorjīvitajīvitam /	tRpti-dam darSanena-api jantoH-jIvita-jIvitam /
   draviṇaṃ yena rakṣanti svakāyaṃ bhakṣayanti te // KDarp_2.25 //	draviNam yena rakzanti sva-kAyam Bakzayanti te // KDarp_2.25 //
   jīvannapyakriyo niḥsvaḥ śavo 'pyarthena sakriyaḥ /	jIvan=-api-akriyaH niHsvaH SavaH api-arTena sa-kriyaH /
   dāridryaṃ maraṇaṃ loke dhanamāyuḥ śarīriṇām // KDarp_2.26 //	dAridryam maraNam loke Danam-AyuH SarIriNAm // KDarp_2.26 //
   etadevārthasāmarthyaṃ pratyakṣeṇopalakṣyate /	etat-eva-arTa-sAmarTyam pratyakzeNa-upalakzyate /
   yatskandhabandhe jīvadbhiḥ śavaḥ śibikayohyate // KDarp_2.27 //	yad-skanDa-banDe jIvadBiH SavaH SibikayA-uhyate // KDarp_2.27 //
   prayacchasi kimarthibhyas tvamannaṃ kleśasaṃcitam /	prayacCasi kim-arTiByaH tvam-annam kleSa-saMcitam /
   dīyate yatkila prāptyai tatprāptaṃ kiṃ na rakṣyate // KDarp_2.28 //	dIyate yat-kila prAptyE tad-prAptam kim na rakzyate // KDarp_2.28 //
   putradārādisaṃbandhaḥ puṃsāṃ dhananibandhanaḥ /	putra-dAra-Adi-saMbanDaH puMsAm Dana-nibanDanaH /
   kṣīṇātputrāḥ palāyante dārā gacchanti cānyataḥ // KDarp_2.29 //	kzINAt-putrAH palAyante dArAH gacCanti ca-anyatas // KDarp_2.29 //
   paṇḍitāḥ kavayaḥ śūrāḥ kalāvantastapasvinaḥ /	paNxitAH kavayaH SUrAH kalAvantaH-tapasvinaH /
   vaidyasyeva savittasya vīkṣante mukhamāturāḥ // KDarp_2.30 //	vEdyasya-iva sa-vittasya vIkzante muKam-AturAH // KDarp_2.30 //
   iti tasya vacaḥ śrutvā kṛpaṇasyārthaniṣkṛpam /	iti tasya vacaH SrutvA kRpaNasya-arTa-nizkRpam /
   sā tamūce samucitaṃ sattvasyābhijanasya ca // KDarp_2.31 //	sA tam-Uce samucitam sattvasya-aBijanasya ca // KDarp_2.31 //
   santaḥ kurvanti yatnena dharmasyārthe dhanārjanam /	santaH kurvanti yatnena Darmasya-arTe Dana-arjanam /
   dharmācāravinīnānāṃ draviṇaṃ malasaṃcayaḥ // KDarp_2.32 //	Darma-AcAra-vinInAnAm draviNam mala-saMcayaH // KDarp_2.32 //
   yatkarotyaruciṃ kleśaṃ tṛṣṇaṃ mohaṃ prajāgaram /	yat-karoti-arucim kleSam tRzNam moham prajAgaram /
   na taddhanaṃ kadaryāṇāṃ hṛdayavyādhireva tat // KDarp_2.33 //	na tat-Danam kadaryANAm hRdaya-vyADiH-eva tat // KDarp_2.33 //
   vardhate yo dhanavyādhiḥ sukhabhogaviyogakṛt /	varDate yaH Dana-vyADiH suKa-Boga-viyoga-kRt /
   tasyāśu śamanaṃ pathaṃ rājavaidyacikitsayā // KDarp_2.34 //	tasya-ASu Samanam paTam rAja-vEdya-cikitsayA // KDarp_2.34 //
   lobhānnābhūdgṛhe yasya kadācitkaścidutsavaḥ /	loBAt-na-aBUt-gRhe yasya kadAcid-kaScid-utsavaH /
   nṛtyanti paṭahaistasya nidhane dhanabhāginaḥ // KDarp_2.35 //	nRtyanti pawahEH-tasya niDane Dana-BAginaH // KDarp_2.35 //
   kaṇācāmatuṣāṅgārān yatnena parirakṣasi /	kaNA-AcAma-tuza-aFgArAn yatnena parirakzasi /
   mūṣakāpahṛtaṃ koṣe ratnarāśiṃ na paśyasi // KDarp_2.36 //	mUzaka-apahRtam koze ratna-rASim na paSyasi // KDarp_2.36 //
   dhanena darpaḥ ko nāma yatkṣaṇena vinaśyati /	Danena darpaH kaH nAma yad-kzaNena vinaSyati /
   rakṣyamāṇaṃ vyayenaiva bhakṣyamāṇamupaplavaiḥ // KDarp_2.37 //	rakzyamANam vyayena-eva BakzyamANam-upaplavEH // KDarp_2.37 //
   vicāryamāṇastattvena daivādhīnatayā nṛṇām /	vicAryamANaH-tattvena dEva-aDIna-tayA nRNAm /
   na kasyāṃcidavasthāyāṃ dhanalobhaḥ praśasyate // KDarp_2.38 //	na kasyAMcid-avasTAyAm Dana-loBaH praSasyate // KDarp_2.38 //
   kalau kāle khale mitre putre durvyasanānvite /	kalO kAle Kale mitre putre durvyasana-anvite /
   taskareṣu pravṛddheṣu lubdhe rājñi dhanena kim // KDarp_2.39 //	taskarezu pravRdDezu lubDe rAjQi Danena kim // KDarp_2.39 //
   ṛṇikaiḥ kalahairnityam acchinnaguṇanāgateḥ /	RNikEH kalahEH-nityam acCinna-guNanA-gateH /
   dānadviṣo 'napatyasya mandāgneśca dhanena kim // KDarp_2.40 //	dAnadvizaH anapatyasya manda-agneH-ca Danena kim // KDarp_2.40 //
   sahasāsāditārthasya rājadrohādipātakaiḥ /	sahasA-AsAdita-arTasya rAja-droha-Adi-pAtakEH /
   bhayādavyayaśīlasya śalyeneva dhanena kim // KDarp_2.41 //	BayAt-avyaya-SIlasya Salyena-iva Danena kim // KDarp_2.41 //
   ghorapratigrahagrāma- grastodagraguṇaujasaḥ /	Gora-pratigraha-grAma grasta-udagra-guNa-ojasaH /
   tadvibhāgānabhijñasya dhūrtāptasya dhanena kim // KDarp_2.42 //	tad-viBAga-anaBijQasya DUrta-Aptasya Danena kim // KDarp_2.42 //
   rātrisevāvasannasya śītavātātapasthiteḥ /	rAtri-sevA-avasannasya SIta-vAta-Atapa-sTiteH /
   prabhudṛṣṭiprahṛṣṭasya kaṣṭārhasya dhanena kim // KDarp_2.43 //	praBu-dRzwi-prahRzwasya kazwa-arhasya Danena kim // KDarp_2.43 //
   prabhūtalābhalobhena prayuktārthasya sarvataḥ /	praBUta-lABa-loBena prayukta-arTasya sarvatas /
   bhūrjadṛṣṭena tuṣṭasya naṣṭabuddherdhanena kim // KDarp_2.44 //	BUrja-dRzwena tuzwasya nazwa-budDeH-Danena kim // KDarp_2.44 //
   malaśīlasya vaṇija- sthūtkṛtasya jugupsayā /	mala-SIlasya vaNija sTUtkRtasya jugupsayA /
   laśunasyāśuceḥ pāka- gandheneva dhanena kim // KDarp_2.45 //	laSunasya-aSuceH pAka ganDena-iva Danena kim // KDarp_2.45 //
   kāṅkṣitenāpyalabdhena bhogārhe navayauvane /	kAFkzitena-api-alabDena Boga-arhe nava-yOvane /
   jarājīrṇaśarīrasya bhāreṇeva dhanena kim // KDarp_2.46 //	jarA-jIrNa-SarIrasya BAreNa-iva Danena kim // KDarp_2.46 //
   pravrajyātyaktagehasya janagauravapūjayā /	pravrajyA-tyakta-gehasya jana-gOrava-pUjayA /
   dhanasaṃghaṭitārthasya bandheneva dhanena kim // KDarp_2.47 //	Dana-saMGawita-arTasya banDena-iva Danena kim // KDarp_2.47 //
   śiśoraṅkuśaśūnyasya pātitasyāpathe viṭaiḥ /	SiSoH-aFkuSa-SUnyasya pAtitasya-ApaTe viwEH /
   kṣaṇakṣayopayogena svapneneva dhanena kim // KDarp_2.48 //	kzaNa-kzaya-upayogena svapnena-iva Danena kim // KDarp_2.48 //
   bhāryayā svairacāriṇyā grāmasthasya niyoginaḥ /	BAryayA svEra-cAriNyAH grAma-sTasya niyoginaH /
   prasabhaṃ bhujyamānena pāpāptena dhanena kim // KDarp_2.49 //	prasaBam BujyamAnena pApa-Aptena Danena kim // KDarp_2.49 //
   śiṣyasaṃpāditāśeṣa- bhogavastrādisaṃpadaḥ /	Sizya-saMpAdita-aSeza Boga-vastra-Adi-saMpadaH /
   gurordambhena siddhasya saṃcitena dhanena kim // KDarp_2.50 //	guroH-damBena sidDasya saMcitena Danena kim // KDarp_2.50 //
   rājakoṣaniyuktasya cauryacihnena kevalam /	rAja-koza-niyuktasya cOrya-cihnena kevalam /
   vyayena śaṅkanīyasya vadheneva dhanena kim // KDarp_2.51 //	vyayena SaFkanIyasya vaDena-iva Danena kim // KDarp_2.51 //
   ajñātabhāvicaurādi- doṣairnityavināśinā /	ajQAta-BAvi-cOra-Adi dozEH-nitya-vinASinA /
   hāsyaikahetunā loke gaṇakasya dhanena kim // KDarp_2.52 //	hAsya-eka-hetunA loke gaNakasya Danena kim // KDarp_2.52 //
   piṭakasyeva pūrṇasya pīḍanīyasya bhūbhujā /	piwakasya-iva pUrNasya pIxanIyasya BUBujA /
   niṣpākaśākabhojyasya grāmīṇasya dhanena kim // KDarp_2.53 //	nizpAka-SAka-Bojyasya grAmINasya Danena kim // KDarp_2.53 //
   kalamākrāntaviśvasya maṣīkṛṣṇasya bhoginaḥ /	kalama-AkrAnta-viSvasya mazI-kRzNasya BoginaH /
   āsannabandhanasyānte divirasya dhanena kim // KDarp_2.54 //	Asanna-banDanasya-ante divirasya Danena kim // KDarp_2.54 //
   gṛhiṇīvigrahograsya muhustṛṇa upekṣayā (?) /	gRhiNI-vigraha-ugrasya muhus-tRNe upekzayA (?) /
   kopopavāsaniḥśvāsa- saṃtaptasya dhanena ki // KDarp_2.55 //	kopa-upavAsa-niHSvAsa saMtaptasya Danena ki // KDarp_2.55 //
   malinasya kuvastrasya svalpāśanaparasya ca /	malinasya ku-vastrasya su-alpa-aSana-parasya ca /
   dāridryādhikakaṣṭasya kadaryasya dhanena kim // KDarp_2.56 //	dAridrya-aDika-kazwasya kadaryasya Danena kim // KDarp_2.56 //
   nirdhanāḥ sukhino dṛṣṭāḥ sadhanāścātiduḥkhitāḥ /	nirDanAH suKinaH dRzwAH sa-DanAH-ca-ati-duHKitAH /
   sukhaduḥkhodaye jāntor daivādhīne dhanena kim // KDarp_2.57 //	suKa-duHKa-udaye jAntoH dEva-aDIne Danena kim // KDarp_2.57 //
   samāneṣu vyatīteṣu svajane śūnyacetasaḥ /	samAnezu vyatItezu sva-jane SUnya-cetasaH /
   virasāsārasaṃsāra- viraktasya dhanena kim // KDarp_2.58 //	virasa-AsAra-saMsAra viraktasya Danena kim // KDarp_2.58 //
   yathāvāptopayuktārtha- niścintasya vipaścitaḥ /	yaTA-avApta-upayukta-arTa niScintasya vipaScitaH /
   atyalpaparituṣṭasya saṃtuṣṭasya dhanena kim // KDarp_2.59 //	ati-alpa-parituzwasya saMtuzwasya Danena kim // KDarp_2.59 //
   bālastṛṇe ca kanake ca samānadṛṣṭir iṣṭaṃ na vetti viṣayeṣvaviśeṣabuddhiḥ	bAlaH-tRNe ca kanake ca samAna-dRzwiH izwam na vetti vizayezu-aviSeza-budDiH
   vittena koṣaparipoṣasahena tasmin kāle vivekavikalo vada kiṃ karoti //	vittena koza-paripoza-sahena tasmin kAle viveka-vikalaH vada kim karoti //
   KDarp_2.60 //	KDarp_2.60 //
   prāṇādhikasya suhṛdastaruṇījanasya putrasya vā guṇanidheḥ sahasā viyoge /	prANa-aDikasya suhRdaH-taruNI-janasya putrasya vA guNa-niDeH sahasA viyoge /
   śokena śocati yadā vivaśaḥ śarīrī ratnācalairapi tadā vada kiṃ karoti //	Sokena Socati yadA vivaSaH SarIrI ratna-acalEH-api tadA vada kim karoti //
   KDarp_2.61 //	KDarp_2.61 //
   nārthaṃ śṛṇoti na punaḥ sthitimīhate vā sparśaṃ na vetti na rasaṃ na	na-arTam SRNoti na punar sTitim-Ihate vA sparSam na vetti na rasam na
   tathādhivāsam /	taTA-aDivAsam /
   vṛddhaḥ prayāti pavanena yadā jaḍatvaṃ bhogairdhanena ca tadā vada kiṃ	vRdDaH prayAti pavanena yadA jaxa-tvam BogEH-Danena ca tadA vada kim
   karoti // KDarp_2.62 //	karoti // KDarp_2.62 //
   rogārditaḥ spṛśati naiva dṛśāpi bhojyaṃ tīvravyathaḥ spṛhayate maraṇāya	roga-arditaH spRSati na-eva dRSA-api Bojyam tIvra-vyaTaH spRhayate maraNAya
   jantuḥ /	jantuH /
   sarvauṣadheṣu viphaleṣu yadā virauti dhānyairdhanena ca tadā vada kiṃ	sarva-OzaDezu viPalezu yadA virOti DAnyEH-Danena ca tadA vada kim
   karoti // KDarp_2.63 //	karoti // KDarp_2.63 //
   nidrācchedasakhedabāndhavajanaḥ sodvegavaidyojjhitaḥ pākakvāthakadarthitaḥ	nidrA-AcCeda-saKeda-bAnDava-janaH sa-udvega-vEdya-ujJitaH pAka-kvATa-kadarTitaH
   parijanaistandrībhayātkṣobhitaḥ /	parijanEH-tandrI-BayAt-kzoBitaH /
   bhagnasvāsthyamanorathaḥ priyatamāvaṣṭabdhapādadvayaḥ paryante vapuṣaḥ	Bagna-svAsTya-manoraTaH priyatama-avazwabDa-pAda-dvayaH paryante vapuzaH
   karoti puruṣaḥ kiṃ śalyatulyairdhanaiḥ // KDarp_2.64 //	karoti puruzaH kim Salya-tulyEH-DanEH // KDarp_2.64 //
   alaṃkṛtaḥ kāñcanakoṭimūlyair mahārharatnairgajavājivāhaiḥ /	alaMkRtaH kAQcana-kowi-mUlyEH mahArha-ratnEH-gaja-vAji-vAhEH /
   nimeṣamātraṃ labhate na jīvaṃ kālena kāle śikhayā gṛhītaḥ // KDarp_2.65 //	nimeza-mAtram laBate na jIvam kAlena kAle SiKayA gRhItaH // KDarp_2.65 //
   niścetanaḥ kāṣṭhasamānakāyas tyaktaḥ kṣaṇātputrakalatramitraiḥ /	niScetanaH kAzWa-samAna-kAyaH tyaktaH kzaNAt-putra-kalatra-mitrEH /
   bhubhāśubhaprāktanakarmabhāgī yatnāptaratnairvada kiṃ karoti // KDarp_2.66	BuBA-aSuBa-prAktana-karma-BAgI yatna-Apta-ratnEH-vada kim karoti // KDarp_2.66
   tasmātprabhūtavibhavodbhavavibhrameṇa bhūtābhibhūta iva mā bhava	tasmAt-praBUta-viBava-udBava-viBrameNa BUta-aBiBUtaH iva mA Bava
   sābhimānaḥ /	sa-aBimAnaH /
   etāḥ śriyaḥ prabalalobhaghanāndhakāra- vidyullatāparicitāḥ sahasaiva yānti	etAH SriyaH prabala-loBa-Gana-anDakAra vidyut-latA-paricitAH sahasA-eva yAnti
   // KDarp_2.67 //	// KDarp_2.67 //
   naṣṭe lajjitavittanāthavibhave sāmrājyabhoge purā śrūyante	nazwe lajjita-vitta-nATa-viBave sAmrAjya-Boge purA SrUyante
   nalarāmapāṇḍutanayāḥ kaṣṭaṃ praviṣṭā vanam /	nala-rAma-pANxu-tanayAH kazwam pravizwAH vanam /
   śakraḥ śrīvirahe viveśa nalinīnālāntaralaṃ hriyā kasyāsthā	SakraH SrI-virahe viveSa nalinI-nAla-antaralam hriyA kasya-AsTA
   vividhāvadhānavidhinā niḥsaṃnidhāne dhane // KDarp_2.68 //	viviDa-avaDAna-viDinA niHsaMniDAne Dane // KDarp_2.68 //
   ityukto 'pyasakṛtpatnyā svalobhānna cacāla saḥ /	iti-uktaH api-asakRt-patnyA sva-loBAt-na cacAla saH /
   svabhāvaḥ sarvabhūtānāṃ sahajaḥ kena vāryate // KDarp_2.69 //	svaBAvaH sarva-BUtAnAm sahajaH kena vAryate // KDarp_2.69 //
   tataḥ sa kāle lobhena bhiṣagbhaiṣajyavarjitaḥ /	tatas sa kAle loBena Bizaj-BEzajya-varjitaH /
   koṣe nidhānakumbheṣu līnapṛṣṭo vyapadyata // KDarp_2.70 //	koze niDAna-kumBezu lIna-pRzwaH vyapadyate // KDarp_2.70 //
   adattabhuktamutsṛjya dhanaṃ sucirarakṣitam /	adatta-Buktam-utsRjya Danam su-cira-rakzitam /
   mūṣakā iva gacchanti kadaryāḥ svakṣaye kṣayam // KDarp_2.71 //	mUzakAH iva gacCanti kadaryAH sva-kzaye kzayam // KDarp_2.71 //
   tasya yātasya nirayaṃ nināya nṛpatirdhanam /	tasya yAtasya nirayam ninAya nRpatiH-Danam /
   paryante rājagāminyo lubdhānāṃ dhanasaṃpadaḥ // KDarp_2.72 //	paryante rAja-gAminyaH lubDAnAm Dana-saMpadaH // KDarp_2.72 //
   tatsūnoścandanasyātha śeṣārthenāpi bhūyasā /	tad-sUnoH-candanasya-aTa Seza-arTena-api BUyasA /
   babhūva bhūrisaṃbhāra- bhogavyayamahotsavaḥ // KDarp_2.73 //	baBUva BUri-saMBAra Boga-vyaya-mahA-utsavaH // KDarp_2.73 //
   mā kaścinnāma nandasya mandāgneriha bhāṣatām /	mA kaScid-nAma nandasya manda-agneH-iha BAzatAm /
   bhogabhaṅgabhayeneti prātastatrābavījjanaḥ // KDarp_2.74 //	Boga-BaFga-Bayena-iti prAtar-tatra-abavIt-janaH // KDarp_2.74 //
   dhigdhigdhanaṃ kunidhanaṃ nandasyevātmabādhanam /	Dik-DigDanam kuniDanam nandasya-iva-Atma-bADanam /
   dīyatāṃ bhujyatāṃ sarvam ityūcuḥ puravāsinaḥ // KDarp_2.75 //	dIyatAm BujyatAm sarvam iti-UcuH pura-vAsinaH // KDarp_2.75 //
   tataḥ kāle mate bāhya- koṣṭhadvārāntavāsinī /	tatas kAle mate bAhya kozWa-dvAra-anta-vAsinI /
   vṛddhāndhā suṣuve putraṃ caṇḍālī khaṇḍikābhidhā // KDarp_2.76 //	vRdDa-anDA suzuve putram caNxAlI KaNxikA-aBiDA // KDarp_2.76 //
   andhaḥ kubjaḥ kṛśaḥ khañjaḥ kuṣṭhī sthūlagalagrahaḥ /	anDaH kubjaH kRSaH KaQjaH kuzWI sTUla-galagrahaH /
   samūha iva duḥkhānāṃ sa tasyāstanayo 'bhavat // KDarp_2.77 //	samUhaH iva duHKAnAm sa tasyAH-tanayaH aBavat // KDarp_2.77 //
   tadapuṇyaiḥ parikṣīṇe mātuḥ kṣīre sa niścalaḥ /	tad-apuNyEH parikzINe mAtuH kzIre sa niScalaH /
   kṛpayā bāndhavastrībhiḥ śunīkṣīreṇa vardhitaḥ // KDarp_2.78 //	kRpayA bAnDava-strIBiH SunI-kzIreNa varDitaH // KDarp_2.78 //
   etadeva viruddhānāṃ vaicitryaṃ pūrvakarmāṇām /	etat-eva virudDAnAm vEcitryam pUrva-karmANAm /
   kṛcchrāvasannā jīvantiṃ vipadyante yadīśvarāḥ // KDarp_2.79 //	kRcCra-avasannAH jIvantim vipadyante yadi-ISvarAH // KDarp_2.79 //
   vraṇaiḥ sa pūtikalila- klāmyatkṛmikulairvṛtaḥ /	vraNEH sa pUti-kalila klAmyat-kRmi-kulEH-vRtaH /
   pakvaṇe kuṇapākāras tasthau klinnatṛṇāstare // KDarp_2.80 //	pakvaNe kuNapa-AkAraH tasTO klinna-tRNAstare // KDarp_2.80 //
   tasminnapyativātsalyāt putrāsthāṃ jananī sthirām /	tasmin=-api-ati-vAtsalyAt putra-AsTAm jananI sTirAm /
   babandha vāsanālīnaḥ snehamoho hi duḥsahaḥ // KDarp_2.81 //	babanDa vAsanAlInaH sneha-mohaH hi duHsahaH // KDarp_2.81 //
   sa vardhamānaḥ śanakaiḥ smaśānāṅgāradhūsaraḥ /	sa varDamAnaH SanakEs smaSAna-aFgAra-DUsaraH /
   pakvaṇograpiśācānām apyudvegakaro 'bhavat // KDarp_2.82 //	pakvaNa-ugra-piSAcAnAm api-udvega-karaH aBavat // KDarp_2.82 //
   yaṣṭīniṣaṇṇagamanaḥ kuṣṭakledajugupsitaḥ /	yazwI-nizaNNa-gamanaH kuzwa-kleda-jugupsitaH /
   sa jagāma pathā yena prayayau tena nāparaḥ // KDarp_2.83 //	sa jagAma paTA yena prayayO tena na-aparaH // KDarp_2.83 //
   atrāntare candanasya pituḥ śrāddhadine mahān /	atra-antare candanasya pituH SrAdDa-dine mahAn /
   babhūvārthisamūhānna- dāne kalakalasvanaḥ // KDarp_2.84 //	baBUva-arTi-samUhAn-na dAne kalakala-svanaH // KDarp_2.84 //
   tataḥ karparamādāya sa caṇḍālaśiśuḥ śanaiḥ /	tatas karparam-AdAya sa caNxAla-SiSuH SanEs /
