   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   kratūpakārakatvāvirodhāditi, tatrāha utsargāpavādayoriti /	kratu upakAraka tva aviroDAt iti, tatra aha utsarga apavAdayoH iti /
   ayamarthaḥ kāmye karmaṇi sarvatra karaṇāṃśe rāgataḥ pravṛttiḥ, aṅgeṣu	ayam arTaH kAmye karmaNi sarvatra karaNa aMSe rAgataH pravRttiH, aFgezu
   vidhita iti sthitiḥ /	viDitaH iti sTitiH /
   tathāca śyenākhye karmaṇi niṣedhe 'pi rāgaprābalyāt pravṛttiḥ syāt	taTA ca Syena AKye karmaNi nizeDe api rAga prAbalyAt pravRttiH syAt 
   kratvaṅgahiṃsādau tu vidhita eva pravṛttirvācyā /	kratu aFga hiMsA AdO tu viDitaH eva pravRttiH vAcyA /
   sa ca vidhiryadyutsargaprāptamanarthahetutvaṃ na bādheta tarhi pravartako	sa ca viDiH yadi utsarga prAptam anarTa hetu tvam na bADeta tarhi pravartakaH 
   na syāt, pravartakatve vā vidhiranarthāya syāt, ato niravakāśo vidhiḥ	na syAt, pravartaka tve vA viDiH anarTAya syAt, atas niravakASaH viDiH
   sāvakāśamutsargamavihitahiṃsādiṣu sthāpayatīti /	sa avakASam utsargam avihita hiMsA Adizu sTApayati iti /
   idaṃ ca niṣedhaśāstrasya hiṃsātvādisāmānyena pravṛttimaṅgīkṛtyoktam /	idam ca nizeDa SAstrasya hiMsA tva Adi sAmAnyena pravRttim aFgIkRtya uktam /
   vastutastasya	vastutas tasya
   rāgaprāptahiṃsāviṣayatvādvaidhahiṃsāyāmapravṛtternāśuddhatvaśaṅkāvasara	rAga prApta hiMsA vizaya tvAt vEDa hiMsAyAm apravRtteH na aSudDa tva SaFkA avasara
   iti draṣṭavyam /	iti drazwavyam /
   pratirūpaṃ duḥkharūpaṃ tasya phalaṃ neti yojanā /	pratirUpam duHKa rUpam tasya Palam na iti yojanAH /
   iha vrīhyādibhāve kaścidadhikāraḥ karmaparāmarśo nāstītyuktam //25//	iha vrIhi Adi BAve kaScid aDikAraH karma parAmarSaH na asti iti uktam //25//
   END BsRp_3,1.6.25	END BsRp _3,1.6.25
   START BsRp_3,1.6.26ḥ	START BsRp _3,1.6.26H
   retaḥsigyogo 'tha | BBs_3,1.26 |	retaH sigyogaH aTa | BBH _3,1.26 |
   atha vrīhyādibhāvānantaraṃ retaḥ sigbhāvaḥ śrutaḥ /	aTa vrIhi Adi BAva anantaram retaH sigBAvaH SrutaH /
   tatrānnasthānuśayino retaḥ sekakartṛtvāyogādyogamātraṃ vācyaṃ	tatra anna sTa anuSayinaH retaH seka kartR tva ayogAt yoga mAtram vAcyam
   tadvadupakrame 'pi yoga evāstheyaḥ, anyathopakramopasaṃhārayorvirodhaḥ	tadvat upakrame api yogaH eva AsTeyaH, anyaTA upakrama upasaMhArayoH viroDaH
   syāditi matvoktam ityavirodha iti //26//	syAt iti matvA uktam  iti aviroDaH iti //26//
   END BsRp_3,1.6.26	END BsRp _3,1.6.26
   START BsRp_3,1.6.27ḥ	START BsRp _3,1.6.27H
   yoneḥ śarīram | BBs_3,1.27 |	yoneH SarIram | BBH _3,1.27 |
   yoneḥ śarīraśruterna vrīhyādiśarīratvamanuśayināmiti sūtrārthaḥ /	yoneH SarIra SruteH na vrIhi Adi SarIra tvam anuSayinAm iti sUtra arTaH /
   evaṃ karmiṇāṃ gatyāgatisaṃsāro durvāra ityanusandhānāt	evam karmiNAm gati Agati saMsAraH durvAraH iti anusanDAnAt
   karmaphalādvairāgyaṃ tattvajñānasādhanaṃ siddhamiti	karma PalAt vErAgyam tattva jQAna sADanam sidDam iti
   pādārthamupasaṃharati iti siddhamiti //27//	pAda arTam upasaMharati  iti sidDam iti //27//
   END BsRp_3,1.6.27	END BsRp _3,1.6.27
   iti śrīmadparamahaṃsaparivrājakācārya śrīmadgovindabhagavatpādakṛtau	iti SrImat paramahaMsa parivrAjaka AcArya SrImat govinda Bagavat pAda kRtO
   śārīrakamīmāṃsākhyāyāṃ bhāṣyaratnaprabhāyāṃ tṛtīyādhyāyasya prathamaḥ	SArIrakamI mAMsa AKyAyAm BAzya ratna praBAyAm tRtIya aDyAyasya praTamaH
   pādaḥ //	pAdaH //
   tṛtīyādhyāye dvitīyaḥ pādaḥ /	tRtIyA aDyAye dvitIyaH pAdaH /
   START BsRp_3,2.1.1ḥ	START BsRp _3,2.1.1H
   sandhye sṛṣṭirāha hi | BBs_3,2.1 |	sanDye sRzwiH Aha hi | BBH _3,2.1 |
   saṃdhye sṛṣṭirāha hi /	saMDye sRzwiH Aha hi /
   uktavairāgyasādhyastattvaṃpadārthaviveko vākyārthajñānasādhanamasmin pāde	ukta vErAgya sADyaH tad tvaMpadArTa vivekaH vAkya arTa jQAna sADanam asmin pAde
   nirūpyata iti pādayorhetusādhyabhāvasaṃgatimāha atikrānta iti /	nirUpyate iti pAdayoH hetu sADya BAva saMgatim Aha atikrAntaH iti /
   sādhanavicāratvādevāsya pādasyāsminnadhyāye saṃgatiḥ /	sADana vicAra tvAt eva asya pAdasya asmin= aDyAye saMgatiH /
   asmin pāde 'na sthānato 'pi'ityataḥ prāguddeśyatvena prathamaṃ	asmin pAde anaH sTAnataH api aityataH prAk uddeSya tvena praTamam
   jijñāsitatvaṃpadārtho 'vasthādvārā vivicyate,	jijQAsita tvaMpadArTaH avasTA dvArAH vivicyate,
   tadārabhyāpādasamāptervidheyatatpadārthavivekaḥ, tatra pūrvaṃ	tad AraByA pAda samApteH viDeya tad padArTa vivekaH, tatra pUrvam
   gatyāgaticintayā jāgradavasthā nirūpitā tadanantarabhāvinīṃ svapnāvasthāṃ	gati Agati cintayA jAgrat avasTA nirUpitA tad anantara BAvinIm svapna avasTAm
   śrutyuktāṃ viṣayīkṛtya tatra svapne rathādisṛṣṭyuktestadabhāvokteśca	Sruti uktAm vizayIkRtya tatra svapne raTa Adi sRzwi ukteH tad aBAva ukteH ca
   saṃśayaṃ vadan pūrvapakṣasūtraṃ yojayati tatra saṃśaya ityādinā /	saMSayam vadan pUrva pakza sUtram yojayati tatra saMSayaH ityAdinA /
   svapnarathādayo jāgradrathādivat vyāvahārikasattākā uta śuktirajatavat	svapna raTa AdayaH jAgrat raTa Adi vat vyAvahArika sattAkA uta Sukti rajata vat 
   prātītikā iti saṃśayārthaḥ /	prAtItikAH iti saMSaya arTaH /
   ārambhaṇādhikaraṇe prapañcasya pāramārthikatvaniṣedhāditi mantavyam /	AramBaNa aDikaraNe prapaQcasya pAramArTika tva nizeDAt iti mantavyam /
   atra pūrvapakṣe jāgradvat svapnājjīvasya vivekāsiddhiḥ /	atra pUrva pakze jAgrat vat svapnAt jIvasya viveka asidDiH /
   siddhānte prātītikadṛśyasākṣitayā vivekāt svayañjyotiṣṭvasiddhiriti phalam	sidDAnte prAtItika dRSya sAkzitayA vivekAt svayan jyotizwva sidDiH iti Palam
   mumūrṣoḥ sarvendriyopasaṃhārādetallokānanubhavo sati vāsanāmātreṇa imaṃ	mumUrzoH sarva indriya upasaMhArAt etat lokAn anuBavaH sati vAsanA mAtreNa imam
   lokaṃ smarataḥ karmabalādhṛdaye manasā paralokasphūrtirūpaḥ svapno	lokam smarataH karma bala ADRdaye manasA para loka sPUrti rUpaH svapnaH 
   bhavati, so 'yaṃ lokadvayasandhau bhavatīti saṃdhyaḥ svapnaḥ /	Bavati, saH ayam loka dvaya sanDO Bavati iti saMDyaH svapnaH /
   tathāca śrutiḥ 'tasmin saṃdhye sthāne tiṣṭhannete ubhe sthāne paśyati idaṃ	taTA ca SrutiH  atasmin saMDye sTAne tizWan= ete uBe sTAne paSyati idam
   ca paralokasthānaṃ ca'iti /	ca para loka sTAnam ca aiti /
   ayaṃ svapnaḥ kādācitka ityarucyā nityasvapnasya	ayam svapnaH kAdAcid kaH iti arucyAH nitya svapnasya
   prabodhasaṃprasādasaṃdhibhavatvamuktam /	praboDa saMprasAda saMDi Bava tu am uktam /
   anyetu martyacakṣurādyajanyarūpādisākṣātkāravattvaṃ paralokalakṣaṇaṃ,	anyetu martya cakzuH Adya janya rUpa Adi sAkzAt kAravat tvam para loka lakzaNaM,
   daivacakṣurādyajanyatadvattvaṃ martyalokalakṣaṇaṃ ca svapne 'stīti	dEva cakzuH Adyajanya tadvat tvam martya loka lakzaNam ca svapne asti iti
   lakṣaṇato lokadvayasparśitvāt nityasvapnasyaiva lokadvayasaṃdhyatvaṃ	lakzaNataH loka dvaya sparSi tvAt nitya svapnasya eva loka dvaya saMDya tvam
   grāmadvayasparśimārgasya tatsaṃdhyatvavaditi vyācakṣate /	grAma dvaya sparSi mArgasya tad saMDyatva vat iti vyAcakzate /
   na kevalaṃ śrutyā svapnārthānāṃ vyāvahārikasatyatvaṃ kintu	na kevalam SrutyA svapna arTAnAm vyAvahArika satya tvam kintu
   sakartṛkatvādapītyāha sa hi karteti //1//	sa kartRka tvAt api iti Aha sa hi kartA iti //1//
   END BsRp_3,2.1.1	END BsRp _3,2.1.1
   START BsRp_3,2.1.2ḥ	START BsRp _3,2.1.2H
   nirmātāraṃ caike putrādayaś ca | BBs_3,2.2 |	nirmAtAram ca eke putra AdayaH ca | BBH _3,2.2 |
   kiñca svapnārthāḥ satyāḥ, prājñanirmitatvāt, ākāśādivaditi	kiQca svapna arTAH satyAH, prAjQa nirmita tva at, AkASa Adi vat iti
   sūtrārthamāha apicetyādinā /	sUtra arTamAha apica ityAdinA /
   rūḍhimāśaṅkya prakaraṇānnirasyati nanvityādinā /	rUXim ASaFkya prakaraNAt nirasyati nanu itya AdinA /
   yaḥ supteṣu nirvyāpāreṣu karaṇeṣu jāgarti tadeva śukraṃ svaprakāśaṃ	yaH suptezu nirvyApArezu karaNezu jAgarti tat eva Sukram sva prakASam
   brahmetyarthaḥ /	brahma iti arTaH /
   svapnasya jāgradarthaiḥ /	svapnasya jAgrat arTEH /
   samānadeśatvaśruterabhedaśruteśca satyatve tātparyamityāha atho	samAna deSa tva SruteH aBeda SruteH ca satya tve tAtparyam iti Aha aTo
   khalvāhuriti //2//	Kalu AhuH iti //2//
   END BsRp_3,2.1.2	END BsRp _3,2.1.2
   START BsRp_3,2.1.3ḥ	START BsRp _3,2.1.3H
   māyāmātraṃ tu kārtsnyenānabhivyaktasvarūpatvāt | BBs_3,2.3 |	mAyA mAtram tu kArtsnyena anaBivyakta svarUpa tvAt | BBH _3,2.3 |
   svapnarathādayaḥ prātītikā jāgradrathādau kḷptasāmagrīṃ vinā	svapna raTa AdayaH prAtItikAH jAgrat raTa AdO k?pta sAmagrIm vinA
   dṛṣṭatvācchuktirūpyādivaditi siddhāntayati tuśabda ityādinā /	dRzwa tvAt Sukti rUpya Adi vat iti sidDAntayati tu SabdaH ityAdinA /
   cinmātraniṣṭhāvidyā cittvāvacchedena jīve 'pi sthitā rathādyākārā māyeti	cit mAtra nizWA avidyA cittvA avacCedena jIve api sTitA raTa Adi AkArA mAyA iti
   sūtrabhāṣyayoruktā māyāvidyayorabhedajñāpanāya mātrapadena tu sati	sUtra BAzyayoH uktA mAyA vidyayoH aBeda jQApanAya mAtra padena tu sati
   pramātaryabādhyatvarūpasya vyāvahārikasatyatvasya nirāsa uktaḥ /	pramAtaryabADya tva rUpasya vyAvahArika satya tvasya nirAsaH uktaH /
   kārtsnyamatra jāgrati yā kḷptasāmagrī, tajjanyatvaṃ paramārthavastuno	kArtsnyam atra jAgrati yA k?pta sAmagrI, tad janya tvam parama arTa vastunaH 
   jāgradarthasya kāryasya dharmaḥ /	jAgrat arTasya kAryasya DarmaH /
   satyatvavyāpakaḥ tadabhāvaṃ svapne vivṛṇoti na tāvādityādinā /	satya tva vyApakaH tad aBAvam svapne vivRNoti na tOvAt ityAdinA /
   saṃvṛte saṅkīrṇe, paryetuṃ gantuṃ, viparyetumāgantuṃ, śrāvayati prabuddho	saMvRte saFkIrNe, paryetum gantuM, viparyetum AgantuM, SrAvayati prabudDaH 
   janaḥ,	janaH,
   pārśvasthānpratīti śeṣaḥ /	pArSva sTAn prati iti SezaH /
   etatsvapnaṃ yathā syāttathā /	etat svapnam yaTA syAt taTA /
   yatra kāle svapnyayā vṛttyā carati tathā svaśarīre yatheṣṭaṃ	yatra kAle svapnyayA vRttyA carati taTA sva SarIre yaTezwam
   caratītyarthaḥ /	carati iti arTaH /
   bahiriveti /	bahis iva iti /
   kulāyāddehāt bahirivāmṛta ātmā caritvā yatra kāmaṃ yatheṣṭamīyate	kulAyAt dehAt bahis iva amRtaH AtmA caritvA yatra kAmam yaTezwam Iyate
   viharatītyarthaḥ /	viharati iti arTaH /
   guṇamāha yo hīti /	guNam Aha yaH hi iti /
   dehābhimānahīnatvaguṇena bahiṣṭhavaddehastho 'pi bahirityukta ityarthaḥ /	deha aBimAna hIna tvaguNena bahizWa vat deha sTaH api bahis iti uktaH iti arTaH /
   evaṃ sati śrutiyuktibhyāṃ antareva svapne satītyarthaḥ /	evam sati Sruti yuktiByAm antarA iva svapne sati iti arTaH /
   vipralambho vibhramaḥ yogyadeśābhāvamuktvā kālābhāvamāha kāleti /	vipralamBaH viBramaH yogya deSa aBAvam uktvA kAla aBAvam Aha kAla iti /
   atra rātrisamaye 'pi ketumālādivarṣāntare vāsaro bhavati iti bhārata	atra rAtri samaye api ketumAla Adi varza antare vAsaraH Bavati iti BArata
   ityuktam /	iti uktam /
   pūrvakṣānumānānāṃ jāgradarthadṛṣṭānte kḷptamagrījanyatvamabādhayogyatvaṃ	pUrvakza anu mAnAnAm jAgrat arTa dRzwAnte k?ptam agrI janya tvam abADa yogya tvam
   copādhiriti sūtratātparyam //3//	ca upADiH iti sUtra tAtparyam //3//
   END BsRp_3,2.1.3	END BsRp _3,2.1.3
   START BsRp_3,2.1.4ḥ	START BsRp _3,2.1.4H
   sūcakaśca hi śruter ācakṣate ca tadvidaḥ | BBs_3,2.4 |	sUcakaH ca hi SruteH Acakzate ca tad vidaH | BBH _3,2.4 |
   svapnasya bhrāntimātratve tatsūcito 'pyarthaḥ satyo na syāditi	svapnasya BrAnti mAtra tve tat sUcitaH api arTaH satyaH na syAt iti
   śaṅkottaratvena sūtrāntaraṃ vyācaṣṭe māyetyādinā /	SaFkottara tvena sUtra antaram vyAcazwe mAyA ityAdinA /
   mantreṇa devatānugraheṇauṣadhisevayā vā svapnaḥ satyasūcakāścet satyāḥ	mantreNa devatA anugraheNa ozaDi sevayA vA svapnaH satya sUcakAH ced satyAH
   syurityata āha tatrāpi bhavatu nāmeti /	syuH iti atas Aha tatra api Bavatu nAma iti /
   satyaharṣahetorapi śuktirūpyasya satyatvādarśanāditi bhāvaḥ /	satya harza hetoH api Sukti rUpyasya satya tva adarSanAt iti BAvaH /
   yathā kṛṣidvārā lāṅgalasya gavādijīvananimittatvaṃ tathā	yaTA kRzi dvArA lAFgalasya gavA Adi jIvana nimitta tvam taTA
   svapnabhokturadṛṣṭadvārā svapnasṛṣṭinimittatvaṃ na tu kumbhaṃ prati	svapna BoktuH adRzwa dvArA svapna sRzwi nimitta tvam na tu kumBam prati
   kumbhakārasyeva sākṣād svapnakartṛtvaṃ	kumBakArasya iva sAkzAt svapna kartR tvam
   sāmagryabhāvabādhayoruktatvādityāha yaduktamityādinā /	sAmagrya BAva bADayoH ukta tvAt iti a aha yat uktam ityAdinA /
   tathāca svapnasya sakartṛkatvaṃ mukhyaṃ nāstīti hetvasiddhiriti bhāvaḥ /	taTA ca svapnasya sa kartRka tvam muKyam na asti iti hetu asidDiH iti BAvaH /
   śrutitātparyavirodhācca na svapnasatyatetyāha apiceti /	Sruti tAtparya viroDAt ca na svapna satya tA iti Aha apicA iti /
   vyatikaraḥ saṃkaraḥ, śrutyātatparatayetyarthaḥ /	vyatikaraH saMkaraH, SrutyA tat paratayA iti arTaH /
   jāgaritādaviśeṣāditi bhāvaḥ /	jAgaritAt aviSezAt iti BAvaH /
   phalitamāha tasmāditi /	Palitam Aha tasmAt iti /
   eteneti /	etena iti /
   bhāktatvenetyarthaḥ /	BAkta tvena iti arTaH /
   dvitīyasūtroktaprājñakartṛkatvaheturapi svapnasya kiṃ śrutisiddha uta	dvitIya sUtra ukta prAjQa kartRka tva hetuH api svapnasya kim Sruti sidDaH uta
   prājñasya sarveśvaratvāt siddhaḥ, nādya ityāha yadapyuktamityādinā /	prAjQasya sarva ISvara tvAt sidDaH, na adyaH iti Aha yat api uktam ityAdinA /
   svayaṃ vihatya jāgraddehaṃ niśceṣṭaṃ kṛtvā, svayaṃ vāsanayā nirmāya, svena	svayam vihatya jAgrat deham niScezwam kRtvA, svayam vAsanayA nirmAya, svena
   bhāsā svīyabuddhivṛttyā svena jyotiṣā svarūpacaitanyena ca	BAsA svIya budDi vRttyA svena jyotizA sva rUpa cEtanyena ca
   svapnamanubhavatītyarthathaḥ /	svapnam anuBavati iti arTaTaH /
   na kevalaṃ bṛhadāraṇyake jīvasya svapnakartṛtvaṃ śrutaṃ kintu kāṭhake	na kevalam bRhadAraNyake jIvasya svapna kartR tvam Srutam kintu kAWake
   'pītyāha ihāpīti /	api iti Aha iha apI iti /
   jīvoktau brahmaprakaraṇavirodha ityata āha tasya tviti /	jIva uktO brahma prakaraNa viroDaH iti atas Aha tasya tu iti /
   evaṃ hetoḥ śrutisiddhatvaṃ nirasya dvitīyamaṅgīkaroti na cāsmābhiriti /	evam hetoH Sruti sidDa tvam nirasya dvitIyam aFgIkaroti na ca asmABiH iti /
   tarhi hetusiddheḥ svapnasya satyatvamityāśaṅkya satyatvaṃ vyāvahārikaṃ	tarhi hetu sidDeH svapnasya satya tvam iti ASaFkya satya tvam vyAvahArikam
   pāramārthikaṃ veti vikalpya vyavahārakāle bādhadarśanāt, nādya	pAramArTikam vA iti vikalpya vyavahAra kAle bADa darSanAt, na adya
   ityāha pāramārthikastviti /	iti Aha  pAramArTikaH tu iti /
   dvitīye dṛṣṭāntasya sādhyavaikalyamityāha naceti /	dvitIye dRzwAntasya sADya vEkalyam iti Aha nacA iti /
   kastarhi svapnasya jāgrato viśeṣo 'tra kathyata ityāśaṅkya	kaH tarhi svapnasya jAgrataH viSezaH atra kaTyate iti ASaFkya
   prātibhāsikatvamityāha prāgiti //4//	prAtiBAsika tvam iti Aha  prAk iti //4//
   END BsRp_3,2.1.4	END BsRp _3,2.1.4
   START BsRp_3,2.2.5ḥ	START BsRp _3,2.2.5H
   parābhidhyānāt tu tirohitaṃ tato hyasya bandhaviparyayau | BBs_3,2.5 |	para aBiDyAnAt tu tirohitam tatas hi asya banDa viparyayO | BBH _3,2.5 |
   pūrvaṃ kḷptasāmagryabhāvāt svapno māyetyuktamayuktaṃ	pUrvam k?ptasAmagrya BAvAt svapnaH mAyA iti uktam ayuktam
   satyasaṅkalpamātreṇāpi satyasṛṣṭisaṃbhavāditi śaṅkāṃ kṛtvā pariharan	satya saFkalpa mAtreNa api satya sRzwi saMBavAt iti SaFkAm kRtvA pariharan
   sūtraṃ vyācaṣṭe athapi syādityādinā /	sUtram vyAcazwe aTapi syAt ityAdinA /
   satyasaṃkalpasya hi saṃkalpātsṛṣṭiḥ satyā bhavati jīvasya	satya saMkalpasya hi saMkalpAt sRzwiH satyA Bavati jIvasya
   tvasatyasaṃkalpatvaṃ pratyakṣamiti parihārārthaḥ /	tu asati asaMkalpa tvam pratyakzam iti parihAra arTaH /
   tarhi viruddhadharmavattvājjīvasyeśvaratvaṃ nāstyeveti śaṅkate kimiti /	tarhi virudDa Darmavat tvAt jIvasya ISvara tvam na asti eva iti SaFkate kim iti /
   nāstīti na kintvāvṛtamasti tatpunarīśvaraprasādākasyacidvyajyata ityāha na	na asti iti na kintvA AvRtam asti tad punar ISvara prasAda akasyacid vyajyate iti Aha na
   nāstīti /	na asti iti /
   vidhūtadhvāntasya niṣpāpasya saṃsiddhasyāṇimādiviśiṣṭasyetyarthaḥ /	viDUta DvAntasya nizpApasya saMsidDasya aNima Adi viSizwasya iti arTaH /
   brahmaivāhamiti devaṃ jñātvā sākṣātkṛtya	brahma eva aham iti devam jQAtvA sAkzAtkRtya
   sarvapāśānāmavidyādikleśānāmapahānirapakṣayastadrūpo bhavati /	sarva pASAnAm avidyA Adi kleSAnAm apahAnirapakzayaH tad rUpaH Bavati /
   kṣīṇaiśca kleśaistatkāryajanmamaraṇātmakabandhadhvaṃsa iti	kzINEH ca kleSEH tad kArya janma maraNa Atmaka banDa DvaMsaH iti
   nirguṇavidyāphalamuktam /	nirguNa vidyA Palam uktam /
   saguṇavidyāphalamāha tasyeti /	sa guNa vidyA Palam Aha tasya iti /
   parasyābhimukhyenāhaṅgraheṇa dhyānādbandhamokṣāpekṣayā	parasya aBimuKyena ahaFgraheNa DyAnAt banDa mokza apekzayA
   manetroktahānidvayāpekṣayā vā tṛtīyaṃ viśvaiśvaryamaṇimādirūpaṃ	manetra ukta hAni dvaya apekzayA vA tRtIyam viSva ESvarya maNim a Adi rUpam
   martyadehapāte sati siddhe dehe bhavati tadabhogānantaramātmajñānātkevalo	martya deha pAte sati sidDe dehe Bavati tad aBoga anantaram Atma jQAnAt kevalaH 
   dvaitaśūnya āptakāmaḥ prāptasvayañjyotirānando bhavatīti	dvEta SUnyaH Apta kAmaH prApta svayan jyotiH AnandaH Bavati iti
   kramamuktirityarthaḥ //5//	krama muktiH iti arTaH //5//
   END BsRp_3,2.2.5	END BsRp _3,2.2.5
   START BsRp_3,2.2.6ḥ	START BsRp _3,2.2.6H
   dehayogādvā so 'pi | BBs_3,2.6 |	deha yogAt vA saH api | BBH _3,2.6 |
   uktaiśvaryatirobhāve dehābhimāno heturiti kathanārthaṃ sūtraṃ, tannirasyāṃ	ukta ESvarya tiroBAve deha aBimAnaH hetuH iti kaTana arTam sUtran, tat nirasyAm
   śaṅkāmāha kasmāditi /	SaFkA mAha  kasmAt iti /
   satyāvaraṇaṃ nāstītyaṅgīkṛtya kalpitāvaraṇaṃ sādhayati ucyata ityādinā /	satya AvaraNam na asti iti aFgIkRtya kalpita AvaraNam sADayati ucyate ityAdinA /
   jīvasyeśvaratvamaṅgīkṛtyāvaraṇakalpanāto	jIvasya ISvara tvam aFgIkRtya AvaraNa kalpanAtaH 
   varamanyatvakalpanetyāśaṅkāmudbhāvya śrutyā nirasyati nanvityādinā /	varam anyatva kalpanA iti ASaFkAm udBAvya SrutyA nirasyati nanu ityAdinA /
   svapne 'pyālokādeḥ satyatve jāgratīvātmanaḥsvaprakāśatvamasphuṭaṃ syāt,	svapne api Aloka AdeH satya tve jAgrati iva AtmanaH sva prakASa tvam asPuwam syAt ,
   prātibhāsikatve tvālokendriyādyasattve 'pyarthāparokṣyamātmajyotiṣa eveti	prAtiBAsika tve tu Aloka indriya Adi asattve api arTa aparokzyam Atma jyotizaH eva iti
   sphuṭaṃ sidhyati /	sPuwam siDyati /
   tasmāddeśādisāmyavacanaṃ svapnasya jāgrattulyabhānābhiprāyamityarthaḥ	tasmAt deSa Adi sAmya vacanam svapnasya jAgrat tulya BAna aBiprAyam iti arTaH
   END BsRp_3,2.2.6	END BsRp _3,2.2.6
   START BsRp_3,2.2.7ḥ	START BsRp _3,2.2.7H
   tadabhāvo nāḍīṣu tacchruter ātmani ca | BBs_3,2.7 |	tad aBAvaH nAxIzu tad SruteH Atmani ca | BBH _3,2.7 |
   evaṃ bāhyakaraṇoparame sati manovāsanoddīpitāvidyāvilāsātmakaṃ	evam bAhya karaNa uparame sati manaH vAsana uddIpita avidyA vilAsa Atmakam
   svapnamātmanaḥsākṣiṇaḥ svayañjyotiṣṭvārthaṃ vicārya	svapnam AtmanaH sAkziNaH svayan jyotizwvA arTam vicArya
   pratiyogyanuyogibhāvasaṅgatyā svapnāvasthamanolayātmikāṃ suṣuptiṃ	pratiyogi anuyogi BAva saFgatyA svapna avasTa manolaya AtmikAm suzuptim
   vicārayati tadabhāvo nāḍīṣu tacchuterātmani ca /	vicArayati  tad aBAvaH nAxIzu tad SuteH Atmani ca /
   tadetatsvapanaṃ yathā syāttathā /	tat etat svapanam yaTA syAt taTA /
   yatra kāle suptaḥ suṣuptaḥ samasto nirastabāhyakaraṇo	yatra kAle suptaH suzuptaH samastaH nirasta bAhya karaNaH 
   manolayātsamyakprasaṅga ityarthaḥ /	manolayAt samyak prasaFgaH iti arTaH /
   svāpe nāḍīsthānamuktvā nāḍīpurītatornāḍīparamātmanośca samuccayaśrutī	svApe nAxI sTAnam uktvA nAxIpurI tatoH nAxI paramAtmanoH ca samuccaya SrutI
   āha anyatreti /	Aha anI atra iti /
   paramātmamātraśrutīrāha tathānyatretyādinā /	paramAtma mAtra SrutIrAha  taTA anyatra ityAdinA /
   nāḍīpurītabrahmasu saptamīśruteḥ samuccayaśruteśca saṃśayamāha tatreti /	nAxI purIta brahmasu saptamI SruteH samuccaya SruteH ca saMSayam Aha tatra iti /
   pūrvapakṣe sthānavikalpājjīvasya brahmaikyānirṇayaḥ, siddhānte nāḍībhiḥ	pUrva pakze sTAna vikalpAt jIvasya brahma EkyA nirNayaH, sidDAnte nAxIBiH
   purītataṃ gatvāntarhṛdi brahmaṇyeva śeta iti samuccyāt tannirṇaya iti	purItatam gatvA antar hRdi brahmaNi eva SetaH iti samuccyAt tat nirNayaH iti
   vivekaḥ /	vivekaH /
   ekapuroḍāśārthatvaṃ vrīhiyavayordṛṣṭaṃ nāḍyādīnāmekasmin svāparūpārthe	eka puroxASa arTa tvam vrIhi yavayoH dRzwam nAxI AdInAm ekasmin svApa rUpa arTe
   nirapekṣasthānatvaṃ tu kuta ityata āha nāḍyādīnāṃ ceti /	nirapekza sTAna tvam tu kutas iti atas Aha  nAxI AdInAm ca iti /
   sati brahmaṇi tṛtīyaśruterna saptamīti śaṅkārthaḥ /	sati brahmaNi tRtIya SruteH na saptamI iti SaFkA arTaH /
   āyatanaśabdātsaptamyartha ādhāratvaṃ gamyata ityāha naiṣa doṣa iti /	Ayatana SabdAt saptamI arTaH ADAra tvam gamyate iti Aha na eza dozaH iti /
   anyatrāvasthādvaye śrānto jīvo viśrāntisthānaṃ prāṇākhyaṃ	anyatra avasTA dvaye SrAntaH jIvaH viSrAnti sTAnam prANa AKyam
   sadbrahmopasarpati suṣuptāvityarthaḥ /	sat brahma upasarpati suzuptO= iti arTaH /
   saptamīśrutyā nirapekṣādhāratvabhānādvikalpa āstheyaḥ kadācitsamuccityāpi	saptamI SrutyA nirapekza ADAra tva BAnAt vikalpaH AsTeyaH kadAcid samuccityA api
   nāḍyādīnāṃ sthānatvamiti na samuccayaśrutivirodha iti pūrvapakṣārthaḥ /	nAxI AdInAm sTAna tvam iti na samuccaya Sruti viroDaH iti pUrva pakza arTaH /
   siddhāntayati evaṃ prāpta iti /	sidDAntayati evam prAptaH iti /
   sūtre cakāraḥ purītatsamuccayārthaḥ /	sUtre cakAraH purI tat samuccaya arTaH /
   yadā nāḍyaḥ suṣuptisthānaṃ tadā purītatsthānaṃ na bhavatīti	yadA nAxyaH suzupti sTAnam tadA purItat sTAnam na Bavati iti
   śrutasthānatvasya pakṣe bādhaḥ syāt, sa na yukta ityāha vikalpe hyeṣāmiti	Sruta sTAna tvasya pakze bADaH syAt, sa na yuktaH iti Aha  vikalpe hi ezAm iti
   vrīhiyavayostvagatyā vikalpa iti bhāvaḥ /	vrIhi yavayoH tu agatyA vikalpaH iti BAvaH /
   yattu saptamīśrutyā nāḍyādīnāmekaphalakatvamiti, tannetyāha na hyeketi /	yat tu saptamI SrutyA nAxI AdInAm eka Palaka tvam iti, tat na iti Aha na hi ekA iti /
   prāsādasya paryaṅkadhāraṇamarthaḥ /	prAsAdasya paryaFka DAraNam arTaH /
   paryaṅkasya tu śayanamiti phalabhede 'pyekavibhaktirdṛśyate,	paryaFkasya tu Sayanam iti Pala Bede api eka viBaktiH dRSyate,
