   sāṅkhyakārikā gauḍapādabhāṣya	sAFKya-kArikAH gOxa-pAda-BAzya
   devarājaḥ uttarāḥ kuravaḥ svarge 'psarasa iti parokṣamāptavacanāt siddham	devarAjaH uttarAH kuravaH svarge apsarasaH iti parokzam-Apta-vacanAt sidDam
   atra kaścidāha pradhānaḥ puruṣo vā nopalabhyate yaśca nopalabhyate loke	atra kaScid-Aha praDAnaH puruzaH vA na-upalaByate yaH-ca na-upalaByate loke
   tannāsti tasmāttāvapi na staḥ / yathā dvitīyaṃ śirastṛtīyo bāhuriti /	tat-na-asti tasmAt-tO=-api na staH / yaTA dvitIyam SiraH-tRtIyaH bAhuH-iti /
   taducyate / atra satāmapyarthānāmaṣṭadhopalabdhirna bhavati tadyathā /	tat-ucyate / atra satAm-api-arTAnAm-azwaDA-upalabDiH-na Bavati tat-yaTA /
   atidūrātsāmīpyādindriyaghātānmano 'navasthānāt /	ati-dUrAt-sAmIpyAt-indriya-GAtAt-manaH anavasTAnAt /
   saukṣmyādvyavadhānādabhibhavātsamānābhihārācca // ISk_7 //	sOkzmyAt-vyavaDAnAt-aBiBavAt-samAna-aBihArAt-ca // ISc-_7 //
   iha satāmapyarthānāmatidūrādanupalabdhirdṛṣṭā / yathā deśāntarasthānāṃ	iha satAm-api-arTAnAm-ati-dUrAt-anupalabDiH-dRzwA / yaTA deSa-antara-sTAnAm
   caitramaitraviṣṇumitrāṇām / sāmīpyādyathā cakṣuṣo 'ñjanānupalabdhiḥ /	cEtra-mEtra-vizNu-mitrANAm / sAmIpyAt-yaTA cakzuzaH aQjana-anupalabDiH /
   indriyābhighātādyathā badhirāndhayoḥ śabdarūpānupalabdhiḥ / mano	indriya-aBiGAtAt-yaTA baDira-anDayoH Sabda-rUpa-anupalabDiH / manaH-
   'navasthānādyathā vyagracittaḥ samyakkathitamapi nāvadhārayati /	anavasTAnAt-yaTA vyagra-cittaH samyak-kaTitam-api na-avaDArayati /
   saukṣmyādyathā dhūmoṣmajalanīhāraparamāṇavo gaganagatā nopalabhyante /	sOkzmyAt-yaTA DUma-Uzma-jala-nIhAra-paramANavaH gagana-gatAH na-upalaByante /
   vyavadhānādyathā kuḍyena pihitaṃ vastu nopalabhyate / abhibhavādyathā	vyavaDAnAt-yaTA kuxyena pihitam vastu na-upalaByate / aBiBavAt-yaTA
   sūryatejasābhibhūtā grahanakṣatratārakādayo nopalabhyante /	sUrya-tejasA-aBiBUtAH graha-nakzatra-tAraka-AdayaH na-upalaByante /
   samānābhihārādyathā mudgarāśau mudgaḥ kṣiptaḥ kuvalayāmalakamadhye	samAna-aBihArAt-yaTA mudga-rASO mudgaH kziptaH kuvalayAmalaka-maDye
   kuvalayāmalake kṣipte kapotamadhye kapoto nopalabhyate	kuvalayAmalake kzipte kapota-maDye kapotaH na-upalaByate
   sanānadravyamadhyāhṛtatvāt / evamaṣṭadhānupalabdhiḥ satāmarthānāmiha dṛṣṭā	sa-nAna-dravya-maDyAhRta-tvAt / evam-azwaDA-anupalabDiH satAm-arTAnAm-iha dRzwA
   evaṃ cāsti kimabhyupagamyate pradhānapuruṣayorapyetayorvānupalabdhiḥ kena	evam ca-asti kim-aByupagamyate praDAna-puruzayoH-api-etayoH-vA-anupalabDiH kena
   hetunā kena copalabdhistaducyate /	hetunA kena ca-upalabDiH-tat-ucyate /
   saukṣmyāttadanupalabdhirnābhāvātkāryatastadupalabdhiḥ /	sOkzmyAt-tad-anupalabDiH-na-aBAvAt-kAryataH-tad-upalabDiH /
   mahadādi tacca kāryaṃ prakṛtivirūpaṃ svarūpaṃ ca // ISk_8 //	mahat-Adi tat-ca kAryam prakRti-virUpam sva-rUpam ca // ISc-_8 //
   saukṣmyāttadanupalabdhiḥ pradhānasyetyarthaḥ / pradhānaṃ	sOkzmyAt-tad-anupalabDiH praDAnasya-iti-arTaH / praDAnam
   saukṣmyānnopalabhyate yathākāśe dhūmoṣmajalanīhāraparamāṇavaḥ santo 'pi	sOkzmyAt-na-upalaByate yaTA-AkASe DUma-Uzma-jala-nIhAra-paramANavaH santaH api
   nopalabhyante / kathaṃ tarhi tadupalabdhiḥ / kāryatastadupalabdhiḥ /	na-upalaByante / kaTam tarhi tad-upalabDiH / kAryataH-tad-upalabDiH /
   kāryaṇa dṛṣṭvā kāraṇamanumīyate / asti pradhānaṃ kāraṇaṃ yasyedaṃ kāryam /	kAryaNa dRzwvA kAraNam-anumIyate / asti praDAnam kAraNam yasya-idam kAryam /
   buddhirahaṃkārapañcatanmātrāṇi ekādaśendriyāṇi pañcamahābhūtāni eva	budDiH-ahaMkAra-paQca-tanmAtrANi ekAdaSa-indriyANi paQca-mahABUtAni eva
   tatkāryam / tacca kāryaṃ prakṛtivirūpam / prakṛtiḥ pradhānaṃ tasya virūpaṃ	tat-kAryam / tat-ca kAryam prakRti-virUpam / prakRtiH praDAnam tasya virUpam
   prakṛterasadṛśaṃ svarūpaṃ ca samānarūpaṃ ca tathā loke 'pi pitustulya eva	prakRteH-asadRSam svarUpam ca samAna-rUpam ca taTA loke api pituH-tulyaH eva
   putro bhavatyatulyaśca / yena hetunā tulyamatulyaṃ tadupariṣṭādvakṣyāmaḥ	putraH Bavati-atulyaH-ca / yena hetunA tulyam-atulyam tad-uparizwAt-vakzyAmaH
   yadidaṃ mahadādikāryaṃ tatkiṃ pradhāne	yat-idam mahat-Adi-kAryam tat-kim praDAne
   sadutādahosvidasadācāryavipratipatterayaṃ saṃśayaḥ / yato 'tra	sadutAt-ahosvidasat-AcArya-vipratipatteH-ayam saMSayaH / yatas atra
   sāṃkhyadarśane satkāryaṃ bauddhādīnāmasatkāryam / yadi sadasanna	sAMKya-darSane satkAryam bOdDa-AdInAm-asat-kAryam / yadi sat-asat-=-a
   bhavatyasatsanna bhavatīti vipratiṣedhastatrāha /	Bavati-asat-sat-na Bavati-iti vipratizeDaH-tatra-Aha /
   asadakaraṇādupādānagrahaṇātsarvasambhavābhāvāt /	asat-akaraNAt-upAdAna-grahaNAt-sarva-samBava-aBAvAt /
   śaktasya śakyakaraṇātkāraṇabhāvācca satkāryam // ISk_9 //	Saktasya Sakya-karaNAt-kAraNa-BAvAt-ca satkAryam // ISc-_9 //
   asadakaraṇānna sadasato 'karaṇaṃ tasmātsatkāryaṃ ihaloke 'satkaraṇaṃ nāsti	asat-akaraNAt-na sat-asataH akaraNam tasmAt-sat-kAryam ihaloke asat-karaNam na-asti
   yathā sikatābhyastailotpattistasmātsataḥ karaṇādasti prāgu(tpa)pteḥ /	yaTA sikatAByaH-tEla-utpattiH-tasmAt-sataH karaNAt-asti prAk-u(t-pa)pteH /
   pradhāne vyaktamataḥ satkāryam / kiṃ cānyadupādānagrahaṇādupādānaṃ kāraṇaṃ	praDAne vyaktam-atas satkAryam / kim ca-anyat-upAdAna-grahaNAt-upAdAnam kAraNam
   tasya grahaṇādihaloke yo yenārthī sa tadupādānagrahaṇaṃ karoti dadhyarthī	tasya grahaNAt-ihaloke yaH yena-arTI sa tad-upAdAna-grahaNam karoti daDi-arTI
   kṣīrasya na tu jalasya tasmāt satkāryam / itaśca sarvasambhavābhāvāt	kzIrasya na tu jalasya tasmAt satkAryam / itas-ca sarva-samBava-aBAvAt
   sarvasya sarvatrasambhavo nāsti yathā suvarṇasya rajatādau	sarvasya sarvatrasamBavaH na-asti yaTA suvarNasya rajata-AdO
   tṛṇapāṃśusikatāsu tasmāt sarvasambhavābhāvāt satkāryam / itaśaca śaktasya	tRNa-pAMSu-sikatAsu tasmAt sarva-samBava-aBAvAt satkAryam / itaSaca Saktasya
   śakyakaraṇāt / iha kulālaḥ śakto	Sakya-karaNAt / iha kulAlaH SaktaH-
   mṛddaṇḍacakracīvararajjunīrādikaraṇopakaraṇaṃ vā śakyameva ghaṭāṃ	mRd-daNxa-cakra-cIvara-rajju-nIra-Adi-karaNa-upakaraNam vA Sakyam-eva GawAm
   mṛtpiṇḍādutpādayati tasmāt satkāryam / itaśca kāraṇabhāvācca satkāryam /	mRd-piNxAt-utpAdayati tasmAt satkAryam / itas-ca kAraNa-BAvAt-ca satkAryam /
   kāraṇaṃ yallakṣaṇaṃ tallakṣaṇameva kāryameva yathā yavebhyo 'pi yavāḥ	kAraNam yat-lakzaNam tat-lakzaNam-eva kAryam-eva yaTA yaveByaH api yavAH
   vrīhībhyo vrīhayaḥ yadāsatkāryaṃ syāttataḥ kodravebhyaḥ śālayaḥ syurna ca	vrIhIByaH vrIhayaH yadA-asat-kAryam syAt-tatas kodraveByaH SAlayaH syuH-na ca
   santīti tasmāt satkāryam / evaṃ pañcabhirhetubhiḥ pradhāne	santi-iti tasmAt satkAryam / evam paQcaBiH-hetuBiH praDAne
   mahadādiliṅgamasti tasmātsata utpattirnāsata iti // 9 //	mahat-Adi-liFgam-asti tasmAt-satas utpattiH-na-asataH iti // 9 //
   prakṛtivirūpaṃ sarūpaṃ ca yaduktaṃ kathamityucyate /	prakRti-virUpam sarUpam ca yat-uktam kaTam-iti-ucyate /
   hetumadanityamavyāpi sakriyamanekamāśritaṃ liṅgam /	hetu-mada-nityam-avyApi sa-kriyam-anekam-ASritam liFgam /
   sāvayavaṃ paratantraṃ vyaktaṃ viparītamavyaktam // ISk_10 //	sa-avayavam paratantram vyaktam viparItam-avyaktam // ISc-_10 //
   vyaktaṃ mahadādikāryyaṃ hetumaditi heturasyāsti hetumat / upādānaṃ hetuḥ	vyaktam mahat-Adi-kAryyam hetumat-iti hetuH-asya-asti hetumat / upAdAnam hetuH
   kāraṇaṃ nimittamiti paryāyāḥ / vyaktasya pradhānaṃ heturasti ato	kAraNam nimittam-iti paryAyAH / vyaktasya praDAnam hetuH-asti atas-
   hetumadvyaktaṃ bhūtaparyyantaṃ hetumadbuddhimattvaṃ pradhānena	hetumat-vyaktam BUta-paryyantam hetumat-budDimat-tvam praDAnena
   hetumānahaṃkāro buddhyā pañcatanmātrāṇi ekādaśendriyāṇi	hetumAn-ahaMkAraH budDyA paQca-tanmAtrANi ekAdaSa-indriyANi
   hetumantyahaṃkāreṇa / ākāśaṃ śabdatanmātreṇa hetumat / vāyuḥ	hetumanti-ahaMkAreNa / AkASam Sabda-tanmAtreNa hetumat / vAyuH
   sparśatanmātreṇa hetumān / tejo rūpatanmātreṇa hetumat / āpo	sparSa-tanmAtreNa hetumAn / tejaH rUpa-tanmAtreNa hetumat / ApaH-
   rasatanmātreṇa hetumatyaḥ / pṛthivī gandhatanmātrena hetumatī / evaṃ	rasa-tanmAtreNa hetumatyaH / pRTivI ganDa-tanmAtrena hetumatI / evam
   bhūtaparyyantaṃ vyaktaṃ hetumat / kiṃ cānyadanityaṃ	BUta-paryyantam vyaktam hetumat / kim ca-anyat-anityam
   yasmādanyasmādutpadyate yathā mṛtpiṇḍādutpadyate ghaṭaḥ sa cānityaḥ / kiṃ	yasmAt-anyasmAt-utpadyate yaTA mRd-piNxAt-utpadyate GawaH sa ca-anityaH / kim
   cāvyāpyasarvvagamityarthaḥ yathā pradhānapuruṣau sarvvagatau naiva vyaktam	ca-avyApya-sarvvagam-iti-arTaH yaTA praDAna-puruzO sarvu-agatO na-eva vyaktam
   / kiṃcānyat sakriyaṃ saṃsārakāle saṃsarati trayodaśavidhena karaṇena	/ kiMca-anyat sa-kriyam saMsAra-kAle saMsarati trayodaSaviDena karaNena
   saṃyuktaṃ sūkṣmaṃ śarīramāśritya saṃsarati tasmāt sakriyam /	saMyuktam sUkzmam SarIram-ASritya saMsarati tasmAt sa-kriyam /
   kiṃcānyadanekaṃ buddhirahaṃkāraḥ pañcatanmātrānyekādaśendriyāṇi ca	kiMca-anyat-anekam budDiH-ahaMkAraH paQca-tanmAtrAni-ekAdaSa-indriyANi ca
   pañcamahābhūtāni pañcatanmātrāśritāni / kiṃca liṅgaṃ layayuktaṃ layakāle	paQca-mahABUtAni paQca-tanmAtra-ASritAni / kiMca liFgam laya-yuktam laya-kAle
   pañcamahābhūtāni tanmātreṣu līyante tānyekādaśendriyaiḥ sahāhaṃkāre sa ca	paQca-mahABUtAni tanmAtrezu lIyante tAni-ekAdaSa-indriyEH saha-ahaMkAre sa ca
   buddhau sā ca pradhāne layaṃ yātīti / tathā sāvayavaṃ avayavāḥ	budDO sA ca praDAne layam yAti-iti / taTA sa-avayavam avayavAH
   śabdasparśarasarūpagandhāḥ taiḥ saha / kiṃca paratantraṃ nātmanaḥ	Sabda-sparSa-rasa-rUpa-ganDAH tEH saha / kiMca paratantram na-AtmanaH
   prabhavati yathā pradhānatantrā buddhiḥ buddhitantro 'haṃkāraḥ	praBavati yaTA praDAna-tantrA budDiH budDi-tantraH ahaMkAraH
   ahaṃkāratantrāṇi tanmātrāṇīndriyāṇi ca tanmātratantrāṇi pañcamahābhūtāni	ahaMkAra-tantrANi tanmAtrANi-indriyANi ca tanmAtra-tantrANi paQca-mahABUtAni
   ca / evaṃ paratantraṃ parāyattaṃ vyākhyātaṃ vyaktam / atho 'vyaktaṃ	ca / evam paratantram parAyattam vyAKyAtam vyaktam / aTo avyaktam
   vyākhyāmaḥ / viparītamavyaktam / etaireva	vyAKyAmaH / viparItam-avyaktam / etEH-eva
   guṇairyathoktairviparītamavyaktaṃ hetumadvyaktamuktam / nahi pradhānāt	guNEH-yaTA-uktEH-viparItam-avyaktam hetumat-vyaktam-uktam / na-hi praDAnAt-
   paraṃ kiñcidasti yataḥ pradhānasyānutpattiḥ tasmādahetumadavyaktam /	param kiQcid-asti yatas praDAnasya-anutpattiH tasmAt-ahetumat-a-vyaktam /
   tathānityaṃ ca vyaktaṃ nityamavyaktamanutpādyatvāt nahi bhūtāni	taTA-anityam ca vyaktam nityam-avyaktam-anutpAdya-tvAt na-hi BUtAni
   kutaścidutpadyanteti pradhānam / kiṃ cāvyāpi vyaktaṃ vyāpi pradhānaṃ	kutaScid-utpadyanta-iti praDAnam / kim ca-avyApi vyaktam vyApi praDAnam
   kāryyaṃ syāt / tathā vyaktaṃ liṅgamaliṅgamavyaktaṃ nityatvānmahadādi	kAryyam syAt / taTA vyaktam liFgam-aliFgam-avyaktam nitya-tvAt-mahat-Adi
   liṅgaṃ pralayakāle parasparaṃ pralīyate naivaṃ pradhānaṃ tasmādaliṅgaṃ	liFgam pralaya-kAle parasparam pralIyate na-evam praDAnam tasmAt-aliFgam
   pradhānam / tathā sāvayavaṃ vyaktaṃ niravayavamavyaktaṃ nahi	praDAnam / taTA sa-avayavam vyaktam niravayavam-avyaktam na-hi
   śabdasparśarasarūpagandhāḥ pradhāne santi / tathā paratantraṃ vyaktaṃ	Sabda-sparSa-rasa-rUpa-ganDAH praDAne santi / taTA paratantram vyaktam
   svatantramavyaktaṃ prabhavatyātmanaḥ // 10 //	svatantram-avyaktam praBavati-AtmanaH // 10 //
   evaṃ vyaktāvyaktayorvaidharmmyamuktaṃ sādharmmyamucyate yaduktaṃ sarūpaṃ	evam vyakta-avyaktayoH-vEDarmmyam-uktam sADarmmyam-ucyate yat-uktam sarUpam
   ca /	ca /
   triguṇamaviveki viṣayaḥ sāmānyamacetanaṃ prasavadharmi /	triguNam-aviveki vizayaH sAmAnyam-acetanam prasava-Darmi /
   vyaktaṃ tathā pradhānaṃ tadviparītastathā ca pumān // ISk_11 //	vyaktam taTA praDAnam tad-viparItaH-taTA ca pumAn // ISc-_11 //
   triguṇaṃ vyaktaṃ sattvarajastamāṃsi trayo guṇā yasyeti / aviveki vyaktaṃ	triguNam vyaktam sattva-rajaH-tamAMsi trayaH guNAH yasya-iti / aviveki vyaktam
   na viveko 'syāstīti / idaṃ vyaktamime guṇā iti na vivekakarttuṃ yāti ayaṃ	na vivekaH asya-asti-iti / idam vyaktam-ime guNAH iti na viveka-karttum yAti ayam
   gaurayamaśva iti yathā ye guṇāstadvyaktaṃ yadvyaktaṃ te ca guṇā iti /	gOH-ayam-aSvaH iti yaTA ye guNAH-tat-vyaktam yat-vyaktam te ca guNAH iti /
   tathā viṣayo vyaktaṃ bhojyamityarthaḥ sarvapuruṣāṇāṃ viṣayabhūtatvāt /	taTA vizayaH vyaktam Bojyam-iti-arTaH sarva-puruzANAm vizaya-BUta-tvAt /
   tathā sāmānyaṃ vyaktaṃ mūlyadāsīvat sarvasādhāraṇatvāt / acetanaṃ vyaktaṃ	taTA sAmAnyam vyaktam mUlya-dAsI-vat sarva-sADAraNa-tvAt / acetanam vyaktam
   sukhaduḥkhamohānna cetayatītyarthaḥ / tathā prasavadharmi vyaktaṃ tadyathā	suKa-duHKa-mohAt-na cetayati-iti-arTaH / taTA prasava-Darmi vyaktam tat-yaTA
   buddherahaṃkāraḥ prasūyate tasmāt pañcatanmātrāṇi ekādaśendriyāṇi ca	budDeH-ahaMkAraH prasUyate tasmAt paQca-tanmAtrANi ekAdaSa-indriyANi ca
   prasūyante tanmātrebhyaḥ pañcamahābhūtāni / evamete vyaktadharmāḥ	prasUyante tanmAtreByaH paQca-mahABUtAni / evam-ete vyakta-DarmAH
   prasavadharmāntā uktā evamebhiravyaktaṃ sarūpaṃ yathā vyaktaṃ tathā	prasava-Darma-antAH uktAH evam-eBiH-avyaktam sarUpam yaTA vyaktam taTA
   pradhānamiti / tatra triguṇaṃ vyaktamavyaktamapi triguṇaṃ	praDAnam-iti / tatra triguNam vyaktam-avyaktam-api triguNam
   yasyaitanmahadādi kāryaṃ triguṇam / iha yadātmakaṃ kāraṇaṃ tadātmakaṃ	yasya-etat-mahat-Adi kAryam triguNam / iha yad-Atmakam kAraNam tad-Atmakam
   kāryamiti yathā kṛṣṇatantukṛtaḥ kṛṣṇa eva paṭo bhavati / tathāviveki	kAryam-iti yaTA kRzNa-tantu-kRtaH kRzNaH eva pawaH Bavati / taTA-aviveki
   vyaktaṃ pradhānamapi guṇairna bhidyate anye guṇā anyat pradhānameva	vyaktam praDAnam-api guNEH-na Bidyate anye guNAH anyat praDAnam-eva
   vivaktuṃ na yāti tadaviveki pradhānam / tathā viṣayo vyaktaṃ pradhānamapi	vivaktum na yAti tat-aviveki praDAnam / taTA vizayaH vyaktam praDAnam-api
   sarvapuruṣaviṣayabhūtatvādviṣaya iti / tathā sāmānyaṃ vyaktaṃ pradhānamapi	sarva-puruza-vizaya-BUta-tvAt-vizayaH iti / taTA sAmAnyam vyaktam praDAnam-api
   sarvasādhāraṇatvāt / tathācetanaṃ vyaktaṃ pradhānamapi sukhaduḥkhamohānna	sarva-sADAraNa-tvAt / taTA-acetanam vyaktam praDAnam-api suKa-duHKa-mohAn-na
   cetayatīti kathamanumīyata iha hyacetanānmṛtpiṇḍādacetano ghaṭā utpadyate	cetayati-iti kaTam-anumIyate iha hi-acetanAt-mRd-piNxAt-acetanaH GawAH utpadyate
   / evaṃ pradhānamapi vyākhyātam / idānīṃ tadviparītastathā	/ evam praDAnam-api vyAKyAtam / idAnIm tad-viparItaH-taTA
   pumānityetadvyākhyāyate / sadviparītastābhyāṃ vyaktāvyaktābhyāṃ viparītaḥ	pumAn-iti-etat-vyAKyAyate / sa-dviparItaH-tAByAm vyakta-avyaktAByAm viparItaH
   pumān / tadyathā triguṇaṃ vyaktamavyaktaṃ cāguṇaḥ puruṣaḥ / aviveki	pumAn / tat-yaTA triguNam vyaktam-avyaktam ca-aguNaH puruzaH / aviveki
   vyaktamavyaktaṃ ca vivekī puruṣaḥ / tathā viṣayo vyaktamavyaktaṃ cāviṣayaḥ	vyaktam-avyaktam ca vivekI puruzaH / taTA vizayaH vyaktam-avyaktam ca-avizayaH
   puruṣaḥ / tathā sāmānyaṃ vyaktamavyaktaṃ cāsāmānyaḥ puruṣaḥ / acetanaṃ	puruzaH / taTA sAmAnyam vyaktam-avyaktam ca-asAmAnyaH puruzaH / acetanam
   vyaktamavyaktaṃ ca cetanaḥ puruṣaḥ sukhaduḥkhamohāṃścetayati saṃjānīte	vyaktam-avyaktam ca cetanaH puruzaH suKa-duHKa-mohAn=-cetayati saMjAnIte
   tasmāccetanaḥ puruṣa iti / prasavadharmi vyaktaṃ pradhānaṃ cāprasavadharmī	tasmAt-cetanaH puruzaH iti / prasava-Darmi vyaktam praDAnam ca-aprasava-DarmI
   puruṣo nahi kiñcit puruṣāt prasūyate / tasmāduktaṃ tadviparītaḥ pumāniti /	puruzaH na-hi kiQcid puruzAt prasUyate / tasmAt-uktam tad-viparItaH pumAn-iti /
   taduktaṃ tathā ca pumāniti / tat pūrvasyāmāryāyāṃ pradhānamahetumadyathā	tat-uktam taTA ca pumAn-iti / tat pUrvasyAmAryAyAm praDAnam-ahetum-at-yaTA
   vyākhyātaṃ tathā ca pumān tadyathā hetumadananityamityādi vyaktaṃ	vyAKyAtam taTA ca pumAn tat-yaTA hetu-madana-nityam-ityAdi vyaktam
   tadviparītamavyaktaṃ tatra hetumadvyaktamahetumat pradhānaṃ tathā ca	tad-viparItam-avyaktam tatra hetumat-vyaktam-ahetumat praDAnam taTA ca
   pumānahetumānanutpādyatvāt / anityaṃ vyaktaṃ nityaṃ pradhānaṃ tathā ca	pumAn-ahetumAn-anutpAdya-tvAt / anityam vyaktam nityam praDAnam taTA ca
   nityaḥ pumān / akriyaḥ sarvagatatvādeva / anekaṃ vyaktamekamavyaktaṃ tathā	nityaH pumAn / akriyaH sarva-gata-tvAt-eva / anekam vyaktam-ekam-avyaktam taTA
   pumānyapyekaḥ / āśritaṃ vyaktamanāśritamavyaktaṃ tathā ca pumānanāśritaḥ /	pumAni-api-ekaH / ASritam vyaktam-anASritam-avyaktam taTA ca pumAn-anASritaH /
   liṅgaṃ vyaktamaliṅgaṃ pradhānaṃ tathā ca pumānapyaliṅgaḥ / na kvacillīyata	liFgam vyaktam-aliFgam praDAnam taTA ca pumAn-api-aliFgaH / na kvacid-lIyata
   iti / sāvayavaṃ vyaktaṃ niravayavamavyaktaṃ tathā ca pumān niravayavaḥ /	iti / sa-avayavam vyaktam niravayavam-avyaktam taTA ca pumAn niravayavaH /
   nahi puruṣe śabdādayo 'vayavāḥ santi / kiṃca paratantraṃ vyaktaṃ	na-hi puruze Sabda-AdayaH avayavAH santi / kiMca paratantram vyaktam
   svatantramavyaktaṃ tathā ca pumānapi svatantraḥ / ātmanaḥ	svatantram-avyaktam taTA ca pumAn-api svatantraH / AtmanaH
   prabhavatītyarthaḥ / evametadavyaktapuruṣayoḥ sādharmyaṃ vyākhyātaṃ	praBavati-iti-arTaH / evam-etat-avyakta-puruzayoH sADarmyam vyAKyAtam
   pūrvasyāmāryāyām / vyaktapradhānayoḥ sādharmyaṃ puruṣasya vaidharmyaṃ ca	pUrvasya-AmAryAyAm / vyakta-praDAnayoH sADarmyam puruzasya vEDarmyam ca
   triguṇamavivekītyādi prakṛtyāryāyāṃ vyākhyātam // 11 //	triguNam-aviveki-ityAdi prakRti-AryAyAm vyAKyAtam // 11 //
   tatra yaduktaṃ triguṇamiti vyaktamavyaktaṃ ca tat ke te guṇā iti tat	tatra yat-uktam triguNam-iti vyaktam-avyaktam ca tat ke te guNAH iti tat-
   svarūpapratipādanāyedamāha /	svarUpa-pratipAdanAya-idam-Aha /
   prītyaprītiviṣādātmakāḥ prakāśapravṛttiniyamārthāḥ /	prIti-aprIti-vizAda-AtmakAH prakASa-pravRtti-niyama-arTAH /
   anyo 'nyābhibhavāśrayajananamithunavṛttayaśca guṇāḥ // ISk_12 //	anyaH anya-aBiBava-ASraya-janana-miTuna-vRttayaH-ca guNAH // ISc-_12 //
   prītyātmakā aprītyātmakāḥ viṣādātmakāśca guṇāḥ sattvarajastamāṃsītyarthaḥ	prIti-AtmakAH aprIti-AtmakAH vizAda-AtmakAH-ca guNAH sattva-rajaH-tamAMsi-iti-arTaH
   / tatra prītyātmakaṃ sattvaṃ prītiḥ sukhaṃ tadātmakamiti / aprītyātmakaṃ	/ tatra prIti-Atmakam sattvam prItiH suKam tad-Atmakam-iti / aprIti-Atmakam
   rajaḥ / viṣādātmakaṃ tamaḥ / viṣādo mohaḥ / tathā prakāśapravṛtti	rajaH / vizAda-Atmakam tamaH / vizAdaH mohaH / taTA prakASa-pravRtti
   niyamārthāḥ / arthaḥ śabdaḥ sāmarthyavācī prakāśārthaṃ sattvaṃ	niyama-arTAH / arTaH SabdaH sAmarTya-vAcI prakASa-arTam sattvam
   prakāśasamarthamityarthaḥ / pravṛttyarthaṃ rajo niyamārthaṃ tamaḥ sthitau	prakASa-samarTam-iti-arTaH / pravRtti-arTam rajaH niyama-arTam tamaH sTitO
   samarthamityarthaḥ prakāśakriyāsthitiśīlā guṇā iti /	samarTam-iti-arTaH prakASa-kriyA-sTiti-SIlAH guNAH iti /
   tathānyonyābhibhavāśrayajananamithunavṛttayaśca / anyonyābhibhavāḥ	taTA-anyonya-aBiBava-ASraya-janana-miTuna-vRttayaH-ca / anyonya-aBiBavAH
   anyonyāśrayāḥ anyonyajananāḥ anyonyamithunāḥ anyonyavṛttayaśca te	anyonya-ASrayAH anyonya-jananAH anyonya-miTunAH anyonya-vRttayaH-ca te
   tathoktāḥ / anyonyābhibhavā iti anyonyaṃ parasparamabhibhavantīti	taTA-uktAH / anyonya-aBiBavAH iti anyonyam parasparam-aBiBavanti-iti
   prītyaprītyādibhirdharmmairāvirbhavanti yathā yadā sattvamutkaṭaṃ bhavati	prIti-aprIti-AdiBiH-DarmmEH-AvirBavanti yaTA yadA sattvam-utkawam Bavati
   tadā rajastamasī aprītipravṛttidharmmeṇa yadā tamastadā sattvarajasī	tadA rajaH-tamasI aprIti-pravRtti-DarmmeNa yadA tamaH-tadA sattva-rajasI
   viṣādasthityātmakena iti / tathānyonyāśrayāśca dvyaṇukavadguṇāḥ /	vizAda-sTiti-Atmakena iti / taTA-anyonya-ASrayAH-ca dvi-aNuka-vat-guNAH /
   anyonyajananāḥ yathā mṛtpiṇḍo ghaṭaṃ janayati / tathānyonyamithunāśca	anyonya-jananAH yaTA mRd-piNxaH Gawam janayati / taTA-anyonya-miTunAH-ca
   yathā strīpuṃsau anyonyamithunau tathā guṇāḥ / uktaṃ ca /	yaTA strI-puMsO anyonya-miTunO taTA guNAH / uktam ca /
        rajaso mithunaṃ sattvaṃ sattvasya mithunaṃ rajaḥ /	rajasaH miTunam sattvam sattvasya miTunam rajaH /
        ubhayoḥ sattvarajarormithunaṃ tama ucyate //	uBayoH sattva-rajaroH-miTunam tamaH ucyate //
   parasparasahāyā ityarthaḥ / anyonyavṛttayaśca parasparaṃ varttante guṇāḥ	paraspara-sahAyAH iti-arTaH / anyonya-vRttayaH-ca parasparam varttante guNAH
   guṇeṣu varttanta iti vacanāt / yathā surūpā suśīlā strī sarvvasukhahetuḥ	guNezu varttante iti vacanAt / yaTA surUpA suSIlA strI sarvu-asuKa-hetuH
   sapatnīnāṃ saiva duḥkhahetuḥ saiva rāgiṇāṃ mohaṃ janayati eva satvaṃ	sapatnInAm sA-eva duHKa-hetuH sA-eva rAgiNAm moham janayati eva satvam
   rajastamasorvṛttiheturyathā rājā sadodyuktaḥ prajāpālane duṣṭanigrahe	rajaH-tamasoH-vRtti-hetuH-yaTA rAjA sadA-udyuktaH prajA-pAlane duzwa-nigrahe
   śiṣṭānāṃ sukhamutpādayati duṣṭānāṃ duḥkhaṃ mohaṃ ca evaṃ	SizwAnAm suKam-utpAdayati duzwAnAm duHKam moham ca evam
   rajassattvatamasorvṛttiṃ janayati / tathā tamaḥ svarūpeṇāvaraṇātmakena	rajaH-sattva-tamasoH-vRttim janayati / taTA tamaH svarUpeNa-AvaraNa-Atmakena
   sattvarajasorvṛttiṃ janayati yathā meghāḥ khamāvṛtya jagataḥ	sattva-rajasoH-vRttim janayati yaTA meGAH Kam-AvRtya jagataH
   sukhamutpādayanti te vṛṣṭyā karṣukāṇāṃ karṣaṇodyogaṃ janayanti virahiṇāṃ	suKam-utpAdayanti te vRzwyA karzukANAm karzaNa-udyogam janayanti virahiNAm
