   brahmasūtraśāṅkarabhāṣyam	brahmasUtra SAFkara BAzyam
   bhedāṃśarūpasaṃsargabhānamiti bhedaḥ /	Beda aMSa rUpa saMsarga BAnam iti BedaH /
   evaṃ sāmagrīsattvādanubhavasattvādadhyāso 'stītyato brahmātmaikye	evam sAmagrI sattvAt anuBava sattvAt aDyAsaH asti iti atas brahma Atma Ekye
   virodhābhāvena viṣayaprayojanayoḥ sattvāt śāstramārambhaṇīyamiti	viroDa aBAvena vizaya prayojanayoH sattvAt SAstram AramBaNIyam iti
   siddhāntabhāṣyatātparyam /	sidDAnta BAzya tAtparyam /
   evañca sūtreṇārthātsūcite viṣayaprayojane pratipādya taddhetumadhyāsaṃ	evaQca sUtreNa arTAt sUcite vizaya prayojane pratipAdya tad hetum aDyAsam
   lakṣaṇasaṃbhāvanāpramāṇaiḥ sādhayituṃ lakṣaṇaṃ pṛcchati  āheti /	lakzaNa saMBAvanA pramANEH sADayitum lakzaNam pRcCati  Aha iti /
   kiṃlakṣaṇako 'dhyāsa ityāha /	kiMlakzaNakaH aDyAsaH iti Aha /
   pūrvavādītyarthaḥ /	pUrvavAdI iti arTaH /
   asya śāstrasya tattvanirṇayapradhānatvena vādakathātvadyotanārthaṃ āheti	asya SAstrasya tattva nirNaya praDAna tvena vAda kaTA tvad yotana arTam Aha iti
   paroktiḥ /	paroktiH /
   'āha'ityādi 'kathaṃ punaḥpratyagātmani'ityataḥ prāgadhyāsalakṣaṇaparaṃ	aAha aityAdi akaTam punar pratyak Atmani aityataH prAk aDyAsa lakzaNa param
   bhāṣyam /	BAzyam /
   tadārabhya saṃbhāvanāparam /	tat AraBya saMBAvanA param /
   'tametamavidyākhyam'ityārabhya 'sarvalokapratyakṣaḥ'ityantaṃ	atam etam avidyA AKyam aitya AraBya asarva loka pratyakzaH aiti antam
   pramāṇaparamiti vibhāgaḥ /	pramANa param iti viBAgaH /
   lakṣaṇamāha  ucyate smṛtirūpa iti /	lakzaNam Aha  ucyate  smRti rUpaH iti /
   adhyāsa ityanuṣaṅgaḥ /	aDyAsaH iti anuzaFgaH /
   atra paratrāvabhāsa ityeva lakṣaṇam, śiṣṭaṃ padadvayaṃ tadupapādanārtham /	atra paratra avaBAsaH iti eva lakzaNam, Sizwam pada dvayam tad upapAdana arTam /
   tathāhi avabhāsyata ityavabhāso rajatādyarthaḥ tasyāyogyamadhikaraṇaṃ	taTA hi avaBAsyate iti avaBAsaH rajata Adi arTaH tasya ayogyam aDikaraNam
   paratrapadārthaḥ /	paratra padArTaH /
   adhikaraṇasyāyogyatvaṃ āropyātyantābhāvatvaṃ tadvatvaṃ vā /	aDikaraNasya ayogya tvam Aropya atyanta aBAva tvam tadvatvam vA /
   tathā caikāvacchedena svasaṃsṛjyamāne svātyantābhāvavati	taTA ca eka avacCedena sva saMsRjyamAne svAtyanta aBAvavati
   avabhāsyatvamadhyastatvamityarthaḥ /	avaBAsya tvam aDyastatvam iti arTaH /
   idaṃ ca sādyanādyadhyāsasādhāraṇaṃ lakṣaṇam /	idam ca sAdi anAdi aDyAsa sADAraNam lakzaNam /
   saṃyoge 'tivyāptinirāsāyaikāvacchedeneti /	saMyoge ati vyApti nirAsAya eka avacCedena iti /
   saṃyogasya svasaṃsṛjyamāne vṛkṣe svātyantābhāvavatyavabhāsyatve 'pi	saMyogasya sva saMsRjyamAne vRkze sva atyanta aBAvavati avaBAsya tve api
   svātyantābhāvayormūlāgrāvacchedakabhedānnātivyāptiḥ /	sva atyanta aBAvayoH mUla agrAvacCedaka BedAt na ati vyAptiH /
   pūrvaṃ svābhāvavati bhūtale paścādānīto ghaṭo bhātīti ghaṭe	pUrvam svABAvavati BU tale paScAt AnItaH GawaH BAti iti Gawe
   'tivyāptinirāsāya svasaṃsṛjyamāna iti padam, tena svābhāvakāle	ati vyApti nirAsAya sva saMsRjyamAnaH iti padam, tena svABAva kAle
   pratiyogisaṃsargasya vidyamānatocyate iti nātivyāptiḥ /	pratiyogi saMsargasya vidyamAna tA ucyate iti na ati vyAptiH /
   bhūtvāvacchedenāvabhāsyagandhe 'tivyāptivāraṇāya svātyantābhāvavatīti	BUtvA avacCedena avaBAsya ganDe ati vyApti vAraNAya svAtyanta aBAvavatI iti
   padam /	padam /
   śuktāvidantvāvacchedena rajatasaṃsargakāle 'tyantābhāvo 'stīti nāvyāptiḥ /	Sukta avidantva avacCedena rajata saMsarga kAle atyanta aBAvaH asti iti na avyAptiH /
   nanvasya lakṣaṇasyāsaṃbhavaḥ, śuktau rajatasya sāmagryabhāvena	nanu asya lakzaNasya asaMBavaH, SuktO rajatasya sAmagrya BAvena
   saṃsargāsatvāt /	saMsarga asatvAt /
   na ca smaryamāṇasatyarajatasyaiva paratra	na ca smaryamANa satya rajatasya eva paratra
   śuktāvavabhāsyatvenādhyastatvoktiriti vācyam, anyathākhyātiprasaṅgādityata	SuktO= avaBAsya tvena aDyastatva uktiH iti vAcyam, anyaTA AKyAti prasaFgAt ityata
   āha smṛtirūpa iti /	Aha smRti rUpaH iti /
   smaryate iti smṛtiḥ satyarajatādiḥ tasya rūpamiva rūpamasyeti smṛtirūpaḥ /	smaryate iti smRtiH satya rajata AdiH tasya rUpam iva rUpam asya iti smRti rUpaH /
   smaryamāṇasadṛśa ityarthaḥ /	smaryamANa sadRSaH iti arTaH /
   sādṛśoktyā smaryamāṇādāropyasya bhedāt, nānyathākhyātirityuktaṃ bhavati /	sAdRSoktyA smaryamANAt Aropyasya BedAt, na anyaTA KyAtiH iti uktam Bavati /
   sādṛśamupapādayati pūrvadṛṣṭeti /	sAdRSam upapAdayati  pUrva dRzwA iti /
   dṛṣṭaṃ darśanaṃ, saṃskāradvārā pūrvadarśanādavabhāsyata iti	dRzwam darSanan, saMskAra dvArA pUrva darSanAt avaBAsyate iti
   pūrvadṛṣaṭāvabhāsaḥ /	pUrva dRzawa avaBAsaH /
   tena saṃskārajanyajñānaviṣayatvaṃ smaryamāṇāropyayoḥ sādṛśyamuktaṃ	tena saMskAra janya jQAna vizaya tvam smaryamANa AropyayoH sAdRSya m uktam
   bhavati, smṛtyāropayoḥ saṃskārajanyatvāt /	Bavati, smRti AropayoH saMskAra janya tvAt /
   na ca saṃskārajanyatvādāropasya smṛtitvāpattiriti vācyam,	na ca saMskAra janya tvAt Aropasya smRti tva ApattiH iti vAcyam,
   doṣasaṃprayogajanyatvasyāpi vivakṣitatvena saṃskāramātrajanyatvābhāvāt /	doza saMprayoga janya tvasya api vivakzita tvena saMskAra mAtra janya tva aBAvAt /
   atra saṃyogaśabdena adhiṣṭhānasāmānyajñānamucyate, ahaṅkārādhyāse	atra saMyoga Sabdena aDizWAna sAmAnya jQAnam ucyate, ahaFkAra aDyAse
   indriyasaṃprayogālābhāt /	indriya saMprayoga alABAt /
   evaṃ ca doṣasaṃprayogasaṃskārabalācchuktyādau rajatamutapannamastīti	evam ca doza saMprayoga saMskAra balAt Sukti AdO rajatam utapannam asti iti
   paratrāvabhāsyatvalakṣamamupapannamiti	paratra avaBAsya tva lakzamam upapannam iti
   smṛtirūpapūrvadṛṣṭapadābhyāmupapādim /	smRti rUpa pUrva dRzwa padAByAm upapAdim /
   anye tu tābhyāṃ doṣāditrayajanyatvaṃ kāryādhyāsalakṣaṇamuktamityāhuḥ /	anye tu tAByAm doza Adi traya janya tvam kArya aDyAsa lakzaNa m uktam iti AhuH /
   apare tu smṛtirūpaḥ smaryamāṇasadṛśaḥ, sādṛsyaṃ ca	apare tu smRti rUpaH smaryamANa sadRSaH, sAdRsyam ca
   pramāmājanyajñānaviṣayatvaṃ smṛtyāropayoḥ pramāṇājanyatvāt /	pramAmA janya jQAna vizaya tvam smRti AropayoH pramANa ajanya tvAt /
   pūrvadṛṣṭapadatajjātīyaparaṃ, abhinavarajatādehe pūrvadṛṣṭatvābhāvāt /	pUrva dRzwa pada tajjAtIya paran, aBinava rajatA dehe pUrva dRzwa tva aBAvAt /
   tathā ca pramāṇājanyajñānaviṣayatve sati pūrvadṛṣṭajātīyatvaṃ	taTA ca pramANa ajanya jQAna vizaya tve sati pUrva dRzwa jAtIya tvam
   prātītikādhyāsalakṣaṇaṃ tābhyāmuktam /	prAtItika aDyAsa lakzaNam tAByAm uktam /
   paratrāvabhāsaśabdābhyāmadhyāsamātralakṣaṇaṃ vyākhyātameva /	paratra avaBAsa SabdAByAm aDyAsa mAtra lakzaNam vyAKyAtam eva /
   tatra smaryamāṇagaṅgādau abhinavaghaṭe cātivyāptinirāsāya pramāṇetyādi	tatra smaryamANa gaFgA AdO aBinava Gawe ca ati vyApti nirAsAya pramANa ityAdi
   padadvayamityāhuḥ /	pada dvayam iti AhuH /
   tatrārthādhyāse smaryamāṇasadṛśaḥ paratra pūrvadarśanādavabhāsyata iti	tatra arTa aDyAse smaryamANa sadRSaH paratra pUrva darSanAt avaBAsyate iti
   yojanā /	yojanAH /
   jñānādhyāse tu smṛtisadṛśaḥ paratra pūrvadarśanādavabhāsa iti vākyaṃ	jQAna aDyAse tu smRti sadRSaH paratra pUrva darSanAt avaBAsaH iti vAkyam
   yojanīyamiti saṃkṣepaḥ /	yojanIyam iti saMkzepaH /
   nanu adhyāse vādivipratipatteḥ	nanu aDyAse vAdi vipratipatteH
   kathamuktalakṣaṇasiddhirityāśaṅkyādhiṣṭhānāropyasvarūpavivāde 'pi paratra	kaTam ukta lakzaNa sidDiH iti ASaFkya aDizWAna Aropya svarUpa vivAde api paratra
   parāvabhāsa iti lakṣaṇe saṃvādyuktibhiḥ satyādhiṣṭhāne	para avaBAsaH iti lakzaNe saMvAdyuktiBiH satya aDizWAne
   mithyārthāvabhāsasiddheḥ sarvatantrasiddhānta idaṃ lakṣaṇamiti matvā	miTyA arTa avaBAsa sidDeH sarva tantra sidDAntaH idam lakzaNam iti matvA
   anyathātmakhyātivādinormatamāha taṃ keciditi /	anyaTA Atma KyAti vAdinoH matam Aha tam kecid iti /
   kecidanyathākhyātivādino 'nyatra śuktyādāvanyadharmasya svāvayavadharmasya	kecid anyaTA AKyAti vAdinaH anyatra Sukti AdO= anya Darmasya sva avayava Darmasya
   deśāntarastharūpyāderadhyāsa iti vadanti /	deSa antara sTa rUpya AdeH aDyAse iti vadanti /
   ātmakhyātivādinastu bāhyaśuktyādau buddhirūpātmano dharmasya	Atma KyAti vAdinaH tu bAhya Sukti AdO budDi rUpa AtmanaH Darmasya
   rajatasyādhyāsaḥ, āntarasya rajatasya bahirvadavabhāsa iti vadantītyarthaḥ	rajatasya aDyAsaH, Antarasya rajatasya bahis vat avaBAsaH iti vadanti iti arTaH
   akhyātimatamāha keciditi /	aKyAti mata mAha kecid iti /
   yatra yasyādhyāso lokasiddhastayorarthayostaddhiyośca bhedāgrahe sati	yatra yasya aDyAsaH loka sidDaH tayoH arTayoH tat DiyoH ca Beda agrahe sati
   tanmūlo bhramaḥ, idaṃ rūpyamiti viśiṣṭavyavahāra iti vadantītyarthaḥ /	tad mUlaH BramaH, idam rUpyam iti viSizwa vyavahAraH iti vadanti iti arTaH /
   tairapi viśiṣṭavyavahārānyathānupapattyā viśiṣṭabhrānteḥ svīkāryatvāt,	tEH api viSizwa vyavahArAni aTa anupapattyA viSizwa BrAnteH svIkArya tvAt,
   paratra parāvabhāsasaṃmatiriti bhāvaḥ /	paratra para avaBAsa saMmatiH iti BAvaH /
   śūnyamatamāha anye tviti /	SUnya matamAha anye tu iti /
   tasyaivādhiṣṭhānasya śuktyāderviparītadharmatvakalpanāṃ viparīto viruddho	tasya eva aDizWAnasya Sukti AdeH viparIta Darma tva kalpanAm viparItaH virudDaH 
   dharmo yasya tadbhāvastasya rajatāderatyantāsataḥ kalpanāmācakṣata	DarmaH yasya tad BAvaH tasya rajata AdeH atyanta asataH kalpanAm Acakzata
   ityarthaḥ /	iti arTaH /
   eteṣu mateṣu paratra parāvabhāsatvalakṣaṇasaṃvādamāha sarvathāpi tviti /	etezu matezu paratra para avaBAsa tva lakzaNa saMvAdam Aha  sarvaTA api tu iti /
   anyathākhyātitvādiprakāravivāde 'pyadhyāsaḥ paratra parāvabhāsatvalakṣaṇaṃ	anyaTA AKyAti tva Adi prakAra vivAde api aDyAsaH paratra para avaBAsa tva lakzaNam
   na jahātītyarthaḥ /	na jahAti iti arTaH /
   śuktāvaparokṣasya rajatasya deśāntare buddhau vā sattvāyogāt śūnyatve	SuktO= aparokzasya rajatasya deSa antare budDO vA sattva ayogAt SUnya tve
   pratyakṣatvāyogāt, śuktau satte bādhāyogāt mithyātvameveti bhāvaḥ /	pratyakza tva ayogAt, SuktO satte bADA yogAt miTyAtvam eva iti BAvaH /
   āropyamithyātve na yuktyapekṣā, tasyānubhavasiddhatvādityāha tathā ceti /	Aropya miTyA tve na yukti apekzA, tasya anuBava sidDa tvAt iti Aha  taTA ca iti /
   bādhānantarakālīno 'yamanubhavaḥ, tatpūrvaṃ /	bADa anantara kAlInaH ayam anuBavaH, tad pUrvam /
   śuktikātvajñānāyogāt, rajatasya bādhāpratyakṣasiddhaṃ mithyātvaṃ	SuktikA tva jQAna ayogAt, rajatasya bADA pratyakza sidDam miTyAtvam
   vacchabdenocyate /	vat Sabdena ucyate /
   ātmani nirūpādhike 'haṅkārādhyāse dṛṣṭāntamuktvā	Atmani nirUpa aDike ahaFkAra aDyAse dRzwAntam uktvA
   brahmajīvāvāntarabhedasyāvidyādyupādhikasyādhyāse dṛṣṭāntamāha eka iti /	brahma jIva avAntara Bedasya avidyA Adi upADikasya aDyAse dRzwAnta mAha ekaH iti /
   dvitīyacandrasahitavadeka evāṅgulyā dvidhā bhātītyarthaḥ /	dvitIya candra sahita vat ekaH eva aFgulyA dviDA BAti iti arTaH /
   lakṣaṇaprakaraṇopasaṃhārārtha iti śabdaḥ /	lakzaNa prakaraNa upasaMhAra arTaH iti SabdaH /
   bhavatvadhyāsaḥ śuktyādau, ātmani tu na saṃbhavatītyākṣipati kathaṃ	Bavatu aDyAsaH Sukti AdO, Atmani tu na saMBavati iti Akzi pati  kaTam
   punariti /	punar iti /
   yatrāparokṣādhyāsādhiṣṭhānatvaṃ tatrendriyasaṃyuktatvaṃ viṣayatvaṃ ceti	yatra aparokzA DyAsa aDizWAna tvam tatra indriya saMyukta tvam vizaya tvam ca iti
   vyāptiḥ śuktyādau dṛṣṭā /	vyAptiH Sukti AdO dRzwA /
   tatra vyāpakābhāvādātmano 'dhiṣṭhānatvaṃ na	tatra vyApaka aBAvAt AtmanaH aDizWAna tvam na
   saṃbhavatītyabhipretyāha pratyagātmanīti /	saMBavati iti aBipretya aha  pratyagAtmani iti /
   pratīci pūrṇa indriyāgrāhye viṣayasyāhaṅkārādestaddharmāṇāṃ cādhyāsaḥ	pratIci pUrNaH indriya agrAhye vizayasya ahaFkAra AdeH tad DarmANAm ca aDyAsaH
   kathamityarthaḥ /	kaTam iti arTaH /
   uktavyāptimāha sarvo hīti /	ukta vyApti mAha  sarvaH hi iti /
   purovasthitatvamindriyasaṃyuktatvam /	purovasTita tvam indriya saMyukta tvam /
   nanyātmano 'pyadhiṣṭhānatvārthaṃ viṣayatvādikamastvityata āha yuṣmaditi /	nanya AtmanaH api aDizWAna tva arTam vizaya tva Adikam aH tu iti atas Aha yuzmad iti /
   idaṃpratyayānarhasya pratyagātmano 'na cakṣuṣā gṛhyate'ityādi	idaMpratyayAn arhasya pratyagAtmanaH ana cakzuzA gRhyate aityAdi
   śrutimanusṛtya tvamaviṣayatvaṃ bravīṣi /	Srutim anusRtya tvam avizaya tvam bravIzi /
   saṃpratyāsalobhena viṣayatvāṅgīkāre śrutisiddhāntayorbādhaḥ syādityarthaḥ	saMpratyAsa loBena vizaya tva aFgIkAre Sruti sidDAntayoH bADaH syAt iti arTaH
   ātmanyadhyāsasaṃbhāvanāṃ pratijānīte ucyata iti /	Atmani aDyAsa saMBAvanAm pratijAnIte ucyate iti /
   adhiṣṭhānāropyayorekasmin jñāne bhāsamānatvamātramadhyāsavyāpakaṃ, tacca	aDizWAna AropyayoH ekasmin jQAne BAsamAna tva mAtram aDyAsa vyApakaM, tat ca
   bhānaprayuktasaṃśayanivṛttyādiphalabhāktvaṃ, tadeva bhānabhinnatvaghaṭitaṃ	BAna prayukta saMSaya nivRtti Adi Pala BAj tvaM, tat eva BAna Binna tva Gawitam
   viṣayatvaṃ, tanna vyāpakaṃ, gauravāditi matvāha na tāvaditi /	vizaya tvan, tat na vyApakaM, gOravAt iti matvA aha na tAvat iti /
   ayamātmā niyamenāviṣayo na bhavati /	ayam AtmA niyamena avizayaH na Bavati /
   tatra hetumāha asmaditi /	tatra hetum Aha asmat iti /
   asmapratyayo 'hamityadhyāsastatra bhāsamānatvādityarthaḥ /	asmapratyayaH aham iti aDyAsaH tatra BAsamAna tvAt iti arTaH /
   asmadarthacidātmā pratibimbitatyena yatra pratīyate so 'smatpratyayo	asmad arTa cidAtmA pratibimbitatyena yatra pratIyate saH asmad pratyayo
   'haṅkārastatra bhāsamānatvāditi vārthaḥ /	ahaFkAraH tatra BAsamAna tvAt iti vA arTaH /
   na cādhyāse sati bhāsamānatvaṃ tasminsati sa iti parasparāśraya iti	na ca aDyAse sati BAsamAna tvam tasmin sati saH iti paraspara ASrayaH iti
   vācyam, anāditvāt, pūrvābhyāse bhāsamānātmana	vAcyam, anAdi tva at, pUrva aByAse BAsamAna Atmana
   uttarādhyāsādhiṣṭhānatvasaṃbhavāt //	uttara aDyAsa aDizWAna tva saMBavAt //
   nanvahamityahaṅkāraviṣayakabhānarūpasyātmano bhānamānatvaṃ kathaṃ,	nanu aham iti ahaFkAra vizaya ka BAna rUpasya AtmanaH BAnamAna tvam kaTaM,
   tadviṣayatvaṃ vinā tatphalabhāktvāyogādityata āha aparokṣatvācceti /	tad vizaya tvam vinA tad Pala BAktvA yogAt iti atas Aha a parokza tvAt ca iti /
   caśabdaḥ śaṅkānirāsārthaḥ /	caSabdaH SaFkA nirAsa arTaH /
   svaprakāśatvādityarthaḥ /	sva prakASa tvAt iti arTaH /
   svaprakāśatvaṃ sādhayati pratyagiti /	sva prakASa tvam sADayati  pratyak iti /
   ābālapaṇḍitamātmanaḥ saṃśayādiśūnyatvena prasidhdeḥ	AbAla paNxitam AtmanaH saMSaya Adi SUnya tvena prasiDdeH
   svaprakāśatvamityarthaḥ /	sva prakASa tvam iti arTaH /
   ataḥ svaprakāśatvena bhāsamānatvādātmano 'dhyāsādhiṣṭhānatvaṃ saṃbhavatīti	atas sva prakASa tvena BAsamAna tvAt AtmanaH aDyAsa aDizWAna tvam saMBavati iti
   bhāvaḥ /	BAvaH /
   yaduktamaparokṣādhyāsādhiṣṭhānatvasyendriyasaṃyuktatayā grāhyatvaṃ	yat uktam aparokzA DyAsa aDizWAna tvasya indriya saMyukta tayA grAhya tvam
   vyāpakamiti tatrāha na cāyamiti /	vyApakam iti tatra aha na ca ayam iti /
   tatra hetumāha apratyakṣe 'pīti /	tatra hetum Aha a pratyakze api iti /
   indriyagrāhye 'pītyarthaḥ /	indriya grAhye api iti arTaH /
   bālā avivekinaḥ talamindranīlakaṭāhakalpaṃ nabho malinaṃ	bAlAH avivekinaH talam indranIla kawAha kalpam naBaH malinam
   pitamityevamaparokṣamadhyasyanti, tatrendriyagrāhyatvaṃ nāstīti	pitam iti evam aparokza maDyasyanti, tatra indriya grAhya tvam na asti iti
   vyabhicārānna vyāptiḥ /	vyaBicArAt na vyAptiH /
   etenātmānāmānātmanoḥ sādṛśyābhāvānnādhyāsa ityapāstam,	etena AtmA nAmAna AtmanoH sAdRSya aBAvAt na aDyAse iti apAstam,
   nīlanabhasostadabhāve 'pyadhyāsadarśanāt /	nIla naBasoH tad aBAve api aDyAsa darSanAt /
   siddhānte ālokākāracākṣuṣavṛttyabhivyaktasākṣivedyatvaṃ nabhasi iti jñeyam	sidDAnte Aloka AkAra cAkzuza vRtti aBivyakta sAkzi vedya tvam naBasi iti jQeyam
   saṃbhāvanāṃ nigamayati evamiti /	saMBAvanAm nigamayati  evam iti /
   nanu brahmajñānanāśyatvena sūtritāmavidyāṃ hitvā adhyāsaḥ kimiti varṇyata	nanu brahma jQAna nASya tvena sUtritAm avidyAm hitvA aDyAsaH kim iti varNyata
   ityata āha tametamiti /	iti atas Aha tam etam iti /
   ākṣiptaṃ samāhitamuktalakṣaṇalakṣitamadhyāsamavidyākāryatvādavidyeti	Akziptam samAhita mukta lakzaNa lakzita maDyAsamavidyA kArya tvAt avidyA iti
   manyanta ityarthaḥ /	manyante iti arTaH /
   vidyānivartyatvāccāsyāvidyātvamityāha tadvivekeneti /	vidyA nivartya tvAt ca asya avidyA tvam iti Aha tad vivekena iti /
   adhyastaniṣedhenādhiṣṭhānasvarūpanirdhāraṇaṃ	aDyasta nizeDena aDizWAna svarUpa nirDAraNam
   vidyāmadhyāsanivartikāmāhurityarthaḥ /	vidyAm aDyAsa nivartikAm AhuH iti arTaH /
   tathāpi kāraṇāvidyāṃ tyaktvā kāryāvidyā kimiti varṇyate tatrāha tatreti /	taTA api kAraNa avidyAm tyaktvA kArya avidyA kim iti varNyate tatra Aha tatra iti /
   tasminnadhyāse uktanyāyenāvidyātmake satītyarthaḥ /	tasmin= aDyAse ukta nyAyena avidyA Atmake sati iti arTaH /
   mūlāvidyayāḥ saṣuptāvanarthatvādarśanāt kāryātmanā tasyā	mUla avidyayAH sazuptO= anarTa tva adarSanAt kArya AtmanA tasyAH 
   anarthatvajñāpanārthaṃ tadvarṇanamiti bhāvaḥ /	anarTa tva jQApana arTam tat varNanam iti BAvaH /
   adhyastakṛtaguṇadoṣābhyāmadhiṣṭhānaṃ na lipyata ityakṣarārthaḥ /	aDyasta kRta guNa dozAByAm aDizWAnam na lipyate iti akzara arTaH /
   evamadhyāsasya lakṣaṇasaṃbhāvane uktvā pramāṇamāha tametamiti /	evam aDyAsasya lakzaNa saMBAvane uktvA pramANam Aha tam etam iti /
   taṃ varṇitamevaṃ sākṣipratyakṣasidhyaṃ puraskṛtya hetuṃ kṛtvā laukikaḥ	tam varNitam evam sAkzi pratyakza siDyam puraskRtya hetum kRtvA lOkikaH
   karmaśāstrīyo mokṣaśāstrīyaśceti trividho vyavahāraḥ pravartata ityarthaḥ	karmaSAstrIyaH mokza SAstrIyaH ca iti triviDaH vyavahAraH pravartate iti arTaH
   tatravidhiniṣedhaparāṇi karmaśāstrāṇyṛgvedādīni,	tatra viDi nizeDa parANi karma SAstrANi Rgveda AdIni,
   vidhiniṣedhaśūnyapratyagbrahyaparāṇi mokṣaśāstrāṇi vedāntavākyānīti	viDi nizeDa SUnya pratyak brahya parANi mokza SAstrANi vedAnta vAkyAni iti
   vibhāgaḥ /	viBAgaH /
   evaṃ vyavahārahetutvenādhyāse pratyakṣasiddhe 'pi pramāṇāntaraṃ	evam vyavahAra hetu tvena aDyAse pratyakza sidDe api pramANa antaram
   pṛcchati  kathaṃ punariti /	pRcCati   kaTam punar iti /
   avidyāvānahamityadhyāsavānātmā pramātā sa viṣaya āśrayo yeṣāṃ tāni	avidyAvAn aham iti aDyAsavAn AtmA pramAtA sa vizayaH ASrayaH yezAm tAni
   avidyāvadviṣayāṇīti vigrahaḥ /	avidyAvat vizayANi iti vigrahaH /
   tattatprameyavyavahārahetubhūtāyāḥ pramāyā adhyāsātmakapramātrāśritatvāt	tat tat prameya vyavahAra hetu BUtAyAH pramAyAH aDyAsa Atmaka pramAtra ASrita tvAt
   pramāṇānāmavidyāvadviṣayatvaṃ yadyapi pratyakṣaṃ tathāpi punarapi kathaṃ	pramANAnAm avidyAvat vizaya tvam yadi api pratyakzam taTA api punar api kaTam
   kenapramāṇenāvidyāvadviṣayatvamiti yojanā /	kena pramANena avidyAvat vizaya tvam iti yojanAH /
   yadvāvidvāvatadviṣayāṇi kathaṃ pramāṇāni syuḥ,	yat vA avidvAvatad vizayANi kaTam pramANAni syuH,
   āśrayadoṣādaprāmāṇyāpatterityākṣepaḥ /	ASraya dozAt aprAmANya ApatteH iti AkzepaH /
   tatra pramāṇapraśne vyavahārārthāpattiṃ, talliṅgānumānaṃ	tatra pramANa praSne vyavahAra arTApattiM, tad liFga anumAnam
   cāha ucyateityādinātasmātityantena /	ca aha ucyateiti AdinA AtasmAt ityantena /
   devadattakartṛko vyavahāraḥ, tadīyadehādiṣvahaṃmamādhyāsamūlaḥ	devadatta kartRkaH vyavahAraH, tadIya deha Adizu ahaMmam ADyAsa mUlaH
   tadanvayavyatirekānusāritvāt yaditthaṃ tattathā, yathā mṛnmūlo ghaṭa iti	tad anvaya vyatireka anusAri tvAt yat itTam tat taTA, yaTA mRd mUlaH GawaH iti
   prayogaḥ /	prayogaH /
   tatra vyatirekaṃ darśayati deheti /	tatra vyatirekam darSayati deha iti /
   devadattasya suṣuptāvadhyāsābhāve vyavahārābhāvo dṛṣṭaḥ,	devadattasya suzuptO= aDyAsa aBAve vyavahAra aBAvaH dRzwaH,
   cāgratsvapnayoradhyāse sati vyavahāra ityanvayaḥ sphuṭatvānnoktaḥ /	ca agrat svapnayoH aDyAse sati vyavahAraH iti anvayaH sPuwa tvAt na uktaH /
   anena liṅgena kāraṇatayādhyāsaḥ sidhyati vyavahārarūpakāryānupapatyā veti	anena liFgena kAraNa tayA aDyAsaH siDyati vyavahAra rUpa kArya anupapatyA vA iti
   bhāvaḥ /	BAvaH /
   nanu manuṣyatvādijātimati dehe 'hamityābhimānamātrādvyavahāraḥ sidhyatu	nanu manuzya tva Adi jAtimati dehe aham itya aBimAna mAtrAt vyavahAraH siDyatu
   kimindriyādiṣu mamābhimānenetyāśaṅkyāha nahīti /	kim indriya Adizu mama aBimAnena iti ASaFkya Aha nahi iti /
   indriyapadaṃ liṅgāderapyupalakṣaṇaṃ, pratyakṣādītyādipadaprayogāt /	indriya padam liFga AdeH api upalakzaNan, pratyakza Adi iti Adi pada prayogAt /
   tathā ca pratyakṣaliṅgādiprayukto yo vyavahāro draṣṭā anumātā	taTA ca pratyakza liFga Adi prayuktaH yaH vyavahAraH drazwA anumAtA
   śrotāhamityādirūpaḥ sa indriyādīni mamatāspadānyagṛhītvā na	SrotAham iti Adi rUpaH saH indriya AdIni mamatA AspadAni agRhItvA na
   saṃbhavatītyarthaḥ /	saMBavati iti arTaH /
   yadvā tāni mamatvenānupādāyayo vyavahāraḥ sa neti yojanā /	yat vA tAni mamatvena anupAdAyayaH vyavahAraH sa na iti yojanA /
   pūrvatrānupādānāsaṃbhavakriyayoreko vyavahāraḥ kartā iti ktvāpratyayaḥ	pUrvatra anupAdAna asaMBava kriyayoH ekaH vyavahAraH kartA iti ktvA apratyayaH
   sādhuḥ /	sADuH /
   uttaratrānupādānavyavahārayorekātmakartṛkatvāt, tatsādhutvamiti bhedaḥ /	uttaratra anupAdAna vyavahArayoH eka Atma kartRka tvAt, tad sADu tvam iti BedaH /
   indriyādiṣu mametyadhyāsabhāve 'ndhāderiva draṣṭṛtvādivyavahāro na syāditi	indriya Adizu mama iti aDyAsa BAve anDa AdeH iva drazwR tva Adi vyavahAraH na syAt iti
   bhāvaḥ /	BAvaH /
   indriyādhyāsenaiva vyavahārādalaṃ dehādhyāsenetyata āha na ceti /	indriya aDyAsena eva vyavahArAt alam deha aDyAsena iti atas Aha na ca iti /
   indriyāṇāmadhiṣṭhānaṃ āśrayaḥ /	indriyANAm aDizWAnam ASrayaH /
   śarīramityarthaḥ /	SarIram iti arTaH /
   nanvastvātmanā saṃyuktaṃ śarīraṃ teṣāmāśrayaḥ kimadhyāsenetyatrāha na	nanu astu AtmanA saMyuktam SarIram tezAm ASrayaH kim aDyAsena iti atra aha na
   cānadhyastātmabhāveneti /	ca anaDyasta Atma BAvena iti /
