   Abhidharmakośabhāṣyam	ABiDarma-koSa-BAzyam
   nāmakāyādayaśceti prāptirlābhaḥ samanvayaḥ /	nAmakAya-AdayaH-ca-iti prAptiH-lABaH samanvayaH /
   prāptyaprāptī svasaṃtāna patitānāṃ nirodhayoḥ // VAkK_2.36 //	prApti-aprAptI sva-saMtAna patitAnAm niroDayoH // VAkK_2.36 //
   traiyadhvikānāṃ trividhā śubhādīnāṃ śubhādikā /	trEyaDvikAnAm triviDA SuBa-AdInAm SuBa-AdikAH /
   svadhātukā tadāptānāṃ anāptānāṃ caturvidhā // VAkK_2.37 //	sva-DAtukA tad-A-AptAnAm anAptAnAm caturviDAH // VAkK_2.37 //
   tridhā naśaikṣāśaikṣāṇāṃ aheyānāṃ dvidhā matā /	triDA na-SEkzA-SEkzANAm aheyAnAm dviDA matA /
   avyākṛtāptiḥ sahajā abhijñānairmāṇikādṛte // VAkK_2.38 //	avyAkRta-AptiH sahajAH aBijQAnEH-mANikAt-Rte // VAkK_2.38 //
   nivṛtasya ca rūpasya kāme rūpasya nāgrajā /	nivRtasya ca rUpasya kAme rUpasya na-agrajA /
   akliṣṭāvyākṛtāprāptiḥ sātītājātayostridhā // VAkK_2.39 //	aklizwa-avyAkRta-aprAptiH sa-atIta-ajAtayoH-triDA // VAkK_2.39 //
   kāmādyāptāmalānāṃ ca mārgasyāprāptiriṣyate /	kAma-Adi-Apta-amalAnAm ca mArgasya-aprAptiH-izyate /
   pṛthagjanatvam tatprāptibhūsaṃcārād vihīyate // VAkK_2.40 //	pRTagjana-tvam tad-prApti-BU-saMcArAt vihIyate // VAkK_2.40 //
   sabhāgatā sattvasāmyaṃ āsaṃjñikamasaṃjñiṣu /	saBA-gatA sattva-sAmyam AsaMjQikam-asaMjQizu /
   nirodhaścittacaittānāṃ vipākaḥ te bṛhatphalāḥ // VAkK_2.41 //	niroDaH-citta-cEttAnAm vipAkaH te bRhat-PalAH // VAkK_2.41 //
   tathāsaṃjñisamāpattiḥ dhyāne 'ntye niḥsṛtīcchayā /	taTA-asaMjQi-samApattiH DyAne antye niHsRti-icCayA /
   śubhā upapadyavedyaiva nāryasya ekādhvikāpyate // VAkK_2.42 //	SuBA upapadya-vedyA-eva nAryasya ekADvikApyate // VAkK_2.42 //
   nirodhākhyā tathaiveyaṃ vihārārthaṃ bhavāgrajā /	niroDa-AKyA taTA-eva-iyam vihAra-arTam Bava-agrajA /
   śubhā dvivedyāniyatā ca āryasya āpyā prayogataḥ // VAkK_2.43 //	SuBA dvi-vedya-aniyatA ca Aryasya ApyA prayogataH // VAkK_2.43 //
   bodhilabhyā muneḥ na prāk catustriṃśatkṣaṇāptitaḥ /	boDilaByAH muneH na prAk catustriMSat-kzaNa-AptitaH /
   kāmarūpāśraye bhūte nirodhākhyādito nṛṣu // VAkK_2.44 //	kAmarUpa-ASraye BUte niroDa-AKyAditaH nRzu // VAkK_2.44 //
   āyurjīvitam ādhāra ūṣmavijñāyorhi yaḥ /	AyuH-jIvitam ADAraH Uzma-vijQAyoH-hi yaH /
   lakṣaṇāni punarjātirjarā sthitiranityatā // VAkK_2.45 //	lakzaNAni punar-jAtiH-jarA sTitiH-anitya-tA // VAkK_2.45 //
   jātijātyādayasteṣāṃ te 'ṣṭadharmaikavṛttayaḥ /	jAti-jAti-AdayaH-tezAm te azwa-Darma-eka-vRttayaH /
   janyasya janikā jātirna hetupratyayairvinā // VAkK_2.46 //	janyasya janikA jAtiH-na hetu-pratyayEH-vinA // VAkK_2.46 //
   nāmakāyādayaḥ saṃjñāvākyākṣarasamuktayaḥ /	nAmakAya-AdayaH saMjQA-vAkya-akzara-samuktayaH /
   kāmarūpāptasattvākhyā niḥṣyandāvyākṛtāḥ tathā // VAkK_2.47 //	kAmarUpa-Apta-sattva-AKyAH niHzyanda-avyAkRtAH taTA // VAkK_2.47 //
   sabhāgatā sā tu punarvipāko 'pi āptayo dvidhā /	saBA-gatA sA tu punar-vipAkaH api AptayaH dviDA /
   lakṣaṇāni ca niḥṣyandāḥ samāpattya samanvayāḥ // VAkK_2.48 //	lakzaNAni ca niHzyandAH samApattya samanvayAH // VAkK_2.48 //
   kāraṇaṃ sahabhūścaiva sabhāgaḥ saṃprayuktakaḥ /	kAraNam sahaBUH-ca-eva sa-BAgaH saMprayuktakaH /
   sarvatrago vipākākhyaḥ ṣaḍvidho heturiṣyate // VAkK_2.49 //	sarvatragaH vipAka-AKyaH zaxviDaH hetuH-izyate // VAkK_2.49 //
   svato 'nye kāraṇaṃ hetuḥ sahabhūrye mithaḥphalāḥ /	svatas anye kAraNam hetuH saha-BUH-ye miTas-PalAH /
   bhūtavaccittacittānuvartilakṣaṇalakṣyavat // VAkK_2.50 //	BUta-vat-citta-citta-anuvarti-lakzaNa-lakzya-vat // VAkK_2.50 //
   caittā dvau saṃvarau teṣāṃ cetaso lakṣaṇāni ca /	cEttAH dvO saMvarO tezAm cetasaH lakzaNAni ca /
   cittānuvarttinaḥ kālaphalādiśubhatādibhiḥ // VAkK_2.51 //	citta-anuvarttinaH kAla-Pala-Adi-SuBa-tA-AdiBiH // VAkK_2.51 //
   sabhāgahetuḥ sadṛśāḥ svanikāyabhuvaḥ agrajāḥ /	sa-BAga-hetuH sadRSAH sva-nikAya-BuvaH agrajAH /
   anyo 'nyaṃ navabhūmistu mārgaḥ samaviśiṣṭayoḥ // VAkK_2.52 //	anyaH anyam nava-BUmiH-tu mArgaH sama-viSizwayoH // VAkK_2.52 //
   prayogajāstayoreva śrutacintāmayādikāḥ /	prayoga-jAH-tayoH-eva Sruta-cintA-Amaya-AdikAH /
   saṃprayuktakahetustu cittacaittāḥ samāśrayāḥ // VAkK_2.53 //	saMprayuktaka-hetuH-tu citta-cEttAH samASrayAH // VAkK_2.53 //
   sarvatragākhyaḥ kliṣṭānāṃ svabhūmau pūrvasarvagāḥ /	sarvatragAKyaH klizwAnAm sva-BUmO pUrva-sarvagAH /
   vipākaheturaśubhāḥ kuśalāścaiva sāsravāḥ // VAkK_2.54 //	vipAka-hetuH-aSuBAH kuSalAH-ca-eva sa-AsravAH // VAkK_2.54 //
   sarvatragaḥ sabhāgaśca dvayadhvagau tryadhvagāstrayaḥ /	sarvatragaH sa-BAgaH-ca dvayaDvagO tri-aDva-gAH-trayaH /
   saṃskṛtaṃ savisaṃyoga phalaṃ nāsaṃskṛtasya te // VAkK_2.55 //	saMskRtam sa-visaMyoga Palam na-asaMskRtasya te // VAkK_2.55 //
   vipākaphalamantyasya pūrvasyādhipataṃ phalam /	vipAka-Palam-antyasya pUrvasya-aDipatam Palam /
   sabhāga sarvatragayorniṣyandaḥ pauruṣaṃ dvayoḥ // VAkK_2.56 //	saBAga sarvatragayoH-nizyandaH pOruzam dvayoH // VAkK_2.56 //
   vipāko 'vyākṛto dharmaḥ sattvākhyaḥ vyākṛtodbhavaḥ /	vipAkaH avyAkRtaH DarmaH sattva-AKyaH vyAkRta-udBavaH /
   niḥṣyando hetusadṛśaḥ visaṃyogaḥ kṣayo dhiyā // VAkK_2.57 //	niHzyandaH hetu-sadRSaH visaMyogaH kzayaH DiyA // VAkK_2.57 //
   yadvalājjāyate yattatphalaṃ puruṣakārajam /	yad-valAt-jAyate yat-tat-Palam puruzakAra-jam /
   apūrvaḥ saṃskṛtasyaiva saṃskṛto 'dhipateḥ phalam // VAkK_2.58 //	apUrvaH saMskRtasya-eva saMskRtaH aDipateH Palam // VAkK_2.58 //
   varttamānāḥ phalaṃ pañca gṛṇhanti dvau prayacchataḥ /	varttamAnAH Palam paQca gRNhanti dvO prayacCataH /
   varttamānābhyatītau dvau eko 'tītaḥ prayacchati // VAkK_2.59 //	varttamAna-aByatItO dvO ekaH atItaH prayacCati // VAkK_2.59 //
   kliṣṭā vipākajāḥ śeṣāḥ prathamāryā yathākramam /	klizwAH vipAka-jAH SezAH praTama-AryAH yaTAkramam /
   vipākaṃ sarvagaṃ hitvā tau sabhāgaṃ ca śeṣajāḥ // VAkK_2.60 //	vipAkam sarvagam hitvA tO sa-BAgam ca Seza-jAH // VAkK_2.60 //
   cittacaitāḥ tathānye 'pi saṃprayuktakavarjitāḥ /	citta-cEtAH taTA-anye api saMprayuktaka-varjitAH /
   catvāraḥ pratyayā uktāḥ hetvākhyaḥ pañca hetavaḥ // VAkK_2.61 //	catvAraH pratyayAH uktAH hetu-AKyaH paQca hetavaH // VAkK_2.61 //
   cittacaittā acaramā utpannāḥ samanantaraḥ /	citta-cEttAH acaramAH utpannAH samanantaraH /
   ālambanaṃ sarvadharmāḥ kāraṇākhyo 'dhipaḥ smṛtaḥ // VAkK_2.62 //	Alambanam sarva-DarmAH kAraNa-AKyaH aDipaH smRtaH // VAkK_2.62 //
   nirudhyamāne kāritraṃ dvau hetū kurutaḥ trayaḥ /	niruDyamAne kAritram dvO hetU kurutaH trayaH /
   jāyamāne tato 'nyau tu pratyayau tadviparyayāt // VAkK_2.63 //	jAyamAne tatas anyO tu pratyayO tad-viparyayAt // VAkK_2.63 //
   caturbhiścattacaittā hi samāpattidvayaṃ tribhiḥ /	caturBiH-catta-cEttAH hi samApatti-dvayam triBiH /
   dvābhyāmanye tu jāyante neśvarādeḥ kramādibhiḥ // VAkK_2.64 //	dvAByAm-anye tu jAyante na-ISvara-AdeH krama-AdiBiH // VAkK_2.64 //
   dvidhā bhūtāni taddhetuḥ bhautikasya tu pañcadhā /	dviDA BUtAni tad-hetuH BOtikasya tu paQcaDA /
   tridhā bhautikamanyonyaṃ bhūtānāmekadhaiva tat // VAkK_2.65 //	triDA BOtikam-anyonyam BUtAnAm-ekaDA-eva tat // VAkK_2.65 //
   kuśalākuśalaṃ kāme nivṛtānivṛtaṃ manaḥ /	kuSala-akuSalam kAme nivRta-anivRtam manaH /
   rūpārūpyeṣvakuśalādanyatra anāsravaṃ dvidhā // VAkK_2.66 //	rUpArUpyezu-akuSalAt-anyatra anAsravam dviDA // VAkK_2.66 //
   kāme nava śubhāccittāccittāni aṣṭābhya eva tat /	kAme nava SuBAt-cittAt-cittAni azwAByaH eva tat /
   daśabhyo 'kuśalaṃ tasmāccatvāri nivṛtaṃ tathā // VAkK_2.67 //	daSaByaH akuSalam tasmAt-catvAri nivRtam taTA // VAkK_2.67 //
   pañcabhyo 'nivṛtaṃ tasmātsapta cittānyanantaram /	paQcaByaH anivRtam tasmAt-sapta cittAni-anantaram /
   rūpe daśaikaṃ ca śubhāt navabhyastadanantaram // VAkK_2.68 //	rUpe daSa-ekam ca SuBAt navaByaH-tad-anantaram // VAkK_2.68 //
   aṣṭābhyo nivṛtaṃ tasmāt ṣaṭ tribhyo 'nivṛtaṃ punaḥ /	azwAByaH nivRtam tasmAt zaw triByaH anivRtam punar /
   tasmāt ṣaṭ evāmārūpye tasya nītiḥ śubhātpunaḥ // VAkK_2.69 //	tasmAt zaw eva-Am-ArUpye tasya nItiH SuBAt-punar // VAkK_2.69 //
   nava cittāni tat ṣaṇṇāṃ nivṛtātsapta tattathā /	nava cittAni tat zaNNAm nivRtAt-sapta tat-taTA /
   caturbhyaḥ śaikṣam asmāttu pañca aśaikṣaṃ tu pañcakāt // VAkK_2.70 //	caturByaH SEkzam asmAt-tu paQca aSEkzam tu paQcakAt // VAkK_2.70 //
   tasmāccatvāri cittāni dvādaśaitāni viṃśatiḥ /	tasmAt-catvAri cittAni dvAdaSa-etAni viMSatiH /
   prāyogikopapattyāptaṃ śubhaṃ bhittvā triṣu dvidhā // VAkK_2.71 //	prAyogikA-upapatti-Aptam SuBam BittvA trizu dviDA // VAkK_2.71 //
   vipākajairyāpathikaśailpasthānikanairmitam /	vipAka-jEryApaTika-SElpa-sTAnika-nEH-mitam /
   caturdhāvyākṛtaṃ kāme rūpe śilpavivarjitam // VAkK_2.72 //	caturDA-avyA-akRtam kAme rUpe Silpa-vivarjitam // VAkK_2.72 //
   kliṣṭe traidhātuke lābhaḥ ṣaṇṇāṃ ṣaṇṇāṃ dvayoḥ śubhe /	klizwe trEDAtuke lABaH zaNNAm zaNNAm dvayoH SuBe /
   trayāṇāṃ rūpaje śaikṣe caturṇāṃ tasya śeṣite // VAkK_2.73 //	trayANAm rUpa-je SEkze caturNAm tasya Sezite // VAkK_2.73 //
   abhidharmakośe indriyanirddeśo nāma dvitīyaṃ kośasthānaṃ samāptamiti /	aBiDarmakoSe indriyanirddeSaH nAma dvitIyam koSa-sTAnam samAptam-iti /
   śrīlāmāvākasya	SrI-lAmAvAkasya
   tṛtīyaṃ kośasthānam	tRtIyam koSa-sTAnam
   oṃ namo buddhāya /	om namaH budDAya /
   narakapretatiryañco manuṣyāḥ ṣaḍ divaukasaḥ /	naraka-preta-tiryaQcaH manuzyAH zaw divOkasaH /
   kāmadhātuḥ sa narakadvīpabhedena viṃśatiḥ // VAkK_3.1 //	kAmaDAtuH sa naraka-dvIpa-Bedena viMSatiH // VAkK_3.1 //
   ūrdhvaṃ saptadaśasthāno rūpadhātuḥ pṛthak pṛthak /	UrDvam saptadaSa-sTAnaH rUpa-DAtuH pRTak pRTak /
   dhyānaṃ tribhūmikaṃ tatra caturthaṃ tvaṣṭabhūmikam // VAkK_3.2 //	DyAnam tri-BUmikam tatra caturTam tu-azwa-BUmikam // VAkK_3.2 //
   ārūpyadhāturasthānaḥ upapattyā caturvidhaḥ /	ArUpya-DA-AtuH-a-sTAnaH upapattyA caturviDaH /
   nikāyaṃ jīvitaṃ cātra niśritā cittasantatiḥ // VAkK_3.3 //	nikAyam jIvitam ca-atra niSritA citta-santatiH // VAkK_3.3 //
   narakādisvanāmoktā gatayaḥ pañca teṣu tāḥ /	naraka-Adi-sva-nAma-uktAH gatayaH paQca tezu tAH /
   akliṣṭāvyākṛtā eva sattvākhyā nāntarābhavaḥ // VAkK_3.4 //	aklizwa-avyAkRtAH eva sattva-AKyA na-antarABavaH // VAkK_3.4 //
   nānātvakāyasaṃjñāśca nānākāyaikasaṃjñinaḥ /	nAnAtva-kAya-saMjQAH-ca nAnA-kAya-eka-saMjQinaH /
   viparyayāccaikakāyasaṃjñāścārūpiṇasrayaḥ // VAkK_3.5 //	viparyayAt-ca-eka-kAya-saMjQAH-ca-arUpiNa-srayaH // VAkK_3.5 //
   vijñānasthitayaḥ sapta śeṣaṃ tatparibhedavat /	vijQAna-sTitayaH sapta Sezam tad-pariBeda-vat /
   bhavāgrāsaṃjñisattvāśca sattvāvāsā nava smṛtāḥ // VAkK_3.6 //	Bava-agrA-saMjQi-sattvAH-ca sattva-AvAsAH nava smRtAH // VAkK_3.6 //
   anicchāvasanānnānye catasraḥ sthitayaḥ punaḥ /	anicCA-vasanAt-na-anye catasraH sTitayaH punar /
   catvāraḥ sāsravāḥ skandhāḥ svabhūmāveva kevalam // VAkK_3.7 //	catvAraH sa-AsravAH skanDAH sva-BUmO=-eva kevalam // VAkK_3.7 //
   vijñānaṃ na sthitiḥ proktaṃ catuṣkoṭi tu saṃgrahe /	vijQAnam na sTitiH proktam catuzkowi tu saMgrahe /
   catasro yonayastatra sattvānāmaṇḍajādayaḥ // VAkK_3.8 //	catasraH yonayaH-tatra sattva-anAm-aNxaja-AdayaH // VAkK_3.8 //
   caturdhā nara tiryañcaḥ nārakā upapādukāḥ /	caturDA nara tiryaQcaH nArakAH upapAdukAH /
   antarābhavadevāśca pretā api jarāyujāḥ // VAkK_3.9 //	antarA-aBava-devAH-ca pretAH api jarAyu-jAH // VAkK_3.9 //
   mṛtyupapattibhavayorantarā bhavatīha yaḥ /	mRtyupapatti-BavayoH-antarA Bavati-iha yaH /
   gamyadeśānupetatvānnopapanno 'ntarābhavaḥ // VAkK_3.10 //	gamya-deSa-an-upeta-tvAt-na-upapannaH antarABavaH // VAkK_3.10 //
   vrīhisantānasādharmyādavicchinnabhavodbhavaḥ /	vrIhi-santAna-sADarmyAt-avicCinna-Bava-udBavaH /
   pratibimbamasiddhatvādasāmyāccānidarśanam // VAkK_3.11 //	pratibimbam-asidDa-tvAt-asAmyAt-ca-anidarSanam // VAkK_3.11 //
   sahaikatra dvayābhāvāt asantānād dvayodayāt /	saha-ekatra dvaya-aBAvAt asantAnAt dvaya-udayAt /
   kaṇṭhokteścāsti gandharvāt pañcokteḥ gatisūtrataḥ // VAkK_3.12 //	kaNWa-ukteH-ca-asti ganDarvAt paQca-ukteH gati-sUtrataH // VAkK_3.12 //
   ekākṣepādasāvaiṣyatpūrvakālabhavākṛtiḥ /	eka-AkzepAt-asA-avEzyat-pUrva-kAla-Bava-AkRtiH /
   sa punarmaraṇātpūrva upapattikṣaṇātparaḥ // VAkK_3.13 //	sa punar-maraNAt-pUrvaH upapatti-kzaNAt-paraH // VAkK_3.13 //
   sajātiśuddhadivyākṣidṛśyaḥ karmarddhivegavān /	sa-jAti-SudDa-divya-akzidRSyaH karma-RdDi-vegavAn /
   sakalākṣaḥ apratighavān anivartyaḥ sa gandhabhuk // VAkK_3.14 //	sakala-akzaH apratiGavAn anivartyaH sa ganDa-Buj // VAkK_3.14 //
   viparyastamatiryāti gatideśaṃ riraṃsayā /	viparyastam-atiH-yAti gati-deSam riraMsayA /
   gandhasthānābhikāmo 'nyaḥ ūrdhvapādastu nārakaḥ // VAkK_3.15 //	ganDa-sTAna-aBikAmaH anyaH UrDvapAdaH-tu nArakaH // VAkK_3.15 //
   saṃprajānan viśatyekaḥ tiṣṭhatyapyaparaḥ aparaḥ /	saMprajAnan viSati-ekaH tizWati-api-aparaH aparaH /
   niṣkrāmatyapi sarvāṇi mūḍho 'nyaḥ nityamaṇḍajaḥ // VAkK_3.16 //	nizkrAmati-api sarvANi mUXaH anyaH nitya-m-aNxajaH // VAkK_3.16 //
   garbhāvakrāntayastisraścakravarttisvayaṃbhuvām /	garBAvakrAntayaH-tisraH-cakravartti-svayaMBuvAm /
   karmajñānobhayeṣāṃ vā viśadatvād yathākramam // VAkK_3.17 //	karma-jQAna-uBayezAm vA viSada-tvAt yaTAkramam // VAkK_3.17 //
   nātmāsti skandhamātraṃ tu kleśakarmābhisaṃskṛtam /	na-AtmA-asti skanDa-mAtram tu kleSa-karma-aBisaMskRtam /
   antarābhavasaṃtatyā kukṣimeti pradīpavat // VAkK_3.18 //	antarA-aBava-saMtatyA kukzim-eti pradIpa-vat // VAkK_3.18 //
   yathākṣepaṃ kramādvṛddhaḥ santānaḥ kleśakarmabhiḥ /	yaTAkzepam kramAt-vRdDaH santAnaH kleSa-karmaBiH /
   paralokaṃ punaryāti ityanādibhavacakrakam // VAkK_3.19 //	para-lokam punar-yAti iti-anAdi-Bava-cakrakam // VAkK_3.19 //
   sa pratītyasamutpādo dvādaśāṅgastrikāṇḍakaḥ /	sa pratItyasamutpAdaH dvAdaSa-aFgaH-trikANxakaH /
   pūrvāparāntayordve dve madhye 'ṣṭau paripūriṇaḥ // VAkK_3.20 //	pUrva-apara-antayoH-dve dve maDye azwO paripUriNaH // VAkK_3.20 //
   pūrvakleśā daśāvidyā saṃskārāḥ pūrvakarmaṇaḥ /	pUrva-kleSAH daSa-avidyA saMskArAH pUrva-karmaNaH /
   saṃdhiskandhāstu vijñānaṃ nāmarūpamataḥ param // VAkK_3.21 //	saMDi-skanDAH-tu vijQAnam nAma-rUpam-atas param // VAkK_3.21 //
   prāk ṣaḍāyatanotpādāt tatpūrvaṃ trikasaṃgamāt /	prAk zaz-Ayatana-utpAdAt tat-pUrvam trika-saMgamAt /
   sparśaḥ prāksukhaduḥkhādikāraṇajñānaśaktitaḥ // VAkK_3.22 //	sparSaH prAk-suKa-duHKa-Adi-kAraNa-jQAna-SaktitaH // VAkK_3.22 //
   vittiḥ prāk maithunāt tṛṣṇā bhogamaithunarāgiṇaḥ /	vittiH prAk mETunAt tRzNAH Boga-mETuna-rAgiNaH /
   upādānaṃ tu bhogānāṃ prāptaye paridhāvataḥ // VAkK_3.23 //	upAdAnam tu BogAnAm prAptaye pariDAvataH // VAkK_3.23 //
   sa bhaviṣyat bhavaphalaṃ kurute karma tat bhavaḥ /	sa Bavizyat Bava-Palam kurute karma tat BavaH /
   pratisaṃdhiḥ punarjātiḥ jarāmaraṇamā vidaḥ // VAkK_3.24 //	pratisaMDiH punar-jAtiH jarA-maraNamAH vidaH // VAkK_3.24 //
   āvasthikaḥ kileṣṭo 'yaṃ prādhānyā ttvaṅgakīrtanam /	AvasTikaH kila-izwaH ayam prADAnyA ttu-aFga-kIrtanam /
   pūrvāparāntamadhyeṣu saṃmohavinivṛttaye // VAkK_3.25 //	pUrva-apara-anta-maDyezu saMmoha-vinivRttaye // VAkK_3.25 //
   kleśāstrīṇi dvayaṃ karma sapta vastu phalaṃ tathā /	kleSAH-trINi dvayam karma sapta vastu Palam taTA /
   phalahetvabhisaṃkṣepo dvayormadhyānumānataḥ // VAkK_3.26 //	Pala-hetu-aBisaMkzepaH dvayoH-maDya-anumAnataH // VAkK_3.26 //
   kleśāt kleśaḥ kriyā caiva tato vastu tataḥ punaḥ /	kleSAt kleSaH kriyA ca-eva tatas vastu tatas punar /
   vastu kleśāśca jāyante bhavāṅgānāmayaṃ nayaḥ // VAkK_3.27 //	vastu kleSAH-ca jAyante Bava-aFgAn-Am-ayam nayaH // VAkK_3.27 //
   heturatra samutpādaḥ samutpannaḥ phalaṃ matam /	hetuH-atra samutpAdaH samutpannaH Palam matam /
   vidyāvipakṣo dharmo 'nyo 'vidyāmitrānṛtādivat // VAkK_3.28 //	vidyA-vipakzaH DarmaH anyaH avidyA-mitra-anRta-Adi-vat // VAkK_3.28 //
   saṃyojanādivacanāt kuprajñā cenna darśanāt /	saMyojana-Adi-vacanAt kuprajQA ced-na darSanAt /
   dṛṣṭestatsaṃprayuktatvāt prajñopakleśadeśanāt // VAkK_3.29 //	dRzweH-tad-saMprayukta-tvAt prajQA-upakleSa-deSanAt // VAkK_3.29 //
   nāma tvarūpiṇaḥ skandhāḥ sparśāḥ ṣaṭ saṃnipātajāḥ /	nAma tu-arUpiNaH skanDAH sparSAH zaw saMnipAta-jAH /
   pañcapratighasaṃsparśaḥ ṣaṣṭho 'dhivacanāvhaya // VAkK_3.30 //	paQca-pratiGa-saMsparSaH zazWaH aDivacana-avhaya // VAkK_3.30 //
   vidyāvidyetarasparśāḥ amalakliṣṭaśeṣitāḥ /	vidyA-vidyA-itara-sparSAH amala-klizwa-SezitAH /
   vyāpādānunayasparśau sukhavedyādayastrayaḥ // VAkK_3.31 //	vyApAda-anunaya-sparSO suKa-vedya-AdayaH-trayaH // VAkK_3.31 //
   tajjāḥ ṣaḍvedanāḥ pañca kāyikī caitasī parā /	tad-jAH zaz-vedanAH paQca kAyikI cEtasI parA /
   punaścāṣṭādaśavidhā sā manopavicārataḥ // VAkK_3.32 //	punar-ca-azwAdaSaviDA sA mana-upavicArataH // VAkK_3.32 //
   kāme svālambanāḥ sarve rūpī dvādaśagocaraḥ /	kAme sva-AlambanAH sarve rUpI dvAdaSa-gocaraH /
   trayāṇāmuttaraḥ dhyānadvaye dvādaśa kāmagāḥ // VAkK_3.33 //	trayANAm-uttaraH DyAna-dvaye dvAdaSa kAmagAH // VAkK_3.33 //
   svo 'ṣṭālambanam ārūpyo dvayoḥ dhyānadvaye tu ṣaṭ /	svaH azwa-Alambanam ArUpyaH dvayoH DyAna-dvaye tu zaw /
   kāmāḥ ṣaṇṇāṃ caturṇā svaḥ ekasyālambanaṃ paraḥ // VAkK_3.34 //	kAmAH zaNNAm caturNA svar ekasya-Alambanam paraH // VAkK_3.34 //
   catvāro 'rūpisāmante rūpagāḥ eka ūrdhvagaḥ /	catvAraH arUpi-sAmante rUpa-gAH ekaH UrDva-gaH /
   eko maule svaviṣayaḥ sarve 'ṣṭādaśa sāsravāḥ // VAkK_3.35 //	ekaH mOle sva-vizayaH sarve azwAdaSa sa-AsravAH // VAkK_3.35 //
   uktaṃ ca vakṣyate cānyat atra tu kleśā iṣyate /	uktam ca vakzyate ca-anyat atra tu kleSAH izyate /
   bījavannāgavanmūlavṛkṣavattuṣavattathā // VAkK_3.36 //	bIja-vat-nAga-vat-mUla-vRkza-vat-tuza-vat-taTA // VAkK_3.36 //
   tuṣitaṇḍulavat karma tathaivauṣadhi puṣpavat /	tuzitaNxula-vat karma taTA-eva-ozaDi puzpa-vat /
   siddhānnapānavadvastu tasmin bhavacatuṣṭaye // VAkK_3.37 //	sidDa-anna-pAnavat-vastu tasmin Bava-catuzwaye // VAkK_3.37 //
   upapattibhavaḥ kliṣṭaḥ sarvakleśaiḥ svabhūmikaiḥ /	upapatti-BavaH klizwaH sarva-kleSEH sva-BUmikEH /
   tridhānye traya ārūpye āhārasthitikaṃ jagat // VAkK_3.38 //	triDA-anye trayaH ArUpye AhAra-sTitikam jagat // VAkK_3.38 //
   kavaḍīkāra āhāraḥ kāme tryāyatanātmakaḥ /	kavaxIkAraH AhAraH kAme tri-Ayatana-AtmakaH /
   na rūpāyatanaṃ tena svākṣamuktānanugrahāt // VAkK_3.39 //	na rUpa-Ayatanam tena svAkza-muktAn-anugrahAt // VAkK_3.39 //
   sparśaṃcetanāvijñā āhārāḥ sāsravāstriṣu /	sparSaMcetana-avijQAH AhArAH sa-asravAH-trizu /
   manomayaḥ saṃbhavaiṣī gandharvaścāntarābhavaḥ // VAkK_3.40 //	manaH-mayaH saMBava-ezI ganDarvaH-ca-antarABavaH // VAkK_3.40 //
   nirvṛttiśca iha puṣṭyarthamāśrayāśritayordvayam /	nirvRttiH-ca iha puzwi-arTam-ASraya-ASritayoH-dvayam /
   dvayamanyabhavākṣepanivṛttyartha yathākramam // VAkK_3.41 //	dvayam-anya-Bava-Akzepa-nivRtti-arTa yaTAkramam // VAkK_3.41 //
   chedasaṃdhāna vairāgyahānicyutyupapattayaḥ /	Ceda-saMDAna vErAgya-hAni-cyuti-upapattayaH /
   manovijñāna eveṣṭāḥ upekṣāyāṃ cyutodbhavau // VAkK_3.42 //	manaH-vijQAnaH eva-izwAH upekzAyAm cyuta-udBavO // VAkK_3.42 //
   naikāgrācittayoretau nirvātyavyākṛtadvaye /	na-ekAgra-acittayoH-etO nirvAti-avyAkRta-dvaye /
   kramacyutau pādanābhihṛdayeṣu manaścyutiḥ // VAkK_3.43 //	krama-cyutO pAda-nABihRdayezu manaH-cyutiH // VAkK_3.43 //
   adhonṛsuragājānāṃ marmacchedastvabādibhiḥ /	aDas-nR-suragAjAnAm marma=-CedaH-tu-ap-AdiBiH /
   samyaṅ mithyātvaniyatā āryānantaryakāriṇaḥ // VAkK_3.44 //	samyak miTyAtva-niyatAH Arya-Anantarya-kAriNaH // VAkK_3.44 //
   tatra bhājanalokasya saṃniveśamuśantyadhaḥ /	tatra BAjana-lokasya saMniveSa-m-uSanti-aDas /
   lakṣaṣoḍaśakodvedhamasaṃkhyaṃ vāyumaṇḍalam // VAkK_3.45 //	lakza-zoxaSaka-udveDam-asaMKyam vAyu-maNxalam // VAkK_3.45 //
   apāmekādaśodvedhaṃ sahasrāṇi ca viṃśatiḥ /	apAm-ekAdaSa-udveDam sahasrANi ca viMSatiH /
   aṣṭalakṣaucchrayaṃ paścāccheṣaṃ bhavati kāñcanam // VAkK_3.46 //	azwalakza-OcCrayam paScAt-Sezam Bavati kAQcanam // VAkK_3.46 //
   tiryak trīṇi sahasrāṇi sārdhaṃ śatacatuṣṭayam /	tiryak trINi sahasrANi sArDam Sata-catuzwayam /
   lakṣadvādaśakaṃ caiva jalakāñcanamaṇḍalam // VAkK_3.47 //	lakza-dvAdaSakam ca-eva jala-kAQcana-maNxalam // VAkK_3.47 //
   samantatastu triguṇaṃ tatra merūryugandharaḥ /	samantataH-tu triguNam tatra merUryu-ganDaraH /
   īśādhāraḥ khadirakaḥ sudarśanagiristathā // VAkK_3.48 //	ISADAraH KadirakaH sudarSana-giriH-taTA // VAkK_3.48 //
