   Pāramitāsamāsaḥ	PAra mita asamAsaH
   tasmādupakleśaviśuddhabuddhiranuttarāṃ ca svayameti bodhim // Ps_2.16 //	tasmAt upakleSa viSudDa budDiH anuttarAm ca svayam eti boDim // Ps_2.16 //
   kāmeṣu mithyācaraṇānnivṛtto jitendriyatvāt praśamābhirāmaḥ /	kAmezu miTyA AcaraNAt nivRttaH jita indriya tvAt praSama aBirAmaH /
   prāpnoti lokastutibhiḥ samantāt kīrtiṃ diganteṣu vikīryamāṇam // Ps_2.17	prApnoti loka stutiBiH samantAt kIrtim diS antezu vikIryamANam // Ps_2.17
   na cāpi kaṃ citpramadāsu rāgaṃ karoti mātṛriva vīkṣamāṇaḥ /	na ca api kam cit pramadAsu rAgam karoti mAtRH iva vIkzamANaH /
   asmācca puṇyopacayān munīndraḥ saṃjāyate vāraṇavastikoṣaḥ // Ps_2.18 //	asmAt ca puNya upacayAt muni indraH saMjAyate vAraNa vasti kozaH // Ps_2.18 //
   vāco 'nṛtāyāstu nivartamānaḥ prāmodyavāñchāṭhyavimuktacittaḥ /	vAcaH anRtAya astu nivartamAnaH prAmodya vAn SAWya vimukta cittaH /
   ādeyasiddhyā vacanasya sattvān karoti dharmābhimukhān ayatnāt // Ps_2.19	Adeya sidDyA vacanasya sattvAn karoti Darma aBimuKAn ayatnAt // Ps_2.19
   divaukasāṃ ca priyatāṃ yadeti satyapriyaścitramidaṃ na tādṛk /	divOkasAm ca priya tAm yadA iti satya priyaH citram idam na tAdRS /
   devasvabhāvo guṇapakṣapātī pratyakṣiṇastaccariteṣu te ca // Ps_2.20 //	deva svaBAvaH guNa pakzapAtI pratyakziNaH tad caritezu te ca // Ps_2.20 //
   pramāṇabhūto bhavati priyaśca yallaukikānāmidamatra citram /	pramANa BUtaH Bavati priyaH ca yat lOkikAnAm idam atra citram /
   prāyeṇa loko hi guṇairdaridraḥ svenānumānena parānminoti // Ps_2.21 //	prAyeNa lokaH hi guNEH daridraH svena anumAnena parAn minoti // Ps_2.21 //
   tyaktveva nīlotpalinīvanāni viśeṣadarśī kamalāyamāne /	tyaktvA iva nIlotpalinI vanAni viSeza darSI kamalAyamAne /
   tasyānane saṃśrayamabhyupaiti prahlādano gandhavidhirmanojñaḥ // Ps_2.22	tasya Anane saMSrayam aByupEti prahlAdanaH ganDa viDiH manojQaH // Ps_2.22
   bhrājiṣṇunā durgatitārakeṇa jñānena paśyaṃśca samāsamāni /	BrAjizNunA durgati tArakeNa jQAnena paSyan= ca samA samAni /
   sa ātmasākṣī samupaiti lajjāṃ yādṛcchikairapyaśubhairvitarkaiḥ // Ps_2.23	saH Atma sAkzI samupEti lajjAm yAdRcCikEH api aSuBEH vitarkEH // Ps_2.23
   evaṃ sa śuddhaprakṛtiḥ krameṇa na śaṅkyate 'nyairna ca śaṅkate 'nyān /	evam sa SudDa prakRtiH krameNa na SaFkyate anyEH na ca SaFkate anyAn /
   tato 'sya satyābhyanuvartanī vāgarakṣatāṃ yāti tathāgatatve // Ps_2.24 //	tatas asya satya aByanuvartanI vAc arakzatAm yAti taTAgata tve // Ps_2.24 //
   kāyaḥ paropakramaṇairabhedyāḥ parairahāryā parivārasaṃpat /	kAyaH para upakramaNEH aBedyAH parErahAryA parivAra saMpad /
   paiśūnyamuktasya bhavatyabhedyā śraddhā ca dharme pratipattisārā //	pESUnyam uktasya Bavati aBedyA SradDA ca Darme pratipattisArAH //
   Ps_2.25 //	Ps_2.25 //
   maitrīmabhedyāmavisaṃvadantīṃ kṛpāṃ ca lokārthamasaṃtyajantīm /	mEtrIm aBedyAm avisaMvadantIm kRpAm ca loka arTam asaMtyajantIm /
   prāpnoti cābhedyatamān munitve janmāntarasthānapi śiṣyasaṃghān // Ps_2.26	prApnoti ca aBedyatamAn muni tve janma antara sTAn api Sizya saMGAn // Ps_2.26
   krodhasya sainyāgrarajaḥpratānaṃ saṃkalpacaṇḍānilaviprakīrṇam /	kroDasya sEnya agra rajaH pratAnam saMkalpa caNxa anila viprakIrNam /
   yaśovapurdhvaṃsanamityapāsyaṃ maitryambuvāhaiḥ paruṣābhidhānam // Ps_2.27	yaSaH vapuH DvaMsanam iti apAsyam mEtrI ambuvAhEH paruza aBiDAnam // Ps_2.27
   asmānnivṛtto madhurairvacobhirlokasya cetāṃsi vaśīkaroti /	asmAt nivRttaH maDurEH vacoBiH lokasya cetAMsi vaSIkaroti /
   lokasya ca premṇi virūḍhamūle saivāsya vāggrāhyataratvameti // Ps_2.28 //	lokasya ca premNi virUXa mUle sA eva asya vAc grAhyatara tvam eti // Ps_2.28 //
   ataśca lokāñchataśo vinīya teṣāṃ samāvṛtya ca duḥkhamārgam /	atas ca lokAn SataSas vinIya tezAm samAvRtya ca duHKa mArgam /
   na durgatiṃ gacchati puṇyakarmā dharmo hi rakṣeha paratra caiva // Ps_2.29	na durgatim gacCati puNya karmA DarmaH hi rakzA iha paratra ca eva // Ps_2.29
   dūrādapi vyaktapadānunādaḥ śrīmān adūre 'pi sukhasvabhāvaḥ /	dUrAt api vyakta pada anunAdaH SrImAn adUre api suKa svaBAvaH /
   meghasvanodagratarastato 'sya brahmasvaro vaktram alaṃkaroti // Ps_2.30 //	meGa svanot agrataraH tatas asya brahma svaraH vaktram alaMkaroti // Ps_2.30 //
   abaddhavākyādvirataḥ priyatvam ekāntato yāti vicakṣaṇānām /	abadDa vAkyAt virataH priya tvam ekAntataH yAti vicakzaNAnAm /
   satyābhidhāne kramate sabuddhiḥ prāpnoti māhātmyam akṛtrimaṃ ca // Ps_2.31	satya aBiDAne kramate sa budDiH prApnoti mAhAtmyam akRtrimam ca // Ps_2.31
   asmācca puṇyān munirājabhāve gāmbhīryagūḍhān paripṛcchamānaḥ /	asmAt ca puNyAt muni rAja BAve gAmBIrya gUXAn paripRcCamAnaH /
   praśnānanekānapi caikakāle niḥsaṃśayaṃ vyākurute sa vācā // Ps_2.32 //	praSnAn anekAn api ca eka kAle niHsaMSayam vyAkurute sa vAcA // Ps_2.32 //
   pretyeha cānarthaphalairavandhyāṃ vandhyāmabhidhyāṃ samapāsya buddhyā /	pretya iha ca anarTa PalEH avanDyAm vanDyAm aBiDyAm samapAsya budDyA /
   anīrṣyabhāvādatikāṅkṣitāṃ sa prāpnoti vistīrṇatarāṃ samṛddhim // Ps_2.33	anIrzya BAvAt ati kAFkzitAm sa prApnoti vistIrNatarAm samRdDim // Ps_2.33
   citte viśuddhe ca tadāśrayāṇi vākkāyakarmāṇi śucībhavanti /	citte viSudDe ca tad ASrayANi vAkkAya karmANi SucIBavanti /
   nabhastale kālaguṇābhirāme tārāgaṇānāmiva maṇḍalāni // Ps_2.34 //	naBastale kAlaguNa aBirAme tArA gaNAnAm iva maNxalAni // Ps_2.34 //
   puṇyādhipatyātkramate ca buddhistasyopabhogeṣu sadottameṣu /	puNya ADipatyAt kramate ca budDiH tasya upaBogezu sadA uttamezu /
   prayāti rājñāmapi saṃmatatvam adhṛṣyatāṃ ca pratigarvitānām // Ps_2.35 //	prayAti rAjQAm api saMmata tvam aDRzyatAm ca pratigarvitAnAm // Ps_2.35 //
   vaikalyamāyānti na cendriyāṇi satkarmanirvṛttabalāni tasya /	vEkalyam AyAnti na ca indriyANi sat karma nirvRtta balAni tasya /
   ataśca lokatrayapūjya ekaḥ śāstā bhavatyaprativartyacakraḥ // Ps_2.36 //	atas ca lokatraya pUjyaH ekaH SAstA Bavati aprativartya cakraH // Ps_2.36 //
   vyāpādadāhajvaravipramuktaḥ sādhusvabhāvābhinayo nayena /	vyApAda dAha jvara vipramuktaH sADu svaBAva aBinayaH nayena /
   vyaktīkarotīva manaḥprasādaṃ svasthapraśāntena viceṣṭitena // Ps_2.37 //	vyaktIkaroti iva manaH prasAdam svasTa praSAntena vicezwitena // Ps_2.37 //
   hiṃsātmake vigrahasaṃhite vā karmaṇyanāryācarite śaṭhe vā /	hiMsA Atmake vigraha saMhite vA karmaNi anAri Acarite SaWe vA /
   na cāsya buddhiḥ kramate kadācin maitrīsukhāsvādaviśeṣalābhāt // Ps_2.38	na ca asya budDiH kramate kadAcid mEtrI suKa AsvAda viSeza lABAt // Ps_2.38
   loke vrajatyāryajanena sāmyaṃ saṃmānyate daivatavajjanena /	loke vrajati Arya janena sAmyam saMmAnyate dEvata vat janena /
   na brahmaloko 'pi ca durlabho 'sya prasnigdhakarmaṇyamanaḥpathasya //	na brahma lokaH api ca durlaBaH asya prasnigDa karmaNi amanaH paTasya //
   Ps_2.39 //	Ps_2.39 //
   hitābhinandī jagatāmayatnāt prasādayatyeva ca mānasāni /	hita aBinandI jagata Am ayatnAt prasAdayati eva ca mAnasAni /
   ramyaḥ śaratkāla ivāpagānāṃ toyāni meghāgamadūṣitāni // Ps_2.40 //	ramyaH Sarad kAle iva ApagAnAm toyAni meGa Agama dUzitAni // Ps_2.40 //
   rūpeṇa sarvapriyadarśanena jñānāspadenādbhutaceṣṭitena /	rUpeNa sarva priya darSanena jQAna Aspadena adButa cezwitena /
   ekīkarotīva tato munitve lokasya vijñānapṛthaktvasiddhim // Ps_2.41 //	ekIkaroti iva tatas muni tve lokasya vijQAna pRTaktva sidDim // Ps_2.41 //
   kudṛṣṭipaṅkakramaṇaṃ lasaṃstu prāpnoti kalyāṇahṛdaḥ sahāyān /	kudRzwi paFka kramaNam lasan= tu prApnoti kalyANa hRdaH sahAyAn /
   karmasvako 'stīti ca karma pāpaṃ viśasyamāno 'pi karoti naiva // Ps_2.42	karmasvakaH asti iti ca karma pApam viSasyamAnaH api karoti na eva // Ps_2.42
   bhavatyakampyā ca jiṇe 'sya bhaktirnāyasyate kautukamaṅgalaiśca /	Bavati akampyA ca jiNe asya BaktiH na ayasyate kOtuka maFgalEH ca /
   ārye ca mārge labhate pratiṣṭhāṃ viśeṣagāmitvamato 'bhyupaiti // Ps_2.43	Arye ca mArge laBate pratizWAm viSeza gAmi tvam atas aByupEti // Ps_2.43
   satkāyadṛṣṭyuccalitaḥ sa yāti na durgatiṃ hetuparikṣayeṇa /	satkAya dRzwi uccalitaH sa yAti na durgatim hetu parikzayeNa /
   jñānena cānāvaraṇena yukto divaḥpṛthivyorvicaratyasaṅgaḥ // Ps_2.44 //	jQAnena ca anAvaraNena yuktaH divaH pRTivyoH vicarati asaFgaH // Ps_2.44 //
   pratyekabuddhairapi cānavāptāḥ sarve tato 'syābhimukhībhavanti /	pratyekabudDEH api ca anavAptAH sarve tatas asya aBimuKIBavanti /
   jagaddhitārtheṣu vijṛmbhamāṇāḥ sarvajñabhāvāya munīndradharmāḥ // Ps_2.45	jagat hita arTezu vijRmBamANAH sarvajQa BAvAya muni indra DarmAH // Ps_2.45
   imāṃ vibhūtiṃ guṇaratnacitrāṃ ślāghyāṃ svayaṃgrāhaguṇābhirāmām /	imAm viBUtim guNa ratna citrAm SlAGyAm svayaMgrAha guNa aBirAmAm /
   ko nāma vidvān na samādadīta viśeṣataḥ sattvahitābhilāṣī // Ps_2.46 //	kaH nAma vidvAn na samAdadIta viSezataH sattva hita aBilAzI // Ps_2.46 //
   divyābhirāmā manujeṣu saṃpat prakṛṣṭasaukhyaikarasā ca divyā /	divya aBirAmA manujezu saMpad prakRzwa sOKya eka rasA ca divyA /
   śīlādyadi syāt kimivātra citraṃ yasmāt prarohantyapi buddhadharmāḥ //	SIlAt yadi syAt kim iva atra citram yasmAt prarohanti api budDa DarmAH //
   Ps_2.47 //	Ps_2.47 //
   śīlacyutastvātmahite 'pyaśaktaḥ kasmin parasyārthavidhau samarthaḥ /	SIla cyutaH tu Atma hite api aSaktaH kasmin parasya arTa viDO samarTaH /
   tasmād viśeṣeṇa parārthasādhorna nyāyyamasmiñchīthilādaratvam // Ps_2.48	tasmAt viSezeNa para arTa sADoH na nyAyyam asmin SITila Adara tvam // Ps_2.48
   vivarjayedaṇvapi varjanīyaṃ tasmādbhayaṃ tīvramavekṣamāṇaḥ /	vivarjayet aNu api varjanIyam tasmAt Bayam tIvram avekzamANaH /
   na bodhisattvābhyucitaṃ ca śīlaṃ vikhaṇḍayedātmasukhodayena // Ps_2.49 //	na boDisattva aByucitam ca SIlam viKaNxayet Atma suKa udayena // Ps_2.49 //
   na cchidradoṣaiḥ parijarjaraṃ vā strīkelisaṃvāhanavīkṣaṇādyaiḥ /	na cCidra dozEH parijarjaram vA strI keli saMvAhana vIkzaNa AdyEH /
   na durjanakleśaparigrahād vā kurvīta śīlaṃ śabalaprakāram // Ps_2.50 //	na durjana kleSa parigrahAt vA kurvIta SIlam Sabala prakAram // Ps_2.50 //
   kalmāṣadoṣāpagataṃ niṣevyam ekāntaśuklopacayena śīlam /	kalmAza doza apagatam nizevyam ekAnta Sukla upacayena SIlam /
   svecchāgatitvācca bhujiṣyavṛttaṃ vidvatpraśaṃsābharaṇānavadyam // Ps_2.51	sva icCA gati tvAt ca Bujizya vRttam vidvat praSaMsA ABaraNa anavadyam // Ps_2.51
   samagraśikṣāpadapūraṇācca saṃpūrṇamāmarṣavivarjitaṃ ca /	samagra SikzA pada pUraNAt ca saMpUrNam Amarza vivarjitam ca /
   cetoviśuddhipratibimbabhūtaistīvraiḥ parārthaikarasaiḥ prayogaiḥ //	cetaH viSudDi pratibimba BUtEH tIvrEH para arTa eka rasEH prayogEH //
   Ps_2.52 //	Ps_2.52 //
   smṛtyāśrayāccendriyasaṃvareṇa śīlasya saṃrakṣaṇatatparaḥ syāt /	smRtyASrayAt ca indriya saMvareNa SIlasya saMrakzaNa tatparaH syAt /
   lokasya dauḥśīlyamabhipravṛddhaṃ tamaḥ sahasrāṃśurivāpaneṣyan // Ps_2.53	lokasya dOHSIlyam aBipravRdDam tamaH sahasrAMSuH iva apanezyan // Ps_2.53
   duḥkhapratīkāranimittasevyaiḥ kāyavraṇālepanaveṣṭanādyaiḥ /	duHKa pratIkAra nimitta sevyEH kAya vraNa Alepana vezwana AdyEH /
   nyāyopalabdhaiḥ parituṣṭacitto 'parānanollokanakātaraḥ syāt // Ps_2.54 //	nyAya upalabDEH parituzwa cittaH apara Anana ullokana kAtaraH syAt // Ps_2.54 //
   ślāghyeṣu sarveṣvapi vartamānaḥ śīlānukūleṣu guṇodayeṣu /	SlAGyezu sarvezu api vartamAnaH SIla anukUlezu guNa udayezu /
   avismitatvādaparādhamānī kīrterbibhīyācca tadudbhavāyāḥ // Ps_2.55 //	avismita tvAt aparADa mAnI kIrteH biBIyAt ca tad udBavAyAH // Ps_2.55 //
   lābhaprakāro hi guṇaprakāśācchatrutvamabhyeti suhṛnmukhena /	lABa prakAraH hi guNa prakASAt Satru tvam aByeti suhRd muKena /
   saroruhāṇāmiva śītaraśmiḥ śreyaḥ pramāthī śithilavratānām // Ps_2.56 //	saroruhANAm iva SIta raSmiH SreyaH pramATI SiTila vratAnAm // Ps_2.56 //
   śīlaṃ guṇābhyāsavidhiṃ vadanti saṃbodhicitte ca guṇāḥ samagrāḥ /	SIlam guNa aByAsa viDim vadanti saMboDi citte ca guNAH samagrAH /
   abhyasyate tacca kṛpāguṇena kāruṇyaśīlaḥ satataṃ tataḥ syāt // Ps_2.57 //	aByasyate tat ca kRpA guNena kAruNya SIlaH satatam tatas syAt // Ps_2.57 //
   yanniśritaṃ kāmabhave 'pi naiva saṃtiṣṭhate naiva ca rūpadhātau /	yat niSritam kAma Bave api na eva saMtizWate na eva ca rUpa DAtO /
   ārūpyadhātau yadasaṃsthitaṃ ca tattattvataḥ śīlamudāharanti // Ps_2.58 //	ArUpya DAtO yat asaMsTitam ca tat tattvataH SIlam udAharanti // Ps_2.58 //
   yo lokadhātuṣvamiteṣu sattvāñchīle pratiṣṭhāpayiṣuḥ samagrān /	yaH lokaDAtuzu amitezu sattvAn SIle pratizWApayizuH samagrAn /
   niṣevate lokahitāya śīlaṃ taducyate pāramiteti tajjñaiḥ // Ps_2.59 //	nizevate loka hitAya SIlam tat ucyate pAramitA iti tajjQEH // Ps_2.59 //
   śīlaṃ viśeṣādhigamasya mārgo dāyādyabhūtaṃ karuṇātmakānām /	SIlam viSeza aDigamasya mArgaH dAyAdya BUtam karuNa AtmakAnAm /
   jñānaprakarṣasya śucisvabhāvo naṣṭoddhavā maṇḍanajātiragrā // Ps_2.60 //	jQAna prakarzasya Suci svaBAvaH nazwa udDavAH maNxana jAtiH agrA // Ps_2.60 //
   lokatrayavyāpi manojñāgandhaṃ vilepanaṃ pravrajitāvirodhi /	lokatraya vyApi manojQA ganDam vilepanam pravrajita aviroDi /
   tulyākṛtibhyo 'pi pṛthagjanebhyaḥ śīlaṃ viśeṣaṃ kurute narāṇām // Ps_2.61	tulya AkRtiByaH api pRTagjaneByaH SIlam viSezam kurute narANAm // Ps_2.61
   akatthanānāmapi dhīrabhāvād vināpi vāgbhedapariśrameṇa /	akatTanAnAm api DIra BAvAt vinA api vA ac Beda pariSrameNa /
   atrāsanābhyānatasarvalokaṃ tyaktāvalepoddhavamīśvaratvam // Ps_2.62 //	atra Asana aByAnata sarva lokam tyakta Avalepa udDavam ISvara tvam // Ps_2.62 //
   apyaprakāśānvayasaṃstavānām akurvatāmapyupakārasāram /	api aprakASa anvaya saMstavAnAm akurvatAm api upakAra sAram /
   niṣkevale śīlavidhau sthitānām asaṃstutānāmapi yannarāṇām // Ps_2.63 //	nizkevale SIla viDO sTitAnAm asaMstutAnAm api yat narANAm // Ps_2.63 //
   rajāṃsi pādāśrayapāvitāni praṇāmalabdhāni samudvahanti /	rajAMsi pAda ASraya pAvitAni praNAma labDAni samudvahanti /
   cūḍāgralagnāni manuṣyadevāḥ śrīmattaraṃ śīlamataḥ kulebhyaḥ // Ps_2.64 //	cUxA agra lagnAni manuzya devAH SrImattaram SIlam atas kuleByaH // Ps_2.64 //
   tasmān na durgatibhayena na rājyahetorna svargasaṃpadabhilāṣasamudbhavena	tasmAt na durgati Bayena na rAjya hetoH na svarga saMpad aBilAza samudBavena
   seveta śīlamamalaṃ na hi tattathā syāllokārthasiddhiparamastu bhajeta	seveta SIlam amalam na hi tat taTA syAt loka arTa sidDi paramaH tu Bajeta
   śīlam // Ps_2.65 //	SIlam // Ps_2.65 //
   // śīlapāramitāsamāsaḥ //	// SIla pAramitA samAsaH //
   3. kṣāntipāramitāsamāsaḥ	3. kzAnti pAramitA samAsaH
   saṃmohanīṃ manmathapakṣamāyāṃ prāhuḥ sukhāṃ caiva vimokṣamāyām /	saMmohanIm manmaTa pakza mAyAm prAhuH suKAm ca eva vimokza mAyAm /
   tasyāṃ na kuryāt kaiva kṣamāyāṃ prayatnamekāntahitakṣamāyām // Ps_3.1 //	tasyAm na kuryAt kA eva kzamAyAm prayatnam ekAnta hita kzamAyAm // Ps_3.1 //
   parāparādheṣu sadānabhijñā vyavasthitiḥ sattvavatāṃ manojñā /	para aparADezu sadA anaBijQA vyavasTitiH sattvavatAm manojQAH /
   guṇābhinirvartitacārusaṃjñā kṣameti lokārthacarī kṛpājñā // Ps_3.2 //	guNa aBinirvartita cAru saMjQA kzamA iti loka arTa carI kRpA jQAH // Ps_3.2 //
   parārthamabhyudyatamānasānāṃ dīkṣāṃ titikṣāṃ prathamāṃ vadanti /	para arTam aByudyata mAnasAnAm dIkzAm titikzAm praTamAm vadanti /
   seturjalānīva hi roṣadoṣaḥ śreyāṃsi lokasya samāvṛṇoti // Ps_3.3 //	setuH jalAni iva hi roza dozaH SreyAMsi lokasya samAvRNoti // Ps_3.3 //
   alaṃkriyā śaktisamanvitānāṃ tapodhanānāṃ balasaṃpadagrā /	alaMkriyA Sakti samanvitAnAm tapoDanAnAm bala saMpad agrA /
   vyāpādadāvānalavāridhārā pretyeha ca kṣāntiranarthaśāntiḥ // Ps_3.4 //	vyApAda dAva anala vAri DArA pretya iha ca kzAntiH anarTa SAntiH // Ps_3.4 //
   kṣamāmaye varmaṇi sajjanānāṃ vikuṇṭhitā durjanavākyabāṇāḥ /	kzamA maye varmaNi sat janAnAm vikuNWitAH durjana vAkya bANAH /
   prāyaḥ praśaṃsākusumatvametya tatkīrtimālāvayavā bhavanti // Ps_3.5 //	prAyas praSaMsA kusuma tvam etya tad kIrti mAlA avayavAH Bavanti // Ps_3.5 //
   pratikriyā durjanavāgviṣāṇāṃ prahlādanī jñānaniśākarābhā /	pratikriyA durjana vAc vizANAm prahlAdanI jQAna niSAkara ABAH /
   dhīraprakārā prakṛtiryatīnāṃ kṣāntirguṇānām adhivāsabhūmiḥ // Ps_3.6 //	DIra prakArA prakRtiH yatInAm kzAntiH guNAnAm aDivAsa BUmiH // Ps_3.6 //
   sattvasya gāmbhīryamayasya sāro ghanāgamaḥ krodhanidāghaśāntyai /	sattvasya gAmBIrya mayasya sAraH Gana AgamaH kroDa nidAGa SAntyE /
   vyatītavelasya guṇārṇavasya vyāpī svanaḥ kṣāntimayo 'bhyudeti // Ps_3.7 //	vyatIta velasya guNa arNavasya vyApI svanaH kzAnti mayaH aByudeti // Ps_3.7 //
   ā brahmalokādadhirohāṇārthā sopānapaṅktirgatakhedadoṣā /	A brahma lokAt aDirohANa arTA sopAna paFktiH gata Keda dozAH /
   karmāntaśālā guṇaśībharasya rūpasya sallakṣaṇabhūṣaṇasya // Ps_3.8 //	karmAnta SAlAH guNa SIBarasya rUpasya sat lakzaNa BUzaNasya // Ps_3.8 //
   unmūlanī vairaphalācitānāṃ kṣamāsariddoṣamahādrumāṇām /	unmUlanI vEra PalA citAnAm kzamA sarit doza mahA drumANAm /
   saṃbodhicittasya vivardhitasya guṇāmburaśeḥ satatānukūlā // Ps_3.9 //	saMboDi cittasya vivarDitasya guNa ambu raSeH satata anukUlAH // Ps_3.9 //
   śubhā paratrāpi hite samṛddhirjagaddhitārthasya parā vivṛddhiḥ /	SuBA paratra api hite samRdDiH jagat hita arTasya parA vivRdDiH /
   śubhasvabhāvātiśayaprasiddhiḥ kṣāntirmanaḥkāyavacoviśuddhiḥ // Ps_3.10 //	SuBa svaBAva atiSaya prasidDiH kzAntiH manaH kAya vacaH viSudDiH // Ps_3.10 //
   saṃsāradoṣairna ca cchedameti sattvān kṛpāsnigdhamavekṣamāṇaḥ /	saMsAra dozEH na ca cCedam eti sattvAn kRpA snigDam avekzamANaH /
   satkarmabhirlokahitaiḥ samantād yaśomayatvaṃ vrajatīva loke // Ps_3.11 //	sat karmaBiH loka hitEH samantAt yaSaH maya tvam vrajati iva loke // Ps_3.11 //
   na spṛśyate vismayavācyadoṣairjñānāvadānena titikṣureva /	na spRSyate vismaya vAcya dozEH jQAna avadAnena titikzuH eva /
   anityatākṣāntibalodayācca praharṣamāyāti sukhe 'pi naiva // Ps_3.12 //	anitya tA kzAnti bala udayAt ca praharzam AyAti suKe api na eva // Ps_3.12 //
   saṃkocamāyāti na cāyaśobhirvisāriṇā kṣāntibalaśrayeṇa /	saMkocam AyAti na ca ayaSoBiH visAriNA kzAnti bala SrayeNa /
   ataśca śeṣairapi lokadharmairaniśritatvānna sa cāpalīti // Ps_3.13 //	atas ca SezEH api loka DarmEH aniSrita tvAt na sa cApalI iti // Ps_3.13 //
   tīvraprakārairapi viprakārairna vikriyāṃ yānti satāṃ manāṃsi /	tIvra prakArEH api viprakArEH na vikriyAm yAnti satAm manAMsi /
   dṛḍhābhilāṣāṇi munīndrabhāve kṣāntyā balādhānasusaṃskṛtāni // Ps_3.14 //	dRXa aBilAzANi muni indra BAve kzAntyA bala ADAna su saMskRtAni // Ps_3.14 //
   sa kṣāntidhīreṇa ca mānasena kaṣṭāni saṃdarśayate tapāṃsi /	sa kzAnti DIreNa ca mAnasena kazwAni saMdarSayate tapAMsi /
   darponnatiṃ tīrthakṛtāṃ manaḥsu nīcaiḥ kariṣyan hitakāmyayaiva // Ps_3.15	darpa unnatim tIrTa kRtAm manaHsu nIcEs karizyan hita kAmyayA eva // Ps_3.15
   loko 'yamātmābhiniveśasamūḍhaḥ śeṣān parānityabhimanyamānaḥ /	lokaH ayam Atma aBiniveSa samUXaH SezAn parAn iti aBimanyamAnaH /
   tadviprakārairabhibhūtacetā<;ḥ>; kṣamāviyogāt parikhedameti // Ps_3.16 //	tad viprakArEH aBiBUta cetA<;H>; kzamA viyogAt pariKedam eti // Ps_3.16 //
   kṛpāsanāthāni satāṃ manāṃsi kṣāntyā kṛtasvastyayanakriyāṇi /	kRpA sanATAni satAm manAMsi kzAntyA kRta svastyayana kriyANi /
   naṣṭātmadṛṣṭiṇi parāpakārān na vikriyāṃ yānti guṇānurāgāt // Ps_3.17 //	nazwa Atma dRzwiNi para apakArAn na vikriyAm yAnti guNa anurAgAt // Ps_3.17 //
   mithyāvikalpo hṛdayajvarasya krodhasya heturdhṛtidurbalānām /	miTyA vikalpaH hRdaya jvarasya kroDasya hetuH DRti durbalAnAm /
   samyagvikalpastu samādadhāti kṣāntiprakārāṃ manasaḥ praśāntim // Ps_3.18	samyak vikalpaH tu samAdaDAti kzAnti prakArAm manasaH praSAntim // Ps_3.18
   vikalpasanniśrayasaṃśritāyāṃ kṣāntyāṃ na tu syāccalitāvakāśaḥ /	vikalpa sanniSraya saMSritAyAm kzAntyAm na tu syAt calita avakASaH /
   pratyūṣavātasphurite 'mbhasīva saṃpūrṇacandrapratibimbalakṣayāḥ // Ps_3.19	pratyUza vAta sPurite amBasi iva saMpUrNa candra pratibimba lakzayAH // Ps_3.19
   vikalpaśāntiṃ paramārthatastu kṣāntiṃ kṣamātattvavido vadanti /	vikalpa SAntim paramArTataH tu kzAntim kzamA tattva vidaH vadanti /
   tasmādvikalpopaśame yateta svapnopamaṃ lokamavekṣamāṇaḥ // Ps_3.20 //	tasmAt vikalpa upaSame yateta svapna upamam lokam avekzamANaH // Ps_3.20 //
   cakṣuḥ kim ākrośati cakṣuretacchrotrādi vākrośati kiṃ tadādi /	cakzuH kim AkroSati cakzuH etat Srotra Adi vA AkroSati kim tad Adi /
   yaivaṃ kṣamā sāyatanānvavekṣā na kṣāntireṣā paramārthatastu // Ps_3.21 //	yA evam kzamA sa Ayatana anvavekzAH na kzAntiH ezA paramArTataH tu // Ps_3.21 //
   vaktā vacaścaitadanityameva śrutirvikalpo 'pi ca yo mamāyam /	vaktA vacaH ca etat anityam eva SrutiH vikalpaH api ca yaH mama ayam /
   anityabhāvapravikalpanaiṣā na kṣāntimetām paramāṃ vadanti // Ps_3.22 //	anitya BAva pravikalpanA ezA na kzAntim etAm paramAm vadanti // Ps_3.22 //
   kartāpakārasya na kaścidasti naivāsti kaścitkriyāte ca yasya /	kartA apakArasya na kaScid asti na eva asti kaScid kriyAte ca yasya /
   nairātmasaṃdarśanasiddhireṣā na kṣāntireṣāpi gataprakarṣā // Ps_3.23 //	nErAtma saMdarSana sidDiH ezA na kzAntiH ezA api gata prakarzAH // Ps_3.23 //
   tattatpratītya prabhavanti bhāvā nindāpraśaṃsāsukhaduḥkhasaṃjñāḥ /	tat tat pratItya praBavanti BAvAH nindA praSaMsA suKa duHKa saMjQAH /
   pratītyasiddheravatārabhūmirna kṣāntiratyantasamāhitaiṣā // Ps_3.24 //	pratItyasidDeH avatAra BUmiH na kzAntiH atyanta samAhitA ezA // Ps_3.24 //
   yadyesā saṃmohamahāgraheṇa paryastacetā nanu nāhamevam /	yadi esA saMmoha mahA graheNa paryasta cetAH nanu na aham evam /
   ityunnate cāvanate ca citte kṣāntiprakarṣasya kuto 'vakāśaḥ // Ps_3.25 //	iti unnate ca avanate ca citte kzAnti prakarzasya kutas avakASaH // Ps_3.25 //
   pradhvaṃsinī varṇalavapratiśrudyantrādivaikaikaśa uccarantī /	praDvaMsinI varNa lava pratiSruD yantrAt i va eka ekaSas uccarantI /
   kuryāṃ kathaṃ kasya ca kāṃ ca pīḍām eṣāpi na kṣāntiratiprakṛṣṭā // Ps_3.26	kuryAm kaTam kasya ca kAm ca pIxAm ezA api na kzAntiH ati prakRzwAH // Ps_3.26
