   akartṛbhāvādbhoktuśca MrgT_1,2.15c	akartR-BAvAt-BoktuH-ca MrgT_1,2.15c
   tatsvāpāntamupāsate MrgT_1,13.184d	tat-svApa-antam-upAsate MrgT_1,13.184d
   tathā caiva śivottamaḥ MrgT_1,4.3b	taTA ca-eva Siva-uttamaH MrgT_1,4.3b
   tathā nopahasetkaṃcin MrgT_3.64c	taTA na-upahaset-kaMcid MrgT_3.64c
   tathānyadapi saṃhāro MrgT_3.41c	taTA-anyat-api saMhAraH MrgT_3.41c
   tathānyeṣvapi deśikaḥ MrgT_3.60b	taTA-anyezu-api deSikaH MrgT_3.60b
   tathāpanayanaṃ bhukta- MrgT_1,11.24a	taTA-apanayanam Bukta MrgT_1,11.24a
   tathāpyabhyāsataḥ siddhāḥ MrgT_4.56a	taTA-api-aByAsataH sidDAH MrgT_4.56a
   tathāpyābhāti yugapan MrgT_1,12.11c	taTA-api-ABAti yugapad MrgT_1,12.11c
   tathāpyuddeśa ucyate MrgT_1,6.1d	taTA-api-uddeSaH ucyate MrgT_1,6.1d
   tathāpyuddeśa ucyate MrgT_4.14d	taTA-api-uddeSaH ucyate MrgT_4.14d
   tathā bījaṃ śarīrādeḥ MrgT_1,5.11a	taTA bIjam SarIra-AdeH MrgT_1,5.11a
   tathā vaitaraṇī nadī MrgT_1,13.19b	taTA vEtaraNI nadI MrgT_1,13.19b
   tathāstu yadi nādatte MrgT_1,12.13c	taTA-astu yadi na-Adatte MrgT_1,12.13c
   tathāsya carato vidvān MrgT_4.23c	taTA-asya carataH vidvAn MrgT_4.23c
   tadacetanameva syāt MrgT_1,9.4a	tat-acetanam-eva syAt MrgT_1,9.4a
   tadadṛṣṭāvaruddhaṃ vā MrgT_1,12.17c	tad-adRzwa-avarudDam vA MrgT_1,12.17c
   tadadhaḥ parvasu sthitiḥ MrgT_1,13.46b	tad-aDas parvasu sTitiH MrgT_1,13.46b
   tadanādisthamarvāgvā MrgT_1,7.9a	tad-anAdi-sTam-arvAk-vA MrgT_1,7.9a
   tadanirvartya yo 'śnāti MrgT_3.80a	tat-anirvartya yaH aSnAti MrgT_3.80a
   tadanugrāhakaṃ tattvaṃ MrgT_1,10.4a	tad-anugrAhakam tattvam MrgT_1,10.4a
   tadantarakhilairbījair MrgT_3.101c	tad-antar-aKilEH-bIjEH MrgT_3.101c
   tadantarāṇi dvātriṃśal- MrgT_1,13.13c	tad-antarANi dvAtriMSal MrgT_1,13.13c
   tadantarālametāvad MrgT_1,13.178c	tad-antarAlam-etAvat MrgT_1,13.178c
   tadannabhojane śuddhir MrgT_3.113a	tad-anna-Bojane SudDiH MrgT_3.113a
   tadanyatrārdhamūlaṃ vā MrgT_3.116c	tad-anyatra-arDa-mUlam vA MrgT_3.116c
   tadanyatropalabdhitaḥ MrgT_1,12.22d	tad-anyatra-upalabDitaH MrgT_1,12.22d
   tadanyo bhāṣyasaṃgrahaḥ MrgT_3.51b	tad-anyaH BAzya-saMgrahaH MrgT_3.51b
   tadapyanekamekasmād MrgT_1,9.7c	tat-api-anekam-ekasmAt MrgT_1,9.7c
   tadapyanyatra kiṃ kṛtam MrgT_1,12.17d	tat-api-anyatra kim kRtam MrgT_1,12.17d
   tadabhivyaktacicchakti- MrgT_1,10.11a	tad-aBivyakta-cicCakti MrgT_1,10.11a
   tadarthaṃ kṣobhayitveśaḥ MrgT_1,10.9a	tad-arTam kzoBayitvA-ISaH MrgT_1,10.9a
   tadardhamakhile 'dhvani MrgT_1,4.7b	tad-arDam-aKile aDvani MrgT_1,4.7b
   tadardhenāttaviṣkambhau MrgT_1,13.66a	tad-arDena-Atta-vizkamBO MrgT_1,13.66a
   tadaṣṭāṣṭaguṇasthāne MrgT_1,13.6c	tad-azwa-azwaguNa-sTAne MrgT_1,13.6c
   tadasatkarmaṇo bhogād MrgT_1,2.25a	tat-asat-karmaNaH BogAt MrgT_1,2.25a
   tadastyātmani sarvadā MrgT_1,2.5b	tat-asti-Atmani sarvadA MrgT_1,2.5b
   tadātmavattvaṃ yogitvaṃ MrgT_4.2a	tad-Atmavat-tvam yogi-tvam MrgT_4.2a
   tadādhārāṇi kāryāṇi MrgT_1,9.13a	tad-ADArANi kAryANi MrgT_1,9.13a
   tadādhārātmakānyapi MrgT_1,12.12d	tad-ADAra-AtmakAni-api MrgT_1,12.12d
   tadānugrāhikocyate MrgT_1,7.12d	tadA-anugrAhikA-ucyate MrgT_1,7.12d
   tadāpannamamānyatvaṃ MrgT_3.65c	tad-Apannam-ama-anya-tvam MrgT_3.65c
   tadārabhya ciraṃ nāti MrgT_3.47c	tat-AraBya ciram na-ati MrgT_3.47c
   tadā rudraśataṃ vīra- MrgT_1,13.183c	tadA rudra-Satam vIra MrgT_1,13.183c
   tadāvaraṇamasyāṇoḥ MrgT_1,7.6a	tad-AvaraNam-asya-aNoH MrgT_1,7.6a
   tadāśramapadaṃ bheje MrgT_1,1.3c	tad-ASrama-padam Beje MrgT_1,1.3c
   tadāsāṃ saptakaṃ sadbhiḥ MrgT_1,13.26c	tadA-AsAm saptakam sadBiH MrgT_1,13.26c
   tadāsvacchaciteraṇoḥ MrgT_1,10.5b	tadA-asvacCa-citeraNoH MrgT_1,10.5b
   tadīśabhāge tasyādreḥ MrgT_1,13.60a	tad-ISa-BAge tasya-adreH MrgT_1,13.60a
   tadīśaścordhvagāpatiḥ MrgT_1,13.173d	tad-ISaH-ca-UrDva-gA-patiH MrgT_1,13.173d
   tadīśānairgaṇairdevair MrgT_3.38c	tad-ISAnEH-gaNEH-devEH MrgT_3.38c
   tadīśoktau gataprāyaṃ MrgT_1,6.1c	tad-ISa-uktO gata-prAyam MrgT_1,6.1c
   taduktaireva bhūyasā MrgT_1,1.29d	tad-uktEH-eva BUyasA MrgT_1,1.29d
   tadupaśamanimittaṃ vakṣyamāṇakriyāto MrgT_1,13.198c	tad-upaSama-nimittam vakzyamANa-kriyAtaH MrgT_1,13.198c
   tadupāyena nānyathā MrgT_1,7.15d	tad-upAyena na-anyaTA MrgT_1,7.15d
   tadūnakoṭisvarlokaḥ MrgT_1,13.115a	tad-Una-kowi-svarlokaH MrgT_1,13.115a
   tadūnamunnato lakṣaṃ MrgT_1,13.43a	tad-Unam-unnataH lakzam MrgT_1,13.43a
   tadūrdhvaṃ patayaḥ katham MrgT_1,13.163b	tad-UrDvam patayaH kaTam MrgT_1,13.163b
   tadekatānatāmeti MrgT_4.7c	tat-ekatAna-tAm-eti MrgT_4.7c
   tadekamaśivaṃ bījaṃ MrgT_1,9.2a	tat-ekam-aSivam bIjam MrgT_1,9.2a
   tadekaṃ bahusaṃkhyaṃ tu MrgT_1,7.10a	tat-ekam bahu-saMKyam tu MrgT_1,7.10a
   tadekaṃ viṣayānantyād MrgT_1,5.17a	tat-ekam vizaya-AnantyAt MrgT_1,5.17a
   tadekaṃ sarvabhūtānām MrgT_1,7.8a	tat-ekam sarva-BUtAnAm MrgT_1,7.8a
   tadekāhitamānasāḥ MrgT_1,1.2d	tad-eka-ahita-mAnasAH MrgT_1,1.2d
   tadeva triguṇaṃ sudhīḥ MrgT_3.106d	tat-eva triguNam suDIH MrgT_3.106d
   tadeva sattadevāsad MrgT_1,2.17c	tat-eva sat-tad-eva-asat MrgT_1,2.17c
   tadevaṃ siddhasādhyatā MrgT_1,2.18b	tat-evam sidDa-sADya-tA MrgT_1,2.18b
   taddharmayogyatāṃ buddhvā MrgT_4.24a	tad-Darma-yogya-tAm budDvA MrgT_4.24a
   taddhetustadato 'nyathā MrgT_1,7.9b	tad-hetuH-tat-atas anyaTA MrgT_1,7.9b
   tadbindurbaindavaṃ dhvaniḥ MrgT_1,13.191d	tat-binduH-bEndavam DvaniH MrgT_1,13.191d
   tadbhedasthānabhedajaḥ MrgT_1,13.165b	tad-Beda-sTAna-Beda-jaH MrgT_1,13.165b
   tadrūpādhikṛtāni vā MrgT_4.32b	tad-rUpa-aDikRtAni vA MrgT_4.32b
   tadvaco nānuyuñjīta MrgT_3.71c	tat-vacaH na-anuyuQjIta MrgT_3.71c
   tadvacca paśunā dṛṣṭe MrgT_3.117a	tadvat-ca paSunA dRzwe MrgT_3.117a
   tadvadevopacārataḥ MrgT_1,5.17d	tadvat-eva-upacArataH MrgT_1,5.17d
   tadvapuḥ pañcabhirmantraiḥ MrgT_1,3.8c	tat-vapuH paQcaBiH-mantrEH MrgT_1,3.8c
   tadvartivācakavrāta- MrgT_1,1.24a	tad-varti-vAcaka-vrAta MrgT_1,1.24a
   tadvānīśastisṛṣvapi MrgT_1,13.171d	tat-vAn-ISaH-tisRzu-api MrgT_1,13.171d
   tadvidho yo 'ṇurucyate MrgT_1,5.10d	tadviDaH yaH aNuH-ucyate MrgT_1,5.10d
   tadvirāmaṃ vinā khyāta- MrgT_3.58c	tad-virAmam vinA KyAta MrgT_3.58c
   tadvirodhitayā mithaḥ MrgT_1,7.13b	tad-viroDi-tayA miTas MrgT_1,7.13b
   tadviśeṣaguṇāstataḥ MrgT_1,2.22d	tad-viSeza-guNAH-tatas MrgT_1,2.22d
   tadvṛttayaḥ prakāśādyāḥ MrgT_1,10.20c	tad-vRttayaH prakASa-AdyAH MrgT_1,10.20c
   tadvṛttaṃ lakṣayojanam MrgT_1,13.40d	tad-vRttam lakza-yojanam MrgT_1,13.40d
   tadvyatkirjananaṃ nāma MrgT_1,9.20a	tat-vyat-kiH-jananam nAma MrgT_1,9.20a
   tadvyāptiviṣayā bhavet MrgT_4.52b	tad-vyApti-vizayA Bavet MrgT_4.52b
   tantrārthaṃ gatamatsaraḥ MrgT_3.29b	tantra-arTam gata-matsaraH MrgT_3.29b
   tantvādikārakādānaṃ MrgT_1,9.14a	tantu-Adi-kAraka-AdAnam MrgT_1,9.14a
   tanna sāṃśayikaṃ tasmād MrgT_1,5.14c	tat-na sAMSayikam tasmAt MrgT_1,5.14c
   tannāmato 'dhipatita MrgT_1,13.27a	tad-nAmataH aDipatitaH MrgT_1,13.27a
   tanniruddhaṃ pratīyate MrgT_1,2.6b	tat-nirudDam pratIyate MrgT_1,2.6b
   tannivṛttau nivartante MrgT_1,13.190a	tad-nivRttO nivartante MrgT_1,13.190a
   tanmātrapadayojitāḥ MrgT_1,12.5d	tanmAtra-pada-yojitAH MrgT_1,12.5d
   tanmedasā mahī channā MrgT_1,13.105a	tat-medasA mahI CannAH MrgT_1,13.105a
   tapasā guruṇopāsya MrgT_1,13.147c	tapasA guruNA-upAsya MrgT_1,13.147c
   tapasābhīṣṭasiddhaye MrgT_1,1.5d	tapasA-aBIzwa-sidDaye MrgT_1,1.5d
   tapo 'rkakoṭiryatrāste MrgT_1,13.116c	tapaH arka-kowiH-yatra-Aste MrgT_1,13.116c
   taptāṅgārā mahādāhāḥ MrgT_1,13.16c	tapta-aFgArAH mahA-dAhAH MrgT_1,13.16c
   tamaścchannatayārtheṣu MrgT_1,10.3c	tamaS=-Canna-tayA-arTezu MrgT_1,10.3c
   tamaḥ parastādgarbhodaḥ MrgT_1,13.37a	tamaH parastAt-garBodaH MrgT_1,13.37a
   tamaḥ parastānnibiḍaṃ MrgT_1,13.112c	tamaH parastAt-nibixam MrgT_1,13.112c
   tamaḥśaktyadhikārasya MrgT_1,5.1a	tamaH-Sakti-aDikArasya MrgT_1,5.1a
   tamoguṇanibandhanā MrgT_1,11.5b	tamaH-guNa-nibanDanA MrgT_1,11.5b
   tayā sa puṣkaradvīpaḥ MrgT_1,13.106a	tayA sa puzkaradvIpaH MrgT_1,13.106a
   tayorviśeṣaṇaṃ vācyaṃ MrgT_1,9.18c	tayoH-viSezaNam vAcyam MrgT_1,9.18c
   taruṇādityasaṃkāśaṃ MrgT_1,1.18c	taruNa-Aditya-saMkASam MrgT_1,1.18c
   taruṇārkasamaprabhaiḥ MrgT_1,13.124d	taruNa-arka-sama-praBEH MrgT_1,13.124d
   tallakṣaṇaṃ svarūpoktis MrgT_3.51a	tad-lakzaNam svarUpa-uktiH MrgT_3.51a
   tallābho 'pi tadāśrayaḥ MrgT_3.74b	tad-lABaH api tad-ASrayaH MrgT_3.74b
   tasmāttatsādhako bhavet MrgT_3.74d	tasmAt-tad-sADakaH Bavet MrgT_3.74d
   tasmādevāsṛjatprabhuḥ MrgT_1,10.11d	tasmAt-eva-asRjat-praBuH MrgT_1,10.11d
   tasmānniyāmikā janya- MrgT_1,9.19a	tasmAt-niyAmikA janya MrgT_1,9.19a
   tasminnitye cidādivat MrgT_1,7.4b	tasmin-nitye cit-Adi-vat MrgT_1,7.4b
   tasminnaudāsyameti saḥ MrgT_1,7.19d	tasmin=-OdAsyam-eti saH MrgT_1,7.19d
   tasya tasya tanuryā pūs MrgT_1,3.10c	tasya tasya tanuH-yA pUH MrgT_1,3.10c
   tasya pradeśavartitvād MrgT_1,8.2a	tasya pradeSa-varti-tvAt MrgT_1,8.2a
   tasya prācīṃ diśaṃ śakraḥ MrgT_1,13.121a	tasya prAcIm diSam SakraH MrgT_1,13.121a
   tasya madhye sthitaḥ śaila- MrgT_1,13.41c	tasya maDye sTitaH SEla MrgT_1,13.41c
   tasya śṛṅgeṣu tīkṣṇāṃśor MrgT_1,13.111c	tasya SRFgezu tIkzNAMSoH MrgT_1,13.111c
   tasya sānuṣu haimeṣu MrgT_1,13.61a	tasya sAnuzu hEmezu MrgT_1,13.61a
   tasya svabhāvato jvālāḥ MrgT_1,13.12a	tasya svaBAvataH jvAlAH MrgT_1,13.12a
   tasya hṛnnābhyuraḥkaṇṭha- MrgT_4.45c	tasya hRd-nABi-uraH-kaNWa MrgT_4.45c
   tasyāntaḥ kāñcanaṃ dhāma MrgT_1,13.9c	tasya-antar kAQcanam DAma MrgT_1,13.9c
   tasyā bhedā ye 'pi vāmādayaḥ syus MrgT_1,3.14c	tasyAH BedAH ye api vAma-AdayaH syuH MrgT_1,3.14c
   tasyāmupāsate devā MrgT_1,13.59a	tasyAm-upAsate devAH MrgT_1,13.59a
   tasyāmuṣati yena saḥ MrgT_1,3.10d	tasya-amuzati yena saH MrgT_1,3.10d
   tasyāsti karaṇaṃ yena MrgT_1,3.3c	tasya-asti karaNam yena MrgT_1,3.3c
   tasyoddeśakamanyatsyāt MrgT_3.50c	tasya-uddeSakam-anyat-syAt MrgT_3.50c
   taṃ pītvā pakṣisarpākhu- MrgT_1,13.75a	tam pItvA pakzi-sarpa-AKu MrgT_1,13.75a
   tā indhikādyāstatsthānaṃ MrgT_1,13.171c	tAH inDikA-AdyAH-tat-sTAnam MrgT_1,13.171c
   tātsthyāt tatropacaryate MrgT_1,13.187d	tAtsTyAt tatra-upacaryate MrgT_1,13.187d
   tādarthyādasti karmaṇaḥ MrgT_1,7.21d	tAdarTyAt-asti karmaNaH MrgT_1,7.21d
   tādākhyaṃ samupāgatam MrgT_3.39b	tAdAKyam samupAgatam MrgT_3.39b
   tādṛktadadhunocyate MrgT_1,10.2d	tAdRkta-daDunA-ucyate MrgT_1,10.2d
   tādṛgutpattimadyataḥ MrgT_1,7.10b	tAdRS-utpattimadyatas MrgT_1,7.10b
   tānapyatha nibodha me MrgT_1,13.29b	tAn-api-aTa niboDa me MrgT_1,13.29b
   tānapyāviśya bhagavān MrgT_1,4.10a	tAn-api-AviSya BagavAn MrgT_1,4.10a
   tānāha mithyā jñānaṃ vaḥ MrgT_1,1.7c	tAn-Aha miTyA jQAnam vaH MrgT_1,1.7c
   tāni kālānalādīni MrgT_1,13.2a	tAni kAla-anala-AdIni MrgT_1,13.2a
   tāni te nāmabhirvakṣye MrgT_1,13.14c	tAni te nAmaBiH-vakzye MrgT_1,13.14c
   tāni brūyādvibhāgaśaḥ MrgT_3.37d	tAni brUyAt-viBAgaSaH MrgT_3.37d
   tā nivṛttyādisaṃjñānāṃ MrgT_1,13.166a	tAH nivRtti-Adi-saMjQAnAm MrgT_1,13.166a
   tāni syurvyāhatānyapi MrgT_1,5.15d	tAni syuH-vyAhatAni-api MrgT_1,5.15d
   tāni hemahimajyotiḥ- MrgT_4.36c	tAni hema-hima-jyotiH MrgT_4.36c
   tāmasī duḥkhabhāvataḥ MrgT_1,11.6b	tAmasI duHKa-BAvataH MrgT_1,11.6b
   tāmisraścāndhatāmisraḥ MrgT_1,13.19c	tAmisraH-ca-anDatAmisraH MrgT_1,13.19c
   tāmraparṇo gabhastimān MrgT_1,13.94d	tAmraparNaH gaBastimAn MrgT_1,13.94d
   tālo dvādaśabhirjānu- MrgT_4.28a	tAlaH dvAdaSaBiH-jAnu MrgT_4.28a
   tāvadāyurharau janaḥ MrgT_1,13.89d	tAvat-AyuH-harO janaH MrgT_1,13.89d
   tāvubhau hatakalmaṣau MrgT_3.51d	tO=-uBO hata-kalmazO MrgT_3.51d
   tāsāmupari dīptaśrīr MrgT_1,13.157c	tAsAm-upari dIpta-SrIH MrgT_1,13.157c
   tāsāṃ māheśvarī śaktiḥ MrgT_1,7.11a	tAsAm mAheSvarI SaktiH MrgT_1,7.11a
   tāstāḥ sarvā bhedamāyānti sṛṣṭau MrgT_1,2.28d	tAH-tAH sarvAH Bedam-AyAnti sRzwO MrgT_1,2.28d
   tāṃśca sarvānanāmayam MrgT_1,1.4b	tAn=-ca sarvAn-anAmayam MrgT_1,1.4b
   tithilakṣo bhuvarloko MrgT_1,13.114c	tiTi-lakzaH BuvarlokaH MrgT_1,13.114c
   tiraskṛtāṃśumajjyotir MrgT_1,13.42a	tiraskRtAMSumat-jyotiH MrgT_1,13.42a
   tirobhāvavimuktayaḥ MrgT_1,2.3b	tiroBAva-vimuktayaH MrgT_1,2.3b
   tilakaiḥ puṇḍrakaiḥ paṭṭair MrgT_3.3c	tilakEH puNxrakEH pawwEH MrgT_3.3c
   tiṣṭhennaikamapi kṣaṇam MrgT_3.92d	tizWet-na-ekam-api kzaNam MrgT_3.92d
   tuṅgaśṛṅgaparicchadaḥ MrgT_1,13.111b	tuFga-SRFga-paricCadaH MrgT_1,13.111b
   tuṭyādipratyayasyārthaḥ MrgT_1,10.14a	tuwi-Adi-pratyayasya-arTaH MrgT_1,10.14a
   tudannapi na rogiṇam MrgT_1,7.18b	tudan=-api na rogiNam MrgT_1,7.18b
   tulyabhūtaniṣevitā MrgT_1,13.48d	tulya-BUta-nizevitAH MrgT_1,13.48d
   tulyaṃ sādharmyayogataḥ MrgT_3.123b	tulyam sADarmya-yogataH MrgT_3.123b
   tuṣṭirnurakṛtārthasya MrgT_1,11.2c	tuzwiH-nuH-akRtArTasya MrgT_1,11.2c
   tuṣṭirmithyāsvarūpatvāt MrgT_1,11.5a	tuzwiH-miTyA-svarUpa-tvAt MrgT_1,11.5a
   tṛtīye syātkacāgrakam MrgT_1,13.6d	tRtIye syAt-kacA-agrakam MrgT_1,13.6d
   te ca mantreśvaravyakta- MrgT_1,4.6a	te ca mantreSvara-vyakta MrgT_1,4.6a
   te cānantaprabhṛtayo MrgT_1,13.159c	te ca-ananta-praBRtayaH MrgT_1,13.159c
   tejastaddharmadarśanāt MrgT_1,12.31b	tejaH-tad-Darma-darSanAt MrgT_1,12.31b
   tejobaladhanaprajaḥ MrgT_1,13.91d	tejaH-bala-Dana-prajaH MrgT_1,13.91d
   tejovārimahīdravyaṃ MrgT_1,12.14c	tejaH-vAri-mahI-dravyam MrgT_1,12.14c
   te tatsthityantamāhlādaṃ MrgT_1,13.174c	te tad-sTiti-antam-AhlAdam MrgT_1,13.174c
   te tamṛgbhiryajurbhiśca MrgT_1,1.19a	te tam-RgBiH-yajurBiH-ca MrgT_1,1.19a
   te tasyāmapi paṭhyante MrgT_1,13.5c	te tasyAm-api paWyante MrgT_1,13.5c
   tena tantugatākāraṃ MrgT_1,9.20c	tena tantu-gata-AkAram MrgT_1,9.20c
   tena prakāśarūpeṇa MrgT_1,10.10a	tena prakASa-rUpeNa MrgT_1,10.10a
   tena pradīpakalpena MrgT_1,10.5a	tena pradIpa-kalpena MrgT_1,10.5a
   tena svabhāvasiddhena MrgT_1,2.4a	tena svaBAva-sidDena MrgT_1,2.4a
   tenāsya cetasaḥ sthairyaṃ MrgT_4.60c	tena-asya cetasaH sTEryam MrgT_4.60c
   te niṣṭhāvratinaḥ smṛtāḥ MrgT_3.8d	te nizWA-vratinaH smRtAH MrgT_3.8d
   tenendriyārthasaṃsarga- MrgT_4.6a	tena-indriya-arTa-saMsarga MrgT_4.6a
   tenopādānamapyasti MrgT_1,9.3c	tena-upAdAnam-api-asti MrgT_1,9.3c
   te 'pi tatkṛtimastake MrgT_1,13.5d	te api tad-kRti-mastake MrgT_1,13.5d
   te 'pi proktāḥ kṛtyabhedena sadbhiḥ MrgT_1,3.14d	te api proktAH kRtya-Bedena sadBiH MrgT_1,3.14d
   tepuḥ śivaṃ pratiṣṭhāpya MrgT_1,1.2c	tepuH Sivam pratizWApya MrgT_1,1.2c
   tebhyaḥ samātrakā devā MrgT_1,12.2c	teByaH sa-mAtrakAH devAH MrgT_1,12.2c
   tebhyo daśaguṇaśrīkān MrgT_1,13.148c	teByaH daSaguNa-SrIkAn MrgT_1,13.148c
   tebhyo 'vagatya dṛgjyotir MrgT_1,1.28a	teByaH avagatya dRS-jyotiH MrgT_1,1.28a
   te mocayanti bhavino bhavapaṅkamagnān MrgT_1,5.18c	te mocayanti BavinaH Bava-paFka-magnAn MrgT_1,5.18c
   te vavrire śivajñānaṃ MrgT_1,1.20a	te vavrire Siva-jQAnam MrgT_1,1.20a
   teṣāmanantaḥ sūkṣmaśca MrgT_1,4.3a	tezAm-anantaH sUkzmaH-ca MrgT_1,4.3a
   teṣāmupari niśeṣa- MrgT_1,13.32c	tezAm-upari niSeza MrgT_1,13.32c
   teṣāṃ talliṅgamautsukyaṃ MrgT_1,5.4c	tezAm tat-liFgam-Otsukyam MrgT_1,5.4c
   teṣāṃ dhūmena liṅgena MrgT_1,9.8c	tezAm DUmena liFgena MrgT_1,9.8c
   teṣāṃ pūrveṇa mandaraḥ MrgT_1,13.71d	tezAm pUrveNa mandaraH MrgT_1,13.71d
   teṣāṃ pūrvoditāddhetor MrgT_1,9.9c	tezAm pUrva-uditAt-hetoH MrgT_1,9.9c
   teṣāṃ vṛttasya cetasaḥ MrgT_4.5b	tezAm vRttasya cetasaH MrgT_4.5b
   teṣāṃ saṃkhyā na vidyate MrgT_3.42b	tezAm saMKyA na vidyate MrgT_3.42b
   teṣāṃ sādhāraṇaṃ karma MrgT_3.12a	tezAm sADAraNam karma MrgT_3.12a
   teṣu kalpadrumāḥ sthitāḥ MrgT_1,13.73b	tezu kalpadrumAH sTitAH MrgT_1,13.73b
   teṣu yatropayogavat MrgT_4.42b	tezu yatra-upayoga-vat MrgT_4.42b
   teṣu vyaktaḥ sa bhagavān MrgT_1,1.26a	tezu vyaktaH sa BagavAn MrgT_1,1.26a
   te 'ṣṭau nava caturguṇāḥ MrgT_1,10.25b	te azwO nava caturguNAH MrgT_1,10.25b
   teṣvagryā bhasmapāṇḍarāḥ MrgT_3.3b	tezu-agryAH Basma-pANxarAH MrgT_3.3b
   taijasaśca sa sāttvikaḥ MrgT_1,12.3d	tEjasaH-ca sa sAttvikaH MrgT_1,12.3d
   taijaso vaikṛto yo 'nyo MrgT_1,12.2a	tEjasaH vEkRtaH yaH anyaH MrgT_1,12.2a
   taireva guṇitaṃ pāṇir MrgT_1,13.7c	tEH-eva guNitam pANiH MrgT_1,13.7c
   tyaktvāptagamyaviṣayaṃ MrgT_1,13.168c	tyaktvA-Aptagamya-vizayam MrgT_1,13.168c
   tyaktvābhimānamātsarya- MrgT_3.67c	tyaktvA-aBimAna-mAtsarya MrgT_3.67c
   tyaktvā bhūrnavalākṣikī MrgT_1,13.21d	tyaktvA BUH-navalAkzikI MrgT_1,13.21d
   tyāgaśca kaphaviṇmūtra- MrgT_3.118a	tyAgaH-ca kaPa-viz-mUtra MrgT_3.118a
   tyāgasaṃgrahaṇe hitvā MrgT_4.22c	tyAga-saMgrahaNe hitvA MrgT_4.22c
   trayārto bhārate janaḥ MrgT_1,13.92b	traya-ArtaH BArate janaH MrgT_1,13.92b
   trayīnaiṣṭhikaliṅginām MrgT_3.112d	trayI-nEzWika-liFginAm MrgT_3.112d
   trayo guṇāstathāpyekaṃ MrgT_1,10.21a	trayaH guNAH-taTA-api-ekam MrgT_1,10.21a
   trayodaśasahasrāyur- MrgT_1,13.81a	trayodaSa-sahasra-Ayur MrgT_1,13.81a
   trikuḍyāveṣṭite gṛhe MrgT_4.17b	trikuxyA-vezwite gRhe MrgT_4.17b
   tritalaṃ ca gabhastimān MrgT_1,13.27d	tri-talam ca gaBastimAn MrgT_1,13.27d
   tripadārthaṃ catuṣpādaṃ MrgT_1,2.2a	tri-padArTam catuzpAdam MrgT_1,2.2a
   trimūrtiścāmitadyutiḥ MrgT_1,4.3d	trimUrtiH-ca-amita-dyutiH MrgT_1,4.3d
   trirātraṃ paśudharmiṇi MrgT_3.59d	tri-rAtram paSu-DarmiNi MrgT_3.59d
   triśailasariddvīpakān MrgT_1,13.37c	triSEla-sarit-dvIpakAn MrgT_1,13.37c
   triṣu pādāntareṣvasya MrgT_1,13.43c	trizu pAda-antarezu-asya MrgT_1,13.43c
   triṃśadabdasahasrāyuḥ MrgT_1,13.84a	triMSat-abda-sahasra-AyuH MrgT_1,13.84a
   trīṇi mūlāni sūtrāṇi MrgT_3.48c	trINi mUlAni sUtrANi MrgT_3.48c
   trīnniścakarṣa sattvādi- MrgT_1,12.1c	trIn-niScakarza sattva-Adi MrgT_1,12.1c
   trotalādi suvistaram MrgT_3.35d	trotala-Adi su-vistaram MrgT_3.35d
   tryakṣacaṇḍāmarastutāḥ MrgT_1,13.133d	tryakza-caNxa-amara-stutAH MrgT_1,13.133d
   tryahaṃ triphaṇini vyāle MrgT_3.57c	tri-aham triPaNini vyAle MrgT_3.57c
   tryahaṃ svarbhānudarśane MrgT_3.56b	tri-aham svarBAnu-darSane MrgT_3.56b
   tvakṛtaṃ kṛtaraibhavam MrgT_1,13.144b	tu-akRtam kRta-rEBavam MrgT_1,13.144b
   tvagindriyamayuktārtha- MrgT_1,12.14a	tvac-indriyam-ayukta-arTa MrgT_1,12.14a
   tvayi vaktari deveśa MrgT_1,13.38c	tvayi vaktari deveSa MrgT_1,13.38c
   dakṣiṇāṃ bhūtasaṃhartā MrgT_1,13.121c	dakziNAm BUta-saMhartA MrgT_1,13.121c
   dakṣiṇottaradigdvāraṃ MrgT_3.95a	dakziNa-uttara-diS-dvAram MrgT_3.95a
   dagdhāḥ kopāgninā muneḥ MrgT_1,13.104d	dagDAH kopa-agninA muneH MrgT_1,13.104d
   daṇḍo dve dhanuṣī jñeyaḥ MrgT_1,13.8a	daNxaH dve DanuzI jQeyaH MrgT_1,13.8a
   dadāvumāpatirmahyaṃ MrgT_1,1.28c	dadO=-umApatiH-mahyam MrgT_1,1.28c
   dantairdantānasaṃspṛśan MrgT_4.19b	dantEH-dantAn-asaMspRSan MrgT_4.19b
   darśanāntarasaṃsthābhyaś MrgT_3.27a	darSana-antara-saMsTAByaH MrgT_3.27a
   daśapadagamatkṣayam MrgT_1,13.104b	daSa-pada-gamat-kzayam MrgT_1,13.104b
   daśalakṣonakoṭikāḥ MrgT_1,13.13b	daSa-lakza-Una-kowikAH MrgT_1,13.13b
   daśavarṣasahasrāyur- MrgT_1,13.83c	daSa-varza-sahasra-Ayur MrgT_1,13.83c
   daśavarṣasahasrāyur- MrgT_1,13.108a	daSa-varza-sahasra-Ayur MrgT_1,13.108a
   daśāṣṭādaśa cordhvake MrgT_3.42d	daSa-azwAdaSa ca-UrDvake MrgT_3.42d
   daśāṃśamanuhomayet MrgT_3.99b	daSa-aMSam-anuhomayet MrgT_3.99b
   daśāṃśo vihito mune MrgT_3.116b	daSa-aMSaH vihitaH mune MrgT_3.116b
