   (Hbṭ 1)	(Hbj 1)
   svakāryasahito janyate, atha kevalaḥ? | kevalo 'pi kiṃ svakāryāt prāg,	sva kArya sahitaH janyate, aTa kevalaH? | kevalaH api kim sva kAryAt prAk ,
   atha paścāt? | yadi svakāryasahitastudubhayoranyata eva bhāvāt	aTa paScAt? | yadi sva kArya sahitaH tuduBayoH anyatas eva BAvAt 
   parasparamasambandha iti kāryasambandhitāsya hīyeta | atha kevalaḥ	parasparam asambanDaH iti kArya sambanDitA asya hIyeta | aTa kevalaH
   svakāryāt prāk; tadā kṣaṇikatayā kāraṇasya tameva janayitvā dhvaṃsāt	sva kAryAt prAk; tadA kzaNikatayA kAraNasya tam eva janayitvA DvaMsAt 
   kathaṃ svakāryakrīyā? | tasyāṃ cāsatyāṃ kathaṃ tadapekṣamasya kāraṇatvam?	kaTam sva kArya krIyA? | tasyAm ca asatyAm kaTam tad apekzam asya kAraNa tvam?
   | tasmiṃścāsati kathamakāraṇena kāryakāraṇasambandho janyate? | atha	| tasmin= ca asati kaTam akAraNena kArya kAraNa sambanDaH janyate? | aTa
   svakāryaṃ kṛtvā paścājjanyeta tadāpi svakāryakāle eva vinaṣṭatvād	sva kAryam kRtvA paScAt janyeta tadA api sva kArya kAle eva vinazwa tvAt 
   asatastaduttarakālabhāvikāryakāraṇabhāvajananaṃ kutaḥ? | tadbhāvaśca	asataH tad uttara kAla BAvi kArya kAraNa BAva jananam kutas ? | tad BAvaH ca
   sambandha ucyate |	sambanDaH ucyate |
   janyatāyāṃ vā yadi samagrāḥ svarūpata eva tāṃ janayanti kārye ka eṣāṃ	janyatAyAm vA yadi samagrAH svarUpataH eva tAm janayanti kArye kaH ezAm
   śaktivyāghātaḥ? yato 'nyatra kalpyate | tatrāpyaparasāmagrīyogāpekṣāyāṃ	Sakti vyAGAtaH? yatas anyatra kalpyate | tatra api apara sAmagrI yoga apekzAyAm
   cānavasthāprasaṅgaḥ | tataḥ samagrā eva janakāḥ |	ca anavasTA prasaFgaH | tatas samagrAH eva janakAH |
   teṣāṃ ca kāraṇatvamekaikāpāye kāryavyatirekataḥ samunnīyata ityāha 	tezAm ca kAraNa tvam ekEka apAye kArya vyatirekataH samunnIyate iti Aha 
   "satsvapyanyeṣu" tatsāmagryantargateṣu "hetuṣu" janakeṣu (Hbṭ 49)	"satsu api anyezu" tad sAmagrI antargatezu "hetuzu" janakezu (H bj 49)
   pratyekaṃ teṣāṃ vyañjanakatvād "asyābhāve" janakatvena nirddhāryamāṇatayā	pratyekam tezAm vyaQjanaka tvAt "asya aBAve" janakatvena nirdDAryamANa tayA
   vivakṣitasyābhāve "na bhavati" ityanenānupalambhasya viṣaya uktaḥ |	vivakzitasya aBAve "na Bavati" iti anena anupalamBasya vizayaH uktaH |
   pratyakṣavṛttistu pūrvoktaivānupalambharahitā tadbhāve bhāvagrāhiṇī	pratyakza vRttiH tu pUrva uktA eva anupalamBa rahitA tad BAve BAva grAhiNI
   saṃbandhyate |	saMbanDyate |
   tathā cāyamapi tadbhāve bhāvaḥ tadabhāve 'bhāvaśca kāryakāraṇabhāvaḥ	taTA ca ayam api tad BAve BAvaH tad aBAve aBAvaH ca kArya kAraNa BAvaH
   kiṃsādhanaḥ? ityāha  "pratyakṣānupalambhasādhanaḥ" pratyakṣapūrvako	kiMsADanaH? iti Aha "pratyakza anupalamBa sADanaH" pratyakza pUrvakaH 
   'nupalambhaḥ tavdivikrānyapadārthagrāhipratyakṣātmakaḥ sādhanamasyeti	anupalamBaH tavdi vikrAnya padArTa grAhi pratyakza AtmakaH sADanam asya iti
   "pratyakṣānupalambhasādhanaḥ kāryakāraṇabhāvaḥ" |	"pratyakza anupalamBa sADanaH kArya kAraNa BAvaH" |
   yastvanupalambhasāpekṣeṇa pratyakṣeṇa sādhyata iti prāguktaḥ so	yaH tu anupalamBa sApekzeNa pratyakzeNa sADyate iti prAk uktaH saH 
   'nupalambhapūrvakaṃ pratyakṣaṃ sādhanamasyeti anupalambhapratyakṣasādhana	anupalamBa pUrvakam pratyakzam sADanam asya iti anupalamBa pratyakza sADana
   iti vaktavyaḥ | "tasya" kāryakāraṇabhāvasyānvayavyatirekātmanaḥ "siddhiḥ"	iti vaktavyaH | "tasya" kArya kAraNa BAvasya anvaya vyatireka AtmanaH "sidDiH"
   niścayo "yathoktābhyāṃ" pratyakṣānupalambhābhyāṃ kāryahetāvanvayaniścaya	niScayaH "yaTA uktAByAn" pratyakza anupalamBAByAm kArya hetO= anvaya niScaya
   iti sambandhate |	iti sambanDate |
   nanu cānvayaniścayo nāma kāryahetoḥ sarvatra kāryasya bhavataḥ	nanu ca anvaya niScayaH nAma kArya hetoH sarvatra kAryasya BavataH
   svakāraṇasattayānugamanamityevamavasāyaḥ tat kathaṃ	sva kAraNa sattayA anugamanam iti evam avasAyaH tat kaTam
   kāryakāraṇabhāvasiddhirevāsāvucyate? ityāśaṅkya	kArya kAraNa BAva sidDiH eva asO= ucyate? iti ASaFkya
   kāryakāraṇabhāvasiddhinibandhanatvādanvayaniścayasya kāraṇe	kArya kAraNa BAva sidDi nibanDana tvAt anvaya niScayasya kAraNe
   kāryopacārādananyopāyasādhyatāṃ darśayitum, darśanamātranibandhanaṃ ye	kArya upacArAt ananya upAya sADyatAm darSayitum, darSana mAtra nibanDanam ye
   tamicchanti tanmataniṣedhārthamasāvevamukta iti darśayannāha 	tam icCanti tat mata nizeDa arTam asO= evam uktaH iti darSayan= Aha 
   "kāryakāraṇabhāva eva hi" kāryakāraṇabhāve satyeva ‘hiḥ'; yasmāt	"kArya kAraNa BAvaH eva hi" kArya kAraNa BAve sati eva ‘hiH a; yasmAt 
   "arthāntarasya" sādhyād vyatiriktasya, yastvavyatiriktaḥ tasya viparyaye	"arTa antarasya" sADyAt vyatiriktasya, yaH tu avyatiriktaH tasya viparyaye
   bādhakapramāṇavṛttyā tādātmyaniścayādevānvayaniścaya iti	bADaka pramANa vRttyA tAdAtmya niScayAt eva anvaya niScayaH iti
   pūrvamuktamevetyarthāntaragrahaṇam | tasyārthāntarasya "evaṃ syāt" |	pUrvam uktam eva iti arTa antara grahaNam | tasya arTa antarasya "evam syAt" |
   katham? | ‘yatra nāma kvacid dhūmaḥ tatrāvaśyamagniḥ'; iti niyamena ‘agneḥ	kaTam? | ‘yatra nAma kvacid DUmaH tatra avaSyam agniH a; iti niyamena ‘agneH
   tatra bhāvaḥ'; ityevaṃrūpo 'nvayaniścayaḥ | yastvakāryakāraṇabhāve 'pi	tatra BAvaH a; iti evaMrUpaH anvaya niScayaH | yaH tu akArya kAraNa BAve api
   rasasyārthāntarasya rūpeṇānvayaniścayaḥ sa ekasāmagryadhīnatayā tasya	rasasya arTa antarasya rUpeNa anvaya niScayaH saH eka sAmagrI aDIna tayA tasya
   svakāraṇāvyabhicāradvāraka evetyadoṣaḥ |	sva kAraNa avyaBicAra dvArakaH eva iti adozaH |
   (Hbṭ 50)	(Hbj 50)
   atha yadi nāma kāryamagnerdhūmastathāpi kimiti yatrāsau	aTa yadi nAma kAryam agneH DUmaH taTA api kim iti yatra asO
   tatrāvaśyamagnirbhavati yataḥ kāryakāraṇabhāvasiddhinibandhano	tatra avaSyam agniH Bavati yatas kArya kAraNa BAva sidDi nibanDanaH 
   'nvayaniścaya ucyata ityāha  "agneḥ bhāve eva" sattāyāmeva ‘hiḥ'; yasmāt	anvaya niScayaH ucyate iti Aha "agneH BAve eva" sattAyAm eva ‘hiH a; yasmAt 
   "bhāvaḥ" sattā dhūmasya "kāryatvamiti" | tasmāt kāryakāraṇabhāve satyeva	"BAvaH" sattA DUmasya "kArya tvam iti" | tasmAt kArya kAraNa BAve sati eva
   yathokto 'nvayaniścaya iti | yadi hi yatra dhūmastatrāvaśyamagnirna syāt	yaTA uktaH anvaya niScayaH iti | yadi hi yatra DUmaH tatra avaSyam agniH na syAt 
   tadāgnimantareṇāpyasya bhāvād agnibhāva eva bhāvalakṣaṇaṃ kāryatvaṃ hīyeta	tadA agnim antareNa api asya BAvAt agni BAvaH eva BAva lakzaNam kArya tvam hIyeta
   [33. anupalabdhāvanvayaniścayopāyakathanam |]	[33. anupalabDO= anvaya niScaya upAya kaTanam |]
   idānīmanupalabdhāvanvayaniścayamāha  "anupalabdhāvapi" na kevalaṃ	idAnIm anupalabDO= anvaya niScayam Aha "anupalabDO= api" na kevalam
   svabhāvakāryaheto(tvo)ranvayaniścaya uktaḥ	svaBAva kArya heto(tvA u)ranvaya niScayaH uktaH
   kintvanupalabdhāvapyanvayaniścaya ucyate | kiṃrūpo 'sau? ityāha 	kintu anupalabDO= api anvaya niScayaH ucyate | kiMrUpaH asO? iti Aha 
   "asadvyavahārasya" sādhyadharmasya yogyatāyāśca sādhyatvāt	"asat vyavahArasya" sADya Darmasya yogyatAyAH ca sADya tvAt 
   tadyogyatāsavdyavahāro 'bhipretaḥ, tasya, upalabdhilakṣaṇaprāptasya yā	tad yogya tA savdyavahAraH aBipretaH, tasya, upalabDi lakzaNa prAptasya yA
   "anupalabdhiḥ" tadanyopalabdhirūpā ta"nmātre" nimittāntarānapekṣaṇī, yā	"anupalabDiH" tad anya upalabDi rUpA ta"t mAtre" nimitta antara anapekzaNI, yA
   "vṛttiḥ" pravṛttirasavdyavahārasya tasyāḥ "sādhanaṃ" siddhiḥ	"vRttiH" pravRttiH asa vdyavahArasya tasyAH "sADanaM" sidDiH
   anupalabdhavanvayaniścayaḥ | kutaḥ punarasavdyavahārasya tanmātre	anupalabDa vanvaya niScayaH | kutas punar asavdyavahArasya tanmAtre
   vṛttirbhavati? ityāha  "nimittāntarābhāvopadarśanāt" iti | yadā	vRttiH Bavati? iti Aha "nimitta antara aBAva upadarSana at" iti | yadA
   hyasavdyavahārasya yathoktānupaladbhivyatiriktaṃ	hi asavdyavahArasya yaTA ukta anupaladBi vyatiriktam
   buddhivyapadeśārthakriyāvirahādikaṃ nimittaṃ na bhavatīti sādhyate tadā	budDi vyapadeSa arTa kriyA viraha Adikam nimittam na Bavati iti sADyate tadA
   yathoktānupalabdhimātre 'sya vṛttiḥ siddhā bhavati | tathā(tayā)	yaTA ukta anupalabDi mAtre asya vRttiH sidDA Bavati | taTA a(tayA)
   cānupalabdhāvanvayaniścayaḥ | anyathā hi nimittāntarāpekṣāśaṅkāyāṃ	ca anupalabDO= anvaya niScayaH | anyaTA hi nimitta antara apekzA SaFkAyAm
   satyāmapi yathoktānupalabdhau nāvaśyamasavdyavahārasya bhāva iti kuto	satyAm api yaTA ukta anupalabDO na avaSyam asavdyavahArasya BAvaH iti kuto
   'nvayaniścayaḥ syāt? | nimittāntarābhāvastu vistarato vādanyāya ukta iti	anvaya niScayaH syAt? | nimitta antara aBAvaH tu vistarataH vAda nyAya uktaH iti
   tata evāvadhāryaḥ |	tatas eva avaDAryaH |
   athavā savdyavahārasya yannimittamupalabdhilakṣaṇaprāptasya sattvam tad	aTavA savdi avahArasya yad nimittam upalabDi lakzaNa prAptasya sattvam tat 
   asavdyavahāranimittādanyatvāt nimittāntaraṃ tatrānupalabdherabhāva	asavdyavahAra nimittAt anya tvAt nimitta antaram tatra anupalabDeH aBAva
   upadarśyate yena pramāṇena tadevamuktam, tena, sati vastuni tasyā	upadarSyate yena pramANena tat evam uktam, tena, sati vastuni tasyAH 
   asambhavaniścayād anupalabdhāvanvayaniścayaḥ | tacca tavdyatirekacintāyāṃ	asamBava niScayAt anupalabDO= anvaya niScayaH | tat ca tavdyatireka cintAyAm
   darśayiṣyāmaḥ |	darSayizyAmaH |
   (Hbṭ 51)	(Hbj 51)
   tadevaṃ trayāṇāmapi hetūnāṃ yathāsvaṃ pramāṇenānvayaniścaya uktaḥ |	tat evam trayANAm api hetUnAm yaTAsvam pramANena anvaya niScayaH uktaH |
   svabhāvahetau viparyaye bādhakapramāṇavṛttyā tādātmyasiddhinibandhanatvāt,	svaBAva hetO viparyaye bADaka pramANa vRttyA tAdAtmya sidDi nibanDana tvAt,
   kāryahetau pratyakṣānupalambhābhyāṃ kāryakāraṇabhāvasiddhinimittatvāt,	kArya hetO pratyakza anupalamBAByAm kArya kAraNa BAva sidDi nimitta tvAt,
   anupalabdhau	anupalabDO
   nimittāntarābhāvaprasādhakapramāṇastadabhavasiddhihetutvācceti |	nimitta antara aBAva prasADaka pramANaH tad aBava sidDi hetu tvAt ca iti |
   [34. kāryasvabhāvayorvyatirekaniścayopāyakathanam |]	[34. kArya svaBAvayoH vyatireka niScaya upAya kaTanam |]
   samprati trayāṇāmapi hetūnāṃ svasvapramānanibandhanaṃ vyatirekaniścayaṃ	samprati trayANAm api hetUnAm sva sva pramAna nibanDanam vyatireka niScayam
   pratipādayitukāma āha  "vyatirekaniścayo 'pi" na kevalamanvayaniścayo	pratipAdayitu kAmaH Aha "vyatireka niScayaH api" na kevalam anvaya niScayaH 
   yathāsvaṃ pramāṇanibandhanastayoruktaḥ api tu "vyatirekaniścayo 'pi	yaTAsvam pramANa nibanDanaH tayoH uktaH api tu "vyatireka niScayaH api
   kāryasvabhāvahetvo" ryathāsvaṃ pramāṇanimitta ucyate |	kArya svaBAva hetvo" ryaTAsvam pramANa nimittaH ucyate |
   kaḥ punarasau? "sādhyābhāve 'bhāvasiddhiḥ" | yāvatadātmaka[tadātmakau hetū	kaH punar asO? "sADya aBAve aBAva sidDiH" | yAvatat Atmaka[tad A AtmakO hetU
   kāraṇavyāpakarūpasādhyasya sādhakau] sādhyābhāve cābhāvasiddhistayoḥ |	kAraNa vyApaka rUpa sADyasya sADakO] sADya aBAve ca aBAva sidDiH tayoH |
   kena pramāṇena? | "kāraṇavyāpakānupalabdhibhyāṃ" | kāryahetau	kena pramANena? | "kAraNa vyApaka anupalabDiByAM" | kArya hetO
   kāraṇānupalabdhyā sādhyābhāve 'bhāvaniścayaḥ | svabhāvahetau	kAraNa anupalabDyA sADya aBAve aBAva niScayaH | svaBAva hetO
   vyāpakānupalabdhyā | kadā punaste anupalabdhī sādhike tasya bhavataḥ? |	vyApaka anupalabDyA | kadA punar te anupalabDI sADike tasya BavataH? |
   "kāryakāraṇavyāpyavyāpakabhāvasiddhau" pratyakṣānupalambhābhyāṃ	"kArya kAraNa vyApya vyApaka BAva sidDO" pratyakza anupalamBAByAm
   kāryakāraṇabhāvasiddhau satyāṃ kāraṇānupalabdhiḥ kāryahetau sādhyābhāve	kArya kAraNa BAva sidDO satyAm kAraNa anupalabDiH kArya hetO sADya aBAve
   'bhāvasya sādhikā, viparyaye ca bādhakapramāṇavṛttyā tadbhāvatāsiddhitaḥ |	aBAvasya sADikA, viparyaye ca bADaka pramANa vRttyA tad BAvatA sidDitaH |
   vyāpyavyāpakabhāvasiddhau satyāṃ vyāpakānupalabdhiḥ svabhāvahetau	vyApya vyApaka BAva sidDO satyAm vyApaka anupalabDiH svaBAva hetO
   sādhyābhāve 'bhāvasya sādhiketi | tadevaṃ bruvatā ubhayatra	sADya aBAve aBAvasya sADikA iti | tat evam bruvatA uBayatra
   tādātmyatadutpattilakṣaṇapratibandhaniścayādeva	tAdAtmya tad utpatti lakzaNa pratibanDa niScayAt eva
   dvayorapyanvayavyatirekayoḥ niścaya iti uktaṃ bhavati | ata evānyatra 	dvayoH api anvaya vyatirekayoH niScayaH iti uktam Bavati | atas eva anyatra 
   "kāryakāraṇabhāvād vā" ityādi uktam | kīdṛśībhyām? "dṛśyaviṣayābhyāṃ"	"kArya kAraNa BAvAt vA" ityAdi uktam | kIdRSIByAm? "dRSya vizayAByAM"
   dṛśyo viṣayo yayoste tathokte | yadi kāraṇavyāpakāvupalabdhilakṣaṇaprāptau	dRSyaH vizayaH yayoH te taTA ukte | yadi kAraNa vyApakO= upalabDi lakzaNa prAptO
   bhavatastadā tadanupalabdhī sādhyābhāve 'bhāvaṃ sādhayata iti yāvat | kadā	BavataH tadA tad anupalabDI sADya aBAve aBAvam sADayate iti yAvat | kadA
   punastayoḥ dṛśyaviṣayatāviśeṣaṇamapekṣyate? ityāha  "uddiṣṭaviṣayasya"	punar tayoH dRSya vizaya tA viSezaNam apekzyate? iti Aha "uddizwa vizayasya"
   uddiṣṭaḥ  kathito viṣayaḥ  ādhāro vaidharmyadṛṣṭāntalakṣaṇo yasya	uddizwaH kaTitaH vizayaH ADAraH vEDarmya dRzwAnta lakzaNaH yasya
   sādhyābhāve 'bhāvasya tasyopadarśane kriyamāṇe | tatrāpi (Hbṭ 52) kasmād	sADya aBAve aBAvasya tasya upadarSane kriyamANe | tatra api (Hbj 52) kasmAt 
   dṛśyaviṣayatāpekṣyate? iti cet āha  "anupalabdhi" ityādi | "anyathā" yadi	dRSya vizaya tA apekzyate? iti ced Aha "anupalabDi" ityAdi | "anyaTA" yadi
   dṛśyaviṣayatāviśeṣaṇamanupalabdhyornāpekṣyate |	dRSya vizaya tA viSezaNam anupalabDyoH na apekzyate |
   yadānupalabdhilakṣaṇaprāptaṃ viṣayaṃ vaidharmyadṛṣṭāntarūpamupādatte	yadA anupalabDi lakzaNa prAptam vizayam vEDarmya dRzwAnta rUpam upAdatte
   tadānupalabdhilakṣaṇaprāptau tatra kāraṇavyāpakāvapi bhavata iti	tadA anupalabDi lakzaNa prAptO tatra kAraNa vyApakO= api BavataH iti
   "anupalabdhilakṣaṇaprāptasyaḥ" kāraṇasya vyāpakasya vā "kvacid" viprakṛṣṭe	"anupalabDi lakzaNa prAptasyaH" kAraNasya vyApakasya vA "kvacid" viprakRzwe
   viṣaye sumervādau "abhāvāsiddheḥ" kathamābhyāṃ sādhyābhāve 'bhāvasiddhiḥ	vizaye sumeru AdO "aBAva asidDeH" kaTam AByAm sADya aBAve aBAva sidDiH
   syāt, kāraṇavyāpakānupalabdhyorevāsiddhatvāt ityabhiprāyaḥ |	syAt, kAraNa vyApaka an upalabDyoH eva asidDa tvAt iti aBiprAyaH |
   athānuddiṣṭaviṣayasyāpyabhāvasyopadarśane	aTa anuddizwa vizayasya api aBAvasya upadarSane
   'nupalabdhyorddaśyaviṣayatāviśeṣaṇaṃ kimitti nāpekṣyate? ityāha 	anupalabDyoH ddaSya vizaya tA viSezaNam kim itti na apekzyate? iti Aha 
   "anuddiṣṭaviṣayam" anuddiṣṭo viṣayaḥ  vaidharmyadṛṣṭāntarūpo yasmin	"anuddizwa vizayam" anuddizwaH vizayaH vEDarmya dRzwAnta rUpaH yasmin
   sādhyābhāve hetvabhāvakhyāpane tat "pratibandhamātrasiddhau" satyāṃ	sADya aBAve hetvaBAva KyApane tat "pratibanDa mAtra sidDO" satyAm
   dṛśyaviṣayatāviśeṣaṇamantareṇāpi yasmāt "sidhyati iti" tasmāt "na tatra"	dRSya vizaya tA viSezaNam antareNa api yasmAt "siDyati iti" tasmAt "na tatra"
   anuddiṣṭaviṣaye "vyatirekasādhane" anupalabdhyo "rdṛśyaviṣaya	anuddizwa vizaye "vyatireka sADane" anupalabDyaH "rdRSya vizaya
   tāviśeṣaṇamapekṣyate" aṅgīkriyate | tathā hi  aśeṣapadārthaparigraheṇa	tAviSezaNam apekzyate" aFgIkriyate | taTA hi aSeza padArTa parigraheNa
   sāmānyenāpi bruvato yo yatra pratibaddhasvabhāvaḥ tādātmyatadutpattibhyāṃ	sAmAnyena api bruvataH yaH yatra pratibadDa svaBAvaH tAdAtmya tad utpattiByAm
   sa tadabhāve 'vaśyameva na bhavatīti niḥsvabhāvatvāhetukatvaprasaṅgāt |	sa tad aBAve avaSyam eva na Bavati iti niHsvaBAva tva ahetuka tva prasaFgAt |
   taduktam 	tat uktam 
   "svabhāve 'pyavinābhāvo bhāvamātrānurodhinī |	"svaBAve api avinABAvaH BAva mAtra anuroDinI |
   tadabhāve svayaṃ bhāvasyābhāvaḥ syādabhedataḥ ||"	tad aBAve svayam BAvasya aBAvaH syAt aBedataH ||"
   tathā  "kāryaṃ dhūmo hutabhujaḥ kāryadharmānuvṛttitaḥ |	taTA "kAryam DUmaH hutaBujaH kArya Darma anuvRttitaH |
   sa bhavaṃstadabhāve 'pi hetumattāṃ vilaṅghyet ||" iti |	sa Bavan= tad aBAve api hetumat tAm vilaFGyet ||" iti |
   tatastatra dṛśyaviṣayatāpekṣyamāṇānupakārikaiveti na tayā kiñciditi bhāvaḥ	tatas tatra dRSya vizaya tA apekzyamANA anupakArikA eva iti na tayA kiQcid iti BAvaH
   "pratibandhamātrasiddhau" ityanena ye pratibandhaṃ hetorna varṇayanti	"pratibanDa mAtra sidDO" iti anena ye pratibanDam hetoH na varNayanti
   kintvadarśanamātrādeva vyatirekamāhusteṣāṃ tadasambhavaṃ vca darśayati |	kintva darSana mAtrAt eva vyatirekam AhuH tezAm tad asamBavam vca darSayati |
   tathā hi  asati pratibandhe yadi sarve sādhyavirahiṇo 'rthā dṛśyā bhavanti	taTA hi asati pratibanDe yadi sarve sADya virahiNaH arTAH dRSyAH Bavanti
   tadā teṣvanupalabdhasya sādhanasyābhāvaḥ śiṣyet | tadāha kumārilo 'pi 	tadA tezu anupalabDasya sADanasya aBAvaH Sizyet | tat Aha kumArilaH api 
   (Hbṭ 53)	(Hbj 53)
   "gatvā gatvā tu tān deśān yadyartho nopalabhyate |	"gatvA gatvA tu tAn deSAn yadi arTaH na upalaByate |
   tadānyakāraṇābhāvādasannityavagamyate ||" iti |	tadA anya kAraNa aBAvAt asan= iti avagamyate ||" iti |
   deśādiviprakarṣitayā tvadṛśyatve satyapi tatra hetāvanupalambhamātrasya	deSa Adi viprakarzi tayA tu adRSya tve sati api tatra hetO= anupalamBa mAtrasya
   sambhavāt sandigdho 'sāva'śeṣe sādhyābhāve sādhanābhāvalakṣaṇo vyatirekaḥ	samBavAt sandigDaH asO= a aSeze sADya aBAve sADana aBAva lakzaNaH vyatirekaH
   tathāvidhasyaiva yatra yatra sādhyābhāvaḥ tatra tatra sādhanābhāva iti	taTAviDasya eva yatra yatra sADya aBAvaH tatra tatra sADana aBAvaH iti
   vīpsāpadābhyāmabhidhānāt | anvayaniścayo 'pi prākpratibandhanibandhana eva	vIpsA padAByAm aBiDAnAt | anvaya niScayaH api prAc pratibanDa nibanDanaH eva
   varṇitaḥ tatastenāpi pareṣāṃ darśananibandhanāmanvayasiddhimicchatāmabhāvo	varNitaH tatas tena api parezAm darSana nibanDanAm anvaya sidDim icCatAm aBAvaH 
   'syāpi kathita eva, sarvārthānāṃ hetumatāṃ sādhyadharmavattayā	asya api kaTitaH eva, sarva arTAnAm hetumatAm sADya Darmavat tayA
   draṣṭumaśakyatvādanumātṛbhiḥ | aśeṣadeśādiviṣayasya ca sādhyānugamasya	drazwum aSakyatvAt anumAtRBiH | aSeza deSa Adi vizayasya ca sADya anugamasya
   yatra yatra hetuḥ tatra tatra sādhyam iti vīpsayā pratipādanāt | na ca	yatra yatra hetuH tatra tatra sADyam iti vIpsayA pratipAdanAt | na ca
   katipayadeśādau sādhanadharmasya sādhyadharmeṇa sahabhāvasya bhūyo darśane	katipaya deSa AdO sADana Darmasya sADya DarmeNa sahaBAvasya BUyas darSane
   'pi vyāptiḥ sidhyati, asati pratibandhe kvacid bahulaṃ	api vyAptiH siDyati, asati pratibanDe kvacid bahulam
   tathādṛṣṭānāmapyanyāthātvasyāpi sambhavāt, tadasambhave	taTA adRzwAnAm api anyATAtvasya api samBavAt, tad asamBave
   bādhakapramāṇābhāvāt |	bADaka pramANa aBAvAt |
   [35. anupalabdhau vyatirekaniścayopāyākathanam |]	[35. anupalabDO vyatireka niScaya upAyAkaTanam |]
   anupalabdhimadhikṛtyādhunāha  "vyatirekaniścayo 'nupaladhau" ucyata iti	anupalabDim aDikRtya aDunA aha "vyatireka niScayaH anupalaDO" ucyate iti
   śeṣaḥ | kimātmako 'sau? ityāha "upalabdhilakṣaṇaprāptād"	SezaH | kimAtmakaH asO? iti Aha "upalabDi lakzaNa prAptAt "
   vidyamānopalambhapratyayāntarād dṛśyasvabhāvācca "sataḥ" vidyamānāt	vidyamAna upalamBa pratyaya antarAt dRSya svaBAvAt ca "sataH" vidyamAnAt 
   sādhyābhāvarūpād "anupalambhasya" tadviviktopalambhātmano yo 'bhāvaḥ sato	sADya aBAva rUpAt "anupalamBasya" tad vivikta upalamBa AtmanaH yaH aBAvaH sataH 
   yadgrāhakaṃ pratyakṣaṃ tadbhāvalakṣaṇastasya "darśanaṃ" darśyate 	yat grAhakam pratyakzam tad BAva lakzaNaH tasya "darSanan" darSyate 
   pratyāyyate 'neneti darśanam upadarśakaṃ pramāṇaṃ tadātmako 'nupalabdhau	pratyAyyate anena iti darSanam upadarSakam pramANam tad AtmakaH anupalabDO
   vyatirekaniścayaḥ | taddhetutvācca tat pramāṇaṃ tathocyate | yadi hi	vyatireka niScayaH | tad hetu tvAt ca tat pramANam taTA ucyate | yadi hi
   sannihitānyopalambhapratyayo dṛśyasvabhāvo bhāvo vidyamāno 'pi	sannihita anya upalamBa pratyayaH dRSya svaBAvaH BAvaH vidyamAnaH api
   nopalabhyeta kathamasau (Hbṭ 54) dṛśyasvabhāvaḥ syāt? | yo hi	na upalaByeta kaTam asO (H bj 54) dRSya svaBAvaH syAt? | yaH hi
   satsvanyeṣūpalambhapratyayeṣu san pratyakṣa eva bhavati sa eva	satsu anyezu upalamBa pratyayezu san pratyakzaH eva Bavati saH eva
   dṛśyasvabhāva ākhyāyate | tasmāt tathāvidhe sannihite 'vaśyaṃ	dRSya svaBAvaH AKyAyate | tasmAt taTAviDe sannihite avaSyam
   pratyakṣavṛttyā bhavitavyam, anyathāsya na kadācidapi pratyakṣatā syāt,	pratyakza vRttyA Bavitavyam, anyaTA asya na kadAcid api pratyakzatA syAt ,
   viśeṣābhāvāditi | prayogaḥ  yad yanmātranimittaṃ tatsmin sati niyamena	viSeza aBAvAt iti | prayogaH yat yat mAtra nimittam tat smin sati niyamena
   bhavati | tad yathā  bījādisāmagrīmātranimitto 'ṅkuraḥ |	Bavati | tat yaTA bIja Adi sAmagrI mAtra nimittaH aFkuraH |
   yathoktopalabdhilakṣaṇaprāptatāmātranimittaṃ ca sati vastuni tathāvidhe	yaTA ukta upalabDi lakzaNa prApta tA mAtra nimittam ca sati vastuni taTAviDe
   pratyakṣamiti svabhāvahetuḥ | [ete]na pramāṇena svabhāvānupalabdhau	pratyakzam iti svaBAva hetuH | [ete]na pramANena svaBAva anupalabDO
   sādhyābhāve 'bhāvalakṣaṇo vyatireko niścīyate | etacca	sADya aBAve aBAva lakzaNaH vyatirekaH niScIyate | etat ca
   pramāṇamanvayaniścayasyāpi nimittam | anenaiva nimittāntare	pramANam anvaya niScayasya api nimittam | anena eva nimitta antare
   'nupalabdherabhāvopadarśanāt | kāraṇavyāpakānupalabdhyostu vakṣyamāṇayoḥ	anupalabDeH aBAva upadarSanAt | kAraNa vyApaka an upalabDyoH tu vakzyamANayoH
   pratibandhadvayasidvyupāya evānvayavyatirekaniścayanibandhanam | sa ca	pratibanDa dvaya sidvi upAyaH eva anvaya vyatireka niScaya nibanDanam | sa ca
   kāryasvabhāvahetvorupadarśita eveti pṛthagnoktaḥ | tathā hi 	kArya svaBAva hetvoH upadarSitaH eva iti pRTagna uktaH | taTA hi 
   kāraṇavyāpakayorabhāvaḥ kāryavyāpyābhāvābhyāmavaśyamanvitaḥ	kAraNa vyApakayoH aBAvaH kArya vyApya aBAvAByAm avaSyam anvitaH
   kāryavyāpyābhāvavyatireke ca tadbhāvalakṣaṇe 'vaśyaṃ vyatiricyate	kArya vyApya aBAva vyatireke ca tad BAva lakzaNe avaSyam vyatiricyate
   kāraṇavyāpakayorbhāvāt | anyathā	kAraNa vyApakayoH BAvAt | anyaTA
   kāryavyāpyayorahetukatvaniḥsvabhāvatāprasaṅgāditi na kiñcit	kArya vyApyayoH ahetuka tva niHsvaBAvatA prasaFgAt iti na kiQcid 
   pṛthagabhidhāneneti |	pRTak aBiDAnena iti |
