   daśarūpakam /	daSa-rUpakam /
   santarjya tāḍayen madhyā madhyādhīreva taṃ vadet /	santarjya tAxayet maDyAH maDya-aDIH-eva tam vadet /
   dvedhā jyeṣṭhā kaniṣṭā cetyamugdhā dvādaśoditāḥ // DhDaś_2.18 //	dveDA jyezWA kanizwA ca-iti-amugDAH dvAdaSa-uditAH // DhDaH-_2.18 //
   anyastrī kanyakoḍhā ca nānyoḍhāṅgirase kvacit /	anya-strI kanya-koXA ca na-anyoXa-aFgirase kvacid /
   kanyānurāgamicchātaḥ kuryādaṅgāṅgisaṃśrayam // DhDaś_2.19 //	kanyA-anurAgam-icCAtaH kuryAt-aFgAFgi-saMSrayam // DhDas-_2.19 //
   sādhāraṇastrī gaṇikā kalāprāgalbhyadhaurtyayuk /	sADAraNa-strI gaNikA kalA-prAgalBya-DOrtya-yuj /
   channakāmasukhārthājñasvatantrāhaṃyupaṇḍakān // DhDaś_2.20 //	CannakAma-suKa-arTa-AjQa-svatantra-ahaMyupaNxakAn // DhDas-_2.20 //
   rakteva rañjayedāḍhyān niḥsvān mātrā vivāsayet /	raktA-iva raQjayet-AXyAt niHsvAn mAtrA vivAsayet /
   raktaiva tvaprahasane naiṣā divyanṛpāśraye // DhDaś_2.21 //	rakta-eva tu-aprahasane na-ezA divya-nRpa-ASraye // DhDas-_2.21 //
   āsāmaṣṭāvavasthāḥ syuḥ svādhīnapatikādikāḥ /	AsAm-azwO=-avasTAH syuH svADIna-patika-AdikAH /
   āsannāyattaramaṇā hṛṣṭā svādhīnabhartṛkā // DhDaś_2.22 //	Asanna-Ayattara-maNA hRzwA svADIna-BartRkAH // DhDas-_2.22 //
   mudā vāsakasajjā svaṃ maṇḍayatyeṣyati priye /	mudA vAsaka-sajjA svam maNxayati-ezyati priye /
   cirayatyavyalīke tu virahotkaṇṭhitonmanāḥ // DhDaś_2.23 //	cirayati-avyalIke tu viraha-utkaNWita-unmanAH // DhDas-_2.23 //
   jñāte'nyāsaṅgavivṛte khaṇḍterṣyākaṣāyitā /	jQAte-anya-AsaFga-vivRte KaNxta-IrzyA-kazAyitA /
   kalahāntaritāmarṣād vidhūte'nuśayārtiyuk // DhDaś_2.24 //	kalaha-antarita-amarzAt viDUte-anuSaya-Arti-yuj // DhDaH-_2.24 //
   vipralabdhoktasamayamaprāpte'tivimānitā /	vipralabDa-ukta-samayam-aprApte-ati-vimAnitA /
   dūradeśābtarasthe tu kāryataḥ proṣitapriyā /	dUra-deSa-abtara-sTe tu kAryataH prozita-priyA /
   kāmārtābhisaret kāntaṃ sārayed vābhisārikā // DhDaś_2.25 //	kAma-Arta-aBisaret kAntam sArayet vA-aBisArikAH // DhDas-_2.25 //
   cintāniḥśvāsakhedāśruvaivarṇyaglānyabhūṣaṇaiḥ /	cintA-niHSvAsa-Keda-aSru-vEvarNya-glAnyaBUzaNEH /
   yuktāḥ ṣaḍantyā dve cādye kroḍaujjvalyapraharṣitaiḥ // DhDaś_2.26 //	yuktAH zaw-antyA dve ca-Adye kroxa-Ojjvalya-praharzitEH // DhDas-_2.26 //
   dūtyo dāsī sakhī kārūrdhātreyī prativeśikā /	dUtyaH dAsI saKI kArUrDA-AtreyI prativeSikAH /
   liṅginī śilpinī svaṃ ca netṛmitraguṇānvitāḥ // DhDaś_2.27 //	liFginI SilpinI svam ca netR-mitra-guNa-anvitAH // DhDas-_2.27 //
   yauvane sattvajāḥ strīṇāmalaṅkārāstu viṃśatiḥ /	yOvane sattva-jAH strINAm-alaFkArAH-tu viMSatiH /
   bhāvo hāvaśca helā ca trayastatra śarīrajāḥ // DhDaś_2.28 //	BAvaH hAvaH-ca helA ca trayaH-tatra SarIra-jAH // DhDas-_2.28 //
   śobhā kāntiśca dīptiśca mādhuryaṃ ca pragalbhatā /	SoBA kAntiH-ca dIptiH-ca mADuryam ca pragalBa-tA /
   audāryaṃ dhairyamityete sapta bhāvā ayatnajāḥ // DhDaś_2.29 //	OdAryam DEryam-iti-ete sapta BAvAH ayatna-jAH // DhDas-_2.29 //
   līlā vilāso vicchittirvibhramaḥ kilakiñcitam /	lIlA vilAsaH vicCittiH-viBramaH kila-kiQcitam /
   moṭṭāyitaṃ kuṭṭamitaṃ bibboko lalitaṃ tathā /	mowwAyitam kuwwa-mitam bibbokaH lalitam taTA /
   vihṛtaṃ ceti vijñeyā daśa bhāvāḥ svabhāvajāḥ // DhDaś_2.30 //	vihRtam ca-iti vijQeyAH daSa BAvAH svaBAva-jAH // DhDas-_2.30 //
   nirvikārātmakāt sattvād bhāvastatrādyavikriyā /	nirvikAra-AtmakAt sattvAt BAvaH-tatra-Adya-vikriyA /
   hevākasastu śṛṅgāro hāvo'kṣibhrūvikārakṛt // DhDaś_2.31 //	hevAkasaH-tu SRFgAraH hAvaH-akzi-BrU-vikAra-kRt // DhDaH-_2.31 //
   sa eva helā suvyaktaśṛṅgārarasasūcikā /	saH eva helA su-vyakta-SRFgAra-rasa-sUcikA /
   rūpopabhogatāruṇyaiḥ śobhāṅgānāṃ vibhūṣaṇam // DhDaś_2.32 //	rUpa-upaBoga-tAruNyEH SoBA-aFgAnAm viBUzaNam // DhDas-_2.32 //
   manmathāvāpitacchāyā saiva kāntiriti smṛtā /	manmaTA-vApita=-CAyA sA-eva kAntiH-iti smRtA /
   anulabaṇatvaṃ mādhuryaṃ dīptiḥ kāntestu vistaraḥ // DhDaś_2.33 //	anula-baNa-tvam mADuryam dIptiH kAnteH-tu vistaraH // DhDas-_2.33 //
   niḥsādhvasatvaṃ prāgalbhyaṃ audāryaṃ praśrayaḥ sadā /	niHsADva-satvam prAgalByam OdAryam praSrayaH sadA /
   cāpalāvihatā dhairyaṃ cidvṛttiravikatthanā // DhDaś_2.34 //	cApalA-vihatA DEryam cit-vRttiH-avikatTanA // DhDaH-_2.34 //
   priyānukaraṇaṃ līlā madhurāṅgaviceṣṭitaiḥ /	priya-anukaraNam lIlA maDura-aFga-vicezwitEH /
   tātkāliko viśeṣastu vilāso'ṅgakriyādiṣu // DhDaś_2.35 //	tAtkAlikaH viSezaH-tu vilAsaH-aFga-kriyA-Adizu // DhDaH-_2.35 //
   ākalparacanālpāpi vicchittiḥ kāntipopa(?)kṛt /	Akalpa-racanA-alpA-api vicCittiH kAnti-popa(?)kRt /
   vibhramastvarayā kāle bhūṣāsthānaviparyayaḥ // DhDaś_2.36 //	viBramaH-tvarayA kAle BUzA-sTAna-viparyayaH // DhDas-_2.36 //
   krodhāśruharṣabhītyādeḥ saṅkaraḥ kilakiñcitam /	kroDa-aSruha-rza-Bi-iti-AdeH saFkaraH kila-kiQcitam /
   moṭṭāyitaṃ tu tadbhāvabhāvaneṣṭakathādiṣu // DhDaś_2.37 //	mowwAyitam tu tad-BAva-BAvanezwa-kaTA-Adizu // DhDaH-_2.37 //
   sānandāntaḥ kuṭṭamitaṃ kupyet keśādharagrahe /	sa-Ananda-antar kuwwa-mitam kupyet keSa-aDara-grahe /
   garvābhimānādiṣṭe'pi bibboko'nādarakriyā // DhDaś_2.38 //	garva-aBimAna-At-izwe-api bibbokaH-anAdara-kriyAH // DhDas-_2.38 //
   sukumārāṅgavinyāso masṛṇo lalitaṃ bhavet /	sukumAra-aFga-vinyAsaH masRNaH lalitam Bavet /
   prāptakālaṃ na yad brūyād vrīḍayā vihṛtaṃ hi tat // DhDaś_2.39 //	prApta-kAlam na yat brUyAt vrIxayA vihRtam hi tat // DhDaH-_2.39 //
   mantrī svaṃ vobhayaṃ vāpi sakhā tasyārthacintane /	mantrI svam vA-uBayam vA-api saKA tasya-arTa-cintane /
   mantriṇā lalitaḥ śeṣāḥ mantrisvāyattasiddhayaḥ // DhDaś_2.40 //	mantriNA lalitaH SezAH mantri-svAyatta-sidDayaH // DhDas-_2.40 //
   ṛtvikpurohitau dharme tapasvibrahmavādinaḥ /	Rtvij-purohitO Darme tapasvi-brahma-vAdinaH /
   suhṛtkumārāṭavikā daṇḍe sāmantasainikāḥ // DhDaś_2.41 //	suhRd-kumAra-AwavikAH daNxe sAmanta-sEnikAH // DhDas-_2.41 //
   antaḥpure varṣavarāḥ kirātā mūkavāmanāḥ /	antaHpure varza-varAH kirAtAH mUka-vAmanAH /
   mlecchābhīraśakārādyāḥ svasvakāryopayoginaḥ // DhDaś_2.42 //	mlecCa-ABIra-SakAra-AdyAH sva-sva-kArya-upayoginaH // DhDas-_2.42 //
   jyeṣṭhamadhyādhamatvena sarveṣāṃ ca trirūpatā /	jyezWa-maDya-aDama-tvena sarvezAm ca tri-rUpa-tA /
   tāratamyād yathoktānāṃ guṇānāṃ cottamāditā /	tAratamyAt yaTA-uktAnAm guNAnAm ca-uttama-AditA /
   evaṃ nāṭye vidhātavyo nāyakaḥ saparicchadaḥ // DhDaś_2.43 //	evam nAwye viDAtavyaH nAyakaH sa-paricCadaH // DhDas-_2.43 //
   tadvyāpārātmikā vṛttiścaturdhā tatra kaiśikī /	tad-vyApAra-AtmikA vRttiH-caturDA tatra kESikI /
   gatinṛtyavilāsādyairmṛduḥ śṛṅgāraceṣṭitaiḥ /	gati-nRtya-vilAsa-AdyEH-mRduH SRFgAra-cezwitEH /
   narmataisphiñjatatsphoṭatadgaibhaiścaturaṅgikā // DhDaś_2.44 //	narma-tA-esPiQjatat-sPowa-tadgEBEH-caturaFgikAH // DhDas-_2.44 //
   vaidagdhyakrīḍitaṃ narma priyopacchandanātmakam /	vEdagDya-krIxitam narma priyopacCandana-Atmakam /
   hāsyenaiva saśṛṅgārabhayena vihitaṃ tridhā // DhDaś_2.45 //	hAsyena-eva sa-SRFgAra-Bayena vihitam triDA // DhDas-_2.45 //
   ātmopakṣepasambhogamānaiḥ śṛṅgāryapi tridhā /	Atma-upakzepa-samBoga-mAnEH SRFgArI-api triDA /
   śuddhamaṅgaṃ bhayaṃ dvedhā vāgveṣaceṣṭitaiḥ /	SudDam-aFgam Bayam dveDA vAc-veza-cezwitEH /
   sarvaṃ sahāsyamityevaṃ narmāsṭādaśadhoditam // DhDaś_2.46 //	sarvam saha-Asyam-iti-evam narma-AswAdaSaDA-uditam // DhDaH-_2.46 //
   narmasphiñjaḥ sukhārambho bhayānto navasaṅgame /	narma-sPiQjaH suKa-AramBaH Baya-antaH nava-saFgame /
   narmasphoṭastu bhāvānāṃ sūcito'lparaso lavaiḥ // DhDaś_2.47 //	narmasPowaH-tu BAvAnAm sUcitaH-alpa-rasaH lavEH // DhDas-_2.47 //
   channanetrapratīcāro narmagarbho'rthahetave /	Canna-netra-pratIcAraH narmagarBaH-arTa-hetave /
   aṅgaiḥ sahāsyanirhāsyairebhireṣātra kaiśikī // DhDaś_2.48 //	aFgEH saha-Asya-nirhAsyEH-eBiH-ezA-atra kESikI // DhDaH-_2.48 //
   viśokā sāttvatī sattvaśauryatyāgadayājavaiḥ /	viSokA sAttvatI sattva-SOrya-tyAga-dayA-javEH /
   saṃlāpotthāpakāvasyāṃ sāṅghātyaḥ parivartakaḥ // DhDaś_2.49 //	saMlApa-utTApa-kA=-asyAm sa-aFGAtyaH parivartakaH // DhDas-_2.49 //
   saṃlāpako gabhīroktirnānābhāvarasā mithaḥ /	saMlApakaH gaBIra-uktiH-nAnA-BAva-rasAH miTas /
   utthāpakastu yatrādau yuddhāyotthāpayet param // DhDaś_2.50 //	utTApakaH-tu yatra-AdO yudDAya-utTApayet param // DhDaH-_2.50 //
   mantrārthadaivaśaktyādeḥ sāṅghātyaḥ saṅghabhedanam /	mantra-arTa-dEva-Sakti-AdeH sa-aFGAtyaH saFGa-Bedanam /
   prārabdhotthānakāryānyakaraṇāt parivartakaḥ // DhDaś_2.51 //	prArabDa-utTAna-kArya-ani-akaraNAt parivartakaH // DhDas-_2.51 //
   ebhiraṅgaiścaturdheyaṃ sāttvatyārabhaṭī punaḥ /	eBiH-aFgEH-caturDA-iyam sAttva-tyAraBawI punar /
   māyendrajālasaṅgrāmakrodhodbhrāntādiceṣṭitaiḥ /	mAyA-indra-jAla-saFgrAma-kroDa-udBrAnta-Adi-cezwitEH /
   saṅkṣiptikā syāt sampheṭo vastūtthānāvapātane // DhDaś_2.52 //	saFkziptikA syAt samPewaH vastu-utTAna-avapAtane // DhDaH-_2.52 //
   saṅkṣiptavasturacanā saṅkṣiptiḥ śilpayogataḥ /	saFkzipta-vastu-racanA saFkziptiH Silpa-yogataH /
   pūrvanetṛnivṛttyānye netrantaraparigrahaḥ // DhDaś_2.53 //	pUrva-netR-nivRttyA-anye netR-antara-parigrahaH // DhDas-_2.53 //
   sampheṭastu samāghātaḥ kruddhasaṃrabdhayordvayoḥ /	samPewaH-tu samAGAtaH krudDa-saMrabDayoH-dvayoH /
   māyādyutthāpitaṃ vastu vastūtthāpanamiṣyate /	mAyA-Adi-utTApitam vastu vastu-utTApanam-izyate /
   avapātastu niṣkrāmapraveśatrāsavidravaiḥ // DhDaś_2.54 //	avapAtaH-tu nizkrAma-praveSa-trAsa-vidravEH // DhDaH-_2.54 //
   ebhiraṅgaiścaturdheyaṃ nārthavṛttirataḥ parā /	eBiH-aFgEH-caturDeyam na-arTa-vRttiH-atas parA /
   caturthī bhāratī sāpi vācyā nāṭakalakṣaṇe // DhDaś_2.55 //	caturTI BAratI sA-api vAcyAH nAwaka-lakzaNe // DhDas-_2.55 //
   kaiśikīṃ sāttvatīṃ cārthavṛttimārabhaṭīmiti /	kESikIm sAttvatIm ca-arTa-vRttim-AraBawIm-iti /
   paṭhantaḥ pañcamīṃ vṛttimaudbhaṭāḥ pratijānate // DhDaś_2.56 //	paWantaH paQcamIm vRttim-OdBawAH pratijAnate // DhDas-_2.56 //
   śṛṅgāre kauśikī vīre sāttvatyārabhaṭī punaḥ /	SRFgAre kOSikI vIre sAttva-tyAraBawI punar /
   rase raudre ca bībhatse vṛttiḥ sarvatra bhāratī // DhDaś_2.57 //	rase rOdre ca bIBatse vRttiH sarvatra BAratI // DhDas-_2.57 //
   deśabhāṣākriyāveṣalakṣaṇāḥ syuḥ pravṛttayaḥ /	deSa-BAzA-kriyA-veza-lakzaNAH syuH pravRttayaH /
   lokādevāvagamyaitā yathaucityaṃ prayojayet // DhDaś_2.58 //	lokAt-eva-avagamyA-etAH yaTA-Ocityam prayojayet // DhDaH-_2.58 //
   pādyaṃ tu saṃskṛtaṃ nṝṇāmanīcānāṃ kṛtātmanām /	pAdyam tu saMskRtam nLNAm-anIcAnAm kRtAtmanAm /
   liṅginīnāṃ mahādevyā mantrijāveśyayoḥ kvacit // DhDaś_2.59 //	liFginInAm mahAdevyA mantrija-AveSyayoH kvacid // DhDaH-_2.59 //
   strīṇāṃ tu prākṛtaṃ prāyaḥ śūrasenyadhameṣu ca /	strINAm tu prAkRtam prAyas SUrasenya-Damezu ca /
   piśācātyantanīcādau paiśācaṃ māgadhaṃ tathā // DhDaś_2.60 //	piSAca-atyanta-nIca-AdO pESAcam mAgaDam taTA // DhDas-_2.60 //
   yaddeśaṃ nīcapātraṃ yat taddeśaṃ tasya bhāṣitam /	yat-deSam nIca-pAtram yat tad-deSam tasya BAzitam /
   kāryataścottamādīnāṃ kāryo bhāṣāvyatikramaḥ // DhDaś_2.61 //	kAryataH-ca-uttama-AdInAm kAryaH BAzA-vyatikramaH // DhDas-_2.61 //
   bhagavanto varairvācyā vidvaddevarṣiliṅginaḥ /	BagavantaH varEH-vAcyAH vidvat-deva-Rzi-liFginaH /
   viprāmātyāgrajāścāryā naṭīsūtramṛtau mithaḥ // DhDaś_2.62 //	vipra-amAtya-agrajAH-ca-AryA nawI-sUtram-RtO miTas // DhDas-_2.62 //
   rathī sūtena cāyuṣmān pūjyaiḥ śiṣyātmajānujāḥ /	raTI sUtena ca-AyuzmAn pUjyEH Sizya-Atmaja-anujAH /
   vatseti tātaḥ pūjyo'pi sugṛhītābhidhastu taiḥ // DhDaś_2.63 //	vatsa-iti tAtaH pUjyaH-api su-gRhIta-aBiDaH-tu tEH // DhDaH-_2.63 //
   bhāvo'nugena sūtrī ca mārṣetyetena so'pi ca /	BAvaH-anugena sUtrI ca mArza-iti-etena saH-api ca /
   devaḥ svāmīti nṛpatirbhṛtyairbhaṭṭeti cādhamaiḥ // DhDaś_2.64 //	devaH svAmI-iti nRpatiH-BRtyEH-Bawwa-iti ca-aDamEH // DhDas-_2.64 //
   āmantraṇīyāḥ pativaj jyeṣṭhamadhyādhamaiḥ striyaḥ /	AmantraNIyAH pati-vat jyezWa-maDya-aDamEH striyaH /
   samā haleti praṣyā ca hañje veśyājjukā tathā // DhDaś_2.65 //	samA hala-iti prazyA ca haQje veSyAt-jukA taTA // DhDas-_2.65 //
   kuṭṭinyamvetyanugataiḥ pūjyā vā jaratī janaiḥ /	kuwwinyam-va-iti-anugatEH pUjyA vA jaratI janEH /
   vidūṣakeṇa bhavatī rājñī ceṭīti śabdyate // DhDaś_2.66 //	vidUzakeNa BavatI rAjQI cewI-iti Sabdyate // DhDaH-_2.66 //
   ceṣṭāguṇodāhṛtisattvabhāvān	cezwA-guNa-udAhRti-sattva-BAvAn
   aśeṣato netṛdaśāvibhinnān /	aSezatas netR-daSa-aviBinnAn /
   ko vaktumīśo bharato na yo vā	kaH vaktum-ISaH BarataH na yaH vA
   yo vā na devaḥ śaśikhaṇḍamauliḥ // DhDaś_2.67 //	yaH vA na devaH SaSi-KaNxa-mOliH // DhDaH-_2.67 //
   [pariccheda 3]	[paricCeda 3]
   prakṛtitvādathānyeṣāṃ bhūyorasaparigrahāt /	prakRti-tvAt-aTa-anyezAm BUya-urasa-parigrahAt /
   sampūrṇalakṣaṇatvāc ca pūrvaṃ nāṭakamucyate // DhDaś_3.1 //	sampUrNa-lakzaNa-tvAt ca pUrvam nAwakam-ucyate // DhDaH-_3.1 //
   pūrvaraṅgaṃ vidhāyādau sūtradhāre vinirgate /	pUrva-raFgam viDAya-AdO sUtra-DAre vinirgate /
   praviśya tadvadaparaḥ kāvyamāsthāpayen naṭaḥ // DhDaś_3.2 //	praviSya tadvat-aparaH kAvyam-AsTApayet nawaH // DhDas-_3.2 //
   divyamartye sa tadrūpo miśramanyatarastayoḥ /	divya-martye sa tad-rUpaH miSram-anyataraH-tayoH /
   sūcayed vastu bījaṃ vā mukhaṃ pātramathāpi vā // DhDaś_3.3 //	sUcayet vastu bIjam vA muKam pAtram-aTa-api vA // DhDaH-_3.3 //
   raṅgaṃ prasādya madhuraiḥ ślokaiḥ kāvyārthasūcakaiḥ /	raFgam prasAdya maDurEH SlokEH kAvya-arTa-sUcakEH /
   ṛtuṃ kañcidupādāya bhāratīṃ vṛttimāśrayet // DhDaś_3.4 //	Rtum kaQcid-upAdAya BAratIm vRttim-ASrayet // DhDaH-_3.4 //
   bhāratī saṃskṛtaprāyo vāgvyāpāro naṭāśrayaḥ /	BAratI saMskRta-prAyaH vAc-vyApAraH nawa-ASrayaH /
   bhedaiḥ prarocanāyuktairvīrthīprahasanāmukhaiḥ // DhDaś_3.5 //	BedEH prarocanA-yuktEH-vIrTI-prahasanA-muKEH // DhDas-_3.5 //
   unmukhīkaraṇaṃ tatra praśaṃsātaḥ prarocanā /	unmuKIkaraNam tatra praSaMsAtaH prarocanA /
   vīthī prahasanaṃ cāpi svaprasaṅge'bhidhāsyate /	vITI prahasanam ca-api sva-prasaFge-aBiDAsyate /
   vīthyaṅgāvyāmukhāṅgatvāducyante'traiva tat punaḥ // DhDaś_3.6 //	vITi-aFga-avyAmuKa-aFga-tvAt-ucyante-atra-eva tat punar // DhDas-_3.6 //
   sūtradhāro naṭīṃ brūte mārṣaṃ vātha vidūṣakam /	sUtra-DAraH nawIm brUte mArzam vA-aTa vidUzakam /
   svakāryaṃ prastutākṣepi citroktyā yat tadāmukham // DhDaś_3.7 //	sva-kAryam prastuta-akzepi citra-uktyA yat tadAmuKam // DhDaH-_3.7 //
   prastāvanā vā tatra syuḥ kathādghātaḥ pravṛttakam /	prastAvanA vA tatra syuH kaTAt-GAtaH pravRttakam /
   prayogātiśayaścātha vīthyaṅgāni trayodaśa // DhDaś_3.8 //	prayoga-atiSayaH-ca-aTa vITI-aFgAni trayodaSa // DhDaH-_3.8 //
   svetivṛttasamaṃ vākyamarthaṃ vā yatra sūtriṇaḥ /	sva-iti-vRtta-samam vAkyam-arTam vA yatra sUtriNaH /
   gṛhītvā praviśet pātraṃ kathodghāto dvidhaiva saḥ // DhDaś_3.9 //	gRhItvA praviSet pAtram kaTA-udGAtaH dviDA-eva saH // DhDas-_3.9 //
   kālasāmyasamākṣiptapraveśaḥ syāt pravṛttakam /	kAla-sAmya-samAkzipta-praveSaH syAt pravRttakam /
   eṣo'yamityupakṣepāt sūtradhāraprayogataḥ /	ezaH-ayam-iti-upakzepAt sUtra-DAra-prayogataH /
   pātrapraveśo yatraiṣa prayogātiśayo mataḥ // DhDaś_3.10 //	pAtra-praveSaH yatra-eza prayoga-atiSayaH mataH // DhDas-_3.10 //
   udghātyakāvalagite prapañcatrigate chalam /	udGAtya-ka-avala-gite prapaQca-trigate Calam /
   vākkelyadhivale gaṇḍamavasyanditanālike /	vAc-kelya-Divale gaNxam-avasyandita-nAlike /
   asatpralāpavyāhāramṛdavāni trayodaśa // DhDaś_3.11 //	asat-pralApa-vyAhAra-mRdavAni trayodaSa // DhDaH-_3.11 //
   gūḍhārthapadaparyāyamālā praśnottarasya vā /	gUXa-arTa-pada-paryAya-mAlA praSna-uttarasya vA /
   yatrānyonyaṃ samālāpo dvedhodghātyaṃ taducyate // DhDaś_3.12 //	yatra-anyonyam samAlApaH dveDA-udGAtyam tat-ucyate // DhDaH-_3.12 //
   yatraikatra samāveśāt kāryamanyat prasādhyate /	yatra-ekatra samAveSAt kAryam-anyat prasADyate /
   prastute'nyatra vānyat syāt ta(?) cāvalagitaṃ dvidhā // DhDaś_3.13 //	prastute-anyatra vA-anyat syAt ta(?) ca-avalagitam dviDA // DhDas-_3.13 //
   asadbhūtamithaḥstotraṃ prapañco hāsyakṛn mataḥ /	asat-BUta-miTas-stotram prapaQcaH hAsya-kRt mataH /
   śrutisāmyādanekārthayojanaṃ trigataṃ tviha /	Sruti-sAmyAt-aneka-arTa-yojanam tri-gatam tu-iha /
   naṭāditritayālāpaḥ pūrvaraṅge tadiṣyate // DhDaś_3.14 //	nawa-Adi-tritaya-AlApaH pUrva-raFge tat-izyate // DhDaH-_3.14 //
   priyābhairapriyairvākyairvilobhya chalanā chalam /	priya-ABEH-apriyEH-vAkyEH-viloBya CalanA Calam /
   vinivṛttyāsya vākkelī dvistriḥ pratyuktito'pi vā // DhDaś_3.15 //	vinivRttya-asya vAc-kelI dvis-tris pratyuktitaH-api vE // DhDaH-_3.15 //
   anyonyavākyādhikyoktiḥ spardhayādhivalaṃ bhavet /	anyonya-vAkya-ADikyoktiH sparDayA-ADivalam Bavet /
   gaṇḍaḥ prastutasambandhibhinnārthaṃ sahasoditam // DhDaś_3.16 //	gaNxaH prastuta-sambanDi-Binna-arTam sahasA-uditam // DhDaH-_3.16 //
   rasoktasyānyathā vyākhyā yatrāvasyandita hi tat /	rasa-uktasya-anyaTA vyAKyA yatra-avasyandita hi tat /
   sopahāsā nigūḍhārthā nālikaiva prahelikā // DhDaś_3.17 //	sa-upahAsAH nigUXa-arTAH nAlikA-eva prahelikAH // DhDas-_3.17 //
   asambaddhakathāprāyo'satpralāpo yathottaraḥ /	asambadDa-kaTA-prAyaH-asat-pralApaH yaTottaraH /
   anyārthameva vyāhāro hāsyalāsyakaraṃ vacaḥ /	anya-arTam-eva vyAhAraH hAsya-lAsya-karam vacaH /
   doṣā guṇā guṇā doṣā yatra syurmṛdavaṃ hi tat // DhDaś_3.18 //	dozAH guNAH guNAH dozAH yatra syuH-mRdavam hi tat // DhDaH-_3.18 //
   eṣāmanyatamenārthaṃ pātraṃ cākṣipya sūtrabhṛt /	ezAm-anyatamena-arTam pAtram ca-Akzipya sUtraBRt /
   prastāvanānte nirgacchet tato vastu prapañcayet // DhDaś_3.19 //	prastAvana-ante nirgacCet tatas vastu prapaQcayet // DhDaH-_3.19 //
   abhigamyaguṇairyukto dhīrodāttaḥ pratāpavān /	aBigamya-guNEH-yuktaH DIra-udAttaH pratApavAn /
   kīrtikāmo mahotsāhastrayyāstrātā mahīpatiḥ // DhDaś_3.20 //	kIrti-kAmaH mahA-utsAhaH-trayyAH-trAtA mahIpatiH // DhDaH-_3.20 //
   prakhyātavaṃśo rājarṣirdivyo vā yatra nāyakaḥ /	praKyAta-vaMSaH rAjarziH-divyaH vA yatra nAyakaH /
   tatprakhyātaṃ vidhātavyaṃ vṛttamatrādhikārikam // DhDaś_3.21 //	tad-praKyAtam viDAtavyam vRttam-atra-ADikArikam // DhDaH-_3.21 //
   yat tatrānucitaṃ kiñcin nāyakasya rasasya vā /	yat tatra-anucitam kiQcid nAyakasya rasasya vA /
   viruddhaṃ tat parityājyamanyathā vā prakalpayet // DhDaś_3.22 //	virudDam tat parityAjyam-anyaTA vA prakalpayet // DhDaH-_3.22 //
   ādyantamevaṃ niścitya pañcadhā tad vibhajya ca /	Adi-antam-evam niScitya paQcaDA tat viBajya ca /
   khaṇḍaśaḥ sandhisañjñāṃśca vibhāgānapi khaṇḍayet // DhDaś_3.23 //	KaNxaSas sanDi-saQjQAn=-ca viBAgAn-api KaNxayet // DhDaH-_3.23 //
   catuḥṣaṣṭistu tāni syuraṅgānītyaparaṃ tathā /	catuHzazwiH-tu tAni syuH-aFgAni-iti-aparam taTA /
   patākāvṛttamapyūnamekādyairanusandhibhiḥ /	patAkA-vRttam-api-Unam-eka-AdyEH-anusanDiBiH /
   aṅgānyatra yathālābhamasandhiṃ prakarīṃ nyaset // DhDaś_3.24 //	aFgAni-atra yaTAlABam-asanDim prakarIm nyaset // DhDaH-_3.24 //
   ādau viṣkambhakaṃ kuryādaṅkaṃ vā kāryayuktitaḥ /	AdO vizkamBakam kuryAt-aFkam vA kArya-yuktitaH /
   apekṣitaṃ parityajya nīrasaṃ vastuvistaram /	apekzitam parityajya nIrasam vastu-vistaram /
   yadā sandarśayet śeṣaṃ kuryād viṣkambhakaṃ tadā // DhDaś_3.25 //	yadA sandarSayet Sezam kuryAt vizkamBakam tadA // DhDas-_3.25 //
   yadā tu sarasaṃ vastu mūlādeva pravartate /	yadA tu sarasam vastu mUlAt-eva pravartate /
   ādāveva tadāṅkaḥ syādāmukhākṣepasaṃśrayaḥ // DhDaś_3.26 //	AdO=-eva tadA-aFkaH syAt-AmuKa-Akzepa-saMSrayaH // DhDas-_3.26 //
   pratyakṣanetṛcarito binduvyāptipuraskṛtaḥ /	pratyakza-netR-caritaH bindu-vyApti-puraskRtaH /
   aṅko nānāprakārārthasaṃvidhānarasāśrayaḥ // DhDaś_3.27 //	aFkaH nAnA-prakAra-arTa-saMviDAna-rasa-ASrayaH // DhDas-_3.27 //
   anubhāvavibhāvābhyāṃ sthāyinā vyabhicāribhiḥ /	anuBAva-viBAvAByAm sTAyinA vyaBicAriBiH /
   gṛhītamuktaiḥ kartavyamaṅginaḥ paripoṣaṇaṃ // DhDaś_3.28 //	gRhIta-muktEH kartavyam-aFginaH paripozaNam // DhDas-_3.28 //
   na cātirasato vastu dūraṃ vicchinnatāṃ nayet /	na ca-ati-rasataH vastu dUram vicCinna-tAm nayet /
   rasaṃ vā na tirodadhyād vastvalaṅkāralakṣaṇaiḥ // DhDaś_3.29 //	rasam vA na tirodaDyAt vastu-alaFkAra-lakzaNEH // DhDas-_3.29 //
   eko raso'ṅgīkartavyo vīraḥ śṛṅgāra eva vā /	ekaH rasaH-aFgIkartavyaH vIraH SRFgAraH eva vA /
   aṅgamanye rasāḥ sarve kuryān nirvahaṇe'dbhutam // DhDaś_3.30 //	aFgamanye rasAH sarve kuryAt nirvahaNe-adButam // DhDaH-_3.30 //
