   The Adhikaraṇavastu	The ADikaraNa-vastu
   The four classes of disputes	The fouH classeH of disputeH-
        uktaṃ bhagavatā: yo 'sau dharmabhāgaḥ sa dharmabhāṇakānāṃ pudgalānām	uktam BagavatA: yaH asO Darma-BAgaH sa Darma-BANakAnAm pudgalAnAm
   iti; tatra sūtrāntikāḥ kathayati: vayaṃ bhagavataḥ sakalaṃ sūtraṃ	iti; tatra sUtra-antikAH kaTayati: vayam BagavataH sakalam sUtram
   dhārayāmaḥ, vayaṃ dharmadharāḥ, asmākam eṣa lābhaḥ prāpadyate iti;	DArayAmaH, vayam Darma-DarAH, asmAkam eza lABaH prApadyate iti;
   vinayadharā kathayanti: vayaṃ bhagavataḥ abhyantarakośarakṣāḥ, vayaṃ	vinaya-DarA kaTayanti: vayam BagavataH aByantara-koSa-rakzAH, vayam
   sakalaṃ vinayam dhārayāmaḥ, vayaṃ dharmadharāḥ, asmākam eṣa lābhaḥ	sakalam vinayam DArayAmaH, vayam Darma-DarAH, asmAkam eza lABaH
   prāpadyata iti; mātṛkādharāḥ kathayanti: vayaṃ sūtrasya vinayasya ca	prApadyate iti; mAtRkA-DarAH kaTayanti: vayam sUtrasya vinayasya ca
   svalakṣanaṃ sāmānyalakṣaṇaṃ ca dhārayāmaḥ, vayaṃ dharmadharāḥ, asmākam eṣa	sva-lakzanam sAmAnya-lakzaNam ca DArayAmaH, vayam Darma-DarAH, asmAkam eza
   lābhaḥ prāpadyate iti; tatra sūtradharavinayadharamātṛkādharāṇām utpannaḥ	lABaH prApadyate iti; tatra sUtraDara-vinaya-Dara-mAtRkA-DarANAm utpannaH
   kalaho bhaṇḍanaṃ vigraho vivādaḥ; tatra bhagavān bhikṣūn āmantrayate sma:	kalahaH BaNxanam vigrahaH vivAdaH; tatra BagavAn BikzUn Amantrayate sma:
   mā bhikṣavaḥ kalaho bhaṇḍanaṃ mā vigraho vivādaḥ; catvārīmāni bhikṣavo	mA BikzavaH kalahaH BaNxanam mA vigrahaH vivAdaH; catvAri-imAni BikzavaH-
   'dhikaraṇāni; katamāni catvāri? vivādādhikaraṇam, anavavādādhikaraṇam,	aDikaraNAni; katamAni catvAri? vivAda-aDikaraNam, anavavAda-aDikaraNam,
   āpattyadhikaraṇaṃ kṛtyādhikaraṇam	Apatti-aDikaraNam kRtya-aDikaraNam
        vivādādhikaraṇaṃ katamam? yaḥ saṃghasya nānāvādo vivādaḥ	vivAda-aDikaraNam katamam? yaH saMGasya nAnA-vAdaH vivAdaH
   pratyanīkavādaḥ asāmagrī asaṃmodanā anekotībhāvaḥ tad upādāya yaḥ kalaho	pratyanIka-vAdaH asAmagrI asaMmodanA anekotIBAvaH tat upAdAya yaH kalahaH-
   bhaṇḍanaṃ vigraho vivādaḥ iham ucyate vivādādhikaraṇam	BaNxanam vigrahaH vivAdaH iham ucyate vivAda-aDikaraNam
        anavavādādhikaranaṃ katamam? yaḥ saṃghasya anavavādaḥ anavavādanaṃ	anavavAda-aDikaranam katamam? yaH saMGasya anavavAdaH anavavAdanam
   anavavādaprasthāpanaṃ tad upādāya yaḥ kalaho bhaṇḍanaṃ vigraho vivādaḥ	anavavAda-prasTApanam tat upAdAya yaH kalahaH BaNxanam vigrahaH vivAdaH
   idam ucyate anavavādādhikaraṇam	idam ucyate anavavAda-aDikaraNam
        āpattyadhikaraṇaṃ katamam? pañcāpattayaḥ āpattiskandha ity ucyate;	Apatti-aDikaraNam katamam? paQca-ApattayaH Apatti-skanDaH iti ucyate;
   katamāḥ pañca? pārājikāḥ saṃghāvaśeṣikāḥ pāyattikāḥ pratideśanīyāḥ	katamAH paQca? pArAjikAH saMGa-avaSezikAH pAyattikAH pratideSanIyAH
   duṣkṛtāḥ, tad upādāya yaḥ kalaho bhaṇḍanaṃ vigraho vivādaḥ idam ucyate	duzkRtAH, tat upAdAya yaH kalahaH BaNxanam vigrahaH vivAdaH idam ucyate
   āpattyadhikaraṇam (Adhik-v 72)	Apatti-aDikaraNam (a-aDik-u 72)
        kṛtyādhikaraṇaṃ katamam? yā saṃghasya kriyājñaptir jñaptidvitīyaṃ	kRtya-aDikaraNam katamam? yA saMGasya kriyA-jQaptiH jQapti-dvitIyam
   jñapticaturthaṃ karma tad upādāya yāḥ kalaho bhaṇḍanaṃ vigraho vivādaḥ	jQapti-caturTam karma tat upAdAya yAH kalahaH BaNxanam vigrahaH vivAdaH
   idam ucyate kṛtyādhikaraṇam	idam ucyate kRtya-aDikaraNam
   The vivādādhikaraṇam	The vivAda-aDikaraNam
        kiṃmūlaṃ bhikṣavo vivādādhikaraṇaṃ kiṃ vivādādhikaraṇasya mūlam? ṣaḍ	kiMmUlam BikzavaH vivAda-aDikaraNam kim vivAda-aDikaraNasya mUlam? zaz-
   vivādamūlāni caturdaśa bhedakarāṇī vastūni	vivAda-mUlAni caturdaSa Beda-karANI vastUni
        (A 336b) ṣaḍ vivādamūlāni katamāni? yathāpīhaikaḥ krodhano bhavati	(A 336b) zaw vivAda-mUlAni katamAni? yaTA-api-iha-ekaH kroDanaH Bavati
   upanāhī; yo 'sau krodhano bhavaty upanāhī śāstāraṃ na satkaroti na	upanAhI; yaH asO kroDanaH Bavati upanAhI SAstAram na satkaroti na
   gurukaroti na mānayati na pūjayati; śāstāram asatkurvann agurukurvann	gurukaroti na mAnayati na pUjayati; SAstAram asatkurvan agurukurvan=-
   amānayann apūjayan dharmaṃ na pāśyati; dharmam apaśyan śrāmaṇyanirapekṣo	amAnayan apUjayan Darmam na pASyati; Darmam apaSyan SrAmaNya-nirapekzaH-
   bhavati; śrāmaṇyanirapekṣaḥ saṃghe tadrūpaṃ raṇam utpādayati	Bavati; SrAmaNya-nirapekzaH saMGe tad-rUpam raNam utpAdayati
   kalahabhaṇḍanavigrahavivādam; yaḥ syāt kalahabhaṇḍanavigrahavivādo	kalaha-BaNxana-vigraha-vivAdam; yaH syAt kalaha-BaNxana-vigraha-vivAdaH-
   bahujanānarthāya bahujanāhitāya bhahujanaduḥkhāya anarthāyāhitāya duḥkhāya	bahu-jana-anarTAya bahu-jana-AhitAya Bahu-jana-duHKAya anarTAya-ahitAya duHKAya
   devamanuṣyāṇām; evaṃrūpaṃ saced yūyaṃ bhikṣavo vivādamūlam adhyātmaṃ	deva-manuzyANAm; evaMrUpam saced yUyam BikzavaH vivAda-mUlam aDyAtmam
   bahirdhā vāprahīṇaṃ samanupaśyatha tatra vaḥ sahitaiḥ samagraiḥ	bahirDA vA-aprahINam samanupaSyaTa tatra vaH sahitEH samagrEH
   saṃmodamānair avivādamānaiḥ tīvrachando vīryaṃ vyāyāma utsāha utsūḍhir	saMmodamAnEH avivAdamAnEH tIvra-CandaH vIryam vyAyAmaH utsAhaH utsUXiH-
   aprativāṇismṛtyā saṃprajanye yogaḥ karaṇīya yāvad etasyaiva	aprativANi-smRtyA saMprajanye yogaH karaNIya yAvat etasya-eva
   vivādamūlasyotpannasya prahāṇāya; evaṃ ca tad vivādamūlaṃ prahāsyati;	vivAda-mUlasya-utpannasya prahANAya; evam ca tat vivAda-mUlam prahAsyati;
   evaṃrūpaṃ saced yūyaṃ bhikṣavo vivādamūlam adhyātmaṃ bahirdhā vā prahīṇaṃ	evaMrUpam saced yUyam BikzavaH vivAda-mUlam aDyAtmam bahirDA vA prahINam
   samanupaśyatha tatra vaḥ sahitaiḥ samagraiḥ saṃmodamānair avivādamānais	samanupaSyaTa tatra vaH sahitEH samagrEH saMmodamAnEH avivAda-mAnEH-
   tīvrachando vīryaṃ vyāyāma utsāha utsūḍhir aprativāṇismṛtyā saṃprajanye	tIvra-CandaH vIryam vyAyAmaH utsAhaH utsUXiH aprativANi-smRtyA saMprajanye
   yogaḥ karaṇīya yāvad etasyaiva vivādamūlasya prahīṇasyāyatyām	yogaH karaNIya yAvat etasya-eva vivAda-mUlasya prahINasya-AyatyAm
   anavāsravāya; evaṃ vas (Adhik-v 73) tad vivādamūlaṃ samyaksusamavahitam	anavAsravAya; evam vaH (a-aDik-u 73) tat vivAda-mUlam samyak-su-samavahitam
   āyatyāṃ notpatsyate; yathā krodhana upanāhī mrakṣaḥ pradāsi īrṣyako	AyatyAm na-utpatsyate; yaTA kroDane upanAhI mrakzaH pradAsi IrzyakaH-
   matsarī śaṭho māyāvī ahrīyamāṇo 'napatrāpī pāpeccho mithyādṛṣṭikaḥ; punar	matsarI SaWaH mAyAvI ahrIyamANaH anapatrApI pApa-icCaH miTyAdRzwikaH; punar-
   aparam ihaikaḥ svayaṃ dṛṣṭiparāmarśī bhavaty asamañjasagrāhī	aparam iha-ekaH svayam dRzwi-parAmarSI Bavati asamaQjasa-grAhI
   duṣpratiniḥsargamantrī; yaḥ svayaṃ dṛṣṭiparāmarśī bhavati	duzpratiniHsarga-mantrI; yaH svayam dRzwi-parAmarSI Bavati
   duṣprajñaniḥsargamantrī sa śāstāraṃ na satkaroti na gurukaroti na mānayati	duzprajQa-niHsarga-mantrI sa SAstAram na satkaroti na gurukaroti na mAnayati
   na pūjayai; śāstāram asatkurvann agurukurvann amānayann apūjayan dharmaṃ	na pUjayE; SAstAram asatkurvan agurukurvan amAnayan apUjayan Darmam
   na paśyati; dharmam apaśyan śrāmaṇyanirapekṣo bhavati; śrāmaṇyanirapekṣaḥ	na paSyati; Darmam apaSyan SrAmaNya-nirapekzaH Bavati; SrAmaNya-nirapekzaH
   sa saṃghe tadrūpaṃ raṇam utpādayati kalahabhaṇḍanavigrahavivādam; yaḥ syāt	sa saMGe tad-rUpam raNam utpAdayati kalaha-BaNxana-vigraha-vivAdam; yaH syAt-
   kalahabhaṇḍanavigrahavivādo bahujanānarthāya bahujanāhitāya	kalaha-BaNxana-vigraha-vivAdaH bahu-jana-anarTAya bahu-jana-AhitAya
   bahujanaduḥkhāya anarthāyāhitāya ḥduḥkhāyaḥ devamanuṣyāṇām; evaṃrūpaṃ	bahu-jana-duHKAya anarTAya-ahitAya HduHKa-ayaH deva-manuzyANAm; evaMrUpam
   saced yūyaṃ bhikṣavo vivādamūlam adhyātmaṃ vā bahirdhā vā aprahīṇaṃ	saced yUyam BikzavaH vivAda-mUlam aDyAtmam vA bahirDA vA aprahINam
   samanupaśyatha tatra vaḥ sahitaiḥ samagraiḥ saṃmodamānair avivādamānais	samanupaSyaTa tatra vaH sahitEH samagrEH saMmodamAnEH avivAda-mAnEH-
   tīvracchando vīryavṃ vyāyāma utsāha utsūḍhir aprativāṇismṛtyā saṃprajanye	tIvra=-CandaH vIryavm vyAyAmaH utsAhaH utsUXiH aprativANi-smRtyA saMprajanye
   yogaḥ karaṇīyo yāvad etasyaiva vivādamūlasya utpannasya prahāṇāya; evaṃ	yogaH karaNIyaH yAvat etasya-eva vivAda-mUlasya utpannasya prahANAya; evam
   vas tad vivādamūlam prahāsyati; evaṃrūpaṃ saced yūyaṃ bhikṣavo vivādamūlam	vaH tat vivAda-mUlam prahAsyati; evaMrUpam saced yUyam BikzavaH vivAda-mUlam
   adhyātmaṃ vā bahirdhā vā prahīṇaṃ samanupaśyatha tatra vaḥ sahitaiḥ	aDyAtmam vA bahirDA vA prahINam samanupaSyaTa tatra vaH sahitEH
   samagraiḥ saṃmodamānair avivādamānais tīvracchando vīryaṃ vyāyāma utsāha	samagrEH saMmodamAnEH avivAdamAnEH tIvracCandaH vIryam vyAyAmaH utsAha
   utsūḍhir aprativāṇismṛtyā saṃprajanye yogaḥ karaṇīyo yāvad etasyaiva	utsUXiH aprativANi-smRtyA saMprajanye yogaH karaNIyaH yAvat etasya-eva
   vivādamūlasya (A 337a) prahīṇasyāyatyām anavāsravāya; evaṃ vas	vivAda-mUlasya (A 337a) prahINasya-AyatyAm anavAsravAya; evam vas
   tadvivādamūlaṃ samyak susamāhitam āyatyāṃ notpatsyate; imāny ucyante	tad-vivAda-mUlam samyak su-samAhitam AyatyAm na-utpatsyate; imAni ucyante
   ṣaḍvivādamūlāni	zaz-vivAda-mUlAni
        caturdaśa bhedakaraṇāni vastūni katamāni? yad uta dharmam iti vā	caturdaSa Beda-karaNAni vastUni katamAni? yat uta Darmam iti vA
   adharmam iti vā, vinaya iti vā avinaya iti vā, āpattir iti vā anāpattir	aDarmam iti vA, vinayaH iti vA avinaya iti vA, ApattiH iti vA anApattiH-
   iti vā, gurv iti vā laghv iti vā, sāvaśeṣa iti vā niravaśeṣa iti vā,	iti vA, guru iti vA laGu iti vA, sa-avaSezaH iti vA niravaSezaH iti vA,
   deśanākaraṇīya iti vā saṃvarakaraṇīya iti vā durbhāṣitagaminīti vā	deSanA-karaNIyaH iti vA saMvara-karaNIyaH iti vA durBAzita-gaminI-iti vA
   subhāṣitagaminīti vā; imāny ucyante caturdaśa bhedakarāṇi vastūni;	su-BAzita-gaminI-iti vA; imAni ucyante caturdaSa Beda-karANi vastUni;
   (Adhik-v 74) idaṃmūlaṃ bhikṣavo vivādādhikaraṇam idaṃ vivādādhikaraṇasya	(a-aDik-u 74) idaMmUlam BikzavaH vivAda-aDikaraNam idam vivAda-aDikaraNasya
   mūlam	mUlam
   The anavavādādhikaraṇam	The anavavAda-aDikaraNam
        kiṃmūlaṃ bhikṣavo anavavādādhikaraṇaṃ kim anavavādādhikaraṇasya	kiMmUlam BikzavaH anavavAda-aDikaraNam kim anavavAda-aDikaraNasya
   mūlam? yaḥ saṃghasya anavavādaḥ anavavādanam anavavādaprasthāpanaṃ tad	mUlam? yaH saMGasya anavavAdaH anavavAdanam anavavAda-prasTApanam tat-
   upādāya yaḥ kalaho bhaṇḍanaṃ vigraho vivādaḥ idaṃmūlakaṃ bhikṣavaḥ	upAdAya yaH kalahaH BaNxanam vigrahaH vivAdaH idaMmUlakam BikzavaH
   anavavādādhikaraṇam idam anavavādādhikaraṇasya mūlam	anavavAda-aDikaraNam idam anavavAda-aDikaraNasya mUlam
   The āpattyadhikaraṇam	The Apatti-aDikaraNam
        kiṃmūlaṃ bhikṣavaḥ āpattyadhikaraṇam, kim āpattyadhikaraṇasya mūlam?	kiMmUlam BikzavaH Apatti-aDikaraNam, kim Apatti-aDikaraNasya mUlam?
   pañcāpattijātasya āpattinikāyā āpattiskandha iti ucyate; katame pañca?	paQca-Apatti-jAtasya Apatti-nikAyAH Apatti-skanDaH iti ucyate; katame paQca?
   pārājikāḥ saṃghāvaśeṣāḥ pāyattikāḥ pratideśanīyā duṣkṛtāś ca; api tv	pArAjikAH saMGa-avaSezAH pAyattikAH pratideSanIyAH duzkRtAH ca; api tu-
   astyāpattiḥ kāyikī na vācikī na caitasikī; asti vācikī na kāyikī na	asti-ApattiH kAyikI na vAcikI na cEtasikI; asti vAcikI na kAyikI na
   caitasikī; asti kāyikī caitasikī na vācikī; asti vācikī caitasikī na	cEtasikI; asti kAyikI cEtasikI na vAcikI; asti vAcikI cEtasikI na
   kāyikī; asti kāyikī vācikī caitasikī ca	kAyikI; asti kAyikI vAcikI cEtasikI ca
        katamā āpattiḥ kāyikī na vācikī na caitasikī? yathāpitad bhikṣur	katamA ApattiH kAyikI na vAcikI na cEtasikI? yaTApitat BikzuH-
   aniṣkrānteṣu gṛhastheṣv anupasaṃpanneṣu niṣkrāntā gṛhastā anupasaṃpannā	anizkrAntezu gRhasTezu anupasaMpannezu nizkrAntA gRhastAH anupasaMpannA
   iti śayyāṃ kalpayati suptam cainaṃ mātṛgrāmo viśete supto vā mahāśayanam	iti SayyAm kalpayati suptam ca-enam mAtR-grAmaH viSete suptaH vA mahA-Sayanam
   āropyate iyam āpattiḥ kāyikī na vācikī na caitasikī	Aropyate iyam ApattiH kAyikI na vAcikI na cEtasikI
        katamā āpattir vācikī na kāyikī na caitasikī? yathāpitad bhikṣur	katamA ApattiH vAcikI na kAyikI na cEtasikI? yaTApitat BikzuH-
   mātṛgrāmasya pañcabhir padair dharmaṃ deśayan asaṃcintya ṣaṣṭam padam	mAtR-grAmasya paQcaBiH padEH Darmam deSayan asaMcintya zazwam padam
   atikrāmati, ṣaḍbhir padair vā deśayan saptamaṃ padam atikrāmati, iyam	atikrAmati, zaxBiH padEH vA deSayan saptamam padam atikrAmati, iyam
   āpattir vācikī na kāyikī na caitasikī	ApattiH vAcikI na kAyikI na cEtasikI
        katamā āpattiḥ kāyikī caitasikī na vācikī? yathāpitad bhikṣuḥ	katamA ApattiH kAyikI cEtasikI na vAcikI? yaTApitat BikzuH
   saṃcintya tiryagyonigataṃ prāṇinaṃ jīvitād vyaparopayan naivam (Adhik-v	saMcintya tiryagyoni-gatam prANinam jIvitAt vyaparopayan na-evam (a-aDik--v
   75) āha: evaṃ hi prāṇi jīvitād vyaparopayitavyaḥ; yathā mayā vyaparopitaḥ	75) Aha: evam hi prANi jIvitAt vyaparopayitavyaH; yaTA mayA vyaparopitaH
   evaṃ punar vyaparopayitavyaḥ; ḥvyaparopitaḥḥ suvyaparopito bhavatīti;	evam punar vyaparopayitavyaH; HvyaparopitaHH su-vyaparopitaH Bavati-iti;
   adattam ādadat kāmeṣu mithyā caran madyapānaṃ piban naivam āha: evaṃ	adattam Adadat kAmezu miTyA caran madya-pAnam piban na-evam Aha: evam
   madyapānaṃ pātavyam; yathā mayā pītam evaṃ ca punar madyapānaṃ ḥpātavyamḥ;	madya-pAnam pAtavyam; yaTA mayA pItam evam ca punar madya-pAnam HpAtavyamH;
   pītaṃ supītaṃ bhavatīti; idam āpattiḥ kāyikī caitasikī na vācikī	pItam su-pItam Bavati-iti; idam ApattiH kAyikI cEtasikI na vAcikI
        katamā āpattir vācikī caitasikī na kāyikī? yathāpitad bhikṣur	katamA ApattiH vAcikI cEtasikI na kAyikI? yaTApitat BikzuH-
   mātṛgrāmasya pañcabhiḥ padair dharmaṃ deśayan saṃcintya ṣaṣṭaṃ padam	mAtR-grAmasya paQcaBiH padEH Darmam deSayan saMcintya zazwam padam
   atikrāmati ṣaḍbhir vā padair deśayan saptamaṃ padam atikrāmati, iyam	atikrAmati zaxBiH vA padEH deSayan saptamam padam atikrAmati, iyam
   āpattir vācikī caitasikī (A 337b) na kāyikī	ApattiH vAcikI cEtasikI (A 337b) na kAyikI
        katamā āpattiḥ kāyikī vācikī caitasikī ca? yathāpitad bhikṣuḥ	katamA ApattiH kAyikI vAcikI cEtasikI ca? yaTApitat BikzuH
   saṃcintya tiryagyonigataṃ prāṇinaṃ jīvitād vyaparopayann evam āha: evaṃ	saMcintya tiryagyoni-gatam prANinam jIvitAt vyaparopayan evam Aha: evam
   prāṇī jīvitād vyaparopayitavyaḥ; yathā mayā vyaparopitaḥ evaṃ ca punar	prANI jIvitAt vyaparopayitavyaH; yaTA mayA vyaparopitaH evam ca punar-
   vyaparopitaḥ suvyaparopito bhaviṣyatīti; adattam ādadat kāmeṣu mithyā	vyaparopitaH su-vyaparopitaH Bavizyati-iti; adattam Adadat kAmezu miTyA
   caran madyapānam pibann evam āha: evaṃ hi madyapānaṃ pātavyam; yathā mayā	caran madya-pAnam piban evam Aha: evam hi madya-pAnam pAtavyam; yaTA mayA
   pītam evaṃ ca punaḥ pītaṃ supītaṃ bhavatīti; iyam āpattiḥ kāyikī vācikī	pItam evam ca punar pItam su-pItam Bavati-iti; iyam ApattiH kAyikI vAcikI
   caitasikī ca; idaṃmūlakaṃ bikṣavaḥ āpattyadhikaraṇam, idam	cEtasikI ca; idaMmUlakam bikzavaH Apatti-aDikaraNam, idam
   āpattyadhikaraṇasya mūlam	Apatti-aDikaraNasya mUlam
   The kṛtyādhikaraṇam	The kRtya-aDikaraNam
        kiṃḥmūlaṃḥ bhikṣavaḥ kṛtyādhikaraṇam, kiṃ kṛtyādhikaraṇasya mūlam? yā	kinHmUlaMH BikzavaH kRtya-aDikaraNam, kim kRtya-aDikaraNasya mUlam? yA
   saṃghasya kriyājñaptiḥ jñaptidvitīyaṃ jñapticaturthaṃ karma idaṃmūlakaṃ	saMGasya kriyA-jQaptiH jQapti-dvitIyam jQapti-caturTam karma idaMmUlakam
   bhikṣavaḥ kṛtyādhikaraṇam idam kṛtyādhikaraṇasya mūlam	BikzavaH kRtya-aDikaraNam idam kRtya-aDikaraNasya mUlam
   The three kinds of vivādādhikaraṇam	The Tree kindH of vivAda-aDikaraNam
        vivādādhikaraṇaṃ bhikṣavaḥ kuśalaṃ vaktavyam akuśalaṃ vaktavyam	vivAda-aDikaraNam BikzavaH kuSalam vaktavyam akuSalam vaktavyam
   avyākṛtaṃ vaktavyam; katarat kuśalam? yat saṃghasyārthinaḥ	avyAkRtam vaktavyam; katarat kuSalam? yat saMGasya-arTinaH
   arthābhiprāyasya kuśalārthinaḥ kuśalābhiprāyasya ḥnānāvādo (Adhik-v 76)	arTa-aBiprAyasya kuSala-arTinaH kuSala-aBiprAyasya HnAnAvAdaH (a-aDik-u 76)
   vivādo vipratyanīkavādaḥḥ tad upādāya yaḥ kalaho bhaṇḍanaṃ vigraho vivādaḥ	vivAdaH vipratyanIka-vAdaHH tat upAdAya yaH kalahaH BaNxanam vigrahaH vivAdaH
   idaṃ kuśalam; katamad akuśalam? yaḥ saṃghasyānarthinaḥ	idam kuSalam; katamat akuSalam? yaH saMGasya-anarTinaH
   anarthābhiprāyasyākuśalārthinaḥ akuśalābhiprāyasya nānāvādo vivādo	anarTa-aBiprAyasya-akuSala-arTinaH akuSala-aBiprAyasya nAnA-vAdaH vivAdaH-
   vipratyanīkavādaḥ tad upādāya kalaho bhaṇḍanaṃ vigraho vivādaḥ idam	viprati-anIka-vAdaH tat upAdAya kalahaH BaNxanam vigrahaH vivAdaH idam
   akuśalam; katamad avyākṛtam? yat saṃghasya naivārthino ḥnaivānarthinoḥ	akuSalam; katamat avyAkRtam? yat saMGasya na-eva-arTinaH HnA-eva-anarTinoH
   naivārthābhiprāyasya ḥnaivānarthābhiprāyasyaḥ na kuśalārthino	na-eva-arTa-aBiprAyasya HnA-eva-anarTa-aBiprAyasyaH na kuSala-arTinaH-
   ḥnākuśalārthinaḥ na kuśalābhiprāyasya nākuśalābhiprāyasyaḥ nānāvādo vivādo	HnA-kuSala-arTinaH na kuSala-aBiprAyasya na-akuSala-aBiprAyasyaH nAnA-vAdaH vivAdaH-
   vipratyanīkavādaḥ tad upādāya yaḥ kalaho bhaṇḍanaṃ vigraho vivādaḥ idam	viprati-anIka-vAdaH tat upAdAya yaH kalahaH BaNxanam vigrahaH vivAdaH idam
   avyākṛtam	avyAkRtam
   The three kinds of anavavāddhikaraṇam	The Tree kindH of anavavAdDi-karaNam
        anavavādādhikaraṇaṃ kuśalaṃ vaktavyam akuśalam vaktavyam avyākṛtaṃ	anavavAda-aDikaraNam kuSalam vaktavyam akuSalam vaktavyam avyAkRtam
   vaktavyam; katarat kuśalam? yat saṃghasya arthinaḥ arthābhiprāyasya	vaktavyam; katarat kuSalam? yat saMGasya arTinaH arTa-aBiprAyasya
   kuśalārthinaḥ kuśalārthābhiprāyasya anavavāda anavavādanam	kuSala-arTinaH kuSala-arTa-aBiprAyasya anavavAda anavavAdanam
   anavavādaprasthāpanaṃ tad upādāya yaḥ kalaho bhaṇḍanaṃ vigraho vivādaḥ	anavavAda-prasTApanam tat upAdAya yaH kalahaH BaNxanam vigrahaH vivAdaH
   idaṃ kuśalam; katarad akuśalam? yat saṃghasya anarthinaḥ	idam kuSalam; katarat akuSalam? yat saMGasya anarTinaH
   anarthābhiprāyasya akuśālārthinaḥ akuśalābhiprāyasya anavavādaḥ	anarTa-aBiprAyasya akuSAla-arTinaH akuSala-aBiprAyasya anavavAdaH
   anavavādanaṃ anavavādaprasthāpanaṃ tad upādāya yaḥ kalaho bhaṇḍanaṃ	anavavAdanam anavavAda-prasTApanam tat upAdAya yaH kalahaH BaNxanam
   vigraho vivādaḥ idam ḥakuṣalam; kataradḥ avyākṛtam? ḥyat saṃghasya	vigrahaH vivAdaH idam Hakuzalam; kataradH avyAkRtam? Hyat saMGasya
   naivārthino naivānarthino naivārthābhiprāyasya naivānarthābhiprāyasya na	na-eva-arTinaH na-eva-anarTinaH na-eva-arTa-aBiprAyasya na-eva-anarTa-aBiprAyasya na
   kuśalārthino nākuśalārthinaḥ na kuśalābhiprāyasya nākuśalābhiprāyasya	kuSala-arTinaH na-akuSala-arTinaH na kuSala-aBiprAyasya na-akuSala-aBiprAyasya
   anavavāda anavavādanam anavavādaprasthāpanaṃ tad upādāya yaḥ kalaho	anavavAda anavavAdanam anavavAda-prasTApanam tat upAdAya yaH kalahaH-
   bhaṇḍanaṃ vigraho vivādaḥ idam avyākṛtamḥ	BaNxanam vigrahaH vivAdaH idam avyAkRtamH
   The two kinds of āpattyadhikaraṇam	The twaH kindH of Apatti-aDikaraNam
        āpattyadhikaraṇam akuśalaṃ vaktavyam avyākṛtaṃ ca vaktavyam; katarad	Apatti-aDikaraNam akuSalam vaktavyam avyAkRtam ca vaktavyam; katara-t-
   akuśalam? yo buddhaprajñaptāyāṃ śikṣāyāṃ saṃghaprajñaptāyāṃ ca kriyāyām	akuSalam? yaH budDa-prajQaptAyAm SikzAyAm saMGa-prajQaptAyAm ca kriyAyAm
   saṃcintya vyatikramaḥ idam akuśalam; katarad (Adhik-v 77) avyākṛtam? yo	saMcintya vyatikramaH idam akuSalam; katarat (a-aDik-u 77) avyAkRtam? yaH-
   buddhaprajñaptāyāṃ śikṣāyāṃ saṃghaprajñaptāyāṃ ca kriyāyām asaṃcintya	budDa-prajQaptAyAm SikzAyAm saMGa-prajQaptAyAm ca kriyAyAm asaMcintya
   vyatikramaḥ idam avyākṛtaṃ	vyatikramaH idam avyAkRtam
   The three kinds of kṛtyādhikaraṇam	The Tree kindH of kRtya-aDikaraNam
        kṛtyādhikaraṇaṃ kuśalaṃ vaktavyam akuśalaṃ vaktavyam avyākṛtaṃ ca	kRtya-aDikaraNam kuSalam vaktavyam akuSalam vaktavyam avyAkRtam ca
   vaktavyam; katarat kuśalam? yat saṃghasyārthinaḥ (A 338a) arthābhiprāyasya	vaktavyam; katarat kuSalam? yat saMGasya-arTinaH (A 338a) arTa-aBiprAyasya
   kuśalārthinaḥ kuśalābhiiprāyasya jñaptir jñaptidvitīyaṃ jñapticaturthaṃ	kuSala-arTinaH kuSala-aBiiprAyasya jQaptiH jQapti-dvitIyam jQapti-caturTam
   karma tad upādāya yaḥ kalaho bhaṇḍanam vigraho vivādaḥ idaṃ kuśalam;	karma tat upAdAya yaH kalahaH BaNxanam vigrahaH vivAdaH idam kuSalam;
   katarad akuśalam? yat saṃghasyānarthinaḥ anarthābhiprāyasya akuśalārthinaḥ	katarat akuSalam? yat saMGasya-anarTinaH anarTa-aBiprAyasya akuSala-arTinaH
   akuśalābhiprāyasya jñaptir jñaptidvitīyaṃ jñapticaturthaṃ karma tad	akuSala-aBiprAyasya jQaptiH jQapti-dvitIyam jQapti-caturTam karma tat-
   upādāya yaḥ kalaho bhaṇḍanaṃ vigraho vivādaḥ idam akuśalam; katarad	upAdAya yaH kalahaH BaNxanam vigrahaH vivAdaH idam akuSalam; katara-t-
   avyākṛtam? yat saṃghasya naivārthino ḥnaivānarthinoḥ naivārthābhiprāyasya	avyAkRtam? yat saMGasya na-eva-arTinaH HnA-eva-anarTinoH na-eva-arTa-aBiprAyasya
   ḥnaivānarthābhiprāyasyaḥ na kuśalārthino ḥnākuśalārthinoḥ na	Hna-eva-anarTa-aBiprAyasyaH na kuSala-arTinaH HnA-kuSala-arTinoH na
   kuśalābhiprāyasya ḥnākuśalābhiprāyasyaḥ jñaptir jñaptidvitīyaṃ	kuSala-aBiprAyasya HnA-kuSala-aBiprAyasyaH jQaptiH jQapti-dvitIyam
   jñapticaturthaṃ karma tad upādāya kalaho bhaṇḍanam vigraho vivādaḥ idam	jQapti-caturTam karma tat upAdAya kalahaH BaNxanam vigrahaH vivAdaH idam
   avyākṛtam	avyAkRtam
