   āryaśālistambakamahāyānasūtraṭīkā	Arya-SAli-stambaka-mahAyAna-sUtrawIkA
   sa dharmaṃ paśyati |	sa Darmam paSyati |
   darśanādyaṣṭasetvaṅgaṃ hetudvādaśapūrvagam |	darSana-Adi-azwa-setu-aFgam hetu-dvAdaSa-pUrva-gam |
   viśuddhātmā hi yaḥ paśyed dharmatathyaṃ sa paśyati |	viSudDa-AtmA hi yaH paSyet Darma-taTyam sa paSyati |
   phalaṃ tuṃ śrāmaṇyaphalam | tatprāptistu sākṣātkaraṇam |	Palam tum SrAmaNya-Palam | tad-prAptiH-tu sAkzAtkaraNam |
   sarvasaṃkleśālaya-vijñānabījavāsanāmalāpagatatvād āśrayaparāvṛttimayaṃ	sarva-saMkleSa-Alaya-vijQAna-bIja-vAsanA-amala-apagata-tvAt ASraya-parAvRtti-mayam
   manogocarācintyā-prameyaguṇamaṇyalaṅkṛtāyāḥ svaparādhīnātmaka	manaH-gocara-acintyA--prameya-guNa-maNI-alaFkRtAyAH sva-para-aDIn-Atmaka
   pratyātmavedyasarvasattvārthanirantarānābhoga	pratyAtma-vedya-sarva-sattva-arTa-nirantarAnABoga
   kṛtātma-sarvaprapañcarahitāyāḥ	kRtAtma--sarva-prapaQca-rahitAyAH
   śamathavipaśyanā-yuganaddha-sarvadharma-tathatāyāḥ adhigamatvāt	SamaTa-vipaSyanA--yuganadDa--sarva-Darma-taTatAyAH aDigama-tvAt-
   kleśa-jñeyāvaraṇagirigahvaravanamūla-vidahanasvabhāvatānuttarasamyak-saṃphalaṃ	kleSa--jQeya-AvaraNa-giri-gahvara-vana-mUla--vidahana-svaBAva-tA-anuttara-samyak--saMPalam
   śaikṣajñānaṃ tu phala dharma ityucyate |	SEkza-jQAnam tu Pala DarmaH iti-ucyate |
   atha śālistamba-vibhāṣāyā dvitīyaṃ paṭalam |	aTa SAli-stamba--viBAzAyAH dvitIyam pawalam |
   nirvāṇaṃ nāma	nirvANam nAma
   sopadhiśeṣa-nirupadhiśeṣa-svabhāvatāpratiṣṭhitanirvāṇamityuktam | ajaram,	sa-upaDi-Seza--nirupaDi-Seza--svaBAva-tA-pratizWita-nirvANam-iti-uktam | ajaram,
   amaram, atāpaṃ, sthiraṃ, śāntaṃ, nityam, asaṃhāryam, akṣayātmakam,	amaram, atApaM, sTiraM, SAntaM, nityam, asaMhAryam, akzaya-Atmakam,
   ādimadhyāntarahitam advayaṃ dhātutrayavirahitaṃ	Adi-maDya-anta-rahitam advayam DAtu-traya-virahitam
   kāya-vāk-cittakarmasamatikrāntaṃ maṇiratnarājavividharūpasadṛśaṃ	kAya-vAk--citta-karma-samatikrAntam maNi-ratna-rAja-viviDa-rUpa-sadRSam
   guṇamaṇivividhaprabhābhiḥ nirantaraṃ jagadarthakāri śāntaṃ,	guNa-maNi-viviDa-praBABiH nirantaram jagat-arTa-kAri SAntaM,
   dharmātmaka-kāya-bhūtaṃ nirvāṇaṃ manyate |	Darma-Atmaka-kAya--BUtam nirvANam manyate |
   sarvasyādhigamādevaṃ dharmajaṃ buddhameva ca |	sarvasya-aDigamAt-evam Darmajam budDam-eva ca |
   evaṃ tadvat-saṃkleśa-vyavadānātmaka-sarvadharmāṇāṃ dharma-tathatāyāḥ	evam tadvat--saMkleSa--vyavadAna-Atmaka--sarva-DarmANAm Darma-taTatAyAH
   yathāsthitivadavagatatvād buddha ityucyate | dharmajaṃ nāma dharmebhyo	yaTA-sTiti-vat-avagata-tvAt budDaH iti-ucyate | Darmajam nAma DarmeByaH-
   janitatvād dharmajam | dharmeṇa janitam ityadhivacanam |	janita-tvAt Darmajam | DarmeNa janitam iti-aDivacanam |
   tathoktamāryaṃ dṛṣṭatvād yaḥ paśyati sa paśyati |	taTA-uktam-Aryam dRzwa-tvAt yaH paSyati sa paSyati |
   tatheti buddhamiti tathoktatvāt, tādṛśo bhagavān | āryaṃ dṛṣṭatvāditi	taTA-iti budDam-iti taTA-ukta-tvAt, tAdRSaH BagavAn | Aryam dRzwa-tvAt-iti
   jñānacakṣuṣā | āryastu lokottaraḥ | paśyatīti cakṣuṣā | yaḥ paśyatīti yaḥ	jQAna-cakzuzA | AryaH-tu loka-uttaraH | paSyati-iti cakzuzA | yaH paSyati-iti yaH
   pratītyasamutpādaṃ dharmañcaivaṃ paśyati sa dharmajaḥ, dharmajatvād	pratItyasamutpAdam DarmaQca-evam paSyati sa DarmajaH, Darmaja-tvAt-
   buddhaṃ paśyatīti bhāṣyate |	budDam paSyati-iti BAzyate |
   tatrātra pratītyasamutpādaḥ kīdṛśa ukta iti cet | yaḥ pratītyasamutpādam	tatra-atra pratItyasamutpAdaH kIdRSaH uktaH iti ced | yaH pratItyasamutpAdam
   idamityādi | prāṇādirahitād yaśca iti tu yaḥ pratītyasamutpādaṃ satataṃ	idam-ityAdi | prANa-Adi-rahitAt yaH-ca iti tu yaH pratItyasamutpAdam satatam
   prāṇādirahitaṃ prāṇarahitam, apaśyad yuktyanumānābhyāṃ caryāṃ, māpanam,	prANa-Adi-rahitam prANa-rahitam, apaSyat yukti-anumAnAByAm caryAM, mApanam,
   kalpanām, upaparīkṣaṇañca karoti, satatamajīvamiti tu nirjīvam | ajīvaṃ	kalpa-nAm, upaparIkzaNaQca karoti, satatam-ajIvam-iti tu nirjIvam | ajIvam
   ārhatā evaṃ kalpayanti | imāni sarvāṇi bāhyābhyantarāṇi vastūni sajīvāni	ArhatAH evam kalpayanti | imAni sarvANi bAhya-aByantarANi vastUni sa-jIvAni
   indriyānvitāni | tasmāt sarvāścaitāḥ bhūmayaḥ sūkṣmaprāṇibhiḥ pūrṇāḥ |	indriya-anvitAni | tasmAt sarvAH-ca-etAH BUmayaH sUkzma-prANiBiH pUrNAH |
   tasmāt sarve prāṇino jantūn bhakṣanti | ye prāṇinaḥ prāṇino na bhakṣanti	tasmAt sarve prANinaH jantUn Bakzanti | ye prANinaH prANinaH na Bakzanti
   te prāṇinastu mokṣaṃ prāpnuvantīti ucyate | tasmāt tannirākaraṇāya	te prANinaH-tu mokzam prApnuvanti-iti ucyate | tasmAt tad-nirAkaraNAya
   ajīva-nirjīvetyādi uktam | ajīva iti nirjīvaḥ, niṣprāṇasyādhivacanam,	ajIva--nirjIva-ityAdi uktam | ajIvaH iti nirjIvaH, nizprANasya-aDivacanam,
   hetupratyayotpādadharmitvāt | hetustu bījādi | pratyayaśca pṛthivyādi | te	hetu-pratyaya-utpAda-Darmi-tvAt | hetuH-tu bIja-Adi | pratyayaH-ca pRTivI-Adi | te
   'pi parasparamanyonyakalpanā-parikalpanā-vikalpa-rahitvāt	api parasparam-anyonya-kalpanA--parikalpanA--vikalpa--rahi-tvAt
   tṛṇa-vṛkṣa-bhitti-dharmasadṛśā acalāḥ niṣkriyāśca tasmāt prāṇādirahitatvād	tRNa-vRkza-Bitti--Darma-sadRSAH acalAH nizkriyAH-ca tasmAt prANa-Adi-rahita-tvAt-
   ajīvāḥ | parasparaṃ hetupratyayopanibaddhajā anyonye cācetanāḥ | kriyā	ajIvAH | parasparam hetu-pratyaya-upanibadDa-jAH anyonye ca-acetanAH | kriyA
   karmāpyavabhāsate |	karma-api-avaBAsate |
   hetupratyayasantatiriyam anāditaḥ pravṛttā | yathājīvakānām ārhatānāṃ	hetu-pratyaya-santatiH-iyam anAditaH pravRttA | yaTA-jIvakAnAm ArhatAnAm
   vṛkṣā sacetanāḥ santi, calatvāt, suptatvāt, chinne 'pi utpādatvāditi, yā	vRkzAH sa-cetanAH santi, cala-tva-at, supta-tva-at, Cinne api utpAda-tvAt-iti, yA
   vyavahāraprajñaptistādṛśī nāsti | bāhyavastuṣu sūryasya candrasya ca	vyavahAra-prajQaptiH-tAdRSI na-asti | bAhya-vastuzu sUryasya candrasya ca
   sparśavaśena layo vistaraśca anumīyete | kva teṣāṃ śayanotthānam?	sparSa-vaSena layaH vistaraH-ca anumIyete | kva tezAm Sayana-utTAnam?
   vāyusañcāravaśād vṛkṣa-śākhādi-kampanānumānāt teṣāṃ gamanāgamanaṃ kuta	vAyu-saQcAra-vaSAt vRkza-SAKA-Adi-kampana-anumAnAt tezAm gamana-Agamanam kuta
   upalabhyate | artho 'siddha eva | chinne utpāda iti ayam artho 'siddha eva	upalaByate | arTaH asidDaH eva | Cinne utpAdaH iti ayam arTaH asidDaH eva
   iti darśayitum ucyate | yadi so 'pi sacetanaḥ syat, kasmāt	iti darSayitum ucyate | yadi saH api sa-cetanaH syat, kasmAt-
   chedanāvasthāyāṃ prāṇātipattītyādi duḥkhaṃ nānubhavati | anicchādicaryāṃ	Cedana-avasTAyAm prANa-atipatti-ityAdi duHKam na-anuBavati | anicCAdi-caryAm
   prārthanādiṃ vā tato 'nyatragamanaṃ vālpamapi na kurvanti | chinne	prArTanAdim vA tatas anyatra-gamanam vA-alpam-api na kurvanti | Cinne
   utpādatvāt sacetanatvābhyupagamaścet, tarhi yacchede 'nutpādaḥ,	utpAda-tvAt sa-cetana-tva-aByupagamaH-cet, tarhi yat-Cede anutpAdaH,
   tannivartanād acetanatvameva syāt | sacetanānām	tad-nivartanAt acetana-tvam-eva syAt | sa-cetanAnAm
   aṅga-pratyaṅgādicchedānutpāda-dharmitvād acetanatāyā eva prasaṅgo jāyate |	aFga--pratyaFga-Adi=-Ceda-an-utpAda--Darmi-tvAt acetana-tAyAH eva prasaFgaH jAyate |
   tasmāt taddhetvartho 'siddha eva | tasmādajīvaṃ, nirjīvam itīdaṃ	tasmAt tad-hetu-arTaH asidDaH eva | tasmAt-ajIvan, nirjIvam iti-idam
   vyavasthitam | yathāvadaviparītamiti ahetoḥ pratikūlahetorviyuktatvāt |	vyavasTitam | yaTAvat-aviparItam-iti ahetoH pratikUla-hetoH-viyukta-tvAt |
   ajātamiti tu janyajanakarahitatvāt | abhūtamiti śāśvatocchedarahitatvāt |	ajAtam-iti tu janya-janaka-rahita-tvAt | aBUtam-iti SASvata-ucCeda-rahita-tvAt |
   akṛtamiti tu kartṛrahitatvāt |	akRtam-iti tu kartR-rahita-tvAt |
   ābhyantarakartṛpuruṣeśvarādipravṛtti-saṃskāra-rahitattvācca |	AByantara-kartR-puruza-ISvara-Adi-pravRtti--saMskAra--rahi-tattvAt-ca |
   apratighamiti tu anāvaraṇasvabhāvatvāt | anālambanamiti tu	apratiGam-iti tu anAvaraNa-svaBAva-tvAt | anAlambanam-iti tu
   ālambyālambanarahitatvāt | vyupaśamasvabhāvamiti tu karmakleśarahitatvāt |	Alambya-Alambana-rahita-tvAt | vyupaSama-svaBAvam-iti tu karma-kleSa-rahita-tvAt |
   ekāntaśamasvabhāvamiti sarvaprapañcarahitam sarvakalpanājālarahitam |	ekAnta-Sama-svaBAvam-iti sarva-prapaQca-rahitam sarva-kalpanA-jAla-rahitam |
   satatasthitam, abhayam utpādavināśarahitañca | ya etādṛṅnayena dharmamapi	satata-sTitam, aBayam utpAda-vinASa-rahi-taQca | yaH etAdRS-nayena Darmam-api
   paśyati | vyupaśāntyanta-saṃyutam ityuktam | vyupaśāntyantamiti tu	paSyati | vyupaSAnti-anta--saMyutam iti-uktam | vyupaSAnti-antam-iti tu
   upaśamam ante darśayituṃ vyupaśamaparyantam | yastu etādṛśanayena dharmaṃ	upaSamam ante darSayitum vyupaSama-paryantam | yaH-tu etAdRSanayena Darmam
   satatam ajīvādisvabhāvaṃ paśyati |	satatam ajIva-Adi-svaBAvam paSyati |
   pratītyaṃ dharmabuddhau ca śuddhibuddhayā hi paśyati |	pratItyam Darma-budDO ca SudDi-budDayA hi paSyati |
   so 'nuttaradharmaśarīraṃ buddhaṃ paśyati | iti bhagavatā uktam |	saH anuttara-Darma-SarIram budDam paSyati | iti BagavatA uktam |
   ityasyārthastu yaḥ paśyati | āryadharmamabhisaṃbudhya iti tu yo	iti-asya-arTaH-tu yaH paSyati | Arya-Darmam-aBisaMbuDyaH iti tu yaH-
   pāpadharmāṇāṃ pāre arthāt dūre sa āryaḥ | teṣāṃ dharma āryadharmaḥ,	pApa-DarmANAm pAre arTAt dUre saH AryaH | tezAm DarmaH Arya-DarmaH,
   samyakdṛṣṭirityādiḥ | abhisaṃbudhyeti abhimukhe ekāgratākaraṇāt	samyak-dRzwiH-iti-AdiH | aBisaMbuDya-iti aBimuKe ekAgra-tAkaraNAt
   sākṣātkaraṇācca samādhiprāpterityadhivacanam | samyagjñānopanayenaiva iti	sAkzAtkaraNAt-ca samADi-prApteH-iti-aDivacanam | samyak-jQAna-upanayena-eva iti
   samyagaviparyayeṇa sarvadharmanairātmyatathatāvagamatvāt | anuttaramiti	samyak-aviparyayeNa sarva-Darma-nErAtmya-taTatA-avagama-tvAt | anuttaram-iti
   tatpūrvaṃ viśiṣṭadharmasya abhāvaḥ, tasmāt tad evānuttaramityuktam |	tat-pUrvam viSizwa-Darmasya aBAvaH, tasmAt tat eva-anuttaram-iti-uktam |
   dharmakāya iti dharmakāya eva dharmakāyaḥ, niśādā-putravat | buddha iti	Darma-kAyaH iti Darma-kAyaH eva Darma-kAyaH, niSAdA--putra-vat | budDaH iti
   dharmāvabodhāt | tathāpi yaḥ pratītyasamutpādaṃ paśyati sa	Darma-avaboDAt | taTA-api yaH pratItyasamutpAdam paSyati sa
   dharmakṛtānuttarabodhyaśaikṣasvabhāvatāṃ paśyati | yena sa	Darma-kRta-anuttara-boDya-SEkza-svaBAva-tAm paSyati | yena sa
   āryajñānagocaradharmaṃ tādṛśaṃ svayathāvad abhisaṃbodheḥ dharmajñaḥ,	Arya-jQAna-gocara-Darmam tAdRSam sva-yaTAvat aBisaMboDeH Darma-jQaH,
   dharmanirmāṇaṃ dharmadarśanam buddhadarśanam iti bhagavatā uktam |	Darma-nirmANam Darma-darSanam budDa-darSanam iti BagavatA uktam |
   pratītyasamutpādalakṣaṇaṃ bhedavyavasthāpanārthaṃ pratītyalakṣaṇaṃ tāvad	pratItyasamutpAda-lakzaNam Beda-vyavasTApana-arTam prati-ityalakzaNam tAvat-
   ityuktam | kasmāt pratītyasamutpāda ucyate iti cet | tasmāduktam -	iti-uktam | kasmAt pratItyasamutpAdaH ucyate iti ced | tasmAt-uktam -
   sahetvādipadānvitam |	sa-hetu-Adi-pada-anvitam |
   sahetukaḥ sapratyaya (ucyate) nāhetuko nāpratyayaḥ | bhagavatā	sa-hetukaH sa-pratyayaH (ucyate) na-ahetukaH na-apratyayaH | BagavatA
   pratītyasamutpādalakṣaṇaṃ saṃkṣepeṇoktam, etatpratyayasyaiva phalam |	pratItyasamutpAda-lakzaNam saMkzepeNa-uktam, etad-pratyayasya-eva Palam |
   tasmāduktam |	tasmAt-uktam |
   buddhotpādo bhavenno vā sthiteyaṃ dharmatā yataḥ |	budDa-utpAdaH Bavet-naH vA sTitA-iyam DarmatA yatas |
   hetupratyaya-pravāho 'vicchinnaḥ | hetuphalamavicchinnaṃ anyonyaṃ	hetu-pratyaya--pravAhaH avicCinnaH | hetu-Palam-avicCinnam anyonyam
   pravartate | atrāhetuḥ pratikūlahetuḥ vā pravartako nivartako vā ko 'pi	pravartate | atra-ahetuH pratikUla-hetuH vA pravartakaH nivartakaH vA kaH api
   nāsti | tasmāt tathāgatānāmutpādādvā anutpādād vā dharmato dharmasthitito	na-asti | tasmAt taTAgatAnAm-utpAdAt-vA anutpAdAt vA DarmataH Darma-sTititaH-
   dharmaniyamataśca eṣa pravāhaḥ, ityuktam | yadi pratyayarahitena ekenaiva	Darma-niyamataH-ca eza pravAhaH, iti-uktam | yadi pratyaya-rahitena ekena-eva
   hetunā bhāvā utpadya tiṣṭhanti, yadi pratyayo 'pi hetumanapekṣya	hetunA BAvAH utpadya tizWanti, yadi pratyayaH api hetum-anapekzya
   kiñcidutpādayituṃ samarthaḥ cettadā te sthitā asthitā iti vaktuṃ yujyeta,	kiQcid-utpAdayitum samarTaH ced-tadA te sTitAH asTitAH iti vaktum yujyeta,
   teṣāmutpādaḥ phalodbhavo 'pi nāhetor na cāpratyayāt tathāgatānāmutpādo	tezAm-utpAdaH Pala-udBavaH api na-ahetoH na ca-apratyayAt taTAgatAnAm-utpAdaH-
   vānutpādo vā eṣā dharmatā dharmasthitatā ca āditaḥ pravartete ||	vA-anutpAdaH vE ezA DarmatA Darma-sTita-tA ca Aditas pravartete ||
   tadyathā - pratītyasamutpādasya dharma etatpratyayatāphalamiti bhagavatā	tat-yaTA  pratItyasamutpAdasya DarmaH etat-pratyaya-tA-Palam-iti BagavatA
   pratītyasamutpādaḥ saṃkṣepeṇa uktaḥ | atra dharmatā tu	pratItyasamutpAdaH saMkzepeNa uktaH | atra DarmatA tu
   hetupratyayaryordharmatā | dharmasthitateti avipraṇāśadharmatā |	hetu-pratyaya-ryoH-Darma-tA | Darma-sTita-tA-iti avipraNASa-DarmatA |
   dharmaniyāmateti idaṃpratyayatākramaniyāmatā | hetupratyaya-kramavat	Darma-niyAma-tA-iti idaMpratyaya-tA-krama-niyAma-tA | hetu-pratyaya--krama-vat-
   pratītyasamutpādasamateti hetvabhāve pratyayāpravṛttiḥ pratyayābhāve ca na	pratItyasamutpAda-samatA-iti hetu-aBAve pratyaya-apravRttiH pratyaya-aBAve ca na
   hetu-pravṛttiḥ | parasparasāmagryāṃ ca pravṛttiḥ | ananyatathateti	hetu--pravRttiH | paraspara-sAmagryAm ca pravRttiH | ananyataTatA-iti
   anyatāvirahitatvāt | bhūtateti avisaṃvādatvāt | satyatā iti	anya-tA-virahita-tvAt | BUta-tA-iti avisaMvAda-tvAt | satya-tA iti
   satyānukūlatvāt | tathateti arthānvitatvāt | aviparītateti tu	satya-anukUla-tvAt | taTatA-iti arTa-anvita-tvAt | aviparIta-tA-iti tu
   caturvidhaviparyayarahitatvāt | aviparyayateti anukūlatvāt | evamapi	caturviDa-viparyaya-rahita-tvAt | aviparyayata-iti anukUla-tvAt | evam-api
   pratītyasamutpādo 'yam ityādi hetupratyayadvividhatvād	pratItyasamutpAdaH ayam ityAdi hetu-pratyaya-dviviDa-tvAt-
   hetupratyayobhayārtha pratītyasamutpādasya kramo 'bhyupagantavyaḥ |	hetu-pratyaya-uBaya-arTa pratItyasamutpAdasya kramaH aByupagantavyaH |
   katamau dvāviti? ucyate | hetūpanibandhataḥ pratyayopanibandhataśca| tacca	katamO dvO=-iti? ucyate | hetu-upanibanDataH pratyaya-upanibanDataH-ca| tat-ca
   bāhyādhyātmika-bhedena caturvidho 'vagantavyam -	bAhya-ADyAtmika-Bedena caturviDaH avagantavyam -
   bāhya ādhyātmikaścāpi dvividho hetupratyayaḥ | ityuktam |	bAhyaH ADyAtmikaH-ca-api dviviDaH hetu-pratyayaH | iti-uktam |
   evaṃ bāhyādhyātmikaviśeṣeṇa pṛthag hetupratyayānāṃ lakṣaṇa-bhedaḥ kīdṛśa	evam bAhya-ADyAtmika-viSezeNa pRTak hetu-pratyayAnAm lakzaNa-BedaH kIdRSa
   iti cet |	iti ced |
   bāhyo hetustu bījādi ityuktam |	bAhyaH hetuH-tu bIja-Adi iti-uktam |
   tatra katamo bāhyaḥ sahetukaḥ pratītyasamutpāda iti uktvā tadidam -	tatra katamaH bAhyaH sa-hetukaH pratItyasamutpAdaH iti uktvA tat-idam -
   bījādaṅkuraḥ | aṅkurāt patram | patrāt kāṇḍam | kāṇḍānnālam | nālādgaṇḍaḥ	bIjAt-aFkuraH | aFkurAt patram | patrAt kANxam | kANxAn-nAlam | nAlAt-gaNxaH
   gaṇḍād garbham [garbhācchūkaḥ] puṣpāt phalam ityuktam |	gaNxAt garBam [garBAt-SUkaH] puzpAt Palam iti-uktam |
   pratyayaḥ ṣaḍvidho mataḥ |	pratyayaH zaxviDaH mataH |
   iti tvavasthātvād bāhyapratītyasamutpāda iti yojyam | ṣaḍvidha iti tu	iti tu-avasTAtvAt bAhya-pratItyasamutpAdaH iti yojyam | zaxviDaH iti tu
   pṛthivyādayaḥ ṣaḍvidhāḥ | tasmāttūktam -	pRTivI-AdayaH zaxviDAH | tasmAt-tu-uktam -
   bījāṅkuraprakāṇḍādiḥ phale yadvat pravartate |	bIja-aFkura-prakANxa-AdiH Pale yadvat pravartate |
   bīje sati aṅkura-kāṇḍādi-phala-paryantānāṃ prādurbhāvād, bīje 'sati	bIje sati aFkura--kANxa-Adi-Pala--paryantAnAm prAdurBAvAd, bIje asati
   aṅkurakāṇḍādiphalaparyantam na prādurbhavati | tatra bījasya naivaṃ	aFkura-kANxa-Adi-Pala-paryantam na prAdurBavati | tatra bIjasya na-evam
   bhavati ahamaṅkurādi abhinirvartayāmi iti | aṅkurasyāpi naivaṃ bhavati	Bavati aham-aFkura-Adi aBinirvartayAmi iti | aFkurasya-api na-evam Bavati
   ahaṃ bījādinā abhinirvartitaḥ iti | evaṃ yāvat puṣpasya naivaṃ bhavati	aham bIja-AdinA aBinirvartitaH iti | evam yAvat puzpasya na-evam Bavati
   ahaṃ phalamabhinirvartayāmīti | phalasyāpi naivaṃ bhavati ahaṃ	aham Palam-aBinirvartayAmi-iti | Palasya-api na-evam Bavati aham
   puṣpeṇābhinirvartita iti | atha punarbīje sati aṅkurāditaḥ phalādi	puzpeNa-aBinirvartitaH iti | aTa punar-bIje sati aFkura-AditaH Pala-Adi
   paryantaṃ prādurbhāvaḥ | asati na bhavati | evaṃ bāhyasya	paryantam prAdurBAvaH | asati na Bavati | evam bAhyasya
   pratītyasamutpādasya hetūpanibandho draṣṭavyaḥ |	pratItyasamutpAdasya hetu-upanibanDaH drazwavyaH |
   pratyayastu pṛthivyādi kālāntaṃ hi yathā kramam |	pratyayaH-tu pRTivI-Adi kAla-antam hi yaTA kramam |
   tasmādeva kathaṃ bāhyapratītyasamutpādasya pratyayopanibandho draṣṭavya	tasmAt-eva kaTam bAhya-pratItyasamutpAdasya pratyaya-upanibanDaH drazwavya
   ityādi uktam | bāhyapratītyasamutpādasya pratyayopanibandhāḥ katidhā	ityAdi uktam | bAhya-pratItyasamutpAdasya pratyaya-upanibanDAH katiDA
   draṣṭavyā ityuktam ṣaṇṇāṃ dhātūnāṃ samavāyāt | katameṣāṃ ṣaṇṇāmiti |	drazwavyAH iti-uktam zaNNAm DAtUnAm samavAyAt | katamezAm zaNNAm-iti |
   pṛthivyaptejovāyvākāśartudhātūnāṃ yathākramaṃ samavāyād	pRTivI-ap-tejaH-vAyvAkASa-Rtu-DAtUnAm yaTAkramam samavAyAt-
   bāhyapratītyasamutpādasyeti pratyayatā yathākramam | kramo yathāvad	bAhya-pratItyasamutpAdasya-iti pratyaya-tA yaTAkramam | kramaH yaTAvat-
   jñātavyaḥ | eṣām hetupratyayānāṃ katamasya karma katamad iti cet? tasmād	jQAtavyaH | ezAm hetu-pratyayAnAm katamasya karma katamat iti cet? tasmAt-
   uktam |	uktam |
   dhāraṇaṃ snehanaṃ pāko dhānyavṛddhiranāvṛtiḥ |	DAraNam snehanam pAkaH DAnya-vRdDiH-anAvRtiH |
   pariṇāmastathā teṣāṃ kāryaṃ tadvat pravartate ||	pariNAmaH-taTA tezAm kAryam tadvat pravartate ||
   tatra pṛthivīdhāturbījasya saṃdhāraṇakṛtyaṃ karotīti	tatra pRTivIDAtuH-bIjasya saMDAraNa-kRtyam karoti-iti
   bījamaṅkurotpādonmukhamāśrayatvāt kaṭhinatvameva ucyate | abdhātuḥ	bIjam-aFkura-utpAda-unmuKam-ASraya-tvAt kaWina-tvam-eva ucyate | abDAtuH
   snehayatīti abhiṣyandayatīti bhāṣitaḥ | tejo dhātuḥ paripācayatīti	snehayati-iti aBizyandayati-iti BAzitaH | tejaH DAtuH paripAcayati-iti
   paripuṣṭayavasare upapadyamāne paraspara-sparśeṇoṣṇatā eva paripāka iti	paripuzwa-yavasare upapadyamAne paraspara--sparSeNa-uzNa-tA eva paripAkaH iti
   ucyate |	ucyate |
   vāyudhātur abhinirharatīti vardhanatvād, svāvasthāyāḥ samuddhṛtya bahirā	vAyuDAtuH aBinirharati-iti varDana-tvAt-, sva-avasTAyAH samudDRtya bahirA
   nayanād vāyudhāturbījamabhinirharati vardhayatīti ucyate |	nayanAt vAyuDAtuH-bIjam-aBinirharati varDayati-iti ucyate |
   ākāśadhāturbījāṅkurādīnām anāvaraṇakṛtyaṃ karotīti |	AkASa-DAtuH-bIja-aFkura-AdInAm anAvaraNa-kRtyam karoti-iti |
   ākāśadhāturvighnākaraṇatvād anukūlapravṛteḥ bījāṅkurādyanāvaraṇakṛtyaṃ	AkASa-DAtuH-viGnAkaraNa-tvAt anukUla-pravRteH bIja-aFkura-Adi-anAvaraNa-kRtyam
   karotītyucyate | ṛturapi bījasya pariṇāmanakṛtyaṃ karotīti ṛturapi	karoti-iti-ucyate | RtuH-api bIjasya pariNAmana-kRtyam karoti-iti RtuH-api
   sarvākāraṃ abhinirharati | ṛtau yathāvat parivartamāne bījapariṇāmakṛtyaṃ	sarva-AkAram aBinirharati | RtO yaTAvat parivartamAne bIja-pariNAma-kRtyam
   karotīti | sarveṣāmapyavaikalye prādurbhāvaḥ | vaikalye tu na prādurbhāvaḥ	karoti-iti | sarvezAm-api-avEkalye prAdurBAvaH | vEkalye tu na prAdurBAvaH
   | tasmādeva uktam |	| tasmAt-eva uktam |
   no cet pratyayasāmagrī bīje bhūte 'pi nāṅkuraḥ |	no ced pratyaya-sAmagrI bIje BUte api na-aFkuraH |
   bījābhāve tu satyevaṃ pratyayabhāvo 'pi tādṛśaḥ ||	bIja-aBAve tu sati-evam pratyaya-BAvaH api tAdRSaH ||
   tasmādeva uktam | sarvasamavāyād bīje niruddhe tato 'bhinirhāraḥ syāt |	tasmAt-eva uktam | sarva-samavAyAt bIje nirudDe tatas aBinirhAraH syAt |
   hetavaḥ pratyayāstadvad ātmagrāhādivarjitāḥ |	hetavaH pratyayAH-tadvat Atma-grAha-Adi-varjitAH |
   hetupratyayasāmagryā na naśyet karmaṇaḥ phalam ||	hetu-pratyaya-sAmagryAH na naSyet karmaNaH Palam ||
   tatra pṛthivīdhātornaivaṃ bhavati ahaṃ saṃghātakṛtyaṃ karomīti | tadvat	tatra pRTivI-DAtoH-na-evam Bavati aham saMGAta-kRtyam karomi-iti | tadvat-
   jale agnau, vāyau, ākāśe, ṛtau cāpi naivaṃ bhavati |	jale agnO, vAyO, AkASe, RtO ca-api na-evam Bavati |
   ātmātmīyagrahābhāvānna karmaphala-prajñapti-praṇāśaḥ, sarvatra	Atma-AtmIya-graha-aBAvAt-na karma-Pala--prajQapti-praNASaH, sarvatra
   hetupratyayavaikalyābhāvād ityavagantavyam | so 'ṅkuro 'pīti	hetu-pratyaya-vEkalya-aBAvAt iti-avagantavyam | saH aFkuraH api-iti
   bījahetukatadaṅkurādīnām utpādo	bIja-hetuka-tad-aFkura-AdInAm utpAdaH-
   na svato parato nāpi na dvayoḥ kartṛkālataḥ |	na svatas paratas na-api na dvayoH kartR-kAlataH |
   īśvarādikṛtaṃ naivaṃ svabhāvānnāpyahetutaḥ || ityuktam |	ISvara-Adi-kRtam na-evam svaBAvAt-na-api-ahetutaH || iti-uktam |
   svata iti hetupratyayābhāve svata utpādaḥ | svabhāvavādina evaṃ kalpanta	svatas iti hetu-pratyaya-aBAve svatas utpAdaH | svaBAva-vAdinaH evam kalpanta
   iti śrūyate |	iti SrUyate |
   bhāvānāṃ svabhāvata satatamatra tiṣṭhati |	BAvAnAm svaBAvata satatam-atra tizWati |
   atra na kaścidutpadyate na ca kaścin nirudhyate |	atra na kaScid-utpadyate na ca kaScid niruDyate |
   māyūrasya patravaicitryaṃ, kamalādiṣu raktatā,	mAyUrasya patra-vEcitryan, kamala-Adizu rakta-tA,
   kāṇḍādīnāṃ taikṣṇyādikaṃ kena pūrvanirmitamityucyate |	kANxa-AdInAm tEkzNya-Adikam kena pUrva-nirmitam-iti-ucyate |
