   (PSP_4:1)	(PSu _4:1)
   sarvadhāraṇīmukhāni	sarva DAraNI muKAni
   bodhipakṣyadharmāryasatyāpramāṇadhyānārūpyasamāpattyaṣṭavimokṣanavānupūrvavihārasamāpattiśūnyatānimittāpraṇihitābhijñādaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmā	boDi pakzya Darma Arya satya apramANa DyAna ArUpya samApatti azwa vimokza navAnupUrva vihAra samApatti SUnyatA nimitta apraNihita aBijQA daSa bala vESAr
   sarvajñatācintyeti na saṃjānīte paripūrayiṣyati prajñāpāramitām.	sarvajQa tA acintya iti na saMjAnIte paripUrayizyati prajQApAramitAm.
   ity acintyākārasaṃjñānirodhaprayogaḥ	iti acintya AkAra saMjQA niroDa prayogaH
   subhūtir āha: ko 'tra bhagavan gambhīrāyāṃ prajñāpāramitāyām adhimokṣate?	suBUtiH Aha: kaH atra Bagavan gamBIrAyAm prajQApAramitAyAm aDimokzate?
   bhagavān āha: yaḥ subhūte bodhisattvo mahāsattvaḥ pūrvam api carito	BagavAn Aha: yaH suBUte boDisattvaH mahAsattvaH pUrvam api caritaH 
   bhavati, ṣaṭsu pāramitāsu tathāgatāvaropitakuśalaraūlo bhavati,	Bavati, zawsu pAramitAsu taTAgata avaropita kuSala raUlaH Bavati,
   bahubuddhaparyupāsitaḥ kalyāṇamitraparigṛhīto bhavati, sa imāṃ	bahu budDa paryupAsitaH kalyANa mitra parigRhItaH Bavati, saH imAm
   prajñāpāramitām adhimokṣate.	prajQApAramitAm aDimokzate.
   subhūtir āha: kiyatā bhagavan bodhisattvo mahāsattvaḥ pūrvam api carito	suBUtiH Aha: kiyatA Bagavan boDisattvaH mahAsattvaH pUrvam api caritaH 
   bhavati, ṣaṭsu pāramitāsu tathāgatāvaropitakuśalamūlo bhavati,	Bavati, zawsu pAramitAsu taTAgata avaropita kuSala mUlaH Bavati,
   bahubuddhaparyupāsitaḥ kalyāṇamitraparigṛhīto bhavati.	bahu budDa paryupAsitaH kalyANa mitra parigRhItaH Bavati.
   bhagavān āha: iha subhūte bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	BagavAn Aha: iha suBUte boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   rūpaṃ na kalpayati na vikalpayati, rūpanimittaṃ na kalpayati na	rUpam na kalpayati na vikalpayati, rUpa nimittam na kalpayati na
   vikalpayati, rūpasvabhāvan na kalpayati na vikalpayati, vedanā saṃjñā	vikalpayati, rUpa svaBAvan na kalpayati na vikalpayati, vedanA saMjQA
   saṃskārā, vijñānan na kalpayati na vikalpayati, vijñānanimittaṃ na	saMskArA, vijQAnan na kalpayati na vikalpayati, vijQAna nimittam na
   kalpayati na vikalpayati, vijñānasvabhāvan na kalpayati na vikalpayati.	kalpayati na vikalpayati, vijQAna svaBAvan na kalpayati na vikalpayati.
   evaṃ dhātūn āyatanāni pratītyasamutpādaṃ pratītyasamutpādāṅgāni	evam DAtUn AyatanAni pratItyasamutpAdam pratItyasamutpAda aFgAni
   kāmarūpārūpyadhātuṃ dānapāramitāṃ śīlapāramitāṃ kṣāntipāramitāṃ	kAmarUpArUpya DAtum dAna pAramitAm SIla pAramitAm kzAnti pAramitAm
   vīryapāramitāṃ (PSP_4:24) dhyānapāramitāṃ prajñāpāramitām adhyātmaśūnyatāṃ	vIrya pAramitAm (PSu _4:24) DyAna pAramitAm prajQApAramitAm aDyAtma SUnyatAm
   bahirdhāśūnyatām adhyātmabahirdhāśūnyatāṃ yāvad abhāvasvabhāvaśūnyatāṃ	bahirDA SUnyatAm aDyAtma bahirDA SUnyatAm yAvat aBAva svaBAva SUnyatAm
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgāryasatyapramāṇadhyānārūpyasamāpattyaṣṭavimokṣanavānupūrvavihārasamāpattīḥ	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArga Arya satya pramANa DyAna ArUpya samApatti azwa vimokza navAnupUrva vihAra samApatt
   śūnyatānimittāpraṇihitābhijñāḥ	SUnyatA nimitta apraNihita aBijQAH
   sarvasamādhisarvadhāraṇīmukhadaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmān	sarva samADi sarva DAraNI muKa daSa bala vESAradya pratisaMvid AveNika budDa DarmAn
   sarvajñatān na kalpayati na vikalpayati, sarvajñatānimittan na kalpayati	sarvajQa tAn na kalpayati na vikalpayati, sarvajQa tA nimittat na kalpayati
   na vikalpayati, sarvajñatāsvabhāvan na kalpayati na vikalpayati. tat kasya	na vikalpayati, sarvajQa tA svaBAvan na kalpayati na vikalpayati. tat kasya
   hetoḥ? tathā hi subhūte rūpam acintyaṃ, vedanā saṃjñā saṃskārā, vijñānam	hetoH? taTA hi suBUte rUpam acintyan, vedanA saMjQA saMskArA, vijQAnam
   acintyam. evaṃ	acintyam. evam
   dhātvāyatanapratītyasamutpādapāramitābodhipakṣyadharmāryasatyapramāṇadhyānārūpyasamāpattyaṣṭavimokṣanavānupūrvavihārasamāpattiśūnyatānimittāpraṇihitābhijñāsarvaśūnyatāsarvasamādhisarvadhāraṇīmukhadaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmāḥ	DAtu Ayatana pratItyasamutpAda pAramitA boDi pakzya Darma Ari a satya pramANa DyAna ArUpya samApatti azwa vimokza navAnupUrva vihAra samApatti SUnya
   sarvajñatā acintyā. evaṃ khalu subhūte bodhisattvo mahāsattvaḥ pūrvam api	sarvajQa tA acintyA. evam Kalu suBUte boDisattvaH mahAsattvaH pUrvam api
   carito bhavati ṣaṭsu pāramitāsu tathāgatāvaropitakuśalamūlo bhavati	caritaH Bavati zawsu pAramitAsu taTAgata avaropita kuSala mUlaH Bavati
   bahubuddhaparyupāsitaḥ kalyāṇamitraparigṛhīto bhavati.	bahu budDa paryupAsitaH kalyANa mitra parigRhItaH Bavati.
   subhūtir āha: gambhīrā bhagavan prajñāpāramitā.	suBUtiH Aha: gamBIrA Bagavan prajQApAramitA.
   bhagavān āha: rūpagambhīratayā subhūte gambhīrā prajñāpāramitā, vedanā	BagavAn Aha: rUpa gamBIra tayA suBUte gamBIrA prajQApAramitA, vedanA
   saṃjñā saṃskārā, vijñānagambhīratayā subhūte gambhīrā prajñāpāramitā. evaṃ	saMjQA saMskArA, vijQAna gamBIra tayA suBUte gamBIrA prajQApAramitA. evam
   dhātvāyatanapratītyasamutpādapāramitābodhipakṣyadharmāryasatyāpramāṇadhyānārūpyasamāpattyaṣṭavimokṣanavānupūrvavihārasamāpattiśūnyatānimittāpraṇihitābhijñāsarvaśūnyatāsarvasamādhisarvadhāraṇīmukhadaśabalavaiśāradyapratisaṃvidāveṇikabuddhadharmagambhīratayā	DAtu Ayatana pratItyasamutpAda pAramitA boDi pakzya Darma Arya satya apramANa DyAna ArUpya samApatti azwa vimokza navAnupUrva vihAra samApatti SUnya
   subhūte gambhīrā prajñāpāramitāḥ, sarvajñatāgambhīratayā subhūte gambhīrā	suBUte gamBIrA prajQApAramitAH, sarvajQa tA gamBIra tayA suBUte gamBIrA
   prajñāpāramitā. ity avikalpaprayogaḥ	prajQApAramitA. iti avikalpa prayogaH
   subhūtir āha: ratnarāśir bhagavan prajñāpāramitā ratnadātrī,	suBUtiH Aha: ratna rASiH Bagavan prajQApAramitA ratna dAtrI,
   srotāpattiphalasya sakṛdāgāmiphalasyanāgāmiphalasyārhattvasya	srotApatti Palasya sakRdAgAmi PalasyanAgAmi Palasya arhat tvasya
   pratyekabuddhatvasyānuttarāyāḥ samyaksaṃbodher dātrī	pratyekabudDa tvasya anuttarAyAH samyaksaMboDeH dAtrI
   dharmacakrapravartikeyaṃ bhagavan prajñāpāramitā. iti	Darma cakra pravartikA iyam Bagavan prajQApAramitA. iti
   phalaratnadānaprayogaḥ	Pala ratna dAna prayogaH
   subhūtir āha: sarvadharmāṇāṃ śuddharāśir bhagavan prajñāpāramitā.	suBUtiH Aha: sarva DarmANAm SudDa rASiH Bagavan prajQApAramitA.
   bhagavān āha: rūpaviśuddhitām upādāya, vedanā saṃjñā saṃskārā, (PSP_4:25)	BagavAn Aha: rUpa viSudDi tAm upAdAya, vedanA saMjQA saMskArA, (PSu _4:25)
   vijñānaviśuddhitām upādāya. evaṃ	vijQAna viSudDi tAm upAdAya. evam
   dhātvāyatanapratītyasamutpādapāramitābodhipakṣyadharmāryasatyāpramāṇadhyānārūpyasamāpattyaṣṭavimokṣanavānupūrvavihārasamāpattiśūnyatānimittāpraṇihitābhijñādaśabalavaiśāradyapratisaṃvidāveṇikābuddhadharmāḥ,	DAtu Ayatana pratItyasamutpAda pAramitA boDi pakzya Darma Arya satya apramANa DyAna ArUpya samApatti azwa vimokza navAnupUrva vihAra samApatti SUnya
   sarvajñatāviśuddhitām upādāya. iti viśuddhiprayogaḥ	sarvajQa tA viSudDi tAm upAdAya. iti viSudDi prayogaH
   subhūtir āha: āścaryaṃ bhagavan yāvad asyāṃ gambhirāyāṃ prajñāpāramitāyāṃ	suBUtiH Aha: AScaryam Bagavan yAvat asyAm gamBiH AyAm prajQApAramitAyAm
   bhāṣyamāṇāyāṃ bahavo 'ntarāyā utpadyeran.	BAzyamANAyAm bahavaH antarAyAH utpadyeran.
   bhagavān āha: evam etat subhūte evam etat, bahvantarāyāyaṃ subhūte	BagavAn Aha: evam etat suBUte evam etat, bahu antarAya ayam suBUte
   gambhīrā prajñāpāramitā, tena kulaputreṇa vā kuladuhitrā vā imāṃ	gamBIrA prajQApAramitA, tena kula putreNa vA kula duhitrA vA imAm
   prajñāpāramitāṃ likhitā kṣipram eva likhitavyā, uddiśatā dhārayatā	prajQApAramitAm liKitA kzipram eva liKitavyA, uddiSatA DArayatA
   vācayatā svādhyāyatā yoniśaś ca manasikurvatā, bhāvayatā kṣipram eva	vAcayatA svADyAya tA yoniSas ca manasikurvatA, BAvayatA kzipram eva
   bhāvayitavyā. mā khalv asyāṃ gambhīrāyāṃ prajñāpāramitāyāṃ likhyamānāyām	BAvayitavyA. mA Kalu asyAm gamBIrAyAm prajQApAramitAyAm liKyamAnAyAm
   uddiśyamānāyāṃ dhāryamāṇāyāṃ vācyamānāyāṃ svādhyāyamānāyāṃ yoniśo	uddiSyamAnAyAm DAryamANAyAm vAcyamAnAyAm svADyAyamAnAyAm yoni Sas 
   manasikriyamāṇāyāṃ bhāvyamānāyāṃ vāntarāyaḥ syād iti. tat kasya hetoḥ?	manasi kriyamANAyAm BAvyamAnAyAm vA antarAyaH syAt iti. tat kasya hetoH?
   sacet subhūte yaḥ kulaputro vā kuladuhitā vā māsena imāṃ prajñāpāramitāṃ	saced suBUte yaH kula putraH vA kula duhitA vA mAsena imAm prajQApAramitAm
   likhet tena likhitavyaiva bhavet. saced dvābhyāṃ tribhiś ca caturbhiḥ	liKet tena liKitavyA eva Bavet. saced dvAByAm triBiH ca caturBiH
   pañcabhiḥ ṣaḍbhiḥ saptabhir aṣṭābhir yāvat saṃvatsareṇa likhet tena	paQcaBiH zaxBiH saptaBiH azwABiH yAvat saMvatsareNa liKet tena
   likhitavyaiva bhaved evam upadeṣṭavyā dhārayitavyā vācayitavyā	liKitavyA eva Bavet evam upadezwavyA DArayitavyA vAcayitavyA
   svādhyātavyā yoniśo manasikartavyā. sacet māsena vā bhāvayet tena	su ADyAtavyAH yoniSas manasi kartavyA. saced mAsena vA BAvayet tena
   bhāvayitavyā bhavet yāvat saṃvatsareṇa bhāvayet tena bhāvayitavyā bhavet.	BAvayitavyA Bavet yAvat saMvatsareNa BAvayet tena BAvayitavyA Bavet .
   tat kasya hetor? bahavaḥ subhūte mahāratnasyāntarāyā utpadyante.	tat kasya hetor? bahavaH suBUte mahA ratnasya antarAyAH utpadyante.
   subhūtir āha: āścaryaṃ bhagavan yad asyāṃ gambhīrāyāṃ prajñāpāramitāyāṃ	suBUtiH Aha: AScaryam Bagavan yat asyAm gamBIrAyAm prajQApAramitAyAm
   māraḥ pāpīyān antarāyāya yogam āpadyate, yad	mAraH pApIyAn antarAyAya yogam Apadyate, yat 
   utālikhanāyānuddiśamānāyādhāraṇāyāvācanāyāyoniśo manasikāraṇāyābhāvanāyai.	uta ali KanAya an uddiSa mAnAya aDAraNAya avAcanAya ayoniSaH manasikAraNAya aBAvanAyE.
   bhagavān āha: kiṃ cāpi subhūte māraḥ pāpīyān gambhīrāyāṃ prajñāpāramitāyām	BagavAn Aha: kim ca api suBUte mAraH pApIyAn gamBIrAyAm prajQApAramitAyAm
   udyogam āpadyeta antarāya karaṇāya yad utālikhanāya yāvad abhāvanāyai	udyogam Apadyeta antarAya karaNAya yat uta aliKanAya yAvat aBAvanAyE
   bodhisattvasya mahāsattvasya imāṃ gambhīrāṃ prajñāpāramitāṃ likhata	boDisattvasya mahAsattvasya imAm gamBIrAm prajQApAramitAm liKata
   uddiśato dhārayato vācayataḥ svādhyāyato yoniśo manasikurvato bhāvayato na	uddiSataH DArayataH vAcayataH su ADyAyataH yoniSas manasikurvataH BAvayataH na
   śaknoty antarāyaṃ kartum.	Saknoti antarAyam kartum.
   ity adhimuktiprayogaḥ ity uktaḥ prayogaḥ	iti aDimukti prayogaH iti uktaH prayogaH
   (PSP_4:26)	(PSu _4:26)
   atha khalv āyuṣmān śāriputro bhagavantam etad avocat: kasya bhagavann	aTa Kalu AyuzmAn SAriputraH Bagavantam etat avocat: kasya Bagavat = 
   anubhāvena māraḥ pāpīyān na śaknoty antarāyaṃ kartuṃ bodhisattvānāṃ	anuBAvena mAraH pApIyAn na Saknoti antarAyam kartum boDisattvAnAm
   mahāsattvānām imāṃ gambhīrāṃ prajñāpāramitāṃ likhatām uddiśatāṃ dhārayatāṃ	mahAsattvAnAm imAm gamBIrAm prajQApAramitAm liKatAm uddiSatAm DArayatAm
   vācayatāṃ svādhyāyatāṃ yoniśo manasikurvatāṃ bhāvayatām?	vAcayatAm su ADyAyatAm yoniSas manasikurvatAm BAvayatAm?
   bhagavān āha: buddhānubhāvena śāriputra māraḥ pāpīyān na śaknoty antarāyaṃ	BagavAn Aha: budDa anuBAvena SAriputra mAraH pApIyAn na Saknoti antarAyam
   kartuṃ bodhisattvānāṃ mahāsattvānām imāṃ gambhīrāṃ prajñāpāramitāṃ	kartum boDisattvAnAm mahAsattvAnAm imAm gamBIrAm prajQApAramitAm
   likhatām uddiśatāṃ dhārayatāṃ vācayatāṃ svādhyāyatāṃ yoniśo manasikurvatāṃ	liKatAm uddiSatAm DArayatAm vAcayatAm su ADyAyatAm yoniSas manasikurvatAm
   bhāvayatām. ye 'pi te śāriputra samantā daśasu dikṣu buddhā bhagavantas	BAvayatAm. ye api te SAriputra samantAH daSasu dikzu budDAH Bagavantas
   tiṣṭhanti dhriyante yāpayanti, teṣām api buddhānāṃ bhagavatām anubhāvāt.	tizWanti Driyante yApayanti, tezAm api budDAnAm BagavatAm anuBAvAt.
   te 'pi buddhā bhagavantas tān bodhisattvān mahāsattvān samanvāhariṣyanti	te api budDAH BagavantaH tAn boDisattvAn mahAsattvAn samanvAharizyanti
   anuparigrahīṣyanti, taiś ca buddhair bhagavadbhir anuparigṛhītānāṃ	anuparigrahIzyanti, tEH ca budDEH BagavadBiH anuparigRhItAnAm
   bodhisattvānāṃ mahāsattvānāṃ māraḥ pāpīyān na śaknoty antarāyaṃ kartum,	boDisattvAnAm mahAsattvAnAm mAraH pApIyAn na Saknoti antarAyam kartum,
   imāṃ prajñāpāramitāṃ likhatāṃ dhārayatāṃ vācayatām uddiśatāṃ svādhyāyatāṃ	imAm prajQApAramitAm liKatAm DArayatAm vAcayatAm uddiSatAm su ADyAyatAm
   yoniśo manasikurvatāṃ bhāvayatām. tat kasya hetor? na hi śāriputra	yoniSas manasikurvatAm BAvayatAm. tat kasya hetor? na hi SAriputra
   buddhair bhagavadbhir anuparigṛhītānāṃ bodhisattvānāṃ mahāsattvānāṃ māreṇa	budDEH BagavadBiH anuparigRhItAnAm boDisattvAnAm mahAsattvAnAm mAreNa
   pāpīyasā śaknoty antarāyaḥ kartum. tat kasya hetor? dharmaṃ teṣāṃ	pApIyasA Saknoti antarAyaH kartum. tat kasya hetor? Darmam tezAm
   śāriputra ye 'pi te samantād daśasu dikṣv aprameyeṣv asaṃkhyeyeṣu	SAriputra ye api te samantAt daSasu dikzu aprameyezu asaMKyeyezu
   lokadhātuṣv aprameyā asaṃkhyeyās tathāgatā arhantaḥ samyaksaṃbuddhās	lokaDAtuzu aprameyAH asaMKyeyAH taTAgatAH arhantaH samyaksaMbudDa aH 
   tiṣṭhanti dhriyante yāpayanti, te 'pi buddhā bhagavanta imāṃ	tizWanti Driyante yApayanti, te api budDAH BagavantaH imAm
   prajñāpāramitāṃ likhato dhārayato vācayata uddiśataḥ svādhyāyato yoniśo	prajQApAramitAm liKataH DArayataH vAcayataH uddiSataH su ADyAyataH yoni Sas 
   manasikurvato bhāvayato bodhisattvān mahāsattvān samanvāharanti. iti	manasikurvataH BAvayataH boDisattvAn mahAsattvAn samanvAharanti. iti
   māraśaktivyāghātaguṇaḥ	mAra Sakti vyAGAta guNaH
   veditavyaṃ tena śāriputra kulaputreṇa vā kuladuhitrā vā imāṃ gambhīrāṃ	veditavyam tena SAriputra kula putreNa vA kula duhitrA vA imAm gamBIrAm
   prajñāpāramitāṃ likhatā vā dhārayatā vā vācayatā vā uddiśatā vā	prajQApAramitAm liKatA vA DArayatA vA vAcayatA vA uddiSatA vA
   svādhyāyatā vā yoniśo manasikurvatā vā bhāvayatā vā buddhānubhāvenāham	svADyAya tA vA yoniSas manasikurvatA vA BAvayatA vA budDa anuBAvena aham
   imāṃ gambhīrāṃ prajñāpāramitāṃ likhāmi dhārayāmi vācayāmi uddiśāmi	imAm gamBIrAm prajQApAramitAm liKAmi DArayAmi vAcayAmi uddiSAmi
   svādhyāyāmi bhāvayāmi yoniśo manasikaromi.	su ADyAyAmi BAvayAmi yoniSas manasikaromi.
   śāriputra āha: yaḥ kaścid bhagavan kulaputro vā kuladuhitā vā imāṃ	SAriputraH Aha: yaH kaScid Bagavan kula putraH vA kula duhitA vA imAm
   gambhīrāṃ prajñāpāramitāṃ likhiṣyati dhārayiṣyati vācayiṣyati uddekṣyati	gamBIrAm prajQApAramitAm liKizyati DArayizyati vAcayizyati uddekzyati
   svādhyāsyati yoniśo manasikariṣyati bhāvayiṣyati veditavyaṃ bhagavan	su ADyAsyati yoniSas manasikarizyati BAvayizyati veditavyam Bagavan
   (PSP_4:27) sarvan tadbuddhānubhāvena, sarve ca te buddhaparigṛhītā	(PSu _4:27) sarvan tad budDa anuBAvena, sarve ca te budDa parigRhItA
   bhaviṣyanti.	Bavizyanti.
   bhagavān āha: evam etac chāriputra evam etat, yathā vadasi yaḥ kaścit	BagavAn Aha: evam etat SAriputra evam etat, yaTA vadasi yaH kaScid 
   kulaputro vā kuladuhitā vā imāṃ gambhīrāṃ prajñāpāramitāṃ likhiṣyati	kula putraH vA kula duhitA vA imAm gamBIrAm prajQApAramitAm liKizyati
   dhārayiṣyati vācayiṣyati uddekṣyati svādhyāsyati yoniśo manasikariṣyati	DArayizyati vAcayizyati uddekzyati su ADyAsyati yoniSas manasikarizyati
   bhāvayiṣyati veditavyaṃ śāriputra sarvan tadbuddhānubhāvena sarve te	BAvayizyati veditavyam SAriputra sarvan tad budDa anuBAvena sarve te
   buddhaparigṛhītā bhaviṣyanti.	budDa parigRhItAH Bavizyanti.
   iti buddhasamanvāhārajñāpanaguṇaḥ	iti budDa samanvAhAra jQApana guNaH
   śāriputra āha: jñātās te bhagavan jñānena kulaputrāḥ kuladuhitaraś ca	SAriputraH Aha: jQAtAH te Bagavan jQAnena kula putrAH kula duhitaraH ca
   dṛṣṭās te bhagavan māṃsacakṣuṣā kulaputrāḥ kuladuhitaraś ca tair buddhair	dRzwAH te Bagavat mAMsa cakzuzA kula putrAH kula duhitaraH ca tEH budDEH 
   bhagavadbhir ye te pūrvadigbhāge yāvad daśasu dikṣv aprameyāsaṃkhyeyeṣu	BagavadBiH ye te pUrva diS BAge yAvat daSasu dikzu aprameya asaMKyeyezu
   lokadhātuṣu aprameyāsaṃkhyeyās tathāgatā arhantaḥ samyaksaṃbuddhās	lokaDAtuzu aprameya asaMKyeyAH taTAgatAH arhantaH samyaksaMbudDa aH 
   tiṣṭhanti dhriyante yāpayanti, teṣāñ ca bodhisattvā mahāsattvā ya imāṃ	tizWanti Driyante yApayanti, tezAn ca boDisattvAH mahAsattvAH yaH imAm
   gambhīrāṃ prajñāpāramitāṃ likhiṣyanti dhārayiṣyanti vācayiṣyanti	gamBIrAm prajQApAramitAm liKizyanti DArayizyanti vAcayizyanti
   uddekṣyanti svādhyāsyanti bhāvayiṣyanti yoniśo manasikariṣyanti tathatvāya	uddekzyanti su ADyAsyanti BAvayizyanti yoniSas manasikarizyanti taTatvAya
   pratipatsyante.	pratipatsyante.
   bhagavān āha: evam etac chāriputra evam etat, jñātās te śāriputra jñānena	BagavAn Aha: evam etat SAriputra evam etat, jQAtAH te SAriputra jQAnena
   kulaputrāḥ kuladuhitaraś ca dṛṣṭās te śāriputra māṃsacakṣuṣā kulaputrāḥ	kula putrAH kula duhitaraH ca dRzwAH te SAriputra mAMsa cakzuzA kula putrAH
   kuladuhitaraś ca tair buddhair bhagavadbhir ye te pūrvasyāṃ diśi yāvad	kula duhitaraH ca tEH budDEH BagavadBiH ye te pUrvasyAm diSi yAvat 
   daśasu dikṣv aprameyāsaṃkhyeyeṣu lokadhātuṣu aprameyāsaṃkhyeyās tathāgatā	daSasu dikzu aprameya asaMKyeyezu lokaDAtuzu aprameya asaMKyeyAH taTAgatA
   arhantaḥ samyaksaṃbuddhās tiṣṭhanti dhriyante yāpayanti, teṣāñ ca ye	arhantaH samyaksaMbudDAH tizWanti Driyante yApayanti, tezAn ca ye
   bodhisattvā mahāsattvā ya imāṃ gambhīrāṃ prajñāpāramitāṃ likhiṣyanti	boDisattvAH mahAsattvAH ye imAm gamBIrAm prajQApAramitAm liKizyanti
   dhārayiṣyanti vācayiṣyanti uddekṣyanti svādhyāsyanti bhāvayiṣyanti yoniśo	DArayizyanti vAcayizyanti uddekzyanti su ADyAsyanti BAvayizyanti yoni So
   manasikariṣyanti tathatvāya pratipatsyante. iti buddhapratyakṣīkaraṇaguṇaḥ	manasikarizyanti taTatvAya pratipatsyante. iti budDa pratyakzIkaraNa guNaH
   te khalu punar mahāyānikāḥ kulaputrāḥ kuladuhitaraś ca veditavyā	te Kalu punar mahAyAnikAH kula putrAH kula duhitaraH ca veditavyA
   abhyāsannī bhaviṣyanty anuttarāyāḥ samyaksaṃbodheḥ.	aByAsannI Bavizyanti anuttarAyAH samyaksaMboDeH.
   iti saṃbodhābhyāsīkaraṇaguṇaḥ	iti saMboDa aByAsIkaraNa guNaH
   ye 'pi te śāriputra kulaputrāḥ kuladuhitaraś ca imāṃ gambhīrāṃ	ye api te SAriputra kula putrAH kula duhitaraH ca imAm gamBIrAm
   prajñāpāramitāṃ likhitvā pustakagatāṃ kṛtvā dhārayiṣyanti. te khalu punaḥ	prajQApAramitAm liKitvA pustaka gatAm kRtvA DArayizyanti. te Kalu punar 
   śāriputra bodhisattvayānikāḥ kulaputrāḥ kuladuhitaraś ca iha gambhīrāyāṃ	SAriputra boDisattva yAnikAH kula putrAH kula duhitaraH ca iha gamBIrAyAm
   prajñāpāramitāyām adhimuktibahulā bhaviṣyanti, ye 'pīmāṃ gambhīrāṃ	prajQApAramitAyAm aDimukti bahulA Bavizyanti, ye api imAm gamBIrAm
   prajñāpāramitāṃ satkariṣyanti gurukariṣyanti mānayiṣyanti pūjayiṣyanti	prajQApAramitAm satkarizyanti gurukarizyanti mAnayizyanti pUjayizyanti
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākābhiḥ.	puzpa DUpa ganDa mAlya vilepana cUrNa cIvara= Catra Dvaja patAkABiH.
   (PSP_4:28) te 'pi śāriputra bodhisattvayānikāḥ kulaputrāḥ kuladuhitaraś ca	(PSu _4:28) te api SAriputra boDisattva yAnikAH kula putrAH kula duhitaraH ca
   jñātā dṛṣṭāś ca buddhair bhagavadbhis tathāgatāś ca buddhacakṣuṣā	jQAtAH dRzwAH ca budDEH BagavadBiH taTAgatAH ca budDacakzuzA
   paśyanti, teṣām api kulaputrāṇāṃ kuladuhitṛṇāṃ ca mahārthaṃ mahānuśaṃsaṃ	paSyanti, tezAm api kula putrANAm kula duhitRNAm ca mahArTam mahA anuSaMsam
   mahāphalaṃ mahāvipākaṃ ya imāṃ gambhīrāṃ prajñāpāramitāṃ likhitvā	mahA Palam mahA vipAkam yaH imAm gamBIrAm prajQApAramitAm liKitvA
   dhārayiṣyanti. te tena kuśalamūlena na jātu buddhair bhagavadbhir virahitā	DArayizyanti. te tena kuSala mUlena na jAtu budDEH BagavadBiH virahitA
   bhaviṣyanti. te na jātv apāyeṣūpapatsyante devamanuṣyeṣūpapatsyamānā	Bavizyanti. te na jAtu apAyezu upapatsyante deva manuzyezu upapatsyamAnA
   buddhabodhisattvair avirahitā bhaviṣyanti. avinivartanīyāṃ bhūmiṃ	budDa boDisattvEH avirahitA Bavizyanti. avinivartanIyAm BUmim
   cātikramiṣyanti, te ca bodhisattvayānikāḥ kulaputrāḥ kuladuhitaro vā	ca atikramizyanti, te ca boDisattva yAnikAH kula putrAH kula duhitaraH vA
   tenaiva kuśalamūlena na jātu virahitā bhaviṣyanti ṣaḍbhiḥ pāramitābhiḥ,	tena eva kuSala mUlena na jAtu virahitAH Bavizyanti zaxBiH pAramitABiH,
   adhyātmaśūnyatayā bahirdhāśūnyatayā adhyātmabahirdhāśūnyatayā yāvad	aDyAtma SUnya tayA bahirDA SUnyatayA aDyAtma bahirDA SUnyatayA yAvat 
   abhāvasvabhāvaśūnyatayā na jātu virahitā bhaviṣyanti,	aBAva svaBAva SUnyatayA na jAtu virahitAH Bavizyanti,
   smṛtyupasthānasamyakprahāṇarddhipādendriyabalabodhyaṅgamārgāryasatyadhyānāpramāṇārūpyasamāpattibhir	smRti upasTAna samyak prahANa RdDi pAda indriya bala boDi aFga mArga Arya satya DyAna apramANA rUpya samApattiBiH 
   na jātu virahitā bhaviṣyanti, śūnyatānimittāpraṇihitair vimokṣamukhair na	na jAtu virahitA Bavizyanti, SUnyatA nimitta apraNihitEH vimokza muKEH na
   jātu virahitā bhaviṣyanti, aṣṭābhir vimokṣair	jAtu virahitA Bavizyanti, azwABiH vimokzEH 
   navānupūrvavihārasamāpattibhir na jātu virahitā bhaviṣyanti, abhijñābhiḥ	nava anupUrva vihAra samApattiBiH na jAtu virahitA Bavizyanti, aBijQABiH
   samādhidhāraṇīmukhair na jātu virahitā bhaviṣyanti, daśabhis	samADi DAraNI muKEH na jAtu virahitA Bavizyanti, daSaBiH 
   tathāgatabalaiḥ caturbhir vaiśāradyaiś catasṛbhiḥ pratisaṃvidbhir yāvad	taTAgata balEH caturBiH vESAradyEH catasRBiH pratisaMvidBiH yAvat 
   aṣṭādaśabhir āveṇikair buddhadharmair na jātu virahitā bhaviṣyanti	azwAdaSaBiH AveNikEH budDa DarmEH na jAtu virahitAH Bavizyanti
   sarvajñatayā ca. iti mahārthatādiguṇaḥ	sarvajQa tayA ca. iti mahArTa tA Adi guNaH
   iyaṃ ca śāriputra prajñāpāramitā tathāgatasyātyayena dakṣiṇāpathe	iyam ca SAriputra prajQApAramitA taTAgatasya atyayena dakziNApaTe
   pracariṣyati, tatra bhikṣur bhikṣuṇy upāsakopāsikā imāṃ gambhīrāṃ	pracarizyati, tatra BikzuH BikzuNI upAsa kopAsikAH imAm gamBIrAm
   prajñāpāramitāṃ likhiṣyanti udgṛhīṣyanti dhārayiṣyanti vācayiṣyanti	prajQApAramitAm liKizyanti udgRhIzyanti DArayizyanti vAcayizyanti
