   bodhicittotpādasūtraśāstra	boDi-citta-utpAda-sUtra-SAstra
   9 | akuśalasaṃgrahaḥpunaścatuḥprakāraḥ | paśyati sattvānkāmārāgātkurvato	9 | akuSala-saMgrahaH-punar-catur-prakAraH | paSyati sattvAn-kAmArAgAt-kurvataH-
   'śubhāniti prathamaḥ | paśyati sattvāñjānato 'pi kāmānāṃ	aSuBAn-iti praTamaH | paSyati sattvAn-jAnataH api kAmAnAm
   duḥkhotpādakatamanutsṛjataḥ kāmāniti dvitīyaḥ | paśyati sattvānsukhaṃ	duHKa-utpAda-katama-nutsRjataH kAmAn-iti dvitIyaH | paSyati sattvAn-suKam
   kāmayato 'pi śīlapādavimukhāniti tṛtīyaḥ | paśyati	kAmayataH api SIla-pAda-vimuKAn-iti tRtIyaH | paSyati
   sattvānduḥkhamanabhinandato 'pi carato 'virataṃ duḥkhāyeti caturthaḥ ||	sattvAn-duHKam-anaBinandataH api carataH aviratam duHKAya-iti caturTaH ||
   10 | gurutarapāpācāraḥ punaścatuḥprakāraḥ | paśyati	10 | gurutara-pApa-AcAraH punar-catur-prakAraH | paSyati
   sattvānaparādhyatoguruśīlaṃ bhaye 'pi pramādina iti prathamaḥ |	sattvAn-apara-aDyata-uguru-SIlam Baye api pramAdinaH iti praTamaH |
   paśyatisattvānkurvato 'tyantāśubhāni pañcānantaryakarmāṇi drohāvṛtatvena	paSyati-sattvAn-kurvataH atyanta-aSuBAni paQca-anantarya-karmANi droha-AvRta-tvena
   notpādayato hriyamapatrapāṃceti dvitīyaḥ | paśyati sattvānnindato	na-utpAdayataH hriyam-apatra-pAMca-iti dvitIyaH | paSyati sattvAt-nindataH-
   mahāyānavaipulyasaddharmānvālyaparigṛhītānsamudgatamadamānāniti tṛtīyaḥ |	mahAyAna-vEpulya-sat-DarmAnvAlya-parigRhItAn-samudgata-mada-mAnAn-iti tRtIyaH |
   paśyati sattvānbuddhimato 'pyucchindataḥ kuśalamūlānyathāpi mānino na	paSyati sattvAn-budDimataH api-ucCindataH kuSala-mUlAni-aTa-api mAninaH na
   kadāpyanuśocata iti caturthaḥ ||	kadApi-anuSocate iti caturTaH ||
   11 | samyagdharmānācaraṇaṃ punaścatuḥprakāram | paśyati sattvānaṣṭākṣaṇeṣu	11 | samyak-DarmAn-AcaraNam punar-catur-prakAram | paSyati sattvAn-azwa-akzaNezu
   na śṛṇvataḥ saddharmamajānataścarituṃ kuśalamiti prathamam | paśyati	na SRNvataH sat-Darmam-ajAnataH-caritum kuSalam-iti praTamam | paSyati
   sattvānbuddhotpāde nāpitaṃ saddharmaṃ śṛṇvato 'pi na gṛhṇata iti dvitīyam	sattvAn-budDa-utpAde nApitam sat-Darmam SRNvataH api na gRhNate iti dvitIyam
   | paśyati sattvānudgṛhṇata stairthikavādānkurvata ātmaklamathānuyogān	| paSyati sattvAn-udgRhNata stErTika-vAdAn-kurvataH Atma-klamaTa-anuyogAn
   nityamapagacchato vimokṣāditi tṛtīyam | dṛśyati sattvāṃllabdhaṃ	nityam-apagacCataH vimokzAt-iti tRtIyam | dRSyati sattvAn=-labDam
   naivasaṃjñānāsaṃjñāṃ nāma samādhi nirvāṇamivodgṛhṇataḥ kuśalavipākānte	na-evasaMjQAna-asaMjQAm nAma samADi nirvANam-iva-udgRhNataH kuSala-vipAka-ante
   punaścyavatastisṛtiṣu durgatiṣviti caturtham ||	punar-cyavatastisRtizu durgatizu-iti caturTam ||
   12 | bodhisattvaḥ paśyati sattvānavidyayākarmāṇi kurvato dīrgharātraṃ	12 | boDisattvaH paSyati sattvAnavidyayA-karmANi kurvataH dIrGarAtram
   vedayato duḥkhāni parityajataḥsaddharmaṃ vismarato niḥsaraṇamārganityevaṃ	vedayataH duHKAni parityajataH-sat-Darmam vismarataH niHsaraNa-mArgan-iti-evam
   kāraṇādutpādayati mahāmaitrīṃ karūṇāṃ pradīptaśirasrāṇavacca	kAraNAt-utpAdayati mahA-mEtrIm karUNAm pradIpta-SirasrANa-vat-ca
   gaveṣayatyanuttarāṃ samyagyambodhiṃ sarvānsattvā	gavezayati-anuttarAm samyak-yamboDim sarvAn-sattvA
   keśaduḥkhitānahamuddharāmi niravaśeṣamiti | buddhātmajāḥ saṃkṣepeṇa	keSa-duHKitAn-aham-udDarAmi niravaSezam-iti | budDa-AtmajAH saMkzepeNa
   meyadamuktam | vādikarmiko bodhisattvaḥ sakāraṇaṃ cittamutpādayatīti |	meya-damuktam | vAdi-karmikaH boDisattvaH sa-kAraNam cittam-utpAdayati-iti |
   vistareṇa ceducyeta na tasya parimāṇaṃ na tasya paryantaḥ ||	vistareNa ced-ucyeta na tasya parimANam na tasya paryantaH ||
   (iti bodhicittotpādasutraśāstre bodhicittotpādo nāma dvitīyo vargaḥ ||)	(iti boDi-citta-utpAda-sutra-SAstre boDicittotpAdaH nAma dvitIyaH vargaH ||)
   tṛtiyo vargaḥ	tRtiyaH vargaH
   pratidhānam	pratiDAnam
   1 | bodhisattvaḥ kathamutpādayati bodhim | kayā karmacaryayā paripūrayati	1 | boDisattvaH kaTam-utpAdayati boDim | kayA karma-caryayA paripUrayati
   bodhim | utpāditacitto bodhisattvaḥ śuvidarśanābhūmi madhiṣṭhito	boDim | utpAdita-cittaH boDisattvaH Suvi-darSana-aBUmi maDizWitaH-
   dṭaḍhmādāvutpādayati samyakpraṇidhānaṃ saṃgrahītuṃ sarvānaprameyānsattvān	dwaXma-AdO=-utpAdayati samyak-praNiDAnam saMgrahItum sarvAn-aprameyAn-sattvAn
   | gaveṣayāmyahamanuttarāṃ bodhiṃ pāratrātuṃ niravaśepaṃ	| gavezayAmi-aham-anuttarAm boDim pAratrAtum niravaSepam
   prāpayitumanupadhinirvāṇam | tasmāccittotpādādarabhya mahākaruṇāyāḥ	prApayitum-anupaDi-nirvANam | tasmAt-citta-utpAdAt-araBya mahA-karuNAyAH
   karuṇācittenotpādayati daśottaraṇi samyakpraṇidhānāni ||	karuNA-cittena-utpAdayati daSa-uttaraNi samyak-praNiDAnAni ||
   2 | katamāni daśa | kāmaye yanmayā purā janmanīhacānena kāyena	2 | katamAni daSa | kAmaye yat-mayA purA janmanI-ha-cAnena kAyena
   yadavaropitaṃ kuśalamūlaṃ tadutsṛjāmyaparmantebhyaḥ sarvasattvebhyaḥ |	yat-avaropitam kuSala-mUlam tad-utsRjAmya-parmanteByaH sarva-sattveByaH |
   pariṇāmayāmi ca sarvānanuttarāyāṃ bodhau | kṣaṇaṃ kṣaṇaṃ praṇidhānametanme	pariNAmayAmi ca sarvAn-anuttarAyAm boDO | kzaNam kzaNam praNiDAnam-etat-me
   saṃvarddheta jātau jātau ca jāyeta nityaṃ cittānubaddhaṃ na kadāpi	saMvardDeta jAtO jAtO ca jAyeta nityam citta-anubadDam na kadApi
   vismriyeta dhāraṇyā ca parikṣyeta |	vismriyeta DAraNyA ca parikzyeta |
   kāmaye yadahaṃ pariṇāmya mahābodhāvanena kuśalamūlena sarvajātinivāseṣu	kAmaye yat-aham pariNAmya mahA-boDA=-anena kuSala-mUlena sarva-jAti-nivAsezu
   nityaṃ pūjayeyaṃ sarvabuddhānna kadāpyabuddhakṣetreṣu saṃbhaveyam |	nityam pUjayeyam sarva-budDAt-na kadApi-abudDa-kzetrezu saMBaveyam |
   kāmaye yadahamutpadya buddhakṣetre ṣūpagaccheyaṃ buddhānupatiṣṭheyaṃ	kAmaye yat-aham-utpadya budDa-kzetre zu-upagacCeyam budDAn-upatizWeyam
   buddhāñchāyeva śarīramanugataḥ kṣaṇamapi na dūrībhaveyaṃ buddhebhyaḥ |	budDAn-CAyA-iva SarIram-anugataH kzaNam-api na dUrIBaveyam budDeByaH |
   kāmaye yadahamupagato buddhāṃstai ryathākāmaṃ mamārthāya deśitena dharmeṇa	kAmaye yat-aham-upagataH budDAn=-tEH ryaTAkAmam mama-arTAya deSitena DarmeNa
   niṣpādayeyaṃ bodhisattvapaṃcābhijñānāni |	nizpAdayeyam boDisattva-paMca-aBijQAnAni |
   kāmaye yadahaṃ niṣpādya bodhisattvapaṃcābhijñānāni saṃvṛtisatyaṃ	kAmaye yat-aham nizpAdya boDisattva-paMca-aBijQAnAni saMvRti-satyam
   vijñaptiprasṛtaṃ pratibudhya paramārthasatyaṃ bhṛtasvamāvaṃ parijñāya	vijQapti-prasRtam pratibuDya parama-arTa-satyam BRta-svamAvam parijQAya
   prāpnuyāṃ samyagdharmajñānam |	prApnuyAm samyak-Darma-jQAnam |
   kāmaye yadahaṃ prāpya samyagdharmajñānamaviśrāntacittena deśayeyaṃ	kAmaye yat-aham prApya samyak-Darma-jQAnam-aviSrAnta-cittena deSayeyam
   sattvebhyo nidarśayitumupadeśahitān ababodhayituṃ ca tānsarvān |	sattveByaH nidarSayitum-upadeSa-hitAn ababoDayitum ca tAn-sarvAn |
   kāmaye yadahamababodhya sarvānsattvānbuddhānubhāvena gaccheyaṃ daśadikṣu	kAmaye yat-aham-ababoDya sarvAn-sattvAn-budDa-anuBAvena gacCeyam daSa-dikzu
   niravaśeṣeṣu lokadhātuṣu pūjatituṃ buddhāñchrotuṃ saddarmān	niravaSezezu lokaDAtuzu pUjatitum budDAn-Srotum sat-darmAn
   saṃparigrahītuṃ sattvān |	saMparigrahItum sattvAn |
   kāmaye yadahaṃ buddhakṣetreṣu saddharmamudgṛhyānupravarteyaṃ pariśuddhaṃ	kAmaye yat-aham budDa-kzetrezu sadDarmam-udgRhya-anupravarteyam pariSudDam
   dharmacakram | daśadi kathātuṣu sarvesattvā mama deśanāṃ śrutvā mama	Darma-cakram | daSadi kaTAtuzu sarvesattvAH mama deSanAm SrutvA mama
   nāmākarṇya parityajantu sarvānkleśānu dayantu bodhicittam |	nAma-AkarNya parityajantu sarvAn-kleSa-anu dayantu boDi-cittam |
   kāmaye yadahaṃ sarvasattveṣu bodhicittamutpādya nityaṃ paripāluyituṃ	kAmaye yat-aham sarva-sattvezu boDi-cittam-utpAdya nityam paripAluyitum
   parihareyamalābhaṃ prapaccheyamaprameyasukhānyutsṛjeyaṃ jīvitaṃ	parihareyam-alABam prapacCeyam-aprameya-suKAni-utsRjeyam jIvitam
   dhanānicoddhareyaṃ sattvānudvaheyaṃ saddharmam |	Dana-Anica-udDarA-iyam sattvAn-udvaheyam sadDarmam |
   kāmaye yadahaṃ saddharmamudūḍhaya caritvāpi saddharmaṃ cittena nācareyam |	kAmaye yat-aham sadDarmam-udUXaya caritvA-api sadDarmam cittena na-Acareyam |
   yathā sattvā ācaritadharmāṇo 'pi nācaritadharmāṇo na ca nācaritadharmāṇaḥ	yaTA sattvAH Acarita-DarmANaH api na-Acarita-DarmANaH na ca na-Acarita-DarmANaH
   | vinetuṃ vānnotsṛjeyaṃ samyakpraṇidhānam | itīme samutpāditacittānāṃ	| vinetum vAn-na-utsRjeyam samyak-praNiDAnam | iti-ime samutpAdita-cittAnAm
   bodhisattvānāṃ samyagmahāpraṇidhānāni | imāni daśamahāpraṇidhānāni	boDisattvAnAm samyak-mahA-praNiDAnAni | imAni daSa-mahA-praNiDAnAni
   sarvasattvadhātuṣṛdgṛhṇanti gaṃgānadībālakāsamāni praṇidhānāni | yadi ca	sarva-sattva-DAtu-zRt-gRhNanti gaMgA-nadI-bAlakA-samAni praNiDAnAni | yadi ca
   sattvānāṃ samāptiḥ syānmama dhānānāmapi samāptirbhavet | naca khalu	sattvAnAm samAptiH syAt-mama DAnAnAm-api samAptiH-Bavet | na-ca Kalu
   sattvānāṃ samāptistena mama praṇidhānānāmapi na samāptiḥ ||	sattvAnAm samAptiH-tena mama praNiDAnAnAm-api na samAptiH ||
   3 | punaḥ khalu dānaṃ bodhihetuḥ sarvasattvānugrāhakatvāt | śīlaṃ	3 | punar Kalu dAnam boDi-hetuH sarva-sattva-anugrAhaka-tvAt | SIlam
   bodhihetuḥ daśalaprāptyā mūlapraṇihitaparipūrakatvāt |	boDi-hetuH daSala-prAptyA mUla-praNihita-paripUraka-tvAt |
   kṣāntirbodhheturdvatrīśallakṣaṇāśītyanupyañjanasaṃprāpakatvāt | vīryaṃ	kzAntiH-boDhetuH-dvatrI-Sat-lakzaNa-aSIti-anupyaQjana-saMprApaka-tvAt | vIryam
   bodhihetuḥ kuśalācāravardhakatayā sotsāhaṃ sattvaparipācakatvāt | dhyānaṃ	boDi-hetuH kuSala-AcAra-varDaka-tayA sa-utsAham sattva-paripAcaka-tvAt | DyAnam
   bodhiheturbodhisattvānāṃ samyagātmasaṃyamanena	boDi-hetuH-boDisattvAnAm samyak-Atma-saMyamanena
   sattvacittacaryāvavodhakatvāt | prajñā bodhiheturniravaśepaṃ	sattva-citta-caryA-avavoDaka-tvAt | prajQA boDi-hetuH-niravaSepam
   dharmabhāvalakṣaṇāvavodhakatvāt | saṃkṣepata ucyate ṣaḍimāḥ pāramitā	Darma-BAva-lakzaNa-avavoDaka-tvAt | saMkzepataH ucyate zaw-imAH pAramitA
   bodheḥ samyaghetuḥ | catvāro brahmavihārāḥ saptaviśadbodhipākṣikā dharmā	boDeH samyak-etuH | catvAraH brahma-vihArAH sapta-viSat-boDi-pAkzikA DarmA
   sahasraśaḥ kuśalācārāḥ sahakāriṇaḥ pūrayitāraḥ | yadi bodhisattva ācarati	sahasraSas kuSala-AcArAH sahakAriNaH pUrayitAraH | yadi boDisattvaH Acarati
   ṣaṭ pāramitāstadanusṛtya carati caryāṃ krameṇopaityanuttarāṃ	zaw pAramitAH-tat-anusRtya carati caryAm krameNa-upEti-anuttarAm
   samyaksambodhim ||	samyaksamboDim ||
   4 | buddhātmajā bodhi gaveṣayadbhirna pramaditavyam | pramādācaraṇena	4 | budDa-AtmajA boDi gavezayadBiH-na pramaditavyam | pramAda-AcaraNena
   vinaśyatikuśalamūlam | bodhisattvo damayati ṣaḍindriyāṇi na pramādyati	vinaSyati-kuSala-mUlam | boDisattvaH damayati zaz-indriyANi na pramAdyati
   cedācarituṃ śaknoti ṣaṭ pāramitāḥ | bodhisattvaścittamutpādya	ced-Acaritum Saknoti zaw pAramitAH | boDisattvaH-cittam-utpAdya
   pratiṣṭhāpayati sthairyaṃ saṃpratiṣṭhāpayati dṭaḍhaṃ praṇidhānam |	pratizWApayati sTEryam saMpratizWApayati dwaXam praNiDAnam |
   praṇihitaṃ pratiṣṭhāpya na kadāpi pramādyati na ca bhavati kusīdo na ca	praNihitam pratizWApya na kadApi pramAdyati na ca Bavati kusIdaH na ca
   dīrghasūtraḥ | tatkasya hetoḥ | praṇihitamadhiṣṭhitaḥ	dIrGasUtraH | tat-kasya hetoH | praNihitam-aDizWitaH
   paṃcavastūnyudgṛhṇāti | dṭaḍhayati cittamiti prathamam | atikrāmyati	paMcavaH-tUni-udgRhNAti | dwaXayati cittam-iti praTamam | atikrAmyati
   kleśāniti dvitīyam | niruṇaddhi vicintya pramādacittamiti tṛtīyam |	kleSAn-iti dvitIyam | niruNadDi vicintya pramAda-cittam-iti tRtIyam |
   bhinatti paṃcanīvaraṇānīti caturtham | sotsāhamācarati ṣaṭ pāramitā iti	Binatti paMcanIvaraNAni-iti caturTam | sa-utsAham-Acarati zaw pAramitA iti
   paṃcamam | tathācānuśaṃsitaṃ bhagavatā tathāgatai rmahāprājñai	paMcamam | taTA-ca-anuSaMsitam BagavatA taTAgatEH rmahA-prAjQE
   rbhahāprājñai rbhagavadbhi vyākhyāteṣu guṇeṣu	rBaha-aprAjQEH rBagavadBi vyAKyAtezu guNezu
   kṣāntiprajñāpuṇyavalānāmadhigameṣu praṇidhānabalamuttamamiti ||	kzAnti-prajQA-puNyavalAnAm-aDigamezu praNiDAna-balam-uttamam-iti ||
   5 | kathaṃ pratiṣṭhāpayati praṇidhānam | yadi kaścidāyāti bahubidhaṃ	5 | kaTam pratizWApayati praNiDAnam | yadi kaScid-AyAti bahu-biDam
   yācituṃ tadahaṃ dadāmi yāvannotpādayāmi kṣaṇamapi mātsaryacittam |	yAcitum tat-aham dadAmi yAvat-na-utpAdayAmi kzaNam-api mAtsarya-cittam |
   kṣaṇamapinimeṣamapyutpādaya nnaśubhacittaṃ dānapratyayena cedgaveṣayāmi	kzaNam-api-nimezam-api-utpAdaya nnaSuBa-cittam dAna-pratyayena ced-ga-vezayAmi
   śubhavipākaṃ tadahaṃ pratārayāmi daśadikṣu bhagavato	SuBa-vipAkam tat-aham pratArayAmi daSa-dikzu BagavataH-
   'prameyānāparyantānasaṃkhyeyān pratputpannāṃstathāgatān anāgate 'śvanyapi	aprameyAn-AparyantAn-asaMKyeyAn pratputpannAn=-taTAgatAn anAgate aSvanI-api
   na pūrayeyaṃ dhruvamanuttarāṃ samyaksambodhim | yadyahaṃdhārayāmi śīlaṃ	na pUrayeyam Druvam-anuttarAm samyaksamboDim | yadi-ahaMDArayAmi SIlam
   yāvadutsṛjannapyātmabhāvaṃ (jīvitaṃ) pratiṣṭhāpayāmi pariśūddhaṃ cittaṃ	yAvat-utsRjan=-api-Atma-BAvam (jIvitaM) pratizWApayAmi pariSUdDam cittam
   praṇidadhāmi yanna pratinivarte nānuśocāmi | yadyamācarāmi kṣāntiṃ	praNidaDAmi yat-na pratinivarte na-anuSocAmi | yadyam-AcarAmi kzAntim
   pareṇākrāntaḥ pratyaṃgaṃ vibhajyamāno 'pi cchidyamāno 'pyutpādayāmi nityaṃ	pareNa-AkrAntaH pratyaMgam viBajyamAnaH api cCidyamAnaH api-utpAdayAmi nityam
   maitrīṃ praṇidadhāmi yannācareyaṃ dveṣam | yadyahamācarāmi vīryamupalabhya	mEtrIm praNidaDAmi yat-na-Acareyam dvezam | yadi-aham-AcarAmi vIryam-upalaBya
   śītoṣṇarājadasyujalāgnisiṃhavyāghravṛkanirjakāntārān dṭaḍhikaromi cittaṃ	SIta-uzNa-rAja-dasyu-jala-agni-siMha-vyAGra-vRka-nirjakAntArAn dwaXikaromi cittam
   praṇidadhāmi yanna pratinivarte | yadyahaṃ bhāvayāmi dhyānaṃ bāhyai	praNidaDAmi yat-na pratinivarte | yadi-aham BAvayAmi DyAnam bAhyE
   rvastubhiḥ kliśyamāno 'pi vyākulacittau 'pyanubadhnāmi smṛtiṃ karmasthāne	rvastuBiH kliSyamAnaH api vyAkula-cittO api-anubaDnAmi smRtim karma-sTAne
   | kṣaṇamapi na kadācidutpādayāmyadharmyāṃ vikṣepasaṃjñām | yadyahaṃ	| kzaNam-api na kadAcid-utpAdayAmyaDarmyAm vikzepa-saMjQAm | yadi-aham
   bhāvayāmi prajñāṃ sarvadharmāstathatābhūtānpaśyanparigṛhṇapi |	BAvayAmi prajQAm sarva-DarmAH-taTatA-BUtAn-paSyan-parigRhNapi |
   kuśalākuśaleṣu saṃskṛtāsaṃskṛteṣu jātimaraṇanirvāṇeṣu notpādayāmi	kuSala-akuSalezu saMskRta-asaMskRtezu jAti-maraNa-nirvANezu na-utpAdayAmi
   dvaitadṭaṣṭim | yadyahaṃ nimeṣamapi kṣaṇamapyanuśocandviṣan	dvEtat-wazwim | yadi-aham nimezam-api kzaNam-api-anuSocandvizan
   pratinivartamānaḥ saṃjñāṃ vikṣipan	pratinivartamAnaH saMjQAm vikzipan
   dvaitadṭaṣṭimutpādayañchilakṣāntivīryadhyānaprajñābhiḥ śubhavipākaṃ	dvEtat-wazwim-utpAdayan-Sila-kzAnti-vIrya-DyAna-prajQABiH SuBa-vipAkam
   gaveṣayāmi tadahaṃ pratārayāmi	gavezayAmi tat-aham pratArayAmi
   daśadiglokadhātuṣvaprameyānaparyantānasaṃkhyeyān pratyutpannāṃstathāgatān	daSa-diS-lokaDAtuzu-aprameyAn-aparyantAn-asaMKyeyAn pratyutpannAn=-taTAgatAn
   | anāgate 'dhvanyapi na khalupūrayeyamanuttarāṃ samyaksaṃbodhim |	| anAgate aDvani-api na Kalu-pUrayeyam-anuttarAm samyaksaMboDim |
   6 | bodhisattvo daśamahāpraṇidhānai rgṛhṇāti saddharmacaryām | ṣaṇmahā	6 | boDisattvaH daSa-mahA-praNiDAnEH rgRhNAti sadDarma-caryAm | zaz-mahA
   praṇidhānai rdamayati prāmadacittam | sotsāhaṃ varati vīryam | ācarati ṣat	praNiDAnEH rdamayati prAmada-cittam | sa-utsAham varati vIryam | Acarati zat-
   pāramitāḥ paripūrayatyanuttarāṃ samyaksaṃbodhim ||	pAramitAH paripUrayati-anuttarAm samyaksaMboDim ||
   (iti bodhicittotpādasutraśātre praṇidhānaṃ nāma tṛtīyo vargaḥ ||)	(iti boDi-citta-utpAda-sutra-SAtre praNiDAnam nAma tRtIyaH vargaH ||)
   caturtho vargaḥ	caturTaH vargaH
   dānapāramitā	dAna-pAramitA
   1 | bodhisattvaḥ kathaṃ dānaṃ dadāti | dānamātmaparobhayalābhāya	1 | boDisattvaH kaTam dAnam dadAti | dAnam-Atma-paroBaya-lABAya
   cedevaṃvidhaṃ dānaṃ niṣpādayati bodhimārgam | bodhisattvaḥ kāmayate	ced-evaMviDam dAnam nizpAdayati boDi-mArgam | boDisattvaH kAmayate
   vinetuṃ sattvānaparhatuṃ duḥkhāni dadāti tasmāddānam |	vinetum sattvAn-aparhatum duHKAni dadAti tasmAt-dAnam |
   dānamutsṛjannityamutpādayatyātmavitteṣu tyāgacittam | yācakeṣu	dAnam-utsRjat-nityam-utpAdayati-Atma-vittezu tyAga-cittam | yAcakezu
   mātāpitṛgurukalyāṇamitreṣvivotpādayatyādaracittam | janayati	mAtA-pitR-guru-kalyANa-mitrezu-iva-utpAdayati-Adara-cittam | janayati
   mātāpitṛgurukalyāṇamitrasaṃjñām | putra ivotpādayati daridreṣu hīneṣu	mAtA-pitR-guru-kalyANa-mitra-saMjQAm | putraH iva-utpAdayati daridrezu hInezu
   karuṇācittam | janayati putrasaṃjñām | yathāprārthitaṃ vitaratyādareṇa	karuNA-cittam | janayati putra-saMjQAm | yaTAprArTitam vitarati-AdareNa
   muditacittenetyucyate bodhisattvasyādidānacittam ||	mudita-cittena-iti-ucyate boDisattvasya-AdidAna-cittam ||
   2 | dānacaryāhetoḥ prasarati yaśaḥ | yatra va kacijjāyate bhavantyasya	2 | dAna-caryA-hetoH prasarati yaSaH | yatra va kacid-jAyate Bavanti-asya
   prabhṛtāni dhanānītyasyātmalābhaḥ | tarpayansattvānāṃ cittaṃ śikṣayati	praBRtAni DanAni-iti-asya-Atma-lABaH | tarpayan-sattvAnAm cittam Sikzayati
   vinayati vidadhāti tānavimatsarānityeṣa paralābhaḥ | vitarannalakṣaṇaṃ	vinayati vidaDAti tAn-avimatsarAn-iti-eza para-lABaH | vitaranna-lakzaNam
   mahādānaṃ sattveṣu pariṇāmyātmanā salābhinaḥ karotītyeṣa ubhayalābhaḥ |	mahAdAnam sattvezu pariNAmi-AtmanA sa-lABinaH karoti-iti-ezaH uBaya-lABaH |
   dānacaryāhetoḥ prāpnoti vartipadam |	dAna-caryA-hetoH prApnoti varti-padam |
   upasaṃgṛhṇātyaprameyānsarvasattvānyāvadāprāpte	upasaMgRhNAti-aprameyAn-sarva-sattvAn-i-Avada-aprApte
   rbuddhatvasyākṣayadharmakośabhyetyevaṃ niṣpādayati bodhimārgam ||	rbudDa-tvasya-akzaya-DarmakoSaByA-iti-evam nizpAdayati boDi-mArgam ||
   3 | dānaṃ trividham | prathamaṃ dharmadānaṃ dvitīyamabhayadānaṃ	3 | dAnam triviDam | praTamam Darma-dAnam dvitIyam-aBaya-dAnam
   tṛtīyamāmipadānam | dharmadānamudbodhayati lokāñchīlagrahaṇāya	tRtIyamAm-ipadAnam | Darma-dAnam-udboDayati lokAn-SIla-grahaNAya
   pravrajyācittacaraṇāya | mithyādṭaṣṭeḥ prahāṇāya deśayati śāśvatocchedau,	pravrajyA-citta-caraNAya | miTyAdwazweH prahANAya deSayati SASvata-ucCedO,
   caturaḥ viparyāsān pāpānāmādīnavaṃ ca, vibhajya prakāśayati paramārtham	caturaH viparyAsAn pApAnAm-AdInavam ca, viBajya prakASayati parama-arTam
   anuśaṃsati vīryaguṇānbhāṣate pramādātyayapāpamityucyate dharmadānam | yadi	anuSaMsati vIrya-guNAn-BAzate pramAda-atyaya-pApam-iti-ucyate Darma-dAnam | yadi
   sattvo vibheti nṛpātsaṃhādvyābrādvṛkājjalādagne rdasyoścaurādvā	sattvaH viBeti nRpAt-saMhAdvyAbrAt-vRkAt-jalAt-agne rdasyoH-cOrAt-vA
   bodhisattvo dṛṣṭe tatparitrāyat ityamayadānam | ātmano vittāni yāvad	boDisattvaH dRzwe tad-paritrAyat iti-amaya-dAnam | AtmanaH vittAni yAvat-
   ratnaṃ hastinamaśvaṃ rathaṃ vasrāṇi dhānyaṃ vāsasī peyaṃ khādyaṃ	ratnam hastinam-aSvam raTam vasrANi DAnyam vAsasI peyam KAdyam
   yāvatkavalamātramekasūtraṃ prabhūtamalpaṃ vā vitaranna mātsaryaṃ kurute |	yAvat-kavala-mAtram-eka-sUtram praBUtam-alpam vA vitarat-na mAtsaryam kurute |
   yathāprārthitaṃ tarpayati yācakānityāmiṣadānam ||	yaTAprArTitam tarpayati yAcakAn-iti-Amiza-dAnam ||
   4 | āmiṣadānaṃ punaḥ pañcavidham | prathamaṃ saralacittadānaṃ dvitīyaṃ	4 | Amiza-dAnam punar paQcaviDam | praTamam sarala-citta-dAnam dvitIyam
   śraddhā cittadānaṃ tṛtīyaṃ yathākāladānaṃ caturthaṃ svahastena dānaṃ	SradDA citta-dAnam tRtIyam yaTAkAla-dAnam caturTam sva-hastena dAnam
   paṃcamaṃ yathādharmadānam ||	paMcamam yaTADarma-dAnam ||
   5 | adātavyaṃ dānaṃ punaḥ paṃcaprakāram | adharmeṇopārjitaṃ dhanaṃ na	5 | adAtavyam dAnam punar paMca-prakAram | aDarmeNa-upArjitam Danam na
   dātavyaṃ syāpariśūddhatvāt | madyaṃ na dātavyaṃ parebhyo viṣaṃ ca	dAtavyam syA-pariSUdDa-tvAt | madyam na dAtavyam pareByaH vizam ca
   sattvānāṃ vikṣepasattvāt | mṛgayopakaraṇāni na dātavyāni	sattvAnAm vikzepa-sattvAt | mRgayA-upakaraNAni na dAtavyAni
   parebhyassattvānāṃ kleśakaratvāt | na dātavyāḥ parebhyassattvānāṃ	pareByaH-sattvAnAm kleSa-kara-tvAt | na dAtavyAH pareByaH-sattvAnAm
   hisakatvāt | gītaṃ striyaśca na dātavyāḥ parebhyaścittapavitratāyā	hisaka-tvAt | gItam striyaH-ca na dAtavyAH pareByaH-citta-pavitra-tAyAH-
   dūṣakatvāt | saṃkṣepata ucyate | yanna yathādharmaṃ yacca vikṣepakaraṃ	dUzaka-tvAt | saMkzepataH ucyate | yat-na yaTADarmam yat-ca vikzepa-karam
   vikṣepakaraṃ sattvānāṃ tanna dātavyaṃ parebhyaḥ | śiṣṭaṃ sarvaṃ	vikzepa-karam sattvAnAm tat-na dAtavyam pareByaH | Sizwam sarvam
   yatsukhayati sattvāṃstaducyate yathādharmadānam ||dānaricirlabhate	yat-suKayati sattvAn=-tat-ucyate yaTADarma-dAnam ||dAn-ariciH-laBate
   paṃcabidhaṃ kīrtikuśalalābham | sāmīpyaṃ labhate sarvasatāmiti prathamaḥ |	paMcabiDam kIrti-kuSala-lABam | sAmIpyam laBate sarva-satAm-iti praTamaH |
   sarve sattvāstaṃ draṣṭumabhilaṣantīti dvitīyaḥ | janakāyaṃ praviṣṭaḥ	sarve sattvAH-tam drazwum-aBilazanti-iti dvitIyaH | jana-kAyam pravizwaH
   satkriyate janairiti tṛtīyaḥ | prasarannasya yaśovarṇaḥ śrūyate daśasu	satkriyate janEH-iti tRtIyaH | prasaran=-asya yaSaH-varNaH SrUyate daSasu
   dikṣviti caturthaḥ | bhavati bodheḥ samyaguttamo heturiti paṃcamaḥ ||	dikzu-iti caturTaH | Bavati boDeH samyak-uttamaH hetuH-iti paMcamaH ||
