   akāmaḥ svayam arjitam Vi_18.43d	akAmaH svayam arjitam Vi_18.43d
   kanyā kuryāt svayaṃ varam Vi_24.40b	kanyA kuryAt svayam varam Vi_24.40b
   kambukaṇṭhīṃ saṃhatorūṃ Vi_1.23c	kambu-kaNWIm saMhata-UrUm Vi_1.23c
   karau vimṛditavrīhes Vi_11.10a	karO vimRdita-vrIheH Vi_11.10a
   kartāraṃ vindate dhruvam Vi_20.47d	kartAram vindate Druvam Vi_20.47d
   karmaṇā brāhmaṇā dhanam Vi_54.28b	karmaNA brAhmaNAH Danam Vi_54.28b
   karmaṇāṃ samatikrame Vi_54.29b	karmaNAm samatikrame Vi_54.29b
   karmapāśavaśo jantus Vi_20.28c	karma-pASa-vaSaH jantuH Vi_20.28c
   kalāṃ nārhanti ṣoḍaśīm Vi_55.20d	kalAm na-arhanti zoxaSIm Vi_55.20d
   kalivyapetāsv avilolupāsu Vi_99.22b	kali-vyapetAsu avilolupAsu Vi_99.22b
   kalpādhiṣu yathā purā Vi_1.2b	kalpa-aDizu yaTA purA Vi_1.2b
   kalpe kalpe sureśvarāḥ Vi_20.24b	kalpe kalpe sura-ISvarAH Vi_20.24b
   kalmaṣasyāpanuttaye Vi_52.14d	kalmazasya-apanuttaye Vi_52.14d
   kalyāṇacitte ca sadā vinīte Vi_99.20d	kalyANa-citte ca sadA vinIte Vi_99.20d
   kaśyapaṃ vasudhā tataḥ Vi_1.33b	kaSyapam vasuDA tatas Vi_1.33b
   kākakaṅkabakādibhiḥ Vi_43.34b	kAka-kaFka-baka-AdiBiH Vi_43.34b
   kākakaṅkabakādīnāṃ Vi_43.37c	kAka-kaFka-baka-AdInAm Vi_43.37c
   kāñcane 'smin varāsane Vi_1.64d	kAQcane asmin varAsane Vi_1.64d
   kā dhṛtir me bhaviṣyati Vi_1.19d	kA DRtiH me Bavizyati Vi_1.19d
   kā dhṛtir me bhaviṣyati Vi_1.46b	kA DRtiH me Bavizyati Vi_1.46b
   kāntiḥ prabhā kīrtir atho vibhūtiḥ Vi_99.4c	kAntiH praBA kIrtiH aTo viBUtiH Vi_99.4c
   kāmato retasaḥ sekaṃ Vi_28.48a	kAmataH retasaH sekam Vi_28.48a
   kāmaṃ tam api bhojayet Vi_67.36d	kAmam tam api Bojayet Vi_67.36d
   kāmaṃ tu gurupatnīnāṃ Vi_32.14a	kAmam tu guru-patnInAm Vi_32.14a
   kāmaḥ krodhas tathā lobhas Vi_33.6c	kAmaH kroDaH taTA loBaH Vi_33.6c
   kāmān mātā pitā cainaṃ Vi_30.45a	kAmAt mAtA pitA ca-enam Vi_30.45a
   kāmyān āha prajāpatiḥ Vi_77.7b	kAmyAn Aha prajApatiH Vi_77.7b
   kārayet sarvadivyāni Vi_9.33c	kArayet sarva-divyAni Vi_9.33c
   kārttikaṃ sakalaṃ māsaṃ Vi_78.53c	kArttikam sakalam mAsam Vi_78.53c
   kārttikaṃ sakalaṃ māsaṃ Vi_89.4a	kArttikam sakalam mAsam Vi_89.4a
   kāryam evaṃ tathā bhavet Vi_21.22b	kAryam evam taTA Bavet Vi_21.22b
   kālaśākaṃ mahāśalkaṃ Vi_80.14a	kAlaSAkam mahASalkam Vi_80.14a
   kāle ca kriyayā svayā Vi_55.14b	kAle ca kriyayA svayA Vi_55.14b
   kālena nidhanaṃ gatāḥ Vi_20.26d	kAlena niDanam gatAH Vi_20.26d
   kāle satatayāyini Vi_20.22b	kAle satata-yAyini Vi_20.22b
   kālo hi duratikramaḥ Vi_20.27d	kAlaH hi duratikramaH Vi_20.27d
   kisalayopamau Vi_1.25b	kisalaya-upamO Vi_1.25b
   kiṃcid eva tu viprāya Vi_50.47a	kiMcid eva tu viprAya Vi_50.47a
   kuṭumbe 'tithidharmiṇau Vi_67.37b	kuwumbe atiTi-DarmiNO Vi_67.37b
   kuṇḍalābhyāṃ virājitam Vi_1.42d	kuNxalAByAm virAjitam Vi_1.42d
   kubjakhañjaikalocanāḥ Vi_45.32d	kubja-KaQja-eka-locanAH Vi_45.32d
   kuryād anyan na vā kuryān Vi_55.21c	kuryAt anyat na vA kuryAt Vi_55.21c
   kuryuś cāndrāyaṇaṃ narāḥ Vi_37.36b	kuryuH cAndrAyaNam narAH Vi_37.36b
   kurvan strīśūdradambhanam Vi_93.11d	kurvan strI-SUdra-damBanam Vi_93.11d
   kurvāṇāṃ prabhayā devīṃ Vi_1.28a	kurvANAm praBayA devIm Vi_1.28a
   kurvāṇāṃ vīkṣitair nityaṃ Vi_1.27c	kurvANAm vIkzitEH nityam Vi_1.27c
   kurvīta kṛtavāpanaḥ Vi_46.24b	kurvIta kRta-vApanaH Vi_46.24b
   kulāny eva nayanty āśu Vi_26.6c	kulAni eva nayanti ASu Vi_26.6c
   kule kaścin narottamaḥ Vi_78.52b	kule kaScid nara-uttamaH Vi_78.52b
   kule kaścin narottamaḥ Vi_85.70b	kule kaScid nara-uttamaH Vi_85.70b
   kule 'smākaṃ sa jantuḥ syād Vi_85.69a	kule asmAkam sa jantuH syAt Vi_85.69a
   kuśāgreṇāpi saṃṣpṛṣṭaḥ Vi_20.44c	kuSa-agreNa-api saMzpRzwaH Vi_20.44c
   kūṭasākṣy anṛtaṃ vadet Vi_8.41b	kUwa-sAkzI anRtam vadet Vi_8.41b
   kūṭāgārapramāṇaiś ca Vi_43.44c	kUwAgAra-pramANEH ca Vi_43.44c
   kūpavat kathitā śuddhir Vi_23.46c	kUpa-vat kaTitA SudDiH Vi_23.46c
   kūpārāmataḍāgeṣu Vi_91.19a	kUpa-ArAma-taxAgezu Vi_91.19a
   kūpe pakveṣṭakācite Vi_23.45b	kUpe pakva-izwakA-Acite Vi_23.45b
   kṛcchrāṇy etāni sarvāṇi Vi_46.24a	kRcCrANi etAni sarvANi Vi_46.24a
   kṛcchrātikṛcchram atha vā Vi_39.2c	kRcCrAtikRcCram aTa vA Vi_39.2c
   kṛcchrātikṛcchram atha vā Vi_41.5c	kRcCrAtikRcCram aTa vA Vi_41.5c
   *kṛcchrātikṛcchraṃ kurvīta Vi_54.30c	*kRcCrAtikRcCram kurvIta Vi_54.30c
   kṛtanirṇejanāṃś caitān Vi_54.31c	kRta-nirNejanAn ca-etAn Vi_54.31c
   kṛtapātakinaḥ pāpāḥ Vi_43.32a	kRta-pAtakinaH pApAH Vi_43.32a
   kṛtaṃ cāpy akṛtaṃ bhavet Vi_8.41d	kRtam ca-api akRtam Bavet Vi_8.41d
   kṛtaṃ vāsya na vākṛtam Vi_20.41d	kRtam vA-asya na vA-akRtam Vi_20.41d
   kṛtānnam udakaṃ striyaḥ Vi_18.44b	kRtAnnam udakam striyaH Vi_18.44b
   kṛtopakārād āptaṃ ca Vi_58.10c	kRta-upakArAt Aptam ca Vi_58.10c
   kṛtvā gṛhī śakrapadaṃ prayāti Vi_59.29d	kRtvA gRhI Sakra-padam prayAti Vi_59.29d
   kṛtvā caivāvasakthikām Vi_68.49d	kRtvA ca-eva-avasakTikAm Vi_68.49d
   kṛtvānyatamam icchayā Vi_38.7b	kRtvA-anyatamam icCayA Vi_38.7b
   kṛtvā saptarṣayo 'malāḥ Vi_47.10b	kRtvA saptarzayaH amalAH Vi_47.10b
   kṛtvedaṃ sacarācaram Vi_1.18b	kRtvA-idam sa-carAcaram Vi_1.18b
   kṛṣṭajānām oṣadhīnāṃ Vi_50.50a	kRzwa-jAnAm ozaDInAm Vi_50.50a
   kṛṣṇājine tilān kṛtvā Vi_87.10a	kRzNAjine tilAn kRtvA Vi_87.10a
   kṛṣyamāṇā yatas tataḥ Vi_43.33b	kRzyamANA yatas tatas Vi_43.33b
   kṛṣyamāṇāś ca jānubhiḥ Vi_43.43d	kRzyamANAH ca jAnuBiH Vi_43.43d
   keśavaṃ mahad āpnuyāt Vi_49.8d	keSavam mahat ApnuyAt Vi_49.8d
   kaumāraṃ yauvanaṃ jarā Vi_20.49b	kOmAram yOvanam jarA Vi_20.49b
   kaulaṃ khārjūrapānase Vi_22.83b	kOlam KArjUra-pAnase Vi_22.83b
   krakacaiḥ pāṭyamānāś ca Vi_43.35c	krakacEH pAwyamAnAH ca Vi_43.35c
   kratudantaś citīmukhaḥ Vi_1.3b	kratu-dantaH citImuKaH Vi_1.3b
   kramavikramasatkṛtaḥ Vi_1.5b	krama-vikrama-satkRtaH Vi_1.5b
   kramāgataṃ prītidāyaṃ Vi_58.9a	krama-Agatam prIti-dAyam Vi_58.9a
   kravyādbhiś ca hatasyānyaiś Vi_23.50c	kravyAdBiH ca hatasya-anyEH Vi_23.50c
   krimibhir bhakṣyamāṇāś ca Vi_43.40c	krimiBiH BakzyamANAH ca Vi_43.40c
   kriyā kāryā svaśaktitaḥ Vi_20.30d	kriyA kAryA sva-SaktitaH Vi_20.30d
   krūraṃ tvaṃ sarvadehinām Vi_13.6b	krUram tvam sarva-dehinAm Vi_13.6b
   kvacic chītena bādhyante Vi_43.41a	kvacid SItena bADyante Vi_43.41a
   kvacit kṣipyanti bānaughair Vi_43.42c	kvacid kzipyanti bAna-oGEH Vi_43.42c
   kvacit cāmedhyamadhyagāḥ Vi_43.41b	kvacid ca-ameDya-maDya-gAH Vi_43.41b
   kvacit tailena kvāthyante Vi_43.38a	kvacid tElena kvATyante Vi_43.38a
   kvacit pūyam asṛk kvacit Vi_43.39b	kvacid pUyam asRk kvacid Vi_43.39b
   kvacit pretāḥ sudāruṇāḥ Vi_43.41d	kvacid pretAH su-dAruNAH Vi_43.41d
   kvacid bhūtena tāḍyante Vi_43.42a	kvacid BUtena tAxyante Vi_43.42a
   kvacid vāntam athāśnanti Vi_43.39a	kvacid vAntam aTa-aSnanti Vi_43.39a
   kvacid viṣṭhāṃ kvacin māṃsaṃ Vi_43.39c	kvacid vizWAm kvacid mAMsam Vi_43.39c
   kṣatriyāṇāṃ tu vīryataḥ Vi_32.18b	kzatriyANAm tu vIryataH Vi_32.18b
   kṣatriyo gṛham āgataḥ Vi_67.36b	kzatriyaH gRham AgataH Vi_67.36b
   kṣamānvite krodhavivarjite ca Vi_99.20b	kzamA-anvite kroDa-vivarjite ca Vi_99.20b
   kṣamā satyam damaḥ śaucaṃ Vi_2.16a	kzamA satyam damaH SOcam Vi_2.16a
   kṣaranti sarvā vaidikyo Vi_55.18a	kzaranti sarvAH vEdikyaH Vi_55.18a
   kṣāntyā śudhyanti vidvāṃso Vi_22.90a	kzAntyA SuDyanti vidvAMsaH Vi_22.90a
   kṣīraṃ dadhi ca rocanā Vi_23.58d	kzIram daDi ca rocanA Vi_23.58d
   kṣīre tathā sarpiṣi śādbale ca Vi_99.14a	kzIre taTA sarpizi SAdbale ca Vi_99.14a
   kṣīrodam atha sāgaram Vi_1.33d	kzIrodam aTa sAgaram Vi_1.33d
   kṣīrode vasatis tasya Vi_1.32a	kzIrode vasatiH tasya Vi_1.32a
   kṣudhayā vyathamānāś ca Vi_43.36a	kzuDayA vyaTamAnAH ca Vi_43.36a
   kṣetrakṣetrajñadeveśa Vi_1.52c	kzetra-kzetrajQa-deva-ISa Vi_1.52c
   kṣetrakṣetrajñavijñānaṃ Vi_96.98c	kzetra-kzetrajQa-vijQAnam Vi_96.98c
   kṣetrajñam api māṃ viddhi Vi_96.98a	kzetrajQam api mAm vidDi Vi_96.98a
   kṣetrajñam iti tadvidaḥ Vi_96.97d	kzetrajQam iti tad-vidaH Vi_96.97d
   kṣetram ity abhidhīyate Vi_96.97b	kzetram iti aBiDIyate Vi_96.97b
   kṣetrāpaṇagṛhāsaktam Vi_20.42a	kzetra-ApaNa-gRha-Asaktam Vi_20.42a
   kṣoṇyā kṣoṇīm abhāṣata Vi_1.62d	kzoNyA kzoNIm aBAzata Vi_1.62d
   kṣaudre tathā dadhni puraṃdhrigātre Vi_99.14b	kzOdre taTA daDni puraMDri-gAtre Vi_99.14b
   khaḍgenaudumbareṇa vā Vi_79.24b	Kaxgena-OdumbareNa vA Vi_79.24b
   khādakaś ceti ghātakāḥ Vi_51.74d	KAdakaH ca-iti GAtakAH Vi_51.74d
   khyātir viśālā ca tathānasūyā Vi_99.5c	KyAtiH viSAlA ca taTA-anasUyA Vi_99.5c
   gaṅgāyāḥ sikatā dhārās Vi_20.23a	gaFgAyAH sikatAH DArAH Vi_20.23a
   gaccha devi janārdanam Vi_1.31b	gacCa devi janArdanam Vi_1.31b
   gaṇānnaṃ gaṇikānnaṃ ca Vi_48.21a	gaNa-annam gaNikA-annam ca Vi_48.21a
   gatis tvaṃ puruṣottama Vi_1.58b	gatiH tvam puruzottamaH Vi_1.58b
   gandho lepaś ca tatkṛtaḥ Vi_23.39b	ganDaH lepaH ca tad-kRtaH Vi_23.39b
   gamayaty uttamāṃ gatim Vi_51.65d	gamayati uttamAm gatim Vi_51.65d
   gayāśīrṣe vaṭe śrāddhaṃ Vi_85.70c	gayASIrze vawe SrAdDam Vi_85.70c
   garīyān brahmadaḥ pitā Vi_30.44b	garIyAn brahma-daH pitA Vi_30.44b
   garīyo yad yad uttaram Vi_32.16d	garIyaH yat yat uttaram Vi_32.16d
   garhaṇāṃ yāti sādhuṣu Vi_55.14d	garhaNAm yAti sADuzu Vi_55.14d
   garhyate brahmavādibhiḥ Vi_93.12b	garhyate brahma-vAdiBiH Vi_93.12b
   gavām kaṇḍūyanaṃ caiva Vi_23.60a	gavAm kaNxUyanam ca-eva Vi_23.60a
   gavāṃ grāsapradānena Vi_23.60c	gavAm grAsa-pradAnena Vi_23.60c
   gavāṃ hi tīrthe vasatīha gaṅgā Vi_23.61a	gavAm hi tIrTe vasati-iha gaFgA Vi_23.61a
   gāyatrīṃ śirasā saha Vi_55.9b	gAyatrIm SirasA saha Vi_55.9b
   gāvaḥ pavitramaṅgalyaṃ Vi_23.57c	gAvaH pavitra-maFgalyam Vi_23.57c
   gāvaḥ sarvāghasūdanāḥ Vi_23.58b	gAvaH sarva-aGa-sUdanAH Vi_23.58b
   gāvo vitanvate yjñaṃ Vi_23.58a	gAvaH vitanvate yjQam Vi_23.58a
   guṇadoṣau vijānatā Vi_32.13d	guNa-dozO vijAnatA Vi_32.13d
   guṇavatsarvakāmīyaṃ Vi_77.9c	guNavat-sarva-kAmIyam Vi_77.9c
   guṇidvaidhe dvijottamān Vi_8.40d	guNi-dvEDe dvijottamAn Vi_8.40d
   gurutvam atha lāghavam Vi_42.2b	guru-tvam aTa lAGavam Vi_42.2b
   gurudāreṣu kurvīta Vi_32.15c	guru-dArezu kurvIta Vi_32.15c
   gurupatnī tu yuvatir Vi_32.13a	guru-patnI tu yuvatiH Vi_32.13a
   guruśuśrūṣayā tv eva Vi_31.10c	guru-SuSrUzayA tu eva Vi_31.10c
   guruṣu tv abhyatīteṣu Vi_57.15a	guruzu tu aByatItezu Vi_57.15a
   guruṃ vā bālavṛddhau vā Vi_5.190a	gurum vA bAla-vRdDO vA Vi_5.190a
   gurūn bhṛtyān ujjihīrṣur Vi_57.13a	gurUn BRtyAn ujjihIrzuH Vi_57.13a
   guroḥ pretasya śiṣyas tu Vi_22.85a	guroH pretasya SizyaH tu Vi_22.85a
   gulmavallīlatānāṃ ca Vi_50.48c	gulma-vallI-latAnAm ca Vi_50.48c
   guhyopaniṣadāsanaḥ Vi_1.9b	guhya-upanizadAsanaH Vi_1.9b
   gūḍhe śliṣṭe ca jānunī Vi_1.25d	gUXe Slizwe ca jAnunI Vi_1.25d
   gṛhastha eva yajate Vi_59.27a	gRhasTaH eva yajate Vi_59.27a
   gṛhasthas tapyate tapaḥ Vi_59.27b	gRhasTaH tapyate tapaH Vi_59.27b
   gṛhasthaḥ śeṣabhug bhavet Vi_67.42d	gRhasTaH Seza-Buj Bavet Vi_67.42d
   gṛhastho nāvamānayet Vi_59.26d	gRhasTaH na-avamAnayet Vi_59.26d
   gṛhāt pratinivartate Vi_67.33b	gRhAt pratinivartate Vi_67.33b
   gṛhītapādāṃ tapasā jvalantīm Vi_99.1b	gRhIta-pAdAm tapasA jvalantIm Vi_99.1b
   gṛhe gurāv araṇye vā Vi_51.66a	gRhe gurO araNye vA Vi_51.66a
   gṛhṇātīha yathā vastraṃ Vi_20.50a	gRhNAti-iha yaTA vastram Vi_20.50a
   gṛhṇāty evaṃ navaṃ dehī Vi_20.50c	gRhNAti evam navam dehI Vi_20.50c
   gṛhṇītānyāni mantravat Vi_27.29d	gRhNIta-anyAni mantravat Vi_27.29d
   gṛhṇīyāt sādhutaḥ sadā Vi_57.15d	gRhNIyAt sADutaH sadA Vi_57.15d
   gocarmamātrā sā kṣoṇī Vi_5.184c	gocarma-mAtrA sA kzoNI Vi_5.184c
   gopāya mā śevadhiṣṭe 'ham asti Vi_29.9b	gopAya mA SevaDizwe aham asti Vi_29.9b
   gopradānasamaṃ phalam Vi_67.46d	go-pradAna-samam Palam Vi_67.46d
   gomūtraṃ gomayaṃ sarpiḥ Vi_23.58c	go-mUtram gomayam sarpiH Vi_23.58c
   goṣu lokāḥ pratiṣṭhitāḥ Vi_23.57d	gozu lokAH pratizWitAH Vi_23.57d
   gauḍī mādhvī ca paiṣṭī ca Vi_22.82a	gOxI mADvI ca pEzwI ca Vi_22.82a
   gaur gajāśvamarīcayaḥ Vi_23.52b	gOH gaja-aSva-marIcayaH Vi_23.52b
   grasiṣṇu prabhaviṣṇu ca Vi_97.19d	grasizNu praBavizNu ca Vi_97.19d
   grāmād āhṛtya vāśnīyād Vi_94.13a	grAmAt AhRtya vA-aSnIyAt Vi_94.13a
   grāhyāṃ prajāpatir mene Vi_57.11c	grAhyAm prajApatiH mene Vi_57.11c
   ghṛtaprāśo viśodhanam Vi_50.49d	GRta-prASaH viSoDanam Vi_50.49d
   ghṛtaṃ yavā madhu yavā Vi_48.18a	GRtam yavAH maDu yavAH Vi_48.18a
   ghorair vyāghragaṇais tathā Vi_43.36b	GorEH vyAGra-gaNEH taTA Vi_43.36b
   cakāra jagatīṃ punaḥ Vi_1.11d	cakAra jagatIm punar Vi_1.11d
   caṇḍālādyaiś ca dasyubhiḥ Vi_23.50d	caNxAla-AdyEH ca dasyuBiH Vi_23.50d
   caturantā bhaved dattā Vi_87.9c	catur-antA Bavet dattA Vi_87.9c
   caturthaḥ samavāpnuyāt Vi_5.188d	caturTaH samavApnuyAt Vi_5.188d
   caturdaśa vinaśyanti Vi_20.24a	caturdaSa vinaSyanti Vi_20.24a
   catuṣpādaḥ prakīrtitaḥ Vi_86.15b	catuzpAdaH prakIrtitaH Vi_86.15b
   candanenaikam ukṣataḥ Vi_96.23b	candanena-ekam ukzataH Vi_96.23b
   candraraśmimanoharam Vi_1.34b	candra-raSmi-manoharam Vi_1.34b
   candrasūryagrahopagān Vi_90.29b	candra-sUrya-graha-upagAn Vi_90.29b
   candrānane sūryasamānabhāse Vi_99.3c	candra-Anane sUrya-samAna-BAse Vi_99.3c
   caret sāṃtapanaṃ kṛcchraṃ Vi_38.7c	caret sAMtapanam kRcCram Vi_38.7c
   cāturvarṇyavyavasthānaṃ Vi_84.4a	cAturvarNya-vyavasTAnam Vi_84.4a
   cāturvarṇyasya śāśvatān Vi_1.61d	cAturvarNyasya SASvatAn Vi_1.61d
   cāturvarṇyasya śāśvatān Vi_1.63b	cAturvarNyasya SASvatAn Vi_1.63b
   cāmaraṃ vyajanaṃ mātrāṃ Vi_65.14a	cAmaram vyajanam mAtrAm Vi_65.14a
   cārunāsāṃ natabhruvam Vi_1.23b	cAru-nAsAm nata-Bruvam Vi_1.23b
   caitanyādhāra niṣkriya Vi_1.56b	cEtanya-ADAra nizkriya Vi_1.56b
   caurasyānnaṃ navaśrāddhaṃ Vi_48.21c	cOrasya-annam navaSrAdDam Vi_48.21c
   chatraṃ yānāsane tathā Vi_65.14b	Catram yAna-Asane taTA Vi_65.14b
   chatre ca śaṅkhe ca tathaiva padme Vi_99.12b	Catre ca SaFKe ca taTA-eva padme Vi_99.12b
   chadmanācaritaṃ yac ca Vi_93.12c	CadmanA-Acaritam yat ca Vi_93.12c
   chādmiko lokadāmbhikaḥ Vi_93.8b	CAdmikaH lokadAmBikaH Vi_93.8b
   chāyāpatnīsahāyo vai Vi_1.9c	CAyA-patnI-sahAyaH vE Vi_1.9c
   chāśvataṃ vidhim āsthitaḥ Vi_51.59d	CASvatam viDim AsTitaH Vi_51.59d
   chucau deśe prayatnataḥ Vi_61.17b	CucO deSe prayatnataH Vi_61.17b
   chedane japyam ṛkśatam Vi_50.48b	Cedane japyam Rc-Satam Vi_50.48b
   chrāddhakarmaṇi paṇḍitaḥ Vi_82.30d	CrAdDa-karmaNi paNxitaH Vi_82.30d
   chrāddhaṃ tu prativatsaram Vi_21.22d	CrAdDam tu prativatsaram Vi_21.22d
   jagaj jagāma lokānām Vi_1.18c	jagat jagAma lokAnAm Vi_1.18c
   jagato 'sya samagrasya Vi_1.53c	jagataH asya samagrasya Vi_1.53c
   jagatkāraṇakāraṇam Vi_1.61b	jagat-kAraNa-kAraNam Vi_1.61b
   jagannirmāṇakāraka Vi_1.55d	jagat-nirmANa-kArakaH Vi_1.55d
   jagāma kaśyapaṃ draṣṭuṃ Vi_1.21c	jagAma kaSyapam drazwum Vi_1.21c
   jagdhvā caivāhutaṃ haviḥ Vi_44.44d	jagDvA ca-eva-Ahutam haviH Vi_44.44d
   jaghanaṃ ca ghanaṃ madhyaṃ Vi_1.26c	jaGanam ca Ganam maDyam Vi_1.26c
   jaṅghe virome susame Vi_1.26a	jaFGe virome su-same Vi_1.26a
   japann upavased dinam Vi_28.53d	japan upavaset dinam Vi_28.53d
   japan vyāhṛtipūrvikām Vi_55.12b	japan vyAhRti-pUrvikAm Vi_55.12b
   japan haviṣyabhugdāntaḥ Vi_89.4c	japan havizya-Buj-dAntaH Vi_89.4c
   japitvā trīṇi sāvitryāḥ Vi_54.24a	japitvA trINi sAvitryAH Vi_54.24a
   japyena tapasā tathā Vi_54.28d	japyena tapasA taTA Vi_54.28d
   japyenaiva tu saṃsidhyed Vi_55.21a	japyena-eva tu saMsiDyet Vi_55.21a
   jarayā vāpi mānavam Vi_20.45d	jarayA vA-api mAnavam Vi_20.45d
   jalakrīḍāruci śubhaṃ Vi_1.2a	jala-krIxA-ruci SuBam Vi_1.2a
   jalāśayaṃ tat sakalaṃ Vi_86.19c	jalASayam tat sakalam Vi_86.19c
   jalāśayeṣv athālpeṣu Vi_23.46a	jalASayezu aTa-alpezu Vi_23.46a
   jātasya ca mṛtasya ca Vi_17.17d	jAtasya ca mRtasya ca Vi_17.17d
   jātasya hi dhruvo mṛtyur Vi_20.29a	jAtasya hi DruvaH mRtyuH Vi_20.29a
   jātānāṃ ca svayaṃ vane Vi_50.50b	jAtAnAm ca svayam vane Vi_50.50b
   jātibhraṃśakaraṃ karma Vi_38.7a	jAti-BraMSa-karam karma Vi_38.7a
   jātismaratvaṃ labhate yadīcchet Vi_56.27d	jAti-smara-tvam laBate yadi-icCet Vi_56.27d
   jāteṣu ca mṛteṣu ca Vi_22.43b	jAtezu ca mRtezu ca Vi_22.43b
   jānanto 'pi hi ye sākṣye Vi_8.37a	jAnantaH api hi ye sAkzye Vi_8.37a
   jānubhyām avaniṃ gatvā Vi_1.44c	jAnuByAm avanim gatvA Vi_1.44c
   jāyante lakṣaṇānvitāḥ Vi_45.32b	jAyante lakzaNa-anvitAH Vi_45.32b
   jāyāvarjaṃ hi sarvasya Vi_20.39c	jAyA-varjam hi sarvasya Vi_20.39c
   jīvanty ete gṛhāśramāt Vi_59.26b	jIvanti ete gRha-ASramAt Vi_59.26b
   jīvitaṃ dharmakāmau ca Vi_52.16a	jIvitam Darma-kAmO ca Vi_52.16a
   juhuyāc caiva śaktitaḥ Vi_46.25d	juhuyAt ca-eva Saktitas Vi_46.25d
   juhotiyajatikriyāḥ Vi_55.18b	juhoti-yajati-kriyAH Vi_55.18b
   jñātvā jātiṃ dhanaṃ vayaḥ Vi_5.195b	jQAtvA jAtim Danam vayaH Vi_5.195b
   jñātvā bhūmiṃ jalānugām Vi_1.1d	jQAtvA BUmim jala-anugAm Vi_1.1d
   jñānaṃ caiva yaśasyaṃ ca Vi_100.2c	jQAnam ca-eva yaSasyam ca Vi_100.2c
   jñānaṃ jñeyaṃ jñānagamyaṃ Vi_97.20c	jQAnam jQeyam jQAna-gamyam Vi_97.20c
   jñānaṃ tapo 'gnir āhāro Vi_22.88a	jQAnam tapaH agniH AhAraH Vi_22.88a
   jñeyaṃ coktaṃ samāsataḥ Vi_97.21b	jQeyam ca-uktam samAsatas Vi_97.21b
   jñeyaṃ nityaṃ mumukṣuṇā Vi_96.98d	jQeyam nityam mumukzuNA Vi_96.98d
   jyaiṣṭhyaṃ tatra na vidyate Vi_18.41d	jyEzWyam tatra na vidyate Vi_18.41d
   jyotiṣām api tajjyotis Vi_97.20a	jyotizAm api tad-jyotiH Vi_97.20a
   tatas tv āropayec chikye Vi_10.12a	tatas tu Aropayet Sikye Vi_10.12a
   tataḥ śuddhaḥ sa dharmataḥ Vi_10.12d	tatas SudDaH sa DarmataH Vi_10.12d
   tat kṛṣṇaṃ samudāhṛtam Vi_58.11d	tat kRzNam samudAhRtam Vi_58.11d
   tattatkāryaṃ nivarteta Vi_8.41c	tat-tat-kAryam nivarteta Vi_8.41c
   tat tad asya vrateṣv api Vi_27.28d	tat tat asya vratezu api Vi_27.28d
   tat tad guṇavate deyaṃ Vi_92.32c	tat tat guNavate deyam Vi_92.32c
   tattvātmānam agamyaṃ ca Vi_97.17a	tattva-AtmAnam agamyam ca Vi_97.17a
   tat punīdhvaṃ yavā mama Vi_48.20d	tat punIDvam yavAH mama Vi_48.20d
   tatpradhānāni yasya tu Vi_26.7b	tad-praDAnAni yasya tu Vi_26.7b
   tatra kā paridevanā Vi_20.28d	tatra kA paridevanAH Vi_20.28d
   tatra kā paridevanā Vi_20.46d	tatra kA paridevanAH Vi_20.46d
   tatra kā paridevanā Vi_20.48d	tatra kA paridevanAH Vi_20.48d
   tatra vidyā na vaktavyā Vi_29.8c	tatra vidyA na vaktavyA Vi_29.8c
   tatrādhunā hi deveśa Vi_1.46a	tatra-aDunA hi deveSa Vi_1.46a
   tatsvahastaiḥ prasādhayet Vi_7.13d	tad-sva-hastEH prasADayet Vi_7.13d
   tathāgataṃ nāvajayanti śatravaḥ Vi_72.6d	taTAgatam na-avajayanti SatravaH Vi_72.6d
   tathāghamarṣaṇaṃ sūktaṃ Vi_55.7c	taTA-aGamarzaNam sUktam Vi_55.7c
   tathādhyātmikam eva vā Vi_30.43b	taTA-ADyAtmikam eva vA Vi_30.43b
   tathānusaraṇena ca Vi_35.6d	taTA-anusaraNena ca Vi_35.6d
   tathā pūrvakṛtaṃ karma Vi_20.47c	taTA pUrva-kRtam karma Vi_20.47c
   tathā varṣati vāsave Vi_20.23b	taTA varzati vAsave Vi_20.23b
   tathā vitimirā diśaḥ Vi_1.28b	taTA vitimirAH diSaH Vi_1.28b
   tathā viditavedyānāṃ Vi_1.58a	taTA vidita-vedyAnAm Vi_1.58a
   tathāvidham avāpnoti Vi_58.12c	taTAviDam avApnoti Vi_58.12c
   tathā vṛddhim avāpnuyāt Vi_6.40d	taTA vRdDim avApnuyAt Vi_6.40d
   tathā śuddhaṃ viparyaye Vi_14.5b	taTA SudDam viparyaye Vi_14.5b
   tathā suvarṇe vimale ca rūpye Vi_99.10a	taTA suvarNe vimale ca rUpye Vi_99.10a
   tathā sthitā tvaṃ varade tathāpi Vi_99.6c	taTA sTitA tvam vara-de taTA-api Vi_99.6c
   tathaikatra kare daśa Vi_60.25b	taTA-ekatra kare daSa Vi_60.25b
   tathaiva ca vayo 'dhikām Vi_69.17b	taTA-eva ca vayaH aDikAm Vi_69.17b
   tathaiva dvādaśī śuklā Vi_49.10c	taTA-eva dvAdaSI SuklAH Vi_49.10c
   tad ānantyāya kalpate Vi_77.7d	tat AnantyAya kalpate Vi_77.7d
