   oṃ atha pañcamo 'dhyāyaḥ	om aTa paQcamaH aDyAyaH
   tasmādbrāhyaṇānāmabhidhānatvena sādhanatvamabhipretamoṅkārasya /	tasmAt-brAhyaNAnAm-aBiDAna-tvena sADana-tvam-aBipretam-oFkArasya /
   athavā vedo 'yamityādyarthavādaḥ /	aTavA vedaH ayam-iti-Adi-arTa-vAdaH /
   kathamoṅkāro brahmaṇaḥ pratīkatvena vihitaḥ /	kaTam-oFkAraH brahmaNaH pratIka-tvena vihitaH /
   oṃ khaṃ brahmeti sāmānādhikaraṇyāttasya stutiridānīṃ vedatvena /	om Kam brahma-iti sAmAna-aDikaraNyAt-tasya stutiH-idAnIm veda-tvena /
   sarvo hyayaṃ veda oṅkāra eva /	sarvaH hi-ayam vedaH oFkAraH eva /
   etatprabhava etadātmakaḥ sarvaṃ ṛgyajuḥsāmādibhedabhinna eva oṅkāraḥ	etat-praBavaH etad-AtmakaH sarvam Rc-yajuH-sAma-Adi-Beda-BinnaH eva oFkAraH
   tadyathā śaṅkunā sarvāṇi parṇāni ityādiśrutyantarāt /	tat-yaTA SaFkunA sarvANi parNAni ityAdi-Sruti-antarAt /
   itaścāyaṃ veda oṅkāro yadveditavyaṃ tatsarvaṃ veditavyamoṅkāro vedaḥ /	itas-ca-ayam vedaH oFkAraH yat-veditavyam tat-sarvam veditavyam-oFkAraH vedaH /
   itarasyāpi vedasya vedatvamata eva /	itarasya-api vedasya veda-tvam-atas eva /
   tasmādviśiṣṭo 'yamoṅkāraḥ sādhanatvena pratipattavya iti /	tasmAt-viSizwaH ayam-oFkAraH sADana-tvena pratipattavyaH iti /
   athavā vedaḥ saḥ /	aTavA vedaH saH /
   ko 'sau /	kaH asO /
   yaṃ brāhmaṇā viduroṅkārāt /	yam brAhmaNAH viduroFkArAt /
   brāhmaṇānāṃ hyasau praṇavodgothādivikalpairvijñeyaḥ /	brAhmaNAnAm hi-asO praNava-udgoTa-Adi-vikalpEH-vijQeyaH /
   tasminhi prayujyamāne sādhanatvena sarvo vedaḥ prayukto bhavatīti //1//	tasmin-hi prayujyamAne sADana-tvena sarvaH vedaH prayuktaH Bavati-iti //1//
   iti śrībṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya prathamaṃ brāhmaṇam	iti SrI-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya praTamam brAhmaNam
   START BrhUp 5,2.1	START BrhUp 5,2.1
   trayāḥ prājāpatyāḥ prajāpatau pitari brahmacaryam ūṣuḥ |	trayAH prAjApatyAH prajApatO pitari brahmacaryam UzuH |
   devā manuṣyā asurāḥ |	devAH manuzyAH asurAH |
   uṣitvā brahmacaryaṃ devā ūcur bravītu no bhavān iti |	uzitvA brahmacaryam devAH UcuH bravItu naH BavAn iti |
   tebhyo haitad akṣaram uvāca da iti |	teByaH ha-etat akzaram uvAca daH iti |
   vyajñāsiṣṭā3 iti |	vyajQAsizwA3 iti |
   vyajñāsiṣmeti hocuḥ |	vyajQAsizma-iti ha-UcuH |
   dāmyateti na āttheti |	dAmyata-iti naH AtTa-iti |
   om iti hovāca vyajñāsiṣṭeti || BrhUp_5,2.1 ||	om iti ha-uvAca vyajQAsizwa-iti || BrhUp_5,2.1 ||
   BrhUpBh_5,2.1 adhunā damādisādhanatrayavidhānārthoṃ'yamārambhaḥ -	Brhu-upBh_5,2.1 aDunA dama-Adi-sADana-traya-viDAna-arToM-ayam-AramBaH -
   trayāstrisaṃkhyākāḥ prajāpatyāḥ prajāpaterapatyāni prājāpatyāste kiṃ	trayAH-tri-saMKyAkAH prajApatyAH prajApateH-apatyAni prAjApatyAH-te kim
   prajāpattau pitari brahmacaryaṃ śiṣyatvavṛtterbrahmacaryasya	prajApattO pitari brahmacaryam Sizya-tva-vRtteH-brahmacaryasya
   prādhānyācchiṣyāḥ santo brahmacaryamūṣuruṣitavanta ityarthaḥ /	prADAnyAt-SizyAH santaH brahmacarya-m-UzuH-uzitavantaH iti-arTaH /
   ke te /	ke te /
   viśeṣato devā manuṣyā asurāśca /	viSezataH devAH manuzyAH asurAH-ca /
   te coṣitvā brahmacaryaṃ kimakurvannityucyate - teṣāṃ devā ūcuḥ pitaraṃ	te ca-uzitvA brahmacaryam kim-akurvan=-iti-ucyate  tezAm devAH UcuH pitaram
   prajāpatim /	prajApatim /
   kimiti /	kim-iti /
   bravītu kathayatu no 'smabhyaṃ yadanuśāsanaṃ bhavāniti /	bravItu kaTayatu naH asmaByam yat-anuSAsanam BavAn-iti /
   tebhya evamarthibhyo haitadakṣaraṃ varṇamātramuvāca da iti /	teByaH evam-arTiByaH ha-etat-akzaram varNa-mAtram-uvAca daH iti /
   uktvā ca tānpapraccha pitā kiṃ vyajñāsiṣṭā3iti /	uktvA ca tAn-papracCa pitA kim vyajQAsizwA3-iti /
   mayopadeśārthamabhihitasyākṣarasyārthaṃ vijñātavanta āhosvinneti /	mayA-upadeSa-arTam-aBihitasya-akzarasya-arTam vijQAtavantaH Ahosvit-na-iti /
   devā ūcurvyajñāsiṣmeti vijñātavanto vayam /	devAH UcuH-vyajQAsizma-iti vijQAtavantaH vayam /
   yadyevamucyatāṃ kiṃ mayoktamiti /	yadi-evam-ucyatAm kim mayA-uktam-iti /
   devā ūcurdābhyatādāntā yūyaṃ svabhāvato 'to dāntā bhavateti no 'smānāttha	devAH UcuH-da-aByata-adAntAH yUyam svaBAvataH atas dAntA BavatA-iti naH asmAn-AtTa
   kathayati /	kaTayati /
   itara āhomiti samyagvyajñāsiṣṭeti //1//	itaraH Ahom-iti samyak-vyajQAsizwa-iti //1//
   START BrhUp 5,2.2	START BrhUp 5,2.2
   atha hainaṃ manuṣyā ūcur bravītu no bhavān iti |	aTa ha-enam manuzyAH UcuH bravItu naH BavAn iti |
   tebhyo haitad evākṣaram uvāca da iti |	teByaH ha-etat eva-akzaram uvAca daH iti |
   vyajñāsiṣṭā3 iti |	vyajQAsizwA3 iti |
   vyajñāsiṣmeti hocuḥ |	vyajQAsizma-iti ha-UcuH |
   datteti na āttheti |	dattA-iti naH AtTa-iti |
   om iti hovāca vyajñāsiṣṭeti || BrhUp_5,2.2 ||	om iti ha-uvAca vyajQAsizwa-iti || BrhUp_5,2.2 ||
   BrhUpBh_5,2.2 samānamanyat /	Brhu-upBh_5,2.2 samAnam-anyat /
   svabhāvato lubdhā yūyamato yathāśakti saṃvibhajata datteti no 'smānāttha	svaBAvataH lubDAH yUyam-atas yaTASakti saMviBajata dattA-iti naH asmAn-AtTa
   kimanyadbrūyānno hitamiti manuṣyāḥ //2//	kim-anyat-brUyAt-naH hitam-iti manuzyAH //2//
   START BrhUp 5,2.3	START BrhUp 5,2.3
   atha hainam asurā ūcur bravītu no bhavān iti |	aTa ha-enam asurAH UcuH bravItu naH BavAn iti |
   tebhyo haitad evākṣaram uvāca da iti |	teByaH ha-etat eva-akzaram uvAca daH iti |
   vyajñāsiṣṭā3 iti |	vyajQAsizwA3 iti |
   vyajñāsiṣmeti hocuḥ |	vyajQAsizma-iti ha-UcuH |
   dayadhvam iti na āttheti |	dayaDvam iti naH AtTa-iti |
   om iti hovāca vyajñāsiṣṭeti |	om iti ha-uvAca vyajQAsizwa-iti |
   tad etad evaiṣā daivī vāg anuvadati stanayitnur da da da iti |	tat etat eva-ezA dEvI vAc anuvadati stanayitnuH da da daH iti |
   damyata datta dayadhvam iti |	damyata datta dayaDvam iti |
   tad etat trayaṃ śikṣed damam dānam dayām iti || BrhUp_5,2.3 ||	tat etat trayam Sikzet damam dAnam dayAm iti || BrhUp_5,2.3 ||
   BrhUpBh_5,2.3 tathāsurā dayadhvamiti /	Brhu-upBh_5,2.3 taTA-asurAH dayaDvam-iti /
   krūrā yūyaṃ hiṃsādiparā ato dayadhvaṃ prāṇiṣu dayāṃ kuruteti /	krUrAH yUyam hiMsA-Adi-parAH atas dayaDvam prANizu dayAm kuruta-iti /
   tadetatprajāpateranuśāsanamadyāpyanuvartata eva /	tat-etat-prajApateH-anuSAsanam-adya-api-anuvartate eva /
   yaḥ pūrvaṃ prajāpatirdevādīnanuśaśāsa so 'dyāpyanuśāstyeva daivyā	yaH pUrvam prajApatiH-deva-AdIn-anuSaSAsa saH adya-api-anuSAsti-eva dEvyA
   stanayitnulakṣaṇayā vācā kathameṣā śrūyate daivo vāk /	stanayitnu-lakzaNayA vAcA kaTam-ezA SrUyate dEvaH vAc /
   kāsau stanayitnurda da da iti dāmyata datta dayadhvamityeṣāṃ	kAsO stanayitnuH-da da daH iti dAmyata datta dayaDvam-iti-ezAm
   vākyānāmupalakṣaṇāya trirdakāra uccāryate 'nukṛtirna tu	vAkyAnAm-upalakzaNAya tris-dakAraH uccAryate anukRtiH-na tu
   stanayitnuśabdastrireva saṃkhyāniyamasya loko 'prasiddhatvāt /	stanayitnu-SabdaH-tris-eva saMKyA-niyamasya lokaH aprasidDa-tvAt /
   yasmādadyāpi prajāpatirdāmyata datta dayadhvamityanuśāstyeva	yasmAt-adya-api prajApatiH-dAmyata datta dayaDvam-iti-anuSAsti-eva
   tasmātkāraṇādetattrayam /	tasmAt-kAraNAt-etat-trayam /
   kiṃ tat trayamityucyate damaṃ dānaṃ dayāmiti	kim tat trayam-iti-ucyate damam dAnam dayAm-iti
   śikṣedupādadyātprajāpateranuśāsanamasmābhiḥ kartavyamityevaṃ	Sikzet-upAdadyAt-prajApateH-anuSAsanam-asmABiH kartavyam-iti-evam
   kartavyamityevaṃ matiṃ kuryāt /	kartavyam-iti-evam matim kuryAt /
   tathā ca smṛtiḥ - trividhaṃ narakasyedaṃ dvāraṃ nāśatamātmanaḥ /	taTA ca smRtiH  triviDam narakasya-idam dvAram na-aSatam-AtmanaH /
   kāmaḥ krodhastathā lobhastasmādetat trayaṃ tyajet iti /	kAmaH kroDaH-taTA loBaH-tasmAt-etat trayam tyajet iti /
   asya hi vidheḥ śeṣaḥ pūrvaḥ /	asya hi viDeH SezaH pUrvaH /
   tathāpi devādīnuddiśya kimarthaṃ dakāratrayamuccāritavānprajāpatiḥ	taTA-api deva-AdIn-uddiSya kim-arTam dakAra-trayam-uccAritavAn-prajApatiH
   pṛthaganuśāsanārthibhyaḥ /	pRTak-anuSAsana-arTiByaH /
   te vā kathaṃ vivekena pratipannāḥ prajāpatermanogataṃ samānenaiva	te vA kaTam vivekena pratipannAH prajApateH-manogatam samAnena-eva
   dakāravarṇamātreṇeti parābhiprāyajñā vikalpayanti /	dakAra-varNa-mAtreNa-iti para-aBiprAya-jQAH vikalpayanti /
   atraika āhuradāntatvādānātvādayāsutvairaparādhitvamātmano manyamānāḥ	atra-ekaH AhuH-adAnta-tva-AdAnAtu-AdayAsu-tvEH-aparADi-tvam-AtmanaH manyamAnAH
   śaṅkitā eva prajāpatāvūṣuḥ kiṃ no vakṣyatīti /	SaFkitAH eva prajApatO=-UzuH kim naH vakzyati-iti /
   teṣāṃ ca dakāraśravaṇamātrādevā'tmāśaṅkāvaśena tadarthapratipattirabhūt /	tezAm ca dakAra-SravaNa-mAtrAt-evA-atma-ASaFkA-vaSena tad-arTa-pratipattiH-aBUt /
   loke 'pi hi prasiddhaṃ putrāḥ śiṣyāścānuśāsyāḥ santo doṣānnivartayitavyā	loke api hi prasidDam putrAH SizyAH-ca-anuSAsyAH santaH dozAn-nivartayitavyA
   iti /	iti /
   ato yuktaṃ prajāpaterdakāramātroccāraṇam /	atas yuktam prajApateH-dakAra-mAtra-uccAraNam /
   damāditraye ca dakārānvayādātmano doṣānurūpyeṇa devādīnāṃ vivekena	dama-Adi-traye ca dakAra-anvayAt-AtmanaH doza-AnurUpyeNa deva-AdInAm vivekena
   pratipattuṃ ceti /	pratipattum ca-iti /
   phalaṃ tvetadātmadoṣajñāne sati doṣānnivartayituṃ śakyate	Palam tu-etat-Atma-doza-jQAne sati dozAn-nivartayitum Sakyate
   'lpenāpyupadeśena dakāramātreṇeti /	alpena-api-upadeSena dakAra-mAtreNa-iti /
   nanvetat trayāṇāṃ devādīnāmanuśāsanaṃ	nanu-etat trayANAm deva-AdInAm-anuSAsanam
   devādibhirapyekaikamevopādeyamadyatve 'pi na tu trayaṃ manuṣyaiḥ	deva-AdiBiH-api-ekEkam-eva-upAdeya-madya-tve api na tu trayam manuzyEH
   śikṣitavyamiti /	Sikzitavyam-iti /
   atrocyate - pūrvairdaivādibhirapyekaikamevopādeyamadyatve 'pi na tu trayaṃ	atra-ucyate  pUrvEH-dEva-AdiBiH-api-ekEkam-eva-upAdeya-madya-tve api na tu trayam
   manuṣyaiḥ śikṣitavyamiti /	manuzyEH Sikzitavyam-iti /
   athavā na devā asurā vānye kecana vidyante manuṣyebhyaḥ /	aTavA na devAH asurAH vA-anye kecana vidyante manuzyeByaH /
   manuṣyāṇāmevādāntā ye 'nyairuttamairguṇaiḥ saṃpannāste devā lobhapradhānā	manuzyANAm-eva-adAntAH ye anyEH-uttamEH-guNEH saMpannAH-te devAH loBa-praDAnA
   manuṣyāstathā hiṃsāparāḥ krūrā asurāsta eva manuṣyā	manuzyAH-taTA hiMsA-parAH krUrAH asurAH-te eva manuzyA
   adāntatvādidoṣakṣatrayamapekṣya devādiviśabdabhājo bhavantītarāṃśca	adAnta-tva-Adi-doza-kzatrayam-apekzya deva-Adi-viSabda-BAjaH Bavanti-itarAn=-ca
   guṇānsattvarajastamāṃsyapekṣya /	guNAn-sattva-rajaH-tamAMsi-apekzya /
   ato manuṣyaireva śikṣitavyametat trayamiti tadapekṣayaiva	atas manuzyEH-eva Sikzitavyam-etat trayam-iti tad-apekzayA-eva
   prajāpatinopadiṣṭatvāt /	prajApatinA-upadizwa-tvAt /
   tathā hi manuṣyaḥ adāntā lubdhāḥ krūrāśca dṛśyante /	taTA hi manuzyaH adAntAH lubDAH krUrAH-ca dRSyante /
   tathā ca smṛtiḥ kāmaḥ krodhastathā lobhastasmādetat trayaṃ tyajet iti	taTA ca smRtiH kAmaH kroDaH-taTA loBaH-tasmAt-etat trayam tyajet iti
   iti bṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya dvitīyaṃ brāhmaṇam //2//	iti bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya dvitIyam brAhmaNam //2//
   START BrhUp 5,3.1	START BrhUp 5,3.1
   eṣa prajāpatir yad dhṛdayam |	eza prajApatiH yat DRdayam |
   etad brahma |	etat brahma |
   etat sarvam |	etat sarvam |
   tad etat tryakṣaraṃ hṛdayam iti |	tat etat tri-akzaram hRdayam iti |
   hṛ ity ekam akṣaram |	hR iti ekam akzaram |
   abhiharanty asmai svāś cānye ca ya evaṃ veda |	aBiharanti asmE svAH ca-anye ca yaH evam veda |
   da ity ekam akṣaram |	daH iti ekam akzaram |
   dadaty asmai svāś cānye ca ya evaṃ veda |	dadati asmE svAH ca-anye ca yaH evam veda |
   yam ity ekam akṣaram |	yam iti ekam akzaram |
   eti svargaṃ lokaṃ ya evaṃ veda || BrhUp_5,3.1 ||	eti svargam lokam yaH evam vedaH || BrhUp_5,3.1 ||
   BrhUpBh_5,3.1 damādisādhanatrayaṃ sarvopāsanaśeṣaṃ vihitam /	BrhUpBh_5,3.1 dama-Adi-sADana-trayam sarva-upAsana-Sezam vihitam /
   dānto 'lubdho dayāluḥ sansarvopāsaneṣvadhikriyate /	dAntaH alubDaH dayAluH san-sarva-upAsanezu-aDikriyate /
   tatra nirupādhikasya brahmaṇo darśanamatikrāntamathādhunā sopādhikasya	tatra nirupADikasya brahmaNaH darSanam-atikrAntam-aTa-aDunA sa-upADikasya
   tasyaivābhyudayaphalāni vaktavyānītyevamartho 'yamārambhaḥ eṣa	tasya-eva-aByudaya-PalAni vaktavyAni-iti-evam-arTaH ayam-AramBaH eza
   prajāpatiryaddhṛśyaṃ prajāpatiranuśāstītyanantaramevābhihitam /	prajApatiH-yat-hRSyam prajApatiH-anuSAsti-iti-anantaram-eva-aBihitam /
   kaḥ punarasāvanuśāstā prajāpatiriti /	kaH punar-asO=-anuSAstA prajApatiH-iti /
   ucyate - eṣa prajāpatiḥ /	ucyate  eza prajApatiH /
   ko 'sau yathṛdayaṃ hṛdayamiti hṛdayasthā buddhirucyate /	kaH asO yaTRdayam hRdayam-iti hRdaya-sTA budDiH-ucyate /
   yasmiñśākalyabrāhmaṇānte nāmarūpakarmaṇāmupasaṃhāra ukto digvibhāgadvāreṇa	yasmin-SAkalya-brAhmaNa-ante nAma-rUpa-karmaNAm-upasaMhAraH uktaH diS-viBAga-dvAreNa
   tadetatsarvabhūtapratiṣṭhaṃ sarvabhūtātmabhūtaṃ hṛdayaṃ prajāpatiḥ	tat-etat-sarva-BUta-pratizWam sarva-BUta-Atma-BUtam hRdayam prajApatiH
   prajānāṃ sraṣṭā /	prajAnAm srazwA /
   etadbrahma bṛhattvātsarvātmatvācca brahma /	etat-brahma bRhat-tvAt-sarva-Atma-tvAt-ca brahma /
   etat sarvam /	etat sarvam /
   uktama pañcamādhyāye hṛdayasya sarvatvam /	uktama paQcama-aDyAye hRdayasya sarva-tvam /
   tatsarvaṃ yasmāttasmādupāsyaṃ hṛdayaṃ brahma /	tat-sarvam yasmAt-tasmAt-upAsyam hRdayam brahma /
   tatra hṛdayanāmākṣaraviṣayameva tāvadupāsanamucyate /	tatra hRdaya-nAma-akzara-vizayam-eva tAvat-upAsanam-ucyate /
   tadetaddhṛdayamiti nāma tryakṣaraṃ trīṇyakṣarāṇyasyeti tryakṣaram /	tat-etat-hRdayam-iti nAma tri-akzaram trINi-akzarANi-asya-iti tri-akzaram /
   kāni punastāni trīṇyakṣarāṇyucyante /	kAni punar-tAni trINi-akzarANi-ucyante /
   hṛ ityekamakṣaram /	hR iti-ekam-akzaram /
   abhiharanti hṛterāhṛtikarmaṇo hṛ ityetadrūpamiti yo veda yasmāddhṛdayāya	aBiharanti hRteH-AhRti-karmaNaH hR iti-etat-rUpam-iti yaH veda yasmAt-hRdayAya
   brahmaṇe svāścendriyāṇyanye ca viṣayāḥ śabdādayaḥ svaṃ svaṃ	brahmaNe svAH-ca-indriyANi-anye ca vizayAH Sabda-AdayaH svam svam
   kāryamabhiharantihṛdayaṃ ca bhoktrarthamabhiharati /	kAryam-aBiharanti-hRdayam ca BoktR-arTam-aBiharati /
   ato hṛdayanāmno hṛ ityetadakṣaramiti yo vedāsmai viduṣe 'bhiharanti svāśca	atas hRdaya-nAmnaH hR iti-etat-akzaram-iti yaH veda-asmE viduze aBiharanti svAH-ca
   jñātayo 'nye cāsaṃbaddhāḥ /	jQAtayaH anye ca-asaMbadDAH /
   balimiti vākyaśeṣaḥ /	balim-iti vAkya-SezaH /
   vijñānānurūpyeṇaitatphalam /	vijQAna-AnurUpyeNa-etat-Palam /
   tathā da ityetadapyekākṣarametadapi dānārthasya dadāterda ityetadrūpaṃ	taTA daH iti-etat-api-ekAkzaram-etat-api dAna-arTasya dadAteH-daH iti-etat-rUpam
   hṛdayanāmākṣaratvena nibaddham /	hRdaya-nAma-akzara-tvena nibadDam /
   atrāpi hṛdayāya brahmaṇo svāśca karaṇānyanye ca viṣayāḥ svaṃ svaṃ vīryaṃ	atra-api hRdayAya brahmaNaH svAH-ca karaNAni-anye ca vizayAH svam svam vIryam
   dadati hṛdayaṃ ca bhoktre dadāti svaṃ vīryamato dakāra ityevaṃ yo vedāsmai	dadati hRdayam ca Boktre dadAti svam vIryam-atas dakAraH iti-evam yaH veda-asmE
   dadati svāścānye ca /	dadati svAH-ca-anye ca /
   tathā yamityetadapyekamakṣaram /	taTA yam-iti-etat-api-ekam-akzaram /
   iṇo gatyarthasya yamityetadrūpamasminnāmni nibaddhamiti yo veda sa svargaṃ	iNaH gati-arTasya yam-iti-etat-rUpam-asmin-nAmni nibadDam-iti yaH veda sa svargam
   lokameti /	lokam-eti /
   evaṃ nāmākṣarādapīdṛśaṃ viśiṣṭaṃ phalaṃ prāpnoti kimu vaktavyaṃ	evam nAma-akzarAt-api-IdRSam viSizwam Palam prApnoti kimu vaktavyam
   hṛdayasvarūpo pāsanāditi hṛdayastutaye nāmākṣaropanyāsaḥ //1//	hRdaya-svarUpaH pAsanAt-iti hRdaya-stutaye nAma-akzara-upanyAsaH //1//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya tṛtīyaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya tRtIyam brAhmaNam
   START BrhUp 5,4.1	START BrhUp 5,4.1
   tad vai tad etad eva tad āsa |	tat vE tat etat eva tat Asa |
   satyam eva |	satyam eva |
   sa yo haitaṃ mahad yakṣaṃ prathamajaṃ veda satyaṃ brahmeti jayatīmāṃl	sa yaH ha-etam mahat yakzam praTama-jam veda satyam brahma-iti jayati-imAn=-
   lokān -- jita in nv asāv asat -- ya evam etan mahad yakṣaṃ prathamajaṃ	lokAn - jitaH id nu asO asat - yaH evam etat mahat yakzam praTama-jam
   veda satyaṃ brahmeti |	veda satyam brahma-iti |
   satyaṃ hy eva brahma || BrhUp_5,4.1 ||	satyam hi eva brahma || BrhUp_5,4.1 ||
   BrhUpBh_5,4.1 tasyaiva hṛdayākhyasya brahmaṇaḥ satyamityupāsanaṃ	Brhu-upBh_5,4.1 tasya-eva hRdaya-AKyasya brahmaNaH satyam-iti-upAsanam
   vidhitsannāha-tattaditi hṛdayaṃ brahma parāmṛṣṭam /	viDitsanna-aha--tat-tat-iti hRdayam brahma parAmRzwam /
   vā iti smaraṇārtham /	vA iti smaraNa-arTam /
   tadyaddhṛdayaṃ brahma smaryata ityekastacchabdaḥ /	tat-yat-hRdayam brahma smaryate iti-ekaH-tad-SabdaH /
   tadetaducyate prakārāntaremeti dvitīyastacchabdaḥ /	tat-etat-ucyate prakAra-antarema-iti dvitIyaH-tad-SabdaH /
   kiṃ punastatprakārāntaram /	kim punar-tad-prakAra-antaram /
   etadeva tadityetacchabdena saṃbadhyate tṛtīyastacchabdaḥ /	etat-eva tat-iti-etat-Sabdena saMbaDyate tRtIyaH-tad-SabdaH /
   etaditi vakṣyamāṇaṃ buddhau saṃnidhīkṛtyā'ha /	etat-iti vakzyamANam budDO saMniDIkRtyA-aha /
   āsa babhūva /	Asa baBUva /
   kiṃ punaretadevā'sa yaduktaṃ hṛdayaṃ brahmeti taditi tṛtīyastacchabdo	kim punar-etat-evA-asa yat-uktam hRdayam brahma-iti tat-iti tRtIyaH-tad-SabdaH-
   viniyuktaḥ /	viniyuktaH /
   kiṃ taditi viśeṣato nirdiśati satyameva sacca tyacca mūrtaṃ cāmūrtaṃ ca	kim tat-iti viSezataH nirdiSati satyam-eva sat-ca tyat-ca mUrtam ca-amUrtam ca
   satyaṃ brahma pañcabhūtātmakamityetat /	satyam brahma paQcaBUta-Atmakam-iti-etat /
   sa yaḥ kaścitsatyātmānametaṃ mahanmahattvādyakṣaṃ pūjyaṃ prathamajaṃ	sa yaH kaScid-satya-AtmAnam-etam mahat-mahat-tvAt-yakzam pUjyam praTama-jam
   prathamajātaṃ sarvasmātsaṃsāriṇa etadevāgre jātaṃ brahmātaḥ prathamajaṃ	praTama-jAtam sarvasmAt-saMsAriNaH etat-eva-agre jAtam brahma-atas praTama-jam
   veda vijānāti satyaṃ brahmeti /	veda vijAnAti satyam brahma-iti /
   tasyedaṃ phalamucyate-yathā satyena brahmaṇeme lokā ātmasātkṛtā jitā evaṃ	tasya-idam Palam-ucyate-yaTA satyena brahmaNA-ime lokAH AtmasAt-kRtA jitAH evam
   satyātmānaṃ brahma mahadyakṣaṃ prathamajaṃ veda sa jayatīmāllokān /	satya-AtmAnam brahma mahat-yakzam praTama-jam veda sa jayati-imAn-lokAn /
   kiñca jito vaśīkṛta innvitthaṃ yathā brahmaṇāsau śatruriti vākyaśeṣaḥ /	kiQca jitaH vaSIkRtaH innvitTam yaTA brahmaNA-asO SatruH-iti vAkya-SezaH /
   asaccāsadbhavedasau śatrurjito bhavedityarthaḥ /	asat-ca-asat-Bavet-asO SatruH-jitaH Bavet-iti-arTaH /
   kasyaitatphalamiti punarnigamayati-ya evametanmahadyakṣaṃ prathamajaṃ veda	kasya-etat-Palam-iti punar-nigamayati-yaH evam-etat-mahat-yakzam praTama-jam veda
   satyaṃ brahmeti /	satyam brahma-iti /
   ato vidyānurūpaṃ phalaṃ yuktam /	atas vidyA-anurUpam Palam yuktam /
   satyaṃ hyeva yasmādbrahma //1//	satyam hi-eva yasmAt-brahma //1//
   iti śrīmadbṛhadāraṇyakopaniṣadbhāṣye pañcamādhyāyasya caturthaṃ brāhmaṇam	iti SrImat-bRhat-AraNyaka-upanizad-BAzye paQcama-aDyAyasya caturTam brAhmaNam
   START BrhUp 5,5.1	START BrhUp 5,5.1
   āpa evedam agra āsuḥ |	ApaH eva-idam agre AsuH |
   tā āpaḥ satyam asṛjanta |	tAH ApaH satyam asRjanta |
   satyaṃ brahma |	satyam brahma |
   brahma prajāpatim |	brahma prajApatim |
   prajāpatir devān |	prajApatiH devAn |
   te devāḥ satyam evopāsate |	te devAH satyam eva-upAsate |
   tad etat tryakṣaraṃ sa-ti-yam iti sa ity ekam akṣaram |	tat etat tri-akzaram sa-ti-yam iti saH iti ekam akzaram |
   tīty ekam akṣaram |	ti-iti ekam akzaram |
   yam ity ekam akṣaram |	yam iti ekam akzaram |
   prathamottame akṣare satyam madhyato 'nṛtam |	praTama-uttame akzare satyam maDyatas anRtam |
   tad etad anṛtam ubhayataḥ satyena parigṛhītam |	tat etat anRtam uBayatas satyena parigRhItam |
   satyabhūyam eva bhavati |	satya-BUyam eva Bavati |
   naivaṃvidvāṃsam anṛtaṃ hinasti || BrhUp_5,5.1 ||	na-evaMvidvAMsam anRtam hinasti || BrhUp_5,5.1 ||
   BrhUpBh_5,5.1 satyasya brahmaṇaḥ stutyarthamidamāha /	Brhu-upBh_5,5.1 satyasya brahmaNaH stuti-arTam-idam-Aha /
   mahadyakṣaṃ prathamajamityuktaṃ tatkathaṃ prathamajatvamiti /	mahat-yakzam praTama-jam-iti-uktam tat-kaTam praTama-ja-tvam-iti /
   ucyate-āpa evedamagra āsuḥ /	ucyate-a-apaH eva-idam-agre AsuH /
   āpa iti karmasamavāyinyo 'gnihotrādyāhutayaḥ /	ApaH iti karma-samavAyinyaH agnihotra-Adi-AhutayaH /
   agnihotrādyāhiterdravātmakatvādaptvam /	agnihotra-AdyAhiteH-drava-Atmaka-tvAt-ap-tvam /
   tāścā'po 'gni hotrādikarmāpavargottarakālaṃ kenaciddṛṣṭena sūkṣmeṇā'tmanā	tAH-cA-apaH agni hotrAdi-karma-apavarga-uttara-kAlam kenacid-dRzwena sUkzmeNA-atmanA
   karmasamavāyitvamaparityajantya itarabhūtasahitā eva na kevalāḥ /	karma-samavAyi-tvam-aparityajantyaH itara-BUta-sahitAH eva na kevalAH /
   karmasamavāyitvāttu prādhānyamapāmiti /	karma-samavAyi-tvAt-tu prADAnyam-apAm-iti /
   sarvāṇyeva bhūtāni prāgutpatteravyākṛtāvasthāni kartṛsahitāni nirdiśyanta	sarvANi-eva BUtAni prAk-utpatteH-avyAkRta-avasTAni kartR-sahitAni nirdiSyanta
   āpa iti /	ApaH iti /
   tā āpo bījabhūtā jagato 'vyākṛtātmanāvasthitāstā evedaṃ sarvaṃ	tAH ApaH bIja-BUtAH jagataH avyAkRta-AtmanA-avasTitAH-tAH eva-idam sarvam
   nāmarūpavikṛtaṃ jagadagra āsurnānyatkiñcidvikārajātamāsīt /	nAma-rUpa-vikRtam jagat-agre AsuH-na-anyat-kiQcid-vikAra-jAtam-AsIt /
   tāḥ punarāpaḥ satyamasṛjanta /	tAH punar-ApaH satyam-asRjanta /
   tasmātsatyaṃ brahma prathamajam /	tasmAt-satyam brahma praTama-jam /
