   pañcakramaḥ	paQcakramaH
   niśākarāṃśusaṅkāśa ālokajñānasambhavaḥ || Pk_2.14 ||	niSAkara-aMSu-saFkASaH Aloka-jQAna-samBavaH || Pk_2.14 ||
   ālokābhāsamityutkam atiśūnyamupāyakam |	Aloka-ABAsam-iti-utkam ati-SUnyam-upAyakam |
   parikalpitaṃ tathā proktaṃ proktaṃ caitasikaṃ tathā || Pk_2.15 ||	parikalpitam taTA proktam proktam cEtasikam taTA || Pk_2.15 ||
   rāgo raktaṃ tathā tuṣṭaṃ madhyatuṣṭātituṣṭakam |	rAgaH raktam taTA tuzwam maDya-tuzwa-ati-tuzwakam |
   harṣaṇaṃ caiva prāmodyaṃ vismayo hasitaṃ tathā || Pk_2.16 ||	harzaNam ca-eva prAmodyam vismayaH hasitam taTA || Pk_2.16 ||
   hlādanāliṅganaṃ caiva tathā cumbanacūṣaṇam |	hlAdana-AliFganam ca-eva taTA cumbana-cUzaNam |
   dhairyaṃ vīryaṃ ca mānaśca kartṛhartṛbalāni ca || Pk_2.17 ||	DEryam vIryam ca mAnaH-ca kartR-hartR-balAni ca || Pk_2.17 ||
   utsāhaḥ sāhasaṃ caiva tathā cottamasāhasam |	utsAhaH sAhasam ca-eva taTA ca-uttamasAhasam |
   madhyamaṃ sāhasaṃ rādraṃ vilāso vairameva ca || Pk_2.18 ||	maDyamam sAhasam rAdram vilAsaH vEram-eva ca || Pk_2.18 ||
   śubhaṃ ca vāk sphuṭā satyamasatyaṃ niścayastathā |	SuBam ca vAc sPuwA satyam-asatyam niScayaH-taTA |
   nirupādānadātṛtve codanaṃ śūratā tathā |	nirupAdAna-dAtR-tve codanam SUra-tA taTA |
   alajjā dhūrtaduṣṭaśca haṭhaḥ kuṭila eva ca |	alajjA DUrta-duzwaH-ca haWaH kuwilaH eva ca |
   catvāriṃśat prakṛtayaḥ kṣaṇikāścātiśūnyajjāḥ || Pk_2.20 ||	catvAriMSat prakRtayaH kzaNikAH-ca-ati-SUnyajjAH || Pk_2.20 ||
   divāpuruṣasaṃjñā ca kharākāraśca dakṣiṇaḥ |	divApuruza-saMjQA ca Kara-AkAraH-ca dakziNaH |
   sūryamaṇḍalasaṃjñā ca vajrasaṃjñā tathaiva ca || Pk_2.21 ||	sUryamaNxala-saMjQA ca vajra-saMjQA taTA-eva ca || Pk_2.21 ||
   kalā saiva tu vijñeyā bindudvayavibhūṣitā |	kalA sA-eva tu vijQeyA bindu-dvaya-viBUzitA |
   divākarāṃśuisaṅkāśā ālokābhāsayogajā || Pk_2.22 ||	divAkara-aMSui-saFkASAH Aloka-ABAsa-yoga-jAH || Pk_2.22 ||
   ālokasyopalabdhiśca upalabdhaṃ tathaiva ca |	Alokasya-upalabDiH-ca upalabDam taTA-eva ca |
   pariniṣpannakaṃ caiva avidyā caiva nāmataḥ || Pk_2.23 ||	parinizpannakam ca-eva avidyA ca-eva nAmataH || Pk_2.23 ||
   mahāśūnyapadasyaite paryāyāḥ kathitā jinaiḥ |	mahA-SUnya-padasya-ete paryAyAH kaTitAH jinEH |
   madhyarāgakṣaṇaścaiva vismṛtirbhrāntireva ca || Pk_2.24 ||	maDyarAga-kzaNaH-ca-eva vismRtiH-BrAntiH-eva ca || Pk_2.24 ||
   tūṣṇīṃbhāvaśca khedaśca ālasyaṃ dandhatā tathā |	tUzNIMBAvaH-ca KedaH-ca Alasyam danDa-tA taTA |
   avidyāyāḥ kṣaṇāḥ sapta vijñeyāḥ sukṣmayogibhiḥ || Pk_2.25 ||	avidyAyAH kzaNAH sapta vijQeyAH sukzma-yogiBiH || Pk_2.25 ||
   na bījaṃ vindusaṃyuktaṃ na vāyurdvāranirgataḥ |	na bIjam vindu-saMyuktam na vAyuH-dvAra-nirgataH |
   yadālokopalabdhaṃ tu tat pariniṣpannalakṣaṇam || Pk_2.26 ||	yadAloka-upalabDam tu tat parinizpanna-lakzaNam || Pk_2.26 ||
   etāḥ prakṛtayaḥ sūkṣmāḥ śataṃ ṣaṣṭyuttaraṃ divā |	etAH prakRtayaH sUkzmAH Satam zazwi-uttaram divA |
   rātrau cāpi pravartante vāyuvāhanahetunā || Pk_2.27 ||	rAtrO ca-api pravartante vAyu-vAhana-hetunA || Pk_2.27 ||
   kṣaṇe lave muhūrtte ca nimeṣe mātrake tathā |	kzaNe lave muhUrtte ca nimeze mAtrake taTA |
   kṣaṇa ityacchaṭāvasthā lavaḥ sarṣapavartanam || Pk_2.28 ||	kzaNaH iti-acCawa-avasTA lavaH sarzapa-vartanam || Pk_2.28 ||
   āśvāsastu muhūrttaṃ syānnimeṣo 'kṣinimeṣaṇam |	ASvAsaH-tu muhUrttam syAt-nimezaH akzi-nimezaNam |
   mātrā tu hastatālaṃ syāt kṣaṇādīnāṃ tu lakṣaṇam || Pk_2.29 ||	mAtrA tu hasta-tAlam syAt kzaNa-AdInAm tu lakzaNam || Pk_2.29 ||
   saṃvittimātrakaṃ jñānamākāśavadalakṣaṇam |	saMvitti-mAtrakam jQAnam-AkASa-vat-alakzaNam |
   kintu tasya prabhedo 'sti sandhyārātridivātmanā || Pk_2.30 ||	kintu tasya praBedaH asti sanDyA-rAtridiva-AtmanA || Pk_2.30 ||
   ālokālokābhāsau ca tathālokopalabdhakam |	Aloka-aloka-ABAsO ca taTA-Aloka-upalabDakam |
   cittaṃ trividhamityuktam ādhārastasya kathyate || Pk_2.31 ||	cittam triviDam-iti-uktam ADAraH-tasya kaTyate || Pk_2.31 ||
   vāyunā sūkṣmarūpeṇa jñānaṃ saṃmiśratāṃ gatam |	vAyunA sUkzma-rUpeNa jQAnam saMmiSra-tAm gatam |
   niḥsṛtyendriyamārgemyo viṣayānavalambate || Pk_2.32 ||	niHsRtya-indriya-mArgemyaH vizayAn-avalambate || Pk_2.32 ||
   ābhāsena yadā yukto vāyurvāhanatāṃ gataḥ |	ABAsena yadA yuktaH vAyuH-vAhana-tAm gataH |
   tadā tatprakṛtīḥ sarvā astavyastāḥ pravartayet || Pk_2.33 ||	tadA tad-prakRtIH sarvAH astavyaH-tAH pravartayet || Pk_2.33 ||
   yatra yatra sthito vāyustāṃ tāṃ prakṛtimudvahet |	yatra yatra sTitaH vAyuH-tAm tAm prakRtim-udvahet |
   yāvat samīraṇotpādo nābhāso niścalo bhavet || Pk_2.34 ||	yAvat samIraNa-utpAdaH na-ABAsaH niScalaH Bavet || Pk_2.34 ||
   ābhāsadvayahetuḥ syādātmabhāvavikalpanā |	ABAsa-dvaya-hetuH syAt-Atma-BAva-vikalpanA |
   ubhayāṃśikameva syād yadālokopalabdhakam || Pk_2.35 ||	uBaya-aMSikam-eva syAt yadAloka-upalabDakam || Pk_2.35 ||
   sarvāsāmeva māyānāṃ strīmāyaiva viśiṣyate |	sarvAsAm-eva mAyAnAm strI-imAyA-eva viSizyate |
   jñānatrayaprabhedo 'yaṃ sphuṭamatraiva lakṣyate || Pk_2.36 ||	jQAna-traya-praBedaH ayam sPuwam-atra-eva lakzyate || Pk_2.36 ||
   rāgaścaiva virāgaśca dvarorantariti trayam |	rAgaH-ca-eva virAgaH-ca dvaroH-antar-iti trayam |
   dvīndriyasya samāpattyā vajrapadmasamāgamāt || Pk_2.37 ||	dvi-indriyasya samApattyA vajra-padma-samAgamAt || Pk_2.37 ||
   jñānadvayasamāyogaḥ samāpattiḥ prakīrtītā |	jQAna-dvaya-samAyogaH samApattiH prakIrtItAH |
   jñānadvayasamāpattyā yathoktakaraṇena tu || Pk_2.38 ||	jQAna-dvaya-samApattyA yaTA-ukta-karaNena tu || Pk_2.38 ||
   yajjñānaṃ prāpyate yatnāt tadālokopalabdhakam |	yat-jQAnam prApyate yatnAt tad-Aloka-upalabDakam |
   yasya vajrābjasaṃyogaḥ saṃvṛtyā tu na vidyate || Pk_2.39 ||	yasya vajra-abja-saMyogaH saMvRtyA tu na vidyate || Pk_2.39 ||
   sidhyate yogasāmarthyāt sakṛdapyanubhūtavān |	siDyate yoga-sAmarTyAt sakRt-api-anuBUtavAn |
   yathā prabhedaṃ vijñāya jñānavṛttiṃ svabhāvataḥ || Pk_2.40 ||	yaTA praBedam vijQAya jQAna-vRttim svaBAvataH || Pk_2.40 ||
   lakṣayet satataṃ yogī tāmeva prakṛtiṃ punaḥ |	lakzayet satatam yogI tAm-eva prakRtim punar |
   payodharā yathā naike nānāsaṃsthānavarṇakāḥ || Pk_2.41 ||	payoDarAH yaTA na-eke nAnA-saMsTAna-varNakAH || Pk_2.41 ||
   udbhūtā gaganābhogāllayaṃ gacchanti tatra vai |	udBUtAH gagana-ABogAt-layam gacCanti tatra vE |
   evaṃ prakṛtayaḥ sarvā ābhāsatrayahetukāḥ || Pk_2.42 ||	evam prakRtayaH sarvAH ABAsa-traya-hetukAH || Pk_2.42 ||
   nirviśya viṣayān kṛtsnān praviśanti prabhāsvaram |	nirviSya vizayAn kRtsnAn praviSanti praBAsvaram |
   eṣāṃ svabhāvābijñānadajñānapaṭalāvṛtāḥ || Pk_2.43 ||	ezAm svaBAva-abijQAna-da-jQAna-pawala-AvRtAH || Pk_2.43 ||
   kṛtvā śubhāśubhaṃ karma bhramanti gatipañcake |	kRtvA SuBa-aSuBam karma Bramanti gati-paQcake |
   ānantaryādikaṃ kṛtvā narakeṣu vipacyate || Pk_2.44 ||	AnantarI-Adikam kRtvA narakezu vipacyate || Pk_2.44 ||
   śubhaṃ dānādikaṃ kṛtvā svargādiṣu mahīyate |	SuBam dAna-Adikam kRtvA svarga-Adizu mahIyate |
   anantajanmasāhasraṃ prāpya caivaṃ punaḥ punaḥ || Pk_2.45 ||	ananta-janma-sAhasram prApya ca-evam punar punar || Pk_2.45 ||
   pūrvakarmavipāko 'yamiti śocati mohataḥ |	pUrva-karma-vipAkaH ayam-iti Socati mohataH |
   prakṛtyābhāsayogena yena kliśyanti jantavaḥ || Pk_2.46 ||	prakRti-ABAsa-yogena yena kliSyanti jantavaH || Pk_2.46 ||
   jñātvā tameva mucyante jñānino bhavapañjarāt |	jQAtvA tam-eva mucyante jQAninaH Bava-paQjarAt |
   prajñāsvabhāva evāyaṃ candramaṇḍalakalpanā || Pk_2.47 ||	prajQA-svaBAvaH eva-ayam candra-maNxala-kalpanA || Pk_2.47 ||
   cittameva svayaṃ paśyet svameva śaśibimbavat |	cittam-eva svayam paSyet svam-eva SaSi-bimba-vat |
   atha candraṃ samālambya vajracinhaṃ prakalpayet || Pk_2.48 ||	aTa candram samAlambya vajra-cinham prakalpayet || Pk_2.48 ||
   upāyasūcakaṃ hyetad vajrādyutpattiyoginām |	upAya-sUcakam hi-etat vajra-Adi-utpatti-yoginAm |
   candravajrādisaṃyogaścittacaitasasaṅgamaḥ || Pk_2.49 ||	candra-vajra-Adi-saMyogaH-citta-cEtasa-saFgamaH || Pk_2.49 ||
   prajñopāyasamāyogājjāyate devatākṛtiḥ |	prajQA-upAya-samAyogAt-jAyate devatA-AkRtiH |
   caturmudrābhirāmudrya devatāgarvamudvahan || Pk_2.50 ||	catur-mudrABiH-Amudrya devatA-garvam-udvahan || Pk_2.50 ||
   vicaret tu sadā mantrī utpattikramayogavān |	vicaret tu sadA mantrI utpatti-krama-yogavAn |
   yathoktaṃ śrīsamājādau tatra tatra suvistaram || Pk_2.51 ||	yaTA-uktam SrI-samAja-AdO tatra tatra su-vistaram || Pk_2.51 ||
   yāvat syād bhāvanāyogastāvat syādādikarmikaḥ |	yAvat syAt BAvanA-yogaH-tAvat syAt-Adi-karmikaH |
   pariniṣpannayogasya sūcana kriyate 'dhunā || Pk_2.52 ||	parinizpanna-yogasya sUcana kriyate aDunA || Pk_2.52 ||
   śūnyatrayaviśuddhiryā prabhāsvaramihocyate |	SUnya-traya-viSudDiH-yA praBAsvaram-iha-ucyate |
   sarvaśūnyapadaṃ tacca jñānatrayaviśuddhitaḥ || Pk_2.53 ||	sarva-SUnya-padam tat-ca jQAna-traya-viSudDitaH || Pk_2.53 ||
   jñānaśuddhipadaṃ tattvaṃ sarvajñatvamanuttaram |	jQAna-SudDi-padam tattvam sarvajQa-tvam-anuttaram |
   nirvikāraṃ nirābhāsaṃ nirdvandvaṃ paramaṃ śivam || Pk_2.54 ||	nirvikAram nirABAsam nirdvandvam paramam Sivam || Pk_2.54 ||
   astīti na ca nāstīti na ca vākyagocaram |	asti-iti na ca na-asti-iti na ca vAkya-gocaram |
   ataḥ prabhāsvarāccūddhājjñānatrayasamudbhavaḥ || Pk_2.55 ||	atas praBAsvarAt-cu-udDAt-jQAna-traya-samudBavaH || Pk_2.55 ||
   dvātriṃśallakṣaṇadharo hyaśītivyañcanānvitaḥ |	dvAtriMSat-lakzaNa-DaraH hi-aSIti-vyaQcanA-anvitaH |
   sarvākāravaropetaḥ sarvajño jāyate tataḥ || Pk_2.56 ||	sarva-AkAra-vara-upetaH sarvajQaH jAyate tatas || Pk_2.56 ||
   tathā coktaṃ mahāyānasūtre lalitavistare |	taTA ca-uktam mahAyAna-sUtre lalita-vistare |
   abhisambodhikāmo 'yaṃ śākyasiṃhastathāgataḥ || Pk_2.57 ||	aBisamboDi-kAmaH ayam SAkya-siMhaH-taTAgataH || Pk_2.57 ||
   mahāśūnyena buddhatvaṃ prāpsyāmītyabhimānataḥ |	mahA-SUnyena budDa-tvam prApsyAmi-iti-aBimAnataH |
   nairañcanānadītīre nispādyāsphānakaṃ gataḥ || Pk_2.58 ||	nEraQcanA-nadI-tIre nispAdya-AsPAnakam gataH || Pk_2.58 ||
   tilabimbīva sampūrṇāḥ khamadhyasthā jināstadā |	tila-bimbI-iva sampUrNAH Ka-maDya-sTAH jinAH-tadA |
   ekasvareṇa taṃ prāhuracchaṭena jinaurasam || Pk_2.59 ||	eka-svareNa tam prAhuH-a=-Cawena jinOrasam || Pk_2.59 ||
   aviśuddhamidaṃ dhyānaṃ na caitadiṣṭakāvaham |	aviSudDam-idam DyAnam na ca-etat-izwaka-Avaham |
   prabhāsvaraṃ ātu ālambyamākāśatalavat param || Pk_2.60 ||	praBAsvaram Atu Alambyam-AkASa-tala-vat param || Pk_2.60 ||
   prabhāsvarapade prāpte svecchārūpastu jāyase |	praBAsvara-pade prApte sva-icCA-rUpaH-tu jAyase |
   savaiśvaryaṃ tathā prāpya vajrakāye pramodase || Pk_2.61 ||	sa-vESvaryam taTA prApya vajra-kAye pramodase || Pk_2.61 ||
   evaṃ śrutvā tu taṃ śbdaṃ visarjyāsphānakaṃ tataḥ |	evam SrutvA tu tam Sbdam visarjya-AsPAnakam tatas |
   niśārdhasamaye tattvamālambyaiva jinaurasaḥ || Pk_2.62 ||	niSA-arDa-samaye tattvam-Alambya-eva jinOrasaH || Pk_2.62 ||
   ṛjukenaiva kāyena vācāya ṛjureva ca |	Rjukena-eva kAyena vAcAya RjuH-eva ca |
   sāśano nāśano naiva na maunī nāpyamaunavān || Pk_2.63 ||	sa-aSanaH nASanaH na-eva na mOnI na-api-amOnavAn || Pk_2.63 ||
   nonmīlitasunetrastu na ca mīlitalocanaḥ |	na-unmIlita-sunetraH-tu na ca mIlita-locanaH |
   svacchaṃ vyaktaṃ mahājñānaṃ sarvaśūnyaṃ mahādbhutam || Pk_2.64 ||	svacCam vyaktam mahA-jQAnam sarva-SUnyam mahA-adButam || Pk_2.64 ||
   atha paśyati tadvayaktaṃ gurupādaprasādataḥ |	aTa paSyati tat-vayaktam guru-pAda-prasAdataH |
   anāgatamatītaṃ ca vartamānaṃ bhavatrayam || Pk_2.65 ||	anAgatam-atItam ca vartamAnam Bava-trayam || Pk_2.65 ||
   tatkṣaṇānnikhilaṃ paśyet prabhāsvaraviśuddhadhṛk |	tad-kzaNAt-niKilam paSyet praBAsvara-viSudDa-DRS |
   jalacandramarīcyādimāyāguṇavibhūṣitaḥ || Pk_2.66 ||	jala-candra-marIci-Adi-mAyA-guNa-viBUzitaH || Pk_2.66 ||
   aruṇodgamakāle tu vajropamasamādhinā |	aruNa-udgama-kAle tu vajra-upama-samADinA |
   niṣadya bodhimūle tu so 'karonmārabhañcanam || Pk_2.67 ||	nizadya boDi-mUle tu saH akarot-mAra-BaQcanam || Pk_2.67 ||
   samprāpya śākyanāthena tattvajñānamanuttaram |	samprApya SAkyanATena tattva-jQAnam-anuttaram |
   jagattrayahitārthāya tadeveha pradarśitam || Pk_2.68 ||	jagattraya-hita-arTAya tat-eva-iha pradarSitam || Pk_2.68 ||
   tattvajñānamiti proktamabhisambodhidarśanam |	tattva-jQAnam-iti proktam-aBisamboDi-darSanam |
   pañcānantaryakarmā ca mandapuṇyo 'pi yo naraḥ || Pk_2.69 ||	paQca-anantaryakarmA ca manda-puNyaH api yaH naraH || Pk_2.69 ||
   guruprasādādāpnoti cintāmaṇirivāparam |	guru-prasAdAt-Apnoti cintAmaNiH-iva-aparam |
   yatheṣṭaṃ kurute caryāṃ saṃbuddho 'yamanāgataḥ || Pk_2.70 ||	yaTezwam kurute caryAm saMbudDaH ayam-anAgataH || Pk_2.70 ||
   na rāgo na virāgaśca madhyamā nopalabhyate |	na rAgaH na virAgaH-ca maDyamA na-upalaByate |
   na śūnyaṃ nāpi cāśūnyaṃ madhyamā nopalabhyate || Pk_2.71 ||	na SUnyam na-api ca-aSUnyam maDyamA na-upalaByate || Pk_2.71 ||
   sarvabuddhasamāyoga idameva pradarśitam |	sarva-budDa-samAyogaH idam-eva pradarSitam |
   trijñānād vyatiriktaṃ yat tattvaṃ sandhyāya bhāṣayā || Pk_2.72 ||	tri-jQAnAt vyatiriktam yat tattvam sanDyAya BAzayA || Pk_2.72 ||
   abhāvetyādigāthābhiḥ paṭale bodhicittake |	aBAva-ityAdi-gATABiH pawale boDi-cittake |
   śrīsamāje 'pi tat proktamabhisambodhilakṣaṇam || Pk_2.73 ||	SrI-samAje api tat proktam-aBisamboDi-lakzaNam || Pk_2.73 ||
   rāgādīnāṃ viśuddhiryā paramādye pradarśitā |	rAga-AdInAm viSudDiH-yA parama-Adye pradarSitA |
   sarvaśūnyaṃ samuddiśya sāpi proktā tathāgataiḥ || Pk_2.74 ||	sarva-SUnyam samuddiSya sA-api proktA taTAgatEH || Pk_2.74 ||
   nānāsūtreṣu tantreṣu yat tattvamupadarśitam |	nAnA-sUtrezu tantrezu yat tattvam-upadarSitam |
   sarvaśūnyapadaṃ hyetannānyat tatrābhidhīyate || Pk_2.75 ||	sarva-SUnya-padam hi-etat-na-anyat tatra-aBiDIyate || Pk_2.75 ||
   caturaśītisāhasre dharmaskandhe mahāmuneḥ |	caturaSIti-sAhasre Darma-skanDe mahA-muneH |
   sārāt sārataraṃ proktam abhisambodhilakṣaṇam || Pk_2.76 ||	sArAt sArataram proktam aBisamboDi-lakzaNam || Pk_2.76 ||
   jaṭī nagnaśca muṇḍī vā śikhiniḥsaṅgavṛttayaḥ |	jawI nagnaH-ca muNxI vA SiKi-niHsaFga-vRttayaH |
   taistaiśca vividhairliṅgairabhisambodhikāminaḥ || Pk_2.77 ||	tEH-tEH-ca viviDEH-liFgEH-aBisamboDi-kAminaH || Pk_2.77 ||
   teṣāṃ tattvavihīnānāṃ vratacaryādikaḥ kramaḥ |	tezAm tattva-vihInAnAm vrata-caryA-AdikaH kramaH |
   tattvajñānavihīnatvāt tena muktirna labhyate || Pk_2.78 ||	tattva-jQAna-vihIna-tvAt tena muktiH-na laByate || Pk_2.78 ||
   ādikarmikayogena cāṣṭamīṃ bhūmimāpnuyāt |	Adi-karmika-yogena ca-azwamIm BUmim-ApnuyAt |
   ālokatrayadarśī ca daśabhūmyāṃ pratiṣṭhitaḥ || Pk_2.79 ||	Alokatraya-darSI ca daSa-BUmyAm pratizWitaH || Pk_2.79 ||
   samprāpya hyabhisambodhiṃ śuddhāvāsamupāgataḥ |	samprApya hi-aBisamboDim SudDAvAsam-upAgataH |
   buddhakṣetresvavaivartī sarvajña iha janmani || Pk_2.80 ||	budDa-kzetresu-avEvartI sarvajQaH iha janmani || Pk_2.80 ||
   dharmodayābhisambodhiḥ krīḍārāgādivistaraiḥ |	Darma-udaya-aBisamboDiH krIxA-rAga-Adi-vistarEH |
   dharmadhātvābhisamabodhiryathālābhaviceṣṭitaiḥ || Pk_2.81 ||	DarmaDAtvA-aBisama-boDiH-yaTA-lABa-vicezwitEH || Pk_2.81 ||
   anutarābhisambodhirabhisambodhiyogataḥ |	anutara-aBisamboDiH-aBisamboDi-yogataH |
   prapañcākārādicaryābhirabhyasyantīha yoginaḥ || Pk_2.82 ||	prapaQca-AkAra-Adi-caryABiH-aByasyanti-iha yoginaH || Pk_2.82 ||
   āḥ kimabhyāsayogena ādiśuddhiḥ svabhāvikā |	AH kim-aByAsa-yogena Adi-SudDiH sva-BAvikA |
   prakṛtyaiva hi sā siddhā tathatā na vikalpajā || Pk_2.83 ||	prakRtyA-eva hi sA sidDA taTatA na vikalpa-jAH || Pk_2.83 ||
   ya evaṃ kalpayantīha jñānakramamapāsya vai |	yaH evam kalpayanti-iha jQAna-kramam-apAsya vE |
   tatprabhedamajānānāḥ punaḥ śaikṣā bhavanti te || Pk_2.84 ||	tad-praBedam-ajAnAnAH punar SEkzAH Bavanti te || Pk_2.84 ||
   prakṛtyābhāsabhedajñā caturthaṃ tattvamāśritāḥ |	prakRti-ABAsa-Beda-jQA caturTam tattvam-ASritAH |
   tridhā nābhyasyate yastu na śīghramāpnuyāt phalam || Pk_2.85 ||	triDA na-aByasyate yaH-tu na SIGram-ApnuyAt Palam || Pk_2.85 ||
   yathāgnirdārugarbhastho nottiṣṭhenmathanād vinā |	yaTA-agniH-dAru-garBa-sTaH na-uttizWet-maTanAt vinA |
   tathābhyāsād binā bodhirjāyate neha janmani || Pk_2.86 ||	taTA-aByAsAt binA boDiH-jAyate na-iha janmani || Pk_2.86 ||
   yaḥ śāṭhyabuddhiralaso gurunindakaśca prāptābhiṣeka iti garvitamānasaḥ	yaH SAWya-budDiH-alasaH guru-nindakaH-ca prApta-aBizekaH iti garvita-mAnasaH
   syāt |	syAt |
   sarvajñatā na sulabheti vihīnacitto doṣān sa paśyati gurorna guṇān varākaḥ	sarvajQa-tA na sulaBa-iti vihIna-cittaH dozAn sa paSyati guroH-na guNAn varAkaH
   || Pk_2.87 ||	|| Pk_2.87 ||
   sūśrūṣayā virahito laghu tattvamicchen neti praśstavacanaṃ calayet saroṣaḥ	sUSrUzayA virahitaH laGu tattvam-icCet na-iti praSsta-vacanam calayet sa-rozaH
   dṛṣṭvā sabhāsu gurumasya parāṅmukhastu kuryāt praṇāmamatha tasya	dRzwvA saBAsu gurum-asya parAFmuKaH-tu kuryAt praNAmam-aTa tasya
   rahogatasya || Pk_2.88 ||	rahaH-gatasya || Pk_2.88 ||
   evaṃ ca daurātmyagataṃ kuśiṣyam svaputramapyaurasamāryagarhyam |	evam ca dOrAtmya-gatam kuSizyam sva-putram-api-Orasam-Arya-garhyam |
   vaiśyaṃ tathā pārthivamagrabodhiṃ kuryāt samīpe na hi jātu dhīraḥ ||	vESyam taTA pArTivam-agra-boDim kuryAt samIpe na hi jAtu DIraH ||
   Pk_2.89 ||	Pk_2.89 ||
   śubhaguṇasusameto jñānavān vīryayukto gurujanamatha bhaktyā vīkṣate	SuBa-guNa-su-sametaH jQAnavAn vIrya-yuktaH guru-janam-aTa BaktyA vIkzate
   buddhatulyam |	budDa-tulyam |
   adhigatajinadharmaḥ śāsaneṣu prasannaḥ sa iha bhavati pātraṃ tasya kuryāt	aDigata-jina-DarmaH SAsanezu prasannaH saH iha Bavati pAtram tasya kuryAt-
   prasādam || Pk_2.90 ||	prasAdam || Pk_2.90 ||
   śrutabahutaratantro 'uyāgameṣu pravīṇo gurujanaparicaryāhānyalabdhopadeśaḥ	Sruta-bahutara-tantraH auyAgamezu pravINaH guru-jana-paricaryA-hAnya-labDa-upadeSaH
   svahitamapi sa kartuṃ na prabhuḥ śāstracañcurbhavati tadapi śāstraṃ	sva-hitam-api sa kartum na praBuH SAstra-caQcuH-Bavati tat-api SAstram
   kevalaṃ khedahetuḥ || Pk_2.91 ||	kevalam Keda-hetuH || Pk_2.91 ||
   atha bhavati sabhāgyaḥ prāptatattvopadeśo jaḍamatirasamartho mīlane	aTa Bavati saBAgyaH prApta-tattva-upadeSaH jaxa-matirasamarTaH mIlane
   'rthasya yastu |	arTasya yaH-tu |
   parahitakṛtabuddhirdeśanāyāṃ pravṛtto vacanaguṇavihīnaḥ so	para-hita-kRta-budDiH-deSanAyAm pravRttaH vacana-guNa-vihInaH saH-
   'pyavajñāmupaiti || Pk_2.92 ||	api-avajQAm-upEti || Pk_2.92 ||
   śrutabahutaratantro jñānavān ṣaṭpadajñaḥ	Sruta-bahutara-tantraH jQAnavAn zawpada-jQaH
   smṛtimatidhṛtimedhāvīryasampatsametaḥ |	smRtim-ati-DRti-meDA-vIrya-sampad-sametaH |
   gurucaṇasaparyāprāptatattvopadeśaḥ prabhavati sa hi vaktuṃ	guru-caNa-saparyA-prApta-tattva-upadeSaH praBavati sa hi vaktum
   tantrarājopadeśam || Pk_2.93 ||	tantra-rAja-upadeSam || Pk_2.93 ||
   śrutabahutaratantreṇāyavajriprasādāt sphuṭaviracitavācā bodhimārgaṃ	Sruta-bahutara-tantreNa-Ayavajri-prasAdAt sPuwa-viracita-vAcA boDi-mArgam
   vibhajya |	viBajya |
   kuśalamupacittaṃ yacchākyamitreṇa tena prakaṭapaṭuvipākād bodhibhājo	kuSalam-upacittam yat-SAkya-mitreNa tena prakawa-pawu-vipAkAt boDi-BAjaH-
   bhavantu || iti | Pk_2.94 ||	Bavantu || iti | Pk_2.94 ||
   anuttarasandhirityaparanāmā	anuttara-sanDiH-iti-apara-nAmA
   || sarvaśuddhiviśuddhikramaḥ samāptaḥ ||	|| sarva-SudDi-viSudDi-kramaH samAptaH ||
   kṛtiriyaṃ śākyamitrapādānām | granthapramāṇamasya śatamekam |	kRtiH-iyam SAkya-mitra-pAdAnAm | granTa-pramANam-asya Satam-ekam |
   dvitīyaḥ kramaḥ |	dvitIyaH kramaH |
   svādhiṣṭhānakramaḥ tṛtīyaḥ	sva-aDizWAna-kramaH tRtIyaH
   namaḥ śrīvajragurave	namaH SrIvajra-gurave
   praṇipatya varaṃ vajraṃ vajrasattvādināyakam |	praNipatya varam vajram vajra-sattva-Adi-nAyakam |
   svādhiṣṭhānakramaścaiva vakṣyate kṛpayā mayā || Pk_3.1 ||	sva-aDizWAna-kramaH-ca-eva vakzyate kRpayA mayA || Pk_3.1 ||
   prathamataraṃ tāvad utpattikramānusāreṇa	praTamataram tAvat utpatti-krama-anusAreNa
   prāptābhiṣekaścaturvidhatantrābhiprāyajñaḥ prāptakāyavākcittavivekaḥ	prApta-aBizekaH-caturviDa-tantra-aBiprAya-jQaH prApta-kAya-vAc-citta-vivekaH
   śrutidharaḥ satyadvayādhimokṣo vajraguruṃ samyag ārādhya, tataḥ prasannāya	Sruti-DaraH satya-dvaya-aDimokzaH vajra-gurum samyak ArADya, tatas prasannAya
   gurave mahatīṃ gaṇapūjāṃ kṛtvā ṣoḍaśābdikāṃ mudrāṃ mahāvajragurave datvā,	gurave mahatIm gaNa-pUjAm kRtvA zoxaSa-AbdikAm mudrAm mahA-vajra-gurave datvA,
   tadanantaraṃ guruvaktrād āptasvādhiṣṭhānakramopadeśaḥ, tato	tad-anantaram guru-vaktrAt Apta-sva-aDizWAna-krama-upadeSaH, tatas-
   mālodakasambuddhavajraghaṇṭādānadarpaṇanāmācāryānujñā ityebhiḥ saha	mAlodaka-sambudDa-vajra-GaNwA-dAna-darpaNanAma-AcArya-anujQA iti-eBiH saha
   guhyābhiṣekaṃ labdhvā ebhiḥ śāstāraṃ guruṃ stūyātḥ |	guhya-aBizekam labDvA eBiH SAstAram gurum stUyAtH |
