   akramaḥ kṛṣṇa pūjyante JCand_2.27c	akramaH kRzNa pUjyante JCand-_2.27c
   krodhasthāyī raso raudro JCand_6.8a	kroDa-sTAyI rasaH rOdraH JCand-_6.8a
   kliṣṭam artho yadīyo 'rtha- JCand_2.12a	klizwam arTaH yadIyaH arTa JCand-_2.12a
   kvacic cārutarasyāgre JCand_8.2c	kvacid cArutarasya-agre JCand-_8.2c
   kvacit prakaraṇādinā JCand_7.17b	kvacid prakaraNa-AdinA JCand-_7.17b
   kvacid arthasvabhāvataḥ JCand_8.2b	kvacid arTa-svaBAvataH JCand-_8.2b
   kvātitīvraviṣāḥ sarpāḥ JCand_5.79c	kva-atitIvra-vizAH sarpAH JCand-_5.79c
   kvāsau candanabhūruhaḥ JCand_5.79d	kva-asO candana-BUruhaH JCand-_5.79d
   kṣamādikānubhāvo 'yaṃ JCand_6.13c	kzamA-AdikA-anuBAvaH ayam JCand-_6.13c
   kṣīranīradhir ākāśa- JCand_1.13a	kzIra-nIraDiH AkASa JCand-_1.13a
   kṣīrāmbhodhir agādhatām upadadhat sevyaḥ samāśrīyatām JCand_1.3b	kzIra-amBoDiH agADa-tAm upadaDat sevyaH samASrIyatAm JCand-_1.3b
   kṣmādikaṃ khatalādivat JCand_2.7d	kzmA-Adikam Ka-tala-Adi-vat JCand-_2.7d
   khaḍgabandhādi lakṣyate JCand_5.9b	Kaxga-banDa-Adi lakzyate JCand-_5.9b
   khaṇḍavākyaṃ sa iṣyate JCand_1.14b	KaNxa-vAkyam saH izyate JCand-_1.14b
   khaṇḍaśleṣaḥ padānāṃ ced JCand_5.62a	KaNxa-SlezaH padAnAm ced JCand-_5.62a
   khyātir akṣarasaṃhatiḥ JCand_3.1b	KyAtiH akzara-saMhatiH JCand-_3.1b
   gate 'pi sūrye dīpasthās JCand_5.84c	gate api sUrye dIpa-sTAH JCand-_5.84c
   gambhīrārambhadambholi- JCand_2.20c	gamBIra-AramBa-damBoli JCand-_2.20c
   gamyaṃ vītānumādivat JCand_2.9d	gamyam vIta-anumAdi-vat JCand-_2.9d
   garjitaṃ taj jitaṃ jitam JCand_5.4d	garjitam tat jitam jitam JCand-_5.4d
   garbhitaṃ bhūmibhūṣaṇa JCand_2.26b	garBitam BUmi-BUzaNa JCand-_2.26b
   garvo viṣāda autsukyaṃ JCand_6.16c	garvaH vizAdaH Otsukyam JCand-_6.16c
   galadvedyāntarodbhedo JCand_6.2a	galadvedya-antara-udBedaH JCand-_6.2a
   gallādi grāmyam ucyate JCand_2.10d	galla-Adi grAmyam ucyate JCand-_2.10d
   gātramaṅkuritaṃ satām JCand_4.5d	gAtram-aFkuritam satAm JCand-_4.5d
   guṇakīrtyā niṣidhyate JCand_3.2b	guNa-kIrtyA niziDyate JCand-_3.2b
   guṇadoṣākṣamaṃ yadi JCand_5.106b	guNa-doza-akzamam yadi JCand-_5.106b
   guṇadravyakriyādiṣu JCand_5.73b	guNa-dravya-kriyA-Adizu JCand-_5.73b
   gumphaḥ kāraṇamālā syād JCand_5.86a	gumPaH kAraNa-mAlA syAt JCand-_5.86a
   gūḍhākṣepo vidhau vyakte JCand_5.72a	gUXa-AkzepaH viDO vyakte JCand-_5.72a
   gūḍhotprekṣāṃ pracakṣate JCand_5.30b	gUXa-utprekzAm pracakzate JCand-_5.30b
   gṛhītamuktarītyartha- JCand_5.87a	gRhIta-mukta-rIti-arTa JCand-_5.87a
   gauḍīyā ca yathārasam JCand_6.22b	gOxIyA ca yaTArasam JCand-_6.22b
   gauṇaśuddhe pṛthak pṛthak JCand_9.10d	gONa-SudDe pRTak pRTak JCand-_9.10d
   gauṇaṃ sādhyavasānaṃ syād JCand_9.11c	gONam sADyavasAnam syAt JCand-_9.11c
   gauṇaṃ sāropam uddiṣṭam JCand_9.11a	gONam sAropam uddizwam JCand-_9.11a
   gaur jagajjāgradutsekā JCand_5.2c	gOH jagat-jAgrat-utsekA JCand-_5.2c
   gaur nīlaḥ pācako daṇḍī JCand_10.3a	gOH nIlaH pAcakaH daNxI JCand-_10.3a
   grāmyatvaṃ guṇatāṃ gatam JCand_2.42d	grAmya-tvam guNa-tAm gatam JCand-_2.42d
   glānim eti saroruham JCand_8.8d	glAnim eti saroruham JCand-_8.8d
   ghaṭamānatvavarṇanam JCand_4.1b	GawamAna-tva-varNanam JCand-_4.1b
   ghanāṭope mahīyasi JCand_6.28d	Gana-Awope mahIyasi JCand-_6.28d
   ghoṣo nivasatīti ca JCand_9.13d	GozaH nivasati-iti ca JCand-_9.13d
   -ṅkurabījatayā sthitā JCand_9.16d	-Fkura-bIja-tayA sTitA JCand-_9.16d
   cakraḥ kāntāṃ vilokate JCand_8.9d	cakraH kAntAm vilokate JCand-_8.9d
   cañcalaṃ locanāñcalam JCand_4.6d	caQcalam locana-aQcalam JCand-_4.6d
   catasro rītayaḥ smṛtāḥ JCand_6.22d	catasraH rItayaH smRtAH JCand-_6.22d
   caturṇāṃ puruṣārthānāṃ JCand_5.40c	caturNAm puruza-arTAnAm JCand-_5.40c
   caturthas tenāsau sukavijayadevena racite JCand_4.13c	caturTaH tena-asO su-kavi-jaya-devena racite JCand-_4.13c
   caturthaḥ saikoyam sukavijayadevena racite JCand_5.125c	caturTaH sEkoyam sukavi-jaya-devena racite JCand-_5.125c
   catvāras triguṇās tataḥ JCand_7.8d	catvAraH triguNAH tatas JCand-_7.8d
   catvāriṃśadyutaikena JCand_7.4c	catvAriMSat-yuta-ekena JCand-_7.4c
   catvāro vastv alaṃkāram JCand_7.7a	catvAraH vastu alaMkAram JCand-_7.7a
   candanaṃ khalu govinda- JCand_5.6c	candanam Kalu govinda JCand-_5.6c
   candra saṃdarśayātmānam JCand_5.71c	candra saMdarSaya-AtmAnam JCand-_5.71c
   candrālokamanoharam JCand_10.5b	candra-Aloka-manoharam JCand-_10.5b
   candrālokamayaṃ svayaṃ vitanute pīyūṣavarṣaḥ kṛtī JCand_1.2d	candrAloka-mayam svayam vitanute pIyUza-varzaH kRtI JCand-_1.2d
   candrāṃśusūtragrathitāṃ JCand_3.7c	candra-aMSu-sUtra-graTitAm JCand-_3.7c
   capalātiśayoktis tu JCand_5.43a	capala-atiSayoktiH tu JCand-_5.43a
   caraṇadvandvavandanam JCand_5.6d	caraNa-dvandva-vandanam JCand-_5.6d
   caraṇe sahajāruṇe JCand_5.33d	caraNe sahaja-aruNe JCand-_5.33d
   cintayāntakaḍhaukanam JCand_5.72d	cintaya-antaka-XOkanam JCand-_5.72d
   cintā mohaḥ smṛtir dhṛtiḥ JCand_6.15d	cintA mohaH smRtiH DRtiH JCand-_6.15d
   ciraṃ candrāloke mahati daśasaṃkhyaḥ sukhayatu JCand_10.7d	ciram candrAloke mahati daSa-saMKyaH suKayatu JCand-_10.7d
   ciraṃ candrāloke mahati navasaṃkhyaḥ sukhayatu JCand_9.17d	ciram candrAloke mahati nava-saMKyaH suKayatu JCand-_9.17d
   ciraṃ candrāloke mahati vasusaṃkhyaḥ sukhayatu JCand_8.11d	ciram candrAloke mahati vasu-saMKyaH suKayatu JCand-_8.11d
   ciraṃ candrāloke sukhayatu mayūkhaḥ sumanasaḥ JCand_1.16d	ciram candrAloke suKayatu mayUKaH sumanasaH JCand-_1.16d
   ciraṃ candrāloke sukhayatu mayūkhaḥ sumanasaḥ JCand_2.45d	ciram candrAloke suKayatu mayUKaH sumanasaH JCand-_2.45d
   ciraṃ candrāloke sukhayatu mayūkhaḥ sumanasaḥ JCand_3.12d	ciram candrAloke suKayatu mayUKaH sumanasaH JCand-_3.12d
   ciraṃ candrāloke sukhayatu mayūkhaḥ sumanasaḥ JCand_4.13d	ciram candrAloke suKayatu mayUKaH sumanasaH JCand-_4.13d
   ciraṃ candrāloke sukhayatu mayūkhaḥ sumanasaḥ JCand_5.125d	ciram candrAloke suKayatu mayUKaH sumanasaH JCand-_5.125d
   ciraṃ candrāloke sukhayatu mahati ṛtusaṃkhyaḥ JCand_6.29d	ciram candrAloke suKayatu mahati Rtu-saMKyaH JCand-_6.29d
   ciraṃ candrāloke sukhayatu mahati munisaṃkhyaḥ JCand_7.18d	ciram candrAloke suKayatu mahati muni-saMKyaH JCand-_7.18d
   cumbibimbe sudhākare JCand_5.51f	cumbi-bimbe suDAkare JCand-_5.51f
   ced bimbapratibimbatvaṃ JCand_5.55a	ced bimba-pratibimba-tvam JCand-_5.55a
   chadmanā vastugopanam JCand_5.109b	CadmanA vastu-gopanam JCand-_5.109b
   chandodoṣaś cakāsti cet JCand_2.17b	CandodozaH cakAsti ced JCand-_2.17b
   chekānuprāsabhāsurā JCand_5.2d	Ceka-anuprAsa-Ba-asurAH JCand-_5.2d
   chekāpahnutir anyasya JCand_5.27a	Ceka-apahnutiH anyasya JCand-_5.27a
   jagad etat prakāśate JCand_5.74d	jagat etat prakASate JCand-_5.74d
   jagāmāstaṃ ca bhānumān JCand_5.97d	jagAma-astam ca BAnumAn JCand-_5.97d
   jagrāhaikaṃ śaraṃ muktvā JCand_5.93c	jagrAha-ekam Saram muktvA JCand-_5.93c
   jayadevakaver giraḥ JCand_10.6d	jayadeva-kaveH giraH JCand-_10.6d
   jayanti yājñikaśrīman- JCand_10.6a	jayanti yAjQika-SrIman JCand-_10.6a
   jaya rañjaya bhañjaya JCand_5.91d	jaya raQjaya BaQjaya JCand-_5.91d
   jāgare yāmikāḥ karāḥ JCand_2.11d	jAgare yAmikAH karAH JCand-_2.11d
   jāgradbhāsurapadmakeśarayaśaḥśītāṃśur asmād budhāḥ JCand_1.3d	jAgrat-BAsura-padma-keSara-yaSaH-SItAMSuH asmAt buDAH JCand-_1.3d
   jātā cet prāk prabhā bhānos JCand_5.56c	jAtA ced prAk praBA BAnoH JCand-_5.56c
   jātyā guṇena kriyayā JCand_10.2a	jAtyA guNena kriyayA JCand-_10.2a
   jātyādiṣu ca varṇanam JCand_5.111b	jAti-Adizu ca varNanam JCand-_5.111b
   jito 'si manda kandarpa JCand_5.38c	jitaH asi manda kandarpa JCand-_5.38c
   jugupsāmaṅgalātmanā JCand_2.8b	jugupsA-maFgala-AtmanA JCand-_2.8b
   jaitranetrānugau karṇāv JCand_5.98c	jEtra-netra-anugO karNO JCand-_5.98c
   jñātur anyasya ceṣṭitam JCand_5.108b	jQAtuH anyasya cezwitam JCand-_5.108b
   jyāṃ śarāś ca parāś ca te JCand_5.41d	jyAm SarAH ca parAH ca te JCand-_5.41d
   jyotiḥ stomodgamaṃ stumaḥ JCand_1.4b	jyotiH stoma-udgamam stumaH JCand-_1.4b
   jvaraḥ kiṃ na sakhi smaraḥ JCand_5.26d	jvaraH kim na saKi smaraH JCand-_5.26d
   ṭavargāt pañcamād ṛte JCand_6.24b	wavargAt paQcamAt Rte JCand-_6.24b
   ḍitthaḥ kaṃsa iti kramāt JCand_10.3b	xitTaH kaMsaH iti kramAt JCand-_10.3b
   tacchaktatvāvakalpanam JCand_5.47b	tad-Sakta-tva-avakalpanam JCand-_5.47b
   taṭasthatvād api dvidhā JCand_9.4b	tawa-sTa-tvAt api dviDA JCand-_9.4b
   taṭasthaṃ maṅgalodayaḥ JCand_9.7b	tawa-sTam maFgala-udayaH JCand-_9.7b
   tatpuṣpais te samaṃ yaśaḥ JCand_5.48f	tad-puzpEH te samam yaSaH JCand-_5.48f
   tatra rūpakam iṣyate JCand_5.18d	tatra rUpakam izyate JCand-_5.18d
   tatrāsau sutarā sarit JCand_5.107d	tatra-asO sutarA sarit JCand-_5.107d
   tathākārapratītitaḥ JCand_9.8d	taTA-AkAra-pratItitaH JCand-_9.8d
   tathā maraṇam eva ca JCand_6.17d	taTA maraNam eva ca JCand-_6.17d
   tathā vācyasya siddhyaṅgaṃ JCand_8.5a	taTA vAcyasya sidDi-aFgam JCand-_8.5a
   tathā sahacarācāru- JCand_2.37a	taTA sahacarAcAru JCand-_2.37a
   tathā sahetur atathā- JCand_9.15a	taTA sa-hetuH ataTA JCand-_9.15a
   tathā saṃsṛṣṭisaṃkarau JCand_5.118b	taTA saMsRzwi-saMkarO JCand-_5.118b
   tathāsūyāmadaśramāḥ JCand_6.15b	taTA-asUyA-mada-SramAH JCand-_6.15b
   tathā syāt pūrvarūpatā JCand_5.103b	taTA syAt pUrvarUpa-tA JCand-_5.103b
   tathyāpāstir apahnutiḥ JCand_5.24b	taTyA-apAstiH apahnutiH JCand-_5.24b
   tad abhāgyaṃ dhanasyaiva JCand_5.100c	tat aBAgyam Danasya-eva JCand-_5.100c
   tadabhāve 'pi tadvacaḥ JCand_5.44b	tad-aBAve api tad-vacaH JCand-_5.44b
   tad arvācīnabhedeṣu JCand_5.124c	tat arvAcIna-Bedezu JCand-_5.124c
   tadā matā matimatāṃ JCand_5.5c	tadA matAH matimatAm JCand-_5.5c
   tad evālaṃkṛtitrayam JCand_5.31b	tat eva-alaMkRti-trayam JCand-_5.31b
   tadguṇaḥ svaguṇatyāgād JCand_5.101a	tad-guNaH sva-guNa-tyAgAt JCand-_5.101a
   tad dhūrjaṭikirīṭinoḥ JCand_5.114d	tat DUrjawi-kirIwinoH JCand-_5.114d
   tad vācyavyaṅgyam iṣyate JCand_7.17d	tat vAci-avyaFgyam izyate JCand-_7.17d
   tadvyūho 'rthasamāptitaḥ JCand_1.13d	tat-vyUhaH arTa-samAptitaH JCand-_1.13d
   tanmiśro 'nyonyasāmānya- JCand_1.12a	tat-miSraH anyonya-sAmAnya JCand-_1.12a
   tan mṛṣṭā daivadurlipiḥ JCand_5.56b	tat mRzwA dEva-durlipiH JCand-_5.56b
   tanvaṅgīstanayoriva JCand_5.11d	tanvaFgI-stanayoH-iva JCand-_5.11d
   tamaś chindanti tatkarāḥ JCand_5.84d	tamaH Cindanti tad-karAH JCand-_5.84d
   taraṅgayati yaḥ sadā JCand_2.34b	taraFgayati yaH sadA JCand-_2.34b
   taranti vyādhivāridhīn JCand_8.5d	taranti vyADi-vAriDIn JCand-_8.5d
   taruṇī smaratoraṇam JCand_6.27b	taruNI smara-toraNam JCand-_6.27b
   tarkakarkaśapūrṇokti- JCand_6.27c	tarka-karkaSa-pUrNa-ukti JCand-_6.27c
   tarhi yātā vibhāvarī JCand_5.56d	tarhi yAtA viBAvarI JCand-_5.56d
   tava dāsyāmi kañcukam JCand_2.33b	tava dAsyAmi kaQcukam JCand-_2.33b
   tava dugdhābdhisaṃbhūteḥ JCand_2.43a	tava dugDa-abDi-saMBUteH JCand-_2.43a
   tasmāt tasmāt kaver vacaḥ JCand_5.90d	tasmAt tasmAt kaveH vacaH JCand-_5.90d
   taṃ pūrvācāryasūryokti- JCand_1.4a	tam pUrva-AcArya-sUrya-ukti JCand-_1.4a
   tāpaṃ tanoti sotkampaṃ JCand_5.26c	tApam tanoti sa-utkampam JCand-_5.26c
   tāpaṃ haratu vaḥ śivaḥ JCand_5.39d	tApam haratu vaH SivaH JCand-_5.39d
   tāpena bhrājate sūraḥ JCand_5.54c	tApena BrAjate sUraH JCand-_5.54c
   tāvad abhyudito raviḥ JCand_5.49d	tAvat aByuditaH raviH JCand-_5.49d
   tāvan nirvāṇa eva saḥ JCand_5.50d	tAvat nirvANaH eva saH JCand-_5.50d
   tilakādyam iva strīṇāṃ JCand_4.11a	tilaka-Adyam iva strINAm JCand-_4.11a
   tulyatā tulyayogitā JCand_5.51b	tulya-tA tulyayogitA JCand-_5.51b
   tulyatve dīpakaṃ matam JCand_5.52b	tulya-tve dIpakam matam JCand-_5.52b
   tulyaprādhānyam indutvam JCand_8.8a	tulya-prADAnyam indu-tvam JCand-_8.8a
   tṛṇāny aṅkurayāmāsa JCand_5.69c	tRNAni aFkurayAmAsa JCand-_5.69c
   tṛtīyas tenāsau sukavijayadevena racite JCand_3.12c	tRtIyaH tena-asO su-kavi-jaya-devena racite JCand-_3.12c
   te ca bhrāntisphuratkānti- JCand_1.11c	te ca BrAnti-sPurat-kAnti JCand-_1.11c
   te ca vṛkṣādibhūvādi- JCand_1.10c	te ca vRkza-Adi-BUva-Adi JCand-_1.10c
   tena tvayi kṛtā sthitiḥ JCand_5.88d	tena tvayi kRtA sTitiH JCand-_5.88d
   teṣv ādyam ucyate śloka- JCand_5.9c	tezu Adyam ucyate Sloka JCand-_5.9c
   te syur vākyapadāśrayāt JCand_7.11b	te syuH vAkya-pada-ASrayAt JCand-_7.11b
   tair eva kusumāyudhaḥ JCand_5.85d	tEH eva kusumAyuDaH JCand-_5.85d
   tyaktahāram uraḥkṛtvā JCand_2.28c	tyakta-hAram uraH-kRtvA JCand-_2.28c
   tyāgena vipulaṃ yaśaḥ JCand_5.86d	tyAgena vipulam yaSaH JCand-_5.86d
   tyājyaṃ hīti nirarthakam JCand_2.44d	tyAjyam hi-iti nirarTakam JCand-_2.44d
   trayastriṃśad ime bhāvāḥ JCand_6.18c	trayastriMSat ime BAvAH JCand-_6.18c
   trayo doṣāḥ kramād amī JCand_2.32b	trayaH dozAH kramAt amI JCand-_2.32b
   trāsaś caiva vitarkaś ca JCand_6.18a	trAsaH ca-eva vitarkaH ca JCand-_6.18a
   tridhā śabdārthatadyugma- JCand_7.5a	triDA Sabda-arTa-tad-yugma JCand-_7.5a
   triyāmā śaśinā bhāti JCand_5.83c	triyAmA SaSinA BAti JCand-_5.83c
   tvadasiḥ kośam āviśat JCand_4.7d	tvadasiH koSam AviSat JCand-_4.7d
   tvadbhaktaḥ kṛṣṇa! gaccheyaṃ JCand_2.32c	tvad-BaktaH kRzNa! gacCeyam JCand-_2.32c
   tvadbhaktānāṃ namaty aṅgaṃ JCand_5.78c	tvad-BaktAnAm namati aFgam JCand-_5.78c
   tvannetrayugalaṃ dhatte JCand_5.15c	tvad-netra-yugalam Datte JCand-_5.15c
   tvanmukhaśrīkṛte nūnaṃ JCand_5.29c	tvad-muKa-SrI-kRte nUnam JCand-_5.29c
   tvanmukhaṃ veda paṅkajam JCand_5.32b	tvad-muKam veda paFkajam JCand-_5.32b
   tvayi dātari rājendra JCand_5.115c	tvayi dAtari rAja-indra JCand-_5.115c
   tvaṃ balair jaladhir jalaiḥ JCand_3.8d	tvam balEH jalaDiH jalEH JCand-_3.8d
   tvaṃ vasan hṛdaye tasyāḥ JCand_5.113c	tvam vasan hRdaye tasyAH JCand-_5.113c
   tvām anabhyarcya devatāḥ JCand_2.27d	tvAm anaByarcya devatAH JCand-_2.27d
   dadhadādyam avācakam JCand_2.6d	daDadAdyam avAcakam JCand-_2.6d
   dadhāneṣv api sāmyatām JCand_5.123b	daDAnezu api sAmyatAm JCand-_5.123b
   dadhāra gaurī hṛdaye JCand_2.44a	daDAra gOrI hRdaye JCand-_2.44a
   darśanaṃ bhāvikacchaviḥ JCand_5.113b	darSanam BAvika=-CaviH JCand-_5.113b
   daśaty asilatāphaṇī JCand_2.18d	daSati asi-latA-PaNI JCand-_2.18d
   dātā devaś caturbhujaḥ JCand_5.40d	dAtA devaH catur-BujaH JCand-_5.40d
   digantam agamad yasya JCand_5.59c	diS-antam agamat yasya JCand-_5.59c
   dīpakaikāvalīyogān JCand_5.88a	dIpaka-eka-AvalI-yogAn JCand-_5.88a
   dīpam uddyotayed yāvat JCand_5.49c	dIpam uddyotayet yAvat JCand-_5.49c
   dīpam uddyotayed yāvat JCand_5.50c	dIpam uddyotayet yAvat JCand-_5.50c
   dīpe nirvāpite hy āsīt JCand_5.103c	dIpe nirvApite hi AsIt JCand-_5.103c
   dīptyāgnir bhāti bhātīnduḥ JCand_5.53c	dIptyA-agniH BAti BAti-induH JCand-_5.53c
   durdharṣāḥ kṣmādharā iva JCand_5.68d	durDarzAH kzmA-aDarAH iva JCand-_5.68d
   duṣkaraṃ kiṃ mahātmanām JCand_5.67d	duzkaram kim mahAtmanAm JCand-_5.67d
   duṣkramagrāmyasandigdhās JCand_2.32a	duzkramagrAmya-sandigDAH JCand-_2.32a
   dṛśyaṃ sādṛśyarūpakam JCand_5.20b	dRSyam sAdRSya-rUpakam JCand-_5.20b
   dṛṣṭaṃ ced vadanaṃ tasyāḥ JCand_5.99c	dRzwam ced vadanam tasyAH JCand-_5.99c
   dṛṣṭāntaś ced bhavanmūrtis JCand_5.56a	dRzwAntaH ced Bavat-mUrtiH JCand-_5.56a
   dṛṣṭāntas tadalaṃkṛtiḥ JCand_5.55b	dRzwAntaH tad-alaMkRtiH JCand-_5.55b
   devaṃ himakarāṅkitam JCand_2.44b	devam himakara-aFkitam JCand-_2.44b
   devety āmantraṇaṃ yathā JCand_1.15b	deva-iti AmantraNam yaTA JCand-_1.15b
   deśātmaviprakṛṣṭasya JCand_5.113a	deSa-Atma-viprakRzwasya JCand-_5.113a
   dairghyādyutpalayoriva JCand_8.7b	dErGya-Adi-utpalayoH-iva JCand-_8.7b
   doṣatvaṃ vā nirasyati JCand_2.41b	doza-tvam vA nirasyati JCand-_2.41b
   doṣam āpatitaṃ svānte JCand_2.40a	dozam Apatitam svAnte JCand-_2.40a
   doṣam udghoṣayanti tam JCand_2.1d	dozam udGozayanti tam JCand-_2.1d
   doṣāṅkuśam uśanti tam JCand_2.40d	doza-aFkuSam uSanti tam JCand-_2.40d
   doṣān śabdārthasaṃbhavān JCand_2.39d	dozAn Sabda-arTa-saMBavAn JCand-_2.39d
   doṣe guṇatvaṃ tanute JCand_2.41a	doze guNa-tvam tanute JCand-_2.41a
   doṣo hy anyatra varṇyate JCand_5.100b	dozaH hi anyatra varNyate JCand-_5.100b
   dvayīsajjanarañjikā JCand_5.9d	dvayI-sajjana-raQjikA JCand-_5.9d
   dvayor api vidheyatā JCand_5.17b	dvayoH api viDeya-tA JCand-_5.17b
   dvātriṃśad dvādaśaikaḥ ṣaṭ JCand_7.12a	dvAtriMSat dvAdaSa-ekaH zaw JCand-_7.12a
   dvitīyas tenāsau sukavijayadevena racite JCand_2.45c	dvitIyaH tena-asO su-kavi-jaya-devena racite JCand-_2.45c
   dvidhā svāṅkuritaṃ matam JCand_7.15d	dviDA sva-aFkuritam matam JCand-_7.15d
   dviṣāṃ sampadam ācchidya JCand_2.24a	dvizAm sampadam AcCidya JCand-_2.24a
   dve cānye iti ṣaḍvidhā JCand_9.13b	dve ca-anye iti zaxviDA JCand-_9.13b
   dvau bhedau vācyam eva cet JCand_7.3b	dvO BedO vAcyam eva ced JCand-_7.3b
   dvau vivakṣitavācyasya JCand_7.4a	dvO vivakzita-vAcyasya JCand-_7.4a
   dhatte candrakalātulām JCand_2.35d	Datte candra-kalA-tulAm JCand-_2.35d
   dhatte nabhastalaṃ bhāsvān JCand_2.7a	Datte naBastalam BAsvAn JCand-_2.7a
   dharmamātraṃ niṣidhyate JCand_5.25b	Darma-mAtram niziDyate JCand-_5.25b
   dharmaṃ kaṃcit puraskṛtya JCand_10.1a	Darmam kaMcid puraskRtya JCand-_10.1a
   dharmo 'rtha iva pūrṇaśrīr JCand_5.13c	DarmaH arTaH iva pUrNa-SrIH JCand-_5.13c
   dhūmavattvād iti yathā JCand_1.15a	DUmavat-tvAt iti yaTA JCand-_1.15a
   dhṛṣṭodyanmadanāśanārcir amalā lokatrayīdarśikā JCand_1.1c	DRzwa-udyan-madana-aSanA-arciH amalA lokatrayI-darSikA JCand-_1.1c
   dhvaṃsaṃ hastayate ca yā sumanasām ullāsinī mānase JCand_1.1b	DvaMsam hastayate ca yA sumanasAm ullAsinI mAnase JCand-_1.1b
   dhvāṅkṣāḥ santaś ca tanayaṃ JCand_2.37c	DvAFkzAH santaH ca tanayam JCand-_2.37c
   na ced abhimato 'nvayaḥ JCand_2.23b	na ced aBimataH anvayaH JCand-_2.23b
   nadyāṃ yānti patatriṇaḥ JCand_2.9b	nadyAm yAnti patatriNaH JCand-_2.9b
   'nante pulakakaṇṭakaiḥ JCand_4.2b	anante pulaka-kaNwakEH JCand-_4.2b
   nabhaḥpuṣpasrajaṃ vaha JCand_3.7d	naBaH-puzpa-srajam vaha JCand-_3.7d
   namantam api dhīmantaṃ JCand_5.77c	namantam api DImantam JCand-_5.77c
   namanti santas trailokyād JCand_5.81c	namanti santaH trElokyAt JCand-_5.81c
   na mām aṅgada jānāsi JCand_2.15c	na mAm aFgada jAnAsi JCand-_2.15c
   nayaty atyājyatāmasau JCand_2.41d	nayati atyAjyatAm-asO JCand-_2.41d
   na yuddhena bhruvoḥ spande- JCand_3.5c	na yudDena BruvoH spande JCand-_3.5c
   nayena śrīḥ śriyā tyāgas JCand_5.86c	nayena SrIH SriyA tyAgaH JCand-_5.86c
   na yogāder āyatanaṃ JCand_10.4a	na yoga-AdeH Ayatanam JCand-_10.4a
   narakaṃ svargam eva vā JCand_2.32d	narakam svargam eva vA JCand-_2.32d
   naraṃ ca kaṃ samāśritam JCand_10.3d	naram ca kam samASritam JCand-_10.3d
   na laṅghayati kaścana JCand_5.77d	na laFGayati kaScana JCand-_5.77d
   navas tvaṃ nīradaḥ ko 'pi JCand_3.9c	navaH tvam nIradaH kaH api JCand-_3.9c
   na viśeṣo viśeṣaṇāt JCand_2.29b	na viSezaH viSezaNAt JCand-_2.29b
   naśyanti paścāt paśyanti JCand_5.96c	naSyanti paScAt paSyanti JCand-_5.96c
   na saṅketaniketanam JCand_10.4b	na saFketa-niketanam JCand-_10.4b
   nānāprabhedā niyatā JCand_7.17a	nAnA-praBedAH niyatA JCand-_7.17a
   nāmnaḥ satyaṃ tathānṛtam JCand_3.6b	nAmnaH satyam taTA-anRtam JCand-_3.6b
   nāmnāṃ nāmnāya iṣyatām JCand_5.124d	nAmnAm nAmnA-ayaH izyatAm JCand-_5.124d
   nāyaṃ sudhāṃśuḥ kiṃ tarhi JCand_5.24c	na-ayam suDAMSuH kim tarhi JCand-_5.24c
   nāyaṃ sudhāṃśuḥ kiṃ tarhi JCand_5.25c	na-ayam suDAMSuH kim tarhi JCand-_5.25c
   nāyodhyeva purī priyā JCand_5.63d	na-ayoDyA-iva purI priyA JCand-_5.63d
   nālaṅkārāntarāṇy amī JCand_5.118d	na-alaFkAra-antarANi amI JCand-_5.118d
   nāśaṅkanīyam eteṣāṃ JCand_1.5a	na-aSaFkanIyam etezAm JCand-_1.5a
   nidrāpasmāra eva ca JCand_6.16d	nidrA-apasmAraH eva ca JCand-_6.16d
   nirarthakaṃ tuhītyādi JCand_2.6a	nirarTakam tuhi-ityAdi JCand-_2.6a
   niruktaṃ syān nirvacanaṃ JCand_3.6a	niruktam syAt nirvacanam JCand-_3.6a
   nirdeśena tathā prāhuḥ JCand_10.2c	nirdeSena taTA prAhuH JCand-_10.2c
   nirdoṣā lakṣaṇavatī JCand_1.7a	nirdozA lakzaNavatI JCand-_1.7a
   niryānti smaranārācāḥ JCand_5.28c	niryAnti smara-nArAcAH JCand-_5.28c
   nirvāhaḥ prauḍhir aucitī JCand_4.12b	nirvAhaH prOXiH OcitI JCand-_4.12b
   nirvedaglāniśaṅkākhyās JCand_6.15a	nirveda-glAni-SaFkA-AKyAH JCand-_6.15a
   nirvedasthāyikaḥ śāntaḥ JCand_6.13a	nirveda-sTAyikaH SAntaH JCand-_6.13a
   nivārayati yas tredhā JCand_2.40c	nivArayati yaH treDA JCand-_2.40c
   niṣedhe cāsphuṭe sati JCand_5.72b	nizeDe ca-asPuwe sati JCand-_5.72b
   nihatārthaṃ lohitādau JCand_2.4c	nihata-arTam lohita-AdO JCand-_2.4c
   nihnavaḥ syād anekadhā JCand_7.16b	nihnavaH syAt anekaDA JCand-_7.16b
   niḥsaranti śitāḥ śarāḥ JCand_5.46d	niHsaranti SitAH SarAH JCand-_5.46d
   nīradhiḥ paṅkajaṃ saudhaḥ JCand_1.12c	nIraDiH paFkajam sODaH JCand-_1.12c
   'nuguṇaḥ parasannidheḥ JCand_5.105b	anuguNaH para-sanniDeH JCand-_5.105b
   'nuṣaktārthāntarābhidhā JCand_5.67b	anuzakta-arTa-antara-aBiDA JCand-_5.67b
