   Mahāyānasūtrālaṃkāraḥ	MahAyAna sUtra alaMkAraH
   śrāvakāṇāṃ vibhutvena laukikasyābhibhūyate /	SrAvakANAm viBu tvena lOkikasya aBiBUyate /
   pratyekabuddhebhyo manaḥ[buddhabhaumena] śrāvakasyābhibhūyate // MSA_9.38	pratyekabudDeByaH manaH[ budDa BOmena] SrAvakasya aBiBUyate // MSAH _9.38
   bodhisattvavibhutvasya tatkalāṃ nānugacchati /	boDisattva viBu tvasya tad kalAm na anugacCati /
   tathāgatavibhutvasya tatkalāṃ nānugacchati // MSA_9.39 //	taTAgata viBu tvasya tad kalAm na anugacCati // MSAH _9.39 //
   aprameyamacintyaṃ ca vibhutvaṃ bauddhamiṣyate /	aprameyam acintyam ca viBu tvam bOdDam izyate /
   yasya yatra yathā yāvatkāle yasminpravartate // MSA_9.40 //	yasya yatra yaTA yAvat kAle yasmin pravartate // MSAH _9.40 //
   pañcendriyaparāvṛttau vibhutvaṃ labhyate param /	paQca indriya parAvRttO viBu tvam laByate param /
   sarvārthavṛttau sarveṣāṃ gunadvādaśaśatodaye // MSA_9.41 //	sarva arTa vRttO sarvezAm guna dvAdaSa Sata udaye // MSAH _9.41 //
   manaso 'pi parāvṛttau vibhutvaṃ labhyate param /	manasaH api parAvRttO viBu tvam laByate param /
   vibhutvānucare jñāne nirvikalpe sunirmale // MSA_9.42 //	viBu tva anucare jQAne nirvikalpe su nirmale // MSAH _9.42 //
   sārthodgrahaparāvṛttau vibhutvaṃ labhyate param /	sArTa udgraha parAvRttO viBu tvam laByate param /
   kṣetraśuddhau yathākāmaṃ bhogasaṃdarśanāya hi // MSA_9.43 //	kzetra SudDO yaTAkAmam Boga saMdarSanAya hi // MSAH _9.43 //
   vikalpasya parāvṛttau vibhutvaṃ labhyate param /	vikalpasya parAvRttO viBu tvam laByate param /
   avyāghāte sadākālaṃ sarveṣāṃ jñānakarmaṇām // MSA_9.44 //	avyAGAte sadA kAlam sarvezAm jQAna karmaNAm // MSAH _9.44 //
   pratiṣṭhāyāḥ parāvṛttau vibhutvaṃ labhyate param /	pratizWAyAH parAvRttO viBu tvam laByate param /
   apratiṣṭhitanirvāṇaṃ buddhānāmacale[male]pade // MSA_9.45 //	apratizWita nirvANam budDAnAm acale[male]pade // MSAH _9.45 //
   maithunasya parāvṛttau vibhutvaṃ labhyate param /	mETunasya parAvRttO viBu tvam laByate param /
   buddhasaukhyabihāre 'tha dārā'saṃkleśadarśane // MSA_9.46 //	budDa sOKya bihAre aTa dArA asaMkleSa darSane // MSAH _9.46 //
   ākāśasaṃjñāvyāvṛttau vibhutvaṃ labhyate param /	AkASa saMjQA vyAvRttO viBu tvam laByate param /
   cintitārthasamṛddhau ca gatirūpavibhāvane // MSA_9.47 //	cintita arTa samRdDO ca gati rUpa viBAvane // MSAH _9.47 //
   ityemeyaparāvṛttāvameyavibhutā matā /	iti emeya parAvRtta avameya viBu tA matA /
   acintyakṛtyānuṣṭhānādbuddhānāmamalāśraye // MSA_9.48 //	acintya kRtya anuzWAnAt budDAnAm amala ASraye // MSAH _9.48 //
   śubhe vṛddho loko vrajati suviśuddhau paramatāṃ śubhe cānārabdhvā vrajati	SuBe vRdDaH lokaH vrajati su viSudDO parama tAm SuBe ca anArabDvA vrajati
   śubhavṛddhau paramatām /	SuBa vRdDO parama tAm /
   vrajatyevaṃ loko diśi diśi jinānāṃ sukathitair apakvaḥ pakvo vā [na]ca	vrajati evam lokaH diSi diSi jinAnAm su kaTitEH apakvaH pakvaH vE [na]ca
   punaraśeṣaṃ dhruvamiha // MSA_9.49 //	punar aSezam Druvam iha // MSAH _9.49 //
   tathā kṛtvā caryāṃ [kṛcchrāvāpyāṃ] paramaguṇayogādbhutavartī mahābodhiṃ	taTA kRtvA caryAm [kRcCrOvApya an] parama guNa yoga adButa vartI mahAboDim
   nityāṃ dhruvamaśaraṇānāṃ ca śaraṇam /	nityAm Druvam aSaraNAnAm ca SaraNam /
   labhante yaddhīrā [diśi diśi] gasadā [sadā]sarvasamayaṃ tadāścaryaṃ loke	laBante yat DIrA [diSi diSi] gasadA [sadA] sarva samayam tat AScaryam loke
   suvidhacaraṇānnādbhutamapi // MSA_9.50 //	suviDa caraNAt na adButam api // MSAH _9.50 //
   kvaciddharmāñcakaṃ [dharmyaṃ cakraṃ] bahumukhaśatairdarśayati yaḥ	kvacid DarmAQcakam [Darmyam cakraM] bahu muKa SatEH darSayati yaH
   kvacijjanmāntardhiṃ kvacidapi vicitrāṃ janacarīm /	kvacid janma antarDim kvacid api vicitrAm janacarIm /
   kvacitkṛtsnāṃ bodhiṃ kvacidapi ca nirvāṇamasakṛt na ca	kvacid kRtsnAm boDim kvacid api ca nirvANam asakRt na ca
   sthānāttasmādvicalati sa sarvaṃ ca kurute // MSA_9.51 //	sTAnAt tasmAt vicalati sa sarvam ca kurute // MSAH _9.51 //
   na buddhānāmevaṃ bhavati mamapakvo 'yamiti cāprapācyo 'yaṃ dehī api ca	na budDAnAm evam Bavati mama pakvaH ayam iti ca aprapAcyaH ayam dehI api ca
   adhunāpācyata iti /	aDunA apAcyate iti /
   vinā saṃskāraṃ tu prapacamupayātyeva janatā śubhairdharmairnityaṃ diśi	vinA saMskAram tu prapacam upayAti eva janatA SuBEH DarmEH nityam diSi
   diśiḥ samantāttrayamukham // MSA_9.52 //	diSiH samantAt traya muKam // MSAH _9.52 //
   yathāyatnaṃ bhānuḥ pratataviṣadairaṃśavisaraiḥ prapāka[kaṃ] sasyānāṃ diśi	yaTAyatnam BAnuH pratata vizadEH aMSa visarEH prapAka[kaM] sasyAnAm diSi
   [diśi] samantātprakurūte /	[diSi] samantAt prakurUte /
   tathā dharmārko 'pi praśamavidhidharmāṃśuvisaraiḥ prapākaṃ sasyānāṃ diśi	taTA Darma arkaH api praSama viDi Darma aMSu visarEH prapAkam sasyAnAm diSi
   diśi samantātprakurūte // MSA_9.53 //	diSi samantAt prakurUte // MSAH _9.53 //
   yathaikasmāddīpādbhavati sumahāndīpanicayo 'prameyo 'saṃkhyeyo na ca sa	yaTA ekasmAt dIpAt Bavati su mahAn dIpa nicayaH aprameyaH asaMKyeyaH na ca sa
   punareti vyayamataḥ /	punar eti vyayam atas /
   tathaikasmād buddhād [pākā]bhavati sumahān paripāka[pāka]nicayo 'prameyo	taTA ekasmAt budDAt [pAkA] Bavati su mahAn paripAka[pAka] nicayaH aprameyaH 
   'saṃkhyeyo na ca punareti[punarupaiti] vyayamataḥ // MSA_9.54 //	asaMKyeyaH na ca punar eti[ punar upEti] vyayam atas // MSAH _9.54 //
   yathā toyaistṛptiṃ vrajati na mahāsāgara iva na vṛddhiṃ vā yāti	yaTA toyEH tRptim vrajati na mahAsAgaraH iva na vRdDim vA yAti
   pratataviṣadāmbu praviśanaiḥ /	pratata vizada ambu praviSanEH /
   tathā bauddhau dhātuḥ satatasamitaiḥ śuddhiviśanair natṛptiṃ vṛddhiṃ vā	taTA bOdDO DAtuH satata samitEH SudDi viSanEH na tRptim vRdDim vA
   vrajati paramāścaryamiha tat // MSA_9.55 //	vrajati parama AScaryam iha tat // MSAH _9.55 //
   sarvadharmadvayāvāratathatāśuddhilakṣaṇaḥ /	sarva Darma dvaya AvAra taTatA SudDi lakzaNaH /
   vastujñānatadālambavaśitākṣayalakṣaṇaḥ // MSA_9.56 //	vastu jQAna tad Alamba vaSitA kzaya lakzaNaH // MSAH _9.56 //
   kleśajñeyāvaraṇadvayātsarvadharmatathatāviśuddhilakṣaṇaśca	kleSa jQeya AvaraNa dvayAt sarva Darma taTatA viSudDi lakzaNaH ca
   vastutadālambanajñānayorakṣayavaśitā lakṣaṇaśca /	vastu tad Alambana jQAnayoH akzaya vaSitAH lakzaNaH ca /
   sarvatastathatājñānabhāvanā samudāgamaḥ	sarvatas taTatA jQAna BAvanA samudAgamaH
   sarvasatvadvayādhānasarvathā'kṣayatā phalam // MSA_9.57 //	sarva satva dvaya ADAna sarvaTA akzaya tA Palam // MSAH _9.57 //
   kāyavākcittanirmāṇaprayogopāyakarmakaḥ /	kAya vAc citta nirmANa prayogopAya karmakaH /
   samādhidhāraṇīdvāradvayāmeyasamanvitaḥ // MSA_9.58 //	samADi DAraNI dvAra dvaya Ameya samanvitaH // MSAH _9.58 //
   svabhāvadharmasaṃbhoganirmāṇairbhinnavṛttikaḥ /	svaBAva Darma saMBoga nirmANEH Binna vRttikaH /
   dharmadhāturviśuddho 'yaṃ buddhānāṃ samudāhṛtaḥ // MSA_9.59 //	DarmaDAtuH viSudDaH ayam budDAnAm samudAhRtaH // MSAH _9.59 //
   svābhāviko 'tha sāṃbhogyaḥ kāyo nairmāṇiko 'paraḥ /	svABAvikaH aTa sAMBogyaH kAyaH nErmANikaH aparaH /
   kāyabhedā hi buddhānāṃ prathamastu dvayāśrayaḥ // MSA_9.60 //	kAya BedAH hi budDAnAm praTamaH tu dvaya ASrayaH // MSAH _9.60 //
   sarvadhātuṣu sāṃbhogyo bhitro gaṇaparigrahaiḥ /	sarva DAtuzu sAMBogyaH Bitro gaNa parigrahEH /
   kṣetraiśca nāmabhiḥ kāyairdharmasaṃbhogaceṣṭitaiḥ // MSA_9.61 //	kzetrEH ca nAmaBiH kAyEH Darma saMBoga cezwitEH // MSAH _9.61 //
   samaḥ sūkṣmaśca tacchiṣṭaḥ[cchliṣṭaḥ] kāyaḥ svābhāviko mataḥ /	samaH sUkzmaH ca tat SizwaH[t SlizwaH] kAyaH svABAvikaH mataH /
   saṃbhogavibhutāheturyatheṣṭaṃ bhogadarśane // MSA_9.62 //	saMBoga viBu tA hetuH yaTezwam Boga darSane // MSAH _9.62 //
   ameyaṃ buddhanirmāṇaṃ kāyo nairmāṇiko mataḥ /	ameyam budDa nirmANam kAyaH nErmANikaH mataH /
   dvayordvayārthasaṃpattiḥ sarvākārā pratiṣṭhitā // MSA_9.63 //	dvayoH dvaya arTa saMpattiH sarva AkArA pratizWitAH // MSAH _9.63 //
   śilpajanmamahābodhisadānirvāṇadarśanaiḥ /	Silpa janma mahA boDisadA nirvANa darSanEH /
   buddhanirmāṇakāyo 'yaṃ mahāmāyo[mahopāyo] vimocane // MSA_9.64 //	budDa nirmANa kAyaH ayam mahAmAyA u[mahA upAyo] vimocane // MSAH _9.64 //
   tribhiḥ kāyaistu vijñeyo buddhānāṃ kāyasaṃgrahaḥ /	triBiH kAyEH tu vijQeyaH budDAnAm kAya saMgrahaH /
   sāśrayaḥ svaparārtho yastribhiḥ kāyairnirdarśitaḥ // MSA_9.65 //	sa ASrayaH sva para arTaH yaH triBiH kAyEH nirdarSitaH // MSAH _9.65 //
   āśrayeṇāśayenāpi karmaṇā te samā matāḥ /	ASrayeNa ASayena api karmaNA te samAH matAH /
   prakṛtyā 'sraṃsanenāpi prabandhenaiṣu nityatā // MSA_9.66 //	prakRtyA asraMsanena api prabanDena ezu nityatA // MSAH _9.66 //
   ādarśajñānamacalaṃ trayajñānaṃ tadāśritam /	AdarSa jQAnam acalam traya jQAnam tad ASritam /
   samatāpratyavekṣāyāṃ kṛtyānuṣṭhāna eva ca // MSA_9.67 //	samatA pratyavekzAyAm kRtya anuzWAnaH eva ca // MSAH _9.67 //
   ādarśajñānamamamāparicchinnaṃ sadānugam /	AdarSa jQAnam amama aparicCinnam sadA anugam /
   sarvajñeyeṣvasaṃmūḍhaṃ na ca teṣvāmukhaṃ sadā // MSA_9.68 //	sarvajQeyezu asaMmUXam na ca tezu AmuKam sadA // MSAH _9.68 //
   sarvajñānanimittatvānmahājñānākaropamam /	sarva jQAna nimitta tvAt mahA jQAna Akara upamam /
   saṃbhogabuddhatā jñānapratibimbodayācca tat // MSA_9.69 //	saMBoga budDa tA jQAna pratibimba udayAt ca tat // MSAH _9.69 //
   sattveṣu samatājñānaṃ bhāvanāśuddhito 'malaṃ [matam] /	sattvezu samatA jQAnam BAvanA SudDitaH amalam [matam] /
   apratiṣṭhasa[śa]māviṣṭaṃ samatājñānamiṣyate // MSA_9.70 //	apratizWasa[ Sa]m a Avizwam samatA ajQAnam izyate // MSAH _9.70 //
   mahāmaitrīkṛpābhyāṃ ca sarvakālānugaṃ matam /	mahAmEtrI kRpAByAm ca sarva kAla anugam matam /
   yathādhimokṣaṃ satvānāṃ buddhabimbanidarśakam // MSA_9.71 //	yaTA aDimokzam satvAnAm budDa bimba nidarSakam // MSAH _9.71 //
   pratyavekṣaṇakaṃ jñāne [naṃ]jñeyeṣvavyāhataṃ sadā /	pratyavekzaNakam jQAne [naM]jQeyezu avyAhatam sadA /
   dhāraṇīnāṃ samādhīnāṃ nidhānopamameva ca // MSA_9.72 //	DAraNInAm samADInAm niDAna upamam eva ca // MSAH _9.72 //
   pariṣanmaṇḍale sarvavibhūtīnāṃ nidarśakam /	parizad maNxale sarva viBUtInAm nidarSakam /
   sarvasaṃśayavicchedi mahādharmapravarṣakam // MSA_9.73 //	sarva saMSaya vicCedi mahA Darma pravarzakam // MSAH _9.73 //
   kṛtyānuṣṭhānatājñānaṃ nirmāṇaiḥ sarvadhātuṣu /	kRtya anuzWAnatA jQAnam nirmANEH sarva DAtuzu /
   citrāprameyācintyaiśca sarvasattvārthakārakam // MSA_9.74 //	citrA prameya acintyEH ca sarva sattva arTa kArakam // MSAH _9.74 //
   kṛtyaniṣpattibhirbhedaiḥ saṃkhyākṣetraiśca sarvadā /	kRtya nizpattiBiH BedEH saMKyA kzetrEH ca sarvadA /
   acintyaṃ buddhanirmāṇaṃ vijñeyaṃ tacca sarvathā // MSA_9.75 //	acintyam budDa nirmANam vijQeyam tat ca sarvaTA // MSAH _9.75 //
   dhāraṇātsamacittācca samyagdharmaprakāśanāt /	DAraNAt sama cittAt ca samyak Darma prakASanAt /
   kṛtyānuṣṭhānataścaiva caturjñānasamudbhavaḥ // MSA_9.76 //	kRtya anuzWAnataH ca eva catur jQAna samudBavaH // MSAH _9.76 //
   gotrabhedādavaiyarthyātsākalyādapyanāditaḥ /	gotra BedAt avEyarTyAt sAkalyAt api anAditaH /
   abhedānnaikabuddhatvaṃ bahutvaṃ cāmalāśraye // MSA_9.77 //	aBeda at na eka budDa tvam bahu tvam ca amala ASraye // MSAH _9.77 //
   yā 'vidyamānatā saiva paramā vidyamānatā /	yA avidyamAna tA sA eva paramA vidyamAna tA /
   sarvathā 'nupalambhaśca upalambhaḥ paro mataḥ // MSA_9.78 //	sarvaTA anupalamBaH ca upalamBaH paraH mataH // MSAH _9.78 //
   bhāvanā paramā ceṣṭā bhāvanāmavipaśyatām /	BAvanA paramA cezwAH BAvanAm avipaSyatAm /
   pratilambhaḥ paraśceṣṭaḥ pratilambhaṃ ca paśyatām // MSA_9.79 //	pratilamBaH paraH ca izwaH pratilamBam ca paSyatAm // MSAH _9.79 //
   paśyatāṃ gurutvaṃ [tāṃ] dīrghaṃ nimittaṃ vīryamātmanaḥ /	paSyatAm guru tvam [tAM] dIrGam nimittam vIryam AtmanaH /
   mānināṃ bodhisattvānāṃdu [dū]re bodhirnirūpyate // MSA_9.80 //	mAninAm boDisattvAnAMdu [dU]re boDiH nirUpyate // MSAH _9.80 //
   paśyatām, kalpanāmātraṃ sarvametadyathoditaṃ /	paSyatAm, kalpanA mAtram sarvam etat yaTA uditam /
   akalpabodhisatvānāṃ prāptā bodhirnirūpyate // MSA_9.81 //	akalpa boDisatvAnAm prAptA boDiH nirUpyate // MSAH _9.81 //
   bhinnāśrayā bhinnajalāśca nadyaḥ alpodakāḥ kṛtyapṛthaktvakāryāḥ /	Binna ASrayAH Binna jalAH ca nadyaH alpa udakAH kRtya pRTaktva kAryAH /
   jalāśritaprāṇitanūpabhogyā bhavanti pātālamasaṃpraviṣṭāḥ // MSA_9.82 //	jala ASrita prANita nUpa BogyAH Bavanti pAtAlam asaMpravizwAH // MSAH _9.82 //
   samudraviṣṭāśca bhavanti sarvā ekāśrayā ekamahājalāśca /	samudra vizwAH ca Bavanti sarvAH eka ASrayAH eka mahA jalAH ca /
   miśraikakāryāśca mahopabhogyā jalāśritaprāṇigaṇasya nityam // MSA_9.83 //	miSra eka kAryAH ca mahA upaBogyA jala ASrita prANi gaNasya nityam // MSAH _9.83 //
   bhinnāśrayā bhinnamatāśca dhīrāḥ svalpāvabodhāḥ pṛthagātmakṛtyāḥ /	Binna ASrayAH Binna matAH ca DIrAH su alpa avaboDAH pRTak Atma kRtyAH /
   parīttasatvārthasadopabhogyā bhavanti buddhatvamasaṃpraviṣṭāḥ // MSA_9.84	parItta satva arTa sada upaBogyAH Bavanti budDa tvam asaMpravizwAH // MSAH _9.84
   buddhatvaviṣṭāśca bhavanti sarve ekāśrayā ekamahāvabodhāḥ /	budDa tva vizwAH ca Bavanti sarve eka ASrayAH eka mahA avaboDAH /
   miśrekakāryāśca mahopabhogyāḥ sadā mahāsatvagaṇasya te hi // MSA_9.85 //	miSreka kAryAH ca mahA upaBogyAH sadA mahA satva gaNasya te hi // MSAH _9.85 //
   itinirūpamaśukladharmayogād hitasukhahetutayā ca buddhabhūmeḥ /	itinirUpam aSukla Darma yogAt hita suKa hetu tayA ca budDa BUmeH /
   śubhaparamasukhākṣayākaratvāt śubhamatirarhati bodhicittamāptum //	SuBa parama suKa akzaya Akara tvAt SuBa matiH arhati boDi cittam Aptum //
   MSA_9.86 //	MSAH _9.86 //
   mahāyānasūtrālaṃkāre bodhyadhikāro navamaḥ	mahAyAna sUtra alaMkAre boDi aDikAraH navamaH
   daśamodhikāraḥ	daSamoDi kAraH
   uddānam	uddAnam
   ādiḥ siddhiḥ śaraṇaṃ gotraṃ citte tathaiva cotpādaḥ /	AdiH sidDiH SaraNam gotram citte taTA eva ca utpAdaH /
   svaparārthastatvārthaḥ prabhāvaparipākabodhiśca // MSA_10.1 //	sva para arTaH tatva arTaH praBAva paripAka boDiH ca // MSAH _10.1 //
   jātā jātā grāhikā grāhyabhūtā mitrādāttā svātmato bhrāntikā ca /	jAtA jAtA grAhikA grAhya BUtA mitrAdAttA sva AtmataH BrAntikA ca /
   abhrāntānyā āmukhā naiva cānyā ghoṣācārā caiṣikā cekṣikā ca // MSA_10.2 //	aBrAntA anyA AmuKAH na eva ca anyA Goza AcArA ca EzikA ca IkzikA ca // MSAH _10.2 //
   hāryā kīrṇā'vyāvakīrṇā vipakṣairhīnodārā āvṛtā'nāvṛtā ca /	hAryA kIrNA avyAvakIrNA vipakzEH hIna udArA AvRtA anAvRtA ca /
   yuktā'yuktā saṃbhṛtā'saṃbhṛtā ca gāḍhaṃ viṣṭā dūragā cādhimuktiḥ //	yuktA ayuktA saMBRtA asaMBRtA ca gAXam vizwA dUra gA ca aDimuktiH //
   MSA_10.3 //	MSAH _10.3 //
   amanaskārabāhulyaṃ kauśīdyaṃ yogavibhramaḥ /	amanaskAra bAhulyam kOSIdyam yoga viBramaH /
   kumitraṃ śubhadaurbālyamayoniśomanaskriyā // MSA_10.4 //	ku mitram SuBa dOrbAlyam ayoni SomanaskriyA // MSAH _10.4 //
   pramādo 'lpaśrutatvaṃ ca śrutacintālpatuṣṭatā /	pramAdaH alpa Sruta tvam ca Sruta cintA alpa tuzwa tA /
   śamamātrābhimānaśca tathā 'parijayo mataḥ // MSA_10.5 //	Sama mAtra aBimAnaH ca taTA aparijayaH mataH // MSAH _10.5 //
   anudvegastathodvega āvṛtiścāpyayuktatā /	anudvegaH taTA udvegaH AvRtiH ca api ayukta tA /
   asaṃbhṛtiśca vijñeyā'dhimuktiparipanthatā // MSA_10.6 //	asaMBRtiH ca vijQeyA aDimukti paripanTa tA // MSAH _10.6 //
   puṇyaṃ mahadakaukṛtyaṃ saumanasyaṃ sukhaṃ mahat /	puNyam mahat akOkRtyam sOmanasyam suKam mahat /
   avipraṇāśaḥ sthairyaṃ ca viśeṣagamanaṃ tathā // MSA_10.7 //	avipraNASaH sTEryam ca viSeza gamanam taTA // MSAH _10.7 //
   dharmābhisamayaścātha svaparārthāptirūttamā /	Darma aBisamayaH ca aTa sva para arTa Aptiru uttamA /
   kṣiprābhijñatvamete hi anuśaṃsādhimuktitaḥ // MSA_10.8 //	kzipra aBijQa tvam ete hi anuSaMsA aDimuktitaH // MSAH _10.8 //
   kāmināṃ sā śvasadṛśī kūrmaprakhyā samādhinām /	kAminAm sA Sva sadRSI kUrma praKyA samADinAm /
   bhṛtyopamā svārthināṃ sā rājaprakhyā parārthinām // MSA_10.9 //	BRtya upamA sva arTinAm sA rAja praKyA para arTinAm // MSAH _10.9 //
   tathā kāmisthātṛsvaparajanakṛtyārthamudite viśeṣo vijñeyaḥ	taTA kAmi sTAtR svapara jana kRtya arTa m udite viSezaH vijQeyaH
   satatamadhimuktayā vividhayā /	satatam aDimuktayA viviDayA /
   mahāyāne tasya vidhivadiha matvā paramatāṃ bhṛśaṃ tasmin dhīraḥ satatamiha	mahAyAne tasya viDivat iha matvA parama tAm BRSam tasmin DIraH satatam iha
   tābheva vṛṇuyāt // MSA_10.10 //	tABeva vRNuyAt // MSAH _10.10 //
   manuṣa[ṣya] bhūtāḥ saṃbodhiṃ prāpnuvanti pratikṣaṇam /	manuza[zya] BUtAH saMboDim prApnuvanti pratikzaNam /
   aprameyā yataḥ sattvā layaṃ nāto 'dhivāsayet // MSA_10.11 //	aprameyAH yatas sattvAH layam na atas aDivAsayet // MSAH _10.11 //
   yathā puṇyaṃ prasavate pareṣāṃ bhojanaṃ dadat /	yaTA puNyam prasavate parezAm Bojanam dadat /
   na tu svayaṃ sa bhuñjānastathā puṇyamahodayaḥ // MSA_10.12 //	na tu svayam sa BuQjAnaH taTA puNya mahA udayaH // MSAH _10.12 //
   sūtrokto labhyate dharmātparārthāśrayadeśitāt /	sUtra uktaH laByate DarmAt para arTa ASraya deSitAt /
   na tu svārthāśrayāddharmāddeśitādupalabhyate // MSA_10.13 //	na tu sva arTa ASrayAt DarmAt deSitAt upalaByate // MSAH _10.13 //
   iti vipulagatau mahogha[mahārya]dharme janiya[parijanayan?] sadā	iti vipula gatO mahaH Ga[ mahArya] Darme janiya[ parijanayan?] sadA
   matiṃmānmahādhimuktim /	matiMmAn mahA Di muktim /
   vipulasatatapuṇyatadvivṛddhiṃ vrajati guṇairasamairmahātmatāṃ ca //	vipula satata puNya tad vivRdDim vrajati guNEH asamEH mahAtma tAm ca //
   MSA_10.14 //	MSAH _10.14 //
   mahāyānasūtrālaṃkāre adhimuktyadhikāro daśamaḥ	mahAyAna sUtra alaMkAre aDimukti aDikAraH daSamaH
   ekādaśo 'dhikāraḥ	ekAdaSaH aDikAraH
   dharmaparyeṣṭyadhikāre ālambanaparyeṣṭau catvāraḥ ślokāḥ	Darma paryezwi aDikAre Alambana paryezwO catvAraH SlokAH
   piṭakatrayaṃ dvayaṃ vā [ca?] saṃgrahataḥ kāraṇairnavabhiriṣṭam /	piwaka trayam dvayam vA [ca?] saMgrahataH kAraNEH navaBirizwam /
   vāsanabodhanaśamanaprativedhaistadvimocayati // MSA_11.1 //	vAsana boDana Samana prativeDEH tat vimocayati // MSAH _11.1 //
   sūtrābhidharmavinayāścaturvidhārthā matāḥ samāsena /	sUtra aBiDarma vinayAH caturviDa arTAH matAH samAsena /
   teṣāṃ jñānāddhīmānsarvākārajñatāmeti // MSA_11.2 //	tezAm jQAnAt DImAn sarva AkAra jQa tAm eti // MSAH _11.2 //
   āśrayato lakṣaṇato dharmādarthācca sūcanātsūtram /	ASrayataH lakzaNataH DarmAt arTAt ca sUcanAt sUtram /
   abhimukhato 'thābhīkṣṇyādabhibhavagatito 'bhidharmaśca // MSA_11.3 //	aBimuKataH aTa aBIkzNyAt aBiBava gatitaH aBiDarmaH ca // MSAH _11.3 //
   āpatterūtthānādvyutthānānniḥsṛteścavinayatvam /	ApatteH u utTAnAt vyutTAnAt niHsRteH ca vinaya tvam /
   pudgalataḥ prajñapteḥ pravibhāgaviniścayāccaiva // MSA_11.4 //	pudgalataH prajQapteH praviBAga viniScayAt ca eva // MSAH _11.4 //
   ālambanaṃ mato dharmaḥ ādhyātmaṃ bāhyakaṃ[dvayam?] /	Alambanam mataH DarmaH ADyAtmam bAhya kaM[dvayam?] /
   [lābho dvayordvayārthena dvayoścānupalambhataḥ] // MSA_11.5 //	[lABaH dvayoH dvaya arTena dvayoH ca anupalamBataH] // MSAH _11.5 //
   manojalpairyathoktārthaprasannasya pradhāraṇāt /	manaH jalpEH yaTA ukta arTa prasannasya praDAraNAt /
   arthakhyānasya jalpācca nāmni sthānācca cetasaḥ // MSA_11.6 //	arTa KyAnasya jalpAt ca nAmni sTAnAt ca cetasaH // MSAH _11.6 //
   dharmālambanalābhaḥ syāttribhirjñānaiḥ śrutādibhiḥ /	Darma Alambana lABaH syAt triBiH jQAnEH Sruta AdiBiH /
   trividhālambanalābhaśca pūrvoktastatsamāśritaḥ // MSA_11.7 //	triviDa AlambanalABaH ca pUrva uktaH tad samASritaH // MSAH _11.7 //
   tridhātukaḥ kṛtyakaraḥ sasaṃbādhāśrayo 'paraḥ /	tri DAtukaH kRtya karaH sa saMbADa ASrayaH aparaH /
   adhimuktiniveśī ca tīvracchandakaro 'paraḥ // MSA_11.8 //	aDimukti niveSI ca tIvra= Canda karaH aparaH // MSAH _11.8 //
   hīnapūrṇāśrayo dvedhā sajalpo 'jalpa eva ca /	hIna pUrNa ASrayaH dveDA sa jalpaH ajalpaH eva ca /
   jñānena saṃprayuktaśca yogopaniṣadātmakaḥ // MSA_11.9 //	jQAnena saMprayuktaH ca yoga upanizad A AtmakaH // MSAH _11.9 //
   saṃbhinnālambanaścāsau vibhinnālambanaḥ sa ca /	saMBinna AlambanaH ca asO viBinna AlambanaH sa ca /
   pañcadhā saptadhā caiva parijñā pañcadhā 'sya ca // MSA_11.10 //	paQcaDA saptaDA ca eva parijQA paQcaDA asya ca // MSAH _11.10 //
   catvāraḥ saptatriṃśacca ākārā bhāvanāgatāḥ /	catvAraH saptatriMSat ca AkArAH BAvanA gatAH /
   mārgadvayasvabhāvo 'sau dvyunuśaṃsaḥ pratīcchakaḥ // MSA_11.11 //	mArga dvaya svaBAvaH asO dvi unuSaMsaH pratIcCakaH // MSAH _11.11 //
   prayogī vaśavartī ca parītto vipulātmakaḥ /	prayogI vaSavartI ca parIttaH vipula AtmakaH /
   yogināṃ hi manaskāra eṣa sarvātmako mataḥ // MSA_11.12 //	yoginAm hi manaskAraH eza sarva AtmakaH mataH // MSAH _11.12 //
   tatvaṃ yatsatataṃ dvayena rahitaṃ, bhrānteśca saṃniśrayaḥ śakyaṃ naiva ca	tatvam yat satatam dvayena rahitaM, BrAnteH ca saMniSrayaH Sakyam na eva ca
   sarvathābhilapituṃ yañcāprapañcātmakam /	sarvaTA aBilapitum yaQca aprapaQca Atmakam /
   jñeyaṃ heyamatho viśodhyamamalaṃ yacca prakṛtyā matam	jQeyam heyam aTo viSoDyam amalam yat ca prakRtyA matam
   yasyākāśasuvarṇavārisadṛśī kleśādviśuddhirmatā // MSA_11.13 //	yasya AkASa suvarNa vAri sadRSI kleSAt viSudDiH matA // MSAH _11.13 //
   na khalu jagati tasmādvidyate kiṃcidanyajjagadapi tadaśeṣaṃ tatra	na Kalu jagati tasmAt vidyate kiMcid anyat jagat api tad aSezam tatra
   saṃmūḍhabuddhi /	saMmUXa budDi /
   kathamayamabhirūḍho lokamohaprakāro yadasadabhiniviṣṭaḥ satsamantādvihāya	kaTam ayam aBirUXaH loka moha prakAraH yat asat aBinivizwaH sat samantAt vihAya
   // MSA_11.14 //	// MSAH _11.14 //
   yathā māyā tathā'bhūtaparikalpo nirucyate /	yaTA mAyA taTA aBUta parikalpaH nirucyate /
   yathā māyākṛtaṃ tadvat dvayabhrāntirnirucyate // MSA_11.15 //	yaTA mAyA kRtam tadvat dvaya BrAntiH nirucyate // MSAH _11.15 //
