   Sitātapatrā	Sita-AtapatrA
   phaṭ / sarvaśramaṇebhyaḥ phaṭ / sarvagrahebhyaḥ phaṭ / sarvatīrthakebhyaḥ	Paw / sarva-SramaNeByaH Paw / sarva-graheByaH Paw / sarva-tIrTakeByaH
   phaṭ / sarvapratyarthikebhyaḥ phaṭ / sarvapātakebhyaḥ phaṭ /	Paw / sarva-pratyarTikeByaH Paw / sarva-pAtakeByaH Paw /
   sarvonmādebhyaḥ phaṭ / sarvavidyādharebhyaḥ phaṭ /	sarva-unmAdeByaH Paw / sarva-vidyADareByaH Paw /
   jayakaramadhukarasarvārthasādhakebhyaḥ phaṭ / sarvavidyācārebhyaḥ phaṭ /	jaya-kara-maDukara-sarva-arTa-sADakeByaH Paw / sarva-vidyA-AcAreByaH Paw /
   sarvavidyārājebhyaḥ phaṭ / sarvasādhakebhyo vidyācāryebhyaḥ phaṭ /	sarva-vidyA-rAjeByaH Paw / sarva-sADakeByaH vidyA-AcAryeByaH Paw /
   caturbhyo bhaginībhyaḥ phaṭ / vajrakaumārīye vidyārājñīye phaṭ /	caturByaH BaginIByaH Paw / vajrakOmArIye vidyArAjQIye Paw /
   sarvavidhnavināyakānāṃ phaṭ / paravidrāpana {paravidrāvaṇa} karāya phaṭ /	sarva-viDna-vinAyakAnAm Paw / para-vidrApana {para-vidrAvaNa} karAya Paw /
   sarvāsurebhyaḥ phaṭ / sarvagaruḍebhyaḥ phaṭ / sarvamahoragebhyaḥ phaṭ /	sarva-asureByaH Paw / sarva-garuxeByaH Paw / sarva-mahA-urageByaH Paw /
   sarvamanuṣyāmanuṣyebhyaḥ phaṭ / sarvamarutebhyaḥ phaṭ / sarvakumbhāṇḍebhya	sarva-manuzya-amanuzyeByaH Paw / sarva-maruteByaH Paw / sarva-kumBa-aNxeBya
   phaṭ / vajraśṛṅkhalāya mahāpratyaṅgirāya phaṭ / sarvopasargebhyaḥ phaṭ /	Paw / vajraSRFKalAya mahA-pratyaFgirAya Paw / sarva-upasargeByaH Paw /
   mahāpratyaṅgirebhyaḥ phaṭ / chinda 2 phaṭ / bhinda 2 phaṭ / hūṃ hūṃ phaṭ /	mahA-pratyaFgireByaH Paw / Cinda 2 Paw / Binda 2 Paw / hUm hUm Paw /
   he he phaṭ / ho ho phaṭ / amoghāya phat / apratihatāya phaṭ / varadāya	he he Paw / ho ho Paw / amoGAya Pat / apratihatAya Paw / vara-dAya
   phaṭ / asuravidrāyanakarāya {asuravidrāvaṇakarāya} phaṭ / sarvadevebhyaḥ	Paw / asura-vidrAyana-karAya {asura-vidrAvaNa-karAya} Paw / sarva-deveByaH
   phaṭ / sarvanāgebhyaḥ phaṭ / sarvayakṣebhyaḥ (Sitā 152) phaṭ /	Paw / sarva-nAgeByaH Paw / sarva-yakzeByaH (SitA 152) Paw /
   sarvarākṣasebhyaḥ phaṭ / sarvagandharvebhyaḥ phaṭ / sarvakinnarebhyaḥ phaṭ	sarva-rAkzaseByaH Paw / sarva-ganDarveByaH Paw / sarva-kinnareByaH Paw-
   / sarvabhūtebhyaḥ phaṭ / sarvapretebhyaḥ phaṭ / sarvapiśācebhyaḥ phaṭ /	/ sarva-BUteByaH Paw / sarva-preteByaH Paw / sarva-piSAceByaH Paw /
   sarvapūtanebhyaḥ phaṭ / sarvakaṭapūtanebhyaḥ phat / sarvaskandebhyaḥ phaṭ	sarva-pUtaneByaH Paw / sarva-kawa-pUtaneByaH Pat / sarva-skandeByaH Paw-
   / vajraśṛṅkhalebhya phaṭ / mahāpratyaṅgirārājāya phaṭ / kālāya phaṭ /	/ vajraSRFKaleByaH Paw / mahA-pratyaFgira-arAjAya Paw / kAlAya Paw /
   mahākālāya phaṭ / mātṛgaṇebhyaḥ phaṭ / mahāmātṛgaṇanamaskṛtāya phaṭ /	mahAkAlAya Paw / mAtR-gaNeByaH Paw / mahAmAtR-gaNa-namaskRtAya Paw /
   vaiṣṇavīye phaṭ / māheśvarīye phaṭ / brahmāyaṇīye phaṭ / agnīye phaṭ /	vEzNavIye Paw / mAheSvarIye Paw / brahmAyaNIye Paw / agnIye Paw /
   mahākālīye phaṭ / kāladaṇḍīye phaṭ / aindrīye phaṭ / raudrīye phaṭ /	mahAkAlIye Paw / kAladaNxIye Paw / EndrIye Paw / rOdrIye Paw /
   cāmuṇḍīye phaṭ / vārāhīye phat / mahāvārāhīye phaṭ / kālarātrīye phaṭ /	cAmuNxIye Paw / vArAhIye Pat / mahA-vArAhIye Paw / kAlarAtrIye Paw /
   rātrīye phaṭ / yamadāḍhīye phaṭ / kāpālīye phaṭ / mahākāpālīye phaṭ /	rAtrIye Paw / yamadAXIye Paw / kApAlIye Paw / mahAkApAlIye Paw /
   kaumārīye phaṭ / yāmīye phaṭ / vāyave phaṭ / nairṛtīye phaṭ / vāruṇīye	kOmArIye Paw / yAmIye Paw / vAyave Paw / nErRtIye Paw / vAruNIye
   phaṭ / mārūtīye phaṭ / mahāmārutīye phaṭ / saumyāye phaṭ / aiśānīye phaṭ /	Paw / mArUtIye Paw / mahAmArutIye Paw / sOmyAye Paw / ESAnIye Paw /
   pukkasīye phaṭ / artharvaṇīye phaṭ / śabarīye phaṭ / kṛṣṇaśabarīye phaṭ /	pukkasIye Paw / arTarvaNIye Paw / SabarIye Paw / kRzNa-SabarIye Paw /
   yamadūtīye phaṭ / niśīdivācarebhyaḥ phaṭ / trisandhyācarebhyaḥ phaṭ /	yamadUtIye Paw / niSI-divAcareByaH Paw / tri-sanDyA-careByaH Paw /
   dharaṇīye phaṭ / adhimuktikakāśmīramahāśmaśānavāsinīye phaṭ / ebhyaḥ	DaraNIye Paw / aDimuktika-kASmIra-mahA-SmaSAna-vAsinIye Paw / eByaH
   sarvabhayebhyaḥ phaṭ / sarvadoṣebhyaḥ phaṭ / om ṣṭrau bandha 2 duṣṭān	sarva-BayeByaH Paw / sarva-dozeByaH Paw / om zwrO banDa 2 duzwAn
   rakṣa 2 māṃ sarvasattvānāṃ svāhā / ye kecin mama sarvasattvānāṃ ca duṣṭā	rakza 2 mAm sarva-sattvAnAm svAhA / ye kecid mama sarva-sattvAnAm ca duzwA
   duṣṭacittā raudrā raudracittā pāpāḥ pāpacittāḥ kupitāḥ kupitacittā amitrā	duzwa-cittAH rOdrAH rOdra-cittA pApAH pApa-cittAH kupitAH kupita-cittA amitrA
   amitracittā / ete mama sarvasattvānāṃ ca rakṣāṃ kurvantu jīvantu	amitra-cittAH / ete mama sarva-sattvAnAm ca rakzAm kurvantu jIvantu
   varṣaśataṃ paśyantu śaradāṃ śatam / ye kecidyakṣagrahāḥ, vratāhārāḥ,	varza-Satam paSyantu SaradAm Satam / ye kecid-yakza-grahAH, vrata-AhArAH,
   garbhāhārāḥ, rudhirāhārāḥ, baṃśāhārāḥ {vasāhārāḥ}, māṃsāhāraḥ, medāhārāḥ,	garBa-AhArAH, ruDira-AhArAH, baMSa-AhArAH {vasa-AhArAH}, mAMsa-AhAraH, medA-AhArAH,
   majjāhārāḥ, jātāhārāḥ, jīvitāhārāḥ, valyāhārāḥ, mālyāhārāḥ, gandhāhārāḥ,	majja-AhArAH, jAta-AhArAH, jIvita-AhArAH, valya-AhArAH, mAlya-AhArAH, ganDa-AhArAH,
   puṣpāhārāḥ, dhūpāhārāḥ, phalāhārāḥ, āhutyāhārāḥ, vittāhārāḥ, cittāhārāḥ,	puzpa-AhArAH, DUpa-AhArAH, Pala-AhArAH, Ahuti-AhArAH, vitta-AhArAH, citta-AhArAH,
   pūjāhārāḥ, mudrāhārāḥ, śleṣmāhārāḥ, kheṭāhārāḥ, siṃghāṇakāhārāḥ,	pUjA-AhArAH, mudrA-AhArAH, Slezma-AhArAH, KewAhArAH, siMGANaka-AhArAH,
   vātāhārāḥ, viriktāhārāḥ, aśucyāhārāḥ, spandanikāhārāḥ / pāpacittāḥ,	vAta-AhArAH, virikta-AhArAH, aSuci-AhArAH, spandanikA-AhArAH / pApa-cittAH,
   duṣṭacittāḥ, raudracittāḥ, devagrahāḥ, nāgagrahāḥ, yakṣagrahāḥ,	duzwa-cittAH, rOdra-cittAH, deva-grahAH, nAga-grahAH, yakza-grahAH,
   rākṣasagrahāḥ, gandharvagrahāḥ, asuragrahāḥ, garuḍagrahāḥ, kinnaragrahāḥ,	rAkzasa-grahAH, ganDarva-grahAH, asura-grahAH, garuxa-grahAH, kinnara-grahAH,
   mahoragagrahāḥ, manuṣyagrahāḥ, amanuṣyagrahāḥ, marutagrahāḥ, piśācagrahāḥ,	mahA-uraga-grahAH, manuzya-grahAH, amanuzya-grahAH, maruta-grahAH, piSAca-grahAH,
   bhūtagrahāḥ, kumbhāṇḍagrahāḥ, pūtanagrahāḥ, kaṭapūtanagrahāḥ,	BUta-grahAH, kumBANxa-grahAH, pUtana-grahAH, kawa-pUtana-grahAH,
   skandagrahāḥ, unmādagrahāḥ, chāyāgrahāḥ, apasmāragrahāḥ, ostāḍakagrahāḥ,	skanda-grahAH, unmAda-grahAH, CAyA-grahAH, apasmAra-grahAH, oH-tAxaka-grahAH,
   ḍākinīgrahāḥ, revatīgrahāḥ, śamikāgrahāḥ, jāmakagrahāḥ {yāmakagrahāḥ},	xAkinI-grahAH, revatI-grahAH, SamikA-grahAH, jAmaka-grahAH {yAmaka-grahAH},
   śakunigrahāḥ, mātṛnandigrahāḥ, kambukāminīgrahāḥ, alambanagrahāḥ,	Sakuni-grahAH, mAtR-nandigrahAH, kambu-kAminI-grahAH, alambana-grahAH,
   kaṭaḍākinīgrahāḥ, kaṃṭakamālinīgrahāḥ, sarvagrahāḥ /	kawaxAkinI-grahAH, kaMwaka-mAlinI-grahAH, sarva-grahAH /
   jvarā ekāhikāḥ, dvaitīyakāḥ, traitīyakāḥ, cāturthikāḥ, saptāhikāḥ,	jvarAH ekAhikAH, dvEtIyakAH, trEtIyakAH, cAturTikAH, saptAhikAH,
   arddhamāsikāḥ, māsikāḥ, dvaimāsikāḥ, mauhūrttikāḥ, nityajvarāḥ,	ardDa-mAsikAH, mAsikAH, dvEmAsikAH, mOhUrttikAH, nitya-jvarAH,
   viṣamajvarāḥ, (Sitā 153) pretajvarāḥ, piśācajvarāḥ, mānuṣajvarāḥ,	vizamajvarAH, (SitAH 153) preta-jvarAH, piSAca-jvarAH, mAnuza-jvarAH,
   amānuṣajvarāḥ, vātikāḥ, paittikāḥ, ślaiṣmikāḥ, sānnipātikāḥ, sarvajvarāḥ	amAnuza-jvarAH, vAtikAH, pEttikAH, SlEzmikAH, sAnnipAtikAH, sarva-jvarAH
   śirovartimapanayantu mama sarvasattvānāṃ ca arddhāvabhedakam, arocakam	Sirovartim-apanayantu mama sarva-sattvAnAm ca ardDO=-aBeda-kam, arocakam
   akṣirogaṃ nāsarogaṃ mukharogaṃ kaṇṭharogaṃ hṛdrogaṃ galagrahaṃ karṇaśūlaṃ	akzi-rogam nAsa-rogam muKa-rogam kaNWa-rogam hRd-rogam galagraham karNa-SUlam
   dantaśūlam uraḥśūlaṃ hṛdayaśūlaṃ marmaśūlaṃ pṛṣṭhaśūlam udaraśūlaṃ	danta-SUlam uraH-SUlam hRdaya-SUlam marma-SUlam pRzWa-SUlam udara-SUlam
   vastiśūlaṃ gudaśūlaṃ yoniśūlaṃ pradaraśūlam ūrūśūlaṃ jaṅghāśūlaṃ	vasti-SUlam guda-SUlam yoni-SUlam pradara-SUlam UrU-SUlam jaFGA-SUlam
   hastaśūlaṃ pādaśūlam aṅgapratyaṅgaśūlaṃ mama cāpanayantu /	hasta-SUlam pAda-SUlam aFga-pratyaFga-SUlam mama ca-apanayantu /
   bhūtapretavetālaḍākinījvaradagdhakaṇḍūkiṭībhakuṣṭapittakaplīhabhagaṃdaralūtāpāmāvaisarpalohaliṅgāśeṣaśvāsatrāsakāsamūrchāgaraviṣayayogāgnyudakamāramārīkalahavairakāntārākālamṛtyutryambukatrailāṭakavṛścikasarpanakulasiṃhavyāghrarkṣatarakṣucarmaramakaravṛkataskarājīvakāyikānapanayantu	BUta-preta-vetAla-xAkinI-jvara-dagDa-kaNxU-kiwI-iBakuzwa-pitta-ka-plIha-BagaMdara-lUtA-pAmA-vEsarpa-loha-liFga-aSeza-SvAsa-trAsa-kAsa-mUrCA-gara-vizaya-yo
   {Śambuka(tai)lāṭaŚ}/ anyeṣāṃ sarveṣāṃ	{Śambu-ka(tE)lAwaŚ}/ anyezAm sarvezAm
   sitātapatramahoṣṇīṣamahāpratyaṅgirāvidyānubhāvena yāvad	sita-Atapatra-mahA-uzNIza-mahA-pratyaFgira-avidyA-anuBAvena yAvat-
   dvādaśayojanābhyantareṇa pañcāśatayojanābhyantareṇa vā vidyābandhaṃ karomi	dvAdaSa-yojana-aByantareNa paQcASata-yojana-aByantareNa vA vidyA-banDam karomi
   tejobandhanaṃ karomi sarvavidyābandhanaṃ karomi paravidyābandhanaṃ karomi	tejaH-banDanam karomi sarva-vidyA-banDanam karomi para-vidyA-banDanam karomi
   sīmābandhanaṃ karomi dharaṇībandhanaṃ karomi daśadigbandhanaṃ karomi	sImAbanDanam karomi DaraNI-banDanam karomi daSa-digbanDanam karomi
   parasainyastambhanaṃ karomi / tadyathā om anane 2 khakhane 2 vīṣama 2 vīre	para-sEnya-stamBanam karomi / tat-yaTA om anane 2 Ka-Kane 2 vIzama 2 vIre
   2 maunya 2 śānte 2 dānte 2 vajradhara bandhabandhani vajrapāṇe phaṭ / om	2 mOnyaH 2 SAnte 2 dAnte 2 vajraDara banDa-banDani vajrapANe Paw / om
   hūṃ ṣṭroṃ phaṭ 2 svāhā / om vajrapāśe bandha 2 vajrapāśaṃ ca	hUm zwrom Paw 2 svAhA / om vajra-pASe banDa 2 vajrapASam ca
   sarvaduṣṭavighnavināyakān hūṃ phaṭ 2 rakṣa 2 māṃ sarvasattvāṃśca svāhā /	sarva-duzwa-viGna-vinAyakAn hUm Paw 2 rakza 2 mAm sarva-sattvAn=-ca svAhA /
   ya imāṃ	yaH imAm
   sarvatathāgatoṣṇīṣasitātapatrānāmāparājitāpratyaṅgirāmahāvidyārājñīṃ	sarva-taTAgata-uzNIza-sita-AtapatrAnAmA-aparAjitA-pratyaFgirA-mahAvidyA-rAjQIm
   likhitvā bhūrjapatre vastre vā valkale vā kāyagataṃ vā kaṇṭhagataṃ vā	liKitvA BUrja-patre vastre vA valkale vA kAya-gatam vA kaNWa-gatam vA
   kṛtvā dhārayiṣyati vāciṣyati aśuddhakaṃ na kṣamiṣyati / sarvakṛtyakarma na	kRtvA DArayizyati vAcizyati aSudDakam na kzamizyati / sarva-kRtya-karma na
   kramiṣyati / nagaraṃ kramiṣyati, yogaṃ kramiṣyati, nākālamṛtyunā kālaṃ	kramizyati / nagaram kramizyati, yogam kramizyati, na-akAla-mRtyunA kAlam
   kariṣyati / sarvagrahāṇāṃ sarvavighnavināyakānāṃ ca priyo bhaviṣyati /	karizyati / sarva-grahANAm sarva-viGna-vinAyakAnAm ca priyaH Bavizyati /
   manaāpaścaturaśītikalpakoṭīsahasrāṇi jātau jātau jātismaro bhaviṣyati	manaApaH-catura-SIti-kalpa-kowI-sahasrANi jAtO jAtO jAtismaraH Bavizyati
   caturaśītivajrakulakoṭiniyutaśatasahasrāṇi vidyādevatā nityaṃ	caturaSIti-vajra-kula-kowi-niyuta-Sata-sahasrANi vidyA-devatA nityam
   satatasamitaṃ tasya rakṣāvaraṇaguptiṃ kariṣyanti / caturaśītivajradūtī	satata-samitam tasya rakzA-AvaraNa-guptim karizyanti / caturaSIti-vajradUtI
   kiṃkarā nityaṃ paripālayiṣyanti teṣāmapi priyo bhaviṣyati / manaāpaśca na	kiMkarAH nityam paripAlayizyanti tezAm-api priyaH Bavizyati / manaApaH-ca na
   kadācidyakṣatvaṃ na rākṣasatvaṃ na bhūtatvaṃ na piśācatvaṃ na pūtanatvaṃ	kadAcid-yakza-tvam na rAkzasa-tvam na BUta-tvam na piSAca-tvam na pUtana-tvam
   na kaṭapūtanatvaṃ na manuṣyadāridryaṃ pratyanubhaviṣyati /	na kawa-pUtana-tvam na manuzya-dAridryam pratyanuBavizyati /
   gaṅgānadībālukāsaṃkhyeyāprameyāṇāṃ buddhānāṃ bhagavatāṃ puṇyaskandhena	gaFgA-nadI-bAlukA-saMKyeya-aprameyANAm budDAnAm BagavatAm puNya-skanDena
   samanvāgato bhaviṣyati / imāṃ ca	samanvAgataH Bavizyati / imAm ca
   sarvatathāgatoṣṇīṣasitātapatrānāmāparājitāṃ pratyaṅgirāṃ mahavidyārājñīṃ	sarva-taTAgata-uzNIza-sita-AtapatrAnAmA-aparAjitAm pratyaFgirAm maha-vidyA-rAjQIm
   dhārayamāṇa abrahmacārī brahmacārī bhaviṣyati / amaunī maunī bhaviṣyati /	DArayamANa abrahmacArI brahmacArI Bavizyati / amOnI mOnI Bavizyati /
   aśuciḥ śucirbhaviṣyati / anupavāsī upavāsī bhaviṣyati / yo 'pi	aSuciH SuciH-Bavizyati / anupavAsI upavAsI Bavizyati / yaH api
   pañcānantaryakārī syāt so 'pi (Sitā 154) nirdhūtapāpo bhaviṣyati /	paQca-anantarya-kArI syAt saH api (SitA 154) nirDUta-pApaH Bavizyati /
   pūrvakarmāvaraṇaṃ niravaśeṣaṃ parikṣayaṃ gacchati / yaḥ kaścit mātṛgrāme	pUrva-karma-AvaraNam niravaSezam parikzayam gacCati / yaH kaScid mAtR-grAme
   tathāgatoṣṇīṣasitātapatrānāmāparājitā mahāpratyaṅgirā mahāvidyārājñīṃ	taTAgata-uzNIza-sita-AtapatrAnAmA-aparAjitA mahA-pratyaFgirAH mahAvidyA-rAjQIm
   dhārayamāṇaḥ putrārthī putraṃ pratilabhate / āyuḥpuṇyabalaṃ pratilabhate /	DArayamANaH putra-arTI putram pratilaBate / AyuH-puNya-balam pratilaBate /
   itaścyutvā sukhavatyāṃ lokadhātāvupapadyate / sa ca	itas-cyutvA suKavatyAm lokaDAtO=-upapadyate / sa ca
   rāgadveṣamohamānadarpavigato bhaviṣyati / yaḥ kaścinmanuṣyamāre paśumāre	rAga-dveza-moha-mAna-darpa-vigataH Bavizyati / yaH kaScid-manuzyamAre paSumAre
   gomāre sarve 'pyupadravopasargopāyāsaparacakrāgamaneṣu tasya bhagavato	gomAre sarve api-upadrava-upasarga-upAyAsa-para-cakra-Agamanezu tasya BagavataH-
   jinasya samyaksaṃbuddhasya sarvatathāgatoṣṇīṣasitātapatrānāmāparājitāṃ	jinasya samyaksaMbudDasya sarva-taTAgata-uzNIza-sita-AtapatrAnAmA-aparAjitAm
   dhvajāgrāvaropitāṃ kṛtvā mahatā pūjāsatkāreṇa mahatīṃ pūjāṃ kṛtvā	Dvaja-agra-avaropitAm kRtvA mahatA pUjA-satkAreNa mahatIm pUjAm kRtvA
   sarvanagaradvāreṣu praveśayet vihāre vā grāme vā nagare vā janapade vā	sarvanagara-dvArezu praveSayet vihAre vA grAme vA nagare vA janapade vA
   nigame vā śmaśāne vā parvate vā araṇyāyatane vā imāmaparājitāṃ	nigame vA SmaSAne vA parvate vE araNyAyatane vA imAm-aparAjitAm
   pratyaṅgirāṃ vidyārājñīṃ mahatā satkāreṇa praveśayet / praveśitamātreṇa	pratyaFgirAm vidyA-rAjQIm mahatA satkAreNa praveSayet / praveSita-mAtreNa
   praśāntikṛto bhaviṣyati / sarve 'pyupadravopasargopāyāsāḥ paracakrāṇi	praSAnti-kRtaH Bavizyati / sarve api-upadrava-upasarga-upAyAsAH para-cakrANi
   praśāmyanti / ananto nāgarājā śaṅkhapālo nāgarājā mahākṛṣṇo nāgarājā	praSAmyanti / anantaH nAga-rAjA SaFKapAlaH nAga-rAjA mahAkRzNaH nAga-rAjA
   nandyupanaṃdau nāgarājānau anye ca sarve te nāgarājānaḥ kāle ca kālaṃ	nandI-upanaMdO nAga-rAjAnO anye ca sarve te nAga-rAjAnaH kAle ca kAlam
   varṣayiṣyanti kālena kālaṃ autsukyamāpatsyate / kālena kālaṃ garjayiṣyanti	varzayizyanti kAlena kAlam Otsukyam-Apatsyate / kAlena kAlam garjayizyanti
   sarvarogopadravāṃścopaśamayiṣyanti / om ṣṭroṃ bandha 2 sarvaduṣṭān rakṣa 2	sarva-roga-upadravAn=-ca-upaSamayizyanti / om zwrom banDa 2 sarva-duzwAn rakza 2
   māṃ sarvasattvāṃśca svāhā / om hūṃ ṣṭroṃ bandha 2 duṣṭān rakṣa 2 māṃ	mAm sarva-sattvAn=-ca svAhA / om hUm zwrom banDa 2 duzwAn rakza 2 mAm
   sarvasattvāṃśca vajrapāṇe hūṃ phaṭ svāhā / om sarvatathāgatoṣṇīṣa	sarva-sattvAn=-ca vajrapANe hUm Paw svAhA / om sarva-taTAgata-uzNIza
   avalokitamūrdhni tejorāśi / om jvala 2 dhak 2 khāda 2 dara 2 vidara 2	avalokita-mUrDni tejaH-rASi / om jvala 2 Dak 2 KAda 2 dara 2 vidara 2
   chinte {chinda} 2 bhinda 2 hūṃ 2 phaṭ 3 rakṣa 2 māṃ sarvasattvāṃśca svāhā	Cinte {Cinda} 2 Binda 2 hUm 2 Paw 3 rakza 2 mAm sarva-sattvAn=-ca svAhA
   / om sarvatathāgatoṣṇīṣasitātapatre hūṃ phaṭ / om rakṣa 2 māṃ	/ om sarva-taTAgata-uzNIza-sita-Atapatre hUm Paw / om rakza 2 mAm
   sarvasattvāṃśca hūṃ phaṭ svāhā / tadyathā - om anale 2 acare 2 khasame 2	sarva-sattvAn=-ca hUm Paw svAhA / tat-yaTA  om anale 2 acare 2 Ka-same 2
   vīre 2 saumye 2 sarvabuddhādhiṣṭhānādhiṣṭhite	vIre 2 sOmye 2 sarva-budDa-aDizWAna-aDizWite
   sarvatathāgatoṣṇīṣasitātapatre sarvaduṣṭacittān hūṃ phaṭ svāhā /	sarva-taTAgata-uzNIza-sita-Atapatre sarva-duzwa-cittAn hUm Paw svAhA /
   buddhayogena sarvopadraveṣu trijaptā kartavyā / sarvabuddhabodhisattvāśca	budDa-yogena sarva-upadravezu tri-japtA kartavyA / sarva-budDa-boDisattvAH-ca
   sadevamānuṣāsuragaruḍakinnaramahoragaśca loko bhagavato	sa-deva-mAnuza-asura-garuxa-kinnara-mahA-uragaH-ca lokaH BagavataH-
   bhāṣitamabhyanandanniti /	BAzitam-aByanandan=-iti /
   āryasarvatathāgatoṣṇīṣasitātapatrānāmaparājitā pratyaṅgirā mahāvidyārājñī	Arya-sarva-taTA-gata-uzNIza-sita-AtapatrAnAm-aparAjitA pratyaFgirA mahAvidyA-rAjQI
   samāptā //	samAptAH //
