   śrīśivamahāpurāṇam	SrI-Siva-mahApurANam
   dṛṣṭvaivamamarā hṛṣṭāḥ padaṃtatpārameśvaram // ŚivP_1,6.23ab/	dRzwvA-evam-amarAH hRzwAH padaMtat-pArameSvaram // ŚivS-_1,6.23ab/
   praṇemuḥ praṇavākāraṃ praviṣṭāstatra sadmani // ŚivP_1,6.23cd/	praNemuH praNava-AkAram pravizwAH-tatra sadmani // Śivj-_1,6.23cd/
   tepi tatra sabhāmadhye maṃḍape maṇiviṣṭare // ŚivP_1,6.24ab/	tepi tatra saBA-maDye maMxape maNi-vizware // ŚivS-_1,6.24ab/
   virājamānamumayā dadṛśurdevapuṃgavam // ŚivP_1,6.24cd/	virAjamAnam-umayA dadRSuH-deva-puMgavam // Śivj-_1,6.24cd/
   savyottaretarapadaṃ tadarhitakarāṃ bujam // ŚivP_1,6.25ab/	savya-uttaretara-padam tad-arhita-karAm bujam // ŚivS-_1,6.25ab/
   svagaṇaiḥ sarvato juṣṭaṃ sarvalakṣaṇalakṣitam // ŚivP_1,6.25cd/	sva-gaNEH sarvatas juzwam sarva-lakzaNa-lakzitam // Śivj-_1,6.25cd/
   vījyamānaṃ viśoṣajaiḥ strījanaistīvrabhāvanaiḥ // ŚivP_1,6.26ab/	vIjyamAnam viSoza-jEH strI-janEH-tIvra-BAvanEH // ŚivS-_1,6.26ab/
   śasyamānaṃ sadāvedairanugṛhṇaṃtamīśvaram // ŚivP_1,6.26cd/	SasyamAnam sadA-vedEH-anugRhNaMtam-ISvaram // Śivj-_1,6.26cd/
   dṛṣṭvaivamīśamamarāḥ saṃtoṣasalilekṣaṇāḥ // ŚivP_1,6.27ab/	dRzwvA-evam-ISam-amarAH saMtoza-salila-IkzaNAH // ŚivS-_1,6.27ab/
   daṃḍavaddūrato vatsa namaścakrurmahāgaṇāḥ // ŚivP_1,6.27cd/	daMxa-vat-dUratas vatsa namaH-cakruH-mahAgaNAH // Śivj-_1,6.27cd/
   tānavekṣya patirdevānsamīpe cāhvayadgaṇaiḥ // ŚivP_1,6.28ab/	tAn-avekzya patiH-devAn-samIpe ca-Ahvayat-gaNEH // ŚivS-_1,6.28ab/
   atha saṃhlādayandevāndevo devaśikhāmaṇiḥ // ŚivP_1,6.28cd/	aTa saMhlAdayan-devAn-devaH deva-SiKAmaNiH // Śivj-_1,6.28cd/
   avocadarthagaṃbhīraṃ vacanaṃ madhumaṃgalam // ŚivP_1,6.28ef/	avocat-arTa-gaMBIram vacanam maDu-maMgalam // ŚivS-_1,6.28ef/
   iti śrīśivamahāpurāṇe vidyeśvarasaṃhitāyāṃ ṣaṣṭho 'dhyāyaḥ	iti SrI-Siva-mahApurANe vidyeSvara-saMhitAyAm zazWaH aDyAyaH
   Chapter 7	ChapteH 7
   īśvara uvāca	ISvaraH uvAca
   vatsakāḥ svastivaḥ kaccidvartate mama śāsanāt // ŚivP_1,7.1ab/	vatsakAH svastivaH kaccit-vartate mama SAsanAt // ŚivS-_1,7.1ab/
   jagacca devatāvaṃśaḥ svasvakarmaṇi kiṃ navā // ŚivP_1,7.1cd/	jagat-ca devatA-vaMSaH sva-sva-karmaNi kim navAH // Śivj-_1,7.1cd/
   prāgeva viditaṃ yuddhaṃ brahmaviṣṇvormayāsurāḥ // ŚivP_1,7.2ab/	prAk-eva viditam yudDam brahma-vizNvoH-mayA-asurAH // ŚivS-_1,7.2ab/
   bhavatāmabhitāpena paunaruktyena bhāṣitam // ŚivP_1,7.2cd/	BavatAm-aBitApena pOnaruktyena BAzitam // Śivj-_1,7.2cd/
   iti sasmitayā mādhvyā kumāraparibhāṣayā // ŚivP_1,7.3ab/	iti sa-smitayA mADvyA kumAra-pariBAzayA // ŚivS-_1,7.3ab/
   samatoṣayadaṃbāyāḥ sa patistatsuravrajam // ŚivP_1,7.3cd/	sama-tozayat-aMbAyAH sa patiH-tad-suravrajam // Śivj-_1,7.3cd/
   atha yuddhāṃgaṇaṃ gaṃtuṃ haridhātroradhīśvaraḥ // ŚivP_1,7.4ab/	aTa yudDAMgaNam gaMtum hariDAtroH-aDISvaraH // ŚivS-_1,7.4ab/
   ājñāpayadgaṇeśānāṃ śataṃ tatraiva saṃsadi // ŚivP_1,7.4cd/	AjQApayat-gaNeSAnAm Satam tatra-eva saMsadi // Śivj-_1,7.4cd/
   tato vādyaṃ bahuvidhaṃ prayāṇāya pareśituḥ // ŚivP_1,7.5ab/	tatas vAdyam bahuviDam prayANAya para-ISituH // ŚivS-_1,7.5ab/
   gaṇeśvarāśca saṃnaddhā nānāvāhanabhūṣaṇāḥ // ŚivP_1,7.5cd/	gaNeSvarAH-ca saMnadDAH nAnA-vAhana-BUzaNAH // Śivj-_1,7.5cd/
   praṇavākāramādyaṃtaṃ pañcamaṃḍalamaṃḍitam // ŚivP_1,7.6ab/	praNava-AkAram-Adi-aMtam paQcamaMxalam-aMxitam // ŚivS-_1,7.6ab/
   āruroha rathaṃ bhadramaṃbikāpatirīśvaraḥ // ŚivP_1,7.6cd/	Aruroha raTam Badram-aMbikA-patiH-ISvaraH // Śivj-_1,7.6cd/
   sasūnugaṇamiṃdrādyāḥ sarvepyanuyayuḥ surāḥ // ŚivP_1,7.6ef/	sa-sUnu-gaNamiMdra-AdyAH sarva-Ipi-anuyayuH surAH // ŚivS-_1,7.6ef/
   citradhvajavyajanacāmarapuṣpavarṣasaṃgatinṛtyanivahairaipi vādyavargaiḥ //	citra-Dvaja-vyajana-cAmara-puzpa-varza-saMgati-nRtya-nivahEH-Epi vAdya-vargEH //
   ŚivP_1,7. 7ab/	ŚivS-_1,7. 7ab/
   saṃmānitaḥ paśupatiḥ parayā ca devyā sākaṃ tayoḥ samarabhūmimagātsasainyaḥ	saMmAnitaH paSupatiH parayA ca devyA sAkam tayoH samara-BUmim-agAt-sa-sEnyaH
   // ŚivP_1,7.7cd/	// Śivj-_1,7.7cd/
   samīkṣyaṃ tu tayoryuddhaṃ nigūḍho 'bhraṃ samāsthitaḥ // ŚivP_1,7.8ab/	samIkzyam tu tayoH-yudDam nigUXaH aBram samAsTitaH // ŚivS-_1,7.8ab/
   samāptavādyanirghoṣaḥ śāṃtorugaṇaniḥsvanaḥ // ŚivP_1,7.8cd/	samApta-vAdya-nirGozaH SAMta-uru-gaNa-niHsvanaH // Śivj-_1,7.8cd/
   atha brahmācyutau vīrau haṃtukāmau parasparam // ŚivP_1,7.9ab/	aTa brahma-acyutO vIrO haMtu-kAmO parasparam // ŚivS-_1,7.9ab/
   māheśvareṇa cā 'streṇa tathā pāśupatena ca // ŚivP_1,7.9cd/	mAheSvareNa cA astreNa taTA pASupatena ca // Śivj-_1,7.9cd/
   astrajvālairatho dagdhaṃ brahmaviṣṇvorjagattrayam // ŚivP_1,7.10ab/	astra-jvAlEH-aTo dagDam brahma-vizNvoH-jagat-trayam // ŚivS-_1,7.10ab/
   īśopi taṃ nirīkṣyātha hyakālapralayaṃ bhṛśam // ŚivP_1,7.10cd/	ISa-upi tam nirIkzya-aTa hi-akAla-pralayam BRSam // Śivj-_1,7.10cd/
   mahānalastaṃbhavibhīṣaṇākṛtirbabhūva tanmadhyatale sa niṣkalaḥ //	mahA-anala-staMBa-viBIzaNa-AkRtiH-baBUva tad-maDya-tale sa nizkalaH //
   ŚivP_1,7.11ab/	ŚivS-_1,7.11ab/
   te astre cāpi sajvāle lokasaṃharaṇakṣame // ŚivP_1,7.12ab/	te astre ca-api sa-jvAle loka-saMharaNa-kzame // ŚivS-_1,7.12ab/
   nipatetuḥ kṣaṇe naiva hyāvirbhūte mahānale // ŚivP_1,7.12cd/	nipatetuH kzaNe na-eva hi-AvirBUte mahA-anale // Śivj-_1,7.12cd/
   dṛṣṭvā tadadbhutaṃ citramastraśāṃtikaraṃ śubham // ŚivP_1,7.13ab/	dRzwvA tat-adButam citram-astra-SAMti-karam SuBam // ŚivS-_1,7.13ab/
   kimetadadbhutākāramityūcuśca parasparam // ŚivP_1,7.13cd/	kim-etat-adButa-AkAram-iti-UcuH-ca parasparam // Śivj-_1,7.13cd/
   atīṃdriyamidaṃ staṃbhamagnirūpaṃ kimutthitam // ŚivP_1,7.14ab/	atIMdriyam-idam staMBam-agni-rUpam kim-utTitam // ŚivS-_1,7.14ab/
   asyordhvamapi cādhaścāvayorlakṣyameva hi // ŚivP_1,7.14cd/	asya-UrDvam-api ca-aDas-ca-AvayoH-lakzyam-eva hi // Śivj-_1,7.14cd/
   iti vyavasitau vīrau militau vīramāninau // ŚivP_1,7.15ab/	iti vyavasitO vIrO militO vIra-mAninO // ŚivS-_1,7.15ab/
   tatparau tatparīkṣārthaṃ pratasthāte 'tha satvaram // ŚivP_1,7.15cd/	tad-parO tad-parIkzA-arTam pratasTAte aTa sa-tvaram // Śivj-_1,7.15cd/
   āvayormiśrayostatra kāryamekaṃ na saṃbhavet // ŚivP_1,7.16ab/	AvayoH-miSrayoH-tatra kAryam-ekam na saMBavet // ŚivS-_1,7.16ab/
   ityuktvā sūkaratanurviṣṇustasyādimīyivān // ŚivP_1,7.16cd/	iti-uktvA sUkara-tanuH-vizNuH-tasya-AdimIyivAn // Śivj-_1,7.16cd/
   tathā brahmāhaṃ satanustadaṃtaṃ vīkṣituṃ yayau // ŚivP_1,7.17ab/	taTA brahmA-aham sa-tanuH-tad-aMtam vIkzitum yayO // ŚivS-_1,7.17ab/
   bhittvā pātālanilayaṃ gatvā dūrataraṃ hariḥ // ŚivP_1,7.17cd/	BittvA pAtAla-nilayam gatvA dUrataram hariH // Śivj-_1,7.17cd/
   nā 'pi śyāttasya saṃsthānaṃ staṃbhasyānalavarcasaḥ // ŚivP_1,7.18ab/	nA api SyAt-tasya saMsTAnam staMBasya-anala-varcasaH // ŚivS-_1,7.18ab/
   śrāṃtaḥ sa sūkaraharīḥ prāpa pūrvaṃ raṇāṃgaṇam // ŚivP_1,7.18cd/	SrAMtaH sa sUkara-harIH prApa pUrvam raNAMgaNam // Śivj-_1,7.18cd/
   atha gacchaṃstu vyomnā ca vidhistāta pitā tava // ŚivP_1,7.19ab/	aTa gacCan=-tu vyomnA ca viDiH-tAta pitA tava // ŚivS-_1,7.19ab/
   dadarśa ketakī puṣpaṃ kiṃcidvicyutamadbhutam // ŚivP_1,7.19cd/	dadarSa ketakI puzpam kiMcid-vicyutam-adButam // Śivj-_1,7.19cd/
   atisaurabhyamamlānaṃ bahuvarṣacyutaṃ tathā // ŚivP_1,7.20ab/	ati-sOraByam-amlAnam bahu-varza-cyutam taTA // ŚivS-_1,7.20ab/
   anvīkṣya ca tayoḥ kṛtyaṃ bhagavānparameśvaraḥ // ŚivP_1,7.20cd/	anvIkzya ca tayoH kRtyam BagavAn-parameSvaraH // Śivj-_1,7.20cd/
   parihāsaṃ tu kṛtavānkaṃpanāccalitaṃ śiraḥ // ŚivP_1,7.21ab/	parihAsam tu kRtavAn-kaMpanAt-calitam SiraH // ŚivS-_1,7.21ab/
   tasmāttāvanugṛhṇātuṃ cyutaṃ ketakamuttamam // ŚivP_1,7.21cd/	tasmAt-tO=-anugRhNAtum cyutam ketakam-uttamam // Śivj-_1,7.21cd/
   kiṃ tvaṃ patasi puṣpeśa puṣparāṭ kena vā dhṛtam // ŚivP_1,7.22ab/	kim tvam patasi puzpeSa puzparAj kena vA DRtam // ŚivS-_1,7.22ab/
   ādimasyāprameyasya staṃbhamadhyāccyutaściram // ŚivP_1,7.22cd/	Adimasya-aprameyasya staMBa-maDyAt-cyutaH-ciram // Śivj-_1,7.22cd/
   na saṃpaśyāmi tasmāttvaṃ jahyāśāmaṃtadarśane // ŚivP_1,7.23ab/	na saMpaSyAmi tasmAt-tvam jahi-ASAmaMta-darSane // ŚivS-_1,7.23ab/
   asyāṃ tasya ca sevārthaṃ haṃsamūrtirihāgataḥ // ŚivP_1,7.23cd/	asyAm tasya ca sevA-arTam haMsa-mUrtiH-iha-AgataH // Śivj-_1,7.23cd/
   itaḥ paraṃ sakhe me 'dya tvayā kartavyamīpsitam // ŚivP_1,7.24ab/	itas param saKe me adya tvayA kartavyam-Ipsitam // ŚivS-_1,7.24ab/
   mayā saha tvayā vācyametadviṣṇośca sannidhau // ŚivP_1,7.24cd/	mayA saha tvayA vAcyam-etat-vizNoH-ca sanniDO // Śivj-_1,7.24cd/
   staṃbhāṃto vīkṣito dhātrā tatra sākṣyahamacyuta // ŚivP_1,7.25ab/	staMBAMtaH vIkzitaH DAtrA tatra sAkzi-aham-acyuta // ŚivS-_1,7.25ab/
   ityuktvā ketakaṃ tatra praṇanāma punaḥ naḥ // ŚivP_1,7.25cd/	iti-uktvA ketakam tatra praNanAma punar naH // Śivj-_1,7.25cd/
   asatyamapi śastaṃ syādāpadītyanuśāsanam // ŚivP_1,7.25ef/	asatyam-api Sastam syAt-Apadi-iti-anuSAsanam // ŚivS-_1,7.25ef/
   samīkṣya tatrā 'cyutamāyataśramaṃ pranaṣṭaharṣaṃ tu nanarta harṣāt //	samIkzya tatrA acyutam-Ayata-Sramam pranazwa-harzam tu nanarta harzAt //
   ŚivP_1,7.26ab/	ŚivS-_1,7.26ab/
   uvāca cainaṃ paramārthamacyutaṃ ṣaṃḍhāttavādaḥ sa vidhistato 'cyutam //	uvAca ca-enam parama-arTam-acyutam zaMXa-At-tava-AdaH sa viDiH-tatas acyutam //
   ŚivP_1,7.26cd/	Śivj-_1,7.26cd/
   staṃbhāgrametatsamudīkṣitaṃ hare tatraiva sākṣī nanu ketakaṃ tvidam //	staMBa-agram-etat-samudIkzitam hare tatra-eva sAkzI nanu ketakam tu-idam //
   ŚivP_1,7.27ab/	ŚivS-_1,7.27ab/
   tato 'vadattatra hi ketakaṃ mṛṣā tatheti taddhātṛvacastadaṃtike //	tatas avadat-tatra hi ketakam mRzA taTA-iti tad-hAtR-vacaH-tad-aMtike //
   ŚivP_1,7.27cd/	Śivj-_1,7.27cd/
   hariśca tatsatyamitīva ciṃtayaṃścakāra tasmai vidhaye namaḥ svayam //	hariH-ca tat-satyam-iti-iva ciMtayan=-cakAra tasmE viDaye namaH svayam //
   ŚivP_1,7.28ab/	ŚivS-_1,7.28ab/
   ṣoḍaśairupacāraiśca pūjayāmāsa taṃ vidhim // ŚivP_1,7.28cd/	zoxaSEH-upacArEH-ca pUjayAmAsa tam viDim // Śivj-_1,7.28cd/
   vidhiṃ prahartuṃ śaṭhamagniliṃgataḥ sa īśvarastatra babhūva sākṛtiḥ //	viDim prahartum SaWam-agni-liMgataH saH ISvaraH-tatra baBUva sa-AkRtiH //
   ŚivP_1,7.29ab/	ŚivS-_1,7.29ab/
   samutthitaḥ svāmi vilokanātpunaḥ prakaṃpapāṇiḥ parigṛhya tatpadam //	samutTitaH svAmi vilokanAt-punar prakaMpa-pANiH parigRhya tad-padam //
   ŚivP_1,7.29cd/	Śivj-_1,7.29cd/
   ādyaṃtahīnavapuṣi tvayi mohabuddhyā bhūyādvimarśa iha nāvati kāmanotthaḥ	Adi-aMta-hIna-vapuzi tvayi moha-budDyA BUyAt-vimarSaH iha na-avati kAmanA-utTaH
   // ŚivP_1,7.30ab/	// ŚivS-_1,7.30ab/
   sa tvaṃ prasīda karuṇākara kaśmalaṃ nau mṛṣṭaṃ kṣamasva vihitaṃ bhavataiva	sa tvam prasIda karuNA-kara kaSmalam nO mRzwam kzamasva vihitam BavatA-eva
   kelyā // ŚivP_1,7.30cd/	kelyAH // ŚivS-_1,7.30cd/
   īśvara uvāca	ISvaraH uvAca
   vatsaprasanno 'smi hare yatastvamīśatvamicchannapi satyavākyam //	vatsa-prasannaH asmi hare yatas-tvam-ISa-tvam-icCan=-api satya-vAkyam //
   ŚivP_1,7.31ab/	ŚivS-_1,7.31ab/
   brūyāstataste bhavitā janeṣu sāmyaṃ mayā satkṛtirapyalapthāḥ //	brUyAH-tatas-te BavitA janezu sAmyam mayA satkRtiH-api-alapTAH //
   ŚivP_1,7.31cd/	Śivj-_1,7.31cd/
   itaḥ paraṃ te pṛthagātmanaśca kṣetrapratiṣṭhotsavapūjanaṃ ca //	itas param te pRTak-AtmanaH-ca kzetra-pratizWA-utsava-pUjanam ca //
   ŚivP_1,7.32ab/	ŚivS-_1,7.32ab/
   iti devaḥ purā prītaḥ satyena haraye param // ŚivP_1,7.33ab/	iti devaH purA prItaH satyena haraye param // ŚivS-_1,7.33ab/
   dadau svasāmyamatyarthaṃ devasaṃghe ca paśyati // ŚivP_1,7.33cd/	dadO sva-sAmyam-atyarTam deva-saMGe ca paSyati // Śivj-_1,7.33cd/
   iti śrīśivamahāpurāṇe vidyeśvarasaṃhitāyāṃ saptamo 'dhyāyaḥ	iti SrI-Siva-mahApurANe vidyeSvara-saMhitAyAm saptamaH aDyAyaH
   Chapter 8	ChapteH 8
   nandikeśvara uvāca	nandikeSvaraH uvAca
   sasarjātha mahādevaḥ puruṣaṃ kaṃcidadbhutam // ŚivP_1,8.1ab/	sasarja-aTa mahAdevaH puruzam kaMcid-adButam // ŚivS-_1,8.1ab/
   bhairavākhyaṃ bhruvormadhyādbrahmadarpajighāṃsayā // ŚivP_1,8.1cd/	BErava-AKyam BruvoH-maDyAt-brahma-darpa-jiGAMsayA // Śivj-_1,8.1cd/
   sa vai tadā tatra patiṃ praṇamya śivamaṃgaṇe // ŚivP_1,8.2ab/	sa vE tadA tatra patim praNamya Siva-maMgaNe // ŚivS-_1,8.2ab/
   kiṃ kāryaṃ karavāṇyatra śīghramājñāpaya prabho // ŚivP_1,8.2cd/	kim kAryam karavANi-atra SIGram-AjQApaya praBo // Śivj-_1,8.2cd/
   vatsayo 'yaṃ vidhiḥ sākṣājjagatāmādyadaivatam // ŚivP_1,8.3ab/	vatsayaH ayam viDiH sAkzAt-jagatAm-Adya-dEvatam // ŚivS-_1,8.3ab/
   nūnamarcaya khaḍgaṃ svaṃ tigmena javasā param // ŚivP_1,8.3cd/	nUnam-arcaya Kaxgam svam tigmena javasA param // Śivj-_1,8.3cd/
   sa vai gṛhītvaikakareṇa keśaṃ tatpañcamaṃ dṛptamasatyabhāṣaṇam //	sa vE gRhItvA-eka-kareNa keSam tat-paQcamam dRptam-asatya-BAzaNam //
   ŚivP_1,8.4ab/	ŚivS-_1,8.4ab/
   chittvā śirāṃsyasya nihaṃtumudyataḥ prakaṃpayankhaḍgamatisphuṭaṃ karaiḥ //	CittvA SirAMsi-asya nihaMtum-udyataH prakaMpayan-Kaxga-m-ati-sPuwam karEH //
   ŚivP_1,8.4cd/	Śivj-_1,8.4cd/
   pitā tavotsṛṣṭavibhūṣaṇāṃbarasraguttarīyāmalakeśasaṃhatiḥ // ŚivP_1,8.5ab/	pitA tava-utsRzwa-viBUzaNa-aMbara-sraj-uttarIya-amala-keSa-saMhatiH // ŚivS-_1,8.5ab/
   pravātaraṃbheva lateva caṃcalaḥ papāta vai bhairavapādapaṃkaje //	pravAta-raMBA-iva latA-iva caMcalaH papAta vE BErava-pAda-paMka-je //
   ŚivP_1,8.5cd/	Śivj-_1,8.5cd/
   tāvadvidhiṃ tāta didṛkṣuracyutaḥ kṛpālurasmatpatipādapallavam //	tAvat-viDim tAta didRkzuH-acyutaH kRpAluH-asmad-pati-pAda-pallavam //
   ŚivP_1,8.6ab/	ŚivS-_1,8.6ab/
   niṣicya bāṣpairavadatkṛtāṃjaliryathā śiśuḥ svaṃ pitaraṃ kalākṣaram //	nizicya bAzpEH-avadat-kRta-aMjaliH-yaTA SiSuH svam pitaram kalA-akzaram //
   ŚivP_1,8.6cd/	Śivj-_1,8.6cd/
   acyuta uvāca	acyutaH uvAca
   tvayā prayatnena purā hi dattaṃ yadasya pañcānanamīśacihnam //	tvayA prayatnena purA hi dattam yat-asya paQcAnanam-ISa-cihnam //
   ŚivP_1,8.7ab/	ŚivS-_1,8.7ab/
   tasmātkṣamasvādyamanugrahārhaṃ kuru prasādaṃ vidhaye hyamuṣmai //	tasmAt-kzamasva-Adyam-anugraha-arham kuru prasAdam viDaye hi-amuzmE //
   ŚivP_1,8.7cd/	Śivj-_1,8.7cd/
   ityarthito 'cyuteneśastuṣṭaḥ suragaṇāṃgaṇe // ŚivP_1,8.8ab/	iti-arTitaH acyutena-ISaH-tuzwaH sura-gaNAMgaNe // ŚivS-_1,8.8ab/
   nivartayāmāsa tadā bhairavaṃ brahmadaṃḍataḥ // ŚivP_1,8.8cd/	nivartayAmAsa tadA BEravam brahmadaMxataH // Śivj-_1,8.8cd/
   athāha devaḥ kitavaṃ vidhiṃ vigatakaṃdharam // ŚivP_1,8.9ab/	aTa-Aha devaH kitavam viDim vigata-kaMDaram // ŚivS-_1,8.9ab/
   brahmaṃstvamarhaṇākāṃkṣī śaṭhamīśatvamāsthitaḥ // ŚivP_1,8.9cd/	brahman=-tvam-arhaNA-kAMkzI SaWam-ISa-tvam-AsTitaH // Śivj-_1,8.9cd/
   nātaste satkṛtirloke bhūyātsthānotsavādikam // ŚivP_1,8.10ab/	na-atas-te satkRtiH-loke BUyAt-sTAna-utsava-Adikam // ŚivS-_1,8.10ab/
   brahmovaca	brahmA-uvaca
   svāminprasīdādya mahāvibhūte manye varaṃ varada me śirasaḥ pramokṣam //	svAmin-prasIda-adya mahA-viBUte manye varam vara-da me SirasaH pramokzam //
   ŚivP_1,8.10cd/	Śivj-_1,8.10cd/
   namastubhyaṃ bhagavate baṃdhave viśvayonaye // ŚivP_1,8.11ab/	namaH-tuByam Bagavate baMDave viSvayonaye // ŚivS-_1,8.11ab/
   sahiṣṇave sarvadoṣāṇāṃ śaṃbhave śailadhanvane // ŚivP_1,8.11cd/	sahizNave sarva-dozANAm SaMBave SElaDanvane // Śivj-_1,8.11cd/
   īśvara uvāca	ISvaraH uvAca
   arājabhayametadvai jagatsarvaṃ na śiṣyati // ŚivP_1,8.12ab/	arAja-Bayam-etat-vE jagat-sarvam na Sizyati // ŚivS-_1,8.12ab/
   tatastvaṃ jahi daṃḍārhaṃ vaha lokadhuraṃ śiśo // ŚivP_1,8.12cd/	tatas-tvam jahi daMxArham vaha lokaDuram SiSaH // Śivj-_1,8.12cd/
   varaṃ dadāmi te tatra gṛhāṇa durlabhaṃ param // ŚivP_1,8.13ab/	varam dadAmi te tatra gRhANa durlaBam param // ŚivS-_1,8.13ab/
   vaitānikeṣu gṛhyeṣu yajñe ca bhavān guruḥ // ŚivP_1,8.13cd/	vEtAnikezu gRhyezu yajQe ca BavAn guruH // Śivj-_1,8.13cd/
   niṣphalastvadṛte yajñaḥ sāṃgaśca sahadakṣiṇaḥ // ŚivP_1,8.14ab/	nizPalaH-tvad-Rte yajQaH sAMgaH-ca saha-dakziNaH // ŚivS-_1,8.14ab/
   athāha devaḥ kitavaṃ ketakaṃ kūṭasākṣiṇam // ŚivP_1,8.14cd/	aTa-Aha devaH kitavam ketakam kUwa-sAkziNam // Śivj-_1,8.14cd/
   re re ketaka duṣṭastvaṃ śaṭha dūramito vraja // ŚivP_1,8.15ab/	re re ketaka duzwaH-tvam SaWa dUra-mitas vrajaH // ŚivS-_1,8.15ab/
   mamāpi prema te puṣpe mā bhūtpūjāsvitaḥ param // ŚivP_1,8.15cd/	mama-api prema te puzpe mA BUt-pUjA-asvitas param // Śivj-_1,8.15cd/
   ityukte tatra devena ketakaṃ devajātayaḥ // ŚivP_1,8.16ab/	iti-ukte tatra devena ketakam deva-jAtayaH // ŚivS-_1,8.16ab/
   sarvāni vārayāmāsustatpārśvādanyatastadā // ŚivP_1,8.16cd/	sarvAni vArayAmAsuH-tad-pArSvAt-anyatas-tadA // Śivj-_1,8.16cd/
   ketaka uvāca	ketakaH uvAca
   namaste nātha me janmaniṣphalaṃ bhavadājñayā // ŚivP_1,8.17ab/	namaH-te nATa me janma-nizPalam Bavat-AjQayA // ŚivS-_1,8.17ab/
   saphalaṃ kriyatāṃ tāta kṣamyatāṃ mama kilbiṣam // ŚivP_1,8.17cd/	saPalam kriyatAm tAta kzamyatAm mama kilbizam // Śivj-_1,8.17cd/
   jñānājñānakṛtaṃ pāpaṃ nāśayatyeva te smṛtiḥ // ŚivP_1,8.18ab/	jQAna-ajQAna-kRtam pApam nASayati-eva te smRtiH // ŚivS-_1,8.18ab/
   tādṛśe tvayi dṛṣṭe me mithyādoṣaḥ kuto bhavet // ŚivP_1,8.18cd/	tAdRSe tvayi dRzwe me miTyA-dozaH kutas Bavet // Śivj-_1,8.18cd/
   tathā stutastu bhagavānketakena sabhātale // ŚivP_1,8.19ab/	taTA stutaH-tu BagavAn-ketakena saBA-tale // ŚivS-_1,8.19ab/
   na me tvaddhāraṇaṃ yogyaṃ satyavāgahamīśvaraḥ // ŚivP_1,8.19cd/	na me tvad-DAraNam yogyam satya-vAc-aham-ISvaraH // Śivj-_1,8.19cd/
   madīyāstvāṃ dhariṣyaṃi janma te saphalaṃ tataḥ // ŚivP_1,8.20ab/	madIyAH-tvAm DarizyaMi janma te saPalam tatas // ŚivS-_1,8.20ab/
   tvaṃ vai vitānavyājena mamopari bhaviṣyasi // ŚivP_1,8.20cd/	tvam vE vitAna-vyAjena mama-upari Bavizyasi // Śivj-_1,8.20cd/
   ityanugṛhya bhagavānketakaṃ vidhimādhavau // ŚivP_1,8.21ab/	iti-anugRhya BagavAn-ketakam viDi-mADavO // ŚivS-_1,8.21ab/
   virarāja sabhāmadhye sarvadevairabhiṣṭutaḥ // ŚivP_1,8.21cd/	virarAja saBA-maDye sarva-devEH-aBizwutaH // Śivj-_1,8.21cd/
   iti śrīśivamahāpurāṇe vidyeśvarasaṃhitāyāmaṣṭamo 'dhyāyaḥ	iti SrI-Siva-mahApurANe vidyeSvara-saMhitAyAm-azwamaH aDyAyaH
   Chapter 9	ChapteH 9
   nandikeśvara uvāca	nandikeSvaraH uvAca
   tatrāṃtare tau ca nāthaṃ praṇamya vidhimādhavau // ŚivP_1,9.1ab/	tatra-aMtare tO ca nATam praNamya viDi-mADavO // ŚivS-_1,9.1ab/
   baddhāṃjalipuṭau tūṣṇīṃ tasthaturdakṣavāmagau // ŚivP_1,9.1cd/	badDa-aMjali-puwO tUzNIm tasTa-tuH-dakza-vAma-gO // Śivj-_1,9.1cd/
   tatra saṃsthāpya tau devaṃ sakuṭuṃbaṃ varāsane // ŚivP_1,9.2ab/	tatra saMsTApya tO devam sa-kuwuMbam varAsane // ŚivS-_1,9.2ab/
   pūjayāmāsatuḥ pūjyaṃ puṇyaiḥ puruṣavastubhiḥ // ŚivP_1,9.2cd/	pUjayAmAsatuH pUjyam puNyEH puruza-vastuBiH // Śivj-_1,9.2cd/
   pauruṣaṃ prākṛtaṃ vastujñeyaṃ dīrghālpakālikam // ŚivP_1,9.3ab/	pOruzam prAkRtam vastu-jQeyam dIrGa-alpa-kAlikam // ŚivS-_1,9.3ab/
   hāranūpurakeyūrakirīṭamaṇikuṃḍalaiḥ // ŚivP_1,9.3cd/	hAra-nUpura-keyUra-kirIwa-maNi-kuMxalEH // Śivj-_1,9.3cd/
   yajñasūtrottarīyasrakkṣaumamālyāṃgulīyakaiḥ // ŚivP_1,9.4ab/	yajQasUtra-uttarIya-sraj-kzOma-mAlya-aMgulIyakEH // ŚivS-_1,9.4ab/
   puṣpatāṃbūlakarpūracaṃdanāgurulepanaiḥ // ŚivP_1,9.4cd/	puzpa-tAMbUla-karpUra-caMdana-aguru-lepanEH // Śivj-_1,9.4cd/
   dhūpadīpasitacchatravyajanadhvajacāmaraiḥ // ŚivP_1,9.5ab/	DUpa-dIpa-sita=-Catra-vyajana-Dvaja-cAmarEH // ŚivS-_1,9.5ab/
   anyairdivyopahāraiśca vāṅmanotītavaibhavaiḥ // ŚivP_1,9.5cd/	anyEH-divya-upahArEH-ca vAc-manotIta-vEBavEH // Śivj-_1,9.5cd/
