   Antarvyāptisamarthanam /	Antar vyApti samarTanam /
   sādhyadharmmayuktaḥ sarvvaḥ sāmānyena sapakṣaḥ, atadyuktaścāsapakṣa iti /	sADya Darmma yuktaH sarvvaH sAmAnyena sa pakzaH, atadyuktaH ca asa pakzaH iti /
   tasmin sapakṣa eva sattvamasapakṣe cāsattvameva	tasmin sa pakzaH eva sattvam asapakze ca asattvam eva
   yathākramamanvayavyatirekau tau punaryatra tatra vā dharmmiṇi grahītavyau	yaTAkramam anvaya vyatirekO tO punar yatra tatra vA DarmmiNi grahItavyO
   yatra śakyau grahītum /	yatra SakyO grahItum /
   tadiha sattvasya sarvvato 'kṣaṇikādvyāvṛttau bādhakabalāt sidvāyāṃ yat	tat iha sattvasya sarvu atas akzaNikA dvi AvRttO bADaka balAt sidvAyAm yat 
   sattat kṣaṇikameveti anvayaḥ sādhyadharmmiṇyavagṛhyate / tatra dṛṣṭasya	sat tat kzaNikam eva iti anvayaH sADya DarmmiNI avagRhyate / tatra dRzwasya
   hetorvyāptigrahaṇāt dharmmyantarāsambhavāt / sambhave 'pi	hetoH vyApti grahaNAt Darmmi antara asamBavAt / samBave api
   tadanusaraṇavaiyarthyāt / yadyevamasādhāraṇo nāma kathamanaikāntika uktaḥ	tad anusaraNa vEyarTyAt / yadi evam asADAraNaH nAma kaTam anEkAntikaH uktaH
   asādhāraṇatāṃ hetudoṣammūḍhavyapekṣayā /	asADAraNa tAm hetu dozam mUXa vyapekzayA /
   abravīdagrahādvyāpti(pte)rnaivaṃ sarvvopasaṃhṛtau //	abravIt agrahAt vyApti (pte)H na evam sarvva upasaMhRtO //
   uktametajjaḍadhiyo dharmmyantara eva vyāptigrahaṇaṃ pratipannāḥ /	uktam etat jaxa DiyaH Darmmi antaraH eva vyApti grahaNam pratipannAH /
   tadabhimānāpekṣayāsādhāraṇamanaikāntikamāha śrāvaṇatvaṃ dṛṣṭāntābhāvāt /	tad aBimAna apekzayA asADAraNam anEkAntikam Aha SrAvaNa tvam dRzwAnta aBAvAt /
   sādhyadharmmiṇi ca vyāptiraniṣṭeragṛhītāyāṃ vyāptau	sADya DarmmiNi ca vyAptiH anizweragRhItAyAm vyAptO
   sandigdhobhayatayāniścayakaratvāt / athavā asādhāraṇataiva śrāvaṇatvasya	sandigDa uBaya tayA niScaya kara tvAt / aTavA asADAraNa tA eva SrAvaNa tvasya
   mūḍhābhimānopakalpitā / dṛṣṭaiva hi śabdavyaktidharmmiṇī vivādādhikaraṇāt	mUXa aBimAna upakalpitA / dRzwA eva hi Sabda vyakti DarmmiNI vivAda aDikaraNAt
   / anyathā dharmmyasidviprasaṅgācca / dṛṣṭādṛṣṭaśabdavyaktisādhāraṇañca	/ anyaTA Darmmi asi dvi prasaFgAt ca / dRzwa adRzwa Sabda vyakti sADAraNaQca
   śrāvaṇatvaṃ hetuḥ / dhūmasāmānyavat / tataḥ sarvvopasaṃhāravatyāḥ vyāpteḥ	SrAvaNa tvam hetuH / DUma sAmAnya vat / tatas sarvva upasaMhAravatyAH vyApteH
   sambhavāt sattvādivadadṛṣṭameva sādhanaṃ śrāvaṇatvākhyaṃ /	samBavAt sattva Adi vat adRzwam eva sADanam SrAvaNa tva AKyam /
   kramayaugapadyānupalambha eva cātra bādhakaṃ pramāṇaṃ / śrotrajñānajana	krama yOgapadya anupalamBaH eva ca atra bADakam pramANam / Srotra jQAna jana
   katvameva hi śrāvaṇatvaṃ / tasmānmūḍhavyapekśayāsādhāraṇatvāt /	ka tvam eva hi SrAvaNa tvam / tasmAt mUXa vyapekSayAsa ADAraNa tvAt /
   asādhāraṇasya sarvvopasaṃhārāyogāt / sādhya dharmmiṇi vyāptipratītāveva	asADAraNasya sarvva upasaMhArA yogAt / sADya DarmmiNi vyApti pratItO= eva
   sādhyapratīteḥ sādhanavaiphalyaṃ syādeva / tanmābhūvvaiphalyamiti naiva	sADya pratIteH sADana vEPalyam syAt eva / tat mA aBU = vEPalyam iti na eva
   vyāptirgrahītavyā / tasyāmagṛhītāyāṃ sandigdhobhayatayā	vyAptiH grahItavyA / tasya Am agRhItAyAm sandigDa uBaya tayA
   syādanaikāntikatvaṃ / sarvvopasaṃhāreṇa tu vyāptigrahaṇe yathoktanyāyena	syAt anEkAntika tvam / sarvvA upasaMhAreNa tu vyApti grahaNe yaTA ukta nyAyena
   sādhanavaiphalyābhāvāt / aduṣṭaṃ sattvādi sādhanameveti veditavyam /	sADana vEPalya aBAvAt / aduzwam sattva Adi sADanam eva iti veditavyam /
   tadevamubhayathā mūḍhajanāpekṣayāsādhāraṇamanaikāntikamuktam /	tat evam uBayaTA mUXa jana apekzayA sADAraNam anEkAntikam uktam /
   samānañcaitadvahirvyāptivādināmapi yadi hi mūḍhamatāpekṣā na syāt syādeva	samAnaQca etat vahiH vyApti vAdinAm api yadi hi mUXam ata apekzA na syAt syAt eva
   śrāvaṇatvamaduṣṭo hetuḥ / satvādivanniyataśabdeṣu hi vivāde śabdāntaraṃ	SrAvaNa tvam aduzwaH hetuH / satva Adi vat niyata Sabdezu hi vivAde Sabda antaram
   syāt /	syAt /
   dṛṣṭāntaḥ sarvvaśabdeṣu vigatau bādhakaṃ pramāṇaṃ pravarttammanaṃ	dRzwAntaH sarvu aSabdezu vigatO bADakam pramANam pravarttammanam
   adṛṣṭāntamapi tatraikaṃ dṛṣṭāntayatīti kathama sādhāraṇamanaikāntikaṃ veti	adRzwAntam api tatra ekam dRzwAntayati iti kaTama sADAraNam anEkAntikam vA iti
   antarvyāptisamarthanaṃ samāptamiti // 0 //	antar vyApti samarTanam samAptam iti // 0 //
   kṛtiriyaṃ ratnākaraśāntipādānāmiti // 0 //	kRtiH iyam ratna Akara SAnti pAdAnAm iti // 0 //
