   Abhidharmadīpaḥ	ABiDarma-dIpaH
   vaiśiṣṭyānmānasaṃ sātaṃ sukhaṃ kvacidudāhṛtam // [87ab] //	vESizwyAt-mAnasam sAtam suKam kvacid-udAhRtam // [87ab] //
   ṣaṭsu bhūmiṣu vijñeyaṃ nīrajaskādyamindriyam /	zawsu BUmizu vijQeyam nIrajaska-Adyam-indriyam /
   tadanye nirmale tvakṣe draṣṭavye navabhūmike // [88] //	tad-anye nirmale tu-akze drazwavye nava-BUmike // [88] //
   daurmaṇa(na)syaṃ dvihātavyaṃ manovittitrayaṃ tridhā /	dOrmaNa(na)syam dvihAtavyam manaH-vitti-trayam triDA /
   navābhyāsapraheyāni(ṇi) dvidhā [pañca] na tu trayam // [89] //	nava-aByAsa-praheyA-ni(Ni) dviDA [paQca] na tu trayam // [89] //
   pūrvaṃ kramodbhavaiḥ kāme vipāko [labhya]te dvayam /	pUrvam krama-udBavEH kAme vipAkaH [laBya-]te dvayam /
   anyaiḥ ṣaṭ sapta vāṣṭau vā ṣaḍ rūpe antye tu jīvitam // [90] //	anyEH zaw sapta vA-azwO vA zaw rUpe antye tu jIvitam // [90] //
   mriyamāṇai(rni)rodhyante trīṇyante aṣṭau tu madhyame /	mriyamANE(rni)roDi-ante trINi-ante azwO tu maDyame /
   daśāṣṭau nava catvāri kāme pañca śubhāni vā // [91] //	daSa-azwO nava catvAri kAme paQca SuBAni vA // [91] //
   abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau dvitīyasyādhyāyasya prathamaḥ pādaḥ	aBiDarma-dIpe viBAzA-praBAyAm vRttO dvitIyasya-aDyAyasya praTamaH pAdaH
   dvitīyādhyāye dvitīyapādaḥ /	dvitIya-aDyAye dvitIya-pAdaH /
   ādyantalābho navabhiḥ saptāṣṭābhiśca madhyayoḥ /	Adi-anta-lABaH navaBiH sapta-azwABiH-ca maDyayoH /
   ekādaśabhirāptistu phalasyāntya[sya] hānitaḥ // [92] //	ekAdaSaBiH-AptiH-tu Palasya-antya[sya] hAnitaH // [92] //
   svasya dhātoḥ parijñānaṃ svavipakṣadṛśā pathā // [93ab] //	svasya DAtoH parijQAnam sva-vipakza-dRSA paTA // [93ab] //
   kāmadhātuparijñānaṃ prāyaḥ saptabhiriṣyate /	kAmaDAtu-parijQAnam prAyas saptaBiH-izyate /
   samalairnirmalaistvarthairaṣṭābhirabhidhīyate // [94] //	sa-malEH-nirmalEH-tu-arTEH-azwABiH-aBiDIyate // [94] //
   rūpadhātuparijñānamiṣṭaṃ daśabhirindriyaiḥ /	rUpa-DAtu-parijQAnam-izwam daSaBiH-indriyEH /
   antyadhātuparijñānamekādaśabhirucyate // [95] //	antya-DAtu-parijQAnam-ekAdaSaBiH-ucyate // [95] //
   sarvasattvāstridhātusthā upekṣāyurmaṇo(no) 'nvitāḥ /	sarva-sattvAH-tri-DAtu-sTAH upekza-AyuH-maNo(no) anvitAH /
   tvakstrītvavyañjanaiḥ kāme rūpiṇaścakṣurādibhiḥ // [96] //	tvac-strI-tva-vyaQjanEH kAme rUpiNaH-cakzuH-AdiBiH // [96] //
   kāminaḥ khalu duḥkhena tadrāgī durmaṇa(na)stayā /	kAminaH Kalu duHKena tad-rAgI durmaNa(na)H-tayA /
   ūrdhvajastu sukhenāryaḥ śubhāhvādharajau tathā // [97] //	UrDva-jaH-tu suKena-AryaH SuBa-AhvA-Dara-jO taTA // [97] //
   pratītyā(prītyā) bhāhvādharodbhūtau śubhaiḥ sa śubhamūlakaḥ /	pratItyA(-prItyA) BAhva-aDara-udBUtO SuBEH sa SuBa-mUlakaH /
   śaikṣābhyāṃ mokṣamārgasthau [aśaikṣo 'rhan] svamārgagaḥ // [98] //	SEkzAByAm mokza-mArga-sTO [a-SEkzaH arhan] sva-mArga-gaH // [98] //
   upekṣāyurmaṇo(no) yukto 'vaśyaṃ trayasamanvitaḥ /	upekza-AyuH-maNo(no) yuktaH avaSyam traya-samanvitaH /
   caturbhiḥ kāyasukhavān cakṣuṣmānapi pañcabhiḥ // [99] //	caturBiH kAya-suKavAn cakzuzmAn-api paQcaBiH // [99] //
   strīndriyādyanvito 'ṣṭābhiḥ duḥkhī yuktastu saptabhiḥ /	strI-indriya-Adi-anvitaH azwABiH duHKI yuktaH-tu saptaBiH /
   ekādaśabhirantyābhyāṃ sapta ṣaḍbhistadādyavān // [100] //	ekAdaSaBiH-anti-AByAm sapta zaxBiH-tadAdyavAn // [100] //
   tridvīpanarakotpannā mithyātvaniyatā api /	tri-dvIpa-naraka-utpannA miTyAtva-niyatAH api /
   [bahubhiḥ] hyekānnaviṃśatyā svalpairaṣṭābhiranvitāḥ // [101] //	[bahuBiH] hi-ekAn-naviMSatyA svalpEH-azwABiH-anvitAH // [101] //
   antarābhavikapretatiryakśraddhānusāriṇa [:] /	antarABavika-preta-tiryak-SradDA-anusAriNaH [:] /
   tryadhikairdaśabhiryuktā daśabhirvā navādhikaiḥ // [102] //	tri-aDikEH-daSaBiH-yuktA daSaBiH-vA nava-aDikEH // [102] //
   samyaktvaniyatā ye tu ye ca śraddhādhimuktikāḥ /	samyaktva-niyatAH ye tu ye ca SradDA-aDimuktikAH /
   ta ekādaśabhiryuktā daśabhirvā navādhikaiḥ // [103] //	te ekAdaSaBiH-yuktAH daSaBiH-vA nava-aDikEH // [103] //
   prajñāvimuktanāmārhat kāyasākṣyubhayāhvayāḥ /	prajQA-vimukta-nAma-arhat kAya-sAkzi-uBaya-AhvayAH /
   akṣaikādaśakopetā yadi vāṣṭādaśānvitāḥ // [104] //	akza-ekAdaSaka-upetAH yadi vA-azwAdaSa-anvitAH // [104] //
   kāmadevā mṛtāḥ svalpairdaśabhiḥ saptakādhikaiḥ /	kAmadevAH mRtAH su-alpEH-daSaBiH saptaka-aDikEH /
   ta evaikonaviṃśatyā yuktā bahubhirindriyaiḥ // [105] //	te eva-ekonaviMSatyA yuktAH bahuBiH-indriyEH // [105] //
   [dvirdhyāna] jāstu sarvālpairdaśabhiḥ pañcakādhikaiḥ /	[dvirDyAna] jAstu sarva-alpEH-daSaBiH paQcaka-aDikEH /
   daśabhiḥ sacatuṣkaistu śubhakṛtsnāḥ samanvitāḥ // [106] //	daSaBiH sa-catuzkEH-tu SuBa-kRtsnAH samanvitAH // [106] //
   bṛhatphalā hi atyalpaistrayodaśabhiranvitāḥ /	bRhat-PalAH hi ati-alpEH-trayodaSaBiH-anvitAH /
   yuktāḥ ṣoḍaṣa(śa)bhistvete sarvabhūribhindriyaiḥ // [107] //	yuktAH zoxaza(-Sa)BiH-tu-ete sarva-BUri-BindriyEH // [107] //
   aṣṭābhirdaśabhiḥ saikairārūpyāḥ svalpabhūribhiḥ /	azwABiH-daSaBiH sa-ekEH-ArUpyAH su-alpa-BUriBiH /
   sadevakauravāḥ sattvāstrayodaśabhiranvitāḥ // [108] //	sa-deva-kOravAH sattvAH-trayodaSaBiH-anvitAH // [108] //
   aṣṭābhirniḥśubho yukto daśabhirvā trayādhikaiḥ /	azwABiH-niHSuBaH yuktaH daSaBiH-vA traya-aDikEH /
   dviliṅgāḥ paścimaiḥ svalpairviśatyāpyekayā param // [109] //	dvi-liFgAH paScimEH su-alpEH-viSatyA-api-ekayA param // [109] //
   saptadravyāvinirbhāgī paramāṇurbahirgataḥ /	sapta-dravya-avinirBAgI paramANuH-bahis-gataH /
   kāmeṣvekādhikaḥ kāye dvaydhikaścakṣurādiṣu // [110] //	kAmezu-eka-aDikaH kAye dvayDikaH-cakzuH-Adizu // [110] //
   evaṃ rūpe 'pi vijñeyo hitvā gandharasadvayam /	evam rUpe api vijQeyaH hitvA ganDa-rasa-dvayam /
   cittaṃ caitasikaiḥ sārdhaṃ saṃskṛtaṃ tu svalakṣaṇaiḥ // [111] //	cittam cEtasikEH sArDam saMskRtam tu sva-lakzaNEH // [111] //
   abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau dvitīyasya [adhyāyasya] dvitīyaḥ	aBiDarma-dIpe viBAzA-praBAyAm vRttO dvitIyasya [aDyAyasya] dvitIyaH
   pādaḥ //	pAdaH //
   dvitīyādhyāye tṛtīyapādaḥ /	dvitIya-aDyAye tRtIya-pAdaH /
   daśadharmā mahābhaumā vitsaṃjñācetanāsmṛtiḥ /	daSa-DarmA mahABOmA vid-saMjQA-cetana-asmRtiH /
   chandaḥ sparśo 'dhimokṣaśca dhīḥ samādhirmanaskṛtiḥ // [112] //	CandaH sparSaH aDimokzaH-ca DIH samADiH-manaskRtiH // [112] //
   śraddhāpekṣāpramādaśca prasrabdhirhrīrapatrapā /	SradDA-apekzA-pramAdaH-ca prasrabDiH-hrIH-apatrapAH /
   mūlavīryamahiṃsā ca śubhabhūkā daśasmṛtāḥ // [113] //	mUla-vIryam-ahiMsA ca SuBa-BUkAH daSa-smRtAH // [113] //
   styānaṃ pramattirāśraddhyamālasyaṃ mūḍhiruddhati[:] /	styAnam pramattiH-ASradDyam-Alasyam mUXiH-udDati[:] /
   kliṣṭe ṣaṭ aśubhe tu dve āhrīkyamanapatrapā // [114] //	klizwe zaw aSuBe tu dve AhrIkyam-anapatrapAH // [114] //
   māyāśāṭhyamadakrodhavihiṃserṣyāpradaṣṭayaḥ /	mAyA-SAWya-mada-kroDa-vihiMsA-IrzyA-pradazwayaH /
   sūkṣmopaṇā(nā)hamātsaryāṇyalpakleśabhuvo daśa // [115] //	sUkzma-upaNA(-na-a)ha-mAtsaryANi-alpa-kleSa-BuvaH daSa // [115] //
   pṛthivyādi yathā dravyaṃ nīlādiguṇayogataḥ /	pRTivI-Adi yaTA dravyam nIla-Adi-guNa-yogataH /
   taistairviśeṣyate śabdaiścaittayogānmanastathā // [116] //	tEH-tEH-viSezyate SabdEH-cEtta-yogAt-manaH-taTA // [116] //
   bhūtabhautikanānātvaṃ svarūpehākṛtaṃ yathā /	BUta-BOtika-nAnA-tvam svarUpa-iha-akRtam yaTA /
   tathaiva cittacaittānāṃ pṛthaktvamupadhāryatām // [117] //	taTA-eva citta-cEttAnAm pRTaktvam-upaDAryatAm // [117] //
   yathā saṃbandhisaṃbandhādvikāro 'mbhasi lakṣyate /	yaTA saMbanDi-saMbanDAt-vikAraH amBasi lakzyate /
   tathā saṃsargisaṃsargāccetovikṛtirīkṣyatām // [118] //	taTA saMsargi-saMsargAt-cetaH-vikRtiH-IkzyatAm // [118] //
   guṇo viśeṣaṇaṃ dharmo mātrāvṛttistathāśrayī /	guNaH viSezaNam DarmaH mAtrA-vRttiH-taTA-ASrayI /
   ityevamādayaḥ śabdāḥ pradhānāpekṣavṛttayaḥ // [119] //	iti-evamAdayaH SabdAH praDAna-apekza-vRttayaH // [119] //
   cittaṃ pradhānameteṣāṃ vastu mātragrahādibhiḥ /	cittam praDAnam-etezAm vastu mAtra-graha-AdiBiH /
   bījaṃ caitatpravṛttīnāṃ śuddhisaṃkarayorapi // [120] //	bIjam ca-etad-pravRttInAm SudDi-saMkarayoH-api // [120] //
   abhyudgacchati kāmāptaṃ dharmairdvādaśabhiḥ saha /	aByudgacCati kAma-Aptam DarmEH-dvAdaSaBiH saha /
   akliṣṭāvyākṛtaṃ cittaṃ raśmivāniva raśmibhiḥ // [121] //	aklizwa-avyAkRtam cittam raSmivAn-iva raSmiBiH // [121] //
   tathāṣṭādaśabhiścittairnivṛtaṃ jāyate manaḥ /	taTA-azwAdaSaBiH-cittEH-nivRtam jAyate manaH /
   dvāviṃśatyā sahāvaśyaṃ śubhaṃ bhavati mānasam // [122] //	dvAviMSatyA saha-avaSyam SuBam Bavati mAnasam // [122] //
   cetasossaha viṃśatyā cittamutpadyate 'śubham /	cetasoH-saha viMSatyA cittam-utpadyate aSuBam /
   dṛṅmohamātrayuktaṃ yat krodhādyaistvadhikaṃ vadet // [123] //	dRS-moha-mAtra-yuktam yat kroDa-AdyEH-tu-aDikam vadet // [123] //
   sarvatra saṃbhavānmiddhaṃ yatra syāttatra nirdiśet /	sarvatra saMBavAn-midDam yatra syAt-tatra nirdiSet /
   tadvadeva ca kaukṛtyamadhikaṃ gaṇayetkvacit // [124] //	tadvat-eva ca kOkRtyam-aDikam gaNayet-kvacid // [124] //
   sāśubhaṃ middhakaukṛtyaṃ rūpadhātau na vidyate /	sa-aSuBam midDa-kOkRtyam rUpa-DAtO na vidyate /
   dhyānāntare vitarkaśca vicāraścāpi nopari // [125] //	DyAna-antare vitarkaH-ca vicAraH-ca-api na-upari // [125] //
   saṃprayuktaḥ saṃskāraḥ samatā yasya pañcadhā /	saMprayuktaH saMskAraH sama-tA yasya paQcaDA /
   viprayuktaśca boddhavyaḥ samatā yasya nāstyasau // [126] //	viprayuktaH-ca bodDavyaH samatA yasya na-asti-asO // [126] //
   viśiṣṭāṇā (nā) masadbhāvātprasaṃgo nāsti rūpiṇām /	viSizwANA (nA) masadBAvAt-prasaMgaH na-asti rUpiNAm /
   saṃskāragrahaṇāccaiva khādīnāṃ ṇa(na) prasajyate // [127] //	saMskAra-grahaNAt-ca-eva Ka-AdInAm Na(na) prasajyate // [127] //
   prāptyādayastu saṃskārā viprayuktāstrayodaśa /	prApti-AdayaH-tu saMskArAH viprayuktAH-trayodaSa /
   āptoktisvakriyāliṅgā liṅgameṣāṃ gadiṣyate // [128] //	Apta-ukti-sva-kriyA-liFgA liFgam-ezAm gadizyate // [128] //
   prāptiḥ samanvitirlabdhirdharmavattā vyavasthitiḥ // [129ab] //	prAptiH samanvitiH-labDiH-DarmavattA vyavasTitiH // [129ab] //
   śrutacintāmayānāṃ ca samāpattidvayasya ca // [130cd] //	Sruta-cintA-mayAnAm ca samApatti-dvayasya ca // [130cd] //
   ni[:]kleśasaṃskṛtāpūrva(rvaṃ) śubhānāṃ tu rajasvatām /	ni[:]-kleSa-saMskRta-apUrva-(rvaM) SuBAnAm tu rajasvatAm /
   ādilābhe saha prākca tadūrdhvaṃ vā tridheṣyate // [131] //	Adi-lABe saha prAk-ca tad-UrDvam vA triDA-izyate // [131] //
   kliṣṭāṇāṃ kuśalānāṃ ca tadanyeṣāṃ tridhā matā /	klizwANAm kuSalAnAm ca tad-anyezAm triDA matA /
   nivṛtāvyākṛtā jñānanirmāṇamanasāṃ tathā // [132] //	nivRta-avyAkRtAH jQAna-nirmANa-manasAm taTA // [132] //
   nirvāṇasyādito lābhe nityasyānyasya sarvadā /	nirvANasya-Aditas lABe nityasya-anyasya sarvadA /
   ajā tavartamānā ca kadācittu tridheṣyate // [133] //	ajA tavartamAnA ca kadAcid-tu triDA-izyate // [133] //
   ekārtharuciheturyaḥ sattvānāṃ sa sabhāgatā /	eka-arTa-ruci-hetuH-yaH sattvAnAm sa saBA-gatA /
   āsaṃjñikaṃ vipāko yaccittopacchedyasaṃjñiṣu // [134] //	AsaMjQikam vipAkaH yat-citta-upacCedya-saMjQizu // [134] //
   śubhāsaṃjñisamāpattirdhyāne 'ntye cittarodhinī /	SuBA-saMjQi-samApattiH-DyAne antye citta-roDinI /
   niḥsṛtīcchāpravṛttitvāt nāryasya āpyā prayogataḥ // [135] //	niHsRti-icCA-pravRtti-tvAt nAryasya ApyA prayogataH // [135] //
   nirodhākhyā tu vijñeyā vijihīrṣorbhavāgrajā //	niroDa-AKyA tu vijQeyA vijihIrzoH-Bava-agrajAH //
   śubhāryaṃsya prayogāpyā dvivedyāniyatā matā // [136] //	SuBa-AryaMsya prayogApyAH dvi-vedya-aniyatA matA // [136] //
   cetaścatuṣṭayāyogādāgamādupapattitaḥ /	cetaH-catuzwayA-yogAt-AgamAt-upapattitaH /
   nirveditamanobhāvātsiddhyatīyamacittikā // [137] //	nirvedita-manoBAvAt-sidDi-atIyam-acittikAH // [137] //
   gatiprajñaptyupādānamāyuścittoṣmaṇoḥ sthitiḥ /	gati-prajQapti-upAdAnam-AyuH-citta-UzmaNoH sTitiH /
   āgamādyuktitaścaiva dravyatastatsadiṣyate // [138] //	AgamAt-yuktitaH-ca-eva dravyataH-tad-sadizyate // [138] //
   jātiḥ sthitirjarāṇā(nā)śaḥ saṃskṛtāṅkacaṣṭatuyī /	jAtiH sTitiH-jarANA(-nA)SaH saMskRta-aFka-cazwatuyI /
   catvāri sthitināstitve hetutvādyaprasiddhitaḥ // [139] //	catvAri sTitinA-astitve hetu-tva-adi-aprasidDitaH // [139] //
   śaktihānerjarāsiddhiḥ nānyatvāt pariṇāmitā /	SaktihAneH-jarA-sidDiH na-anya-tvAt pariNAmitAH /
   ekakāritranāśābhyāṃ śaktihāniḥ prasiddhyati // [140] //	eka-kAritra-nASAByAm Sakti-hAniH prasidDyati // [140] //
   sati janmani tadbhāvād dravyakāritranāśataḥ /	sati janmani tad-BAvAt dravya-kAritra-nASataH /
   āgamādupapatteśca vināśo 'pi sahetukaḥ // [141] //	AgamAt-upapatteH-ca vinASaH api sa-hetukaH // [141] //
   vākchabdādhīnajanmānaḥ svārthapratyāyanakriyāḥ /	vAc-Cabda-aDIna-janmAnaH sva-arTa-pratyAyana-kriyAH /
   saṃjñādyaparaṇā(nā)mānastrayo nāmādayaḥ smṛtāḥ // [142] //	saMjQA-Adi-a-paraNA(nA)mAnaH-trayaH nAma-AdayaH smRtAH // [142] //
   anye nāmādayaḥ śabdādaprāptārthaprakāśanāt /	anye nAma-AdayaH SabdAt-aprApta-arTa-prakASanAt /
   anityāste tu vijñeyāḥ sāpekṣārthavibhāvanāt // [143] //	anityAH-te tu vijQeyAH sa-apekzA-arTa-viBAvanAt // [143] //
   svarūpaṃ vedayaṃścchabdo vyañjanā dīni ca dhruvam /	svarUpam vedayaMS=-SabdaH vyaQjanAH dIni ca Druvam /
   arthapratyāyakaḥ prājñarbhaktikalpanayocyate // [144] //	arTa-pratyAyakaH prAjQarBakti-kalpanayA-ucyate // [144] //
   paramānu(ṇu)svabhāvatvād ghoṣaikatvaṃ na yujyate /	parama-anu(Nu)-svaBAva-tvAt Goza-eka-tvam na yujyate /
   tādātmyaṃ pratighātitvāt tatsiddhirvaraṇādibhiḥ // [145] //	tAdAtmyam pratiGAti-tvAt tad-sidDiH-varaNa-AdiBiH // [145] //
   sphoṭākhyo nāparo ghoṣācchabdo nityaḥ prasiddhyati /	sPowa-AKyaH na-aparaH GozAt-SabdaH nityaH prasidDyati /
   kramavṛtterṇa(rna) śabdena kaścidartho 'bhidhīyate // [146] //	krama-vRtterNa(rna) Sabdena kaScid-arTaH aBiDIyate // [146] //
   na śrutyā śrūyate śabdastadanyā ca gatiḥ śruteḥ /	na SrutyA SrUyate SabdaH-tad-anyA ca gatiH SruteH /
   yo brūyātsa svamātmānaṃ vidvadbhirapahāsayet // [147] //	yaH brUyAt-sa svam-AtmAnam vidvadBiH-apahAsayet // [147] //
   pratidyotyaṃ yathāyogaṃ niyatāniyatāśca te /	pratidyotyam yaTAyogam niyata-aniyatAH-ca te /
   niyatodbhāvanād buddhaḥ sarvajña iti gamyate // [148] //	niyata-udBAvanAt budDaH sarvajQaH iti gamyate // [148] //
   sattvākhyāḥ kāmarūpāptā niṣyandāvyākṛtāstathā /	sattva-AKyAH kAmarUpa-AptAH nizyanda-avyAkRtAH-taTA /
   tathaiva ca vipākaśca sābhāgyaṃ[prāptayo dvidhā] // [149] //	taTA-eva ca vipAkaH-ca sABAgyaM[prAptayaH dviDA] // [149] //
   [abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau dvitīyasyādhyāyasya tṛtīyaḥ pādaḥ	[aBi-Darma-dIpe viBAzA-praBAyAm vRttO dvitIyasya-aDyAyasya tRtIyaH pAdaH
   [dvitīyo 'dhyāyaḥ samāptaḥ //]	[dvitIyaH aDyAyaH samAptaH //]
   tṛtīyo 'dhyāyaḥ / caturthapādaḥ /	tRtIyaH aDyAyaH / caturTa-pAdaH /
   sattvākhyopadravābhāvānna caturthe 'sti sūtrataḥ /	sattva-AKya-upadrava-aBAvAt-na caturTe asti sUtrataH /
   vimānasya sama(sa)tvasya pradhvaṃsānnityatā kutaḥ // [150] //	vimAnasya sama(sa)tvasya praDvaMsAt-nitya-tA kutas // [150] //
   sapta tejobhirekādbhirgate 'dbhiḥ saptake punaḥ /	sapta tejoBiH-eka-adBiH-gate adBiH saptake punar /
   tejasā saptakāntyaikā vāyu[saṃvartanī tataḥ] // [151] //	tejasA sapta-kAntyA-ekA vAyu[-saMvartanI tatas-] // [151] //
   āgneyātsaptakādeka[:] pāvanīkimanantaram /	AgneyAt-saptakAt-eka[:] pAvanI-kim-anantaram /
   āyuṣparigrahādevaṃ śubhakṛtsnāyuredhanam // [152] //	AyuzparigrahAt-evam SuBa-kRt-snA-AyureDanam // [152] //
   vātādidoṣasādharmyā[tsattvā]ṇā(nāṃ) [tadvināśakāḥ] /	vAta-Adi-doza-sADarmyA[tsattva-a]NA(-nAM) [tad-vinASakAH] /
   ādhyātmiketi sārūpyānna bhūsaṃvartaṇī(nī) matā // [153] //	ADyAtmikA-iti sArUpyAt-na BU-saMvartaNI(-nI) matA // [153] //
   abhidharmadīpe [vibhāṣāprabhāyāṃ vṛttau tṛtīyasyādhyāyasya ca]turthaḥ	aBiDarma-dIpe [viBAzA-praBAyAm vRttO tRtIyasya-aDyAyasya ca]turTaH
   pādaḥ samāptaḥ //	pAdaH samAptaH //
   [tṛtīyo 'dhyāyaḥ samāptaḥ] //	[tRtIyaH aDyAyaH samAptaH] //
   caturtho 'dhyāyaḥ / prathamaḥ pādaḥ /	caturTaH aDyAyaH / praTamaH pAdaH /
   sattvopapattihetūnāṃ [vipatsaṃpa]dvidhāyiṇā [nā]m /	sattva-upapatti-hetUnAm [vipad-saMpa]-dviDAyiNA [nA]m /
   lokavacitryakartṝṇāṃ karma heturitīṣyate //] [154] //	loka-vacitrya-kartLNAm karma hetuH-iti-izyate //] [154] //
   kāyikaṃ vāṅmayaṃ caiva cetanākhyaṃ ca mānasam /	kAyikam vAc-mayam ca-eva cetana-AKyam ca mAnasam /
   karmāṇyetāni lokasya kāraṇaṃ neśvarādayaḥ / [155] //	karmANi-etAni lokasya kAraNam na-ISvara-AdayaH / [155] //
   vaiśvarūpyātkramotpādāttadvadanyatprasaṅgataḥ /	vESvarUpyAt-krama-utpAdAt-tadvat-anyat-prasaFgataH /
   nānyāpekṣā tapoyogo pakṣahānyādidoṣataḥ / [156] //	na-anya-apekzA tapaH-yogaH pakza-hAni-Adi-dozataH / [156] //
   karmaṇāṃ bodhyate śaktirvidhikālagrahādibhiḥ /	karmaNAm boDyate SaktiH-viDi-kAla-graha-AdiBiH /
   yato 'tasteṣu tācchabdyaṃ gaunyā(ṇyā) vṛttyā prayujyate // [157] //	yatas atas-tezu tAt-Sabdyam gOnyA(NyA) vRttyA prayujyate // [157] //
   pūrve vijñaptyavijñaptī cetanā mānasī kriyā // [158] //	pUrve vijQapti-avijQaptI cetanA mAnasI kriyA // [158] //
   [abhidharmadīpe vibhāṣāprabhāyāṃ vṛttau caturthādhyāyasya prathamaḥ pādaḥ]	[aBi-Darma-dIpe viBAzA-praBAyAm vRttO caturTa-aDyAyasya praTamaH pAdaH]
   caturthādhyāye dvitīyapādaḥ /	caturTa-aDyAye dvitIya-pAdaH /
   annamatyagniṇi(ni)rdagdhaṃ yathā sthālī ca saṃskṛtā /	annam-ati-agniNi(-ni)rdagDam yaTA sTAlI ca saMskRtAH /
   pāpadṛṣṭestathā śīlaṃ śāṭhyerṣyādikṣatātmanaḥ // [159] //	pApa-dRzweH-taTA SIlam SAWya-IrzyA-Adi-kzata-AtmanaH // [159] //
   saṃvṛtsaddṛṣṭyupetāto bhikṣutvaṃ paramārthataḥ /	saMvRtsat-dRzwi-upeta-ataH Bikzu-tvam paramArTataH /
   ekasampattu saṃvṛtyā dvayābhāve dvidhāpi na // [160] //	eka-sampad-tu saMvRtyAH dvaya-aBAve dviDA-api na // [160] //
   vigatāvaṇe jñāne buddhoktermukhyakalpanā /	vigata-avaNe jQAne budDa-ukteH-muKya-kalpanA /
   tadāśraye phale cāpi vijñeyā guṇakalpanā // [161] //	tad-ASraye Pale ca-api vijQeyA guNa-kalpanA // [161] //
   śāśvatatvaśubhatvābhyāṃ sarvāṇa (na)rthanivṛttitaḥ /	SASvata-tva-SuBa-tvAByAm sarvANaH (na)rTa-nivRttitaH /
   mukhyakalpanayā tadvaddharmo nirvāṇamucyate // [162] //	muKya-kalpanayA tadvat-DarmaH nirvANam-ucyate // [162] //
   āryāḥ śiṣyaguṇāḥ saṃghastathaiva paramārthataḥ /	AryAH Sizya-guNAH saMGaH-taTA-eva paramArTataH /
   etānyo yāti śaraṇaṃ sa yāti śaraṇatrayam // [163] //	etAn-yaH yAti SaraNam sa yAti SaraNa-trayam // [163] //
   mithyācāraḥ satāṃ garhyātparatrākaraṇāptitaḥ /	miTyA-AcAraH satAm garhyAt-paratra-akaraNa-AptitaH /
   pāpiṣṭhatvānmṛṣāvādo madyapāṇaṃ(naṃ) smṛtikṣayātū // [164] //	pApizWa-tvAt-mRzA-vAdaH madya-pANaM(naM) smRti-kzayAtU // [164] //
   sarvebhyo vartamānebhyo dvividhebhyo 'pi kāmajaḥ /	sarveByaH vartamAneByaH dviviDeByaH api kAma-jaH /
   trikālebhyastu maulebhyo labhyete bhāvanāmayau // [165] //	tri-kAleByaH-tu mOleByaH laByete BAvanA-mayO // [165] //
   sarvebhyaḥ sattvajātibhyaḥ saṃvaro vāṅgakāraṇaiḥ /	sarveByaH sattva-jAtiByaH saMvaraH vA-aFga-kAraNEH /
   sarvebhyo saṃvarāṅgebhyaḥ sattvebhyaśca na kāraṇaiḥ // [166] //	sarveByaH saMvara-aFgeByaH sattveByaH-ca na kAraNEH // [166] //
   kriyayā[ ']saṃvarapraptiḥ sa hābhyupagamena vā /	kriyayA[ a]saMvara-praptiH sa ha-aByupagamena vA /
   avijñaptirato 'nyasyāḥ kṣetrāṅgādiviśeṣataḥ // [167] //	avijQaptiH-atas anyasyAH kzetra-aFga-Adi-viSezataH // [167] //
   kāmāptasaṃvaratyāgaḥ śikṣāṇi(ni) kṣepaṇādibhiḥ /	kAma-Apta-saMvara-tyAgaH SikzANi(ni) kzepaNa-AdiBiH /
   patanīyarapītyeke tannetyanye tvayogataḥ // [168] //	patanIya-rapI-iti-eke tat-na-iti-anye tu-ayaH-gataH // [168] //
   ayogā(go) nāṃśuvidhvaṃsātpaṭadravyaṃ vinaśyati /	ayogA(-go) na-aMSu-viDvaMsAt-pawa-dravyam vinaSyati /
   sūtre dhvaṃsoktiranyārthā yatherṣyāśaṭhanādiṣu // [169] //	sUtre DvaMsa-uktiH-anya-arTAH yaTA-IrzyA-SaWana-Adizu // [169] //
   saddharmāntarddhito 'nye 'nye nāpūrvāpratilambhataḥ /	sadDarma-antardhitaH anye anye na-apUrvA-pratilamBataH /
   bhūsaṃcāreṇa hānyā ca tyajyate dhyānajaṃ śubham // [170] //	BU-saMcAreNa hA-anyA ca tyajyate DyAna-jam SuBam // [170] //
   tathārūpyāptamāryantu phalāptyakṣavihānibhiḥ /	taTArUpya-AptamAryantu Pala-apti-akza-vihAniBiH /
   asaṃvaro damaprāptirjīvitotsarjaṇā(nā) dibhiḥ // [171] //	asaMvaraH dama-prAptiH-jIvita-utsarjaNA(nA) diBiH // [171] //
   cittavegādivicchedairavijñaptistu madhyamā /	citta-vega-Adi-vicCedEH-avijQaptiH-tu maDyamA /
   kāmāptaṃ kuśalaṃ nāma tribhirmūlacchidādibhiḥ // [172] //	kAma-Aptam kuSalam nAma triBiH-mUla=-Cid-AdiBiH // [172] //
   pratipakṣodayātkliṣṭaṃ tridhātvāptaṃ vihīyate /	pratipakza-udayAt-klizwam triDAtu-Aptam vihIyate /
   sarve kāmeṣu rūpe dvādhe(ve)ko 'rūpiṣu lābhataḥ // [173] //	sarve kAmezu rUpe dvADe(ve)kaH arUpizu lABataH // [173] //
