   a-u-ma tryakṣaraṃ saṃkhyaṃ JñS_26.11c	a-u-ma tri-akzaram saMKyam JQH-_26.11c
   oṃkāraś ca viśiṣyate MJ_66b	oMkAraH ca viSizyate Mu-_66b
   oṃkāraś caiva dvimātras JñS_11.20a	oMkAraH ca-eva dvi-mAtraH JQH-_11.20a
   oṃkāras tūryyam eva ca MJ_70d	oMkAraH tUryyam eva ca M=-_70d
   oṃkārasya parigrahaḥ MJ_71b	oMkArasya parigrahaH Mt-_71b
   oṃkāraṃ ca nigadyate JñS_18.8d	oMkAram ca nigadyate JQH-_18.8d
   oṃkāraṃ tryakṣaraṃ tyajet JñS_8.9b	oMkAram tri-akzaram tyajet JQH-_8.9b
   oṃkāraṃ samudāḥṛtam GNP_15b	oMkAram samudAHRtam GNP_15b
   oṃkāraṃ hṛdaye sthāpya GNP_7a	oMkAram hRdaye sTApya GNP_7a
   oṃkāraṃ hṛdaye sthāpya JñS_15.5a	oMkAram hRdaye sTApya JQH-_15.5a
   oṃkāraṃ hṛdaye sthāpya Vṛh_57a	oMkAram hRdaye sTApya VRh_57a
   oṃkāraḥ kīrtitaḥ sadā GNP_26d	oMkAraH kIrtitaH sadA GNP_26d
   oṃkāraḥ paramaṃ sūkṣmaṃ MJ_66c	oMkAraH paramam sUkzmam M=-_66c
   oṃkāraḥ pāvakaḥ smṛtaḥ MJ_11b	oMkAraH pAvakaH smRtaH M=-_11b
   oṃkāraḥ samudāhṛtaḥ MJ_25b	oMkAraH samudAhRtaH M=-_25b
   oṃkāraḥ samudāḥṛtaḥ JñS_16.6b	oMkAraH samudAHRtaH JQH-_16.6b
   oṃkāraḥ saṃdhṛto yasmād Vṛh_57c	oMkAraH saMDRtaH yasmAt VRh_57c
   oṃkārāgnipradagdhātmā ? MJ_65a	oMkAra-agni-pradagDa-AtmA ? M=-_65a
   oṃkārāgnau tāni dagdhvā MJ_76c	oMkAra-agnO tAni dagDvA M=-_76c
   oṃkāro garuḍo jñātvā ? MJ_64c	oMkAraH garuxaH jQAtvA ? M=-_64c
   oṃkāro dvividhaḥ smṛtaḥ JñS_11.21b	oMkAraH dviviDaH smRtaH JQH-_11.21b
   oṃkāro hi nauś cocyate MJ_74b	oMkAraH hi nOH ca-ucyate M=-_74b
   ka ākāśaś ca kiṃ puṣpaṃ MJ_10a	kaH AkASaH ca kim puzpam M=-_10a
   kakāraḥ sakāras tathā JñS_12.8b	kakAraH sakAraH taTA JQH-_12.8b
   kaṇṭhamūle sthitā gaṅgā JñS_24.4c	kaNWa-mUle sTitA gaFgA JQH-_24.4c
   kaṇṭhasthaḥ śvetavarṇakaḥ JñS_10.12b	kaNWa-sTaH Sveta-varNakaH JQH-_10.12b
   kaṇṭhe tūryyam ihocyate MJ_41d	kaNWe tUryyam iha-ucyate M=-_41d
   kaṇṭhe vyāpī vakṣas tathā JñS_12.17b	kaNWe vyApI vakzaH taTA JQH-_12.17b
   kathaṃ jñeyaḥ si to stha ti ? MJ_60d	kaTam jQeyaH si taH sTa ti ? M=-_60d
   kathitaṃ ca manīṣinā JñS_18.9d	kaTitam ca manIzinA JQH-_18.9d
   kathyate nirmalaḥ śivaḥ GNP_43d	kaTyate nirmalaH SivaH GNP_43d
   kamalaṃ ca praṇālaṃ ca GNP_18a	kamalam ca praNAlam ca GNP_18a
   kamalaṃ ca praṇālaṃ ca JñS_16.9a	kamalam ca praNAlam ca JQH-_16.9a
   kamalaṃ ca praṇālaṃ ca MJ_56a	kamalam ca praNAlam ca M=-_56a
   kamalaṃ yadd hṛdi mūle MJ_20a	kamalam yadt hRdi mUle M=-_20a
   kamalānte ca hṛdmūle JñS_16.1a	kamala-ante ca hRd-mUle JQH-_16.1a
   kamalānte ca hṛnmūle GNP_10a	kamala-ante ca hRd-mUle GNP_10a
   karaṇam indhanaṃ tathā JñS_10.2b	karaNam inDanam taTA JQH-_10.2b
   karṇākṣanāsayoḥ sthāpyo JñS_12.15c	karNa-akza-nAsayoH sTApyaH JQH-_12.15c
   karmaphalasya tattvaṃ yat Vṛh_3b	karma-Palasya tattvam yat VRh_3b
   kalākūtāntakālakaḥ JñS_9.7b	kalA-kUta-anta-kAlakaH JQH-_9.7b
   kalis tūryyam ity ucyate MJ_40d	kaliH tUryyam iti ucyate M=-_40d
   kalpyate nirmalaḥ śivaḥ JñS_19.5b	kalpyate nirmalaH SivaH JQH-_19.5b
   kākarūpas tu sācāraḥ JñS_23.2c	kAka-rUpaH tu sa-AcAraH JQH-_23.2c
   kākahaṃsaḥ svarūpeṇa JñS_23.1c	kAkahaMsaH sva-rUpeNa JQH-_23.1c
   kā nadī ko hi pāvakaḥ MJ_10b	kA nadI kaH hi pAvakaH M=-_10b
   kāmarūpitvam eva ca JñS_11.5b	kAmarUpi-tvam eva ca JQH-_11.5b
   kāmaṃ krodhaṃ ca lobhaṃ ca MJ_76a	kAmam kroDam ca loBam ca M=-_76a
   kāyena manasā śubhaṃ MJ_1c	kAyena manasA SuBam M=-_1c
   kā rātriḥ ko ravis tathā MJ_10d	kA rAtriH kaH raviH taTA M=-_10d
   kāladṛṅga dṛṅgīpatyam GNP_58b	kAladRFga dRFgIpatyam GNP_58b
   kālā vikiraṇī tathā JñS_12.4b	kAlA vikiraNI taTA JQH-_12.4b
   kiñcit phalam avāpnuyuḥ GNP_17d	kiQcid Palam avApnuyuH GNP_17d
   kiñcit phalam avāpnuyuḥ JñS_16.8d	kiQcid Palam avApnuyuH JQH-_16.8d
   kim ādyaṃ so mṛtyuḥ kim ataḥ bhasmāyam JñS_25.21a	kim Adyam saH mRtyuH kim atas Basma-ayam JQH-_25.21a
   kim udakaiḥ sthalaiḥ anyaiḥ sūryam JñS_25.21b	kim udakEH sTalEH anyEH sUryam JQH-_25.21b
   kim uragabhujaṅgavyāghrajananaiḥ JñS_25.21c	kim uraga-BujaFga-vyAGra-jananEH JQH-_25.21c
   kiṃ tapovratam uttamam Vṛh_51b	kim tapaH-vratam uttamam VRh_51b
   kiṃ nu gataṃ daśadiśi MJ_2c	kim nu gatam daSa-diSi M=-_2c
   kiṃ nu jarati jīryyati MJ_2d	kim nu jarati jIryyati M=-_2d
   kiṃ nu jāgarti jāgrate MJ_2b	kim nu jAgarti jAgrate M=-_2b
   kiṃ nu suptaṃ śarīre 'smin MJ_2a	kim nu suptam SarIre asmin M=-_2a
   kiṃ punar vayasā vṛddha JñS_27.3a	kim punar vayasA vRdDa JQH-_27.3a
   kiṃ mārgasādhanaṃ jñānaṃ Vṛh_51a	kim mArga-sADanam jQAnam VRh_51a
   kiḥkāre ca mahāteja GNP_54c	kiHkAre ca mahA-teja GNP_54c
   kuṅkārākṣaravinduṣṭhaḥ JñS_12.20a	kuFkAra-akzara-vinduzWaH JQH-_12.20a
   kuṭumbaloke bahuputradhanyam JñS_22.2c	kuwumba-loke bahu-putra-Danyam JQH-_22.2c
   kuryāt paramapaṇḍitaḥ GNP_50d	kuryAt parama-paNxitaH GNP_50d
   kuryāt paramapaṇḍitaḥ JñS_1.1d	kuryAt parama-paNxitaH JQH-_1.1d
   kūrma unmīlane sthitaḥ Vṛh_46b	kUrmaH unmIlane sTitaH VRh_46b
   kūrmāras tāluke saṃsthaḥ JñS_12.26a	kUrmAraH tAluke saMsTaH JQH-_12.26a
   kūrmmapṛṣṭhāni kānyeva MJ_10c	kUrmma-pRzWAni kAni-A-iva M=-_10c
   kṛkaraś ca kṣuty eva hi Vṛh_46c	kRkaraH ca kzuti eva hi VRh_46c
   kṛtamākāśamayatvaṃ Vṛh_20c	kRtam-AkASa-maya-tvam VRh_20c
   kṛtayugaṃ jāgrat proktaṃ MJ_40a	kRta-yugam jAgrat proktam M=-_40a
   kṛtāntād vacanāgamaḥ Vṛh_26b	kRtAntAt vacana-AgamaH VRh_26b
   kṛtvā naimilyaṃ cakṣuṣaḥ JñS_12.26b	kRtvA nEmilyam cakzuzaH JQH-_12.26b
   kṛṣṇakaṃ jalam eva ca JñS_25.13b	kRzNakam jalam eva ca JQH-_25.13b
   kṛṣṇaṃ tu jalatattvaṃ hi JñS_11.13a	kRzNam tu jala-tattvam hi JQH-_11.13a
   kṛṣṇā puṣpadyate ? śivaḥ MJ_85b	kRzNA puzpadyate ? SivaH M=-_85b
   kailāśaśikhare ramye Vṛh_1a	kElASa-SiKare ramye VRh_1a
   kaivalyasthaṃ paraṃbrahma JñS_10.8c	kEvalya-sTam paraMbrahma JQH-_10.8c
   kaivalyastho bhavākṣepo JñS_10.15c	kEvalya-sTaH Bava-AkzepaH JQH-_10.15c
   kaivalyaṃ kāñcanopamam MJ_45b	kEvalyam kAQcana-upamam M=-_45b
   kaivalyaṃ ca pāṇau sthitam MJ_42b	kEvalyam ca pANO sTitam Mt-_42b
   kaivalyaṃ paraṃ kaivalyaṃ MJ_39c	kEvalyam param kEvalyam M=-_39c
   ko hy agnimayasaptacaḥ Vṛh_23d	kaH hi agni-maya-saptacaH VRh_23d
   krūratvañ caiva darpitvaṃ Vṛh_18a	krUra-tvan ca-eva darpi-tvam VRh_18a
   krodhādau kevalaṃ saktam Vṛh_23b	kroDa-AdO kevalam saktam VRh_23b
   kṣitam jalaṃ nabha ca savargo 'nilaḥ JñS_25.5b	kzitam jalam naBa ca savargaH anilaH JQH-_25.5b
   khagendravaravāhanaḥ MJ_50d	Kaga-indra-vara-vAhanaH Mu-_50d
   gaṅgā caiva sarasvatī JñS_24.1b	gaFgA ca-eva sarasvatI JQH-_24.1b
   gaṅgomayoḥ siddhārthadaṃ GNP_59a	gaFgA-umayoH sidDArTa-dam GNP_59a
   gaṅgomayoḥ siddhārthadaḥ GNP_1b	gaFgA-umayoH sidDArTa-daH GNP_1b
   gajasyāptuṃ śarīrakam Vṛh_4b	gajasya-Aptum SarIrakam VRh_4b
   gaṇapaṭiṃ śivāputraṃ GNP_57a	gaNa-pawim SivA-putram GNP_57a
   ganapatiḥ śivam pṛcchad GNP_1a	ganapatiH Sivam pRcCat GNP_1a
   gātraṃ vā sarvvaśāstrāṇāṃ MJ_79a	gAtram vA sarvu-aSAstrANAm M=-_79a
   gāndhārī hastijihvā ca Vṛh_37c	gAnDArI hastijihvA ca VRh_37c
   gārhaspatyas tathā hṛdi JñS_25.10b	gArhaspatyaH taTA hRdi JQH-_25.10b
   gurubhaktir vaśeva ca GNP_42d	guru-BaktiH vaSA-iva ca GNP_42d
   gurubhaktis tathaiva ca JñS_19.4b	guru-BaktiH taTA-eva ca JQH-_19.4b
   gurur vvāpi mahādeva MJ_82c	guruH vvApi mahAdeva M=-_82c
   guruṃ śuśrūṣeta sadā MJ_78b	gurum SuSrUzeta sadA M=-_78b
   guhāmanoramādīptā JñS_11.9a	guhA-manoramA-dIptA JQH-_11.9a
   guhye 'py ūrudvayor vyāpī JñS_12.21d	guhye api Uru-dvayoH vyApI JQH-_12.21d
   ghrātā ca rasayitā ca Vṛh_63a	GrAtA ca rasayitA ca VRh_63a
   cakṣuś ca vā ravistathā MJ_13b	cakzuH ca vA raviH-taTA M=-_13b
   cakṣuṣānāptasādṛśyam Vṛh_4c	cakzuzA-anApta-sAdRSyam VRh_4c
   cañcalaṃ tu rajaḥ sthitam Vṛh_15b	caQcalam tu rajaH sTitam VRh_15b
   caturtham atikṛṣṇāntaṃ JñS_25.11c	caturTam ati-kRzNa-antam JQH-_25.11c
   caturdaśākṣaraiḥ puṣpair GNP_24a	caturdaSa-akzarEH puzpEH GNP_24a
   caturdaśākṣaraiḥ puṣpair JñS_16.15a	caturdaSa-akzarEH puzpEH JQH-_16.15a
   caturdhā praṇavaḥ smṛtaḥ JñS_12.1b	caturDA praNavaH smRtaH JQH-_12.1b
   caturdhā sakalo 'paraḥ JñS_9.2d	caturDA sakalaH aparaH JQH-_9.2d
   caturnāḍisamupeta JñS_11.20c	catur-nAxi-samupeta JQH-_11.20c
   caturnāḍīsamāśritam JñS_12.2b	catur-nAxI-samASritam JQH-_12.2b
   caturnāḍīsamupetaḥ JñS_11.22a	catur-nAxI-samupetaH JQH-_11.22a
   caturnāḍīsamupetaḥ JñS_12.3a	catur-nAxI-samupetaH JQH-_12.3a
   caturnāḍīsamupetaḥ JñS_12.6c	catur-nAxI-samupetaH JQH-_12.6c
   caturvidhasya kāraṇam JñS_8.2d	caturviDasya kAraNam JQH-_8.2d
   caturṣaṣṭhivibhāgas tu JñS_12.17c	catur-zazWi-viBAgaH tu JQH-_12.17c
   catuḥśaktiḥ sa paṇḍitaḥ Vṛh_30b	catur-SaktiH sa paNxitaH VRh_30b
   ca trailokyam iti saṃjñitam JñS_26.6d	ca trElokyam iti saMjQitam JQH-_26.6d
   ca niyoktā ca pravartakaḥ JñS_12.9b	ca niyoktA ca pravartakaH JQH-_12.9b
   candrakāntasya raśmivat MJ_81b	candrakAntasya raSmi-vat M=-_81b
   candravinduvirahitaṃ JñS_8.9c	candravindu-virahitam JQH-_8.9c
   candraś ca līyate bindau GNP_27b	candraH ca lIyate bindO GNP_27b
   candraś cātmani saṃlīno JñS_18.3c	candraH ca-Atmani saMlInaH JQH-_18.3c
   candrātmanor dvayor yogād JñS_18.4a	candra-AtmanoH dvayoH yogAt JQH-_18.4a
   candrātmanor dvayor yogo GNP_31a	candra-AtmanoH dvayoH yogaH GNP_31a
   candrād viśvaḥ punaḥ punaḥ GNP_25d	candrAt viSvaH punar punar GNP_25d
   candrād viśvaḥ punaḥ punaḥ JñS_17.1d	candrAt viSvaH punar punar JQH-_17.1d
   candrārdhākṣaro mūrtimān JñS_10.14d	candra-arDa-akzaraH mUrtimAn JQH-_10.14d
   candreṇa sahito viśvo GNP_26a	candreNa sahitaH viSvaH GNP_26a
   candreṇa sahito viśvo JñS_17.2a	candreNa sahitaH viSvaH JQH-_17.2a
   candre pralīyate viśvo JñS_17.3a	candre pralIyate viSvaH JQH-_17.3a
   carnaṃ tu saptadhā smṛtam JñS_10.9d	carnam tu saptaDA smRtam JQH-_10.9d
   cittatyaktātiśūnyatā JñS_8.3d	citta-tyakta-ati-SUnyatA JQH-_8.3d
   cittapāpasya jāyate Vṛh_16c	citta-pApasya jAyate VRh_16c
   cittabuddhimanaḥ tyaktvā JñS_8.9a	citta-budDi-manaH tyaktvA JQH-_8.9a
   cittam ākāśavac chuddhaṃ GNP_8a	cittam AkASa-vat SudDam GNP_8a
   cittam ākāśavac chuddhaṃ JñS_15.6a	cittam AkASa-vat SudDam JQH-_15.6a
   cittasaṃsthā suṣaṃsthā ca JñS_11.17c	citta-saMsTA suzaMsTA ca JQH-_11.17c
   cittasya hy anubhāvataḥ Vṛh_16d	cittasya hi anuBAvataH VRh_16d
   cetanam acetanañ ca Vṛh_6b	cetanam acetanan ca VRh_6b
   caittatattvaḥ sadāśivaḥ Vṛh_11b	cEtta-tattvaH sadASivaH VRh_11b
   cordhvāḥ dvādaśavindavaḥ JñS_12.16d	ca-UrDvAH dvAdaSa-vindavaH JQH-_12.16d
   chāyena daśarśanaṃ tasmin ? MJ_55c	CAyena daSarSanam tasmin ? M=-_55c
   chivaliṅgaṃ mahottamam MJ_25d	Siva-liFgam mahA-uttamam M=-_25d
   jagat bhramitacakravat TJ_27d	jagat Bramita-cakra-vat Tu-_27d
   jagad bhramita cakravat Vṛh_34d	jagat Bramita cakra-vat VRh_34d
   jaṭhare dakṣināgniś ca JñS_25.10c	jaWare dakzinA-agniH ca JQH-_25.10c
   jaṭhare sarvabhakṣyāni JñS_25.7c	jaWare sarva-BakzyAni JQH-_25.7c
   janalokaś ca vāmake JñS_26.7b	janalokaH ca vAmake JQH-_26.7b
   jayanti lābhanugraham GNP_59d	jayanti lABa-nugraham GNP_59d
   jalāśrayasamāyuktam MJ_31bis.a	jala-ASraya-samAyuktam M=-_31bis.a
   jaḥkāre pṛthivī jñeyā GNP_54a	jaHkAre pRTivI jQeyA GNP_54a
   jāgrac cāśvamedhayajño MJ_48a	jAgrat ca-aSvameDa-yajQaH M=-_48a
   jāgratsvapnasuṣuptakam MJ_81d	jAgrat-svapna-suzuptakam M=-_81d
   jāgratsvapnau ca vijñeyau MJ_39a	jAgrat-svapnO ca vijQeyO M=-_39a
   jāgratsvapnau tathaiva ca MJ_34b	jAgrat-svapnO taTA-eva ca M=-_34b
   jāgrad ?vaṃśantarītyuktaṃ? MJ_49a	jAgrat ?vaMSantarI-iti-uktan? M=-_49a
   jāgradbhoktā jagatkartā JñS_10.10c	jAgrat-BoktA jagat-kartA JQH-_10.10c
   jāgrasvapnasuṣuptāni JñS_10.8a	jAgra-svapna-suzuptAni JQH-_10.8a
   jīvaḥ śakaṭasyāntare MJ_16d	jIvaH Sakawasya-antare M=-_16d
   jīvo ca mṛtyuś ca tathā JñS_12.24b	jIvaH ca mRtyuH ca taTA JQH-_12.24b
   jīhva śasvatā dṛśyante JñS_12.22c	jIhva SasvatAH dRSyante JQH-_12.22c
   jīhvāgre ca sthitaḥ sadā JñS_12.15d	jIhvA-agre ca sTitaH sadA JQH-_12.15d
   jīhvātīrtha sarasvatī JñS_24.4d	jIhvAtIrTa sarasvatI JQH-_24.4d
   jñātavyaṃ mokṣam icchataḥ JñS_20.4d	jQAtavyam mokzam icCataH JQH-_20.4d
   jñātavyo mokṣaś ca tataḥ GNP_48d	jQAtavyaH mokzaH ca tatas GNP_48d
   jñānatrayaṃ suṣuptaye GNP_46c	jQAna-trayam suzuptaye GNP_46c
   jñānatrayaṃ suṣuptaṃ ca JñS_20.2c	jQAna-trayam suzuptam ca JQH-_20.2c
   jñānanī matanī caiva JñS_11.23a	jQAnanI matanI ca-eva JQH-_11.23a
   jñānam api na vindeta JñS_27.5c	jQAnam api na vindeta JQH-_27.5c
   jñānam etan mahāguhyaṃ MJ_87c	jQAnam etat mahA-guhyam M=-_87c
   jñānasandhiś ca procyate MJ_87b	jQAna-sanDiH ca procyate M=-_87b
   jñānaṃ bhasmam ihocyate JñS_25.12b	jQAnam Basmam iha-ucyate JQH-_25.12b
   jñānaṃ saṃkṣepato hy atra MJ_87a	jQAnam saMkzepataH hi atra M=-_87a
   jñānābhyudrekato mokṣa Vṛh_52a	jQAna-aByudrekataH mokza VRh_52a
   jñāne tiṣṭhati nityaśaḥ MJ_60b	jQAne tizWati nityaSas M=-_60b
   jñeya eko mahāvinduḥ JñS_9.1a	jQeyaH ekaH mahOvinduH JQH-_9.1a
   jyotiś cakraṃ vaṣatkāraḥ JñS_12.19b	jyotiH cakram vazatkAraH JQH-_12.19b
   jyotiṣā kraman nāsāgre JñS_12.18a	jyotizA kraman nAsA-agre JQH-_12.18a
   jyotiḥprabhena sannibhaḥ JñS_12.16b	jyotiH-praBena sanniBaH JQH-_12.16b
   takāraś ca sire jñeyaḥ JñS_26.9c	takAraH ca sire jQeyaH JQH-_26.9c
   tato jñeyaḥ śivaḥ smṛtaḥ GNP_22d	tatas jQeyaH SivaH smRtaH GNP_22d
   tato līnaṃ śivātmakaṃ JñS_15.5b	tatas lInam Siva-Atmakam JQH-_15.5b
   tattasyānugrahaparaḥ Vṛh_12b	tat-tasya-anugraha-paraH VRh_12b
   tattṛṣṇā ghrāṇavartinī JñS_11.15b	tad-tRzNA GrANa-vartinI JQH-_11.15b
   tat tyaktvā sahasaiva tu Vṛh_68b	tat tyaktvA sahasA-eva tu VRh_68b
   tat tryakṣarapadair yuktam GNP_15a	tat tri-akzara-padEH yuktam GNP_15a
   tat tryakṣaraṃ pade yuktam JñS_16.6a	tat tri-akzaram pade yuktam JQH-_16.6a
   tattvanāḍīpradhānakaḥ JñS_12.21b	tattva-nAxI-praDAnakaH JQH-_12.21b
   tattvalīne śivātmakam GNP_7b	tattva-lIne Siva-Atmakam GNP_7b
   tattvalīne śivātmakam Vṛh_57b	tattva-lIne Siva-Atmakam VRh_57b
   tattvavijñānavit tathā Vṛh_50b	tattva-vijQAna-vid taTA VRh_50b
   tattvaṃ nirvvāṇaprāpakam MJ_66d	tattvam nirvvANa-prApakam M=-_66d
   tattvaṃ paramam uttamam JñS_12.6b	tattvam paramam uttamam JQH-_12.6b
   tat pītaṃ tejastattvaṃ hi JñS_11.19c	tat pItam tejaH-tattvam hi JQH-_11.19c
   tatra citte maheśvaram MJ_57d	tatra citte maheSvaram M=-_57d
   tatra cintyo maheśvaraḥ GNP_19d	tatra cintyaH maheSvaraH GNP_19d
   tatra cintyo maheśvaraḥ JñS_16.10d	tatra cintyaH maheSvaraH JQH-_16.10d
   tatra tatraiva nirmalam JñS_25.4d	tatra tatra-eva nirmalam JQH-_25.4d
   tatra tatsvecchavāsitam Vṛh_69b	tatra tat-sva-icCa-vAsitam VRh_69b
   tatra sāre dhṛtaṃ guhyaṃ MJ_79c	tatra sAre DRtam guhyam M=-_79c
   tatra sthāpyo maheśvaraḥ GNP_18d	tatra sTApyaH maheSvaraH GNP_18d
   tatra sthāpyo maheśvaraḥ JñS_16.9d	tatra sTApyaH maheSvaraH JQH-_16.9d
   tatra sthāpyo maheśvaraḥ MJ_56d	tatra sTApyaH maheSvaraH M=-_56d
   tat samyagjñānam uttamam Vṛh_26d	tat samyak-jQAnam uttamam VRh_26d
   tathā jñeyaḥ śivaḥ smṛtaḥ JñS_16.13d	taTA jQeyaH SivaH smRtaH JQH-_16.13d
   tathā rudrādhidevataḥ JñS_11.19b	taTA rudra-aDidevataH JQH-_11.19b
   tathāstheyam atha tūryyaṃ MJ_81c	taTA-AsTeyam aTa tUryyam M=-_81c
   tathaiva calananāḍī GNP_46b	taTA-eva calana-nAxI GNP_46b
   tathaiva calananāḍī JñS_20.2b	taTA-eva calana-nAxI JQH-_20.2b
   tathaiva pañcaviṃśakaḥ JñS_11.20b	taTA-eva paQcaviMSakaH JQH-_11.20b
   tathaiva sarvagaṃ ca nopalabhyate JñS_25.5c	taTA-eva sarvagam ca na-upalaByate JQH-_25.5c
   tad idaṃ janmarahasyam GNP_41c	tat idam janma-rahasyam GNP_41c
   tad idaṃ janmarahasyam JñS_19.2c	tat idam janma-rahasyam JQH-_19.2c
   tad eva svargyam āyanam Vṛh_21d	tat eva svargyam Ayanam VRh_21d
   tad eva hi sarvaṃ vyāpi JñS_25.1c	tat eva hi sarvam vyApi JQH-_25.1c
   tadaiśvaryaṃ vipaścitā Vṛh_28d	tad-ESvaryam vipaScitA VRh_28d
   taddhi bhāvasamanvitam Vṛh_3c	tat-hi BAva-samanvitam VRh_3c
   tad dhyānam iti kathyate GNP_5d	tat DyAnam iti kaTyate GNP_5d
   tad dhyānam iti kathyate JñS_15.3d	tat DyAnam iti kaTyate JQH-_15.3d
   tad dhyānam iti kathyate Vṛh_55d	tat DyAnam iti kaTyate VRh_55d
   tad dhruvaṃ cittakāryataḥ Vṛh_24d	tat Druvam citta-kAryataH VRh_24d
   tadviddhi munipuṅgava MJ_35d	tat-vidDi muni-puFgava M=-_35d
   tad vairāgyaṃ samākhyātaṃ Vṛh_27c	tat vErAgyam samAKyAtam VRh_27c
   tanmātram iti kathyate JñS_11.3d	tanmAtram iti kaTyate JQH-_11.3d
   tapasā tena vṛddho 'yam JñS_27.2c	tapasA tena vRdDaH ayam JQH-_27.2c
   tapaḥsatyaś ca saptadhā JñS_26.5d	tapaH-satyaH ca saptaDA JQH-_26.5d
   tapolokaś ca vadane JñS_26.7c	tapolokaH ca vadane JQH-_26.7c
   tamo guru varaṇakam Vṛh_15c	tamaH guru varaNakam VRh_15c
   tayor asad vyaktaṃ sac ca MJ_80c	tayoH asat vyaktam sat ca M=-_80c
   taruṇo 'pi varānane JñS_27.1b	taruNaH api varAnane JQH-_27.1b
   tarkayogo 'bhidhīyate JñS_15.6d	tarka-yogaH aBiDIyate JQH-_15.6d
   tarkayogo vidhīyate GNP_8d	tarka-yogaH viDIyate GNP_8d
   tarkaś caiva samādhiś ca Vṛh_53c	tarkaH ca-eva samADiH ca VRh_53c
   tarkaś caiva samādhis tu GNP_3c	tarkaH ca-eva samADiH tu GNP_3c
   tarkaś caiva samādhis tu JñS_15.1c	tarkaH ca-eva samADiH tu JQH-_15.1c
   tarkaḥ sauhṛdam eva ca Vṛh_33b	tarkaH sOhRdam eva ca VRh_33b
   talograsta vivarjayet JñS_25.19d	tala-ugraH-ta vivarjayet JQH-_25.19d
   tavehan tu vadan mandaḥ ? MJ_58a	tava-Ihan tu vadan mandaH ? M=-_58a
   tasmin sthitaṃ tribhuvane pratyakṣacūtabimbam MJ_17b	tasmin sTitam triBuvane pratyakza-cUta-bimbam M=-_17b
   tasmai mayā samudāhṛtam MJ_1d	tasmE mayA samudAhRtam Mu-_1d
   taḥkāra āpaḥ saṃsthitāḥ GNP_54b	taHkAraH ApaH saMsTitAH GNP_54b
   tālaṃ caiva sutālaṃ ca JñS_24.3a	tAlam ca-eva sutAlam ca JQH-_24.3a
   tālākhyaṃ tālukaṃ jñeyaṃ JñS_24.7c	tAla-AKyam tAlukam jQeyam JQH-_24.7c
   tāluka induvarṇṇābhaṃ MJ_36c	tAlukaH indu-varNNa-ABam M=-_36c
   tāluṣṭhas tālurāvaṇe JñS_12.25b	tAluzWaH tAlu-rAvaNe JQH-_12.25b
   tālusaṃsthas tu vijñeyas JñS_11.19a	tAlu-saMsTaH tu vijQeyaH JQH-_11.19a
   tiktakam īśvaro jñeyaḥ MJ_55a	tiktakam ISvaraH jQeyaH M=-_55a
   tiktakaṃ liṅgaṃ eva ca GNP_18b	tiktakam liFgam eva ca GNP_18b
   tiktakaṃ liṅgaṃ eva ca JñS_16.9b	tiktakam liFgam eva ca JQH-_16.9b
   tiktam īśvara eva va MJ_56b	tiktam ISvaraH eva vaH M=-_56b
   tiktam evam avacahata ? MJ_58b	tiktam evam avacahata ? M=-_58b
   tiktam eva mahādevo MJ_54a	tiktam eva mahAdevaH M=-_54a
   tiktam evam udāhṛtaṃ GNP_20b	tiktam evam udAhRtam GNP_20b
   tiktam evarudāhṛtaṃ JñS_16.11b	tiktam eva-rudA-hRtam JQH-_16.11b
   tiktaṃ kṛṣṇaṃ dhruvaṃ bhavet JñS_16.1b	tiktam kRzNam Druvam Bavet JQH-_16.1b
   tiktaṃ kṛṣṇaṃ bhṛśaṃ bhavet MJ_20b	tiktam kRzNam BRSam Bavet Mu-_20b
   tiktākṛṣṇā dhruvaṃ bhavet [ed: kāmbalanta?] GNP_10b	tikta-akRzNA Druvam Bavet [ed: kAmbalanta?] GNP_10b
   tiryag ūrdhvam adhaḥsthaṃ ca JñS_25.4a	tiryak UrDvam aDas-sTam ca JQH-_25.4a
   tiryagbhāvaś ca mānuṣam Vṛh_16b	tiryagBAvaH ca mAnuzam VRh_16b
   tiṣṭhamāno maheśvaraḥ Vṛh_1b	tizWamAnaH maheSvaraH VRh_1b
   turyaturyāntam eva ca JñS_10.8b	turyatuH-yAntam eva ca JQH-_10.8b
   turyabhoktā jagadartha JñS_10.13c	turya-BoktA jagat-arTa JQH-_10.13c
   turyāntaṣ ca paro bhoktā JñS_10.14c	turya-antaH ca paraH BoktA JQH-_10.14c
   tūryaṃ sūkṣmam acintyam avyayam idaṃ nirvāṇam āhur budhā Vṛh_47b	tUryam sUkzmam acintyam avyayam idam nirvANam AhuH buDAH VRh_47b
   tūryyapado maheśvaraḥ MJ_46d	tUryya-padaH maheSvaraH M=-_46d
   tūryyam eva suṣuptaṃ ca MJ_30c	tUryyam eva suzuptam ca M=-_30c
   tūryyasya ceśānaḥ prokto MJ_52a	tUryyasya ca-ISAnaH proktaH M=-_52a
   tūryyaṃ sphaṭikasannibham MJ_44d	tUryyam sPawika-sanniBam M=-_44d
   tūryyāntasya nidaśarśanam MJ_55d	tUryya-antasya nidaSarSanam M=-_55d
   tūryyāntasya mahādevo MJ_47a	tUryya-antasya mahAdevaH M=-_47a
   tūryyāntaṃ rūpyasaṃkāśāṃ MJ_45a	tUryya-antam rUpya-saMkASAm M=-_45a
