   [I. dānapāramitā]	[I. dAna pAramitA]
   saṃgrahāya | yathā me * amī satvāḥ saṃgṛhītā bodhi prāptasya	saMgrahAya | yaTA me * amI satvAH saMgRhItAH boDi  prAptasya
   dharma jānakāḥ syur iti | peyālaṃ ||	Darma  jAnakAH syuH iti | peyAlam ||
   tad yathā + api nāma kula putra bhaiṣajya vṛkṣasya mūlato vā hriyamāṇasya	tat yaTA + api nAma kula putra BEzajya vRkzasya mUlataH vA hriyamANasya
   gaṇḍataḥ śākhātaḥ tvaktaḥ patrato vā hriyamāṇasya puṣpataḥ phalataḥ sārato	gaNxataH SAKAtaH tu aktaH patrataH vA hriyamANasya puzpataH Palatas sArataH 
   vā hriyamāṇasya na + evaṃ bhavati vikalpo | mūlato me hriyate yāvat sārato	vA hriyamANasya na + evam Bavati vikalpaH | mUlataH me hriyate yAvat sArataH 
   me hriyatae iti ||	me hriyatae iti ||
   api tu khalu punar a vikalpa eva hīna madhya utkṛṣṭānāṃ satvānāṃ vyādhīn	api tu Kalu punar a vikalpaH eva hIna  maDya  utkRzwAnAm satvAnAm vyADIn
   apanayati | evam eva kula putra bodhi satvena mahā satvena + asmiṃś	apanayati | evam eva kula putra boDi  satvena mahA  satvena + asmin= 
   cāturmahābhautike ātma bhāve bhaiṣajya saṃjñā + utpādayitavyā yeṣāṃ yeṣāṃ	cAturmahABOtike Atma BAve BEzajya  saMjQA + utpAdayitavyA yezAm yezAm
   satvānāṃ yena yena + arthaḥ tat tad eva me harantu hastaṃ hasta arthinaḥ	satvAnAm yena yena + arTaH tat tat eva me harantu hastam hasta  arTinaH
   pādaṃ pāda arthina iti pūrva vat ||	pAdam pAda  arTinaH iti pUrva vat ||
   ārya akṣayamati sūtre * api deśitaṃ | ayam eva mayā kāyaḥ sarva satvānāṃ	Arya  akzayam ati sUtre * api deSitam | ayam eva mayA kAyaH sarva  satvAnAm
   kiṃ karaṇīyeṣu kṣapayitavyaḥ | tad yathā + api nāma + imāni bāhyāni	kiM karaNIyezu kzapayitavyaH | tat yaTA + api nAma + imAni bAhyAni
   catvāri mahā bhūtāni pṛthivī dhātur ab dhātus tejo dhātur vāyu dhātuś ca	catvAri mahA  BUtAni pRTivI DAtuH ab DAtuH tejaH  DAtuH vAyu DAtuH ca
   nānā sukhair nānā paryāyair nānā ārambaṇair nānā upakaraṇair	nAnA  suKEH nAnA   paryAyEH nAnA  ArambaNEH nAnA  upakaraNEH 
   nānā paribhogaiḥ satvānāṃ nānā upabhogaṃ gacchanti | evam eva + aham imaṃ	nAnA  pariBogEH satvAnAm nAnA  upaBogam gacCanti | evam eva + aham imam
   kāyaṃ catur mahā bhūta samucchrayaṃ nānā sukhair nānā paryāyair	kAyam catur  mahA  BUta  samucCrayam nAnA  suKEH nAnA  paryAyEH 
   nānā ārambaṇair nānā upakaraṇair nānā paribhogair vistareṇa sarva satvānām	nAnA  ArambaNEH nAnA  upakaraNEH nAnA  pariBogEH vistareNa sarva satvAnAm
   upabhogyaṃ kariṣyāmi + iti | sa imam artha vaśaṃ saṃpaśyan kāya duṣkhatāṃ	upaBogyam karizyAmi + iti | saH imam arTa  vaSam saMpaSyan kAya  duzKatAm
   ca pratyavekṣate kāya duṣkhatayā ca na parikhidyate satva avekṣayā + iti	ca pratyavekzate kAya  duzKa tayA ca na pariKidyate satva  avekzayA + iti
   ārya vajra dhvaja sūtre * apy āha ||	Arya vajra  Dvaja  sUtre * api Aha ||
   iti hi bodhi satva ātmānaṃ sarva satveṣu niryātayan	iti hi boDi  satvaH AtmAnam sarva  satvezu niryAtayan
   sarva kuśala mūla upakāritvena sarva satvānāṃ kuśala mūlaiḥ samanvāharan	sarva  kuSala  mUla  upakAri tvena sarva satvAnAm kuSala mUlEH samanvAharan
   pradīpa samam ātmānaṃ sarva satveṣu + upanayan sukha samam ātmānaṃ	pradIpa  samam AtmAnam sarva  satvezu + upanayan suKa  samam AtmAnam
   sarva satveṣv adhitiṣṭhan | dharma kukṣi samam ātmānaṃ sarva jagati	sarva  satvezu aDitizWan | Darma kukzi  samam AtmAnam sarva jagati
   saṃdhārayan āloka samam ātmānaṃ sarva satveṣv anugacchan	saMDArayan Aloka  samam AtmAnam sarva  satvezu anugacCan
   jagat pratiṣṭhāpana samam ātmānaṃ saṃpaśyan | kuśala mūla pratyaya bhūtam	jagat  pratizWApana  samam AtmAnam saMpaSyan | kuSala  mUla  pratyaya BUtam
   ātmānaṃ sarva jagaty anugacchan | mitra samam ātmānaṃ sarva satveṣu	AtmAnam sarva jagati anugacCan | mitra  samam AtmAnam sarva satvezu
   niyojayamāno * an uttara sukha mārga samam ātmānaṃ sarva satveṣu	niyojayamAnaH * an uttara  suKa  mArga  samam AtmAnam sarva satvezu
   saṃdarśayamānaḥ an uttara sukha upadhāna samam ātmānaṃ sarva satveṣu	saMdarSayamAnaH an uttara  suKa  upaDAna  samam AtmAnam sarva satvezu
   pariśodhamānaḥ sūrya samam ātmānaṃ sarva jagati samī kurvāṇaḥ |	pariSoDamAnaH sUrya  samam AtmAnam sarva jagati samI kurvANaH |
   evaṃ dharma upetam ātmānaṃ sarva satveṣu prayacchan |	evaM Darma  upetam AtmAnam sarva satvezu prayacCan |
   yathā kāma karaṇīya vaśyam ātmānaṃ sarva loke saṃpaśyann agra caityā	yaTA kAma karaNIya vaSyam AtmAnam sarva loke saMpaSyan agra cEtyA
   bhaviṣyāmaḥ ... sarva jagat sthity ātmānaṃ saṃpaśyan | sama cittatāṃ	BavizyAmaH ... sarva jagat  sTiti  AtmAnam saMpaSyan | sama citta tAm
   sarva jagati niṣpādayan | sarva upakaraṇa tīrtham ātmānaṃ saṃpaśyan |	sarva jagati nizpAdayan | sarva  upakaraNa tIrTam AtmAnam saMpaSyan |
   sarva loka sukha dātāram ātmānaṃ pratyavekṣamāṇaḥ | sarva jagato	sarva loka  suKa  dAtAram AtmAnam pratyavekzamANaH | sarva jagataH 
   dāna patim ātmānam adhimucyamānaḥ sarva loka jñāna samam ātmānaṃ kurvāṇaḥ	dAna patim AtmAnam aDimucyamAnaH sarva loka  jQAna  samam AtmAnam kurvANaH
   bodhi satva caryā prayuktam ātmānaṃ saṃjanayamānaḥ |	boDi  satva  caryA  prayuktam AtmAnam saMjanayamAnaH |
   yathā vādi tathā kāritvena + ātmānaṃ niyojayamānaḥ |	yaTA a vAdi  taTA kAri tvena + AtmAnam niyojayamAnaH |
   sarva jñatā sannāha sannadham ātmānaṃ pratyavekṣamāṇaḥ | pūrva nimantritaṃ	sarva jQa tA  sanna aha  sannaDam AtmAnam pratyavekzamANaH | pUrva  nimantritam
   cittam anupālayamānaḥ | pratipattau ca + ātmānaṃ sthāpayamāno	cittam anupAlayamAnaH | pratipattO ca + AtmAnam sTApayamAnaH 
   bodhi satva tyāga cittatāṃ manasi kurvāṇa udyāna bhūtam ātmānaṃ	boDi  satva  tyAga  citta tAm manasi kurvANaH udyAna  BUtam AtmAnam
   sarva satveṣu saṃpaśyan | dharma rati bhūtam ātmānaṃ sarva lokeṣv	sarva  satvezu saMpaSyan | Darma  rati  BUtam AtmAnam sarva lokezu 
   ādarśayamānaḥ saumanasya dātāram ātmānaṃ sarva satvānām adhitiṣṭhan |	AdarSayamAnaH sOmanasya dAtAram AtmAnam sarva satvAnAm aDitizWan |
   an anta prīti saṃjananam ātmānaṃ sarva jagato niryātayamānaḥ	an anta  prIti  saMjananam AtmAnam sarva jagataH niryAtayamAnaH
   sarva śukla dharmāya dvāra bhūtam ātmānaṃ sarva loke saṃdhārayamānaḥ |	sarva  Sukla DarmAya dvAra BUtam AtmAnam sarva loke saMDArayamAnaH |
   buddha bodhi dātāram ātmānaṃ sarva satvānāṃ praṇidadhat | pitṛ samam	budDa  boDi  dAtAram AtmAnam sarva satvAnAm praNidaDat | pitR samam
   ātmānaṃ sarva prajāyāṃ niyojayamānaḥ |	AtmAnam sarva prajAyAm niyojayamAnaH |
   sarva upakaraṇa a vaikalya adhikaraṇam ātmānaṃ sarva satva dhātau	sarva  upakaraNa  a vEkalya  aDikaraNam AtmAnam sarva  satva  DAtO
   pratiṣṭhāpayamānaḥ ||	pratizWApayamAnaH ||
   iti hi bodhi satva ātmānam upasthāyakatvāya dadānaḥ yācanakeṣu	iti hi boDi  satvaH AtmAnam upasTAyaka tvAya dadAnaH yAcanakezu
   nīca manasi kāra citto bhūmya āstaraṇa adhiṣṭhāna cetā	nIca  manasi kAra cittaH BUmya a AstaraNa  aDizWAna  cetA
   dharaṇi sama sarva duṣkha sahana manasi kāra pravṛttaḥ	DaraNi  sama  sarva  duzKa  sahana  manasi kAra  pravRttaH
   sarva satva upasthāna a klānta mānasa prayukto bāla jana duṣ kṛta sthiraḥ	sarva  satva  upasTAna  a klA anta  mAnasa  prayuktaH bAla  jana  duz kRta  sTiraH
   sthāvara adhivāsana jātyaḥ asthitaḥ kuśala mūla abhiyuktaḥ	sTAvara  aDivAsana  jAtyaH asTitaH kuSala  mUla  aBiyuktaH
   a prayukta sarva loka dhātu upasthānaḥ karṇo nāsā saṃparityajan	a prayukta  sarva loka DAtu  upasTAnaH karNaH nAsA saMparityajan
   yācanakebhya upasaṃkrāntebhyo	yAcanakeByaH upasaMkrAnteByaH 
   bodhi satva caryā upātta tathā gata kula kulīna saṃbhūta cittaḥ	boDi  satva  caryA  upAtta  taTA a gata kula  kulIna  saMBUta  cittaH
   sarva bodhi satva anusmaraṇa vihāra prasṛto * a sārāt sarva trailokyāt sa	sarva  boDi  satva  anusmaraNa  vihAra  prasRtaH * a sArAt sarva trElokyAt sa
   ... tyavekṣamāṇaḥ sva śarīra an adhyavasita santānaḥ	... tyavekzamANaH sva  SarIra  an aDyavasita  santAnaH
   a niketa sarva buddha dharma anusmṛti vihāry a sārāc * charīrāt	a niketa  sarva budDa Darma  anu smRti vihArI a sArAt * SarIrAt 
   sāra ādāna abhiprāya iti hi bodhi satvo jihvāṃ yācitaḥ samāno ma ... vātā	sAra A dAna  aBiprAyaH iti hi boDi  satvaH jihvAm yAcitaH samAnaH me ... vAtA
   premaṇīyayā maitryā upacāra vitatayā bhadre siṃha āsane rāja arhe niṣādya	premaNIyayA mEtryA  upacAra  vitatayA Badre siMha Asane rAja arhe nizAdya
   taṃ yācanakam abhibhāṣate dṛṣṭaḥ | a riṣṭa citto bhūtvā + a kṣata citto *	tam yAcanakam aBiBAzate dRzwaH | a rizwa  cittaH BUtvA + a kzata cittaH *
   an upahata citto mahā ātman salā ... citto buddha vaṃśa saṃbhūta citto *	an upahata cittaH mahA Atman salA ... cittaH budDa  vaMSa  saMBUta  cittaH *
   a lulita santāna citto mahā sthāma bala ādhāno *	a lulita  santAna  cittaH mahA  sTAma bala  ADAnaH *
   an adhyavasita śarīra citto * an abhiniviṣṭa vacana citto	an aDyavasita  SarIra  cittaH * an aBinivizwa  vacana  cittaH 
   jānu maṇḍala praṣṭhita kāyo bhūtvā svakān mukhāj jihvā ... yācanakasya	jAnu  maNxala  prazWita kAyaH BUtvA svakAn muKAt jihvA ... yAcanakasya
   sarva śarīram a dhīnaṃ kṛtvā vācaṃ pramuñcan snigdhāṃ mṛdvīṃ premaṇīyāṃ	sarva  SarIram a DInam kRtvA vAcam pramuQcan snigDAm mRdvIm premaNIyAm
   maitryā upacārāṃ | gṛhāṇa tvaṃ mama jihvāṃ yathā kāma karaṇīyāṃ kuru |	mEtryA upacArAm | gRhANa tvam mama jihvAm yaTA kAma  karaNIyAm kuru |
   tathā kuru yathā tvaṃ prīto bhavasi prīta mānasa ātmanā pramudito hṛṣṭaḥ	taTA kuru yaTA tvam prItaH Bavasi prIta mAnasaH AtmanA pramuditaH hRzwaH
   prīti saumanasya jāta iti sa śiraḥ parityajan sarva dharma agra śiraḥ	prIti  sOmanasya jAtaH iti sa SiraH parityajan sarva  Darma  agra  SiraH
   parama jñānam avataran sarva satva paritrāṇa śiro bodhi ... gacchan	parama  jQAnam avataran sarva  satva  paritrANa  Siro boDi ... gacCan
   sarva jagad agrya śiraḥ an upama jñānam abhilaṣan sarva dik chiraḥ prāptuṃ	sarva jagat  agrya  SiraH an upama jQAnam aBilazan sarva  dik  CiraH prAptum
   jñāna rājam adhimucyamāno * an uttara sarva dharma aiśvarya śīrṣatāṃ	jQAna  rAjam aDimucyamAnaH * an uttara  sarva  Darma  ESvarya  SIrzatAm
   paripūrayitu kāmo * an anta yācanaka prīti parisphuṭa cetā | iti hi	paripUrayitu  kAmaH * an anta  yAcana ka prIti  parisPuwa  cetAH | iti hi
   bodhi satvo hasta pādān parityajan yācanakebhyaḥ śraddhā hasta prayuktena	boDi  satvaH hasta  pAdAn parityajan yAcanakeByaH SradDA hasta  prayuktena
   + anugraha cāritreṇa bodhi satva siṃha vikrama tyāga pratata pāṇinā	+ anugraha cAritreNa boDi  satva  siMha  vikrama  tyAga  pratata  pANinA
   vyavasarga abhiratena hasta pāda parityāgena	vyavasarga  aBiratena hasta pAda  parityAgena
   mahā pratiṣṭhāna krama tala vyatihāreṇa bodhi satva caryā adhyavasāyena	mahA  pratizWAna  krama  tala  vyatihAreNa boDi  satva  caryA a aDyavasAyena
   vedanā an upahatatayā dāna prasāda śaktyā vi mala citta utpāda saṃvaro	vedanA  an upahata tayA dAna  prasAda  SaktyA vi mala citta  utpAda  saMvaraH 
   niṣ paryavasthāna jñāna dharma śarīra a chinna a bhinna a lupta kāya saṃjñaḥ	niz paryavasTAna  jQAna  Darma  SarIra  a Cinna  a Binna  a lupta kAya  saMjQaH
   a nīca cittaḥ sarva māra karma a kalyāṇa mitra upastabdha vṛṃhita cetāḥ	a nIca  cittaH sarva  mAra  karma  a kalyANa  mitra  upastabDa  vRMhita  cetAH
   sarva bodhi satva saṃvarṇita eka tyāga niryāṇa iti hi bodhi satvaḥ	sarva  boDi  satva  saMvarNita  eka tyAga  niryANaH iti hi boDi  satvaH
   sva śarīram ākṣipya rudhiram anuprayacchan yācanakebhyaḥ	sva  SarIram Akzipya ruDiram anuprayacCan yAcanakeByaH
   praharṣita bodhi citto | bodhi satva caryā abhilaṣita citto *	praharzita  boDi  cittaH | boDi  satva  caryA  aBilazita  cittaH *
   a paryātta vedita cittaḥ sarva yācanaka abhilaṣita cittaḥ	a paryAt ta  vedita cittaH sarva yAcanaka  aBilazita  cittaH
   sarva pratigrāhaka a vidviṣṭa cittaḥ	sarva  pratigrAhaka  a vidvizwa  cittaH
   sarva bodhi satva tyāga pratipat pratipanno * a nivarttyayā	sarva boDi  satva  tyAga  pratipat  pratipannaH * a nivarttyayA
   prīti prasrabdhyā sva śarīra an apekṣa cittaḥ sva śarīrād rudhiram	prIti prasrabDyA sva  SarIra an apekza  cittaH sva  SarIrAt ruDiram
   anuprayacchan jñāna āyatana mahā yāna prasṛta cetā	anuprayacCan jQAna  Ayatana  mahA yAna  prasRta  cetA
   mahā yāna a vinaṣṭa manā iṣṭa manās tuṣṭa manāḥ prīta manāḥ mudita manā	mahA yAna  a vinazwa  manAH izwa manAH tuzwa manAH prIta manAH mudita  manA
   maitry  manāḥ sukha manāḥ prasanna manāḥ pramudita prīti saumanasya jāto	mEtrI   manAH suKa manAH prasanna manAH pramudita  prIti  sOmanasya jAtaH 
   majjā māṃsaṃ sva śarīrāt parityajan yācanakebhyaḥ kalyāṇa tyāgayā |	majjA  mAMsam sva  SarIrAt parityajan yAcanakeByaH kalyANa tyAgayA |
   yācaka abhilaṣitayā vācā tān yācakān abhilapan | gṛhṇantu bhavanto mama	yAcaka  aBilazitayA vAcA tAn yAcakAn aBilapan | gRhNantu BavantaH mama
   śarīrān majjā māṃsaṃ yathā kāma karuṇāyā tulya prīti vivarddhanena	SarIrAt majjA  mAMsam yaTA kAma karuNAyAH tulya  prIti vivardDanena
   tyāga cittena | bodhi satva vijña gaṇa niṣevitena mahā kuśala mūlena	tyAga  cittena | boDi  satva  vijQa  gaNa  nizevitena mahA kuSala mUlena
   loka mala apakarṣitena pravareṇa + adhyāśayena |	loka mala  apakarzitena pravareNa + aDyASayena |
   sarva bodhi satva samatā upāttair mahā dāna ārambhair manasā + ākāṅkṣitaiḥ	sarva boDi  satva  samatA upAttEH mahA dAna A AramBEH manasA + AkAFkzitEH
   sarva yācakair an anutāpya cittair dāna vastubhiḥ a pratyavekṣitena	sarva yAcakEH an anutApya cittEH dAna  vastuBiH a pratyavekzitena
   karma vipāka pratyayena sarva loka dhātv a vimukhayā	karma  vipAka  pratyayena sarva  loka DAtu  a  vimuKayA
   sarva buddha kṣetra alaṃ kāra vyūha pūjayā sarva jagad abhimukhayā	sarva budDa kzetra alaM kAra vyUha  pUjayA sarva jagat  aBimuKayA
   karuṇā paritrāṇatayā | sarva buddha bodhy abhimukhayā | daśa bala ...	karuNA  paritrANa tayA | sarva budDa  boDi  aBimuKayA | daSa balaH ...
   cāraṇayā + atīta an āgata pratyutpanna sarva bodhi satva abhimukhayā	cAraNayA + atIta an A gata  pratyutpanna  sarva  boDi  satva  aBimuKayA
   eka kuśala mūla paricaryayā sarva vaiśāradya abhimukhena +	eka kuSala  mUla  paricaryayA sarva  vESAradya  aBimuKena +
   ārṣabha siṃha nāda nadanena try adhva abhimukhena |	ArzaBa  siMha nAda  nadanena tri  aDva  aBimuKena |
   sarva adhva samatā jñānena ... loka abhimukhena +	sarva  aDva  samatA  jQAnena ... loka  aBimuKena +
   a para anta koṭī gata kalpa vyavasāyena bodhi satva praṇidhānena +	a para anta  kowI  gata kalpa  vyavasAyena boDi  satva  praNiDAnena +
   a paritrasyana abhimukhena + a kheda citta utpādena bodhi satvaḥ	a paritrasyana aBimuKena + a Keda  citta  utpAdena boDi  satvaH
   sva hṛdayaṃ parityajan yācanakebhyo dāna vaśa śikṣita cittaḥ	sva  hRdayam parityajan yAcanakeByaH dAna   vaSa  Sikzita  cittaH
   pāramitā niṣpādana cittaḥ	pAramitA  nizpAdana cittaH
   sarva bodhi satva dāna an uddhata su pratiṣṭhita cittaḥ |	sarva  boDi  satva  dAna an udData  su  pratizWita  cittaH |
   adhiṣṭhāna sarva yācanaka pratimānana cittaḥ | adhyāśayaṃ pariśodhayamānaḥ	aDizWAna  sarva yAcana ka pratima Anana  cittaH | aDyASayam pariSoDayamAnaH
   | sarva jagat paripācana nidānaṃ mahā praṇidhānaṃ pratipadyamāno	| sarva jagat  paripAcana  nidAnam mahA  praNiDAnam pratipadyamAnaH 
   bodhi satva caryāyāṃ saṃvasamānaḥ sarva jñatā saṃbhāraṃ saṃbharamāṇaḥ	boDi  satva  caryAyAm saMvasamAnaH sarva  jQa tA  saMBAram saMBaramANaH
   praṇidhim a riñcan so * atra yakṛt bukkā phupphuṣaṃ yācakebhyaḥ parityajan	praNiDim a riQcan saH * atra yakRt  bukkA PupPuzam yAcakeByaH parityajan
   yācanaka abhiprasannayā dṛṣṭyā prasanna prīty ākārair netrair	yAcanaka  aBiprasannayA dRzwyA prasanna  prIti  AkArEH netrEH 
   bodhi satva niryātena premṇā + a vyutthita manasi kāreṇa tyāgena + a sārāt	boDi  satva  niryAtena premNA + a vyutTita manasi kAreNa tyAgena + a sArAt 
   kāyāt su pratyavekṣitena sāra ādāna cittena śmaśāna paryantena	kAyAt su pratyavekzitena sAra A dAna  cittena SmaSAna  paryantena
   kāya anusmṛti manasi kāreṇa vṛka śṛgāla śva bhakṣyaṃ śarīraṃ	kAya  anu smRti manasi kAreNa vRka SRgAla  Sva Bakzyam SarIram
   pratyavekṣamāṇaḥ para bhakti manasi kṛtayā | śarīra a nityatayā +	pratyavekzamANaH para Bakti manasi kRtayA | SarIra a nitya tayA +
   apaviddha śarīreṇa para bhakta cetanena evaṃ dharma manasi kāra prayukto	apavidDa  SarIreNa para Bakta  cetanena evam Darma  manasi kAra  prayuktaH 
   bodhi satvas tān yācanakān a nimiṣaṃ prekṣamāṇa evaṃ cittam utpādayati |	boDi  satvaH tAn yAcanakAn a nimizam prekzamANaH evam cittam utpAdayati |
   yadi ca + aham etad yācanakasya etac charīrād antraṃ	yadi ca + aham etat  yAcanakasya etac  SarIrAt antram
   yakṛt bukkā phuṣphuṣaṃ dadyāṃ | yadi vā na dadyāṃ | āyuḥ kṣaya paryante na	yakRt  bukkA  PuzPuzam dadyAm | yadi vA na dadyAm | AyuH  kzaya  paryante na
   + eṣo nityaḥ śmaśāna paryavasāna iti | sa evaṃ manasi kāra saṃtoṣitena	+ ezaH nityaH SmaSAna paryavasAnaH iti | saH evam manasi kAra  saMtozitena
   santānena + evaṃ dharma jñānena + āśayena	santAnena + evam Darma jQAnena + ASayena
   kalyāṇa mitra saṃjñā adhiṣṭhitena yācanaka darśanena + a sārāt kāyāt sāram	kalyANa  mitra  saMjQA  aDizWitena yAcana ka darSanena + a sArAt kAyAt sAram
   ādātu kāmo dharma kāmatayā sva māṃsān nakhaṃ parityajann eva	AdAtu  kAmaH Darma kAma tayA sva  mAMsAn naKam parityajan eva
   tat kuśala mūlaṃ pariṇāmayati + ity ātma bhāva utsargaṃ kṛtvā ||	tat kuSala  mUlam pariNAmayati + iti Atma  BAva  utsargam kRtvA ||
   bhoga puṇya utsargo * apy atra + eva + ukteḥ | iti hi bodhi satvo	Boga  puNya  utsargaH * api atra + eva + ukteH | iti hi boDi  satvaH 
   nānā dakṣiṇīya pratigrāhakeṣv anya anya pudgala dig āgateṣv	nAnA dakziNIya  pratigrAhakezu anya  anya  pudgala diS  a Agatezu 
   a prameya kṛpaṇa vanīpakeṣu bodhi satva śrava āgateṣu bodhi satva śabdaṃ	a prameya  kRpaNa  vanIpakezu boDi  satva  Srava A gatezu boDi  satva  Sabdam
   śrutvā + āgateṣu bodhi satva pratyaya avakāśa gateṣu	SrutvA + Agatezu boDi  satva  pratyaya  avakASa  gatezu
   bodhi satva dāna pūrvaṃ praṇidhāna śruteṣu |	boDi  satva  dAna  pUrvam praNiDAna  Srutezu |
   bodhi satva praṇidhāna citta nimantriteṣu |	boDi  satva  praNiDAna   citta  nimantritezu |
   sarva tyāga manasa abhilaṣiteṣu tṛpta yācanaka pratimānanā cetana	sarva tyAga manasa aBilazitezu tRpta yAcanaka pratima AnanA  cetana
   āgata yācanaka kṣamā paṇa cetano | mayā + eva tatra diśaṃ gatvā yūyaṃ	Agata yAcanaka  kza mA paNa  cetanaH | mayA + eva tatra diSam gatvA yUyam
   pratimānayitavyā abhaviṣyata yena yuṣmākam āgamana klamo na syāt | evaṃ	pratimA AnayitavyAH aBavizyata yena yuzmAkam Agamana  klamaH na syAt | evam
   samṛddha praṇipātena kṣamayati sarva yācanakān kṣamayitvā snāpayitvā	samRdDa  praNipAtena kzamayati sarva yAcanakAn kzamayitvA snApayitvA
   viśrāmita śarīrān kṛtvā tebhyo yad ṛcchayā + upakaraṇaṃ pratipādayati |	viSrAmita  SarIrAn kRtvA teByaH yat  RcCayA + upakaraNam pratipAdayati |
   yad idaṃ maṇi rathān jambu dvīpa kalyāṇa kanyā ratna paripūrṇān yad idaṃ	yat idam maNi  raTAn jambu dvIpa kalyANa  kanyA  ratna  paripUrNAn yat idam
   suvarṇa rathān jana pada viśuddha kanyā ratna paripūrṇān | yad idaṃ	suvarNa  raTAn jana pada  viSudDa  kanyA  ratna  paripUrNAn | yat idam
   vaiḍūrya rathān vā + anukula gīta vādya saṃpravādita paripūrṇān | evaṃ	vExUrya   raTAn vA + anukula  gIta vAdya  saMpravAdita  paripUrNAn | evam
   sphaṭika rathān su mukha su veśa dhāri sv alaṃ kṛta rūpān	sPawika   raTAn su muKa  su veSa  DAri su  alaM kRta rUpAn
   a pratikūla darśana catura kanyā ratna paripūrṇān iti | tathā + atra + eva	a pratikUla darSana  catura  kanyA  ratna  paripUrNAn iti | taTA + atra + eva
   deśitaṃ maṇi rathān vā dadānaḥ sarva ratna jāla saṃchannān	deSitam maNi raTAn vA dadAnaH sarva ratna  jAla  saMCannAn
   ājāneya hasty upetān | sa vāhanān | candana rathān dadāno	AjAneya  hasti  upetAn | sa vAhanAn | candana raTAn dadAnaH 
   ratna cakra rathya prayuktān ratna siṃha āsana pratiṣṭhitān yāvan	ratna  cakra  raTya  prayuktAn ratna siMha  Asana  pratizWitAn yAvat 
   nānā ratna chatra saṃchanna vyūhān ratna vitāna vitata saṃchannān	nAnA ratna  Catra  saMCanna  vyUhAn ratna  vitAna  vitata  saMCannAn
   dhvaja patāka alaṃ kṛta catur dikkān nānā gandha vidhūpita ...	Dvaja   patAka  alaM kRta catur dikkAn nAnA  ganDa  viDUpita ...
   sāra gandha anulepa anuliptān | sarva puṣpa vyūha avakīrṇān	sAra  ganDa  anulepa  anuliptAn | sarva  puzpa  vyUha  ava kIrNAn
   kanyā śata sahasra ratna sūtra prakarṣitān a bhrānta gamanān	kanyA Sata  sahasra  ratna  sUtra  prakarzitAn a Bra anta  gamanAn
   abhra anta sama vāhana prayuktān | yāvad	aBra anta  sama vAhana  prayuktAn | yAvat 
   a pratikūla mano jña pravāta gandhān	a pratikUla  mano jQa  pravAta  ganDAn
   su duhitṛ putra vacana upacāra prayuktān |	su duhitR  putra vacana  upacAra  prayuktAn |
   vividha gandha cūrṇa sambhṛta kṛta upacārān iti ||	viviDa ganDa  cUrNa  samBRta kRta  upacArAn iti ||
   punar atra + eva + āha | ātmānaṃ ca sarva satvānāṃ niryātayann upasthānaṃ	punar atra + eva + Aha | AtmAnam ca sarva satvAnAm niryAtayan upasTAnam
   vā sarva buddhānām upādadāno rājyaṃ vā parityajan paṭa bhedakaṃ vā	vA sarva  budDAnAm upAdadAnaH rAjyam vA parityajan pawa Bedakam vA
   nagara rāja dhānīṃ sarva alaṃ kāra bhūṣitāṃ yathā arhaṃ vā yācanakeṣu	nagara  rAja DAnIm sarva  alaM kAra BUzitAm yaTA arham vA yAcanakezu
   sarva parivāraṃ parityajan putra duhitṛ bhāryāṃ vā dadāno yācanakebhyaḥ	sarva  parivAram parityajan putra  duhitR BAryAm vA dadAnaH yAcanakeByaH
   sarva gṛhaṃ vā + apasṛjan | yāvat sarva upabhoga paribhogān vā dadānaḥ |	sarva gRham vA + apasRjan | yAvat sarva  upaBoga  pariBogAn vA dadAnaH |
   evaṃ pāna dānaṃ rasa dānam api bodhi satvo dadāno vividhān kalyāṇān udārān	evam pAna  dAnam rasa dAnam api boDi  satvaH dadAnaH viviDAn kalyANAn udArAn
   viśuddhān a vikalāṃs tiktāṃl lavaṇān kaṭakān kaṣāyān nānā rasa agra upetān	viSudDAn a vikalAn tiktAn lavaNAn kawakAn kazAyAn nAnA rasa  agra  upetAn
   su snigdhān vividha rasa vidhinā + upetān dhātu kṣobhaṇa samatā sthāpanān	su  snigDAn viviDa  rasa  viDinA + upetAn DAtu  kzoBaNa  samatA  sTApanAn
   citta śarīra bala upastambhanān prīti prasāda prāmodya kalpatā jananān |	citta  SarIra  bala  upastamBanAn prIti prasAda  prAmodya  kalpa tA  jananAn |
   yāvat sarva para upakrama pratiṣedhakān	yAvat sarva para upakrama  pratizeDakAn
   sarva vyādhi samana ārogya saṃjananān | evaṃ vastra dānaṃ puṣpa dānaṃ	sarva  vyADi  sama na a Arogya  saMjananAt | evam vastra dAnam puzpa dAnam
   gandha dānaṃ vilepana dānaṃ mālya dānaṃ | śayana dānam āvāsa dānam	ganDa dAnam vilepana  dAnam mAlya dAnam | Sayana dAnam AvAsa dAnam
   apāśraya dānaṃ pradīpa dānaṃ ca | glāna pratyaya bhaiṣajya pariṣkārān	apASraya dAnam pradIpa dAnam ca | glAna  pratyaya  BEzajya  parizkArAn
   bodhi satvo * anuprayacchan yāvan nānā bhājanāni vividha saṃbhārāṇy	boDi  satvaH * anuprayacCan yAvat nAnA a BAjanAni viviDa  saMBArANi 
   an eka kāṃsya pātrīr a prameya saṃbhāra upacitā	an eka  kAMsya  pAtrIH a prameya  saMBAra  upacitA
