   praśnopaniṣad	praSna-upanizad
   itare tu prāṇaṃ na paśyantītyadarśanalakṣaṇaṃ kṛṣṇātmānameva paśyanti /	itare tu prANam na paSyanti-iti-adarSana-lakzaNam kRzNa-AtmAnam-eva paSyanti /
   itarasmin kṛṣṇapakṣa eva kurvanti śukle kurvanto 'pi //12//	itarasmin kRzNa-pakzaH eva kurvanti Sukle kurvantaH api //12//
   START PrUp 1.13	START PrUp 1.13
   ahorātro vai prajāpatiḥ |	ahorAtraH vE prajApatiH |
   tasyāhareva prāṇo rātrireva rayiḥ |	tasya-Ahareva prANaH rAtriH-eva rayiH |
   prāṇaṃ vā ete praskandanti ye divā ratyā saṃyujyante |	prANam vE ete praskandanti ye divA ratyA saMyujyante |
   brahmacaryameva tadyadrātrau ratyā saṃyujyante || PrUp_1.13 ||	brahmacaryam-eva tat-yat-rAtrO ratyA saMyujyante || PrUp_1.13 ||
   PrUpBh_1.13	PrUpB=-_1.13
   so 'pi māsātmā prajāpatiḥ svāvayave 'horātre parisamāpyate /	saH api mAsa-AtmA prajApatiH sva-avayave ahorAtre parisamApyate /
   ahorātro vai prajāpatiḥ pūrvavat /	ahorAtraH vE prajApatiH pUrvavat /
   tasyāpyahareva prāṇo 'ttāgnī rātrireva rayiḥ pūrvavat /	tasya-api-ahar-eva prANaH atta-agniH rAtriH-eva rayiH pUrvavat /
   prāṇamaharātmānaṃ vā ete praskandanti nirgamayanti śoṣayanti vā svātmano	prANam-aharAtmAnam vE ete praskandanti nirgamayanti Sozayanti vA sva-AtmanaH-
   vicchidyāpanayanti ke?ye divāhani ratyā ratikāraṇabhūtayā saha striyā	vicCidyA-apanayanti ke?ye divA-ahani ratyA rati-kAraNa-BUtayA saha striyA
   saṃyujyante mithunaṃ maithunamācaranti mūḍhāḥ /	saMyujyante miTunam mETunam-Acaranti mUXAH /
   yata evaṃ tasmāttanna kartavyamiti pratiṣedhaḥ prāsaṃṅgikaḥ /	yatas evam tasmAt-tat-na kartavyam-iti pratizeDaH prAsaMFgikaH /
   yadrātrau saṃyujyante ratyā ṛtau brahmacaryameva taditi praśastatvādṛtau	yat-rAtrO saMyujyante ratyA RtO brahmacaryam-eva tat-iti praSasta-tvAt-RtO
   bhāryāgamanaṃ kartavyamityayamapi prāsaṅgiko vidhiḥ /	BAryA-gamanam kartavyam-iti-ayam-api prAsaFgikaH viDiH /
   prakṛtaṃ tūcyate - so 'horātrātmakaḥ prajāpatirvīhiyavādyannātmanā	prakRtam tu-ucyate  saH ahorAtra-AtmakaH prajApatiH-vIhi-yavAdi-anna-AtmanA
   vyavasthitaḥ //13//	vyavasTitaH //13//
   evaṃ krameṇa pariṇamya tat -	evam krameNa pariNamya tat -
   START PrUp 1.14	START PrUp 1.14
   annaṃ vai prajāpatis tato ha vai tadretaḥ |	annam vE prajApatiH tatas ha vE tat-retaH |
   tasmād imāḥ prajāḥ prajāyanta iti || PrUp_1.14 ||	tasmAt imAH prajAH prajAyante iti || PrUp_1.14 ||
   PrUpBh_1.14	PrUpB=-_1.14
   annaṃ vai prajāpatiḥ /	annam vE prajApatiH /
   katham?tatastasmāddha vai reto nṛbījaṃ tatprajākaraṇaṃ tasmādyoṣiti	kaTam-?tatas-tasmAt-ha vE retaH nR-bIjam tad-prajA-karaNam tasmAt-yoziti
   siktādimā manuṣyādilakṣaṇāḥ prajāḥ prajāyante /	sikta-AdimAH manuzya-Adi-lakzaNAH prajAH prajAyante /
   yatpṛṣṭaṃ kuto ha vai prajāḥ prajāyanta iti /	yat-pRzwam kutas ha vE prajAH prajAyante iti /
   tadevaṃ candrādityamithunādikrameṇāhorātrāntenānnāsṛgretoddhāreṇemāḥ	tat-evam candra-Aditya-miTuna-Adi-krameNa-ahorAtra-antena-anna-asRj-reta-udDAreNa-imAH
   prajāḥ prajāyanta iti nirṇītam //14//	prajAH prajAyante iti nirNItam //14//
   START PrUp 1.15	START PrUp 1.15
   tad ye ha vai tatprajāpativrataṃ caranti |	tat ye ha vE tad-prajApati-vratam caranti |
   te mithunam utpādayante |	te miTunam utpAdayante |
   teṣāmevaiṣa brahmalokaḥ |	tezAm-eva-eza brahma-lokaH |
   yeṣāṃ tapo brahmacaryaṃ |	yezAm tapaH brahmacaryam |
   yeṣu satyaṃ pratiṣṭhitam || PrUp_1.15 ||	yezu satyam pratizWitam || PrUp_1.15 ||
   PrUpBh_1.15	PrUpB=-_1.15
   tattatraivaṃ sati ye gṛhasthāḥ - ha vai iti prasiddhasmaraṇārthau nipātau	tat-tatra-evam sati ye gRhasTAH  ha vE iti prasidDa-smaraNa-arTO nipAtO
   - tatprajāpatervrataṃ prajāpativratamṛtau bhāryāgamanaṃ caranti kurvanti	 tat-prajApateH-vratam prajApati-vratam-RtO BAryA-gamanam caranti kurvanti
   teṣāṃ dṛṣṭaphalamidam /	tezAm dRzwa-Palam-idam /
   kim?te mithunaṃ putraṃ duhitaraṃ cotpādayante /	kim-?te miTunam putram duhitaram ca-utpAdayante /
   adṛṣṭaṃ ca phalamiṣṭāpūrtadattakāriṇāṃ teṣāmeva eṣa yaścāndramaso	adRzwam ca Palam-izwApUrta-datta-kAriNAm tezAm-eva eza yaH-cAndramasaH-
   brahmalokaḥ pitṛyāṇalakṣaṇo yeṣāṃ tapaḥ snātakavratādīni, brahmacaryam,	brahma-lokaH pitR-yANa-lakzaNaH yezAm tapaH snAtaka-vrata-AdIni, brahmacaryam,
   yeṣu ca satyamanṛtavarjanaṃ pratiṣṭhitamavyabhicāritayā vartate nityameva	yezu ca satyam-anRta-varjanam pratizWitam-avyaBicAritayA vartate nityam-eva
   yastu punarādityopalakṣita uttarāyaṇaḥ prāṇātmabhāvo virajaḥ śuddho na	yaH-tu punar-Aditya-upalakzitaH uttarAyaNaH prANa-Atma-BAvaH virajaH SudDaH na
   candrabrahmalokavadrajasvalo vṛddhikṣayādiyukto 'sau teṣāṃ keṣāmityucyate	candra-brahma-loka-vat-rajasvalaH vRdDi-kzaya-Adi-yuktaH asO tezAm kezAm-iti-ucyate
   START PrUp 1.16	START PrUp 1.16
   teṣām asau virajo brahmaloko na yeṣu jihvam anṛtaṃ na māyā ceti ||	tezAm asO virajaH brahma-lokaH na yezu jihvam anRtam na mAyA ca-iti ||
   PrUp_1.16 ||	PrUp_1.16 ||
   PrUpBh_1.16	PrUpB=-_1.16
   yathā gṛhasthānāmekaviruddhasaṃvyavahāraprayojanavattvājjihraṃ kauṭilyaṃ	yaTA gRhasTAnAm-eka-virudDa-saMvyavahAra-prayojanavat-tvAt-jihram kOwilyam
   vakrabhāvo 'vaśyaṃbhāvi tathā na yeṣu jihram /	vakra-BAvaH avaSyaMBAvi taTA na yezu jihram /
   yathā ca gṛhasthānāṃ krīḍānarmādinimittamanṛtamavarjanīyaṃ tathā na yeṣu	yaTA ca gRhasTAnAm krIxA-narma-Adi-nimittam-anRtam-avarjanIyam taTA na yezu
   tat /	tat /
   tathā māyā gṛhasthānāmiva na yeṣu vidyate /	taTA mAyA gRhasTAnAm-iva na yezu vidyate /
   māyā nāma bahiranyathātmānaṃ prakāśyanyathaiva kāryaṃ karoti sā māyā	mAyA nAma bahis-anyaTA-AtmAnam prakASyanyaTA-eva kAryam karoti sA mAyA
   mithyācārarūpā /	miTyA-AcAra-rUpAH /
   māyetyevamādayo doṣā yeṣvadhikāriṣu brahmacārivānaprasthabhikṣuṣu	mAyA-iti-evamAdayaH dozAH yezu-aDikArizu brahmacAri-vAnaprasTa-Bikzuzu
   nimittābhāvānna vidyante tatsādhanānurūpeṇaiva teṣāmasau virajo brahmaloka	nimitta-aBAvAt-na vidyante tad-sADana-anurUpeNa-eva tezAm-asO virajaH brahma-loke-
   ityeṣā jñānayuktakarmavatāṃ gatiḥ /	iti-ezA jQAna-yukta-karmavatAm gatiH /
   pūrvauktastu brahmalokaḥ kevalakarmiṇāṃ candralakṣaṇa iti //16//	pUrvOktaH-tu brahma-lokaH kevala-karmiNAm candra-lakzaNaH iti //16//
   iti prathama praśnaḥ	iti praTama praSnaH
   dvitīyaḥ praśnaḥ	dvitIyaH praSnaH
   prāṇo 'ttā prajāpatirityuktam /	prANaH attA prajApatiH-iti-uktam /
   tasya prajāpatitvamattṛtvaṃ ca asmiñśarīre 'vadhārayitavyamiti ayaṃ praśna	tasya prajApati-tva-mattR-tvam ca asmin-SarIre avaDArayitavyam-iti ayam praSna
   ārabhyate -	AraByate -
   START PrUp 2.1	START PrUp 2.1
   ata hainaṃ bhārgavo vaidarbhiḥ papraccha |	atas ha-enam BArgavaH vEdarBiH papracCa |
   bhagavan katyeva devāḥ prajāṃ vidhārayante |	Bagavan kati-eva devAH prajAm viDArayante |
   katara etat prakāśayante |	kataraH etat prakASayante |
   kaḥ punar eṣāṃ variṣṭha iti || PrUp_2.1 ||	kaH punar ezAm varizWaH iti || PrUp_2.1 ||
   PrUpBh_2.1	PrUpB=-_2.1
   athānantaraṃ ha kilainaṃ bhārgavo vaidarbhiḥ papraccha /	aTa-anantaram ha kila-enam BArgavaH vEdarBiH papracCa /
   he bhagavan katyeva devāḥ prajāṃ śarīralakṣaṇāṃ vidhārayante viśeṣeṇa	he Bagavan kati-eva devAH prajAm SarIra-lakzaNAm viDArayante viSezeNa
   dhārayante /	DArayante /
   katare buddhīndriyakarmendriyavibhaktānāmetatprakāśanaṃ	katare budDIndriya-karmendriya-viBaktAnAm-etat-prakASanam
   svamāhātmyaprakhyāpanaṃ prakāśayante /	sva-mAhAtmya-praKyApanam prakASayante /
   ko 'sau punareṣāṃ variṣṭhaḥ pradhānaḥ kāryakaraṇalakṣaṇānāmiti //1//	kaH asO punar-ezAm varizWaH praDAnaH kArya-karaNa-lakzaNAnAm-iti //1//
   START PrUp 2.2	START PrUp 2.2
   tasmai sa hovāca |	tasmE sa ha-uvAca |
   ākāśo ha vā eṣa devo vāyur agnir āpaḥ pṛthivī vāṅmanaścakṣu śrotraṃ ca |	AkASaH ha vE eza devaH vAyuH agniH ApaH pRTivI vAc-manaH-cakzu Srotram ca |
   te prakāśyābhivadanti |	te prakASya-aBivadanti |
   vayam etad bāṇam avaṣṭabhya vidhārayāmaḥ || PrUp_2.2 ||	vayam etat bANam avazwaBya viDArayAmaH || PrUp_2.2 ||
   PrUpBh_2.2	PrUpB=-_2.2
   evaṃ pṛṣṭavate tasmai sa hovāca ākāśo ha vā eṣa devo vāyuḥ agniḥ āpaḥ	evam pRzwavate tasmE sa ha-uvAca AkASaH ha vE eza devaH vAyuH agniH ApaH
   pṛthivītyetāni pañca mahābhūtāni śarīrārambhakāṇi	pRTivI-iti-etAni paQca mahABUtAni SarIra-AramBakANi
   vāṅmanaścakṣuḥśrotramityādīni karmendriyabuddhīndriyabuddhīndriyāṇi ca /	vAc-manaH-cakzuH-Srotram-ityAdIni karmendriya-budDIndriya-budDIndriyANi ca /
   kāryalakṣaṇāḥ karaṇalakṣaṇāśca te devā ātmano māhātmyaṃ prakāśyābhivadanti	kArya-lakzaNAH karaNa-lakzaNAH-ca te devAH AtmanaH mAhAtmyam prakASya-aBivadanti
   spardhamānā ahaṃ śreṣṭhatāyai /	sparDamAnAH aham SrezWa-tAyE /
   kathaṃ vadanti?vayametadbāṇaṃ kāryakaraṇasaṃghātamavaṣṭabhya pāsādam iva	kaTam vadanti?vayam-etat-bANam kArya-karaNa-saMGAtam-avazwaBya pAsAdam iva
   stambhādayo 'viśithilīkṛtya vidhārayāmo vispaṣṭaṃ dhārayāmaḥ //2//	stamBa-AdayaH aviSiTilIkRtya viDArayAmaH vispazwam DArayAmaH //2//
   START PrUp 2.3	START PrUp 2.3
   tān variṣṭaḥ prāṇa uvāca |	tAn varizwaH prANaH uvAca |
   mā mohamāpadyatha, aham evaitat pañcadhātmānaṃ pravibhajyaitad	mA moham-ApadyaTa, aham eva-etat paQcaDA-AtmAnam praviBajya-etat-
   bāṇamavaṣṭabhya vidhārayāmīti |	bANam-avazwaBya viDArayAmi-iti |
   te 'śraddadhānā babhūvuḥ || PrUp_2.3 ||	te aSraddaDAnAH baBUvuH || PrUp_2.3 ||
   PrUpBh_2.3	PrUpB=-_2.3
   tānevamabhimānavato variṣṭo mukhyaḥ prāṇa uvācoktavān /	tAn-evam-aBimAnavataH varizwaH muKyaH prANaH uvAca-uktavAn /
   mā maivaṃ mohamāpadyatha avivekitayā abhimānaṃ mā kuruta yasmādahameva	mA mA-evam moham-Apadi-aTa aviveki-tayA aBimAnam mA kuruta yasmAt-aham-eva
   etadbāṇamavaṣṭabhya vidhārayāmi pañcadhātmānaṃ pravibhajya	etat-bANam-avazwaBya viDArayAmi paQcaDA-AtmAnam praviBajya
   prāṇādivṛttibhedaṃ svasya kṛtvā vidhārayāmītyuktavati ca tasmiṃste	prANa-Adi-vRtti-Bedam svasya kRtvA viDArayAmi-iti-uktavati ca tasmin=-te
   'kṣaddadhānā apratyayavanto babhūvuḥ kathametadevamiti //3//	akzat-daDAnAH apratyayavantaH baBUvuH kaTam-etat-evam-iti //3//
   START PrUp 2.4	START PrUp 2.4
   so 'bhimānādūrdhvamutkramata iva |	saH aBimAnAt-UrDvam-utkramataH iva |
   tasminn utkrāmaty athetare sarva evotkrāmante |	tasmin utkrAmati aTa-itare sarve eva-utkrAmante |
   tasmiṃś ca pratiṣṭhamāne sarva eva prātiṣṭhante |	tasmin ca pratizWamAne sarve eva prAtizWante |
   tad yathā makṣikā madhukararājānam utkrāmantaṃ sarvā evotkrāmante |	tat yaTA makzikA maDukara-rAjAnam utkrAmantam sarvAH eva-utkrAmante |
   tasmiṃś ca pratiṣṭhamāne sarvā eva prātiṣṭhante |	tasmin ca pratizWamAne sarvAH eva prAtizWante |
   evaṃ vāṅmanaścakṣuḥśrotraṃ ca |	evam vAc-manaH-cakzuH-Srotram ca |
   te prītāḥ prāṇaṃ stunvanti || PrUp_2.4 ||	te prItAH prANam stunvanti || PrUp_2.4 ||
   PrUpBh_2.4	PrUpB=-_2.4
   sa ca prāṇasteṣāmaśraddhadhānatāmālakṣyābhimānādūrdhvamutkrāmata	sa ca prANaH-tezAm-aSradDa-DAna-tAm-Alakzya-aBimAnAt-UrDvam-utkrAmata
   ivedamutkrāntavāniva saroṣānnirapekṣastasminnutkrāmati yadvṛttaṃ	iva-idam-utkrAntavAn-iva sa-rozAn-nirapekzaH-tasmin=-utkrAmati yat-vRttam
   tadddṛṣṭāntena pratyakṣīkaroti /	tad-ddRzwAntena pratyakzIkaroti /
   tasminnutkrāmati satyathānantaram evetare sarva eva prāṇāścakṣurādāya	tasmin=-utkrAmati satyaTa-anantaram eva-itare sarve eva prANAH-cakzuH-AdAya
   utkrāmanta uccakramire /	utkrAmantaH uccakramire /
   tasmiṃśca prāṇe pratiṣṭhamāne tūṣṇīṃ bhavati anutkrāmati sati sarva eva	tasmin=-ca prANe pratizWamAne tUzNIm Bavati anutkrAmati sati sarve eva
   prātiṣṭhante tūṣṇīṃ vyavasthitā abhūvan /	prAtizWante tUzNIm vyavasTitAH aBUvan /
   tattatra yathā loke makṣikā madhukarāḥ svarājānaṃ madhukararājānam	tat-tatra yaTA loke makzikAH maDukarAH sva-rAjAnam maDukara-rAjAnam
   utkrāmantaṃ prati sarvā evotkrāmante tasmiṃśca pratiṣṭhamāne sarvā eva	utkrAmantam prati sarvAH eva-utkrAmante tasmin=-ca pratizWamAne sarvAH eva
   pratiṣṭhante prātitiṣṭhanti /	pratizWante prAtitizWanti /
   yathāyaṃ dṛṣṭānta evaṃ vāṅmanaścakṣuḥśrotraṃ cetyādayasta	yaTA-ayam dRzwAntaH evam vAc-manaH-cakzuH-Srotram ca-iti-AdayaH-ta
   utsṛjyāśraddadhānatāṃ buddhvā prāṇamāhātmyaṃ prītāḥ prāṇaṃ stuvanti //4//	utsRjya-aSradda-DAna-tAm budDvA prANa-mAhAtmyam prItAH prANam stuvanti //4//
   katham -	kaTam -
   START PrUp 2.5	START PrUp 2.5
   eṣo 'gnis tapaty eṣa sūrya eṣa parjanyo maghavān eṣa vāyuḥ /	ezaH agniH tapati eza sUryaH eza parjanyaH maGavAn eza vAyuH /
   eṣa pṛthivī rayir devaḥ sadasac cāmṛtaṃ ca yat // PrUp_2.5 //	eza pRTivI rayiH devaH sat-asat ca-amRtam ca yat // PrUp_2.5 //
   PrUpBh_2.5	PrUpB=-_2.5
   eṣa prāṇo 'gniḥ saṃstapati jvalati /	eza prANaH agniH saMstapati jvalati /
   tathaiva sūryaḥ san prakāśate, tathaiva parjanyaḥ san varṣati /	taTA-eva sUryaH san prakASate, taTA-eva parjanyaH san varzati /
   kiṃ ca maghavānindraḥ sanā prajāḥ pālayati, jighāṃsatyasurarakṣāṃsi /	kim ca maGavA-an-indraH sanA prajAH pAlayati, jiGAMsati-asura-rakzAMsi /
   eṣa vāyuḥ āvahapravahādibhedaḥ /	eza vAyuH Avaha-pravaha-Adi-BedaH /
   kiṃ caiṣa pṛthivī rayirdevaḥ sarvasya jagataḥ sanmūrtamasadamūrtaṃ cāmṛtaṃ	kim ca-eza pRTivI rayiH-devaH sarvasya jagataH sat-mUrtam-asat-amUrtam ca-amRtam
   ca yaddevānāṃ sthitikāraṇaṃ kiṃ bahunā //5//	ca yat-devAnAm sTiti-kAraNam kim bahunA //5//
   START PrUp 2.6	START PrUp 2.6
   arā iva rathanābhau prāṇe sarvaṃ pratiṣṭhitam /	arAH iva raTa-nABO prANe sarvam pratizWitam /
   ṛco yajūṃṣi sāmāni yajñaḥ kṣatraṃ brahma ca // PrUp_2.6//	RcaH yajUMzi sAmAni yajQaH kzatram brahma ca // PrUp_2.6//
   PrUpBh_2.6	PrUpB=-_2.6
   arā iva rathanābhau śraddhādi nāmāntaṃ sarvaṃ sthitikāle prāṇa eva	arAH iva raTa-nABO SradDA-Adi nAma-antam sarvam sTiti-kAle prANaH eva
   pratiṣṭhitam /	pratizWitam /
   tatharco yajūṃṣi sāmānīti trividhā mantrāḥ tatsādhyaśca yajñaḥ kṣatraṃ ca	taTA-RcaH yajUMzi sAmAni-iti triviDAH mantrAH tad-sADyaH-ca yajQaH kzatram ca
   sarvasya pālayitṛ brahma ca yajñādikarmakartṛtve 'dhikṛtaṃ caivaiṣa prāṇaḥ	sarvasya pAlayitR brahma ca yajQa-Adi-karma-kartR-tve aDikRtam ca-eva-eza prANaH
   sarvam //6//	sarvam //6//
   kiṃ ca -	kim ca -
   START PrUp 2.7	START PrUp 2.7
   prajāpatiś carasi garbhe tvam eva pratijāyase |	prajApatiH carasi garBe tvam eva pratijAyase |
   tubhyaṃ prāṇa prajās tv imā baliṃ haranti yaḥ prāṇaiḥ pratiṣṭhasi ||	tuByam prANa prajAH tu imAH balim haranti yaH prANEH pratizWasi ||
   PrUp_2.7 ||	PrUp_2.7 ||
   PrUpBh_2.7	PrUpB=-_2.7
   yaḥ prajāpatirapi sa tvameva garbhe carasi, piturmātuśca pratirūpaḥ	yaH prajApatiH-api sa tvam-eva garBe carasi, pituH-mAtuH-ca pratirUpaH
   sanpratijāyase;prajāpatitvādeva prāgeya siddhaṃ tava mātṛpitṛtvam /	san-pratijAyase;-prajApati-tvAt-eva prAgeya sidDam tava mAtR-pitR-tvam /
   sarvadehadehyākṛticchaṅmanaikaḥ prāṇaḥ sarvātmāsītyarthaḥ /	sarva-deha-dehyAkRti=-CaFmanA-ekaH prANaH sarva-AtmA-asi-iti-arTaH /
   tubhyaṃ tvadarthaṃ yā isā manuṣyādyāḥ prajāstu he prāṇa	tuByam tvad-arTam yAH isA manuzya-AdyAH prajAH-tu he prANa
   cakṣurādidvārairbali haranti /	cakzuH-Adi-dvArEH-bali haranti /
   yastvaṃ prāṇaiścakṣurādibhiḥ saha pratitiṣṭhasi sarvaśarīreṣvatastubhyaṃ	yaH-tvam prANEH-cakzuH-AdiBiH saha pratitizWasi sarva-SarIrezu-atas-tuByam
   baliṃ harantīti yuktam;bhoktā hi yatastvaṃ tavaivānyatsarvaṃ bhojyam //7//	balim haranti-iti yuktam-;BoktA hi yatas-tvam tava-eva-anyat-sarvam Bojyam //7//
   kiṃ ca -	kim ca -
   START PrUp 2.8	START PrUp 2.8
   devānām asi vahnitamaḥ pitṝṇāṃ prathamā svadhā /	devAnAm asi vahnitamaH pitLNAm praTamA svaDA /
   ṛṣīṇāṃ caritaṃ satyam atharvāṅgirasām asi // PrUp_2.8 //	RzINAm caritam satyam aTarva-aFgirasAm asi // PrUp_2.8 //
   PrUpBh_2.8	PrUpB=-_2.8
   devānāmindrādīnāmasi bhavasi tvaṃ vahnitamo haviṣāṃ prāpayitṛtamaḥ /	devAnAm-indra-AdInAm-asi Bavasi tvam vahnitamaH havizAm prApayitRtamaH /
   pitṛṇāṃ nāndīmukhe śrāddhe yā pitṛbhyo dīyate svadhānnaṃ sā	pitRNAm nAndImuKe SrAdDe yA pitRByaH dIyate svaDA-annam sA
   devapradhānamapekṣya prathamā bhavati /	deva-praDAnam-apekzya praTamA Bavati /
   tasyā api pitṛbhyaḥ prāpayitā tvamevetyarthaḥ kiṃ carṣīṇāṃ cakṣurādīnāṃ	tasyAH api pitRByaH prApayitA tvam-eva-iti-arTaH kim ca-RzINAm cakzuH-AdInAm
   prāṇānāmaṅgirasāmaṅgirasabhūtānāmatharvaṇāṃ teṣāmeva"prāṇo vātharvā"iti	prANAnAm-aFgirasAmaFgirasa-BUtAnAm-aTarvaNAm tezAm-eva"-prANaH vA-aTarvA"-iti
   śruteḥ, caritaṃ ceṣṭitaṃ satyamavitathaṃ dehadhāraṇādyupakāralakṣaṇaṃ	SruteH, caritam cezwitam satyam-avitaTam deha-DAraNa-Adi-upakAra-lakzaNam
   tvamevāsi //8//	tvam-eva-asi //8//
   START PrUp 2.9	START PrUp 2.9
   indras tvaṃ prāṇa tejasā rudro 'si saṃharañ jagat |	indraH tvam prANa tejasA rudraH asi saMharan jagat |
   sthitau ca pari samantādrakṣitā pālayitā parirakṣitā |	sTitO ca pari samantAt-rakzitA pAlayitA parirakzitA |
   tvam eva jagataḥ saumyena rūpeṇa |	tvam eva jagataH sOmyena rUpeNa |
   tvam antarikṣe 'jasraṃ carasi udayāstamayābhyāṃ sūryas tvam eva ca	tvam antarikze ajasram carasi udaya-astamayAByAm sUryaH tvam eva ca
   sarveṣāṃ jyotiṣāṃ patiḥ || PrUp_2.9 ||	sarvezAm jyotizAm patiH || PrUp_2.9 ||
   PrUpBh_2.9	PrUpB=-_2.9
   indraḥ parameśvarastvaṃ he prāṇa tejasā vīryeṇa rudro 'si saṃharajjagat /	indraH parameSvaraH-tvam he prANa tejasA vIryeNa rudraH asi saMharat-jagat /
   sthitau ca pari samantādrakṣitā pālayitā parirakṣitā tvameva jagataḥ	sTitO ca pari samantAt-rakzitA pAlayitA parirakzitA tvam-eva jagataH
   saumyena rūpeṇa /	sOmyena rUpeNa /
   tvamantarikṣe 'jasraṃ carasi udayāstamayābhyāṃ sūryastvameva ca sarveṣāṃ	tvam-antarikze ajasram carasi udaya-astamayAByAm sUryaH-tvam-eva ca sarvezAm
   jyotiṣāṃ patiḥ //9//	jyotizAm patiH //9//
   START PrUp 2.10	START PrUp 2.10
   yadā tvam abhivarṣasy athemāḥ prāṇa te prajāḥ /	yadA tvam aBivarzasi aTa-imAH prANa te prajAH /
   ānandarūpās tiṣṭhanti kāmāyānnaṃ bhaviṣyatīti // PrUp_2.10//	Ananda-rUpAH tizWanti kAmAya-annam Bavizyati-iti // PrUp_2.10//
   PrUpBh_2.10	PrUpB=-_2.10
   yadā parjanyo bhūtvābhivarṣasi tvamatha tadānnaṃ prāpyemāḥ prajāḥ prāṇate	yadA parjanyaH BUtvA-aBivarzasi tvam-aTa tadA-annam prApya-imAH prajAH prANate
   prāṇaceṣṭāṃ kurvantītyarthaḥ /	prANa-cezwAm kurvanti-iti-arTaH /
   athavā prāṇa te tavemāḥ prajāḥ	aTavA prANa te tava-imAH prajAH
   svātmabhūtāstvadannasaṃvardhitāstvadabhivarṣaṇadarśanamātreṇa cānandarūpāḥ	sva-Atma-BUtAH-tvad-anna-saMvarDitAH-tvad-aBivarzaNa-darSana-mAtreNa ca-Ananda-rUpAH
   sukhaṃ prāptā iva satyaḥ tiṣṭhanti kāmāyecchāto 'nna	suKam prAptAH iva satyaH tizWanti kAmAya-icCAtaH anna
   bhaviṣyatītyevamabhiprāyaḥ //10//	Bavizyati-iti-evam-aBiprAyaH //10//
   kiṃ ca -	kim ca -
   START PrUp 2.11	START PrUp 2.11
   vrātyas tvaṃ prāṇaikaṛṣirattā viśvasya satpatiḥ /	vrAtyaH tvam prANa-eka-Rzi-rattA viSvasya sat-patiH /
   vayam ādyasya dātāraḥ pitā tvaṃ mātariśva naḥ // PrUp_2.11//	vayam Adyasya dAtAraH pitA tvam mAtariSva naH // PrUp_2.11//
   PrUpBh_2.11	PrUpB=-_2.11
   prathamajatvādanyasya saṃskartuḥ abhāvādasaṃskṛto vrātyastvaṃ svabhāvata	praTama-ja-tvAt-anyasya saMskartuH aBAvAt-asaMskRtaH vrAtyaH-tvam svaBAvata
   eva śuddha ityabhiprāyaḥ /	eva SudDaH iti-aBiprAyaH /
   he prāṇaikarṣistvamātharvaṇānāṃ prasiddha ekarṣināmāgriḥ sannattā	he prANa-eka-RziH-tvam-ATarvaNAnAm prasidDaH eka-Rzi-nAmA-agriH sannattA
   sarvahaviṣām /	sarva-havizAm /
   tvameva viśvasya sarvasya sato vidyamānasya patiḥ satpatiḥ /	tvam-eva viSvasya sarvasya sataH vidyamAnasya patiH sat-patiH /
   sādhurvā patiḥ satpatiḥ /	sADuH-vA patiH sat-patiH /
   vayaṃ punarādyasya tavādanīyasya haviṣo dātāraḥ /	vayam punar-Adyasya tavAdanIyasya havizaH dAtAraH /
   tvaṃ pitā mātariśva he mātariśvanno 'smākam /	tvam pitA mAtariSva he mAtariSvannaH asmAkam /
   atha vā mātariśvano vāyostvam /	aTa vA mAtariSvanaH vAyoH-tvam /
   ataśca sarvasyaiva jagataḥ pitṛtvaṃ siddham //11//	atas-ca sarvasya-eva jagataH pitR-tvam sidDam //11//
   kiṃ bahunā -	kim bahunA -
   START PrUp 2.12	START PrUp 2.12
   yā te tanūrvāci pratiṣṭhitā yā śrotraṃ yā ca cakṣuṣi /	yA te tanUH-vAci pratizWitA yA Srotram yA ca cakzuzi /
   yā ca manasi saṃtatā śivāṃ tāṃ kuru motkramīḥ // PrUp_2.12 //	yA ca manasi saMtatA SivAm tAm kuru mA-utkramIH // PrUp_2.12 //
   PrUpBh_2.12	PrUpB=-_2.12
   yā te tvadīyā sanūrvāci pratiṣṭhitā vaktṛtvena vadanaceṣṭāṃ kurvatī, yā	yA te tvadIyA sa-nUH-vAci pratizWitA vaktR-tvena vadana-cezwAm kurvatI, yA
   śrotre yā ca cakṣuṣi yā ca manasi saṅkalpādivyāpāreṇa santatā samanugatā	Srotre yA ca cakzuzi yA ca manasi saFkalpa-Adi-vyApAreNa santatA samanugatA
   tanūstāṃ śivāṃ śāntāṃ kuru motkramīrutkramaṇena aśivāṃ mā kārṣīrityarthaḥ	tanUH-tAm SivAm SAntAm kuru mA-utkramIrutkramaNena aSivAm mA kArzIH-iti-arTaH
   kiṃ bahunā -	kim bahunA -
   START PrUp 2.13	START PrUp 2.13
   prāṇasyedaṃ vaśe sarvaṃ tridive yat pratiṣṭhitam /	prANasya-idam vaSe sarvam tridive yat pratizWitam /
   māteva putrān rakṣasva śrīś ca prajñāṃ ca vidhehi na iti // PrUp_2.13 //	mAtA-iva putrAn rakzasva SrIH ca prajQAm ca viDehi naH iti // PrUp_2.13 //
   PrUpBh_2.13	PrUpB=-_2.13
   asmiṃlloke prāṇasyaiva vaśe sarvamidaṃ yatkiñcidupabhogajātaṃ tridive	asmin=-loke prANasya-eva vaSe sarvam-idam yat-kiQcit-upaBoga-jAtam tridive
