   (Vajraṭ_95)	(Vajraj-_95)
   phalamityevaṃvidho hi kāryakāraṇabhāvo 'vaśyamabhyupetavya iti | anyathā	Palam-iti-evaMviDaH hi kArya-kAraNa-BAvaH avaSyam-aByupetavyaH iti | anyaTA
   tayorubhayorapyavasthayoranupapannatve parasparokārakatvābhāve vā	tayoH-uBayoH-api-avasTayoH-anupapanna-tve parasparokAraka-tva-aBAve vA
   ākāśamiva kathaṃ tāvat tāvat sidhyet bhoktrādiḥ | śaktipratiniyamo	AkASam-iva kaTam tAvat tAvat siDyet BoktrAdiH | Sakti-pratiniyamaH-
   'pyabhyupagantavya eva | itthaṃ pratiniyatātmanā sambandhena sukhādīnāṃ	api-aByupagantavyaH eva | itTam pratiniyata-AtmanA sambanDena suKa-AdInAm
   sambhavaḥ na tu sarvatra | ataḥ (Vajraṭ_117) kāryakāraṇabhāvena	samBavaH na tu sarvatra | atas (Vajraj-_117) kArya-kAraNa-BAvena
   dṛśyamānāni kuśalādīnyeva kartā, bhoktā ca syāt, kimanenādṛṣṭasvabhāvena	dRSyamAnAni kuSala-AdIni-eva kartA, BoktA ca syAt, kim-anena-adRzwa-svaBAvena
   ātmanā parikalpitena |	AtmanA parikalpitena |
   atha nānumānena ātmā siddhaḥ syāt, tathāpi pratyaviṣayatvād ahaṃbuddheḥ	aTa na-anumAnena AtmA sidDaH syAt, taTA-api pratyavizaya-tvAt ahaMbudDeH
   pratyakṣata evātmā sidhyatīti cet? tadapi tāvanna yujyate, bhrāntatvāt	pratyakzatas eva-AtmA siDyati-iti cet? tat-api tAvat-na yujyate, BrAnta-tvAt-
   savikalpatvād asiddhatvācca pratyakṣeṇa tatrāhaṃbuddheriti | ahaṃbuddhau	sa-vikalpa-tvAt asidDa-tvAt-ca pratyakzeNa tatra-ahaMbudDeH-iti | ahaMbudDO
   pratīyamānatve yathā khalu pratyakṣa eko nityo vibhuścātmā	pratIyamAna-tve yaTA Kalu pratyakzaH ekaH nityaH viBuH-ca-AtmA
   svasiddhāntairukalpyate tathā naivopalabhyata ityavaśyameva draṣṭavyam |	sva-sidDAntEH-ukalpyate taTA na-eva-upalaByate iti-avaSyam-eva drazwavyam |
   anyathā ahaṃbuddheryadi pratyakṣatvaṃ syāt tadā vivādamāneṣu tāvannaiva	anyaTA ahaMbudDeH-yadi pratyakza-tvam syAt tadA vivAdamAnezu tAvat-na-eva
   pravarteta ātmaviṣaye kaścana vivādaḥ, savikalpāyā	pravarteta Atma-vizaye kaScana vivAdaH, sa-vikalpAyAH-
   ahaṃbuddherniścayātmakatvāt, niścayena ca viṣayīkṛte adhyāropābhāvācca |	ahaMbudDeH-niScaya-Atmaka-tvAt, niScayena ca vizayIkRte aDyAra-upABAvAt-ca |
   evamevānyo 'nyeṣvapyevañcātīyeṣu sambhavād vipralambhaḥ |	evam-eva-anyaH anyezu-api-evaQcAtIyezu samBavAt vipralamBaH |
   anādikālābhyāsavaśāt pratinīyateṣu rūpādiskandheṣu ekatvamadhyāropya paraṃ	anAdi-kAla-aByAsa-vaSAt pratinIyatezu rUpa-Adi-skanDezu eka-tvam-aDyAropya param
   vyāvarttīyatumahamiti pratītiḥ, tasyāṃ pratītau teṣāmeva rūpādīnāṃ	vyAvarttIyatum-aham-iti pratItiH, tasyAm pratItO tezAm-eva rUpa-AdInAm
   pratibhāsamānatvāt |	pratiBAsamAna-tvAt |
   kāye cāyamātmagrahaḥ, kathaṃ tarhi mama deha iti bhedamātragrahaṇamiti	kAye ca-ayam-Atma-grahaH, kaTam tarhi mama dehaH iti Beda-mAtra-grahaNam-iti
   cet? taccātmālambane 'pi tulyam | yadi cātmani ayamātmagrahaḥ, kathaṃ	cet? tat-ca-Atma-Alambane api tulyam | yadi ca-Atmani ayam-Atma-grahaH, kaTam
   tarhi mama ātmā iti cintyate | atha vastuto 'bhinne 'pi	tarhi mama AtmA iti cintyate | aTa vastutas aBinne api
   bhedāntaraparihāreṇa tanmātrajijñāsāyāṃ śilāputrakasya śarīravad	Beda-antara-parihAreNa tanmAtra-jijQAsAyAm SilAputrakasya SarIra-vat-
   bhedopacāreṇa grahaṇānnāsti virodha iti cet? dehālambane 'pi caitat	Beda-upacAreNa grahaNAt-na-asti viroDaH iti cet? deha-Alambane api ca-etat-
   samānam |	samAnam |
   ātmā khalu viṣayaḥ punaḥ kramotpattyā virudhyata iti paścāt vakṣyate | na	AtmA Kalu vizayaH punar krama-utpattyA viruDyate iti paScAt vakzyate | na
   kevalamātmagraha ātmā apitu tadviṣayo rūpādirātmāstītyapi vaktuṃ na	kevalam-Atma-grahaH AtmA apitu tad-vizayaH rUpa-AdiH-AtmA-asti-iti-api vaktum na
   śakyate, tadavilakṣaṇatvāttasya | krameṇopalabhyamānatvānna te	Sakyate, tad-avilakzaNa-tvAt-tasya | krameNa-upalaByamAna-tvAt-na te
   ekasvabhāvāḥ, na ca svatantrāḥ | ata evoktam-	eka-svaBAvAH, na ca svatantrAH | atas eva-uktam-
   na cātmadṛṣṭiḥ svayamātmalakṣaṇā	na ca-Atma-dRzwiH svayam-Atma-lakzaNA
   na cāpi duḥsaṃsthitatā vilakṣaṇā |	na ca-api duHsaMsTita-tA vilakzaNA |
   nāmavyavahāsya tu abhīṣṭatvānnātra kaścidapi vivādaḥ | ata eva nāsti	nAma-vyavahAsya tu aBIzwa-tvAt-na-atra kaScid-api vivAdaH | atas eva na-asti
   kiñcidātmaprasādhakaṃ pramāṇam | nāsti pratyakṣamanumānaṃ ca vyatiricya	kiQcid-Atma-prasADakam pramANam | na-asti pratyakzam-anumAnam ca vyatiricya
   pramāṇamityanyatra vicāritam |	pramANam-iti-anyatra vicAritam |
   (Vajraṭ_118)	(Vajraj-_118)
   bādhakapramāṇaṃ tāvannirākriyate- yadyevamātmā skandhebhyo 'bhinnastadā	bADaka-pramANam tAvat-nirAkriyate yadi-evam-AtmA skanDeByaH aBinnaH-tadA
   skandhavat kṣāṇikaḥ syād athavā skandhāḥ khalvātmavannityāḥ syuḥ,	skanDa-vat kzANikaH syAt aTavA skanDAH Kalu-Atma-vat-nityAH syuH,
   tadabhinnatvāt, skandhavadanekatvaprasaṅgo 'pi durnivāraḥ syāt | ataḥ	tad-aBinna-tva-at, skanDavat-aneka-tva-prasaFgaH api durnivAraH syAt | atas-
   skandheṣveva ātmeti prajñapyate, na tāvannāmni vivādaḥ |	skanDezu-eva AtmA-iti prajQapyate, na tAvat-nAmni vivAdaH |
   atha skandhebhyo bhinna ātmā iṣyate tadā sukhādināsambaddhatve na sidhyet	aTa skanDeByaH BinnaH AtmA izyate tadA suKa-AdinA-sambadDa-tve na siDyet-
   tasya bhoktṛtvādikam | tatra prayogaḥ- yo nāsti sukhaduḥkhādibhiḥ	tasya BoktR-tva-Adikam | tatra prayogaH yaH na-asti suKa-duHKa-AdiBiH
   sambaddhaḥ sa nāsti kartā vā bhoktā vā, muktaḥ saṃsārī vāpi na yujyate,	sambadDaH sa na-asti kartA vA BoktA vA, muktaH saMsArI vA-api na yujyate,
   yathā vandhyāputraḥ | ātmāpi tathārthakriyādibhirna kathañcanāpi sambadha	yaTA vanDyA-putraH | AtmA-api taTA-arTa-kriyA-AdiBiH-na kaTaQcanA-api sambaDa
   iti vyāpakānupalabdhiḥ | na cāyamasiddho hetuḥ, tathā hi- sukhādinā hi	iti vyApaka-anupalabDiH | na ca-ayam-asidDaH hetuH, taTA hi suKa-AdinA hi
   sambandhe sati ādhārādheyalakṣaṇo vā saṃyogalakṣaṇo vā kāryakāraṇalakṣaṇo	sambanDe sati ADAra-ADeya-lakzaNaH vA saMyoga-lakzaNaH vA kArya-kAraNa-lakzaNaH-
   veti pakṣatrayam |	vA-iti pakza-trayam |
   na tāvat prathamaḥ pakṣaḥ, akiñcitkaratvāt | tathā hi-	na tAvat praTamaH pakzaH, akiQcitkara-tvAt | taTA hi-
   adhaḥprasarpaṇadharmiṇāṃ jalādīnāmadhogamanapratibandhakatvena	aDas-prasarpaNa-DarmiNAm jala-AdInAm-aDas-gamana-pratibanDaka-tvena
   vyavasthāpyate tāvadādhāraḥ | sukhādīnāmamūrtatvānna sambhavati (teṣām)	vyavasTApyate tAvat-ADAraH | suKa-AdInAm-amUrta-tvAt-na samBavati (tezAm-)
   adhogamanamiti kathamiva ātmana ādhāratvamiti | sthityāpi nādhāraḥ,	aDas-gamanam-iti kaTam-iva AtmanaH ADAra-tvam-iti | sTityA-api na-ADAraH,
   sthiteḥ sthāturabhinnatvāt, tasyaiva kārakatvamiti? tadapi tāvanniṣidhyate	sTiteH sTAtuH-aBinna-tvAt, tasya-eva kAraka-tvam-iti? tat-api tAvat-niziDyate
   | sthiteḥ pṛthakatve sati sā naiva tāvatsthāturupakārikā	| sTiteH pRTaka-tve sati sA na-eva tAvat-sTAtuH-upakArikA
   arthāntarabhūtatvāttasyāḥ | nāstyeva tasyāṃ sthāturutpādasāmarthyam,	arTa-antara-BUta-tvAt-tasyAH | na-asti-eva tasyAm sTAtuH-utpAda-sAmarTyam,
   asāmarthasya sarvatraivābhivyaktatvāt | svayaṃ bhaṅgātmanaḥ tāvannāsti	asAmarTasya sarvatra-eva-aBivyakta-tvAt | svayam BaFga-AtmanaH tAvat-na-asti
   kaścana sthāpakaḥ, anavasthitatvāttasya, anyathā tena bhaṅga eva tasya	kaScana sTApakaH, anavasTita-tvAt-tasya, anyaTA tena BaFgaH eva tasya
   syānna tāvadavasthānam | avipariṇāmātmani tāvat sthāpakena kiṃ kriyate,	syAt-na tAvat-avasTAnam | avipariNAma-Atmani tAvat sTApakena kim kriyate,
   sthīrātmanā svabhāvena svayamavasthitatvāt |	sTIra-AtmanA svaBAvena svayam-avasTita-tvAt |
   (Vajraṭ_119)	(Vajraj-_119)
   ata evākiñcitkaratvena saṃyogasambandho 'pi tāvannaiva yujyate,	atas eva-akiQcitkara-tvena saMyoga-sambanDaH api tAvat-na-eva yujyate,
   atiprasaṅgāt | evaṃ hi sati sarvasya sarvasaṃyogahetutvam | evaṃ ca	atiprasaFgAt | evam hi sati sarvasya sarva-saMyoga-hetu-tvam | evam ca
   naivopapadyate tāvad bhinnārthena bhinnārthasya saṃyogaḥ, sarvasya	na-eva-upapadyate tAvat Binna-arTena Binna-arTasya saMyogaH, sarvasya
   svayamavasthitatvāt lauhaśalākāvat | api ca, saṃyogabalena yadi ātmā sukhī	svayam-avasTita-tvAt lOha-SalAkA-vat | api ca, saMyoga-balena yadi AtmA suKI
   vā duḥkhī vā bhavet, tadā saṃyogaikatvameva syāt, aviśiṣṭatvena	vA duHKI vA Bavet, tadA saMyoga-eka-tvam-eva syAt, aviSizwa-tvena
   pratiniyatātmabhiḥ sukhādibhirnaiva syāt sambandhaḥ | tata evātmanā	pratiniyata-AtmaBiH suKa-AdiBiH-na-eva syAt sambanDaH | tatas eva-AtmanA
   sahaikatve sukhādinā naiva syāt kaścit sukhī vā duḥkhī vā | adarśane 'pi	saha-ekatve suKa-AdinA na-eva syAt kaScid suKI vA duHKI vA | adarSane api
   balenābhyupagate niścaye tenaiva niścitaḥ syāttadā kiṃ tāvat	balena-aByupagate niScaye tena-eva niScitaH syAt-tadA kim tAvat-
   saṃyogaparikalpanayā, sarvasāmarthyavirahitatvāttasya | sambandhibhedena	saMyoga-parikalpanayA, sarva-sAmarTya-virahita-tvAt-tasya | sambanDi-Bedena
   bhinnāyāmapi prajñaptau paramārthataḥ bhāvānāmabhinnasvabhāve sati kathaṃ	BinnAyAm-api prajQaptO paramArTataH BAvAnAm-aBinna-svaBAve sati kaTam
   svabhāvabhedāśritaḥ pṛthagarthakriyābhedaḥ syāditi kumatiparikalpita	svaBAva-Beda-ASritaH pRTak-arTa-kriyA-BedaH syAt-iti kumati-parikalpita
   evāyaṃ khalu sambandhaḥ |	eva-ayam Kalu sambanDaH |
   na cāpi kāryakāraṇasambandhaḥ | krameṇa vedyamānatvāt sukhādinām | avikale	na ca-api kArya-kAraNa-sambanDaH | krameNa vedyamAna-tvAt suKa-AdinAm | avikale
   hetau sati na yujyate tāvat kādācitkakāryasambhavaḥ, aviśiṣṭatvāt |	hetO sati na yujyate tAvat kAdAcid-ka-kArya-samBavaH, aviSizwa-tvAt |
   parairanādheyātiśayo 'pratibaddhasāmarthyo vā khalvātmā kathaṃ	parEH-anADeya-atiSayaH apratibadDa-sAmarTyaH vA KalvAtmA kaTam
   sahakārikākāraṇamapekṣyakrameṇotpādayet, na hi sahakāriṇi tadapekṣā |	saha-kArikA-kAraNam-apekzya-krameNa-utpAdayet, na hi sahakAriNi tad-apekzA |
   duḥkhotpādahetutvād yadi baddhastadā sarvathā baddhatvānnaiva muktaḥ syāt,	duHKa-utpAda-hetu-tvAt yadi badDaH-tadA sarvaTA badDa-tvAt-na-eva muktaH syAt-,
   tatsvabhāvāparityāgāt, parityāge vā kathaṃ nityaḥ syāt |	tad-svaBAva-aparityAgAt, parityAge vA kaTam nityaH syAt |
   aduḥkhāvasthotpādahetutvād yadi muktastadā vimukta eva bhavenna kadācidapi	aduHKa-avasTA-utpAda-hetu-tvAt yadi muktaH-tadA vimuktaH eva Bavet-na kadAcid-api
   baddhaḥ syāttadā kathaṃ tāvat kalpyeta ādheyanibandhanaṃ	badDaH syAt-tadA kaTam tAvat kalpyeta ADeya-nibanDanam
   bandhamokṣatvamiti |	banDa-mokza-tvam-iti |
   yadi caitanyādilakṣaṇatvenotpādasāmarthyena vā kartā syāttadā kartā eva	yadi cEtanya-Adi-lakzaNa-tvena-utpAda-sAmarTyena vA kartA syAt-tadA kartA eva
   sadā bhavet katha tāvad bhoktā? atha sukhādyutpādahetutvena yadi bhoktā	sadA Bavet kaTa tAvat BoktA? aTa suKa-Adi-utpAda-hetu-tvena yadi BoktA
   syāttadā bhoktaiva bhavet kathaṃ tāvat kartā? kiñca kāpilaparikalpitasya	syAt-tadA BoktA-eva Bavet kaTam tAvat kartA? kiQca kApila-parikalpitasya
   (atmanaḥ) (Vajraṭ_120) sukhādibhirākāśavannirvikāratvena naiva khalu	(atmanaH) (Vajraj-_120) suKa-AdiBiH-AkASa-vat-nirvikAra-tvena na-eva Kalu
   yujyate bhoktṛtvam, atiprasaṅgāt | sati vā vikāre nityatāhāniḥ | na khalu	yujyate BoktR-tvam, atiprasaFgAt | sati vA vikAre nitya-tA-hAniH | na Kalu
   hetumātratayā kartā vā bhoktā vā, atiprasaṅgāt | tathaiva smṛtyādiṣvapi	hetu-mAtra-tayA kartA vA BoktA vA, atiprasaFgAt | taTA-eva smRti-Adizu-api
   nāśrayitvamupayujyata iti yojyam |	na-ASrayi-tvam-upayujyate iti yojyam |
   tasmānnairātmyavādinyeva pakṣe bandhomokṣādivyavasthā yuktimatī |	tasmAt-nErAtmya-vAdinI-A-iva pakze banDaH-mokza-Adi-vyavasTA yuktimatI |
   kāryakāraṇavaiśiṣṭayamātreṇa tasyā vyavasthāyā prabhāvitatvāt | sa ca	kArya-kAraNa-vESizwaya-mAtreNa tasyAH vyavasTAyAH praBAvita-tvAt | sa ca
   kāryakāraṇabhāvastāvadanityeṣveva sambhavati, na khalu nityeṣu | teṣu	kArya-kAraNa-BAvaH-tAvat-anityezu-eva samBavati, na Kalu nityezu | tezu
   nāsti kasyacidapi kāryasya krameṇotpādasāmarthyam, yathoktaṃ prāk | na	na-asti kasyacid-api kAryasya krameNa-utpAda-sAmarTyam, yaToktam prAk | na
   cāpi yugapad, tathāvidhaphalotpādasamarthasvabhāvānugame	ca-api yugapad, taTAviDa-Pala-utpAda-samarTa-svaBAva-anugame
   phalotpādābhāvastāvanna yujyate prāgvat | ananugame ca prāksvabhāvatāhāniḥ	Pala-utpAda-aBAvaH-tAvat-na yujyate prAgvat | ananugame ca prAc-svaBAvatA-hAniH
   | kramayaugapadyābhyāṃ vyatirikto nāstyeva kaścidākārāntaraḥ, yaḥ	| krama-yOgapadyAByAm vyatiriktaH na-asti-eva kaScid-AkAra-antaraH, yaH
   syādarthakriyāyāṃ prabhuviṣṇuḥ, parasparaparihārasthitalakṣaṇatvāttayoḥ |	syAt-arTa-kriyAyAm praBu-vizNuH, paraspara-parihAra-sTita-lakzaNa-tvAt-tayoH |
   ata eva yāvantaḥ paraparikalpitā ākāśādayo 'kṣaṇikābhāvāste sarve	atas eva yAvantaH para-parikalpitAH AkASa-AdayaH akzaNikA-BAvAH-te sarve
   arthakriyāsāmarthyahitatvād abhāvavyavahāraviṣayā ucyante	arTa-kriyA-sAmarTya-hita-tvAt aBAva-vyavahAra-vizayAH ucyante
   paramavicakṣaṇairbauddhairiti | śaśaviṣāṇādāvapi abhāvavyavahāraprajñaptiḥ	parama-vicakzaNEH-bOdDEH-iti | SaSa-vizANa-AdO=-api aBAva-vyavahAra-prajQaptiH
   arthakriyāyāṃ sāmarthyābhāvamātranibandhanaiva,	arTa-kriyAyAm sAmarTya-aBAva-mAtra-nibanDanA-eva,
   eatadbalenārthakriyāsamarthaviṣayikā khalu bhāvavyahāraprajñaptiḥ,	eatat-balena-arTa-kriyA-samarTa-vizayikA Kalu BAva-vyahAra-prajQaptiH,
   parasparaparihārasthitalakṣaṇatvād bhāvābhāvayoḥ |	paraspara-parihAra-sTita-lakzaNa-tvAt BAva-aBAvayoH |
   evaṃvidhe sarvasāmarthyaśūnye śaśaviṣāṇādyaviśeṣe 'pi 'bhāvaḥ'; iti nāma	evaMviDe sarva-sAmarTya-SUnye SaSa-vizANa-Adi-aviSeze api aBAvaH-a; iti nAma
   vyavahāre sati nāsti nāmni vivādaḥ | tathāpi arthakriyārthino hi	vyavahAre sati na-asti nAmni vivAdaH | taTA-api arTa-kriyA-arTinaH hi
   prekṣāvantaḥ (Vajraṭ_121) tathāvidhānupalambhasvabhāve	prekzAvantaH (Vajraj-_121) taTAviDa-anupalamBa-svaBAve
   vandhyāputrādyaviśeṣe ca bhāvavyavahāro na yujyata ityāhuḥ | ata eva	vanDyA-putra-Adi-aviSeze ca BAva-vyavahAraH na yujyate iti-AhuH | atas eva
   nāsiddho hetuḥ | na cānaikāntikaḥ, ākāśādiṣvapi kartṛtvaprasaṅgāt |	na-asidDaH hetuH | na ca-anEkAntikaH, AkASa-Adizu-api kartR-tva-prasaFgAt |
   sapakṣe sattvānna ca viruddhaḥ | tasmādātmano lakṣaṇāntarābhāvād	sa-pakze sattvAt-na ca virudDaH | tasmAt-AtmanaH lakzaNa-antara-aBAvAt-
   bandhyāputrasadṛśa eva | vinaśvaratve sati skandhāntargatā eva pudgalāḥ	banDyA-putra-sadRSaH eva | vinaSvara-tve sati skanDa-antargatAH eva pudgalAH
   prasajyeran, sarvasaṃskṛtānāṃ skandhasaṃgṛhītatvāt | athāvinaśvaratve	prasajyeran, sarva-saMskRtAnAm skanDa-saMgRhIta-tvAt | aTa-avinaSvara-tve
   tāvat skandhāntargatadharmavisadṛśatvādarthāntarā eva te bhaveyuriti doṣo	tAvat skanDa-antargata-Darma-visadRSa-tvAt-arTa-antarAH eva te BaveyuH-iti dozaH-
   'yamuktapūrva eva | ato nāsti kaścidanirvacanīyo bhāva iti | ataḥ 'sarve	ayam-ukta-pUrvaH eva | atas na-asti kaScid-anirvacanIyaH BAvaH iti | atas asarve
   dharmā nirātmānaḥ'; iti bhagavataḥ siṃhanādaḥ	DarmAH nirAtmAnaH-a; iti BagavataH siMhanAdaH
   samastatairthikakuñjaravṛndānāṃ bhīkaraḥ, anavamardanīyatvāt |	samasta-tErTika-kuQjara-vRndAnAm BIkaraH, anavamardanIya-tvAt |
   alamativistareṇa |	alam-ati-vistareNa |
   2. pāramitāyoga-sthānam :	2. pAramitA-yoga-sTAnam :
   pāramitāyogamadhikṛtyāha- api tu khalu punaḥ ityādi | etacca padadvayaṃ	pAramitA-yogam-aDikRtya-aha api tu Kalu punar ityAdi | etat-ca pada-dvayam
   sāmānyaviśeṣasvabhāvātmakaṃ draṣṭavyam | dānaṃ dātavyaṃ na	sAmAnya-viSeza-svaBAva-Atmakam drazwavyam | dAnam dAtavyam na
   tuvastupratiṣṭhitena bodhisattvenetyarthaḥ | dānam ityanena	tuvaH-tu-pratizWitena boDisattvena-iti-arTaH | dAnam iti-anena
   trividhadānamadhikṛtya ṣaṭ pāramitā darśitāḥ na tu dānamātram |	triviDa-dAnam-aDikRtya zaw pAramitA darSitAH na tu dAna-mAtram |
   tatrāmiṣadānena dānapāramitā nirdiṣṭā, abhayadānena tāvad	tatra-Amiza-dAnena dAna-pAramitA nirdizwA, aBaya-dAnena tAvat-
   śīla-kṣāntipāramite, dharmadānena tu vīrya-dhyāna-prajñāpāramitāḥ |	SIla--kzAnti-pAramite, Darma-dAnena tu vIrya--DyAna--prajQApAramitAH |
   vīryābhāve dharmādāna-pravacanayoḥ parikhinnatvānna dharmaṃ deśayet |	vIrya-aBAve Darma-AdAna--pravacanayoH pariKinna-tvAt-na Darmam deSayet |
   dhyānābhāve śraddhātirekakarmābhilaṣatayā saṃkliṣṭā bhaved deśanā |	DyAna-aBAve SradDA-atireka-karma-aBilaza-tayA saMklizwA Bavet deSanA |
   prajñāyāścābhāve sa tad viparītatayā dharmaṃ deśayet | tasmāt trayābhāve	prajQAyAH-ca-aBAve sa tat viparIta-tayA Darmam deSayet | tasmAt traya-aBAve
   na sidhyati dharmadānam | vīryaṃ sarvatragamityapare |	na siDyati Darma-dAnam | vIryam sarvatragam-iti-apare |
   dānaṃ dātavyam ityanena ṣaṭsu pāramitāsu chanda-praṇidhānābhyāṃ kathaṃ	dAnam dAtavyam iti-anena zawsu pAramitAsu Canda--praNiDAnAByAm kaTam
   sthātavyamiti nirdiṣṭam | na vastupratiṣṭhitena ityādinātra yogasamāpattyā	sTAtavyam-iti nirdizwam | na vastu-pratizWitena ityAdinA-atra yoga-samApattyA
   (Vajraṭ_122) kathaṃ pratipattavyamityāveditam | evaṃ hi bodhisattvena	(Vajraj-_122) kaTam pratipattavyam-iti-Aveditam | evam hi boDisattvena
   dānaṃ dātavyam ityādinā vikṣepaṃ nigṛhya kathaṃ cittaṃ	dAnam dAtavyam ityAdinA vikzepam nigRhya kaTam cittam
   pragrahītavyamityetannirdiṣṭam | tatra na vastupratiṣṭhiteneti	pragrahItavyam-iti-etat-nirdizwam | tatra na vastu-pratizWitena-iti
   prajñāpāramitāyāṃ yogasya yāthāvattvaṃ tāvannirdiṣṭam |	prajQApAramitAyAm yogasya yATAvat-tvam tAvat-nirdizwam |
   tatra deya-dāyaka-pratigrāhakādivastuṣu yattattvato 'bhiniveśanaṃ tat	tatra deya--dAyaka-pratigrAhaka-Adi-vastuzu yat-tattvataH aBiniveSanam tat-
   pratiṣṭhānam | yadi bodhisattvaḥ vastunyabhiniviśya pāramitāyāṃ yuñjīta,	pratizWAnam | yadi boDisattvaH vastuni-aBiniviSya pAramitAyAm yuQjIta,
   mithyāyogobhavet, paramārthataḥ kasyacidapyabhiniveśyavastunaḥ	miTyAyoga-uBavet, paramArTataH kasyacid-api-aBiniveSya-vastunaH
   sarvathābhāvena viparītābhiniveśāt,	sarvaTA-BAvena viparIta-aBiniveSAt,
   tassādhakabādhakapramāṇābhāvabhāvataśca |	tassADaka-bADaka-pramANa-aBAva-BAvataH-ca |
   tathā hi- paraiḥ paramārthataḥ iṣṭā vijñānavyatiriktā arthāstāvānna	taTA hi parEH paramArTataH izwAH vijQAna-vyatiriktAH arTAH-tAvAn-na
   pratyakṣasiddhāḥ, arthāntareṇa jñānena grahaṇāyogāt | arthe sati sākāreṇa	pratyakza-sidDAH, arTa-antareNa jQAnena grahaNa-ayogAt | arTe sati sa-AkAreNa
   nirākāreṇa anyākāreṇa vā jñānena grahaṇamiti trayaḥ pakṣāḥ | tatra tāvanna	nirAkAreNa anya-AkAreNa vA jQAnena grahaNam-iti trayaH pakzAH | tatra tAvat-na
   sākāreṇa citravarṇādidarśanakāle ekajñānābhinnatvādākāraṇāmapyekatvaṃ	sa-AkAreNa citra-varNa-Adi-darSana-kAle eka-jQAna-aBinna-tvAt-AkAraNAm-api-eka-tvam
   prasajyeta, athavā ākārabhinnatvādākāravajjñānasyāpyanekātmakatvaṃ	prasajya-ita, aTavA AkAra-Binna-tvAt-AkAra-vat-jQAnasya-api-aneka-Atmaka-tvam
   prasajyeta |	prasajyeta |
   anekatvaṃ tāvanna yujyata eva, ekaikaparamāṇugrāhyajñānānubhavābhāvānna	aneka-tvam tAvat-na yujyate eva, eka-eka-paramANu-grAhya-jQAna-anuBava-aBAvAt-na
   sidhyati tāvajjñānasyaikatvam, tadasiddhāvanekatvamapi khalvasiddham,	siDyati tAvat-jQAnasya-eka-tvam, tat-asidDO=-aneka-tvam-api Kalva-sidDam,
   ekaikasahaṃtisvarūpatvād anekasya | citrākāravyavasthāpanāyai	ekEka-sahaMti-svarUpa-tvAt anekasya | citra-AkAra-vyavasTApanAyE
   anekajñānotpādaparikalpanayāpi jñānasya viṣayaṃ vyāpya sthitatvād	aneka-jQAna-utpAda-parikalpanayA-api jQAnasya vizayam vyApya sTita-tvAt-
   grāhakajñānānāmutpādo 'pi na sambhavati, amūrttatvājjñānānām |	grAhaka-jQAnAnAm-utpAdaH api na samBavati, amUrtta-tvAt-jQAnAnAm |
   anyacca, sārūpyaṃ tāvadekadeśena bhavet sarvātmanā vā | tatra na tāvat	anyat-ca, sArUpyam tAvat-eka-deSena Bavet sarva-AtmanA vA | tatra na tAvat-
   sarvātmanā- arthajjñānasyāpi jaḍasvabhāvaprasaṅgāt | na caikadeśena-	sarva-AtmanA arTat-jQAnasya-api jaxa-svaBAva-prasaFgAt | na ca-eka-deSena-
   ekasya tāvanniravayavatvād | vyāvṛttibhedenāṃśopacāre 'pi	ekasya tAvat-niravayava-tvAt | vyAvRtti-Bedena-aMSa-upacAre api
   vastvādisārupyadharmāṇāṃ sarvatra (Vajraṭ_123) vidyamānatvāt sarveṇa	vastu-Adi-sArupya-DarmANAm sarvatra (Vajraj-_123) vidyamAna-tvAt sarveNa
   sarvamavagamyeta | atha tadutpannaṃ tatsārūpyaṃ cetyetaddvayena vedayatīti	sarvam-avagamyeta | aTa tat-utpannam tat-sArUpyam ca-iti-etat-dvayena vedayati-iti
   arthasārupyasya samanastarapratyayasyāpi grāhakatvaprasaṅgaḥ |	arTa-sArupyasya samanastara-pratyayasya-api grAhaka-tva-prasaFgaH |
   satyapi sārūpye paramārthataḥ bāhyārtho na pratyakṣasiddhaḥ, nīlākārātmano	sati-api sArUpye paramArTataH bAhya-arTaH na pratyakza-sidDaH, nIla-AkAra-AtmanaH-
   jñānasya svasaṃviditatvāt | yato hi pratyakṣaiva nīlādivijñaptirnāparā |	jQAnasya sva-saMvidita-tvAt | yatas hi pratyakzA-eva nIla-Adi-vijQaptiH-na-aparA |
   yattad vijñānaṃ tadevārthagrāhakamiti cet? bhavatu nāma prajñaptitaḥ, na	yat-tat vijQAnam tat-eva-arTa-grAhakam-iti cet? Bavatu nAma prajQaptitaH, na
   tu paramārthatastad vedanam, ātmākārasya svasaṃviditatvāt,	tu paramArTataH-tat vedanam, Atma-AkArasya sva-saMvidita-tvAt,
   atyantaparokṣatvādarthānāṃ kathaṃ tadākāraṃ jñānaṃ bhavediti |	atyanta-parokza-tvAt-arTAnAm kaTam tat-AkAram jQAnam Bavet-iti |
   svākārādhānena tāvadutpādako heturnaiva niyamena sidhyati, vyabhicārāt |	su-a-AkAra-ADAnena tAvat-utpAdakaH hetuH-na-eva niyamena siDyati, vyaBicArAt |
   paramāṇavaḥ khalu naiva sthūlapratītiviṣayaḥ, sūkṣmatvātteṣām | na ca	paramANavaH Kalu na-eva sTUla-pratIti-vizayaH, sUkzma-tvAt-tezAm | na ca
   saṃhitāḥ, tebhyo 'narthāntaratvāt vikalpaviṣayāṇām asattvācca |	saMhitAH, teByaH anarTa-antara-tvAt vikalpa-vizayANAm asattvAt-ca |
