   śivopaniṣad	Siva-upanizad-
   tad-ardhena ca vistīrṇaṃ % sat-kavāṭaṃ śivā3laye // 4.3 //	tad--arDena ca vistIrNam % sat-ka-vAwam Siva-a3laye // 4.3 //
   dīrghaṃ pañca-navatyā ca $ pañca-śākhā-suśobhitam &	dIrGam paQca-navatyA ca $ paQca--SAKA--su-SoBitam &
   sat-kavāṭa-dvayo1petaṃ % śrīmad vāhana-maṇṭapam // 4.4 //	sat-ka-vAwa--dvayaH-1petam % SrImat vAhana-maNwapam // 4.4 //
   dvāraṃ paścān-mukhaṃ jñeyam $ aśeṣā1rtha-prasādhakam &	dvAram paScAn-muKam jQeyam $ aSeza-a1rTa--prasADakam &
   abhāve prāṅ-mukhaṃ kāryam % udag-dakṣiṇato na ca // 4.5 //	aBAve prAF-muKam kAryam % udak--da-kziNataH na ca // 4.5 //
   gavā1kṣaka-dvayaṃ kāryam $ apidhānaṃ suśobhanam &	gavA1kzaka--dvayam kAryam $ apiDAnam su-SoBanam &
   dhūma-nirgamanā1rthāya % dakṣiṇo1ttara-kuḍyayoḥ // 4.6 //	DUma--nirgamana-A1rTAya % dakziNaH-1ttara--kuxyayoH // 4.6 //
   āgneya-bhāgāt paritaḥ $ kāryā jāla-gavā1kṣakāḥ &	Agneya--BAgAt paritas $ kAryAH jAla--gavA1-kzakAH &
   ūrdhva-stūpikayā yuktā % īṣac-chidra-pidhānayā // 4.7 //	UrDva-H-tUpikayA yuktA % Izac--Cidra--piDAnayA // 4.7 //
   śivā1gnihotra-kuṇḍaṃ ca $ vṛttaṃ hasta-pramāṇataḥ &	SivA1gnihotra--kuNxam ca $ vRttam hasta--pramANataH &
   catur-aśra-vedi(kā) śrīman % mekhalā-traya-bhūṣitam // 4.8 //	catur-aSra-vedi(kA) SrIman % meKalA-traya--BUzitam // 4.8 //
   kuḍyaṃ dvi-hasta-vistīṛṇaṃ $ pañca-hasta-samucchritam &	kuxyam dvi-haH-ta--vistIRNam $ paQca--hasta--samucCritam &
   śivā1gnihotra-śaraṇaṃ % kartavyam atiśobhanam // 4.9 //	SivA1gnihotra--SaraNam % kartavyam ati-SoBanam // 4.9 //
   jagatī-stambha-paṭṭā3dyaṃ $ sapta-saṃkhyaṃ ca kalpayet &	jagatI--stamBa--pawwA3dyam $ sapta--saMKyam ca kalpayet &
   bandha-yoga-vinirmuktaṃ % tulya-sthāna-padā1ntaram // 4.10 //	banDa--yoga--vinirmuktam % tulya--sTAna-padA1ntaram // 4.10 //
   aiṣṭakaṃ kalpayed yatnāc $ chivā1gny-āyatanaṃ mahat &	Ezwakam kalpayet yatnAt $ Civa-a1gny-Ayatanam mahat &
   catuḥ-pregīvako1petam(?) % eka-pregīvakena vā(?) // 4.11 //	catuH--pregIvaka-u1petam(?) % eka-pregIvakena vA(?) // 4.11 //
   sudhā-praliptaṃ kartavyaṃ $ pañcā1ṇḍaka-bibhūṣitam &	suDA--praliptam kartavyam $ paQca-a1Nxaka-biBUzitam &
   śivā1gni-hotra-śaraṇaṃ % catur-aṇḍaka-saṃyutam // 4.12 //	SivA1gni-hotra--SaraNam % catur--aNxaka--saMyutam // 4.12 //
   bahis tad eva jagatī $ tri-hastā vā sukuṭṭimā &	bahis tat eva jagatI $ tri-hastA vA su-kuwwimAH &
   tāvad eva ca vistīrṇā % mekhalā3di-vibhūṣitā // 4.13 //	tAvat eva ca vistIrNA % meKalA3di-viBUzitAH // 4.13 //
   kartavyā cā7tra jagatī $ tasyāś cā7dhaḥ samantataḥ &	kartavyA ca-a7tra jagatI $ tasyAH ca-a7DaH samantataH &
   dvi-hasta-mātra-vistīrṇā % tad-ardhā1rdha-samucchritā // 4.14 //	dvi-hasta-mAtra--vistIrNA % tad--arDa-A1rDa--samucCritAH // 4.14 //
   anyā vṛttā prakartavyā $ rudra-vedī suśobhanā &	anyA vRttA prakartavyA $ rudra-vedI su-SoBanA &
   daśa-hasta-pramāṇā ca % catur-aṅgulam ucchritā // 4.15 //	daSa--hasta--pramANA ca % catur--aFgulam ucCritAH // 4.15 //
   rudra-mātṛ-gaṇānāṃ ca $ dik-patīnāṃ ca sarvadā &	rudra--mAtR--gaNAnAm ca $ dik-patInAm ca sarvadA &
   sarvā1gra-pāka-saṃyuktaṃ % tāsu nitya-baliṃ haret // 4.16 //	sarvA1gra--pAka--saMyuktam % tAsu nitya-balim haret // 4.16 //
   vedy anyā sarva-bhūtānāṃ $ bahiḥ kāryā dvi-hastikā &	vedI anyA sarva-BUtAnAm $ bahis kAryA dvi-hastikA &
   vṛṣa-sthānaṃ ca kartavyaṃ % śivā3lokana-saṃmukham // 4.17 //	vRza-sTAnam ca kartavyam % SivA3lokana--saMmuKam // 4.17 //
   agrā3rṣa-savitur vyoma $ vṛṣaḥ kāryaś ca paścime &	agrA-3-rza--savituH vyomaH $ vRzaH kAryaH ca paScime &
   vyomnaś cā7dhas tri-garbhaṃ syāt % pitṛ-tarpaṇa-vedikā // 4.18 //	vyomnaH ca-a7DaH tri-garBam syAt % pitR-tarpaNa--vedikAH // 4.18 //
   prākārā1ntar-bahiḥ kāryaṃ $ śrīmad go-pura-bhūṣitam &	prAkAra-a1ntar--bahis kAryam $ SrImat go-pura-BUzitam &
   puṣpā3rāma-jalo1petaṃ % prākārā1ntaṃ ca kārayet // 4.19 //	puzpa-A3rAma--jalaH-1petam % prAkAra-a1ntam ca kArayet // 4.19 //
   mṛd-dārujaṃ tṛṇa-cchannaṃ $ prakurvīta śivā3layam &	mRd-dAru-jam tRNa--=-Cannam $ prakurvIta SivA3layam &
   bhūmikā-dvaya-vinyāsād % utkṣiptaṃ kalpayed budhaḥ // 4.20 //	BUmikA--dvaya--vinyAsAt % utkziptam kalpayet buDaH // 4.20 //
   śiva-dakṣiṇataḥ kāryaṃ $ ta-bhukter yogyam ālayam &	Siva--dakziNatas kAryam $ ta-BukteH yogyam Alayam &
   śayyā4sana-samāyuktaṃ % vāstu-vidyā-vinirmitam // 4.21 //	SayyA4sana--samAyuktam % vAstu-vidyA--vinirmitam // 4.21 //
   dhvaja-siṃhau vṛṣa-gajau $ catvāraḥ śobhanāḥ smṛtāḥ &	Dvaja--siMhO vRza--gajO $ catvAraH SoBanAH smRtAH &
   dhūma-śva-gardabha-dhvāṅkṣāś % catvāraś cā7rtha-nāśakāḥ // 4.22 //	DUma-Sva-garda-Ba--DvAFkzAH % catvAraH ca-a7rTa-nASakAH // 4.22 //
   gṛhasyā8yāma-vistāraṃ $ kṛtvā tri-guṇam āditaḥ &	gRhasyA8yAma--vistAram $ kRtvA tri-guNam Aditas &
   aṣṭabhiḥ śodhayed āpaiḥ % śeṣaś ca gṛham ādiśet // 4.23 //	azwaBiH SoDayet ApEH % SezaH ca gRham AdiSet // 4.23 //
   iti śānti-gṛhaṃ kṛtvā $ rudrā1gniṃ yaḥ pravartayet &	iti SAnti-gRham kRtvA $ rudrA1gnim yaH pravartayet &
   apy ekaṃ divasaṃ bhaktyā % tasya puṇya-phalaṃ śṛṇu // 4.24 //	api ekam divasam BaktyA % tasya puNya-Palam SRNu // 4.24 //
   kalatra-putra-mitrā3dyaiḥ $ sa bhṛtyaiḥ parivāritaḥ &	kalatra-putra-mitrA3dyEH $ sa BRtyEH parivAritaH &
   kulai1kaviṃśad uttārya % deva-lokam avā3pnuyāt // 4.25 //	kulE1-kaviMSat uttArya % deva-lokam avA3pnuyAt // 4.25 //
   nīlo1tpala-dala-śyāmāḥ $ pīna-vṛtta-payo-dharāḥ &	nIlo1tpala-dala-SyAmAH $ pIna--vRtta-payaH--DarAH &
   hema-varṇāḥ striyaś cā7nyāḥ % sundaryaḥ priya-darśanāḥ // 4.26 //	hema-varNAH striyaH ca-a7nyAH % sundaryaH priya-darSanAH // 4.26 //
   tābhiḥ sārdhaṃ mahā-bhogair $ vimānaiḥ sārva-kāmikaiḥ &	tABiH sArDam mahA-BogEH $ vimAnEH sArva--kAmikEH &
   icchayā krīḍate tāvad % yāvad ā-bhūta-saṃplavam // 4.27 //	icCayA krIxate tAvat % yAvat A-BUta--saMplavam // 4.27 //
   tataḥ kalpā1gninā sārdhaṃ $ dahyamānaṃ suvihvalam &	tatas kalpA1gninA sArDam $ dahyamAnam su-vihvalam &
   dṛṣṭvā virajyate bhūyo % bhava-bhoga-mahā2rṇavāt // 4.28 //	dRzwvA virajyate BUyas % Bava--Boga--mahA-2rNavAt // 4.28 //
   tataḥ saṃpṛcchate rudrāṃs $ tatra-sthān jñāna-pāragān &	tatas saMpRcCate rudrAn $ tatra-sTAn jQAna--pAragAn &
   tebhyaḥ prāpya śiva-jñānaṃ % śāntaṃ nirvāṇam āpnuyāt // 4.29 //	teByaH prApya Siva-jQAnam % SAntam nirvANam ApnuyAt // 4.29 //
   aviraktaś ca bhogebhyaḥ $ sapta janmāni jāyate &	aviraktaH ca BogeByaH $ sapta janmAni jAyate &
   pṛthivy-adhipatiḥ śrīmān % icchayā vā dvijottamaḥ // 4.30 //	pRTivI--aDipatiH SrImAn % icCayA vA dvijottamaH // 4.30 //
   saptamāj janmanaś cā7nte $ śiva-jñānam anāpnuyāt &	saptamAt janmanaH ca-a7nte $ Siva-jQAnam anApnuyAt &
   jñānād viraktaḥ saṃsārāc % chuddhaḥ khāny adhitiṣṭhati // 4.31 //	jQAnAt viraktaH saMsArAt % CudDaH KAni aDitizWati // 4.31 //
   ity etad akhilaṃ kāryaṃ $ phalam uktaṃ samāsataḥ &	iti etat aKilam kAryam $ Palam uktam samAsatas &
   utsave ca punar brūmaḥ % pratyekaṃ dravyajaṃ phalam // 4.32 //	utsave ca punar brUmaH % pratyekam dravya-jam Palam // 4.32 //
   sad-gandha-guṭikām ekāṃ $ lākṣāṃ prāṇy-aṅga-varjitām &	sad-ganDa--guwikAm ekAm $ lAkzAm prANi--aFga--varjitAm &
   karpāsā1sthi-pramāṇaṃ ca % hutvā9gnau śṛṇuyāt phalam // 4.33 //	karpAsA1-sTi--pramANam ca % hutvA-a9gnO SRNuyAt Palam // 4.33 //
   yāvat sat-gandha-guṭikā $ śivā1gnau saṃkhyayā hutā &	yAvat sat-ganDa--guwikA $ Siva-a1gnO saMKyayA hutA &
   tāvat-koṭyas tu varṣāṇi % bhogān bhuṅkte śive pure // 4.34 //	tAvat--kowyaH tu varzANi % BogAn BuFkte Sive pure // 4.34 //
   ekā1ṅgula-pramāṇena $ hutvā9gnau candanā3hutim &	eka-a1Fgula--pramANena $ hutvA-a9gnO candanA3hutim &
   varṣa-koṭi-dvayaṃ bhogair % divyaiḥ śiva-pure vaset // 4.35 //	varza--kowi--dvayam BogEH % divyEH Siva-pure vaset // 4.35 //
   yāvat-kesara-saṃkhyānaṃ $ kusumasyā7nale hutam &	yAvat-kesara--saMKyAnam $ kusumasya-a7nale hutam &
   tāvad-yuga-sahasrāṇi % śiva-loke mahīyate // 4.36 //	tAvat--yuga--sahasrANi % Siva-loke mahIyate // 4.36 //
   nāga-kesara-puṣpaṃ tu $ kuṅkumā1rdhena kīrtitam &	nAga-kesara-puzpam tu $ kuFkuma-a1rDena kIrtitam &
   yat phalaṃ candanasyo7ktam % uśīrasya tad-ardhakam // 4.37 //	yat Palam candanasya-u7ktam % uSIrasya tad--arDakam // 4.37 //
   yat puṣpa-dhūpa-bhaṣyā7nna- $ dadhi-kṣīra-ghṛtā3dibhiḥ &	yat puzpa-DUpa--BazyA7nna $ daDi-kzIra--GRta-A3diBiH &
   puṇya-liṅgā1rcane proktaṃ % tad dhomasya daśā1dhikam // 4.38 //	puNya-liFgA1rcane proktam % tat Domasya daSa-a1Dikam // 4.38 //
   hutvā9gnau samidhas tisrau $ śivo1mā-skanda-nāmabhiḥ &	hutvA-a9gnO samiDaH tisrO $ SivaH-1mA-skanda--nAmaBiH &
   paścād dadyāt tilā1nnāni % homayīta yathā-kramam // 4.39 //	paScAt dadyAt tila-a1nnAni % homayIta yaTA-kramam // 4.39 //
   palāśā1aṅkurajā1riṣṭa- $ pālālyaḥ(?) samidhaḥ śubhāḥ &	palASA1aFkura-jA1rizwa $ pAlAlyaH(?) samiDaH SuBAH &
   pṛṣad-ājya-plutā hutvā % śṛṇu yat phalam āpnuyāt // 4.40 //	pRzad-A-Ajya-plutAH hutvA % SRNu yat Palam ApnuyAt // 4.40 //
   palāśā1ṅkura-saṃkhyānāṃ $ yāvad agnau hutaṃ bhavet &	palASa-a1Fkura--saMKyAnAm $ yAvat agnO hutam Bavet &
   tāvat-kalpān mahā-bhogaiḥ % śiva-loke mahīyate // 4.41 //	tAvat--kalpAn mahA-BogEH % Siva-loke mahIyate // 4.41 //
   tal-lakṣya-madhya-saṃbhūtaṃ $ hutvā9gnau samidhaḥ śubhāḥ &	tal-lakzya--maDya--saMBUtam $ hutvA-a9gnO samiDaH SuBAH &
   kalpā1rdha-saṃmitaṃ kālaṃ % bhogān bhuṅkte śive pure // 4.42 //	kalpa-a1rDa--saMmitam kAlam % BogAn BuFkte Sive pure // 4.42 //
   śamī-samit-phalaṃ deyam $ abdān api ca lakṣakam &	SamI--samit--Palam deyam $ abdAn api ca lakzakam &
   śamy-ardha-phalavac-cheṣāḥ % samidhaḥ kṣīra-vṛkṣajāḥ // 4.43 //	Samy-arDa--Pala-vac--SezAH % samiDaH kzIra-vRkza-jAH // 4.43 //
   tila-saṃkhyāṃs tilān hutvā hy $ ājyāktā(?) yāvatī bhavet &	tila--saMKyAn tilAn hutvA hi $ Ajya-aktA(?) yAvatI Bavet &
   tāvat sa varṣa-lakṣāṃs tu % bhogān bhuṅkte śive pure // 4.44 //	tAvat sa varza-lakzAn tu % BogAn BuFkte Sive pure // 4.44 //
   yāvat surauṣadhīrajñas(?) $ tila-tulya-phalaṃ smṛtam &	yAvat sura-ozaDI-rajQas(?) $ tila--tulya--Palam smRtam &
   itarebhyas tilebhyaś ca % kṛṣṇānāṃ dviguṇaṃ phalam // 4.45 //	itareByaH tileByaH ca % kRzNAnAm dviguNam Palam // 4.45 //
   lājā1kṣatāḥ sa-go-dhūmāḥ $ varṣa-lakṣa-phala-pradāḥ &	lAjA-1kzatAH sa--go-DUmAH $ varza--lakza--Pala--pradAH &
   daśa-sāhasrikā jñeyāḥ % śeṣāḥ syur bīja-jātayaḥ // 4.46 //	daSa--sAhasrikAH jQeyAH % SezAH syuH bIja--jAtayaH // 4.46 //
   palāśe1ndhana-je vahnau $ homasya dviguṇaṃ phalam &	palASe1nDana--je vahnO $ homasya dviguNam Palam &
   kṣīra-vṛkṣa-samṛddhe 'gnau % phalaṃ sārdhā1rdhikaṃ bhavet // 4.47 //	kzIra-vRkza--samRdDe agnO % Palam sArDa-a1rDikam Bavet // 4.47 //
   asamiddhe sadhūme ca $ homa-karma nirarthakam &	asamidDe sa-DUme ca $ homa-karma nirarTakam &
   andhaś ca jāyamānaḥ syād % dāridryo1pahatas tathā // 4.48 //	anDaH ca jAyamAnaH syAt % dAridrya-u1pahataH taTA // 4.48 //
   na ca kaṇṭakibhir vṛkṣair $ agniṃ prajvālya homayet &	na ca kaNwakiBiH vRkzEH $ agnim prajvAlya homayet &
   śuṣkair navaiḥ praśastaiś ca % kāṣṭhair agniṃ samindhayet // 4.49 //	SuzkEH navEH praSastEH ca % kAzWEH agnim saminDayet // 4.49 //
   evam ājyā3hutiṃ hutvā $ śiva-lokam avāpnuyāt &	evam AjyA3hutim hutvA $ Siva-lokam avApnuyAt &
   tatra kalpa-śataṃ bhogān % bhuṅkte divyān yathe3psitān // 4.50 //	tatra kalpa--Satam BogAn % BuFkte divyAn yaTA-I3psitAn // 4.50 //
   srucai9kā3hita-mātreṇa $ vratasyā8pūritena ca &	sru-cE9kA3-hita--mAtreNa $ vratasya-A8pUritena ca &
   yā0hutir dīyate vahnau % sā pūrṇā3hutir ucyate // 4.51 //	yA0hutiH dIyate vahnO % sA pUrNA3hutiH ucyate // 4.51 //
   ekāṃ pūrṇā3hutiṃ hutvā $ śivena śiva-bhāvitaḥ &	ekAm pUrNA3hutim hutvA $ Sivena Siva-BAvitaH &
   sarva-kāmam avāpnoti % śiva-loke vyavasthitaḥ // 4.52 //	sarva-kAmam avApnoti % Siva-loke vyavasTitaH // 4.52 //
   aśeṣa-kulajair sārdhaṃ $ sa bhṛtyaiḥ parivāritaḥ &	aSeza--kula-jEH sArDam $ sa BRtyEH parivAritaH &
   ā-bhūta-saṃplavaṃ yāvad % bhogān bhuṅkte yathe4psitān // 4.53 //	A-BUta--saMplavam yAvat % BogAn BuFkte yaTA-I4psitAn // 4.53 //
   tataś ca pralaye prāpte $ saṃprāpya jñānam uttamam &	tatas ca pralaye prApte $ saMprApya jQAnam uttamam &
   prasādād īśvarasyai7va % mucyate bhava-sāgarāt // 4.54 //	prasAdAt ISvarasya-e7va % mucyate Bava--sAgarAt // 4.54 //
   śiva-pūrṇā3hutiṃ vahnau $ patantīṃ yaḥ prapaśyati &	Siva--pUrNA3-hutim vahnO $ patantIm yaH prapaSyati &
   so 'pi pāpari naraḥ sarvair % muktaḥ śiva-puraṃ vrajet // 4.55 //	saH api pApari naraH sarvEH % muktaH Siva-puram vrajet // 4.55 //
   śivā1gni-dhūma-saṃspṛṣṭā $ jīvāḥ sarve carā1carāḥ &	SivA1gni-DUma--saMspRzwAH $ jIvAH sarve cara-a1carAH &
   te 'pi pāpa-vinirmuktāḥ % svargaṃ yānti na saṃśayaḥ // 4.56 //	te api pApa--vinirmuktAH % svargam yAnti na saMSayaH // 4.56 //
   śiva-yajña-mahā-vedyā $ jāyate ye na santi vā &	Siva-yajQa--mahA--vedyA $ jAyate ye na santi vA &
   te 'pi yānti śiva-sthānaṃ % jīvāḥ sthāvara-jaṅgamāḥ // 4.57 //	te api yAnti Siva-sTAnam % jIvAH sTAvara--jaFgamAH // 4.57 //
   pūrṇā3hutiṃ ghṛtā1bhāve $ kṣīra-tailena kalpayet &	pUrNA3hutim GRtA1BAve $ kzIra-tElena kalpayet &
   homayed atasī-tailaṃ % tila-tailaṃ vinā naraḥ // 4.58 //	homayet atasI-tElam % tila-tElam vinA naraH // 4.58 //
   sarṣape1ṅguḍi-kāśā3mra- $ karañja-madhukākṣajam &	sarzape1Fguxi-kASa-a3mra $ karaQja--maDuka-akza-jam &
   priyaṅgu-bilva-paippalya- % nālikera-samudbhavam(?) // 4.59 //	priyaFgu--bilva--pEppalya % nAlikera--samudBavam(?) // 4.59 //
   ity evam ādikaṃ tailam $ ājyā1bhāve prakalpayet &	iti evam Adikam tElam $ AjyA1BAve prakalpayet &
   dūrvayā bilva-pattrair vā % samidhaḥ saṃprakīrtitāḥ // 4.60 //	dUrvayA bilva--pattrEH vA % samiDaH saMprakIrtitAH // 4.60 //
   annā1rthaṃ homayet kṣīraṃ $ dadhi mūla-phalāni vā &	anna-A1rTam homayet kzIram $ daDi mUla--PalAni vA &
   tilā1rthaṃ taṇḍulaiḥ kuryād % darbhā1rthaṃ haritais tṛṇaiḥ // 4.61 //	tila-A1rTam taNxulEH kuryAt % darBa-a1rTam haritEH tRNEH // 4.61 //
   paridhīnām abhāvena $ śarair vaṃśaiś ca kalpayet &	pariDInAm aBAvena $ SarEH vaMSEH ca kalpayet &
   indhanānām abhāvena % dīpayet tṛṇa-gomayaiḥ // 4.62 //	inDanAnAm aBAvena % dIpayet tRNa--gomayEH // 4.62 //
   gomayānām abhāvena $ mahaty ambhasi homayet &	gomayAnAm aBAvena $ mahati amBasi homayet &
   apām asaṃbhave homaṃ % bhūmi-bhāge mano-hare // 4.63 //	apAm asaMBave homam % BUmi-BAge mano-hare // 4.63 //
   viprasya dakṣiṇe pāṇāv $ aśvatthe tad-abhāvataḥ &	viprasya dakziNe pANO $ aSvatTe tad--aBAvataH &
   chāgasya dakṣiṇe karṇe % kuśa-mūle ca homayet // 4.64 //	CAgasya dakziNe karNe % kuSa-mUle ca homayet // 4.64 //
   sv-ātmā1gnau homayet prājñaḥ $ sarvā1gnīnām asaṃbhave &	sv-Atma-a1gnO homayet prAjQaH $ sarvA1gnInAm asaMBave &
   abhāve na tyajet karma % karma-yoga-vidhau sthitaḥ // 4.65 //	aBAve na tyajet karma % karma---yoga-viDO sTitaH // 4.65 //
   āpat-kāle 'pi yaḥ kuryāc $ chivā1gner manasā1rcanam &	Apat--kAle api yaH kuryAt $ SivA1gneH manasA-a1rcanam &
   sa moha-kañcukaṃ tyaktvā % parāṃ śāntim avāpnuyāt // 4.66 //	sa moha--kaQcukam tyaktvA % parAm SAntim avApnuyAt // 4.66 //
   prāṇā1gni-hotraṃ kurvanti $ paramaṃ śiva-yoginaḥ &	prANA1gni-hotram kurvanti $ paramam Siva-yoginaH &
   bāhya-karma-vinirmuktā % jñāna-dhyāna-samākulāḥ // 4.67 //	bAhya-karma--vinirmuktAH % jQAna-DyAna--samAkulAH // 4.67 //
   // iti śivopaniṣadi śāntigṛhāgnikāryādhyāyaś caturthaḥ //	// iti Siva-upanizadi SAnti-gRha-agni-kArya-aDyAyaH caturTaH //
   athā8gneyaṃ mahā-snānam $ alakṣmī-mala-nāśanam &	aTa-a8gneyam mahA--snAnam $ alakzmI--mala-nASanam &
   sarva-pāpa-haraṃ divyaṃ % tapaḥ śrī-kīrti-vardhanam // 5.1//	sarva-pApa--haram divyam % tapaH SrI--kIrti-varDanam // 5.1//
   agni-rūpeṇa rudreṇa $ sva-tejaḥ paramaṃ balam &	agni--rUpeNa rudreNa $ sva-tejaH paramam balam &
   bhūti-rūpaṃ samudgīrṇaṃ % viśuddhaṃ dur-itā1paham // 5.2//	BUti-rUpam samudgIrNam % viSudDam dur-itA1-paham // 5.2//
   yakṣa-rakṣaḥ-piśācānāṃ $ dhvaṃsanaṃ mantra-sat-kṛtam &	yakza-rakzaH--piSAcAnAm $ DvaMsanam mantra--sat--kRtam &
   rakṣā2rthaṃ bāla-rūpāṇāṃ % sūtikānāṃ gṛheṣu ca // 5.3//	rakzA-2rTam bAla--rUpANAm % sUtikAnAm gRhezu ca // 5.3//
   yaś ca bhuṅkte dvijaḥ kṛtvā $ [a]nnasya vā paridhi-trayam(?) &	yaH ca BuFkte dvijaH kRtvA $ [a]nnasya vA pariDi-trayam(?) &
   api śūdrasya paṅkti-sthaḥ % paṅkti-doṣair na lipyate // 5.4//	api SUdrasya paFkti-sTaH % paFkti--dozEH na lipyate // 5.4//
   āhāram ardha-bhuktaṃ ca $ kīṭa-keśā3di-dūṣitam &	AhAram arDa-Buktam ca $ kIwa-keSA3di-dUzitam &
   tāvan-mātraṃ samuddhṛtya % bhūti-spṛṣṭaṃ viśuddhyati // 5.5//	tAvan--mAtram samudDRtya % BUti-spRzwam viSudDi-ati // 5.5//
   āraṇyaṃ go-maya-kṛtaṃ $ karīṣaṃ vā praśasyate &	AraNyam go-maya-kRtam $ karIzam vA praSasyate &
   śarkarā-pāṃsu-nirmuktam % abhāve kāṣṭha-bhasmanā // 5.6//	SarkarA--pAMsu--nirmuktam % aBAve kAzWa--BasmanA // 5.6//
   sva-gṛhā3śrama-vallibhyaḥ $ kulālā3laya-bhasmanā &	sva-gRhA3-Srama--valliByaH $ kulAla-a3laya--BasmanA &
   go-mayeṣu ca dagdheṣu % hī7ṣṭakāni ca yeṣu ca // 5.7//	go-mayezu ca dagDezu % hI7zwakAni ca yezu ca // 5.7//
   sarvatra vidyate bhasma $ duḥkhāpārjana-rakṣaṇam (duḥkho1pār-) &	sarvatra vidyate Basma $ duHKa-apArjana--rakzaNam (duHKaH-1-pAr-) &
   śaṅkha-kunde1ndu-varṇā3bham % ādadyāj jantu-varjitam // 5.8//	SaFKa--kunde1ndu-varNa-a3Bam % AdadyAt jantu--varjitam // 5.8//
   bhasmā8nīya prayatnena $ tad rakṣed yatnavāṃs tathā &	Basma-A8nIya prayatnena $ tat rakzet yatnavAn taTA &
   mārjāra-mūṣikā4dyaiś ca % no7pahanyeta tad yathā // 5.9//	mArjAra--mUzikA4dyEH ca % na-u7pahanyeta tat yaTA // 5.9//
   pañca-doṣa-vinirmuktaṃ $ guṇa-pañcaka-saṃyutam &	paQca--doza--vinirmuktam $ guNa--paQcaka--saMyutam &
   śivai1kādaśikā-japtaṃ % śiva-bhasma prakīrtitam // 5.10//	SivE1kAdaSikA--japtam % Siva-Basma prakIrtitam // 5.10//
   jāti-kāruka-vāk-kāya- $ sthāna-duṣṭaṃ ca pañcamam &	jAti-kAruka-vAk--kAya $ sTAna-duzwam ca paQcamam &
   pāpa-ghnaṃ śāṃkaraṃ rakṣā- % pavitraṃ yogadaṃ guṇāḥ(?) // 5.11//	pApa--Gnam SAMkaram rakzA % pavitram yoga-dam guNAH(?) // 5.11//
   śiva-vratasya śāntasya $ bhāsakatvāc chubhasya ca &	Siva-vratasya SAntasya $ BAsaka-tvAt SuBasya ca &
   bhakṣaṇāt sarva-pāpānāṃ % bhasme7ti parikīrtitam // 5.12//	BakzaNAt sarva--pApAnAm % Basma-i7ti parikIrtitam // 5.12//
   bhasma-snānaṃ śiva-snānaṃ $ vāruṇād adhikaṃ smṛtam &	Basma--snAnam Siva-snAnam $ vAruNAt aDikam smRtam &
   jantu-śaivāla-nirmuktam % āgneyaṃ paṅka-varjitam // 5.13//	jantu--SEvAla--nirmuktam % Agneyam paFka---varjitam // 5.13//
   apavitraṃ bhavet toyaṃ $ niśi pūrvam anāhṛtam &	apavitram Bavet toyam $ niSi pUrvam anAhRtam &
   nadī-taḍāga-vāpiṣu % giri-prasravaṇeṣu ca // 5.14//	nadI--taxAga--vApizu % giri--prasravaNezu ca // 5.14//
   snānaṃ sādhāraṇaṃ proktaṃ $ vāruṇaṃ sarva-dehinām &	snAnam sADAraNam proktam $ vAruNam sarva-dehinAm &
   asādhāraṇam evo7ktaṃ % bhasma-snānaṃ dvi-janmanām // 5.15//	asADAraNam eva-u7ktam % Basma--snAnam dvi-janmanAm // 5.15//
   tri-kālaṃ vāruṇa-snānād $ anārogyaṃ prajāyate &	tri-kAlam vAruNa-snAnAt $ anArogyam prajAyate &
   āgneyaṃ roga-śamanam % etasmād sārva-kāmikam // 5.16//	Agneyam roga--Samanam % etasmAt sArva-kAmikam // 5.16//
   saṃdhyā-traye 'rdha-rātre ca $ bhuktvā cā7nna-virecane &	saMDyA--traye arDa-rAtre ca $ BuktvA ca-a7nna-virecane &
   śiva-yogy ācaret snānam % uccārā3di-kriyāsu ca // 5.17//	Siva-yogI Acaret snAnam % uccArA3-di-kriyAsu ca // 5.17//
   bhasmā3stṛte mahī-bhāge $ same jantu-vivarjite &	BasmA3stRte mahI--BAge $ same jantu--vivarjite &
   dhyāyamānaḥ śivaṃ yogī % rajany-antaṃ śayīta ca // 5.18 //	DyAyamAnaH Sivam yogI % rajanI--antam SayIta ca // 5.18 //
   eka-rātro1ṣitasyā7pi $ yā gatir bhasma-śāyinaḥ &	eka-rAtra-u1zitasya-a7pi $ yA gatiH Basma-SAyinaH &
   na sā śakyā gṛha-sthena % prāptuṃ yajña-śatair api // 5.19 //	na sA SakyAH gRha--sTena % prAptum yajQa--SatEH api // 5.19 //
   gṛha-sthas try-āyuṣoṃkāraiḥ $ snānaṃ kuryāt tri-puṇḍrakaiḥ &	gRha-sTaH tri--a-AyuzoMkArEH $ snAnam kuryAt tri--puNxrakEH &
   yatiḥ sārvā3ṅgikaṃ snānam % ā-pāda-tala-mastakāt // 5.20 //	yatiH sArvA3Fgikam snAnam % A-pAda--tala-mastakAt // 5.20 //
   śiva-bhaktas tridhā vedyāṃ $ bhasma-snāna-phalaṃ labhet &	Siva-BaktaH triDA vedyAm $ Basma--snAna--Palam laBet &
   hṛdi mūrdhni lalāṭe ca % śūdraḥ śiva-gṛhā3śramī // 5.21 //	hRdi mUrDni lalAwe ca % SUdraH Siva-gRhA3SramI // 5.21 //
