   śrīrāmajayam	SrI-rAma-jayam
   doṣaḥ, tadaṃśānupasthitau mānābhāvāt/ tadantāṃśopasthitau	dozaH, tad-aMSAn-upasTitO mAna-aBAvAt/ tad-anta-aMSa-upasTitO
   tūbhayorekaniṣayatvameva syāditi 'dṛṣattīrṇaḥ' ityādau doṣaḥ	tu-uBayoH-eka-nizaya-tvam-eva syAt-iti adRzat-tIrNaH-a ityAdO dozaH
   syādeva/"syatāsī ḷluṭoḥ"ityādau ḷluṭoḥ parayorityarthe	syAt-eva/"sya-tAsI ?luwoH"iti-AdO ?luwoH parayoH-iti-arTe
   niyamenāvadhisākāṅkṣatvenopasthitadhātorityasyāvadhitvena	niyamena-avaDi-sa-AkAFkza-tvena-upasTita-DAtoH-iti-asya-avaDi-tvena
   anvayānna tadantavijhiḥ/ 'ṅyābhyaḥ' ityādau tu na doṣaḥ, tatra kasmāditi	anvayAt-na tad-anta-viJiH/ aFyAByaH-a ityAdO tu na dozaH, tatra kasmAt-iti
   niyatāvadhyākāṅkṣāyā abhāvena pañcamyantasya pratyayaviśeṣaṇatvābhāvāt/	niyatO=-aDyAkAFkzAyAH aBAvena paQcamI-antasya pratyaya-viSezaNa-tva-aBAvAt/
   aṅga saṃjñā sūtre tu tadādeḥ pratyaye para ityarthe pañcamyantasya	aFga saMjQA sUtre tu tad-AdeH pratyaye paraH iti-arTe paQcamI-antasya
   viśeṣaṇatvaṃ spaṣṭameva/ ata eva"uttamaikābhyām" ityādi nirdeśāḥ	viSezaNa-tvam spazwam-eva/ atas eva"-uttama-ekAByAm" ityAdi nirdeSAH
   saṅgacchante//	saFga=-Cante//
   nanvevam 'kumārī brāmhaṇīrūpā' ityādau 'gharūpa' iti hrasvāpattirata āha:-	nanu-evam akumArI brAmhaNI-rUpA-a ityAdO aGa-rUpa-a iti hrasvApattiH-atas Aha:-
   uttarapadādhikāre pratyayagrahaṇe na tadantagrahaṇam // Paribh_24 //	uttara-pada-aDikAre pratyaya-grahaNe na tad-anta-grahaNam // PariB_24 //
   "hṛdayasya hṛllekhayaṇlādeśeṣu"ityatra lekhagrahaṇāt/ tatra lekheti na	"hRdayasya hRd-leKayaNla-AdeSezu"-iti-atra leKa-grahaNAt/ tatra leKA-iti na
   ghañantam, anabhighānāt/ iyaṃ ca 'hṛdayasya' iti sūtra eva bhāṣye spaṣṭā//	GaQantam, anaBiGAnAt/ iyam ca ahRdayasya-a iti sUtre eva BAzye spazwA//
   nanvevam 'paramakārīṣagandhīputraḥ' ityatreva 'atikārīṣagandhyāputraḥ'	nanu-evam aparamakArIza-ganDIputraH-a iti-atra-iva aatikArIza-ganDyA-putraH-a
   ityatra"ṣyaṅaḥ samprasāraṇaṃ putrapatyoḥ"	iti-atra"zyaFaH samprasAraNam putra-patyoH"
   iti syādata āha:-	iti syAt-atas Aha:-
   strīpratyaye cānupasarjane na // Paribh_25 //	strI-pratyaye ca-anupasarjane na // PariB_25 //
   viṣayasaptamīyam/ yaḥ strīpratyayaḥ striyaṃ prādhānyenā'ha tatra	vizaya-saptamIyam/ yaH strI-pratyayaH striyam prADAnyenA-aha tatra
   tadādiniyamo na, yastvaprādhānyenā'ha tatra tadādiniyamo 'styevetyarthaḥ/	tad-Adi-niyamaH na, yaH-tu-aprADAni-enA-aha tatra tad-Adi-niyamaH asti-eva-iti-arTaH/
   pratyāsatyā yasya samudāyastrīpratyayāntatvamāneyaṃ tadarthaṃ	pratyAsatyA yasya samudAya-strI-pratyaya-anta-tvamAnA-iyam tad-arTam
   pratyanupasarjanatvamevaitatparibhāṣāpravṛttau nimittam/ tena	pratyanupasarjana-tvam-eva-etat-pariBAzA-pravRttO nimittam/ tena
   'atirājakumāriḥ' ityādau rājakumārīśabdārthasyātiśabdārthaṃ	aatirAjakumAriHa ityAdO rAja-kumArI-Sabda-arTasya-ati-Sabda-arTam
   pratyupasarjanatve 'pi tadarthaṃ pratyanupasarjanatvāt tadādāniyamābhāvena	pratyupasarjana-tve api tad-arTam pratyanupasarjana-tvAt tad-AdAni-yama-aBAvena
   hrasva siddhiḥ/ ata evātra paribhāṣāyāṃ na śāstrīyamupasarjanatvam,	hrasva sidDiH/ atas eva-atra pariBAzAyAm na SAstrI-iyam-upasarjana-tvam,
   asambhavāt/ asyāḥ 'pratyayagrahaṇe' ityasyāpavādatvāt	asamBavAt/ asyAH apratyaya-grahaNe-a iti-asya-apavAda-tvAt-
   tadekavākyatvāpannatvāccātrāpi grahaṇapada	tad-eka-vAkya-tva-Apanna-tvAt-ca-atra-api grahaNa-pada
   sambandhena strīpratyayasāmānyagrahaṇe tadviśeṣagrahaṇe ca pravṛttiḥ, na	sambanDena strI-pratyaya-sAmAnya-grahaNe tad-viSeza-grahaNe ca pravRttiH, na
   tu strīpratyayāstrīpratyayagrahaṇe/ dhvanitañcedam 'arthavat'	tu strI-pratyaya-astrI-pratyaya-grahaNe/ Dvani-taQca-idam aarTavat-a
   sūtre bhāṣye/ iyaṃ ca vācanikyeva/ 'ṣyaṅaḥ' iti sūtre bhāṣye spaṣṭā//	sUtre BAzye/ iyam ca vAcaniki-eva/ azyaFaH-a iti sUtre BAzye spazwA//
   nanvevam"taraptamapau ghaḥ"ityādinā tarabantādeḥ saṃjñā syādata āha:-	nanu-evam-"taraptam-apO GaH"-iti-AdinA tarabanta-AdeH saMjQA syAt-atas Aha:-
   saṃjñāvidhau pratyayagrahaṇe tadantagrahaṇaṃ nāsti // Paribh_26 //	saMjQA-viDO pratyaya-grahaNe tad-anta-grahaNam na-asti // PariB_26 //
   "sūptiṅantam"ityantagrahaṇamasyāṃ jñāpakam/ na ca pratyayayoḥ	"su-uptiFantam-"iti-anta-grahaNam-asyAm jQApakam/ na ca pratyayayoH
   padasaṃjñāyāmapi pratyayagrahaṇaparibhāṣayā tadantagrahaṇābhāvāt jñāpite	pada-saMjQAyAm-api pratyaya-grahaNa-pariBAzayA tad-anta-grahaNa-aBAvAt jQApite
   'pi phalābhāva iti vācyam, padasaṃjñāyāḥ 'svādiṣu' iti viṣaye prakṛti	api Pala-aBAvaH iti vAcyam, pada-saMjQAyAH asvAdizu-a iti vizaye prakRti
   niṣṭatayā padagrahaṇasya pratyayamātragrahaṇatvābhāvāt/"suptiṅantam"iti	nizwatayA pada-grahaNasya pratyaya-mAtra-grahaNa-tva-aBAva-at/"-suptiFantam-"iti
   sūtre bhāṣye spaṣṭā //	sUtre BAzye spazwAH //
   nanu 'avatapte nakulasthitam' ityādau nakulasthita śabdasya	nanu aavatapte nakula-sTitam-a ityAdO nakula-sTita Sabdasya
   ktāntatvābhāvāt samāso na syādata āha:-	ktAnta-tva-aBAvAt samAsaH na syAt-atas Aha:-
   kṛdgrahaṇe gatikārakapūrvasyāpi grahaṇam// Paribh_27 //	kRdgrahaNe gati-kAraka-pUrvasya-api grahaNam// PariB_27 //
   asyāśca karmaṇi ktānta uttarapade 'nantaro gatiḥ prakṛtisvara ityarthake	asyAH-ca karmaNi ktAntaH uttara-pade anantaraH gatiH prakRti-svaraH iti-arTake
   'gatiranantaraḥ' iti sūtre anantara grahaṇaṃ jñāpakam/ taddhi	agatiH-anantaraH-a iti sUtre anantara grahaNam jQApakam/ tat-hi
   'abhyuddhṛtam' ityādāvativyāpti vāraṇārtham/ 'pratyayagrahaṇa'	aaByudDRtam-a iti-AdO=-ati-vyApti vAraNa-arTam/ apratyaya-grahaNa-a
   paribhāṣayoddhṛtasya ktāntatvābhāvādeva	pariBAzaya-udDRtasya ktAnta-tva-aBAvAt-eva
   aprāptau tadvyarthaṃ sadasyā jñāpakam/ na ca 'abhyuddhṛtam' ityādau	aprAptO tad-vyarTam sadasyAH jQApakam/ na ca aaByudDRtam-a iti-AdO
   paratvāt 'gatirgatau' ityanenābhernighāta eveti vācyam, pādādisthatvena,	para-tvAt agatiH-gatO-a iti-anena-aBeH-niGAtaH eva-iti vAcyam, pAda-Adi-sTa-tvena,
   padātparatvābhāvena ca tadaprāpteḥ/ anantaragrahaṇe kṛtetu tatsāmartyād	padAt-paratva-aBAvena ca tad-aprApteH/ anantara-grahaNe kRtetu tad-sAmartyAt-
   gatyākṣiptadhātunirūpitamevenantaryaṃ gṛhyata iti na doṣaḥ/ na ca	gati-Akzipta-DAtu-nirUpitam-eva-inantaryam gRhyate iti na dozaH/ na ca
   'abhyuddhṛtam' ityādāvabhinā samāse 'nantarasyodaḥ pūrvapadatvābhāve 'pi	aaByudDRtam-a iti-AdO=-aBinA samAse anantarasya-udaH pUrva-pada-tva-aBAve api
   svarārthaṃ taditi vācyam/ 'kārakād datta' iti sūtre 'kārakāt' iti yogaṃ	svara-arTam tat-iti vAcyam/ akArakAt datta-a iti sUtre akArakAt-a iti yogam
   vibhajya tatra gati grahaṇamanuvartya kārakādeva paraṃ gatipūrvapadaṃ	viBajya tatra gati grahaNam-anuvartya kArakAt-eva param gati-pUrva-padam
   ktāntamantodāttamiti niyamena thāthādisvarāprāptyā kṛtsvareṇoda	ktAntam-anta-udAttam-iti niyamena TATa-Adi-svarA-prAptyA kRt-svareNa-uda
   udāttatvasiddheḥ/ tasmādanantaragrahaṇaṃ vyavahitanivṛtyarthameveti	udAtta-tva-sidDeH/ tasmAt-anantara-grahaNam vyavahita-nivRti-arTam-eva-iti
   jñāpakameva/ yatra gatikārakasamabhivyāhṛtaṃ kṛdantaṃ tatra kṛdgrahaṇe	jQApakam-eva/ yatra gati-kAraka-samaBivyAhRtam kRdantam tatra kRt-grahaNe
   tadviśiṣṭasyaiva grahaṇam/ 'api'	tad-viSizwasya-eva grahaNam/ aapi-a
   śabdāt tadasamabhivyāhṛtasya kevalasyāpīti tadarthaḥ/ anyathānayā	SabdAt tat-asamaBivyAhRtasya kevalasya-api-iti tad-arTaH/ anyaTA-anayA
   kṛdgrahaṇaviṣaye paratvāt 'pratyayagrahaṇa' paribhāṣāyā bādha eva	kRt-grahaNa-vizaye paratvAt apratyaya-grahaNa-a pariBAzAyAH bADaH eva
   syādityapi grahaṇam/ ata eva 'sāṅkūṭinam' iti 'gatikārakopapadānām' iti	syAt-iti-api grahaNam/ atas eva asAFkUwinam-a iti agati-kAra-kopa-padAnAm-a iti
   'kṛdgrahaṇa' iti ca paribhāṣābhyāṃ kṛdantena samāse kṛte viśiṣṭādevāṇi	akRt-grahaNa-a iti ca pariBAzAByAm kRdantena samAse kRte viSizwAt-eva-aNi
   siddhyati, na tu 'saṅkauṭinam' iti 'puṃyogāt' iti sūtre bhāṣyoktaṃ	sidDi-ati, na tu asaFkOwinam-a iti apuMyogAt-a iti sUtre BAzya-uktam
   saṅgacchate anyathā tatra kevalakūṭinnityetasyāpīnuṇantatvāttato 'ṇi	saFgacCate anyaTA tatra kevala-kUwin=-iti-etasya-api-inuNanta-tvAt-tatas aNi
   pākṣikadoṣo durvāra eva syāt/ spaṣṭaṃ cedaṃ sarvam"samāse 'nañpūrve"iti	pAkzika-dozaH durvAraH eva syAt/ spazwam ca-idam sarvam-"samAse anan-pUrve"iti
   sūtre bhāṣyakaiyaṭayoḥ/ 'gatiranantaraḥ' ityatra tu gateḥ pūrvapadasya	sUtre BAzya-kEyawayoH/ agatiH-anantaraH-a iti-atra tu gateH pUrva-padasya
   ktānta uttarapade pare kāryavidhānāttatsamavadhāne 'pi kevalasya	ktAntaH uttara-pade pare kArya-viDAnAt-tad-samavaDAne api kevalasya
   ktāntatvena grahaṇaṃ bodhyam/ iyaṃ ca kṛdviśeṣagrahaṇe kṛtsāmānyagrahaṇe	ktAnta-tvena grahaNam boDyam/ iyam ca kRt-viSeza-grahaNe kRtsAmAnya-grahaNe
   ca, na tu kṛdakṛdgrahaṇa iti/ 'anupasarjanāt' iti sūtre bhāṣye spaṣṭam//	ca, na tu kRdakRt-grahaNaH iti/ aanupasarjanAt-a iti sUtre BAzye spazwam//
   padāṅgādhikāre tasya ca tadantasya ca // Paribh_28 //	pada-aFga-aDikAre tasya ca tad-antasya ca // PariB_28 //
   padamaṅgaṃ ca viśeṣyaṃ viśeṣaṇena ca tadanta vidhiḥ/ tena 'iṣṭakacitam,	padam-aFgam ca viSezyam viSezaNena ca tad-anta viDiH/ tena aizwaka-citam,
   pakveṣṭakacitam' ityādau	pakva-izwaka-citam-a iti-AdO
   "iṣṭakeṣīkāmālānāṃ cita"iti hrasvaḥ, 'mahān, paramamahān, paramātimahān'	"izwakezI-kAmAlAnAm cita"-iti hrasvaH, amahAn, parama-mahAn, parama-atimahAn-a
   ityādau"sāntamahataḥ"iti dīrgaśca siddhaḥ/	iti-AdO"sa-antamahataH"iti dIrgaH-ca sidDaH/
   ata eva 'taduttarapadasya' iti pāṭho 'yukta iti bhāṣye spaṣṭam/ atra	atas eva atad-uttara-padasya-a iti pAWaH ayuktaH iti BAzye spazwam/ atra
   padaśabdenottarapadādhikāraḥ, kevalapadādhikāraśca/	pada-Sabdena-uttara-pada-aDikAraH, kevala-pada-aDikAraH-ca/
   "pādasya padājyāti"ityatra na tadantagrahaṇam, lakṣyānurodhāditi	"pAdasya pada-AjyAti"iti-atra na tad-anta-grahaNam, lakzya-anuroDAt-iti
   sarvam,"yena vidhiḥ"ityatra bhāṣye spaṣṭam//	sarvam-,"yena viDiH"iti-atra BAzye spazwam//
   nanvevam 'asyāpatyamiḥ' ityādāvadantaprātipadikābhāvādiñ na syāt, ata āha	nanu-evam aasya-apatyamiHa iti-AdAvadanta-prAtipadika-aBAva-Adin na syAt, atas Aha
   vyapadeśivadekasmin // Paribh_29 //	vyapadeSi-vat-ekasmin // PariB_29 //
   nimittasadbhāvāt viśiṣṭo 'padeśo mukhyo vyavahāro yasyāsti sa vyapadeśī/	nimitta-sadBAvAt viSizwaH apadeSaH muKyaH vyavahAraH yasya-asti sa vyapadeSI/
   yastu vyapadeśahetvabhāvādavidyamānavyapadeśo 'sahāyaḥ, sa tena tulyaṃ	yaH-tu vyapadeSa-hetu-aBAvAt-avidyamAna-vyapadeSaH asahAyaH, sa tena tulyam
   vartate, kāryaṃ pratītyekasminnasahāye 'pi tatkāryaṃ kartavyamityarthaḥ/	vartate, kAryam prati-iti-ekasmin=-asahAye api tat-kAryam kartavyam-iti-arTaH/
   tenākārasyāpyadantatvānna kṣatiḥ/ ekasminnityukteḥ 'sabhāsannayane'	tena-AkArasya-api-adanta-tvAt-na kzatiH/ ekasmin=-iti-ukteH asaBA-sat-nayane-a
   ākārasya nāditvam, daridrāghātāvikārasya nāntatvam/ anyathā	AkArasya na-Adi-tvam, daridra-AGAta-avikArasya na-anta-tvam/ anyaTA
   'sabhāsannayane bhavaḥ' ityarthe"vṛddhācchaḥ"daridrāghāterivarṇāntalakṣaṇo	asaBA-Asat-nayane BavaH-a iti-arTe"-vRdDa-acSaH"-daridrA-GAteri-varNa-anta-lakzaNaH-
   'tta syāt/ ata eva 'hariṣu' ityādau soḥ padatvaṃ na/ loke 'pi	atta syAt/ atas eva aharizu-a iti-AdO soH padatvam na/ loke api
   bahuputrasatve naikasmin jyeṣṭhakaniṣṭhatvādivyavahāro 'yaṃ me jyeṣṭhaḥ,	bahu-putra-satve na-ekasmin jyezWa-ka-nizWa-tva-Adi-vyavahAraH ayam me jyezWaH,
   kaniṣṭhaḥ, madhyama iti, kintvekaputrasatva eva/ anena	kanizWaH, maDyamaH iti, kintu-eka-putra-satvaH eva/ anena
   aśāstrīyasyāpyatideśaḥ/ ata eva 'iyāya' ityādāvekāctvanibandhana dvitva	aSAstrIyasya-api-atideSaH/ atas eva aiyAya-a iti-AdO=-ekAt-tu-a-nibanDana dvi-tva
   siddhiḥ/ ata eva 'bhavati' ityādau 'bhū' ityasyāṅgatvam, 'iyān' ityādau	sidDiH/ atas eva aBavati-a ityAdO aBU-a iti-asya-aFga-tvam, aiyAn-a iti-AdO
   kāryakālapakṣe taddhitāntatvanibandhanaprātipadikatvañca siddhyati/	kArya-kAla-pakze tad-hita-anta-tva-nibanDana-prAtipadika-tvaQca sidDi-ati/
   anyathā yasmādvihitastadāditvābhāvānna syāt/	anyaTA yasmAt-vihitaH-tad-Aditva-aBAvAt-na syAt-/
   yastu yor'thavāṃstatrārthasya tyāgopādānābhyāmekājvyapadeśaḥ, yathā	yaH-tu yoH-aTavAn=-tatra-arTasya tyAga-upAdAnAByAm-ekAjvi-apadeSaH, yaTA
   'iyāya' ityādāvarthavato dhātorayaṃ varṇarūpa eko 'jiti	aiyAya-a iti-AdO=-arTavataH DAtoH-ayam varNa-rUpaH ekaH ajiti
   kaiyaṭaḥ, tanna ; tasya 'ekapadā ṛk' ityatra bhāṣyoktarītyā	kEyawaH, tat-naH ; tasya aeka-padA Rk-a iti-atra BAzya-ukta-rItyA
   mukhyavyavahāra satvāt/"ekapadā ṛk' ityatrārthena yukto	muKya-vyavahAra sa-tva-at/"eka-padA Rk-a iti-atra-arTena yuktaH-
   vyapadeśaḥ"iti bhāṣye uktam/ ṛktvāderarthaśabdobhayavṛttitvena tasyāḥ	vyapadeSaH"iti BAzye uktam/ Rc-tvA-AdeH-arTa-Sabda-uBaya-vRtti-tvena tasyAH
   śabdamātrarūpaṃ padameko 'vayava ityartha iti tadāśayaḥ/	Sabda-mAtra-rUpam padam-ekaH avayavaH iti-arTaH iti tad-ASayaH/
   tasmādekasminstattaddharmāropeṇa yugapat yathā jyeṣṭatvādivyavahāraḥ,	tasmAt-ekasmin=-tad-tad-Darma-AropeNa yugapad yaTA jyezwa-tva-Adi-vyavahAraH,
   yathā ca 'śilāputrakasya śarūram' ityādevekasminnaropitānekakāvasthābhiḥ	yaTA ca aSilA-putrakasya SarUram-a ityAdeva-ikasmin=-aropita-anekaka-avasTABiH
   samudāyarūpatvādyāropeṇaitasya śarūramityādivyavahāraḥ, tathātraikāctvādi	samudAya-rUpa-tva-Adi-AropeNa-etasya SarUram-ityAdi-vyavahAraH, taTA-atra-ekAt-tvAdi
   vyavahāropapattiriti lokanyāyasiddheyam/	vyavahAra-upapattiH-iti loka-nyAya-sidDA-iyam/
   na cāsahāya evaitatpravṛttau bhavatītyatra 'bhū' ityasyāṅgatvānāpattiḥ,	na ca-asahAyaH eva-etat-pravRttO Bavati-iti-atra aBU-a iti-asya-aFga-tvAnApattiH,
   sasahāyatvāditi vācyam, śapamādāyāṅgatve kārye yasmādvihitastadāditvetasya	sa-sahAya-tvAt-iti vAcyam, Sapam-AdAya-aFga-tve kArye yasmAt-vihitaH-tad-Aditvetasya
   sasahāyatvābhāvālloke vijātīyakanyādisatve 'pyekaputrasya tasminnevayameva	sa-sahAya-tva-aBAvAt-loke vijAtIya-kanyA-Adi-satve api-eka-putrasya tasmin=-evayam-eva
   jyeṣṭha ityādivyavahāravat/	jyezWaH ityAdi-vyavahAravat/
   na caivam 'nijau catvāra ekācaḥ' iti bhāṣyāsaṅgatiḥ,	na ca-evam anijO catvAraH ekAcaH-a iti BAzyA-saFgatiH,
   ikārasyāsahāyatvābhāvena tatraikāctvānupapādanāditi vācyam, 'ekasmin'	ikArasya-asahAya-tva-aBAvena tatra-ekActvA-anupapAdanAt-iti vAcyam, aekasmin-a
   ityasyāparyālocanayā tatpravṛtteḥ/	iti-asya-aparyA-locanayA tad-pravRtteH/
   arthavatā vyapadeśivadbhāva ityatrārthavatpadenāpyasahāyatvamupalakṣyate/	arTavatA vyapadeSi-vat-BAvaH iti-atra-arTavat-padena-api-asahAya-tvam-upalakzyate/
   arthabodhakena śabdena vyapadeśisadṛśo bhāvaḥ kāryaṃ labhyata iti	arTa-boDakena Sabdena vyapadeSi-sadRSaH BAvaH kAryam laByate iti
   tadarthaḥ, prāyo 'sahāya evārthavatvāt/ 'kurute' ityādau taśabdākāro	tad-arTaH, prAyas asahAyaH eva-arTavatvAt/ akurute-a ityAdO taSabda-AkAraH-
   'cāmantya iti vyavahāre sa	acAmantyaH iti vyavahAre sa
   ādiryasyeti vyavahāre cāsahāya eveti tatra vyapadeśivadbhāvena	AdiH-yasya-iti vyavahAre ca-asahAyaH eva-iti tatra vyapadeSi-vat-BAvena
   ṭisaṃjñāsiddhirityanyatra vistaraḥ//	wi-saMjQA-sidDiH-iti-anyatra vistaraH//
   nanu gargādibhyo vihita yañ tadanta vidhinā paramagargādibhyo 'pi syāt,	nanu garga-AdiByaH vihita yan tad-anta viDinA parama-garga-AdiByaH api syAt-,
   ata āha:-	atas Aha:-
   grahaṇavatā prātipadikena tadantavidhirnāsti // Paribh_30 //	grahaNavatA prAtipadikena tad-anta-viDiH-na-asti // PariB_30 //
   iyaṃ ca 'samāsapratyayavidhau pratiṣedha ugidvarṇagrahaṇavarjam' iti	iyam ca asamAsa-pratyaya-viDO pratizeDaH ugit-varNa-grahaNa-varjama iti
   vārtikasthapratyayāṃśānuvādaḥ/ ata eva	vArtika-sTa-pratyaya-aMSa-anuvAdaH/ atas eva
   'yena vidhiḥ' iti sūtra bhāṣye pratyayavidhibhinne"aptṛn"ityādau	ayena viDiHa iti sUtra BAzye pratyaya-viDi-Binne"aptR-n"iti-AdO
   gṛhyamāṇaprātipadikenāpi tadanta vidhipratipādanam 'svasā, paramasvasā'	gRhyamANa-prAtipadikena-api tad-anta viDi-pratipAdanam asvasA, paramasvasA-a
   ityādyudāharaṇañca saṅgacchate/ ata eva ca tadantavidhisūtre bhāṣye	iti-Adi-udAharaNaQca saFgacCate/ atas eva ca tad-anta-viDi-sUtre BAzye
   samāsetyādiniṣedhasya kathanavadasya na kathanam/ so 'pi niṣedho viśiṣya	samAsa-ityAdi-nizeDasya kaTanavat-asya na kaTanam/ saH api nizeDaH viSizya
   tattadrūpeṇa gṛhītaprātipadikasūtra eva/ dhvanitaṃ cedam,"asamāse	tad-tad-rUpeNa gRhIta-prAtipadika-sUtraH eva/ Dvanitam cedam,"a-samAse
   niṣkādibhyaḥ"iti sūtre bhāṣye/	nizka-AdiByaH"iti sUtre BAzye/
   atra ca jñāpakam"sapūrvācca"iti sūtram/ anyathā"pūrvādiniḥ"ityatra	atra ca jQApakam"sa-pUrvAt-ca"iti sUtram/ anyaTA"-pUrva-Adi-niH"iti-atra
   tadantavidhinaiva siddhe kiṃ tena//	tad-anta-viDinA-eva sidDe kim tena//
   nanvevam"sūtrāntāṭṭhak" "daśāntāḍḍaḥ" "ekagopūrvāt"ityādeḥ kevala	nanu-evam"sUtra-anta-awWak" "da-SAntAxxaH" "eka-go-pUrvA-t"iti-AdeH kevala
   sūtraśabda daśanśabdaikaśabdādiṣvapi pravṛttirvyapadeśivadbhāvāt syāt, ata	sUtra-Sabda daSan-Sabda-eka-Sabda-Adizu-api pravRttiH-vyapadeSi-vat-BAvAt syAt, ata
   āha :-	Aha :-
   vyapadeśivadbhāvo 'prātipadikena // Paribh_31 //	vyapadeSi-vat-BAvaH aprAtipadikena // PariB_31 //
   "pūrvātsapūrvādiniḥ"ityekayoga eva kartavye pṛthag yogakaraṇamasyā	"pUrvAt-sa-pUrva-Adi-niH"iti-eka-yogaH eva kartavye pRTak yoga-karaNam-asya-a
   jñāpakam/ na ca"iṣṭādibhyaḥ"iti sūtre 'nuvṛtyarthaṃ tathā pāṭhaḥ, ata	jQApakam/ na ca-"izwa-AdiByaH"iti sUtre anuvRti-arTam taTA pAWaH, ata
   evāniṣṭītyādisiddhiriti vācyam,	eva-anizwI-ityAdi-sidDiH-iti vAcyam,
   jñāpakaparabhāṣyaprāmāṇyenāniṣṭītyādiprarayogāṇāṃ	jQApaka-para-BAzya-prAmANyena-anizwI-ityAdi-prara-yogANAm
   aniṣṭatvāt, ekayoge 'pi tāvata uttaratranuvṛttau bādhakābhavācca/	anizwa-tva-at, eka-yoge api tAvataH uttaratranuvRttO bADakA-BavAt-ca/
   ata eva"nāntādasaṅkhyādeḥ"iti caritārtham/ anyathā 'pañcamaḥ' ityādāvapi	atas eva"-na-antAda-saFKI-AdeH"iti caritArTam/ anyaTA apaQcamaHa iti-AdO=-api
   vyapadeśivadbhāvena	vyapadeSi-vat-BAvena
   saṅkhyāditvāt tadvaiyarthyaṃ spaṣṭameva/	saFKI-A-Adi-tvAt tad-vEyarTyam spazwam-eva/
   iyaṃ ca prātipadika grahaṇe eva, na tu prātipadikāprātipadikagrahaṇe/	iyam ca prAtipadika grahaNe eva, na tu prAtipadikA-prAtipadika-grahaNe/
   tena"ugitaśca"ityatra na doṣa iti tatraiva bhāṣye spaṣṭam/ iyam	tena-"ugitaH-ca"iti-atra na dozaH iti tatra-eva BAzye spazwam/ iyam
   'grahaṇavatā' iti ca paribhāṣā prātyayavidhiviṣayaiveti 'asamāse	agrahaNavatA-a iti ca pariBAzA prAtyaya-viDi-vizayA-eva-iti aasamAse
   niṣkādibhyaḥ'iti sūtra bhāṣyakaiyaṭayoḥ/	nizkAdiByaH-aiti sUtra BAzya-kEyawayoH/
   tena 'ahan' ityādeḥ paramāhanśabde kevalāhanśabde ca pravṛttirityanyatra	tena aahan-a iti-AdeH parama-ahan-Sabde kevala-ahan-Sabde ca pravRttiH-iti-anyatra
   vistaraḥ//	vistaraH//
   nanu 'vānto yi' ityādau yādau pratyaya ityarthaḥ katham? ata āha :-	nanu avAntaH yia ityAdO yAdO pratyayaH iti-arTaH kaTam? atas Aha :-
   yasminvidhistadādāvalgrahaṇe // Paribh_32 //	yasmin-viDiH-tad-AdAvalgrahaNe // PariB_32 //
   tadantavidherapavāda iyam/ vācanikyeṣā"yena vidhiḥ"ityatra bhāṣye paṭhitā/	tad-anta-viDeH-apavAdaH iyam/ vAca-niki-ezA"yena viDiH"iti-atra BAzye paWitA/
   asyāśca svarūpasatī saptamī nimittam/ ata eva"neḍvaśi kṛti"ityādau vaśādeḥ	asyAH-ca svarUpa-satI saptamI nimittam/ atas eva"-nexvaSi kRti"iti-AdO vaSa-AdeH
   kṛta ityādyarthalābhaḥ/	kRtaH iti-Adi-arTa-lABaH/
   iyaṃ ca"ārdhadhātukasyeḍ"iti sūtre valāderityādigrahaṇasāmarthyād	iyam ca"a-arDa-DAtukasya-Ix"iti sUtre vala-AdeH-iti-Adi-grahaNa-sAmarTyAt-
   viśeṣyaviśeṣaṇayorubhayoḥ saptamyantatva eva pravartate/ tena"ḍaḥ si	viSezya-viSezaNayoH-uBayoH saptamI-antatvaH eva pravartate/ tena"xaH si
   dhuṭ"ityādau sādeḥ parasyeti nārthaḥ/"tīṣasaha" "se 'sicī"ityādau yathā	Duw"-iti-AdO sAdeH parasya-iti na-arTaH-/"tIza-saha" "se asi-cI"-iti-AdO yaTA
   tāderityādyarthalābhaḥ, tathā śabdenduśakhare nirūpitam//	tAdeH-iti-Adi-arTa-lABaH, taTA Sabda-indu-SaKare nirUpitam//
   "ghaṭapaṭam, ghaṭapaṭau"ityādi siddhaya āha :-	"Gawa-pawam, Gawa-pawO"-ityAdi sidDayaH Aha :-
   sarvo dvandvo vibhāṣayaikavadbhavati // Paribh_33 //	sarvaH dvandvaH viBAzaya-eka-vat-Bavati // PariB_33 //
   "dvandvaśca prāṇi"ityādiprakaraṇaviṣayaḥ sarvo dvandva ityarthaḥ/"cārthe	"dvandvaH-ca prANi-"iti-Adi-prakaraNa-vizayaH sarvaH dvandvaH iti-arTaH/"ca-arTe
   dvandvaḥ"iti sūtreṇa samāhāretarayogayoraviśeṣeṇa dvandva vidhānāt	dvandvaH"iti sUtreNa samAhAra-itara-yogayoH-aviSezeNa dvandva viDAnAt-
   nyāyasiddheyam/"tiṣyapunarvasvoḥ"iti sūtrasthaṃ bahuvacanasyeti	nyAya-sidDA-iyam/"tizya-punarvasvoH"iti sUtra-sTam bahuvacanasya-iti
   grahaṇamasyā jñāpakam/ taddhīdam"tiṣyapunarvasu"ityatra tadvyāvṛtyartham/	grahaNam-asyAH jQApakam/ tat-hi-idam-"tizya-punarvasu"-iti-atra tad-vyAvRti-arTam/
