   // nyāyavārttikatātparyapariśuddhiḥ //	// nyAyavArttika tAtparya pariSudDiH //
   dharmiṇyavisaṃvādāditi //	DarmiNI avisaMvAdAt iti //
   pravṛttisāmarthyāditi vyadhikāraṇo	pravRtti sAmarTyAt iti vyaDikAraNaH 
   heturatastadarthamāha  samarthapravṛttijanakatvāditi /	hetuH atas tad arTamAha   samarTa pravRtti janaka tvAt iti /
   yadyapi samarthapravṛtti tvādityuktesamañjasaṃ tathāpi pravṛttiryasyeti	yadi api samarTa pravRtti tvAt iti uktesamaQjasam taTA api pravRttiH yasya iti
   sambandhe ṣaṣṭhī /	sambanDe zazWI /
   sa ca pramāṇapravṛttyorjanyajanakabhāva eveti sa eva	sa ca pramANa pravRttyoH janya janaka BAvaH eva iti saH eva
   darśitaḥ /	darSitaH /
   nanu na tāvat pramāṇyasamarthapravṛtti janakatvayoravinābhāvaḥ pratyakṣeṇa	nanu na tAvat pramANyasamarTa pravRtti janakatvayoH avinABAvaH pratyakzeNa
   śakyagrahaḥ, tayorevāpratyakṣatvāt /	Sakya grahaH, tayoH eva apratyakza tvAt /
   prāmāṇyaṃ hi samarthapravṛttijanakatvānumeyam /	prAmANyam hi samarTa pravRtti janakatva anumeyam /
   taccānvayavyatirekānumeyameveti /	tat ca anvaya vyatireka anumeyam eva iti /
   nāpyanumānenānvayagrahaḥ /	na api anumAnena anvaya grahaH /
   prāmāṇyasya	prAmANyasya
   kvacidapyasiddheḥ /	kvacid api asidDeH /
   siddhau vā kimanumānena, anumānantarasiddhatve tvanavasthaivetyata	sidDO vA kim anumAnena, anumA anantara sidDa tve tu anavasTA eva ityata
   āha  yadi punariti //	Aha  yadi punar iti //
   atra copekṣājñānānāṃ pakṣatvenānupādānānna bhāgāsiddhiḥ /	atra ca upekzA jQAnAnAm pakza tvena anupAdAnAt na BAga asidDiH /
   vyatirekī ca sarvatra sapakṣābhāvamabhyupetya pravartata iti	vyatirekI ca sarvatra sa pakza aBAvam aByupetya pravartate iti
   nāsādharaṇānaikāntikatā /	nAsADaraNa anEkAntika tA /
   na ca vācyam etasyaivānumānasyārthavattvānavadhāraṇe kathaṃ	na ca vAcyam etasya eva anumAnasya arTavat tva anavaDAraNe kaTam
   pramāṇānāmarthavattvasiddhiḥ? tadavadhāraṇe vā kathaṃ	pramANAnAm arTavat tva sidDiH? tad avaDAraNe vA kaTam
   kevalavyatirekitvamiti? dvividhaṃ hyanumānasyārthavattvam,	kevala vyatireki tvamiti? dviviDam hi anumAnasya arTavat tvam,
   avinābhāvalakṣaṇaṃ pramājananalakṣaṇaṃ ca /	avinABAva lakzaNam pramA janana lakzaNam ca /
   tatra svaviṣayaparicchede kartavye avinābhāvāvadhāraṇamevāpekṣate na	tatra sva vizaya paricCede kartavye avinA aBAva avaDAraNam eva apekzate na
   pramākaraṇatvāvadhāraṇamityanavaghṛtaprāmāṇyenaivānena pramāṇānāṃ	pramAkaraNa tva avaDAraNam iti anavaGRta prAmANyena eva anena pramANAnAm
   pramāṇaphalatvalakṣaṇaṃ prāmāṇyaṃ sādhyata iti sarvaṃ sundaram //	pramANa Pala tva lakzaNam prAmANyam sADyate iti sarvam sundaram //
   etenaitadapi nirastam yat prāmāṇyānavadhāraṇe aprāmāṇyānavadhāraṇamapi	etena etat api nirastam yat prAmANya anavaDAraNe aprAmANya anavaDAraNam api
   katham? prāmāṇyaniścayena hi tat niścīyate /	kaTam? prAmANya niScayena hi tat niScIyate /
   tadanavadhāraṇe tu vyatirekaniścayo 'pi katham, vipakṣasya	tad anavaDAraNe tu vyatireka niScayaH api kaTam, vipakzasya
   tathātvāniścayāditi? svarūpato dharmataścānavadhāritenaiva satā pramāṇena	taTA tvA niScayAt iti? svarUpataH DarmataH ca anavaDAritena eva satA pramANena
   svaviṣayaniścayasiddheḥ /	sva vizaya niScaya sidDeH /
   nanu nāstyevāsau vādī yaḥ prāmāṇyāniścaye 'pi vipratipadyeta /	nanu na asti eva asO vAdI yaH prAmANya aniScaye api vipratipadyeta /
   na hi prāmāṇyaṃ svīkṛtya tanniścaye vipratipattiḥ, svīkārasya	na hi prAmANyam svIkRtya tat niScaye vipratipattiH, svIkArasya
   niścayamūlatvāt /	niScaya mUla tvAt /
   na cāsvīkṛtya, pramāṇaśūnyavipratipatteḥ sarvatra sulabhatayā	na ca AsvIkRtya, pramANa SUnya vipratipatteH sarvatra sulaBa tayA
   sarvavādavidhiniṣedhavyavahāravilopaprasaṅgāt /	sarva vAda viDi nizeDa vyavahAra vilopa prasaFgAt /
   aniścite ca prāmāṇye tadatadrūpasaṃdeho 'pi kvacid durlabhaḥ,	aniScite ca prAmANye tat atad rUpa saMdehaH api kvacid durlaBaH,
   viśeṣasmṛterabhāvāt tatpūrvakatvācca sarvasaṃśayānām /	viSeza smRteH aBAvAt tad pUrvaka tvAt ca sarva saMSayAnAm /
   nāpi sarvatrāprāmāṇyāsañjanam, prāmāṇyagrahaṇopāyanirākaraṇasyāprāmāṇye	na api sarvatra aprAmANyA saQjanam, prAmANya grahaNa upAya nirAkaraNasya aprAmANye
   'pi tulyatvāt /	api tulya tvAt /
   vikalpanirmitamavicāramanoharaṃ prāmāṇyādikamādāyāpi nāsya durvicārasya	vikalpa nirmitam avicAra manoharam prAmANya Adikam AdAya api na asya durvicArasya
   nirvāhaḥ /	nirvAhaH /
   prāmāṇyānabhyupagame vikalpanirmāṇasyāpyasiddheḥ /	prAmANya anaByupagame vikalpa nirmANasya api asidDeH /
   na ca vikalpanirmite na saṃśayādivyavahāraḥ samasti /	na ca vikalpa nirmite na saMSaya Adi vyavahAraH samasti /
   nahi vājiviṣāṇaṃ veti kaścit sandigdhe, nāpi naraviṣāṇamiti kasyacid	na hi vAji vizANam vA iti kaScid sandigDe, na api nara vizANam iti kasyacid 
   viparyayaḥ /	viparyayaH /
   tasmādasti prāmāṇyādikaṃ tanniścayaśca /	tasmAt asti prAmANya Adikam tat niScayaH ca /
   tadupāyastu cintāmarhati /	tad upAyaH tu cintAm arhati /
   evaṃ cānvayo 'styeva /	evam ca anvayaH asti eva /
   tat kathaṃ kevalavyatirekyanumānam ityāśaḍkya	tat kaTam kevala vyatireki anumAnam iti ASaxkya
   saṃpratipattirūttaram  anvayavyatirekī veti /	saMpratipatti ru uttaram   anvaya vyatirekI vA iti /
   kevalavyatirekivādastu anvayānabhyupagamena kṛta ityabhisandhiḥ /	kevala vyatireki vAdaH tu anvaya anaByupagamena kRtaH iti aBisanDiH /
   anumānasyetyupalakṣaṇam /	anumAnasya iti upalakzaNam /
   svata iti ca taditarasyāpi, svataḥ parataśca prāmāṇyasiddheriti //	svatas iti ca tad itarasya api, svatas paratas ca prAmANya sidDeH iti //
   nanu samarthapravṛttijanakatvādityetāvataiva sādhyasiddheḥ	nanu samarTa pravRtti janaka tvAt iti etAvatA eva sADya sidDeH
   pramāṇator'thapratipattāvityasamarthaviśeṣaṇaṃ vayadhikaraṇa cetyata	pramANator aTa pratipattO= iti a samarTa viSezaNam vayaDikaraNa ca ityata
   āha  pravṛttijanakatvaṃ tviti /	Aha   pravRtti janaka tvam tu iti /
   prāmāṇyādyabhidhānadvārā hi śāstrasya niḥśreyasena saṃgatiḥ, na tu	prAmANya Adi aBiDAna dvArAH hi SAstrasya niHSreyasena saMgatiH, na tu
   svarūpeṇa /	svarUpeNa /
   tato yathā pramāṇāditattvajñānaṃ sādhyatayā prayojanaṃ pratijñāyate tathā	tatas yaTA pramANa Adi tattva jQAnam sADya tayA prayojanam pratijQAyate taTA
   pramāṇādyabhidheyatayāpi pratijñeyaṃ bhavati /	pramANa Adi aBiDeya tayA api pratijQA iyam Bavati /
   yathā athāto dharma vyākhyāsyāmaḥ (vai.sū.1.1.1) iti dharmasya	yaTA aTa atas Darma vyAKyAsyAmaH (vE.sU.1.1.1) iti Darmasya
   vyākhyeyatvenaiva pratijñā samānatantre na ca	vyAKyeya tvena eva pratijQA samAna tantre na ca
   tadabhidheyatāpratijñānamatra /	tad aBiDeya tA pratijQAnam atra /
   tasmādabhidheyattvāpratijñānānna pramāṇādayaḥ śāstreṇābhidhīyanta iti	tasmAt aBiDeyat tva apratijQAnAt na pramANa AdayaH SAstreNa aBiDIyante iti
   śrotṛbuddhacanurodhenāśaḍkya sūtrakārahṛdayānurodhena	SrotR budDa canuroDena aSaxkya sUtrakAra hRdaya anuroDena
   vārttikamuttarayatisyādetaditi //	vArttikam uttarayati syAt etat iti //
   śiṣyākāṅkṣākrameṇa hi śāstramidaṃ pravṛttam, anapekṣitābhidhāne	SizyA kAFkzA krameNa hi SAstram idam pravRttam, anapekzita aBiDAne
   anavadheyatvaprasaṅgāt /	anavaDeya tva prasaFgAt /
   na ca śiṣyākāṅkṣā kiṃ vakṣyati bhavāniti /	na ca SizyA kAFkzA kim vakzyati BavAn iti /
   kiṃ tu niḥśreyasaṃ kuto 'dhigamyata iti /	kim tu niHSreyasam kutas aDigamyate iti /
   tatrottaram  pramāṇāditattvajñānānniḥśreyasādhigama iti /	tatra uttaram   pramANa Adi tattva jQAnAt niHSreyasa aDigamaH iti /
   tataḥ kathamiti? tataḥ ke, kati, kiṃlakṣaṇāḥ pramāṇādayaḥ iti /	tatas kaTam iti? tatas ke, kati, kiMlakzaNAH pramANa AdayaH iti /
   tatroddeśavibhāgalakṣaṇānīti /	tatra uddeSa viBAga lakzaNAni iti /
   tataḥ kathamiti? tatra dvitīyādhyāyādīti /	tatas kaTam iti? tatra dvitIya aDyAya Adi iti /
   etacca sarvamanubhavasiddham /	etat ca sarvam anuBava sidDam /
   nātrāpi vacanāpekṣā /	na atra api vacana apekzA /
   uktāboddhāraṃ prati tu vyākhyātāro bhavanti, yata	ukta AbodDAram prati tu vyAKyAtAraH Bavanti, yata
   evamayamāheti /	evam ayamAha iti /
   tadanubhavasiddhamapi pramāṇādyabhidhāyakatvaṃ yaḥ kutaścid vyāmohānna	tad anuBava sidDam api pramANa Adi aBiDAyaka tvam yaH kutaScid vyAmohAt na
   pratipadyate taṃ prati vyākhyātā śāstrasya puruṣaśreyo	pratipadyate tam prati vyAKyAtA SAstrasya puruza SreyaH 
   'bhidhāyakatvādityāhetyarthaḥ //	aBiDAyaka tvAt iti Aha iti arTaH //
   nanu śreyo 'bhidhānamātreṇāpi na pramāṇādyabhidhānaṃ sidhyati /	nanu SreyaH aBiDAna mAtreNa api na pramANa Adi aBiDAnam siDyati /
   na hi pramāṇādipadārthā eva śreyaḥ /	na hi pramANa Adi padArTAH eva SreyaH /
   atha svayameva vivarīṣyati  tatpadārthāḥ pramāṇādaya iti /	aTa svayam eva vivarIzyati   tad padArTAH pramANa AdayaH iti /
   tathāpi tacchāstraṃ śreyo 'bhidhatta ityanene kim? atha śreyaḥśabdasya	taTA api tat SAstram SreyaH aBiDattaH iti anene kim? aTa SreyaH Sabdasya
   pramāṇādaya evārthaḥ, tarhi śreyaḥ punaḥ sukhamahitanivṛttiriti kimityata	pramANa AdayaH eva arTaH, tarhi SreyaH punar suKam ahita nivRttiH iti kim iti ata
   āha  yadyapīti /	Aha  yat yapi iti /
   yadyapi śāstra punaḥ puruṣaḥ punaḥ śreyaḥ punariti pratipadaṃ gṛhītvā	yadi api SAstra punar puruzaH punar SreyaH punar iti pratipadam gRhItvA
   vivaraṇaṃ prakṣayeṇetyantena sphuṭāvabhāsam /	vivaraNam prakzayeNa iti antena sPuwa avaBAsam /
   na ca puruṣā rāgādimanta ityādāvapi	na ca puruzAH rAga Adi mante iti AdO= api
   vivaraṇatvāśaḍkā, prakṛtenāsaṃbandhāt /	vivaraNa tva aSaxkA, prakRtena asaMbanDAt /
   na hi rāgādimantaṃ prati śāstraṃ na sasādhanaṃ śreyo 'bhidhatte /	na hi rAga Adi mantam prati SAstram na sa sADanam SreyaH aBiDatte /
   na ca taṃ prati na tat śreyo yena vītarāgo vivicya gṛhyatām /	na ca tam prati na tat SreyaH yena vIta rAgaH vivicya gRhyatAm /
   tathāpi, tasmāt tat śāstraṃ puruṣaśreyo 'bhidhatta iti	taTA api, tasmAt tat SAstram puruza SreyaH aBiDattaH iti
   madhyapatitopasaṃhāra eva vivaraṇavicchedabhramo mā	maDya patita upasaMhAraH eva vivaraNa vicCeda BramaH mA
   bhūdityetadarthamavacchinatti  upabhogāt prakṣayeṇetyanteneti //	BUt iti etad arTam avacCinatti   upaBogAt prakzayeNa iti antena iti //
   nanu samūho vyūhaviśiṣṭa ityasaṃgatam, paryāyatvādityata āha  vyūha iti /	nanu samUhaH vyUha viSizwaH iti asaMgatam, paryAya tvAt iti atas Aha  vyUhaH iti /
   te khalvamī samūhāḥ praṇetṛpuruṣecchānurodhinaḥ svārthānurodhino vetyata	te Kalu amI samUhAH praNetR puruza icCA anuroDinaH sva arTa anuroDinaH vetyata
   āha  eka smṛtīti /	Aha  eka smRti iti /
   yadyapyekārthapratipādanāvacchinnā varṇāḥ	yadi api ekArTa pratipAdana avacCinnAH varNAH
   padamityetāvadeva lakṣaṇaṃ tathāpyetadeva lakṣaṇaṃ kṣaṇabhaḍgurāṇāṃ	padam iti etAvat eva lakzaNam taTA api etat eva lakzaNam kzaNa BaxgurANAm
   kathamityetaduktam  ekasmṛtisamārūḍhā iti /	kaTam iti etat uktam   eka smRti samArUXAH iti /
   samūhaḥ padamiti vārttike śeṣaḥ /	samUhaH padam iti vArttike SezaH /
   padasamūhaḥ sūtramiti vārttikam /	pada samUhaH sUtram iti vArttikam /
   taccānupapannam /	tat ca anupapannam /
   vākyaviśeṣo hi sūtram /	vAkya viSezaH hi sUtram /
   na ca vākyasāmānyamapi padasamūhamātram, gauraścaḥ puruṣo hastītyāderapi	na ca vAkya sAmAnyam api pada samUha mAtram, gOraH caH puruzaH hastI ityAdeH api
   vākyatvaprasaṅgādityata āha  evaṃ svārtheti samūho veditavyaḥ sūtratveneti	vAkya tva prasaFgAt iti atas Aha  evam sva arTa iti samUhaH veditavyaH sUtra tvena iti
   śeṣaḥ /	SezaH /
   sūtrasamūhaḥ prakaraṇamiti vārttikam /	sUtra samUhaH prakaraNam iti vArttikam /
   tatra cāvāntarasamūhabhede kāraṇābhāvāt, śāstrameva sūtrasamūharūpaṃ	tatra ca avAntara samUha Bede kAraNa aBAva at, SAstram eva sUtra samUha rUpam
   prakaraṇamiti prāptamityata āha  evaṃ kvaciditi /	prakaraNam iti prAptam iti atas Aha  evam kvacid iti /
   tadyathā prayojanābhidheyasaṃbandhapratipādanamekamarthamadhikṛtya	tat yaTA prayojana aBiDeya saMbanDa pratipAdanam ekam arTam aDikRtya
   prathamadvitīyasūtrayoḥ samūhaḥ prakaraṇam /	praTama dvitIya sUtrayoH samUhaH prakaraNam /
   evaṃ pramāṇaprakaraṇam, prameyaprakaraṇam, nyāyapūrvāṅgaprakaraṇam,	evam pramANa prakaraNam, prameya prakaraNam, nyAya pUrva aFga prakaraNam,
   nyāyāśrayaprakaraṇam, nyāyāśrayaprakaraṇam, nyāyasvarūpaprakaraṇam,	nyAya ASraya prakaraNam, nyAya ASraya prakaraNam, nyAya svarUpa prakaraNam,
   nyāyottarāṅgaprakaraṇamityādyūhyam //	nyAya uttarAFga prakaraNam iti AdyUhyam //
   prakaraṇasamūhaścāhnikamiti vārttikam /	prakaraNa samUhaH ca Ahnikam iti vArttikam /
   tadidaṃ prakaraṇānāmavāntaraikavākyatāyāmasatyāṃ na sidhyatītyata	tat idam prakaraNAnAm avAntara eka vAkya tAyAm asatyAm na siDyati iti ata
   āha  prakaraṇānāmiti /	Aha   prakaraNAnAm iti /
   asti hyamīṣāṃ prakaraṇānāṃ saparikaranyāyalakṣakatvamekamiti /	asti hi amIzAm prakaraNAnAm sa parikara nyAya lakzaka tvam ekam iti /
   tatsamūha āhnikam /	tad samUhaH Ahnikam /
   uttarasmiścāhnike nyāyanyāyābhāsavivekopāyalakṣaṇamekam /	uttarasmiH ca Ahnike nyAya nyAya ABAsa viveka upAya lakzaNam ekam /
   tatrāpi kathāprakaraṇam, hetvābhāsaprakaraṇam, chalaprakaraṇam,	tatra api kaTA prakaraNam, hetvABAsa prakaraNam, Cala prakaraNam,
   puruṣāśaktiliṅgaprakaraṇamityevaṃ prathame lakṣaṇamadhyāyārthaḥ /	puruza aSakti liFga prakaraNam iti evam praTame lakzaNa maDyAya arTaH /
   dvitīye pramāṇaparīkṣā /	dvitIye pramANa parIkzA /
   tṛtīye kāraṇarūpaprameyaṣaṭkaparīkṣā /	tRtIye kAraNa rUpa prameya zawka parIkzA /
   caturthe kāryarūpaprameyaṣaṭkaparīkṣā /	caturTe kArya rUpa prameya zawka parIkzA /
   pañcame puruṣāśaktiliṅgaviśeṣalakṣaṇamiti /	paQcame puruza aSakti liFga viSeza lakzaNam iti /
   evaṃ dvitīyādhyāyādāvāhnikaprakaraṇasaṃgatīstatraiva darśayiṣyāmaḥ /	evam dvitIya aDyAyAt O= Ahnika prakaraNa saMgatIH tatra eva darSayizyAmaH /
   tadidamuktam  evaṃ tatra tatra veditavyamiti /	tat idam uktam   evam tatra tatra veditavyam iti /
   tatra tatretyāhikādāvityarthaḥ /	tatra tatra iti Ahika AdO= iti arTaH /
   nanu ca tatra ekaprakāro 'pi na darśitaḥ, kathaṃ tatra tatra	nanu ca tatra eka prakAraH api na darSitaH, kaTam tatra tatra
   veditavyamityata āha  etāśceti //	veditavyam iti atas Aha  etAH ca iti //
   nanu śāstrasya sasādhanapuruṣaśreyo 'bhidhāyakatvaṃ pratijñāya	nanu SAstrasya sa sADana puruza SreyaH aBiDAyaka tvam pratijQAya
   śāstrasvarūpadarśanaṃ kkopayujyata ityata āha  tadevamiti /	SAstra svarUpa darSanam kkopa yujyate iti atas Aha  ta devam iti /
   śāstrasvarūpākhyānapūrvakaṃ tadarthakathanaṃ sugamaṃ bhavatītyabhiprāyaḥ	SAstra svarUpa AKyAna pUrvakam tad arTa kaTanam sugamam Bavati iti aBiprAyaH
   nanu pratītisiddhaṃ pramāṇādīnāṃ ṣoḍaśatvaṃ kimityanūdyata	nanu pratIti sidDam pramANa AdInAm zoxaSa tvam kim iti anUdyata
   ityatastannirākaraṇīyām āśaḍkāmāha  nanviti /	iti atas tad nirAkaraNIyAm ASaxkAmAha  nanu iti /
   sāmānyaviśeṣaḥ sādharmyaviśeṣaḥ /	sAmAnya viSezaH sADarmya viSezaH /
   yato 'syeti padasamūhasya śāstrasya /	yatas asya iti pada samUhasya SAstrasya /
   padārthāḥ padānāṃ samūhinām arthāḥ pramāṇādayaḥ /	padArTAH padAnAm samUhinAm arTAH pramANa AdayaH /
   tasmāt śāstraṃ vākyarūpaṃ puruṣaśreyo vākyārtharūpamabhidhatte /	tasmAt SAstram vAkya rUpam puruza SreyaH vAkya arTa rUpam aBiDatte /
   samādhānamiti śeṣaḥ /	samADAnam iti SezaH /
   kathaṃ niḥśreyasāya kalpanta ityāpātataḥ /	kaTam niHSreyasAya kalpante iti ApAtataH /
   paramārthato teṣāṃ kālpanikatve niḥśreyasamapi kālpanikam /	paramArTataH tezAm kAlpanika tve niHSreyasam api kAlpanikam /
   tatastadarthaṃ prayāso viphalaḥ tasyāyatnasiddhatvādityāśayaḥ /	tatas tad arTam prayAsaH viPalaH tasya Ayatna sidDa tvAt iti ASayaH /
   kalpanākośasyānantaprasaratvādanantātmāna ityāpātataḥ /	kalpanA koSasya ananta prasara tvAt ananta AtmAnaH iti ApAtataH /
   parakārthato nirātmāna ityāśayaḥ /	paraka arTataH nirAtmAnaH iti ASayaH /
   pratyakṣānumāneti pramāṇadvayopanyāsaḥ svasiddhāntaviruddho vāttikakṛta	pratyakza anumAnA iti pramANa dvaya upanyAsaH sva sidDAnta virudDaH vAttika kRta
   ityāha  pramāṇādaya iti /	iti Aha   pramANa AdayaH iti /
   nopamānaviṣayā iti /	na upamAna vizayAH iti /
   yadyapyupamānasya saṃjñāsaṃjñisaṃbandhaparicchedaphalasya śabde pramāṇe	yadi api upamAnasya saMjQA saMjQi saMbanDa paricCeda Palasya Sabde pramANe
   'styevopayogaḥ, agṛhītasamayasya śabdasyāpramāpakatvāt /	asti eva upayogaH, agRhIta samayasya Sabdasya apramApaka tvAt /
   samayasya ca prāyaśa upamānenākalanāt /	samayasya ca prAyaSas upamAnena akalanAt /
   tathāpi na tena te sākṣād viṣayīkriyante pramāṇādaya ityarthaḥ /	taTA api na tena te sAkzAt vizayIkriyante pramANa AdayaH iti arTaH /
   nanu yadi sākṣādupamānasya prakṛtānupayogādanabhidhānam, tarhi śabdo	nanu yadi sAkzAt upamAnasya prakRta anupayogAt anaBiDAnam, tarhi SabdaH 
   'bhidhīyatām /	aBiDIyatAm /
   sa hi sākṣādupayogītyata āha  yadyapīti /	sa hi sAkzAt upayogI iti atas Aha  yat yapi iti /
   tatrāpītyāgamaviṣayaparāmarśaḥ /	tatra api iti Agama vizaya parAmarSaH /
   āgamo hi yatra pravartate tadviṣayameva pratyakṣamanumānaṃ vā apekṣate /	AgamaH hi yatra pravartate tad vizayam eva pratyakzam anumAnam vA apekzate /
   te tu samūle api na sviṣayapravṛttaṃ pramāṇamapekṣete /	te tu samUle api na su izaya pravRttam pramANam apekzete /
   tato mūlāsaṃplutaviṣayatvāt te eva darśite ityarthaḥ /	tatas mUlA saMpluta vizaya tvAt te eva darSite iti arTaH /
   vainayiketi viśiṣṭo nayaḥ śāstraṃ nyāyaśāstram, tajjanyabuddhivirahiṇa	vEnayikA iti viSizwaH nayaH SAstram nyAya SAstram, tad janya budDi virahiNa
   ityarthaḥ /	iti arTaH /
   naitāna viviñcate samāropitād rūpāditi śeṣaḥ /	na etAna viviQcate samAropitAt rUpAt iti SezaH /
   śuśrūṣādirityādigrahaṇena śravaṇādau pāṭavam /	SuSrUzA AdiH iti Adi grahaNena SravaNa AdO pAwavam /
   saṃdigdhasyāpi jijñāsā na bhavatyevānabhimatāpavargasyetyata	saMdigDasya api jijQAsA na Bavati eva anaBimata apavargasya ityata
   uktam"  śiṣyasyeti /	uktam "  Sizyasya iti /
   śiṣyatayā mumukṣutādisaṃpattimupalakṣayati /	Sizya tayA mumukzuta Adi saMpattim upalakzayati /
   vipratipanno 'pi kathāmārabhamāṇo 'pyamumukṣurgalite 'haṅkāre na sāpekṣo	vipratipannaH api kaTAm AraBamANaH api amumukzuH galite ahaFkAre na sa apekzaH 
   bhavatītyato niṣphalo jalpavitaṇḍārambha ityata āha   śiṣyamāṇasyeti /	Bavati iti atas nizPalaH jalpa vitaNxa AramBaH iti atas Aha  SizyamANasya iti /
   mohādapi mokṣamicchata ityarthaḥ /	mohAt api mokzam icCate iti arTaH /
   jalpavitaṇḍābhyāṃ vigalite 'haṅkāre iti yojanā /	jalpa vitaNxAByAm vigalite ahaFkAre iti yojanA /
   sāpekṣasya sataḥ pratipādyateti vākyaśeṣāgre /	sa apekzasya sataH pratipAdyata iti vAkya Seza agre /
   kenacit pramāreṇeti /	kenacid pramAreNa iti /
   prathamasūtrapāṭhaprakāreṇetyarthaḥ //	praTama sUtra pAWa prakAreNa iti arTaH //
   nanvasaṃdigdhasyāpi saṃdigdhīkaraṇe kimasya prayojanamityata	nanu asaMdigDasya api saMdigDIkaraNe kim asya prayojanam iti ata
   āha  asaṃdigdho 'pīti /	Aha  a saMdigDaH api iti /
   tathā ca pramātaṇāṃ	taTA ca pramAtaNAm
   sāpekṣāṇāmiti śeṣaḥ /	sa apekzANAm iti SezaH /
   te 'bhī durlalitāḥ śiṣyā yadi mokṣādāvapi indriyādyapekṣante, tadā kathaṃ	te aBI durlalitAH SizyAH yadi mokza AdO= api indriya Adi apekzante, tadA kaTam
   pratipādyā ityato	pratipAdyAH iti atas 
   vārtikaṃ pūrayati  kañciditi /	vArtikam pUrayati   kaQcid iti /
   dṛṣṭaprayojanopayoginaṃ pratyakṣopalabhyamānamityarthaḥ /	dRzwa prayojana upayoginam pratyakza upalaByamAnam iti arTaH /
   dṛṣṭaprayojanopayoginamevānumeyaṃ	dRzwa prayojana upayoginam eva anumeyam
   jijñāsava ityuttaratrāpi pūraṇīyamityāha  evamuttaramapīti /	jijQAsavaH iti uttaratra api pUraNIyam iti Aha  evam uttaram api iti /
   nanvetāvatāpi jijñāsava ityuttaratrāpi pūraṇīyamityāha  evamuttaramapīti /	nanu etAvatA api jijQAsavaH iti uttaratra api pUraNIyam iti Aha  evam uttaram api iti /
   nanvetāvatāpi sāpekṣā anenaiva śāstreṇa pratipādyāḥ pratyakṣānumānābhyāṃ	nanu etAvatA api sa apekzAH anena eva SAstreNa pratipAdyAH pratyakza anumAnAByAm
   ceti	ca iti
   parasparavyāhatamityata āha  ayamabhisandhiriti /	paraspara vyAhatam iti atas Aha   ayam aBisanDiH iti /
   paramapuruṣārthasādhanaṃ tu jijñāsava iti śeṣe nyāyeneti śeṣaḥ /	parama puruza arTa sADanam tu jijQAsavaH iti Seze nyAyena iti SezaH /
   iha yadyapi sukhaṃ dṛṣṭameva vidhāyakapramāṇagocara eva	iha yadi api suKam dRzwam eva viDAyaka pramANa gocaraH eva
   ahitanivṛttiradṛṣṭaiva niṣedhakapramāṇagocara eveti yathāsaṃkhyamapi	ahita nivRttiH adRzwA eva nizeDaka pramANa gocaraH eva iti yaTAsaMKyam api
   saṃbhavati /	saMBavati /
   tathāpi śreyaḥ punaḥ sukhamahitanivṛttiśceti ato na kiñcidadhikamuktaṃ	taTA api SreyaH punar suKam ahita nivRttiH ca iti atas na kiQcid aDikam uktam
   bhavatīti pramāṇāviśeṣasaṃbandhakathanameva param /	Bavati iti pramANa aviSeza saMbanDa kaTanam eva param /
   na ca tenedānīmasti prayojanam /	na ca tena idAnIm asti prayojanam /
   na cābhimataśreyoviśeṣanirdhāraṇe kartavye	na ca aBimata SreyaH viSeza nirDAraNe kartavye
   vidhiniṣedhagocaratvopavarṇanamupayujyata ityabhisaṃdhāyānyathā	viDi nizeDa gocara tva upavarNanam upayujyate iti aBisaMDAya anyaTA
   vyācaṣṭe  tatrāpīti /	vyAcazwe  tatra api iti /
   tacchreyaḥ sukhamahitanivṛttiśceti tacchabdena dvayamapi śreyastvena	tat SreyaH suKam ahita nivRttiH ca iti tad Sabdena dvayam api SreyaH tu ena
   parāmṛśyata ityarthaḥ /	parAmRSyate iti arTaH /
   yathāsaṃkhyaṃ śaḍkāṃ nivārayati  na vyāsajyeti /	yaTAsaMKyam SaxkAm nivArayati  na vyAsa jya iti /
   dṛṣṭaṃ sukhamityatra	dRzwam suKam iti atra
   drṛṣṭādṛṣṭaśabdayorarthamudāharaṇamukhena spaṣṭayati  srakcandaneti /	drRzwa adRzwa SabdayoH arTam udAharaNa muKena spazwayati  sraj candana iti /
   aihikamityarthaḥ /	Ehikam iti arTaH /
   svargādīti āmuṣmikamityarthaḥ /	svarga Adi iti Amuzmikam iti arTaH /
   uktamanyatrāpīti diśati  evamiti /	uktam anyatra api iti diSati  evam iti /
   ahitanivṛttirapyaihikyāmuṣmikī cetyarthaḥ //	ahita nivRttiH api EhikyAmuzmikI ca iti arTaH //
   naivaṃ vāttike rūyata ityata āha  cakāralopāditi /	na evam vAttike rUyate iti atas Aha   cakAra lopAt iti /
   cakārayorloparadityarthaḥ /	cakArayoH loparat iti arTaH /
   tena dṛṣṭaṃ sukhamadṛṣṭaṃ ca /	tena dRzwam suKam adRzwam ca /
   tathā	taTA
   ahitanivṛttiśceti vāttikārthaḥ /	ahita nivRttiH ca iti vAttika arTaH /
   tadayaṃ saṃkṣepaḥ dṛṣṭaṃ śreyaḥ /	tat ayam saMkzepaH dRzwam SreyaH /
   tacca sukhamahitanivṛttiśca /	tat ca suKam ahita nivRttiH ca /
   sukhamapyaihikamāmuṣmikaṃ ca /	suKam api Ehikam Amuzmikam ca /
   duḥkhanivṛttirapyaihikyāmuṣmikī ceti /	duHKa nivRttiH api EhikyAmuzmikI ca iti /
