   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati sAhasrikA PrajQApAramitA
   carati, nāsaṃskṛtaśūnyatāyāḥ kṛtaśaḥ prajñāpāramitāyāṃ carati,	carati, na asaMskRta SUnyatAyAH kRtaSas prajQApAramitAyAm carati,
   nātyantaśūnyatāyāḥ kṛtaśaḥ prajñāpāramitāyāṃ carati, nānavarāgraśūnyatāyāḥ	na atyanta SUnyatAyAH kRtaSas prajQApAramitAyAm carati, nAna vara agra SUnyatAyAH
   kṛtaśaḥ prajñāpāramitāyāṃ carati, nānavakāraśūnyatāyāḥ kṛtaśaḥ	kRtaSas prajQApAramitAyAm carati, nAna vakAra SUnyatAyAH kRtaSas 
   prajñāpāramitāyāṃ carati, na prakṛtiśūnyatāyāḥ kṛtaśaḥ (PvsP1 1: 72)	prajQApAramitAyAm carati, na prakRti SUnyatAyAH kRtaSas (Pu sP1 1: 72)
   prajñāpāramitāyāṃ carati, na sarvadharmaśūnyatāyāḥ kṛtaśaḥ	prajQApAramitAyAm carati, na sarva Darma SUnyatAyAH kRtaSas 
   prajñāpāramitāyāṃ carati, na svalakṣaṇaśūnyatāyāḥ kṛtaśaḥ	prajQApAramitAyAm carati, na sva lakzaNa SUnyatAyAH kRtaSas 
   prajñāpāramitāyāṃ carati, nānupalambhaśūnyatāyāḥ kṛtaśaḥ prajñāpāramitāyāṃ	prajQApAramitAyAm carati, na anupalamBa SUnyatAyAH kRtaSas prajQApAramitAyAm
   carati, nābhāvasvabhāvaśūnyatāyāḥ kṛtaśaḥ prajñāpāramitāyāṃ carati, na	carati, na aBA= a svaBAva SUnyatAyAH kRtaSas prajQApAramitAyAm carati, na
   bhāvaśūnyatāyāḥ kṛtaśaḥ prajñāpāramitāyāṃ carati, nābhāvaśūnyatāyāḥ	BAva SUnyatAyAH kRtaSas prajQApAramitAyAm carati, na aBAva SUnyatAyAH
   kṛtaśaḥ prajñāpāramitāyāṃ carati, na svabhāvaśūnyatāyāḥ kṛtaśaḥ	kRtaSas prajQApAramitAyAm carati, na svaBAva SUnyatAyAH kRtaSas 
   prajñāpāramitāyāṃ carati, na parabhāvaśūnyatāyāḥ kṛtaśaḥ prajñāpāramitāyāṃ	prajQApAramitAyAm carati, na para BAva SUnyatAyAH kRtaSas prajQApAramitAyAm
   carati, na tathatāyāḥ kṛtaśaḥ prajñāpāramitāyāṃ carati, na dharmadhātoḥ	carati, na taTatAyAH kRtaSas prajQApAramitAyAm carati, na DarmaDAtoH
   kṛtaśaḥ prajñāpāramitāyāṃ carati, na bhūtakoṭeḥ kṛtaśaḥ prajñāpāramitāyāṃ	kRtaSas prajQApAramitAyAm carati, na BUtakoweH kRtaSas prajQApAramitAyAm
   carati, tat kasya hetoḥ? na hi bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ	carati, tat kasya hetoH? na hi boDisattvaH mahAsattvaH prajQApAramitAyAm
   caran kasyacid dharmasya saṃbhedaṃ samanupaśyati. evaṃ śāriputra	caran kasyacid Darmasya saMBedam samanupaSyati. evam SAriputra
   bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran na divyasya cakṣuṣaḥ	boDisattvaH mahAsattvaH prajQApAramitAyAm caran na divyasya cakzuzaH
   kṛtaśaḥ prajñāpāramitāyāṃ carati, na divyasya śrotrasya kṛtaśaḥ	kRtaSas prajQApAramitAyAm carati, na divyasya Srotrasya kRtaSas 
   prajñāpāramitāyāṃ carati, na paracittajñānasya kṛtaśaḥ prajñāpāramitāyāṃ	prajQApAramitAyAm carati, na para citta jQAnasya kRtaSas prajQApAramitAyAm
   carati, na pūrvanivāsānusmṛteḥ kṛtaśaḥ prajñāpāramitāyāṃ carati, na	carati, na pUrva nivAsa anusmRteH kRtaSas prajQApAramitAyAm carati, na
   ṛddhividheḥ kṛtaśaḥ prajñāpāramitāyāṃ carati, tat kasya hetoḥ? tathā hi	RdDi viDeH kRtaSas prajQApAramitAyAm carati, tat kasya hetoH? taTA hi
   prajñāpāramitāyāṃ caran prajñāpāramitām eva na samanupaśyati, kuta eva	prajQApAramitAyAm caran prajQApAramitAm eva na samanupaSyati, kutas eva
   bodhisattvaṃ kuta eva sarvākāraṃ sarvābhijñāḥ, evaṃ hi śāriputra	boDisattvam kutas eva sarva AkAram sarva aBijQAH, evam hi SAriputra
   bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran yukta iti vaktavyaḥ.	boDisattvaH mahAsattvaH prajQApAramitAyAm caran yuktaH iti vaktavyaH.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm
   carato naivaṃ bhavati, ahaṃ divyena cakṣuṣā pūrvasyāṃ diśi	carataH na evam Bavati, aham divyena cakzuzA pUrvasyAm diSi
   gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ cyutopapādaṃ jñāsyāmīti,	gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm cyuta upapAdam jQAsyAmi iti,
   divyena śrotreṇaiṣāṃ śabdān śroṣyāmīti, teṣām eva ca cittāni jñāsyāmīti,	divyena SrotreNa ezAm SabdAn SrozyAmi iti, tezAm eva ca cittAni jQAsyAmi iti,
   teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā dharmaṃ deśayiṣyāmīti.	tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA Darmam deSayizyAmi iti.
   evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati, ahaṃ divyena	evam SAriputra boDisattvasya mahAsattvasya na evam Bavati, aham divyena
   cakṣuṣā dakṣiṇasyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ	cakzuzA dakziNasyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm
   cyutopapādaṃ jñāsyāmīti, divyena śrotreṇaiṣāṃ śabdān śroṣyāmīti, teṣām eva	cyuta upapAdam jQAsyAmi iti, divyena SrotreNa ezAm SabdAn SrozyAmi iti, tezAm eva
   ca cittāni jñāsyāmīti, teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā	ca cittAni jQAsyAmi iti, tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA
   dharmaṃ deśayiṣyāmīti.	Darmam deSayizyAmi iti.
   evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati, ahaṃ (PvsP1 1:	evam SAriputra boDisattvasya mahAsattvasya na evam Bavati, aham (PvsP1 1:
   73) divyena cakṣuṣā paścimāyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu	73) divyena cakzuzA paScimAyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu
   sattvānāṃ cyutopapādaṃ jñāsyāmīti, divyena śrotreṇaiṣāṃ śabdāṃ śroṣyāmīti,	sattvAnAm cyuta upapAdam jQAsyAmi iti, divyena SrotreNa ezAm SabdAm SrozyAmi iti,
   teṣām eva ca cittāni jñāsyāmīti, teṣām eva ca pūrvanivāsam anusmṛtya	tezAm eva ca cittAni jQAsyAmi iti, tezAm eva ca pUrva nivAsam anusmRtya
   ṛddhyā gatvā dharmaṃ deśayiṣyāmīti.	RdDyA gatvA Darmam deSayizyAmi iti.
   evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati, ahaṃ divyena	evam SAriputra boDisattvasya mahAsattvasya na evam Bavati, aham divyena
   cakṣuṣā uttarasyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ	cakzuzA uttarasyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm
   cyutopapādaṃ jñāsyāmīti, divyena śrotreṇaiṣāṃ śabdāṃ śroṣyāmīti, teṣām eva	cyuta upapAdam jQAsyAmi iti, divyena SrotreNa ezAm SabdAm SrozyAmi iti, tezAm eva
   ca cittāni jñāsyāmīti, teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā	ca cittAni jQAsyAmi iti, tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA
   dharmaṃ deśayiṣyāmīti.	Darmam deSayizyAmi iti.
   evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati, ahaṃ divyena	evam SAriputra boDisattvasya mahAsattvasya na evam Bavati, aham divyena
   cakṣuṣā uttarapūrvasyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ	cakzuzA uttara pUrvasyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm
   cyutopapādaṃ jñāsyāmīti, divyena śrotreṇaiṣāṃ śabdān śroṣyāmīti, teṣām eva	cyuta upapAdam jQAsyAmi iti, divyena SrotreNa ezAm SabdAn SrozyAmi iti, tezAm eva
   ca cittāni jñāsyāmīti, teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā	ca cittAni jQAsyAmi iti, tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA
   dharmaṃ deśayiṣyāmīti.	Darmam deSayizyAmi iti.
   evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati, ahaṃ divyena	evam SAriputra boDisattvasya mahAsattvasya na evam Bavati, aham divyena
   cakṣuṣā pūrvadakṣinasyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ	cakzuzA pUrva dakzinasyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm
   cyutopapādaṃ jñāsyāmīti, divyena śrotreṇaiṣāṃ śabdān śroṣyāmīti, teṣām eva	cyuta upapAdam jQAsyAmi iti, divyena SrotreNa ezAm SabdAn SrozyAmi iti, tezAm eva
   ca cittāni jñāsyāmīti, teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā	ca cittAni jQAsyAmi iti, tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA
   dharmaṃ deśayiṣyāmīti.	Darmam deSayizyAmi iti.
   evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati, ahaṃ divyena	evam SAriputra boDisattvasya mahAsattvasya na evam Bavati, aham divyena
   cakṣuṣā dakṣiṇapaścimāyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ	cakzuzA dakziNa paScimAyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm
   cyutopapādaṃ jñāsyāmīti, divyena śrotreṇaiṣāṃ śabdān śroṣyāmīti, teṣām eva	cyuta upapAdam jQAsyAmi iti, divyena SrotreNa ezAm SabdAn SrozyAmi iti, tezAm eva
   ca cittāni jñāsyāmīti, teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā	ca cittAni jQAsyAmi iti, tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA
   dharmaṃ deśayiṣyāmīti.	Darmam deSayizyAmi iti.
   evaṃ hi śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati, ahaṃ	evam hi SAriputra boDisattvasya mahAsattvasya na evam Bavati, aham
   divyena cakṣuṣā paścimottarasyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu	divyena cakzuzA paScima uttarasyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu
   sattvānāṃ cyutopapādaṃ jñāsyāmīti, divyena śrotreṇaiṣāṃ śabdān śroṣyāmīti,	sattvAnAm cyuta upapAdam jQAsyAmi iti, divyena SrotreNa ezAm SabdAn SrozyAmi iti,
   teṣām eva ca cittāni jñāsyāmīti, teṣām eva ca pūrvanivāsam anusmṛtya	tezAm eva ca cittAni jQAsyAmi iti, tezAm eva ca pUrva nivAsam anusmRtya
   ṛddhyā gatvā dharmaṃ deśayiṣyāmīti.	RdDyA gatvA Darmam deSayizyAmi iti.
   evaṃ hi śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati, ahaṃ	evam hi SAriputra boDisattvasya mahAsattvasya na evam Bavati, aham
   divyena cakṣuṣā adhastād diśi gaṅgānadīvālukopameṣu lokadhātuṣu (PvsP1 1:	divyena cakzuzA aDastAt diSi gaFgA nadI vAlukA upamezu lokaDAtuzu (Pu sP1 1:
   74) sattvānāṃ cyutopapādaṃ jñāsyāmīti, divyena śrotreṇaiṣāṃ śabdān	74) sattvAnAm cyuta upapAdam jQAsyAmi iti, divyena SrotreNa ezAm SabdAn
   śroṣyāmīti, teṣām eva ca cittāni jñāsyāmīti, teṣām eva ca pūrvanivāsam	SrozyAmi iti, tezAm eva ca cittAni jQAsyAmi iti, tezAm eva ca pUrva nivAsam
   anusmṛtya ṛddhyā gatvā dharmaṃ deśayiṣyāmīti.	anusmRtya RdDyA gatvA Darmam deSayizyAmi iti.
   evaṃ śāriputra bodhisattvasya mahāsattvasya naivaṃ bhavati, ahaṃ divyena	evam SAriputra boDisattvasya mahAsattvasya na evam Bavati, aham divyena
   cakṣuṣā ūrdhvaṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu sattvānāṃ	cakzuzA UrDvam diSi gaFgA nadI vAlukA upamezu lokaDAtuzu sattvAnAm
   cyutopapādaṃ jñāsyāmīti, divyena śrotreṇaiṣāṃ śabdān śroṣyāmīti, teṣām eva	cyuta upapAdam jQAsyAmi iti, divyena SrotreNa ezAm SabdAn SrozyAmi iti, tezAm eva
   ca cittāni jñāsyāmīti, teṣām eva ca pūrvanivāsam anusmṛtya ṛddhyā gatvā	ca cittAni jQAsyAmi iti, tezAm eva ca pUrva nivAsam anusmRtya RdDyA gatvA
   dharmaṃ deśayiṣyāmīti.	Darmam deSayizyAmi iti.
   evaṃ hi śāriputra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ carann	evam hi SAriputra boDisattvaH mahAsattvaH prajQApAramitAyAm caran= 
   aprameyān asaṃkhyeyān aparimāṇān sattvān parinirvāpayan yukta iti	aprameyAn asaMKyeyAn aparimANAn sattvAn parinirvApayan yuktaH iti
   vaktavyaḥ.	vaktavyaH.
   evaṃ hi śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carato	evam hi SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm carataH 
   māraḥ pāpīyān avatāraṃ na labhate, sarve cāsyānye 'pi laukikā ye kecit	mAraH pApIyAn avatAram na laBate, sarve ca asya anye api lOkikAH ye kecid 
   kleśās te sarve dalitā bhavanti.	kleSAH te sarve dalitAH Bavanti.
   ye 'pi te śāriputra pūrvasyāṃ diśi buddhā bhagavanto gaṅgānadīvālukopameṣu	ye api te SAriputra pUrvasyAm diSi budDAH BagavantaH gaFgA nadI vAlukA upamezu
   lokadhātuṣu tiṣṭhanti dhriyante yāpayanti dharmaṃ ca deśayanti, ye ca	lokaDAtuzu tizWanti Driyante yApayanti Darmam ca deSayanti, ye ca
   teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca cāturmahārājakāyikā devās	tezAm SrAvakAH ye ca pratyekabudDAH ye ca cAturmahArAja kAyikA devAH 
   trayastriṃśā yāmās tuṣitā nirmāṇaratayaḥ paranirmitavaśavartino	trayastriMSAH yAmAH tuzitAH nirmANaratayaH paranirmitavaSavartinaH 
   brahmapārṣadyā brahmapurohitā mahābrahmaṇaḥ parīttābhā apramāṇābhā	brahmapArzadyAH brahma purohitA mahA brahmaNaH parItta ABAH apramANa ABA
   ābhāsvarāḥ parīttaśubhā apramāṇaśubhāḥ śubhakṛtsnā anabhrakāḥ puṇyaprasavā	ABAsvarAH parItta SuBAH apramANa SuBAH SuBa kRtsnA anaBrakAH puNya prasavA
   bṛhatphalā asaṃjñisattvāḥ śuddhāvāsā avṛhā atapāḥ sudṛśāḥ sudarśanā	bRhat PalAH asaMjQi sattvAH SudDAvAsAH avRhAH atapAH sudRSAH sudarSanA
   akaniṣṭhā devās te 'pi taṃ bodhisattvaṃ mahāsattvaṃ rakṣanti, mā khalv	akanizWAH devAH te api tam boDisattvam mahAsattvam rakzanti, mA Kalu 
   asya bodhisattvasya mahāsattvasya kaścid antarāyaṅ kārṣīt, ye 'py asya	asya boDisattvasya mahAsattvasya kaScid antarAyaF kArzIt, ye api asya
   kecit kāyikā doṣās te 'py asya dṛṣṭadhārmikā bhavanti, tat kasya hetoḥ?	kecid kAyikAH dozAH te api asya dRzwa DArmikAH Bavanti, tat kasya hetoH?
   tathā hi sa sarvasattvān maitryā spharati.	taTA hi sa sarva sattvAt mEtryA sParati.
   ye 'pi te śāriputra dakṣiṇasyāṃ diśi buddhā bhagavanto	ye api te SAriputra dakziNasyAm diSi budDAH BagavantaH 
   gaṅgānadīvālukopameṣu lokadhātuṣu tiṣṭhanti dhriyante yāpayanti dharmaṃ ca	gaFgA nadI vAlukA upamezu lokaDAtuzu tizWanti Driyante yApayanti Darmam ca
   deśayanti, ye ca teṣāṃ śrāvakā, ye ca pratyekabuddhā, ye ca	deSayanti, ye ca tezAm SrAvakA, ye ca pratyekabudDA, ye ca
   cāturmahārājakāyikā devās trayastriṃśā yāmās tuṣitā nirmāṇaratayaḥ	cAturmahArAja kAyikAH devAH trayastriMSAH yAmAH tuzitAH nirmANaratayaH
   paranirmitavaśavartino brahmapārṣadyā brahmapurohitā mahābrahmaṇaḥ	paranirmitavaSavartinaH brahmapArzadyAH brahma purohitAH mahA brahmaNaH
   parīttābhā apramāṇābhā ābhāsvarāḥ parīttaśubhā apramāṇaśubhāḥ śubhakṛtsnā	parItta ABAH apramANa ABAH ABAsvarAH parItta SuBAH apramANa SuBAH SuBa kRtsnA
   anabhrakāḥ puṇyaprasavā bṛhatphalā asaṃjñisattvāḥ śuddhāvāsā avṛhā atapāḥ	anaBrakAH puNya prasavAH bRhat PalAH asaMjQi sattvAH SudDAvAsAH avRhAH atapAH
   sudṛśāḥ sudarśanā akaniṣṭhā devās te 'pi taṃ bodhisattvaṃ mahāsattvaṃ	sudRSAH sudarSanAH akanizWAH devAH te api tam boDisattvam mahAsattvam
   rakṣanti, mā khalv asya bodhisattvasya mahāsattvasya kaścid antarāyaṅ	rakzanti, mA Kalu asya boDisattvasya mahAsattvasya kaScid antarAyaF
   kārṣīt, ye 'py asya kecit kāyikā doṣās te 'py asya dṛṣṭadhārmikā bhavanti,	kArzIt, ye api asya kecid kAyikAH dozAH te api asya dRzwa DArmikAH Bavanti,
   tat kasya hetoḥ? tathā hi sa sarvasattvān maitryā spharati.	tat kasya hetoH? taTA hi sa sarva sattvAt mEtryA sParati.
   ye 'pi te śāriputra paścimāyāṃ diśi buddhā bhagavanto	ye api te SAriputra paScimAyAm diSi budDAH BagavantaH 
   gaṅgānadīvālukopameṣu lokadhātuṣu tiṣṭhanti dhriyante yāpayanti dharmaṃ ca	gaFgA nadI vAlukA upamezu lokaDAtuzu tizWanti Driyante yApayanti Darmam ca
   deśayanti ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca	deSayanti ye ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca
   cāturmahārājakāyikā devās trayastriṃśā yāmās tuṣitā nirmāṇaratayaḥ	cAturmahArAja kAyikAH devAH trayastriMSAH yAmAH tuzitAH nirmANaratayaH
   (PvsP1 1: 75) paranirmitavaśavartino brahmapārṣadyā brahmapurohitā	(Pu sP1 1: 75) paranirmitavaSavartinaH brahmapArzadyA brahma purohitA
   mahābrahmaṇaḥ parītābhā apramāṇābhā ābhāsvarāḥ parīttaśubhā apramāṇaśubhāḥ	mahAbrahmaNaH parIta ABAH apramANa ABAH ABAsvarAH parItta SuBAH apramANa SuBAH
   śubhakṛtsnā anabhrakāḥ puṇyaprasavā bṛhatphalā asaṃjñisattvāḥ śuddhāvāsā	SuBa kRtsnAH anaBrakAH puNya prasavAH bRhat PalAH asaMjQi sattvAH SudDAvAsA
   avṛhā atapāḥ sudṛśāḥ sudarśanā akaniṣṭhā devās te 'pi taṃ bodhisattvaṃ	avRhAH atapAH sudRSAH sudarSanAH akanizWAH devAH te api tam boDisattvam
   mahāsattvaṃ rakṣanti, mā khalv asya bodhisattvasya mahāsattvasya kaścid	mahAsattvam rakzanti, mA Kalu asya boDisattvasya mahAsattvasya kaScid 
   antarāyaṅ kārṣīt, ye 'py asya kecit kāyikā doṣās te 'py asya dṛṣṭadhārmikā	antarAyaF kArzIt, ye api asya kecid kAyikAH dozAH te api asya dRzwa DArmikA
   bhavanti, tat kasya hetoḥ? tathā hi sa sarvasattvān maitryā spharati.	Bavanti, tat kasya hetoH? taTA hi sa sarva sattvAt mEtryA sParati.
   ye 'pi te śāriputra uttarasyāṃ diśi buddhā bhagavanto	ye api te SAriputraH uttarasyAm diSi budDAH BagavantaH 
   gaṅgānadīvālukopameṣu lokadhātuṣu tiṣṭhanti dhriyante yāpayanti dharmaṃ ca	gaFgA nadI vAlukA upamezu lokaDAtuzu tizWanti Driyante yApayanti Darmam ca
   deśayanti ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca	deSayanti ye ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca
   cāturmahārājakāyikā devās trayastriṃśā yāmās tuṣitā nirmāṇaratayaḥ	cAturmahArAja kAyikAH devAH trayastriMSAH yAmAH tuzitAH nirmANaratayaH
   paranirmitavaśavartino brahmapārṣadyā brahmapurohitā mahābrahmaṇaḥ	paranirmitavaSavartinaH brahmapArzadyAH brahma purohitAH mahA brahmaNaH
   parīttābhā apramāṇābhā ābhāsvarāḥ parīttaśubhā apramāṇaśubhāḥ śubhakṛtsnā	parItta ABAH apramANa ABAH ABAsvarAH parItta SuBAH apramANa SuBAH SuBa kRtsnA
   anabhrakāḥ puṇyaprasavā bṛhatphalā asaṃjñisattvāḥ śuddhāvāsā avṛhā atapāḥ	anaBrakAH puNya prasavAH bRhat PalAH asaMjQi sattvAH SudDAvAsAH avRhAH atapAH
   sudṛśāḥ sudarśanā akaniṣṭhā devās te 'pi taṃ (PvsP1 1: 76) bodhisattvaṃ	sudRSAH sudarSanAH akanizWAH devAH te api tam (PvsP1 1: 76) boDisattvam
   mahāsattvaṃ rakṣanti, mā khalv asya bodhisattvasya mahāsattvasya kaścid	mahAsattvam rakzanti, mA Kalu asya boDisattvasya mahAsattvasya kaScid 
   antarāyaṅ kārṣīt, ye 'py asya kecit kāyikā doṣās te 'py asya dṛṣṭadhārmikā	antarAyaF kArzIt, ye api asya kecid kAyikAH dozAH te api asya dRzwa DArmikA
   bhavanti, tat kasya hetoḥ? tathā hi sa sarvasattvān maitryā spharati.	Bavanti, tat kasya hetoH? taTA hi sa sarva sattvAt mEtryA sParati.
   ye 'pi te śāriputra uttarapūrvasyāṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu	ye api te SAriputraH uttara pUrvasyAm diSi gaFgA nadI vAlukA upamezu lokaDAtuzu
   buddhā bhagavantas tiṣṭhanti dhriyante yāpayanti dharmaṃ ca deśayanti, ye	budDAH BagavantaH tizWanti Driyante yApayanti Darmam ca deSayanti, ye
   ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca cāturmahārājakāyikā devā yāvad	ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca cAturmahArAja kAyikAH devAH yAvat 
   akaniṣṭhā devās te 'pi tasya bodhisattvasya mahāsattvasya rakṣāṃ kurvanti,	akanizWAH devAH te api tasya boDisattvasya mahAsattvasya rakzAm kurvanti,
   mā khalv asya bodhisattvasya mahāsattvasyāntarāyo 'bhūd iti.	mA Kalu asya boDisattvasya mahAsattvasya antarAyaH aBUt iti.
   ye 'pi te śāriputra pūrvadakṣiṇasyāṃ diśi gaṅgānadīvālukopameṣu	ye api te SAriputra pUrva dakziNasyAm diSi gaFgA nadI vAlukA upamezu
   lokadhātuṣu buddhā bhagavantas tiṣṭhanti dhriyante yāpayanti dharmaṃ ca	lokaDAtuzu budDAH BagavantaH tizWanti Driyante yApayanti Darmam ca
   deśayanti, ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca	deSayanti, ye ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca
   cāturmahārājakāyikā devā yāvad akaniṣṭhā devās te 'pi tasya bodhisattvasya	cAturmahArAja kAyikAH devAH yAvat akanizWAH devAH te api tasya boDisattvasya
   mahāsattvasya rakṣāṃ kurvanti, mā khalv asya bodhisattvasya	mahAsattvasya rakzAm kurvanti, mA Kalu asya boDisattvasya
   mahāsattvasyāntarāyo 'bhūd iti.	mahAsattvasya antarAyaH aBUt iti.
   ye 'pi te śāriputra dakṣiṇapaścimāyāṃ diśi gaṅgānadīvālukopameṣu	ye api te SAriputra dakziNa paScimAyAm diSi gaFgA nadI vAlukA upamezu
   lokadhātuṣu buddhā bhagavantas tiṣṭhanti dhriyante yāpayanti dharmaṃ ca	lokaDAtuzu budDAH BagavantaH tizWanti Driyante yApayanti Darmam ca
   deśayanti, ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca	deSayanti, ye ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca
   cāturmahārājakāyikā devā yāvad akaniśṭhā devās te 'pi tasya bodhisattvasya	cAturmahArAja kAyikAH devAH yAvat aka niSWAH devAH te api tasya boDisattvasya
   mahāsattvasya rakṣāṃ kurvanti, mā khalv asya bodhisattvasya	mahAsattvasya rakzAm kurvanti, mA Kalu asya boDisattvasya
   mahāsattvasyāntarāyo 'bhūd iti.	mahAsattvasya antarAyaH aBUt iti.
   ye 'pi te śāriputra paścimottarasyāṃ diśi gaṅgānadīvālukopameṣu	ye api te SAriputra paScima uttarasyAm diSi gaFgA nadI vAlukA upamezu
   lokadhātuṣu buddhā bhagavantas tiṣṭhanti dhriyante yāpayanti dharmaṃ ca	lokaDAtuzu budDAH BagavantaH tizWanti Driyante yApayanti Darmam ca
   deśayanti, ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca	deSayanti, ye ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca
   cāturmahārājakāyikā devā yāvad akaniśṭhā devās te 'pi tasya bodhisattvasya	cAturmahArAja kAyikAH devAH yAvat aka niSWAH devAH te api tasya boDisattvasya
   mahāsattvasya rakṣāṃ kurvanti, mā khalv asya bodhisattvasya	mahAsattvasya rakzAm kurvanti, mA Kalu asya boDisattvasya
   mahāsattvasyāntarāyo 'bhūd iti.	mahAsattvasya antarAyaH aBUt iti.
   ye 'pi te śāriputra adhastād diśi gaṅgānadīvālukopameṣu lokadhātuṣu buddhā	ye api te SAriputra aDastAt diSi gaFgA nadI vAlukA upamezu lokaDAtuzu budDA
   bhagavantas tiṣṭhanti dhriyante yāpayanti dharmaṃ ca (PvsP1 1: 77)	BagavantaH tizWanti Driyante yApayanti Darmam ca (PvsP1 1: 77)
   deśayanti, ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca	deSayanti, ye ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca
   cāturmahārājakāyikā devā yāvad akaniṣṭhā devās te 'pi tasya bodhisattvasya	cAturmahArAja kAyikAH devAH yAvat akanizWAH devAH te api tasya boDisattvasya
   mahāsattvasya rakṣāṃ kurvanti, mā khalv asya bodhisattvasya	mahAsattvasya rakzAm kurvanti, mA Kalu asya boDisattvasya
   mahāsattvasyāntarāyo 'bhūd iti,	mahAsattvasya antarAyaH aBUt iti,
   ye 'pi te śāriputra ūrdhvaṃ diśi gaṅgānadīvālukopameṣu lokadhātuṣu buddhā	ye api te SAriputraH UrDvam diSi gaFgA nadI vAlukA upamezu lokaDAtuzu budDA
   bhagavantas tiṣṭhanti dhriyante yāpayanti dharmaṃ ca deśayanti,	BagavantaH tizWanti Driyante yApayanti Darmam ca deSayanti,
   ye ca teṣāṃ śrāvakā ye ca pratyekabuddhā ye ca cāturmahārājakāyikā devā	ye ca tezAm SrAvakAH ye ca pratyekabudDAH ye ca cAturmahArAja kAyikA devAH 
