   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   yoginīvaktrasaṃrūḍhasaṃpradāyakramāptayā // 2.97 //	yoginI-vaktra-saMrUXa-saMpradAya-krama-AptayA // 2.97 //
   sadyo 'nubhavadāyinyā mudrayā mudritākhilaḥ	sadyas anuBava-dAyinyA mudrayA mudrita-aKilaH
   sarvādhiṣṭhātṛcidrūpasākṣādbhairavatandritaḥ // 2.98 //	sarva-aDizWAtR-cit-rUpa-sAkzAt-BErava-tandritaH // 2.98 //
   sa yogī vismayāviṣṭo labhate svātmasaṃvidam	sa yogI vismaya-AvizwaH laBate sva-Atma-saMvidam
   tattaddṛśyodayāpāyayoge 'py anapayatsthiti // 2.99 //	tad-tad-dRSya-udaya-apAya-yoge api anapayat-sTiti // 2.99 //
   taḍāgavartinimnāmbu tannānyatra pravartate	taxAga-varti-nimna-ambu tat-na-anyatra pravartate
   prayatnenāpi tanmātrapūraṇāya yad akṣamam // 2.100 //	prayatnena-api tanmAtra-pUraNAya yat akzamam // 2.100 //
   yadā tvantaḥdvāravāridhārasaṃpūritaṃ rasāt	yadA tu-antar-dvAra-vAri-DAra-saMpUritam rasAt-
   bhaved bhaveyustatpūrṇāḥ pravāhāḥ sarvatomukhāḥ // 2.101 //	Bavet BaveyuH-tad-pUrNAH pravAhAH sarvatomuKAH // 2.101 //
   evaṃ svollāsarabhasāc caitanyaṃ pronmiṣatsvayaṃ	evam sva-ullAsa-raBasAt cEtanyam pronmizat-svayam
   avibhāgena bhāvāṃśān svātmābhedena bhāsayan // 2.102 //	aviBAgena BAva-aMSAn sva-Atma-aBedena BAsayan // 2.102 //
   mīlanāviṣayībhāvaṃ śrayed yadi muhūrtakaṃ	mIlana-avizayIBAvam Srayet yadi muhUrtakam
   māyāvigalanād bhūmir bhairavīyā virājate // 2.103 //	mAyA-vigalanAt BUmiH BEravIyA virAjate // 2.103 //
   vaikalpiko 'hyavacchedaḥ paścād yāṃ darśayed bhidām	vEkalpikaH ahi-avacCedaH paScAt yAm darSayet BidAm
   saiva māyā svatantrasya bhedadṛṣṭiprakāśinī // 2.104 //	sA-eva mAyA svatantrasya Beda-dRzwi-prakASinI // 2.104 //
   unmeṣamātrarūḍhasya sā nirmūlā na saṃbhavet	unmeza-mAtra-rUXasya sA nirmUlA na saMBavet-
   itthaṃ kiṃ bahunoktena naye 'nuttarātmani // 2.105 //	itTam kim bahunA-uktena naye anuttara-Atmani // 2.105 //
   vastuto 'sti na kasyāpi yogāṅgasyābhyupāyatā	vastutas asti na kasya-api yoga-aFgasya-aByupAya-tA
   svarūpaṃ hyasya nīrūpam avacchedavivarjanāt // 2.106 //	svarUpam hi-asya nIrUpam avacCeda-vivarjanAt // 2.106 //
   upāya 'pyanupāyo 'syāyāgavṛttinirodhataḥ	upAya api-anupAyaH asya-ayAga-vRtti-niroDataH
   recanapūraṇair eṣā rahitā tanuvātanauḥ // 2.107 //	recana-pUraNEH ezA rahitA tanu-vAtanOH // 2.107 //
   tārayaty evam ātmānaṃ bhedasāgaragocarāt	tArayati evam AtmAnam Beda-sAgara-gocarAt-
   nimajjamānam apy etan mano vaiṣayike rase // 2.108 //	nimajjamAnam api etat manaH vEzayike rase // 2.108 //
   nāntarārdratvam abhyeti niśchidraṃ tumbakaṃ yathā	na-antara-Ardra-tvam aByeti niSCidram tumbakam yaTA
   svaṃ panthānaṃ hayasyeva manaso ye nirundhate // 2.109 //	svam panTAnam hayasya-iva manasaH ye nirunDate // 2.109 //
   teṣāṃ tatkhaṇḍanayogād dhavaty unmārgakoṭibhiḥ	tezAm tad-KaNxana-yogAt Davati unmArga-kowiBiH
   kiṃsvid etad iti prāyo duḥkhe 'py utkaṇṭhate manaḥ // 2.110 //	kiMsvid etat iti prAyas duHKe api utkaNWate manaH // 2.110 //
   sukhād api virajyeta jñānād etad idaṃ [tv iti]	suKAt api virajyeta jQAnAt etat idam [tu iti]
   tathāhi gurur ādikṣad bahudhā svakaśāsane // 2.111 //	taTA-hi guruH Adikzat bahuDA svakaSAsane // 2.111 //
   anādaraviraktyaiva galantīndriyavṛttayaḥ	anAdara-viraktyA-eva galanti-indriya-vRttayaH
   yāvat tu viniyamyante tāvat tāvad vikurvate // 2.112 //	yAvat tu viniyamyante tAvat tAvat vikurvate // 2.112 //
   pratyāhāro 'pi nāmāyaṃ yo 'kṣajāle pravartyate	pratyAhAraH api nAma-ayam yaH akza-jAle pravartyate
   bandhasyārūḍhavṛttes tad vajralepena bandhanam // 2.113 //	banDasya-ArUXa-vRtteH tat vajra-lepena banDanam // 2.113 //
   artheṣu tadbhogavidhau tadutthe	arTezu tad-Boga-viDO tad-utTe
   \ \ duḥkhe sukhe vā galitābhiśaṅkam	\ \ duHKe suKe vA galita-aBiSaFkam
   anāviśanto 'pi nimagnacittā	anAviSantaH api nimagna-cittA
   \ \ jānanti vṛttikṣayasaukhyam antaḥ // 2.114 //	\ \ jAnanti vRtti-kzaya-sOKyam antar // 2.114 //
   saty evātmani citsvabhāvamahasi svānte tathopakriyāṃ	sati eva-Atmani cit-svaBAva-mahasi svAnte taTA-upakriyAm
   tasmai kurvati tatpracāracature saty akṣavarge 'pi ca	tasmE kurvati tad-pracAra-cature sati akza-varge api ca
   satsv artheṣu rasādiṣu sphuṭataraṃ yad bhedavandhyodayaṃ	satsu arTezu rasa-Adizu sPuwataram yat Beda-vanDya-udayam
   yogī tiṣṭhati pūrṇaraśmikhacitas tat tattvam ādīyatām // 2.115 //	yogI tizWati pUrNa-raSmi-KacitaH tat tattvam AdIyatAm // 2.115 //
   aviveka eva param iha saṃsāra iti pravādamātram	avivekaH eva param iha saMsAraH iti pravAda-mAtram
   aviveka eva hi paraṃ niḥśreyasalābhasopānam // 2.116 //	avivekaH eva hi param niHSreyasa-lABa-sopAnam // 2.116 //
   tyajāvadhānāni nanu kva nāma	tyaja-avaDAnAni nanu kva nAma
   dhatse 'vadhānaṃ vicinu svayaṃ tat	Datse avaDAnam vicinu svayam tat-
   pūrṇe 'vadhānaṃ nahi nāma yuktaṃ	pUrNe avaDAnam nahi nAma yuktam
   nāpūrṇam abhyeti ca satyabhāvam // 2.117 //	na-apUrNam aByeti ca satyaBAvam // 2.117 //
   yatraivānandayogaḥ kvacana nanu bhavet tatra pūrṇaḥ svabhāvaḥ	yatra-eva-Ananda-yogaH kvacana nanu Bavet tatra pUrNaH svaBAvaH
   --- --- te veti tatra praśamapadam iyād yady ayaṃ bhedamohaḥ	-- -- te vA-iti tatra praSama-padam iyAt yadi ayam Beda-mohaH
   tajjñāne jāgradādāv api nikhilapade cinmahācakranātho	tad-jQAne jAgrat-AdO api niKila-pade cit-mahA-cakra-nATaH-
   yogī jāyeta nānāvyavahṛtapathago 'pyullasan mantravīryaḥ // 2.118 //	yogI jAyeta nAnA-vyavahRta-paTa-gaH api-ullasan mantra-vIryaH // 2.118 //
   yathā hi kūpaṃ pracikīrṣur eva	yaTA hi kUpam pracikIrzuH eva
   prāpte jale yāti kṛtitvam ekaḥ	prApte jale yAti kRti-tvam ekaH
   kaścit punar hastagatādi[vāri]mātrād	kaScid punar hasta-gata-Adi-[vAri]-mAtrAd
   itthaṃ paraprāptividhir vicitraḥ // 2.119 //	itTam para-prApti-viDiH vicitraH // 2.119 //
   anupāyam idaṃ tasmād upāyopeyayogataḥ	anupAyam idam tasmAt upAya-upeya-yogataH
   bhedabandhād vimucyeta kathaṃ vetarathā janaḥ // 2.120 //	Beda-banDAt vimucyeta kaTam vA-itaraTAH janaH // 2.120 //
   anupāye 'pi caitasmin kiṃcit sāṃbandhyavṛttitaḥ	anupAye api ca-etasmin kiMcid sAMbanDya-vRttitaH
   upāyasyopadeśo 'yaṃ śāstre 'tra bahudhā kṛtaḥ // 2.121 //	upAyasya-upadeSaH ayam SAstre atra bahuDA kRtaH // 2.121 //
   yathā lipyakṣarair bālāḥ satye varṇātmani sphuṭam	yaTA lipi-akzarEH bAlAH satye varNa-Atmani sPuwam
   praveśyante tathā mūḍhais tair aupāyikaiḥ kramāt // 2.122 //	praveSyante taTA mUXEH tEH OpAyikEH kramAt // 2.122 //
   tadartham eva cādvaite paratattve 'pi sādaram	tad-arTam eva ca-advEte para-tattve api sAdaram
   pūjādhyānādi śāstre 'sminn ucitaṃ kiṃcid ucyate // 2.123 //	pUjA-DyAna-Adi SAstre asmin ucitam kiMcid ucyate // 2.123 //
   yat kiṃcin manasāhlādi yatra kvāpīndriyasthitau	yat kiMcid manasA-AhlAdi yatra kvApi-indriya-sTitO
   yojyate bodhasadbrahmadhāmni brahmabilātmani // 2.124 //	yojyate boDasat-brahma-DAmni brahmabila-Atmani // 2.124 //
   ātmānusārisadbhāvasamāveśadaśāśrayāt	Atma-anusAri-sadBAva-samAveSa-daSa-ASrayAt
   tattatparakuleśānaśakticakrārcanākrame	tad-tad-para-kula-ISAna-Sakti-cakra-arcanA-krame
   prayāty evāprayatnena karaṇatvaṃ svabhāvataḥ // 2.125 //	prayAti eva-aprayatnena karaNa-tvam svaBAvataH // 2.125 //
   kṛtvādhāradharāṃ camatkṛtirasaprokṣākṣaṇakṣālitām	kRtvA-ADAra-DarAm camatkRti-rasa-prokza-akzaNa-kzAlitAm
   āttair mānasataḥ svabhāvakusumaiḥ svāmodasaṃdohibhiḥ	AttEH mAnasataH svaBAva-kusumEH sva-Amoda-saMdohiBiH
   ānandāmṛtanirbharasvahṛdayānarghārghapātrakramāt	Ananda-amRta-nirBara-sva-hRdayAnarGa-arGa-pAtra-kramAt
   tvāṃ devyā saha dehadevasadane devārcaye 'harniśam // 2.126 //	tvAm devyA saha deha-deva-sadane deva-arcaye aharniSam // 2.126 //
   evaṃ yatra kvacit tiṣṭhet svavimarśasvabhāvataḥ	evam yatra kvacid tizWet sva-vimarSa-svaBAvataH
   tatra śaktitrayāveśas tridhā tāvat prakāśate // 2.127 //	tatra Sakti-traya-AveSaH triDA tAvat prakASate // 2.127 //
   navadhā bhāsamānasya proktadvādaśacakrataḥ	navaDA BAsamAnasya prokta-dvAdaSa-cakrataH
   viśrāntir ekakṣaṇagā sāṣṭottaraśatasthitiḥ // 2.128 //	viSrAntiH eka-kzaNa-gA sa-azwottaraSata-sTitiH // 2.128 //
   ekaiva śatasaṃkhyā ca sā sthitiḥ pravibhāvyate	ekA-eva Sata-saMKyA ca sA sTitiH praviBAvyate
   itthaṃ yat kiṃcanaitasya vacanaṃ yogino bhavet // 2.129 //	itTam yat kiMcana-etasya vacanam yoginaH Bavet // 2.129 //
   tad eva japayogāya jāyate 'nuttare pathi	tat eva japa-yogAya jAyate anuttare paTi
   antarindhanasadbhāvam anapekṣyaiva nityaśaḥ // 2.130 //	antarinDana-sadBAvam anapekzya-eva nityaSas // 2.130 //
   yo jvalaty akhilākṣaughaprasṛtāgraśikhāśataḥ	yaH jvalati aKila-akza-oGa-prasRta-agra-SiKA-SataH
   tatraiva sarvabhāvānāṃ praveśaś ced vimṛśyate // 2.131 //	tatra-eva sarva-BAvAnAm praveSaH ced vimRSyate // 2.131 //
   nūnaṃ jhaṭiti saṃpluṣṭasthūlarūpatayā haṭhāt	nUnam Jawiti saMpluzwa-sTUla-rUpa-tayA haWAt-
   yānti bodhamahājvālāprakāśaikyaṃ svarūpataḥ	yAnti boDa-mahA-jvAlA-prakASa-Ekyam svarUpataH
   sa eṣa paramo homo bhairavīyakrame mataḥ // 2.132 //	saH eza paramaH homaH BEravIya-krame mataH // 2.132 //
   nijabodhajaṭharahutabhuji bhāvāḥ samyagsamarpitā yuktyā	nija-boDa-jaWara-hutaBuji BAvAH samyak-samarpitA yuktyA
   jahati bhedavibhāgaṃ nijaśaktyā taṃ samindhate yasmāt // 2.133 //	jahati Beda-viBAgam nija-SaktyA tam saminDate yasmAt // 2.133 //
   yad eva svecchayā sṛṣṭisvābhāvyavaśataḥ puraḥ	yat eva sva-icCayA sRzwi-svABAvyavaSataH puras-
   nirmimīte 'kṣaviṣayaṃ taddhyānāyāvakalpate // 2.134 //	nirmimIte akza-vizayam tat-DyAnAya-avakalpate // 2.134 //
   nirākāre hi ciddhāmni viśvākṛtimaye sati	nirAkAre hi cit-DAmni viSva-AkRti-maye sati
   phalārthināṃ kācid eva dhyeyatvenākṛtiḥ sthitā // 2.135 //	Pala-arTinAm kAcid eva Dyeya-tvena-AkRtiH sTitAH // 2.135 //
   yathā hy abhedasaṃpūrṇe bhāve 'py udakam āharan	yaTA hi aBeda-saMpUrNe BAve api udakam Aharan
   anyākṛtyapahānena ghaṭam arthayate rasāt // 2.136 //	anya-AkRti-apahAnena Gawam arTayate rasAt // 2.136 //
   tathaiva parameśānaniyatipravijṛmbhaṇāt	taTA-eva parameSAna-niyati-pravijRmBaNAt-
   kācid evākṛtiḥ kāṃcit sūte phalavikalpanam // 2.137 //	kAcid eva-AkRtiH kAMcid sUte Pala-vikalpanam // 2.137 //
   yas tu saṃpūrṇacidvṛttir na phalaṃ nāma vāñchati	yaH tu saMpUrNa-cit-vRttiH na Palam nAma vAQCati
   tasya viśvākṛti dhyānaṃ sarvadaiva vijṛmbhate // 2.138 //	tasya viSva-AkRti DyAnam sarvadA-eva vijRmBate // 2.138 //
   kulayogina udriktabhairavīyarasāsavāt	kula-yoginaH udrikta-BEravIya-rasa-AsavAt
   ghūrṇamānasya yaḥ kaścit ko 'py udeti yathā tathā // 2.139 //	GUrNamAnasya yaH kaScid kaH api udeti yaTA taTA // 2.139 //
   śarīragaḥ samāveśo modanadrāvaṇātmakaḥ	SarIra-gaH samAveSaH modana-drAvaNa-AtmakaH
   sā svīkṛtajaganmudrā mudrā nairuttare mate // 2.140 //	sA svIkRta-jagat-mudrA mudrA nEH-uttare mate // 2.140 //
   eṣa yogavidhiḥ ko 'pi kasyāpi hṛdi vartate	eza yoga-viDiH kaH api kasya-api hRdi vartate
   yasya prasīdec ciccakraṃ drāg apaścimajanmanaḥ // 2.141 //	yasya prasIdet cit-cakram drAk apaScima-janmanaH // 2.141 //
   lokenālokyamāno 'pi dehabandhavidhau sthitaḥ	lokena-AlokyamAnaH api deha-banDa-viDO sTitaH
   abhyeti yoge rūḍhe na kṣaṇāt kām api saṃvidam // 2.142 //	aByeti yoge rUXe na kzaNAt kAm api saMvidam // 2.142 //
   atraiva tv asmatpūrvācāryāṇāṃ dhiṣaṇā bhṛśam	atra-eva tu asmad-pUrva-AcAryANAm DizaNA BRSam
   abhyamaṃsta bhavābhogavibhramāṇām asaṃnidhim // 2.143 //	aByamaMsta Bava-ABoga-viBramANAm asaMniDim // 2.143 //
   vedasāṃkhyabhavedvādanyāyasaugatalaukikaiḥ	veda-sAMKya-Bavet-vAda-nyAya-sOgata-lOkikEH
   pañcarātrakriyāśāstrasiddhāntādibhir alam // 2.144 //	paQca-rAtra-kriyA-SAstra-sidDAnta-AdiBiH alam // 2.144 //
   ucitocitavijñānakriyāṃśaparibhāvakaiḥ	ucita-ucita-vijQAna-kriyA-aMSa-pariBAvakEH
   sarvaiḥ svaprakriyārūḍhais tais tair aucityayogataḥ // 2.145 //	sarvEH sva-prakriyA-ArUXEH tEH tEH Ocitya-yogataH // 2.145 //
   yatra bījasamāvāpakhananādikriyākramaḥ	yatra bIja-samAvApa-Kanana-Adi-kriyA-kramaH
   akāri śāmbhavānekaśākhābhir yo 'tivistṛtaḥ // 2.146 //	akAri SAmBavAneka-SAKABiH yaH ati-vistRtaH // 2.146 //
   tasya cidbhairavataroḥ phalam etad anuttaram	tasya cit-BEH-ava-taroH Palam etat anuttaram
   āśramasthitacaryādyair jaṭājālāñjanāntakaiḥ // 2.147 //	ASrama-sTita-caryA-AdyEH jawA-jAla-aQjana-antakEH // 2.147 //
   kṛtair apy akṛtair vāpi yatra no labhyate bhidā	kRtEH api akRtEH vA-api yatra naH laByate BidA
   tatraiva yoge viśrāntiṃ kurvatāṃ bhavaḍambaraḥ // 2.148 //	tatra-eva yoge viSrAntim kurvatAm Bava-xambaraH // 2.148 //
   himānīva mahāgrīṣme svayam eva pralīyate	himAni-iva mahA-grIzme svayam eva pralIyate
   alaṃ hi carvyamāṇe 'smin sarase saṃvidāsave // 2.149 //	alam hi carvyamANe asmin sarase saMvid-Asave // 2.149 //
   nissaranti mahollāsāḥ saṃkhyā yeṣu na vidyate	nissaranti mahA-ullAsAH saMKyA yezu na vidyate
   teṣāṃ ca prakaṭīkārāḥ kṛtāḥ prāg eva vistarāt	tezAm ca prakawIkArAH kRtAH prAk eva vistarAt-
   atrābhinavagupte tu tattve ke 'py eva niścitāḥ // 2.150 //	atra-aBinavagupte tu tattve ke api eva niScitAH // 2.150 //
   ketakīkusumasaurabhe bhṛśaṃ	ketakI-kusuma-sOraBe BRSam
   \ \ bhṛṅga eva rasiko na makṣikā	\ \ BRFgaH eva rasikaH na makzikA
   bhairavīyaparamādvayārcane	BEravIya-parama-advaya-arcane
   \ \ ko 'pi rajyati na bhedamohitaḥ // 2.151 //	\ \ kaH api rajyati na Beda-mohitaH // 2.151 //
   nātra rūḍhasya kāryā syāc chuddhiḥ kācana kutracit	na-atra rUXasya kAryA syAt SudDiH kAcana kutracid-
   aśuddhaṃ hi jagaty eva bhairavātmani kiṃ bhavet // 2.152 //	aSudDam hi jagati eva BErava-Atmani kim Bavet // 2.152 //
   aśuddhe 'pi ca bhūtaughe kena śuddhiḥ pratāyatām	aSudDe api ca BUta-oGe kena SudDiH pratAyatAm
   anavasthā bhaved itthaṃ vyarthānyonyāśritis tathā // 2.153 //	anavasTA Bavet itTam vyarTa-anyonya-ASritiH taTA // 2.153 //
   aśuddhasya tirodhāne śuddhaṃ nāma pralīyate	aSudDasya tiroDAne SudDam nAma pralIyate
   pratiyogikṛtaṃ tad dhi na svabhāvena nīlavat // 2.154 //	pratiyogi-kRtam tat Di na svaBAvena nIla-vat // 2.154 //
   ata eva na kaścid āgraho	atas eva na kaScid AgrahaH-
   \ \ viṣayāṇāṃ grahaṇe 'py apohane	\ \ vizayANAm grahaNe api apohane
   parabhairavasaṃvidātmanaḥ	para-BErava-saMvid-AtmanaH
   \ \ svayam evocchalitā hi bhoktṛtā // 2.155 //	\ \ svayam eva-ucCalitAH hi BoktRtA // 2.155 //
   sarvam atra vihitaṃ yato 'munā	sarvam atra vihitam yatas amunA
   \ \ vartmanā sakalam eva yujyate	\ \ vartmanA sakalam eva yujyate
   mārgam evam apahastya kiṃcana	mArgam evam apahastya kiMcana
   \ \ kāpi naiva nanu yāti yuktatām // 2.156 //	\ \ kA-api na-eva nanu yAti yukta-tAm // 2.156 //
   tathāhi dīkṣā nāmeyaṃ yā malānāṃ nikartanī	taTA-hi dIkzA nAma-iyam yA malAnAm nikartanI
   sa bhedavādināṃ pakṣe kathaṃ nāmopapadyate // 2.157 //	sa Beda-vAdinAm pakze kaTam nAma-upapadyate // 2.157 //
   tathāhi yo malo nāma sa kathaṃ citsvabhāvakam	taTA-hi yaH malaH nAma sa kaTam cit-svaBAvakam
   ātmānam āvṛṇīte kva vibhor āvaraṇakriyā // 2.158 //	AtmAnam AvRNIte kva viBoH AvaraNa-kriyA // 2.158 //
   na ca prakāśas tamasā jātu saṃvriyate yataḥ	na ca prakASaH tamasA jAtu saMvriyate yatas-
   prakāśodaya evāyaṃ dhvāntadhvaṃsakriyātmakaḥ // 2.159 //	prakASa-udayaH eva-ayam DvAnta-DvaMsa-kriyA-AtmakaH // 2.159 //
   kiṃ cāvaraṇam uktaṃ hi raśmyāder gatidharmiṇaḥ	kim ca-AvaraNam uktam hi raSmi-AdeH gati-DarmiNaH
   pratīghātātmakaṃ tat kiṃ vibhor agatidharmiṇaḥ // 2.160 //	pratIGAta-Atmakam tat kim viBoH agati-DarmiNaH // 2.160 //
   api vā jñeyatāmātratirodhānaṃ hi saṃvṛteḥ	api vA jQeya-tA-mAtra-tiroDAnam hi saMvRteH
   paṭādinā ghaṭādeḥ syān na svarūpānyathāsthitiḥ // 2.161 //	pawa-AdinA Gawa-AdeH syAt na svarUpAni-aTA-sTitiH // 2.161 //
   na cātmānaś cidātmatvāj jñeyatvam adhiśerate	na ca-AtmAnaH cit-Atma-tvAt jQeya-tvam aDiSerate
   tadāvaraṇam eṣāṃ tu śabdeṣv api na śobhate // 2.162 //	tad-AvaraNam ezAm tu Sabdezu api na SoBate // 2.162 //
   nanv īśvarasya te jñeyā aṇavaḥ katham īdṛśam	nanu ISvarasya te jQeyAH aNavaH kaTam IdRSam
   cidātmakaṃ hi na jñeyaṃ cidātmatvatirohiteḥ // 2.163 //	cit-Atmakam hi na jQeyam cit-Atma-tva-tirohiteH // 2.163 //
   saṃvij jñeyeti śabdo 'yaṃ vandhyā me jananītyadaḥ	saMvid jQeyA-iti SabdaH ayam vanDyA me jananI-iti-adaH
   vākyaṃ smarayatīva svaṃ svātmasabrahmacāri yat // 2.164 //	vAkyam smarayati-iva svam sva-Atma-sabrahmacAri yat // 2.164 //
   kiṃceśvarasya sārvajñyaṃ tāvatā pratihanyate	kiMca-ISvarasya sArvajQyam tAvatA pratihanyate
   āvṛtān vetti nāṇūn yan na tv eṣāṃ kācana kṣatiḥ // 2.165 //	AvRtAn vetti na-aNUn yat na tu ezAm kAcana kzatiH // 2.165 //
   nanv anāvaraṇe nīle jñātur āvaraṇe sati	nanu anAvaraNe nIle jQAtuH AvaraNe sati
   na darśanaṃ tathā bādhā na sarvajño malāvṛtaḥ // 2.166 //	na darSanam taTA bADA na sarvajQaH mala-AvRtaH // 2.166 //
   maivaṃ tatra hi dṛgraśmīn gacchataḥ pratihanti tat	mA-evam tatra hi dRS-H-aSmIn gacCataH pratihanti tat-
   paṭādi na tu vijñātur asty āvaraṇasaṃbhavaḥ // 2.167 //	pawa-Adi na tu vijQAtuH asti AvaraNa-saMBavaH // 2.167 //
   malaś cāvyāpako vyāptur āvāraka iti sphuṭam	malaH ca-avyApakaH vyAptuH AvArakaH iti sPuwam
   ghaṭe 'pi vyomni saṃdadhyād aśūnyatvaṃ svarūpataḥ // 2.168 //	Gawe api vyomni saMdaDyAt aSUnya-tvam svarUpataH // 2.168 //
   ātmanaś cādhikāryatvān malaḥ kiṃcitkaro na cet	AtmanaH ca-aDikArya-tvAt malaH kiMcitkaraH na ced-
   katham āvaraṇāyaiṣa śakto nanu ca bhoḥ kimu // 2.169 //	kaTam AvaraNAya-eza SaktaH nanu ca BoH kimu // 2.169 //
   malasadbhāvamātraṃ hi tasyāvaraṇam ucyate	mala-sadBAva-mAtram hi tasya-AvaraNam ucyate
   malena sadvitīyo 'ṇur āvṛtaḥ paribhāṣyate // 2.170 //	malena sa-dvitIyaH aNuH AvRtaH pariBAzyate // 2.170 //
   hantānena nayenaiṣa śivam uktātmanām api	hanta-anena nayena-eza Sivam ukta-AtmanAm api
   sthitam āvaraṇaṃ satyaṃ malasadbhāvamātrataḥ // 2.171 //	sTitam AvaraNam satyam mala-sadBAva-mAtrataH // 2.171 //
   kiṃcāvṛto malenātmā malam eva na vetti kim	kiMca-AvRtaH malena-AtmA malam eva na vetti kim
   tadasaṃvedane tasya kiṃ malāntaram ucyate // 2.172 //	tad-asaMvedane tasya kim mala-antaram ucyate // 2.172 //
   nanv ataḥ kiṃ malaṃ vettu tarhi vidyākale vinā	nanu atas kim malam vettu tarhi vidyA-kale vinA
   sarvajñatvaṃ bhavet tac ca malaṃ viditam eva sat // 2.173 //	sarvajQa-tvam Bavet tat ca malam viditam eva sat // 2.173 //
   jahātv ātmābhyupāyais tais tair vicitraiḥ prakalpitaiḥ	jahAtu Atma-aByupAyEH tEH tEH vicitrEH prakalpitEH
   kiṃcāvaraṇam etena yasyātmani bhavet tataḥ // 2.174 //	kiMca-AvaraNam etena yasya-Atmani Bavet tatas // 2.174 //
   ghaṭādau jñātṛkartṛtve katham asya bhaviṣyataḥ	Gawa-AdO jQAtR-kartR-tve kaTam asya BavizyataH
   nanu vidyākale kiṃcijjñatvakartṛtvapade smṛte // 2.175 //	nanu vidyA-kale kiMcijjQatva-kartR-tva-pade smRte // 2.175 //
   itthaṃ vimūḍhamatayo vañcyante na tu paṇḍitāḥ	itTam vimUXa-matayaH vaQcyante na tu paNxitAH
   jaḍasvabhāvā māyaiṣā tatsūtiś ca kalādikaḥ // 2.176 //	jaxa-svaBAvA mAyA-ezA tad-sUtiH ca kalA-AdikaH // 2.176 //
   acidātmā kathaṃkāraṃ cidabhivyañjanakṣamaḥ	acit-AtmA kaTaMkAram cit-aBivyaQjana-kzamaH
   abhivyaktā ca cidvibhvī kiṃcittvādiviśeṣaṇaiḥ // 2.177 //	aBivyaktA ca cit-viBvI kiMcittva-Adi-viSezaNEH // 2.177 //
   viśeṣyatāṃ kathaṃ nāma sāṃśavastūcitaṃ hi tat	viSezyatAm kaTam nAma sa-aMSa-vastu-ucitam hi tat-
   nanu devaḥ kalāvidyākaraṇo vyañjayec citam // 2.178 //	nanu devaH kalA-vidyA-karaNaH vyaQjayet citam // 2.178 //
   vyanaktu sarvato hanta nāsyāśaktir athāgrahaḥ	vyanaktu sarvatas hanta na-asya-aSaktiH aTa-agrahaH
   male sadātane cāsya kathaṃ muktir bhaviṣyati // 2.179 //	male sadAtane ca-asya kaTam muktiH Bavizyati // 2.179 //
   roddhrī śaktir malasyāsti sā ca kvāpi nivartate	rodDrI SaktiH malasya-asti sA ca kvApi nivartate
   kvāpi pravartate ceti dhig idaṃ mūḍhabhāṣitam // 2.180 //	kvApi pravartate ca-iti Dik idam mUXa-BAzitam // 2.180 //
   jaḍānāṃ ko 'nusandhiḥ syāt taṃ vinaitat kathaṃ bhavet	jaxAnAm kaH anusanDiH syAt tam vinA-etat kaTam Bavet-
   atha tatrāpi devasya hetutābhyupagamyate // 2.181 //	aTa tatra-api devasya hetu-tA-aByupagamyate // 2.181 //
   kiṃ nimittam asau devas tāṃ śaktiṃ saṃpravartayet	kim nimittam asO devaH tAm Saktim saMpravartayet-
   pravartitāṃ vā kiṃ nāma tāṃ nivartayate punaḥ // 2.182 //	pravartitAm vA kim nAma tAm nivartayate punar // 2.182 //
   svātantryād iti cet pūrṇaṃ tad evāśrīyate na kim	svAtantryAt iti ced pUrNam tat eva-ASrIyate na kim
   malasya dhvāntarūpasya na ca pāko 'pi kaścana // 2.183 //	malasya DvAnta-rUpasya na ca pAkaH api kaScana // 2.183 //
   sa hy anyatādānayogād dhanty amuṣya dhruvātmatām	sa hi anyatA-dAna-yogAt Danti amuzya Druva-Atma-tAm
   etena malasaṃbandhād īśvarecchāpracoditaḥ // 2.184 //	etena mala-saMbanDAt ISvara-icCA-pracoditaH // 2.184 //
   bhogalobhakathāviṣṭaḥ paśuḥ sṛṣṭyānugṛhyate	Boga-loBa-kaTA-AvizwaH paSuH sRzwyA-anugRhyate
   iti yad bhaṇyate mūlahataṃ taj, janitaṃ tataḥ // 2.185 //	iti yat BaNyate mUla-hatam taj, janitam tatas // 2.185 //
   svātmapracchādanakrīḍāmātram eva malaṃ viduḥ	sva-Atma-pracCAdana-krIxA-mAtram eva malam viduH
   svatantro hi vibhuḥ kiṃcit kiṃ na svātmani bhāsayet // 2.186 //	svatantraH hi viBuH kiMcid kim na sva-Atmani BAsayet // 2.186 //
   yac ca karmāpi nāmeṣṭaṃ tattāvat pravicāryatām	yat ca karma-api nAma-izwam tat-tAvat pravicAryatAm
   tathāhi karmasaṃbandhe sthite 'pi katham īdṛśaḥ // 2.187 //	taTA-hi karma-saMbanDe sTite api kaTam IdRSaH // 2.187 //
   mahāpralaya ucyate mahāsṛṣṭiś ca vā katham	mahApralayaH ucyate mahA-sRzwiH ca vA kaTam
   nanv īśvarecchayā tatra karmāyāti niruddhatām // 2.188 //	nanu ISvara-icCayA tatra karma-AyAti nirudDa-tAm // 2.188 //
   karmaudāsīnyayogena karmāntaram apekṣatām	karma-OdAsInyayogena karma-antaram apekzatAm
