   dvitīya uddyotaḥ	dvitIyaH uddyotaH
   'pradhānaṃprayojakamaṃśamevaṃ vibhajye' tyanvayaḥ /	apraDAnaMprayojakam aMSam evam viBajye a tyanvayaH /
   pṛthagavyavasthāpyata iti /	pRTak avyavasTApyate iti /
   pṛthak rasadhvanitvabhāvadhvanitvādibhinnarūpema /	pRTak rasa Dvani tva BAva Dvani tva Adi Binna rUpema /
   atra dṛṣṭāntamāha  yatheti /	atra dRzwAntam Aha  yaTA iti /
   gandhayuktiḥ gandhadravyayojanā /	ganDa yuktiH ganDa dravya yojanA /
   eketi /	ekA iti /
   ekāsvādaḥ yaḥ sammūrcchitasya vyāptasya āmodasya upabhogaḥ tasminnapi /	eka AsvAdaH yaH sammUrcCitasya vyAptasya Amodasya upaBogaH tasmin= api /
   māṃsīgandhadravyaviśeṣaḥ /	mAMsI ganDa dravya viSezaH /
   itīti pṛthagavyavasthāpyata ityasyānuṣaṅgaḥ /	iti iti pRTak avyavasTApyate iti asya anuzaFgaH /
   vibhāveti /	viBAva iti /
   vibhāvādīnāṃ trayāṇāṃ saṃyojanena taccarvaṇāyā uditā utpannā	viBAva AdInAm trayANAm saMyojanena tad carvaNAyAH uditAH utpannA
   sthāyipratipattiḥ yasya /	sTAyi pratipattiH yasya /
   kṛccheṇeti /	kRcCeNa iti /
   ratnāvalyāṃ rājño vidūṣakaṃ pratīyamuktiḥ /	ratna AvalyAm rAjQaH vidUzakam pratIya muktiH /
   asyā ityasyoruyugamityādibhiḥ pañcamiḥ sambandhaḥ /	asyAH iti asya Uru yugam iti AdiBiH paQcamiH sambanDaH /
   trivalyeva taraṅgaḥ taraṅgatulyā trivalī vā tena viṣame nimnonnate /	trivalI A iva taraFgaH taraFga tulyA trivalI vA tena vizame nimna unnate /
   tṛṣiteva tṛṣitatvādiva /	tRzitA iva tRzita tvAt iva /
   jalalavāḥ aśrukaṇāḥ /	jala lavAH aSru kaNAH /
   tatprasyandinīti /	tat prasyandinI iti /
   thathā likhite iti bodhyam /	TaTA liKite iti boDyam /
   atroruyugasya nitambasya cātiviśālatvaṃ madhyasya tanutvaṃ	atra Uru yugasya nitambasya ca ati viSAla tvam maDyasya tanu tvam
   stanayormahatvaṃ ca gamyata iti saundaryātiśayo jalalavetyādinā nāyikāyā	stanayoH mahatvam ca gamyate iti sOndarya atiSayaH jalalava ityAdinA nAyikAyAH 
   virahaduḥkhātiśayasca vyajyate /	viraha duHKa atiSayaH ca vyajyate /
   kasyāścidaraṇyabhramaṇavṛttāntasya cātra samādhiḥ /	kasyAScid araNya BramaNa vRttAntasya ca atra samADiH /
   nāyiketi /	nAyikA iti /
   nāyikākāreṇa likhitanāyikāpratikṛtyā hetunā anuvarṇyamānaṃ narmasacivaṃ	nAyikA AkAreNa liKita nAyikA pratikRtyA hetunA anuvarNyamAnam narma sacivam
   pratimaharvarṇyabhānaṃ svātmapratikṛtyā likhitanāyakapratikṛtyā pavitritaṃ	pratima harvarNya BAnam sva Atma pratikRtyA liKita nAyaka pratikRtyA pavitritam
   ca, yadvā  nāyikākāreṇa rasādirartho hi saheva vācyenāvabhāsate /	ca, yat vA   nAyikA AkAreNa rasa AdiH arTaH hi saha iva vAcyena avaBAsate /
   sa cāṅgitvanāvabhāsamāno dhvanerātmā /	sa ca aFgitvana avaBAsamAnaH DvaneH AtmA /
   idānīṃ rasavadalaṅkārādalakṣyakramadyotanātmano dhvanervibhakto viṣaya iti	idAnIm rasavat alaFkArAt alakzya krama dyotana AtmanaH DvaneH viBaktaH vizayaH iti
   pradarśyate   	pradarSyate   
   vācya vācaka cārutva hetūnāṃ vividhātmanām /	vAcya vAcaka cAru tva  hetUnAm viviDa AtmanAm /
   rasādi paratā yatra sa dhvaner viṣayo mataḥ // DhvK_2.4 //	rasa Adi  para tA yatra sa DvaneH vizayaH mataH // DhvK_2.4 //
   vācyavācakacārutvahetunāṃ vividhātmanām /	vAcya vAcaka cAru tva hetunAm viviDa AtmanAm /
   rasādiparatā yatra sa dhvanerviṣayo mataḥ // 4 //	rasa Adi para tA yatra sa DvaneH vizayaH mataH // 4 //
   locanam parasparāsthābandharūpo ratisthāyibhāvo	locanam paraspara AsTA banDa rUpaH rati sTAyi BAvaH 
   vibhāvānubhāvasaṃyojanavaśena carvaṇārūḍha iti /	viBAva anuBAva saMyojana vaSena carvaNa ArUXaH iti /
   tadalaṃ bahunā /	tat alam bahunA /
   sthitametat  rasādirartho 'ṅgitvena bhāsamāno 'saṃlakṣyakramavyaṅgyasya	sTitam etat   rasa AdiH arTaH aFgi tvena BAsamAnaH asaMlakzya krama vyaFgyasya
   dhvaneḥ prakāra iti /	DvaneH prakAraH iti /
   saheveti /	saha iva iti /
   ivaśabdenāsaṃlakṣyatā vidyamānatve 'pi kramasya vyākhyātā /	iva Sabdena asaMlakzya tA vidyamAna tve api kramasya vyAKyAtAH /
   vācyeneti /	vAcyena iti /
   vibhāvānubhāvādinā // 3 //	viBAva anuBAva AdinA // 3 //
   nanvaṅgitvenāvabhāsamāna ityucyate; tatrāṅgatvamapi kimasti rasāderyena	nanu aFgi tvena avaBAsamAnaH iti ucyate; tatra aFga tvam api kim asti rasa AdeH yena
   tannirākaraṇāyaitadviśeṣaṇamityabhiprāyeṇopakramate   idānīmityādinā /	tad nirAkaraNAya etat viSezaNam iti aBiprAyeNa upakrama te   idAnIm ityAdinA /
   ahgatvamasti rasādīnāṃ rasavatpreya ūrjasvisamāhitālahkārarūpatāyāmiti	ahga tvam asti rasa AdInAm rasavat preyaH Urjasvi samAhita AlahkAra rUpa tAyAm iti
   bhāvaḥ /	BAvaH /
   anayā ca bhaṅgyā rasavadādiṣvalaṅkāreṣu rasādidhvanernāntarbhāva iti	anayA ca BaFgyA rasa vat Adizu alaFkArezu rasa Adi DvaneH na antarBAvaH iti
   sūcayati /	sUcayati /
   pūrvaṃ hi samāsoktyādiṣu vastudhvanernāntarbhāva iti darśitam /	pUrvam hi samAsa ukti Adizu vastu DvaneH na antarBAvaH iti darSitam /
   vācyaṃ ca vācakaṃ ca taccārutvahetavaśceti dvandvaḥ /	vAcyam ca vAcakam ca tat cAru tva hetavaH ca iti dvandvaH /
   vṛttāvapi śabdāścālaṅkārāścārthāścālaṅkārāśceti dvandvaḥ /	vRttO= api SabdAH ca alaFkArAH ca arTAH ca alaFkArAH ca iti dvandvaH /
   mata iti /	mataH iti /
   pūvamevaitaduktamityarthaḥ /	pUvam eva etat uktam iti arTaH /
   nanūktaṃ bhaṭṭanāyakena   "raso yadā paragatatayā pratīyate tarhi	nanu uktam BawwanAyakena    "rasaH yadA para gata tayA pratIyate tarhi
   tāṭasthyameva syāt /	tAwasTyam eva syAt /
   na ca bālapriyā kartrā anuvarṇyamānā dṛśyamānā, 'nirvarṇyamāne'ti pāṭhaḥ	na ca bAlapriyA kartrA anuvarNyamAnA dRSyamAnA, anirvarNyamAne ati pAWaH
   sādhiṣṭhaḥ, yā svātmapratikṛtistayā pavitritaṃ yaccitraphalakaṃ	sa aDizWaH, yA sva Atma pratikRtiH tayA pavitritam yat citra Palakam
   tadavalokanādityarthaḥ /	tad avalokanAt iti arTaH /
   prabuddha iti śeṣaḥ /	prabudDaH iti SezaH /
   carvaṇārūḍha iti /	carvaNa ArUXaH iti /
   sahṛdayacarvaṇāspadamityarthaḥ // 3 //	sahRdaya carvaNa Aspadam iti arTaH // 3 //
   vācyetyādikārikāyāṃ 'śabdālaṅkārā' ityādivṛttau cārthāntarabhramaḥ	vAcya iti Adi kArikAyAm aSabda alaFkArA a ityAdi vRttO ca arTa antara BramaH
   syādityato vivakṣitamarthaṃ vyācaṣṭe   vācyatrcetyādi /	syAt iti atas vivakzitam arTam vyAcazwe   vAcyatrca ityAdi /
   prasaṅgādrasakharūpaṃ vyavasthāpayiṣyannādau	prasaFgAt rasaKa rUpam vyavasTApayizyan= AdO
   paramatānyupanyasyati  nanūktamityādi /	para ma tAni upanyasyati  nanu uktam ityAdi /
   nanviti śaṅkādyotakaṃ bhaṭṭanāyakādyuktānāṃ pūrvapakṣatvamagavamayati /	nanu iti SaFkA Adyotakam Bawwa nAyaka Adi uktAnAm pUrva pakza tvam agavamayati /
   kathamuktamityatrāha 'rasa' ityādya 'pradānameve'tyantena /	kaTam uktam iti atra aha  arasa a iti Adya apradAnam eve atyantena /
   rasa iti /	rasaH iti /
   ratyādirūpaḥ śṛṅgārādirasa ityarthaḥ /	rati Adi rUpaH SRFgAra Adi rasaH iti arTaH /
   yadeti yadītyarthe /	yadA iti yadi iti arTe /
   pareti /	parA iti /
   sahṛdayādanyetyarthaḥ /	sahRdayAt anyA iti arTaH /
   tāṭasthamiti /	tAwa sTam iti /
   sahṛdayāsambandhitvamityarthaḥ /	sahRdaya asambanDi tvam iti arTaH /
   tāṭasthye sati svarasanīyatvaṃ na bhavediti bhāvaḥ /	tAwasTye sati svarasanIya tvam na Bavet iti BAvaH /
   na cetyādi /	na ca ityAdi /
   'asau svagatatvena na ca pratīyata' iti sambandhaḥ tatpratyāyakābhāvāditi	aasO sva gata tvena na ca pratIyata a iti sambanDaH tad pratyAyaka aBAvAt iti
   bhāvaḥ /	BAvaH /
   svagatvena pratītyabhyupagame bādhakañcāha  svātmetyādi /	sva ga tvena prati iti aByupagame bADakaQcA aha  svAtmA ityAdi /
   locanam svagatatvena rāmādicaritamayātkāvyādasau pratīyate /	locanam sva gata tvena rAma Adi carita mayAt kAvyAt asO pratIyate /
   svātmagatatvena ca pratītausvātmani rasasyotpattirevābhyupagatā syāt /	sva Atma gata tvena ca pratItOsvAtmani rasasya utpattiH eva aByupagatA syAt /
   sā cāyuktā sītāyāḥ /	sA ca ayuktA sItAyAH /
   sāmājikaṃ pratyavibhāvatvāt /	sAmAjikam pratyaviBAva tvAt /
   kāntātvaṃ sādhāraṇaṃ vāsanāvikāsahetuvibhāvatāyāṃ prayojakamiti	kAntA tvam sADAraNam vAsanA vikAsa hetu viBAvatAyAm prayojakam iti
   cet   devatāvarmanādau tadapi katham /	cet   devatA varmanAdO tat api kaTam /
   na ca svakāntāsmaraṇaṃ madhye saṃvedyete /	na ca sva kAnta asmaraNam maDye saMvedyete /
   alokasāmānyānāṃ ca rāmādīnāṃ ye samudrasetubandhādayo vibhāvāṃste kathaṃ	aloka sAmAnyAnAm ca rAma AdInAm ye samudra setu banDa AdayaH viBAvAn= te kaTam
   sādhāraṇyaṃ bhajeyuḥ /	sADAraNyam BajeyuH /
   na cotsāhādimān rāmaḥ smaryate, ananubhūtatvāt /	na ca utsAha AdimAn rAmaH smaryate, ananuBUta tvAt /
   śabdādapi tatpratipattau na rasopajanaḥ /	SabdAt api tad pratipattO na rasa upajanaH /
   bālapriyā svātmagatatvena sahṛdayātmagatatvena /	bAla priyA sva Atma gata tvena sahRdaya Atma gata tvena /
   svātmanītyādi /	sva Atmani ityAdi /
   pratipattuḥ svacittavṛttereva pratyakṣarūpā pratītirbhavati, tathā ca	pratipattuH sva citta vRtteH eva pratyakza rUpA pratItiH Bavati, taTA ca
   taccittavṛtterutpattirāvasyakī /	tad citta vRtteH utpattiH AvasyakI /
   viṣayaṃ vinā pratyakṣāyogāditi bhāvaḥ /	vizayam vinA pratyakza ayogAt iti BAvaH /
   nanu rasa utpadyatāmityatrāha sā cetyādi. sā ca svātmani rasotpatiśca /	nanu rasaH utpadyatAm iti atra aha sA ca ityAdi. sA ca sva Atmani rasa utpatiH ca /
   pūrvaṃ rāmādīti nirdeśāt sītāyā ityuktam /	pUrvam rAma Adi iti nirdeSAt sItAyAH iti uktam /
   sītāderityarthaḥ /	sItA AdeH iti arTaH /
   sāmājikamiti /	sAmAjikam iti /
   sahṛdayamityarthaḥ /	sahRdayam iti arTaH /
   śaṅkate   kāntātvāmityādi /	SaFkate   kAntA tvAm ityAdi /
   sādhāraṇaṃ sotāsādhāraṇam /	sADAraNam sotAsa ADAraNam /
   vāsaneti /	vAsanA iti /
   vāsanāyāḥ sahṛdayagataratyādivāsanāyāḥ yo vikākaudbodhaḥ tasya heturyo	vAsanAyAH sahRdaya gata rati Adi vAsanAyAH yaH vikAkA OdboDaH tasya hetuH yaH 
   vibhāvaḥ /	viBAvaH /
   tasya bhāvastattā tasyāṃ vāsanāvikāsahetutārūpāyāṃ vibhāvatāyāmityarthaḥ /	tasya BAvaH tat tA tasyAm vAsanA vikAsa hetu tAru upAyAm viBAvatAyAm iti arTaH /
   heturiti pāṭhe hetuḥ sanniti yojanā /	hetuH iti pAWe hetuH san= iti yojanA /
   prayojakamiti /	prayojakam iti /
   tathā ca sītāyāḥ mānuṣītvena sītādau sahṛdayānāṃ kāntātvasaṃvedanaṃ	taTA ca sItAyAH mAnuzI tvena sItA AdO sahRdayAnAm kAntA tva saMvedanam
   bhavatīti bhāvaḥ /	Bavati iti BAvaH /
   prativakti   devatetyādi /	prativakti   devata ityAdi /
   tadapi kāntātvasaṃvedanamapi /	tat api kAntA tva saMvedanam api /
   kathamiti /	kaTam iti /
   devatāsvamātrādernāyikātvena varṇanasthale devatādāvāradhyatvajñānena	devatA sva mAtra AdeH nAyikA tvena varNana sTale devatAdOvAraDya tva jQAnena
   pratibandhāttatra kāmyatvarūpakāntātvasaṃvedanaṃ bhavatītyarthaḥ /	pratibanDAt tatra kAmya tva rUpa kAntAtva saMvedanam Bavati iti arTaH /
   nanu kāvyāditaḥ sītādijñāne jāte sahṛdayānāṃ svakāntāsmaraṇaṃ jāyate, tena	nanu kAvya At itaH sItA Adi jQAne jAte sahRdayAnAm sva kAnta asmaraNam jAyate, tena
   ca tadvāsanodvodha ityata āha   na cetyādi /	ca tad vAsanA udvoDaH iti atas Aha   na ca ityAdi /
   na saṃvedyate sahṛdayairna cānubhūyate /	na saMvedyate sahRdayEH na ca anuBUyate /
   vīrarasaviṣaye 'pyāha   loketyādi /	vIra rasa vizaye api Aha    loka ityAdi /
   alokasāmānyānāṃ lokasādhāraṇabhinnām /	aloka sAmAnyAnAm loka sADAraNa BinnAm /
   vibhāvāḥ sahṛdayagatotsāhavibhāvāḥ /	viBAvAH sahRdaya gata utsAha viBAvAH /
   sādhāraṇyaṃ sarvasādhāramatvam /	sADAraNyam sarva sADAram atvam /
   kathaṃ bhajeyuriti /	kaTam BajeyuH iti /
   samudrasetubandhanānau utsāhahetuḥ svakṛtisādhyatvabuddhirhṛdayasaṃvādo vā	samudra setu banDa nAnO utsAha hetuH sva kRti sADya tva budDiH hRdaya saMvAdaH vA
   sahṛdayānāṃ notpadyeteti bhāvaḥ /	sahRdayAnAm na utpadyeta iti BAvaH /
   rāmādigatotsāhādisthāyijñānamapi sahṛdayānāṃrasodbodhe hetustadapi	rAma Adi gata utsAha Adi sTAyi jQAnam api sahRdayAnAMrasa udboDe hetuH tat api
   durghaṭamityāha   na cetyādinā /	durGawam iti Aha   na ca ityAdinA /
   nanu kāvyādanubhavarūpā tatpratītirbhavatītyatrāha   śabdādityādi /	nanu kAvyAt anuBava rUpA tad pratItiH Bavati iti atra aha    SabdAt ityAdi /
   tatparatītau rāmādigatotsāhapratītau /	tad paratItO rAma Adi gata utsAha pratItO /
   satyāmapiti yojanā /	satyAm apiti yojanA /
   na rasopajanaḥ sahṛdayānāṃ na rasotpattiḥ /	na rasa upajanaH sahRdayAnAm na rasa utpattiH /
   atra dṛṣṭāntamāha   pratyajñādityādi /	atra dRzwAntam Aha    pratyajQAt ityAdi /
   locanam pratyakṣādiva nāyakamithunapratipattau /	locanam pratyakzAt iva nAyaka miTuna pratipattO /
   utpattipakṣe ca karuṇasyotpādādduḥkhitve karuṇaprekṣāsu punarapravṛttiḥ	utpatti pakze ca karuNasya utpAdAt duHKi tve karuNa prekzAsu punar apravRttiH
   syāt /	syAt /
   'tanna utpattirapi, nāpyabhivyaktiḥ, śaktirūpasya hi śṛṅgārasyabhivyaktau	atat naH utpattiH api, na api aBivyaktiH, Sakti rUpasya hi SRFgArasyaBivyaktO
   viṣayārjanatāratamyapravṛttiḥ syāt tatrāpi kiṃ khagato 'bhivyajyate rasaḥ	vizaya arjana tAratamya pravRttiH syAt tatra api kim Ka gataH aBivyajyate rasaH
   paragato veti pūrvavadeva doṣaḥ /	para gataH vA iti pUrvavat eva dozaH /
   tena na pratīyate notpadyate nābhivyajyate kāvyena rasaḥ /	tena na pratIyate na utpadyate na aBivyajyate kAvyena rasaH /
   kiṃ tvanyaśabdavailakṣaṇyaṃ kāvyātmanaḥ śabdasya tryaṃśatāprasādāt /	kim tu anya Sabda vElakzaNyam kAvya AtmanaH Sabdasya tri aMSatA prasAdAt /
   tatrābhidāyakatvaṃ vācyaviṣayam, bhāvakatvaṃ rasādiviṣayam, bhogakṛtvaṃ	tatra ABidAyaka tvam vAcya vizayam, BAvaka tvam rasa Adi vizayam, Boga kRtvam
   sahṛdayaviṣayamiti trayoṃ'śabhūtā vyāpārāḥ /	sahRdaya vizayam iti trayoM aSaBUtAH vyApArAH /
   tatrābhidhābhāgo yadi śuddhaḥ syāttattantrādibhyaḥ śāstranyāyebhyaḥ	tatra aBiDA BAgaH yadi SudDaH syAt tad tantra AdiByaH SAstra nyAyeByaH
   śleṣādyalaṅkāraṇāṃ ko bhedaḥ? vṛttibhedavaicitryaṃ cākiñcitkaram /	Sleza Adi alaFkAraNAm kaH BedaH? vRtti Beda vEcitryam ca akiQcitkaram /
   śrutiduṣṭādivarjanaṃ ca kimartham? bālapriyā pratipattāviveti sambandhaḥ	Sruti duzwa Adi varjanam ca kimarTam? bAlapriyA pratipattO= iva iti sambanDaH
   dūṣaṇāntaramāha   utpattipakṣe ityādi /	dUzaNa antaram Aha   utpatti pakze ityAdi /
   sahṛdayānāmiti śeṣaḥ /	sahRdayAnAm iti SezaH /
   karuṇaprekṣāsu karuṇarasapradhānanāṭyeṣu /	karuNa prekzAsu karuNa rasa praDAna nAwyezu /
   taditi /	tat iti /
   tasmādityarthaḥ /	tasmAt iti arTaH /
   nāpyabhiviyaktiriti /	na api aBiviyaktiH iti /
   rasasyeti śeṣaḥ /	rasasya iti SezaH /
   tasya prāgasiddhatvāditi bhāvaḥ /	tasya prAc asidDa tvAt iti BAvaH /
   pūrvasiddhameva hi ghaṭādikaṃ pradīpādinābhivyajyate /	pUrva sidDam eva hi Gawa Adikam pradIpa AdinA aBivyajyate /
   nanu ratyādirūpo rasaḥ sūkṣmarūpema sahṛdayānāmātmani vartata ityataḥ	nanu rati Adi rUpaH rasaH sUkzma rUpema sahRdayAnAm Atmani vartate iti atas 
   siddha evetyatrāha   śaktītyādi /	sidDaH eva iti atra aha   Sakti ityAdi /
   śaktirūpasya vāsanātatmakasūkṣmarūpeṇa sthitasya /	Sakti rUpasya vAsanAta tmaka sUkzma rUpeNa sTitasya /
   śṛṅgārasya rateḥ /	SRFgArasya rateH /
   śṛṅgārapadaṃ vīrāderupalakṣakam /	SRFgAra padam vIra AdeH upalakzakam /
   abhivyaktau sahṛdayahṛdaye 'bhivyaktyaṅgīkāre /	aBivyaktO sahRdaya hRdaye aBivyakti aFgIkAre /
   viṣayeti /	vizaya iti /
   viṣayo ratyādiviṣayaḥ kāntādiḥ abhivyaktyupāya iti yāvat /	vizayaH rati Adi vizayaH kAnta AdiH aBivyakti upAyaH iti yAvat /
   tasya arjane sampādane tāratamyapravṛttiḥ taratamabhāvena pravṛttiḥ	tasya arjane sampAdane tAratamya pravRttiH taratama BAvena pravRttiH
   syāditi /	syAt iti /
   yathā andhakārasthaghaṭāderadhikādhikābhivyaktaye	yaTA anDakAra sTa Gawa AdeH aDika aDika aBivyaktaye
   tadupāyabhūtālokasyādhikādhikasyārjane janānāṃ pravṛttistathā	tad upAya BUta Alokasya aDika aDikasya arjane janAnAm pravRttiH taTA
   vāsanātmatayā antaḥ sthitasya ratyāderadhikādhikābhivyaktaye	vAsanA Atma tayA antar sTitasya rati AdeH aDika aDika aBivyaktaye
   tadupāyabhūtasya vibhāvāderadhikādhikasyānubhavarūpārjane sahṛdayānāṃ	tad upAya BUtasya viBAva AdeH aDika aDikasya anuBava rUpa arjane sahRdayAnAm
   pravṛttiḥ prasajyetetyarthaḥ /	pravRttiH prasajyeta iti arTaH /
   adhikādhikaviṣayānubhave vāsanāyā jhaṭityabhivyaraktisambhavāditi bhāvaḥ /	aDika aDika vizaya anuBave vAsanAyA Jawiti aBivyarakti samBavAt iti BAvaH /
   dūṣaṇāntaramāha   tatrāpītyādi /	dUzaNa antaram Aha   tatra api ityAdi /
   tatrāpa abhivyaktipakṣe 'pi /	tatra apaH aBivyakti pakze api /
   upasaṃharati   tenetyādi /	upasaMharati   tena ityAdi /
   na pratīyata ityādi /	na pratIyate ityAdi /
   sahṛdayātmanīti śeṣaḥ /	sahRdaya Atmani iti SezaH /
   svamatamāha   kintvityādi /	sva matam Aha   kintu ityAdi /
   anyaśabdeti /	anya Sabda iti /
   śāstrīyādiśabdetyarthaḥ /	SAstrIyAdi Sabda iti arTaH /
   śateti /	Sata iti /
   trayoṃ'sā yasya tasya bhāvastattā, tasyāḥ prasādātsambandhādityarthaḥ /	trayoM asAH yasya tasya BAvaH tat tA, tasyAH prasAdAt sambanDAt iti arTaH /
   tryaṃśatāṃ darśayati   tatretyādi /	tri aMSa tAm darSayati   tatra ityAdi /
   vācyeti. vācyo 'rtho viṣayo yasya tat, vācyārthasambandhītyarthaḥ /	vAcya iti. vAcyaH arTaH vizayaH yasya tat, vAcya arTa sambanDI iti arTaH /
   rasādīti /	rasa Adi iti /
   raso ratyādiḥ, ādipadena vibhāvadergrahaṇam /	rasaH rati AdiH, Adipadena viBAvadeH grahaNam /
   bhāvakatvabhogakṛtvayoḥ svarūpaṃ darśayistadaṅgīkāre yuktiṃ	BAvaka tva Boga kRtvayoH svarUpam darSayiH tad aFgIkAre yuktim
   tāvadāha tatretyādi /	tAvat Aha tatra ityAdi /
   abhidhābhāgaḥ abhidhāyakatvāṃśaḥ /	aBiDA BAgaH aBiDAyaka tva aMSaH /
   śuddhaḥ itataravyāpārānāliṅgitaḥ tat tarhi /	SudDaH itatara vyApArAn AliFgitaH tat tarhi /
   tantrādibhya iti /	tantra AdiByaH iti /
   tantraṃ nāmānekārthabodhecchayā padasyaikasya sakṛduccāraṇam /	tantram nAma aneka arTa boDa icCayA padasya ekasya sakRt uccAraNam /
   ko bheda iti /	kaH BedaH iti /
   śāstrai locanam tena rasabhāvanākhyo divatīyo vyāpāraḥ; yadvaśadabhidhā	SAstrEH locanam tena rasa BAvanA AKyaH divatIyaH vyApAraH; yat vaSat aBiDA
   vilakṣaṇaiva /	vilakzaNA eva /
   taccaitadbhāvakatvaṃ nāma rasān prati yatkāvyasya tadvibhāvādīnāṃ	tat ca etat BAvaka tvam nAma rasAn prati yat kAvyasya tad viBAva AdInAm
   sādhāraṇatvāpādanaṃ nāma /	sADAraNatva ApAdanam nAma /
   bhāvite ca rase tasya bhogaḥ yo 'nubhavasmaraṇapratipattibhyo vilakṣaṇa	BAvite ca rase tasya BogaH yaH anuBava smaraNa pratipattiByaH vilakzaNa
   eva drutivistaravikāsātmā	eva druti vistara vikAsa AtmA
   rajastamovaicitryānuviddhasattvamayanijacitsvabhāvanirvṛtiviśrāntilakṣaṇaḥ	rajaH tamaH vEcitrya anuvidDa sattva m aya nija cit svaBAva nirvRti viSrAnti lakzaNaH
   parabrahmāsvādasavidhaḥ /	para brahma AsvAdasaviDaH /
   sa eva ca pradhānabhūtoṃ'śaḥ siddharūpa iti /	saH eva ca praDAna BUtoM aSaH sidDa rUpaH iti /
   vyutpattirnāmāpradhānameve'ti /	vyutpattiH nAma apraDAnam eve ati /
   bālapriyā "halantyami"ti paṇinīyasūtrādāviva "sarvado mādhava"	bAla priyA "halanti am i"ti paNinIya sUtra AdO= iva "sarva daH mADava"
   ityādiśleṣasthale 'pi tantrādinānekārthabodhasambhavādubhayorbhedo na	ityAdi Sleza sTale api tantra AdinA aneka arTa boDa samBavAt uBayoH BedaH na
   syādityarthaḥ /	syAt iti arTaH /
   vṛttīti /	vRtti iti /
   vṛttibhedāḥ upanāgarikādyāḥ teṣāṃ vaicitryaṃ ca akiñcitkaramiti /	vRtti BedAH upanAgarikA AdyAH tezAm vEcitryam ca akiQcitkaram iti /
   kāvye abhidhāmātrasvīkāre vyarthamityarthaḥ /	kAvye aBiDA mAtra svIkAre vyarTam iti arTaH /
   kimarthamiti. niṣphalamityarthaḥ /	kimarTam iti. nizPalam iti arTaH /
   teneti /	tena iti /
   uktahetunetyarthaḥ /	ukta hetunA iti arTaH /
   rasabhāvaneti /	rasa BAvanA iti /
   ratyādibhāvanetyarthaḥ /	rati Adi BAvanA iti arTaH /
   dvitīya iti /	dvitIyaH iti /
   abhidhānantarabhāvītyarthaḥ /	aBiDA anantara BAvi iti arTaH /
   yadvaśāditi /	yad vaSAt iti /
   bhāvakatvavyāpārarūpaprayojakādityarthaḥ /	BAvaka tva vyApAra rUpa prayojakAt iti arTaH /
   vilakṣaṇaiveti /	vilakzaNA eva iti /
   śāstrīyādiśabdagatābhidhāto vicātīyaivetyarthaḥ /	SAstrIya Adi Sabda gata aBiDAtaH vicAtIya eva iti arTaH /
   taccetyādi /	tat ca ityAdi /
   rasān prati etadbhāvakatvaṃ nāma taditi sambandhaḥ /	rasAn prati etat BAvaka tvam nAma tat iti sambanDaH /
   kāvyasyeti. nāṭyasyāpyupalakṣaṇam /	kAvyasya iti. nAwyasya api upalakzaNam /
   tadvibhāvādīnāmiti /	tad viBAva AdInAm iti /
   tasya ratyādirūparasasya vibhāvāditrayāṇāṃ cetyarthaḥ /	tasya rati Adi rUpa rasasya viBAva Adi trayANAm ca iti arTaH /
   sādhāramatvāpādanamiti /	sADAramatva ApAdanam iti /
   sādhāraṇīkaraṇamityarthaḥ /	sADAraNIkaraNam iti arTaH /
   sāmānyenopasthāpakatvamiti yāvat /	sAmAnyena upasTApaka tvam iti yAvat /
   bhāvite uktabhāvanāviṣayīkṛte /	BAvite ukta BAvanA vizayIkRte /
   rase rāmādigatatyādau /	rase rAma Adi gatatyAdO /
   tasyeti /	tasya iti /
   bhāvitasya ratyāderityarthaḥ /	BAvitasya rati AdeH iti arTaH /
   bhoga iti /	BogaH iti /
   sākṣātkāraviśeṣa ityarthaḥ /	sAkzAtkAra viSezaH iti arTaH /
   sahṛdayānāṃ bhavatīti śeṣaḥ /	sahRdayAnAm Bavati iti SezaH /
   tathāca bhāvanopanīto rāmādigataratyādiḥ sthāyī sahṛdayairbhujyamāno rasaḥ	taTA ca BAvanA upanItaH rAma Adi gata rati AdiH sTAyI sahRdayEH BujyamAnaH rasaH
   ratyādeḥ sādhāraṇyena pratītyā ca na tāṭasthyādidoṣa iti bhāvaḥ /	rati AdeH sADAraNyena pratItyA ca na tAwasTyAdi dozaH iti BAvaH /
   bhogasvarūpamāha   ya ityādi /	Boga svarUpam Aha   yaH ityAdi /
   anubhaveti /	anuBava iti /
   anubhavasmaraṇarūpāḥ yāḥ pratīpattayo laukikyaḥ pratītayastābhya ityarthaḥ	anuBava smaraNa rUpAH yAH pratIpattayaH lOkikyaH pratItayaH tAByaH iti arTaH
   'drutivistāravikāsātme'tyatra hetumāha    raja ityādi /	adruti vistAra vikAsa Atme atyatra hetum Aha    rajaH ityAdi /
   vaicitryānuviddheti pāṭhaḥ /	vEcitrya anuvidDA iti pAWaH /
   "rajastamonuvedyavaicitryabalādi"tyabhinavabhāratyāmukteḥ /	"rajaH ta monu vedya vEcitrya bala Adi "ti aBinava BArati Am ukteH /
   rajastamasorvaicitryeṇa viśeṣeṇa anuviddhaṃ yatsatvaṃ tanmayī /	rajaH tamasoH vEcitryeNa viSezeNa anuvidDam yat satvam tad mayI /
   prācuryārthe mayaṭ /	prAcurya arTe mayaw /
