   (KpSū 1)	(KpSU 1)
   niveśitāni pratiṣṭhāpitāni / tasyaitannimittaṃ yena mayā svapne	niveSitAni pratizWApitAni / tasya etat nimittam yena mayA svapne
   mahāvabhāso dṛṣṭaḥ (KpSū 69) daśasu dikṣu buddhā bhagavanto dṛṣṭāḥ / yacca	mahA avaBAsaH dRzwaH (KpSU 69) daSasu dikzu budDAH BagavantaH dRzwAH / yat ca
   mayā sarvaṃ jambūdvīpamanvāhiṇḍya strīpuruṣadārakadārikābhyaḥ piṇḍapātaṃ	mayA sarvam jambUdvIpam anvAhiNxya strI puruza dAraka dArikAByaH piNxa pAtam
   yācayitvā bahuprāṇakoṭīnayutaśatasahasrāṇi triśaraṇakriyāvastuṣu	yAcayitvA bahu prANa kowIn ayuta Sata sahasrANi tri SaraNa kriyA vastuzu
   sthāpitāni vinītāni niveśitāni pratiṣṭhāpitāni / yacca mayā tathāgato	sTApitAni vinItAni niveSitAni pratizWApitAni / yat ca mayA taTAgataH 
   'rhan samyaksaṃbuddhaḥ saptavarṣāṇyupanimantritaḥ sarvopakaraṇaiḥ sārdhaṃ	arhan samyaksaMbudDaH sapta varzANi upanimantritaH sarva upakaraNEH sArDam
   bhikṣusaṅghena, tena mama daśabhyo digbhyaḥ anyebhyo buddhakṣetrebhyaḥ	Bikzu saFGena, tena mama daSaByaH digByaH anyeByaH budDa kzetreByaH
   buddhairbhagavadbhiḥ padmānyanupreṣitāni / yacca mayānuttarāyāṃ	budDEH BagavadBiH padmAni anuprezitAni / yat ca mayA anuttarAyAm
   samyaksaṃbodhau praṇidhānaṃ kṛtaṃ, tena te buddhā saptaratnamayāni	samyaksaMboDO praNiDAnam kRtaM, tena te budDA sapta ratna mayAni
   chatrāṇi visarjayanti / yatpunarmayā teṣu padmeṣu sūryavigrahā dṛṣṭā,	CatrANi visarjayanti / yat punar mayA tezu padmezu sUrya vigrahAH dRzwA,
   yacca raśmayo mukhe praviśamānā dṛṣṭāḥ, yaccāsau mahān ātmabhāvo dṛṣṭaḥ,	yat ca raSmayaH muKe praviSamAnAH dRzwAH, yat ca asO mahAn Atma BAvaH dRzwaH,
   yacca sūryavigrahamālā dṛṣṭā, yacca kukṣau	yat ca sUrya vigraha mAlA dRzwA, yat ca kukzO
   bodhisattvakoṭīnayutaśatasahasrāṇi padmeṣu paryaṅkaniṣaṇṇāni dhyāyamānāni,	boDisattva kowIn ayuta Sata sahasrANi padmezu paryaFka nizaNNAni DyAyamAnAni,
   imā evaṃrūpāḥ svapnā dṛṣṭāḥ, yacca me śakrabrahmalokapāla dṛṣṭā	imAH evaMrUpAH svapnAH dRzwAH, yat ca me Sakra brahma lokapAla dRzwA
   ājñāpayantīmāni padmāni bhāgaṃ kuru, yacca mayā tāni padmāni bhāgaṃ kṛtvā	AjQApayanti imAni padmAni BAgam kuru, yat ca mayA tAni padmAni BAgam kRtvA
   dattāni / yannvaham imāḥ svapnā buddhāya bhagavata ākhyāsye, kiṃhetukāḥ	dattAni / yat nu aham imAH svapnAH budDAya BagavataH AKyAsye, kiMhetukAH
   kiṃpratyayā mayaivaṃrūpāḥ svapnā dṛṣṭā, yannvahaṃ (KpSū 70) tathāgataṃ	kiMpratyayAH mayA evaMrUpAH svapnA dRzwA, yat nu aham (KpSU 70) taTAgatam
   pṛccheyaṃ" /	pRcCeyan" /
   atha samudrareṇurbrāhmaṇaḥ tasyā eva rātryā atyayena bhojanaṃ sajjīkṛtvā	aTa samudra reNuH brAhmaNaH tasyAH eva rAtryA atyayena Bojanam sajjIkRtvA
   kālyate eva yena bhagavāṃstenopajagāma, upetya svayameva bhagavato	kAlyate eva yena BagavAn= tena upajagAma, upetya svayam eva BagavataH 
   hastaśaucamupanāmayati bhikṣusaṅghasya ca / hastaśaucamupanīya prabhūtena	hasta SOcam upanAmayati Bikzu saFGasya ca / hasta SOcam upanIya praBUtena
   khādanīyena bhojanīyena svahastaṃ saṃtarpayati saṃpravārayati,	KAdanIyena BojanIyena sva hastam saMtarpayati saMpravArayati,
   saṃtarpayitvā saṃpravārayitvā bhikṣusaṅghamanekaparyāyena saṃtarpya	saMtarpayitvA saMpravArayitvA Bikzu saFGam aneka paryAyena saMtarpya
   saṃpravārya bhagavantaṃ viditvā bhikṣusaṅghaṃ ca dhautahastamapanītapātraṃ	saMpravArya Bagavantam viditvA Bikzu saFGam ca DOta hastam apanIta pAtram
   nīcamāsanaṃ gṛhītvā bhagavataḥ purato niṣaṇṇo dharmaśravaṇāya / atha	nIcam Asanam gRhItvA BagavataH puratas nizaNNaH Darma SravaNAya / aTa
   rājāraṇemī tatraivābhyāgataḥ sārdhaṃ putrasahasreṇānekaiśca prāṇisahasraiḥ	rAjA AraNemI tatra eva aByAgataH sArDam putra sahasreNa anekEH ca prANi sahasrEH
   parivṛtaḥ puraskṛtaḥ, sa yāvad yānasya bhūmistāvad yānena yātvā yānād	parivRtaH puraskRtaH, sa yAvat yAnasya BUmiH tAvat yAnena yAtvA yAnAt 
   avatīrya padbhyāmevārāmaṃ prāvikṣat, praviśya ca yena	avatIrya padByAm eva ArAmam prAvikzat, praviSya ca yena
   bhagavāṃstenopajagāmopetya bhagavataḥ pādau śirasā vanditvā	BagavAn= tena upajagAma upetya BagavataH pAdO SirasA vanditvA
   bhikṣusaṅghasya ca bhagavataḥ purataḥ niṣaṇṇo dharmaśravaṇāya / atha	Bikzu saFGasya ca BagavataH puratas nizaNNaH Darma SravaNAya / aTa
   samudrareṇurbrāhmaṇo yathādṛṣṭāṃ svapnāṃ bhagavato nivedayati /	samudra reNuH brAhmaNaH yaTAdRzwAm svapnAm BagavataH nivedayati /
   bhagavān āha   "yattvaṃ brāhmaṇādrākṣīt mahāntamavabhāsaṃ yenāvabhāsena	BagavAn Aha  "yat tvam brAhmaNa at rAkzIt mahAntam avaBAsam yena avaBAsena
   gaṅgānadīvālikāsameṣu buddhakṣetreṣu (KpSū 71) buddhā bhagavanto dṛṣṭā	gaFgA nadI vAlikA samezu budDa kzetrezu (KpSU 71) budDAH BagavantaH dRzwA
   tava padmāni visarjayanti, teṣu ca padmeṣu sūryavigrahā dṛṣṭā raśmayaḥ	tava padmAni visarjayanti, tezu ca padmezu sUrya vigrahAH dRzwAH raSmayaH
   pramuñcamānāste ca raśmayastava mukhe praviśanti / yattvayā brāhmaṇa	pramuQcamAnAH te ca raSmayaH tava muKe praviSanti / yat tvayA brAhmaNa
   adhatrikāyāṃ varṣaśatāṃ jambudvīpamāhiṇḍatā, tena tvayā gaṇanātikrāntāḥ	aDatrikAyAm varza SatAm jambudvIpam AhiNxatA, tena tvayA gaNanA atikrAntAH
   sattvāstriṣu puṇyakriyāvastuṣu niveśitāḥ pratiṣṭhāpitāśca,	sattvAH trizu puNya kriyA vastuzu niveSitAH pratizWApitAH ca,
   gaṇanātikrāntāśca sattvā anuttarāyāṃ samyaksaṃbodhau samādāpitā niveśitāḥ	gaNanA atikrAntAH ca sattvAH anuttarAyAm samyaksaMboDO samAdApitAH niveSitAH
   pratiṣṭhāpitāḥ / yacca tvayā sarvasattvārthaṃ mahāyajñasyārambhaḥ	pratizWApitAH / yat ca tvayA sarva sattva arTam mahA yajQasya AramBaH
   kṛtastena tvaṃ brāhmaṇa buddhā bhagavanto vyākariṣyantyanuttarāyāṃ	kRtaH tena tvam brAhmaNa budDAH BagavantaH vyAkarizyanti anuttarAyAm
   samyaksaṃbodhau, ye daśasu dikṣu gaṅgānadīvālikāsameṣu lokadhātuṣu	samyaksaMboDO, ye daSasu dikzu gaFgA nadI vAlikA samezu lokaDAtuzu
   tiṣṭhanti dhriyante yāpayanti dharmaṃ ca deśayanti, yaiśca tava padmāni	tizWanti Driyante yApayanti Darmam ca deSayanti, yEH ca tava padmAni
   visarjitāni suvarṇapatrāṇi rūpyadaṇḍāni vaiḍūryakarṇikāni	visarjitAni suvarNa patrANi rUpya daNxAni vExUrya karNikAni
   asmagarbhakeśarāṇi, teṣu ca sarveṣu padmeṣu sūryavigrahā dṛśyante / idaṃ	asmagarBa keSarANi, tezu ca sarvezu padmezu sUrya vigrahAH dRSyante / idam
   tasya svapnasya pūrvanimittaṃ / yattvaṃ brāhmaṇādrākṣīt svapne ye daśausu	tasya svapnasya pUrva nimittam / yat tvam brAhmaNAt rAkzIt svapne ye daSOsu
   dikṣu gaṅgānadīvālikāsameṣu lokadhātuṣu buddhā bhagavantastiṣṭhanti	dikzu gaFgA nadI vAlikA samezu lokaDAtuzu budDAH BagavantaH tizWanti
   dhriyante yāpayanti dharmaṃ ca deśayanti, tairbuddhairbhagavadbhiḥ	Driyante yApayanti Darmam ca deSayanti, tEH budDEH BagavadBiH
   saptaratnamayāni chatrāṇi visarjitāni, yāni chatrāṇi copari cākāśe yāvad	sapta ratna mayAni CatrANi visarjita ani, yAni CatrANi ca upari ca AkASe yAvat 
   (KpSū 72) brahmalokaparyantaṃ saṃtiṣṭhanti / yasyāṃ eva rātrau tvaṃ	(KpSU 72) brahma loka paryantam saMtizWanti / yasyAm eva rAtrO tvam
   brāhmaṇānuttarāṃ samyaksaṃbodhimabhisaṃbhotsyase tasyāṃ eva rātrau daśasu	brAhmaNAn uttarAm samyaksaMboDim aBisaMBotsyase tasyAm eva rAtrO daSasu
   dikṣu gaṅgānadīvālikāsameṣu lokadhātuṣūdāraḥ kīrtiśabdaśloko	dikzu gaFgA nadI vAlikA samezu lokaDAtuzu udAraH kIrti Sabda SlokaH 
   'bhyudgacchate, upari ca yāvad brahmalokaparyantaṃ kṛtvā na śakyante tava	aByudgacCate, upari ca yAvat brahma loka paryantam kRtvA na Sakyante tava
   mūrdhānaṃ vyavalokayituṃ brahmādibhirdevalokairapi / idaṃ tasya svapnasya	mUrDAnam vyavalokayitum brahma AdiBiH deva lokEH api / idam tasya svapnasya
   pūrvanimittaṃ / yattvaṃ brāhmaṇādrākṣit mahāntamātmabhāvaṃ yāvad	pUrva nimittam / yat tvam brAhmaNa adrAkzit mahAntam Atma BAvam yAvat 
   brahmalokaṃ yacca sūryamaṇḍalānāṃ mālā śīrasi baddhā, tadye tvayā	brahma lokam yat ca sUrya maNxalAnAm mAlA SIrasi badDA, tat ye tvayA
   gaṇanātikrāntāḥ sattvāḥ samādāpitā anuttarāyāṃ samyaksaṃbodhau, te ca	gaNanA atikrAntAH sattvAH samAdApitAH anuttarAyAm samyaksaMboDO, te ca
   tavābhisaṃbuddhabodherbrāhmaṇa buddhakṣetraparamāṇurajaḥsameṣu lokadhātuṣu	tava aBisaMbudDa boDeH brAhmaNa budDa kzetra paramANu rajaH samezu lokaDAtuzu
   deśasu dikṣu sthitā anuttarāṃ samyaksaṃbodhimabhisaṃbhotsyante / sarve ye	deSasu dikzu sTitAH anuttarAm samyaksaMboDim aBisaMBotsyante / sarve ye
   tvayā bodhau samādāpitā te tavābhīkṣṇaṃ varṇaṃ udāhariṣyanti, "anena	tvayA boDO samAdApitA te tava aBIkzNam varNam udAharizyanti, "anena
   tathāgatenārhatā samyaksaṃbuddhena vayaṃ prathamamanuttarāyāṃ	taTAgatena arhatA samyaksaMbudDena vayam praTamam anuttarAyAm
   samyaksaṃbodhau samādāpitā, yenāsmaitarhyanuttarāṃ	samyaksaMboDO samAdApitA, yena asmEtarhi anuttarAm
   samyaksaṃbodhimabhisaṃbuddhā, eṣa cāsmākaṃ kalyāṇamitraṃ" / te buddhā	samyaksaMboDim aBisaMbudDA, eza ca asmAkam kalyANa mitraM" / te budDA
   bhagavanto bodhisattvān visarjayiṣyanti tava pūjākarmaṇe, tataste	BagavantaH boDisattvAn visarjayizyanti tava pUjA karmaNe, tatas te
   bodhisattvā mahāsattvā vividhairbodhisattvavikurvitaistava (KpSū 73) pūjāṃ	boDisattvAH mahAsattvAH viviDEH boDisattva vikurvitEH tava (KpSU 73) pUjAm
   kṛtvā, tatra tava sakāśāddharmaṃ śrutvā nānāvidhāḥ samādhirdhāraṇīḥ	kRtvA, tatra tava sakASAt Darmam SrutvA nAnAviDAH samADiH DAraNIH
   kṣāntiśca pratilapsyante / te bodhisattvā mahāsattvāḥ svakasvakeṣu	kzAntiH ca pratilapsyante / te boDisattvAH mahAsattvAH sva ka svakezu
   buddhakṣetreṣu gatvā tava varṇaṃ uccārayiṣyanti ghoṣamanuśrāvayiṣyanti /	budDa kzetrezu gatvA tava varNam uccArayizyanti Gozam anuSrAvayizyanti /
   idaṃ brāhmaṇa tasya svapnasya pūrvanimittaṃ / yattvayā brāhmaṇa svapne	idam brAhmaNa tasya svapnasya pUrva nimittam / yat tvayA brAhmaNa svapne
   dṛṣṭā bodhisattvakoṭīnayutaśatasahasrāṇi tāni tava kukṣau praviśya padmeṣu	dRzwAH boDisattva kowIn ayuta Sata sahasrANi tAni tava kukzO praviSya padmezu
   paryaṅkopaviṣṭā dhyāyanti, abhisaṃbuddhabodhiśca tvaṃ brāhmaṇa	paryaFka upavizwA DyAyanti, aBisaMbudDa boDiH ca tvam brAhmaNa
   bahuprāṇakoṭīnayutaśatasahasrāṇi yānyanuttarāyāṃ samyaksaṃbodhau	bahu prANa kowIn ayuta Sata sahasrANi yAni anuttarAyAm samyaksaMboDO
   samādāpayiṣyasi avaivartikāni sthāpayiṣyasyanuttarāyāṃ samyaksaṃbodhau /	samAdApayizyasi avEvartikAni sTApayizyasi anuttarAyAm samyaksaMboDO /
   te tava parinirvṛtasya brāhmaṇānuttareṇa parinirvāṇena	te tava parinirvRtasya brAhmaNa anuttareNa parinirvANena
   buddhakṣetraparamāṇurajaḥsameṣu kalpeṣu paścāddaśāsu dikṣvanyeṣu	budDa kzetra paramANu rajaH samezu kalpezu paScAt daSAsu dikzu anyezu
   buddhakṣetreṣu te buddhā bhagavanto dharmeṇa rājyaṃ kārayantastava varṇaṃ	budDa kzetrezu te budDAH BagavantaH DarmeNa rAjyam kArayantaH tava varNam
   bhāṣiṣyanti / "evam asaṃkhyeyeṣu kalpeṣvatikrānteṣu evaṃnāmā tathāgato	BAzizyanti / "evam asaMKyeyezu kalpezu atikrAntezu evaMnAmA taTAgataH 
   abhūd arhan samyaksaṃbuddhaḥ, tena tathāgatenārhatā samyaksaṃbuddhena	aBUt arhan samyaksaMbudDaH, tena taTAgatena arhatA samyaksaMbudDena
   vayamanuttarāyāṃ samyaksaṃboddhau samādāpitā vinītā niveśitāḥ	vayam anuttarAyAm samyaksaMbodDO samAdApitAH vinItAH niveSitAH
   pratiṣṭhāpitā avaivartikāśca sthāpitā, yena vayametarhyanuttarāṃ	pratizWApitAH avEvartikAH ca sTApitA, yena vayam etarhi anuttarAm
   samyaksaṃbodhimabhisaṃbuddhāḥ, (KpSū 74) dharmarājyaṃ ca pratilabdhāḥ" /	samyaksaMboDim aBisaMbudDAH, (KpSU 74) Darma rAjyam ca pratilabDAH" /
   idaṃ brāhmaṇa tasya svapnasya pūrvanimittaṃ / yattvaṃ brāhmaṇa svapne	idam brAhmaNa tasya svapnasya pUrva nimittam / yat tvam brAhmaNa svapne
   dṛṣṭavān sūkaramukhena yāvacchvamukhena rudhiramrakṣitena	dRzwavAn sUkara muKena yAvat Sva muKena ruDiramrakzitena
   gātreṇānekavidhāṃ prāṇino bhakṣayitvā hīna eraṇḍamūle niṣaṇṇāste 'pyanye	gAtreNa anekaviDAm prANinaH BakzayitvA hInaH eraNxa mUle nizaNNAH te api anye
   vividhaiḥ prāṇibhirbhakṣyante yāvadasthiśaṅkalāvaśeṣā utsṛjyante,	viviDEH prANiBiH Bakzyante yAvat asTi SaFkala avaSezAH utsRjyante,
   punarapyāpyāyitakāyā rudhirābhyaktena kāyena yāvacchvamukhena bahuvidhāṃ	punar api ApyAyitakAyAH ruDira aByaktena kAyena yAvat Sva muKena bahuviDAm
   prāṇino bhakṣayitvā punarhīnasyairaṇḍavṛkṣasya mūle niṣaṇṇā vividhaiśca	prANinaH BakzayitvA punar hInasya eraNxa vRkzasya mUle nizaNNAH viviDEH ca
   prāṇibhiḥ khādyante / te tvayā mohapuruṣāstrividhe puṇyakriyāvastuni	prANiBiH KAdyante / te tvayA moha puruzAH triviDe puNya kriyA vastuni
   samādāpitā prātiṣṭhāpitā dāne yame saṃyame ca, te deveṣu	samAdApitA prAtizWApitAH dAne yame saMyame ca, te devezu
   cyavanaduḥkhamabhilaṣanti, manuṣyeṣu	cyavana duHKam aBilazanti, manuzyezu
   jarāvyādhimaraṇāpriyasaṃprayogapriyavinābhāvaduḥkhāṃ preteṣu	jarA vyADi maraNa apriya saMprayoga priya vinABAva duHKAm pretezu
   kṣutpipāsaduḥkhaṃ tiryakṣvanyonyabhakṣaṇaduḥkhaṃ nārakeṣu	kzuD pipAsa duHKam tiryakzu anyonya BakzaNa duHKam nArakezu
   dāhacchedavadhabandhananānāvidhakāraṇādiduḥkhamabhilaṣanti / trividhe ca	dAha= Ceda vaDa banDana nAnAviDa kAraNa Adi duHKam aBilazanti / triviDe ca
   puṇyakriyāvastuni pratiṣṭhāpitā deveṣu devarājyamabhilaṣanti manuṣyeṣu	puNya kriyA vastuni pratizWApitAH devezu deva rAjyam aBilazanti manuzyezu
   caikadvīpaiśvaryamākāṅkṣante / teṣāṃ tatra sarvasattvāḥ paribhogaṃ	ca eka dvIpa ESvaryam AkAFkzante / tezAm tatra sarva sattvAH pariBogam
   gacchanti, te 'pi ca sarvasattvānāmāhāraparibhogaṃ (KpSū 75) gacchanti /	gacCanti, te api ca sarva sattvAnAm AhAra pariBogam (KpSU 75) gacCanti /
   evaṃ te mohapuruṣāḥ sarve tvayā trividhe puṇyakriyāvastuni	evam te moha puruzAH sarve tvayA triviDe puNya kriyA vastuni
   pratiṣṭhāpitāstavopāsakā bhaviṣyanti / idaṃ brāhmaṇa tasya svapnasya	pratizWApitAH tava upAsakAH Bavizyanti / idam brAhmaNa tasya svapnasya
   pūrvanimittaṃ / yattvaṃ brāhmaṇa svapnamadrākṣīt apare manuṣyā	pUrva nimittam / yat tvam brAhmaNa svapnam adrAkzIt apare manuzyA
   mahiṣarathābhirūdhāḥ sumanāmālālāṅkṛtaśirasaḥ apathena dakṣiṇābhimukhaṃ	mahiza raTa aBirUDAH sumanA mAlAla aFkRta SirasaH apaTena dakziNa aBimuKam
   gacchanti, te 'pi tvayā brāhmaṇa kulaputrāḥ triṣu puṇyakriyāvastuṣu	gacCanti, te api tvayA brAhmaNa kula putrAH trizu puNya kriyA vastuzu
   pratiṣṭhāpitāḥ kevalamātmadamanārthaṃ ātmaśamanārthaṃ	pratizWApitAH kevalam Atma damana arTam Atma Samana arTam
   śrāvakayānasaṃprasthitāḥ, teṣāṃ śrāvakayānasaṃprasthitānāṃ brāhmaṇa	SrAvaka yAna saMprasTitAH, tezAm SrAvaka yAna saMprasTitAnAm brAhmaNa
   pudgalānāmidaṃ purvanimittaṃ" //	pudgalAnAm idam purva nimittaM" //
   atha khalu kulaputra brāhmaṇaḥ samudrareṇū rājānamāraṇeminametadavocat  	aTa Kalu kula putra brAhmaNaH samudra reNuH rAjAnam AraNeminam etat avocat  
   "durlabhaṃ mahārāja manuṣyatvaṃ, durlabhā kṣaṇasaṃpat,	"durlaBam mahA rAja manuzya tvan, durlaBA kzaNa saMpat,
   durlabhamudumbarapuṣpasadṛśānāṃ tathāgatānāmarhatāṃ samyaksaṃbuddhānāṃ	durlaBam udumbara puzpa sadRSAnAm taTAgatAnAm arhatAm samyaksaMbudDAnAm
   prādurbhāvo loke, durlabhaḥ kuśaladharme chandaḥ, durlabhaṃ	prAdurBAvaH loke, durlaBaH kuSala Darme CandaH, durlaBam
   samyakpraṇidhānaṃ / duḥkhotpattibhūtaṃ mahārāja devarājatvaṃ,	samyak praNiDAnam / duHKa utpatti BUtam mahA rAja devarAja tvaM,
   duḥkhotpattibhūtaṃ mahārāja manuṣyeṣu caikadvīpaiśvaryarājatvaṃ,	duHKa utpatti BUtam mahA rAja manuzyezu ca eka dvIpa ESvarya rAja tvaM,
   duḥkhotpattibhūtaṃ dvistriścāturdvīpikarājatvaṃ / ciraṃ mahārāja	duHKa utpatti BUtam dvis tris cAturdvIpika rAja tvam / ciram mahA rAja
   saṃsāraduḥkhamanubhavitavyaṃ / (KpSū 76) anavasthitā mahārāja	saMsAra duHKam anuBavitavyam / (KpSU 76) anavasTitAH mahA rAja
   vāyuvegacapalā devamanuṣyasaṃpattayo, dakacandropamā bālāḥ pañcabhiḥ	vAyu vega capalA deva manuzya saMpattayo, daka candra upamAH bAlAH paQcaBiH
   kāmaguṇairatṛptā viṣayeṣu mattā devamāṇuṣāṃ śriyamabhilaṣanti / te bālāḥ	kAma guNEH atRptAH vizayezu mattAH devamANuzAm Sriyam aBilazanti / te bAlAH
   punaḥ punarnarakeṣu kāraṇāduḥkhamanubhavanti tiryakṣu saṃmohaduḥkhaṃ	punar punar narakezu kAraNA duHKam anuBavanti tiryakzu saMmoha duHKam
   preteṣu kṣutpipāsāduḥkhaṃ manuṣyeṣu priyaviprayogaduḥkhaṃ deveṣu	pretezu kzuD pipAsA duHKam manuzyezu priya viprayoga duHKam devezu
   cyavanaduḥkhaṃ punargarbhavāsaduḥkhaṃ parasparaśīrṣaprapātanaduḥkhaṃ	cyavana duHKam punar garBa vAsa duHKam paraspara SIrza prapAtana duHKam
   anyonyabhakṣaṇaduḥkhaṃ, evaṃ bhramamāṇā bālā duḥkhamanubhavanti /	anyonya BakzaNa duHKan, evam BramamANAH bAlAH duHKam anuBavanti /
   tatkasmāddhetoḥ?, kalyāṇamitravirahitāḥ samyakpraṇidhānaṃ na kurvanti na	tat kasmAt hetoH?, kalyANa mitra virahitAH samyak praNiDAnam na kurvanti na
   vyāyamanti aprāptasya prāptaye 'nadhigatasyādhigamāyāsākṣātkṛtasya	vyAyamanti aprAptasya prAptaye anaDigatasya aDiga mAya asAkzAtkRtasya
   sākṣātkriyāyai / evaṃ mūrkhā bālāḥ khidyante bodhicittena yatra	sAkzAtkriyAyE / evam mUrKAH bAlAH Kidyante boDi cittena yatra
   sarvaduḥkhakṣayo bhavati, saṃsāreṇa ca na khidyante nodvijanti yatra punaḥ	sarva duHKa kzayaH Bavati, saMsAreNa ca na Kidyante na udvijanti yatra punar 
   punarduḥkhotpattirbhavati / parīkṣasva mahārāja yathā saṃsāraḥ	punar duHKa utpattiH Bavati / parIkzasva mahA rAja yaTA saMsAraH
   sarvaduḥkhānāṃ bhājanabhūtaḥ / tasmāttarhi tvaṃ mahārāja kṛtādhikāro	sarva duHKAnAm BAjana BUtaH / tasmAt tarhi tvam mahA rAja kRta aDikAraH 
   bhagavataḥ śāsane 'varopitakuśalamūlastriṣu ratneṣu labdhaprasādaḥ,	BagavataH SAsane avaropita kuSala mUlaH trizu ratnezu labDa prasAdaH,
   bhagavato dattadāno (KpSū 77) mahābhogatāyai rakṣitaśīlaḥ	BagavataH datta dAnaH (KpSU 77) mahA Boga tAyE rakzita SIlaH
   svargopapattipratilābhāya śruto bhagavato 'ntikāddharmaṃ	svarga upapatti pratilABAya SrutaH BagavataH antikAt Darmam
   prajñāmahādharmapratilābhāya te saṃpatsyante / yaṣṭayajñastvaṃ mahārāja	prajQA mahA Darma pratilABAya te saMpatsyante / yazwa yajQaH tvam mahA rAja
   utpādāyanuttarāyāṃ samyaksaṃbodhau cittaṃ" / āha, "alaṃ brāhmaṇa, nāhaṃ	utpAdAyanuttarAyAm samyaksaMboDO cittaM" / Aha, "alam brAhmaNa, na aham
   brāhmaṇānuttarāṃ samyaksaṃbodhimabhilaṣāmi saṃsārābhirataḥ,	brAhmaNAn uttarAm samyaksaMboDim aBilazAmi saMsAra aBirataH,
   yanmahābrāhmaṇa mayā dānaṃ dattaṃ śīlaṃ rakṣitaṃ dharmaḥ śrutaḥ / durlabhā	yat mahA brAhmaNa mayA dAnam dattam SIlam rakzitam DarmaH SrutaH / durlaBA
   hi brāhmaṇānuttarā samyaksaṃbodhiḥ" /	hi brAhmaNa anuttarA samyaksaMboDiH" /
   dvirapi samudrareṇurbrāhmaṇo rājānamāha   "śuddho mahārāja bodhimārgaḥ /	dvis api samudra reNuH brAhmaNaH rAjAnam Aha  "SudDaH mahA rAja boDi mArgaH /
   āśayena praṇidhānaṃ kartavyaṃ / paripūryābhiprasannaḥ sa mārgo 'dhyāśayena	ASayena praNiDAnam kartavyam / paripUrya aBiprasannaH sa mArgaH aDyASayena
   viśuddhaḥ / ṛjuḥ sa mārgaḥ aśaṭhaḥ / śuddhaḥ sa mārgaḥ kleśapravāhakatvāt	viSudDaH / RjuH sa mArgaH aSaWaH / SudDaH sa mArgaH kleSa pravAhaka tvAt 
   / vipulo 'sau mārgaḥ anāvarṇatvāt / samavasaraṇaḥ sa mārgaḥ cintanāya /	/ vipulaH asO mArgaH anAvarNa tvAt / samavasaraNaH sa mArgaH cintanAya /
   nirbhayaḥ sa mārgaḥ sarvapāpākaraṇatayā / sumṛduḥ sa mārgaḥ dānapāramitayā	nirBayaH sa mArgaH sarva pApa akaraNa tayA / su mRduH sa mArgaH dAna pAramitayA
   / śītalaḥ sa mārgaḥ śīlapāramitayā / nirāśrayaḥ sa mārgaḥ kṣāntipāramitayā	/ SItalaH sa mArgaH SIla pAramitayA / nirASrayaH sa mArgaH kzAnti pAramitayA
   / adhiṣṭhānāśrayaḥ sa mārgaḥ vīryapāramitayā / anāvilaḥ sa mārgaḥ	/ aDizWAna ASrayaH sa mArgaH vIrya pAramitayA / anAvilaH sa mArgaH
   dhyānapāramitayā / suviditaḥ sa mārgaḥ (KpSū 78) prajñāpāramitayā /	DyAna pAramitayA / su viditaH sa mArgaH (KpSU 78) prajQApAramitayA /
   suprasannaḥ sa mārgo mahāmaitryā / svabhāvajñānānugataḥ sa mārgaḥ	su prasannaH sa mArgaH mahAmEtryA / svaBAva jQAna anugataH sa mArgaH
   mahākaruṇayā / sadānanditaḥ sa mārgaḥ mahāmuditayā / akliṣṭaḥ sa mārgaḥ	mahA karuNayA / sadAnanditaH sa mArgaH mahAmuditayA / aklizwaH sa mArgaH
   upekṣayā / apagatakaṇṭakaḥ sa mārgaḥ kāmavyāpādavihiṃsāvitarkaiḥ /	upekzayA / apagata kaNwakaH sa mArgaH kAma vyApAt avihiMsA vitarkEH /
   kṣemaṃgamanaḥ sa mārgo 'pratihatacittatayā / dhūrtavirahitaḥ sa mārgaḥ	kzemaMgamanaH sa mArgaH apratihata citta tayA / DUrta virahitaH sa mArgaH
   rūpaśabdagandharasasparśaviditatvāt / nihatamārapratyarthikaḥ sa mārgaḥ	rUpa Sabda ganDa rasa sparSa vidita tvAt / nihata mAra pratyarTikaH sa mArgaH
   dhātvāyatanasuvimṛṣṭatvāt / suprabodhaḥ sa mārgaḥ	DAtu Ayatana su vimRzwa tvAt / su praboDaH sa mArgaH
   avidyāndhakāranirāvaraṇatvāt / dṛḍhavīryasattvacittagamanaḥ sa mārgaḥ	avidyA anDakAra nirAvaraNa tvAt / dRXa vIrya sattva citta gamanaH sa mArgaH
   apagataśrāvakapratyekabuddhamanasikāratvāt / utsoḍhaḥ sa mārgaḥ	apagata SrAvaka pratyekabudDa manasikAra tvAt / utsoXaH sa mArgaH
   sarvatathāgatādhiṣṭhitatvāt / mahāratnaniṣpādakaḥ sa mārgaḥ	sarva taTAgata aDizWita tvAt / mahA ratna nizpAdakaH sa mArgaH
   sarvajñatāratnānukūlatvāt / sadāprakāśitaḥ sa mārgaḥ asaṅgajñānasya	sarvajQa tA ratna anukUla tvAt / sadA prakASitaH sa mArgaH asaFga jQAnasya
   bhagavataḥ / kuśalamūladeśakānucīrṇaḥ sa mārgaḥ sarvatathāgatānugṛhītatvāt	BagavataH / kuSala mUla deSaka an ucIrNaH sa mArgaH sarva taTAgata anugRhIta tvAt 
