   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   pradhānaṃ prakṛtiṃ caiva yamāhustattvacintakāḥ /	praDAnam prakRtim ca eva yam AhuH tattva cintakAH /
   gandharūparasairhīnaṃ śabdasparśavivarjitam // BndP_1,3.9 //	ganDa rUpa rasEH hInam Sabda sparSa vivarjitam // Bndu _1,3.9 //
   jagadyonimmahābhūtaṃ paraṃ brahmasanātanam /	jagadyonim mahABUtam param brahma sanAtanam /
   vigrahaṃ sarvabhūtānāmavyaktamabhavatkila // BndP_1,3.10 //	vigraham sarva BUtAnAm avyaktam aBavat kila // Bndu _1,3.10 //
   anādyantamajaṃ sūkṣmaṃ triguṇaṃ prabhavāpyayam /	anAdi antam ajam sUkzmam triguNam praBava apyayam /
   asāṃpratikamajñeyaṃ brahma yatsadasatparam // BndP_1,3.11 //	asAMpratikam ajQeyam brahma yat sat asat param // Bndu _1,3.11 //
   tasyātmanā sarvamidaṃ vyāptamāsīttamomayam /	tasya AtmanA sarvam idam vyAptam AsIt tamaH mayam /
   guṇasāmye tadā tasminnavibhātaṃ tamomayam // BndP_1,3.12 //	guNa sAmye tadA tasmin= aviBAtam tamaH mayam // Bndu _1,3.12 //
   sargakāle pradhānasya kṣatrajñādhiṣṭhitasya vai /	sarga kAle praDAnasya kzatrajQa aDizWitasya vE /
   guṇabhāvādbhāsamāne mahātattva babhūva ha // BndP_1,3.13 //	guNa BAvAt BAsamAne mahA tattva baBUva ha // Bndu _1,3.13 //
   sūkṣmaḥ sa tu mahānagre avyaktena samāvṛtaḥ /	sUkzmaH sa tu mahAn agre avyaktena samAvRtaH /
   sattvodreko mahānagre sattvamātraprakāśakaḥ // BndP_1,3.14 //	sattva udrekaH mahAn agre sattva mAtra prakASakaH // Bndu _1,3.14 //
   sattvānmahānsa vijñeya ekastatkāraṇaḥ samṛtaḥ /	sattvAt mahAn sa vijQeyaH ekaH tad kAraNaH sa mRtaH /
   niṅgamātraṃ samutpannaṃ kṣetrajñādhiṣṭitaṃ mahat // BndP_1,3.15 //	niFga mAtram samutpannam kzetrajQa aDizwitam mahat // Bndu _1,3.15 //
   saṃkalpo 'dhyavasāyaśca tasya vṛttidvayaṃ smṛtam /	saMkalpaH aDyavasAyaH ca tasya vRtti dvayam smRtam /
   mahāsṛṣṭiṃ ca kurute vītamānaḥ sisṛkṣayā // BndP_1,3.16 //	mahA sRzwim ca kurute vIta mAnaH sisRkzayA // Bndu _1,3.16 //
   dharmādīni ca bhūtāni lokatattvārthahetavaḥ /	Darma AdIni ca BUtAni loka tattva arTa hetavaH /
   mano mahātmani brahma durbuddhikhyātirīśvarāt // BndP_1,3.17 //	manaH mahAtmani brahma durbudDi KyAtiH ISvarAt // Bndu _1,3.17 //
   prajñāsaṃdhiśca sarvasvaṃ saṃkhyāyatanaraśmibhiḥ /	prajQA asaMDiH ca sarva svam saMKyA Ayatana raSmiBiH /
   manute sarvabhūtānāṃ tasmācceṣṭaphalo vibhuḥ // BndP_1,3.18 //	manute sarva BUtAnAm tasmAt cezwa PalaH viBuH // Bndu _1,3.18 //
   bhoktā trātā vibhaktātmā varttanaṃ mana ucyate /	BoktA trAtA viBakta AtmA varttanam manaH ucyate /
   tattvānāṃ saṃgrahe yasmānmahāṃśca parimāṇataḥ // BndP_1,3.19 //	tattvAnAm saMgrahe yasmAt mahAn= ca parimANataH // Bndu _1,3.19 //
   śeṣebhyo guṇātattvebhyo mahāniva tanuḥ smṛtaḥ /	SezeByaH guNa atattveByaH mahAn iva tanuH smRtaH /
   vibhaktimānaṃ manute vibhāgaṃ manyate 'pi vā // BndP_1,3.20 //	viBakti mAnam manute viBAgam manyate api vA // Bndu _1,3.20 //
   puruṣo bhogasaṃbandhāttena cāsau sati smṛtaḥ /	puruzaH Boga saMbanDAt tena ca asO sati smRtaH /
   bṛhattvādvṛṃhaṇatvācca bhāvānāmakhilāśrayāt // BndP_1,3.21 //	bRhat tvAt vRMhaNa tvAt ca BAvAnAm aKila ASrayAt // Bndu _1,3.21 //
   yasmādvṛṃhayata bhāvān brahmā tena nirucyate /	yasmAt vRMhayata BAvAn brahmA tena nirucyate /
   āpūrayati yasmācca sarvān dehānanugrahaiḥ // BndP_1,3.22 //	ApUrayati yasmAt ca sarvAn dehAn anugrahEH // Bndu _1,3.22 //
   budhyate puruṣaścātra sarvān bhāvānpṛthak pṛthak /	buDyate puruzaH ca atra sarvAn BAvAn pRTak pRTak /
   tasmiṃstu kāryakaraṇaṃ saṃsiddhaṃ brahmaṇaḥ purā // BndP_1,3.23 //	tasmin= tu kArya karaNam saMsidDam brahmaNaH purA // Bndu _1,3.23 //
   prākṛtaṃ devi vartaṃ māṃ kṣetrajño brahmasaṃmitaḥ /	prAkRtam devi vartam mAm kzetrajQaH brahma saMmitaH /
   sa vai śarīrī prathamaḥ purā puruṣa ucyate // BndP_1,3.24 //	sa vE SarIrI praTamaH purA puruzaH ucyate // Bndu _1,3.24 //
   ādikarttā sa bhūtānāṃ brahmāgre samavarttinām // BndP_1,3.25 //	AdikarttA sa BUtAnAm brahma agre samavarttinAm // Bndu _1,3.25 //
   hiraṇyagabhaḥ so 'ṇḍe 'sminprādurbhūtaścaturmukhaḥ /	hiraNyagaBaH saH aNxe asmin prAdurBUtaH caturmuKaH /
   sarge ca pratisarge ca kṣetrajño brahma saṃsitaḥ // BndP_1,3.26 //	sarge ca pratisarge ca kzetrajQaH brahma saMsitaH // Bndu _1,3.26 //
   karaṇaiḥ saha pṛcchante pratyāhārestyajanti ca /	karaNEH saha pRcCante pratyAhAreH tyajanti ca /
   bhajante ca punardehāṃste samāhārasaṃdhisu // BndP_1,3.27 //	Bajante ca punar dehAn= te samAhAra saMDisu // Bndu _1,3.27 //
   hiraṇmayastu yo merustasyoddharturmahātmanaḥ /	hiraNmayaH tu yaH meruH tasya udDartuH mahAtmanaH /
   gartodakaṃ sabudāstu hareyuścāpi pañcatāḥ // BndP_1,3.28 //	garta udakam sa budAH tu hareyuH ca api paQcatAH // Bndu _1,3.28 //
   yasminnaṇḍa ime lokāḥ sapta vai saṃpratiṣṭhitāḥ /	yasmin= aNxaH ime lokAH sapta vE saMpratizWitAH /
   pṛthivī saptabhirdvīpaiḥ samudraiḥ saha saptabhiḥ // BndP_1,3.29 //	pRTivI saptaBiH dvIpEH samudrEH saha saptaBiH // Bndu _1,3.29 //
   parvataiḥ sumahadbhiśca nadībhiśca sahasraśaḥ /	parvatEH su mahadBiH ca nadIBiH ca sahasraSas /
   antaḥsthasya tvime lokā antarviśvamidaṃ jagat // BndP_1,3.30 //	antar sTasya tu ime lokAH antar viSvam idam jagat // Bndu _1,3.30 //
   candrādityau sanakṣatau saṃgrahaḥ saha vāyunā /	candra AdityO sana kzatO saMgrahaH saha vAyunA /
   lokālokaṃ ca yat kiñcidaṇḍe tasminpratiṣṭitam // BndP_1,3.31 //	lokAlokam ca yat kiQcid aNxe tasmin pratizwitam // Bndu _1,3.31 //
   āpo daśaguṇe naiva tejasā bāhyato vṛtāḥ /	ApaH daSaguNe na eva tejasA bAhyatas vRtAH /
   tejo daśaguṇenaiva bāhyato vāyunā vṛtam // BndP_1,3.32 //	tejaH daSaguNena eva bAhyatas vAyunA vRtam // Bndu _1,3.32 //
   vāyurdaśaguṇenaiva bāhyato nabhasā vṛtaḥ /	vAyuH daSaguNena eva bAhyatas naBasA vRtaH /
   ākāśamāvṛtaṃ sarvaṃ bahirbhūtādinā tathā // BndP_1,3.33 //	AkASam AvRtam sarvam bahis BUta AdinA taTA // Bndu _1,3.33 //
   bhūtādirmahatā caiva pradhānenāvṛto mahān /	BUtAdiH mahatA ca eva praDAnena AvRtaH mahAn /
   ebhirāvaraṇairaṇḍaṃ saptabhiḥ prākṛtairvṛtam // BndP_1,3.34 //	eBiH AvaraNa eraNxam saptaBiH prAkRtEH vRtam // Bndu _1,3.34 //
   icchayā vṛtya cānyonyamaraṇe prakṛtayaḥ sthitaḥ /	icCayA vRtya ca anyonya maraNe prakRtayaH sTitaH /
   prasargakāle sthitvā ca grasaṃtasca parasparam // BndP_1,3.35 //	prasarga kAle sTitvA ca grasaMtasca parasparam // Bndu _1,3.35 //
   evaṃ parasparaiścaiva dhārayanti parasparam /	evam parasparEH ca eva DArayanti parasparam /
   ādhārādheyabhāvena vikārāste vikāriṣu // BndP_1,3.36 //	ADAra ADeya BAvena vikArAH te vikArizu // Bndu _1,3.36 //
   avyaktaṃ kṣetramityuktaṃ brahma kṣetrajñamucyate /	avyaktam kzetram iti uktam brahma kzetrajQam ucyate /
   ityevaṃ prākṛtaḥ sargaḥ kṣetrajñādhiṣṭhitastu saḥ // BndP_1,3.37 //	iti evam prAkRtaH sargaH kzetrajQa aDizWitaH tu saH // Bndu _1,3.37 //
   abuddhipūrvaḥ prathamaḥ prādurbhūtastaḍidyathā /	abudDi pUrvaH praTamaH prAdurBUtaH taxit yaTA /
   etaddhiraṇyagarbhasya canma yo vetti tattvataḥ /	etat hiraNyagarBasya canma yaH vetti tattvataH /
   āyuṣmānkīrtimāndhanyaḥ prajñāvāṃśca na saṃśayaḥ // BndP_1,3.38 //	AyuzmAn kIrtimAn DanyaH prajQAvAn= ca na saMSayaH // Bndu _1,3.38 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte pūrvabhāge prathame prakriyāpāde	iti SrI brahmANxe mahApurANe vAyu prokte pUrva BAge praTame prakriyA pAde
   hiraṇyagarbhotpattivarṇanaṃ nāma tṛtīyo 'dhyāya	hiraNyagarBotpattivarNanam nAma tRtIyaH aDyAya
   suta uvāca	sutaH uvAca
   ātmanyavasthite vyakte vikāre pratisaṃhate /	Atmani avasTite vyakte vikAre pratisaMhate /
   sādharmyeṇāvatiṣṭhete pradhānapuruṣau tadā // BndP_1,4.1 //	sADarmyeNa avatizWete praDAna puruzO tadA // Bndu _1,4.1 //
   tamaḥsattva guṇāvetau samatvena vyavasthitau /	tamaH sattva guNO= etO samatvena vyavasTitO /
   anudriktāvanucarau tena proktau parasparam // BndP_1,4.2 //	anudriktO= anucarO tena proktO parasparam // Bndu _1,4.2 //
   guṇasāmye layo jñeya ādhikye sṛṣṭirucyate /	guNa sAmye layaH jQeyaH ADikye sRzwiH ucyate /
   sattvavṛddhau sthitirabhūd dhruvaṃ padma śikhāsthitam // BndP_1,4.3 //	sattva vRdDO sTitiH aBUt Druvam padma SiKA sTitam // Bndu _1,4.3 //
   yadā tamasi sattve ca rajopyanugataṃ sthitam /	yadA tamasi sattve ca rajopi anugatam sTitam /
   rajaḥ pravartakaṃ tacca bījeṣviva yathā jalam // BndP_1,4.4 //	rajaH pravartakam tat ca bIjezu iva yaTA jalam // Bndu _1,4.4 //
   guṇā vaiṣamyamāsādya prasaṃgena pratiṣṭhitāḥ /	guNAH vEzamyam AsAdya prasaMgena pratizWitAH /
   guṇebhyaḥ kṣobhyamāṇebhyastrayo jñeyā hi sādare // BndP_1,4.5 //	guNeByaH kzoByamANeByaH trayaH jQeyAH hi sa Adare // Bndu _1,4.5 //
   śāśvatāḥ paramā guhyāḥ sarvātmānaḥ śarīriṇaḥ /	SASvatAH paramAH guhyAH sarva AtmAnaH SarIriNaH /
   sattvaṃ viṣṇū rajo brahmā tamo rudraḥ prajāpatiḥ // BndP_1,4.6 //	sattvam vizNuH rajaH brahmA tamaH rudraH prajApatiH // Bndu _1,4.6 //
   rajaḥprakāśakoviṣṇurbrahmasraṣṭṛtvamāpnuyāt /	rajaH prakASa kovizNuH brahma srazwR tvam ApnuyAt /
   jāyate ca yataścatrā lokasṛṣṭirmahojasaḥ // BndP_1,4.7 //	jAyate ca yatas catrAH loka sRzwiH mahojasaH // Bndu _1,4.7 //
   tamaḥprakāśako viṣṇuḥ kālatvena vyavasthitaḥ /	tamaH prakASakaH vizNuH kAla tvena vyavasTitaH /
   sattvaprakāśako viṣṇuḥ sthititvena vyavasthitaḥ // BndP_1,4.8 //	sattva prakASakaH vizNuH sTiti tvena vyavasTitaH // Bndu _1,4.8 //
   eta eva trayo lokā eta eva trayo guṇāḥ /	ete eva trayaH lokAH ete eva trayaH guNAH /
   eta eva trayo vedā eta eva trajo 'gnayaḥ // BndP_1,4.9 //	ete eva trayaH vedAH ete eva trajaH agnayaH // Bndu _1,4.9 //
   parasparānvayā hyete parasparamanuvratāḥ /	paraspara anvayAH hi ete parasparam anuvratAH /
   paraspareṇa vartante prerayanti parasparam // BndP_1,4.10 //	paraspareNa vartante prerayanti parasparam // Bndu _1,4.10 //
   anyonyaṃ mithunaṃ hyete anyonyamupajīvinaḥ /	anyonyam miTunam hi ete anyonyam upajIvinaH /
   kṣaṇaṃ viyogo na hyeṣāṃ na tyajanti parasparam // BndP_1,4.11 //	kzaNam viyogaH na hi ezAm na tyajanti parasparam // Bndu _1,4.11 //
   pradhānaguṇavaiṣamyātsargakāle pravarttate /	praDAna guNa vEzamyAt sarga kAle pravarttate /
   adṛṣṭādhiṣṭhitātpūrve tasmātsadasadātmakāt // BndP_1,4.12 //	adRzwa aDizWitAt pUrve tasmAt sat asat AtmakAt // Bndu _1,4.12 //
   brahmā buddhitvamithunaṃ yugapatsaṃbabhūva ha /	brahmA budDi tva miTunam yugapad saMbaBUva ha /
   tasmāttamovyaktamayaṃ kṣetrajño brahmasaṃjñakaḥ // BndP_1,4.13 //	tasmAt tamaH vyakta mayam kzetrajQaH brahma saMjQakaH // Bndu _1,4.13 //
   saṃsiddhakāryakaraṇo brahmagre samavarttata /	saMsidDa kArya karaNaH brahmagre samavarttata /
   tejasāpratimo dhīmānavyaktaḥ saṃprakāśakaḥ // BndP_1,4.14 //	tejasA apratimaH DImAn avyaktaH saMprakASakaH // Bndu _1,4.14 //
   sa vai śarīraprathamo dhāraṇatvavyavasthitaḥ /	sa vE SarIra praTamaH DAraNa tva vyavasTitaH /
   jñānenāpratimeneha vairāgyeṇa ca saptatiḥ // BndP_1,4.15 //	jQAnena apratimena iha vErAgyeNa ca saptatiH // Bndu _1,4.15 //
   avyaktatvāya tenāsya manasā yadyadicchati /	avyakta tvAya tena asya manasA yat yat icCati /
   vaśīkṛtatvāttraiguṇyātsāpekṣatvācca bhāvataḥ // BndP_1,4.16 //	vaSIkRta tvAt trEguNyAt sa apekza tvAt ca BAvataH // Bndu _1,4.16 //
   caturmukhastu brahmatve kālatve cāntakṛdbhavaḥ /	caturmuKaH tu brahma tve kAla tve ca anta kRt BavaH /
   sahasramūrdhā puruṣastisro 'vasthāḥsvayaṃbhuvaḥ // BndP_1,4.17 //	sahasramUrDA puruzaH tisraH avasTAH svayaMBuvaH // Bndu _1,4.17 //
   sarvaṃ rajaśca brahmatve kālatve carajastamaḥ /	sarvam rajaH ca brahma tve kAla tve carajaH tamaH /
   sāttvikaḥ puruṣatve ca guṇavṛtaṃ svayaṃbhuvaḥ // BndP_1,4.18 //	sAttvikaH puruza tve ca guNa vRtam svayaMBuvaH // Bndu _1,4.18 //
   brahmatve sṛjate lokān kālatve saṃkṣayatyapi /	brahma tve sRjate lokAn kAla tve saMkzayati api /
   puruṣatve udāsīnastisro 'vasthāḥ svayaṃbhuvaḥ // BndP_1,4.19 //	puruza tve udAsInaH tisraH avasTAH svayaMBuvaH // Bndu _1,4.19 //
   brahmā kamala patrākṣaḥ kālo jātyañjanaprabhaḥ /	brahmA kamala patrAkzaH kAlaH jAti aQjana praBaH /
   puruṣaḥ puṇḍarīkākṣo rūpeṇa paramātmanaḥ // BndP_1,4.20 //	puruzaH puNxarIkAkzaH rUpeNa paramAtmanaH // Bndu _1,4.20 //
   ekadhā sa dvidhā caiva tridhā ca bahudhā punaḥ /	ekaDA sa dviDA ca eva triDA ca bahuDA punar /
   yogīśvaraḥ śarīrāṇi karoti vikarotica // BndP_1,4.21 //	yogi ISvaraH SarIrANi karoti vikaroti ca // Bndu _1,4.21 //
   nānākṛtikriyārūpamāśrayantisvalīlayā /	nAnA AkRti kriyA rUpam ASrayanti sva lIlayA /
   tridhā yadvartate loke tasmātrriguṇa ucyate // BndP_1,4.22 //	triDA yat vartate loke tasmAtrriguNaH ucyate // Bndu _1,4.22 //
   caturddhā pravibhaktatvāccaturvyūhaḥ prakīrttitaḥ /	caturdDA praviBakta tvAt catur vyUhaH prakIrttitaH /
   yadā śete tadārdhāte yadbhuṅkte viṣayānprabhuḥ // BndP_1,4.23 //	yadA Sete tadA arDAte yat BuFkte vizayAn praBuH // Bndu _1,4.23 //
   yatsvasthāḥ satataṃ bhāvastasmādātmā nirūcyate /	yad svasTAH satatam BAvaH tasmAt AtmA nirUcyate /
   ṛṣiḥ sarvagataścātra śarīre so 'bhyayātprabhuḥ // BndP_1,4.24 //	RziH sarva gataH ca atra SarIre saH aByayAt praBuH // Bndu _1,4.24 //
   svāmī sarvasya yatsarvaṃviṣṇuḥ sarvapraveśanāt /	svAmI sarvasya yat sarvaMvizNuH sarva praveSanAt /
   bhagavānagrasadbhāvānnāgo nāgasvasaṃśrayāt // BndP_1,4.25 //	BagavAn agrasadBAvAt nAgaH nAga sva saMSrayAt // Bndu _1,4.25 //
   paramaḥ saṃprahṛṣṭatvāddevatādomiti smṛtiḥ /	paramaH saMprahRzwa tvAt devatAdom iti smRtiH /
   sarvajñaḥ sarvavijñānātsarvaḥsarvaṃyatastataḥ // BndP_1,4.26 //	sarvajQaH sarva vijQAnAt sarvaH sarvaMyataH tatas // Bndu _1,4.26 //
   narāṇāṃ svāpanaṃ brahmā tasmānnārāyaṇaḥ smṛtaḥ /	narANAm svApanam brahmA tasmAt nArAyaNaH smRtaH /
   tridhā vibhajya cātmānaṃ sakalaḥ saṃpravarttate // BndP_1,4.27 //	triDA viBajya ca AtmAnam sakalaH saMpravarttate // Bndu _1,4.27 //
   sṛjate grasate caiva pālyate ca tribhiḥ svayam /	sRjate grasate ca eva pAlyate ca triBiH svayam /
   so 'gre hiraṇyagarbhaḥ san prādurbhūtaḥ svayaṃ prabhuḥ // BndP_1,4.28 //	saH agre hiraNyagarBaH san prAdurBUtaH svayam praBuH // Bndu _1,4.28 //
   ādyo hi svavaśaścaiva ajātatvādajaḥ smṛtaḥ /	AdyaH hi svavaSaH ca eva ajAta tvAt ajaH smRtaH /
   tasmāddhiraṇyagarbhaśca purāṇeṣu nirucyate // BndP_1,4.29 //	tasmAt hiraNyagarBaH ca purANezu nirucyate // Bndu _1,4.29 //
   svayaṃbhuvo nivṛttasya kālo varṇāgratastu yaḥ /	svayaMBuvaH nivRttasya kAlaH varNa agratas tu yaH /
   na śakyaḥ parisaṃkhyātuṃ manuvarṣaśatairapi // BndP_1,4.30 //	na SakyaH parisaMKyAtum manu varza SatEH api // Bndu _1,4.30 //
   kalpasaṃkhyānivṛttastu parārdho brahmaṇaḥ smṛtaḥ /	kalpa saMKyA nivRttaH tu parArDaH brahmaNaH smRtaH /
   tāvattve so 'sya kālo 'nyastasyānte pratibuddhyate // BndP_1,4.31 //	tAvat tve saH asya kAlaH anyaH tasya ante pratibudDyate // Bndu _1,4.31 //
   koṭivarṣasahasrāṇi gṛhabhūtāni yāni ca /	kowi varza sahasrANi gRha BUtAni yAni ca /
   samatītāni kalpānāṃ tāvaccheṣātparetu ye // BndP_1,4.32 //	samatItAni kalpAnAm tAvat SezAt paretu ye // Bndu _1,4.32 //
   yatsvayaṃ varttate kalpo vārāhastannibodhata /	yat svayam varttate kalpaH vArAhaH tat niboData /
   prathamaṃ sāṃpratasteṣāṃ kalpo vai varttate ca yaḥ // BndP_1,4.33 //	praTamam sAMprataH tezAm kalpaH vE varttate ca yaH // Bndu _1,4.33 //
   pūrṇe yugasahasre tu paripālyaṃ nareśvaraiḥ // BndP_1,4.34 //	pUrNe yuga sahasre tu paripAlyam nareSvarEH // Bndu _1,4.34 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte pūrvabhāge prathame prakriyāpade	iti SrI brahmANxe mahApurANe vAyu prokte pUrva BAge praTame prakriyA pade
   lokakalpanaṃ nāma caturtho 'dhyāyaḥ	lokakalpanam nAma caturTaH aDyAyaH
   śrīsūta uvāca	SrI sUtaH uvAca
   āpo 'gre sarvagā āsannenasimanpṛthivītale /	ApaH agre sarvagAH Asannena siman pRTivI tale /
   śāntavātaiḥ pralīne 'sminna prājñāyata kiñcana // BndP_1,5.1 //	SAnta vAtEH pralIne asmin na prAjQAyata kiQcana // Bndu _1,5.1 //
   ekārṇave tadā tasminnaṣṭe sthāvarajaṅgame /	ekArNave tadA tasmin= azwe sTAvara jaFgame /
   vibhurbhavati sa brahmā sahasrākṣaḥ sahasrapāt // BndP_1,5.2 //	viBuH Bavati sa brahmA sahasrAkzaH sahasrapAd // Bndu _1,5.2 //
   sahasraśīrṣā puruṣo rukmavarṇo hyatīndriyaḥ /	sahasra SIrzA puruzaH rukma varNaH hi atIndriyaH /
   brahma nārāyaṇākhyastu suṣvāpa salile tadā // BndP_1,5.3 //	brahma nArAyaNa AKyaH tu suzvApa salile tadA // Bndu _1,5.3 //
   sattvodrekānniṣiddhastu śūnyaṃ lokamavaikṣata /	sattva udrekAt nizidDaH tu SUnyam lokam avEkzata /
   imaṃ codāharantyatrar ślokaṃ nārāyaṇaṃ prati // BndP_1,5.4 //	imam ca udAharanti atrar Slokam nArAyaNam prati // Bndu _1,5.4 //
   āpo nārā iti proktā āpo vai narasūnavaḥ /	ApaH nArAH iti proktAH ApaH vE nara sUnavaH /
   ayana tasya tāḥproktāstena nārāyaṇaḥ smṛtaḥ // BndP_1,5.5 //	ayana tasya tAH proktAH tena nArAyaNaH smRtaH // Bndu _1,5.5 //
   tulya yugasahasrasya vasankālamupāsyataḥ /	tulya yuga sahasrasya vasan kAlam upAsyataH /
   svarṇapatreprakurute brahmatvādarśakāraṇāt // BndP_1,5.6 //	svarNa patra Iprakurute brahmatva AdarSa kAraNAt // Bndu _1,5.6 //
   brahma tu salile tasminnavāg bhūtvā tadā caran /	brahma tu salile tasmin= avAc BUtvA tadA caran /
   niśāyāmiva khadyotaḥ prāpṛṭkāle tatastataḥ // BndP_1,5.7 //	niSAyAm iva KadyotaH prApRz kAle tatas tatas // Bndu _1,5.7 //
   tatastu salile tasmin vijñāyāntargate mahat /	tatas tu salile tasmin vijQAya antargate mahat /
   anumānādasaṃmūḍho bhūmeraddharaṇaṃ prati // BndP_1,5.8 //	anumAnAt asaMmUXaH BUmeH adDaraNam prati // Bndu _1,5.8 //
   oṅkārāṣṛtanuṃ tvanyāṃ kalpādiṣu yathā purā /	oFkAra azR tanum tu anyAm kalpa Adizu yaTA purA /
   tato mahātmā manasā divyarūpama cintayat // BndP_1,5.9 //	tatas mahAtmA manasA divya rUpama cintayat // Bndu _1,5.9 //
   salile 'vaplutāṃ bhūmiṃ dṛṣṭvā sa samacintayat /	salile avaplutAm BUmim dRzwvA sa samacintayat /
   kiṃ tu rūpamahaṃ kṛtvā salilāduddhare mahīm // BndP_1,5.10 //	kim tu rUpam aham kRtvA salilAt udDare mahIm // Bndu _1,5.10 //
   jalakrīḍāsamucitaṃ vārāhaṃ rūpamasmarat /	jala krIxA samucitam vArAham rUpam asmarat /
   udṛśyaṃ sarvabhūtānāṃ vāṅmayaṃ brahmasaṃjñitam // BndP_1,5.11 //	udRSyam sarva BUtAnAm vAc mayam brahma saMjQitam // Bndu _1,5.11 //
   daśayojanavistīrṇamāyataṃśatayojanam /	daSa yojana vistIrNam AyataMSata yojanam /
   nīlameghapratīkāśaṃ meghastanitaniḥsvanam // BndP_1,5.12 //	nIla meGa pratIkASam meGa stanita niHsvanam // Bndu _1,5.12 //
   mahāparvatavarṣmāṇaṃ śvetatīkṣṇogradaṃṣṭriṇām /	mahA parvata varzmANam Sveta tIkzNa ugra daMzwriNAm /
   vidyudagnipratikāśamādityasamatejasam // BndP_1,5.13 //	vidyut agni pratikASam Aditya sama tejasam // Bndu _1,5.13 //
   pīnavṛttāyataskandhaṃ viṣṇuvikramagāmi ca /	pIna vRtta Ayata skanDam vizNu vikrama gAmi ca /
   pīnonnatakaṭīdeśaṃ vṛṣalakṣaṇapūjitam // BndP_1,5.14 //	pIna unnata kawI deSam vRza lakzaNa pUjitam // Bndu _1,5.14 //
   āsthāya rūpamatulaṃ vārāhamamitaṃ hariḥ /	AsTAya rUpam atulam vArAham amitam hariH /
   pṛthivyuddharaṇārthāya praviveśa rasātalam // BndP_1,5.15 //	pRTivI udDaraNa arTAya praviveSa rasAtalam // Bndu _1,5.15 //
   dīkṣāsamāptīṣṭidaṃṣṭraḥkratudanto juhūsukhaḥ /	dIkzA samApti izwi daMzwraH kratu dantaH juhUsuKaH /
   agnijihvo darbharomā brahmaśīrṣo mahātapāḥ // BndP_1,5.16 //	agni jihvaH darBa romAH brahma SIrzaH mahA tapAH // Bndu _1,5.16 //
   vedaskandho havirgandhirhavyakavyādivegavān /	veda skanDaH haviH ganDiH havya kavya Adi vegavAn /
   prāgvaṃśakāyo dyutimān nānādīkṣābhiranvitaḥ // BndP_1,5.17 //	prAc vaMSa kAyaH dyutimAn nAnA dIkzABiH anvitaH // Bndu _1,5.17 //
   dakṣiṇā tdṛdayo yogī śraddhāsattvamayo vibhuḥ /	dakziNA tdRdayaH yogI SradDA sattva mayaH viBuH /
   upākarmaruciścaiva pravargyāvartabhūṣaṇaḥ // BndP_1,5.18 //	upAkarma ruciH ca eva pravargya Avarta BUzaNaH // Bndu _1,5.18 //
   nānāchandogatipatho guhyopaniṣadāsanaḥ /	nAnA CandaH gati paTaH guhya upanizadAsanaH /
   māyāpatnīsahāyo vai giriśṛṅgamivocchrayaḥ // BndP_1,5.19 //	mAyA patnI sahAyaH vE giri SRFgam iva ucCrayaH // Bndu _1,5.19 //
   ahorātrekṣaṇādharo vedāṅgaśrutibhūṣaṇaḥ /	ahorAtra IkzaNa aDaraH vedAFga Sruti BUzaNaH /
   ājyagandhaḥ sruvastuṇḍaḥ sāmaghoṣasvano mahān // BndP_1,5.20 //	Ajya ganDaH sruvaH tuNxaH sAma Goza svanaH mahAn // Bndu _1,5.20 //
   satyadharmamayaḥ śrīmān karmavikramasatkṛtaḥ /	satya Darma mayaH SrImAn karma vikrama satkRtaH /
   prāyaścittanakho ghoraḥ paśujānurmahāmakhaḥ // BndP_1,5.21 //	prAyaScitta naKaH GoraH paSu jAnuH mahA maKaH // Bndu _1,5.21 //
   udgātātro homaliṅgaḥ phalabījamahoṣadhīḥ /	udgAtA atraH homa liFgaH Pala bIja mahozaDIH /
   vādyantarātmasatrasya nāsmikāso maśoṇitaḥ // BndP_1,5.22 //	vAdi antara Atma satrasya na asmikAsaH maSoNitaH // Bndu _1,5.22 //
   bhaktā yajñavarāhāntāścāpaḥ saṃprāviśatpunaḥ /	BaktAH yajQavarAha antAH ca apaH saMprAviSat punar /
   agnisaṃchāditāṃ bhūmiṃ samāmicchanprajāpatim // BndP_1,5.23 //	agni saMCAditAm BUmim samAm icCan prajApatim // Bndu _1,5.23 //
   upagamyā juhāvaitā madyaścādyasamanyasat /	upagamyAH juhAva etAH madyaH ca Adya samanyasat /
   māmudrāśca samudreṣu nādeyāśca nadīṣu ca /	mAmudrAH ca samudrezu nAdeyAH ca nadIzu ca /
   pṛthak tāstu samīkṛtya pṛthivyāṃ so 'cinodgirīn // BndP_1,5.24 //	pRTak tAH tu samIkRtya pRTivyAm saH acinot girIn // Bndu _1,5.24 //
   prāksarge dahyamānāstu tadā saṃvartakāgninā /	prAc sarge dahyamAnAH tu tadA saMvartaka agninA /
   denāgninā vilīnāste parvatā bhuvi sarvaśaḥ // BndP_1,5.25 //	dena agninA vilInAH te parvatAH Buvi sarvaSas // Bndu _1,5.25 //
   satyādekārṇave tasmin vāyunā yattu saṃhitāḥ /	satyAt ekArNave tasmin vAyunA yat tu saMhitAH /
