   1. jñānādhikāraḥ //	1. jQAna-aDikAraH //
   sarvatraikapramātṛlīnav evānubhāvyānubhāvakau māyākṛtavicchinnāvabhāsav	sarvatra-eka-pramAtR-lInau eva-anuBAvya-anuBAvakO mAyA-kRta-vicCinna-avaBAsav
   api prakāśete //	api prakASete //
   iti jñānādhikāre caturtham āhnikam //	iti jQAna-aDikAre caturTam Ahnikam //
   vartamānāvabhāsānāṃ bhāvānām avabhāsanam /	vartamAna-avaBAsAnAm BAvAnAm avaBAsanam /
   antaḥsthitavatām eva ghaṭate bahir ātmanā // Ipk_1,5.1 //	antar-sTitavatAm eva Gawate bahis AtmanA // Ipk-_1,5.1 //
   Ipv: pratyakṣe 'pi yāvad arthānāṃ bhedenāvabhāsaḥ pramātrantarlīnānām eva	Ipv: pratyakze api yAvat arTAnAm Bedena-avaBAsaH pramAtR-antar-lInAnAm eva
   satāṃ yuktaḥ //	satAm yuktaH //
   prāgivārtho 'prakāśaḥ syāt prakāśātmatayā vinā /	prAk-iva-arTaH aprakASaH syAt prakASa-Atma-tayA vinA /
   na ca prakāśo bhinnaḥ syād ātmārthasya prakāśatā // Ipk_1,5.2 //	na ca prakASaH BinnaH syAt Atma-arTasya prakASa-tA // IpS-_1,5.2 //
   Ipv: pramātṛsaṃjñaprakāśasvarūpatāṃ vinā yathādau ghaṭo 'sya nāvabhāsas	Ipv: pramAtR-saMjQa-prakASa-svarUpa-tAm vinA yaTA-AdO GawaH asya na-avaBAsaH-
   tathā jñānakāle 'pi syāt, prakāśamānatā cārthasya prakāśaḥ svarūpato na tu	taTA jQAna-kAle api syAt, prakASam-AnatA ca-arTasya prakASaH svarUpataH na tu
   bhinnaḥ //	BinnaH //
   bhinne prakāśe cābhinne saṃkaro viṣayasya tat /	Binne prakASe ca-aBinne saMkaraH vizayasya tat /
   prakāśātmā prakāśyo 'rtho nāprakāśaś ca siddhyati // Ipk_1,5.3 //	prakASa-AtmA prakASyaH arTaH na-aprakASaH ca sidDyati // IpS-_1,5.3 //
   Ipv: prakāśamātraṃ cārthād bhinnaṃ sarvārthasādhāraṇaṃ tasya ghaṭasya	Ipv: prakASa-mAtram ca-arTAt Binnam sarva-arTa-sADAraNam tasya Gawasya
   prakāśo 'yam ayaṃ paṭasyaiveti viṣayaniyamo nirnibandhanaḥ / tasmād	prakASaH ayam ayam pawasya-eva-iti vizaya-niyamaH nirnibanDanaH / tasmAt-
   arthasya siddhiḥ prakāśātmatāyattā //	arTasya sidDiH prakASa-Atma-tA-AyattA //
   tattadākasmikābhāso bāhyaṃ ced anumāpayet /	tad-tad-Akasmika-ABAsaH bAhyam ced anumApayet /
   na hy abhinnasya bodhasya vicitrābhāsahetutā // Ipk_1,5.4 //	na hi aBinnasya boDasya vicitra-ABAsa-hetu-tAH // IpS-_1,5.4 //
   Ipv: jaḍānām ābhāsamānataiva sattāsiddhiḥ sā ca ābhāsātmataiva / tataś ca	Ipv: jaxAnAm ABAsamAna-tA-eva sattA-sidDiH sA ca ABAsa-Atma-tA-eva / tatas ca
   bodhamātram ekam evātra tattvam / tasyāviśeṣe 'pi krameṇa viśiṣyamāṇo	boDa-mAtram ekam eva-atra tattvam / tasya-aviSeze api krameNa viSizyamANaH-
   'rthāvabhāsas tato 'nyam aprakāśamānaṃ hetutayā bāhyam artham ūhayed	arTa-avaBAsaH tatas anyam aprakASamAnam hetu-tayA bAhyam arTam Uhayet-
   indiyavat //	indiya-vat //
   na vāsanāprabodho 'tra vicitro hetutām iyāt /	na vAsanA-praboDaH atra vicitraH hetutAm iyAt /
   tasyāpi tatprabodhasya vaicitrye kim nibandhanam // Ipk_1,5.5 //	tasya-api tad-praboDasya vEcitrye kim nibanDanam // IpS-_1,5.5 //
   Ipv: vicitravāsanāprabodho na bodhād bhinnaḥ, tasyāpi vaicitrye ko hetuḥ /	Ipv: vicitra-vAsanA-praboDaH na boDAt BinnaH, tasya-api vEcitrye kaH hetuH /
   tato bāhya evārtho bhinnābhāsahetuḥ //	tatas bAhyaH eva-arTaH Binna-ABAsa-hetuH //
   syād etad avabhāseṣu teṣv evāvasite sati /	syAt etat avaBAsezu tezu eva-avasite sati /
   vyavahāre kim anyena bāhyenānupapattinā // Ipk_1,5.6 //	vyavahAre kim anyena bAhyena-anupapattinA // IpS-_1,5.6 //
   Ipv: ābhāsamānair eva arthair vyavahāraḥ, te cābhāsātmakāḥ santu kā kṣatiḥ	Ipv: ABAsamAnEH eva arTEH vyavahAraH, te ca-ABAsa-AtmakAH santu kA kzatiH
   / tat kiṃ bāhyena kāryaṃ tāvatā lokayātrāsamāpteḥ / bāhyaś cārthaḥ	/ tat kim bAhyena kAryam tAvatA lokayAtrA-samApteH / bAhyaH ca-arTaH
   pramāṇabādhitaḥ sāvayavo viruddhadharmādhyāsāder niravayavaś ca	pramANa-bADitaH sa-avayavaH virudDa-Darma-aDyAsa-AdeH niravayavaH ca
   dikṣaṭkayogāder bahuśaḥ //	diS-zawka-yoga-AdeH bahuSas //
   cidātmaiva hi devo 'ntaḥ- sthitam icchāvaśād bahiḥ /	cit-AtmA-eva hi devaH antaH sTitam icCA-vaSAt bahis /
   yogīva nirupādānam arthajātaṃ prakāśayet // Ipk_1,5.7 //	yogI-iva nirupAdAnam arTa-jAtam prakASayet // IpS-_1,5.7 //
   Ipv: cittattvam eva īśvaratvāt svātmarūpatayā upapannābhāsanam	Ipv: cit-tattvam eva ISvara-tvAt sva-Atma-rUpa-tayA upapanna-ABAsanam
   anantaśaktitvād icchāvaśān mṛdādikāraṇaṃ vinaiva bāhyatvena ghaṭapaṭādikam	ananta-Sakti-tvAt icCA-vaSAt mRdAdi-kAraNam vinA-eva bAhya-tvena Gawa-pawa-Adikam
   artharāśiṃ prakāśayet //	arTa-rASim prakASayet //
   anumānam anābhāta- pūrve naiveṣṭam indriyam /	anumAnam anABAta pUrve na-eva-izwam indriyam /
   ābhātam eva bījāder ābhāsād dhetuvastunaḥ // Ipk_1,5.8 //	ABAtam eva bIja-AdeH ABAsAt Detu-vastunaH // IpS-_1,5.8 //
   Ipv: pūrvāvabhātāntaḥsthita evārthe nāntarīyakārthadarśanavaśāt	Ipv: pUrva-avaBAta-antar-sTitaH eva-arTe na-antarIyaka-arTa-darSana-vaSAt
   tattaddeśakālādiyojanayā vimarśanam anumānam / indriyam apy anumīyate	tad-tad-deSa-kAla-Adi-yojanayA vimarSanam anumAnam / indriyam api anumIyate
   kiṃcinmātraṃ nimittaṃ tac ca bījādyābhāsād ābhāsitam eva //	kiMcid-mAtram nimittam tat ca bIja-Adi-ABAsAt ABAsitam eva //
   ābhāsaḥ punarābhāsad bāhyasyāsīt kathaṃ cana /	ABAsaH punar-ABAsat bAhyasya-AsIt kaTam cana /
   arthasya naiva tenāsya siddhir nāpy anumānataḥ // Ipk_1,5.9 //	arTasya na-eva tena-asya sidDiH na-api anumAnataH // IpS-_1,5.9 //
   Ipv: ghaṭādyābhāsād bāhyasyānupapatter nāsīd ābhāsaḥ, tatas tatra	Ipv: Gawa-Adi-ABAsAt bAhyasya-anupapatteH na-AsIt ABAsaH, tatas tatra
   nānumānād api siddhiḥ //	na-anumAnAt api sidDiH //
   svāminaś cātmasaṃsthasya bhāvajātasya bhāsanam /	svAminaH ca-Atma-saMsTasya BAva-jAtasya BAsanam /
   asty eva na vinā tasmād icchāmarśaḥ pravartate // Ipk_1,5.10 //	asti eva na vinA tasmAt icCA-marSaH pravartate // IpS-_1,5.10 //
   Ipv: cidātmanaś ceśvarasya ātmanīvābhedenārtheṣv api prakāśe 'sty anyathā	Ipv: cit-AtmanaH ca-ISvarasya Atmani-iva-aBedena-arTezu api prakASe asti anyaTA
   pratibhāsamānārthaikaviṣayo nirmātṛtāmayo vimarśa icchārūpo na syāt //	pratiBA-samAna-arTa-eka-vizayaH nirmAtRta-AmayaH vimarSaH icCA-rUpaH na syAt //
   svabhāvam avabhāsasya vimarśaṃ vidur anyathā /	svaBAvam avaBAsasya vimarSam viduH anyaTA /
   prakāśo 'rthoparakto 'pi sphaṭikādijaḍopamaḥ // Ipk_1,5.11 //	prakASaH arTa-uparaktaH api sPawika-Adi-jaxa-upamaH // Ipk-_1,5.11 //
   Ipv: prakāśasya mukhya ātmā pratyavamarśaḥ, taṃ vinā arthabheditākārasyāpy	Ipv: prakASasya muKyaH AtmA pratyavamarSaH, tam vinA arTa-Bedita-AkArasya-api-
   asya svacchatāmātraṃ na tv ajāḍyaṃ camatkṛter abhāvāt //	asya svacCa-tA-mAtram na tu ajAxyam camatkRteH aBAvAt //
   ātmāta eva caitanyaṃ citkriyā citikartṛtā /	AtmAtaH eva cEtanyam cit-kriyA citi-kartR-tA /
   tātparyeṇoditas tena jaḍāt sa hi vilakṣaṇaḥ // Ipk_1,5.12 //	tAtparyeNa-uditaH tena jaxAt sa hi vilakzaNaH // IpS-_1,5.12 //
   Ipv: ātmadravyasya bhāvātmakam apy etaj jaḍād bhedakatayā vimarśākhyaṃ	Ipv: Atma-dravyasya BAva-Atmakam api etat jaxAt Bedaka-tayA vimarSa-AKyam
   mukhyaṃ rūpam uktaṃ caitanyaṃ dṛśiśaktiś citir iti [adopt var: citiśaktir	muKyam rUpam uktam cEtanyam dRSi-SaktiH citiH iti [adA-upt var: citi-SaktiH-
   dṛśir iti] / sā cetanakriyā citikartṛtaiva //	dRSiH iti] / sA cetana-kriyA citikartR-tA-eva //
   citiḥ pratyavamarśātmā parā vāk svarasoditā /	citiH pratyavamarSa-AtmA parA vAc svarasa-uditA /
   svātantryam etan mukhyaṃ tad aiśvaryaṃ paramātmanaḥ // Ipk_1,5.13 //	svAtantryam etat muKyam tat ESvaryam paramAtmanaH // IpS-_1,5.13 //
   Ipv: abhinnavācyādyā vāg eṣā nityacitsvarūpatvenānādyantāparatantrā,	Ipv: aBinna-vAci-AdyA vAc ezA nitya-cit-svarUpa-tvena-anAdyantA-paratantrA,
   bhāvāntarānapekṣaṃ śuddham etat svātantryam aiśvaryasaṃjñam //	BAva-antara-anapekzam SudDam etat svAtantryam ESvarya-saMjQam //
   sā sphurattā mahāsattā deśakālāviśeṣinī /	sA sPurat-tA mahAsattA deSa-kAla-AviSezinI /
   saiṣā sāratayā proktā hṛdayaṃ parameṣṭhinaḥ // Ipk_1,5.14 //	sA-ezA sAratayA proktAH hRdayam paramezWinaH // IpS-_1,5.14 //
   Ipv: sphuradrūpatā sphuraṇakartṛtā abhāvāpratiyoginy abhāvavyāpinī sattā	Ipv: sPurat-rUpa-tA sPuraNa-kartR-tA aBAva-apratiyoginI aBAva-vyApinI sattA
   bhavattā bhavanakartṛtā nityā deśakālāsparśāt saiva pratyavamarśātmā	Bavat-tA Bavana-kartRtA nityA deSa-kAla-asparSAt sA-eva pratyavamarSa-AtmA
   citikriyāśāktiḥ / sā viśvātmanaḥ parameśvarasya svātmapratiṣṭhārūpā	citi-kriyASAktiH / sA viSvAtmanaH parameSvarasya sva-Atma-pratizWA-rUpA
   hṛdayam iti tatra tatrāgame nigadyate //	hRdayam iti tatra tatra-Agame nigadyate //
   ātmānam ata evāyaṃ jñeyīkuryāt pṛthaksthiti /	AtmAnam atas eva-ayam jQeyIkuryAt pRTak-sTiti /
   jñeyaṃ na tu tadaunmukhyāt khaṇḍyetāsya svatantratā // Ipk_1,5.15 //	jQeyam na tu tad-OnmuKyAt KaNxyeta-asya svatantra-tA // IpS-_1,5.15 //
   Ipv: etādṛśaśuddhasvātantryavaśān naiṣa pṛthag eva labdhapratiṣṭhaṃ vastv	Ipv: etAdRSa-SudDa-svAtantrya-vaSAt na-eza pRTak eva labDa-pratizWam vastu-
   avaiti, api tv ajñeyam ātmānam aniyantritaprabhāvatayā jñeyīkaroti /	avEti, api tu ajQeyam AtmAnam aniyantrita-praBAva-tayA jQeyIkaroti /
   bhinnajñeyasāpekṣatve jñānakartṛtā mlāyet //	Binna-jQeyasA-apekza-tve jQAna-kartR-tA mlAyet //
   svātantryāmuktātmānaṃ svātantryād advayātmanaḥ /	svAtantrya-amukta-AtmAnam svAtantryAt advaya-AtmanaH /
   prabhur īśādisaṃkalpair nirmāya vyavahārayet // Ipk_1,5.16 //	praBuH ISa-Adi-saMkalpEH nirmAya vyavahArayet // IpS-_1,5.16 //
   Ipv: ata eva vedyaikībhāvalakṣaṇapūrṇatāmayāt svātantryāt tadānīntanam eva	Ipv: atas eva vedya-ekIBAva-lakzaNa-pUrNa-tAmayAt svAtantryAt tadA-anIntanam eva
   vedakam ātmānam īśvaraḥ śivo veditety evamādivikalpair ābhāsayati	vedakam AtmAnam ISvaraH SivaH veditA-iti evamAdi-vikalpEH ABAsayati
   bhāvanādivyavahārārtham //	BAvanA-Adi-vyavahAra-arTam //
   nāhantādiparāmarśa- bhedād asyānayatātmanaḥ /	na-Ahanta-Adi-parAmarSa BedAt asya-Anayata-AtmanaH /
   ahaṃmṛśyatayāivāsya sṛṣtes tiṅvācyakarmavat // Ipk_1,5.17 //	ahaMmRSya-tayA-aiva-asya sRzteH tiFvAcya-karma-vat // Ipk-_1,5.17 //
   Ipv: vartamānapramātṛbhāve nāhaṃpratyavamarśasya prameyatvenedantā /	Ipv: vartamAna-pramAtR-BAve na-ahaMpratyavamarSasya prameya-tvena-IdantA /
   vimarśabhede cābhāsabhede ca pramātaiveśvaraśabdena sṛṣṭo 'haṃ	vimarSa-Bede ca-ABAsa-Bede ca pramAtA-eva-ISvara-Sabdena sRzwaH aham
   parāmarśavyavadhānena kevalam, yathā kriyādiśabdena pacatyādivācyo 'rthaḥ	parAmarSa-vyavaDAnena kevalam, yaTA kriyA-Adi-Sabdena pacati-Adi-vAcyaH arTaH
   / yathāhuḥ kriyāguṇajātisaṃbandhādiśābdair na kriyādaya ucyante	/ yaTA-AhuH kriyA-guNa-jAti-saMbanDa-AdiSa-abdEH na kriyA-AdayaH ucyante
   pacatyādimukhenābhidhānāt / īśvaraśabdād ātmaśabdāc cāham iti parāmṛśan na	pacati-Adi-muKena-aBiDAnAt / ISvara-SabdAt Atma-SabdAt ca-aham iti parAmRSan na
   evātmānam avaiti na sākṣāt, pratītis tv asty eva	eva-AtmAnam avEti na sAkzAt, pratItiH tu asti eva
   smṛtyevānubhavamukhenānubhūtasya //	smRti-A-iva-anuBava-muKena-anuBUtasya //
   māyāśaktyā vibhoḥ saiva bhinnasaṃvedyagocarā /	mAyA-SaktyA viBoH sA-eva Binna-saMvedya-gocarA /
   kathitā jñānasaṃkalpādhyavasāyādināmabhiḥ // Ipk_1,5.18 //	kaTitA jQAna-saMkalpa-aDyavasAya-Adi-nAmaBiH // IpS-_1,5.18 //
   Ipv: prakāśātmanaḥ parameśvarasya māyāśaktyā svātmarūpaṃ viśvaṃ bhede	Ipv: prakASa-AtmanaH parameSvarasya mAyA-SaktyA sva-Atma-rUpam viSvam Bede
   ābhāsyate / tataḥ saiva citir jñānam adhyakṣam / tasyaiva	ABAsyate / tatas sA-eva citiH jQAnam aDyakzam / tasya-eva
   bhinnasyābhātasya smṛtiḥ saṃkalpo 'dhyavasāyo manobuddhirūpatve 'pi citir	Binnasya-aBAtasya smRtiH saMkalpaH aDyavasAyaH manaH-budDi-rUpa-tve api citiH-
   eva //	eva //
   sākṣātkārakṣaṇe 'py asti vimarśaḥ katham anyathā /	sAkzAtkArakzaNe api asti vimarSaH kaTam anyaTA /
   dhāvanādy upapadyeta pratisaṃdhānavarjitam // Ipk_1,5.19 //	DAvana-Adi upapadyeta pratisaMDAna-varjitam // Ipk-_1,5.19 //
   Ipv: sākṣātkāralakṣaṇe jñāne 'pi cito 'rthapratyavamarśo 'sti sūkṣmaḥ,	Ipv: sAkzAtkAra-lakzaNe jQAne api citaH arTa-pratyavamarSaH asti sUkzmaH,
   vācanadhāvanādau śīghrakriyā	vAcana-DAvana-AdO SIGra-kriyA
   tattaddṛśyamānadeśādyupāditsājihāsānusaṃdhānena hi bhavet //	tad-tad-dRSyamAna-deSa-Adi-upAditsA-ji-hAsa-anusaMDAnena hi Bavet //
   ghaṭo 'yam ity adhyavasā nāmarūpātirekiṇī /	GawaH ayam iti aDyavasA nAma-rUpa-ati-rekiNI /
   pareśaśaktir ātmeva bhāsate na tv idantayā // Ipk_1,5.20 //	pareSa-SaktiH AtmA-iva BAsate na tu idantayA // Ipk-_1,5.20 //
   Ipv: ayam iti ghaṭa iti vādhyavasāyo bhinnaprakāśamānanāmarūpātiriktaś	Ipv: ayam iti GawaH iti vA-aDyavasAyaH Binna-prakASa-mAna-nAma-rUpa-atirikta-S
   citiśaktimaya evātmevābhedena avabhāsate //	citi-Sakti-mayaH eva-AtmA-iva-aBedena avaBAsate //
   kevalaṃ bhinnasamvedya- deśakālānurodhataḥ /	kevalam Binna-samvedya deSa-kAla-anuroDataH /
   jñānasmṛtyavasāyādi sakramaṃ pratibhāsate // Ipk_1,5.21 //	jQAna-smRti-avasAya-Adi sa-kramam pratiBAsate // IpS-_1,5.21 //
   Ipv: cittattvasya māyāśaktyā bhinnaṃ ghaṭādi saṃvedyaṃ	Ipv: cit-tattvasya mAyA-SaktyA Binnam Gawa-Adi saMvedyam
   tattaddeśakālabhinnaṃ prakāśyate yasyābhedenāvaṣṭambhād	tad-tad-deSa-kAla-Binnam prakASyate yasya-aBedena-avazwamBAt-
   vibhinnadeśakālādinā jñānasmṛtyādyābhāsate //	viBinna-deSa-kAla-AdinA jQAna-smRti-Adi-ABAsate //
   iti jñānādhikāre pañcamam āhnikam //	iti jQAna-aDikAre paQcamam Ahnikam //
   ahaṃpratyavamarśo yaḥ prakāśātmāpi vāgvapuḥ /	ahaMpratyavamarSaH yaH prakASa-AtmA-api vAc-vapuH /
   nāsau vikalpaḥ sa hy ukto dvayākṣepī viniścayaḥ // Ipk_1,6.1 //	na-asO vikalpaH sa hi uktaH dvayAkzepI viniScayaH // IpS-_1,6.1 //
   Ipv: prakāśasyātmany ahamiti parāvāgrūpatvāt sābhilāpo 'pi svabhāvabhūtaḥ	Ipv: prakASasya-Atmani aham-iti parAvAc-rUpa-tvAt sa-aBilApaH api svaBAva-BUtaH
   pratyavamarśo na vikalpa ity ucyate, sa hi pratiyoginiṣedhapūrvo niścayo	pratyavamarSaH na vikalpaH iti ucyate, sa hi pratiyogi-nizeDa-pUrvaH niScayaH-
   na cātra pratiyogisaṃbhavaḥ //	na ca-atra pratiyogi-saMBavaH //
   bhinnayor avabhāso hi syād ghaṭāghaṭayor dvayoḥ /	BinnayoH avaBAsaH hi syAt Gawa-aGawayoH dvayoH /
   prakāśasyeva nānyasya bhedinas tv avabhāsanam // Ipk_1,6.2 //	prakASasya-iva na-anyasya BedinaH tu avaBAsanam // IpS-_1,6.2 //
   Ipv: prakāśād dvitīyasya bhinnasya pratiyogino	Ipv: prakASAt dvitIyasya Binnasya pratiyoginaH-
   'prakāśasaṃjñasyānavabhāsane prakāśetaratvaṃ na syāt / tasyānābhāse	aprakASa-saMjQasya-anavaBAsane prakASa-itara-tvam na syAt / tasya-anABAse
   vyapohanāyogād vikalpatāhāniḥ //	vyapohana-ayogAt vikalpa-tA-hAniH //
   tathā ca	taTA ca
   tadatatpratibhābhājā mātraivātadvyapohanāt /	tad-atad-pratiBA-BAjA mAtrA-eva-Atad-vyapohanAt /
   tanniścayanamukto hi vikalpo ghaṭa ity ayam // Ipk_1,6.3 //	tad-niScayana-muktaH hi vikalpaH GawaH iti ayam // Ipk-_1,6.3 //
   Ipv: pramātur eva svatantrasyāntarlīnatadatadarthābhāsasya atadapohanena	Ipv: pramAtuH eva svatantrasya-antar-lIna-tada-tad-arTa-ABAsasya atad-apohanena
   ghaṭa iti niścayo vikalpo nāma vyāpāraḥ //	GawaH iti niScayaH vikalpaH nAma vyApAraH //
   cittattvaṃ māyayā hitvā bhinna evāvabhāti yaḥ /	cit-tattvam mAyayA hitvA BinnaH eva-avaBAti yaH /
   dehe buddhāv atha prāṇe kalpite nabhasīva vā // Ipk_1,6.4 //	dehe budDO aTa prANe kalpite naBasi-iva vA // Ipk-_1,6.4 //
   pramātṛtvenāham iti vimarśo 'nyavyapohanāt /	pramAtR-tvena-aham iti vimarSaH anya-vyapohanAt /
   vikalpa eva sa para- pratiyogy avabhāsajaḥ // Ipk_1,6.5 //	vikalpaH eva sa para pratiyogi avaBAsa-jaH // IpS-_1,6.5 //
   Ipv: cidacittattvasyaiveśvarasya māyāśaktyā bhedāvabhāsini śarīre buddhav	Ipv: cit-acit-tattvasya-eva-ISvarasya mAyA-SaktyA Beda-avaBAsini SarIre budDav
   āntare vā sparśe taduttīrṇe vākāśa iva śūnya eva vikalpite 'hamiti	Antare vA sparSe tad-uttIrNe vA-AkASaH iva SUnyaH eva vikalpite aham-iti
   pramātṛbhāvena vimarśaḥ, tattadābhāsamānaśarīrādipratiyogyapohanakaraṇād	pramAtR-BAvena vimarSaH, tad-tad-ABAsamAna-SarIra-Adi-pratiyogi-apohana-karaNAt-
   ghaṭo 'yam itivad vikalpa eva //	GawaH ayam iti-vat vikalpaH eva //
   kādācitkāvabhāse yā pūrvābhāsādiyojanā /	kAdAcid-ka-avaBAse yA pUrva-ABAsa-Adi-yojanA /
   saṃskārāt kalpanā proktā sāpi bhinnāvabhāsini // Ipk_1,6.6 //	saMskArAt kalpanA proktA sA-api Binna-avaBAsini // IpS-_1,6.6 //
   Ipv: vichinnavicchinneṣu śūnyadehādyābhāsabhedeṣu pūrvābhāsāhaṃkārākhyānām	Ipv: viCinna-vicCinnezu SUnya-deha-Adi-ABAsa-Bedezu pUrva-ABAsa-ahaMkAra-AKyAnAm
   aikyayojanāntaḥpūrvābhāsasthitilakṣaṇasaṃskārāśritā pramātṛvyāpārarūpā	Ekya-yojana-antar-pUrva-ABAsa-sTiti-lakzaNa-saMskAra-ASritA pramAtR-vyApAra-rUpA
   kalpanaiva pratyabhijñākhyā //	kalpanA-eva pratyaBijQA-AKyA //
   tad evaṃ vyavahāre 'pi prabhur dehādim āviśan /	tat evam vyavahAre api praBuH deha-Adim AviSan /
   bhāntam evānta arthaugham icchayā bhāsayed bahiḥ // Ipk_1,6.7 //	BAntam eva-anta arTa-oGam icCayA BAsayet bahis // IpS-_1,6.7 //
   Ipv: ādisarge vā vyavahāre 'pi vā maheśvaro māyāśaktyā dehādim ātmatvena	Ipv: Adisarge vA vyavahAre api vA maheSvaraH mAyA-SaktyA deha-Adim Atma-tvena
   abhiniviśya pramātāraṃ kurvann antaḥsthitaṃ vibhāntam eva taṃ tam arthaṃ	aBiniviSya pramAtAram kurvan antar-sTitam viBAntam eva tam tam arTam
   krameṇa bahīrūpaṃ kartṛśaktyā bhāsayati / tathābhāsanam evotpādanam / asya	krameNa bahIrUpam kartR-SaktyA BAsayati / taTA-ABAsanam eva-utpAdanam / asya
   dehādyanāviṣṭasya tu svato yugapad ahamidam iti sarvārthaprakāśaḥ //	deha-Adi-anAvizwasya tu svatas yugapad aham-idam iti sarva-arTa-prakASaH //
   evaṃ smṛtau vikalpe vāpy apohanaparāyaṇe /	evam smRtO vikalpe vA-api apohana-parAyaNe /
   jñāne vāpy antarābhāsaḥ sthita eveti niścitam // Ipk_1,6.8 //	jQAne vA-api antarABAsaH sTitaH eva-iti niScitam // Ipk-_1,6.8 //
   Ipv: sarvasaṃvitsu sarvārthāvabhāsaḥ pramātṛsaṃlīnaś cittattvavad	Ipv: sarva-saMvitsu sarva-arTa-avaBAsaH pramAtR-saMlInaH cit-tattva-vat-
   ānurūpyeṇa prakāśamānaḥ sadā sthita eva //	AnurUpyeNa prakASamAnaH sadA sTitaH eva //
   kiṃ tu naisargiko jñāne bahirābhāsanātmani /	kim tu nEsargikaH jQAne bahis-ABAsana-Atmani /
   pūrvānubhavarūpas tu sthitaḥ sa smaraṇādiṣu // Ipk_1,6.9 //	pUrva-anuBava-rUpaH tu sTitaH sa smaraNa-Adizu // IpS-_1,6.9 //
   Ipv: jñāne bahirābhāsanarūpe sahaja eva cittattvasyāntararthāvabhāsaḥ,	Ipv: jQAne bahis-ABAsana-rUpe sahajaH eva cit-tattvasya-antararTa-avaBAsaH,
   smṛtyādau tu pūrvānubhavātmā / ata eva smṛtiḥ saṃskārajocyate //	smRti-AdO tu pUrva-anuBava-AtmA / atas eva smRtiH saMskAra-jocyate //
   sa naisargika evāsti vikalpe svairacāriṇi /	sa nEsargikaH eva-asti vikalpe svEra-cAriNi /
   yathābhimatasaṃsthānābhāsanād buddhigocare // Ipk_1,6.10 //	yaTA-aBimata-saMsTAna-ABAsanAt budDi-gocare // IpS-_1,6.10 //
   Ipv: avatantras tu vikalpaś cakṣurādyagocaram api buddhaviṣayatāpādanena	Ipv: avatantraH tu vikalpaH cakzuH-Adi-agocaram api budDa-vizaya-tA-ApAdanena
   yathāruci pūrvānubhūtatvāvimarśanena navam eva taṃ tam artham ābhāsayati	yaTAruci pUrva-anuBUta-tva-avimarSanena navam eva tam tam arTam ABAsayati
   saṃniveśaviśeṣaṃ ca / tatrāsav arthaḥ sahaja evāsti //	saMniveSa-viSezam ca / tatra-Asau arTaH sahajaH eva-asti //
   ata eva yathābhīṣṭa- samullekhāvabhāsanāt /	atas eva yaTA-aBIzwa samulleKa-avaBAsanAt /
   jñānakriye sphuṭe eva siddhe sarvasya jīvataḥ // Ipk_1,6.11 //	jQAna-kriye sPuwe eva sidDe sarvasya jIvataH // IpS-_1,6.11 //
   Ipv: apūrvārthanirmāṇajñānasāmārthyāc ca vikalpa eva sarvasya sarvajñatvaṃ	Ipv: apUrva-arTa-nirmANa-jQAna-sAma-arTyAt ca vikalpaH eva sarvasya sarvajQa-tvam
   sarvakartṛtvaṃ ca sphuṭam	sarva-kartR-tvam ca sPuwam
   iti jñānādhikāre ṣaṣṭham āhnikam	iti jQAna-aDikAre zazWam Ahnikam
   saptamam āhnikam	saptamam Ahnikam
   yā caiṣā pratibhā tattat- padārthakramarūṣitā /	yA ca-ezA pratiBA tat-tat padArTa-krama-rUzitA /
   akramānantacidrūpaḥ pramātā sa maheśvaraḥ // Ipk_1,7.1 //	akrama-ananta-cit-rUpaH pramAtA sa maheSvaraH // IpS-_1,7.1 //
   Ipv: tattatpadārthakramācchuritaś caiṣo 'ntaḥsthita eva ābhāsaḥ	Ipv: tad-tad-padArTa-kramAt-CuritaH ca-ezaH antar-sTitaH eva ABAsaH
   sarvasaṃvitkālavyāpyakramānantacinmaya ātmasaṃjñaḥ pramātā svāṅgabhūte	sarva-saMvid-kAla-vyApya-krama-ananta-cit-mayaH Atma-saMjQaH pramAtA sva-aFga-BUte
   prameye nirmātṛtayā maheśvaraś ca //	prameye nirmAtRtayA maheSvaraH ca //
   tattadvibhinnasaṃvitti- mukhair ekapramātari /	tad-tad-viBinna-saMvitti muKEH eka-pramAtari /
   pratitiṣṭhatsu bhāveṣu jñāteyam upapadyate // Ipk_1,7.2 //	pratitizWatsu BAvezu jQAtA-iyam upapadyate // IpS-_1,7.2 //
   Ipv: anekasaṃvitsrotomukhair ekapramātṛsindhum upalīya bhāvabhedāḥ	Ipv: aneka-saMvid-srotaH-muKEH eka-pramAtR-sinDum upalIya BAva-BedAH
   kāryakāraṇatādivyavahārasamanvayaṃ bhajante //	kArya-kAraNa-tA-Adi-vyavahAra-samanvayam Bajante //
   deśakālakramajuṣām arthānāṃ svasamāpinām /	deSa-kAla-krama-juzAm arTAnAm sva-samApinAm /
   sakṛdābhāsasādhyo 'sāv anyathā kaḥ samanvayaḥ // Ipk_1,7.3 //	sakRdABAsa-sADyaH asO anyaTA kaH samanvayaH // Ipk-_1,7.3 //
   Ipv: svarūpam avabhāsanaṃ ca bhāvānāṃ svātmapariniṣṭhitam eva /	Ipv: sva-rUpam avaBAsanam ca BAvAnAm sva-Atma-parinizWitam eva /
