   prathamaṃ kośasthānam	praTamam koSa sTAnam
   cakṣuḥśrotravijñānayoḥ sasaṃprayogayorutpattau /	cakzuH Srotra vijQAnayoH sa saMprayogayoH utpattO /
   rūpadarśanaśabdaśāravaṇayoścāsādhāraṇakāraṇatve /	rUpa darSana Sabda SAravaNayoH ca asADAraNa kAraNa tve /
   ghrāṇajihvākāyānāmātmabhāvaśobhāyāṃ pūrvavat /	GrANa jihvA kAyAnAm Atma BAva SoBAyAm pUrvavat /
   ātmabhāvaparikarṣaṇe taiḥ kavaḍīkārāhāraparibhogāt /	Atma BAva parikarzaNe tEH kavaxIkAra AhAra pariBogAt /
   ghrāṇādivijñānānāṃ sasaṃprayogāṇāmutpattau /	GrANa Adi vijQAnAnAm sa saMprayogANAm utpattO /
   gandhaghrāṇarasāsvādanaspraṣṭavyaspaṛśanānāṃ cāsādhāraṇakāraṇatva iti /	ganDa GrANa rasa AsvAdanasprazwavya spaRSanAnAm ca asADAraNa kAraNatvaH iti /
        dvayoḥ kila /	dvayoH kila /
        caturṇāṃ	caturNAm
   strīpuruṣajīvitamanaindriyāṇāṃ /	strI puruza jIvita manEndriyANAm /
   dvayorarthayoḥ pratyekamādhipatyam /	dvayoH arTayoH pratyekam ADipatyam /
   strī puruśendriyayyostāvatsattvabhedavikalpayoḥ /	strI puruSa indriyayyoH tAvat sattva Beda vikalpayoH /
   tatra sattvabhedaḥ stri puruṣa iti /	tatra sattva BedaH stri puruzaH iti /
   sattvavikalpaḥ stanādisaṃsthānasvarācārānyathātvam /	sattva vikalpaH stana Adi saMsTAna svara AcArAn yaTAtvam /
   saṃsleśavyavadānayorityapare /	saMsleSa vyavadAnayoH iti apare /
   tathā hi tadviprayuktavikalpānāṃ ṣaṇḍha	taTA hi tad viprayukta vikalpAnAm zaNXa
   paṇḍakobhayavyañjanānāmasaṃvarānantāryakuāśalamulasamucchedā na bhavanti	paNxaka uBaya vyaQjanAnAm asaMvara anantArya kuASa la mula samucCedAH na Bavanti
   saṃvaraphalaprāptivairāgyāṇi ceti /	saMvara Pala prApti vErAgyANi ca iti /
   jīvitendriyasya nikāyasabhāgasaṃbandhasādhāraṇayoḥ /	jIvita indriyasya nikAya sa BAga saMbanDa sADAraNayoH /
   manaindriyasya punarbhavasaṃbandhavaśibhāvānuvarttanayoḥ /	manEndriyasya punarBava saMbanDa vaSi BAva anuvarttanayoH /
   tatra punrbhavasaṃbandhe yathoktaṃ "gandharvasya tasmin samaye	tatra punrBava saMbanDe yaToktam "ganDarvasya tasmin samaye
   dvayościttayoranyatarānyataracittaṃ saṃmukhībhūtaṃ bhavatyanunayasahagataṃ	dvayoH cittayoH anyatara anyatara cittam saMmuKIBUtam Bavati anunaya sahagatam
   vā pratighasahagataṃ ve"ti /	vA pratiGa sahagatam ve"ti /
   vaśibhāvānuvarttane yathoktaṃ "cittenāyaṃ loko nīyata" iti vistaraḥ /	vaSi BAva anuvarttane yaToktam "cittena ayam lokaH nIyata" iti vistaraH /
   yat punaḥ sukhādīndriyapañcakaṃ yāni cāṣṭau śraddhādīni teṣāṃ	yat punar suKa Adi indriya paQcakam yAni ca azwO SradDA AdIni tezAm
        pañcakāṣṭānaṃ saṃkleśavyavadānayoḥ // VAkK_2.1 //	paQcakAzwAnam saMkleSa vyavadAnayoH // VAkK_2.1 //
   ādhipatyaṃ yathākramaṃ pañcānāṃ sukhādīnāṃ saṃkleśe /	ADipatyam yaTAkramam paQcAnAm suKa AdInAm saMkleSe /
   rāgādīnāṃ tadanuśāyitvāt /	rAga AdInAm tad anuSAyi tvAt /
   śraddhādīnāṃ vyavadāne /	SradDA AdInAm vyavadAne /
   tai rvyavadāyate /	tEH rvyavadAyate /
   vyavadāne 'pi sukhādīnāmādhipatyamityapare /	vyavadAne api suKa AdInAm ADipatyam iti apare /
   "yasmāt sukhitasya cittaṃ samādhīyate" /	"yasmAt suKitasya cittam samADIyate" /
   duḥdhupaniṣacchraddhāṣaṇnaiṣkramyāśritāḥ saumanasyādaya iti vaibhāṣikāḥ /	duHDupanizad Srat DAzaz nEzkramya ASritAH sOmanasya AdayaH iti vEBAzikAH /
   apare punarāhuḥ /	apare punar AhuH /
   naiva cakṣuḥśrītrābhyāmātmabhāvaparikaṛṣaṇaṃ vijñāya viṣamaparihārāt /	na eva cakzuH SrItrAByAm Atma BAva parikaRzaNam vijQAya vizama parihArAt /
   vijñāne tu tayorādhipatyam /	vijQAne tu tayoH ADipatyam /
   nāpi vijñānādanyadrūpadarśanaṃ śabdaśravaṇaṃ vā 'sti /	na api vijQAnAt anyat rUpa darSanam Sabda SravaNam vA asti /
   yatastayorasādhāraṇakāraṇatve pṛthagādhipatyaṃ yujyeta /	yatas tayorasADAraNa kAraNa tve pRTak ADipatyam yujyeta /
   tasmānnaivameṣāmindriyatvam /	tasmAt na evam ezAm indriya tvam /
   kathaṃ tarhi /	kaTam tarhi /
        svārthopalabdhyādhipatyāt sarvasya ca ṣaḍindriyam /	sva arTa upalabDi ADipatyAt sarvasya ca zaz indriyam /
   cakṣurādīnāṃpañcānāṃ svasyasvasyārthasyopalabdhādhipatyam /	cakzuH AdInAMpaQcAnAm svasya svasya arTasya upalabDa ADipatyam /
   manasaḥ punaḥ sarvārthopalabdhāvādhipatyam /	manasaH punar sarva arTa upalabDO= ADipatyam /
   ata etāni ṣaṭ pratyekamindriyam /	atas etAni zaz pratyekam indriyam /
   nanu cārthānāmapyatrādhipatyam /	nanu ca arTAnAm api atra ADipatyam /
   nādhipatyam /	na ADipatyam /
   adhikaṃ hi prabhutvamādhipatyam /	aDikam hi praBu tvam ADipatyam /
   cakṣuṣaścakṣūrūpopalabdhāvadhikamaiśvaryam /	cakzuzaH cakzU rUpa upalabDO= aDikam ESvaryam /
   sarvarūpopalabdhau sāmānyakāraṇatvāttatpaṭumandatādyanuvidhānāccopalabdheḥ	sarva rUpa upalabDO sAmAnya kAraNa tvAt tad pawu manda tA Adi anuviDAnAt ca upalabDeH
   na rūpasya /	na rUpasya /
   tadvi paryayāt /	tat vi paryayAt /
   evaṃ yāvat manaso dharmeṣu yojyam /	evam yAvat manasaH Darmezu yojyam /
        srītva puṃstvādhipatyāttu kāyāt strīpuruṣendriye // VAkK_2.2 //	srItva puMstva ADipatyAt tu kAyAt strI puruza indriye // VAkK_2.2 //
   kāyendriyādeva strīpuruṣendriye pṛthak vyavasthāpyete /	kAya indriyAt eva strI puruza indriye pRTak vyavasTA apyete /
   nārthantarabhūte /	na arTantara BUte /
   kaścidasau kāyendriyabhāga upastha pradeśo yaḥ strīpuruṣendriyākhyāṃ	kaScid asO kAya indriya BAgaH upasTa pradeSaH yaH strI puruza indriya AKyAm
   paratilabhate /	paratilaBate /
   yathākramaṃ strītvapuṃstvayyorādhipatyāt /	yaTAkramam strI tva puMstvayyoH ADipatyAt /
   tatra strībhāvaḥ striyākṛtiḥ svaraceṣṭā abhiprāyāḥ /	tatra strI BAvaH striyA AkRtiH svara cezwAH aBiprAyAH /
   etaddhi striyā strītvam /	etat hi striyA strI tvam /
   puṃbhāvaḥ puruṣākṛtiḥ svaraceṣṭā abhiprāyāḥ /	puMBAvaH puruza AkRtiH svara cezwAH aBiprAyAH /
   etaddhi puṃsaḥ puṃstvam /	etat hi puMsaH puMstvam /
        nikāyasthitisaṃkleśavyavadānādhipatyataḥ /	nikAya sTiti saMkleSa vyavadAna ADipatyataH /
        jīvitaṃ vedanāḥ pañca śraddhādyāścendriyaṃ matāḥ // VAkK_2.3 //	jIvitam vedanAH paQca SradDA AdyAH ca indriyam matAH // VAkK_2.3 //
   nikāyasabhāgasthitau jīvitendriyasyādhipatyaṃ saṃkleśe vedanānām /	nikAya sa BAga sTitO jIvita indriyasya ADipatyam saMkleSe vedanAnAm /
   tathāhi sukhāyāṃ vedanāyāṃ rāgo 'nuśete duḥkhāyāṃ pratigho	taTA hi suKAyAm vedanAyAm rAgaH anuSete duHKAyAm pratiGaH 
   'duḥkhāsukhāyāmavidyetyuktaṃ sūtre /	aduHKa asuKAyAm avidyA iti uktam sUtre /
   vyavadāne śraddhādīnāṃ pañcānām /	vyavadAne SradDA AdInAm paQcAnAm /
   tathāhi taiḥ kleśāśca viṣkabhyante mārgaścāvāhyate /	taTA hi tEH kleSAH ca vizkaByante mArgaH ca AvAhyate /
   ata ete 'pi pratyekamindriyamiṣṭāḥ /	atas ete api pratyekam indriyam izwAH /
        ājñāsyā myākhyamājñākhyamājñātāvīndriyaṃ tathā /	AjQAsyA myAKyam AjQA AKyam AjQAta avi indriyam taTA /
        uttarottarasaṃprāptinirvāṇādyādhipatyataḥ // VAkK_2.4 //	uttarottara saMprApti nirvANa Adi ADipatyataH // VAkK_2.4 //
   pratyekamindrimityupadarśanārthaṃ tathāśabdaḥ /	pratyekam indrim iti upadarSana arTam taTASabdaH /
   tatrājñāsyāmīndriyasyājñendriyasya prāptāvādhipatyam /	tatra AjQAsyAmi indriyasya AjQa indriyasya prAptO= ADipatyam /
   ājñendraiyasyājñātāvīndriyaprāptau ājñātāvīndriyasya parinirvāṇe /	AjQa indrEyasya ajQAta avi indriya prAptO AjQAta avi indriyasya parinirvANe /
   nahyavimuktacittasyāsti parinirvāṇamiti /	na hi avimukta cittasya asti parinirvANam iti /
   ādiśabdo 'nyaparyāyadyotanārthaḥ /	Adi SabdaH anya paryAyadyotana arTaH /
   katamo 'nyaḥ pāryāyaḥ /	katamaH anyaH pAryAyaH /
   darśnaheyakleśaparihāṇam pratyājñāsyāmīndriyasyādhipatyam /	darSna heya kleSa parihANam pratyAjQAsyAmi indriyasya ADipatyam /
   bhāvanāheyakleāśaprahāṇaṃ pratyājñendriyasya /	BAvanA heya kleASa prahANam pratyAjQA indriyasya /
   dṛṣṭadharmasukhavihāraṃ pratyājñātāvīndriyasya /	dRzwa Darma suKa vihAram pratyAjQAta avIndriyasya /
   vimuktiprītisukhasaṃvedanāditi /	vimukti prIti suKa saMvedanAt iti /
   ādhipātyādindriyatve 'vidyādīnāmupasaṃkhyānaṃ karttavyam /	ADipAtyAt indriya tve avidyA AdInAm upasaMKyAnam karttavyam /
   avidyādīnāmapi hi saṃskārādiṣvādhipatyamata	avidyA AdInAm api hi saMskAra Adizu ADipatyam ata
   eṣāmapīndriyatvamupasaṃkhyātavyam /	ezAm api indriya tvam upasaMKyAtavyam /
   vāgādīnāṃ ca /	vAc AdInAm ca /
   vākyāṇipādapāyūpasthānāmapi cendriyatvamupasaṃkhyātavyam /	vAkya aNi pAda pAyu upasTAnAm api ca indriya tvam upasaMKyAtavyam /
   vacanādānaviharaṇotsargānandeṣvādhipatyāt /	vacana AdAna viharaNa utsarga Anandezu ADipatyAt /
   na khalūpasaṃkhyātavyam /	na Ka lu upasaMKyAtavyam /
   yasmādiheṣṭam	yasmAt iha izwam
        cittāśrayastadvikalpaḥ sthitiḥ saṃkleśa eva ca /	citta ASrayaH tad vikalpaH sTitiH saMkleSaH eva ca /
        saṃbhāro vyavadānaṃ ca yāvatā tāvadindriyam // VAkK_2.5 //	saMBAraH vyavadAnam ca yAvatA tAvat indriyam // VAkK_2.5 //
   tatra cittāśrayaḥ ṣaḍindriyāṇi /	tatra citta ASrayaH zaz indriyANi /
   etacca ṣaḍāyatanaṃ maulaṃ saṭtvadravyam /	etat ca zaz Ayatanam mOlam sawtva dravyam /
   tasya strīpuruṣavikalpaḥ strīpuruṣendraiyābhyāṃ sthitirjīvitendriyeṇa	tasya strI puruza vikalpaH strI puruza indrEyAByAm sTitiH jIvita indriyeNa
   saṃkleśo vedanā bhiḥ /	saMkleSaH vedanA BiH /
   vyavadānasaṃbharaṇaṃ pañcabhirvyavadānaṃ tribhiḥ /	vyavadAna saMBaraNam paQcaBiH vyavadAnam triBiH /
   ato nāvidyādīnāmindriyatvamiṣṭam /	atas na avidyA AdInAm indriya tvam izwam /
        pravṛtterāśrayotpattisthitipratyupabhogataḥ /	pravRtteH ASraya utpatti sTiti pratyupaBogataH /
        caturdaśa tathā 'nyāni nivṛtterindriyāṇi vā // VAkK_2.6 //	caturdaSa taTA anyAni nivRtteH indriyANi vA // VAkK_2.6 //
   matavikalpārtho vāśabdaḥ /	mata vikalpa arTaH vA SabdaH /
   apare punarāhuḥ /	apare punar AhuH /
   pravṛtteraśrayaḥ ṣaḍindriyāṇi /	pravRtteH aSrayaH zaz indriyANi /
   utpattiḥ strīpuruṣendriye /	utpattiH strI puruza indriye /
   tata utpatteḥ /	tatas utpatteH /
   sthitirjīvitendriyam /	sTitiH jIvita indriyam /
   tenāvasthānāt /	tena avasTAnAt /
   upabhogo vedanābhiḥ /	upaBogaH vedanABiH /
   ata etāni caturdaśendriyāṇi /	atas etAni caturdaSa indriyANi /
   tenaiva prakāreṇa nivṛtteranyāni /	tena eva prakAreNa nivRtteH anyAni /
   śraddhadīni hi nivṛtterāśrayāḥ /	SradDadIni hi nivRtteH ASrayAH /
   ājñāsyāmīndriyaṃ prabhavaḥ sthitirājñendriyam upabhoga	AjQAsyAmi indriyam praBavaH sTiti rAjQa indriyam upaBoga
   ājñātāvīndriyeṇetyata etāvantyevendriyāṇi /	AjQAta avi indriyeNa iti atas etAvanti eva indriyANi /
   ata eva caīṣāmeṣo 'nukramaḥ /	atas eva caIzAm ezaH anukramaH /
   vācastu nendriyatvaṃ vacane śikṣāviśeṣāpekṣatvāt /	vAcaH tu na indriya tvam vacane SikzA viSeza apekza tvAt /
   pāṇipādasya cādānaviharaṇādananyatvāt /	pANi pAdasya ca AdAna viharaNAt ananya tvAt /
   tadeva hi tadanyathā 'nyatra cotpannamādānaṃ viharaṇaṃ cocyate /	tat eva hi tat anyaTA anyatra ca utpannam AdAnam viharaNam ca ucyate /
   vināpi ca pāṇipādenādānaviharaṇāduragaprabhṛtīṇām /	vinA api ca pANi pAdena AdAna viharaNAt uraga praBRtINAm /
   pāyorapi nendriyatvamutsarge gurudravyasyākāśe sarvatra patanāt /	pAyoH api na indriya tvam utsarge guru dravyasya AkASe sarvatra patanAt /
   vāyunā ca tatpreraṇāt /	vAyunA ca tad preraNAt /
   upasthasyāpi nendriyatvamānande strīpuruṣendriyakṛtaṃ hi tat saukhyamiti /	upasTasya api na indriya tvam Anande strI puruza indriya kRtam hi tat sOKyam iti /
   kaṇṭhadantākṣivartmaparvaṇāmapi	kaNWa danta akzi vartma parvaNAm api
   cābhyavaharaṇacarvaṇonmeṣanimeṣākuñcanavikāśana kriyāsvindriyatvaṃ	ca aByavaharaNa carvaNa unmeza nimeza AkuQcana vikASana kriyAsu indriya tvam
   prasajyeta /	prasajyeta /
   sarvasya vā kāraṇabhūtasya svasyāṃ kariyāyāmityayukataṃ	sarvasya vA kAraNa BUtasya svasyAm kariyAyAm iti a yukatam
   vāgādīnāmindriyatvam //	vAc AdInAm indriya tvam //
   tatra cakṣurādīnāṃ puruṣendriyaparyantānāṃ kṛto nirdeśaḥ /	tatra cakzuH AdInAm puruza indriya paryantAnAm kRtaH nirdeSaH /
   jīvitendriyasya viprayuktatvādviprayukteṣveva karisyate nirdeśaḥ /	jIvita indriyasya viprayukta tvAt viprayuktezu eva karisyate nirdeSaH /
   śraddhādīnāṃ caitteṣu kariṣyate /	SradDA AdInAm cEttezu karizyate /
   sukhādīnāmājñāsyāmīndriyādīnāṃ ca karttavyaḥ /	suKa AdInAm AjQA asyAmi indriya AdInAm ca karttavyaH /
   so 'yaṃ kriyate /	saH ayam kriyate /
        duḥkhendriyamaśātā yā kāyikī vedanā	duHKa indriyam aSAtA yA kAyikI vedanA
   aśātetyupadhātikā duḥkhetyarthaḥ /	aSAtA iti upaDAtikA duHKa iti arTaH /
        sukham /	suKam /
        śātā	SAtA
   sukhendriyaṃ kāyikī śāta vedanā /	suKa indriyam kAyikI SAta vedanA /
   śātetyanugrāhikā sukhetyarthaḥ /	SAtA iti anugrAhikA suKa iti arTaH /
        dhyāne tṛtīye tu caitasī sā sukhendriyam // VAkK_2.7 //	DyAne tRtIye tu cEtasI sA suKa indriyam // VAkK_2.7 //
   tṛtīye tu dhyāne saiva śātā vedanā caitasī sukhendriyam /	tRtIye tu DyAne sA eva SAtA vedanA cEtasI suKa indriyam /
   nahi tatra kāyikī vedanā 'sti /	nahi tatra kAyikI vedanA asti /
   pañcavijñānakāyābhāvāt /	paQca vijQAna kAya aBAvAt /
        anyatra sā saumanasyaṃ	anyatra sA sOmanasyam
   tṛtīyāddhyānādanyatra kāmadhātau prathame dvitīye ca dhyāne sā caiatasikī	tRtIyAt DyAnAt anyatra kAmaDAtO praTame dvitIye ca DyAne sA cEatasikI
   śātā vedanā saumanasyendriyam /	SAtA vedanA sOmanasya indriyam /
   tṛtīye tu dhyāne prītivītarāgatvāt sukhendriyameva sā na saumanasyendriyam	tRtIye tu DyAne prIti vIta rAga tvAt suKa indriyam eva sA na sOmanasya indriyam
   prītirhi saumanasyam /	prItiH hi sOmanasyam /
        aśātā caitasī punaḥ /	aSAtA ca etasI punar /
        daurmanasyamupekṣā tu madhyā	dOrmanasyam upekzA tu maDyA
   naivaśātānāśātā aduḥkhāsukhā vedanā madhyetyucyate /	na eva SAtAnASAtA aduHKa asuKA vedanA maDya iti ucyate /
   sopekṣendriyam /	sa upekza indriyam /
   kiṃ kāyikī caitasikītyāha /	kim kAyikI ca etasikI iti Aha /
        ubhayī	uBayI
   kiṃ punaḥ kāraṇamiyamabhisamasyai kamindriyaṃ kriyate /	kim punar kAraNam iyam aBisamasyE kam indriyam kriyate /
        avikalpanāt // VAkK_2.8 //	avikalpanAt // VAkK_2.8 //
   caitasikaṃ hi sukhaduḥkhaṃ prāyeṇa vikalpanādutpadyate na tu kāyikam /	cEtasikam hi suKa duHKam prAyeNa vikalpanAt utpadyate na tu kAyikam /
   viṣayavaśādarhatāmapyutpatteḥ /	vizaya vaSAt arhatAm api utpatteH /
   atastayorindriyatvena bhedaḥ /	atas tayoH indriya tvena BedaH /
   upekṣā tu svarasenāvikalpayata evotpadyate kāyikī caitasikī ce	upekzA tu svara sena avikalpayataH eva utpadyate kAyikI cEtasikI ce
   tyekamindriyam kriyate /	ti ekam indriyam kriyate /
   anyathā ca kāyikam sukhamanugṛhṇātyanyathā caitasikam /	anyaTA ca kAyikam suKam anugRhNAti anyaTA cEtasikam /
   evam duḥkhamanyathā kāyikamupahantyanyathā caitasikam /	evam duHKam anyaTA kAyikam upahanti anyaTA cEtasikam /
   upekṣāyāṃ tveṣa vikalpo nāstyata upekṣaṇaṃ pratyavikalpanādabhedaḥ /	upekzAyAm tu eza vikalpaH na asti atas upekzaNam pratyavikalpa nAda BedaH /
        dṛgbhāvanā 'saikṣapathe nava trīṇi	dRS BAvanA asEkza paTe nava trINi
   manaḥ sukhasaumanasyopekṣāḥ sraddhādīni ca pañca /	manaH suKa sOmanasya upekzAH sradDa AdIni ca paQca /
   tāni navendriyāṇi triṣu mārgeṣu trīṇīndriyāṇyucyante /	tAni nava indriyANi trizu mArgezu trINi indriyANi ucyante /
   darśanamārge anājñātamājñāsyāmīndriyaṃ bhāvanāmārge ājñendriyam	darSana mArge anAjQAtam AjQAsyAmi indriyam BAvanA mArge AjQa indriyam
   aśaikṣamārge ājñātāvīndriyamiti /	aSEkza mArge AjQAta avi indriyam iti /
   kiṃ kāraṇam /	kim kAraNam /
   darśanamārge hyanājñātamājñātuṃ pravṛttaḥ /	darSana mArge hi anAjQAtam AjQAtum pravRttaH /
   bhāvanāmārge nāstyapūrvamājñeyaṃ tadeva tvājānāti śeṣānuśayaprahāṇārtham /	BAvanA mArge na asti apUrvam AjQeyam tat eva tvA ajAnAti Seza anuSaya prahANa arTam /
   aśaikṣamārge tvājñātmityavagama ājñātāvaḥ /	aSEkza mArge tu AjQAtm iti avagamaH AjQAtAvaH /
   so 'syāstīti ājñātāvī /	saH asya asti iti AjQAtAvI /
   ājñātamavituṃ śīlamasyeti vā /	AjQAtam avitum SIlam asya iti vA /
   kṣayānutpādijñānalābhāt /	kzaya anutpAdi jQAna lABAt /
   "duḥkhaṃ me parijñātaṃ na punaḥ parijñātavyamiti"	"duHKam me parijQAtam na punar parijQAtavyam iti"
   tathābhūtasyenriyamājñātāvīnriyam /	taTABUtasyenriyam AjQAta AvInriyam /
   svabhāvanirdeśāṃ kṛtvā prakārabhedo vaktavya kati sāsravāṇi katyanāsravāṇi	svaBAva nirdeSAm kRtvA prakAra BedaH vaktavya kati sa AsravANi kati anAsravANi
   inriyāṇityevamādi /	inriyANiti evamAdi /
   tatra tāvadyadetadanantaroktamājñāsyāmīnriyādikametat /	tatra tAvat yat etat anantara uktam AjQAsyAmI nriyA Adikam etat /
        amalaṃ trayam /	amalam trayam /
   anāsravamityarthaḥ /	anAsravam iti arTaH /
   malānāmāsravaparyāyatvāt /	malAnAm Asrava paryAya tvAt /
        rūpīṇi jīvitaṃ duḥkhe sāsravāṇi	rUpINi jIvitam duHKe sa AsravANi
   rūpīṇi saptendriyāṇi jīvitendriyaṃ dukhaḥdaurmanasyendriye	rUpINi sapta indriyANi jIvita indriyam duKaH dOrmanasya indriye
   caikāntasāsravāṇi /	ca ekAnta sa AsravANi /
   rūpīṇi punaḥ sapta cakṣuḥ	rUpINi punar sapta cakzuH
   śrotraghrāṇajihvākāyastripuruṣendriyāṇi rūpaskandhasaṃgrahāt /	Srotra GrANa jihvA kAyaH tripuruza indriyANi rUpa skanDa saMgrahAt /
        dvidhā nava // VAkK_2.9 //	dviDA nava // VAkK_2.9 //
   manaḥsukhasaumanasyopekṣāḥ śraddhādīni ca pañca etāni navendriyāṇi	manaH suKa sOmanasya upekzAH SradDA AdIni ca paQca etAni nava indriyANi
   sāsravāṇyanāsravāṇyapi /	sa AsravANi anAsravANi api /
   anāsravāṇyeva śraddhādīnītyeke /	anAsravANi eva SradDA AdInI iti eke /
   uktaṃ hi bhagavatā "yasyemāni pañcendriyāṇi sarveṇa srvaṃ na santi tamahaṃ	uktam hi BagavatA "yasya imAni paQca indriyANi sarveNa srvam na santi tam aham
   bāhyaṃ pṛthagjanapakṣāvasthitaṃ vadāmī"ti /	bAhyam pRTagjana pakza avasTitam vadAmi i"ti /
   nedaṃ jñāpakamanāsravāṇyadhikṛtya vacanāt /	na idam jQApakam ana AsravANi aDikRtya vacanAt /
   tathā hyāryapudgalavyavasthānaṃ kṛtvā yasyemānītyāha /	taTA hi Arya pudgala vyavasTAnam kRtvA yasya imAni iti Aha /
   pṛthagjano vā dvividhaḥ /	pRTagjanaH vA dviviDaH /
   ābhyantarakaścāsamucchinna kuśalamūlo bāhyakaśca samucchinnakuśalamūlaḥ /	AByantarakaH ca asamucCit na kuSalamUlaH bAhyakaH ca samucCinna kuSala mUlaH /
   tamadhikāṛtyāha "bāhyaṃ pṛthagjanapakṣāvasthitaṃ vadāmī"ti /	tam aDika ARtya Aha "bAhyam pRTagjana pakza avasTitam vadAmi i"ti /
   uktaṃ ca sūtre "santi ca sattvā loke jātā loke vṛddhāstīkṣṇendriyā api	uktam ca sUtre "santi ca sattvAH loke jAtAH loke vRdDAH tIkzNa indriyAH api
   madhyendriyā api mṛdvindriyā apī" tyapravarttita eva dharmacakre /	maDya indriyAH api mRdu indriyAH apI" tyapravarttitaH eva Darma cakre /
   tasmātsantyeva sāsravāṇi śraddhādīni /	tasmAt santi eva sa AsravANi SradDA AdIni /
   punaścoktaṃ "yāvacchāhameṣāṃ pañcānāmindriyāṇāṃ samudayaṃ cāstagamaṃ ca	punar ca uktam "yAvacCAham ezAm paQcAnAm indriyANAm samudayam ca asta gamam ca
   svādaṃ cādīnavaṃ ca niḥsaraṇaṃ ca yathābhūtaṃ nādhyajñāsiṣaṃ na	svAdam ca AdInavam ca niHsaraNam ca yaTABUtam na aDyajQAsizam na
   tāvadahamasmātsadevakāllokādi"ti vistaraḥ /	tAvat aham asmAt sa devakAt loka Adi"ti vistaraH /
   na cānāsravāṇāṃ dharmāṇāmeṣa parīkṣāprakāraḥ //	na ca anAsravANAm DarmANAm eza parIkzA prakAraH //
   katīndriyāṇi vipākaḥ kati na vipākaḥ /	kati indriyANi vipAkaH kati na vipAkaH /
   ekāntena tāvat	ekAntena tAvat 
        vipāko jīvitaṃ	vipAkaH jIvitam
   atha yadarhan bhikṣurāyuḥsaṃskārān sthāpayati tajjīvitendriyaṃ kasya	aTa yat arhan BikzuH AyuH saMskArAn sTApayati tat jIvita indriyam kasya
   vipākaḥ /	vipAkaH /
   śāstra ukthaṃ "kathamāyuḥsaṃskārān sthāpayati /	SAstre ukTam "kaTam AyuH saMskArAn sTApayati /
   arhan bhikṣuḥ ṛddhimāṃścetovaśitvaṃ prāptaḥ saṃghāya va pudgalāya vā	arhan BikzuH RdDimAn= cetaH vaSi tvam prAptaH saMGAya va pudgalAya vA
   pātraḥ vā cīvaraṃ vā anyatamānyatamaṃ vā śrāmaṇakaṃ jīvitapariṣkāraṃ vā	pAtraH vA cIvaram vA anyatama anyatamam vA SrAmaNakam jIvita parizkAram vA
   dattvā tat praṇidhāya prantakoṭikam caturthaṃ dhyānaṃ samāpadyate /	dattvA tat praNiDAya prantakowikam caturTam DyAnam samApadyate /
   sa tasmāt vyutthāya cittamutpādayati vācaṃ ca bhāṣate yanme bhogavipākaṃ	sa tasmAt vyutTAya cittam utpAdayati vAcam ca BAzate yat me Boga vipAkam
   tadāyurvipākaṃ bhavatviti /	tad AyuH vipAkam Bavatu iti /
   tasya yat bhogavipākaṃ tadāyurvipākaṃ bhavati /	tasya yat Boga vipAkam tat AyuH vipAkam Bavati /
   yeṣāṃ punarayamabhiprāyo vipākoccheṣaṃ vipacyata iti /	yezAm punar ayam aBiprAyaH vipAka ucCezam vipacyate iti /
   ta āhuḥ pūrvajātikṛtasya karmaṇo vipākoccheṣaṃ /	te AhuH pUrva jAti kRtasya karmaNaH vipAka ucCezam /
   sa bhāvanābalenākṛṣya pratisaṃvedayata" iti /	sa BAvanA balena AkRzya pratisaMvedayata" iti /
   kathamāyuḥsaṃskārā nutsṛjati /	kaTam AyuH saMskArAH nutsRjati /
   tathaīva dānaṃ dattvā praṇidhāya prantakoṭikaṃ caturthaṃ dhyānaṃ	taTaI iva dAnam dattvA praNiDAya prantakowikam caturTam DyAnam
   samāpadyate/	samApadyate/
   yanme āyurvipākaṃ tat bhogavipākaṃ bhavatviti tasya tathā bhavati /	yat me AyuH vipAkam tat Boga vipAkam Bavatu iti tasya taTA Bavati /
   bhadantaghoṣakastvāha /	BadantaGozakaH tu Aha /
   tasminneva āśraye rūpāvacarāṇi mahābhūtāni dhyānabalena	tasmin= eva ASraye rUpAvacarANi mahABUtAni DyAna balena
   saṃmudhakarotyāyuṣo 'nukūlāni vaihodhikāni ca /	saMmuDa karoti AyuzaH anukUlAni vEhoDikAni ca /
   evamāyuḥsaṃskārān sthāpayatyevamutsṛjatīti /	evam AyuH saMskArAn sTApayati evam utsRjati iti /
   evaṃ tu bhavitavyam /	evam tu Bavitavyam /
   samādhiprabhāva eva sa teṣāṃ tadṛśo yena pūrvakarmajaṃ ca	samADi praBAvaH eva sa tezAm tad RSaH yena pUrva karma jam ca
   sthitikālāvedhamindriyamahābhūtānāṃ vyāvrttayantyapūrvaṃ ca	sTiti kAla AveDam indriya mahABUtAnAm vyAvrttayanti apUrvam ca
   samādhijamāvedhamākṣipanti /	samADi jam AveDam Akzipanti /
   tasmānna tajjīvitendriyaṃ vipākaṃ tato 'nyattu vipākaḥ /	tasmAt na tat jIvita indriyam vipAkam tatas anyat tu vipAkaH /
   praśnāt praśnāntaramupajāyate /	praSnAt praSna antaram upajAyate /
   kimarthamāyuḥsaṃskārānadhitiṣṭhanti /	kim arTam AyuH saMskArAn aDitizWanti /
   parahitārthaṃ śāsansthityarthaṃ vā /	para hita arTam SAsan sTiti arTam vA /
