   Sātvatatantra, prathamaḥ paṭalaḥ	SAtvata-tantra, praTamaH pawalaH
   durjayatvaṃ duḥsaratvaṃ niṣevyatvaṃ sahiṣṇutā /	durjaya-tvam duHsara-tvam nizevya-tvam sahizNu-tA /
   akṣobhyatvaṃ svatantratvaṃ nairapekṣyaṃ svasauṣṭhavam // SatvT_3.20	akzoBya-tvam svatantra-tvam nErapekzyam sva-sOzWavam // SatvT_3.20
   śauryam audāryam āstikyaṃ sthairyaṃ dhairyaṃ prasannatā /	SOryam OdAryam Astikyam sTEryam DEryam prasanna-tA /
   gāmbhīryaṃ praśrayaḥ śīlaṃ prāgalbhyam ṛtamaṅgalam // SatvT_3.21	gAmBIryam praSrayaH SIlam prAgalByam Rta-maFgalam // SatvT_3.21
   śamo damo balaṃ dākṣyaṃ kṣemaṃ harṣo 'nahaṃkṛtiḥ /	SamaH damaH balam dAkzyam kzemam harzaH anahaMkRtiH /
   saṃtoṣa ārjavaṃ sāmyaṃ manobhāgyaṃ śrutaṃ sukham // SatvT_3.22	saMtozaH Arjavam sAmyam manaH-BAgyam Srutam suKam // SatvT_3.22
   tyāgo bhayaṃ pāvanaṃ ca tejaḥ kauśalam āśrayaḥ /	tyAgaH Bayam pAvanam ca tejaH kOSalam ASrayaH /
   dhṛtiḥ kṣamā smṛtir lajjā śraddhā maitrī dayonnatiḥ // SatvT_3.23	DRtiH kzamA smRtiH lajjA SradDA mEtrI dayA-unnatiH // SatvT_3.23
   śāntiḥ puṣṭiḥ svavākśuddhir buddhir vidyā svarakṣatā /	SAntiH puzwiH sva-vAc-SudDiH budDiH vidyA svarakzatA /
   ete te bhagabhedās tu kathitā hy anupūrvaśaḥ // SatvT_3.24	ete te Baga-BedAH tu kaTitAH hi anupUrvaSas // SatvT_3.24
   eṣāṃ prakāśo yatrāsīt sa pūrṇaḥ parikīrtitaḥ /	ezAm prakASaH yatra-AsIt sa pUrNaH parikIrtitaH /
   aṃśaprakāśād aṃśaḥ syāt kalāyās tu kalā smṛtā // SatvT_3.25	aMSa-prakASAt aMSaH syAt kalAyAH tu kalA smRtAH // SatvT_3.25
   vibhūtes tu vibhūtiḥ syād eṣa bhedo na hi svataḥ /	viBUteH tu viBUtiH syAt eza BedaH na hi svatas /
   nirvikalpasya satyasya parabrahmasvarūpiṇaḥ // SatvT_3.26	nirvikalpasya satyasya para-brahma-svarUpiNaH // SatvT_3.26
   nārāyaṇasya śuddhasya śrīkṛṣṇasya mahātmanaḥ /	nArAyaNasya SudDasya SrI-kRzNasya mahAtmanaH /
   yataḥ kṛṣṇāvatāreṇa bhagabhedāḥ pṛthak pṛthak // SatvT_3.27	yatas kRzNa-avatAreNa Baga-BedAH pRTak pRTak // SatvT_3.27
   saṃdarśitāḥ pṛthakkārye tasmāt sampūrṇa ucyate /	saMdarSitAH pRTakkArye tasmAt sampUrNaH ucyate /
   hayagrīvādyavatāre tasmād alpatarā yataḥ // SatvT_3.28	hayagrIvA-Adi-avatAre tasmAt alpatarA yatas // SatvT_3.28
   darśitā bhagabhedā vai tasmād aṃśāḥ prakīrtitāḥ /	darSitAH Baga-BedAH vE tasmAt aMSAH prakIrtitAH /
   yato rāmo matsyakūrmavarāhā narakesarī // SatvT_3.29	yatas rAmaH matsya-kUrma-varAhA narakesarI // SatvT_3.29
   manvantarāvatārāś ca yajñādyā hayaśīrṣavān /	manvantara-avatArAH ca yajQa-AdyAH hayaSIrzavAn /
   tathā śuklādayo hy āvirbhāvā ṛṣabha ātmavān // SatvT_3.30	taTA Sukla-AdayaH hi AvirBAvAH RzaBaH AtmavAn // SatvT_3.30
   naranārāyaṇo dattaḥ kalau ca buddhakalkinau /	nara-nArAyaNaH dattaH kalO ca budDa-kalkinO /
   jñānakarmaprabhāvādyair aṃśā viṣṇoḥ prakīrtitāḥ // SatvT_3.31	jQAna-karma-praBAva-AdyEH aMSAH vizNoH prakIrtitAH // SatvT_3.31
   kumāranāradavyāsā brahmarātādayaḥ kalāḥ /	kumAra-nArada-vyAsAH brahmarAta-AdayaH kalAH /
   jñānāṃśayuktāḥ śrīviṣṇor avatārā mahātmanaḥ // SatvT_3.32	jQAna-aMSa-yuktAH SrI-vizNoH avatArAH mahAtmanaH // SatvT_3.32
   gayaḥ pṛthuś ca bharataḥ śaktiyuktāḥ kalā matāḥ /	gayaH pRTuH ca BarataH Sakti-yuktAH kalAH matAH /
   guṇāvatārā brahmādyās tadaṃśā ye vibhūtayaḥ // SatvT_3.33	guNa-avatArAH brahma-AdyAH tad-aMSAH ye viBUtayaH // SatvT_3.33
   eṣā mayā te kathitā sampūrṇāṃśakalābhidā /	ezA mayA te kaTitA sampUrNa-aMSakalA-aBidA /
   kāryānurūpā viprendra bhagabhedapradarśanāt // SatvT_3.34	kArya-anurUpAH vipra-indra Baga-Beda-pradarSanAt // SatvT_3.34
   na brahmaṇo bhidā vipra śrīkṛṣṇasya ca sattama /	na brahmaNaH BidA vipra SrI-kRzNasya ca sattamaH /
   nārāyaṇasya vā saumya hy avatārisvarūpiṇaḥ // SatvT_3.35	nArAyaNasya vA sOmya hi avatAri-svarUpiNaH // SatvT_3.35
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   avatārisvarūpaṃ me varṇayasva sadāśiva /	avatAri-svarUpam me varNayasva sadASiva /
   kiṃ brahma paramaṃ sākṣāt kiṃ vā nārāyaṇo vibhuḥ // SatvT_3.36	kim brahma paramam sAkzAt kim vA nArAyaNaH viBuH // SatvT_3.36
   kiṃ vā vaikuṇṭhalokeśaḥ śrīkṛṣṇaḥ puruṣottamaḥ /	kim vA vEkuNWa-loka-ISaH SrI-kRzNaH puruzottamaH /
   kim ekatattvam eteṣām athavā kiṃ pṛthak pṛthak // SatvT_3.37	kim eka-tattvam etezAm aTavA kim pRTak pRTak // SatvT_3.37
   śrīśiva uvāca // SatvT_3.38	SrI-SivaH uvAca // SatvT_3.38
   śṛṇu tat paramaṃ guhyaṃ brahmadāyāda sattama /	SRNu tat paramam guhyam brahmadAyAda sattamaH /
   avatārisvarūpaṃ me yathā varṇayato dvija // SatvT_3.39	avatAri-svarUpam me yaTA varNayataH dvija // SatvT_3.39
   ekam eva paraṃ tattvam avatāri sanātanam /	ekam eva param tattvam avatAri sanAtanam /
   śrīkṛṣṇabrahmapuruṣaiḥ saṃjñābhir dīyate pṛthak // SatvT_3.40	SrI-kRzNa-brahma-puruzEH saMjQABiH dIyate pRTak // SatvT_3.40
   yathā bhānoḥ prakāśasya maṇḍalasyāpṛthaksthitiḥ /	yaTA BAnoH prakASasya maNxalasya-apRTak-sTitiH /
   tathā śrīkṛṣṇadevasya brahmaṇaḥ puruṣasya ca // SatvT_3.41	taTA SrI-kRzNadevasya brahmaNaH puruzasya ca // SatvT_3.41
   ataḥ sātvatatantrajñā bhaktiniṣṭhā vilakṣaṇāḥ /	atas sAtvata-tantra-jQAH Bakti-nizWAH vilakzaNAH /
   śrīkṛṣṇākhyaṃ paraṃ dhāma paramānandam uttamam // SatvT_3.42	SrI-kRzNa-AKyam param DAma parama-Anandam uttamam // SatvT_3.42
   vaikuṇṭhalokanilayaṃ śuddhasattvātmavigraham /	vEkuNWa-loka-nilayam SudDa-sattva-Atma-vigraham /
   vadanti śāśvataṃ satyaṃ svabhaktagaṇasevitam // SatvT_3.43	vadanti SASvatam satyam sva-Bakta-gaNa-sevitam // SatvT_3.43
   vedāntino jñānaniṣṭhā jñānaśāstrānusārataḥ /	vedAntinaH jQAna-nizWAH jQAna-SAstra-anusArataH /
   vadanti brahma paramaṃ prakāśātmakam avyayam // SatvT_3.44	vadanti brahma paramam prakASa-Atmakam avyayam // SatvT_3.44
   apāṇipādanayanaśrotratvagghrāṇavigraham /	apANi-pAda-nayana-Srotra-tvac-GrANa-vigraham /
   sarvaśaktiyutaṃ tejomayaṃ vāṅmanasāpadam // SatvT_3.45	sarva-Sakti-yutam tejaH-mayam vAc-manasA-Apadam // SatvT_3.45
   ānandamātraṃ saṃśuddhaṃ cidvyaktaṃ sarvakāraṇam /	Ananda-mAtram saMSudDam cit-vyaktam sarva-kAraNam /
   hairaṇyagarbhās traividyā nārāyaṇam anāmayam // SatvT_3.46	hEraNyagarBAH trEvidyAH nArAyaNam anAmayam // SatvT_3.46
   sahasraśirasaṃ devaṃ paramānandam avyayam /	sahasra-Sirasam devam parama-Anandam avyayam /
   anantaśaktiṃ sarveṣāṃ puruṣaṃ prakṛteḥ param // SatvT_3.47	ananta-Saktim sarvezAm puruzam prakRteH param // SatvT_3.47
   vadanti karmaparamāḥ sthityutpattyantabhāvanam /	vadanti karma-paramAH sTiti-utpatti-anta-BAvanam /
   sarvānandakaraṃ śāntaṃ saṃsārārṇavatārakam // SatvT_3.48	sarva-Ananda-karam SAntam saMsAra-arNava-tArakam // SatvT_3.48
   ataḥ kṛṣṇasya devasya brahmaṇaḥ puruṣasya ca /	atas kRzNasya devasya brahmaNaH puruzasya ca /
   vastuto naiva bhedo hi varṇyate tair api dvija // SatvT_3.49	vastutas na-eva BedaH hi varNyate tEH api dvija // SatvT_3.49
   yathārtho bahudhā bhāti nānākaraṇavṛttibhiḥ /	yaTArTaH bahuDA BAti nAnA-karaNa-vRttiBiH /
   tathā sa bhagavān kṛṣṇo nāneva paricakṣate // SatvT_3.50	taTA sa BagavAn kRzNaH nAnA-iva paricakzate // SatvT_3.50
   ataḥ sarvam etenāpi śrīkṛṣṇaḥ puruṣottamaḥ /	atas sarvam etena-api SrI-kRzNaH puruzottamaH /
   līlāmānuṣarūpeṇa devakījaṭharaṃ gataḥ // SatvT_3.51	lIlA-mAnuza-rUpeNa devakI-jaWaram gataH // SatvT_3.51
   ataḥ sarvāvatārāṇāṃ kāraṇaṃ kṛṣṇa ucyate /	atas sarva-avatArANAm kAraNam kRzNaH ucyate /
   sṛṣṭyādyanekakāryāṇi darśitāni yataḥ svataḥ // SatvT_3.52	sRzwi-Adi-aneka-kAryANi darSitAni yatas svatas // SatvT_3.52
   sa eva sarvalokānām ārādhyaḥ puruṣottamaḥ /	saH eva sarva-lokAnAm ArADyaH puruzottamaH /
   muktyādyarthaṃ nṛlokasya mānuṣatvaṃ yato gataḥ // SatvT_3.53	mukti-Adi-arTam nR-lokasya mAnuza-tvam yatas gataH // SatvT_3.53
   atas taṃ puruṣā nityaṃ bhaktibhedena nityadā /	atas tam puruzAH nityam Bakti-Bedena nityadA /
   bhajanti hy apavargeśaṃ pareśaṃ tadakāmyayā // SatvT_3.54	Bajanti hi apavarga-ISam para-ISam tad-akAmyayA // SatvT_3.54
   mayā te kathitā vipra avatārā mahātmanaḥ /	mayA te kaTitAH vipra avatArAH mahAtmanaH /
   kim anyat kathayāmy adya tvaṃ hi bhāgavatottamaḥ // SatvT_3.55	kim anyat kaTayAmi adya tvam hi BAgavata-uttamaH // SatvT_3.55
   Sātvatatantra, caturthaḥ paṭalaḥ	SAtvata-tantra, caturTaH pawalaH
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   nāsti tṛptiḥ śṛṇvato me tava vāgamṛtaṃ hareḥ /	na-asti tRptiH SRNvataH me tava vAc-amRtam hareH /
   yaśaḥ paramakalyāṇam avatārakathāśrayam // SatvT_4.1	yaSaH parama-kalyANam avatAra-kaTA-ASrayam // SatvT_4.1
   tathāpi sāmprataṃ hy etac chrutvā kautūhalaṃ mama /	taTA-api sAmpratam hi etat SrutvA kOtUhalam mama /
   bhaktibhedaṃ bhagavato bhāvanīyaṃ sadā nṛbhiḥ // SatvT_4.2	Bakti-Bedam BagavataH BAvanIyam sadA nRBiH // SatvT_4.2
   brūhi me bhagavan viṣṇor bhaktibhedaṃ sadāśiva /	brUhi me Bagavan vizNoH Bakti-Bedam sadASiva /
   yaj jñātvā hy añjasā viṣṇoḥ sāmyaṃ yāti janaḥ prabho // SatvT_4.3	yat jQAtvA hi aQjasA vizNoH sAmyam yAti janaH praBo // SatvT_4.3
   śrīśiva uvāca /	SrI-SivaH uvAca /
   sādhu pṛṣṭaṃ tvayā sādho paraṃ guhyatamaṃ yataḥ /	sADu pRzwam tvayA sADo param guhyatamam yatas /
   anyasmai na mayā proktaṃ vinā bhāgavatān narāt // SatvT_4.4	anyasmE na mayA proktam vinA BAgavatAt narAt // SatvT_4.4
   yadaivāvocaṃ māṃ kṛṣṇo dhyānāt tuṣṭamanā vibhuḥ /	yadA-eva-avocam mAm kRzNaH DyAnAt tuzwa-manAH viBuH /
   tadaivāhaṃ niṣiddho 'smi abhaktoktau kṛpālunā // SatvT_4.5	tadA-eva-aham nizidDaH asmi aBakta-uktO kRpAlunA // SatvT_4.5
   tadā cāhaṃ tasya pādapaṅkaje śirasā nataḥ /	tadA ca-aham tasya pAda-paFkaje SirasA nataH /
   babhāṣa etad bhagavān bhaktān nirdeṣṭum arhasi // SatvT_4.6	baBAza etat BagavAn BaktAn nirdezwum arhasi // SatvT_4.6
   tadā prītamanā devo mām uvāca satāṃ gatiḥ /	tadA prIta-manAH devaH mAm uvAca satAm gatiH /
   śṛṇuṣva śiva bhadraṃ te bhaktān vakṣyāmi sātvatān // SatvT_4.7	SRNuzva Siva Badram te BaktAn vakzyAmi sAtvatAn // SatvT_4.7
   maddhyānaniṣṭhān matprāṇān madyaśaḥśravaṇotsukān /	mad-DyAna-nizWAn mad-prANAn mad-yaSaH-SravaNa-utsukAn /
   bhaktān jānīhi me deva sarvalokapraṇāmakān // SatvT_4.8	BaktAn jAnIhi me deva sarva-loka-praNAmakAn // SatvT_4.8
   tebhyaḥ paramasaṃtuṣṭo bhaktibhedaṃ sasādhanam /	teByaH parama-saMtuzwaH Bakti-Bedam sa-sADanam /
   bravīmi śiva te bhaktis tenaiva samprasidhyati // SatvT_4.9	bravImi Siva te BaktiH tena-eva samprasiDyati // SatvT_4.9
   yadi tvadvākyaniṣṭhaḥ syād yo 'pi ko 'pi sadāśiva /	yadi tvad-vAkya-nizWaH syAt yaH api kaH api sadASiva /
   tasmai prītamanā vācyo bhaktibhedaḥ sasādhanaḥ // SatvT_4.10	tasmE prIta-manAH vAcyaH Bakti-BedaH sa-sADanaH // SatvT_4.10
   tad idaṃ te pravakṣyāmi bhaktibhedaṃ sasādhanam /	tat idam te pravakzyAmi Bakti-Bedam sa-sADanam /
   yato bhāgavataśreṣṭho bhagavatkīrtanapriyaḥ // SatvT_4.11	yatas BAgavata-SrezWaH Bagavat-kIrtana-priyaH // SatvT_4.11
   ekaiva bhaktiḥ śrīviṣṇoḥ prītir ity ucyate budhaiḥ /	ekA-eva BaktiH SrI-vizNoH prItiH iti ucyate buDEH /
   nirguṇatvād akhaṇḍatvād ānandatvād dvijottama // SatvT_4.12	nirguNa-tvAt aKaNxa-tvAt Ananda-tvAt dvijottamaH // SatvT_4.12
   kiṃ tu jñānakriyālīlābhedaiḥ sā trividhā matā /	kim tu jQAna-kriyA-lIlA-BedEH sA triviDA matA /
   tān śṛṇuṣvānupūrvyeṇa mattaḥ svavahito dvija // SatvT_4.13	tAn SRNuzva-AnupUrvyeNa mattaH su-avahitaH dvija // SatvT_4.13
   sarvāntaryāmiṇi harau manogatir avicyutā /	sarva-antaryAmiNi harO manaH-gatiH avicyutA /
   sā nirguṇajñānamayī sākṣād api garīyasī // SatvT_4.14	sA nirguNa-jQAna-mayI sAkzAt api garIyasI // SatvT_4.14
   sarvendriyāṇāṃ sarveśe viṣṇau gatir anuttamā /	sarva-indriyANAm sarva-ISe vizNO gatiH anuttamA /
   svābhāvikī bhāgavatī karmajā muktihelinī // SatvT_4.15	svABAvikI BAgavatI karma-jA mukti-helinI // SatvT_4.15
   harilīlāśrutoccāre jātā premamayī tu yā /	hari-lIlA-aSruta-uccAre jAtA prema-mayI tu yA /
   satsaṅgajānyāsād grāhyā sarvadā sā hy anuttamā // SatvT_4.16	sat-saFga-jAnyAsAt grAhyA sarvadA sA hi anuttamAH // SatvT_4.16
   tāsāṃ sādhanasāmagrī kramataḥ śṛṇu sattama /	tAsAm sADana-sAmagrI kramatas SRNu sattamaH /
   yām āśritya samāpnoti jano bhaktiṃ janārdane // SatvT_4.17	yAm ASritya samApnoti janaH Baktim janArdane // SatvT_4.17
   svānurūpasvadharmeṇa vāsudevārpaṇena ca /	sva-anurUpa-svaDarmeNa vAsudeva-arpaNena ca /
   hiṃsārahitayogena bhagavatpratimādiṣu // SatvT_4.18	hiMsA-rahita-yogena Bagavat-pratimA-Adizu // SatvT_4.18
   śrutidṛṣṭisparśapūjāstutipratyabhinandanaiḥ /	Sruti-dRzwi-sparSa-pUjA-stuti-pratyaBinandanEH /
   viṣayāṇāṃ virāgeṇa svaguroḥ paricaryayā // SatvT_4.19	vizayANAm virAgeNa sva-guroH paricaryayA // SatvT_4.19
   nivṛttiśāstraśravaṇair uttameṣu kṣamādibhiḥ /	nivRtti-SAstra-SravaNEH uttamezu kzamA-AdiBiH /
   sameṣu mitrabhāvena dīneṣu dayayā tathā // SatvT_4.20	samezu mitra-BAvena dInezu dayayA taTA // SatvT_4.20
   bhagavanmūrtyabhidhyānair yaśasāṃ śrutikīrtanāt /	Bagavat-mUrti-aBiDyAnEH yaSasAm Sruti-kIrtanAt /
   bhūteṣu bhagavaddṛṣṭyā nirguṇā bhaktir ucyate // SatvT_4.21	BUtezu Bagavat-dRzwyA nirguNA BaktiH ucyate // SatvT_4.21
   labdhvā tāṃ nirguṇāṃ bhaktiṃ muktiṃ cāpi na manyate /	labDvA tAm nirguNAm Baktim muktim ca-api na manyate /
   muktiḥ saivety abhihitā bhagavadbhāvakāriṇī // SatvT_4.22	muktiH sA-eva-iti aBihitA Bagavat-BAva-kAriNI // SatvT_4.22
   atha bhāgavatībhakteḥ sādhanaṃ śṛṇu sattama /	aTa BAgavatI-BakteH sADanam SRNu sattamaH /
   yat sarvayatnataḥ kāryaṃ puruṣeṇa manīṣiṇā // SatvT_4.23	yat sarva-yatnataH kAryam puruzeNa manIziNA // SatvT_4.23
   śrīguror upadeśena bhagavadbhaktitatparaiḥ /	SrI-guroH upadeSena Bagavat-Bakti-tatparEH /
   yathākāryaṃ svakaraṇair bhagavatpādasevanam // SatvT_4.24	yaTAkAryam sva-karaNEH Bagavat-pAda-sevanam // SatvT_4.24
   vācoccāro harer nāmnāṃ karṇābhyāṃ karmaṇāṃ śrutiḥ /	vAcA-uccAraH hareH nAmnAm karNAByAm karmaNAm SrutiH /
   hastābhyāṃ bhagavaddehapratimādiṣu sevanam // SatvT_4.25	hastAByAm Bagavat-deha-pratimA-Adizu sevanam // SatvT_4.25
   jihvayā bhagavaddattanaivedyaharaṇaṃ mudā /	jihvayA Bagavat-datta-nEvedya-haraNam mudA /
   nāsayā kṛṣṇapādābjalagnagandhānujighraṇam // SatvT_4.26	nAsayA kRzNa-pAda-abja-lagna-ganDa-anujiGraNam // SatvT_4.26
   bhagavadgātranirmālyaharaṇaṃ śirasā tathā /	Bagavat-gAtra-nirmAlya-haraNam SirasA taTA /
   dṛṣṭvā viṣṇujanādīnām īkṣaṇaṃ sādareṇa ca // SatvT_4.27	dRzwvA vizNu-jana-AdInAm IkzaNam sa-AdareNa ca // SatvT_4.27
   manasā bhagavadrūpacintanaṃ śirasorasā /	manasA Bagavat-rUpa-cintanam SirasA-urasA /
   bāhupādādibhir viṣṇor vandanaṃ parayā mudā // SatvT_4.28	bAhu-pAda-AdiBiH vizNoH vandanam parayA mudA // SatvT_4.28
   arthādīnām ānayanam īśvarārthena sarvaśaḥ /	arTa-AdInAm Anayanam ISvara-arTena sarvaSas /
   etaiḥ svasādhanair nityaṃ bhagavatpādasevanam // SatvT_4.29	etEH sva-sADanEH nityam Bagavat-pAda-sevanam // SatvT_4.29
   āśu sampadyate bhaktiḥ kṛṣṇe bhāgavatī satī /	ASu sampadyate BaktiH kRzNe BAgavatI satI /
   yadendriyāṇāṃ sarveṣāṃ kṛṣṇe paramapūruṣe // SatvT_4.30	yadA-indriyANAm sarvezAm kRzNe parama-pUruze // SatvT_4.30
   svābhāvikī ratir abhūt sā vai bhāgavatī matā /	svABAvikI ratiH aBUt sA vE BAgavatI matA /
   etadbhaktiparo vipra cāturvargyaṃ na manyate // SatvT_4.31	etad-Bakti-paraH vipra cAturvargyam na manyate // SatvT_4.31
   tasyām antaḥ sarvasukham adhikaṃ vāpi labhyate /	tasyAm antar sarva-suKam aDikam vA-api laByate /
   atha premamayībhakteḥ kāraṇaṃ dvijasattama // SatvT_4.32	aTa prema-mayI-BakteH kAraNam dvijasattamaH // SatvT_4.32
   śṛṇu viśvāsam āpanno niścayātmikayā dhiyā /	SRNu viSvAsam ApannaH niScaya-AtmikayA DiyA /
   sadguror upadeśena labdhvā satsaṅgam ādṛtaḥ // SatvT_4.33	sat-guroH upadeSena labDvA sat-saFgam AdRtaH // SatvT_4.33
   caturvidhānāṃ śrīviṣṇoḥ karmaṇāṃ śravaṇaṃ satām /	caturviDAnAm SrI-vizNoH karmaNAm SravaNam satAm /
   teṣv evaṃ kīrtanaṃ teṣāṃ manasā cāpi cintanam // SatvT_4.34	tezu evam kIrtanam tezAm manasA ca-api cintanam // SatvT_4.34
   vacasā grahaṇaṃ teṣāṃ tatparāṇāṃ praśaṃsanam /	vacasA grahaNam tezAm tad-parANAm praSaMsanam /
   yady aśakto bhavet kīrtau smaraṇe cāpi sarvaśaḥ // SatvT_4.35	yadi aSaktaH Bavet kIrtO smaraNe ca-api sarvaSas // SatvT_4.35
   tadā tu bhagavannāmnām āvṛttau vṛttayet sadā /	tadA tu Bagavat-nAmnAm AvRttO vRttayet sadA /
   sadā śaśvat prītiyukto yaḥ kuryād etad anvaham // SatvT_4.36	sadA SaSvat prIti-yuktaH yaH kuryAt etat anvaham // SatvT_4.36
   tasyāśu bhaktiḥ śrīkṛṣṇe jāyate sadbhir ādṛtā /	tasya-ASu BaktiH SrI-kRzNe jAyate sadBiH AdRtA /
   evaṃ premamayīṃ labdhvā bhittvā saṃsāram ātmanaḥ // SatvT_4.37	evam prema-mayIm labDvA BittvA saMsAram AtmanaH // SatvT_4.37
   āśu sampadyate śāntiṃ paramānandadāyinīm /	ASu sampadyate SAntim parama-Ananda-dAyinIm /
   labdhvāpi bhaktā bhagavadrūpaśīlaguṇakriyāḥ // SatvT_4.38	labDvA-api BaktAH Bagavat-rUpa-SIla-guNa-kriyAH // SatvT_4.38
   nānusaṃdhatta etā vai vinā bhaktiṃ janārdane /	na-anusaMDattaH etAH vE vinA Baktim janArdane /
   yady anyasādhanāny anyabhaktau kuryād atantritaḥ // SatvT_4.39	yadi anya-sADanAni anya-BaktO kuryAt atantritaH // SatvT_4.39
   na tatra kaścid doṣaḥ syād dharisevā yataḥ kṛtā /	na tatra kaScid dozaH syAt Dari-sevA yatas kRtA /
   kiṃ tu yad bhaktiniṣṭhā syāt tām evāpnoti mānavaḥ // SatvT_4.40	kim tu yat Bakti-nizWA syAt tAm eva-Apnoti mAnavaH // SatvT_4.40
   phalabhedena bhedaḥ syāt sādhanena na bhidyate /	Pala-Bedena BedaH syAt sADanena na Bidyate /
   pṛthag eṣa mayākhyāto bhaktibhedaḥ sasādhanaḥ // SatvT_4.41	pRTak eza mayA-AKyAtaH Bakti-BedaH sa-sADanaH // SatvT_4.41
   niṣkāmaḥ phalarūpaś ca nityo mokṣasukhādhikaḥ /	nizkAmaH Pala-rUpaH ca nityaH mokza-suKa-aDikaH /
   sakāmaḥ saguṇo vipra bahudhokto maharṣibhiḥ // SatvT_4.42	sa-kAmaH sa-guNaH vipra bahuDA-uktaH mahA-RziBiH // SatvT_4.42
   kiṃ bhūyaḥ kathayāmy adya vada māṃ dvijasattama /	kim BUyas kaTayAmi adya vada mAm dvijasattamaH /
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   vidheyaṃ kathitaṃ sarvaṃ tvayā me surasattama /	viDeyam kaTitam sarvam tvayA me sura-sattamaH /
   niṣedhanīyaṃ kiṃ cātra bhaktistambhakaraṃ ca yat // SatvT_4.43	nizeDanIyam kim ca-atra Bakti-stamBa-karam ca yat // SatvT_4.43
   hānivṛddhikaraṃ cāpi mukhyasādhanam eva ca /	hAni-vRdDi-karam ca-api muKya-sADanam eva ca /
   kathayasva mahādeva śraddhāsevāparāya me // SatvT_4.44	kaTayasva mahAdeva SradDA-sevA-parAya me // SatvT_4.44
   śrīśiva uvāca /	SrI-SivaH uvAca /
   bhaktīnāṃ sādhanānāṃ yad bahirbhūtaṃ mahāmune /	BaktInAm sADanAnAm yat bahis-BUtam mahA-mune /
   niṣedhanīyaṃ tat tāsāṃ bhaktānāṃ puruṣottame // SatvT_4.45	nizeDanIyam tat tAsAm BaktAnAm puruzottame // SatvT_4.45
   dehapravāhād ādhikyaṃ viṣayādaraṇaṃ ca yat /	deha-pravAhAt ADikyam vizaya-AdaraNam ca yat /
   bhaktistambhakaraṃ proktaṃ bhaktiniṣṭhe dvijottama // SatvT_4.46	Bakti-stamBa-karam proktam Bakti-nizWe dvijottamaH // SatvT_4.46
   samāsena mayā proktaṃ niṣedhastambhanaṃ tava /	samAsena mayA proktam nizeDa-stamBanam tava /
   bhaktighnadoṣaṃ śṛṇu taṃ sarvathā varjanaṃ nṛṇām // SatvT_4.47	Bakti-Gna-dozam SRNu tam sarvaTA varjanam nRNAm // SatvT_4.47
   nirguṇāyāṃ prāṇihiṃsā bhāgavatyām ahaṃkṛtiḥ /	nirguNAyAm prANi-hiMsA BAgavatyAm ahaMkRtiH /
   premamayyāṃ satāṃ dveṣo bhaktināśakarā ime // SatvT_4.48	prema-mayyAm satAm dvezaH Bakti-nASa-karAH ime // SatvT_4.48
   sarvabhaktivyatikaraḥ svaguror vāganādaraḥ /	sarva-Bakti-vyatikaraH sva-guroH vAc-anAdaraH /
   dveṣeṇa narakaṃ yāti kurvan bhaktim api dvijaḥ // SatvT_4.49	dvezeNa narakam yAti kurvan Baktim api dvijaH // SatvT_4.49
   doṣadṛṣṭyā doṣavān syāt tatra doṣaphalaṃ bhavet /	doza-dRzwyA dozavAn syAt tatra doza-Palam Bavet /
   martyadṛṣṭyā kṛtaṃ sarvaṃ bhavet kuñjaraśaucavat // SatvT_4.50	martya-dRzwyA kRtam sarvam Bavet kuQjara-SOca-vat // SatvT_4.50
   sarvasādhanamukhyā hi gurusevā sadādṛtā /	sarva-sADana-muKyA hi guru-sevA sat-AdRtA /
   yayā bhaktir bhagavati hy añjasā syāt sukhāvahā // SatvT_4.51	yayA BaktiH Bagavati hi aQjasA syAt suKa-AvahAH // SatvT_4.51
   tasmāt sarvaprayatnena guror vāgādareṇa vai /	tasmAt sarva-prayatnena guroH vAc-AdareNa vE /
   kāryā saiva tu tat sarvā bhagavadbhaktivardhinī // SatvT_4.52	kAryA sA-eva tu tat sarvA Bagavat-Bakti-varDinI // SatvT_4.52
   nirguṇā bhaktiniṣṭhena kāryā bhūtadayā sadā /	nirguNA Bakti-nizWena kAryA BUta-dayA sadA /
   bhāgavatyāṃ kāyamanovacasāṃ pariniṣṭhitā // SatvT_4.53	BAgavatyAm kAya-manaH-vacasAm parinizWitA // SatvT_4.53
   premamayyāṃ satāṃ prītyā śravaṇaṃ yaśasāṃ hareḥ /	prema-mayyAm satAm prItyA SravaNam yaSasAm hareH /
   mukhyāḥ sādhanasampattyaḥ kathitās te dvijottama // SatvT_4.54	muKyAH sADana-sampattyaH kaTitAH te dvijottamaH // SatvT_4.54
   sarvamūlaṃ kṛṣṇapādaśaraṇaṃ parikīrtitam /	sarva-mUlam kRzNa-pAda-SaraNam parikIrtitam /
   yad vinā sravate bhaktir āmabhāṇḍāt payo yathā // SatvT_4.55	yat vinA sravate BaktiH Ama-BANxAt payaH yaTA // SatvT_4.55
   śrīnārada uvāca /	SrI-nAradaH uvAca /
   kṛṣṇapādābjaśaraṇaṃ vada me bahuvittama /	kRzNa-pAda-abja-SaraNam vada me bahu-vittamaH /
