   BhP_11.01.001/0 śrī-śuka uvāca	BhP_11.01.001/0 SrI-SukaH uvAca
   BhP_11.05.033/4 vande mahā-puruṣa te caraṇāravindam	Bhu-_11.05.033/4 vande mahA--puruza te caraNa-aravindam
   BhP_11.05.034/1 tyaktvā su-dustyaja-surepsita-rājya-lakṣmīṃ	Bhu-_11.05.034/1 tyaktvA su-duH-tyaja--sura-Ipsita-rAjya--lakzmIm
   BhP_11.05.034/2 dharmiṣṭha ārya-vacasā yad agād araṇyam	Bhu-_11.05.034/2 DarmizWaH Arya--vacasA yat agAt araNyam
   BhP_11.05.034/3 māyā-mṛgaṃ dayitayepsitam anvadhāvad	Bhu-_11.05.034/3 mAyA-mRgam dayitayA-Ipsitam anvaDAvat-
   BhP_11.05.034/4 vande mahā-puruṣa te caraṇāravindam	Bhu-_11.05.034/4 vande mahA--puruza te caraNa-aravindam
   BhP_11.05.035/1 evaṃ yugānurūpābhyāṃ bhagavān yuga-vartibhiḥ	Bhu-_11.05.035/1 evam yuga-anurUpAByAm BagavAn yuga-vartiBiH
   BhP_11.05.035/3 manujair ijyate rājan śreyasām īśvaro hariḥ	BhP_11.05.035/3 manujEH ijyate rAjan SreyasAm ISvaraH hariH
   BhP_11.05.036/1 kaliṃ sabhājayanty āryā guṇa jñāḥ sāra-bhāginaḥ	Bhu-_11.05.036/1 kalim saBAjayanti AryAH guNa jQAH sAra-BAginaH
   BhP_11.05.036/3 yatra saṅkīrtanenaiva sarva-svārtho 'bhilabhyate	Bhu-_11.05.036/3 yatra saFkIrtanena-eva sarva-svArTaH aBilaByate
   BhP_11.05.037/1 na hy ataḥ paramo lābho dehināṃ bhrāmyatām iha	Bhu-_11.05.037/1 na hi atas paramaH lABaH dehinAm BrAmyatAm iha
   BhP_11.05.037/3 yato vindeta paramāṃ śāntiṃ naśyati saṃsṛtiḥ	Bhu-_11.05.037/3 yatas vindeta paramAm SAntim naSyati saMsRtiH
   BhP_11.05.038/1 kṛtādiṣu prajā rājan kalāv icchanti sambhavam	Bhu-_11.05.038/1 kRta-Adizu prajAH rAjan kalO icCanti samBavam
   BhP_11.05.038/3 kalau khalu bhaviṣyanti nārāyaṇa-parāyaṇāḥ	Bhu-_11.05.038/3 kalO Kalu Bavizyanti nArAyaNa--parAyaNAH
   BhP_11.05.039/1 kvacit kvacin mahā-rāja draviḍeṣu ca bhūriśaḥ	Bhu-_11.05.039/1 kvacid kvacid mahA-rAja dravixezu ca BUriSas-
   BhP_11.05.039/3 tāmraparṇī nadī yatra kṛtamālā payasvinī	Bha-a_11.05.039/3 tAmraparNI nadI yatra kRta-mAlA payasvinI
   BhP_11.05.040/1 kāverī ca mahā-puṇyā pratīcī ca mahā-nadī	BhP_11.05.040/1 kAverI ca mahA--puNyA pratIcI ca mahA--nadI
   BhP_11.05.040/3 ye pibanti jalaṃ tāsāṃ manujā manujeśvara	Bhu-_11.05.040/3 ye pibanti jalam tAsAm manujAH manuja-ISvara
   BhP_11.05.040/5 prāyo bhaktā bhagavati vāsudeve 'malāśayāḥ	BhP_11.05.040/5 prAyas BaktA Bagavati vAsudeve amala-ASayAH
   BhP_11.05.041/1 devarṣi-bhūtāpta-nṛṇāṃ pitṝṇāṃ na kiṅkaro nāyam ṛṇī ca	Bhu-_11.05.041/1 devaRzi--BUta-Apta--nRNAm pitLNAm na kiFkaraH na-ayam RNI ca
   rājan	rAjan
   BhP_11.05.041/3 sarvātmanā yaḥ śaraṇaṃ śaraṇyaṃ gato mukundaṃ parihṛtya	Bhu-_11.05.041/3 sarva-AtmanA yaH SaraNam SaraNyam gataH mukundam parihRtya
   kartam	kartam
   BhP_11.05.042/1 sva-pāda-mūlam bhajataḥ priyasya tyaktānya-bhāvasya hariḥ	Bhu-_11.05.042/1 sva-pAda--mUlam BajataH priyasya tyakta-anya-BAvasya hariH
   pareśaḥ	para-ISaH
   BhP_11.05.042/3 vikarma yac cotpatitaṃ kathañcid dhunoti sarvaṃ hṛdi	Bhu-_11.05.042/3 vikarma yat ca-utpatitam kaTaQcid Dunoti sarvam hRdi
   sanniviṣṭaḥ	sannivizwaH
   BhP_11.05.043/0 śrī-nārada uvāca	Bhu-_11.05.043/0 SrI-nAradaH uvAca
   BhP_11.05.043/1 dharmān bhāgavatān itthaṃ śrutvātha mithileśvaraḥ	Bhu-_11.05.043/1 DarmAn BAgavatAn itTam SrutvA-aTa miTilA-ISvaraH
   BhP_11.05.043/3 jāyanteyān munīn prītaḥ sopādhyāyo hy apūjayat	Bhu-_11.05.043/3 jAyanteyAn munIn prItaH sa-upADyAyaH hi apUjayat-
   BhP_11.05.044/1 tato 'ntardadhire siddhāḥ sarva-lokasya paśyataḥ	Bhu-_11.05.044/1 tatas antardaDire sidDAH sarva-lokasya paSyataH
   BhP_11.05.044/3 rājā dharmān upātiṣṭhann avāpa paramāṃ gatim	Bhu-_11.05.044/3 rAjA DarmAn upAtizWan avApa paramAm gatim
   BhP_11.05.045/1 tvam apy etān mahā-bhāga dharmān bhāgavatān śrutān	Bhu-_11.05.045/1 tvam api etAn mahA-BAga DarmAn BAgavatAn SrutAn
   BhP_11.05.045/3 āsthitaḥ śraddhayā yukto niḥsaṅgo yāsyase param	Bhu-_11.05.045/3 AsTitaH SradDayA yuktaH niHsaFgaH yAsyase param
   BhP_11.05.046/1 yuvayoḥ khalu dampatyor yaśasā pūritaṃ jagat	Bhu-_11.05.046/1 yuvayoH Kalu dampatyoH yaSasA pUritam jagat-
   BhP_11.05.046/3 putratām agamad yad vāṃ bhagavān īśvaro hariḥ	Bhu-_11.05.046/3 putra-tAm agamat yat vAm BagavAn ISvaraH hariH
   BhP_11.05.047/1 darśanāliṅganālāpaiḥ śayanāsana-bhojanaiḥ	Bhu-_11.05.047/1 darSana-AliFgana-AlApEH Sayana-Asana--BojanEH
   BhP_11.05.047/3 ātmā vāṃ pāvitaḥ kṛṣṇe putra-snehaṃ prakurvatoḥ	Bhu-_11.05.047/3 AtmA vAm pAvitaH kRzNe putra--sneham prakurvatoH
   BhP_11.05.048/1 vaireṇa yaṃ nṛpatayaḥ śiśupāla-pauṇḍra-	Bhu-_11.05.048/1 vEreNa yam nRpatayaH SiSupAla--pONxra-
   BhP_11.05.048/2 śālvādayo gati-vilāsa-vilokanādyaiḥ	Bhu-_11.05.048/2 SAlva-AdayaH gati-vilAsa--vilokana-AdyEH
   BhP_11.05.048/3 dhyāyanta ākṛta-dhiyaḥ śayanāsanādau	Bhu-_11.05.048/3 DyAyantaH AkRta--DiyaH Sayana-Asana-AdO
   BhP_11.05.048/4 tat-sāmyam āpur anurakta-dhiyāṃ punaḥ kim	Bhu-_11.05.048/4 tat-sAmyam ApuH anurakta--DiyAm punar kim
   BhP_11.05.049/1 māpatya-buddhim akṛthāḥ kṛṣṇe sarvātmanīśvare	Bhu-_11.05.049/1 mA-apatya--budDim akRTAH kRzNe sarva-Atmani-ISvare
   BhP_11.05.049/3 māyā-manuṣya-bhāvena gūḍhaiśvarye pare 'vyaye	Bhu-_11.05.049/3 mAyA--manuzya--BAvena gUXa-ESvarye pare avyaye
   BhP_11.05.050/1 bhū-bhārāsura-rājanya- hantave guptaye satām	Bhu-_11.05.050/1 BU-BAra-asura--rAjanya hantave guptaye satAm
   BhP_11.05.050/3 avatīrṇasya nirvṛtyai yaśo loke vitanyate	Bhu-_11.05.050/3 avatIrNasya nirvRtyE yaSaH loke vitanyate
   BhP_11.05.051/0 śrī-śuka uvāca	BhP_11.05.051/0 SrI-SukaH uvAca
   BhP_11.05.051/1 etac chrutvā mahā-bhāgo vasudevo 'ti-vismitaḥ	Bhu-_11.05.051/1 etat SrutvA mahA-BAgaH vasudevaH ati--vismitaH
   BhP_11.05.051/3 devakī ca mahā-bhāgā jahatur moham ātmanaḥ	BhP_11.05.051/3 devakI ca mahA-BAgAH jahatuH moham AtmanaH
   BhP_11.05.052/1 itihāsam imaṃ puṇyaṃ dhārayed yaḥ samāhitaḥ	Bhu-_11.05.052/1 itihAsam imam puNyam DArayet yaH samAhitaH
   BhP_11.05.052/3 sa vidhūyeha śamalaṃ brahma-bhūyāya kalpate	Bhu-_11.05.052/3 sa viDUya-iha Samalam brahma-BUyAya kalpate
   BhP_11.06.001/0 śrī-śuka uvāca	BhP_11.06.001/0 SrI-SukaH uvAca
   BhP_11.06.001/1 atha brahmātma-jaiḥ devaiḥ prajeśair āvṛto 'bhyagāt	Bhu-_11.06.001/1 aTa brahma-Atma-jEH devEH prajA-ISEH AvRtaH aByagAt-
   BhP_11.06.001/3 bhavaś ca bhūta-bhavyeśo yayau bhūta-gaṇair vṛtaḥ	BhP_11.06.001/3 BavaH ca BUta-Bavya-ISaH yayO BUta--gaNEH vRtaH
   BhP_11.06.002/1 indro marudbhir bhagavān ādityā vasavo 'śvinau	Bhu-_11.06.002/1 indraH marudBiH BagavAn AdityAH vasavaH aSvinO
   BhP_11.06.002/3 ṛbhavo 'ṅgiraso rudrā viśve sādhyāś ca devatāḥ	Bhu-_11.06.002/3 RBavaH aFgirasaH rudrAH viSve sADyAH ca devatAH
   BhP_11.06.003/1 gandharvāpsaraso nāgāḥ siddha-cāraṇa-guhyakāḥ	Bhu-_11.06.003/1 ganDarva-apsarasaH nAgAH sidDa-cAraNa--guhyakAH
   BhP_11.06.003/3 ṛṣayaḥ pitaraś caiva sa-vidyādhara-kinnarāḥ	Bhu-_11.06.003/3 RzayaH pitaraH ca-eva sa-vidyADara--kinnarAH
   BhP_11.06.004/1 dvārakām upasañjagmuḥ sarve kṛṣṇa-didṛkṣavaḥ	Bhu-_11.06.004/1 dvArakAm upasaQjagmuH sarve kRzNa-didRkzavaH
   BhP_11.06.004/3 vapuṣā yena bhagavān nara-loka-manoramaḥ	Bhu-_11.06.004/3 vapuzA yena BagavAn nara--loka--manoramaH
   BhP_11.06.004/5 yaśo vitene lokeṣu sarva-loka-malāpaham	Bhu-_11.06.004/5 yaSaH vitene lokezu sarva-loka-mala-apaham
   BhP_11.06.005/1 tasyāṃ vibhrājamānāyāṃ samṛddhāyāṃ maharddhibhiḥ	Bhu-_11.06.005/1 tasyAm viBrAjamAnAyAm samRdDAyAm mahA-RdDiBiH
   BhP_11.06.005/3 vyacakṣatāvitṛptākṣāḥ kṛṣṇam adbhuta-darśanam	Bhu-_11.06.005/3 vyacakzata-avitRpta-akzAH kRzNam adButa--darSanam
   BhP_11.06.006/1 svargodyānopagair mālyaiś chādayanto yudūttamam	BhP-_11.06.006/1 svarga-udyAna-upagEH mAlyEH CAdayantaH yudUttamam
   BhP_11.06.006/3 gīrbhiś citra-padārthābhis tuṣṭuvur jagad-īśvaram	Bhu-_11.06.006/3 gIrBiH citra--padArTABiH tuzwuvuH jagat--ISvaram
   BhP_11.06.007/0 śrī-devā ūcuḥ	Bhu-_11.06.007/0 SrI--devAH UcuH
   BhP_11.06.007/1 natāḥ sma te nātha padāravindaṃ	Bhu-_11.06.007/1 natAH sma te nATa pada-aravindam
   buddhīndriya-prāṇa-mano-vacobhiḥ	budDIndriya--prANa--mano-vacoBiH
   BhP_11.06.007/3 yac cintyate 'ntar hṛdi bhāva-yuktair mumukṣubhiḥ	Bhu-_11.06.007/3 yat cintyate antar hRdi BAva--yuktEH mumukzuBiH
   karma-mayoru-pāśāt	karma--mayA-uru--pASAt-
   BhP_11.06.008/1 tvaṃ māyayā tri-guṇayātmani durvibhāvyaṃ	Bhu-_11.06.008/1 tvam mAyayA tri-guNayA-Atmani durviBAvyam
   BhP_11.06.008/2 vyaktaṃ sṛjasy avasi lumpasi tad-guṇa-sthaḥ	Bhu-_11.06.008/2 vyaktam sRjasi avasi lumpasi tad--guNa--sTaH
   BhP_11.06.008/3 naitair bhavān ajita karmabhir ajyate vai	Bhu-_11.06.008/3 na-etEH BavAn ajita karmaBiH ajyate vE
   BhP_11.06.008/4 yat sve sukhe 'vyavahite 'bhirato 'navadyaḥ	BhP-_11.06.008/4 yat sve suKe avyavahite aBirataH anavadyaH
   BhP_11.06.009/1 śuddhir nṛṇāṃ na tu tatheḍya durāśayānāṃ	Bhu-_11.06.009/1 SudDiH nRNAm na tu taTA-Ixya durASayAnAm
   BhP_11.06.009/2 vidyā-śrutādhyayana-dāna-tapaḥ-kriyābhiḥ	Bhu-_11.06.009/2 vidyA--Sruta-aDyayana-dAna--tapaH--kriyABiH
   BhP_11.06.009/3 sattvātmanām ṛṣabha te yaśasi pravṛddha-	Bhu-_11.06.009/3 sattva-AtmanAm RzaBa te yaSasi pravRdDa-
   BhP_11.06.009/4 sac-chraddhayā śravaṇa-sambhṛtayā yathā syāt	Bhu-_11.06.009/4 sac-SradDayA SravaNa--samBRtayA yaTA syAt-
   BhP_11.06.010/1 syān nas tavāṅghrir aśubhāśaya-dhūmaketuḥ	Bhu-_11.06.010/1 syAt naH tava-aFGriH aSuBa-ASaya-DUmaketuH
   BhP_11.06.010/2 kṣemāya yo munibhir ārdra-hṛdohyamānaḥ	Bhu-_11.06.010/2 kzemAya yaH muniBiH Ardra--hRdA-uhyamAnaH
   BhP_11.06.010/3 yaḥ sātvataiḥ sama-vibhūtaya ātmavadbhir	Bhu-_11.06.010/3 yaH sAtvatEH sama-viBUtayaH AtmavadBiH-
   BhP_11.06.010/4 vyūhe 'rcitaḥ savanaśaḥ svar-atikramāya	Bhu-_11.06.010/4 vyUhe arcitaH sa-vanaSas svar-atikramAya
   BhP_11.06.011/1 yas cintyate prayata-pāṇibhir adhvarāgnau	Bhu-_11.06.011/1 yaH cintyate prayata--pANiBiH aDvara-agnO
   BhP_11.06.011/2 trayyā nirukta-vidhineśa havir gṛhītvā	Bhu-_11.06.011/2 trayyA nirukta--viDinA-ISa haviH gRhItvA
   BhP_11.06.011/3 adhyātma-yoga uta yogibhir ātma-māyāṃ	Bhu-_11.06.011/3 aDyAtma--yogaH uta yogiBiH Atma--mAyAm
   BhP_11.06.011/4 jijñāsubhiḥ parama-bhāgavataiḥ parīṣṭaḥ	Bhu-_11.06.011/4 jijQAsuBiH parama---BAgavatEH parIzwaH
   BhP_11.06.012/1 paryuṣṭayā tava vibho vana-mālayeyaṃ	Bhu-_11.06.012/1 paryuzwayA tava viBo vana-mAlayeyam
   BhP_11.06.012/2 saṃspārdhinī bhagavatī pratipatnī-vac chrīḥ	Bha-a_11.06.012/2 saMspArDinI BagavatI pratipatnI-vat SrIH
   BhP_11.06.012/3 yaḥ su-praṇītam amuyārhaṇam ādadan no	Bhu-_11.06.012/3 yaH su-praNItam amuyA-arhaNam Adadan no
   BhP_11.06.012/4 bhūyāt sadāṅghrir aśubhāśaya-dhūmaketuḥ	Bhu-_11.06.012/4 BUyAt sadA-aFGriH aSuBa-ASaya-DUmaketuH
   BhP_11.06.013/1 ketus tri-vikrama-yutas tri-patat-patāko	Bhu-_11.06.013/1 ketuH tri-vikrama-yutaH tri-patat--patAkaH-
   BhP_11.06.013/2 yas te bhayābhaya-karo 'sura-deva-camvoḥ	Bhu-_11.06.013/2 yaH te Baya-aBaya-karaH asura--deva--camvoH
   BhP_11.06.013/3 svargāya sādhuṣu khaleṣv itarāya bhūman	Bhu-_11.06.013/3 svargAya sADuzu Kalezu itarAya BUman
   BhP_11.06.013/4 padaḥ punātu bhagavan bhajatām aghaṃ naḥ	Bhu-_11.06.013/4 padaH punAtu Bagavan BajatAm aGam naH
   BhP_11.06.014/1 nasy ota-gāva iva yasya vaśe bhavanti	Bhu-_11.06.014/1 nasi ota-gAvaH iva yasya vaSe Bavanti
   BhP_11.06.014/2 brahmādayas tanu-bhṛto mithur ardyamānāḥ	Bhu-_11.06.014/2 brahma-AdayaH tanu-BRtaH miTus ardyamAnAH
   BhP_11.06.014/3 kālasya te prakṛti-pūruṣayoḥ parasya	Bhu-_11.06.014/3 kAlasya te prakRti-pUruzayoH parasya
   BhP_11.06.014/4 śaṃ nas tanotu caraṇaḥ puruṣottamasya	Bhu-_11.06.014/4 Sam naH tanotu caraNaH puruzottamasya
   BhP_11.06.015/1 asyāsi hetur udaya-sthiti-saṃyamānām	Bhu-_11.06.015/1 asya-asi hetuH udaya--sTiti--saMyamAnAm
   BhP_11.06.015/2 avyakta-jīva-mahatām api kālam āhuḥ	Bhu-_11.06.015/2 avyakta-jIva--mahatAm api kAlam AhuH
   BhP_11.06.015/3 so 'yaṃ tri-ṇābhir akhilāpacaye pravṛttaḥ	Bhu-_11.06.015/3 saH ayam tri-NABiH aKila-apacaye pravRttaH
   BhP_11.06.015/4 kālo gabhīra-raya uttama-pūruṣas tvam	Bhu-_11.06.015/4 kAlaH gaBIra--rayaH uttama--pUruzaH tvam
   BhP_11.06.016/1 tvattaḥ pumān samadhigamya yayāsya vīryaṃ	Bhu-_11.06.016/1 tvattaH pumAn samaDigamya yayA-asya vIryam
   BhP_11.06.016/2 dhatte mahāntam iva garbham amogha-vīryaḥ	Bhu-_11.06.016/2 Datte mahAntam iva garBam amoGa--vIryaH
   BhP_11.06.016/3 so 'yaṃ tayānugata ātmana āṇḍa-kośaṃ	Bhu-_11.06.016/3 saH ayam tayA-anugataH AtmanaH ANxa-koSam
   BhP_11.06.016/4 haimaṃ sasarja bahir āvaraṇair upetam	Bhu-_11.06.016/4 hEmam sasarja bahis AvaraNEH upetam
   BhP_11.06.017/1 tat tasthūṣaś ca jagataś ca bhavān adhīśo	Bhu-_11.06.017/1 tat tasTUzaH ca jagataH ca BavAn aDISaH-
   BhP_11.06.017/2 yan māyayottha-guṇa-vikriyayopanītān	Bhu-_11.06.017/2 yat mAyayA-utTa--guNa--vikriyayA-upanItAn
   BhP_11.06.017/3 arthāñ juṣann api hṛṣīka-pate na lipto	Bhu-_11.06.017/3 arTAn juzan api hRzIka-pate na liptaH-
   BhP_11.06.017/4 ye 'nye svataḥ parihṛtād api bibhyati sma	Bhu-_11.06.017/4 ye anye svatas parihRtAt api biByati sma
   BhP_11.06.018/1 smāyāvaloka-lava-darśita-bhāva-hāri-	Bhu-_11.06.018/1 smAya-avaloka-lava--darSita-BAva--hAri-
   BhP_11.06.018/2 bhrū-maṇḍala-prahita-saurata-mantra-śauṇḍaiḥ	Bhu-_11.06.018/2 BrU--maNxala--prahita--sOrata--mantra--SONxEH
   BhP_11.06.018/3 patnyas tu ṣoḍaśa-sahasram anaṅga-bāṇair	Bhu-_11.06.018/3 patnyaH tu zoxaSa--sahasram anaFga--bANEH-
   BhP_11.06.018/4 yasyendriyaṃ vimathituṃ karaṇair na vibhvyaḥ	Bhu-_11.06.018/4 yasya-indriyam vimaTitum karaNEH na viBvyaH
   BhP_11.06.019/1 vibhvyas tavāmṛta-kathoda-vahās tri-lokyāḥ	Bhu-_11.06.019/1 viBvyaH tava-amRta-kaTA-uda-vahAH tri-lokyAH
   BhP_11.06.019/2 pādāvane-ja-saritaḥ śamalāni hantum	Bhu-_11.06.019/2 pAdO=-ane-ja--saritaH SamalAni hantum
   BhP_11.06.019/3 ānuśravaṃ śrutibhir aṅghri-jam aṅga-saṅgais	Bhu-_11.06.019/3 AnuSravam SrutiBiH aFGri-jam aFga-saFgEH-
   BhP_11.06.019/4 tīrtha-dvayaṃ śuci-ṣadas ta upaspṛśanti	Bhu-_11.06.019/4 tIrTa--dvayam Suci--zadaH te upaspRSanti
   BhP_11.06.020/0 śrī-bādarāyaṇir uvāca	BhP_11.06.020/0 SrI-bAdarAyaNiH uvAca
   BhP_11.06.020/1 ity abhiṣṭūya vibudhaiḥ seśaḥ śata-dhṛtir harim	Bhu-_11.06.020/1 iti aBizwUya vibuDEH sa-ISaH Sata-DRtiH harim
   BhP_11.06.020/3 abhyabhāṣata govindaṃ praṇamyāmbaram āśritaḥ	Bhu-_11.06.020/3 aByaBAzata govindam praNamya-ambaram ASritaH
   BhP_11.06.021/0 śrī-brahmovāca	Bhu-_11.06.021/0 SrI--brahmA-uvAca
   BhP_11.06.021/1 bhūmer bhārāvatārāya purā vijñāpitaḥ prabho	Bhu-_11.06.021/1 BUmeH BAra-avatArAya purA vijQApitaH praBo
   BhP_11.06.021/3 tvam asmābhir aśeṣātman tat tathaivopapāditam	Bhu-_11.06.021/3 tvam asmABiH aSeza-Atman tat taTA-eva-upapAditam
   BhP_11.06.022/1 dharmaś ca sthāpitaḥ satsu satya-sandheṣu vai tvayā	BhP_11.06.022/1 DarmaH ca sTApitaH satsu satya-sanDezu vE tvayA
   BhP_11.06.022/3 kīrtiś ca dikṣu vikṣiptā sarva-loka-malāpahā	BhP_11.06.022/3 kIrtiH ca dikzu vikziptA sarva-loka-mala-apahA
   BhP_11.06.023/1 avatīrya yador vaṃśe bibhrad rūpam anuttamam	BhP_11.06.023/1 avatIrya yadoH vaMSe biBrat rUpam anuttamam
   BhP_11.06.023/3 karmāṇy uddāma-vṛttāni hitāya jagato 'kṛthāḥ	BhP_11.06.023/3 karmANi uddAma--vRttAni hitAya jagataH akRTAH
   BhP_11.06.024/1 yāni te caritānīśa manuṣyāḥ sādhavaḥ kalau	Bhu-_11.06.024/1 yAni te caritAn-ISa manuzyAH sADavaH kalO
   BhP_11.06.024/3 śṛṇvantaḥ kīrtayantaś ca tariṣyanty añjasā tamaḥ	Bhu-_11.06.024/3 SRNvantaH kIrtayantaH ca tarizyanti aQjasA tamaH
   BhP_11.06.025/1 yadu-vaṃśe 'vatīrṇasya bhavataḥ puruṣottama	Bhu-_11.06.025/1 yadu-vaMSe avatIrNasya BavataH puruzottama
   BhP_11.06.025/3 śarac-chataṃ vyatīyāya pañca-viṃśādhikaṃ prabho	Bhu-_11.06.025/3 Sara-c--Satam vyatIyAya paQca-viMSa-aDikam praBo
   BhP_11.06.026/1 nādhunā te 'khilādhāra deva-kāryāvaśeṣitam	Bhu-_11.06.026/1 na-aDunA te aKila-ADAra deva--kArya-avaSezitam
   BhP_11.06.026/3 kulaṃ ca vipra-śāpena naṣṭa-prāyam abhūd idam	Bhu-_11.06.026/3 kulam ca vipra--SApena nazwa--prAyam aBUt idam
   BhP_11.06.027/1 tataḥ sva-dhāma paramaṃ viśasva yadi manyase	Bhu-_11.06.027/1 tatas sva-DAma paramam viSasva yadi manyase
   BhP_11.06.027/3 sa-lokāl loka-pālān naḥ pāhi vaikuṇṭha-kiṅkarān	Bhu-_11.06.027/3 sa-lokAt loka-pAlAn naH pAhi vEkuNWa--kiFkarAn
   BhP_11.06.028/0 śrī-bhagavān uvāca	Bhu-_11.06.028/0 SrI--BagavAn uvAca
   BhP_11.06.028/1 avadhāritam etan me yad āttha vibudheśvara	Bhu-_11.06.028/1 avaDAritam etat me yat AtTa vibuDa-ISvara
   BhP_11.06.028/3 kṛtaṃ vaḥ kāryam akhilaṃ bhūmer bhāro 'vatāritaḥ	Bhu-_11.06.028/3 kRtam vaH kAryam aKilam BUmeH BAraH avatAritaH
   BhP_11.06.029/1 tad idaṃ yādava-kulaṃ vīrya-śaurya-śriyoddhatam	Bhu-_11.06.029/1 tat idam yAdava--kulam vIrya--SOrya--SriyA-udDatam
   BhP_11.06.029/3 lokaṃ jighṛkṣad ruddhaṃ me velayeva mahārṇavaḥ	Bhu-_11.06.029/3 lokam jiGRkzat rudDam me velayA-iva mahA-arNavaH
   BhP_11.06.030/1 yady asaṃhṛtya dṛptānāṃ yadūnāṃ vipulaṃ kulam	Bhu-_11.06.030/1 yadi asaMhRtya dRptAnAm yadUnAm vipulam kulam
   BhP_11.06.030/3 gantāsmy anena loko 'yam udvelena vinaṅkṣyati	Bhu-_11.06.030/3 gantAsmi anena lokaH ayam udvelena vinaFkzyati
   BhP_11.06.031/1 idānīṃ nāśa ārabdhaḥ kulasya dvija-śāpa-jaḥ	Bhu-_11.06.031/1 idAnIm nASaH ArabDaH kulasya dvija--SApa-jaH
   BhP_11.06.031/3 yāsyāmi bhavanaṃ brahmann etad-ante tavānagha	Bhu-_11.06.031/3 yAsyAmi Bavanam brahman etat--ante tava-anaGa
   BhP_11.06.032/0 śrī-śuka uvāca	BhP_11.06.032/0 SrI-SukaH uvAca
   BhP_11.06.032/1 ity ukto loka-nāthena svayam-bhūḥ praṇipatya tam	Bhu-_11.06.032/1 iti uktaH loka-nATena svayam--BUH praNipatya tam
   BhP_11.06.032/3 saha deva-gaṇair devaḥ sva-dhāma samapadyata	BhP_11.06.032/3 saha deva--gaNEH devaH sva-DAma samapadyata
   BhP_11.06.033/1 atha tasyāṃ mahotpātān dvāravatyāṃ samutthitān	Bhu-_11.06.033/1 aTa tasyAm mahA-utpAtAn dvAravatyAm samutTitAn
   BhP_11.06.033/3 vilokya bhagavān āha yadu-vṛddhān samāgatān	Bhu-_11.06.033/3 vilokya BagavAn Aha yadu-vRdDAn samAgatAn
   BhP_11.06.034/0 śrī-bhagavān uvāca	Bhu-_11.06.034/0 SrI--BagavAn uvAca
   BhP_11.06.034/1 ete vai su-mahotpātā vyuttiṣṭhantīha sarvataḥ	Bhu-_11.06.034/1 ete vE su--mahA-utpAtAH vyuttizWanti-iha sarvatas-
   BhP_11.06.034/3 śāpaś ca naḥ kulasyāsīd brāhmaṇebhyo duratyayaḥ	BhP_11.06.034/3 SApaH ca naH kulasya-AsIt brAhmaNeByaH duratyayaH
   BhP_11.06.035/1 na vastavyam ihāsmābhir jijīviṣubhir āryakāḥ	Bhu-_11.06.035/1 na vastavyam iha-asmABiH jijIvizuBiH AryakAH
   BhP_11.06.035/3 prabhāsaṃ su-mahat-puṇyaṃ yāsyāmo 'dyaiva mā ciram	Bhu-_11.06.035/3 praBAsam su-mahat--puNyam yAsyAmaH adya-eva mA ciram
   BhP_11.06.036/1 yatra snātvā dakṣa-śāpād gṛhīto yakṣmaṇodu-rāṭ	Bhu-_11.06.036/1 yatra snAtvA dakza-SApAt gRhItaH yakzmaNaH-du-rAj-
   BhP_11.06.036/3 vimuktaḥ kilbiṣāt sadyo bheje bhūyaḥ kalodayam	Bhu-_11.06.036/3 vimuktaH kilbizAt sadyas Beje BUyas kalA-udayam
   BhP_11.06.037/1 vayaṃ ca tasminn āplutya tarpayitvā pitṝn surān	Bhu-_11.06.037/1 vayam ca tasmin Aplutya tarpayitvA pitLn surAn
   BhP_11.06.037/3 bhojayitvoṣijo viprān nānā-guṇavatāndhasā	Bhu-_11.06.037/3 BojayitvA-uzi-jaH viprAn nAnA--guNavatA-anDasA
   BhP_11.06.038/1 teṣu dānāni pātreṣu śraddhayoptvā mahānti vai	Bhu-_11.06.038/1 tezu dAnAni pAtrezu SradDayA-uptvA mahAnti vE
   BhP_11.06.038/3 vṛjināni tariṣyāmo dānair naubhir ivārṇavam	BhP_11.06.038/3 vRjinAni tarizyAmaH dAnEH nOBiH iva-arNavam
   BhP_11.06.039/0 śrī-śuka uvāca	BhP_11.06.039/0 SrI-SukaH uvAca
   BhP_11.06.039/1 evaṃ bhagavatādiṣṭā yādavāḥ kuru-nandana	Bhu-_11.06.039/1 evam BagavatA-AdizwAH yAdavAH kuru-nandana
   BhP_11.06.039/3 gantuṃ kṛta-dhiyas tīrthaṃ syandanān samayūyujan	Bhu-_11.06.039/3 gantum kRta-DiyaH tIrTam syandanAn samayUyujan
   BhP_11.06.040/1 tan nirīkṣyoddhavo rājan śrutvā bhagavatoditam	Bhu-_11.06.040/1 tat nirIkzya-udDavaH rAjan SrutvA BagavatA-uditam
   BhP_11.06.040/3 dṛṣṭvāriṣṭāni ghorāṇi nityaṃ kṛṣṇam anuvrataḥ	Bhu-_11.06.040/3 dRzwvA-arizwAni GorANi nityam kRzNam anuvrataH
   BhP_11.06.041/1 vivikta upasaṅgamya jagatām īśvareśvaram	Bhu-_11.06.041/1 vivikte upasaFgamya jagatAm ISvara-ISvaram
   BhP_11.06.041/3 praṇamya śirisā pādau prāñjalis tam abhāṣata	Bhu-_11.06.041/3 praNamya SirisA pAdO prAQjaliH tam aBAzata
