   1st kāṇḍa	1st kANxa
   na tathālātacakrasya vicchinnaṃ spṛśyate hi tat // BVaky_2.291 //	na taTA alAta cakrasya vicCinnam spRSyate hi tat // BVakI _2.291 //
   vapraprākārakalpaiś ca sparśanāvaraṇe yathā /	vapra prAkAra kalpEH ca sparSana AvaraNe yaTA /
   nagareṣu na te tadvad gandharvanagareṣv api // BVaky_2.292 //	nagarezu na te tadvat ganDarvanagarezu api // BVakI _2.292 //
   mṛgapaśvādibhir yāvān mukhyair arthaḥ prasādhyate /	mRga paSu AdiBiH yAvAn muKyEH arTaH prasADyate /
   tāvān na mṛnmayeṣv asti tasmāt te viṣayaḥ kanaḥ // BVaky_2.293 //	tAvAn na mRd mayezu asti tasmAt te vizayaH kanaH // BVakI _2.293 //
   mahān āvriyate deśaḥ prasiddhaiḥ parvatādibhiḥ /	mahAn Avriyate deSaH prasidDEH parvata AdiBiH /
   alpadeśāntarāvasthaṃ pratibimbaṃ tu dṛśyate // BVaky_2.294 //	alpa deSa antara avasTam pratibimbam tu dRSyate // BVakI _2.294 //
   maraṇādinimittaṃ ca yathā mukhyā viṣādayaḥ /	maraNa Adi nimittam ca yaTA muKyAH viza AdayaH /
   na te svapnādiṣu svasya tadvad arthasya sādhakāḥ // BVaky_2.295 //	na te svapna Adizu svasya tadvat arTasya sADakAH // BVakI _2.295 //
   deśakālendriyagatair bhedair yad dṛśyate 'nyathā /	deSa kAla indriya gatEH BedEH yat dRSyate anyaTA /
   yathā prasiddhir lokasya tathā tad avasīyate // BVaky_2.296 //	yaTA prasidDiH lokasya taTA tat avasIyate // BVakI _2.296 //
   yac copaghātajaṃ jñānaṃ yac ca jñānam alaukikam /	yat ca upaGAta jam jQAnam yat ca jQAnam alOkikam /
   na tābhyāṃ vyavahāro 'sti śabdā lokanibandhanāḥ // BVaky_2.297 //	na tAByAm vyavahAraH asti SabdAH loka nibanDanAH // BVakI _2.297 //
   ghaṭādiṣu yathā dīpo yenārthena prayujyate /	Gawa Adizu yaTA dIpaH yena arTena prayujyate /
   tato 'nyasyāpi sāṃnidhyāt sa karoti prakāśanam // BVaky_2.298 //	tatas anyasya api sAMniDyAt sa karoti prakASanam // BVakI _2.298 //
   saṃsargiṣu tathārtheṣu śabdo yena prayujyate /	saMsargizu taTA arTezu SabdaH yena prayujyate /
   tasmāt prayojakād anyān api pratyāyayaty asau // BVaky_2.299 //	tasmAt prayojakAt anyAn api pratyAyayati asO // BVakI _2.299 //
   nirmanthanaṃ yathāraṇyor agnyartham upapāditam /	nirmanTanam yaTA araNyoH agni arTam upapAditam /
   dhūmam apy anabhipretaṃ janayaty ekasādhanam // BVaky_2.300 //	DUmam api anaBipretam janayati eka sADanam // BVakI _2.300 //
   tathā śabdo 'pi kasmiṃś cit pratyāyye 'rthe vivakṣite /	taTA SabdaH api kasmin cit pratyAyye arTe vivakzite /
   avivakṣitam apy arthaṃ prakāśayate saṃnidheḥ // BVaky_2.301 //	avivakzitam api arTam prakASayate saMniDeH // BVakI _2.301 //
   yathaivātyantasaṃsṛṣṭas tyaktum artho na śakyate /	yaTA eva atyanta saMsRzwaH tyaktum arTaH na Sakyate /
   tathā śabdo 'pi saṃbandhī pravivaktuṃ na śakyate // BVaky_2.302 //	taTA SabdaH api saMbanDI pravivaktum na Sakyate // BVakI _2.302 //
   arthānāṃ saṃnidhāne 'pi sati caiṣāṃ prakāśane /	arTAnAm saMniDAne api sati ca ezAm prakASane /
   prayojako 'rthaḥ śabdasya rūpābhede 'pi gamyate // BVaky_2.303 //	prayojakaH arTaH Sabdasya rUpa aBede api gamyate // BVakI _2.303 //
   kva cid guṇapradhānatvam arthānām avivakṣitam /	kva cit guNa praDAna tvam arTAnAm avivakzitam /
   kva cit sāṃnidhyam apy eṣāṃ pratipattāv akāraṇam // BVaky_2.304 //	kva cit sAMniDyam api ezAm pratipattO akAraNam // BVakI _2.304 //
   *yac cānupāttaṃ śabdena tat kasmiṃś cit pratīyate /	*yat ca anupAttam Sabdena tat kasmin cit pratIyate /
   kva cit pradhānam evārtho bhavaty ayasya lakṣaṇam // BVaky_2.305 *//	kva cit praDAnam eva arTaH Bavati ayasya lakzaNam // BVakI _2.305 *//
   *ākhyātaṃ taddhitārthasya yat kiṃ cid upadarśakam /	*a AKyAtam tat hita arTasya yat kim cit upadarSakam /
   guṇapradhānabhāvasya tatra dṛṣṭo viparyayaḥ // BVaky_2.306 *//	guNa praDAna BAvasya tatra dRzwaH viparyayaH // BVakI _2.306 *//
   *nirdeśe liṅgasaṃkhyānāṃ saṃnidhānam akāraṇam /	*nirdeSe liFga saMKyAnAm saMniDAnam akAraNam /
   pramāṇam ardhahrasādāv anupāttaṃ pratīyate // BVaky_2.307 //	pramANam arDa hrasa AdO anupAttam pratIyate // BVakI _2.307 //
   hrasvasyārdhaṃ ca yad dṛṣṭaṃ tat tasyāsaṃnidhāv api /	hrasvasya arDam ca yat dRzwam tat tasya asaMniDO api /
   hrasvasya lakṣaṇārthatvāt tadvad evābhidhīyate // BVaky_2.308 //	hrasvasya lakzaNa arTa tvAt tadvat eva aBiDIyate // BVakI _2.308 //
   dīrghaplutābhyāṃ tasya syān mātrayā vā viśeṣaṇam /	dIrGa plutAByAm tasya syAt mAtrayA vA viSezaNam /
   jāter vā lakṣaṇāya syāt sarvathā saptaparṇavat // BVaky_2.309 //	jAteH vA lakzaNAya syAt sarvaTA saptaparNa vat // BVakI _2.309 //
   gantavyaṃ dṛśyatāṃ sūrya iti kālasya lakṣaṇe /	gantavyam dRSyatAm sUryaH iti kAlasya lakzaNe /
   jñāyatāṃ kāla ity etat sopāyam abhidhīyate // BVaky_2.310 //	jQAyatAm kAlaH iti etat sa upAyam aBiDIyate // BVakI _2.310 //
   vidhyaty adhanuṣety atra viśeṣeṇa nidarśyate /	viDyati aDanuzA iti atra viSezeNa nidarSyate /
   sāmānyam āśrayaḥ śakter yaḥ kaś cit pratipādakaḥ // BVaky_2.311 //	sAmAnyam ASrayaH SakteH yaH kaH cit pratipAdakaH // BVakI _2.311 //
   kākebhyo rakṣyatāṃ sarpir iti bālo 'pi coditaḥ /	kAkeByaH rakzyatAm sarpiH iti bAlaH api coditaH /
   upaghātapare vākye na śvādibhyo na rakṣati // BVaky_2.312 //	upaGAta pare vAkye na Sva AdiByaH na rakzati // BVakI _2.312 //
   prakṣālane śarāvāṇāṃ sthānanirmārjanaṃ tathā /	prakzAlane SarAvANAm sTAna nirmArjanam taTA /
   anuktam api rūpeṇa bhujyaṅgatvāt pratīyate // BVaky_2.313 //	anuktam api rUpeNa BujyaFga tvAt pratIyate // BVakI _2.313 //
   vākyāt prakaraṇād arthād aucityād deśakālataḥ /	vAkyAt prakaraNAt arTAt OcityAt deSa kAlataH /
   śabdārthāḥ pravibhajyante na rūpād eva kevalāt // BVaky_2.314 //	Sabda arTAH praviBajyante na rUpAt eva kevalAt // BVakI _2.314 //
   saṃsargo viprayogaś ca sāhacaryaṃ virodhitā /	saMsargaH viprayogaH ca sAhacaryam viroDitA /
   arthaḥ prakaraṇaṃ liṅgaṃ śabdasyānyasya saṃnidhiḥ // BVaky_2.315 //	arTaH prakaraNam liFgam Sabdasya anyasya saMniDiH // BVakI _2.315 //
   sāmarthyam aucitī deśaḥ kālo vyaktiḥ svarādayaḥ /	sAmarTyam OcitI deSaH kAlaH vyaktiH svara AdayaH /
   śabdārthasyānavacchede viśeṣasmṛtihetavaḥ // BVaky_2.316 //	Sabda arTasya anavacCede viSeza smRti hetavaH // BVakI _2.316 //
   bhedapakṣe 'pi sārūpyād bhinnārthāḥ pratipattṛṣu /	Beda pakze api sArUpyAt Binna arTAH pratipattRzu /
   niyatā yānty abhivyaktiṃ śabdāḥ prakaraṇādibhiḥ // BVaky_2.317 //	niyatAH yAnti aBivyaktim SabdAH prakaraNa AdiBiH // BVakI _2.317 //
   nāmākhyātasarūpā ye kāryāntaranibandhanāḥ /	nAma AKyAta sarUpAH ye kArya antara nibanDanAH /
   śabdā vākyasya teṣv artho na rūpād adhigamyate // BVaky_2.318 //	SabdAH vAkyasya tezu arTaH na rUpAt aDigamyate // BVakI _2.318 //
   yā pravṛttinivṛttyarthā stutinindāprakalpanā /	yA pravRtti nivRtti arTA stuti nindA prakalpanA /
   kuśalaḥ pratipattā tām ayathārthāṃ samīhate // BVaky_2.319 //	kuSalaH pratipattA tAm ayaTArTAm samIhate // BVakI _2.319 //
   vidhīyamānaṃ yat krarma dṛṣṭādṛṣṭaprayojanam /	viDIyamAnam yat krarma dRzwa adRzwa prayojanam /
   stūyate sā stutis tasya kartur eva prayojikā // BVaky_2.320 //	stUyate sA stutiH tasya kartuH eva prayojikA // BVakI _2.320 //
   vyāghrādivyapadeśena yathā bālo nivartyate /	vyAGra Adi vyapadeSena yaTA bAlaH nivartyate /
   asatyo 'pi tathā kaś cit pratyavāyo 'bhidhīyate // BVaky_2.321 //	asatyaH api taTA kaH cit pratyavAyaH aBiDIyate // BVakI _2.321 //
   na saṃvidhānāṃ kṛtvāpi pratyavāye tathāvidhe /	na saMviDAnAm kRtvA api pratyavAye taTAviDe /
   śāstreṇa pratiṣiddhe 'rthe vidvān kaś cit pravartate // BVaky_2.322 //	SAstreNa pratizidDe arTe vidvAn kaH cit pravartate // BVakI _2.322 //
   sarpeṣu saṃvidhāyāpi siddhair mantrauṣadhādibhiḥ /	sarpezu saMviDAya api sidDEH mantra OzaDa AdiBiH /
   nānyathā pratipattavyaṃ na dato gamayed iti // BVaky_2.323 //	na anyaTA pratipattavyam na dataH gamayet iti // BVakI _2.323 //
   kva cit tattvasamākhyānaṃ kriyate stutinindayoḥ /	kva cit tattva samAKyAnam kriyate stuti nindayoH /
   tatrāpi ca pravṛttiś ca nivṛttiś copadiśyate // BVaky_2.324 //	tatra api ca pravRttiH ca nivRttiH ca upadiSyate // BVakI _2.324 //
   rūpaṃ sarvapadārthānāṃ vākyārthopanibandhanam /	rUpam sarva padArTAnAm vAkya arTa upanibanDanam /
   sāpekṣā ye tu vākyārthāḥ padārthair eva te samāḥ // BVaky_2.325 //	sa apekzAH ye tu vAkya arTAH padArTEH eva te samAH // BVakI _2.325 //
   vākyaṃ tad api manyante yat padaṃ caritakriyam /	vAkyam tat api manyante yat padam carita kriyam /
   antareṇa kriyāśabdaṃ vākyāder dvitvadarśanāt // BVaky_2.326 //	antareNa kriyA Sabdam vAkya AdeH dvi tva darSanAt // BVakI _2.326 //
   ākhyātaśabde niyataṃ sādhanaṃ yatra gamyate /	AKyAta Sabde niyatam sADanam yatra gamyate /
   tad apy ekaṃ samāptārthaṃ vākyam ity abhidhīyate // BVaky_2.327 //	tat api ekam samApta arTam vAkyam iti aBiDIyate // BVakI _2.327 //
   śabdavyavahitā buddhir aprayuktapadāśrayā /	Sabda vyavahitA budDiH aprayukta pada ASrayA /
   anumānaṃ tadarthasya pratyaye hetur ucyate // BVaky_2.328 //	anumAnam tad arTasya pratyaye hetuH ucyate // BVakI _2.328 //
   [this verse is only in Rau]	[TiH verse iH onlI id RO]
   apare tu padasyaiva tam arthaṃ pratijānate /	apare tu padasya eva tam arTam pratijAnate /
   śabdāntarābhisaṃbandham antareṇa vyavasthitam // BVaky_2.329 //	Sabda antara aBisaMbanDam antareNa vyavasTitam // BVakI _2.329 //
   yasminn uccarite śabde yadā yo 'rthaḥ pratīyate /	yasmin uccarite Sabde yadA yaH arTaH pratIyate /
   tam āhur arthaṃ tasyaiva nānyad arthasya lakṣaṇam // BVaky_2.330 //	tam AhuH arTam tasya eva na anyat arTasya lakzaNam // BVakI _2.330 //
   kriyārthopapadeśv evaṃ sthānināṃ gamyate kriyā /	kriyA arTa upapadeSu evam sTAninAm gamyate kriyA /
   vṛttau nirādibhiś caivaṃ krāntādyarthaḥ pratīyate // BVaky_2.331 //	vRttO nirAdiBiH ca evam krAnta Adi arTaH pratIyate // BVakI _2.331 //
   tāni śabdāntarāṇy eva paryāyā iva laukikāḥ /	tAni Sabda antarANi eva paryAyAH iva lOkikAH /
   arthaprakaraṇābhyāṃ tu teṣāṃ svārtho niyamyate // BVaky_2.332 //	arTa prakaraNAByAm tu tezAm sva arTaH niyamyate // BVakI _2.332 //
   pratibodhābhyupāyās tu ye taṃ taṃ puruṣaṃ prati /	pratiboDa aByupAyAH tu ye tam tam puruzam prati /
   nāvaśyaṃ te 'bhisaṃbaddhāḥ śabdā jñeyena vastunā // BVaky_2.333 //	na avaSyam te aBisaMbadDAH SabdAH jQeyena vastunA // BVakI _2.333 //
   asatyāṃ pratipattau vā mithyā vā pratipādane /	asatyAm pratipattO vA miTyA vA pratipAdane /
   svair arthair nityasaṃbandhās te te śabdā vyavasthitāḥ // BVaky_2.334 //	svEH arTEH nitya saMbanDAH te te SabdAH vyavasTitAH // BVakI _2.334 //
   yathāprakaraṇaṃ dvāram ity asyāṃ karmaṇaḥ śrutau /	yaTAprakaraNam dvAram iti asyAm karmaNaH SrutO /
   badhāna dehi vety etad upāyād avagamyate // BVaky_2.335 //	baDAna dehi vA iti etat upAyAt avagamyate // BVakI _2.335 //
   tatra sādhanavṛttir yaḥ śabdaḥ sattvanibandhanaḥ /	tatra sADana vRttiH yaH SabdaH sattva nibanDanaH /
   na sa pradhānabhūtasya sādhyasyārthasya vācakaḥ // BVaky_2.336 //	na sa praDAna BUtasya sADyasya arTasya vAcakaH // BVakI _2.336 //
   svārthamātraṃ prakāśyāsau sāpekṣo vinivartate /	sva arTa mAtram prakASya asO sa apekzaH vinivartate /
   arthas tu tasya saṃbandhī prakalpayati saṃnidhim // BVaky_2.337 //	arTaH tu tasya saMbanDI prakalpayati saMniDim // BVakI _2.337 //
   pārārthyasyāviśiṣṭatvān na śabdāc chabdasaṃnidhiḥ /	pArArTyasya aviSizwa tvAt na SabdAt Sabda saMniDiH /
   nārthāc chabdasya sāṃnidhyaṃ na śabdād arthasaṃnidhiḥ // BVaky_2.338 //	na arTAt Sabdasya sAMniDyam na SabdAt arTa saMniDiH // BVakI _2.338 //
   naṣṭarūpam ivākhyātam ākṣiptaṃ karmavācinā /	nazwa rUpam iva AKyAtam Akziptam karma vAcinA /
   yadi prāptaṃ pradhānatvaṃ yugapad bhāvasattvayoḥ // BVaky_2.339 //	yadi prAptam praDAna tvam yugapad BAva sattvayoH // BVakI _2.339 //
   tais tu nāmasarūpatvam ākhyātasyāsya varṇyate /	tEH tu nAma sarUpa tvam AKyAtasya asya varNyate /
   anvayavyatirekābhyāṃ vyavahāro vibhajyate // BVaky_2.340 //	anvaya vyatirekAByAm vyavahAraH viBajyate // BVakI _2.340 //
   na cāpi rūpāt saṃdehe vācakatvaṃ nivartate /	na ca api rUpAt saMdehe vAcaka tvam nivartate /
   ardhaṃ paśor iti yathā sāmarthyāt tad dhi kalpate // BVaky_2.341 //	arDam paSoH iti yaTA sAmarTyAt tat Di kalpate // BVakI _2.341 //
   sarvaṃ sattvapadaṃ śuddhaṃ yadi bhāvanibandhanam /	sarvam sattva padam SudDam yadi BAva nibanDanam /
   saṃsarge ca vibhakto 'sya tasyārtho na pṛthag yadi // BVaky_2.342 //	saMsarge ca viBaktaH asya tasya arTaH na pRTak yadi // BVakI _2.342 //
   kriyāpradhānam ākhyātaṃ nāmnāṃ sattvapradhānatā /	kriyA praDAnam AKyAtam nAmnAm sattva praDAna tA /
   catvāri padajātāni sarvam etad virudhyate // BVaky_2.343 //	catvAri pada jAtAni sarvam etat viruDyate // BVakI _2.343 //
   vākyasya buddhau nityatvam arthayogaṃ ca laukikam /	vAkyasya budDO nitya tvam arTa yogam ca lOkikam /
   dṛṣṭvā catuṣṭvaṃ nāstīti vadaty audumbarāyaṇaḥ // BVaky_2.344 //	dRzwvA catuzwvam na asti iti vadati OdumbarAyaNaH // BVakI _2.344 //
   vyāptimāṃś ca laghuś caiva vyavahāraḥ padāśrayaḥ /	vyAptimAn ca laGuH ca eva vyavahAraH pada ASrayaH /
   loke śāstre ca kāryārthaṃ vibhāgenaiva kalpitaḥ // BVaky_2.345 //	loke SAstre ca kArya arTam viBAgena eva kalpitaH // BVakI _2.345 //
   na loke pratipattṝṇām arthayogāt prasiddhayaḥ /	na loke pratipattLNAm arTa yogAt prasidDayaH /
   tasmād alaukiko vākyād anyaḥ kaś cin na vidyate // BVaky_2.346 //	tasmAt alOkikaH vAkyAt anyaH kaH cit na vidyate // BVakI _2.346 //
   anyatra śrūyamāṇaiś ca liṅgair vākyaiś ca sūcitāḥ /	anyatra SrUyamANEH ca liFgEH vAkyEH ca sUcitAH /
   svārthā eva pratīyante rūpābhedād alakṣitāḥ // BVaky_2.347 //	sva arTAH eva pratIyante rUpa aBedAt alakzitAH // BVakI _2.347 //
   utsargavākye yat tyaktam aśabdam iva śabdavat /	utsarga vAkye yat tyaktam aSabdam iva Sabda vat /
   tad bādhakeṣu vākyeṣu śrutam anyatra gamyate // BVaky_2.348 //	tat bADakezu vAkyezu Srutam anyatra gamyate // BVakI _2.348 //
   brāhmaṇānāṃ śrutir dadhni prakrāntā māṭharād vinā /	brAhmaNAnAm SrutiH daDni prakrAntA mAWarAt vinA /
   māṭharas takrasaṃbandhāt tatrācaṣṭe yathārthatām // BVaky_2.349 //	mAWaraH takra saMbanDAt tatra Acazwe yaTArTa tAm // BVakI _2.349 //
   anekākhyātayoge 'pi vākyaṃ nyāyāpavādayoḥ /	aneka AKyAta yoge api vAkyam nyAya apavAdayoH /
   ekam eveṣyate kaiś cid bhinnarūpam iva sthitam // BVaky_2.350 //	ekam eva izyate kEH cit Binna rUpam iva sTitam // BVakI _2.350 //
   niyamaḥ pratiṣedhaś ca vidhiśeṣas tathā sati /	niyamaH pratizeDaH ca viDi SezaH taTA sati /
   dvitīye yo lug ākhyātas taccheṣam alukaṃ viduḥ // BVaky_2.351 //	dvitIye yaH luc AKyAtaH tad Sezam alukam viduH // BVakI _2.351 //
   nirākāṅkṣāṇi nirvṛttau pradhānāni parasparam /	nirAkAFkzANi nirvRttO praDAnAni parasparam /
   teṣām anupakāritvāt kathaṃ syād ekavākyatā // BVaky_2.352 //	tezAm anupakAri tvAt kaTam syAt eka vAkyatA // BVakI _2.352 //
   viśeṣavidhinārthitvād vākyaśeṣo 'numīyate /	viSeza viDinA arTi tvAt vAkya SezaH anumIyate /
   vidheyavan nivartye 'rthe tasmāt tulyaṃ vyapekṣaṇam // BVaky_2.353 //	viDeya vat nivartye arTe tasmAt tulyam vyapekzaNam // BVakI _2.353 //
   saṃjñāśabdaikadeśo yas tasya lopo na vidyate /	saMjQA Sabda eka deSaH yaH tasya lopaH na vidyate /
   viśiṣṭarūpā sā saṃjñā kṛtā ca na nivartate // BVaky_2.354 //	viSizwa rUpA sA saMjQA kRtA ca na nivartate // BVakI _2.354 //
   saṃjñāntarāc ca dattāder nānyā saṃjñā pratīyate /	saMjQA antarAt ca datta AdeH na anyA saMjQA pratIyate /
   saṃjñinaṃ devadattākhyaṃ dattaśabdaḥ kathaṃ vadet // BVaky_2.355 //	saMjQinam devadatta AKyam datta SabdaH kaTam vadet // BVakI _2.355 //
   sarvair avayavais tulyaṃ saṃbandhaṃ samudāyavat /	sarvEH avayavEH tulyam saMbanDam samudAya vat /
   ke cic chabdasvarūpāṇāṃ manyante sarvasaṃjñibhiḥ // BVaky_2.356 //	ke cit Sabda svarUpANAm manyante sarva saMjQiBiH // BVakI _2.356 //
   varṇānām arthavattvaṃ tu saṃjñānāṃ saṃjñibhir bhavet /	varNAnAm arTavat tvam tu saMjQAnAm saMjQiBiH Bavet /
   saṃbaddho 'vayavaḥ saṃjñā  praviveke na kalpate // BVaky_2.357 //	saMbadDaH avayavaH saMjQA praviveke na kalpate // BVakI _2.357 //
   sarvasvarūpair yugapat saṃbandhe sati saṃjñinaḥ /	sarva svarUpEH yugapad saMbanDe sati saMjQinaH /
   naikadeśasarūpebhyas tatpratyāyanasaṃbhavaḥ // BVaky_2.358 //	na eka deSa sarUpeByaH tad pratyAyana saMBavaH // BVakI _2.358 //
   ekadeśāt tu saṃghāte keṣāṃ cij jāyate smṛtiḥ /	eka deSAt tu saMGAte kezAm cit jAyate smRtiH /
   smṛtes tu viṣayāc chabdāt saṃghātārthaḥ pratīyate // BVaky_2.359 //	smRteH tu vizayAt SabdAt saMGAta arTaH pratIyate // BVakI _2.359 //
   ekadeśāt smṛtir bhinne saṃghāte niyatā katham /	eka deSAt smRtiH Binne saMGAte niyatA kaTam /
   kathaṃ pratīyamānaḥ syāc chabdo 'rthasyābhidhāyakaḥ // BVaky_2.360 //	kaTam pratIyamAnaH syAt SabdaH arTasya aBiDAyakaH // BVakI _2.360 //
   ekadeśasarūpās tu tais tair bhedaiḥ samanvitāḥ /	eka deSa sarUpAH tu tEH tEH BedEH samanvitAH /
   anuniṣpādinaḥ śabdāḥ saṃjñāsu samavasthitāḥ // BVaky_2.361 //	anunizpAdinaH SabdAH saMjQAsu samavasTitAH // BVakI _2.361 //
   sādhāraṇatvāt saṃdhigdhāḥ sāmarthyān niyatāśrayāḥ /	sADAraNa tvAt saMDigDAH sAmarTyAt niyata ASrayAH /
   teṣāṃ ye sādhavas teṣu śāstre lopādi śiṣyate // BVaky_2.362 //	tezAm ye sADavaH tezu SAstre lopa Adi Sizyate // BVakI _2.362 //
   tulyāyām anuniṣpattau jye drā ghā ity asādhavaḥ /	tulyAyAm anunizpattO jye drA GAH iti asADavaH /
   na hy anvākhyāyake śāstre teṣu dattādivat smṛtiḥ // BVaky_2.363 //	na hi anvAKyAyake SAstre tezu datta Adi vat smRtiH // BVakI _2.363 //
   kṛtaṇatvāś ca ye śabdā nityāḥ kharaṇasādayaḥ /	kRtaNa tvAH ca ye SabdAH nityAH KaraNa sa AdayaH /
   ekadravyopadeśitvāt tān sādhūn saṃpracakṣate // BVaky_2.364 //	eka dravya upadeSi tvAt tAn sADUn saMpracakzate // BVakI _2.364 //
   gotrāṇy eva tu tāny āhuḥ saṃjñāśaktisamanvayāt /	gotrANi eva tu tAni AhuH saMjQA Sakti samanvayAt /
   nimittāpekṣaṇaṃ teṣu svārthe nāvaśyam iṣyate // BVaky_2.365 //	nimitta apekzaNam tezu sva arTe na avaSyam izyate // BVakI _2.365 //
   vyavahārāya niyamaḥ saṃjñānāṃ saṃjñini kva cit /	vyavahArAya niyamaH saMjQAnAm saMjQini kva cit /
   nitya eva tu saṃbandho ḍitthādiṣu gavādivat // BVaky_2.366 //	nityaH eva tu saMbanDaH xitTa Adizu gavA Adi vat // BVakI _2.366 //
   kṛtakatvād anityatvaṃ saṃbandhasyopapadyate /	kRtaka tvAt anitya tvam saMbanDasya upapadyate /
   saṃjñāyāṃ sā hi puruṣair yathākāmaṃ niyujyate // BVaky_2.367 //	saMjQAyAm sA hi puruzEH yaTAkAmam niyujyate // BVakI _2.367 //
   yathā hi pāṃsulekhānāṃ bālakair madhukrādayaḥ /	yaTA hi pAMsu leKAnAm bAlakEH maDukra AdayaH /
   saṃjñāḥ kriyante sarvāsu saṃjñāsv eṣaiva kalpanā // BVaky_2.368 //	saMjQAH kriyante sarvAsu saMjQAsu ezA eva kalpanA // BVakI _2.368 //
   vṛddhyādīnāṃ ca śāstre 'smiñ chaktyavacchedalakṣaṇaḥ /	vRdDi AdInAm ca SAstre asmin Cakti avacCeda lakzaNaH /
   akṛtrimo hi saṃbandho viśeṣaṇaviśeṣyavat // BVaky_2.369 //	akRtrimaH hi saMbanDaH viSezaNa viSezya vat // BVakI _2.369 //
   saṃjñā svarūpam āśritya nimitte sati laukikī /	saMjQA sva rUpam ASritya nimitte sati lOkikI /
   kā cit pravartate kā cin nimittāsaṃnidhāv api // BVaky_2.370 //	kA cit pravartate kA cit nimitta asaMniDO api // BVakI _2.370 //
   śāstre 'pi mahatī saṃjñā svarūpopanibandhanā /	SAstre api mahatI saMjQA svarUpa upanibanDanA /
   anumānaṃ nimittasya saṃnidhāne pratīyate // BVaky_2.371 //	anumAnam nimittasya saMniDAne pratIyate // BVakI _2.371 //
   āvṛtter anumānaṃ vā sārūpyāt tatra gamyate /	AvRtteH anumAnam vA sArUpyAt tatra gamyate /
   śabdabhedānumānaṃ vā śaktibhedasya vā gatiḥ // BVaky_2.372 //	Sabda Beda anumAnam vA Sakti Bedasya vA gatiH // BVakI _2.372 //
   kva cid viṣayabhedena kṛtrimā vyavatiṣṭhate /	kva cit vizaya Bedena kRtrimA vyavatizWate /
   saṃkhyāyām ekaviṣayaṃ vyavasthānaṃ dvayor api // BVaky_2.373 //	saMKyAyAm eka vizayam vyavasTAnam dvayoH api // BVakI _2.373 //
   viṣayaṃ kṛtrimasyāpi laukikaḥ kva cid uccaran /	vizayam kRtrimasya api lOkikaH kva cit uccaran /
   vyāpnoti dūrāt saṃbuddhau tathā hi grahaṇaṃ dvayoḥ // BVaky_2.374 //	vyApnoti dUrAt saMbudDO taTA hi grahaNam dvayoH // BVakI _2.374 //
   saṅghaikaśeṣadvandveṣu ke cit sāmarthyalakṣaṇam /	saFGa ekaSeza dvandvezu ke cit sAmarTya lakzaNam /
   pratyāśrayam avasthānaṃ kriyāṇāṃ pratijānate // BVaky_2.375 //	pratyASrayam avasTAnam kriyANAm pratijAnate // BVakI _2.375 //
   bhojanaṃ phalarūpābhyām ekaikasmin samāpyate /	Bojanam Pala rUpAByAm ekEkasmin samApyate /
   anyathā hi vyavasthāne na tadarthaḥ prakalpyate // BVaky_2.376 //	anyaTA hi vyavasTAne na tad arTaH prakalpyate // BVakI _2.376 //
   annādānādi rūpāṃ ca sarve tṛptiphalāṃ bhujim /	anna AdAna Adi rUpAm ca sarve tRpti PalAm Bujim /
   pratyekaṃ pratipadyante na tu nāṭyakriyām iva // BVaky_2.377 //	pratyekam pratipadyante na tu nAwya kriyAm iva // BVakI _2.377 //
   pādyavat sā vibhāgena sāmarthyād avatiṣṭhate /	pAdya vat sA viBAgena sAmarTyAt avatizWate /
   bhujiḥ karoti bhujyarthaṃ na tantreṇa pradīpavat // BVaky_2.378 //	BujiH karoti Buji arTam na tantreNa pradIpa vat // BVakI _2.378 //
   dṛśyādis tu kriyaikāpi tathābhūteṣu karmasu /	dRSya AdiH tu kriyA ekA api taTABUtezu karmasu /
   āvṛttim antareṇāpi samudāyāśrayā bhavet // BVaky_2.379 //	AvRttim antareNa api samudAya ASrayAH Bavet // BVakI _2.379 //
   bhinnavyāpārarūpāṇāṃ vyavahārādidarśane /	Binna vyApAra rUpANAm vyavahAra Adi darSane /
   kartṝṇāṃ darśanaṃ bhinnaṃ saṃbhūyārthasya sādhakam // BVaky_2.380 //	kartLNAm darSanam Binnam saMBUya arTasya sADakam // BVakI _2.380 //
   lakṣyasya lokasiddhatvāc chāstre liṅgasya darśanāt /	lakzyasya loka sidDa tvAt SAstre liFgasya darSanAt /
   arthiṣv ādaikṣu bhedena vṛddhisaṃjñā samāpyate // BVaky_2.381 //	arTizu AdEkzu Bedena vRdDi saMjQA samApyate // BVakI _2.381 //
   śatādānapradhānatvād daṇḍane śatakarmake /	Sata AdAna praDAna tvAt daNxane Sata karmake /
   arthināṃ guṇabhede 'pi saṃkhyeyo 'rtho na bhidyate // BVaky_2.382 //	arTinAm guNa Bede api saMKyeyaH arTaH na Bidyate // BVakI _2.382 //
   saṅghasyaiva vidheyatvāt kāryavat pratipādane /	saFGasya eva viDeya tvAt kArya vat pratipAdane /
   tatra tantreṇa saṃbandhaḥ samāsābhyastasaṃjñayoḥ // BVaky_2.383 //	tatra tantreNa saMbanDaH samAsa aByasta saMjQayoH // BVakI _2.383 //
   lakṣaṇārthā śrutir yeṣāṃ kāṃ cid eva kriyāṃ prati /	lakzaNa arTA SrutiH yezAm kAm cit eva kriyAm prati /
   tair vyastaiś ca samastaiś ca sa dharma upalakṣyate // BVaky_2.384 //	tEH vyastEH ca samastEH ca sa DarmaH upalakzyate // BVakI _2.384 //
