   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   pratyakṣādimūlatayā tadaviśeṣāt pṛthaganuktiḥ /	pratyakza-Adi-mUla-tayA tad-aviSezAt pRTak-anuktiH /
   uktaṃ ca tattvaratnākare --- "pratyakṣādimūlānāṃ smṛtīnāṃ svasvamūle	uktam ca tattva-ratna-Akare -- "pratyakza-Adi-mUlAnAm smRtInAm sva-sva-mUle
   'ntarbhāvavivakṣayā pramāṇatritvāvirodhaḥ /	antarBAva-vivakzayA pramANa-tritva-aviroDaH /
   catuṣṭve ca vaidikānuvādo darśitaḥ" iti /	catuzwve ca vEdika-anuvAdaH darSitaH" iti /
   sa cācamanuvādaḥ pūrvopāttaḥ--- "smṛtiḥ pratyakṣamaitihyamanumānaṃ	sa ca-AcamanuvAdaH pUrva-upAttaH-- "smRtiH pratyakzam-Etihyam-anumAnam
   catuṣṭayam" iti pratyakṣādyaviśeṣeṇa vedānuvādācca---iti /	catuzwayam" iti pratyakza-Adi-a-viSezeNa veda-anuvAda-at-ca----iti /
   prajñāparitrāṇe tu smṛtiprāmāṇyānabhyupagame 'pi jñānasya tāvat	prajQA-paritrANe tu smRti-prAmANya-anaByupagame api jQAnasya tAvat-
   karaṇabhedāccāturvidhyamevoktam--- "tatrendriyārthasaṃbandho	karaNa-BedAt-cAturviDyam-eva-uktam-- "tatra-indriya-arTa-saMbanDaH-
   liṅgaśabdagrahau tathā /	liFga-Sabda-grahO taTA /
   saṃskāronmeṣa ityete saṃvidāṃ janmahetavaḥ" //	saMskAra-unmezaH iti-ete saMvidAm janma-hetavaH" //
   iti //	iti //
   yattu tatraiva--- "svayaṃsiddhistathā divyaṃ pratyakṣamanumāgamaḥ /	yat-tu tatra-eva-- "svayaMsidDiH-taTA divyam pratyakzam-anum-AgamaH /
   pañca santi pramāṇāni jaiminivyāsayorhṛdi" //	paQca santi pramANAni jEmini-vyAsayoH-hRdi" //
   ityādinā svayaṃsiddhidivyayoḥ pṛthaṅnirūpaṇaṃ kṛtam, tat	ityAdinA svayaMsidDi-divyayoH pRTak-nirUpaNam kRtam, tat-
   pratyakṣāvāntaravairūpyabodhanābhiprāyam /	pratyakza-avAntara-vErUpya-boDana-aBiprAyam /
   yathoktaṃ śrīviṣṇucittaiḥ---"bhagavatprasādalabdhayogipratyakṣaṃ divyam"	yaTA-uktam SrI-vizNu-cittEH---"Bagavat-prasAda-labDa-yogi-pratyakzam divyam"
   iti //	iti //
   nyā. pa. pra. 12 //	nyA. pa. pra. 12 //
   pratyakṣalakṣaṇam //	pratyakza-lakzaNam //
   tatra sākṣātkāripramā pratyakṣam /	tatra sAkzAtkAri-pramA pratyakzam /
   sākṣāttvaṃ ca jātirūpa upādhirūpo vā kaścit jñānasvabhāvaviśeṣaḥ	sAkzAt-tvam ca jAti-rUpaH upADi-rUpaH vA kaScid jQAna-svaBAva-viSezaH
   svātmasākṣikaḥ //	sva-Atma-sAkzikaH //
   jñātakāraṇajajñānasmṛtitvarahitā matiḥ /	jQAta-kAraNa-ja-jQAna-smRti-tva-rahitA matiH /
   aparokṣeti niṣkarṣe nāvyāpyādiprasañjanam //	aparokzA-iti nizkarze na-avyApya-Adi-prasaQjanam //
   prameyasaṃgrahe tvevamuktam--- "sākṣādanubhavaḥ pratyakṣam /	prameya-saMgrahe tu-evam-uktam-- "sAkzAt-anuBavaH pratyakzam /
   sākṣāttvaṃ jātiḥ---" ityādi /	sAkzAt-tvam jAtiH---" ityAdi /
   tattvaratnākare 'pyevamuktam--- "aparokṣapramādhyakṣamāparokṣyaṃ ca	tattva-ratna-Akare api-evam-uktam-- "aparokza-pramA-aDi-a-kzamA-parokzyam ca
   saṃvidaḥ /	saMvidaH /
   vyavahāryārthasaṃbandhijñānajatvavivarjanam" //	vyavahArya-arTa-saMbanDi-jQAna-ja-tva-vivarjanam" //
   iti //	iti //
   pārokṣyaṃ caivamuktam--- "pārokṣyaṃ vyavahāryānantargatavastuvedanāpekṣā /	pArokzyam ca-evam-uktam--- "pArokzyam vyavahArya-anantargata-vastu-vedana-apekzA /
   tadanantargataliṅgādyapekṣā pārokṣyamanumādau" iti /	tad-anantargata-liFga-Adi-apekzA pArokzyam-anumAdO" iti /
   varadaviṣṇumiśrairmānayārthātmyanirṇaye tvevamuktam--- "aparokṣapramā	vara-da-vizNu-miSrEH-mAnaya-arTa-Atmya-nirNaye tu-evam-uktam--- "aparokza-pramA
   pratyakṣam /	pratyakzam /
   pramāyā āparokṣyaṃ nāma viśadāvabhāsatvamiti brūmaḥ /	pramAyA Aparokzyam nAma viSada-avaBAsa-tvam-iti brUmaH /
   kimidaṃ vaiśadyaṃ nāma ? asādhāraṇākāreṇa vastvavabhāsakatvam--" ityādi //	kim-idam vESadyam nAma ? asADAraNa-AkAreNa vastu-avaBAsaka-tvam--" ityAdi //
   sākṣāttvaṃ dvidhā---nityaṃ cānityaṃ car /	sAkzAt-tvam dviDA-a----nityam ca-anityam car /
   iśvaranityajñānādiniṣṭhaṃ nityam /	iSvara-nitya-jQAna-Adi-nizWam nityam /
   asmadādijñānaniṣṭhaṃ tvanityam /	asmad-Adi-jQAna-nizWam tu-anityam /
   asmadādipratyakṣaṃ dvidhā--- yogipratyakṣamayogipratyakṣaṃ ceti /	asmad-Adi-pratyakzam dviDA-- yogi-pratyakzam-ayogi-pratyakzam ca-iti /
   tatra yogipratyakṣaṃ prakṛṣṭādṛṣṭaviśeṣajam /	tatra yogi-pratyakzam prakRzwa-adRzwa-viSeza-jam /
   tat yuktāvasthāyāṃ manomātrajanyam /	tat yukta-avasTAyAm manaH-mAtra-janyam /
   viyuktāvasthāyāṃ tu bāhyendriyajanyamapi /	viyukta-avasTAyAm tu bAhya-indriya-janyam-api /
   tacca bubhutsādipratiniyatamāgamaikasiddhaṃ ca /	tat-ca buButsA-Adi-pratiniyatam-Agama-eka-sidDam ca /
   bhāvanābalajamātraṃ jagatkartari pratyakṣaṃ pratikṣiptaṃ	BAvanA-balaja-mAtram jagat-kartari pratyakzam pratikziptam
   śāstrayonyadhikaraṇe, anyatra bhāṣyakāraireva sākṣādyogipratyakṣasya	SAstra-yoni-aDikaraNe, anyatra BAzya-kArEH-eva sAkzAt-yogi-pratyakzasya
   kaṇṭhokteḥ, tasya saṃbhavato	kaNWa-ukteH, tasya saMBavataH-
   'pyāgamikeśvarajñānamūlasyāgamānuvādatvāpādanāśaktyā tatraudāsīnyāt,	api-AgamikeSvara-jQAna-mUlasya-Agama-anuvAda-tva-ApAdanA-SaktyA tatra-OdAsInyAt,
   dharmādayaḥ kasyacidindriyagrāhyāḥ, prameyatvāt, ghaṭavat,	Darma-AdayaH kasyacid-indriya-grAhyAH, prameya-tvAt, Gawavat,
   mīmāṃsakānāmapratyakṣatvādvā, asmatsukhādivadityādyanumānānāṃ vipakṣe	mImAMsakAnAm-apratyakza-tvAt-vA, asmad-suKa-Adi-vat-iti-Adi-anumAnAnAm vipakze
   bādhakavirahādibhirābhāsatvāt, āgamabādhaprasaṅgasyaiva puraskāre	bADaka-viraha-AdiBiH-ABAsatva-at, Agama-bADa-prasaFgasya-eva puraskAre
   tvāgamenaiva caritārthatvāt; anyathā dharmādayaḥ kasyaciccakṣurgrāhyā iti	tu-Agamena-eva caritArTa-tva-at; anyaTA Darma-AdayaH kasyacid-cakzuH-grAhyAH iti
   vadato bauddhasya kiṃ prativakṣyasi /	vadataH bOdDasya kim prativakzyasi /
   yaścānuvyavasāye saviṣayavyavasāyapratyakṣatāmicchati, tasyāsmadādiṣvapi	yaH-ca-anuvyavasAye sa-vizaya-vyavasAya-pratyakza-tAm-icCati, tasya-asmad-Adizu-api
   dharmādivyavasāyānuvyavasāye dharmādipratyakṣatvasiddhau kathaṃ	Darma-Adi-vyavasAya-anuvyavasAye Darma-Adi-pratyakza-tva-sidDO kaTam
   tadatiriktayogipratyakṣānumāsiddhiḥ /	tad-atirikta-yogi-pratyakza-anumA-sidDiH /
   tadvyavacchedena prayoge /	tad-vyavacCedena prayoge /
   api saugatoktacākṣuṣatvādisādhanaprasaṅga syāditi /	api sOgata-ukta-cAkzuza-tva-Adi-sADana-prasaFga syAt-iti /
   sa cādṛṣṭaviśeṣo yogābhyāsatapaścāryādibhirjāyate /	sa ca-adRzwa-viSezaH yoga-aByAsa-tapaH-cArya-AdiBiH-jAyate /
   tasmādārṣābhimatamapi prakṛṣṭādṛṣṭajatvāviśeṣāt tatraivāntarbhūtam /	tasmAt-Arza-aBimatam-api prakRzwa-adRzwa-jatvA-viSezAt tatra-eva-antarBUtam /
   yathoktaṃ prajñāparitrāṇe --- "atrendriyānapekṣaṃ yajjñānamarthāvabhāsakam	yaTA-uktam prajQA-paritrANe -- "atra-indriya-anapekzam yat-jQAnam-arTa-avaBAsakam
   divyaṃ pramāṇamityetat pramāṇajñāḥ pracakṣate //	divyam pramANam-iti-etat pramANa-jQAH pracakzate //
   parameśvaravijñānaṃ muktānāṃ ca dhiyastathā /	parameSvara-vijQAnam muktAnAm ca DiyaH-taTA /
   saṃjayārjunavālmīkiprabhṛtyārṣadhiyo 'pi tat" //	saMjaya-arjuna-vAlmIki-praBRti-ArzaDiyaH api tat" //
   iti //	iti //
   indriyānapekṣamiti---adivyenrdiyānapekṣamityarthaḥ /	indriya-anapekza-m-iti---a-divyenH-diyA-anapekzam-iti-arTaH /
   ata eva hi gīyate--- "divyaṃ dadāmi te cakṣuḥ---" ityādi /	atas eva hi gIyate-- "divyam dadAmi te cakzuH---" ityAdi /
   yadvāparameśvarādivijñānasahapāṭhādibhistathaiva mantavyam /	yadvA-aparameSvara-Adi-vijQAna-saha-pAWA-AdiBiH-taTA-eva mantavyam /
   anantaraṃ caivamuktam---- "svābhāvikasya jñānasya svataḥ sarvāvabhāsinaḥ /	anantaram ca-evam-uktam--- "svABAvikasya jQAnasya svatas sarva-avaBAsinaH /
   avidyāpratibandhasya pratibandho 'kṣayogataḥ /	avidyA-pratibanDasya pratibanDaH akza-yogataH /
   avidyāhānito muktapuruṣāṇāṃ hi saṃvidām /	avidyA-hAnitaH mukta-puruzANAm hi saMvidAm /
   svābhāvikasvarūpeṇa nikhilārthāvabhāsitā //	svABAvika-svarUpeNa niKila-arTa-avaBAsitAH //
   pratibandhakabhāvasya pratyuttambhakabhāvinā /	pratibanDaka-BAvasya pratyuttamBaka-BAvinA /
   pareṇānugṛhītā dhīrṛṣīṇāṃ sarvabhāsikā" //	pareNa-anugRhItA DIH-RzINAm sarva-BAsikA" //
   iti //	iti //
   mānasapratyakṣamapyasmadādīnāṃ nāstyeveti vṛddhasaṃpradāyaḥ,	mAnasa-pratyakzam-api-asmad-AdInAm na-asti-eva-iti vRdDa-saMpradAyaH,
   ātmasvarūpasya taddharmabhūtajñānasya ca svayaṃprakāśatvāt,	Atma-svarUpasya tad-Darma-BUta-jQAnasya ca svayaMprakASa-tvAt,
   sukhaduḥkhecchādveṣaprayatnānāṃ	suKa-duHKa-icCA-dveza-prayatnAnAm
   tattaddhetutayābhimatajñānaviśeṣānatirekasya vedārthasaṃgrahe	tad-tad-hetu-tayA-aBimata-jQAna-viSezAnatiH-ekasya veda-arTa-saMgrahe
   samarthitatvāt, nityatvādiviśiṣṭāsmadādyanubhavasya śāstrādiprasiddhatvāt,	samarTita-tva-at, nitya-tva-Adi-viSizwa-asmad-Adi-anuBavasya SAstra-Adi-prasidDa-tvAt,
   pūrvānubhavādijñānasya smṛtirūpatvāt, "ātmasukhādivyatiriktabahirviṣayeṣu	pUrva-anuBava-Adi-jQAnasya smRti-rUpa-tva-at, "a-Atma-suKa-Adi-vyatirikta-bahis-vizayezu
   tasya bāhyendriyānapekṣapravṛttyanupapatteḥ" iti	tasya bAhya-indriya-anapekza-pravRtti-anupapatteH" iti
   śāstrayonyadhikaraṇabhāṣyasyānvāroheṇāpyupapatteriti //	SAstra-yoni-aDikaraNa-BAzyasya-anvAroheNa-api-upapatteH-iti //
   tataścādivyabāhyendriyaprasūtaṃ jñānamayogipratyakṣam /	tatas-ca-Adivya-bAhya-indriya-prasUtam jQAnam-ayogi-pratyakzam /
   tat sāmānyādṛṣṭālokaviśeṣādisahakṛtendriyajanyaṃ dṛṣṭasāmagrīviśeṣāt	tat sAmAnya-adRzwa-Aloka-viSeza-Adi-saha-kRta-indriya-janyam dRzwa-sAmagrI-viSezAt
   pratiniyatāviṣayam /	pratiniyata-avizayam /
   tat śrotrādīndriyāsādhāraṇakāraṇabhedāt pañcadhā //	tat Srotra-Adi-indriyAsADAraNa-kAraNa-BedAt paQcaDA //
   viṣayendriyasaṃbandhaśca---dravyeṣu saṃyogaḥ, dravyāśriteṣu rūpādiṣu tu	vizaya-indriya-saMbanDaH-ca----dravyezu saMyogaH, dravya-ASritezu rUpa-Adizu tu
   saṃyuktāśrayaṇam /	saMyukta-ASrayaNam /
   yathoktaṃ tattvaratnākare--- "atra vṛddhā vidāmāsuḥ saṃyogaḥ saṃnikarṣaṇam	yaTA-uktam tattva-ratna-Akare-- "atra vRdDAH vidAmAsuH saMyogaH saMnikarzaNam
   saṃyuktāśrayaṇaṃ ceti yathāsaṃbhavamūhyatām" //	saMyukta-ASrayaNam ca-iti yaTAsaMBavam-UhyatAm" //
   iti //	iti //
   punaḥ pratyakṣaṃ dvidhā---savikalpakaṃ nirvikalpakaṃ ceti /	punar pratyakzam dviDA---sa-vikalpakam nirvikalpakam ca-iti /
   sapratyavamarśaṃ pratayakṣaṃ savikalpakam /	sa-pratyavamarSam pratayakzam sa-vikalpakam /
   tadrahitaṃ pratyakṣaṃ nirvikalpakam //	tat-rahitam pratyakzam nirvikalpakam //
   nyā. pa. pra. 13 //	nyA. pa. pra. 13 //
   naiyāyikanirvikalpakanirākaraṇam //	nEyAyika-nirvikalpaka-nirAkaraNam //
   ubhayavidhamapyetadviśiṣṭaviṣayameva /	uBayaviDam-api-etat-viSizwa-vizayam-eva /
   aviśiṣṭavastugrāhiṇo jñānasyānupalambhāt anupapatteśca /	aviSizwa-vastu-grAhiNaH jQAnasya-anupalamBAt anupapatteH-ca /
   bālamūkatiryagādivijñānamapi hi saṃjñāvikalparahitamapi	bAla-mUka-tiryak-Adi-vijQAnam-api hi saMjQA-vikalpa-rahitam-api
   viśiṣṭavastuviṣayameva, anyathā teṣāṃ	viSizwa-vastu-vizayam-eva, anyaTA tezAm
   heyopādeyavibhāgapūrvakapravṛttiśeṣānupapatteḥ /	heya-upAdeya-viBAga-pUrvaka-pravRtti-Seza-anupapatteH /
   vipratipannaṃ viśiṣṭajñānaṃ viśeṣaṇajñānapūrvakam, viśiṣṭajñānatvāt,	vipratipannam viSizwa-jQAnam viSezaNa-jQAna-pUrva-kam, viSizwa-jQAna-tvAt,
   surabhi candanamityādiviśiṣṭajñānavaditi cenna, ekasāmagrīvedyaviśeṣaṇeṣu	suraBi candanam-ityAdi-viSizwa-jQAna-vat-iti ced-na, eka-sAmagrI-vedya-viSezaNezu
   tannirapekṣatvāt, svarūpasaṃbandhapakṣe svarūpagraheṇaiva saṃbandhasyāpi	tad-nirapekza-tva-at, svarUpa-saMbanDa-pakze svarUpa-graheNa-eva saMbanDasya-api
   grahaṇāt, tāvataiva viśiṣṭagrahaṇasiddheḥ, samavāyavāde 'pi tasyaiva	grahaNAt, tAvatA-eva viSizwa-grahaNa-sidDeH, samavAya-vAde api tasya-eva
   gṛhyamāṇasya viśeṣaṇaviśeṣyabhāvarūpatvāt, samavāyaviśiṣṭapratyaye	gRhyamANasya viSezaNa-viSezya-BAva-rUpa-tva-at, samavAya-viSizwa-pratyaye
   tathaivābhyupagamāt, tadvaiśiṣṭyagrahe ca	taTA-eva-aByupagamAt, tad-vESizwya-grahe ca
   guṇavaiśiṣṭyagrahasyāvarjanīyatvāt /	guNa-vESizwya-grahasya-AvarjanIya-tvAt /
   na ca samavāyasya savikalpakaikaviṣayateti vācyam, nirvikalpake	na ca samavAyasya sa-vikalpakEka-vizaya-tA-iti vAcyam, nirvikalpake
   dharmavaddharmivacca tatsaṃbandhasyāpyaindriyikatvāviśeṣeṇa	Darma-vat-Darmi-vat-ca tad-saMbanDasya-api-Endriyika-tva-aviSezeNa
   grahaṇasaṃbhavāt, yogyasya saṃnikṛṣṭagṛhyamāṇasaṃbandhinaḥ	grahaNa-saMBavAt, yogyasya saMnikRzwa-gRhyamANa-saMbanDinaH
   saṃbandhasyāgrahaṇānupapatteḥ, anyathā nityaṃ tadagrahāpātāt /	saMbanDasya-agrahaNa-anupapatteH, anyaTA nityam tad-agraha-ApAtAt /
   prathamākṣasaṃnipātajā buddhirviśiṣṭaviṣayā, buddhitvāt, saṃpratipannavat,	praTama-akza-saMnipAta-jAH budDiH-viSizwa-vizayA, budDi-tva-at, saMpratipannavat,
   ityādyapi cintyam //	ityAdi-api cintyam //
   nyā. pa. pra. 14 //	nyA. pa. pra. 14 //
   savikalpakanirūpaṇam //	sa-vikalpaka-nirUpaNam //
   na ca savikalpakaṃ na pratyakṣamiti vācyam, sākṣātkārābādhādyaviśeṣāt //	na ca sa-vikalpakam na pratyakzam-iti vAcyam, sAkzAtkAra-AbADAdya-viSezAt //
   sahakāriviśeṣeṇa na vaijātyaṃ prasajyate /	sahakAri-viSezeNa na vEjAtyam prasajyate /
   tajjātīye tu yatkiñcidvaiṣamyaṃ saṃbhavedapi //	tad-jAtIye tu yat-kiQcid-vEzamyam saMBavet-api //
   yatra dṛśyeta vaijātyaṃ tathā tatrābhyupeyate /	yatra dRSyeta vEjAtyam taTA tatra-aByupeyate /
   tāvatā naiva sarvatra bhavedetasya kalpanam //	tAvatA na-eva sarvatra Bavet-etasya kalpanam //
   kevalendriyajaṃ cāpi na kiñcijjñānamiṣyate /	kevala-indriya-jam ca-api na kiQcid-jQAnam-izyate /
   sahakāriviśeṣāṃ hi vibhidyante pratīndriyam //	sahakAri-viSezAm hi viBidyante pratIndriyam //
   ataḥ saṃskārasaṃbhede 'pyaparokṣatvayogataḥ /	atas saMskAra-saMBede api-aparokza-tva-yogataH /
   pratyakṣatvaṃ vikalpasya na kvacidvinivartate //	pratyakza-tvam vikalpasya na kvacid-vinivartate //
   "nirvikalpakamekajātīyeṣu dravyeṣu prathamapiṇḍagrahaṇam" ityādibhāṣyaṃ tu	"nirvikalpakam-eka-jAtIyezu dravyezu praTama-piNxa-grahaNam" ityAdi-BAzyam tu
   udāharaṇaparaṃ yojyam /	udAharaNa-param yojyam /
   ata eva hi śrīviṣṇucittairuktam--- "saṃskārodbodhasahakṛtendriyajanyaṃ	atas eva hi SrI-vizNu-cittEH-uktam-- "saMskAra-udboDa-saha-kRta-indriya-janyam
   jñānaṃ savikalpakam, ekajātīyeṣu prathamapiṇḍagrahaṇam	jQAnam sa-vikalpa-kam, eka-jAtIyezu praTama-piNxa-grahaNam
   dvitīyādipiṇḍagrahaṇeṣu prathamākṣasaṃnipātajaṃ ca jñānaṃ nirvikalpakam"	dvitIya-Adi-piNxa-grahaNezu praTama-akza-saMnipAta-jam ca jQAnam nirvikalpa-kam"
   iti /	iti /
   anyatra coktam--- "kevalacakṣurādīndriyajanyaṃ nirvikalpakam" ityādi //	anyatra ca-uktam-- "kevala-cakzuH-Adi-indriya-janyam nirvikalpa-kam" ityAdi //
   yattūktaṃ tattvaratnākare --- "viśeṣaṇānāṃ svāyogavyāvṛttiravikalpake /	yat-tu-uktam tattva-ratna-Akare -- "viSezaNAnAm svAyoga-vyAvRttiH-avikalpake /
   savikalpe 'nyayogasya vyāvṛttiḥ saṃjñitā tathā" //	sa-vikalpe anya-yogasya vyAvRttiH saMjQitA taTA" //
   iti, tatrāpi saṃskāranirapekṣatvasāpekṣatvayoḥ pradarśanaparatvaṃ grāhyam	iti, tatra-api saMskAra-nirapekza-tva-sApekza-tvayoH pradarSana-paratvam grAhyam
   pratyakṣasya caivaṃ vibhāgo 'bhihitaḥ--- "dvividhaṃ caitat pratyakṣam---	pratyakzasya ca-evam viBAgaH aBihitaH-- "dviviDam ca-etat pratyakzam---
   arvācīnamanarvācīnaṃ ca /	arvAcInam-anarvAcInam ca /
   yugapadaśeṣaviṣayasākṣātkārakṣamamanarvācīnam /	yugapad-aSeza-vizaya-sAkzAtkArakzamama-narvAcInam /
   tat yogimukteśvarāṇāṃ prabhāvaviśeṣādhīnamupapādayiṣyate"ityādi //	tat yogi-mukteSvarANAm praBAva-viSeza-aDInam-upapAdayizyate"-ityAdi //
   ata eva kudṛṣṭīnāṃ sanmātragrāhi pratyakṣamityavilakṣajalpitaṃ nirastam /	atas eva kudRzwInAm sat-mAtra-grAhi pratyakzam-iti-avilakza-jalpitam nirastam /
   kramayaugapadyādidūṣaṇaṃ tu bhrāntivikalpe 'pi samānam /	krama-yOgapadyAdi-dUzaNam tu BrAnti-vikalpe api samAnam /
   bhrāntirūpo 'pi hi vikalpaḥ kṣaṇikatvānna viramya vyāpartumalam /	BrAnti-rUpaH api hi vikalpaH kzaNika-tvAt-na viramya vyApartum-alam /
   na ca pūrvajñānavārtāṃ jānāti /	na ca pUrva-jQAna-vArtAm jAnAti /
   na ca svayaṃ dharmipratiyogigrahaṇābhāve bhedagrahaṇaṃ manyase /	na ca svayam Darmi-pratiyogi-grahaNa-aBAve Beda-grahaNam manyase /
   tathāpi yadi kalpanā bhedaviśiṣṭaṃ yugapadgṛhṇāti, kā pratyakṣe sarpamṛtiḥ	taTA-api yadi kalpanA Beda-viSizwam yugapad-gRhNAti, kA pratyakze sarpa-mRtiH
   ? ato dharmivadyogyatvājjātyādirūpabhedo 'pi yugapadgrāhyeḥ /	? atas Darmi-vat-yogya-tvAt-jAti-a-Adi-rUpa-BedaH api yugapad-grAhyeH /
   abheda iva bhedo 'pi svarūpataḥ pratītau na pratiyogisākāṅkṣaḥ;	aBedaH iva BedaH api svarUpataH pratItO na pratiyogi-sAkAFkzaH;
   bhedavyavahārastvabhedavyavahāravat tatsākāṅkṣa /	Beda-vyavahAraH-tu-aBeda-vyavahAra-vat tat-sa-AkAFkzaH /
   ataḥ prathamameva bhedadhīryuktā /	atas praTamam-eva Beda-DIH-yuktA /
   ata eva dharmadharmiṇordharmipratiyoginoranyeṣāṃ ca pratītāvanyonyāśrayo	atas eva Darma-DarmiNoH-Darmi-pratiyoginoH-anyezAm ca pratItO=-anyonya-ASrayaH-
   nirastaḥ /	nirastaH /
   tataśca vyupattestadvyavahāre 'pi na tatprasaṅgaḥ /	tatas-ca vyupatteH-tad-vyavahAre api na tad-prasaFgaH /
   bhedaśabdena vyavahārasya tu pratisaṃbandhinirūpitākāre vyutpannatvāt	Beda-Sabdena vyavahArasya tu pratisaMbanDi-nirUpita-AkAre vyutpanna-tvAt-
   tadapekṣā /	tad-apekzA /
   bhedatvaṃ hi bhedānāṃ pratiyoginā nirūpyam na tu jātyādilakṣaṇaṃ svarūpam;	Beda-tvam hi BedAnAm pratiyoginA nirUpyam na tu jAti-Adi-lakzaNam sva-rUpam;
   yadgraho yatra yadāropavirodhī, sa hi tasya tasmādbhedaḥ; gotvādi ca	yat-grahaH yatra yat-ArA-upaviroDI, sa hi tasya tasmAt-BedaH; go-tva-Adi ca
   gṛhyamāṇaṃ svasmin svāśraye cāśvatvādyāropaṃ nirūṇaddhīti svasya	gRhyamANam svasmin su-a-ASraye ca-aSva-tva-Adi-Aropam nirUNadDi-iti svasya
   svāśrayasya ca svayameva tasmādbhedaḥ //	sva-ASrayasya ca svayam-eva tasmAt-BedaH //
   api ca pratiyogisāpekṣatvanirapekṣatvalakṣaṇaviruddhadharmādhyāsena bhedāt	api ca pratiyogi-sApekza-tva-nirapekza-tva-lakzaNa-virudDa-Darma-aDyAsena BedAt-
   svarūpabhedagrahaṇaikyāṃ na saṃbhavatīti vadan bhedaduṣaṇārthameva bhedaṃ	svarUpa-Beda-grahaNa-EkyAm na saMBavati-iti vadan Beda-duzaNa-arTam-eva Bedam
   sādhayatīti svavacanavirodha iti //	sADayati-iti sva-vacana-viroDaH iti //
   nyā. pa. pra. 15 //	nyA. pa. pra. 15 //
   śābdāparokṣanirāsaḥ //	SAbda-aparokza-nirAsaH //
   śabdajanyamapi pratyakṣamastīti ta eva varṇayanti; tadapyayuktam,	Sabda-janyam-api pratyakzam-asti-iti te eva varNayanti; tat-api-ayuktam,
   vyāghātāt /	vyAGAtAt /
   na hi parokṣajananasvabhāvatayā siddhā sāmagrī viśeṣābhāve kvacit	na hi parokza-janana-svaBAva-tayA sidDA sAmagrI viSeza-aBAve kvacid-
   svabhāvamatipatet /	svaBAvam-atipatet /
   na caikajātīyasāmagrītaḥ prasūtaṃ kāryaṃ vicitraṃ syāt, ekayaivava	na ca-eka-jAtIya-sAmagrItaH prasUtam kAryam vicitram syAt, ekayA-evava
   sāmagryā sarvajātīyotpattiprasaṅgāt ekasya kāryasya	sAmagryA sarva-jAtIya-utpatti-prasaFgAt ekasya kAryasya
   viruddhajātiyogaprasaṅgācca /	virudDa-jAti-yoga-prasaFgAt-ca /
   "daśamastvamasi" ityādidṛṣṭānte 'pi tvamarthamātraṃ pratyakṣam /	"da-SamaH-tvam-asi" ityAdi-dRzwAnte api tvam-arTa-mAtram pratyakzam /
   'daśamo 'ham' iti pratyayo hi nendriyasvātantryeṇodeti, kintu	adaSamaH aham-a iti pratyayaH hi na-indriya-svAtantryeNa-udeti, kintu
   puruṣavacanānurodhena /	puruza-vacana-anuroDena /
   tanmūle 'pi cet pratyakṣatā, evam 'dharmavāṃstvamasi' iti	tad-mUle api ced pratyakzatA, evam aDarmavAn=-tvam-asi-a iti
   kārtāntikopadeśādau 'tādṛśo 'hamasmi' iti bodhe dharmāderapi	kArtAntika-upadeSa-AdO atAdRSaH aham-asmia iti boDe Darma-AdeH-api
   pratyakṣatvaprasaṅgaḥ /	pratyakza-tva-prasaFgaH /
   tataścāpratyakṣamiti jagati kiñcinna syāt, pratyakṣabhūtaṃ	tatas-ca-apratyakzam-iti jagati kiQcid-na syAt, pratyakza-BUtam
   yatkiñciduddiśya viśeṣaṇatayaiva sarvasya pratyakṣatvopapatteḥ /	yat-kiQcid-uddiSya viSezaNa-tayA-eva sarvasya pratyakza-tvA-upapatteH /
   pūrvāvagatadaśamabhāvaṃ tu puruṣaṃ pratyupadeśe	pUrva-avagata-daSama-BAvam tu puruzam pratyupadeSe
   bhāṣarāśipraviṣṭamaṣīnyāyena pūrvāparāparokṣaṇīnairantaryeṇa	BAzara-ASi-pravizwa-mazI-nyAyena pUrva-apara-apara-ukzaNI-nErantaryeNa
   madhyavartiśabdajanyadhiyo 'parokṣatvavyavahāraḥ kasyacit syādvā na vā /	maDya-varti-Sabda-janya-DiyaH aparokza-tva-vyavahAraH kasyacid syAt-vA na vA /
   ata eva tattvamasyādiśabdaḥ svaviṣayagocarapratyakṣajñānajanakaḥ, svato	atas eva tattvam-asya-Adi-SabdaH sva-vizaya-gocara-pratyakza-jQAna-janakaH, svatas-
   'parokṣārthagocaratvāt "daśamastvamasi" "saṃvit svaprakāśā" ityādivākyavat	aparokza-arTa-gocara-tvAt "da-SamaH-tvam-asi" "saMvid sva-prakASA" ityAdi-vAkya-vat-
   ityādyanumānāni nirastāni, daśamatvasvaprakāśatvādiviśiṣṭākāreṇa	ityAdi-anumAnAni nirastAni, daSama-tva-svaprakASa-tva-Adi-viSizwa-AkAreNa
   dṛṣṭānteṣvaparokṣajñānajananāsiddheḥ /	dRzwAntezu-aparokza-jQAna-janana-asidDeH /
   tathā vigītaḥ śabdo na svavācyagocarapratyakṣadhījanakaḥ, śabdatvāt,	taTA vigItaH SabdaH na sva-vAcya-gocara-pratyakzaDI-janakaH, Sabda-tvAt,
   saṃpratipannavat, ityādyapipratiprayoktavyam /	saMpratipannavat, iti-Adi-apipratiprayoktavyam /
