   Samantabhadra: Āptamīmāṃsā	SamantaBadra: ĀptamImAMsA
   pāpaṃ dhruvaṃ pare duḥkhātpuṇyaṃ ca sukhato yadi /	pApam Druvam pare duHKAt-puNyam ca suKataH yadi /
   acetanākaṣāyau ca badhyeyātāṃ nimittataḥ // SAm_92 //	acetanA-kazAyO ca baDyeyAtAm nimittataH // SAm_92 //
   puṇyaṃ dhruvaṃ svato duḥkhātpāpaṃ ca sukhato yadi /	puNyam Druvam svatas duHKAt-pApam ca suKataH yadi /
   vītarāgo munirvidvāṃstābhyāṃ yuñjyānnimittataḥ // SAm_93 //	vIta-rAgaH muniH-vidvAn=-tAByAm yuQjyAt-nimittataH // SAm_93 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_94 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_94 //
   viśuddhisaṃkleśāṅgaṃ cetsvaparasthaṃ sukhāsukham /	viSudDi-saMkleSa-aFgam ced-sva-para-sTam suKa-asuKam /
   puṇyapāpāsravau yuktau na cedvyarthastavārhataḥ // SAm_95 //	puNya-pApa-AsravO yuktO na ced-vyarTaH-tava-arhataH // SAm_95 //
   ajñānācceddhruvo bandho jñeyānantyānna kevalī /	ajQAnAt-ced-DruvaH banDaH jQeya-AnantyAt-na kevalI /
   jñānastokādvimokṣaścedajñānād bahuto 'nyathā // SAm_96 //	jQAna-stokAt-vimokzaH-ced-ajQAnAt bahutaH anyaTA // SAm_96 //
   virodhānnobhayaikātmyaṃ syādvādanyāyavidviṣām /	viroDAn-na-uBayA-EkAtmyam syAt-vAda-nyAya-vidvizAm /
   avācyataikānte 'pyuktirnāvācyamiti yujyate // SAm_97 //	avAcya-tA-ekAnte api-uktiH-na-avAcyam-iti yujyate // SAm_97 //
   ajñānānmohato bandho nājñānādvītamohataḥ /	ajQAnAt-mohataH banDaH na-ajQAnAt-vIta-mohataH /
   jñānastokācca mokṣaḥ syādamohānmohito 'nyathā // SAm_98 //	jQAnaH-tokAt-ca mokzaH syAt-amohAt-mohitaH anyaTA // SAm_98 //
   kāmādiprabhavaścitraḥ karmabandhānurūpataḥ /	kAma-Adi-praBavaH-citraH karma-banDa-anurUpataH /
   tacca karma svahetubhyo jīvāste śuddhyaśuddhitaḥ // SAm_99 //	tat-ca karma sva-hetuByaH jIvAH-te SudDi-aSudDitaH // SAm_99 //
   śuddhyaśuddhī punaḥ śaktī te pākyāpākyaśaktivat /	SudDi-aSudDI punar SaktI te pAkyApAkya-Sakti-vat /
   sādyanādī tayorvyaktī svabhāvo 'tarkagocaraḥ // SAm_100 //	sAdi-anAdI tayoH-vyaktI svaBAvaH atarka-gocaraH // SAm_100 //
   tattvajñānaṃ pramāṇaṃ te yugapat sarvabhāsanam /	tattva-jQAnam pramANam te yugapad sarva-BAsanam /
   kramabhāvi ca yajjñānaṃ syādvādanayasaṃskṛtam // SAm_101 //	krama-BAvi ca yat-jQAnam syAt-vAdanaya-saMskRtam // SAm_101 //
   upekṣā phalamādyasya śeṣasyādānahānadhīḥ /	upekzA Palam-Adyasya Sezasya-AdAna-hAna-DIH /
   pūrvaṃ vājñānanāśo vā sarvasyāsya svagocare // SAm_102 //	pUrvam vA-ajQAna-nASaH vA sarvasya-asya sva-gocare // SAm_102 //
   vākyeṣvanekāntadyotī gamyaṃ prati viśeṣakaḥ /	vAkyezu-anekAnta-dyotI gamyam prati viSezakaH /
   syānnipāto 'rthayogitvāttava kevalināmapi // SAm_103 //	syAt-nipAtaH arTa-yogi-tvAt-tava kevalinAm-api // SAm_103 //
   syādvādaḥ sarvathaikāntayogātkiṃvṛttacidvidhiḥ /	syAt-vAdaH sarvaTA-ekAnta-yogAt-kiMvRtta-cit-viDiH /
   saptabhaṅganayāpekṣo heyādeyaviśeṣakaḥ // SAm_104 //	sapta-BaFganayA-apekzaH heya-Adeya-viSezakaH // SAm_104 //
   syādvādakevalajñāne sarvatattvaprakāśane /	syAt-vAda-kevala-jQAne sarva-tattva-prakASane /
   bhedaḥ sākṣādasākṣācca hyavastvanyatamaṃ bhavet // SAm_105 //	BedaH sAkzAt-asAkzAt-ca hi-avastu-anyatamam Bavet // SAm_105 //
   sadharmaṇaiva sādhyasya sādharmyādavirodhataḥ /	saDarmaNA-eva sADyasya sADarmyAt-aviroDataH /
   syādvādapravibhaktārthaviśeṣavyañjako nayaḥ // SAm_106 //	syAt-vAda-praviBakta-arTa-viSeza-vyaQjakaH nayaH // SAm_106 //
   nayopanayaikāntānāṃ trikālānāṃ samuccayaḥ /	naya-upanaya-ekAntAnAm tri-kAlAnAm samuccayaH /
   avibhrāḍ bhāvasambandho dravyamekamanekadhā // SAm_107 //	aviBrAj BAva-sambanDaH dravyam-ekam-anekaDA // SAm_107 //
   mithyāsamūho mithyā cenna mithyaikāntatāsti naḥ /	miTyA-samUhaH miTyA ced-na miTyA-ekAnta-tA-asti naH /
   nirapekṣā nayā mithyā sāpekṣā vastu te 'rthakṛt // SAm_108 //	nirapekzA nayA miTyA sa-apekzA vastu te arTa-kRt // SAm_108 //
   niyamyate 'rtho vākyena vidhinā vāraṇena vā /	niyamyate arTaH vAkyena viDinA vAraNena vA /
   tathānyathā ca so 'vaśyamaviśeṣyatvamanyathā // SAm_109 //	taTA-anyaTA ca saH avaSyam-aviSezya-tvam-anyaTA // SAm_109 //
   tadatadvastu vāgeṣā tadevetyanuśāsati /	tat-atat-vastu vAc-ezA tat-eva-iti-anuSAsati /
   na satyā syānmṛṣāvākyaiḥ kathaṃ tattvārthadeśanā // SAm_110 //	na satyA syAt-mRzA-vAkyEH kaTam tattva-arTa-deSanA // SAm_110 //
   vāksvabhāvo 'nyavāgarthapratiṣedhaniraṅkuśaḥ /	vAc-svaBAvaH anya-vAc-arTa-pratizeDa-niraFkuSaH /
   āha ca svārthasāmānyaṃ tādṛgvācyaṃ khapuṣpavat // SAm_111 //	Aha ca sva-arTa-sAmAnyam tAdRS-vAcyam Ka-puzpa-vat // SAm_111 //
   sāmānyavāgviśeṣe cenna śabdārthā mṛṣā hi sā /	sAmAnya-vAc-viSeze ced-na Sabda-arTAH mRzA hi sA /
   abhipretaviśeṣāpteḥ syātkāraḥ satyalāñchanaḥ // SAm_112 //	aBipreta-viSeza-ApteH syAt-kAraH satyalAQCanaH // SAm_112 //
   vidheyamīpsitārthāṅgaṃ pratiṣedhavirodhi yat /	viDeyam-Ipsita-arTAFgam pratizeDa-viroDi yat /
   tathaivādeyaheyatvamiti syādvādasaṃsthitiḥ // SAm_113 //	taTA-eva-Adeya-heya-tvam-iti syAt-vAda-saMsTitiH // SAm_113 //
   itīyamāptamimāṃsā vihitā hitamicchatā /	iti-iyam-Aptam-ima-aMsA vihitA hitam-icCatA /
   samyaṅmithyopadeśārthaviśeṣapratipattaye // SAm_114 //	samyak-miTyA-upadeSa-arTa-viSeza-pratipattaye // SAm_114 //
   jayati jagati kleśāveśaprapaṃcahimāṃśumān	jayati jagati kleSa-AveSa-prapaMcahima-aMSumAn
   vihitaviṣamaikāntadhvāntapramāṇanayāṃśumān /	vihita-vizama-ekAnta-DvAnta-pramANa-nayA-aMSumAn /
   yatipatirajo yasyādhṛṣṭānmatāmbunidherlavān	yati-pati-rajaH yasya-aDRzwAn-matA-ambuniDeH-lavAn
   svamatamatayastīrthyā nānā pare samupāsate // SAm_115 //	sva-mata-matayaH-tIrTyAH nAnA pare samupAsate // SAm_115 //
