   Ḍhuṇḍhukanātha: Rasendracintāmaṇi	ḌhuNXuka-nATa: RasendracintAmaNi
   <jāraṇa:: samukha (?)>	<jAraNa:: samuKaH (?)>
   truṭiśo dattvā mṛditaṃ soṣṇe khalve'bhrasattvahemādi /	truwiSas dattvA mRditam sa-uzNe Kalve-aBra-sattva-hema-Adi /
   carati rasendraḥ kṣitikhagavetasajambīrabījapūrāmlaiḥ /	carati rasendraH kziti-Kaga-vetasa-jambIra-bIjapUra-amlEH /
   pūrvasādhitakāñjikenāpi // RCint_3.96 //	pUrva-sADita-kAQjikena-api // RCint-_3.96 //
   abhrakajāraṇam ādau garbhadrutijāraṇaṃ ca hemno'nte /	aBraka-jAraNam AdO garBadruti-jAraNam ca hemnaH-ante /
   yo jānāti na vādī vṛthaiva so 'rthakṣayaṃ kurute // RCint_3.97 //	yaH jAnAti na vAdI vRTA-eva saH arTa-kzayam kurute // RCint-_3.97 //
   <garbhadruti>	<garBadruti>
   vyomasattvaṃ samāṃśena tāpyasattvena saṃyutam /	vyoma-sattvam sama-aMSena tApya-sattvena saMyutam /
   sākalyena careddevi garbhadrāvī bhavedrasaḥ // RCint_3.98 //	sAkalyena caret-devi garBadrAvI Bavet-rasaH // RCint-_3.98 //
   evaṃ tārābhrādayaḥ svasvaripuṇā nirvyūḍhāḥ prayojanamavalokya prayojyāḥ /	evam tArABra-AdayaH sva-sva-ripuNAH nirvyUXAH prayojanam-avalokya prayojyAH /
   <garbhadruti (2); śulvābhra>	<garBadruti (2); SulvABra>
   kamalaghanamākṣikāṇāṃ cūrṇaṃ samabhāgayojitaṃ milati /	kamala-Gana-mAkzikANAm cUrNam sama-BAga-yojitam milati /
   tacchulvābhraṃ śīghraṃ carati rasendro dravati garbhe // RCint_3.99 //	tat-SulvABram SIGram carati rasendraH dravati garBe // RCint-_3.99 //
   <garbhadruti:: definition>	<garBadruti:: defi-nition>
   garbhadrutim antareṇa jāraṇaiva na syādatastallakṣaṇamāha /	garBadrutim antareNa jAraNA-eva na syAt-atas-tat-lakzaNam-Aha /
   vahnivyatireke 'pi rasagrāsīkṛtānāṃ lohānāṃ dravatvaṃ garbhadrutiḥ //	vahni-vyatireke api rasa-grAsIkRtAnAm lohAnAm drava-tvam garBadrutiH //
   RCint_3.100 //	RCint-_3.100 //
   <bīja:: production>	<bIja:: productiA-Un>
   bījānāṃ saṃskāraḥ kartavyastāpyasattvasaṃyogāt /	bIjAnAm saMskAraH kartavyaH-tApya-sattva-saMyogAt /
   tena dravanti garbhā rasarājasyāmlavargayogena // RCint_3.101 //	tena dravanti garBAH rasarAjasya-amlavarga-yogena // RCint-_3.101 //
   <bīja:: anonymous:: production>	<bIja:: anonymous:: productiA-Un>
   śilayā nihato nāgastāpyaṃ vā sindhunā hatam /	SilayA nihataH nAgaH-tApyam vA sinDunA hatam /
   tābhyāṃ tu māritaṃ bījaṃ sūtake dravati kṣaṇāt // RCint_3.102 //	tAByAm tu mAritam bIjam sUtake dravati kzaNAt // RCint-_3.102 //
   paṭvamlakṣāragomūtrasnuhīkṣīrapralepite /	pawu-amla-kzAra-go-mUtra-snuhI-kzIra-pralepite /
   bahiśca baddhaṃ vastreṇa bhūrje grāsaniveśitam /	bahis-ca badDam vastreNa BUrje grAsa-niveSitam /
   kṣārāranālamūtreṣu svedayettridinaṃ bhiṣak // RCint_3.103 //	kzAra-AranAla-mUtrezu svedayet-tri-dinam Bizaj // RCint-_3.103 //
   <mercury:: purification after jāraṇa>	<mercuH-y:: purification afteH jAraNa>
   uṣṇenaivāranālena kṣālayejjāritaṃ rasam /	uzNena-eva-AranAlena kzAlayet-jAritam rasam /
   taṃ ca kiṃcinmale'naṣṭe gharṣayedutthite rase // RCint_3.104 //	tam ca kiMcid-male-anazwe Garzayet-utTite rase // RCint-_3.104 //
   malapraviṣṭaṃ rasamalpenaiva jambharasena siktaṃ yāvadutthānaṃ	mala-pravizwam rasam-alpena-eva jamBa-rasena siktam yAvat-utTAnam
   gharṣayedityarthaḥ /	Garzayet-iti-arTaH /
   tadā na truṭiriti gurusaṃketaḥ // RCint_3.105 //	tadA na truwiH-iti guru-saMketaH // RCint-_3.105 //
   <jāraṇa:: with kacchapayantra>	<jAraNa:: wiT kacCapayantra>
   krameṇānena dolāyāṃ jāryaṃ grāsacatuṣṭayam /	krameNa-anena dolAyAm jAryam grAsa-catuzwayam /
   tataḥ kacchapayantreṇa jvalane jārayedrasam // RCint_3.106 //	tatas kacCapayantreNa jvalane jArayet-rasam // RCint-_3.106 //
   <jāraṇa>	<jAraNa>
   nāndīpayasi śarāvodarakuharaniviṣṭalohasampuṭagaḥ /	nAndI-payasi SarAva-udara-kuhara-nivizwa-loha-sampuwa-gaH /
   harayonir antarā saṃjarati puṭairgaganagandhādi // RCint_3.107 //	harayoniH antarA saMjarati puwEH-gagana-ganDa-Adi // RCint-_3.107 //
   aṅgāreṇa karīṣeṇa vā puṭadānam // RCint_3.108 //	aFgAreNa karIzeNa vA puwa-dAnam // RCint-_3.108 //
   <jāraṇa:: weight of added substances, daṇḍadhārin etc.>	<jAraNa:: weiGt of addet subH-tan-ces, daNxaDArin et-c.>
   catuḥṣaṣṭyaṃśakaḥ pūrvo dvātriṃśāṃśo dvitīyakaḥ /	catuHzazwi-aMSakaH pUrvaH dvAtriMSa-aMSaH dvitIyakaH /
   tṛtīyaḥ ṣoḍaśāṃśastu caturtho 'ṣṭāṃśa eva ca // RCint_3.109 //	tRtIyaH zoxaSa-aMSaH-tu caturTaH azwa-aMSaH eva ca // RCint-_3.109 //
   catuḥṣaṣṭyaṃśakagrāsāddaṇḍadhārī bhavedrasaḥ /	catuHzazwi-aMSaka-grAsAt-daNxaDArI Bavet-rasaH /
   jalaukāvad dvitīye tu grāsayoge sureśvari // RCint_3.110 //	jalOkA-vat dvitIye tu grAsa-yoge sureSvari // RCint-_3.110 //
   grāsena tu tṛtīyena kākaviṣṭhāsamo bhavet /	grAsena tu tRtIyena kAka-vizWA-samaH Bavet /
   grāsena tu caturthena dadhimaṇḍasamo bhavet // RCint_3.111 //	grAsena tu caturTena daDi-maNxa-samaH Bavet // RCint-_3.111 //
   anyad durjaratvānna likhitam // RCint_3.112 //	anyat durjara-tvAt-na liKitam // RCint-_3.112 //
   <jāraṇa:: weight of added substances>	<jAraNa:: weiGt of addet subH-tan-ces>
   bhagavadgovindapādāstu kalāṃśameva grāsaṃ likhanti /	Bagavat-govinda-pAdAH-tu kalA-aMSam-eva grAsam liKanti /
   yathā pañcabhirevaṃ grāsair ghanasattvaṃ jārayitvādau /	yaTA paQcaBiH-evam grAsEH Gana-sattvam jArayitvA-AdO /
   garbhadrāve nipuṇo jārayati bījaṃ kalāṃśena // RCint_3.113 //	garBadrAve nipuNaH jArayati bIjam kalA-aMSena // RCint-_3.113 //
   tanmate catuḥṣaṣṭicatvāriṃśattriṃśadviṃśatiṣoḍaśāṃśāḥ pañca grāsāḥ //	tad-mate catuHzazwi-catvAriMSat-triMSat-viMSati-zoxaSa-aMSAH paQca grAsAH //
   RCint_3.114 //	RCint-_3.114 //
   <garbhadruti:: suitable kṣāras>	<garBadruti:: suita-ble kzAras>
   jambīrabījapūracāṅgerīvetasāmlasaṃyogāt /	jambIra-bIjapUra-cAFgerI-vetasa-amla-saMyogAt /
   kṣārā bhavanti nitarāṃ garbhadrutijāraṇe śastāḥ // RCint_3.115 //	kzArAH Bavanti nitarAm garBadruti-jAraNe SastAH // RCint-_3.115 //
   <mercury:: rañjana>	<mercuH-y:: raQjana>
   tārakarmaṇyasya na tathā prayogo dṛśyate /	tAra-karmaNi-asya na taTA prayogaH dRSyate /
   kevalaṃ nirmalaṃ tāmraṃ vāpitaṃ daradena tu /	kevalam nirmalam tAmram vApitam daradena tu /
   kurute triguṇaṃ jīrṇaṃ lākṣārasanibhaṃ rasam // RCint_3.116 //	kurute triguNam jIrNam lAkzA-rasa-niBam rasam // RCint-_3.116 //
   <mercury:: rañjana>	<mercuH-y:: raQjana>
   gandhakena hataṃ nāgaṃ jārayet kamalodare /	ganDakena hatam nAgam jArayet kamala-udare /
   etasya triguṇe jīrṇe lākṣābho jāyate rasaḥ // RCint_3.117 //	etasya triguNe jIrNe lAkzA-ABaH jAyate rasaH // RCint-_3.117 //
   etattu nāgasaṃdhānaṃ na rasāyanakarmaṇi // RCint_3.118 //	etat-tu nAga-saMDAnam na rasAyana-karmaNi // RCint-_3.118 //
   <mercury:: rañjana>	<mercuH-y:: raQjana>
   kiṃvā yathoktasiddhabījopari triguṇatāmrajāraṇāt tadbījaṃ samajīrṇaṃ	kiMvA yaTA-ukta-sidDa-bIja-upari triguNa-tAmra-jAraNAt tad-bIjam sama-jIrNam
   svātantryeṇaiva rañjayati // RCint_3.119 //	svAtantryeNa-eva raQjayati // RCint-_3.119 //
   <bīja:: production>	<bIja:: productiA-Un>
   kuṭilaṃ vimalā tīkṣṇaṃ samacūrṇaṃ prakalpayet /	kuwilam vimalA tIkzNam sama-cUrNam prakalpayet /
   puṭitaṃ pañcavāraṃ tu tāre vāhyaṃ śanairdhamet /	puwitam paQca-vAram tu tAre vAhyam SanEs-Damet /
   yāvaddaśaguṇaṃ tat tu tāvadbījaṃ bhavecchubham // RCint_3.120 //	yAvat-daSaguNam tat tu tAvat-bIjam Bavet-SuBam // RCint-_3.120 //
   <bīja:: production>	<bIja:: productiA-Un>
   sattvaṃ tālodbhavaṃ vaṅgaṃ samaṃ kṛtvā tu dhārayet /	sattvam tAla-udBavam vaFgam samam kRtvA tu DArayet /
   taccūrṇaṃ vāhayettāre guṇān yāvattu ṣoḍaśa // RCint_3.121 //	tat-cUrNam vAhayet-tAre guNAn yAvat-tu zoxaSa // RCint-_3.121 //
   pratibījamidaṃ śreṣṭhaṃ pāradasya nibandhanam /	pratibIjam-idam SrezWam pAradasya nibanDanam /
   cāraṇātsāraṇāccaiva sahasrāṃśena vidhyati // RCint_3.122 //	cAraNAt-sAraNAt-ca-eva sahasra-aMSena viDyati // RCint-_3.122 //
   <bīja:: => śatavedhirasa>	<bIja:: => Sata-veDi-rasa>
   vaṅgābhraṃ vāhayettāre guṇāni dvādaśaiva tu /	vaFgABram vAhayet-tAre guNAni dvAdaSa-eva tu /
   etadbīje same jīrṇe śatavedhī bhavedrasaḥ // RCint_3.123 //	etat-bIje same jIrNe Sata-veDI Bavet-rasaH // RCint-_3.123 //
   <bīja:: hemabīja>	<bIja:: hema-bIja>
   kunaṭīhatakariṇā vā raviṇā vā tāpyagandhakahatena /	kunawI-hata-kariNA vA raviNA vA tApya-ganDaka-hatena /
   daradanihatāsinā vā trir vyūḍhaṃ hema tadbījam // RCint_3.124 //	darada-nihata-asinA vA tris vyUXam hema tat-bIjam // RCint-_3.124 //
   balinā vyūḍhaṃ kevalamarkamapi /	balinA vyUXam kevalam-arkam-api /
   <bīja:: => rasabandhana>	<bIja:: => rasa-banDana>
   nāgābhraṃ vāhayeddhemni dvādaśaiva guṇāni ca /	nAgABram vAhayet-hemni dvAdaSa-eva guNAni ca /
   pratibījamidaṃ śreṣṭhaṃ pāradasya tu bandhanam // RCint_3.125 //	pratibIjam-idam SrezWam pAradasya tu banDanam // RCint-_3.125 //
   <nāgabīja>	<nAga-bIja>
   mākṣikeṇa hataṃ tāmraṃ nāgaṃ ca rañjayenmuhuḥ /	mAkzikeNa hatam tAmram nAgam ca raQjayet-muhur /
   taṃ nāgaṃ vāhayedbīje dviṣoḍaśaguṇāni ca // RCint_3.126 //	tam nAgam vAhayet-bIje dvi-zoxaSa-guNAni ca // RCint-_3.126 //
   bījaṃ tv idaṃ varaṃ śreṣṭhaṃ nāgabījaṃ prakīrtitam /	bIjam tu idam varam SrezWam nAga-bIjam prakIrtitam /
   samacāritamātreṇa sahasrāṃśena vidhyati // RCint_3.127 //	sama-cArita-mAtreNa sahasra-aMSena viDyati // RCint-_3.127 //
   <bīja:: rañjana of ~>	<bIja:: raQjane of ~>
   mañjiṣṭhā kiṃśukaṃ caiva khadiraṃ raktacandanam /	maQjizWA kiMSukam ca-eva Kadiram raktacandanam /
   karavīraṃ devadāru saralo rajanīdvayam // RCint_3.128 //	karavIram devadAru saralaH rajanI-dvayam // RCint-_3.128 //
   anyāni raktapuṣpāṇi piṣṭvā lākṣārasena tu /	anyAni rakta-puzpANi pizwvA lAkzA-rasena tu /
   tilaṃ vipācayettena kuryād bījādirañjanam // RCint_3.129 //	tilam vipAcayet-tena kuryAt bIja-Adi-raQjanam // RCint-_3.129 //
   <sāraṇātaila:: production>	<sAraNA-tEla:: productiA-Un>
   dviguṇe raktapuṣpāṇāṃ raktapītagaṇasya ca /	dviguNe rakta-puzpANAm rakta-pIta-gaNasya ca /
   kvāthe caturguṇaṃ kṣīraṃ tailamekaṃ sureśvari // RCint_3.130 //	kvATe caturguNam kzIram tElam-ekam sureSvari // RCint-_3.130 //
   jyotiṣmatīkarañjākhyakaṭutumbīsamudbhavam /	jyotizmatI-karaQja-AKya-kawutumbI-samudBavam /
   pāṭalākākatuṇḍāhvamahārāṣṭrīrasaiḥ pṛthak // RCint_3.131 //	pAwalA-kAkatuNxA-Ahva-mahArAzwrI-rasEH pRTak // RCint-_3.131 //
   bhekasūkarameṣāhimatsyakūrmajalaukasām /	Beka-sUkara-meza-ahi-matsya-kUrma-jalOkasAm /
   vasayā caikayā yuktaṃ ṣoḍaśāṃśaiḥ supeṣitaiḥ // RCint_3.132 //	vasayA ca-ekayA yuktam zoxaSa-aMSEH su-pezitEH // RCint-_3.132 //
   bhūlatāmalamākṣīkadvaṃdvamelāpakauṣadhaiḥ /	BUlatA-amala-mAkzIka-dvaMdva-melApaka-OzaDEH /
   pācitaṃ gālitaṃ caiva sāraṇātailamucyate // RCint_3.133 //	pAcitam gAlitam ca-eva sAraNA-tElam-ucyate // RCint-_3.133 //
   atra gandharvatailamapi rasahṛdayasvarasāt // RCint_3.134 //	atra ganDarva-tElam-api rasahRdaya-svarasAt // RCint-_3.134 //
   <dvandvamelāpaka>	<dvandvamelApaka>
   ūrṇāṭaṅkaṇagirijatumahiṣīkarṇākṣimalendragopakarkaṭakā	UrNA-waFkaNa-girijatu-mahizI-karNa-akzi-malA-indragopa-karkawakA
   dvaṃdvamelāpakauṣadhāni // RCint_3.135 //	dvaMdvamelApaka-OzaDAni // RCint-_3.135 //
   <"rañjakataila">	<"raQjaka-tEla">
   yathāprāptaiḥ śvetapuṣpair nānāvṛkṣasamudbhavaiḥ /	yaTAprAptEH Sveta-puzpEH nAnA-vRkza-samudBavEH /
   rasaṃ caturguṇaṃ yojyaṃ kaṅgunītailamadhyataḥ // RCint_3.136 //	rasam caturguNam yojyam kaFgunI-tEla-maDyatas // RCint-_3.136 //
   pacettailāvaśeṣaṃ tu tasmiṃstaile niṣecayet /	pacet-tEla-avaSezam tu tasmin=-tEle nizecayet /
   drāvitaṃ tārabījaṃ tu hy ekaviṃśativārakam // RCint_3.137 //	drAvitam tAra-bIjam tu hi ekaviMSati-vArakam // RCint-_3.137 //
   rañjitaṃ jāyate tattu rasarājasya rañjanam /	raQjitam jAyate tat-tu rasarAjasya raQjanam /
   kuṭile balam atyadhikaṃ rāgastīkṣṇe ca pannage snehaḥ /	kuwile balam atyaDikam rAgaH-tIkzNe ca pannage snehaH /
   rāgasnehabalāni tu kamale nityaṃ praśaṃsanti // RCint_3.138 //	rAga-sneha-balAni tu kamale nityam praSaMsanti // RCint-_3.138 //
   balamāste 'bhrakasattve jāraṇarāgāḥ pratiṣṭhitāstīkṣṇe /	balam-Aste aBraka-sattve jAraNa-rAgAH pratizWitAH-tIkzNe /
   bandhaśca sāralauhe krāmaṇamatha nāgavaṅgagatam // RCint_3.139 //	banDaH-ca sAra-lOhe krAmaNam-aTa nAga-vaFga-gatam // RCint-_3.139 //
   krāmati tīkṣṇena rasastīkṣṇena ca jīryate grāsaḥ /	krAmati tIkzNena rasaH-tIkzNena ca jIryate grAsaH /
   hemno yonistīkṣṇaṃ rāgān gṛhṇāti tīkṣṇena // RCint_3.140 //	hemnaH yoniH-tIkzNam rAgAn gRhNAti tIkzNena // RCint-_3.140 //
   tadapi ca daradena hataṃ kṛtvā vā mākṣikeṇa ravisahitam /	tat-api ca daradena hatam kRtvA vA mAkzikeNa ravi-sahitam /
   vāsitamapi vāsanayā ghanavaccāryaṃ ca jāryaṃ ca // RCint_3.141 //	vAsitam-api vAsanayA Gana-vat-cAryam ca jAryam ca // RCint-_3.141 //
   <mercury:: bandhana>	<mercuH-y:: banDana>
   sarvair ebhir lauhair mākṣikamṛditair drutaistathā garbhe /	sarvEH eBiH lOhEH mAkzika-mRditEH drutEH-taTA garBe /
   viḍayogena ca jīrṇe rasarājo bandham upayāti // RCint_3.142 //	vixa-yogena ca jIrNe rasarAjaH banDam upayAti // RCint-_3.142 //
   nirbījaṃ samajīrṇe pādone ṣoḍaśāṃśaṃ tu /	nirbIjam sama-jIrNe pAda-Une zoxaSa-aMSam tu /
   ardhena pādakanakaṃ pādenaikena tulyakanakaṃ ca // RCint_3.143 //	arDena pAda-kanakam pAdena-ekena tulya-kanakam ca // RCint-_3.143 //
   samādijīrṇasya sāraṇāyogyatvaṃ śatādivedhakatvaṃ ca /	sama-Adi-jIrNasya sAraNA-yogya-tvam Sata-Adi-veDaka-tvam ca /
   ito nyūnajīrṇasya pattralepārdhakāra eva // RCint_3.144 //	itas nyUna-jIrNasya pattra-lepa-arDa-kAraH eva // RCint-_3.144 //
   <patralepa>	<patra-lepa>
   atyamlitam udvartitatārāriṣṭādipatram atiśuddham /	ati-amlitam udvartita-tAra-arizwa-Adi-patram ati-SudDam /
   ālipya rasena tataḥ krāmaṇaliptaṃ puṭeṣu viśrāntam // RCint_3.145 //	Alipya rasena tatas krAmaNa-liptam puwezu viSrAntam // RCint-_3.145 //
   <puṭaprakāra>	<puwa-prakAra>
   puṭaḥ prāyeṇa cullikādhastādasya // RCint_3.146 //	puwaH prAyeNa cullikA-aDastAt-asya // RCint-_3.146 //
   <varṇapuṭa>	<varNa-puwa>
   ardhena miśrayitvā hemnā śreṣṭhena taddalaṃ puṭitam /	arDena miSrayitvA hemnA SrezWena tat-dalam puwitam /
   kṣitikhagapaṭuraktamṛdā varṇapuṭo'yaṃ tato deyaḥ // RCint_3.147 //	kziti-Kaga-pawu-raktamRdA varNapuwaH-ayam tatas deyaH // RCint-_3.147 //
   ardhenetyupalakṣaṇam // RCint_3.148 //	arDena-iti-upalakzaNam // RCint-_3.148 //
   <gold:: production>	<gold:: productiA-Un>
   tārārkamarkaṭaśiraḥśilāgandhān pracūrṇayet /	tAra-arka-markawa-SiraH-SilA-ganDAn pracUrNayet /
   pacedbhūyaḥ kṣipan gandhaṃ yathā sūto na gacchati /	pacet-BUyas kzipan ganDam yaTA sUtaH na gacCati /
   pakvaṃ taddhemapatrasthaṃ hematāṃ pratipadyate // RCint_3.149 //	pakvam tat-hema-patra-sTam hema-tAm pratipadyate // RCint-_3.149 //
   rajjubhir bhekaraṅgādyaiḥ stambhayoḥ sāralauhayoḥ /	rajjuBiH Beka-raFga-AdyEH stamBayoH sAra-lOhayoH /
   badhyate rasamātaṅgo yuktyā śrīgurudattayā // RCint_3.150 //	baDyate rasa-mAtaFgaH yuktyA SrI-guru-dattayA // RCint-_3.150 //
   <gold:: production>	<gold:: productiA-Un>
   śilācatuṣkaṃ gandheśau kācakūpyāṃ suvarṇakṛt /	SilA-catuzkam ganDa-ISO kAca-kUpyAm suvarNa-kRt /
   kīlālāyaḥkṛto yogaḥ khaṭikālavaṇādhikaḥ // RCint_3.151 //	kIlAla-ayaH-kRtaH yogaH KawikA-lavaNa-aDikaH // RCint-_3.151 //
   <gold:: production (?)>	<gold:: production (?)>
   maṇḍūkapāradaśilābalayaḥ samānāḥ saṃmarditāḥ kṣitibileśayamantrajihvaiḥ /	maNxUka-pArada-SilA-balayaH samAnAH saMmarditAH kziti-bileSaya-mantra-jihvEH /
   yantrottamena gurubhiḥ pratipāditena svalpairdinairiha patati na	yantra-uttamena guruBiH pratipAditena su-alpEH-dinEH-iha patati na
   vismayadhvam // RCint_3.152 //	vismayaDvam // RCint-_3.152 //
   <bīja:: lauhabheki>	<bIja:: lOha-Beki>
   lohaṃ gandhaṃ ṭaṅkaṇaṃ bhrāmayitvā tenonmiśraṃ bhekam āvartayettu /	loham ganDam waFkaNam BrAmayitvA tena-unmiSram Bekam Avartayet-tu /
   <bīja:: tāratālakī>	<bIja:: tAratAlakI>
   tālaṃ kṛtvā turyavaṅgāntarāle rūpyasyāntastacca siddhoktabīje //	tAlam kRtvA turya-vaFga-antarAle rUpyasya-antar-tat-ca sidDa-ukta-bIje //
   RCint_3.153 //	RCint-_3.153 //
   itīdaṃ lauhabhekitāratālakīti siddhamate bījadvayam // RCint_3.154 //	iti-idam lOhaBeki-tAratAlakI-iti sidDa-mate bIja-dvayam // RCint-_3.154 //
   drutadardurapūtilauhatāpaḥ kurute hiṅgulakhaṇḍapakṣakhaṇḍam /	druta-dardura-pUti-lOha-tApaH kurute hiFgula-KaNxa-pakza-KaNxam /
   śaśihelihiraṇyamūṣikā dhruvam akṣoṇadhiyāmanena lakṣmīm // RCint_3.155 //	SaSi-heli-hiraNya-mUzikA Druvam akzoNa-DiyAm-anena lakzmIm // RCint-_3.155 //
   <mercury (?):: stabilisation>	<mercuri (?):: stabili-sation>
   daradaguṭikāś candrakṣodair nirantaram āvṛtās taraṇikanakaiḥ kiṃvā	darada-guwikAH candra-kzodEH nirantaram AvRtAH taraNi-kanakEH kiMvA
   gandhāśmanā saha bhūriṇā /	ganDASmanA saha BUriNA /
   racaya sikatāyantre yuktyā muhur muhur ityasau hutabhuji vasanna sthemānaṃ	racaya sikatAyantre yuktyA muhur muhur iti-asO hutaBuji vasan-na sTemAnam
   kathañcana muñcati // RCint_3.156 //	kaTaQcana muQcati // RCint-_3.156 //
   <bāhyadruti>	<bAhyadruti>
   atha bāhyadrutayaḥ /	aTa bAhyadrutayaH /
   etāstu kevalamāroṭameva militā nibadhnanti /	etAH-tu kevalam-Arowam-eva militAH nibaDnanti /
   phalamasya kalpapramitamāyuḥ /	Palam-asya kalpa-pramitam-AyuH /
   kiṃvā pūrvoktagrāsakramajāritāḥ pūrvoktaphalapradā bhavanti /	kiMvA pUrva-ukta-grAsa-krama-jAritAH pUrva-ukta-Pala-pradAH Bavanti /
   ucyate sa samajīrṇaścāyaṃ śatavedhī dviguṇajīrṇaḥ sahasravedhī /	ucyate sa sama-jIrNaH-ca-ayam Sata-veDI dviguNa-jIrNaH sahasra-veDI /
   evaṃ lakṣāyutakoṭivedhī samanusartavyaḥ /	evam lakza-ayuta-kowi-veDI samanusartavyaH /
   catuḥṣaṣṭiguṇajīrṇastu dhūmasparśāvalokaśabdato'pi vidhyati // RCint_3.157	catuHzazwi-guNa-jIrNaH-tu DUma-sparSa-avaloka-SabdataH-api viDyati // RCint-_3.157
   <sāraṇa:: proper crucible>	<sAraNa:: propeH cruci-ble>
   andhamūṣā tu kartavyā gostanākārasannibhā /	anDamUzA tu kartavyA gostana-AkAra-sanniBA /
   saiva chidrānvitā madhye gambhīrā sāraṇocitā // RCint_3.158 //	sA-eva Cidra-anvitA maDye gamBIrA sAraNa-ucitAH // RCint-_3.158 //
   <sāraṇa:: procedure>	<sAraNa:: procet-ure>
   asyāmeva mūṣāyāṃ tattailamapagatakalkavimalamāpūrya tasminnadhikam	asyAm-eva mUzAyAm tad-tElam-apagata-kalka-vimalam-ApUrya tasmin=-aDikam
   ūṣmātmani drutabījaprakṣepasamakālameva samāvartanīyaḥ sūtavarastadanu	UzmA-Atmani druta-bIja-prakzepa-sama-kAlam-eva samAvartanIyaH sUta-varaH-tadanu
   sadyo mūṣānanam ācchādanīyam etat tailāktapaṭakhaṇḍagranthibandhena	sadyas mUzA-Ananam AcCAdanIyam etat tEla-akta-pawa-KaNxa-granTi-banDena
   aruṇasitabījābhyām amunā sāraṇakarmaṇā militaścetsāritaḥ samyak	aruNa-sita-bIjAByAm amunA sAraNa-karmaNA militaH-ced-sAritaH samyak-
   saṃyamitaśca vijñeyaḥ pratisāritastu dviguṇabījena tadvadanusāritastu	saMyamitaH-ca vijQeyaH pratisAritaH-tu dviguNa-bIjena tadvat-anusAritaH-tu
   triguṇabījena atra trividhāyāmeva sāraṇāyāmaruṇasitakarmaṇoḥ krāmaṇārtham	triguNa-bIjena atra triviDAyAm-eva sAraNAyAm-aruNa-sita-karmaNoH krAmaNa-arTam
   īṣatpannagavaṅgau viśrāṇanīyāviti /	Izat-pannaga-vaFgO viSrANanIyO=-iti /
   <=> koṭivedhirasa>	<=> kowi-veDi-rasa>
   sārito jāritaścaiva punaḥ sāritajāritaḥ /	sAritaH jAritaH-ca-eva punar sArita-jAritaH /
   saptaśṛṅkhalikāyogātkoṭivedhī bhavedrasaḥ /	sapta-SRFKalikA-yogAt-kowi-veDI Bavet-rasaH /
   ityādīni karmāṇi punaḥ kevalamīśvarānugrahasādhyatvānna prapañcitāni //	ityAdIni karmANi punar kevalam-ISvara-anugraha-sADya-tvAt-na prapaQcitAni //
   RCint_3.159 //	RCint-_3.159 //
   śilayā nihato nāgo vaṅgaṃ vā tālakena śuddhena /	SilayA nihataH nAgaH vaFgam vA tAlakena SudDena /
   kramaśaḥ pīte śukle krāmaṇametatsamuddiṣṭam // RCint_3.160 //	kramaSas pIte Sukle krAmaNam-etat-samuddizwam // RCint-_3.160 //
   <viḍavaṭī>	<vixavawI>
   khoṭakaṃ svarṇasaṃtulyaṃ samāvarttaṃ tu kārayet /	Kowakam svarNa-saMtulyam samAvarttam tu kArayet /
   mākṣikaṃ kāntapāṣāṇaṃ śilāgandhaṃ samaṃ samam // RCint_3.161 //	mAkzikam kAntapAzANam SilA-ganDam samam samam // RCint-_3.161 //
   bhūnāgairmardayedyāmaṃ vallamātraṃ vaṭīkṛtam /	BUnAgEH-mardayet-yAmam valla-mAtram vawIkRtam /
   eṣā viḍavaṭī khyātā yojyā sarvatra jāraṇe // RCint_3.162 //	ezA vixavawI KyAtA yojyA sarvatra jAraNe // RCint-_3.162 //
   <mercury:: rañjana => śatavedhin>	<meH-cuH-y:: raQjanaH => Sata-veDin>
   daradaṃ mākṣikaṃ gandhaṃ rājāvartaṃ pravālakam /	daradam mAkzikam ganDam rAjAvartam pravAlakam /
   śilātutthaṃ ca kuṅkuṣṭhaṃ samacūrṇaṃ prakalpayet // RCint_3.163 //	SilA-tutTam ca kuFkuzWam sama-cUrNam prakalpayet // RCint-_3.163 //
   vargābhyāṃ pītaraktābhyāṃ kaṅguṇītailakaiḥ saha /	vargAByAm pIta-raktAByAm kaFguNI-tElakEH saha /
   bhāvayeddivasān pañca sūryatāpe punaḥ punaḥ // RCint_3.164 //	BAvayet-divasAn paQca sUrya-tApe punar punar // RCint-_3.164 //
   jāritaṃ sūtakhoṭaṃ ca kalkenānena saṃyutam /	jAritam sUta-Kowam ca kalkena-anena saMyutam /
   vālukāhaṇḍimadhyasthaṃ śarāvapuṭamadhyagam // RCint_3.165 //	vAlukA-haNxi-maDya-sTam SarAva-puwa-maDya-gam // RCint-_3.165 //
   tridinaṃ pācayeccullyāṃ kalko deyaḥ punaḥ punaḥ /	tri-dinam pAcayet-cullyAm kalkaH deyaH punar punar /
   rañjito jāyate sūtaḥ śatavedhī na saṃśayaḥ // RCint_3.166 //	raQjitaH jAyate sUtaH Sata-veDI na saMSayaH // RCint-_3.166 //
   <mercury:: rañjana (?)>	<meH-cuH-y:: raQjanaH (?)>
   lauhaṃ gandhaṃ ṭaṅkaṇaṃ dhmātametat tulyaṃ cūrṇair bhānubhekāhivaṅgaiḥ /	lOham ganDam waFkaNam DmAtam-etat tulyam cUrNEH BAnu-Beka-ahi-vaFgEH /
