   atha trayoviṃśaṃ pūraṇam	aTa trayoviMSam pUraNam
   vyajya sukha rajya māna hṛdayāḥ prāha 	vyajya suKa  rajya  mAna  hRdayAH prAha 
   [35] priyayā samam acyutaḥ śrī kṛṣṇaḥ śliṣṭatayā tasyāḥ sakāśād aviśliṣṭaḥ	[35] priyayA samam acyutaH SrI  kRzNaH Slizwa tayA tasyAH sakASAt aviSlizwaH
   sann adasīya śobhā kṛtāsaṅgair aṅgair yuṣmākaṃ tādṛśāṃ dṛśāṃ	san adasIya  SoBA kRta AsaFgEH aFgEH yuzmAkam tAdRSAm dRSAm
   kevala sva darśanajānandād apy atiśayitam ānandam utkarṣayan kiṃ	kevala  sva  darSana ja AnandAt api atiSayitam Anandam utkarzayan kim
   yuṣmat samīpam āpa? tatra tan mithuna ślāghā garbha vacanena hetuṃ	yuzmat  samIpam Apa? tatra tan  miTuna  SlAGA  garBa  vacanena hetum
   racayanti kānta iti | gokula rāja kula tilakasya yā kunda mālā, tasyāḥ	racayanti kAntaH iti | go kula rAja  kula tilakasya yA kunda mAlA, tasyAH
   kutrāpy alabhya saurabhyam iha	kutra api alaBya  sOraByam iha
   tad bhāra milaj java bhaṅga nibha vāyu saṅgataḥ prasarati | kīdṛśyāḥ?	tad  BAra  milaj  ja va  BaFga niBa  vAyu  saFgataH prasarati | kIdRSyAH?
   mālāyāḥ kāntā parama puṇyena parama sarva sādguṇyena tasyāpi lālasasya yā	mAlAyAH kAntA  parama   puNyena parama  sarva sAdguNyena tasya api lAlasasya yA
   paramāspada rūpā, tasyā aṅga saṅge kuca kuṅkuma paṅka kula saṅkulāyāḥ |	parama Aspada  rUpA, tasyAH aFga  saFge kuca kuFkuma  paFka kula  saFkulAyAH |
   ataḥ santata paricaya viśeṣeṇa tat saurabhya viśeṣaṃ parirabhya sphuṭam	atas santata  paricaya  viSezeNa tat  sOraBya  viSezam pariraBya sPuwam
   ābhis tathā samupalabhyata ity arthaḥ |	ABiH taTA samupalaByate iti arTaH |
   [36] atha tāṃ tad darśana jātena harṣeṇa samprati tad viyoga jātena	[36] aTa tAm tad  darSana  jAtena harzeNa samprati tad  viyoga  jAtena
   tarṣeṇa sthagita vacanām āśaṅkya, tena ca tayoḥ saṅgamam eva niṣṭaṅkya,	tarzeNa sTagita  vacanAm ASaFkya, tena ca tayoH saFgamam eva nizwaFkya,
   paramānandatas tadīya vilāsa viśeṣaṃ vandamānās, tatra	parama AnandataH tadIya  vilAsa  viSezam vandamAnAs, tatra
   pallavādi bhara namrāṇāṃ kamrāṇāṃ purūṇāṃ tarūṇām api	pallava Adi Bara  namrANAm kamrANAm purUNAm tarUNAm api
   tadīya sauvidallādi bhṛtya viśeṣa bhāvena tad vandanam utprekṣya, priyayā	tadIya  sOvidalla Adi BRtya  viSeza  BAvena tad  vandanam utprekzya, priyayA
   saha vihāra ratena tena teṣām abhinandanaṃ sandihānās, tayos	saha vihAra   ratena tena tezAm aBinandanam sandihAnAs, tayos
   tādṛśa vilāsāveśātiśayam āha bāhum iti |	tAdRSa  vilAsa AveSa atiSayam Aha bAhum iti |
   [37] atha tasyām udāsīnā vadanti sma 	[37] aTa tasyAm udAsInAH vadanti sma 
   latā imāḥ pṛcchata yā na lokitāḥ	latAH imAH pRcCata yAH na lokitAH
   purā taru śliṣṭatayāpi puṣpitāḥ |	purA taru Slizwa tayA api puzpitAH |
   sampraty amūḥ sparśa vaśād bakī ripoḥ	samprati amUH sparSa  vaSAt bakI ripoH
   puṣpānvitās tan nakha citram atra hi ||JGc_1,24.25|| [upajāti 12]	puzpa anvitAH tan naKa  citram atra hi ||JGc_1,24.25|| [upajAti 12]
   [38] atha tasmāl labdhavismaye, punar akasmād akhilaśubhapadyāni	[38] aTa tasmAt labDa vismaye, punar akasmAt aKila SuBa padyAni
   tadīya padanalinayor amalināni padāni dadhānā, vasudhā sudhām iva	tadIya pada nalinayoH amalinAni padAni daDAnA, vasuDA suDAm iva
   sudhāmāvaliṃ tāsām anyāsām api tadapratītispṛśi dṛśi kirati sma, yāni	suDAm Avalim tAsAm anyAsAm api tat apratIti spRSi dRSi kirati sma, yAni
   prekṣya cāmūbhir utprekṣyate sma 	prekzya ca amUBiH utprekzyate sma 
   iyaṃ kṣitir muni caritā tad uttaraṃ	iyam kzitiH muni  caritA tad  uttaram
   dade na hīty avamṛśatī punar dade |	dade na hi iti avamRSatI punar dade |
   dhvajāmbhjādy upavalitāṅghri lāñchana 	Dvaja amBja Adi  upavalita aFGri  lAQCana 
   pradarśanād iva likhatī tad āgamam ||JGc_1,24.26|| [rucirā*] ||	pradarSanAt iva liKatI tad  Agamam ||JGc_1,24.26|| [rucirA*] ||
   [39] kiyad dūre tu tābhis tat padāntarāṇy eva padāntarāṇi pratipannāni |	[39] kiyat  dUre tu tABiH tat pada antarANi eva pada antarANi pratipannAni |
   tathā hi 	taTA hi 
   tad anu tasya padaṃ padam antarā	tat anu tasya padam padam antarA
   padam anīdṛśam ādadṛśe param |	padam anIdRSam AdadRSe param |
   anatam alpam amadhya kṛśaṃ dhvajādy 	anatam alpam amaDya kRSam Dvaja Adi  
   upacitiṃ viparītadiśi śritam ||JGc_1,24.27|| [drutavilambitā*]	upacitim viparIta diSi Sritam ||JGc_1,24.27|| [druta vilambitA*]
   [40] tatra cedam anumīyate sma 	[40] tatra ca idam anumIyate sma 
   mṛgākṣyā lakṣyaṃ syād iha caraṇa cihnaṃ hari pada 	mRga akzyAH lakzyam syAt iha caraNa  cihnam hari pada 
   prasaktaṃ vaiśiṣṭyād api tu nahi pūrvatra kim api |	prasaktam vESizwyAt api tu na hi pUrvatra kim api |
   sphuṭaṃ tasmāt kāñcidd hṛdi vidadhad atrārpayad asau	sPuwam tasmAt kAQcidd hRdi vidaDat atra arpayat asO
   prasiddhā stenānāṃ jagati hi hatāṅka praśamitā ||JGc_1,24.28|| [śārdūla]	prasidDA stenAnAm jagati hi hata aFka praSamitA ||JGc_1,24.28|| [SArdUla]
   asavya savyau yūnor yat	asavya  savyO yUnoH yat 
   padāṅkau vyatimardinau |	pada aFkO vyatimardinO |
   tat tarkyate mithaḥ spaṣṭam	tat tarkyate miTas spazwam
   aṃsa nyasta prakoṣṭhatā ||JGc_1,24.29|| [anuṣṭubh]	aMsa nyasta  prakozWa tA ||JGc_1,24.29|| [anuzwuB]
   [41] tad evaṃ sādhāraṇīnāṃ varṇanam ākarṇya rādhā sakhyaḥ punar ālapanti	[41] tat evam sADAraNInAm varNanam AkarNya rADA  saKyaH punar Alapanti
   sma 	sma 
   paraspara karagra sphurad amanda khelāspadaṃ	paraspara karagra  sPura d a manda  KelA spadam
   pramatta kari dampati sthiti tayos tu yūnor yugam |	pramatta kari dampati  sTiti tayoH tu yUnoH yugam |
   yad atra vijane vane vigata śṛṅkhalaṃ līlayā	yat atra vijane vane vigata  SRFKalam lIlayA
   vidhāsyati paraṃ mahas tad atisuṣṭhu puṣṇāti naḥ ||JGc_1,24.30|| [pṛthvī]	viDAsyati param mahaH tat atisuzWu puzNAti naH ||JGc_1,24.30|| [pRTvI]
   [42] atha tatra suhṛdāṃ vacanam 	[42] aTa tatra suhRdAm vacanam 
   anayārādhito nūnaṃ bhagavān harir īśvaraḥ |	anayA ArADitaH nUnam BagavAn hariH ISvaraH |
   yan no vihāya govindaḥ prīto yām anayad rahaḥ ||[BhP 10.30.28] iti |	yat naH vihAya govindaH prItaH yAm anayat rahaH ||[Bhj 10.30.28] iti |
   [43] ayam arthaḥ: nūnam anayā param anayayā ko' py anaśvara śaktir	[43] ayam arTaH: nUnam anayA param anayayA kaH a pi anaSvara  SaktiH 
   aṅgīkṛta bhakta bhaktir īśvara eva nirbādhitam ārādhitaḥ, na tu	aFgIkRta Bakta  BaktiH ISvaraH eva nirbADitam ArADitaH, na tu
   devatā mātram | sa ca sakala harit pati patiḥ śrī harir eva, na ca haraḥ	devatA  mAtram | sa ca sakala  harit pati patiH SrI hariH eva, na ca haraH
   sṛṣṭi karaś ca | haritāyām api sarvāvatāra vistāravān svayaṃ bhagavān iti	sRzwi karaH ca | haritAyAm api sarva avatAra  vistAravAn svayam BagavAn iti
   sambhāvitī bhavati na cānyas tad aṃśatayāpi labdha praśaṃsaḥ |	samBOvitI  Bavati na ca anyaH tad  aMSatayA api labDa  praSaMsaH |
   [44] tādṛśa camatkāra kāraṇam apy avatārayanti, yan naḥ iti | yāṃ khalu	[44] tAdRSa  camatkAra  kAraNam api avatArayanti, yat naH iti | yAm Kalu
   guṇa rūpa mahasā sahasā nikhila hṛdayaṃ vindamānaḥ śrī govindaḥ svayam	guNa   rUpa mahasA sahasA niKila  hRdayam vindamAnaH SrI   govindaH svayam
   ayaṃ nināya, na tu na iva na nināya | tat paripāṭī ca praty urasaṃ vidhāya	ayam ninAya, na tu naH iva na ninAya | tat paripAwI ca praty urasam viDAya
   prīti rīti parītatayā kṛtā, na tu tad viparītatayā | prītir api	prIti  rIti parIta tayA kRtA, na tu tad  viparIta tayA | prItiH api
   smara mahaḥ pravaha rahaḥ saṃhatatayā, na tu sāmānyatā mānyatayā |	smara  mahaH  pravaha  rahaH  saMhata tayA, na tu sAmAnya tA mAnya tayA |
   rahaḥ saṃhananam api śarma sampad aṃhati bṛṃhita guṇa baṃhitatayā, na tu	rahaH  saMhananam api Sarma  sampad  aMhati  bRMhita guNa  baMhita tayA, na tu
   tad asaṃhitatayā | tac ca sarva guṇa vismāyikānām apy asmākaṃ	tad  asaMhita tayA | tat ca sarva  guNa  vismAyikAnAm api asmAkam
   tyāga jāgarūka samayata eva, na tu tad vinimayata iti svayaṃ yan gacchann	tyAga  jAgarUka  samayate eva, na tu tat  vinimayate iti svayam yat gacCan= 
   eva nināya iti |	eva ninAyaH iti |
   [45] tad evam eva manyāmahe yā khalu dhanyā rādhābhidhā vidhātrā	[45] tat evam eva manyAmahe yA Kalu DanyA rADA aBiDA viDAtrA
   niḥsādhāraṇa nāma guṇa rūpatayā nirmitā, saiva daiva kṛtānukulyā bhavitum	niHsADAraNa  nAma guNa  rUpa tayA nirmitA, sA eva dEva kRta anukulyA Bavitum
   arhati | tatra yadyapi tādṛśa bhagavad ārādhana sādhanatayā	arhati | tatra yadi api tAdRSa  Bagavat  ArADana  sADana tayA
   tan nāma nirvacanaṃ sacita racanaṃ bhaved, athāpi	tan  nAma  nirvacanam sacita racanam Bavet , aTa api
   phala sambandha nirbandha eva śreyān iti rādhayati govindaṃ, govindena vā	Pala  sambanDa  nirbanDaH eva SreyAn iti rADayati govindaM, govindena vA
   rādhyata iti niruktir eva yukti matīti mati gamyam iti |	rADyate iti niruktiH eva yukti  matI iti mati  gamyam iti |
   [46] atha punas tasyām udāsīnāḥ procuḥ 	[46] aTa punar tasyAm udAsInAH procuH 
   ayi kalayata ete reṇavo' py atra dhanyā	ayi kalayate ete reNavaH a pi atra DanyA
   yad ajita pada padma sparśa bhājaḥ sphuranti |	yat ajita  pada  padma  sparSa  BAjaH sPuranti |
   dhruvam agham apahartuṃ brahma bhargābdhi kanyā	Druvam aGam apahartum brahma Barga abDi  kanyA
   dadhati śirasi yāṃs tad darśa bhāgyaṃ stavāma ||JGc_1,24.31|| [mālinī]	daDati Sirasi yAn tad  darSa BAgyam stavAma ||Ju c_1,24.31|| [mAlinI]
   [47] atha kācit tasyāṃ pratispardhinī vardhamāna matsarāgnir	[47] aTa kAcid tasyAm pratisparDinI varDamAna  matsara agniH 
   dhūma śikhāyamānaṃ vacanam ujjagāra 	DUma SiKAyamAnam vacanam ujjagAra 
   bhavati sukhadam asmin śrī harer aṅghri cihnaṃ	Bavati suKa dam asmin SrI  hareH aFGri cihnam
   yadi na sajati tasyā hanta durnīti matyāḥ |	yadi na sajati tasyAH hanta durnIti matyAH |
   kalayata bata dhārṣṭyaṃ suṣṭhu bhāvatka bhogyaṃ	kalayata bata DArzwyam suzWu BAvat ka Bogyam
   tad adhara madhu juṣṭaṃ kurvatī sā nililye ||JGc_1,24.32|| [mālinī]	tad  aDara  maDu juzwam kurvatI sA nililye ||JGc_1,24.32|| [mAlinI]
   [48] atha tasyāḥ sakhyaḥ punar ūcuḥ 	[48] aTa tasyAH saKyaH punar UcuH 
   katham ahaha padāni tāni tasyāḥ	kaTam ahaha padAni tAni tasyAH
   subhagatarāṅka padāni na sphuranti |	suBaga tara aFka  padAni na sPuranti |
   api hṛdi dadhad eva tāṃ nininye	api hRdi daDat eva tAm nininye
   sakhi dayitāṃ dayitaḥ sujāta gātrīm ||JGc_1,24.33|| [puṣpitāgrā]	saKi dayitAm dayitaH sujAta  gAtrIm ||JGc_1,24.33|| [puzpita agrA]
   [49] atha punaḥ pratispardhinīnāṃ vacanam 	[49] aTa punar pratisparDinInAm vacanam 
   paśyotsaṅga kṛtāṅganā valayinaḥ kāmāturasyāsakṛt	paSya utsaFga kRta aFganA a valayinaH kAma Aturasya asakRt 
   tad vastrādika saṃvṛti prathanayā vyagrasya lakṣmāṇy ataḥ |	tad  vastra Adika  saMvRti  praTanayA vyagrasya lakzmANi atas |
   nimna vyasta padāni mālya ghusṛṇāstīrṇāni gharmāmbhasā	nimna  vyasta padAni mAlya  GusRNa AstIrNAni Garma amBasA
   bhūyaḥ siktatamāni velli talatā kṣepānta vartmāni ca ||JGc_1,24.34||	BUyas siktatamAni velli ta latA  kzepa anta  vartmAni ca ||JGc_1,24.34||
   [śārdūla]	[SArdUla]
   [50] tasyāḥ sakhīnāṃ vacanam 	[50] tasyAH saKInAm vacanam 
   nyag jānu dvaya lakṣaṇasya purataḥ sūkṣmaṃ padāṅka dvayaṃ	nyag ja anu  dvaya  lakzaNasya puratas sUkzmam pada aFka  dvayam
   vaimukhyena dhṛtaṃ vyanakti sudṛśas tasyās tad ūrvoḥ sthitim | iti |	vEmuKyena DRtam vyanakti sudRSaH tasyAH tad  UrvoH sTitim | iti |
   [51] atha spardhinīnām 	[51] aTa sparDinInAm 
   tasmin garbhaka mālya khaṇḍa patanād uddaṇḍam ālakṣyate	tasmin garBaka mAlya   KaNxa  patanAt uddaNxam Alakzyate
   kāminyāḥ kila kāmukena racitā keśasya veśakriyā ||JGc_1,24.35|| [śārdūla]	kAminyAH kila kAmukena racitA keSasya veSa kriyA ||Ju c_1,24.35|| [SArdUla]
   kiṃ ca 	kim ca 
   atrāpraguṇatābaddhā mithaḥ paddhati paddhatiḥ |	atra apraguNa tA badDA miTas padDati  padDatiH |
   rādhā mādhavayoḥ krīḍāṃ nirvrīḍāṃ vedayaty asau ||JGc_1,24.36|| [anuṣṭubh]	rADA  mADavayoH krIxAm nirvrIxAm vedayati asO ||JG= _1,24.36|| [anuzwuB]
   [52] atha tāḥ sanijavṛndayā vṛndayā pariṣkṛtasya latāmandiravṛndasya	[52] aTa tAH sa nija vRndayA vRndayA parizkRtasya latA mandira vRndasya
   dvāraṃ tayoḥ praveśadvāraṃ vivikṣanti sma |	dvAram tayoH praveSa dvAram vivikzanti sma |
   [53] tatra tayā samadhutayā madhuraṃ puṣpavṛndaṃ tathā praveśadeśe	[53] tatra tayA sa maDutayA maDuram puzpa vRndam taTA praveSa deSe
   niveśitam, yathā tallolubha śubhaṃyumadhukaranikarā eva dauvārikā iva	niveSitam, yaTA tad lolu Ba Su BaMyumaDukara nikarAH eva dOvArikAH iva
   nivārakā jātāḥ | [54] te hi praveśārambhata eva dhṛtasaṃrambhāḥ praviśatām	nivArakAH jAtAH | [54] te hi praveSa AramBataH eva DRta saMramBAH praviSatAm
   abhimukhaṃ dhāvantaḥ svakaśilīmukhatām arthāntareṇāpi prathayanti sma |	aBimuKam DAvantaH svaka SilImuKa tAm arTa antareNa api praTayanti sma |
   [55] atha kathañcana ślathatāṃ cirataḥ prathayamāneṣu teṣu kramaśaḥ sarvās	[55] aTa kaTaQcana SlaTa tAm cirataH praTayamAnezu tezu kramaSas sarvAs
   tarvādipallavavellanapūrvakam āviddhapaddhatitayā praviśya param apūrvaṃ	tarvAdi pallava vellana pUrvakam AvidDa pat hati tayA praviSya param apUrvam
   tad dhāma niśāmayāmāsuḥ, yathā 	tat DAma niSAmayAmAsuH, yaTA 
   pika prathita pañcamaṃ bhramara pūrṇa mandra svaraṃ	pika praTita paQcamam Bramara  pUrNa mandra svaram
   maruc calita pallava prakaṭa vādyam udyat prabham |	maruc  calita pallava  prakawa vAdyam udyat  praBam |
   bhujaṅga ripu nartana jñapita cañcalāvāri bhṛd 	BujaFga  ripu nartana  jQa pita  caQcalA vAri BRt  
   vibhā valita tad dvayātula sabhāsad aṅgīkṛtam ||JGc_1,24.37|| [pṛthvī]	viBA valita  tad  dvaya atula  saBA sat  aFgIkRtam ||JGc_1,24.37|| [pRTvI]
   vicitra kusumaiś cita sthalam analpa talpākulaṃ	vicitra  kusumEH cita sTalam analpa  talpa Akulam
   bahu vyajana cāmaraṃ surabhi vīṭikā sampuṭam |	bahu  vyajana  cAmaram suraBi vIwikA  sampuwam |
   sa candra vara candanāguru gurūru pātrānvitaṃ	sa candra  vara  candana aguru guru Uru  pAtra anvitam
   latā gṛha rahaḥ puraṃ dhvanayati sma tāḥ praty adaḥ ||JGc_1,24.38||	latA gRha  rahaH  puram Dvanayati sma tAH prati adaH ||JGc_1,24.38||
   [pṛthvī]	[pRTvI]
   (yugmakam)	(yugmakam)
   ayaṃ kusuma saṃcayaś caraṇa pāta jāta ślathas	ayam kusuma  saMcayaH caraNa pAta  jAta SlaTa s
   tad etad api talpakaṃ vighaṭitāṅga bhaṅgī sthiti |	tat etat api talpakam viGawita aFga BaFgI  sTiti |
   idaṃ vyajana cāmaraṃ galita yantrajāndolanaṃ	idam vyajana  cAmaram galita yantra jAndolanam
   tathā surabhi vīṭikādy api vibhukta muktī kṛtam ||JGc_1,24.39|| [pṛthvī]	taTA suraBi  vIwikA Adi api viBukta muktI kRtam ||JGc_1,24.39|| [pRTvI]
   tataḥ kim iva pṛcchatha sva vadaveta mām ujjhitaṃ	tatas kim iva pRcCaTa sva vat aveta mAm ujJitam
   paraṃ drutam itaḥ paraṃ vrajata tatra taṃ prāpnuta |	param drutam itas param vrajata tatra tam prApnuta |
   amī pika mukhā mama sphuṭam upeyur utpitsutāṃ svayaṃ	amI pika muKAH mama sPuwam upeyuH utpitsutAm svayam
   bhavati duḥkhite bhavati kasya vāṅgīkṛtiḥ? ||JGc_1,24.40|| [pṛthvī]	Bavati duHKite Bavati kasya vA aFgIkRtiH? ||JGc_1,24.40|| [pRTvI]
   (yugmakam)	(yugmakam)
   kiṃ ca 	kim ca 
   idaṃ mṛga madāvṛtaṃ ghusṛṇa bindu mandokṣitaṃ	idam mRga mada AvRtam GusRNa  bindu manda ukzitam
   kṣitaṃ śayanakaṃ tataḥ sa parivṛtti lakṣmāpy adaḥ |	kzitam Sayanakam tatas sa  parivRtti lakzmA api adaH |
   paraspara viparyaya prathiti śāli yad bāndhavaṃ	paraspara  viparyaya  praTiti  SAli yat bAnDavam
   kulaṃ katham amuṣya na sphuratu pāribhāvī daśā ||JGc_1,24.41|| [pṛthvī]	kulam kaTam amuzya na sPuratu pAriBAvI daSA ||JGc_1,24.41|| [pRTvI]
   [56] atha tayor vṛttam anuvṛttyatām | [57] yadā tu nikuñja pura dvāri	[56] aTa tayoH vRttam anuvRttyatAm | [57] yadA tu nikuQja pura dvAri
   praveśa kṛtāveśānāṃ tāsāṃ kolāhala vikalatāvakalitā, tadā	praveSa  kRta AveSAnAm tAsAm kolAhala vikala tA avakalitA, tadA
   sambhrama valitena rādhā lalitena tena tataḥ pracalana kalanāya tasyāḥ	samBrama valitena rADA  lalitena tena tatas pracalana  kalanAya tasyAH
   svasya ca cela sambhālanādikam ārabdham, na tu labdham | kintu 	svasya ca cela  samBAlana Adikam ArabDam, na tu labDam | kintu 
   utkarṇatā samavakarṇana vastra veṣā 	utkarNatA  samavakarNana vastra vezA 
   dhānāni yā vivaśatā nijagāra tāṃ ca |	DAnAni yA vivaSatA nijagAra tAm ca |
   tūrṇir yadā nigirati sma tadā murārir	tUrNiH yadA nigirati sma tadA murAriH 
   labdha kṣaṇaḥ praṇayinī valitaṃ nililye ||JGc_1,24.42|| [vasantatilakā] ||	labDa  kzaNaH praNayinI valitam nililye ||Ju c_1,24.42|| [vasanta tilakA] ||
   [58] athāgrima kathā prathanāya parāmṛśyate |	[58] aTa agrima kaTA  praTanAya parAmRSyate |
   [59] na caivam api tāsāṃ tasya ca kāmukatā sāmānyaṃ manyatām |	[59] na ca evam api tAsAm tasya ca kAmuka tA  sAmAnyam manyatAm |
   tan nikāma katā nivāraṇasya karaṇasya kāraṇaṃ svarūpaṃ tāvan nirūpyate 	tan nikAma ka tA  nivAraNasya karaNasya kAraNam svarUpam tAvat nirUpyate 
   preta prāya śarīrāḥ sarve te kāmukāḥ kalitāḥ |	preta  prAya  SarIrAH sarve te kAmukAH kalitAH |
   kṛṣṇaḥ sāndrānandas tasya ca rādhā mukhāḥ śobhāḥ ||JGc_1,24.43|| [upagīti]	kRzNaH sAndra AnandaH tasya ca rADA  muKAH SoBAH ||JGc_1,24.43|| [upagIti]
   [60] yathoktam 	[60] yaTA uktam 
   tvakśmaśru roma nakha keśa pinaddham antar	tvac SmaSru   roma  naKa  keSa pinadDam antar
   māṃsāsthi rakta kṛmi viṭ kapha pitta vātam |	mAMsa asTi  rakta  kRmi  viw  kaPa  pitta  vAtam |
   jīvac chavaṃ bhajati kāntam ativimūḍhā	jIvac Cavam Bajati kAntam ati vimUXA
   yā te padābja makarandam ajighratī strī ||[BhP 10.60.45]	yA te pada abja  makarandam ajiGratI strI ||[Bhj 10.60.45]
   kṛṣi bhūr vācakaḥ śabdo ṇaś ca nirvṛti vācakaḥ |	kRzi BUH  vAcakaH SabdaH NaH ca nirvRti vAcakaH |
   tayor aikyaṃ paraṃ brahma kṛṣṇa ity abhidhīyate ||	tayoH Ekyam param brahma kRzNaH iti aBiDIyate ||
   narākṛti paraṃ brahma |	nara AkRti param brahma |
   tvayy eva nitya sukha bodha tanāv anante | [BhP 10.14.22],	tvayi eva nitya  suKa  boDa tanO anante | [Bhj 10.14.22],
   tābhir vidhūta śokābhir bhagavān acyuto vṛtaḥ |	tABiH viDUta  SokABiH BagavAn acyutaH vRtaH |
   vyārocatādhikaṃ tāta puruṣaḥ śaktibhir yathā ||[BhP 10.32.10] iti ca |	vyArocata aDikam tAta puruzaH SaktiBiH yaTA ||[Bhj 10.32.10] iti ca |
   [61] bhāvaś ca na kāmatāṃ bhāvayate, kintu tan nibha prema viśeṣatām eva,	[61] BAvaH ca na kAma tAm BAvayate, kintu tan  niBa  prema  viSeza tAm eva,
   yataḥ 	yatas  
   utkaṇṭhā prāpti yogaḥ pratipada milanāśleṣa cumbādi keliḥ	utkaNWA prApti yogaH pratipada  milana ASleza  cumba Adi keliH
   śrī gopī kṛṣṇayor apy avara taruṇayor apy amī tulya rūpāḥ |	SrI  gopI  kRzNayoH api avara taruNayoH api amI tulya  rUpAH |
   kintu prācor mithaḥ syur nirupādhi hitatāmātra śarma pradhānās	kintu prAcoH miTas syuH nirupADi  hita tA mAtra Sarma  praDAna aH 
   te' rvācor ātma tṛpti pravalana paratāmātra kptāḥ prathante	te a rvAcoH Atma  tRpti  pravalana paratA mAtra  kptAH praTante
   ||JGc_1,24.44|| [sragdharā]	||JGc_1,24.44|| [sragDarA]
   [62] yathaiva svayam eva tās tat prema devatā vadiṣyanti 	[62] yaTA eva svayam eva tAH tat  prema  devatAH vadizyanti 
   yat te sujāta caraṇāmbu ruhaṃ staneṣu	yat te su jAta  caraNa ambu ruham stanezu
   bhītāḥ śanaiḥ priya dadhīmahi karkaśeṣu | [BhP 10.31.19] ity ādinā |	BItAH SanEs priya daDImahi karkaSezu | [Bhj 10.31.19] iti AdinA |
   [63] tasmāl lakṣaṇaviśeṣāt tatpremaviśeṣa evāsau kāmaveśāyata iti	[63] tasmAt lakzaNa viSezAt tad prema viSezaH eva asO kAma veSAyate iti
   kāmatayo pacaryate na tu vastutas tattayā smaryate | atas	kAmatayaH  pacaryate na tu vastutas tad tayA smaryate | atas 
   tatkeliśrutiphalaśrutir api tathā viśrutiḥ 	tad keli Sruti Pala SrutiH api taTA viSrutiH 
   vikrīḍitaṃ vraja vadhūbhir idaṃ ca viṣṇoḥ	vikrIxitam vraja vaDUBiH idam ca vizNoH
   śraddhānvito' nuśṛṇuyād atha varṇayed yaḥ |	SradDA anvitaH a nuSRNuyAt aTa varNayet yaH |
   bhaktiṃ parāṃ bhagavati parilabhya kāmaṃ	Baktim parAm Bagavati parilaBya kAmam
   hṛd rogam āśv apahinoty acireṇa dhīraḥ ||[BhP 10.33.39] iti |	hRd  rogam ASu apahinoti acireNa DIraH ||[Bhj 10.33.39] iti |
   [64] tāsām eṣa ca bhāva viśeṣataḥ khalu sarveṣām api mahatāṃ mahattarāṇāṃ	[64] tAsAm eza ca BAva viSezataH Kalu sarvezAm api mahatAm mahattarANAm
   mahattamānām apy anveṣaṇa padavīm anavacchinnatayā navīkaroti | yathā ca	mahattamAnAm api anvezaNa padavIm anavacCinna tayA navIkaroti | yaTA ca
   prathayiṣyate śrīmad uddhavena 	praTayizyate SrImat  udDavena 
   etāḥ paraṃ tanu bhṛto bhuvi gopa vadhvo	etAH param tanu BRtaH Buvi gopa vaDvaH 
   govinda evam akhilātmani rūḍha bhāvāḥ |	govinda evam aKilAtmani rUXa BAvAH |
   vāñchanti yad bhava bhiyo munayo vayaṃ ca kiṃ brahma janmabhir	vAQCanti yat Bava BiyaH munayaH vayam ca kim brahma janmaBiH 
   ananta kathā rasasya ||[BhP 10.47.58]	ananta  kaTA  rasasya ||[Bhj 10.47.58]
   [65] ataeva tādṛśa tat prema tṛṣṇaḥ śrī kṛṣṇaś ca tena svasya vaśatām	[65] ataeva tAdRSa tat  prema  tRzNaH SrI kRzNaH ca tena svasya vaSatAm
   urīkariṣyati 	urIkarizyati 
   na pāraye' haṃ niravadya saṃyujāṃ	na pAraye a ham niravadya  saMyujAm
   sva sādhu kṛtyaṃ vibudhāyuṣāpi vaḥ | [BhP 10.32.22] ity ādinā |	sva sADu  kRtyam vibuDa AyuzA api vaH | [Bhj 10.32.22] iti AdinA |
   [66] tad evaṃ sati tāsu sarva evānye' pi guṇāḥ svata evānuguṇā bhavanti 	[66] tat evam sati tAsu sarve eva anye a pi guNAH svatas eva anuguNAH Bavanti 
   yasyāsti bhaktir bhagavaty akiñcanā	yasya asti BaktiH Bagavati akiQcanA
   sarvair guṇais tatra samāsate surāḥ | [BhP 5.18.12] itivat |	sarvEH guNEH tatra samAsate surAH | [Bhj 5.18.12] iti vat |
   [67] tataś caivaṃ varṇyate 	[67] tatas ca evam varNyate 
   yad amita rasa śāstre vyañji vaidagdhya vṛndaṃ	yat  amita rasa SAstre vyaQji vEdagDya  vRndam
   tad aṇum api na vettuṃ kalpate kāmi lokaḥ |	tat  aNum api na vettum kalpate kAmi lokaH |
   tad akhilam api yasya prema sindhau na kiñcin	tat aKilam api yasya prema  sinDO na kiQcin
   mithunam ajita gopī rūpam etad vibhāti ||[*8] [mālinī]	miTunam ajita  gopI  rUpam etat viBAti ||[*8] [mAlinI]
   [68] tad evaṃ sati ca sarvāsu tāsu śrī rādhā punar asādhāraṇatāṃ dhārayati	[68] tat evam sati ca sarvAsu tAsu SrI  rADA punar asADAraNa tAm DArayati
   | yathoktaṃ, anayārādhito nūnam ity ādinā | [69] tad evam ākalite	| yaTA uktaM, anayA ArADitaH nUnam iti AdinA | [69] tat evam Akalite
   nirgalite phalitam avakalitaṃ kriyate |	nirgalite Palitam avakalitam kriyate |
   [*8] This verse is marked as a quote in Puri Das' edition, but I have no	[*8] ThiH verse iH market as a quote id Puri Dasa edition, but I have no
   evidence that it is indeed so.	evidence Tat id iH indeet so.
