   // smṛtyadhyāyaḥ //	// smRti-aDyAyaH //
   // dvitīyamāhnikam //	// dvitIyam-Ahnikam //
   ata eva hi prāgartajābhāvādivijñānamapi nirvyūḍham; dṛṣṭa eva hi	atas eva hi prAgarta-ja-aBAva-Adi-vijQAnam-api nirvyUXam; dRzwaH eva hi
   deśakālādisaṃsargādiviśeṣaḥ paścāt pratiyogismaraṇādimataḥ puruṣasya	deSa-kAla-Adi-saMsarga-Adi-viSezaH paScAt pratiyogi-smaraNa-AdimataH puruzasya
   tadabhāvātmanā dhiyamadhirohati, smartavyasya smaraṇābhāvādvā; tatra	tad-aBAva-AtmanA Diyam-aDirohati, smartavyasya smaraNa-aBAvAt-vA; tatra
   tadabhāvānumānam /	tad-aBAva-anumAnam /
   evamatiriktābhāvapakṣepi nirmūlā pramāṇāntarakḷptiḥ; saghaṭaṃ	evam-atirikta-aBAva-pakzepi nirmUlA pramANa-antara-k?ptiH; sa-Gawam
   bhūtalamitivat aghaṭaṃ bhūtalamityapi hyaparokṣā pratītiḥ; na	BU-talam-iti-vat aGawam BU-talam-iti-api hi-aparokzA pratItiH; na
   cādhikaraṇagrahaṇopakṣīṇamindriyam, guṇādiṣvapi prasaṅgāt;	ca-aDikaraNa-grahaNa-upakzINam-indriyam, guNa-Adizu-api prasaFgAt-;
   atirekavadanatirekepyajñātakaraṇatvādīnyanumānāni ca sulabhānīti /	atireka-vat-anatiH-ekepI-ajQAta-karaNa-tva-AdIni-anumAnAni ca sulaBAni-iti /
   saṃbhavopyanumānameva, sahasre śataṃ saṃbhavati ityādeḥ	saMBava-upyanumAnam-eva, sahasre Satam saMBavati iti-AdeH
   pūrvānubhūsahasragatavyāptibodhanatvāt, saṃbhavati kṣatriye śairyamityādeḥ	pUrva-anuBU-sahasra-gata-vyApti-boDana-tva-at, saMBavati kzatriye SEryam-iti-AdeH
   saṃdehātmakatvenāpramāṇatvāt /	saMdeha-Atmaka-tvena-apramANa-tvAt /
   avirodhaniścayarūpatvepi tadavirodhaniścāyakapramāṇāntare viśramaḥ /	aviroDa-niScaya-rUpa-tvepi tad-aviroDa-niScAyaka-pramANa-antare viSramaH /
   aitihyaṃ tu pramāṇamūlaṃ cedāgamaḥ; tadābhāsamūlaṃ cet tadābhāsaḥ /	Etihyam tu pramANa-mUlam ced-AgamaH; tad-ABAsa-mUlam ced tad-ABAsaH /
   evaṃ ceṣṭālipyakṣarādikamapyabhiprāyavarṇaviśeṣādyavinābhūtamanumānameva /	evam cezwA-Alipi-akzara-Adikam-api-aBiprAya-varNa-viSeza-Adi-avinABUtam-anumAnam-eva /
   ceṣṭāyāṃ varadanārāyaṇabhaṭṭārakairevamuktam--- "śabdasya	cezwAyAm vara-da-nArAyaNa-BawwArakEH-evam-uktam-- "Sabdasya
   vyavahārasyānukāraśceṣṭayāpi hi /	vyavahArasya-anukAraH-cezwayA-api hi /
   kriyate śābdavijñānayogināṃ svārthabodhikā //	kriyate SAbda-vijQAna-yoginAm sva-arTa-boDikAH //
   anādivyavahāreṣu ceṣṭā vijñātaśaktikāḥ /	anAdi-vyavahArezu cezwAH vijQAta-SaktikAH /
   bodhikāḥ syuryathādhyakṣamiti ced bhavato matam //	boDikAH syuH-yaTA-aDyakzam-iti ced BavataH matam //
   ceṣṭā giro vā svīkāryāḥ parapratyāyanāya hi /	cezwAH giraH vA svIkAryAH para-pratyAyanAya hi /
   anādayo girāmevānāditā jyāyasī tadā //	anAdayaH girAm-eva-anAditA jyAyasI tadA //
   ceṣṭā sāmayikī śābdavyavahārānusāriṇī /	cezwA sAmayikI SAbda-vyavahAra-anusAriNI /
   asyaivaṃ bodhiketyevaṃ bharatādyāgame sthitā //	asya-evam boDikA-iti-evam Barata-Adi-Agame sTitAH //
   dṛśyatenādirāmnāyosmaryamāṇapraṇetṛkaḥ /	dRSyatena-AdiH-AmnAyosmaryamANa-praNetRkaH /
   " ityādi /	" ityAdi /
   tattvaratnākare tvevamuktam--- "vyutpannabodhyabodhakaniyamaṃ cet ceṣṭitaṃ	tattva-ratna-Akare tu-evam-uktam-- "vyutpanna-boDya-boDaka-niyamam ced cezwitam
   śābdam /	SAbdam /
   aniyatamapi sahadṛṣṭyā smārakamiti na pṛthageṣṭavyam iti /	aniyatam-api saha-dRzwyA smArakam-iti na pRTak-ezwavyam iti /
   lipyakṣareṣu tu ayaṃ gakāraḥ ayaṃ ghakāraḥ iti varṇātmanā	lipi-akzarezu tu ayam gakAraH ayam GakAraH iti varNa-AtmanA
   jñānamapramāṇameva /	jQAnam-apramANam-eva /
   etena cihnenedamakṣaraṃ jānīhītyabhiprāyeṇalipyakṣarasaṃbandhagrāhakāṇāṃ	etena cihnena-idam-akzaram jAnIhi-iti-aBiprAyeNa-lipi-akzara-saMbanDa-grAhakANAm
   pravṛttiḥ /	pravRttiH /
   tataśca vyāptisiddhiḥ /	tatas-ca vyApti-sidDiH /
   eṣā lipiretadvarṇaviśeṣābhiprāyapūrvikā,	ezA lipiH-etad-varNa-viSeza-aBiprAya-pUrvikA,
   bhramādirahitavarṇābhiprāyavatpuruṣalikhitaitallipitvāt,	Brama-Adi-rahita-varNa-aBiprAya-vat-puruza-liKita-etat-lipitvA-at,
   saṃpratipannavyutpattikālalipivat, ityādirūpaḥ prayogo draṣṭavyaḥ /	saMpratipanna-vyutpatti-kAla-lipivat, ityAdi-rUpaH prayogaH drazwavyaH /
   yattu pratibhāyāmuktaṃ tattvaratnākare--- "nanu ca pratibhā kācid	yat-tu pratiBAyAm-uktam tattva-ratna-Akare-- "nanu ca pratiBA kAcid-
   yathārthā mānamiṣyatām /	yaTArTAH mAnam-izyatAm /
   bāhyārthanairapekṣyeṇa bāhyajñānakṣamāstu sā //	bAhya-arTa-nEH-apekzyeNa bAhya-jQAna-kzamAH-tu sA //
   viśiṣṭakālapuruṣādyapekṣotkarṣasaṃbhavā /	viSizwa-kAla-puruza-Adi-apekzA-utkarza-saMBavAH /
   satyaṃ, kālādibhedastu durvivecosmadādibhiḥ //	satyaM, kAla-Adi-BedaH-tu durviveca-usmad-AdiBiH //
   sannapyasau vyavahṛtau nopayogītyupekṣyate /	san=-api-asO vyavahRtO na-upayogI-iti-upekzyate /
   pratibhāyāḥ phalaṃ dṛṣṭaṃ yadā prāmāṇyaniścayaḥ //	pratiBAyAH Palam dRzwam yadA prAmANya-niScayaH //
   tadanyataḥ kṛtārthatvāt prekṣyate na parīkṣakaiḥ /	tad-anyatas kRtArTa-tvAt prekzyate na parIkzakEH /
   puṇyeṣu puruṣeṣveṣā bhūyiṣṭhaṃ satyadarśinī //	puNyezu puruzezu-ezA BUyizWam satya-darSinI //
   tasmāt patañjaliḥ prāha pratibhā ceti tāṃ pramām" //	tasmAt pataQjaliH prAha pratiBA ca-iti tAm pramAm" //
   iti, tadapi prāguktayogipratyakṣaviśeṣaviṣayameva /	iti, tat-api prAc-ukta-yogi-pratyakza-viSeza-vizayam-eva /
   nanvevaṃ, tadapi pramāṇatritvaṃ catuṣṭvaṃ vānupapannam,	nanu-evaM, tat-api pramANa-tri-tvam catuzwvam vA-anupapannam,
   pratyakṣaparokṣarūpeṇa dvitvasyaiva yuktatvāt, iti cenna, atiprasaṅgāt /	pratyakza-parokza-rUpeNa dvi-tvasya-eva yukta-tva-at, iti ca-id-na, atiprasaFgAt /
   tathāhi--- bahuṣvekaikamuddhṛtya tadanyeṣvaikarāśyataḥ /	taTA-hi-- bahuzu-ekEkam-udDRtya tad-anyezu-Eka-rASyataH /
   dvaidhakḷptau ghadādāvapyevameva prasajyate //	dvEDak?ptO GadAdO=-api-evam-eva prasajyate //
   anumānanumānatvaśabdāśabdavibhāgataḥ /	anumAna-numAna-tva-SabdA-Sabda-viBAgataH /
   pramāṇadvitvamevaṃ te vada kiṃ vāna rocate //	pramANa-dvi-tvam-evam te vada kim vAna rocate //
   pratyakṣasya tadanyābhyāṃ vaijātyagrahaṇādyadi /	pratyakzasya tad-anyAByAm vEjAtya-grahaNAt-yadi /
   tayorapi svetarābhyāṃ vaijātyaṃ sphuṭameva naḥ //	tayoH-api svetarAByAm vEjAtyam sPuwam-eva naH //
   atokṣaliṅgaśabdākhyāsādhāraṇanidānataḥ /	atokzaliFga-Sabda-AKyAsA-DAraNa-nidAnataH /
   upalakṣyaṃ pramātritvaṃ catuṣṭvaṃ vāpi saṃsmṛteḥ //	upalakzyam pramAtri-tvam catuzwvam vA-api saMsmRteH //
   spaṣṭamaspaṣṭamiti ca jainā yad dvaidhamūcire /	spazwam-aspazwam-iti ca jEnAH yat dvEDam-Ucire /
   tatpratyakṣaparokṣatvavibhāgānna viśiṣyate //	tad-pratyakza-parokza-tva-viBAgAt-na viSizyate //
   ato na tāvati dvaidhe sādhite vivadāmahe /	atas na tAvati dvEDe sADite vivadAmahe /
   parokṣasyaikamānatvaṃ durvacaṃ bhedasādhanāt //	parokzasya-eka-mAna-tvam durvacam Beda-sADanAt //
   nanvadhyakṣepi bhedosti bāhyāntaravibhāgataḥ /	nanu-aDyakzepi Beda-usti bAhya-antara-viBAgataH /
   divyādivyatayā cakṣuḥśrotrādibhidayāpi ca //	divya-adivya-tayA cakzuH-Srotra-Adi-BidayA-api ca //
   tadvat parokṣasyaikasya pramāṇasya vibhāgataḥ /	tadvat parokzasya-ekasya pramANasya viBAgataH /
   anumānāgamabhidā kathaṃ nābhyupagamyate //	anumAna-Agama-BidA kaTam na-aByupagamyate //
   dattottaramidaṃ kiñcid dṛṣṭametacchrutaṃ tvidam /	datta-uttaram-idam kiQcid dRzwam-etat-Srutam tu-idam /
   etattvanumitaṃ ceti lokoktiriha sākṣiṇī //	etat-tu-anumitam ca-iti lokoktiH-iha sAkziNI //
   yataḥ kutaścid vaidharmyaṃ sādharmyamapi kenacit /	yatas kutaScid vEDarmyam sADarmyam-api kenacid /
   sarvatra sulabhaṃ kāmamihāpi parigṛhyate //	sarvatra sulaBam kAmam-iha-api parigRhyate //
   ataḥ smṛtyanubhūtyākhyāvibhāgādapi nocitam /	atas smRti-anuBUti-AKyA-viBAgAt-api na-ucitam /
   pramāṇadvitvamityevaṃ prāguktaiva supaddhatiḥ //	pramANa-dvi-tvam-iti-evam prAk-uktA-eva su-padDatiH //
   trividhonubhavaścaiva tanmūlā ca tathā smṛtiḥ /	triviDa-unuBavaH-ca-eva tad-mUlA ca taTA smRtiH /
   iti ṣoḍhā vibhāge tu na vimanyāmahe vayam //	iti zoXA viBAge tu na vimanyAmahe vayam //
   anubhūtivibhāgena tanmūlāyāḥ smṛterapi /	anuBUti-viBAgena tad-mUlAyAH smRteH-api /
   vibhāgasya gatārthatvādaikarāśyamudāhṛtam //	viBAgasya gata-arTa-tvAt-EkarASyam-udAhRtam //
   ato hi tasyāstanmūleṣvantarbhāvavivakṣayā /	atas hi tasyAH-tad-mUlezu-antarBAva-vivakzayA /
   pramāṇavargaṃ tritvena prāñcaḥ kecidviviñcate //	pramANa-vargam tri-tvena prAQcaH kecid-viviQcate //
   evamanyadapi cintyam, iti //	evam-anyat-api cintyam, iti //
   nanu anenana kiṃ pramāṇacintākleśena ? avimṛśyāpi	nanu anena-na kim pramANa-cintA-kleSena ? avimRSya-api
   pramāṇavargamupalambhānvayavyatirekādivaśāt paśvādīnāmiva manuṣyādīnāmapi	pramANa-vargam-upalamBa-anvaya-vyatireka-Adi-vaSAt paSu-AdInAm-iva manuzya-AdInAm-api
   laukikeṣvartheṣu pravṛttinivṛttitatprayojanādikaṃ nirupadravaṃ sidhyati /	lOkikezu-arTezu pravRtti-nivRtti-tad-prayojana-Adikam nirupadravam siDyati /
   alaukikeṣvapi tattadvidhāyakaistadanugrāhakaiśca	alOkikezu-api tad-tad-viDAyakEH-tad-anugrAhakEH-ca
   kalpasūtrādibhiścaritārthadhiyāṃ kimanena piṣṭapeṣaṇādikalpena vṛthā	kalpa-sUtra-AdiBiH-carita-arTa-DiyAm kim-anena pizwa-pezaNa-Adi-kalpena vRTA
   vimarśeneti cet, maivam; avakāśoparodhāya tattvopaplavamicchatām /	vimarSena-iti cet, mA-evam; avakASa-uparoDAya tattva-upaplavam-icCatAm /
   aviparyāsasiddhyai ca viśodhyā mānayaddhatiḥ //	aviparyAsa-sidDyE ca viSoDyA mAnayat-hatiH //
   pratisaṃdhāya ca phanalaṃ prārambhāhnikadarśitam /	pratisaMDAya ca Panalam prAramBa-Ahnika-darSitam /
   sādhyaprameyasaṃśuddhyai sāṅge māne pariśramaḥ //	sADya-prameya-saMSudDyE sa-aFge mAne pariSramaH //
   pratyakṣitasamastārthairyogīndrainarapi laṅghyate /	pratyakzita-samasta-arTEH-yogi-indra-enar-api laFGyate /
   pramāṇaplavamālambya tattvaviplavasāgaraḥ //	pramANa-plavam-Alambya tattva-viplava-sAgaraH //
   tasmāduktarītyā śuddhiḥ kartavyeti /	tasmAt-ukta-rItyA SudDiH kartavyA-iti /
   śuddhānyāyaniṣevitā śrutiśiraḥśuddhāntasiddhāntinī bhadrāṇāṃ pratipādanāya	SudDa-anyAya-nizevitA Sruti-SiraH-SudDAnta-sidDAntinI BadrANAm pratipAdanAya
   bhajatu pratyakṣatāmakṣatām /	Bajatu pratyakza-tAm-akzatAm /
   patyau nityarase samaṃ karuṇayā pātivratīṃ bibhratī sarvagranthivimocanī	patyO nitya-rase samam karuNayA pAtivratIm biBratI sarva-granTivimocanI
   bhagavatī sā me samīcī kṛtiḥ //	BagavatI sA me samIcI kRtiH //
   iti śrīkavitārkikasiṃhasya sarvatantrasvatantrasya śrīmadveṅkaṭanāthasya	iti SrI-kavi-tArkika-siMhasya sarva-tantra-svatantrasya SrImat-veFkawa-nATasya
   vedāntācāryasya kṛtiṣu nyāyapariśuddhau smṛtyadhyāye //	vedAnta-AcAryasya kRtizu nyAya-pariSudDO smRti-aDyAye //
   dvitīyamāhnikam //	dvitIyam-Ahnikam //
   samāptaśca caturthodhyāyaḥ //	samAptaH-ca caturToDyAyaH //
